1300000005	Psalm
2b0624003d	A I indai ong komail er, komail kilang ia er, ap so poson la.
2b0625004b	Karos me Sam ki ong ia, pan ko dong ia, a me ko dong ia, I sota pan kasela.
2b06260059	Pwe ngai kodido sang nanlang, kaidin pwen wiada insen ai, pwe kupur en i, me kadar ia do.
2b0627006f	Pwe iet kupur en me kadar ia do, karos me a ki ong ia er, I ender kasela amen, pwe I en kamaureda ni ran nik o.
2b06280075	A iet kupur en Sam ai, amen amen, me kin kilang Na o poson i, en aneki maur soutuk, a I pan kamaureda i ni ran nik o.
2b0629004f	Sus oko ap lipanedeki i, pweki a kotin masani: Ngai prot, me kodi sang nanlang.
2b062a006c	Irail indada: Kaidin i Iesus nain Iosep? A sam a o in a se asa. Ari, daduen a indada: I kodido sang nanlang?
2b062b0047	Iesus kotin sapeng masani ong irail: Komail der lipaned nan pung omail!
2b062c0069	Sota me pan kak ko dong ia, ma Sam, me kadar ia dor, sota kainongido i. A I pan kamaureda i ni ran nik o.
2b062d007f	A intingidier nan saukop akan: Irail karos pan ale padak sang ren Kot. Amen amen me rongadar o padakki ren Sam, kin ko dong ia.
2b062e0054	Ari, kaidin pweki meamen kilang Sam; i eta, me kodo sang ren Kot, i me kilanger Sam.
2b062f0047	Melel, melel I indai ong komail, me poson ia, iei me aneki maur soutuk.
2b06300012	Prot en maur ngai.
2b0631003b	Sam omail oko, me kangala mana nan sap tan o, ir ari melar.
2b06320048	Met prot, me kodido sang nanlang, meamen kin kang sang i, sota pan mela.
2b0633009d	Ngai prot maur, me kodido sang nanlang, meamen kang sang prot wet, pan memaur kokolata. Prot, me I pan kida, iei uduk ai, me i pan kida en kamaur kida sappa.
2b06340053	Sus oko ari akamaiki pena indada: Iaduen men et pan kak ki ong kit uduk a sen kang?
2b06350089	Iesus ap kotin masani ong irail: Melel, melel I indai ong komail, ma komail sota pan kang uduk en Nain aramas o nim nta, sota maur omail.
2b0636005f	Me kin kang uduk ai o nim nt’ ai, iei me aneki maur soutuk, a I pan kamaureda i ni ran nik o.
2b0637002e	Pwe manga melel uduk ai, o pil melel nt’ ai.
2b0638004d	Me kin kang uduk ai o nim nt’ ai, iei me podidi ong ia o ngai podidi ong i.
2b06390063	Duen Sam ieias kadar ia do, o ngai memaureki Sam, iduen me kang uduk o nt’ ai, pan meaureki ngai.
2b063a0087	Iet prot, me kodido sang nanlang, kaidin duen sam omail akan, me kangala mana ap mela, a meamen kin kang prot wet, pan memaur kokolata.
2b063b0049	Mepukat a kotin masani wei nan sinakoke, ni a kotin kawewe nan Kapernaum.
2b063c006f	Ari, me toto ren sapwilim a tounpadak kan, me rongadar mepukat indada: Padak pot et meid apwal! Is me kak rong?
2b063d0085	Iesus lao kotin angi nan kupur a, me sapwilim a tounpadak kan lipanedeki mepukat, ap kotin masani ong irail: Komail makaraki mepukat?
2b063e0045	A ma komail pan kilang Nain aramas kodala wasa, me a kauson ia mas o?
2b063f0066	Ngen me kin kamaureda, a uduk sota katepa. Padak kan, me I kin padapadaki ong komail, iei Ngen o maur.
2b06400057	A akai mi re omail, me so poson. Pwe Iesus kotin mangi, me so poson o me pan pangala i.
2b06410059	A kotin masani: I me I indaki ong komail, sota me kak ko dong ia, ma Sam sota kainongido.
2b0642004c	Sang ni ansau o sapwilim a tounpadak kan toto mueiwei sang o solar idauen i.
2b0643003d	Iesus ap kotin kainoma ren ekriamen oko: Komail pil pan kola?
2b06440059	A Simon Petrus ap sapeng i: Maing, is me se en ko ong? Pwe ar masan akan iei maur soutuk.
2b0645002f	A kit posonlar o asaer, me ir me Saraui en Kot.
2b0646005c	Iesus kotin sapeng irail: Kaidek komail ekriamen, me I piladar, a amen komail me tewil amen.
2b06470060	A kotin masaniada duen Iudas Iskariot nain Simon, pwe i amen ren ekriamen oko, me pan pangala i.
2b07010075	MURIN mepukat Iesus kotin kakan sili Kaliläa, pwe a solar men kakan sili Iudäa, pweki Sus oko masamasan kamatala i.
2b0702003d	A ran lapalap en Sus oko; iei ran en im en tan tuka korendor.
2b07030081	Ri a ol akan ap indai ong i: Kom kotiwei kotilang Iudäa, pwe omui tounpadak kan en pil udial omui wiawia kan, me kom kin wiawia.
2b0704006a	Pwe sota me kin wiada meakot wasa rir, ma a men indand sili. Ma komui wia mepukat, en kasansale ong sappa.
2b07050022	Pwe ri a ol akan pil sota poson i.
2b07060058	Iesus ap kotin masani ong irail: Ai ansau saikenta leler, a omail ansau mia ansau karos.
2b07070066	Sappa sota kak kailongki komail, a ngai me a kin kailongki, aki I kin kadede, me a wiawia kan me sued.
2b07080058	Komail kodalang kamadip et, I sota pan kodalang kamadip et, pwe ai ansau saikenta leler.
2b07090039	A kotin masani ong irail mepukat, ap kotikotita Kaliläa.
2b070a0054	A ri a ol akan lao samalar, i ap pil kotidalang kamadip, ap so sansal a duen me rir.
2b070b0045	Sus akan ari rapaki i ni kamadip o indada: Ari, ia wasa a kotikot ia?
2b070c007c	A aramas akan lokolokaia toto duen i, pwe akai indada: Me mau men. A akai me indada: Kaidin, pwe a kin kaweid sapung aramas.
2b070d0035	Sota me lokaia sansal duen i, pweki ar masak Sus oko.
2b070e004e	Lao lel ailepan kamadip o, Iesus ap kotin kodalang im en kaudok o kaukaweweda.
2b070f0064	A Sus akan ap puriamui kila indada: Da duen men et asa wewe en kisin likau, pwe a sota iang padakki.
2b07100057	Iesus ap kotin sapeng irail masani: Kaidin ai padak, me I kin kida a en me kadar ia do.
2b07110050	Meamen wiawia kupur a, pan weweki ai padak, ma a ren Kot, de sang ren pein ngai.
2b07120083	Me kin padapadak sang ni pein i, kin rapaki pein wau i, a me kin rapaki wau en me kadarala i, iei me melel o sota man sued kot pit.
2b07130077	Kaidin Moses, me ki ong komail kapung o, a sota amen komail kin kapwaiada kapung o? A da me komail rapakiki kame ia la?
2b0714004b	Aramas oko sapeng indada: Koe me tanwar en tewil, is me rapaki kame uk ala?
2b07150054	Iesus kotin sapeng masani ong irail: Dok taieu, me I wiadar, a komail puriamui kila.
2b07160087	Moses ki ong komail er sirkomsais, a kaidin tapi sang ren Moses, pwe sang ren sam akan, a komail kin sirkomsais aramas ni ran en sapat.
2b071700a3	Ari ma aramas amen ale sirkomsais ni ran en sapat, pwe kapung en Moses ender sapungala, a komail kin suede kin ia, pweki ai kakelailada aramas pon ni ran en sapat?
2b07180046	Der kadeikada duen pali liki, a komail kasaui nin tiak en kadeik pung.
2b07190040	Men Ierusalem kai ap inda: Kaidin i, me re raparapaki en kamela?
2b071a0067	A kilang, a padapadak sansal, a re sota man lokaia ong i, de muein saumas akan asaer mau, me i Kristus?
2b071b0067	Ari, se asaer, wasa men et ko sang ia, a Kristus lao kotido sota me pan asa wasa, me a pwarado sang ia.
2b071c00b2	Iesus ap kotin kapitie laudeda kawewe nan im en kaudok masani: Komail asa ia o wasa I ko sang ia. Ari, kaidin pein ngai, me I kokido, a me kadar ia dor, me melel, me komail sasa.
2b071d0035	A I asa i, pwe I kodo sang re a, o i me kadar ia dor.
2b071e0046	Irail ap song saikidi i, a sota me sair i, pwe a ansau kaikenta leler,
2b071f0080	Aramas toto sang nan pokon o posonla i indada: Iaduen, Kristus lao pwarado, a pan wia kilel toto sang mepukat, me men et wiadar?
2b07200084	Parisär akan rongadar, me aramas akan lokelokaia mepukat duen i. Samero lapalap o Parisär akan ap kadarala papa kan, en saikidi i.
2b07210059	Iesus ap kotin masani: I pan mi re omail ansau motomot. I ap pan kola ren me kadar ia do.
2b07220055	Komail pan rapakin ia, ap sota diar, a wasa, me I pan mi ia, komail sota pan kak ong.
2b0723008b	Sus oko ap inda nan pung arail: A pan kola ia, pwe sen solar diar i? A pan kola ren me salongalar ren men Krik kan, kaukawewe ong men Krik?
2b07240073	Iaduen masan en, me a indada: Komail pan rapakin ia, ap sota diar, a wasa, me I pan mi ia, komail sota pan kak ong?
2b07250081	Ni ran en kamadip a nikilar, ni ran lapalap o, Iesus kotida, kapitie laudeda masani: Meamen men nim piladar, i en ko dong ia nim.
2b0726005b	Me poson ia, duen kisin likau kan indada, sang nan war a pil memaur pan pwilipwili sang ia.
2b0727007f	Mepukat a kotin masani duen Ngen, me irail, me poson i, en tungole; pwe Ngen saikenta pakadarado, aki Iesus saikenta linganlar.
2b07280050	Ari, akai sang nan pokon o ni ar rongadar masan pukat ap indada: Melel Saukop o.
2b07290054	A akai indada: Kristus men et! A akai indada: Da, Kristus pan pwarado sang Kaliläa?
2b072a0067	Kaidin kisin likau me inda, me Kristus pan wan Dawid o kisan men Petleem, kanim o, me Dawid kotikot ia?
2b072b0023	Irail ap liak toror pasang pweki i.
2b072c0027	A akai men saikidi i, a sota me sair i.
2b072d006d	A papa ko ap pure dong ren samero lapalap o Parisär akan. Irail ari idok re irail: Da me komail sota wakido?
2b072e003d	A papa ko sapeng: Sota man aramas amen padapadak duen men et.
2b072f0035	Parisär oko ap sapeng irail: Komail pil pakodauelar?
2b07300029	Iaduen saumas de Parisär amen posonla i?
2b0731002e	A aramas pukat, me so asa kapung o, re rialar.
2b07320024	Nikodemus kis arail ap indang irail:
2b0733005e	Iaduen, atail kapung pil kin kadeikada aramas amen mon a rong o asa sang pein i duen a wiawia?
2b07340073	Irail sapeng indang i: Iaduen, komui pil kisan men Kaliläa? Rapaki o kilang, me sota saukop amen ko sang Kaliläa.
2b0735001c	Amen amen ap purelang deu a.
2b08010020	IESUS ap kotidala pon dol Oliwe.
2b08020076	A nin soran a kotin pure dong ong nan im en kaudok. Aramas karos ap pokon dong i. I ari kaipokedi kaukawewe ong irail.
2b08030068	A saunkawewe o Parisär akan wa dong i li amen, me diarokadar ni a kamal. Irail kidang i nan pung arail.
2b08040038	Ap indang i: Saunpadak, li men et diarokadar ni a kamal.
2b08050056	A Moses masani ong kitail nan kapung o, sen kate song en. A komui, da me komui masani?
2b0806008c	A mepukat re indang i, pwen kasongesong i, pwe ren kak impimpaiki i meakot. A Iesus kotin idiokidi, intingiekidi ong nani pwel sondin lim a.
2b0807007f	A ni ar poden kalekalelapok re a, a ap kotin dengida masani ong irail: Ari, me sota dip a nan pung omail, a pan tapiada kate i.
2b0808002d	A pil kotin idiokidi intingiedi ong nan pwel.
2b08090074	Irail lao rongadar met, rap mulikidar tentelwei, me laud mas lel me tikitik o. A Iesus kelepela, li eta, me mi re a.
2b080a0076	Iesus lao kotin dengida o sota masani meamen, li eta, ap masani ong i: Ia me karaun uk edi kan? Sota me kadeik uk ada?
2b080b0072	A potoan ong: Sota Maing. Iesus ap kotin masani ong i: I sota pil pan kadeik uk ada. Kowei, koe der pil wiada dip!
2b080c008f	Iesus ap pil kotin padaki ong irail masani: Ngai marain en sappa. A me kin idauen ia, sota pan weid ni rotorot, pwe marain en maur pan mi re a.
2b080d0052	Parisär oko ap indai ong i: Komui kadede pein komui; ari, omui kadede sota melel.
2b080e00bc	Iesus kotin sapeng masani ong irail: Ma I kadede pein ngai, ari melel ai kadede, pwe I asa, wasa I kodo sang ia o wasa I koko ong ia, a komail sasa, wasa I ko sang ia o wasa I koko ong ia.
2b080f0047	Komail kin kadeikada duen pali uduk, a sota meamen, me I kin kadeikada.
2b08100062	Ari so ma I kadeikada, ai kadeik pan melel, pwe I sota kin kelep, pwe ngai o Sam, me kadar ia dor.
2b08110048	A pil intingidier nan omail kapung, me kadede en aramas riamen me melel.
2b08120043	Ngai me kin kadede pein ngai o Sam, me kadar ia dor, kin kadede ia.
2b0813008a	Irail ap indai ong i: Ia Sam omui? Iesus kotin sapeng: Komail sota asa ngai, pil sota Sam ai. Ma komail asa ia, komail pil pan asa Sam ai.
2b08140088	Masan pukat Iesus kotikida nan pera en moni, ni a kotin kaukawewedar nan im en kaudok o. A sota me koledi i, pwe a ansau saikenta leler.
2b08150090	Iesus pil kotin masani ong irail: I kokola, a komail pan rapakin ia o mela ni omail dip akan, a wasa, me I pan kola ia, komail sota pan kak ong.
2b08160068	Sus oko ap indada: A pan kamela pein i, pweki a inda: A wasa, me I pan kola ia, komail sota pan kak ong?
2b08170079	A kotin masani ong irail: Komail kisan men pa, a ngai kisan men poa. Komail kisan sappa et, a ngai kaidin kisan sappa et.
2b08180081	Iei me I indaki ong komail, komail pan mela ni omail dip akan, pwe ma komail sota kamelele ia, komail pan mela ni omail dip akan.
2b08190056	Irail ap indai ong i: Is koe? Iesus kotin masani ong irail: Me I indawei mas o, i eta.
2b081a007c	Me toto I men padaki ong komail o kadeikada, ari so, me kadar ia do me melel. A I kin kasoia ong komail, me I rongadar re a.
2b081b0037	Irail ari sasa, me a kotin kasoia ong irail duen Sam a.
2b081c00be	Iesus ap kotin masani ong irail: Komail lao kauadar Nain aramas, komail ap pan asa, me ngai i, o me I sota wia meakot sang pein ngai. A duen Sam, me padaki ong ia er, iduen I kin kasoia wei.
2b081d005a	Me kadar ia do, kin ieiang ia, a sota lokit ia la, pwe I kin potin wia, me a kupura mauki.
2b081e0030	Ni a kotin masani mepukat, me toto ap posonla i.
2b081f0070	Iesus ap kotin masani ong Sus oko, me poson i: Ma komail pan podidi ong ai padak, nan ai tounpadak melel komail.
2b08200037	O komail pan asala melel, o melel pan kamaio komail da.
2b0821006c	Irail sapeng i: Wan Apraam kit, sota me se lidui sang mas kokodo. A iaduen, komui indada: Komail pan maioda?
2b08220068	Iesus kotin sapeng irail masani: Melel, melel I indai ong komail, meamen; me wiawia dip, i me ladun dip.
2b08230037	A ladu o sota pan mimieta nan im o, na eta pan mimieta.
2b08240039	Ari, ma Na pan kamaio komail da, komail pan maioda melel.
2b08250069	I asa, me wan Apraam komail, a komail kin rapaki, en kame ia la, pwe ai padak sota kin podidi ong komail.
2b08260060	Me I kilang ren Sam ai, iei me I inda wei, a komail kin wiawia, me komail rongada ren sam omail.
2b08270090	Irail sapeng indang i: Sam at Apraam. Iesus kotin masani ong irail: Ma komail nain Apraam, seri kan, komail pan wia duen en Apraam a wiawia kan.
2b0828007e	Ari, met komail kin rapaki kame ia la, aramas amen, me kasoi ong komail melel, me I rongadar ren Kot, i me Apraam sota wiadar.
2b0829006e	Komail kin kapwaiada wiawia kan en sam omail. Irail ap indang i: Kaidik kit ipwin nenek. Sam at me ta men Kot.
2b082a0099	Iesus kotin masani ong irail: Ma Kot Sam omail, komail pan pok ong ia, pwe I kodo sang ren Kot, kaidik sang pein ngai, me I kokido, pwe i me kadar ia do.
2b082b0046	Da me komail sota weweki ai padak? Pweki omail sota kak rong ai padak.
2b082c00ff	Komail tapi sang ren sam omail tewil, o inong en sam omail, me komail men wiada. Nan i men kamela men sang ni tapi o, o a sota dadaurata melel, pwe sota man melel mi re a, ni a lalal likam, a kin kida sang pein audepa, pwe i me likam men o sam en likam o.
2b082d003b	A komail sota kamelele ia, pweki I padaki ong komail melel.
2b082e0058	Is re omail, me kak indang ia, me dip ai mia? A ma I kasoi melel, menda komail so poson?
2b082f005d	Men ren Kot kin rong en Kot a masan akan. Komail ari sota rong, pwe kaidin me ren Kot komail.
2b08300053	Sus oko sapeng indang i: Kaidik meid melel, koe men Samaria amen o tanwar en tewil.
2b08310064	Iesus kotin masani: Kaidik tanwar en tewil ngai, pwe I wauneki Sam ai, a komail kin kisang ia wau i.
2b08320046	I sota kin rapaki pein wau i, amen mia, me kin raparapaki o kadeikada.
2b08330053	Melel, melel I indai ong komail, meamen kapwaiada ai padak, sota pan mela kokolata.
2b0834009d	Sus oko ap indai ong i: Se ap asaer, me koe tanwar en tewil. Apraam melar, pil saukop akan, a koe me inda: Meamen kapwaiada ai padak, sota pan mela kokolata,
2b0835006b	Da, komui me lapa sang sam at Apraam, me matalar, pil saukop akan, me matalar? Is me komui pein wia kin uk?
2b08360075	Iesus kotin sapeng: Ma I pein kaka kin ia, ai kaka me mal. A Sam ai, me kaka kin ia, me komail kin inda: I atail Kot.
2b08370085	Komail ari kaikenta asa i, a I asa i, a ma I inda, me I sasa i, I pan me likam amen dueta komail. A I asa i o kapwaiada a masan akan.
2b08380053	Sam omail Apraam peren kida, me a pan kilang ai ran. I ari kilanger ap peren kidar,
2b0839004c	Sus oko ap indang i: Par limeisok kaik dau po ’mui, a kom kilanger Apraam?
2b083a0051	Iesus kotin masani ong irail: Melel, melel I indai ong komail, I mier mon Apraam.
2b083b0063	Irail ap rik takai, pwen kasuk i, i ap kotin oki sang irail pein i, kotila sang nan im en kaudok o.
2b09010046	IESUS lao kotin daulul, ap masani aramas amen me maskun sang a ipwidi.
2b09020071	Sapwilim a tounpadak kan ap idok re a potoan ong: Rapi, is me wiadar dip, i de sam a in a, pweki a ipwidi maskun?
2b09030073	Iesus kotin sapeng: Kaidik i me wiadar dip, pil kaidik in a de sam a, a pwe en Kot a wiawia kan en kasansal kida i.
2b0904006e	I en kapwaiada wiawia kan en me kadar ia do arain ansaun ran, pwe pong pan kodo, i ansau solar amen kak dodok.
2b09050028	Arain ai mi sappa, ngai marain en sappa.
2b0906004f	A lao kotin masanier met, ap likidi nani pwel, wiakida pwel madak iriski mas a.
2b09070071	Masani ong i: Kolang pil en Siloa (iet wewe: Pakadarado), opinok ia! I ari kola opinok, ap puredo kilangada wasa.
2b09080070	A men imp a kan, o me iang kilangadar, me a men poekipoek amen mas o, rap indada: Kaidik i, me wonon poekipoeki?
2b09090049	Akai me inda: I met; a akai me inda: Likamata i, a pein i indada: Ngai i.
2b090a003d	Irail ari indang i: Iaduen por en mas om akan a kapad pasang?
2b090b00a8	A sapeng indada: Aramas amen me adaneki Iesus, me wiadar pwel madak, iriski mas ai, masani ong ia: Kolang pil en Siloa, opinok ia! I ari kola opinok, ap kilangada wasa.
2b090c002b	Irail ap idok re a: Ia i? A sapeng: I sasa.
2b090d0033	Irail ap kalualang ren Parisär akan me maskun mas.
2b090e0050	Ari, ni ran en sapat, me Iesus kotin wiadar pwel, kapad pasang por en mas a kan.
2b090f0088	Parisär akan pil idok duen me a kilang kida wasa. A sapeng irail: A ki ong pwel ni por en mas ai, i ap opinok, ngai ari kilangada wasa.
2b091000b0	Parisär kai ap inda: Aramas men et kaidik men ren Kot, aki a sota apwali ran en sapat. Akai indada: Daduen, aramas dipan amen kak wia kilel pukat? Irail ari liak toror pasang.
2b09110073	Irail pil kalelapok ren me maskun o: Da me koe lamelame duen i? Pwe a kapad pasang mas om? A sapeng: Saukop amen i.
2b09120079	Men Sus oko ap sota kamelele, me a ipwiki wei maskun, ap kilangada wasa. Irail lao ekeredo sam o in en me kilangada wasa.
2b09130071	Irail idok re ’ra: Nouma ol men et, me komail indinda, me a ipwiki wei maskun? Iaduen a ngarada wasa ansau wet?
2b09140049	Sam a in a sapeng ir indada: Se asa, me nait ol et, me ipwiki wei maskun.
2b0915006b	A se sasa duen a ngarada wasa o me kapad pasang por en mas a. A malar, kainoma re a, a pan pein sakaraki i.
2b0916008f	Sam o in a inda mepukat, pweki ar masak Sus oko. Pwe Sus oko inauki pena, ma meamen pan kadede me i Kristus a pan lokidokila sang nan sinakoke.
2b09170033	I me sam o in a indada kida: A malar, kainoma re a.
2b09180066	Irail ap eker aramas maskun kariapak indai ong i: Wauneki Kot, se asa, me aramas men et me dipan amen,
2b09190079	A sapeng ir indada: I sasa, ma i me dipan amen de so. I eta me i asa, me ngai me maskun mas o, i ap potoan ngaradar wasa.
2b091a004a	Irail ap pil idok re a: Da me a wiai ong uk? Iaduen a kapad pasang mas om?
2b091b0077	A sapeng irail: I indai ong komail er, a komail sota rong? Da me komail pil men rongki? Komail pil pan a tounpadak ala?
2b091c004c	Irail kaurureki indada: A tounpadak amen koe, a kit tounpadak en Moses akan.
2b091d0045	Kit asa, me Kot masani ong Moses. A lap o se sasa, wasa a ko sang ia.
2b091e0070	Aramas o sapeng indang irail: Meid kapuriamui! I me kapad pasang mas ai kat, a komail sasa, wasa a koti sang ia.
2b091f0075	Kitail asa, me Kot sota kin mangi me dipan akan. A meamen, me lan Kot, o dadaurata kupur a, iei me a kin kotin mangi.
2b09200055	Sang mas kokodo sota me rongadar, me meamen kapad pasang mas en me ipwiki wei maskun.
2b09210035	Ma men et sota me ren Kot, a sota pan kak wia meakot.
2b0922005e	Irail sapeng indang i: Koe me ipwiki wei dip akan a koe ap padaki ong kit? Irail ari kasela i.
2b09230068	Iesus lao kotin mangidar, me re kasela i, a lao masani i, ap kotin masani ong i: Koe kin poson Nain Kot?
2b09240032	A sapeng potoan ong: Maing, is i pwe i en poson i?
2b09250048	Iesus kotin masani ong i: Koe me kilang i. A iet i, me kasokasoi ong uk.
2b09260032	A sapeng i: Maing, i posonlar, i ari kaudok ong i.
2b09270074	Iesus kotin masani: I kodon kadeik nan sappa et, pwe me so kilang wasa, en kilangada, a me kilang wasa, en maskunla.
2b0928005e	A Parisär akan, me mi re a, rongadar a masan pukat, re ap peidok re a: Da, kit me pil maskun?
2b09290088	Iesus kotin masani ong irail: Ma komail maskun, sota pan dip omail. A komail indada: Se kilekilang wasa, iei me omail dip pan mimietaki.
2b0a010081	MELEL, melel I indai ong komail, me so weid nan wanim, pedelong ong nan deun sip, a dauda wasa toror, iei men lipirap o men kuli.
2b0a02002f	A me kin pedelong pan wanim, iei silepan sip o.
2b0a030079	Iei me silepan wanim o kin ritingada mo a; a sip akan kin rong ngil a; i me ekereki na sip akan ad arail, kare irail wei.
2b0a04005f	A kin kapedoi na sip akan, ap tiong mo ’rail, o sip akan kin idedauen i, pwe re anlar ngil a.
2b0a05004d	A re sota pan idauen, me re san, pwe re pan tang sang, pwe re san ngil arail.
2b0a060068	Iesus kotin masani ong irail karaseras pot et, a irail sota weweki mepukat, me a kotin masani ong irail.
2b0a07005a	Iesus pil kotin masani ong irail: Melel, melel I indai ong komail: Ngai wanim en sip akan.
2b0a080050	Karos, me pwarador mo i, iei lipirap o men kuli, o sip akan sota kin rong irail.
2b0a09004a	Ngai wanim o, a meamen pedelong re i, pan kamaurela o diar manga purepure.
2b0a0a0068	Lipirap kin kodon pirapela, o kamela, o kaokaoe, a ngai kodo, pwe irail en ale maur, kakairida kokolata.
2b0a0b0043	Ngai silepa mau; a silepa mau kin tonmeteki ong na sip akan maur i.
2b0a0c00b7	A me kin pwaipwai o me sota udan silepa, o me kaidin udan na sip oko, iei me ngingar kidi en wel kokodo, ap kasela sip oko, tangdaui, a kidi en wel saikidi sip oko, kamueit ir pasang.
2b0a0d0044	Me pwaipwai o kin tangdaui, aki a pwaipwai, o sota insenoki sip oko.
2b0a0e0037	Ngai silepa mau, o I asa nai kan, o nai kan pil asa ia.
2b0a0f0046	Duen Sam o asa ia, iduen I asa Sam, o I tonmeteki ong sip akan maur i.
2b0a100081	A pil akai nai sip, me so kisan nan kel wet, mepuko I pil pan wado, o re pan rong ngil ai, o a pan pwin taieu o silepa me ta men,
2b0a11003f	Iei me Sam pok ong ia, pwe I kidi maur i, pwe I en pur ong ale.
2b0a12008c	Sota me ki sang ia, pwe pein ngai kidi. I manaman ong kidi maur i, I pil manaman ong kapure dong ia. Kusoned pot et I aleer sang ren Sam ai.
2b0a13003a	Iei me Sus oko ap pil liak toror pasang pweki masan pukat.
2b0a14004c	Me toto re ’rail indada: A tanwar en tewil o iakalar. Menda komail rong i?
2b0a15006c	Akai me indada: Kaidik padak en tanwar en tewil pukat, da, tewil pan kak kapad pasang mas en me maskun amen?
2b0a160044	A ran en isimas en im en kaudok wiaui nan Ierusalem, i ansaun kapau.
2b0a17003c	A Iesus kotikot sili nan im en kaudok, nan palang en Salomo.
2b0a18006e	Sus oko kapili pena i indang i: Arai da komui pan okioki sang kit? Ma komui Kristus, en kadede ong kit sansal!
2b0a190087	Iesus kotin masani ong irail: I indai ong komail er, a komail sota poson dodok kan, me I wiadar ni mar en Sam ai, iei me kin kadede ia.
2b0a1a0054	A komail sota poson, pwe komail kaidik kisan nai sip, duen me I indai ong komail er.
2b0a1b003f	Nai sip oko kin rong ngil ai, a I asa irail a re kin idauen ia.
2b0a1c0066	A I ki ong irail maur soutuk, a re sota pan salongala kokolata, o sota, me pan ki sang irail nan pa i.
2b0a1d0064	Sam ai, me ki ong ia irail, me lapa sang meakaros, o sota me pan kak ki sang irail ni lim en Sam ai.
2b0a1e0015	Ngai o Sam me ta men.
2b0a1f0027	Sus oko ap pil rik takai, pwen kasuk i.
2b0a200085	Iesus kotin sapeng irail: Dodok mau toto, me I kasale ong komail er sang ren Sam o, a menia dodok ren mepukat, me komail kate kin ia?
2b0a210080	Sus oko ap sapeng i: Kaidik dodok mau eu, me se kate kin komui, a pweki lalaue, o pweki aramas amen koe, me wia kin pein uk Kot,
2b0a220057	Iesus kotin sapeng irail: A so intingidier nan omail kapung: I indada, komail kot akan,
2b0a23005c	Ari, ma a kin wia kin ir kot, me aleer masan en Kot, pwe kisin likau kan sota kak sapungala;
2b0a240077	A komail kin inda kin i, me Sam a kasarauialar, o kadara dong sappa, koe lalaue, pweki ai indada: Sapwilim en Kot ngai?
2b0a25003b	Ma I so wiawia dodok kan en Sam ai, komail der kamelele ia.
2b0a260091	A ma I kin wiawia, komail en posonki dodok kan, ma komail sota poson ia, pwe komail en asa o poson, me Sam ai podidi ong ia, o ngai podidi ong i.
2b0a27003b	Irail ap pil song saikidi i. I ari piti sang ni pa ’rail.
2b0a28005a	O kotin purelang palilan Iordan, wasa Ioanes kin wia paptais ia mas; I ari kotikot wasa o.
2b0a29006a	A me toto pokon dong i indada: Ioanes sota wiadar kilel eu; a melel eta karos, me Ioanes masanieki men et.
2b0a2a001b	A me toto posonla i wasa o.
2b0b01004c	OL amen somaudar ad a Lasarus, men Petanien, kanim en Maria o ri a li Marta.
2b0b020063	Iei Maria, me keieki potik Kaun o, o limwieki a pwilipeipei aluwilu a, me ri a ol Lasarus somaudar.
2b0b03005a	Ri a li ko ari kadar wong i kaireki wong i: Maing, kotin mangi, me re pok ong me somaudar.
2b0b040075	Iesus lao mangi, ap kotin masani: Kaidik somau en mela eu met, a pweki lingan en Kot, pwe Nain Kot en kalingana kila.
2b0b05002f	Iesus kotin kupura Marta, o ri a li, o Lasarus.
2b0b06004a	A lao kotin mangier, me a somaudar, i ari kotikoteta wasa o pong ria pong.
2b0b070049	Ap kotin masani ong sapwilim a tounpadak kan: Kitail pan purelang Iudäa.
2b0b080064	Sapwilim a tounpadak kan potoan ong i: Rapi, Sus oko apton men kasuk ir, a re pan kotin purelang ia?
2b0b09007b	Iesus kotin masani: So auer eisokriau ni ran eu? Meamen alialu ni ran, sota pan dipikelekel, aki a ngingar marain en sappa.
2b0b0a0044	A meamen alialu ni pong, a pan dipikelekel, aki marain sota mi re a.
2b0b0b0067	A kotin kasoiada mepukat, ap masani ong irail: Kompoke patail Lasarus mairelar, a I kokolan kapirida i.
2b0b0c0049	A sapwilim a tounpadak kan indang i: Maing, ma a mairelar, a pan maureda.
2b0b0d005f	Ari, Iesus kotin masanieda duen a melar, a irail kiki ong, me a masanieda duen a mair en kamol.
2b0b0e0030	Iesus ap sansal masani ong irail: Lasarus melar,
2b0b0f0066	A I peren kida, me I sota mi wasa o pweki komail, pwe komail en posonla. Ari, kitail en koko wei re a!
2b0b10005f	Tomas, me pil ad a Didimus, ap indai ong warok tei kan: Kitail en pil kokola, pwen iang i mela.
2b0b110044	Iesus lao kotido, ap kotin diarada, me a mi nan sousou pong pa pong.
2b0b120031	Petanien me koren iong Ierusalem impan mail riau.
2b0b13004e	A Sus oko me toto ko dong Marta o Maria, pwen kamait ira la pweki ri ara ol o.
2b0b140051	Marta lao rongadar, me Iesus kotido, ap koieila tu ong i. A Maria momod nan im o.
2b0b15004c	Marta ap potoan ong Iesus: Maing, ma re kotikot met, ri ai ol sota pan mela.
2b0b160047	Ari so, i asa meakot re pan kotin poeki ren Kot, Kot pan kotiki ong ir.
2b0b17002f	Iesus kotin masani ong i: Ri om ol pan maureda.
2b0b180043	Marta potoan ong i: I asa, me a pan maureda ni ias en ni ran nik o.
