2800000007	MATHIƠ
2c0b09007c	Bàu enh plình doe hòm ka au yàng baiq: “Ƀài yiniq cleq Boc Plình ma khoe basròeh ùh dùh doe haq oe raq amùa.”
2c0b0a0068	Bàu aih capoch lauq piq yàng, khoe aih, dìq dŏng ƀài yiniq aih hi jah dèch atŏc hlài ta plình.
2c0b0b0079	Meh oq, draq drình hloe jò aih, piq ngai enh Sêsare wì ma thê lam ta au, khoe trùh qmòe ajang qmang hnim au ma oe.
2c0b0c009a	Yiang Hadròeh thê au lam ti wì aih, apaq hòq cleq. Hacô, tadràu ngai oh daq kô hanoh lam ti au, èh hadai dìq dŏng ka nhèn mùt ta hnim Kot-nai.
2c0b0d00b7	Haq aih hi anoe hlài ka nhèn haq i hnoq mòeq ƀình plình loh ta hnim haq qmang leq rai thê: “Drah thê mangai lam ta Jopbê, akhen ka Simôn wì macreo Phiero aih trùh tacô.
2c0b0e0064	Haq aih hi anoe ka pì, đòeq canòm ajang ƀài bàu aih, ìh xam dìq ka cadraq ìh jah dèch.”
2c0b0f006b	Au bu qnang anoe, aih i Yiang Hadròeh enh qnhèq loh ti wì, tìah ka jò baxèm haq khoe loh ti bèn diq.
2c0b10007a	Aih au hi hmàng hlài bàu Chuaq Jesus khoe doe: “Jon khoe broq ƀaptem xi diac, mahaq kô èh pì jah ƀaptem xi ùnh.
2c0b1100b7	Qmang aih, tàng joq Boc Plình khoe am ka wì hadai jah kan tabàih qmang ka bèn aih ƀài mangai ma khoe lùi Chuaq Jesus Christ, qmang aih au kô ìq cabô mahùa tàt Boc Plình?
2c0b1200c9	Jò wì khoe tàng qmang aih, dìq ka wì pi oe tablêq ka haq hòm, wì manè apôi Boc Plình rameh: Qmang aih, Boc Plình hadai khoe am ka wì kan loq raxach dôq mangai diac wì hanoh jah kan rìh!
2c0b1300a7	Ƀài mangai ma khoe cadàu haprah priang ka kan baxa jò wì ma jêh đac Êtien, wì trùh ta Phênixi, Chipro xam Antiôt, wì anoe bàu lem am toq ka mangai Juđa.
2c0b1400a0	Mahaq ta wì aih i biaq ngai gùng Chipro, gùng Syren, wì lam trùh ta Antiôt, wì hanoh hadai anoe am ka mangai Gorec, hnài Bàu lem da Chuaq Jesus ka wì.
2c0b150056	Tì Chuaq oe ti wì aih, dài mangai lùi rai tawìh hlài ta Chuaq majah bàc haraya.
2c0b16004b	Tagop Hadròeh ta Jêrusalem hìa bàu aih, wì thê Banaba lam ta Antiôt.
2c0b170073	Jò trùh ta aih hnoq xôq ramot Boc Plình haq mannè pi cajaq rai toq ti alòng oh daq ep cajap manoh tiaq Chuaq.
2c0b18006a	Banaba aih mangai lem manoh qnàng, bình Yiang Hadròeh xam kan lùi. Jò aih mangai tiaq Chuaq rai bàc.
2c0b190033	Khoe aih, Banaba lam ta gùng Tacso, hu chaq Saulo,
2c0b1a00ba	Jò khoe glàm, hi ahlài ta Antôt. Wop jah mòeq hanam, wa aih tagop pajùm ti Tagop Hadròeh rai hnài bàc ngai. Oe tagùng Antiôt wì ma hi creo ka mangai tiaq hŏc aih Corê-tien.
2c0b1b004d	Oe ta ƀài hì aih, i wì mangai pajàu loh enh Jêrusalem trùh ta Antiôt.
2c0b1c00e0	Taqne wì aih i mòeq ngai yiniq haq Agabut padinh yòng, Yiang Hadròeh am haq capoch pajàu: “Kô èh i kan pangot hrah jàp ta crŏng taneh”; Joq qnàng qmang aih, kan pangot hrah kô troq qnhòng da Colôt broq bùa.
2c0b1d007f	Mangai tiaq hŏc hatình ka dabau, rìm ngai tiaq deh hra padren, padon đòeq hliac jènh hu tabàih ka oh daq tagùng Juđê.
2c0b1e0067	Mangai tiaq hŏc broq gêh trong aih, canòm ka Banaba xam Saulo aràng dahwèq aih am ka ƀài gucraq.
2c0c010046	Hanoh qnhòng aih, bùa Hêrôt rùp toq ƀiaq ngai ta Tagop Hadròeh.
2c0c020031	Bùa yŏc chang jêh cađac Jaco, aih daq da Jon,
2c0c03008e	Haq hnoq broq qmang aih lem ka manoh mangai Juđa, haq hi thê rùp hloe xam Phiero hòm. Jò aih wop troq jò ramènh kaq ƀênh ùh tah blo.
2c0c0400cd	Bùa rùp clêh haq, thê pôn calùh lình gòm rap, mòeq calùh i pôn ngai lình. Bùa hèm dèh gòm khoe ka hì ramènh pancwa, aih èh hi rùp Phiero loh yòng enh ngèa dìq dŏng ka mangai ta aih.
2c0c050060	Qmang aih, wì jrong Phiero ta hnim cadrong, mahaq Tagop Hadròeh dìq jaq waiq khàn am ka haq.
2c0c0600b0	Mang adroe ka hì Hêrôt ma hu padon qnoh haq loh yòng nòe hadrah, Phiero oe raq kùi i caxy datoeq kàt haq taqne baiq ngai lình, ajang trong qmang i ƀài lình gòm rap.
2c0c0700e3	Cadoe i mòeq ƀình plình da Chuaq trùh, i kan qngah sreo qngah ta hnim cadrong clam cluiq aih. Haq tep ta yimìa Phiero, padrìu haq yòng, ƀình plình doe: “Drah yòng.” Caxy datoeq kàt tì haq taclìh dŏng haqneq.
2c0c0800a8	Khoe aih ƀình plình doe “Rìt hlài caxy qnam qmat, tŏc jep beq.” Phiero broq tiaq bàu. Ƀình plình doe hòm “Drah caxùnh eo enh gùng qmat hu tiaq au.”
2c0c09004e	Phiero tiaq haq loh enh gùng, ùh qnì aih joq qnàng, haq xoh deh kan mahno.
2c0c0a00e1	Wa lam khoe catech ka nòe rap ma adroe èh nòe ma atìq, aih hi trùh ajang qmang mem, aih nòe ma hu mùt ta phôq. Qmang aih tapèch đeh am ka wa, wa hi lam trong aih, tŏc ta trong kàn, aih ƀình plình hi cađac haq.
2c0c0b00b6	Khoe aih Phiero ma hi cadrat don, haq doe: Manòeq kô au ma hi loq Boc Plình joq khoe thê deh ƀình plình loh caqnaih au claih enh tì Hêrôt xam trong mangai Juđa ma tangèh.
2c0c0c0086	Haq hèm hlài ƀài yiniq aih, khoe aih haq lam ta hnim Mari, miq da Jon wì ma creo Mŏc, ta aih i bàc ngai qnang tagop waiq khàn.
2c0c0d0047	Haq clôq qmang, i mòeq ngai hapŏng yiniq haq Rôđo loh pèch qmang,
2c0c0e0084	canau ka bàu Phiero haq manè pi cajaq, loh ka pi dòh pèch qmang, haq drah cadàu mùt doe: Phiero qnang yòng ajang trong qmang!
2c0c0f0055	Wì doe: Gè khoe rawè. Mahaq dua haq doe hi loq. Wì doe: Aih ƀình plình da haq.
2c0c10005f	Mahaq Phiero clôq yôt qmang. Jò pèh qmang, hnoq Phiero, dìq dŏng ka wì hamàih đeh hra.
2c0c1100ea	Mahaq Phiero dèch tì, patìah ka wì thê wì hatinh, haq hi anoe ka wì loq Chuaq khoe qnoh haq loh enh gùng ka hnim cadrong qmang leq, khoe aih haq tanap: Doe ka Jaco xam dìq ka oh daq loq yiniq kô. Khoe aih haq hi lam taqnoeq.
2c0c120073	Trùh qngah sroq èh, taqne ƀài lình i kan tagruàng kàn: Majah qmang aih wì haq ùh qnì ka Phiero lam taleq.
2c0c1300d8	Bùa Hêrôt thê wì ti chaq jaq ka joq, mahaq wì chaq ùh hnoq, Hêrôt ti creo bòch qmòe tang ngai lình, khoe aih thê wì qnung lam jêh đac ƀài aih. Khoe ka aih Hêrôt loh ta Sêsare, haq oe hlài ta aih
2c0c140159	Bùa Hêrôt git ka mangai ta Tyro xam mangai ta Siđôn. Majah qmang aih, wì aih khoe jah manoh Balatut aih mangai cwan patìh oe ka jènh ka tì ti bùa, bùa ma tùt dèh, wì pajùm mòeq manoh ka dabau trùh glàm bùa Hêrôt đòeq hu bòch broq hatroq ka bùa, majah qmang aih gùng wì haq acaq canòm đeh dahwèq enh taneh diac bùa.
2c0c150060	Trùh hì aih, Hêrôt caxùnh eo bùa, haqngui tagèq bùa, capoch tuàng qne nòe mangai bàc.
2c0c160043	Ƀài mangai ta aih doe: Aih bàu da kiac, ùh xài bàu da mangai!
2c0c1700b1	Tajòe qmòe jò aih, i ƀình plình da Chuaq jêh bùa Hêrôt, majah qmang aih Hêrôt enh blah yŏc kan ranhòm da Boc Plình, khoe aih bùa loh ka hrai kaq, haq hi cachìt.
2c0c180039	Mahaq bàu Boc Plình hlàng trùh rai èh rai jàp jìa.
2c0c190083	Banaba xam Saulo broq gêh dèh ka bìac, wa haq hi loh enh Jêrusalem hlài ta Antiôt, qnong Jon wì ma creo dèh Mŏc lam ti wa.
2c0d0100c0	Oe ta Tagop Hadròeh Antiôt có bàc ngai pajàu xam mangai hnài, aih Basaba, Simeôn wì macreo dèh Nijê, Lusi-ut mangai gùng Syren, Manahem aih (oh ban da Hêrôt bùa qyoh), xam Saulo.
2c0d02009b	Jò oh daq qnang kùh waiq Chuaq rai apàm ka acaq, Yiang Hadròeh thê: “Lah đòeq crài Banaba xam Saulo đòeq wa hi broq trong Au khoe creo wa broq.
2c0d030060	Atìq ka apàm ka acaq rai waiq khàn, oh daq roh tì enh qnhèq ka wa, khoe aih hi thê wa lam.
2c0d04007a	Qmang aih, Jò Yiang Hadròeh khoe thê Banaba xam Saulo lam, wa loh ta Sêloxi, enh aih wa tŏc boang lam ta pleo Chipro.
2c0d050080	Jò wa khoe trùh ta Salamin, wa hnài trong Boc plình ta hnim tagop qyoh da mangai Juđa, Jon hadai lam hu wiang patìh ka wa.
2c0d06008c	Wa lam dìq ka pleo aih trùh hloe ta Ƀaphô, wa glàm mòeq ngai Juđa, mangai aih i canàih, aih mangai pajàu qnùt, yiniq haq Ƀajêsu,
2c0d0700b5	oe ti mangai tình truàng yiniq haq Sêjut-Phaulut, mangai tình truàng kô khun rabiaq dìq jaq. Haq akhen ka Banaba xam Saulo trùh, haq enh bòch tamàng đeh trong Boc Plình.
2c0d08007e	Mahaq Êlima, mangai pajàu i canàih (aih ngìah yiniq haq), tàt wa aih, ti àu chaq trong dôq cwan tình truàng ùh lùi.
2c0d090065	Khoe aih, Saulo wì ma loq creo Phaulô bình ha lùih Yiang Hadròeh, ngan tajang ka Êlima rai doe:
2c0d0a00a5	“Wùih, mangai bình bauq kan gôpla, kan dù meh, kon da kiac chŏc jròng, taƀlêq ka kan taq atoq, ìh ùh hêq ka enh toq troq đac trong jang da Chuaq qmòh?
2c0d0b00d9	Manòeq kô Chuaq dèch kŏng taƀlêq ka ìh, kô èh ìh jah lua mat, pi hnoq mat mahì toq ƀiaq hì.” Tajòe hloe jò aih raq, i kan clam cluiq gùp dŏng haq, haq ti tawìh dudan đòeq chaq mangai tìc rađeh.
2c0d0c0078	Jò cwan tình truàng hnoq qmang aih, haq hi lùi, haq hamàih dìq cajaq ka bàu da Chuaq. Oe ta Antiôt gùng Bisiđi
2c0d0d0080	Phaulô xam deh bua tŏc boang enh Baphô lam ta Ƀetjê trong gùng Bamphi-li. Mahaq Jon cađac wa, đòeq hlài ta Jêrusalem.
2c0d0e007c	Wa aih hòm, loh Ƀetjê wa ƀoe trong lam trùh Antiôt gùng Bisi-đi, Troq hì Sabat, wa mùt haqngui ta hnim tagop qyoh.
2c0d0f00b4	Bu hêq ka đŏc ta hset ranenh xam ƀài hset pajàu, wì craq wèq hnim tagop qyoh doe ka wa haq: “Wa daq! Tàng joq loq i ƀiaq nà bàu đòeq anoe hnài oh daq, anoe beq.”
2c0d10007a	Phaulô hi yòng, gwàih tì ka oh daq, haq doe: “Dìq ka oh daq Isorali xam mangai loq iu yùq Boc Plình, tamàng kô!
2c0d1100c7	Boc Plình da mangai Isorali kô, khoe ràih kan cadraq bèn, broq ka wì aih chèch lòe jò wì haq oe đeh tanòe taneh diac wì, aih diac Êdip, yŏc cwìang itai kàn qnoh wì loh enh gùng aih.
2c0d120052	Jah ta pôn jàt hanam, haq chìuq àt ka kan ùh wìa da wì aih nòe braih kàn.
2c0d130065	Jò khoe raliang qnìh cađac tapèh diac ta Cana-an, yŏc taneh wì aih aq am dèh ka mangai da haq.
2c0d14008a	Khoe èh, qnah ta pôn hrinh padam jàt hanam tìa aih, Boc Plình am ka wì aih ƀài mangai hadrah trùh hloe ta qnhòng pajàu Samuên.
2c0d150098	Jò aih wì bòch ka haq am ka wì mòeq ngai broq bùa, Haq am ka wì Saulo kon da Kit, nang noe Bênjamin, broq bùa wèq wì haq aih pôn jàt hanam.
2c0d1600d7	Khoe èh haq cađac bùa aih, dèch Đawit broq bùa, anoe trùh Đawit Boc plình doe: “Au khoe chaq hnoq Đawit kon da Jêse, aih mangai lem ka manoh au, haq aih èh ma broq tiaq rìm yiniq au enh thê haq broq.
2c0d17009a	Tiaq qmang ka bàu khoe tèu đòeq adroe, enh nang noe haq aih èh Boc Plình ma hi padèch am ka magai Isorali mòeq Ngai Dèch, aih Chuaq Jesus Christ.
2c0d18005e	Adroe ka Chuaq Jesus trùh, Jon khoe hnài ranenh ƀaptem da kan loq raxach am mangai Isorali.
2c0d1900d6	Jò Jon qnang pagêh dèh yiniq broq, haq doe: “Pì xoh au kô ìq cabô? Au ùh xài mangai pì qnang ti chaq. Mahaq i mòeq ngai trùh atìq ka au, au ùh tajì ka jah broq đeh mangai lêh caxy jep haq aih.”
2c0d1a0091	Yôi oh daq bèn kô aih mangai kon xau da Apraham xam mangai ma loq iu yùq ka Boc Plình, bàu bahìa trùh kan dèch kô khoe anoe am ka bèn.
2c0d1b00d1	Majah qmang aih xam cwan xam mangai oe ta Jêrusalem ùh canau loq ka Chuaq Jesus kô, aih ìq raq jò wì ma tahadrah ka haq, wì haq khoe broq gêh bàu ƀài mangai pajàu wì haq ma loq đŏc ta hì Sabat.
2c0d1c0087	Yac ka wì chèh chaq ta haq wì ùh loh qmòeq yiniq lui cleq ma troq ka cachìt, mahaq dua wì àu bòch dôq Philat jêh cađac haq.
2c0d1d007d	Jò wì broq khoe xìt rìm trong ma khoe achìh trùh haq, wì hi qnoh haq enh long pagat, èh catùh hanang haq ta ralùng.
2c0d1e003a	Mahaq Boc Plình khoe broq haq rìh hlài enh kan cachìt.
2c0d1f0091	Ƀài mangai ma tiaq haq enh Galili tŏc trùh Jêrusalem jah hnoq haq bàc hì, wì aih manoèq kô qnang anoe hu panhìn haq am ka mangai bèn.
2c0d20006f	Da nhèn kô hòm, anoe am ka oh daq bàu lem, aih la bàu Boc Plình ma khoe tèu am ka kan cadraq bèn rameh:
2c0d2100f6	Boc Plình khoe broq ka Chuaq Jesus rìh hlài, qmang aih khoe xìt bàu haq ma tèu am ka bèn, aih ƀài kon xau da kan cadraq bèn, wop qmang ka bàu khoe achìh ta hset Calêu Plình: “Kon kô kon calô da au, hì kô au khoe hauang kon.”
2c0d2200dd	Boc Plình broq ka Chuaq Jesus rìh hlài enh kan cachìt, qmang aih dôq chac haq ùh jò leq om hnhung hòm, qmang ka Boc Plình khoe doe: “Au am ka pì bàu hadròeh cajap, am xôq ramot au ma khoe tèu ka Đawit.”
2c0d23005a	Ajang brong qnoeq hòm doe: “Ìh ùh dôq dèh Mangai Hadròeh ìh hnoq kan om taleq.”
2c0d240081	Jò Đawit oe rìh, broq tiaq bàu Boc Plình thê, khoe aih cachìt, haq khoe jah catùh dèh ti kan cadraq, hanang haq khoe om.
2c0d25004f	Mahaq Mangai Boc plình ma broq ka haq rìh hlài enh kan cachìt ùh om taleq.
2c0d260079	Qmang aih, oh daq au, bèn khòh loq rameh: Canòm ka Chuaq Jesus aih raq, kan baclaih yiniq lui khoe jah anoe am ka pì;
2c0d27008f	èh canòm ka haq aih raq waq toq cabô lùi aih hi jah kan taq atoq, rìm trong tiaq ranenh da Môise ùh broq ka mangai leq jah kan taq atoq.
2c0d280056	Aih ìq, drah wèq rađeh dôq bàu khoe achìh ta hset pajàu ùh hìaq trùh ka pì:
2c0d2900c4	“Wùih! mangai ma loq halê meh, ngan beq, drah loq crè rai lùng pac beq; Majah qmang aih au padon broq mòeq yiniq oe ta qnhòng da pì, Yac ka i cabô anoe hlài ka pì, dua pì ùh lùi.”
2c0d2a0061	Wa aih cadiang loh enh hnim tagop qyoh, wì akhen ka wa trùh hì Sabat atìq hnài tam bàu aih.
2c0d2b00a1	Jò khoe hêq enh tagop, i bàc ngai neo tiaq trong Juđa, tiaq Phaulô xam Banaba, wa capoch tuàng ti wì rai pariaq wì oe ma cajap ta kan loq waq Boc Plình.
2c0d2c004f	Hì sabat atìq, wì ta aih tagop ten dìq ka dabau đòeq ta màng bàu Chuaq.
2c0d2d0097	Yàng ƀài mangai Juđa hnoq mangai bàc qmang aih ta manoh wì bình chàu kan tagit, wì haq tàih cađac bàu Phaulô rai capoch qmèq hloe ka haq.
2c0d2e00e0	Phaulô xam Banaba hi doe hloe ka wì: Nhèn ep hnài bàu Boc Plình ka pì adroe òeq, mahaq pì khoe ùh tamàng, pì hnoq rađeh ùh tajì đòeq jah kan rìh halình mòeq đòe, kô èh nhèn tawìh ta mangai diac wì.
2c0d2f008e	Majah qmang aih Chuaq i thê nhèn rameh: “Au dèch pì broq kan qngah am bàc diac, Dôq pì aràng kan dèch trùh jàp caqnàm plình”.
2c0d3000a6	Mangai diac wì tàng anoe qmang aih wì toq lem bùi manè apôi bàu da Chuaq, mangai leq ma khoe jah padon đòeq ka kan rìh halình mòeq đòe, dìq lùi dŏng.
2c0d310025	Trong da Chuaq hlàng jàp gùng aih.
2c0d3200ab	Mahaq mangai Juđa baxrùq ƀài mangai gucadrì padrŏng kan tagùng aih xam ƀài mangai ratauq, tirùp Phaulô xam Banaba, khoe aih hnan đac wa loh khoe dèh ka gùng.
2c0d33004f	Wa aih tangèa ta wì, hapùih caqnìh blo top ta jo wa, Khoe hi lam ta Ycôni.
2c0d340043	Wì mangai tiaq hŏc jah ùc bình kan lem bùi xam Yiang Hadròeh.
2c0e0100a4	Oe ta Ycôni, Phaulô xam Banaba mùt ta hnim tagop qyoh da mangai Juđa, wa capoch hnài qmòe dìq jaq, loh qmòe ka i bàc ngai Juđa xam mangai Gorec lùi tiaq.
2c0e020087	Mahaq mangai Juđa ma qnhòq waq lùi xan toq patah rai baxrùq manoh cliac ƀài mangai cla gùng aih đòeq hu tablêq ka wì oh daq.
2c0e0300d9	Yac ka qmang aih, Phaulô xam Ƀanaba oe ta aih dùnh diq wa bình manoh lùi, anoe Chuaq am ka wì, ùh lòm yùq qmòe cleq. Chuaq yŏc tì kŏng wa broq bàc kan halac, đòeq panhìn ka cajap trong loq waq da Haq.
2c0e04005d	Mangai ma oe ta phôq aih talah broq baiq: Qnah ngai tiaq pah magai Juđa, qnah ngai tiaq wa.
2c0e050076	Jò mangai diac wì xam mangai Juđa hloe xam bài cwan mòeq manoh ti dabau yòng taƀlêq rai enh yŏc hmo đàp wa,
2c0e06007a	mahaq wa khoe loq adroe, wa hi wia enh aih lam puplech tagùng Lycôni aih phôq Lit tro, Đetbo, xam ƀài gùng ten aih,
2c0e070013	rai hnài Bàu lem.
2c0e080052	Oe ta Lit tro i mòeq ngai pen, liap qmòe enh jò baxèm hauang, ùh jah cadiang.
2c0e090066	Haqngui tamàng bàu Phaulô hnài. Phaulô ngan mat haq, hnoq haq i manoh lùi đòeq jah broq brêh,
2c0e0a0077	Phaulô hi capoch cadêh: “Ìh yòng beq, yòng ma hnhoh haq.” Haq aih aplôh mòeq qmang, khoe aih hi cadiang lam.
2c0e0b007a	Wì ta aih hnoq yiniq Phaulô khoe broq, wì tapoch xam bàu Lycôni: Ƀài kiac khoe yŏc chac mangai đòeq loh ti bèn.
2c0e0c0078	Wì creo ka Ƀanaba aih kiac Jupite, Phaulô aih wì creo kiac Mecuro, majah qmang aih haq mangai broq gàu yòng hnài.
2c0e0d00c9	Craq pajàu da kiac Jupite i hnim tadreo ajang qmang ngo mùt ta phôq, aràng mòeq toq ƀo qnìq xam riang trùh ajang trong qmang, enh pajùm mòeq manoh ti wì ta aih hu dèch mòeq ramènh tadreo.
2c0e0e0082	Mahaq jò Ƀanaba xam Phaulô aih mangai tiaq cla, tàng qmang aih, wa haq hit deh eo rai tùh loh ta mangai bàc, rai doe cadêh:
2c0e0f0112	Wùih oh daq! gleq majah broq qmang qmat? Ma hadai mangai tìah ka oh daq, ma aràng Bàu lem am ka pì, dôq pì cađac ƀài kiac ùh loh cleq tau, hu hlài ti Boc Plình rìh halình mòeq đòe, Haq aih ma broq loh plình crŏng taneh, diac raxìq xam rìm yiniq ta aih.
2c0e100050	Qnhòng calah nèh, haq dôq rìm diac mangai leq mangai meh tiaq deh hra trong,
2c0e1100a8	mahaq dua haq patô rađeh yôt ka wì, aih la haq am xôq ramot, caqnìh mè enh plình, jò mùa am ka wì jah qmau jah plì, dahwèq acaq ùh dìq, xam kan lem bùi.
2c0e12005b	Mahaq yac ka wa anoe qmang aih, bu qnang lem tàt wì ùh hìaq dèch ka wa ramènh tadreo.
2c0e1300ab	Khoe ka aih, i mangai Juđa trùh enh Antiôt xam Ycôni lam padô wì ta aih, wì yŏc hmo hibùq Phaulô, xoh dèh haq khoe cachìt, wì hua qnoh haq enh gùng ka phôq.
2c0e140093	Mahaq jò mangai tiaq hŏc ta aih qnang tagop dabau oe dudan ka haq, haq padinh yòng mùt ta phôq. Hì atìq, haq lam ti Ƀanaba trùh ta Đetbo.
2c0e150070	Wa anoe Bàu lem ta aih, broq ka bàc ngai wìh wìa mangai tiaq hŏc, wa hi hlài ta Litro, Ycôni xam Antiôt.
2c0e16007e	Pariaq mangai tiaq hŏc ep cajap manoh lùi, anoe ka wì loq qmòe adroe ep glàm bàc kan xalep men jah mùt diac Boc Plình.
2c0e1700aa	Jò wa khoe ràih ƀài mangai đòeq hu broq gucraq ka rìm Tagop Hadròeh ta aih, khoe ka apàm ka acaq rai waiq khàn, dèch wì aih ka Chuaq wa haq ma khoe lùi dèh.
2c0e180041	Khoe aih, wa lam catech ka gùng Bisiđi, trùh tagùng Bamphily.
2c0e19002d	Atìq ka hnài ta Betjê, wa hi loh ta Atali.
2c0e1a00a2	Enh aih, wa lam boang hlài ta Antiôt, aih raq nòe wa ma khoe loh lam, ma khoe jah jao am ka kan loq waq Boc Plình, đòeq hu broq rìm yiniq wa neo broq gêh.
2c0e1b00c9	Trùh nòe, wa creo ka Tagop Hadròeh tagùng aih, wa hi taqmon rìm yiniq Boc Plình khoe broq ajang tì kŏng wa, Boc Plình khoe pèh mòeq toq qmang kan lùi am ka mangai diac wì qmang leq cadèh.
2c0e1c0021	Mangai tiaq hŏc ta aih bàc hì.
2c0f01008d	I ƀiaq ngai enh gùng Juđê trùh hnài oh daq rameh: Tàng joq pì ùh broq ramènh kat akia tiaq ranenh da Môise, aih pì ùh jah dèch.
2c0f0200d4	Aih ìq dài Phaulô xam Ƀanaba majah loh ka tarahen kàn ka wì aih, wì waq qmòe ka Phaulô xam Ƀanaba lam ti wì haq tŏc ta Jêrusalem, glàm ƀài mangai tiaq cla xam gucraq ta aih đòeq bòch yiniq kô.
2c0f0300cb	Qmang aih, jòTagop Hadròeh khoe thê wì haq, wì lam trong gùng Phênisi gùng Samari, taqmon bìac mangai diac wì khoe wìh hlài ti Bàu lem qmang leq, broq dìq dŏng ka oh daq lem bùi dìq jaq.
2c0f0400a2	Bu trùh ta Jêrusalem, Tagop Hadròeh xam mangai tiaq cla, hloe wì gucraq ta aih đìh wì haq ka alàng. Wì anoe hlài Boc Plình khoe thê wì haq broq cleq.
2c0f0500aa	Mahaq i ƀài mangai moeq bua ti mangai Pharisi hadai khoe tiaq, padinh yòng doe: Ep broq ranenh kat akia ka mangai diac wì rai thê wì aih ep wèq tiaq ranenh Môise.
2c0f06004f	Wì Mangai tiaq cla xam gucraq hi haqngui ti dabau đòeq hu hatình trong kô.
2c0f0700da	Khoe ka hatình Phiero hi yòng anoe ka wì: “Dìq ka oh daq, pì loq rameh enh jò baxèm, Boc Plình khoe ràih au taqne oh daq, dôq mangai diac wì jah tamàng Bàu lem loh enh hacùng au đòeq wì hu lùi tiaq.
2c0f080091	Boc Plình loq ka manoh cliac kon mangai, haq paqnoh rađeh khoe dì yŏc mangai diac wì, ajang nòe am ka wì Yiang Hadròeh tìah ka bèn diq.
2c0f09007e	Haq ùh i ngan bèn xam mangai diac wì crài ka dabau, majah qmang aih haq khoe yŏc kan lùi broq ka manoh wì jah hadròeh.
2c0f0a00b9	Manòeq kô hagleq oh daq majah ti qnhro ngan Boc Plình, taqmac ta ranŏng oh daq mangai diac wì long ech yac ka cadraq bèn, yac ka bèn enh nèh trùh manòeq qnhòq lah hlàt pòq?
2c0f0b0077	Majoq qnàng aih, bèn lùi rameh canòm kan am dech ajang Chuaq Jesus, bèn jah dèch qmang ka mangai diac wì diq.”
2c0f0c00ab	Dìq ka mangai tagop ta aih loh ka hatinh dŏng, tamàng Ƀanaba xam Phaulô anoe hlài bàc trong bàc kan halac Boc Plình khoe broq ajang wa am ka mangai diac wì hnoq.
2c0f0d003c	Khoe ka wa anoe, Jaco hi doe: “Dìq ka oh daq tamàng kô!
2c0f0e009a	Simôn i taqmon hlài ka bèn yàng baxèm, Boc Plình khoe ha-och ka mangai diac wì qmang leq, enh aih ràih yŏc mòeq xinoe hu dèch ka yiniq cla haq.
2c0f0f004d	Bìac aih, hatroq troeq bàu wì pajàu, majah qmang aih i bàu achìh rameh:
2c0f100099	Atìq ka aih, au wìh hlài, Broq hlài hnim ranòh da Dawit ma khoe taclìh raliang; Au palàng hlài nòe ma khoe taclìh, Au dèch paqnàng hlài haq;
2c0f11009d	Dôq ƀài mangai ma oe rah, jah chaq Chuaq Xam dìq dŏng mangai diac wì ma creo dang yiniq au. Chuaq, Mangai ma broq loh ƀài yiniq kô i anoe qmang aih;
2c0f120031	enh calah nèh raq, haq khoe loq ƀài bìac kô.
2c0f130061	Qmang aih, troeq manoh au, ùh dùh baxa oh daq mangai diac wì ma khoe wìh hlài ti Boc Plình,
2c0f1400ab	mahaq toq achìh jàiq tanap ka wì haq ep dênh apaq acaq dahwèq khoe tadreo am ka kiac qmù, paq tango anang, apaq acaq jam cachìt ka ùh jah hi hèm, apaq acaq mahim.
2c0f150093	Majah qmang aih enh nèh trùh manòeq, yac ka taleq dua i mangai hnài ranenh Môise, rìm hì sabat, oe ta hnim tagop qyoh wi i đŏc ranenh aih.
2c0f16010f	Khoe ka aih, ƀài mangai tiaq cla xam wì gucraq xam dìq dŏng ka Tagop Hadròeh ràih biaq ngai ta aih, khoe èh thê wì aih lam ti Phaulô xam Banaba trùh ta Antiôt. Wì ràih Juđe aih mangai wì xan creo dèh Ƀasaba xam Sila, aih baiq ngai broq gàu wì oh daq;
2c0f1700b6	khoe aih am ka wa aih jàiq i achìh rameh: Ƀài mangai tiaq cla, xam wì gucraq xam oh daq i bàu hmàih trùh oh daq mangai diac wì ma oe ta Antiôt, gùng Siri xam gùng Silisi!
2c0f18009f	Nhèn khoe tàng doe i ƀiaq ngai enh nhèn, wì aih ùh i yŏc mòeq nà bàu nhèn, wì aih yŏc bàu deh cla broq ka manoh oh daq loh ka manhài ùh catèm,
2c0f19007e	aih ìq dìq ka nhèn majah mòeq manoh ràih ƀiaq ngai hu lam ti wa bua bèn aih Phaulô xam Banaba, đòeq trùh ta oh daq.
2c0f1a0042	Wa aih khoe tamùa rađeh am ka yiniq Jesus Christ aih Chuaq bèn.
2c0f1b005e	Aih raq nhèn majah thê Juđe xam Sila trùh đòeq anoe xi bàu waq ka oh daq loq trong aih:
2c0f1c007a	Qmang aih Yiang Hadròeh xam nhèn khoe hadai pi taqmòq tam ka oh daq kan trap leq hòm enh gùng ka yiniq ma khòh nhet,
2c0f1d00d5	aih oh daq ep dênh: apaq acaq ƀòe dahwèq khoe tadreo ka kiac qmù, mahim, jam cachìt ka ùh jah hi hèm, èh apaq tango anang; aih raq ƀài yiniq oh daq ep dênh, ep wia ka hangai. Waiq kan catèm ka oh daq!
2c0f1e005b	Wì aih loh lam ta trùh ta Antiôt, creo tagop dìq dŏng ka oh daq, khoe hi am jàiq aih.
