0100000009	創世記
12010d0033	有一天，約伯的兒女正在長兄家吃喝，
12010e0057	有報信的人來對約伯說：「牛正在耕田、驢正在旁邊吃草的時候，
12010f006f	示巴人忽然來襲，搶走了牲口，用刀殺了你的僕人，只有我一人逃脫來向你報信。」
120110008a	話音未落，又有人來報信說：「上帝的火從天而降，燒死了羊群和牧人，只有我一人逃脫來向你報信。」
120111009f	話音未落，又有人來報信說：「迦勒底人分三隊來襲，搶走了駱駝，用刀殺了你的僕人，只有我一人逃脫來向你報信。」
1201120057	話音未落，又有人來報信說：「你的兒女正在長兄家吃喝的時候，
1201130093	忽然從曠野颳來一陣狂風，摧毀了房子四角，房子倒塌，壓死了屋裡的年輕人，只有我一人逃脫來向你報信。」
1201140048	約伯站起來，撕裂外袍，剃掉頭髮，俯伏在地上敬拜，
120115008d	說：「我從母腹赤身而來，也必赤身而去。賞賜的是耶和華，收回的也是耶和華。耶和華的名當受稱頌！」
120116003f	約伯遭此不幸，仍沒有犯罪，也沒有埋怨上帝。
1202010048	又有一天，眾天使來朝見耶和華，撒旦也在他們當中。
120202005d	耶和華問撒旦：「你從哪裡來？」撒旦答道：「我在地上到處遊走。」
12020300de	耶和華問道：「你注意到我的僕人約伯了嗎？世上沒有人像他那樣純全正直，敬畏我，遠離罪惡。雖然你鼓動我無緣無故地攻擊他、毀滅他，他仍然持守自己的純正。」
1202040054	撒旦回答說：「人會以皮換皮，為了保全生命，情願捨棄一切。
1202050042	倘若你伸手傷害他的骨和肉，他必當面褻瀆你。」
1202060045	耶和華說：「好吧，他在你手中，但要留他一命。」
120207005d	於是，撒旦從耶和華面前退去，開始加害約伯，使他從頭到腳長毒瘡。
120208002d	約伯坐在爐灰中，拿瓦片刮身體。
1202090066	他的妻子對他說：「你還要持守自己的純正嗎？不如褻瀆上帝，死掉算了！」
12020a00b1	但約伯回答說：「你說話像個愚昧的婦人。難道我們只從上帝手裡接受祝福，卻不接受災殃嗎？」約伯遭此不幸，仍沒有犯言語之罪。
12020b00a8	約伯的三個朋友提幔人以利法、書亞人比勒達和拿瑪人瑣法聽到他的不幸遭遇，便各自從家鄉動身，相約一起來探望、安慰他。
12020c0087	他們遠遠地看見約伯，幾乎認不出是他，禁不住放聲大哭，各自撕裂外袍，揚起塵土，讓土落在頭上。
12020d0066	他們看到約伯極其痛苦，就陪著他在地上坐了七天七夜，沒有對他說一句話。
120301002d	後來，約伯開口咒詛自己的生日，
1203020006	說：
1203030036	「願我出生的那日和懷我的那夜都滅沒。
120304004a	願那日一片黑暗， 被天上的上帝遺忘， 沒有陽光照耀。
1203050053	願那日被幽暗和濃濃的黑影籠罩， 被密雲覆蓋， 被陰暗淹沒。
1203060047	願那夜被幽暗吞噬， 不列在年日中， 不算在歲月裡。
120307002e	願那夜無人生育， 毫無快樂之聲。
1203080041	願那些咒詛白日、 能惹動海怪的人， 咒詛那夜。
1203090053	願那夜的晨星昏暗， 等不到晨光的出現， 看不見黎明的眼簾。
12030a004f	因為那夜沒有關閉我母胎的門， 也沒有遮住我眼前的患難。
12030b003d	「為何我不出生時就夭折， 出母胎時就斷氣？
12030c0034	為何要把我抱在膝上， 用乳汁哺育我？
12030d002d	不然我早已安然躺臥、長眠安息，
12030e0051	與世上的君王和謀臣作伴——他們為自己建造的宮殿已荒廢，
12030f0027	與房屋堆滿金銀的王侯同眠。
120310003f	為何我沒有像未見天日就流產的嬰兒一樣消逝？
1203110037	那裡，惡人不再攪擾， 疲憊者得到安息，
1203120034	被囚者得到安寧， 聽不見監工的斥責。
1203130046	尊貴與卑賤的人都在那裡， 奴僕不再受主人的轄制。
1203140043	「為何賜光給受苦的人， 賜生命給心靈痛苦的人？
1203150040	他們等候死亡卻等不到， 他們求死勝於求寶藏。
1203160034	他們歸入墳墓時非常快樂， 欣喜若狂。
120317003a	為何賜生命給前路渺茫、 被上帝圍困的人？
120318002b	我以歎息為食， 呻吟如水湧流。
1203190037	我害怕的事發生了， 我恐懼的事來臨了。
12031a0045	我不得安寧， 不得平靜， 不得安息， 只有患難。」
120401001e	提幔人以利法回答說：
1204020050	「若有人向你進言， 你會厭煩嗎？ 可是，誰能忍住不說呢？
1204030031	你曾教導許多人， 使無力的手強壯。
120404003a	你的話使人免於跌倒， 你使顫抖的膝硬朗。
1204050054	但現在苦難一來， 你便灰心喪膽； 災禍來臨， 你便驚慌失措。
1204060049	你敬畏上帝還沒有信心嗎？ 你行為純全還沒有盼望嗎？
1204070047	你想一想， 哪有無辜的人滅亡？ 哪有正直的人遭殃？
120408002f	據我所見， 播惡收惡， 種禍得禍。
120409003d	他們被上帝的氣息所毀， 被上帝的怒氣所滅。
12040a003a	獅子咆哮，猛獅吼叫， 雄獅的牙齒被敲掉。
12040b0031	雄獅因無食而死， 母獅的幼崽離散。
12040c0040	「有信息暗暗地傳給我， 一聲低語傳入我耳中。
12040d003d	夜間人們沉睡的時候， 在攪擾思緒的異象中，
12040e0035	恐懼襲來， 令我戰慄不已， 全身發抖。
12040f0031	有靈從我臉上拂過， 使我毛骨悚然。
1204100066	那靈停住， 我無法辨認其模樣。 眼前出現一個形狀， 寂靜中聽見有聲音說，
1204110061	『在上帝面前，世人豈算得上公義？ 在創造主面前，凡人豈算得上純潔？
1204120052	連上帝的僕人都無法令祂信任， 連祂的天使都被祂找出過錯，
1204130056	更何況那源自塵土、 住在土造的軀殼裡、 脆弱如蛾蟲的世人呢？
1204140043	早晚之間，他們便被毀滅， 永遠消逝，無人察覺。
1204150043	他們帳篷的繩索拔掉了， 他們昏昏聵聵地死去。』
120501004d	「你只管呼救吧， 誰會回應你呢？ 你向哪位聖者求助呢？
1205020031	憤恨害死愚昧人， 嫉妒殺死無知者。
1205030037	我見愚昧人扎了根， 突然咒詛臨到他家。
1205040043	他的兒女毫無安寧， 在城門口受欺壓也無人搭救。
1205050062	饑餓的人吞掉他的莊稼， 連荊棘裡的也不放過； 乾渴的人吞盡他的財富。
120506003d	苦難並非從土裡長出， 患難並非從地裡生出。
1205070034	人生來必遇患難， 正如火花必向上飛。
120508003b	「若是我， 就向上帝求助， 向祂陳明苦衷。
120509003d	祂行的奇事不可測度， 祂行的神蹟不可勝數。
12050a003a	祂降下雨水澆灌大地， 賜下甘霖滋潤田園。
12050b002e	祂提拔卑微的人， 庇護哀痛的人。
12050c0037	祂挫敗狡猾人的陰謀， 使他們無法得逞。
12050d0046	祂使智者中了自己的詭計， 使奸徒的計謀迅速落空。
12050e0037	他們白天遇到黑暗， 午間摸索如在夜晚。
12050f004c	上帝拯救窮苦人脫離惡人的中傷， 脫離殘暴之徒的轄制，
120510003d	好使貧寒之人有盼望， 使不義之徒啞口無言。
1205110046	「被上帝責備的人有福了， 不可輕視全能者的管教。
1205120043	因為祂打傷，祂也包紮； 祂擊傷，祂也伸手醫治。
1205130043	六次遭難，祂都救你； 第七次，災禍也傷不到你。
120514004f	饑荒時，祂必救你脫離死亡； 戰爭中，祂必救你脫離刀劍。
120515003a	你必免受惡毒的譭謗， 災難來臨也不懼怕。
120516003d	你必笑對災殃和饑荒， 毫不懼怕地上的野獸。
1205170040	你必與田間的石頭立約， 野獸必與你和平相處。
1205180040	你必知道家裡安然無恙， 察看羊圈，一隻不少。
1205190037	你必知道子孫昌盛， 後代如遍地的青草。
12051a0043	你必壽終正寢才歸墳墓， 如同莊稼熟後才被收割。
12051b005c	看啊，我們已經查驗了， 這一切真實可靠， 你當聆聽並學以致用。」
1206010012	約伯回答說：
1206020040	「要是能稱量我的苦難， 把我的災殃放在秤上，
1206030031	那將比海沙還重； 所以我言語魯莽。
1206040056	因為全能者的箭射中我， 箭毒侵蝕我的靈， 祂使恐懼列隊襲來。
1206050037	野驢有草豈會叫喚？ 牛有飼料豈會哞叫？
1206060037	淡食無鹽豈可下嚥？ 蛋清有什麼滋味呢？
120607002b	我碰都不想碰， 它們令我噁心。
120608003d	唯願我的祈求蒙應允， 願上帝成全我的冀望，
1206090025	願祂壓碎我， 伸手毀滅我。
12060a0062	這樣，我還能感到欣慰， 在殘酷的痛苦中雀躍， 因我沒有違背聖者之言。
12060b0046	我有何力量可以支撐下去？ 有何前景讓我忍耐下去？
12060c0037	我的力量豈能堅如石？ 我豈是銅造之軀？
12060d002e	我毫無自救之力， 已到窮途末路。
12060e004f	「即使絕望者拋棄對上帝的敬畏， 也應該得到朋友的恩待。
12060f004a	我的弟兄難以信賴， 如同季節河， 又像乾涸的河床——
1206100031	結冰後顏色發黑， 融雪後水流漲溢；
1206110037	水流在乾季時消失， 河床在烈日下乾涸。
120612003d	商隊偏離路線來找水喝， 結果在荒漠中死去。
120613003d	提瑪的商隊來找水喝， 示巴的旅客指望解渴，
1206140037	結果希望化為泡影， 到了那裡大失所望。
120615003d	你們同樣也幫不了我， 你們看見災禍便害怕。
1206160056	我何嘗對你們說過， 『請你們供應我， 把你們的財產給我一份，
1206170040	從仇敵手中拯救我， 從殘暴之徒手中救贖我』？
1206180043	「請多賜教，我會閉口不言； 請指出我錯在何處。
1206190037	忠言何等逆耳！ 但你們的指責有何根據？
12061a003a	你們既視絕望者的話如風， 還要來糾正嗎？
12061b003a	你們甚至抽籤得孤兒， 把朋友當貨物賣掉。
12061c003a	懇請你們看著我， 我在你們面前撒過謊嗎？
12061d004c	請三思而行，不可不公正； 請重新考慮，因我誠實無過。
12061e0034	我豈會說詭詐之言？ 我豈會是非不辨？
120701004f	「人生在世豈不像服勞役嗎？ 他有生之年豈不像個雇工嗎？
120702003d	他像切望陰涼的奴隸， 又如期盼報酬的雇工。
1207030046	同樣，我註定要度過虛空的歲月， 熬過悲慘的黑夜。
1207040058	我躺在床上，盤算何時起來。 長夜漫漫，我輾轉難眠，直到拂曉。
1207050040	我身上佈滿蛆蟲、傷疤， 皮膚破裂，流膿不止。
1207060043	我的年日飛逝，比梭還快， 轉眼結束，毫無盼望。
1207070055	「上帝啊，別忘了我的生命不過是一口氣， 我再也看不見幸福。
1207080055	注視我的眼睛將再也看不見我， 你將尋找我，而我已不復存在。
1207090034	人下到陰間不再上來， 如同煙消雲散；
12070a0037	他永不再返回家園， 故土也不再認識他。
12070b0059	「因此我不再緘默不語， 我要吐露胸中的悲痛， 傾訴心裡的苦楚。
12070c0049	上帝啊，我豈是大海，豈是海怪， 值得你這樣防範我？
12070d003d	我說床鋪是我的安慰， 臥榻可解除我的哀愁，
12070e0031	這時你卻用噩夢驚我， 用異象嚇我，
12070f003d	以致我寧願窒息而死， 也不願留著這身骨頭。
1207100052	我厭惡生命，不想永活。 不要管我，因為我的日子都是虛空。
120711003d	「人算什麼，你竟這樣看重他， 這樣關注他？
1207120034	你天天早上察看他， 時時刻刻考驗他。
120713003d	你的視線何時離開我， 給我嚥口唾沫的時間？
120714007e	鑒察世人的主啊， 我若犯了罪，又於你何妨？ 為何把我當成你的箭靶？ 難道我成了你的重擔？
120715007f	為何不赦免我的過犯， 饒恕我的罪惡？ 我很快將歸於塵土， 你將尋找我， 而我已不復存在。」
120801001e	書亞人比勒達回答說：
1208020040	「你要這樣絮叨到何時？ 你的話猶如陣陣狂風。
120803003a	上帝豈會歪曲正義？ 全能者豈會顛倒是非？
1208040043	如果你的兒女得罪了祂， 祂會給他們應有的懲罰。
120805002e	但你若尋求上帝， 向全能者懇求；
120806004a	你若純潔、正直， 祂必起身相助， 恢復你公義的家園。
1208070031	你起初雖然卑微， 日後必興旺發達。
1208080031	「你要請教先輩， 探究祖先的經驗。
1208090052	因為我們昨天才出生，一無所知， 我們在世的日子如同掠影。
12080a003d	先輩必給你教誨和指點， 向你道出明智之言。
12080b003a	「蒲草無泥豈可長高？ 蘆葦無水豈可茂盛？
12080c003d	它們還在生長、尚未割下， 已比百草先枯萎。
12080d0055	忘記上帝的人，結局也是如此； 不信上帝的人，盼望終必破滅。
12080e003d	他所仰仗的虛若游絲， 他所倚靠的誠如蛛網。
12080f0049	他倚靠它，它卻支撐不住； 他抓緊它，它卻脆弱不穩。
1208100040	他像陽光下生機勃勃的植物， 枝條爬滿了園囿，
120811002b	根莖盤繞石堆， 深深扎入石縫。
1208120037	一旦他被連根拔起， 原處必否認見過他。
120813003a	他的生命就這樣消逝， 地上會興起其他人。
1208140046	「上帝絕不會拋棄純全的人， 也不會扶持邪惡的人。
120815002b	祂要使你笑口常開， 歡聲不斷。
1208160046	憎恨你的人必抱愧蒙羞， 惡人的帳篷必不復存在。」
1209010012	約伯回答說：
1209020052	「不錯，我知道你所言不虛， 但人怎能在上帝面前算為義人？
1209030034	人若想與祂辯駁， 千次也不能勝一次。
1209040046	祂充滿智慧，能力無比， 誰能抗拒祂還能平安無恙？
1209050037	祂可猝然挪動群山， 在怒氣中把山翻倒。
120906003d	祂震動大地，使其挪位， 以致地的支柱搖撼。
1209070044	祂一聲令下， 太陽便不再升起， 眾星也不再發光。
1209080031	祂獨自鋪展穹蒼， 步行在海浪之上。
120909003c	祂創造了北斗星、參星、昴星及南天的星座。
12090a0034	祂行的奇事不可測度， 奇蹟不可勝數。
12090b0052	祂經過我身旁，我卻看不見； 祂從旁邊掠過，我也無法察覺。
12090c0043	祂若奪取，誰能阻擋？ 誰敢問祂，『你做什麼？』
12090d0043	上帝不會忍怒不發， 海怪的幫手必屈膝在祂腳前。
12090e0040	「因此，我怎敢與祂辯駁？ 怎敢措辭與祂理論？
12090f0049	我縱然無辜，也無法申訴， 只能乞求我的審判者施恩。
1209100058	即使我呼喚祂的時候，祂回應我， 我仍不相信祂會垂聽我的聲音。
1209110037	祂用暴風摧毀我， 無故地使我飽受創傷。
1209120031	祂不肯讓我喘息， 祂使我嘗盡苦頭。
120913003d	若論力量，祂甚強大； 若上公堂，誰敢傳祂？
1209140061	即使我清白無辜，我的口也會認罪； 即使我純全無過，祂也會判我有罪。
1209150049	我雖純全無過，也已毫不在乎自己， 我厭惡我的生命。
1209160052	因為，我認為都是一樣， 純全無過的人和惡人都會被祂毀滅。
120917003d	災禍突然奪走人命時， 祂嘲笑無辜者的遭遇。
1209180046	大地落入惡人手中， 蒙蔽審判官眼睛的不是祂是誰？
1209190040	「我的年日比信差還快， 匆匆而過，不見幸福。
12091a0040	我的歲月疾馳如蒲草船， 快如急降抓食的老鷹。
12091b003d	即使我說要忘掉怨恨， 拋開愁容，強顏歡笑，
12091c0043	諸多的患難仍使我懼怕， 我知道祂不承認我無辜。
12091d0034	既然我被定為有罪， 又何必徒然掙扎？
12091e002e	即使我用雪水淨身， 用鹼水洗手，
12091f003d	祂仍會把我扔進污坑， 連我的衣服也嫌棄我。
120920004f	祂並非世人，與我迥異， 我無法與祂辯駁，一起對簿公堂。
120921003d	我倆中間沒有仲裁者， 無人為我們斷定是非。
1209220043	若能拿開祂責打我的刑杖， 使我不再受祂的驚嚇，
1209230052	我就會放膽發言，不必對祂心存恐懼， 但現在我卻不能這樣。
120a010053	「我厭惡自己的生命， 我要傾訴我的哀怨， 吐露心中的苦水。
120a02004f	我對上帝說，『不要定我的罪。 請告訴我，你為何指控我？
120a030049	難道你喜悅壓迫、鄙視你造的人， 卻青睞惡人的計謀？
120a040034	難道你的眼是肉眼， 目光如凡人一般？
120a050043	難道你的年日像人一樣有限， 歲月如世人般短暫？
120a060034	以致你探查我的過犯， 追究我的罪愆？
120a070043	其實你知道我沒有犯罪， 無人能從你手中解救我。
120a080037	「『你親手造我塑我， 現在卻要毀滅我。
120a09003d	別忘了你用泥土造我， 難道要使我復歸塵土？
120a0a0046	你不是將我像奶一樣倒出， 使我像乳酪一樣凝固嗎？
120a0b0031	你給我穿上皮肉， 用筋骨把我編織。
120a0c0040	你賜我生命給我慈愛， 你的眷顧使我保全性命。
120a0d003d	「『但你心中藏著計劃， 我知道你早有此意，
120a0e0037	我若犯罪，你就鑒察， 不肯赦免我的罪。
120a0f0068	我若有罪，便遭禍患； 即使清白，也不敢抬頭， 因為我飽嘗羞辱，吃盡苦頭。
120a100053	我若昂首挺立， 你會像獅子般追捕我， 再次施展大能攻擊我。
120a110056	你重新派證人指控我， 你對我越來越憤怒， 使軍隊輪流攻擊我。
120a12004d	你為何讓我出母腹？ 我不如當時就死去， 不被世人看見，
120a13003a	好像我從未出生， 一出母腹就被送進墳墓。
120a14004d	我的年日不是所剩無幾嗎？ 求你放過我， 讓我歡樂片刻。
120a150037	我很快就一去不返， 進入幽冥黑暗之地。
120a160046	那裡一片漆黑，幽暗混亂； 那裡的光猶如黑暗。』」
120b01001b	拿瑪人瑣法回答說：
120b02004c	「難道滔滔不絕就無人反駁？ 難道嘮嘮叨叨就證明有理？
120b03005e	你喋喋不休，豈能使人緘默不言？ 你嘲笑譏諷，豈不該有人使你羞愧？
120b040034	你自以為信仰純全， 在上帝眼中清白。
120b050028	唯願上帝發言， 開口駁斥你，
120b06006e	告訴你智慧的奧秘， 因為真智慧深奧難懂。 要知道，上帝沒有追究你全部的罪愆。
120b070040	「你能測度上帝的深奧， 查明全能者的極限嗎？
120b080058	那可比諸天還高，你能做什麼？ 那可比陰間還深，你能知道什麼？
120b090031	那可比大地還寬廣， 比海洋還遼闊。
120b0a0035	祂若來囚禁你， 開庭審判， 誰能阻攔？
120b0b0038	祂洞悉詭詐之人， 看見罪惡， 豈會不理？
120b0c003d	愚蠢人若能變得聰明， 野驢駒也可生成人樣。
120b0d002e	「你若把心安正， 向祂伸出雙手；
120b0e0040	你若除去手中的罪惡， 不容帳篷裡有任何不義，
120b0f003d	就必能無愧地仰起臉， 站立得穩，無所畏懼。
120b100043	你必忘記自己的苦楚， 它從你記憶中如流水逝去。
120b110049	你的人生將比正午還光明， 生命中的黑暗也必像黎明。
120b120043	你必安穩，因有盼望， 你必得到保護，安然歇息。
120b13003a	你睡覺時必無人驚擾， 許多人必求你施恩。
120b14004c	但惡人必眼目失明，無路可逃， 他們的指望只有死亡。」
120c010012	約伯回答說：
120c020043	「你們真是重要人物， 你們死了，智慧也會消逝！
120c030049	但我也有心智，不比你們遜色。 你們說的，誰不知道？
120c04006d	我這求告上帝並蒙祂應允的人竟成了朋友的笑柄， 我這公義純全的人竟成了笑柄。
120c050043	安逸的人心中藐視災禍， 災禍隨時臨到滑倒的人。
120c060043	強盜的帳篷太平， 冒犯上帝、手捧神像的人安穩。
120c070055	「你去問走獸，牠們會指教你； 問天上的飛禽，牠們會告訴你；
120c080049	向大地討教，大地會指教你， 或讓海中的魚為你闡明。
120c090036	牠們當中哪個不知這是耶和華親手所為？
120c0a003d	所有生命都在祂手中， 世人的氣息也不例外。
120c0b0037	耳朵豈不辨別話語， 舌頭豈不品嘗食物？
120c0c0031	智慧與老人相伴， 知識與長者為伍。
120c0d003a	「上帝有智慧和權能， 謀略和知識屬於祂。
120c0e003d	祂拆毀的，無法重建； 祂囚禁的，無法獲釋。
120c0f0046	祂攔住水源，便有乾旱； 祂放開水源，大地被淹沒。
120c100040	祂充滿力量和智慧。 騙子和受騙者都在祂權下。
120c110037	祂使謀士赤身被擄， 使審判官愚拙不堪。
120c12003a	祂除去君王的腰帶， 在他們腰間綁上囚索。
120c130037	祂使祭司赤身被擄， 祂推翻久握大權者。
120c140037	祂奪去謀士的口才， 祂拿走長者的洞見。
120c150037	祂使權貴倍受羞辱， 祂除掉強者的權勢。
120c16003d	祂揭露黑暗中的奧秘， 祂把幽暗帶入光明中。
120c17003d	祂使列國興起又滅亡， 祂使列國擴張又崩潰。
120c180046	祂奪去世人首領的心智， 使他們在無路的荒野流浪。
120c190040	他們在無光的黑暗中摸索， 像醉漢般踉踉蹌蹌。
120d010040	「這一切，我親眼見過， 親耳聽過，且已明白。
120d020037	你們知道的我也知道， 我不比你們遜色。
120d03003a	但我想和全能者對話， 我渴望跟上帝理論。
120d040031	你們卻編造謊言， 都是無用的醫生。
120d050037	但願你們閉口不言， 那樣還算你們明智。
120d060034	請聽我的申辯， 留心聽我口中的爭訟。
120d070037	你們要為上帝說謊， 為祂說詭詐的話嗎？
120d080037	你們要偏袒上帝嗎？ 你們要替祂辯護嗎？
120d090052	祂查問你們時豈會有好結果？ 你們豈能像欺騙人一樣欺騙祂？
120d0a002e	你們若暗中偏袒， 祂必責備你們。
120d0b0052	難道祂的威嚴不令你們恐懼嗎？ 難道你們不對祂充滿敬畏嗎？
120d0c0049	你們的名言是無用的灰燼， 你們的雄辯是土築的營壘。
120d0d003d	「你們住口，讓我發言； 我願承擔一切後果。
120d0e0031	我已經豁出性命， 不惜冒生命危險。
120d0f004c	祂必殺我，我毫無指望， 但我仍要在祂面前為自己申辯。
120d100046	這樣我才能得救， 因為不信上帝的人不可到祂面前。
120d11002e	請留心聽我說話， 側耳聽我發言。
120d12003a	看啊，我已準備好辯詞， 我知道自己有理。
120d130037	若有人能指控我， 我就緘默，情願死去。
120d140046	上帝啊，只求你應允我兩件事， 我就不躲避你的面，
120d150043	求你把手從我身上挪開， 不要用你的威嚴驚嚇我。
120d16004c	這樣，你傳喚我，我必回應； 或者讓我陳述，你來回答。
120d170049	我究竟有什麼過錯和罪惡？ 求你指出我的過犯和罪愆。
120d180037	你為何掩面不看我？ 為何把我當作仇敵？
120d190049	你要恐嚇一片風中的落葉嗎？ 你要追趕枯乾的草芥嗎？
120d1a003d	你記下指控我的罪狀， 讓我承擔幼年的罪惡。
120d1b0050	你給我上了腳鐐， 監視我的一舉一動， 為我的腳掌設界限。
120d1c0034	我消逝如朽爛之物， 又如蟲蛀的衣服。
120e010037	「人為婦人所生， 一生短暫，充滿患難。
120e020040	他如花盛開，轉眼凋謝； 如影消逝，無法久留。
120e030040	你還察看這樣的世人嗎？ 還要把我帶來受審嗎？
120e040031	誰能使污穢產生潔淨呢？ 沒有人能。
120e050056	人的年日已被限定， 你掌管他的歲月， 設定他無法逾越的界限。
120e060046	求你轉身，別去管他， 好讓他如雇工度完他的日子。
120e070053	樹木若被砍下，還有希望， 它仍可重新萌芽， 嫩枝生長不息。
120e080037	雖然樹根在土裡衰老， 樹樁在地裡死去，
120e090040	但一有水氣， 它就會像新栽的樹一樣發芽長枝。
120e0a0043	但人一死，就失去力量； 人一嚥氣，就不知去向。
120e0b0025	湖水會枯竭， 江河會乾涸，
120e0c0069	人躺下便不再起來， 到諸天不復存在， 他仍不會醒來， 不會從長眠中被喚醒。
120e0d005c	但願你把我藏在陰間， 把我藏起來直到你息怒， 定下眷顧我的日期。
120e0e006b	人若死了，還能復生嗎？ 我要在勞苦的歲月中等待， 直到我得釋放的日子來臨。
120e0f0046	那時你呼喚，我便回應， 你必惦念你親手所造之物。
120e100040	那時你必數算我的腳步， 但不會追究我的罪惡。
120e11003d	我的過犯會被封在袋中， 你會遮蓋我的罪愆。
120e120022	「高山崩塌， 磐石挪移；
120e13004d	流水磨損石頭， 急流沖走泥土； 你也這樣粉碎人的希望。
120e14004c	你永遠擊敗他，使他消逝； 你改變他的容顏，讓他離世。
120e150052	他的後人得尊榮，他無從知曉； 他們遭貶抑，他也無法察覺。
120e16003a	他只感受到自身的痛苦， 只為自己哀哭。」
120f01001e	提幔人以利法回答說：
120f020031	「智者豈會用空談作答， 滿腹東風？
120f030034	申辯時豈會講無用的話， 說無益之言？
120f040034	你摒棄對上帝的敬畏， 拒絕向祂默禱。
120f050037	你的罪指示你開口， 使你說出詭詐之言。
120f060053	並非我定你的罪， 定你罪的是你的口， 指控你的是你的嘴唇。
120f070040	你豈是第一個出生的人？ 你豈在群山之前被造？
120f080034	你豈聽過上帝的密旨？ 你豈獨攬智慧？
120f09003a	有何事你知而我們不知， 你懂而我們不懂？
120f0a0037	我們這裡有白髮老人， 比你父親還年長。
120f0b003d	上帝用溫柔的話安慰你， 難道你還嫌不夠嗎？
120f0c002e	你為何失去理智， 為何雙眼冒火，
120f0d002b	以致你向上帝發怒， 口出惡言？
120f0e0049	人算什麼，怎能純潔？ 婦人所生的算什麼，怎能公義？
120f0f0052	連上帝的聖者都無法令祂信任， 連諸天在祂的眼中都不潔淨，
120f100034	更何況可憎敗壞、 嗜惡如喝水的世人？
120f110043	「讓我告訴你，你好好聽著。 我要把所見的陳明，
120f12003a	那是智者的教導， 是他們未曾隱瞞的祖訓。
120f130046	這片土地只賜給了他們， 沒有外人在他們中間出入。
120f140034	惡人一生受折磨， 殘暴之徒終身受苦。
120f150040	他耳邊響著恐怖的聲音， 他安逸時遭強盜襲擊。
120f16003a	他不指望能逃脫黑暗， 他註定要喪身刀下。
120f170046	他到處流浪，尋找食物， 他知道黑暗之日快要來臨。
120f180049	患難和痛苦使他害怕， 像預備上陣的君王一樣壓制他。
120f190031	因為他揮拳對抗上帝， 藐視全能者，
120f1a0021	手拿堅盾狂妄地衝撞祂。
120f1b0028	他滿臉肥肉， 腰間堆滿脂肪。
120f1c004a	他活在毀滅的城邑， 住在被人廢棄、 行將坍塌的房屋。
120f1d003e	他不再富足， 家財不能久留， 地產無法加增。
120f1e0059	他無法逃脫黑暗， 火焰要燒焦他的嫩枝， 上帝口中的氣要毀滅他。
120f1f0046	他不可自欺，信靠虛空， 因為虛空必成為他的回報。
120f200049	在他離世以前，虛空必臨到他， 他的枝子再不會青綠。
120f210063	他必像一棵葡萄樹， 葡萄未熟已掉落； 又像一棵橄欖樹， 花剛開便凋零。
120f220043	不信上帝之輩必不生育， 受賄者的帳篷必被火燒。
120f23003d	他們心懷不軌，生出罪惡， 他們滿腹詭詐。」
1210010012	約伯回答說：
1210020046	「這些話，我聽過很多， 你們的安慰無不讓人愁煩。
1210030043	你們的空談無休無止嗎？ 是什麼惹你們說個不停？
121004006f	倘若你我易地而處， 我也能說你們那樣的話， 滔滔不絕地攻擊你們， 向你們搖頭。
121005004c	但我會對你們講鼓勵的話， 用勸慰之言減輕你們的痛苦。
1210060040	「我若申辯，痛苦不減； 我若緘默，痛苦猶在。
121007003a	上帝啊，你無疑使我精疲力竭， 家破人亡，
121008004d	你榨乾了我， 使我骨瘦如柴， 這成了當面指控我的罪證。
121009005f	上帝在憤怒中撕裂我，迫害我， 向我咬牙切齒； 仇敵惡狠狠地盯著我。
12100a0044	他們嘲笑我， 輕蔑地摑我的臉， 聯合起來攻擊我。
12100b0037	上帝把我交給罪人， 把我扔到惡人手中。
12100c0062	我本來平順，祂擊垮了我， 祂抓住我的頸項將我摔碎， 把我當祂的箭靶。
12100d005f	祂的弓箭手四面圍住我， 祂毫不留情地刺透我的腎臟， 使我肝膽塗地。
12100e0037	祂一次次地擊傷我， 像勇士一樣撲向我。
12100f0040	我將麻衣縫在皮膚上， 把我的榮耀埋在塵土中。
1210100028	我哭得臉頰紅腫， 眼皮發黑。
1210110031	但我未行殘暴之事， 我的禱告純真。
121012004c	「大地啊！不要掩蓋我的血， 不要讓我的呼求銷聲匿跡。
1210130043	此時，我的見證人在天上， 我的辯護者在高天上。
121014003a	我的朋友譏笑我， 我在上帝面前淚水湧流。
1210150040	但願人與上帝之間有仲裁者， 如同人與人之間。
1210160037	因為我的年日不多， 我快要踏上不歸路。
1211010043	「我的心靈破碎，我的年日將盡， 墳墓等候著我。
1211020046	無疑，嘲笑的人圍著我， 我眼睜睜地看著他們挑釁。
1211030049	上帝啊，求你為我作保。 除你以外，誰肯做我的保人？
1211040040	你蒙蔽了他們的心智， 因此你必不讓他們得勝。
1211050043	人為了分產業而控告朋友， 其子孫的眼睛要失明。
1211060043	上帝使我成了人們的笑柄， 他們在我臉上吐唾沫。
1211070037	哀傷使我眼目昏花， 我整個人骨瘦如柴。
1211080049	這使正直的人震驚， 使無辜的人起來討伐不敬虔的人。
1211090037	義人堅守自己的道， 手潔的人更有力量。
12110a004c	來吧，你們眾人再來， 我在你們中間不會找到一個智者。
12110b0041	我的年日已盡， 我的計劃破滅， 我的心願落空。
12110c0037	他們以黑夜為白晝， 說光明與黑暗相似。
12110d0049	我若期望陰間作我的家園， 在黑暗之地鋪設我的床榻，
12110e0034	稱墳墓為父親， 稱蛆蟲為母親、姊妹，
