2800000009	Mattheüs
2b1327008b	En ook Nikodemus kwam, — die vroeger des nachts tot Jezus gekomen was— en bracht een mengsel van mirrhe en aloë, omtrent honderd pond.
2b1328008d	Zij namen dan het lichaam van Jezus en bonden het in linnen doeken met de specerijen, gelijk het bij de Joden de gewoonte is van te begraven.
2b13290079	Er was nu ter plaatse waar Hij gekruisigd was een hof, en in dien hof een nieuw graf, waarin nog nooit iemand gelegd was.
2b132a0059	Aldaar dan leiden zij Jezus, wegens de voorbereiding der Joden, omdat het graf nabij was.
2b14010088	Op den eersten dag der week kwam Maria Magdalena vroeg, als het nog donker was, naar het graf, en zag den steen van het graf weggenomen.
2b140200c9	Zij liep dan heen en kwam tot Simon Petrus en tot den anderen discipel, dien Jezus beminde, en zeide tot hen: Zij hebben den Heere uit het graf weggenomen, en wij weten niet waar zij Hem gelegd hebben!
2b14030047	Petrus dan ging uit en de andere discipel, en zij gingen naar het graf.
2b14040074	Die twee nu liepen te gelijk, en de andere discipel liep sneller dan Petrus vooruit, en kwam het eerst tot het graf.
2b14050042	En hij bukte en zag de linnen doeken liggen, maar ging er niet in.
2b1406005f	Simon Petrus dan, die hem volgde, kwam aan en ging in het graf, en zag de linnen doeken liggen,
2b14070086	en den zweetdoek, die op zijn hoofd was geweest, zag hij niet liggen bij de linnen doeken, maar ter zijde samengerold op één plaats.
2b1408006c	Toen ging dan ook de andere discipel binnen, die het eerst aan het graf gekomen was, en hij zag en geloofde.
2b14090052	Want nog verstonden zij de Schrifture niet, dat Hij moest verrijzen uit de dooden.
2b140a002b	De discipelen dan gingen wederom naar huis.
2b140b005d	Doch Maria stond buiten bij het gaf te weenen. Terwijl zij dan weende, bukte zij in het graf,
2b140c0089	en zag twee engelen zitten in witte kleederen, een aan het hoofdeinde en een aan het voeteneinde, waar het lichaam van Jezus gelegen had.
2b140d0099	Deze zeiden tot haar: Vrouw, waarom weent gij? — Zij zeide tot hen: Omdat zij mijn Heere hebben weggenomen, en ik weet niet waar zij Hem gelegd hebben!
2b140e005e	Dit gezegd hebbende keerde zij zich om en zag Jezus staan, en zij wist niet dat het Jezus was.
2b140f00dd	Jezus zeide tot haar: Vrouw, waarom weent gij? wien zoekt gij? — Zij nu, meenende dat Hij de hovenier was, zeide tot Hem: Heer, als gij Hem hebt weggedragen, zeg mij dan waar gij Hem gelegd hebt, en ik zal Hem wegnemen!
2b1410007b	Jezus zeide tot haar: Maria! — Zij zich omkeerende zeide tot Hem in het hebreeuwsch: Rabboeni! dat is te zeggen: Meester.
2b141100ca	Jezus zeide tot haar: Raak Mij niet aan, want Ik ben nog niet opgeklommen tot mijn Vader! maar ga heen tot mijn broeders en zeg tot hen: Ik klim op tot mijn Vader en uw Vader, en tot mijn God en uw God.
2b1412007c	Maria Magdalena dan ging boodschappen aan de discipelen dat zij den Heere gezien had, en dat Hij dit tot haar gesproken had.
2b141300df	Toen het dan avond was geworden op dien eersten dag der week, en toen de deuren gesloten waren, waar de discipelen waren, uit vreeze voor de Joden, — kwam Jezus en stond in het midden, en zeide tot hen: Vrede zij ulieden!
2b14140076	En dit gezegd hebbende, toonde Hij hun zijn handen en zijde. De discipelen dan waren verblijd dat zij den Heere zagen.
2b14150070	Hij zeide dan wederom tot hen: Vrede zij ulieden! gelijk de Vader Mij gezonden heeft, alzoo zend Ik ook ulieden.
2b14160057	En dit gezegd hebbende, blies Hij op hen en zeide tot hen: Ontvangt den Heiligen Geest!
2b14170070	Als gij iemands zonden vergeeft, dien worden zij vergeven; als gij iemands zonden houdt, dien zijn zij gehouden.
2b14180060	Thomas nu, een van de twaalven, die de Tweeling genoemd wordt, was niet bij hen toen Jezus kwam.
2b1419010e	De andere discipelen dan zeiden tot hem: Wij hebben den Heere gezien! — Maar hij zeide tot hen: Als ik in zijn handen niet zie de gaten van de nagelen, en mijn vinger niet steke in de plaats der nagelen, en mijn hand niet steke in zijn zijde, zoo zal ik niet gelooven.
2b141a00a9	En acht dagen later waren zijn discipelen wederom binnen en Thomas met hen. Jezus kwam, toen de deuren gesloten waren en stond in het midden en zeide: Vrede zij ulieden!
2b141b0098	Daarna zeide Hij tot Thomas: Breng uw vinger hier en zie mijn handen, en breng uw hand en steek ze in mijn zijde, en zijt niet ongeloovig maar geloovig.
2b141c003b	Thomas antwoordde en zeide tot Hem: Mijn Heere en mijn God!
2b141d0088	Jezus zeide tot hem: Omdat gij Mij gezien hebt, Thomas, zoo hebt gij geloofd? Zalig zij, die niet gezien hebben, en toch hebben geloofd!
2b141e0075	Nog wel veel andere mirakelen heeft Jezus gedaan voor de oogen der discipelen, die niet staan geschreven in dit boek,
2b141f0095	maar deze zijn geschreven opdat gij gelooft dat Jezus de Christus is, de Zoon van God, en opdat gij die gelooft, het leven zoudt hebben in zijn Naam.
2b1501006b	Naderhand vertoonde Jezus zich wederom aan de discipelen bij de zee van Tiberias. Hij vertoonde zich aldus:
2b150200aa	Er waren te zamen Simon Petrus, en Thomas die de Tweeling genoemd wordt; en Nathanaël van Kana in Galilea, en de zonen van Zebedeüs en twee anderen uit zijn discipelen.
2b1503009f	Simon Petrus zeide tot hen: Ik ga visschen! Zij zeiden tot hem: Wij gaan ook met u! — Zij gingen heen en kwamen aan boord, en in dien nacht vingen zij niets.
2b15040073	Toen het nu al morgenstond geworden was stond Jezus op den oever, maar de discipelen wisten niet dat het Jezus was.
2b1505005b	Jezus zeide dan tot hen: Kinderkens! hebt gij wel wat toespijze! Zij antwoordden Hem: Neen!
2b150600b4	Hij zeide tot hen: Werpt het net aan den rechterkant van het schip, en gij zult vinden! — Zij wierpen het dan en nu konden zij het niet optrekken vanwege de menigte van visschen.
2b150700c6	De discipel dan, dien Jezus beminde, zeide tot Petrus: Het is de Heere! — Simon Petrus dan, hoorende dat het de Heere was, sloeg het bovenkleed om— want hij was naakt— en wierp zich in de zee.
2b1508009d	Maar de andere discipelen kwamen per schip, — want zij waren niet ver van den wal, maar omtrent tweehonderd ellen, en zij sleepten het net met de visschen.
2b15090063	Toen zij dan aan wal gegaan waren, zagen zij een kolenvuur liggen en visch daarop gelegd, en brood.
2b150a0045	Jezus zeide tot hen: Brengt van de visschen die gij nu gevangen hebt!
2b150b00a1	Simon Petrus ging op het schip en trok liet net aan wal vol met groote visschen, honderd drie en vijftig; en al waren er ook zooveel, het net scheurde toch niet.
2b150c0090	Jezus zeide tot hen: Komt, neemt het middagmaal! En niemand der discipelen durfde Hem vragen: Wie zijt Gij want zij wisten dat het de Heere was.
2b150d0044	Jezus nu kwam en nam het brood en gaf het hun, en evenzoo den visch.
2b150e0069	Dit was nu de derde keer dat Jezus aan de discipelen verschenen is, nadat Hij uit de dooden was verrezen.
2b150f00e3	Toen zij dan het middagmaal gehouden hadden zeide Jezus tot Simon Petrus: Simon, Jonas zoon, bemint gij Mij meer dan dezen? — Hij zeide tot Hem: Ja, Heere! Gij weet dat ik U bemin! — Jezus zeide tot hem: Weid mijn lammeren!
2b151000bb	Wederom zeide Jezus tot hem voor den tweeden keer: Simon, Jonas zoon, bemint gij Mij? — Hij zeide tot Hem: Ja Heere! Gij weet dat ik U bemin! — Jezus zeide tot hem: Hoed mijn schapen!
2b15110119	Jezus zeide tot hem voor den derden keer: Simon Jonas zoon, bemint gij Mij? — Petrus werd bedroefd, omdat Hij voor den derden keer tot hem zeide: Bemint gij Mij? — en hij zeide tot Hem: Heere, Gij weet alles, Gij weet dat ik U bemin! — Jezus zeide tot hem: Weid mijn schapen!
2b151200ee	Voorwaar, voorwaar zeg Ik u: Toen gij jonger waart zoo gordet gij zelven en gij wandeldet waar gij wildet; maar als gij oud zult geworden zijn, dan zult gij uw handen uitstrekken, en een ander zal u gorden en u brengen waar gij niet wilt!
2b15130092	Dit nu zeide Hij om te kennen te geven met hoedanigen dood hij God zou de glorie geven. En dit gesproken hebbende, zeide Hij tot hem: Volg Mij na!
2b151400a6	En toen Petrus zich omkeerde, zag hij den discipel volgen, dien Jezus beminde, die ook bij den maaltijd aan zijn borst lag en zeide: Heere, wie is hij die u verraadt?
2b15150051	Toen Petrus dan dezen zag zeide hij tot Jezus: Heere, wat zal van dezen geworden?
2b15160060	Jezus zeide tot hem: Zoo Ik wil dat hij blijve totdat Ik kom, — wat raakt u dat? volg gij Mij?
2b151700ca	Dit gerucht dan liep onder de broeders dat die discipel niet zou sterven. — Doch Jezus had tot hem niet gezegd dat hij niet sterven zou, maar: Zoo Ik wil dat hij blijve totdat Ik kom, wat raakt u dat?
2b15180081	Deze is de discipel die getuigenis geeft van deze dingen, en ze geschreven heeft, en wij weten dat zijn getuigenis waarachtig is.
2b151900aa	Er zijn ook nog veel andere dingen, die Jezus gedaan heeft, en zoo die een voor een geschreven werden, ik meen dat zelfs de wereld de geschreven boeken niet zou bevatten.
2c0000000b	Handelingen
2c01010065	Het eerste boek heb ik opgesteld, o Theofilus! over alles wat Jezus begonnen is te doen en te leeren,
2c01020085	tot op den dag dat Hij opgenomen werd, nadat Hij aan de Apostelen, die Hij verkozen had, door den Heiligen Geest bevelen had gegeven;
2c010300be	aan wie Hij ook, na zijn lijden, zich zelven levend heeft vertoond, in vele kenteekenen, daar Hij veertig dagen lang aan hen verscheen en sprak van de dingen die het koninkrijk Gods aangaan.
2c010400a1	Toen Hij nu met hen samen was, gebood Hij hun van Jerusalem niet weg te gaan, maar de belofte des Vaders af te wachten, die gij, zeide Hij, van Mij gehoord hebt;
2c01050077	want Johannes doopte wel met water, maar gijlieden zult met den Heiligen Geest gedoopt worden niet veel dagen na dezen.
2c01060084	Zij nu die samengekomen waren vroegen Hem, zeggende: Heere, is het in dezen tijd dat Gij het koninkrijk aan Israël zult herstellen?
2c01070078	En Hij zeide tot hen: Het komt u niet toe de tijden of stonden te weten, die de Vader in zijn eigen macht heeft gesteld,
2c010800bc	maar gij zult kracht ontvangen, als de Heilige Geest over u zal gekomen zijn, en gij zult Mij tot getuigen zijn te Jerusalem, en in geheel Judea en Samaria, en tot aan het einde der aarde.
2c0109006c	En toen Hij dit gezegd had werd Hij opgenomen, terwijl zij het zagen, en een wolk nam Hem weg uit hun oogen.
2c010a006f	En toen zij naar den hemel opzagen, terwijl Hij heenvoer, ziet, twee mannen stonden bij hen in witte kleederen,
2c010b00c9	die ook zeiden: Gij Galilesche mannen! wat staat gij naar den hemel te zien? deze Jezus, die van u is opgenomen naar den hemel, zal alzoo komen, gelijkerwijs gij Hem hebt zien heenvaren naar den hemel.
2c010c0090	Toen keerden zij terug naar Jerusalem van den berg, die de Berg der Olijven genoemd wordt, die dicht bij Jerusalem is, een sabbatsreize vandaar.
2c010d0121	En toen zij binnengekomen waren, gingen zij naar de bovenzaal, waar zij gewoonlijk hun verblijf hielden, namelijk Petrus, en Johannes, en Jakobus, en Andreas, Filippus en Thomas, Bartholomeüs en Mattheüs, Jakobus, de zoon van Alfeüs, en Simon de IJveraar, en Judas, de zoon van Jakobus.
2c010e0081	Deze allen waren eendrachtig volhardende in het gebed met eenige vrouwen, en met Maria de moeder van Jezus, en met zijn broeders.
2c010f008f	En in die dagen stond Petrus op in het midden der broederen en sprak, terwijl er een schare bijeen was van omtrent honderd en twintig personen:
2c011000c2	Mannen broeders! de Schrifture moest vervuld worden, die de Heilige Geest heeft voorzegd door den mond van David, aangaande Judas, die de aanvoerder geworden is van hen die Jezus gevangen namen.
2c0111004e	Want hij was toch onder ons gerekend en had het lot dezer bediening ontvangen.
2c011200a6	Deze nu had voor den loon der onrechtvaardigheid een akker verworven, en voorover gevallen zijnde, is hij door midden gebarsten en al zijn ingewanden zijn uitgestort,
2c01130087	hetgeen ook bekend is aan al de bewoners van Jerusalem, zoodat die akker in hun eigen taal genoemd wordt: Akeldama, dat is: Bloedakker.
2c01140087	Want in het Boek der Psalmen staat er geschreven: Zijn woning worde woest en niemand wone daarin en: Zijn opzienersambt neme een ander.
2c01150080	Het is dan noodig dat van de mannen, die met ons omgegaan hebben, al den tijd dien de Heere Jezus met ons in– en uitgegaan is,
2c0116009a	van den doop van Johannes af beginnende, tot op den dag waarin Hij van ons werd opgenomen, dat één van dezen met ons getuige worde van zijn verrijzenis.
2c01170062	En zij stelden er twee, Jozef, genaamd Barsabbas, die bijgenoemd is de Rechtvaardige, en Matthias.
2c0118006a	En zij baden en zeiden: Gij, Heere, kenner der harten van allen! wijs aan wien Gij verkiest van deze twee,
2c01190084	om aan te nemen de plaats van deze bediening en van het apostelschap, waarvan Judas is afgeweken, om te gaan naar zijn eigen plaats.
2c011a0062	En zij gaven hun loten, en het lot viel op Matthias; en hij werd medegekozen tot de elf apostelen.
2c02010059	En toen de dag van het Pinksterfeest aanbrak, waren allen gezamenlijk op dezelfde plaats.
2c02020089	En er geschiedde op eens uit den hemel een gedruisch als van een geweldigen rukwind, en vervulde het geheele huis waar zij gezeten waren.
2c02030065	En hun verschenen tongen, als van vuur, die zich verdeelden en op een ieder van hen zich nederzetten;
2c02040080	en allen werden vervuld met den Heiligen Geest en begonnen met andere tongen te spreken, gelijk de Geest hun gaf uit te spreken.
2c02050064	Er waren nu te Jerusalem Joden woonachtig, godvruchtige mannen van alle volk dat onder den hemel is.
2c02060079	En als dit geluid geschied was, kwam de menigte zamen en ontroerde, omdat een ieder hen in zijn eigen taal hoorde spreken
2c02070070	En zij stonden allen verbaasd en verwonderd, zeggende: Ziet, zijn deze allen, die daar spreken, niet Galileërs?
2c02080051	En hoe hooren wij ze dan een iegelijk in ons eigen taal, waarin wij geboren zijn,
2c02090066	Parthers, en Meders, en Elamieten, en inwoners van Mesopotamië, Judea en Kappadocië, Pontus en Asie,
2c020a008b	en Frygië en Pamfylië, Egypte en de landstreek van Libyë, dat bij Cyrene ligt, en hier verblijvende Romeinen, zoo Joden als proselieten,
2c020b0057	Kretensers en Arabieren— wij hooren hen in onze tongen Gods groote werken uitspreken!
2c020c0056	Allen stonden dan verbaasd en verlegen, zeggende tot malkander: Wat mag dit toch zijn?
2c020d0039	En anderen zeiden al spottende: Zij zijn vol zoeten wijn!
2c020e00b6	Maar Petrus, daar staande met de elven, verhief zijn stem en zeide tot hen: Gij joodsche mannen, en gij allen die te Jerusalem woont! dit zij u bekend en neemt mijn woorden ter oore!
2c020f0055	Want dezen zijn niet dronken, zooals gij meent, want het is de derde uur van den dag.
2c02100034	Maar dit is wat door den profeet Joël is gesproken:
2c021100df	En het zal zijn in de laatste dagen, zegt God, dat Ik zal uitgieten van mijn Geest op alle vleesch; en uw zonen en uw dochteren zullen profeteeren en uw jongelingen zullen visioenen zien, en uw ouden zullen droomen droomen;
2c02120081	ja zelfs op mijn dienstknechten en op mijn dienstmaagden zal Ik in die dagen van mijn Geest uitgieten, en zij zullen profeteeren;
2c0213006a	en Ik zal wonderen geven in den hemel boven, en teekenen op de aarde beneden, bloed, en vuur, en rookdamp;
2c02140072	de zon zal veranderen in duisternis, en de maan in bloed, vóórdat de groote en doorluchtige dag des Heeren komt;
2c02150051	en het zal zijn dat ieder, die den Naam des Heeren aanroept, zal behouden worden.
2c021600e5	Gij mannen Israëls! hoort deze woorden: Jezus den Nazarener, een man, dien God onder ulieden heeft aanzienlijk gemaakt door krachten, en mirakelen, en teekenen, die God door Hem in uw midden gedaan heeft, gelijk gij zelven weet,
2c02170096	dezen, — naar Gods bepaalden raad en voorkennis overgeleverd zijnde— hebt gij genomen en door de handen der onrechtvaardigen gekruisigd en gedood.
2c02180081	Dezen heeft God opgewekt, door de smarten des doods los te maken, omdat het niet mogelijk was dat Hij daardoor werd vastgehouden.
2c0219008c	Want David zegt met het oog op Hem: Ik zie den Heere gedurig voor mijn aangezicht, want Hij is aan mijn rechterzijde, opdat ik niet wankele;
2c021a0053	daarom is mijn hart verheugd en mijn tong juicht, ja zelfs mijn vleesch zal rusten,
2c021b0074	op hope dat Gij mijn ziel niet zult overlaten in het doodenrijk en niet zult toelaten dat uw Heilige verderving zie;
2c021c006a	Gij hebt mij de wegen des levens bekend gemaakt; Gij zult mij met blijdschap vervullen door uw aangezicht.
2c021d00a9	Mannen broeders! laat mij toe met vrijmoedigheid tot u te zeggen van den patriarch David, dat hij gestorven is en begraven, en dat zijn graf bij ons is tot op dezen dag.
2c021e008a	Maar een profeet zijnde, en wetende dat God hem met een eed gezworen had, dat er een uit de vrucht zijner lenden op zijn troon zou zitten,
2c021f00a3	zoo heeft hij, dit voorziende, gesproken van de verrijzenis van Christus, dat Hij niet in het doodenrijk is overgelaten, noch zijn vleesch verderving heeft gezien.
2c02200040	Dezen Jezus heeft God opgewekt, waarvan wij allen getuigen zijn.
2c022100a4	Nadat Hij dan door Gods rechterhand was verhoogd, en de belofte des Heiligen Geestes van den Vader had ontvangen, heeft Hij dit uitgestort wat gij nu ziet en hoort.
2c0222007d	Want David is niet opgeklommen ten hemel, maar hij zegt zelf: De Heere heeft gezegd tot mijn Heere: Zit aan mijn rechterhand,
2c0223003a	totdat Ik uw vijanden stelle tot een voetbank uwer voeten.
2c0224008d	Met zekerheid wete dan het geheele huis Israëls, dat God Hem tot een Heere en Christus gemaakt heeft, dezen Jezus, dien gij gekruisigd hebt!
2c02250084	Dit nu hoorende, sneed het hun door het hart; en zij zeiden tot Petrus en de andere Apostelen: Wat zullen wij doen, mannen broeders?
2c022600c4	En Petrus zeide tot hen: Doet boetvaardigheid, en een ieder van u late zich doopen op den Naam van Jezus Christus, tot vergiffenis uwer zonden, en gij zult de gifte des Heiligen Geestes ontvangen.
2c0227007d	Want voor u is de belofte, en voor uw kinderen, en voor allen die verre zijn, zoovelen de Heere, onze God, er toe roepen zal.
2c0228006d	En met meer andere woorden betuigde en vermaande hij hen, zeggende: Laat u redden van dit goddeloos geslacht!
2c02290075	Zij nu, die zijn woord aannamen, lieten zich doopen, en op dien dag werden omstreeks drie duizend zielen toegebracht.
2c022a0077	En zij waren volhardende in de leer der Apostelen, en in de gemeenschap, en in het breken des broods, en in de gebeden.
2c022b009a	En er kwam vreeze over iedere ziel; en veel mirakelen en teekenen geschiedden door de Apostelen in Jerusalem, zoo dat er een groote vreeze was over allen.
2c022c0042	En allen die geloofden waren bijeen en hadden alles in het gemeen,
2c022d0064	en verkochten goederen en bezittingen, en deelden die uit aan een ieder, naar dat hij van noode had.
2c022e008c	En dagelijks eendrachtig volhardende in den tempel, en aan huis brood brekende, namen zij voedsel in blijdschap en eenvoudigheid des harten,
2c022f007d	en loofden God en hadden gunst bij het geheele volk. De Heere nu bracht er dagelijks toe tot de gemeente die behouden werden.
2c03010055	Petrus nu en Johannes gingen op naar den tempel, tegen de ure des gebeds, de negende.
2c030200ce	En een zeker man, kreupel van zijn moeders lichaam af, werd gedragen, dien men dagelijks zette bij de deur des tempels, die de Schoone genoemd wordt, om aalmoezen te vragen van hen die in den tempel gingen.
2c0303006f	Deze nu zag Petrus en Johannes, toen zij in den tempel zouden gaan, en vroeg om een aalmoes te mogen ontvangen.
2c03040043	Maar Petrus zag hem sterk aan, met Johannes, en zeide: Zie ons aan!
2c03050042	En hij zag hen aan, verwachtende van hen iets te zullen ontvangen.
2c0306008f	En Petrus zeide: Zilver en goud bezit ik niet; maar wat ik heb, dat geef ik u! In den Naam van Jezus Christus, den Nazarener, sta op en wandel!
2c03070064	En hem grijpende bij de rechterhand trok hij hem op; en terstond werden zijn beenen en enkelen vast.
2c03080078	En opspringende stond hij recht en wandelde, en hij ging met hen in den tempel, wandelende en springende en lovende God.
2c0309002d	En al het volk zag hem wandelen en God loven,
2c030a00b0	en zij kenden hem, dat hij het was die om een aalmoes bij de Schoone poort des tempels had gezeten; en zij werden vol verbaasdheid en ontzetting over hetgeen hem overkomen was.
2c030b0083	En als hij Petrus en Johannes vasthield, liep al het volk tot hen samen, bij de gaanderij, die van Salomo genoemd, verbaasd zijnde.
2c030c00ce	En Petrus dit ziende antwoordde den volke aldus: Gij mannen Israëls! wat verwondert gij u over dit, of wat ziet gij ons sterk aan, alsof wij door eigen kracht of godvruchtigheid dezen hadden doen wandelen?
2c030d00ce	De God van Abraham, Isaäk en Jakob, de God onzer vaderen, heeft zijn knecht Jezus verheerlijkt, dien gij hebt overgeleverd en verloochend voor het aangezicht van Pilatus, die besloten had Hem los te laten.
2c030e006d	Doch gij hebt den Heilige en Rechtvaardige verloochend en begeerd dat u een moordenaar zou geschonken worden;
2c030f006a	en den Vorst des levens hebt gij gedood, dien God heeft opgewekt uit de dooden, waarvan wij getuigen zijn.
2c031000bc	En op het geloof in zijn Naam heeft zijn Naam dezen gesterkt, dien gij ziet en kent; en het geloof dat door Hem is, heeft hem deze volkomen gezondheid gegeven in uw aller tegenwoordigheid.
2c0311005a	En nu, broeders, ik weet dat gij het gedaan hebt uit onwetendheid, zooals ook uw oversten;
2c03120085	maar God heeft datgene alzoo vervuld, wat Hij te voren verkondigd had door den mond van al de profeten, dat zijn Christus lijden zou.
2c03130090	Hebt dan berouw en bekeert u, opdat uw zonden uitgewischt worden, ten einde de tijden der verkwikking mogen komen van het aangezicht des Heeren,
2c03140037	en Hij u zende den u te voren bestemden Christus Jezus,
2c03150096	wien de hemel moet ontvangen tot op den tijd der herstelling aller dingen, waarvan God heeft gesproken door den mond der heilige profeten van oudsher.
2c031600a2	Mozes toch heeft gezegd: De Heere, uw God, zal u een profeet verwekken, uit uw broederen, gelijk mij; naar hem zult gij hooren in alles wat hij tot u spreken zal;
2c03170064	en het zal zijn dat alle ziel, die niet naar dien profeet hoort, zal worden uitgeroeid uit het volk.
2c0318006d	En al de profeten, van Samuel af, en de lateren, zooveel er gesproken hebben, hebben ook deze dagen voorzegd.
2c031900ba	Gij zijt de kinderen der profeten en des verbonds dat God met onze vaderen gemaakt heeft, zeggende tot Abraham: En in uw nakomelingschap zullen alle geslachten der aarde gezegend worden.
2c031a008e	Voor ulieden het eerst heeft God zijn knecht opgewekt en Hem gezonden, om u te zegenen daarin dat Hij een ieder uwer afkeere van uw boosheden.
2c0401006f	Terwijl zij nu tot het volk spraken overvielen hen de priesters, en de hoofdman des tempels, en de sadduceërs,
2c0402006b	die zeer kwaad waren omdat zij het volk onderwijs gaven en in Jezus de verrijzenis uit de dooden predikten.
2c0403006c	En zij sloegen de handen aan hen en stelden hen in bewaring tot den volgenden dag, want het was reeds avond.
2c0404006e	Doch velen van hen die het woord gehoord hadden, geloofden, en het getal der mannen werd omtrent vijf duizend.
2c0405006f	Het geschiedde nu den volgenden dag dat hun oversten, en oudsten, en schriftgeleerden te Jerusalem vergaderden,
2c04060077	en Annas de hoogepriester, en Kajafas, en Johannes, en Alexander, en allen die van de hoogepriesterlijke familie waren.
2c04070063	En zij stelden hen in het midden en vroegen: In welke kracht of in welken naam hebt gij dit gedaan?
2c04080065	Toen sprak Petrus, vervuld zijnde met den Heiligen Geest, tot hen: Gij oversten en oudsten des volks!
2c04090070	Indien wij heden verhoord worden wegens een weldaad jegens een kranken mensch, waardoor deze is gezond geworden,
2c040a00d5	zoo zij het u allen en het geheele volk van Israël bekend, dat in den Naam van Jezus Christus den Nazarener, dien gij hebt gekruisigd, dien God uit de dooden heeft opgewekt— door Hem staat deze gezond vóór u.
2c040b0060	Deze Jezus is de steen die door u, de bouwlieden, is veracht, die geworden is tot een hoeksteen.
2c040c009a	En in niemand anders is de behoudenis; want ook is er geen andere naam onder den hemel, die aan de menschen gegeven is, waarin wij moeten behouden worden.
2c040d00c9	Toen zij nu de vrijmoedigheid van Petrus en Johannes zagen, en bevonden hadden dat zij ongeleerde en simpele menschen waren, verwonderden zij zich; en zij herkenden hen dat zij met Jezus geweest waren.
2c040e0055	En den mensch die genezen was bijeen ziende staan, hadden zij niets tegen te spreken.
2c040f0057	En zij geboden hun buiten de vergadering te gaan en overleiden met malkander, zeggende:
2c041000ab	Wat zullen wij dezen menschen doen? want dat er door hen een openbaar mirakel is geschied, dat is aan alle inwoners van Jerusalem bekend, en wij kunnen het niet loochenen.
2c04110094	Maar opdat het niet verder onder het volk verbreid worde, laat ons hen streng bedreigen van niet meer te spreken tegen eenigen mensch in dezen Naam.
2c04120075	En hen geroepen hebbende, geboden zij hun in ‘t geheel niet te spreken of onderwijs te geven in den Naam van Jezus.
2c0413009b	Maar Petrus en Johannes antwoordden en zeiden tot hen: Of het recht is voor Gods aangezicht, naar ulieden meer te hooren dan naar God, beoordeelt dat zelf!
2c04140050	want ons is het onmogelijk niet te spreken van wat wij gezien en gehoord hebben!
2c041500b0	Maar zij dreigden hen nog meer en lieten hen los, om des volks wil, daar zij niets gevonden hadden hoe zij hen zouden straffen; want allen verheerlijkten God over het gebeurde.
2c0416005e	Want de mensch, aan wien dit mirakel der genezing geschied was, was meer dan veertig jaar oud.
2c04170079	Zij nu losgelaten zijnde, kwamen bij de hunnen en verhaalden al wat de overpriesters en de oudsten tot hen gezegd hadden.
2c0418009d	En die dit hoorden verhieven eenparig de stem tot God en zeiden: Heere! Gij zijt het die den hemel en de aarde en de zee en al wat daarin is, geschapen hebt;
2c04190095	die door den Heiligen Geest, door den mond van onzen vader David, uw knecht, gezegd hebt: Waarom woeden de heidenen en bedenken de volken ijdelheden?
2c041a006f	de koningen der aarde zijn opgestaan en de oversten zijn samenvergaderd tegen den Heere en tegen zijn Christus.
2c041b00b3	Want in der waarheid, in deze stad zijn tegen uw heiligen knecht Jezus, dien Gij gezalfd hebt, opgestaan zoowel Herodes als Pontius Pilatus, met de heidenen en de volken Israëls,
2c041c004f	om te doen al wat uw hand en uw raad te voren bepaald had dat geschieden moest!
2c041d0070	En nu Heere! zie op hun dreigementen, en geef aan uw dienstknechten met alle vrijmoedigheid uw woord te spreken,
2c041e008b	door het uitstrekken van uw hand tot genezing, en door het geschieden van mirakelen en teekenen door den Naam van uw heiligen knecht Jezus.
2c041f00ac	En als zij gebeden hadden, werd de plaats waarin zij vergaderd waren, bewogen, en allen werden vervuld met den Heiligen Geest, en spraken het woord Gods met vrijmoedigheid.
2c042000a2	En de menigte der geloovigen was één van hart en ziel; en niet één zeide dat iets van hetgeen hij bezat zijn eigendom was, maar alle dingen hadden zij gemeen.
2c04210086	En met groote kracht gaven de Apostelen getuigenis van de verrijzenis van den Heere Jezus Christus; en groote genade was op hen allen.
2c042200a1	Want onder hen was niemand die gebrek had; want zoovelen als er bezitters waren van landerijen of huizen, verkochten die en brachten den prijs van het verkochte,
2c04230064	en leiden dien aan de voeten der Apostelen; en aan ieder werd uitgedeeld naar dat hij van noode had.
2c0424007d	Jozef nu, door de Apostelen bijgenaamd Barnabas, (dat is te zeggen, zoon der vertroosting), een Leviet, afkomstig van Cyprus,
2c0425005d	die een akker had, verkocht dien en bracht het geld en leide het aan de voeten der Apostelen.
2c05010053	Een zeker man nu, met name Ananias, met Saffira zijn vrouw, verkocht een bezitting,
2c05020088	en hield iets van den prijs achter, ook met medeweten van zijn vrouw, en bracht een zeker deel en leide dat aan de voeten der Apostelen.
2c050300a3	Doch Petrus zeide: Ananias, waarom heeft de Satan uw hart vervuld dat gij tegen den Heiligen Geest zoudt liegen en iets van den prijs des lands zoudt achterhouden?
2c050400cb	Bleef het onverkocht dan bleef het immers het uwe? en was het, verkocht zijnde, niet in uw macht. Waarom hebt gij deze daad in uw hart voorgenomen? Niet tegen de menschen maar tegen God hebt gij gelogen!
2c0505007d	Toen nu Ananias deze woorden hoorde, viel hij neder en gaf den geest; en er kwam een groote vrees over allen die het hoorden.
2c0506005a	En de jongelingen stonden op en bedekten hem, en droegen hem naar buiten en begroeven hem.
2c0507006d	En het geschiedde, omtrent drie uren daarna, dat ook zijn vrouw binnenkwam, niet wetende wat er geschied was.
2c05080070	En Petrus antwoordde haar: Zeg mij, hebt gij het land voor zóóveel verkocht? Zij nu zeide: Ja, voor zóóveel!
2c050900bc	En Petrus zeide tot haar: Waarom zijt gij overeengekomen om den Geest des Heeren te verzoeken? Zie, de voeten van hen die uw man begraven hebben zijn bij de deur en zij zullen u uitdragen.
