2800000007	Mathayo
2d0e0b00a1	kulwo kubha jandikilwe, “Lwa kutyo nilamile,” kaika Latabhugenyi, “Kwanye anye bhuli Ng'okola eifukama, na bhuli lulimi lulisosha (jisifa) ku Nyamuanga.”
2d0e0c0048	Kulwejo woli, bhuli umwi weswe kasosha libhala lyae omwene ku Nyamuanga.
2d0e0d009c	Kulwejo, chisige okugendelela lindi okulamulana, mbe nawe amwi okusigana nejo lamula kutya, ati atali unu alatulao echikujusho amwi mipalasuka ku muili wae.
2d0e0e00ba	Nimenyele na nikongibhwe mu Latabhugenyi Yesu, ati chitali chinu chinu chili chijabhi echene-la. Ni kumwene-la unu ketogela ati chona chona hi chijabhi, kulwo kubha ku mwene ni chijabhi.
2d0e0f0099	Akabha kwa insonga ye ebhilyo omuili wao kasulumbala, utachalibhata lindi mu kwenda. Wasiga munyamula kwe bhilyo bhyao omunu unu Kristo afuye ingulu yae.
2d0e100057	Kwibhyo mwasiga kwikilisha ebhikolwa bhyemwe ebhye kisi okuletelela abhanu okubhajimya.
2d0e110097	Kulwo kubha obhukama bhwa Nyamuanga bhutali ingulu ye bhilyo no bhunywi, mbe nawe ni ingulu yo bhulengelesi, omulembe, no bhukondeleywe mu Mwoyo Mwelu.
2d0e12006b	Kulwo kubha unu kamukola Kristo kwo okulubhana na jinu ekilisibhwe ku Nyamuanga na ekilisibhwe na ku bhanu.
2d0e13003f	Kwibhyo woli, chilubhe emisango jinu ejimumbaka omunu no lundi.
2d0e1400ae	Wasiga kunyamula omulimu gwa Nyamuanga kunsonga ye bhilyo. Ebhinu bhyona kulwe chimali ni bhyakisi, mbe nawe ni bhibhibhi ku munu ulya unu Kalya nokuletelela mwenene ekujule.
2d0e15006d	Ni kwakisi okusiga okulya inyama, nolwo okunywa obhwalwa, nolwo chona chona chinu kwicho omuili wao kekujula.
2d0e16009c	Obhwikilisha bhwa insonga bhunu ulinabhwo, nubhute agati yao omwene na Nyamuanga. Alina libhando unu atakwilamula omwene mu chilya chinu kekilishanya nacho.
2d0e17008f	Unu ali ne bhitimato alamuywe alabha kalya, Kulwo kubha itakusokana ne likilisha. Na chona chona chinu chitakusokana mu likilisha ni bhibhibhi.
2d0f010086	Mbe woli eswe bhanu chili na managa kuchiile okubhugega obhulenga bhwa bhanu bhali bhalenga, na kutachiile okwikondelesha eswe abhene.
2d0f02006d	Bhuli umwi weswe amukondeleshega omwikashanya wae kulwo kubha ni musango gwe kisi ni kwa injila yo kumumbaka.
2d0f030089	Kulwo kubha nolwo Kristo atekondishe omwene. nawe jabhee kutyo jandikilwe, “Ebhifumi bhya bhalya bhanu bhakufumile bhyambwene anyone”
2d0f0400b3	Ku chona chona chinu chatangatile okwandikwa, bhyandikilwe kwo kuchelesha, kwo kwenda ati okulabha ku kwigumisilisha no kulabha mu kusilisibhwa na amaandiko chakabhee no bhubhasi.
2d0f05007c	Mbe woli Nyamuanga wo kwigumilisha no wo kutamo omwoyo abhayane ati mubhe no bhumwi ku bhuli umwi okulubhana na Yesu Kristo.
2d0f06007e	Atule okukola kutya mu bhumwi koleleki mutule okumukusha kwo munwa ghumwi Nyamuanga na Lata wa Latabhugenyi weswe Yesu Kristo.
2d0f070055	Kulwejo mumulamile bhuli umwi, lwa kutyo Kristo abhalamie, kwa likusho lya Nyamuanga.
2d0f0800b2	Kulwaki enaika ati Kristo akolelwe kubha mukosi wo kutendwa kwa injila ye chimali cha Nyamuanga. Akolele kutya koleleki ati atule okujikumisha emilago jinu jasosibhwe ku bhalata,
2d0f0900b5	na ku Maanga okumukusha Nyamuanga kulwe chigongo chae. Lwa kutyo jandikilwe, “Kulwejo enisosha (jisifa) kwawe agati -gati ya Maanga no kwimba jinyimbho jo kukusha lisina lyani.”
2d0f0a004c	Lindi eyaika, “kondelelwa, emwe abhanu bha Maanga, amwi na abhanu bhae.”
2d0f0b006c	Na lindi, “Mumukushe Latabhugenyi, emwe amaanga gone; Musige abhanu bha Maanga gone bhamukushe mwenene.”
2d0f0c008d	Lindi Isaya kaika, “Elibhayo lisina elya Yese, no oumwi unu akenamuke okutunga ingulu ya Maanga. Amaanga agabha ne kwiikanya mu mwenene.”
2d0f0d009f	Woli Nyamuanga wo okwiikanya abhejushe na likondelwa lyona no mulembe kwo kwikilisha, koleleki ati mutule okwiyongesha mukwiikanya, kwa amanaga ga Mwoyo Mwelu.
2d0f0e00c9	Anye omwene one nikongibhwe nemwe, bhana bhasu. Nikongibhwe ati one emwe mwijusibhwe no bhwekisi, mwijusibhwe no bhumenyi bhwona. Nikongibhwe ati, emwe omutula one okulagilillana bhuli umwi no wejabho.
2d0f0f0096	Mbe nawe enandika kwo bhubhasi bhwafu kwemwe ingulu ye misango milebhe koleleki omubhejukisha lindi, kunsonga ye chiyanwa chinu uyanilwe na Nyamuanga.
2d0f1000b3	Echiyanwa chinu chaliga chili ati nitule okubha mukosi wa Yesu Kristo unu atumilwe ku Maanga, okwisosha uti mugabhisi wo omusango gwo bhwana gwa Nyamuanga ku njila ya Mwoyo Mwelu.
2d0f110048	Kwibhyo likondelwa lyani Lili mu Kristo Yesu na mu misango ja Nyamuanga.
2d0f120099	Woli nitakutula okuloma Lyona lyona atali ati Kristo akumisha okulabha kwanye obhwolobhe bhwa Maanga. Amasango ganu gakumisibhwa kwa lisango ne bhikolwa,
2d0f1300e3	Kwa managa ne bhibhalikisho ne bhikumisho, na kwa managa ga Mwoyo Mwelu. Inu yaliga ili ati koleleki okusoka Yerusalemu, no kwiinda kula lwa kutyo Iliriko, nitule okuigega anja kwo obhulengelesi omusango gwo bhwana ogwa Kristo.
2d0f1400ba	Kwa injila inu, mu bhuanga bhwani enigulasha omusango gwo bhwana, nawe atali ati mwibhala Linu Kristo kamenyekana kwa lisina, koleleki ati nisige okumbaka ingulu yo lufuka lwo munu undi.
2d0f15007b	Lwa kutyo jandikilwe: “Kwabho ku mwene bhatana misango jae akaja abhamulola, na bhalya bhanu bhatamunguywe abhamwenda.”
2d0f160037	Kulwejo naliga one niganyibhwe kwiya kafu okuja kwemwe.
2d0f170075	Mbe nawe, woli ntana lindi ebhala lyona lyona mu misi emikulu jinu, na jabhee nindigila kwa myaka myafu okuja kwemwe.
2d0f1800a5	Kwibhyo kwiya kafu Nikaja Hispania, eniikanya okubhalola nkalabhao, no kutula okusilwa ku njila yani nemwe, anu nejile ninkondelelwa kulwo bhusangi nemwe kwo mwanya.
2d0f190041	Mbe nawe woli enigenda Yerusalemu okubhafulubhendela abhekilisha.
2d0f1a0086	Okubha jabhakondelesishe abhanu bha Makedoniia na Akaya okukola lisolosha lya insonga ku bhataka mubhene mu bhekilisha eyo Yelusalemu.
2d0f1b00c7	Niyo yaliga ili ku kwenda kwebhwe, ne chimali, bhamabha bhatongwa bhebhwe. Okubha ati abhamaanga bhamongwa mu misango yebhwe jo mwoyo, abhatongwa na bhene one okubhafulubhendela mu bhukene bhwe bhinu
2d0f1c008a	Kulwejo, omwanya ogwo nakumisishe jinu no kubha no kwiyongesha kwa litwasho linu ku bhwene, anye enigenda munjila amwi nemwe eyo Hispania.
2d0f1d0050	Enimenya ati, omwanya nikaja kwemwe, enija mu kukumisha kwa amabhando ga Kristo.
2d0f1e009e	Oli enibhasabhwa, abhasu, ku Latabhugenyi weswe Yesu Krisito, na kwe elyenda Lya Mwoyo, ati omusangila amwi nanye mwisabhwa lyemwe ku Nyamuanga ku songa yani.
2d0f1f009c	Musabhwe ati nitule okwelulwa okusoka kubhene one bhatali no bholobhe mu Yudea, na ati obhufulubhendi bhani eyo Yelusalemu bhutule okulamilwa na bhekilisha.
2d0f200086	Musabhwe ati eniitula okuja kwemwe kwa likondelwa okulabha mu lyenda Lya Nyamuanga, na ati nitule okubha amwi nemwe, okumala okuumula.
2d0f210035	Na Nyamuanga wo mulembe abhe amwi nemwe bhona. Amina.
2d10010055	Enimutula kwimwe Fibi omusubhati weswe, oyo ali mukosi wa likanisa elyo Lili Kenkrea,
2d100200ec	Koleleki ati omutula okumulamila mu Latabhugenyi. Mkole kutya mu je chibhalo Cha bhekilisha, na mwimelegulu amwi nage mu musango gwona gwona elyo alabha no bhukene nalyo. Okubha omwene-ela abhee mukosi wa bhafu, na ku songa yani omwene.
2d10030042	Mukeshe Priska na Akila, abhakosi bhe milimu anye, mu Kristo Yesu,
2d1004008b	abho ku bhulame bhwani bhabhuutasishe obhulame bhwebhwe abhene. Enisosha isime ku bhene, atali anyela nawe one ku makanisa gona aga Maanga.
2d1005007b	Nulikeshe likanisa elyo Lili Ika ewebhwe. Nuukesishe Epaineto omwendwa wani, oyo ali mwibhulwa wo kwamba wa Kristo mu Asia.
2d10060042	Numukeshe Mariamu oyo akolele emilimu kwo kwikomesha ingulu yemwe.
2d1007009b	Nuukesishe Androniko na Yunia, abhabhili bhani, na bhabhoywa amwi nanye. Ni bhaisonga agati gati ya jitumwa, abho one bhanu bhanyilabhie okumumenya Kristo.
2d10080032	Numukeshe Ampliato, omwendwa wani mu Latabhugenyi.
2d10090053	Numukeshe Arbano, omukosi we milimu amwi nanye mu Kristo, na Stakisi omwendwa wani.
2d100a0060	Numukeshe Apele, unu ekilisibhwe mu Kristo. Nubhakeshe bhona bhanu bhali munyumba ya Aristobulo.
2d100b0072	Nuukesishe Herodioni, omuyili wani. Nubhakeshe bhona abho bhali mu nyumba ya Narkiso, bhanu bhali mu Latabhugenyi.
2d100c009d	Nuukesishe Trifaina na Trifosa, bhanu abhakola emilimu kwo kwikomesha mu Latabhugenyi. Numukeshe Persisi omwendwa, oyo akolele emilimu myafu ku Latabhugenyi,
2d100d0048	Nuukesishe Rufo, unu asolelwe na Latabhugenyi na nyilamwene wae no wani.
2d100e005b	Numukeshe Asinkrito, Flegon, Herme, Patroba, Herman, na bhasu bhona bhanu bhali amwi nabho.
2d100f006d	Nuunkesishe Filologo na Yulia, Nerea na muyala wabho, na Olimpa, na abhekilisha bhona bhanu bhali amwi nabho.
2d10100052	Nuunkesishe bhuli umwi kwo kunyunyana kwelu. Amakanisa gona mu Kristo agabhakesha.
2d101100dc	Woli enibhelembelesha, bhana bhasu, mu kwiganilisha ingulu ya bhanu abhaletelela okwaukana ne bhyo kuganya okulema okubha amwi. Bhanu abhagenda bhatasikene na meigisho ganu mwamalile okwiingisibhwa. Muinduke mubhasokeko.
2d101200c0	Kulwo kubha abhanu lwa bhanu bhatamukolela Kristo Latabhugenyi, mbe nawe jinda jebhwe abhene. Ku misango jebhwe emyololo na isime yo lulimi bhanu abhajigajiga emyoyo ja bhanu bhatana ntambala.
2d101300ca	Kwe chijejekanyo cho bhwolobhe bhwemwe omumukingila bhuli umwi. Kwibhyo, enikondelwa ingulu yemwe, mbe nawe enibhenda emwe mubhe no bhwenge mu bhe kisi, nokulema okubha na intambala imbele ya bhebhibhi.
2d10140092	Nyamuanga wo mulengelesi atakuko-ola okumusimagisha Shetani emwalo ye bhigele bhyemwe. Echigongo cha Latabhugenyi Yesu Kristo chibhega amwi nemwe.
2d10150060	Timotheo, omukosi we milimu amwi nanye, kabhakesha, na Lukio, Yasoni na Sospeter, abhaili bhani.
2d10160050	Anye, Tertio, unu nandikile inyalubha inu, enibhakesha mwisina Lya Latabhugenyi.
2d10170088	Gayo, unu ankumile kisi na kwi Kanisa lyona elibhakesha. Erasto, omubhiki we bhinu bhya mumusi, kabhakesha, amwi na Kwarto unu ali wasu.
2d101900c5	Mbe woli ewae unu ali no bhutulo bhwo kukola mwimelegulu okulubhana ne misango jo bhwana na meigisho aga Yesu Kristo, okulubhana no kuswelulwa kwa ibhisike eyo yalinga iselekelwe kwo mwanya mulela,
2d101a00b9	mbe nawe woli yasweluywe no kukola okumenyekana na maandiko go bhulagi bhwo okulubhana ne bhilagilo bhya Nyamuanga owa kajanende, kwo bhwolobhe bhwe likilisha agati-gati ya Maanga gone?
2d101b0062	Ku Nyamuanga enyele owo bhumenyi, okulabha ku Yesu Kristo, kubhe na likusho kajanende kone. Amina.
2e0000000e	1 Abhakorintho
2e01010068	Paulo, unu abhilikilwaga na Kristo Yesu kubha mutumwa owe lyenda lya Nyamuanga, na Sosthene muili weswe,
2e010200ea	kwi kanisa lya Nyamuanga linu lili Korintho, kubhanu bhauhye ku Yesu Kristo, bhanu bhabhilikiwe kubha bhanu bhelu. Echibhandikila bhona bhanu abhalikusha lisina lya Lata Bugenyi weswe Yesu Kristo mbala jona, Latabhugenyi webhwe neswe.
2e01030067	Echigongo no mulembe gubhe kwemwe okusoka ku Nyamuanga lata weswe na ku Latabhugenyi weswe Yesu Kristo.
2e01040072	Nsiku jona enimusima Nyamuanga wani ingulu yemwe, kwainsonga ye chigongo cha Nyamuanga unu Kristo Yesu abhayanile.
2e0105004c	Abhakolele kubha bhanibhi ku bhuli njila, kunyaika amwi no bhwengeso bhwona.
2e01060068	Abhakolele kubha bhanibhi, lwakutyo obhubhambasi ingulu ya Kristo kutyo obhwolesha echimali agati yemwe.
2e01070082	Kulwejo mutakulebhelelwa amabhando ga mumioyo, lwakutyo muli ne lyenda lyo kulinda obhusuluko bhwa Latabhugenyi weswe Yesu Kristo.
2e01080075	Kabhasimbagilisha emwe okukinga kubhutelo, koleleki musige kubha ne solo kulusiku lwa Latabhugenyi weswe Yesu Kristo.
2e0109006c	Nyamuanga ni mulengelesi unu abhabhilikiye emwe kubhusangisi bhwo Mwana wae, Yesu Kristo Latabhugenyi weswe.
2e010a00e5	Woli enibhasabhwa abhamula bhasu na bhayala bhasu, okulabhila kwisina lya Latabhugenyi weswe Yesu Kristo, koleleki bhona mwikilishe, na kutabhamo kwaulana agati yemwe. Enibhasabhwa mugwatane amwi mu kwiganilisha no kulwaja kumwi.
2e010b0065	Kulwokubha abhanu bha munyumba ya Kloe bhabwiliye bhulimo obhwaulani bhunu obhugendelela amwi mwimwe.
2e010c00a2	Nina insonga inu: Bhuli umwi kwimwe kaikati, “Anye nili wa Paulo, “amwi “Anye liwa Apolo,”amwi ati, Anye nili wa Kefa” amwi ati, Anye nili wa Kristo”.
2e010d006e	Angu! Kristo agabhanyikene? Angu! Paulo abhambilwe kulwainjuno yemwe? Angu! mwabhatijibhwe kwi Sina lya Paulo?
2e010e004f	Enimusima Nyamuanga kulwokubha nitamubhatijishe wona wona, tali Krispo na Gayo.
2e010f0052	Jinu jabhee kutya atalio wona wona unu akaikile ati mwabhatijibhwe kwi sina lyani.
2e0110006d	(Nalindi nabhatijishe abhamunyumba ya Stephania. Okukila awo, ntakumenyati nabhatijishe munu undi wona wona).
2e011100c8	Kulwokubha, Kristo atantumile kubhatija tali okulasha emisango jo bhwana. Atantumile okulasha kwe misango kwo bhwengeso bhwe chinyamubhili, koleleki amanaga go musalabha gwa Kristo gusige kusosibhwao.
2e01120076	Kulwokubha omusango gwo musalabha ni bhumumu ku bhanu abhafwa. Nawe kubhanu Nyamuanga kakisha, ni managa ga Nyamuanga.
2e0113006f	Kulwokubha Jandikilwe, “Eninyamula obhwengeso bhwa bhobhwenge. Eninyamula obhwiganilisha bhwa abhobhwenge.”
2e011400a0	Alyaki omunu wo bhwengeso? Alyaki omunu wo bhwenge? Alyaki omwaiki no mukongya we chalo chinu? Angu, Nyamuanga atainduye obhwengeso bhwa insi inu kubha bhumumu?
2e011500a9	Okwambila insi inu nibha nobhwengeso bhwayo itamumenyele Nyamuanga, jabhee ja bhwana ku Nyamuanga kubhumumu bhwebhwe obhwokulasha koleleki okuchungula bhanu abhekilisha.
2e01160059	Ku Bhayahudi abhabhusha ebhijejekanyo bhye bhilugusho na Abhayunani abhayenja obhwengeso.
2e01170060	Nawe echimulasha Kristo unu abhambilwe, unu ali chikujulo ku Bhayaudi na nibhumumu ku Bhayunani.
2e0118007b	Nawe kubhanu bhabhilikiwe na Nyamuanga, Abhayaudi na Bhayunani, echimulasha Kristo lwa amanaga no bhwengeso bhwa Nyamuanga.
2e01190092	Kulwokubha obhumumu bhwa Nyamuanga bhuli no bhwengeso okukila obhwomwana munu, no bhulenga bhwa Nyamuanga bhuli na managa okukila obhwomwana munu.
2e011a00c7	Lola okubhilikila kwa Nyamuanga ingulu yemwe, bhamula bhasu na bhayala bhasu. Jitali ati agati yemwe yaliga muli bhengeso mu bhana bhanu. Jitalyati aliga muna amanaga. Jitalyati mwebhuhye mu bhukulu.
2e011b009a	Nawe Nyamuanga asolele ebhinu ebhimumu ebyakuchalo kunu okubhiswasha ebhyo bwengeso. Nyamuanga asolele chinu chaliga chili chilenga ochiswasha echamanaga.
2e011c00d1	Nyamuanga asolele chinu chaliga chili chemwalo na chinu chagahyaga kuchalo kunu. Asolele nebhinu bhinu bhitabhalwagwa kubha na chibhalo, kwo kubhikola kubhulwa chibhalo ebhinu bhinu bhyaliga bhili ne chibhalo.
2e011d003b	Akolele kutyo asige kubhao wona wona unu kekuya imbele yae.
2e011e00ba	Kulwa insonga ya chinu Nyamuanga akolele, woli muli munda ya Kristo Yesu, unu akolelwe kubha mwengeso ingulu yeswe okusoka ku Nyamuanga. Aliga ali chimali cheswe, obhwelu no bhuchungusi.
2e011f0055	Lwakutyo, lwakutyo amandiko agaika, “Unu kekuya, asige okwikuya ku Latabhugenyi.”
2e020100a6	Anu nejile kwimwe abhamula bhasu na bhayala bhasu, nitejile ku misango jokukongya kogya nobhwengeso lwakutyo nalasishe echimali chinu chiselekele ingulu ya Nyamuanga.
2e02020067	Nalamuye okulema omenya chona chona anu aliga niliamwi nemwe tali Yesu Kristo, no mwene unu abhambilwe.
2e02030042	Aliga nili amwi nemwe mubhulenga, na mubhubha, na mukuyalala muno.
2e02040083	Nokwaika kwani no kusimula kwani kwaliga kutali kwo mukongya no bhwengeso. Tali, galiga gali gokumwolesha Omwoyo na gali na managa,
2e02050061	koleleki elikilisha lyemwe litaja kubha ku bhwengeso bhwo mwana munu, tali kumanaga ga Nyamuanga.
2e02060090	Woli echiloma obhwengeso amwi ya bhanu bhakulu, tali bhutali bhwengeso bhwe chalo chinu, amwi eya bhatangasha bho mwanya gunu, bhanu abhalabhao.
2e0207009a	Nawe, echiloma obhwengeso bhwa Nyamuanga muchimali chinu chibhisile, obhwengeso bhunu bhwiselekele inu Nyamuanga asolele kara mumwanya gwa likusho lyeswe.
2e0208009d	Atalio wona wona mu bhatangasha bho mwanya gunu unu amenyaga obhwengeso bhunu, Bhakabhee nibhaimenya omwanya ogwo, bhatakamubhambile Latabhugenyi wa likusho.
2e020900bb	Nawe lwakutyo Jandikilwe, “Emisango jinu eliso litajilolele, jitonguhye na matwi, obhwiganilisha bhuteganilisishe, emisango jinu Nyamuanga elabhile ingulu ya bhanu abhamwenda omwene.”
2e020a0092	Jinu ni misango jinu Nyamuanga ajisuluye kwiswe okulabha ku Mwoyo, Kulwokubha Omwoyo katatilisha bhuli chinu, nolo emisango ja munda ja Nyamuanga.
2e020b00b4	Kulwokubha niga unu kamenya obhwiganilisha bhwo munu, atali omwoyo gwo munu munda yae? Kulwejo kutyo, atalio unu kamenya emisango ja munda ya Nyamuanga, atali Omwoyo gwa Nyamuanga.
2e020c0085	Nawe chitalamiye omwoyo gwe chalo, nawe Omwoyo gunu gwasokele ku Nyamuanga, koleleki chimenye emisango jinu chiyanibhwe na Nyamuanga.
2e020d0098	Echaika emisango jinu kwa magambo, ganu kwo bhwengeso bhwo munu bhutakutula kwiigisha. Omwoyo Mwelu kagajula amagambo go mwoyo kwo bhwengeso bhwo mwoyo.
2e020e00a8	Omunu unu atali wechinyamwoyo atakulamila amagambo go Mwoyo Mwelu wa Nyamuanga, kulwokubha ago kumwene ni bhumumu. Atakutula kugamenya kulwokubha agamenywa chinyamwoyo.
2e020f0041	Ku wechinyamwoyo kalamula misango jona. Nawe kalamulwa na bhandi.
2e02100089	“Niga unu katula okumenya obhwiganilisha bhwa Latabhugenyi, unu katula okumwiigisha omwene?” Nawe chili no bhwiganilisha bhwa Kristo.
2e03010097	Nanye, bhamula bhasu na bhayala bhasu, nitalomele nemwe kuti lwa bhanu bhechinyamwoyo, nawe lwa bhanu bhechinyamubhili. Na lwa bhana bhalela mu Kristo.
2e03020070	Nabhanywesishe amata na jitali nyama, kulwokubha aliga mutemaliliye okulya jinyama. Na woli muchali kwimalilila.
2e030300c1	Kulwokubha emwe muchali bhachinyamubhili. Kulwokubha lifubha no kwikuya okubhonekana agati yemwe. Angu, mutakwikala okulubhana no mubhili, na angu, mutakulibhata lwakutyo jibheile abhana bhanu?
2e03040073	Kulwokubha oumwi kaikati, “Enimulubha Paulo” Oundi kaikati “Enimulubha Apolo,” mutakwikala lwa bhana bhanu?
2e03050061	Apolo niga? na Paulo niga? Abhakosi bha unu mwikilisishe, bhuli unu Latabhugenyi ayanile okukola.
2e0306003c	Anye nayambile, Apolo natako amanji, nawe Nyamuanga nakusha.
2e03070067	Kulwejo, atalyati unu ayambile nolo unu ateeko amanji atana chona chona. Nawe ni Nyamuanga unu kakusha.
2e0308006d	Woli unu kayamba na unu katako amanji bhona ni sawa, na bhuli umwi kalamila omuyelo okulubhana ne milimu jae.
2e03090060	Kulwokubha eswe chili bhakosi bha Nyamuanga, emwe ni migunda ja Nyamuanga, inyumba ya Nyamuanga.
2e030a00b4	Okusokana ne chigongo cha Nyamuanga chinu nayanibhwe kuti mumbaki mukulu, nateewo omusingi, no oundi nombaka ingulu yagwo. Nawe omunu nabhwe mulengelesi kutyo kombakako ingulu yae.
2e030b006a	Kulwokubha atalio undi unu katula okumbaka omusingi ogundi okukila gunu gumbakilwe, gunu guli Yesu Kristo.
2e030c007e	Woli, labha oumwi mwimwe kombaka ingulu yae kwa jijaabhu, Jiela, amabhui go bhugusi bhunene, amati, obhunyasi, nolo amabhabhi,
2e030d00a7	omulimu gwae gulisululwa, kwo bhwelu bhwa mumwisi bhuliisulula. Kulwokubha ilisululwa no mulilo. Omulilo gulilegeja obhwekisi bhwo mulimu gwa bhuli munu kutyo akolele.
2e030e0052	Labha chona chona chinu omunu chinu ombakile chikasigala, omwene alibhona omuyelo.
2e030f007a	Nawe labha omulimu gwo munu gukalungula kwo mulilo, atalibhona muyelo. Nawe omwene alichungulwa, lwakutyo kasoka mumulilo.
2e03100060	Mutakumenya ati emwe muli eyekalu lya Nyamuanga na ati Omwoyo gwa Nyamuanga gwikaye munda yemwe?
2e0311008f	Labha omunu akalinyamula liyekalu lya Nyamuanga, Nyamuanga kamunyamula omunu uliya. Kulwokubha liyekalu lya Nyamuanga ni lyelu, na kutyo nemwe.
2e03120089	Omunu atajakwijiga omwene, labha wona wona mwimwe ketogelati ali no bhwengeso ku mwanya gunu, nabhe lwo “mumumu” niwo kabha mwengeso.
2e03130093	Kulwokubha obhwengeso bhwa kuchalo chinu ni bhumumu imbele ya Nyamuanga, Kulwokubha jandikilwe, “Kakoma abho bhwengeso kubhulige lige bhwebhwe”
2e03140055	Na lindi “Latabhugenyi kamenya obhwiganilisha bhwa bhengeso ati ni bhutamu tamu.”
2e03150050	Kulwejo omunu ataja kwikuisha abhana bhanu! Kulwokubha ebhinu bhyona ni bhyemwe.
2e0316008e	Labha ni Paulo, nolo Apolo, nolo Kefa, nolo echalo, nolo obhulame, nolo lufu, nolo bhinu bhinu bhilio, nolo bhinu bhilibhao. Byona ni bhyemwe.
2e0317002f	nemwe muli bha Kristo na Kristo niwa Nyamuanga.
2e0401006f	Kutyo nikwo omunu achibhale eswe, kuti bhakosi bhwa Kristo na bhabhiki bho bhumbise bhwe chimali cha Nyamuanga.
2e04020039	Kulinu, chinu echendibhwa abhabhiki bhabhe bheikanyibhwa.
2e04030088	Nawe kwanye anye ni chinu chitoto muno kulwokubha enilamulwa nemwe na lindi indamu yae chinyamunu. Kulwokubha nitakwilamula anye omwene.
2e04040061	Nitakwilamula anye omwene, inu itakubha ati anye nili mulengelesi. Ni Latabhugenyi unu kandamula.
2e04050101	Kulwejo, mtajaga kulamula ingulu ya lyona lyona omwanya guchali kukinga, achali kuja Latabhugenyi. Aligaleta mubhwelu amagambo ganu galiga gebhisile muchisute no kusulula obhwiganilisha bhwe mioyo. Nio bhuli munu alibhona okusimwa kwae okusoka ku Nyamuanga.
2e040600fd	Woli, bhamula bhasu na bhayala bhasu, anye omwene na Apolo nakolele jinu ingulu yemwe. Koleleki okusoka kweswe omutula okwiigila obhugajulo bhwo bhwaiki,”Utagenda okukila kutyo jandikilwe.” Inu ni kutya atalio umwi mwimwe unu kekuya ingulu yo oundi.
2e040700a6	Kulwokubha niga unu kalola kundi agati yemwe no oundi? Niki chinu ulinacho chinu utachilamiye bhusa? Na labha ulalamiye bhusa, kulwaki omwikuya kuti mutakolele kutyo?
2e040800bf	Mwemaliliye mnabhyo bhyona bhinu mwendaga! Mwemaliliye mwabhee no bhunibhi! Mwambile okutunga muna ebhinu okukila eswe! Chimali, enibhasabhilwa obhutungi bhakisi koleleki chitunge amwi nemwe.
2e040900c6	Kulwejo eniikanyati Nyamuanga achitulilewo eswe jintumwa kuti kucholesha abhobhutelo ku musitali lwabhanu bhalamuhye okuja okwitwa. Chili lwo bhuungusi kubhanyachalo, ku bhamalaika na kubhana bhanu.
2e040a009a	Eswe chili bhamumu kunjuno ya Kristo, nawe emwe muli bhengeso kulwa Kristo. Chili bhalenga, nawe emwe muli na managa. Muna echibhalo, nawe eswe chigailwe.
2e040b006e	Nolo omwanya gunu woli chili no mweko no bhwila, chitana ngubho, chili ne bhilonda, na lindi chitana bhwikalo.
2e040c0084	Echikola emilimu kwa managa, kwa mabhoko geswe abhene. Chikagaywa, nichibhayana amabhando. Omwanya gunu echinyansibhwa, echikomesha.
2e040d0092	Chikafumwa, echisubhya kwo bhwololo. Chili, nobhwiikanyo na chichabhalwa kuti chalemelwe ne chalo na kubha bhinu bhitana chibhalo ku misango jona.
2e040e005c	Nitakwandika amagambo ganu kubhaswasha emwe, nawe okubhakanya emwe kuti bhana bhani bhendwa.
2e040f0098	Nolo muna bheigisha makumi elefu mu Kristo, mutana bhesomwana bhamfu. Kulwokubha nabhee esomwana wemwe ku lwa Yesu Kristo okulabhila emisango jo bhwana.
2e04100023	Kulwejo enibhasabhwa mundubhe anye.
2e041100be	Eyo niyo injuno inu yakolele nimtuma kwimwe Timotheo, omwendwa wani no mwana mulengelesi ku Latabhugenyi. Alibhechukya jinjila jani mu Kristo, lwakutyo eniigisha bhuli mbala na bhuli kanisa.
2e0412003a	Woli amwi mwimwe abhekuya, nibhakola kuti nitalija kwimwe.
2e0413009d	Nawe nilija kwimwe omwanya gutali mulela, labha Latabhugenyi akenda. Niwo nilimenya ati gatali magambo gebhwela bhanu abhekuya, nawe nililola amanaga gebhwe.
2e04140043	Kulwokubha obhukama bhwa Nyamuanga bhutali mumagambo tali mumanaga.
2e04150044	Omwendaki? Nije kwimwe na insimbo angu kwe lyenda no mwoyo omwololo?
2e05010095	Chunguhye jinkuma ati agati yemwe munobhusiani, obhusiani bhunu bhutaliyo nolo Mubhanyamaanga. Chimenyesibhwe ati oumwi mwimwe kamama na mke semwene.
2e05020053	Nemwe omwikuya! Emwe mutakujubha? Unu akolele kutyo jimwingene okusoka agati yemwe.
2e05030083	Nolo kutyo nitali agati yemwe chimubhili nawe nili amwi nemwe chinyamwoyo, namalile kumulamula unu akolele kutyo, kuti aliga ndiwo.
2e05040072	Mkabhonana amwi mwisina lya Latabhugenyi weswe Yesu, no mwoyo gwani guliwao lwa managa ga Latabhugenyi weswe Yesu,
2e0505008e	namalile kumutula omunu unu ku shetani koleleki omubhili gwae gunyamulwe, koleleki omwoyo gwae gubhone okuchungulwa mulusiku lwa Latabhugenyi.
2e0506005c	Okwikusha kwemwe tikwakisi. Mutakumenya ati echifwimbya chitali echinyamula echilengo chona?
