0100000007	Genèse
18011200d5	Voici, je t’établis en ce jour sur tout le pays comme une ville forte, une colonne de fer et un mur d’airain, contre les rois de Juda, contre ses chefs, contre ses sacrificateurs, et contre le peuple du pays.
1801130070	Ils te feront la guerre, mais ils ne te vaincront pas; car je suis avec toi pour te délivrer, dit l’Éternel.
1802010038	La parole de l’Éternel me fut adressée, en ces mots:
18020200db	Va, et crie aux oreilles de Jérusalem: Ainsi parle l’Éternel: Je me souviens de ton amour lorsque tu étais jeune, De ton affection lorsque tu étais fiancée, Quand tu me suivais au désert, Dans une terre inculte.
18020300b5	Israël était consacré à l’Éternel, Il était les prémices de son revenu; Tous ceux qui en mangeaient se rendaient coupables, Et le malheur fondait sur eux, dit l’Éternel.
1802040067	Écoutez la parole de l’Éternel, maison de Jacob, Et vous toutes, familles de la maison d’Israël!
18020500b7	Ainsi parle l’Éternel: Quelle iniquité vos pères ont-ils trouvée en moi, Pour s’éloigner de moi, Et pour aller après des choses de néant et n’être eux-mêmes que néant?
1802060132	Ils n’ont pas dit: Où est l’Éternel, Qui nous a fait monter du pays d’Égypte, Qui nous a conduits dans le désert, Dans une terre aride et pleine de fosses, Dans une terre où règnent la sécheresse et l’ombre de la mort, Dans une terre par où personne ne passe, Et où n’habite aucun homme?
18020700e8	Je vous ai fait venir dans un pays semblable à un verger, Pour que vous en mangiez les fruits et les meilleures productions; Mais vous êtes venus, et vous avez souillé mon pays, Et vous avez fait de mon héritage une abomination.
18020800f6	Les sacrificateurs n’ont pas dit: Où est l’Éternel? Les dépositaires de la loi ne m’ont pas connu, Les pasteurs m’ont été infidèles, Les prophètes ont prophétisé par Baal, Et sont allés après ceux qui ne sont d’aucun secours.
1802090079	C’est pourquoi je veux encore contester avec vous, dit l’Éternel, Je veux contester avec les enfants de vos enfants.
18020a0080	Passez aux îles de Kittim, et regardez! Envoyez quelqu’un à Kédar, observez bien, Et regardez s’il y a rien de semblable!
18020b009a	Y a-t-il une nation qui change ses dieux, Quoiqu’ils ne soient pas des dieux? Et mon peuple a changé sa gloire contre ce qui n’est d’aucun secours!
18020c005b	Cieux, soyez étonnés de cela; Frémissez d’épouvante et d’horreur! Dit l’Éternel.
18020d00bf	Car mon peuple a commis un double péché: Ils m’ont abandonné, moi qui suis une source d’eau vive, Pour se creuser des citernes, des citernes crevassées, Qui ne retiennent pas l’eau.
18020e005d	Israël est-il un esclave acheté, ou né dans la maison? Pourquoi donc devient-il une proie?
18020f008c	Contre lui les lionceaux rugissent, poussent leurs cris, Et ils ravagent son pays; Ses villes sont brûlées, il n’y a plus d’habitants.
180210004e	Même les enfants de Noph et de Tachpanès Te briseront le sommet de la tête.
180211007b	Cela ne t’arrive-t-il pas Parce que tu as abandonné l’Éternel, ton Dieu, Lorsqu’il te dirigeait dans la bonne voie?
180212009b	Et maintenant, qu’as-tu à faire d’aller en Égypte, Pour boire l’eau du Nil? Qu’as-tu à faire d’aller en Assyrie, Pour boire l’eau du fleuve?
18021300f5	Ta méchanceté te châtiera, et ton infidélité te punira, Tu sauras et tu verras que c’est une chose mauvaise et amère D’abandonner l’Éternel, ton Dieu, Et de n’avoir de moi aucune crainte, Dit le Seigneur, l’Éternel des armées.
18021400cf	Tu as dès longtemps brisé ton joug, Rompu tes liens, Et tu as dit: Je ne veux plus être dans la servitude! Mais sur toute colline élevée Et sous tout arbre vert Tu t’es courbée comme une prostituée.
1802150084	Je t’avais plantée comme une vigne excellente Et du meilleur plant; Comment as-tu changé, Dégénéré en une vigne étrangère?
1802160099	Quand tu te laverais avec du nitre, Quand tu emploierais beaucoup de potasse, Ton iniquité resterait marquée devant moi, Dit le Seigneur, l’Éternel.
18021700c8	Comment dirais-tu: Je ne me suis point souillée, Je ne suis point allée après les Baals? Regarde tes pas dans la vallée, Reconnais ce que tu as fait, Dromadaire à la course légère et vagabonde!
18021800d4	Anesse sauvage, habituée au désert, Haletante dans l’ardeur de sa passion, Qui l’empêchera de satisfaire son désir? Tous ceux qui la cherchent n’ont pas à se fatiguer; Ils la trouvent pendant son mois.
18021900a6	Ne t’expose pas à avoir les pieds nus, Ne dessèche pas ton gosier! Mais tu dis: C’est en vain, non! Car j’aime les dieux étrangers, je veux aller après eux.
18021a00ae	Comme un voleur est confus lorsqu’il est surpris, Ainsi seront confus ceux de la maison d’Israël, Eux, leurs rois, leurs chefs, Leurs sacrificateurs et leurs prophètes.
18021b00c9	Ils disent au bois: Tu es mon père! Et à la pierre: Tu m’as donné la vie! Car ils me tournent le dos, ils ne me regardent pas. Et quand ils sont dans le malheur, ils disent: Lève-toi, sauve-nous!
18021c00a2	Où donc sont tes dieux que tu t’es faits? Qu’ils se lèvent, s’ils peuvent te sauver au temps du malheur! Car tu as autant de dieux que de villes, ô Juda!
18021d005b	Pourquoi contesteriez-vous avec moi? Vous m’avez tous été infidèles, dit l’Éternel.
18021e0093	En vain ai-je frappé vos enfants; Ils n’ont point eu égard à la correction; Votre glaive a dévoré vos prophètes, Comme un lion destructeur.
18021f00e4	Hommes de cette génération, considérez la parole de l’Éternel! Ai-je été pour Israël un désert, Ou un pays d’épaisses ténèbres? Pourquoi mon peuple dit-il: Nous sommes libres, Nous ne voulons pas retourner à toi?
180220007e	La jeune fille oublie-t-elle ses ornements, La fiancée sa ceinture? Et mon peuple m’a oublié Depuis des jours sans nombre.
180221006b	Comme tu es habile dans tes voies pour chercher ce que tu aimes! C’est même au crime que tu les exerces.
1802220076	Jusque sur les pans de ton habit se trouve Le sang de pauvres innocents, Que tu n’as pas surpris faisant effraction.
18022300af	Malgré cela, tu dis: Oui, je suis innocente! Certainement sa colère s’est détournée de moi! Voici, je vais contester avec toi, Parce que tu dis: Je n’ai point péché.
1802240087	Pourquoi tant d’empressement à changer ton chemin? C’est de l’Égypte que viendra ta honte, Comme elle est venue de l’Assyrie.
180225008e	De là aussi tu sortiras, les mains sur la tête; Car l’Éternel rejette ceux en qui tu te confies, Et tu ne réussiras pas auprès d’eux.
1803010116	Il dit: Lorsqu’un homme répudie sa femme, Qu’elle le quitte et devient la femme d’un autre, Cet homme retourne-t-il encore vers elle? Le pays même ne serait-il pas souillé? Et toi, tu t’es prostituée à de nombreux amants, Et tu reviendrais à moi! Dit l’Éternel.
18030200d6	Lève tes yeux vers les hauteurs, et regarde! Où ne t’es-tu pas prostituée! Tu te tenais sur les chemins, comme l’Arabe dans le désert, Et tu as souillé le pays par tes prostitutions et par ta méchanceté.
18030300a8	Aussi les pluies ont-elles été retenues, Et la pluie du printemps a-t-elle manqué; Mais tu as eu le front d’une femme prostituée, Tu n’as pas voulu avoir honte.
180304005d	Maintenant, n’est-ce pas? Tu cries vers moi: Mon père! Tu as été l’ami de ma jeunesse!
1803050091	Gardera-t-il à toujours sa colère? La conservera-t-il à jamais? Et voici, tu as dit, tu as fait des choses criminelles, tu les as consommées.
18030600c1	L’Éternel me dit, au temps du roi Josias: As-tu vu ce qu’a fait l’infidèle Israël? Elle est allée sur toute montagne élevée et sous tout arbre vert, et là elle s’est prostituée.
1803070097	Je disais: Après avoir fait toutes ces choses, elle reviendra à moi. Mais elle n’est pas revenue. Et sa sœur, la perfide Juda, en a été témoin.
18030800fb	Quoique j’eusse répudié l’infidèle Israël à cause de tous ses adultères, et que je lui eusse donné sa lettre de divorce, j’ai vu que la perfide Juda, sa sœur, n’a point eu de crainte, et qu’elle est allée se prostituer pareillement.
180309006c	Par sa criante impudicité Israël a souillé le pays, elle a commis un adultère avec la pierre et le bois.
18030a009a	Malgré tout cela, la perfide Juda, sa sœur, n’est pas revenue à moi de tout son cœur; c’est avec fausseté qu’elle l’a fait, dit l’Éternel.
18030b005f	L’Éternel me dit: L’infidèle Israël paraît innocente En comparaison de la perfide Juda.
18030c00e6	Va, crie ces paroles vers le septentrion, et dis: Reviens, infidèle Israël! Dit l’Éternel. Je ne jetterai pas sur vous un regard sévère; Car je suis miséricordieux, dit l’Éternel, Je ne garde pas ma colère à toujours.
18030d00f1	Reconnais seulement ton iniquité, Reconnais que tu as été infidèle à l’Éternel, ton Dieu, Que tu as dirigé çà et là tes pas vers les dieux étrangers, Sous tout arbre vert, Et que tu n’as pas écouté ma voix, dit l’Éternel.
18030e00a2	Revenez, enfants rebelles, dit l’Éternel; Car je suis votre maître. Je vous prendrai, un d’une ville, deux d’une famille, Et je vous ramènerai dans Sion.
18030f0066	Je vous donnerai des bergers selon mon cœur, Et ils vous paîtront avec intelligence et avec sagesse.
180310012f	Lorsque vous aurez multiplié et fructifié dans le pays, En ces jours-là, dit l’Éternel, On ne parlera plus de l’arche de l’alliance de l’Éternel; Elle ne viendra plus à la pensée; On ne se la rappellera plus, on ne s’apercevra plus de son absence, Et l’on n’en fera point une autre.
18031100cd	En ce temps-là, on appellera Jérusalem le trône de l’Éternel; Toutes les nations s’assembleront à Jérusalem, au nom de l’Éternel, Et elles ne suivront plus les penchants de leur mauvais cœur.
18031200ac	En ces jours, La maison de Juda marchera avec la maison d’Israël; Elles viendront ensemble du pays du septentrion Au pays dont j’ai donné la possession à vos pères.
18031300d8	Je disais: Comment te mettrai-je parmi mes enfants, Et te donnerai-je un pays de délices, Un héritage, le plus bel ornement des nations? Je disais: Tu m’appelleras: Mon père! Et tu ne te détourneras pas de moi.
180314007d	Mais, comme une femme est infidèle à son amant, Ainsi vous m’avez été infidèles, maison d’Israël, Dit l’Éternel.
18031500b9	Une voix se fait entendre sur les lieux élevés; Ce sont les pleurs, les supplications des enfants d’Israël; Car ils ont perverti leur voie, Ils ont oublié l’Éternel, leur Dieu.
1803160080	Revenez, enfants rebelles, Je pardonnerai vos infidélités. Nous voici, nous allons à toi, Car tu es l’Éternel, notre Dieu.
1803170094	Oui, le bruit qui vient des collines et des montagnes n’est que mensonge; Oui, c’est en l’Éternel, notre Dieu, qu’est le salut d’Israël.
180318008b	Les idoles ont dévoré le produit du travail de nos pères, Dès notre jeunesse, Leurs brebis et leurs bœufs, leurs fils et leurs filles.
18031900ff	Nous avons notre honte pour couche, Et notre ignominie pour couverture; Car nous avons péché contre l’Éternel, notre Dieu, Nous et nos pères, dès notre jeunesse jusqu’à ce jour, Et nous n’avons pas écouté la voix de l’Éternel, notre Dieu.
1804010084	Israël, si tu reviens, si tu reviens à moi, dit l’Éternel, Si tu ôtes tes abominations de devant moi, Tu ne seras plus errant.
1804020097	Si tu jures: L’Éternel est vivant! Avec vérité, avec droiture et avec justice, Alors les nations seront bénies en lui, Et se glorifieront en lui.
1804030086	Car ainsi parle l’Éternel aux hommes de Juda et de Jérusalem: Défrichez-vous un champ nouveau, Et ne semez pas parmi les épines.
18040400f9	Circoncisez-vous pour l’Éternel, circoncisez vos cœurs, Hommes de Juda et habitants de Jérusalem, De peur que ma colère n’éclate comme un feu, Et ne s’enflamme, sans qu’on puisse l’éteindre, A cause de la méchanceté de vos actions.
18040500aa	Annoncez en Juda, publiez à Jérusalem, Et dites: Sonnez de la trompette dans le pays! Criez à pleine voix, et dites: Rassemblez-vous, et allons dans les villes fortes!
1804060080	Élevez une bannière vers Sion, Fuyez, ne vous arrêtez pas! Car je fais venir du septentrion le malheur Et un grand désastre.
18040700b9	Le lion s’élance de son taillis, Le destructeur des nations est en marche, il a quitté son lieu, Pour ravager ton pays; Tes villes seront ruinées, il n’y aura plus d’habitants.
1804080080	C’est pourquoi couvrez-vous de sacs, pleurez et gémissez; Car la colère ardente de l’Éternel ne se détourne pas de nous.
180409008b	En ce jour-là, dit l’Éternel, Le roi et les chefs perdront courage, Les sacrificateurs seront étonnés, Et les prophètes stupéfaits.
18040a0092	Je dis: Ah! Seigneur Éternel! Tu as donc trompé ce peuple et Jérusalem, en disant: Vous aurez la paix! Et cependant l’épée menace leur vie.
18040b00c6	En ce temps-là, il sera dit à ce peuple et à Jérusalem: Un vent brûlant souffle des lieux élevés du désert Sur le chemin de la fille de mon peuple, Non pour vanner ni pour nettoyer le grain.
18040c0065	C’est un vent impétueux qui vient de là jusqu’à moi. Maintenant, je prononcerai leur sentence.
18040d00b0	Voici, le destructeur s’avance comme les nuées; Ses chars sont comme un tourbillon, Ses chevaux sont plus légers que les aigles. Malheur à nous, car nous sommes détruits!
18040e0081	Purifie ton cœur du mal, Jérusalem, Afin que tu sois sauvée! Jusques à quand garderas-tu dans ton cœur tes pensées iniques?
18040f0063	Car une voix qui part de Dan annonce la calamité, Elle la publie depuis la montagne d’Éphraïm.
180410009d	Dites-le aux nations, faites-le connaître à Jérusalem: Des assiégeants viennent d’une terre lointaine; Ils poussent des cris contre les villes de Juda.
1804110074	Comme ceux qui gardent un champ, ils entourent Jérusalem, Car elle s’est révoltée contre moi, dit l’Éternel.
180412009c	C’est là le produit de tes voies et de tes actions, C’est là le produit de ta méchanceté; Certes cela est amer, cela pénètre jusqu’à ton cœur.
18041300ac	Mes entrailles! Mes entrailles: je souffre au-dedans de mon cœur, Le cœur me bat, je ne puis me taire; Car tu entends, mon âme, le son de la trompette, Le cri de guerre.
180414007e	On annonce ruine sur ruine, Car tout le pays est ravagé; Mes tentes sont ravagées tout à coup, Mes pavillons en un instant.
1804150050	Jusques à quand verrai-je la bannière, Et entendrai-je le son de la trompette?
18041600bd	Certainement mon peuple est fou, il ne me connaît pas; Ce sont des enfants insensés, dépourvus d’intelligence; Ils sont habiles pour faire le mal, Mais ils ne savent pas faire le bien.
180417005f	Je regarde la terre, et voici, elle est informe et vide; Les cieux, et leur lumière a disparu.
180418005f	Je regarde les montagnes, et voici, elles sont ébranlées; Et toutes les collines chancellent.
1804190062	Je regarde, et voici, il n’y a point d’homme; Et tous les oiseaux des cieux ont pris la fuite.
18041a0086	Je regarde, et voici, le Carmel est un désert; Et toutes ses villes sont détruites, devant l’Éternel, Devant son ardente colère.
18041b0069	Car ainsi parle l’Éternel: Tout le pays sera dévasté; Mais je ne ferai pas une entière destruction.
18041c00a8	A cause de cela, le pays est en deuil, Et les cieux en haut sont obscurcis; Car je l’ai dit, je l’ai résolu, Et je ne m’en repens pas, je ne me rétracterai pas.
18041d00bd	Au bruit des cavaliers et des archers, toutes les villes sont en fuite; On entre dans les bois, on monte sur les rochers; Toutes les villes sont abandonnées, il n’y a plus d’habitants.
18041e00e7	Et toi, dévastée, que vas-tu faire? Tu te revêtiras de cramoisi, tu te pareras d’ornements d’or, Tu mettras du fard à tes yeux; Mais c’est en vain que tu t’embelliras; Tes amants te méprisent, Ils en veulent à ta vie.
18041f00fa	Car j’entends des cris comme ceux d’une femme en travail, Des cris d’angoisse comme dans un premier enfantement. C’est la voix de la fille de Sion; elle soupire, elle étend les mains: Malheureuse que je suis! Je succombe sous les meurtriers!
18050100da	Parcourez les rues de Jérusalem, Regardez, informez-vous, cherchez dans les places, S’il s’y trouve un homme, s’il y en a un Qui pratique la justice, qui s’attache à la vérité, Et je pardonne à Jérusalem.
1805020054	Même quand ils disent: L’Éternel est vivant! C’est faussement qu’ils jurent.
18050300e7	Éternel, tes yeux n’aperçoivent-ils pas la vérité? Tu les frappes, et ils ne sentent rien; Tu les consumes, et ils ne veulent pas recevoir instruction; Ils prennent un visage plus dur que le roc, Ils refusent de se convertir.
1805040090	Je disais: Ce ne sont que les petits; Ils agissent en insensés, parce qu’ils ne connaissent pas la voie de l’Éternel, La loi de leur Dieu.
18050500ae	J’irai vers les grands, et je leur parlerai; Car eux, ils connaissent la voie de l’Éternel, La loi de leur Dieu; Mais ils ont tous aussi brisé le joug, Rompu les liens.
1805060102	C’est pourquoi le lion de la forêt les tue, Le loup du désert les détruit, La panthère est aux aguets devant leurs villes; Tous ceux qui en sortiront seront déchirés; Car leurs transgressions sont nombreuses, Leurs infidélités se sont multipliées.
18050700e3	Pourquoi te pardonnerais-je? Tes enfants m’ont abandonné, Et ils jurent par des dieux qui n’existent pas. J’ai reçu leurs serments, et ils se livrent à l’adultère, Ils sont en foule dans la maison de la prostituée.
1805080077	Semblables à des chevaux bien nourris, qui courent çà et là, Ils hennissent chacun après la femme de son prochain.
1805090067	Ne châtierais-je pas ces choses-là, dit l’Éternel, Ne me vengerais-je pas d’une pareille nation?
18050a0088	Montez sur ses murailles, et abattez, Mais ne détruisez pas entièrement! Enlevez ses ceps Qui n’appartiennent point à l’Éternel!
18050b005a	Car la maison d’Israël et la maison de Juda m’ont été infidèles, Dit l’Éternel.
18050c008b	Ils renient l’Éternel, ils disent: Il n’existe pas! Et le malheur ne viendra pas sur nous, Nous ne verrons ni l’épée ni la famine.
18050d005e	Les prophètes ne sont que du vent, Et personne ne parle en eux. Qu’il leur soit fait ainsi!
18050e00c7	C’est pourquoi ainsi parle l’Éternel, le Dieu des armées: Parce que vous avez dit cela, Voici, je veux que ma parole dans ta bouche soit du feu, Et ce peuple du bois, et que ce feu les consume.
18050f00eb	Voici, je fais venir de loin une nation contre vous, maison d’Israël, Dit l’Éternel; C’est une nation forte, c’est une nation ancienne, Une nation dont tu ne connais pas la langue, Et dont tu ne comprendras point les paroles.
1805100045	Son carquois est comme un sépulcre ouvert; Ils sont tous des héros.
18051100ed	Elle dévorera ta moisson et ton pain, Elle dévorera tes fils et tes filles, Elle dévorera tes brebis et tes bœufs, Elle dévorera ta vigne et ton figuier; Elle détruira par l’épée tes villes fortes dans lesquelles tu te confies.
180512004c	Mais en ces jours, dit l’Éternel, Je ne vous détruirai pas entièrement.
180513010b	Si vous dites alors: Pourquoi l’Éternel, notre Dieu, nous fait-il tout cela? Tu leur répondras: Comme vous m’avez abandonné, Et que vous avez servi des dieux étrangers dans votre pays, Ainsi vous servirez des étrangers dans un pays qui n’est pas le vôtre.
1805140042	Annoncez ceci à la maison de Jacob, Publiez-le en Juda, et dites:
180515008f	Écoutez ceci, peuple insensé, et qui n’as point de cœur! Ils ont des yeux et ne voient point, Ils ont des oreilles et n’entendent point.
180516011c	Ne me craindrez-vous pas, dit l’Éternel, Ne tremblerez-vous pas devant moi? C’est moi qui ai donné à la mer le sable pour limite, Limite éternelle qu’elle ne doit pas franchir; Ses flots s’agitent, mais ils sont impuissants; Ils mugissent, mais ils ne la franchissent pas.
180517004c	Ce peuple a un cœur indocile et rebelle; Ils se révoltent, et s’en vont.
18051800d7	Ils ne disent pas dans leur cœur: Craignons l’Éternel, notre Dieu, Qui donne la pluie en son temps, La pluie de la première et de l’arrière saison, Et qui nous réserve les semaines destinées à la moisson.
180519007e	C’est à cause de vos iniquités que ces dispensations n’ont pas lieu, Ce sont vos péchés qui vous privent de ces biens.
18051a0097	Car il se trouve parmi mon peuple des méchants; Ils épient comme l’oiseleur qui dresse des pièges, Ils tendent des filets, et prennent des hommes.
18051b0085	Comme une cage est remplie d’oiseaux, Leurs maisons sont remplies de fraude; C’est ainsi qu’ils deviennent puissants et riches.
18051c00d3	Ils s’engraissent, ils sont brillants d’embonpoint; Ils dépassent toute mesure dans le mal, Ils ne défendent pas la cause, la cause de l’orphelin, et ils prospèrent; Ils ne font pas droit aux indigents.
18051d0067	Ne châtierais-je pas ces choses-là, dit l’Éternel, Ne me vengerais-je pas d’une pareille nation?
18051e0038	Des choses horribles, abominables, Se font dans le pays.
18051f009b	Les prophètes prophétisent avec fausseté, Les sacrificateurs dominent sous leur conduite, Et mon peuple prend plaisir à cela. Que ferez-vous à la fin?
18060100bd	Fuyez, enfants de Benjamin, du milieu de Jérusalem, Sonnez de la trompette à Tekoa, Élevez un signal à Beth-Hakkérem! Car on voit venir du septentrion le malheur Et un grand désastre.
180602003b	La belle et la délicate, Je la détruis, la fille de Sion!
180603007a	Vers elle marchent des bergers avec leurs troupeaux; Ils dressent des tentes autour d’elle, Ils broutent chacun sa part.
180604008e	Préparez-vous à l’attaquer! Allons! Montons en plein midi!… Malheureusement pour nous, le jour baisse, Les ombres du soir s’allongent.
1806050030	Allons! Montons de nuit! Détruisons ses palais!
18060600c0	Car ainsi parle l’Éternel des armées: Abattez les arbres, Élevez des terrasses contre Jérusalem! C’est la ville qui doit être châtiée; Il n’y a qu’oppression au milieu d’elle.
18060700c8	Comme un puits fait jaillir ses eaux, Ainsi elle fait jaillir sa méchanceté; Il n’est bruit en son sein que de violence et de ruine; Sans cesse à mes regards s’offrent la douleur et les plaies.
180608007d	Reçois instruction, Jérusalem, De peur que je ne m’éloigne de toi, Que je ne fasse de toi un désert, Un pays inhabité!
180609009b	Ainsi parle l’Éternel des armées: On grappillera comme une vigne les restes d’Israël. Portes-y de nouveau la main, Comme le vendangeur sur les ceps.
18060a00f2	A qui m’adresser, et qui prendre à témoin pour qu’on écoute? Voici, leur oreille est incirconcise, Et ils sont incapables d’être attentifs; Voici, la parole de l’Éternel est pour eux un opprobre, Ils n’y trouvent aucun plaisir.
18060b00ea	Je suis plein de la fureur de l’Éternel, je ne puis la contenir. Répands-la sur l’enfant dans la rue, Et sur les assemblées des jeunes gens. Car l’homme et la femme seront pris, Le vieillard et celui qui est chargé de jours.
18060c008f	Leurs maisons passeront à d’autres, Les champs et les femmes aussi, Quand j’étendrai ma main sur les habitants du pays, Dit l’Éternel.
18060d0090	Car depuis le plus petit jusqu’au plus grand, Tous sont avides de gain; Depuis le prophète jusqu’au sacrificateur, Tous usent de tromperie.
18060e0073	Ils pansent à la légère la plaie de la fille de mon peuple: Paix! Paix! Disent-ils; Et il n’y a point de paix;
18060f00e6	Ils seront confus, car ils commettent des abominations; Ils ne rougissent pas, ils ne connaissent pas la honte; C’est pourquoi ils tomberont avec ceux qui tombent, Ils seront renversés quand je les châtierai, Dit l’Éternel.
18061000eb	Ainsi parle l’Éternel: Placez-vous sur les chemins, regardez, Et demandez quels sont les anciens sentiers, Quelle est la bonne voie; marchez-y, Et vous trouverez le repos de vos âmes! Mais ils répondent: Nous n’y marcherons pas.
1806110087	J’ai mis près de vous des sentinelles: Soyez attentifs au son de la trompette! Mais ils répondent: Nous n’y serons pas attentifs.
1806120058	C’est pourquoi écoutez, nations! Sachez ce qui leur arrivera, assemblée des peuples!
18061300a5	Écoute, terre! Voici, je fais venir sur ce peuple le malheur, Fruit de ses pensées; Car ils n’ont point été attentifs à mes paroles, Ils ont méprisé ma loi.
18061400b3	Qu’ai-je besoin de l’encens qui vient de Séba, Du roseau aromatique d’un pays lointain? Vos holocaustes ne me plaisent point, Et vos sacrifices ne me sont point agréables.
18061500c6	C’est pourquoi ainsi parle l’Éternel: Voici, je mettrai devant ce peuple des pierres d’achoppement, Contre lesquelles se heurteront ensemble pères et fils, Voisins et amis, et ils périront.
1806160081	Ainsi parle l’Éternel: Voici, un peuple vient du pays du septentrion, Une grande nation se lève des extrémités de la terre.
18061700ca	Ils portent l’arc et le javelot; Ils sont cruels, sans miséricorde; Leur voix mugit comme la mer; Ils sont montés sur des chevaux, Prêts à combattre comme un seul homme, Contre toi, fille de Sion!
180618007e	Au bruit de leur approche, Nos mains s’affaiblissent, L’angoisse nous saisit, Comme la douleur d’une femme qui accouche.
180619008a	Ne sortez pas dans les champs, N’allez pas sur les chemins; Car là est le glaive de l’ennemi, Et l’épouvante règne à l’entour!
18061a00ce	Fille de mon peuple, couvre-toi d’un sac et roule-toi dans la cendre, Prends le deuil comme pour un fils unique, Verse des larmes, des larmes amères! Car le dévastateur vient sur nous à l’improviste.
18061b0079	Je t’avais établi en observation parmi mon peuple, Comme une forteresse, Pour que tu connusses et sondasses leur voie.
18061c0060	Ils sont tous des rebelles, des calomniateurs, De l’airain et du fer; Ils sont tous corrompus.
18061d007d	Le soufflet est brûlant, Le plomb est consumé par le feu; C’est en vain qu’on épure, Les scories ne se détachent pas.
18061e004a	On les appelle de l’argent méprisable, Car l’Éternel les a rejetés.
1807010051	La parole qui fut adressée à Jérémie de la part de l’Éternel, en ces mots:
18070200db	Place-toi à la porte de la maison de l’Éternel, Et là publie cette parole, Et dis: Écoutez la parole de l’Éternel, Vous tous, hommes de Juda, qui entrez par ces portes, Pour vous prosterner devant l’Éternel!
180703008a	Ainsi parle l’Éternel des armées, le Dieu d’Israël: Réformez vos voies et vos œuvres, Et je vous laisserai demeurer dans ce lieu.
1807040099	Ne vous livrez pas à des espérances trompeuses, en disant: C’est ici le temple de l’Éternel, le temple de l’Éternel, Le temple de l’Éternel!
1807050066	Si vous réformez vos voies et vos œuvres, Si vous pratiquez la justice envers les uns et les autres,
18070600bd	Si vous n’opprimez pas l’étranger, l’orphelin et la veuve, Si vous ne répandez pas en ce lieu le sang innocent, Et si vous n’allez pas après d’autres dieux, pour votre malheur,
180707007a	Alors je vous laisserai demeurer dans ce lieu, Dans le pays que j’ai donné à vos pères, D’éternité en éternité.
1807080053	Mais voici, vous vous livrez à des espérances trompeuses, Qui ne servent à rien.
180709009c	Quoi! Dérober, tuer, commettre des adultères, Jurer faussement, offrir de l’encens à Baal, Aller après d’autres dieux que vous ne connaissez pas!…
18070a00c0	Puis vous venez vous présenter devant moi, Dans cette maison sur laquelle mon nom est invoqué, Et vous dites: Nous sommes délivrés!… Et c’est afin de commettre toutes ces abominations!
18070b0084	Est-elle à vos yeux une caverne de voleurs, Cette maison sur laquelle mon nom est invoqué? Je le vois moi-même, dit l’Éternel.
18070c00bd	Allez donc au lieu qui m’était consacré à Silo, Où j’avais fait autrefois résider mon nom. Et voyez comment je l’ai traité, A cause de la méchanceté de mon peuple d’Israël.
18070d00d7	Et maintenant, puisque vous avez commis toutes ces actions, Dit l’Éternel, Puisque je vous ai parlé dès le matin et que vous n’avez pas écouté, Puisque je vous ai appelés et que vous n’avez pas répondu,
18070e00d0	Je traiterai la maison sur laquelle mon nom est invoqué, Sur laquelle vous faites reposer votre confiance, Et le lieu que j’ai donné à vous et à vos pères, De la même manière que j’ai traité Silo;
18070f0071	Et je vous rejetterai loin de ma face, Comme j’ai rejeté tous vos frères, Toute la postérité d’Éphraïm.
18071000ad	Et toi, n’intercède pas en faveur de ce peuple, N’élève pour eux ni supplications ni prières, Ne fais pas des instances auprès de moi; Car je ne t’écouterai pas.
1807110057	Ne vois-tu pas ce qu’ils font dans les villes de Juda Et dans les rues de Jérusalem?
18071200d5	Les enfants ramassent du bois, Les pères allument le feu, Et les femmes pétrissent la pâte, Pour préparer des gâteaux à la reine du ciel, Et pour faire des libations à d’autres dieux, Afin de m’irriter.
1807130063	Est-ce moi qu’ils irritent? Dit l’Éternel; N’est-ce pas eux-mêmes, A leur propre confusion?
18071400f6	C’est pourquoi ainsi parle le Seigneur, l’Éternel: Voici, ma colère et ma fureur se répandent sur ce lieu, Sur les hommes et sur les bêtes, Sur les arbres des champs et sur les fruits de la terre; Elle brûlera, et ne s’éteindra point.
180715007c	Ainsi parle l’Éternel des armées, le Dieu d’Israël: Ajoutez vos holocaustes à vos sacrifices, Et mangez-en la chair!
18071600b2	Car je n’ai point parlé avec vos pères et je ne leur ai donné aucun ordre, Le jour où je les ai fait sortir du pays d’Égypte, Au sujet des holocaustes et des sacrifices.
18071700c0	Mais voici l’ordre que je leur ai donné: Écoutez ma voix, Et je serai votre Dieu, Et vous serez mon peuple; Marchez dans toutes les voies que je vous prescris, Afin que vous soyez heureux.
18071800b1	Et ils n’ont point écouté, ils n’ont point prêté l’oreille; Ils ont suivi les conseils, les penchants de leur mauvais cœur, Ils ont été en arrière et non en avant.
18071900b9	Depuis le jour où vos pères sont sortis du pays d’Égypte, Jusqu’à ce jour, Je vous ai envoyé tous mes serviteurs, les prophètes, Je les ai envoyés chaque jour, dès le matin.
18071a008d	Mais ils ne m’ont point écouté, ils n’ont point prêté l’oreille; Ils ont raidi leur cou, Ils ont fait le mal plus que leurs pères.
18071b006e	Si tu leur dis toutes ces choses, ils ne t’écouteront pas; Si tu cries vers eux, ils ne te répondront pas.
18071c00c2	Alors dis-leur: C’est ici la nation qui n’écoute pas la voix de l’Éternel, son Dieu, Et qui ne veut pas recevoir instruction; La vérité a disparu, elle s’est retirée de leur bouche.
