0100000006	Farawa
0d01200095	’Ya’yan Ketura maza, ƙwarƙwarar Ibrahim su ne, Zimran, Yokshan, Medan, Midiyan, Ishbak da Shuwa.’Ya’yan Yokshan maza su ne, Sheba da Dedan.
0d0121006a	’Ya’yan Midiyan maza su ne, Efa, Efer, Hanok, Abida da Elda’a. Dukan waɗannan su ne zuriyar Ketura.
0d01220052	Ibrahim shi ne mahaifin Ishaku.’Ya’yan Ishaku maza su ne, Isuwa da Isra’ila.
0d01230045	’Ya’yan Isuwa maza, su ne, Elifaz, Reyuwel, Yewush, Yalam da Kora
0d01240063	’Ya’yan Elifaz maza su ne, Teman, Omar, Zefi, Gatam, Kenaz, da Timna wanda aka haifa wa Amalek.
0d0125003d	’Ya’yan maza Reyuwel su ne, Nahat, Zera, Shamma da Mizza.
0d01260052	’Ya’yan Seyir maza su ne, Lotan, Shobal, Zibeyon, Ana, Dishon, Ezer da Dishan.
0d0127004d	’Ya’yan Lotan maza su ne, Hori da Homam. Timna ita ce’yar’uwar Lotan.
0d0128006f	’Ya’yan Shobal maza su ne, Alwan, Manahat, Ebal, Shefo da Onam.’Ya’yan Zibeyon maza su ne, Aiya da Ana.
0d01290056	Ɗan Ana shi ne, Dishon.’Ya’yan Dishon maza su ne, Hemdan, Eshban, Itran da Keran.
0d012a0066	’Ya’yan Ezer maza su ne, Bilhan, Za’aban da Ya’akan.’Ya’yan Dishan maza su ne, Uz da Aran.
0d012b009a	Waɗannan su ne sarakunan da suka yi sarauta a Edom kafin wani sarkin mutumin Isra’ila yă yi sarauta. Bela ɗan Beyor, wanda aka kira birninsa Dinhaba.
0d012c0055	Sa’ad da Bela ya mutu sai Yobab ɗan Zera daga Bozra ya gāje shi a matsayin sarki.
0d012d004e	Da Yobab ya mutu, Husham daga ƙasar Temaniyawa ya gāje shi a matsayin sarki.
0d012e0096	Sa’ad da Husham ya mutu, Hadad ɗan Bedad, wanda ya ci Midiyan da yaƙi a cikin ƙasar Mowab, ya gāje shi a matsayin sarki. Aka kira birninsa Awit.
0d012f0043	Da Hadad ya mutu, Samla daga Masreka ya gāje shi a matsayin sarki.
0d01300056	Sa’ad da Samla ya mutu, Sha’ul daga Rehobot na kogi ya gāje shi a matsayin sarki.
0d01310054	Sa’ad da Sha’ul ya mutu, Ba’al-Hanan ɗan Akbor ya gāje shi a matsayin sarki.
0d01320099	Sa’ad da Ba’al-Hanan ya mutu, Hadad ya gāje shi a matsayin sarki. Aka kira birninsa Fau, sunan matarsa kuwa Mehetabel’yar Matired,’yar Me-Zahab.
0d0133003b	Hadad shi ma ya mutu. Manyan Edom su ne, Timna, Alwa, Yetet
0d01340015	Oholibama, Ela, Finon
0d01350015	Kenaz, Teman, Mibzar,
0d0136002e	Magdiyel da Iram. Waɗannan su ne manyan Edom.
0d0201005b	Waɗannan su ne’ya’yan Isra’ila maza. Ruben, Simeyon, Lawi, Yahuda, Issakar, Zebulun,
0d0202002c	Dan, Yusuf, Benyamin, Naftali, Gad da Asher.
0d020300c8	’Ya’yan Yahuda maza su ne, Er, Onan da Shela. Waɗannan mutum uku Bat-shuwa mutuniyar Kan’ana ce ta haifa masa. Er, ɗan farin Yahuda mugu ne a gaban Ubangiji, saboda haka Ubangiji ya kashe shi.
0d0204005c	Tamar, surukar Yahuda, ta haifa masa Ferez da Zera. Yahuda ya haifi’ya’ya maza biyar ne.
0d0205002e	’Ya’yan Ferez maza su ne, Hezron da Hamul.
0d0206004e	’Ya’yan Zera maza su ne, Zimri, Etan, Heman, Kalkol da Darda, su biyar ne.
0d02070067	’Ya’yan Karmi maza su ne, Akar wanda ya kawo masifa wa Isra’ila ta wurin yin abin da aka haramta.
0d0208001a	Ɗan Etan shi ne, Azariya.
0d02090046	’Ya’ya maza da aka haifa wa Hezron su ne, Yerameyel, Ram da Kaleb.
0d020a005e	Ram shi ne mahaifin Amminadab, Amminadab kuwa shi ne mahaifin Nashon, shugaban mutanen Yahuda.
0d020b003a	Nashon shi ne mahaifin Salma, Salma shi ne mahaifin Bowaz,
0d020c003b	Bowaz shi ne mahaifin Obed kuma Obed shi ne mahaifin Yesse.
0d020d005c	Yesse shi ne mahaifin. Eliyab ɗan farinsa, ɗansa na biyu shi ne Abinadab, na ukun Shimeya,
0d020e0023	na huɗun Netanel, na biyar Raddai,
0d020f0025	na shidan Ozem na bakwai kuma Dawuda.
0d02100072	’Yan’uwansu mata su ne Zeruhiya da Abigiyel.’Ya’yan Zeruhiya maza guda uku su ne Abishai, Yowab da Asahel.
0d02110051	Abigiyel ita ce mahaifiyar Amasa, wanda mahaifinsa shi ne Yeter mutumin Ishmayel.
0d02120092	Kaleb ɗan Hezron ya haifi yara ta wurin matarsa Azuba (da kuma ta wurin Yeriyot). Waɗannan su ne’ya’yan Azuba maza. Yesher, Shobab da Ardon.
0d0213003f	Da Azuba ta mutu, Kaleb ya auri Efrat, wadda ta haifa masa Hur.
0d0214003a	Hur shi ne mahaifin Uri, Uri kuma shi ne mahaifin Bezalel.
0d0215007f	Daga baya, Hezron ya kwana da’yar Makir mahaifin Gileyad (ya aure ta sa’ad da take da shekara sittin), ta haifa masa Segub.
0d02160047	Segub shi ne mahaifin Yayir, wanda ya yi mulkin garuruwa uku a Gileyad.
0d021700a0	(Amma Geshur da Aram suka ƙwace Hawwot Yayir da kuma Kenat tare da ƙauyukan kewayenta, garuruwa sittin.) Dukan waɗannan su ne zuriyar Makir mahaifin Gileyad.
0d02180061	Bayan Hezron ya mutu a Kaleb Efrata, sai Abiya matar Hezron ta haifa masa Asshur mahaifin Tekowa.
0d02190069	’Ya’yan Yerameyel maza, ɗan farin Hezron su ne, Ram shi ne ɗan fari, sai Buna, Oren, Ozem da Ahiya.
0d021a0049	Yerameyel yana da wata mata, wadda sunanta Atara; ita ce mahaifiyar Onam.
0d021b0048	’Ya’yan Ram maza ɗan farin Yerameyel su ne, Ma’az, Yamin da Eker.
0d021c005e	’Ya’yan Onam maza su ne, Shammai da Yada.’Ya’yan Shammai maza su ne, Nadab da Abishur.
0d021d0047	Sunan matar Abishur ita ce Abihayil, wadda ta haifa masa Aban da Molid.
0d021e0048	’Ya’yan Nadab maza su ne, Seled da Affayim. Seled ya mutu babu yara.
0d021f0057	Ɗan Affayim shi ne, Ishi, wanda shi ne mahaifin Sheshan. Sheshan shi ne mahaifin Alai.
0d0220005c	’Ya’yan Yada maza, ɗan’uwan Shammai su ne, Yeter da Yonatan. Yeter ya mutu babu yara.
0d02210051	’Ya’yan Yonatan maza su ne, Felet da Zaza. Waɗannan su ne zuriyar Yerameyel.
0d02220066	Sheshan ba shi da’ya’ya maza, sai’ya’ya mata kawai. Yana da bawa mutumin Masar mai suna Yarha.
0d02230049	Sheshan ya ba da’yarsa aure ga bawansa Yarha, ta kuwa haifa masa Attai.
0d02240039	Attai shi ne mahaifin Natan, Natan shi ne mahaifin Zabad,
0d02250038	Zabad shi ne mahaifin Eflal, Eflal shi ne mahaifin Obed,
0d02260038	Obed shi ne mahaifin Yehu, Yehu shi ne mahaifin Azariya,
0d0227003d	Azariya shi ne mahaifin Helez, Helez shi ne mahaifin Eleyasa,
0d0228003e	Eleyasa shi ne mahaifin Sismai, Sismai shi ne mahaifin Shallum
0d02290049	Shallum shi ne mahaifin Yekamiya, Yekamiya kuma shi ne mahaifin Elishama.
0d022a0094	’Ya’yan Kaleb maza, ɗan’uwan Yerameyel su ne, Mesha ɗan farinsa, wanda shi ne mahaifin Zif, da ɗansa Maresha, wanda shi ne mahaifin Hebron.
0d022b003d	’Ya’yan Hebron maza su ne, Kora, Taffuwa, Rekem da Shema.
0d022c0060	Shema shi ne mahaifin Raham, Raham kuma shi ne mahaifin Yorkeyam. Rekem shi ne mahaifin Shammai.
0d022d003e	Ɗan Shammai shi ne Mawon, Mawon kuma shi ne mahaifin Bet-Zur.
0d022e005b	Efa ƙwarƙwarar Kaleb ita ce mahaifiyar Haran, Moza da Gazez. Haran shi ne mahaifin Gazez.
0d022f004b	’Ya’yan Yadai maza su ne, Regem, Yotam, Geshan, Felet, Efa da Sha’af.
0d02300040	Ma’aka ƙwarƙwarar Kaleb ita ce mahaifiyar Sheber da Tirhana.
0d0231006c	Ta kuma haifi Sha’af mahaifin Madmanna da kuma Shewa, mahaifin Makbena da Gibeya.’Yar Kaleb ita ce Aksa.
0d0232006d	Waɗannan su ne zuriyar Kaleb.’Ya’yan Hur maza, ɗan farin Efrata su ne, Shobal mahaifin Kiriyat Yeyarim,
0d0233003a	Salma mahaifin Betlehem, da kuma Haref mahaifin Bet-Gader.
0d0234004a	Zuriyar Shobal mahaifin Kiriyat Yeyarim su ne, Harowe, rabin Manahatiyawa,
0d0235008b	kuma gidan Kiriyat Yeyarim su ne, Itrayawa, Futiyawa, Shumatiyawa da Mishratiyawa. Daga waɗannan ne Zoratiyawa da Eshtawoliyawa suka fito.
0d02360057	Zuriyar Salma su ne, Betlehem, Netofawa, Atrot Bet Yowab, rabin Manahatiyawa, Zoriyawa,
0d023700ab	kuma gidan marubuta waɗanda suke zama a Yabez su ne, Tiratiyawa, Shimeyatiyawa da Sukatiyawa. Waɗannan su ne Keniyawa waɗanda suka zo daga Hammat, mahaifin gidan Rekab.
0d030100b1	Waɗannan su ne’ya’yan Dawuda maza da aka haifa masa a Hebron. Ɗan farinsa shi ne Amnon ɗan Ahinowam mutuniyar Yezireyel; na biyun, Daniyel ɗan Abigiyel mutuniyar Karmel;
0d0302005a	na ukun, Absalom ɗan Ma’aka’yar Talmai sarkin Geshur; na huɗun, Adoniya ɗan Haggit;
0d03030052	na biyar, Shefatiya ɗan Abital; da kuma na shida, Itireyam ta wurin matarsa Egla.
0d03040094	Waɗannan su ne aka haifa wa Dawuda a Hebron, inda ya yi mulki shekaru bakwai da wata shida. Dawuda ya yi mulki a Urushalima shekaru talatin da uku,
0d0305008b	kuma waɗannan su ne yaran da aka haifa masa a can. Shimeya, Shobab, Natan da Solomon. Waɗannan huɗu ne Bat-shuwa’yar Ammiyel ta haifa.
0d03060025	Akwai kuma Ibhar, Elishama, Elifelet,
0d03070014	Noga, Nefeg, Yafiya,
0d0308002f	Elishama, Eliyada da Elifelet, su tara ne duka.
0d03090079	Dukan waɗannan’ya’yan Dawuda ne maza, ban da’ya’yansa maza ta wurin ƙwarƙwaransa. Tamar ita ce’yar’uwarsu.
0d030a0041	Zuriyar Solomon su ne Rehobowam, da Abiya, da Asa, da Yehoshafat,
0d030b0020	da Yoram, da Ahaziya, da Yowash,
0d030c0021	da Amaziya, da Azariya, da Yotam,
0d030d0020	da Ahaz, da Hezekiya da Manasse,
0d030e0013	da Amon, da Yosiya.
0d030f0074	’Ya’yan Yosiya maza su ne, Yohanan ɗan fari, Yehohiyakim ɗa na biyu, Zedekiya ɗa na uku Shallum ɗa na huɗu.
0d03100039	Magādan Yehohiyakim su ne, Yekoniya ɗansa, da Zedekiya.
0d0311002c	Zuriyar Yekoniya kamamme su ne, Sheyaltiyel,
0d0312003d	Malkiram, Fedahiya, Shenazzar, Yekamiya, Hoshama da Nedabiya.
0d03130087	’Ya’yan Fedahiya su ne, Zerubbabel da Shimeyi.’Ya’yan Zerubbabel maza su ne, Meshullam da Hananiya. Shelomit ce’yar’uwarsu.
0d0314004d	Akwai kuma waɗansu biyar, Hashuba, Ohel, Berekiya, Hasadiya da Yushab-Hesed.
0d03150055	Zuriyar Hananiya su ne, Felatiya da Yeshahiya, Refahiya, Arnan, Obadiya da Shekaniya.
0d03160075	Zuriyar Shekaniya su ne, Shemahiya da’ya’yansa maza. Hattush, Igal, Bariya, Neyariya da Shafat, su shida ne duka.
0d03170051	’Ya’yan Neyariya maza su ne, Eliyohenai, Hezekiya da Azrikam, su uku ne duka.
0d03180072	’Ya’yan Eliyohenai su ne, Hodawiya, Eliyashib, Felahiya, Akkub, Yohanan, Delahiya da Anani, su bakwai ne duka.
0d0401003c	Zuriyoyin Yahuda su ne, Ferez, Hezron, Karmi, Hur da Shobal.
0d04020076	Reyahiya ɗan Shobal shi ne mahaifin Yahat, Yahat shi ne mahaifin Ahumai da Lahad. Waɗannan su ne gidajen Zoratiyawa.
0d04030060	Waɗannan su ne’ya’yan Etam. Yezireyel, Ishma da Idbash.’Yar’uwarsu ita ce Hazzelelfoni.
0d04040084	Fenuwel shi ne mahaifin Gedor, kuma Ezer shi ne mahaifin Husha. Waɗannan su ne zuriyar Hur, ɗan farin Efrata da mahaifin Betlehem.
0d0405003b	Asshur mahaifin Tekowa yana da mata biyu, Hela da Na’ara.
0d0406005b	Na’ara ta haifi Ahuzzam, Hefer, Temeni da Hawahashtari. Waɗannan su ne zuriyar Na’ara.
0d04070031	’Ya’yan Hela maza su ne, Zeret, Zohar, Etnan,
0d04080071	da Koz. Koz ne mahaifin Anub da Hazzobeba, shi ne kuma kakan iyalin da suka fito daga zuriyar Aharhel ɗan Harum.
0d0409006f	Yabez ya fi’yan’uwansa martaba. Mahaifiyarsa ta sa masa suna Yabez, tana cewa, “Na haife shi da azaba.”
0d040a00e1	Yabez ya yi kuka ga Allah na Isra’ila ya ce, “Ka yi mini albarka ka fadada yankina! Bari hannunka yă kasance tare da ni, yă kuma kiyaye ni daga abin da zai cuce ni, don kada in shiga wahala.” Sai Allah ya ji roƙonsa.
0d040b004e	Kelub, ɗan’uwan Shuha, shi ne mahaifin Mehir, wanda shi ne mahaifin Eshton.
0d040c006a	Eshton shi ne mahaifin Bet-Rafa, Faseya da Tehinna wanda ya haifi Ir Nahash. Waɗannan su ne mutanen Reka.
0d040d0065	’Ya’yan Kenaz maza su ne, Otniyel da Serahiya.’Ya’yan Otniyel maza su ne, Hatat da Meyonotai.
0d040e008f	Meyonotai shi ne mahaifin Ofra. Serahiya shi ne mahaifin Yowab, mahaifin Ge-Harashim. An kira shi haka domin mutanensa masu sana’ar hannu ne.
0d040f0057	’Ya’yan Kaleb ɗan Yefunne maza su ne, Iru, Ela da Na’am. Ɗan Ela shi ne, Kenaz.
0d0410003a	’Ya’yan Yahallelel su ne, Zif, Zifa, Tiriya da Asarel.
0d04110093	’Ya’yan Ezra maza su ne, Yeter, Mered, Efer da Yalon. Ɗaya daga cikin matan Mered ta haifi Miriyam, Shammai da Ishba wanda ya haifi Eshtemowa.
0d041200bf	(Matarsa mutuniyar Yahuda kuwa ta haifi Yared mahaifin Gedor, Heber mahaifin Soko, da kuma Yekutiyel mahaifin Zanowa.) Waɗannan su ne’ya’yan Bitiya’yar Fir’auna, wadda Mered ya aura.
0d0413006d	’Ya’yan matar Hodiya,’yar’uwar Naham su ne, suka haifi Keyila Bagarme, da Eshtemowa mutumin Ma’aka.
0d04140068	’Ya’yan Shimon maza su ne, Amnon, Rinna, Ben-Hanan da Tilon. Zuriyar Ishi su ne, Zohet da Ben-Zohet.
0d04150085	’Ya’yan Shela ɗan Yahuda maza su ne, Er mahaifin Leka, La’ada mahaifin Maresha da kuma gidajen masu aikin lilin a Bet-Ashbeya,
0d04160088	da Yokim, mutanen Kozeba, da Yowash da Saraf wanda ya yi mulkin Mowab da kuma Yashubi Lehem (Waɗannan rubutattun tarihi ne na tun dā.)
0d0417006a	Su ne maginan tukwane waɗanda suka zauna a Netayim da Gedera; sun zauna a can suka kuma yi wa sarki aiki.
0d0418003e	Zuriyar Simeyon su ne, Nemuwel, Yamin, Yarib, Zera da Shawulu;
0d0419004a	Shawulu ya haifi Shallum, Shallum ya haifi Mibsam. Mibsam ya haifi Mishma.
0d041a005f	Zuriyar Mishma su ne, Hammuwel ɗansa, wanda ya haifi Zakkur, shi Zakkur kuma ya haifi Shimeyi.
0d041b00cd	Shimeyi yana da’ya’ya maza goma sha shida da’ya’ya mata shida, amma’yan’uwansa ba su da’ya’ya da yawa; saboda haka gidansu gaba ɗaya ba tă zama mai mutane da yawa kamar mutanen Yahuda ba.
0d041c002d	Sun zauna a Beyersheba, Molada, Hazar Shuwal,
0d041d0012	Bilha, Ezem, Tolad
0d041e0017	Betuwel, Horma, Ziklag,
0d041f006b	Bet-Markabot, Hazar-Susim, Bet-Biri da Sha’arayim. Waɗannan su ne garuruwansu har lokacin mulkin Dawuda.
0d04200055	Ƙauyukan da suke kewayensu su ne Etam, Ayin, Rimmon, Token da Ashan, garuruwa biyar;
0d04210083	da kuma dukan ƙauyuka kewaye da waɗannan garuruwa har zuwa Ba’al. Waɗannan ne wuraren zamansu. Suka kuma ajiye tarihin zuriya.
0d04220046	Zuriyar Simeyon ta ƙunshi Meshobab, da Yamlek, da Yosha ɗan Amaziya.
0d0423005c	Akwai Yowel, da Yehu ɗan Yoshibiya. Yoshibiya ɗan Seraya ne. Serahiya kuma ɗan Asiyel ne.
0d04240061	Akwai Eliyohenai da Ya’akoba, da Yeshohahiya, da Asahiya, da Adiyel, da Yesimiyel, da Benahiya.
0d0425007b	Akwai Ziza ɗan Shifi. Shifi ɗan Allon ne. Allon ɗan Yedahiya ne. Yedahiya ɗan Shimri ne. Shimri kuma ɗan Shemahiya ne.
0d04260059	Mutanen da aka jera sunayensu a bisa, shugabannin gidajensu ne. Iyalansu sun ƙaru sosai,
0d04270058	suka tafi bayan garin Gedor wajajen gabashin kwari suna neman makiyaya domin garkunansu.
0d0428008d	Suka sami makiyaya mai ciyawa mai kyau, ƙasar kuma tana da fāɗi, da salama, kuma zaman lafiya. A dā waɗansu mutanen Ham sun zauna a can.
0d0429011a	Mutanen da aka jera sunayensu sun zo ne a zamanin Hezekiya sarkin Yahuda. Suka yaƙi mutanen Ham a wuraren zamansu, haka kuma suka yi da Meyunawa da suke can, suka hallaka su ƙaƙaf, yadda yake har yă zuwa yau. Sa’an nan suka zauna a wurin, gama akwai makiyaya domin garkunansu.
0d042a00a6	Mutum ɗari biyar na waɗannan mutane Simeyon, waɗanda Felatiya, Neyariya, Refahiya da Uzziyel,’ya’yan Ishi maza suka jagorance, sun mamaye ƙasar tudu ta Seyir.
0d042b0057	Suka karkashe raguwar Amalekawan da suka tsere, suka kuma zauna a can har yă zuwa yau.
0d0501010b	’Ya’yan Ruben maza ɗan farin Isra’ila (shi ne ɗan fari, amma sa’ad da ya ƙazantar da gadon auren mahaifinsa, sai aka ba wa’yancin ɗan farinsa wa’ya’yan Yusuf maza ɗan Isra’ila; don kada a lissafta shi a tarihin zuriya bisa ga matsayin haihuwarsa,
0d05020086	ko da yake Yahuda shi ne mafi ƙarfi cikin’yan’uwansa kuma mai mulki ya fito daga gare shi,’yancin zaman ɗan fari na Yusuf ne),
0d05030052	’ya’yan Ruben ɗan farin Isra’ila maza su ne, Hanok, Fallu, Hezron da Karmi.
0d0504002d	Zuriyar Yowel su ne, Shemahiya, Gog, Shimeyi,
0d05050018	Mika, Reyahiya, Ba’al,
0d05060071	da Beyera, wanda Tiglat-Fileser sarkin Assuriya ya ɗauka zuwa zaman bauta. Beyera shi ne shugaban mutanen Ruben.
0d0507006c	Danginsu bisa ga iyalansu da aka jera bisa ga tarihin zuriyarsu su ne, Yehiyel shi ne sarki, akwai Zakariya,
0d05080076	da Bela ɗan Azaz. Azaz ɗan Shema daga dangin Yowel. Yowel ya yi zama a yankin Arower har zuwa Nebo da Ba’al-Meyon.
0d0509007f	Ta waje gabas sun zauna a ƙasar har zuwa bakin hamadan da ya nausa zuwa Kogin Yuferites, domin dabbobinsu sun ƙaru a Gileyad.
0d050a009d	A zamanin Shawulu zuriyar Ruben sun yi yaƙi da Hagirawa, suka ci su da yaƙi, suka zauna a wuraren zaman Hagirawan ko’ina a dukan yankin gabashin Gileyad.
0d050b0046	Mutanen Gad sun zauna kusa da mutanen Ruben a Bashan, har zuwa Saleka.
0d050c0059	Yowel shi ne babba, sai Shafan na biyu, sa’an nan Yanai da Shafat, su ne tushen Bashan.
0d050d006c	Danginsu, bisa ga iyalai su ne, Mika’ilu, Meshullam, Sheba, Yorai, Yakan, Ziya da Eber, su bakwai ne duka.
0d050e007f	Waɗannan su ne’ya’yan Abihayil ɗan Huri, ɗan Yarowa, ɗan Gileyad, ɗan Mika’ilu, ɗan Yeshishai, ɗan Yado, ɗan Buz.
0d050f0030	Ahi ɗan Abiyel, ɗan Guni, shi ne kan iyalinsu.
0d05100082	Mutanen Gad sun zauna a Bashan da ƙauyukan da suke kurkusa da shi, da kuma a dukan makiyayan Sharon har zuwa iyaka inda suka kai.
0d0511006d	Dukan waɗannan sun shiga tarihin zuriya a lokacin mulkin Yotam sarkin Yahuda da Yerobowam sarkin Isra’ila.
0d051200e3	Mutanen Ruben, mutanen Gad da rabin kabilar Manasse sun kasance da mutane 44,760 shiryayyu don aikin soja, jarumawan da za su iya riƙe garkuwa da takobi, waɗanda suke iya yin amfani da baka, waɗanda kuma aka horar don yaƙi.
0d05130032	Suka yi yaƙi da Hagirawa, Yetur, Nafish da Nodab.
0d051400b1	Aka taimake su a yaƙin, Allah kuma ya ba da Hagirawa da dukan abokansu gare su, domin sun yi kuka gare shi a lokacin yaƙin. Ya amsa addu’o’insu, domin sun dogara gare shi.
0d05150096	Suka ƙwace dabbobin Hagirawa, raƙuma dubu hamsin, tumaki dubu ɗari biyu da hamsin da kuma jakuna dubu biyu. Suka kuma kame mutane dubu ɗari ɗaya,
0d05160068	waɗansu suka mutu, domin yaƙin na Allah ne. Suka zauna a ƙasar har lokacin da aka kai su zaman bauta.
0d05170085	Mutanen rabin kabilar Manasse sun yi yawa; suka zauna a ƙasar daga Bashan har zuwa Ba’al-Hermon, wato, zuwa Senir (Dutsen Hermon).
0d05180091	Waɗannan su ne kawunan iyalansu. Efer, Ishi, Eliyel, Azriyel, Irmiya, Hodawiya da Yadiyel. Su jarumawa ne, sanannu, su ne kuma kawunan iyalansu.
0d0519008d	Amma ba su yi aminci da Allahn kakanninsu ba, suka kuma yi karuwanci ga waɗansu allolin mutanen ƙasar, waɗanda Allah ya hallaka a gabansu.
0d051a010e	Saboda haka Allah na Isra’ila ya zuga ruhun Ful sarkin Assuriya (wato, Tiglat-Fileser sarkin Assuriya), wanda ya kwashe mutanen Ruben, mutanen Gad da rabin kabilar Manasse zuwa zaman bauta. Ya kwashe su zuwa Hala, Habor, Hara da kuma kogin Gozan, inda suke har wa yau.
0d06010036	’Ya’yan Lawi maza su ne, Gershon, Kohat da Merari.
0d0602003e	’Ya’yan Kohat maza su ne, Amram, Izhar, Hebron da Uzziyel.
0d0603006b	Yaran Amram su ne, Haruna, Musa da Miriyam.’Ya’yan Haruna maza su ne, Nadab, Abihu, Eleyazar da Itamar.
0d0604003c	Eleyazar shi ne mahaifin Finehas, Finehas mahaifin Abishuwa,
0d0605002d	Abishuwa mahaifin Bukki, Bukki mahaifin Uzzi,
0d06060034	Uzzi mahaifin Zerahiya, Zerahiya mahaifin Merahiyot,
0d06070034	Merahiyot mahaifin Amariya, Amariya mahaifin Ahitub,
0d0608002f	Ahitub mahaifin Zadok, Zadok mahaifin Ahimawaz,
0d06090034	Ahimawaz mahaifin Azariya, Azariya mahaifin Yohanan,
0d060a006c	Yohanan mahaifin Azariya (shi ne ya yi hidima a matsayin firist a haikalin da Solomon ya gina a Urushalima),
0d060b0032	Azariya mahaifin Amariya, Amariya mahaifin Ahitub,
0d060c002e	Ahitub mahaifin Zadok, Zadok mahaifin Shallum,
0d060d0033	Shallum mahaifin Hilkiya, Hilkiya mahaifin Azariya,
0d060e003c	Azariya mahaifin Serahiya, Serahiya kuwa mahaifin Yehozadak.
0d060f0072	Yehozadak ne aka ɗauka sa’ad da Ubangiji ya tura Yahuda da Urushalima zuwa zaman bauta ta hannun Nebukadnezzar.
0d06100036	’Ya’yan Lawi maza su ne, Gershom, Kohat da Merari.
0d0611003d	Waɗannan su ne sunayen’ya’yan Gershom. Libni da Shimeyi.
0d0612003e	’Ya’yan Kohat maza su ne, Amram, Izhar, Hebron da Uzziyel.
0d0613006e	’Ya’yan Merari maza su ne, Mali da Mushi. Waɗannan suke gidajen Lawiyawan da aka jera bisa ga kakanninsu.
0d06140026	Na Gershom su ne, Libni, Yahat, Zimma,
0d0615001e	Yowa, Iddo, Zera da Yeyaterai.
0d0616002c	Zuriyar Kohat su ne, Amminadab, Kora, Assir,
0d06170018	Elkana, Ebiyasaf, Assir,
0d06180021	Tahat, Uriyel, Uzziya da Shawulu.
0d06190025	Zuriyar Elkana su ne, Amasai, Ahimot,
0d061a0015	Elkana, Zofai, Nahat,
0d061b0025	Eliyab Yeroham, Elkana da Sama’ila.
0d061c0048	’Ya’yan Sama’ila maza su ne, Yowel ɗan fari da Abiya ɗa na biyu.
0d061d0031	Zuriyar Merari su ne, Mali, Libni, Shimeyi, Uzza,
0d061e001c	Shimeya, Haggiya da Asahiya.
0d061f0082	Waɗannan su ne mutanen da Dawuda ya sa su lura da waƙa a cikin gidan Ubangiji bayan da aka kawo akwatin alkawari yă huta a can.
0d062000ae	Suka yi hidima da waƙa a gaban tabanakul, Tentin Sujada, sai da Solomon ya gina haikalin Ubangiji a Urushalima. Suka yi ayyukansu bisa ga ƙa’idodin da aka shimfiɗa musu.
0d0621007f	Ga mutanen da suka yi hidimar, tare da’ya’yansu maza. Daga mutanen Kohat akwai, Heman, mawaƙi ɗan Yowel, ɗan Sama’ila,
0d06220032	ɗan Elkana, ɗan Yeroham, ɗan Eliyel, ɗan Towa,
0d0623002f	ɗan Zuf, ɗan Elkana, ɗan Mahat, ɗan Amasai,
0d06240034	ɗan Elkana, ɗan Yowel, ɗan Azariya, ɗan Zefaniya
0d06250031	ɗan Tahat, ɗan Assir, ɗan Ebiyasaf, ɗan Kora,
0d06260033	ɗan Izhar, ɗan Kohat, ɗan Lawi, ɗan Isra’ila;
0d0627006c	da kuma Asaf’yan’uwan Heman, waɗanda suka yi hidima a hannun damansa. Asaf ɗan Berekiya, ɗan Shimeya,
0d06280031	ɗan Mika’ilu, ɗan Ba’asehiya, ɗan Malkiya,
0d06290022	ɗan Etni, ɗan Zera, ɗan Adahiya
0d062a0024	ɗan Etan, ɗan Zimma, ɗan Shimeyi,
0d062b0024	ɗan Yahat, ɗan Gershom, ɗan Lawi;
0d062c0067	da kuma daga’yan’uwansu, mutanen Merari, a hannun hagunsa. Etan ɗan Kishi, ɗan Abdi, ɗan Malluk,
0d062d002b	ɗan Hashabiya, ɗan Amaziya, ɗan Hilkiya,
0d062e0022	ɗan Amzi, ɗan Bani, ɗan Shemer,
0d062f002e	ɗan Mali, ɗan Mushi, ɗan Merari, ɗan Lawi.
0d0630004b	Aka ba’yan’uwansu Lawiyawa dukan sauran ayyukan tabanakul, gidan Allah.
0d063100fc	Amma Haruna da zuriyarsa su ne waɗanda suke miƙa hadayu a kan bagaden hadaya ta ƙonawa da kuma a kan bagaden turare haɗe da dukan abin da ake yi a Wuri Mafi Tsarki, suna yin kafara domin Isra’ila, bisa ga dukan abin da Musa bawan Allah ya umarta.
0d0632003c	Waɗannan su ne zuriyar Haruna, Eleyazar, Finehas, Abishuwa,
0d06330016	Bukki, Uzzi, Zerahiya,
0d0634001b	Merahiyot, Amariya, Ahitub,
0d06350012	Zadok da Ahimawaz.
0d0636009b	Waɗannan su ne wuraren zamansu da aka ba su rabo su zama yankunansu (aka ba wa zuriyar Haruna waɗanda suke daga gidan Kohat, domin rabo na fari nasu ne):
0d06370042	Aka ba su Hebron a Yahuda tare da wuraren kiwon da suke kewayenta.
0d0638004d	Amma filaye da ƙauyukan da suke kewayen birnin aka ba wa Kaleb ɗan Yefunne.
0d06390058	Saboda haka aka ba wa zuriyar Haruna Hebron (birnin mafaka), da Libna, Yattir Eshtemowa,
0d063a000d	Hilen, Debir,
0d063b0035	Ashan, Yutta da Bet-Shemesh, tare da wuraren kiwonsu.
0d063c00b9	Daga kabilar Benyamin kuma aka ba su Gibeyon, Geba, Alemet da Anatot, tare da wuraren kiwonsu. Waɗannan garuruwa waɗanda aka raba a tsakanin mutanen gidan Kohat, goma sha uku ne duka.
