2800000007	Mathayi
2b0b13006c	Bayuta balawu phi bisa kwakuna mu kubadidisa Madiya yi Malata kikuma kya lufwa lwa phangi wa bawu wa yakala.
2b0b14006c	Malata buna káyuka ni Yesu kabati kwisa, wenda mutundakana; kaasi Madiya yandi kásala wasikuka kuna nzu.
2b0b15005e	Malata wázimbula kwena Yesu: «Pfumu, wadi ni wákala haka, wadi phangi wama kakhaniku fwa.
2b0b160055	Kaasi nzayi ni ata buthwena bwabu, moosu mana walómba kwena Nzambi, kakúhekama.»
2b0b170032	Yesu wumuzimbwadini: «Phangi waku kafútumuka.»
2b0b18005e	Malata wumuvutwadini: «Nzayi ni kafútumuka mu kilumbu kya tsuka kya lufutumuku lwa bafwa.»
2b0b19006f	Yesu wumuzimbwadini: «Meni, yenina lufutumuku yi luzingu. Wuna wakwíkila mwena meni, ata kafwini, kazínga;
2b0b1a0061	amana wuna wisi zinga, wisi kwikila phi mwena meni kafwáku mu kimakulu. Wukwikidibwa bwabuna?»
2b0b1b007f	Malata wuvutudini: «Eeh, Pfumu, meni khwikidini ni ngeyi wenina Kidisitu, Mwana wa Nzambi, wuna wálunga mu kukwisa mu tsi.»
2b0b1c00a2	Kunima dya kuzimbula bwabuna, Malata wenda amana wámutela phangi wandi wa mukhetu Madiya amana wumuzimbwadi mu kitsweki: «Mulongi wutudi kedi, kabati kutela.»
2b0b1d0046	Buna káyuka bwabuna, Madiya wátelama tswatsu mu kwenda kwena Yesu;
2b0b1e005d	mukuma hana Yesu khaniku kedi kakota mu hata; hana kámutundakanina Malata, hahana kákala.
2b0b1f00a9	Bayuta bana bákala yi Madiya mu nzu kikuma kya kumuhomba bámumona ni wutelami tswatsu amana wulubukini; hanga bamulandini, kikuma bábanza ni wendi dila ku mazyamu.
2b0b2000aa	Madiya buna kátula hana kákala Yesu yi buna kámumona, wáfukama muna malu mandi amana wuzimbudini: «Pfumu, wadi haka wukadikini, wadi phangi wama kakhaniku fwa.»
2b0b210096	Yesu buna kámumona Madiya ni kabati dila yi Bayuta bana bisa mulanda phi mu kudila, hanga wuyuki kyadi mu mbundu yandi amana mabanza mamuvwalangani.
2b0b220056	Wuzimbudini: «Kubiki lumusikini?» Bamuvutwadini: «Ah Pfumu, awisa amana wamóna.»
2b0b230019	Yesu wánokisa matsanga.
2b0b240035	Hanga Bayuta bazimbudini: «Talenu buna kámuzola!»
2b0b250087	Kaasi batu bahika hana kati dya bawu bazimbudini: «Yandi wábuka mesu ma phofu, abweti kákondikiku kandisa ni mutu yandu kafwaku?»
2b0b260075	Yesu, mbundu yámulwala hika, wenda kuna mazyamu. Mákala makutunga mu kitadi, bákidika kalunga tadi kuna thwala.
2b0b270099	Yesu wuzimbudini: «Katulenu tadi». Malata, phangi wa mukhetu wa mvumbi, wumuzimbwadini: «A Pfumu, tsudi kábati lubuka, mukuma lelu kilumbu kya ya.»
2b0b28005b	Yesu wumuvutwadini: «Yikuzimbwadikibwoku ni yuka wukwikidini, wamóna khembu ya Nzambi?»
2b0b290076	Hanga bakatudi tadi. Yesu wásekula mesu amana wuzimbudini: «Tata, yikuvutwadi matondu kikuma kya buna wungyukidini.
2b0b2a0087	Nzayi mboti ni wisi ngyukila kosu tangwa, kaasi nzonzidibwa kikuma kya batu baba banzyetini haka ndangu bakwikila ni ngeyi wáthuma.»
2b0b2b003e	Kunima dya kuzimbula bwabuna, wákalunga: «Lasalu, lubuka!»
2b0b2c00ac	Amana mvumbi wálubuka; moku yi malu makuzinga mu bitemba bya muledi; mbunzu yandi phi yakuvunga yi kitemba. Yesu wubazimbwadini: «Mukutumunenu amana muyambulenu kenda.»
2b0b2d007c	Bayuta balawu, hana kati dya babana bisa kwena Madiya, bámona phi mambu mana káhanga Yesu amana bákwikila mwena yandi.
2b0b2e0067	Kaasi bakwawu hana kati dya bawu benda wana bafwadisi amana bábamenika phi mambu mana káhanga Yesu.
2b0b2f00a7	Hanga bambuta ba banganga Nzambi yi bafwadisi bakhokisini kimvuka kya mbuta amana bazimbudini: «Biki twahanga? Mukuma mutu yandu kabati sala bidimbu bya biphadi lawu!
2b0b300082	Yuka ni twamutanikina bwabuna, batu boosu bakwíkila mwena yandi, amana bisi Loma bakwisakya zanga kizika kyetu yi kanda dyetu!»
2b0b3100a4	Kaasi mosi hana kati dya bawu, khumbu yandi Khayifu, wuna wákala mbuta wa banganga Nzambi muna mvula meni yina, hanga wubazimbwadini: «Benu lubatiku bakisa kima!
2b0b320056	Lumonibwoku ni bulungi mutu mosi kafwa kikuma kya batu, ndangu kanda dyosu ditotaku?»
2b0b3300c6	Kinga mambu mana makalaku tuka kwena yandi-meni, kaasi bwosu kákala mbuta wa banganga Nzambi muna mvula meni yina, hahana kázonzila mu kubikula ni Yesu wáfwana mu kufwa kikuma kya kanda dyosu.
2b0b340073	Heku ni kikuma kya kanda lwesi, kaasi kikuma kya kukhundikisa mu kimvuka kimosi bana ba Nzambi babana bámwangana.
2b0b35003e	Tukidila kilumbu kyakina, bábonga lukanu lwa kumuhonda Yesu.
2b0b3600e0	Kikuma kya bwabuna Yesu káyambwala mu kukangadila ha kati dya Bayuta mu kitengeni. Kaasi wákatuka hana, wenda ku kinzunga kina kyákala bela-bela yi nganga, muna mbanza ya Efwayimi, wánanga kwakuna yi balonguki bandi.
2b0b370088	Mukinzi wa Phaki ya Bayuta wábwesuka amana batu balawu bátombuka ku Yelusalemi kikuma kya kudisemisa ku thwala ya mukinzi meni wuna.
2b0b380082	Hanga beka musanda Yesu muna nzu ya Nzambi, yi kudizimbwalaka bawu yi bawu: «Biki lubati banza? Kakwísakwoku hika ku mukinzi?»
2b0b390094	Kinga bambuta ba banganga Nzambi yi bafwadisi batekila dihanina muswa ndangu, yuka ni mutu wuzayini kuna kenina Yesu, kabazimbwala ndangu bamukwata.
2b0c010081	Bilumbu bisambanu ku thwala mukinzi wa Phaki ya Bayuta, Yesu wísa ku Betaniya, kuna kákala Lasalu wuna káfutumuna ku bafwa.
2b0c020074	Bámuheka madya kwakuna. Malata kakala basadila amana Lasalu kákala mosi wa batu babana bákala ku mesa yi Yesu.
2b0c0300e1	Hanga Madiya wubongini kati-kati dya mulangi wa mananasi ma mukwandi, mana bisi yidika yi miti wa nadi; wásitama kuna bitambi bya Yesu amana wámukumuna bitambi yi tsuki zandi. Nzu yosu yákandumuka yi mvumba ya mananasi.
2b0c040055	Mosi wa balonguki bandi, Yutasi Sikadyoti, wuna wakhana mulambula, hanga wuzimbudini:
2b0c05006e	«Kikuma kya biki bakondi tekisila mananasi mana mu khama tatu za phata, ndangu bahana mbongu kwena baphutu?»
2b0c0600a0	Heku ni kikuma kya kiwayi kya baphutu kázimbwala bwabuna, kaasi kikuma mwifi kákala amana bwosu kakala lema waba dya mbongu, kakala loya zina bakalamwa sya.
2b0c070059	Kaasi Yesu wuzimbudini: «Muyambula! Kikuma kya kilumbu kya kuzikama kwama káswekilama.
2b0c080055	Kikuma baphutu lwakadiki bawu kosu tangwa, kaasi meni, yikadikiku yenu kosu tangwa.»
2b0c0900c0	Mulumba-lumba wa batu wa Bayuta lawu báyuka ni Yesu ku Betaniya kákala, bísa kwakuna; bendaku lwesi mu kutala Yesu, kaasi benda phi ndangu bamumona phi Lasalu wuna káfutumuna ku bafwa.
2b0c0a0044	Hanga bambuta ba banganga Nzambi bayukani ni bamuhondisa phi Lasalu;
2b0c0b005e	kikuma Bayuta balawu bakalakwa kwenda kikuma kya yandi Lasalu amana bakala kwikila mwena Yesu.
2b0c0c0088	Kilumbu kyálanda, mulumba-lumba wa batu bana bísa kikuma kya mukinzi wa Phaki ya Bayuta báyuka ni Yesu kabati kwisa ku Yelusalemi.
2b0c0d0093	Batu bábonga ndala za mbati amana benda mukhikidila, mu kukalunga: «Ozana! kasambuka wuna wisi kwisila mu khumbu ya Pfumu! Kyamvu wa Kiseledi!»
2b0c0e004b	Yesu wámona mwana wa ane, amana wázakala hana thandu, bwosu básonika:
2b0c0f006c	«Yukaku bweya, mwana wa ndumba wa Siyoni! Tala, kyamvu waku wisini, wazakala hana thandu ya mwana wa ane.»
2b0c1000b2	Balonguki bandi bábakulaku theti mambu mana; kaasi tangwa bámukembisa Yesu, hanga bayubuki nana ni mamana másonama kikuma kya yandi, amana bahanga bwabuna kikuma kya yandi.
2b0c11008b	Mulumba-lumba wa batu babana bákala hakana yi Yesu, ha kámutela Lasalu mu mazyamu kikuma kya kumufutumuna ku bafwa; bakala ta kimbangi.
2b0c12005f	Yihana mulumba-lumba wa batu bisa mukhikidila, mukuma báyuka ni yandi wáhanga kiphadi kina.
2b0c130071	Bafwadisi bakala dizimbwala bawu yi bawu: «Lumoni ni lubatiku lenda kwenu kima; taleti tsi yosu yendi mulanda!»
2b0c140080	Hana kati dya batu babana bátombuka ku Yelusalemi mu kufukamina Nzambi mu tangwa dya mukinzi, hákala yi ndambu ya Bangeleki.
2b0c150081	Buna bábwesuka kwena Fidiphu, mwisi Betisayita dya kinzunga kya Ngadidi, bamuhyudini: «A Pfumu, tubati zola ni twamona Yesu.»
2b0c16004b	Fidiphu wendi zimbula kwena Andele; bawu boodi bendabwa zimbula kwena Yesu.
2b0c17004a	Yesu wubavutwadini: «Tangwa dilungidini ndangu bamukembisa Mwana wa mutu.
2b0c1800a2	Mu kyedika, mbati luzimbwala: yuka ni ngenza ya bule yibwiku mu mafu amana yivundiku; yanánga yawu buhika. Kaasi yuka ni yavunda, yisi buta hika ngenza za lawu.
2b0c190087	Wuna wisi zola luzingu lwandi, katótisalwa, kaasi wuna wisi menga luzingu lwandi ha tsi yayi, katámbula luzingu lwa mvula yi mvula.
2b0c1a00a0	Yuka ni mutu wuzodi ni kasadila meni, kandanda, amana hana yikála meni, hahana phi kakála musadi wama. Yuka ni mutu kasadila meni, Tata wama wamúzatula.»
2b0c1b009e	«Buthwena mbundu yama yivwalangani. Amana biki yizónza? Yizimbula: Tata, Phulula mu tangwa dyadi? Loni. Kaasi kikuma kya bwabuna thudidini ku tangwa dyadi.
2b0c1c0071	Tata, kembisa khumbu yaku.» Amana ndinga mosi yáyukalakana kuna zilu: «Khembisiya kedi, yikémbisaya hika.»
2b0c1d00a7	Mulumba-lumba wa batu babana bákala hana, báyuka phi ndinga yina, bakala zimbula: «Mukumini wa mvula wuna.» Bahika bakala zimbula: «Wanzyo mosi wumuzonzisini.»
2b0c1e0063	Kaasi Yesu wávutwakila hika: «Ndinga yina yiyukalakaniku kikuma kya meni, kaasi kikuma kya benu.
2b0c1f0069	Buthwena bwabu yenina pfundusu ya tsi yayi; buthwena meni bwabu bamúlubula ku phenza pfumu wa tsi yayi.
2b0c200058	Amana meni, tangwa bathómbula ha thandu ya tsi, yibáhungula batu boosu kwena meni.»
2b0c210048	Kázonzila bwabuna mu kusongila phila ya lufwa luna kafwana mu kufwila.
2b0c2200d2	Mulumba-lumba wa batu wumuvutwadini: «Mitsiku myetu mizonzini ni Kidisitu kanánga mu kimakulu. Abweti ngeyi wubati zimbwala hika ni bulungi Mwana wa mutu bamutombula? Nati kenina Mwana wa mutu meni wawuna?»
2b0c2300cf	Yesu wubazimbwadini: «Mwini wenina kedi hana kati dya benu, mu tangwa dya khunda; kangalakenu buna kwenina mwini, ndangu phipha yilubwilaku; mukuma, wuna wisi kangala mu phipha kisiku zaya kuna kisi kwenda.
2b0c2400a6	Buna lwenina yi mwini, kwikilenu mwena wuna wisi hana mwini, ndangu lwakituka bana ba mwini.» Kunima dya kuzimbula bwabuna, Yesu wenda amana wáswama kyana yi bawu.
2b0c25005d	Mbatanana bidimbu bya biphadi byalawu bina kásala mu mesu ma bawu, bawu bakalaku mukwikila,
2b0c26009a	ndangu yalungila ndinga ya mbikudi Yesaya, yina kázimbula: «Pfumu, nati wukwikidikini mu malongi metu? Amana kwena nati básongilaza ngolu za Pfumu?»
2b0c27004d	Kikuma kya bwabuna, bálendaku mu kukwikila, kikuma Yesaya kázimbula hika:
2b0c2800ad	«Nzambi wufidingima mesu ma bawu, amana wuzitikini mbundu ya bawu, ndangu bamonaku yi mesu ma bawu, babakulaku yi mbundu ya bawu amana bavutukisaku wadi yikhana babelula.»
2b0c290051	Bwabuna kázimbula Yesaya, kikuma wámona khembu yandi amana wámuzonzila phi.
2b0c2a00b8	Kinga, keti hana kati dya bapfumu, balawu bákwikila mwena yandi, kaasi bakalabwoku zonzila ha mesu mathona, kikuma kya bafwadisi, ndangu babakukwasa nana ku nzu ya kimvuka ya Bayuta.
2b0c2b003a	Mukuma bakala zola khembu ya batu kuluta khembu ya Nzambi.
2b0c2c008b	Yesu wázonza mu ndinga ya ngolu amana wuzimbudini: «Wuna wisi kwikila mwena meni, kisiku kwikila mwena meni, kaasi mwena wuna wáthuma.
2b0c2d0030	Amana wuna wumbonini, wumoni phi wuna wáthuma.
2b0c2e0051	Meni, mwini, yisa ha tsi, ndangu wuna wakwíkila mwena meni kanangaku mu phipha.
2b0c2f0095	Yuka ni mutu wuyuki ndinga zama amana kalundizoku, ka meni ku yimufundisini; mukuma yisilaku kikuma kya kufundisa tsi, kaasi kikuma kya kuhulula tsi.
2b0c300092	Mutu wuna wundosidini, wukondi phi tambwasa ndinga zama kenina yi zusi mosi. Ndinga meni yina nzimbudini, yawu yamúfundisa mu kilumbu kya tsuka.
2b0c310095	Mukuma meni, yízonzilaku mu mabanza mama, Tata wuna wáthuma, yandi-meni wátsenda mu kuhanga buna pfwani mu kuzimbula yi buna pfwani mu kuzonza.
2b0c3200a0	Amana nzayi ni buna kisi senda yandi bwisi hana luzingu lwa mvula yi mvula. Yihana ni, mambu mana yisi zonza meni, yisima zonza bwosu buna kátsendabwa Tata.»
2b0d0100e1	Ku thwala ya mukinzi wa Phaki ya Bayuta, Yesu bwosu kázaya ni tangwa dyandi dilungidini, dina kafweti katuka ha tsi yayi ndangu kenda kwena Tata, yandi watoma zola batu bandi babana bákala mu tsi; kábazola yikuna tsuka.
2b0d020089	Muna tangwa dina bákala mu kudya. Hana kiphidi-mutu wusi kedi dibanza dya kumulambula kuna mbundu ya Yutasi, mwana wa Simoni Sikadyoti;
2b0d030075	Yesu, bwosu kázaya ni Tata wáhana byosu hana moku mandi; ni kwena Nzambi kátuka, kwena Nzambi phi kavútukisa,
2b0d040075	muna tangwa dya kudya, wátelama, wáwomuna muledi wandi wa thandu amana wádizitikila kitemba kimosi muna mbunda.
2b0d050090	Kunima, wásya mamba hana dilonga amana wáyandika mu kusukula malu ma balonguki bandi, yi kukumunakama yi kitemba kina kyákala muna mbunda.
2b0d060062	Buna kátula kwena Simoni Phetelu, yandi Phetelu wumuzimbwadini: «Pfumu, ngeyi watsukula malu?»
2b0d07006e	Yesu wumuvutwadini: «Mana mbati hanga meni buthwena bwabu, ngeyi wubatimoku bakisa, kunima nana wazáyama.»
2b0d08008b	Phetelu wumuzimbwadini: «Loni, ketibwe watsukula malu.» Yesu wumuvutwadini: «Yuka ni yikusukudimoku, wakálaku hika hakimosi yi meni.»
2b0d09007c	Simoni Phetelu wumuzimbwadini: «Yuka ni yibwabuna dyenina, Pfumu, tsukulaku lwesi malu, kaasi yi moku mama yi mutwa wama!»
2b0d0a00b9	Yesu wumuzimbwadini: «Mutu wuna wuyebidiki kedi lutu lwosu, keku yi mupfunu wa kudiyebisa, malu lwesi, wakasemi kenina yandi wosu. Benu phi ba kasemi lwenina, kaasi ka benu boosu ku.»
2b0d0b0075	Kikuma Yesu wázaya kwandi keti nati wakhana mulambula, yihana kázimbwala: «Ka benu boosu ku lwenina ba kasemi.»
2b0d0c0092	Kunima dya kubasukula malu yi kuvwata miledi myandi, wávutuka ku mesa, amana wubazimbwadini: «Lubakudini kikuma kya dyambu dyadi yiluhangidini?
2b0d0d0055	Benu lwisi thela ni "Mulongi" yi "Pfumu", kyedika lwisi zonza, mukuma bwabuna yenina.
2b0d0e0065	Amana yuka ni meni, Pfumu yi Mulongi yilusukudini malu, benu phi lufweti disukula malu, benu yi benu.
2b0d0f0055	Mbandu yiluhekini, ndangu benu phi lwahanga bwosu buna phangini meni kikuma kya benu.
2b0d10005e	Mu kyedika yiluzimbwadibwa: musadi kahitiku pfumu wandi amana thumwa kahitiku wuna wámutuma.
2b0d110051	Yuka ni luzayi bwabuna, kyesi lwenina kyawu, mboti bwakála yuka ni lwahangabwa.
2b0d120096	Nzonzidibwoku kikuma kya benu boosu. Meni nzayi bana yísola. Kaasi bulungi ni malungila Masonuku mama: "Wuna wubati dya dipha dyama, wumbalukidini".
2b0d13007b	Tukidila buthwena bwabu, yiluzimbwadibwa buna khaku dibwa kedi dyambu, ndangu ha dyakwisa bwa, lwakwikila ni "Meni yenina."
2b0d14008e	Mu kyedika, yiluzimbwadibwa: wuna wuyambini mutu wuna thumini meni, meni-meni kayambini. Amana wuna wungyambini, wuyambi phi wuna wáthuma.»
2b0d150098	Yesu buna kázonza bwabuna, mabanza mámuvwalangana lawu, wuzimbudibwa wengele: «Mu kyedika mbati luzimbwala: mosi hana kati dya benu kandámbula.»
2b0d16005e	Balonguki bakala ditala bawu yi bawu amana bakala dihyula keti kikuma kya nati kakala zonzila.
2b0d170055	Mosi wa balonguki bandi, wuna kakala zola lawu Yesu, yekaminikini hana thulu ya Yesu.
2b0d18005e	Simoni Phetelu wumutekudini ndangu kamuhyula Yesu keti kikuma kya nati kakala zonzila bwabuna.
2b0d190062	Hanga mulonguki wuna wuzenzamini hana thulu ya Yesu amana wumuzimbwadini: «Pfumu, nati yandina?»
2b0d1a00c1	Yesu wumuvutwadini: «Wuna yivúndikila meni-meni kitini kya dipha yi wuna yihékadya.» Yesu wávundika kitini kya dipha, wubongikya amana wuhanikya kwena Yutasi, mwana wa Simoni Sikadyoti.
2b0d1b008c	Yutasi, buna kábonga kitini meni kina, hanga Satana wumukotidini. Yesu wumuzimbwadini: «Buna wenina bwawu mu kuhanga, hangabwa tswatsu!»
2b0d1c0060	Keti mosi, hana kati dya babana bákala ku mesa, kázayaku kikuma kina kámuzimbwala bwabuna.
2b0d1d00c7	Yutasi, bwosu kakala sweka waba dya mbongu, ndambu ya batu bázaya ni Yesu kakala muzimbwala ni kasumba bima bina bákala byawu mupfunu kikuma kya mukinzi kondilo kenda hana lusadisu kwena baphutu.
2b0d1e0061	Amana Yutasi wábonga kitini kya dipha mekina, wálubuka phi muna mbala mosi. Phipha kwákala.
2b0d1f0077	Buna kálubuka Yutasi, Yesu wuzimbudini: «Buthwena Mwana wa mutu bamukembisini, Nzambi phi bamukembisini mwena yandi.
2b0d20006f	[Yuka ni Nzambi bamukembisa mwena yandi,] Nzambi phi kamúkembisa mwena yandi meni, ka thama ku kamúkembisa.
2b0d2100c9	Bana bama, bilumbu bya khunda yenina byawu hika yi benu. Lwatsánda, amana bwosu yízimbula kwena Bayuta: kuna mbati kwenda meni, benu lwalendakwoku kwisa, bwabuna phi nzimbudini kwena benu buthwena.
2b0d220071	Mutsiku wa pha yiluhekini: zolanenu benu yi benu. Bulungi lwazolana phi benu yi benu, bwosu buna yíluzola meni.
2b0d230052	Yuka ni lwazolanaka benu yi benu, batu boosu bazáya ni balonguki bama lwenina.»
2b0d24009c	Simoni Phetelu wumuzimbwadini: «Pfumu, wendi kubiki?» Yesu wumuvutwadini: «Wufwaniku wandanda kedi buthwena kuna mbati kwenda, wandánda nana kilumbu.»
2b0d250086	Phetelu wumuzimbwadini: «Pfumu, kikuma kya biki pfwaniku mu kukulandila buthwena? Yilenda mu kuhana luzingu lwama kikuma kya ngeyi!»
2b0d2600a2	Yesu wumuvutwadini: «Walenda hana luzingu lwaku kikuma kya meni? Mu kyedika, mbati kuzimbwala: khoku kakókulaku kedi, watsúwangana mbala tatu ni wunzayiku.»
2b0e01007b	Yesu wuzimbudi hika kwena balonguki bandi: «Mbundu yenu yivwalanganaku. Kwikilenu mwena Nzambi, khwikilenu phi mwena meni.
2b0e020073	Muna nzu ya Tata wama, bizika byalawu byeninamwa; wadi lo, khanibwoku luzimbwala ni yendi luyidikila kizika kimosi.
2b0e030095	Amana yuka ni yendi luyidikila kizika, yikwisa vutwakisa mu kulubonga, lwakala ha kabeta ka meni, ndangu hana yikála meni, benu phi lwakala hakana.
2b0e040034	Amana luzayi nzila ya kuma kuna mbati kwenda meni.»
2b0e050065	Tomasi wumuzimbwadini: «Pfumu, tuzayiku keti kubiki wubati kwenda. Abweti twalenda zayilaya nzila?»
2b0e060078	Yesu wumuzimbwadini: «Meni yenina nzila, kyedika yi luzingu. Ka mutu ku wakwísa kwena Tata konda kuhitila kwena meni.
2b0e07005a	Honi lwanzaya meni, lwamúzaya phi Tata wama. Tuka lelu lumuzayini amana lumumoni kedi.»
2b0e08004b	Fidiphu wumuzimbwadini: «Pfumu, tusongila Tata, amana bwabuna butufwani.»
2b0e0900b5	Yesu wumuvutwadini: «Thama-thama yina yisi kala yi benu, abweti Fidiphu ngeyi, wisiku nzayila? Wuna wumboni meni, wumoni phi Tata. Abweti ngeyi wufwani kuzimbula: "Tusongila Tata"?
2b0e0a00d4	Wubatiku kwikila ni meni yenina mwena Tata, amana Tata kenina mwena meni? Ndinga zina yisi luzimbwala, zisiku tuka kwena meni-meni, kaasi Tata yandi wisi zingila mwena meni, yandi phi wisi lungisa mihangu myandi.
2b0e0b008f	Khwikilenu tangwa yisi luzimbwala ni meni yenina mwena Tata, amana Tata kenina mwena meni. Kondilo kwikilenu ata kikuma kya myawu meni mihangu.
2b0e0c00c7	Mu kyedika yibatibwa luzimbwala: wuna wakwíkila mwena meni, yandi phi kahánga mihangu mina mbati hanga meni. Kahángamya hika mya lawu kuluta mina mbati hanga meni. Kikuma meni yendi kwena Tata.
2b0e0d0069	Amana moosu mana lwalómba mu khumbu ya meni, yisálama, ndangu, muna nzila ya Mwana, bamukembisa Tata.
2b0e0e003a	Yuka ni lwandomba kima mu khumbu yama, meni yisálakya.»
2b0e0f0030	«Yuka ni lwisi nzola, lwalúnda mitsiku myama.
2b0e10005c	Meni yilómba kwena Tata ni kaluheka Muhombi wahika, ndangu kakalaka yi benu bilumbu byosu;
2b0e1100c1	Kitembu kya kyedika wuna balendaku mu kutambula kwena batu ba tsi, kikuma bamumoniku, bamuzayiku phi. Kaasi benu, lumuzayini, kikuma kisi zingila hana kati dya benu amana kakádiki mwena benu.
2b0e120030	Yilúsisaku batsona; yikwísa hika kwena benu.
2b0e130075	Ka thama ku, batu ba tsi bambónaku hika, kaasi benu, lwambóna hika, kikuma meni mbati zinga, benu phi lwazínga.
2b0e140077	Muna kilumbu meni kina, lwabákisa ni meni yenina mwena Tata wama bwosu lwenina benu mwena meni amana meni mwena benu.
2b0e1500b7	«Wuna wenina yi mitsiku myama, wisimya lunda phi, yandi wuna wisi nzola. Kinga wuna wisi nzola meni, Tata wama phi kamúzola; meni phi yimúzola amana yidímonikisa kwena yandi.»
2b0e160080	Yutasi, heku ni Yutasi sikadyoti, wumuhyudini: «Pfumu, abweti ni wadimonikisa lwesi kwena betu, kaasi kwena batu ba tsi loni?»
2b0e170097	Yesu wumuvutwadini: «Yuka ni mutu wisi nzola, kalúnda ndinga yama. Tata wama phi kamúzola, amana twakwísa kwena yandi, twazíngila mwena yandi.
2b0e180077	Wuna kanzodiku, kisiku lunda phi ndinga zama. Amana ndinga yina lubati yuka yeku ya meni, kaasi ya Tata wuna wáthuma.
2b0e19002e	Yiluzimbwadini bwabuna bwosu yenina yenu hika.
2b0e1a0097	Kaasi Kitembu Kyatoma, Muhombi wuna katúma Tata mu khumbu ya meni, yandi walúlonga moosu, amana kalúyubulula mambu moosu mana yiluzimbwadikini.»
2b0e1b0079	«Yilusisidini ngemba; yiluhekini ngemba yama. Meni yiluhekiku mu phila ya batu ba tsi. Luvumukaku mbundu, lubangaku phi.
2b0e1c00b0	Lwáyuka mana yíluzimbwala: "Yendini amana yikwísa kwena benu". Wadi lwanzolaka, wadi lukasangwala mu kuyuka ni yendini kwena Tata, mukuma Tata kenina wambuta kuluta meni.
2b0e1d0065	Buthwena, yiluzimbwadini mambu mana buna khaku kedi malungila; ndangu ha makwisa lungila, lwakwikila.
2b0e1e0068	Yizónzaku hika lawu yi benu, mukuma pfumu wa tsi yayi, wekina kwisa. Keku keti kima kimosi mwena meni;
2b0e1f007c	kaasi ndangu batu ba tsi bazaya ni yisi muzola Tata amana yisi hanga mana kátsenda Tata. Telamenu, tukatukenu homa haka!»
2b0f010080	Yesu wázimbula kwena balonguki bandi: «Yenina miti wa vinu wakyedika, amana Tata wama kenina wuna wisi hela bibundu bya vinu.
2b0f0200a6	Muhandi wosu wuna wakhundakana kwena meni amana wakonda ha kibundu, kisiwa vusa; muhandi wosu wuna wisi ha kibundu, kisiwa sakwadila ndangu waha hika bibundu byalawu.
2b0f030040	Benu ba kasemi kedi lwenina, kikuma kya malongi mana yíluheka.
2b0f0400c8	Zingilenu mwena meni, bwosu yenina meni mwena benu. Phila mosi yi muhandi wa vinu, wufwaniku waha kibundu yuka ni weku wadinama ku miti wa vinu; phila mosi phi yi benu, yuka ni luzingidiku mwena meni.
2b0f0500b3	Meni yenina miti wa vinu, benu lwenina mihandi. Wuna wisi zingila mwena meni bwosu yenina meni mwena yandi, yandina kaha bibundu byalawu; kinga, konda meni, lwalendaku hanga kima.
2b0f0600a3	Wuna wisiku zingila mwena meni, wakutimbula ku phenza kenina hanga muhandi amana wuyumukini; mihandi myaloka bisimya tonguna, batimbudimya ku mbawu amana milemini.
2b0f070071	Yuka ni lwazingilaka mwena meni, yi ndaka zama mwena benu, lwalómba kyosu kina lwazóla amana lwatámbulakya.
2b0f080071	Tala buna yisi monikina khembu ya Tata wama: lwabutaka bibundu byalawu amana lwakituka balonguki kikuma kya meni.
2b0f090045	Bwosu kánzola Tata, meni phi yíluzola. Zingilakenu mu zola dyama.
2b0f0a0091	Yuka ni lwalundaka mitsiku myama, lwazíngila muna zola dyama, bwosu yílunda meni mitsiku mya Tata wama amana yisi zingila muna zola dyandi.»
2b0f0b0066	«Yiluzonzidini bwabuna ndangu kyesi kyama kyakala mwena benu amana kyesi kya benu kyakala kyalungila.
2b0f0c004b	Mutsiku wama wenina wawu: Zolanenu benu yi benu bwosu buna yíluzola meni.
2b0f0d0060	Heku mutu wenina yi zola dina dihitini yuka ni ka wuna ku wuzodi kufwa kikuma kya banduku bandi.
2b0f0e0049	Yuka ni lwalemvukaka mu mana yisi lutuma meni, benu lwenina banduku bama.
2b0f0f00ae	Yisiku lutela hika bahika, kikuma muhika kisiku zaya dibanza dya pfumu wandi. Yisi lutela banduku bama, kikuma moosu mana yíyuka kwena Tata wama, yíluzimbwalama benu phi.
2b0f1000cf	Ka benu ku lwátsola meni, kaasi meni yílusola, yíluheka kisalu ndangu lwenda amana lwabuta bibundu byalawu, amana bibundu byenu byananga. Ndangu Tata kaluheka byosu bina lwamúlomba mu khumbu ya meni.
2b0f110039	Mutsiku yilusidini, wenina wawu: zolanenu benu yi benu.»
2b0f120046	«Yuka ni batu ba tsi babati lumenga, zayenu ni meni bátekila menga.
2b0f1300d2	Wadi ni lwakalaka batu ba tsi, wadi batu ba tsi bakhani luzola kikuma banduku lwenina. Kikuma kya buna lweku batu ba tsi, kinga yílusola amana yílubula ha kati dya bawu, yihakana batu ba tsi bisi lumengina.
2b0f1400b8	Yubukenu ndinga yina yiluzimbwadikini: "Muhika kahitiku pfumu wandi." Yuka ni bándyokuna meni, benu phi balúnyokuna; yuka ni bálundama malongi mama, balúndama phi mana ma benu.
2b0f150060	Mambu mana moosu balúhangama kikuma kya khumbu ya meni, kikuma bawu bamuzayiku wuna wáthuma.
2b0f160083	Wadi ni yísaku, yikonda bazonzisa phi, wadi bakhaniku kala yi disumu. Kaasi buthwena, baléndaku mu kusuwangana disumu dya bawu.
2b0f17002d	Wuna wisi mbenga, kisi mumenga phi Tata wama.
