2800000007	Mattiyu
2d0b080099	Kamar yadda yake a rubuce, ''Allah ya ba su ruhun rashin fahimta, ga idanu amma ba za su gani ba, ga kunnuwa amma ba za su ji ba, har zuwa wannan rana.''
2d0b09006b	Dauda kuma ya ce, ''bari teburinsu ya zama taru, da tarko, ya zama dutsen tuntube da abin ramako a gare su.
2d0b0a004a	Bari idanunsu ya duhunta domin kada su gani; bayansu kuma a duke kullum.''
2d0b0b00a5	Na ce, ''sun yi tuntube domin su fadi ne?'' Kada abu kamar haka ya faru. A maimakon haka, juyawa baya da suka yi ya sa, ceto ya zo ga Al'ummai, domin ya sa su kishi.
2d0b0c0097	Idan yanzu juyawa baya da sun yi ya zama arziki ga duniya, rashin su kuma arziki ga Al'ummai, yaya kwatancin girmansa zai kasance in sun zo ga kammala?
2d0b0d006f	Yanzu ina magana da ku ku da ke Al'ummai. Tunda yake ni ne manzo ga Al'ummai, ina kuma fahariya cikin hidimata.
2d0b0e003f	Yana yiwuwa in sa ''yan'uwa na kishi, domin mu ceci wadansu su.
2d0b0f0064	Idan kinsu ya kawo sulhuntawa ga duniya, Karbarsu kuma zata zama yaya? Zata zama rai ne daga mutuwa.
2d0b100061	'ya'yan farko sunan haka ma kakkabensu yake, Idan saiwar itace na nan, haka ma rassan za su zama.
2d0b1100ad	Amma idan an karye wasu daga cikin rassan, idan ku rassan zaitun na ainihi ne, da aka samu daga cinkinsu, kuma idan kuna da gado tare da su, acikin saiwar itacen zaitun din.
2d0b12007c	Kada ku yi fahariya a kan rassan. Amma idan kuka yi fahariya to ba ku bane masu karfafa saiwar amma saiwar ce ke karfafa ku.
2d0b13003a	Kana iya cewa, ''An karye rassan domin a same ni a ciki.''
2d0b1400bd	Wannan gaskiya ne! Saboda rashin bangaskiyarsu ne ya sa aka karye su daga rassan, amma ku tsaya da karfi acikin bangaskiyarku. Kada ku dauki kanku fiye da yadda ya kamata, amma ku ji tsoro.
2d0b150040	Domin idan Allah bai bar ainihin rassan ba, to ba zai bar ku ba.
2d0b1600ee	Ku duba yadda irin ayyuka masu tsananni na Allah. Ta daya hannun kuma, tsanannin kan zoa kan Yahudawa wadanda suka fadi. Har 'ila yau jinkai Allah ya zo maku, idan kun cigaba cikin alherinsa baza a sare ku ba. Amma in kun ki za a sare ku.
2d0b170079	Hakanan, idan ba su ci gaba cikin rashin bangaskiyarsu ba, za a maida su cikin itacen. Domin Allah zai iya sake maida su.
2d0b1800cd	Idan an yanke ka daga itacen zaitun da ke na jeji, har ya yiwu an hada ka cikin itacen zaitun na ainihi, yaya kuma wadannan Yahudawa wadanda sune ainihin rassan, da za'a maido cikin zaitun da ke na ainihi?
2d0b1900d1	Yan'uwa, ba na so ku kasance cikin duhu a game da wannan asirin, domin kada ku zama da hikima cikin tunaninku. Wannan asirin shine cewa wannan taurarewa ta faru a Isra'ila, har sai da Al'ummai suka shigo ciki.
2d0b1a0094	Ta haka dukan Isra'ila za su tsira, kamar yadda yake a rubuce: ''Daga cikin Sihiyona mai Kubutarwa zai fito; Zai kawar da kazanta daga cikin Yakubu.
2d0b1b0042	Wannan zai zama alkawarina da su, sa'adda na kawar da zunubansu.''
2d0b1c0086	A wani bangaren kuma game da bishara, su makiya ne amamadinku, ta wani fannin kuma bisa ga zabin Allah su kaunattatu ne saboda ubanni.
2d0b1d002c	Domin baye-baye da kiran Allah basa canzawa.
2d0b1e005f	Domin ku ma da ba ku yin biyayya ga Allah, amma yanzu kun sami jinkai saboda rashin biyayyarsu.
2d0b1f0092	Ta wannan hanyar dai, wadannan Yahudawan sun zama marasa biyayya. Sakamakon haka shine ta wurin jinkan da aka nuna maku, suma su samu jikai yanzu.
2d0b200049	Domin Allah ya rufe kowa ga rashin biyayya, domin ya nuna jinkai ga kowa.
2d0b21008a	Ina misalin zurfin wadata da kuma hikima da sani na Allah! Hukunce-hukuncensa sun fi gaban a bincika, hanyoyinsa kuma sun fi gaban ganewa!
2d0b22004a	Don wanene ya san tunanin Ubangiji? Wanene kuma ya zama mai bashi shawara?
2d0b23003e	Ko kuma, wanene ya fara ba Allah wani abu, domin a biya shi?''
2d0b24007b	Daga wurinsa ne, ta wurinsa ne kuma, a gare shi ne kuma dukan abu suka fito. A gare shi daukaka ta tabbata har abada. Amin.
2d0c0100a4	Ina rokon ku 'yan'uwa, saboda yawan jinkan nan na Allah, da ku mika jikunanku hadaya mai rai, mai tsarki kuma abar karba ga Allah. wannan itace hidimarku ta zahiri.
2d0c02009f	Kada ku kamantu da wannan duniya, amma ku sami canzawa ta wurin sabunta tunaninku, kuyi haka don ku san abin da ke nagari, karbabbe, kuma cikakken nufin Allah.
2d0c0300bc	Don ina cewa, saboda alherin da aka bani, ka da waninku ya daukaka kansa fiye da inda Allah ya ajiye shi; a maimakon haka ku kasance da hikima, gwargwadon yadda Allah yaba kowa bangaskiya.
2d0c040057	Domin muna da gababuwa da yawa a jiki daya, amma ba dukansu ne ke yin aiki iri daya ba.
2d0c050061	haka yake a garemu, kamar yadda muke da yawa haka cikin jikin Almasihu, dukkanmu gabobin juna ne.
2d0c060088	Muna da baye-baye dabam-dabam bisa ga alherin da aka bayar a gare mu. Idan baiwar wani anabci ne, yayi shi bisa ga iyakar bangaskiyarsa.
2d0c07005d	In wani yana da baiwar hidima, sai yayi hidimarsa. Idan baiwar wani koyarwa ce, yayi koyarwa.
2d0c0800d7	Idan baiwar wani karfafawa ce, yayi ta karfafawa; Idan baiwar wani bayarwa ce, yayi ta da hannu sake; Idan baiwar wani shugabanci ne, yayi shi da kula; Idan baiwar wani nuna jinkai ne, yayi shi da sakakkiyar zuciya.
2d0c090058	Ku nuna kauna ba tare da riya ba. Ku Ki duk abin da ke mugu ku aikata abin da ke nagari.
2d0c0a0062	Akan kaunar 'yan'uwa kuma, ku kaunaci juna yadda ya kamata; akan ban girma kuma, ku ba juna girma.
2d0c0b0069	Akan himma kuma, kada ku yi sanyi; akan ruhu kuma, ku sa kwazo; Game da Ubangiji kuma, ku yi masa hidima.
2d0c0c0073	Akan gabagadi kuma, ku yi shi da farin ciki; akan tashin hankali kuma, ku cika da hakuri; akan adu'a kuma, ku nace.
2d0c0d004a	Ku zama masu biyan bukatar tsarkaka, ku zama masu karbar baki a gidajenku.
2d0c0e0036	Ku albarkaci masu tsananta maku, kada ku la'anta kowa.
2d0c0f0049	Ku yi farinciki tare da masu farinciki; Ku yi hawaye tare da masu hawaye.
2d0c100096	Tunanin ku ya zama daya. Kada tunaninku ya zama na fahariya, amma ku yi abokantaka da matalauta. Kada wani a cikin ku ya kasance da tunanin yafi kowa.
2d0c110043	Kada ku rama mugunta da mugunta. Ku yi ayukan nagarta a gaban kowa.
2d0c120045	Ku yi duk abin da za ku iya yi domin ku yi zaman salama tare da kowa.
2d0c13007f	'Yan'uwa, kada ku yi ramako, ku bar Allah ya rama maku. A rubuce yake, '' 'Ramako nawa ne; zan saka wa kowa,' in ji Ubangiji.''
2d0c1400a8	''Amma idan makiyin ka na jin yunwa, ba shi abinci ya ci. Idan yana jin kishin ruwa, ba shi ruwan sha. Idan kun yi haka, garwashin wuta ne za ku saka akan duk makiyi.''
2d0c15004f	Kada mugunta ta rinjaye ku, amma ku rinjayi mugunta ta wurin yin aikin nagarta.
2d0d01007f	Bari kowa yayi biyayya da hukuma, saboda babu wata hukuma sai dai in tazo daga Allah; mahukunta da suke nan kuwa daga Allah ne.
2d0d020070	Saboda da haka duk wanda ya ja hukuma ya ja da dokar Allah; kuma dukan wadanda suka ki hukuma za su sha hukunci.
2d0d0300a8	Don kuwa mahukunta ba abin tsoro ne ga masu nagarta ba, amma ga masu aikata laifi. Kuna so ku zama marasa tsoron hukuma? Kuyi abu nagari, zaku sami yabo daga yin hakan.
2d0d0400bf	Saboda shi bawan Allah ne a gare ku don nagarta. Amma in kun yi abu mara kyau, kuyi tsoro, saboda ba ya dauke da takobi ba tare da dalili ba. Don shi bawan Allah ne mai saka wa mugu da fushi.
2d0d050043	Saboda haka dole kuyi biyayya, ba don fushi ba, amma saboda lamiri.
2d0d060060	Saboda wannan ne kuke biyan haraji. Don masu mulki bayin Allah ne, wadanda suke yin haka kullum.
2d0d070089	Ku bawa kowa hakkinsa; haraji ga mai haraji; kudin fito ga mai fito; tsoro ga wanda ya cancanci tsoro; girma ga wanda cancanci girmamawa.
2d0d080066	Kada ku rike bashin kowa, sai dai ku kaunaci juna. Domin duk wanda ya kaunaci dan'uwansa ya cika doka.
2d0d0900af	To, “Kada kuyi zina, kada kuyi kisa, kada kuyi sata, kada kuyi kyashi, idan har akwai wata doka kuma, an takaita ta a wannan jimlar: “Ka kaunaci dan'uwanka kamar kanka.”
2d0d0a0043	Kauna bata cutar da makwabci. Domin haka, kauna tace cikar shari'a.
2d0d0b006d	Saboda wannan, kun san lokaci yayi, ku farka daga barci. Domin cetonmu yana kusa fiye da yadda muke tsammani.
2d0d0c0063	Dare yayi nisa, gari ya kusan wayewa. Don haka, sai mu rabu da ayyukan duhu, mu yafa makaman haske.
2d0d0d00ae	Sai muyi tafiya yadda ya kamata, kamar da rana, ba a cikin shashanci ko buguwa ba. Kada kuma muyi tafiya cikin fasikanci da muguwar sha'awa, ba kuma cikin husuma ko kishi ba.
2d0d0e0069	Amma ku yafa Ubangiji Yesu Almasihu, kada kuwa ku tanadi halin mutumtaka, don biye wa muguwar sha'awarsa.
2d0e01004f	Ku karbi duk wanda yake da rarraunar bangaskiya, ba tare da sukar ra'ayinsa ba.
2d0e020055	Wani yana da bangaskiyar yaci komai, wani wanda yake da rauni yakanci ganye ne kawai.
2d0e0300a6	Kada wanda yake cin komai ya raina wanda baya cin kowanne abu. Kada kuma wanda baya cin kowanne abu ya shara'anta sauran da suke cin komai. Saboda Allah ya karbe shi.
2d0e04008f	Kai wanene, kai wanene da kake ganin laifin bawan wani? Tsayawarsa ko faduwarsa ai hakin maigidansa ne, amma Ubangiji yana da ikon tsai da shi.
2d0e050082	Wani yakan daukaka wata rana fiye da sauran. Wani kuma yana daukan ranakun daidai. Kowa ya zauna a cikin hakakkewa akan ra'ayinsa.
2d0e0600d3	Shi wanda ya kula da wata rana, ya kula da ita don Ubangiji. Kuma wanda yaci, yaci ne domin Ubangiji, domin yana yi wa Allah godiya. Shi wanda bai ci ba, yaki ci ne domin Ubangiji. Shima yana yi wa Allah godiya.
2d0e070051	Domin babu wanda yake rayuwa don kansa a cikinmu, kuma babu mai mutuwa don kansa.
2d0e080088	Domin in muna raye, muna raye don Ubangiji. Kuma in mun mutu, mun mutu ne don Ubangiji. Ashe, ko muna raye, ko a mace mu na Ubangiji ne.
2d0e090063	Domin wannan dalilin Almasihu ya mutu ya kuma tashi, saboda ya zama Ubangiji ga matattu da rayayyu.
2d0e0a0084	Amma ku don me kuke shara'anta yan'uwanku? kai kuma don me kake raina dan'uwanka? Dukan mu zamu tsaya gaban kursiyin shari'ar Allah.
2d0e0b007e	Domin a rubuce yake, “Na rantse, “inji Ubangiji”, kowacce gwiwa zata rusuna mani, kowanne harshe kuwa zai yabi Allah.”
2d0e0c0044	Domin kowannenmu zai fadi abin da shi yayi da bakinsa a gaban Allah.
2d0e0d0095	Saboda da haka kada muyi wa juna shari'a, amma maimakon haka ku dauki wannan kudduri, don kada kowa ya zama sanadin tuntunbe ko faduwa ga dan'uwansa.
2d0e0e00a3	Na sani na kuma tabbata tsakani na da Ubangiji Yesu, ba abin da yake mara tsarki ga asalinsa. Sai dai ga wanda ya dauke shi marar tsarki ne yake zama marar tsarki.
2d0e0f007d	Idan har abincinka na cutar da dan'uwanka, ba ka tafiya cikin kauna. Kada ka lalata wanda Yesu ya mutu domin sa da abincinka.
2d0e10004e	Saboda haka, kada abubuwan da aka dauka kyawawa su zama abin zargi ga wadansu.
2d0e110076	Saboda mulkin Allah ba maganar ci da sha ba ne, amma game da adalci ne, salama, da farin ciki a cikin Ruhu Mai Tsarki.
2d0e120064	Domin wanda yake bautar Almasihu a wannan hanya, karbabbe ne ga Allah, kuma jama'a sun yarda da shi.
2d0e130042	Don haka, mu nemi abubuwa na salama da abubuwan da zasu gina juna.
2d0e140078	Kada ku lalata aikin Allah don abinci. Komai yana da tsarki, amma kaiton mutumin da yake cin abin da zai sa shi ya fadi.
2d0e150059	Bashi da kyau a ci nama ko a sha ruwan inabi, ko duk abin da zai jawo faduwar dan'uwanka.
2d0e160099	Wannan bangaskiyar da kuke da ita, ku adana ta tsakaninku da Allah. Mai albarka ne wanda zuciyarsa bata da laifi akan abin da hankalinsa ya ga daidai ne.
2d0e17008d	Duk wanda yayi shakka amma kuma yaci, ya sani yayi laifi kenan, domin ba tare da bangaskiya bane. Duk abin da ba na bangaskya bane zunubi ne.
2d0f01005b	Yanzu mu da muke da karfi ya kamata mu dau nauyi raunana, kuma bai dace mu nuna son kai ba.
2d0f020059	Bari kowannenmu ya faranta wa makwabcinsa rai, domin wannan yana da kyau, don a gina shi.
2d0f030079	Domin Almasihu bai faranta wa kansa rai ba. Kamar yadda aka rubuta, “zagin da wadansu suka yi masa ya sauka a kaina.”
2d0f040076	Don abin da aka rubuta a baya an rubuta ne domin a gargade mu, domin ta hakuri da karfafawar litattafai mu sami karfi.
2d0f05006a	Yanzu Allah mai hakuri da karfafawa ya baku zuciya daya ta zaman tare da juna bisa ga halin Yesu Almasihu.
2d0f060044	Domin ya yi haka ne da zuciya daya domin ku yi yabo da bakinku daya.
2d0f07004b	Domin ku karbi juna, kamar yadda Yesu ma ya karbe ku domin a daukaka Allah.
2d0f08008f	Saboda na ce an mai da Almasihu bawan kaciya a madadin gaskiyar Allah. Ya yi wannan ne don a tabbatar da alkawarai da aka ba kakanin kakaninmu.
2d0f090095	Domin Al'umai su daukaka Allah saboda jinkansa, kamar yadda ya ke a arubuce, “Domin ta haka zan yabe ka cikin Al'umai in yi wakar yabon sunanka.”
2d0f0a0041	Kuma an ce. “Ku yi faranciki, ku Al'ummai tare da mutanensa.”
2d0f0b004f	Kuma.” Ku yabi Ubangiji, ku dukan Al'ummai; bari dukan mutane su yabe shi.”
2d0f0c0086	Kuma, Ishaya ya ce “Za a sami tsatson Yessi, wanda zai tashi ya yi mulki a kan Al'umai, Al'umai za su sami karfin hali a cikinsa.”
2d0f0d009e	Yanzu Allah mai karfafawa ya cika ku da dukkan farin ciki salama, saboda da bangaskiyarku, domin ku sami cikkakiyar karafafawa, ta wurin ikon Ruhu Mai Tsarki.
2d0f0e009e	Ni kaina na amince da ku, yan'uwa. Kuma na amince cewa ku da kanku kuna cike da alheri, cike da dukkan sani. Na amince cewa za ku sami zarafi ku gargadi juna.
2d0f0f0075	Amma ina rubuta maku da gabagadi kan wadansu abubuwa, domin in tunasheku, saboda baiwar da aka bani daga wurin Allah.
2d0f1000c7	Cewa baiwar ta sa na zama bawan Almasihu Yesu da aka aika ga Al'ummai, limami na bisharar Allah. Zan yi wannan saboda baikon Al'ummai ya zama karbabbe, kuma kebbabe ga Allah ta wurin Ruhu Mai Tsarki.
2d0f11003e	Don haka ina jin dadi cikin Yesu Almasihu da abubuwa na Allah.
2d0f120074	Domin ba ni da abin da zan ce, sai abin da Yesu ya aikata ta wurina, domin Al'ummai su yi biyayya ta magana da aiki.
2d0f13008a	Ta wurin alamu, da al'jibai, da ikon Ruhu Mai Tsarki. Daga Urushalima, da kewaye har zuwa Ilirikum, an kai bisharar Almasihu ko'ina dukka.
2d0f140087	A cikin hanyar nan, burina in sanar da bishara, amma a inda ba a san Yesu ta wurin sunansa ba, don kada in sa gini akan harshashi wani.
2d0f150080	Kamar yadda yake a rubuce.”Wadanda ba a taba fada wa labarinsa ba, su gane. Wadanda ba su taba jin labarinsa ba su fahimta.”
2d0f160032	Saboda an hana ni zuwa wurin ku a lokatai da dama.
2d0f17006e	Amma yanzu bani da sauran wani wuri a lardin nan, kuma cikin shekaru masu yawa ina da marmarin in zo wurin ku.
2d0f18007c	Duk lokacin da zan tafi Asbaniya ina begen ganin ku yayin wucewa, don ku raka ni bayan na ji dadin zama da ku na dan lokaci.
2d0f19003e	Amma yanzu ina tafiya Urushalima don in yi wa tsarkaka hidima.
2d0f1a0081	Domin abin farinciki ne ga mutanen Makidoniya da Akaya su yi bayarwa domin gajiyayyu masu bada gaskiya wadanda suke a Urushalima.
2d0f1b00a4	Suna jin dadi domin hakika kamar bashi ne a kansu. Domin Al'ummai sun yi tarayya da su cikin ayyukan ruhaniya, ya zama hakki a kansu su ma su taimake su da abubuwa.
2d0f1c004e	Domin lokacin da na gama basu kudin, zan zo gareku a hanyata ta zuwa Asbaniya.
2d0f1d004c	Na san cewa lokacin da na zo gareku, zan zo da cikakkun albarku na Almasihu.
2d0f1e009d	Yanzu ina rokonku, yan'uwa, ta wurin Ubangiji Yesu Almasihu, da kaunar Ruhu Mai Tsarki, ku yi ta fama tare da ni a cikin yin addu'o, inku ga Allah saboda ni.
2d0f1f007f	Kuyi haka saboda in tsira daga wadanda suke masu biyayya ga Yahudiya, domin kuma hidimata saboda Urushalima ta zama karbabbiya.
2d0f200067	Ku yi addu'a cewa in zo wurinku da farinciki ta wurin nufin Allah, cewa tare da ni da ku, mu sami hutu.
2d0f210031	Allah na salama ya kasance tare da ku duka. Amin.
2d10010059	Ina gabatar muku da fibi 'yar'uwarmu, wanda take hidima a Ikilisiya dake cikin Kankiriya.
2d100200b7	Domin ku karbe ta cikin Ubangij. A hanyar da ta dace ga masu bada gaskiya, ku tsaya tare da ita cikin kowacce bukata. Domin ita da kanta ta zama da taimako ga masu yawa, har da ni ma.
2d1003003b	Ku gai da Bilkisu da Akila abokan aiki cikin Yesu Almasihu.
2d10040077	Wadanda sabo da ni suka sadaukar da ransu. Ina godiya garesu, ba ni kadai ba, amma kuma da dukan Ikilisiyoyin Al 'mmai.
2d10050074	Gaida Ikilisiya da ke gidansu. Ku gai da Abainitas kaunataccena. Wanda shi ya fara bada gaskiya ga Almasihu a Asiya.
2d10060030	Ku gai da Maryamu, wadda ta yi maku aiki tukuru.
2d10070083	Ku gai da Andaranikas da Yuniyas, yan'uwana da abokan kurkukuna. Su sanannu ne cikin manzani, wadanda suke cikin Almasihu kafin ni.
2d10080030	Ku gai da Amfiliyas kaunatace na cikin Ubangiji.
2d10090049	Ku gai da Urbanas abokin aikinmu cikin Almasihu, da Istakis kaunataccena.
2d100a0055	Ku gai da Abalis amintacce cikin Almasihu. Ku gai da wadanda su ke gidan Aristobulus.
2d100b0058	Ku gai da Hirudiya, dan'uwa na, da wadanda ke gidan Narkissa, wadanda ke cikin Ubangiji.
2d100c0033	Ku gai da Tarafina daTarafusa, masu aikin Ubangiji.
2d100d007c	Ku gai da Barsisa kaunatacciya, wadda ta yi aikin Ubangiji da yawa. Ku gai da Rufas zababbe cikin Ubangiji da mamarsa da ni.
2d100e0063	Ku gai da Asinkiritas da Filiguna da Hamis da Baturobas da Hamisu da kuma yan'uwa da ke tare da su.
2d100f0067	Ku gai da Filolugus daYuliya da Niriyas da yan'uwansa, da Ulumfas da kuma dukan tsarkaka da ke tare su.
2d10100050	Ku gaggai da juna da tsatsarkar sumba. Dukan Ikilisiyoyin Almasihu na gaishe ku.
2d10110082	Yanzu ina rokon ku, yan'wa, ku yi tunani fa game da masu kawo rabuwa da tuntube. Sabanin koyarwar da ku ka koya. Ku yi nesa da su.
2d10120078	Domin irin mutanen nan ba sa bauta wa Ubangiji Yesu, sai dai tumbinsu. Ta dadin bakinsu suke rudin zuciyar marasa laifi.
2d101300b0	Domin rayuwar biyayyarku takai ga kunnen kowa, na yi farin ciki da ku, amma ina so ku zama da hikima game da abin ya ke mai kyau, ku zama marasa laifi ga abin da ke na mugunta.
2d10140082	Allah na salama zai sa ku tattake Shaidan da sauri kalkashin sawayen ku. Alherin Ubangijin mu Yesu Almasihu ya kasance tare da ku.
2d1015005d	Timoti abokin aikina, yana gaishe ku, haka Lukiyas da Yason da Susibataras da kuma yan'uwana.
2d10160044	Ni Tartiyas wanda ya rubuta wasikan nan, na gaisheku cikin Ubangiji.
2d10170077	Gayus mai masaukina da kuma dukan Ikilisiya, suna gaishe ku. Arastas ma'ajin birni na gaishe ku, da Kwartus dan'uwanmu.
2d10180044	Alherin Ubangijinmu Yesu Almasihu ya kasance tare da ku dukka. Amin.
2d10190098	Yanzu ga wanda ke da Ikon karfafa ku bisa ga bisharata da wa'azin Yesu Almasihu, wanda ta gare shi ne aka bayyana asiran nan da suke boye tun da dadewa,
2d101a0080	amma yanzu sanannu ne ta wurin litattafan Annabawa bisa umarnin Allah madauwami, domin biyayyar bangaskiya cikin Al'ummai dukka.
2d101b0055	Ga Allah mai hikima kadai, ta wurin Yesu Almasihu daukaka ta tabbata har abada. Amin.
2e0000000d	1 Korintiyawa
2e01010060	Bulus, kirayayye daga Almsihu Yesu don zama manzo ta wurin nufin Allah, da dan'uwanmu Sastanisu,
2e01020103	zuwa ga Ikilisiyar Allah da ke korinti, zuwa ga wadanda aka kebe su cikin Almasihu Yesu, wadanda aka kira domin su zama al'umma maitsarki. Muna kuma rubuta wa dukan masu kira bisa sunan Ubangijinmu Yesu Almasihu a ko'ina, wato Ubangijinsu da Ubangijinmu kuma.
2e01030050	Bari alheri da salama su zo gare ku daga Allah Ubanmu da Ubangiji Yesu Almasihu.
2e0104005a	Kodayaushe ina gode wa Allahna domin ku, saboda alherin Allah da Almasihu Yesu ya yi maku.
2e01050045	Ya ba ku arziki ta kowace hanya, cikin dukkan magana da dukkan ilimi.
2e01060044	Kamar yadda shaida game da Almasihu ta tabbata gaskiya a tsakaninku.
2e01070071	Saboda haka baku rasa wata baiwa ta ruhaniya ba yayinda kuke marmarin jiran bayyanuwar Ubangijinmu Yesu Almasihu.
2e0108005e	Zai kuma karfafa ku zuwa karshe, saboda ku zama marasa aibi a ranar Ubangijinmu Yesu Almasihu.
2e01090059	Allah mai aminci ne shi wanda ya kira ku zuwa zumunta ta Dansa, Yesu Almasihu Ubangijimu.
2e010a00af	Ina rokon ku, yan'uwa, cikin sunan Ubangijinmu Yesu Almasihu, ku yarda da juna, kada tsattsaguwa ta kasance tsakanin ku. Ina rokon ku ku zama da zuciya daya da kuma nufi daya.
2e010b004a	Gama mutanen gidan Kulowi sun kawo kara cewa akwai tsattsaguwa a cikin ku.
2e010c0089	Ina nufin: kowannen ku na cewa, “Ina bayan Bulus,” ko “Ina bayan Afollos,” ko “Ina bayan Kefas,” ko “Ina bayan Almasihu.”
2e010d005f	Almasihu a rarrabe yake? An gicciye Bulus domin ku? Ko an yi maku baftisma a cikin sunan Bulus?
2e010e0050	Na godewa Allah domin ban yi wa wanin ku baftisma ba, sai dai Kirisfus da Gayus.
2e010f0047	Na yi wannan saboda kada wani ya ce an yi maku baftisma a cikin sunana.
2e01100063	(Na kuma yi wa iyalin gidan Sitifanas baftisma. Banda haka, ban sani ko na yi wa wani baftisma ba.)
2e011100ba	Gama Almasihu bai aiko ni domin yin baftisma ba, amma domin yin wa'azin bishara. Bai aiko ni domin in yi wa'azi da kalmomin hikimar mutum ba, saboda kada giciyen Almasihu ya rasa ikonsa.
2e01120067	Gama wa'azin gicciye wauta ne ga wadanda su ke mutuwa. Amma cikin wadanda Allah ke ceto, ikon Allah ne.
2e0113005b	Gama a rubuce yake, “Zan watsar da hikimar masu hikima. Zan dode fahimtar masu basira.”
2e01140069	Ina mai hikima? Ina masani? Ina mai muhawara na duniyan nan? Allah bai juya hikimar duniya zuwa wauta ba?
2e01150071	Tunda duniya cikin hikimarta bata san Allah ba, ya gamshi Allah ta wurin wautar wa'azi ya ceci masu bada gaskiya.
2e01160044	Gama Yahudawa suna bidar al'ajibai, Helinawa kuma suna neman hikima.
2e0117005c	Amma muna wa'azin Almasihu gicciyayye, dutsen tuntube ga yahudawa da kuma wauta ga Helinawa.
2e01180070	Amma ga wadanda Allah ya kira, Yahudawa da Helinawa, muna wa'azin Almasihu a matsayin iko da kuma hikimar Allah.
2e01190051	Gama wautar Allah tafi mutane hikima, kuma rashin karfin Allah yafi mutane karfi.
2e011a008b	Dubi kiranku, yan'uwa. Ba dukkan ku ke da hikima a ma'aunin mutane ba. Ba dukkan ku ke da iko ba. Ba dukkan ku ke da haifuwa ta sarauta ba.
2e011b00ac	Amma Allah ya zabi abubuwan da suke wofi na duniya domin ya kunyatar da masu hikima. Allah ya zabi abin da ke marar karfi a duniya domin ya kunyatar da abinda ke mai karfi.
2e011c00a0	Allah ya zabi abinda ke marar daraja da kuma renanne a duniya. Ya ma zabi abubuwan da ake dauka ba komai ba, domin ya wofinta abubuwan da ake dauka masu daraja.
2e011d0043	Ya yi wannan ne domin kada wani ya sami dalilin fahariya a gabansa.
2e011e008d	Domin abinda Allah ya yi, yanzu kuna cikin Almasihu Yesu, wanda ya zamar mana hikima daga Allah. Ya zama adalcinmu, da tsarkinmu da fansarmu.
2e011f0066	A sakamakon haka, kamar yadda nassi ya ce, “Bari mai yin fahariya, ya yi fahariya cikin Ubangiji.”
2e020100a9	Lokacin da na zo wurin ku, yan'uwa, ban zo da gwanintar magana ko hikima ba yayinda na yi shelar boyayyun bayanai game da Allah [a yayinda na bada shaida game da Allah].
2e0202006b	Domin na kudura a zuciyata kada in san komai lokacin da nake tare da ku, sai dai Yesu Almasihu, gicciyayye.
2e0203003b	Ina tare da ku cikin kasawa, da tsoro, da fargaba mai yawa.
2e02040079	Kuma sakona da shelata basu tare da kalmomin hikima masu daukar hankali. Maimakon haka, sun zo da bayyanuwar Ruhu da iko,
2e0205004e	saboda kada bangaskiyarku ta zama cikin hikimar mutane, amma cikin ikon Allah.
2e02060088	Yanzu muna maganar hikima ga wadanda suka ginu, amma ba hikima ta duniyan nan ba, ko ta masu mulkin wannan zamani, wadanda suke shudewa.
2e0207007c	Maimakon haka, muna maganar hikimar Allah ta boyayyar gaskiya, boyayyar hikima da Allah ya kaddara kafin zamanin daukakarmu.
2e0208008b	Babu wani mai mulki na zamanin nan da ya san wannan hikimar, domin inda sun gane ta a wancan lokacin, da basu gicciye Ubangijin daukaka ba.
2e020900b4	Amma kamar yadda yake a rubuce, “Abubuwan da babu idon da ya gani, babu kunnen da ya ji, babu zuciyar da ta yi tsammanin sa, abubuwan da Allah ya shirya wa wadanda suke kaunarsa.
2e020a007e	Wadannan ne abubuwan da Allah ya bayyana mana ta wurin Ruhu. Gama Ruhu yana bincika komai, har ma abubuwa masu zurfi na Allah.
2e020b0095	Gama wanene ya san tunanin mutum, sai dai ko ruhun mutumin da ke cikinsa? Haka ma, babu wanda ya san abubuwa masu zurfi na Allah sai dai Ruhun Allah.
2e020c007f	Ba mu karbi ruhu na duniya ba, amma Ruhun da ya zo daga wurin Allah, domin mu san abubuwan da aka bamu a sake daga wurin Allah.
2e020d00b4	Muna maganar wadannan abubuwa da kalmomin da hikimar da mutum baza ta iya koyarwa ba, amma wadanda Ruhu ke koyar da mu. Ruhu yana fassara kalmomi na ruhaniya da hikima ta ruhaniya.
2e020e0095	Mutum marar ruhaniya ba ya karbar abubuwan da suke daga Ruhun Allah, gama wauta suke a gareshi. Ba zai iya sanin su ba domin Ruhu ne yake bayyana su.
2e020f006a	Shi wanda yake mai ruhaniya yana shari'anta dukan abubuwa, amma shi baya karkashin shari'ar sauran mutane.
2e0210006b	“Wa zai iya sanin zuciyar Ubangiji, da zai iya ba shi umarni?” Amma mu muna da lamiri irin na Almasihu.
2e03010083	Amma ni, yan'uwa, ba zan iya magana da ku kamar mutane masu ruhaniya ba, amma kamar mutane masu jiki, kamar jarirai cikin Almasihu.
2e03020060	Na shayar da ku da Madara ba da nama ba, don baku isa cin nama ba, kuma ko yanzu ma baku isa ba.
2e0303008f	Gama har yanzu ku masu jiki ne. Muddin akwai kishi da jayayya a tsakaninku, ashe, ku ba masu jiki ba ne, kuma kuna tafiya bisa magwajin mutane?
