2a00000004	Luke
2a1630004b	Djesu akemuwivule rye: «Sudase, mu ufwife waghu, wisumbisili Mwane Mutu?»
2a16310074	Abamasyale na Djesu, ave bamalabile dyodikivyoghe, bakewivule Djesu rye: «Fumu, tupalisi madjenge mu utoghe nowu?»
2a16320077	Wumosi va ghari owu, akepalise didjenge, aketabule ditudji di mabaale di musalitsi wu yivunde yi bavaghulitsi ba paghu.
2a1633005e	Tumbe Djesu akevose rye: «Dundanu, avotsu.» Na amabembe ditudji di musalitsi na akemubeluse.
2a163400c9	Mbana Djesu aketsingule bivunde bi bavaghulitsi ba paghu na bivunde bi baghore na bivunde bi baSwife abamarughe owuyimughaange rye: «Dumarughe na madjenge na mangwangu nane bwena yikongu dwiyighaange.
2a16350089	Bilumbu byotsu, nyibetsi nenu o ghari ndaghu Nzambi, dughaakangaange. Temu adjidji, djike djenu adji mangolu ma pisime mesalili mukolu.»
2a1636006d	Na béghangi Djesu, bakemubeghe o ndaghu yivunde yi bavaghulitsi ba paghu. Pyere akenebadukaange va ghegheyi.
2a16370057	Batu beni, banobanze mudji va ngangele dulombili, Pyere wandi akeyétsane va ghari owu.
2a163800af	Musatsi wumosi wu mughetu wu yivunde yi bavaghulitsi ba paghu akemulabe atsane va mughule mudji, akemutsune «pii» na akevose rye: «Dibaale dyédidi wandi abetsi na Djesu!»
2a16390045	Tumbe Pyere akeghale nomutsingule rye: «Mughetu, menu ngémudjabi.»
2a163a0085	Mwa pesu temu, mutu mosi anomulabe, akemutsingule rye: «Ndewandi, wudji nowu!» Tumbe Pyere akewaghule rye: «Nesi, menu nga nowu.»
2a163b0097	Mwa diweru dinovyoghe, mutu wususu akebwétsiyise bwena: «Nyitasi yiri, dingenze, dibaale dyédidi abetsi nandi mumbari djawandi adji mwise Ngalile.»
2a163c0063	Pyere akemuwaghule rye: «Ngedjabi adi wirondi uvose.» Ave Pyere amavosilaange, koku wandi novose.
2a163d00b8	Fumu anoghelughe, yiswisu yandi na yi Pyere bikebengune. Sundile Pyere akerangimine adi Fumu amamutsingule: «Na muni, ne koku akevose, ndedju wukale kumbu yiryeru bwena wughenzyabi.»
2a163e0040	Pyere, anopale o dulombili, amalile «rodoo» na munyongu wotsu.
2a163f003e	Batu abamakelisaange Djesu, bamamupedjingi na bamamudimbaange.
2a1640005b	Djowu, banomudibighe yinzi bakemuwivulaange rye: «Bighe na tutsinguli anyi atsighudimbe?»
2a16410041	Na bakebwélaange umusyenge nomutsingulaange mambu mamosi mabive.
2a164200a3	Mune kedi, fundu dji bivunde bi mukute, bivunde bi bavaghulitsi ba paghu na milonzi mi mighaghe bamaghukume, bakebeghe Djesu va wusu fundu dji banzonzi ba baSwife.
2a1643007e	Awune, bakemuwivule rye: «Ndedju, la Kirisete? Tutsinguli.» Djandi akebawaghule rye: «Yike nyidutsinguli, djenu dughosinge.
2a1644002e	Payi nyitsiduwivule yivu, djenu dughokwaghule.
2a16450041	Ubandile vave, Mwane Mutu obe atsane o mabaale ma Nzambi-Pungu.»
2a1646008b	Djowu botsu bakeghamughe va mosi rye: «Kaboghu ndedju, wudji Mwane Nzambi?» Djesu akebawaghule rye: «Djenubeni dumatubule: Nine, menu.»
2a16470060	Bakevose rye: «Twisane nzale bambedji! Djetubeni tumaghulwanu, mambu amatsipale va munu andi.»
2a17010059	Yinombu yotsu yi batu yikereleme, mu ubeghe Djesu va wusu yidjeti bamanengilaange Pilate.
2a170200e0	Avane, djowu botsu bamamufwengile na bamatsingule Pilate rye: «Dibaale dyédidi, tutsimurasunu esibisi batu ba bulongu bwetu na ebaghandisi uvane lepu ombu Kaghe Sesare, na evosi yiri djabeni la Kirisete mbana adji Kaghe.»
2a1703005e	Pilate akemuwivule rye: «Ndedju la Kaghe baSwife?» Djesu akemuwaghule: «Ndebeni widivosi.»
2a17040075	Pilate aketsingule bivunde bi bavaghulitsi ba paghu na yinombu rye: «Menu ngelabi mbele djufwengiyile mutu éwuwu.»
2a170500f1	Tumbe batu beni bakemwéghamungaange na mangolu rye: «Mu ndonzulu andi, djandi esibisi mukute bakebuse ughobise mighaghe mi kaghe Sesare. Mutu eni atsivaghe nane mu yinange yotsu yi Sudé, ubandile o yinange yi Ngalile, tena wunu tuvwanu.»
2a17060049	Ave Pilate amawululu nane, akewivule rye: «Mutu éwuwu, mwise Ngalile?»
2a170700b9	Batu bakewaghule Pilate bwena Djesu adji mwise Ngalile. Pilate akemutinde ombu kaghe Yirode mwane Atipa. Kaghe adjimarumisaange yinange yi Ngalile na va temu eni, mbé aki o Serusaleme.
2a170800a4	Yirode akebase na nzangu ave amalabile Djesu mumbari yilemee amarondaange ubengune nandi. Mumba amawulu didume dyandi na amatasaange yiri Djesu omulase mwa yimaghe.
2a17090044	Yirode akemuwivule pwele bivu, tumbe Djesu asamamuwaghule ne yimosi.
2a170a0084	Vane mbure eni, bivunde bi bavaghulitsi ba paghu na milonzi mi mighaghe bamabe djowu andi na kabu, bakemufwengiyilaange pwele mambu.
2a170b0070	Yirode na baghore bandi bakepedjingi nosyenge Djesu. Bakemudwise yikutu yi bukaghe na bakemughabuse ombu Pilate.
2a170c0067	Vane kale Yirode na Pilate bamabangaange bambeni, tumbe mu yilumbu yéyine, bakebwéghabusile bumbatsi.
2a170d0050	Pilate akeghukighe bivunde bi bavaghulitsi ba paghu, bidjeti bimosi na mughungi,
2a170e00c1	akebatsingule rye: «Djenu dutsimbeyile dibaale dyédidi na djandi esibisi mukute na kande. Labatyanu, nyitsimusosisile va wusu enu, tumbe ngalabe mbele andi mu mambu ame djenu dwimufwengilili.
2a170f008b	Ne Yirode djawandi, aghalabe dibi mu Djesu yiri akeboku. Ladibandu atsimughabusile ombu etu. Mutu éwuwu aghaane dyambu adyumurombise dufu.
2a17100046	Kaboghu nyurume bakemudimbise bwandi na batsilu mbana bakemudunde.» [
2a17110054	Mu kadi mumengu Pake, Pilate amabangaange na yufu yupalisaange mwise tsughu wumosi.]
2a17120067	Tumbe yinombu ayimabe vane, wikeghamughe va mosi rye: «Bokise dibaale dyédidi, tupalisili Barabase.»
2a1713006e	Mu disibise adi Barabase amarombise mu musyengi eni, na uboke awu amabokile mutu, adine dimamukotise o tsughu.
2a1714003b	Pilate, mu nzale udunde Djesu, akemwébawivule adi mubedji.
2a1715004f	Tumbe mughungi wukebwéghamughe na mangolu: «Mughomini, mughomini va kurusu.»
2a1716009c	Pilate akemwébawivule adi muryeru rye: «Dibi dika, mutu éwuwu atsivaghe? Ngelabi dyambu adi djandi obokulu. Menu, nyumudimbise wandi mbana, nyumudunde.»
2a1717007c	Tumbe mughungi wukebwelaange ughamughe o djulu yiri Djesu aghomunu va kurusu. Yike mu posulu owu, dufu du Djesu dukesikughu.
2a17180036	Vane-vane, Pilate akesinge adi mughungi wumarondaange.
2a17190098	Pilate akebapalisile mutu awubamavondaange awu amasunzu o tsughu dibandu disibise na bukongu bwandi, na akebawakise Djesu bakemuvaghe adi bamarondaange.
2a171a00d1	Ave bamabeyilaange Djesu, bakebengune na dibaale dinengulu Simu mwise musyengi Sirene amarughesenaange o manungi. Baghore bakemusikighe na bakemughome yiri akenangule kurusu mbana akenedukaange Djesu va nzime.
2a171b0091	Yinombu yineni yi batu yikenebadukaange. Va ghari mughungi eni vakebe mwa dighuki di baghetu bamenelilaange nonyongaange dibandu mukilu wu Djesu.
2a171c007d	Djesu akebaghengile na akebatsingule rye: «Baghetu ba Serusaleme, duyalile mu menu, lilenganu mu djenubeni na mu baane benu.
2a171d007d	Lanu, bilumbu byurughe ave batu bovosilaange rye: “Ubwedji ombu bingume, ombu djowu abasekalebure na djowu abasamanwise.”
2a171e0058	Mu temu eni, batu bovosaange na mikongu na milandu yiri: “Tuvikyanu na tughumbyanu.”
2a171f0057	Labatyanu, mu mwiri awu monyu bamavaghe mambu mabive, ka mu mukanzu, tsyeni bovayile?»
2a1720003f	Vane-vane, bakebeghe bikongu bibedji bakiboku va mosi na Djesu.
2a172100b6	Ave bamatolile va mbure adjimanengulungu «Dubengili», baghore bakeghomine Djesu va kurusu. Yike bakeghomine bikongu byeni mu tsyowu kurusu, wumosi o mabaale, awune o maghetu mandi.
2a172200bc	[Mwa pesu temu, Djesu akevose rye: «Tate, batandi mumbari baghedjabi adi bévayi.»] Baghore beni bakesole mutu mu udjabe anyi odile yikutu yi Djesu. Mu uyidile, bakevaghe dusolu du yese.
2a172300c6	Mughungi wumabe wughukeme na wukeghengilaange. Tumbe bivunde bi baSwife, bakepedjingi Djesu na bakevosange rye: «Amaghobule basusu, tsyé akeghobuli djabeni payi adji Kirisete awu Nzambi amasole!»
2a1724004f	Baghore wandi bakebambene, bakemupedjingi na Bakemuveghe dingibe dingani akenu.
2a17250043	Bakevose rye: «Payi wudji Kaghe baSwife, tsyékeghobule ndebeni!»
2a17260063	Mu yasi yi dusimbi ayimaghomunu va kurusu o djulu muru andi, bamasonighe: «Awuwu, Kaghe baSwife.»
2a1727009a	Yikongu yimosi ayimaghomunu va kurusu va mughule Djesu, akemubangulaange novose rye: «Ndedju, meta wudji Kirisete? Tsyékeghobule ndebeni na tughobuli!»
2a172800a8	Yikongu ayi mubedji ayimaghomunu wandi mu djandi kurusu, akesyembe mbatsi na akemutsingule rye: «Nenane wutsiveghulu mukilu nane mutu éwuwu, ndedju wughédumi Nzambi?
2a1729006e	Mu djetu naghu, tuwelimine mudile fute édjidji mu mambu ame tumavaghe. Tumbe djandi, aghavaghe dyambu dibi.»
2a172a005b	Mbana yikongu yeni akevose rye: «Djesu, wuyandibene ave wuruyile mu uyibyame nane kaghe.»
2a172b0069	Vane-vane, Djesu akemuwaghule rye: «Dingenze nyighutsinguli, na muni, wukote nami o Bukaghe bu Nzambi.»
2a172c005f	Va mwangulu, nyangu djikevole na pisime djikedughunu mu butambe bwotsu tena murekemunu wu wisi.
2a172d008a	Dimengi di nyangu dinotsyemughe, pisime djikebase mu butambe, dumbu du mbure adji Syeme va dikotulu di ndaghu Nzambi dukepasighe va ghari.
2a172e007b	Djesu akeghamughe mughamu wuneni, akevose rye: «Tate, nyiwakisi Yinyuni yami va makake maghu.» Anomane uvose nane, akefu.
2a172f006b	Yivunde yi baghore anolabe adimavyoghe, akedodise Nzambi novose: «Dingenze, mutu éwuwu abetsi asungeme.»
2a1730008d	Yinombu yi batu yimarughe pwele, yinolabe adimavyoghe, yikeneghabughe mu mimbu mowu, bakene dumange batulu dibandu munyongu wuneni mu mirime.
2a17310099	Bambatsi botsu ba Djesu na baghetu abamawendaange nandi, ubongile o Ngalile, bamabe bavengeme djowu mbure na bakeghengilaange nane mambu mamavyoyilaange.
2a17320111	Vamabe mutu dine dyandi Sosefe, amabe na musighe, asungeme, akevivaange durughulu du Bukaghe bu Nzambi. Djandi, amabe yivunde wandi va ghari fundu dji banzonzi ba baSwife na amabe mwise musyengi wu Arimate mu yinange yi Sudé. Asamasobene ditase na bambatsi mu uboke Djesu.
2a17340078	Dibaale dyeni, akewende, mu uyélabe yidjeti Pilate, akemuveghe musughe mu ubonge dunyuru du Djesu. Pilate akemugharusu.
2a1735008a	Sosefe akesunduse dunyuru du Djesu va kurusu, akedupote va tsande na akedusunze o ngile adjimatimu o ghari tali o mbé wukatswighulu mutu.
2a17360064	Amadivaghe, mu yilumbu ayiduki yilumbu ayireli yilumbu yuvume yi baSwife, ayi batu basamasalilaange.
2a17370095	Baghetu abamenedukaange Djesu, ubongile o Ngalile, bakesobene konge na Sosefe na bakewende o ngile. Awune bamalabe nane bamasunzile dunyuru du Djesu.
2a173800a8	Banomane, bakeghabughe mu mandaghu, muyetsonzighe matsi na miyombu muyeghotse dunyuru du Djesu. Djowu, bamaghobise mughaghe awighandisi baSwife usale mu yilumbu yuvume.
2a1801007e	Mu yilumbu yiteghe yitsone, va matebughulu ma wisi, baghetu bamawende o ngile na birure bi matsi na miyombu ami bamatsonzighe.
2a18020051	Ave bamatolile, bakerasunu dimani adi bamakibiyile ngile dimavengughu va mughule.
2a1803002d	Bakekote, basamarasunu dunyuru du Fumu Djesu.
2a1804005c	Baghetu, bakesutu. Sundile, babaale babedji badware bikutu bikadimi, bakelabene va wusu owu.
2a18050093	Baghetu, bakeghangu na ghome, baketsokighe misu na tsi. Babaale beni bakebawivule rye: «Dibandu yi dwirombili odjivu monyu va ghari djowu abamafu?
2a18060067	Asa vave, tumbe amarambughe o dufu. Kaboghu, rangiminanu ame amadutsingulanga ave mbé akivu o Ngalile.
2a180700a5	Avane, amavosaange rye: “Diwelimine yiri Mwane Mutu owakusu va makake ma bavayitsi ba mabi, oghomunu va kurusu, mbana mu yilumbu ayimuryeru, orambughe o dufu”.»
2a18080048	Vane-vane, baghetu beni bamarangimine mambu ame Djesu amabatsingulaange.
2a1809005d	Banoghusughe o ngile, bakeghabughe muyetsingule dighumi na yilumbi yimosi na badukitsi botsu.
2a180a00b3	Mu yinombu yi baghetu beni, vamabe Mari mwise musyengi wu Maghedale, Sane na Mari ngudji Sake, na baghetu bamosi. Djowu bane, abamayétsingule bilumbi nane bamayerasunine o ngile.
2a180b0066	Tumbe bilumbi byeni baketasange yiri motsu ame baghetu bamabatsingule, amofure na basamamavayile yitu.
2a180c00b6	Vane-vane, Pyere akereleme, akatiremughe mbangu nowende o ngile. Anodokemine, akelabe yike matsande vatsi, na akeghabughe o ndaghu andi, akekambulu mu dyambu adi amayerasunu o ngile.
2a180d0081	Mune yilumbu yeni, badukitsi babedji bamawende o musyengi Yimayise, dimbu dimabe dikakene mu dighumi na take bedji na Serusaleme.
2a180e002f	Djowu bakenevosange mu mambu motsu amamavyoghe.
2a180f0056	Ave bamenevosilaange notsunde mu mambu meni, Djesu akebambene na akesobene konge nowu.
2a1810004d	Batu beni bamamulabaange, tumbe Nzambi akebavaghe muvuyisini yiri bakemujabe.
2a18110063	Djesu akebawivule rye: «Dyambu yi dwiyenetsundile mu nzile?» Djowu, bakesikeme na munyongu wotsu.
2a181200a1	Wumosi va ghari owu, enengilu Kolopase, akemuwaghule rye: «Bu ndedju pinze awitsani va musyengi Serusaleme awughadjabe motsu amatsivyoghe mu bilumbu byébibi?»
2a181300d8	Djesu akebawaghule rye: «Ayii?» Djowu botsu bakemukanzuyile rye: «Dyambu aditsivyoghe mu Djesu mwise Nasarete. Amabe mubiyitsi wuneni avosange na mangolu nodughusungu bisalu bineni, va wusu Nzambi na va wusu batu.
2a18140068	Bivunde bi bavaghulitsi ba paghu na bidjeti byetu, bamamusumbise yiri akekilusu na akeghomunu va kurusu.
2a18150098	Djetu botsu mbé tukane yitu bwena djandi o mbé oyighobule mukute Yisrayele. Tumbe labatyanu, yilumbu ayiyi yike yi muryeru, mambu memane mamalabenine.
2a18160056	Dingenze, baghetu bamosi va ghari etu, bamatusutusu ave bamawendile kedi neni o ngile.
2a1817007b	Banotole, basamarasunu yibindi yi Djesu. Bakeghabughe, bakebeghe tsangu bwena Byanze bitsibatsingule yiri Djesu adji monyu.
2a18180093	Ladibandu, babaale bamosi abamabe netu, bamawendile djowandi o ngile, bakérasunu nane baghetu bamayitutsingulile bwena basamalabe yibindi yandi.»
2a18190085	Djesu akevose nowu rye: «Dughejabi dyambu, durange usinge, na mirime myenu mighale, mu ughangise motsu ame babiyitsi bamadutsingule!
2a181a004a	Diwelimine yiri Kirisete mbé oletsoghusu ne akekote mu bundumbe bwandi.»
2a181b0097	Vane-vane, Djesu akebande ubatsingule motsu ame Bisonu bi Nzambi bimavose mu djabeni: ubongile mu mighande mi Moyise tena mu Bisonu bi babiyitsi botsu.
2a181c0055	Yike bebi bebeli na dimbu adi bamawendaange, Djesu akevaghe nane djandi evyoyi kwase.
2a181d007b	Mubedji ewune, bamamughome nomutsingule rye: «Wisi wumatsime, sikeme wukevyose mukolu netu.» Djesu amakote nowu o ndaghu.
2a181e0065	Ave bamavyoyile va metse, Djesu akebonge dipe, akeghabusile Nzambi diboti, akedibukule na akebaveghe.
2a181f0060	Vane-vane, misu mowu mamadibughe na bamamudjabe. Tumbe Djesu akesundile, utsyemughe va wusu owu.
2a182000a8	Badukitsi beni bakewivusunaange rye: «Tutsighulungu nane yusile mu mirime myetu ave atsiyene tuvosilaange mu nzile, na ave atsiyene tuvindiyilaange Bisonu bi Nzambi!»
2a18210088	Badukitsi beni, bakereleme, bakesogheme o Serusaleme. Bakeye rasune dighumi na yilumbi yimosi na badukitsi botsu abamabe baghukeme nowu.
2a1822007d	Banobarasune, baketsingule badukitsi babedji rye: «Ame tutsighulu mangenze, Fumu adji monyu! Dingenze, atsilabene na Simu!»
2a18230067	Badukitsi babedji bakemwébatsingule adimalabe mu nzile na nane bamadjabile Djesu ave amabukulile dipe.
2a1824006c	Ave bamavosilaange, Djesu djabeni akesundile upale va ghari owu na akebatsingule rye: «Duvotsu dubi nenu!»
2a1825005d	Banoghangu na keri, baketsaghemughe, mumbari bamatasaange yiri ditengu dimapale va ghari owu.
2a1826007f	Tumbe Djesu, akebawivule rye: «Dibandu yi, dwitsaghemuyili na mumbari yi, dubile na bakemi mu mirime myenu bwena nyidji monyu?
2a18270077	Ghengilanu makake na matambi mami: dughélabi bwena menu? Ghengilanu na mbembyanu, ditengu aghaane dunyuru nane menu.»
2a18280036	Anobatsingule nane, akebalase makake na matambi mandi.
2a18290083	Djowu ne nane basamalesinge, dibandu nzangu na usutu awu bamasutu. Djesu akebawivule rye: «Avave, dughaane mwa yighudji yi udji?»
2a182a0046	Bakemuveghe yibuku yi nyame mambe djighoku na yasi yi yisile yi budji.
2a182b0028	Djesu akeyibonge, akeyidji va misu mowu.
2a182c00c9	Mbana, akebatsingule rye: «Lanu, adi nyimadutsingulaange mbé ngi va ghari enu: mambu motsu amamasonughu mu menu mu mughaghe wu Moyise, mu bisonu bi babiyitsi na mu mughande Nimbu, mbé moledughusu.»
2a182d004d	Yike Djesu, akebadibule dudjabu, mumbari bakewulu notsiyise Bisonu bi Nzambi.
2a182e007b	Mbana akemwébatsingule rye: «Disonughu yiri Kirisete, otsoghusu na mu yilumbu ayimuryeru, osimbughe va ghari djowu abafu.
2a182f008e	Mu malongu motsu, ubandile o musyengi Serusaleme, musamu wu dukalusu du mutsanu na wu dutandulu du mabi ma batu, mbé wusamunu mu dine dyandi.
2a18300028	Djenubeni, dudji bambedji ba mambu meni.
2a1831008a	Tumbe menu, nyudutindile pangini adji Tate ami amadulonge. Kaboghu, tsananu vave musyengi éwuwu tena dubase na mangolu ameruyi o djulu.»
2a18320072	Djesu akebabeghe o yari musyengi Betani. Avane, akenangule makake na djulu, akesambile Nzambi na akebaveghe myule.
2a1833003d	Ave amabaveyilaange myule, akekakene nowu, akematusu o djulu.
2a1834004d	Badukitsi beni nabemani wumuyitse, bakeghabusile o Serusaleme na nzangu neni.
2a18350061	Na temu tsyotsu bamabengunange va dulombili du ndaghu Nzambi mu umuyitsaange na mu umudodisaange.
2c00000006	Bisalu
2c0101006c	Mundumbe Tofile, mu mughande ami wuteghe, nyimawulase motsu ame Djesu amadughusungu nolonzaange vane dibandu
2c01020086	tena yilumbu ayi amamatile o djulu. Mu yilumbu yeni, na mangolu ma Yinyuni Yisyeme, amaveghe marume mu botsu abe amasole mube bilumbi.
2c010300a1	Va djulu dufu dwandi, amalabene monyu nowu. Mu maghumi-mana ma bilumbu, amabalasaange yi ngenze adji monyu. Mu temu eni, amalonzaange mambu ma Bukaghe bu Nzambi.
2c0104009f	Ave amabile nowu va mulambu, amabatsingule rye: «Syalanu wune musyengi Serusaleme, na dukelise pangini adji Tate amadulonze, adji mebeni nyimadutsingule kale.
2c01050058	San amabatise na mambe, tumbe djenu, mu mwa pesu bilumbu, dubatusu mu Yinyuni Yisyeme.»
2c01060097	Djowu bamaghukeme na bamawivule Djesu rye: «Fumu, mu temu edjine wubyatsu kaghe mukute Yisrayele, mumbari wukeghabughe bulongu buneni nane va teghe?»
2c0107006d	Amabawaghule rye: «Dyambu dyenu tsiri udjabe batemu na maweru ame Tadji ami amatsonzighe mu ditase dyandi.»
2c010800b1	Tumbe dudile mangolu, Yinyuni Yisyeme yusundughe mu djenu, na dube bambedji bami ubandile o musyengi Serusaleme, o yinange yi Sudé, o yinange Samari teno masukusulu ma butambe.
2c01090058	Yike emani uvose moni, amamatusu o djulu na va wusu owu, amatsyemughe o ghari madudumbi.
2c010a007c	Nenane djowu bamatsuninaange o djulu ave Djesu amenematilaange, babaale babedji na bidwaru biveme bamasundile wulabene nowu.
2c010b00a4	Na bamavose nowu rye: «Bise Ngalile, dibandu yi dwisutulu na ughengile o djulu? Djesu adjitsimatusu o djulu va ghari enu, oghabughe munongu mosi nane atsimatile.»
2c010c00a4	Bilumbi bamadusughe mukongu awinengulu Olive, na bakeghabughe o musyengi Serusaleme. Mukongu eni umabe va dyasu diveghu musughe ulinge yilumbu yi duvumu yi baSwife.
2c010d00dd	Banotole o musyengi Serusaleme, bakemate o yibuku yi ndaghu ayi djulu, nane na kale. Vamabe Pyere, San, Sake na Andere, Filipe na Tome, Batelemi na Mati, Sake mwane Alefé, Simu awu benengili Selote, na Sudase mwane Sake.
2c010e0077	Djobotsu bamabengunungu temu na temu va mosi mu dusambu, na baghetu, na Mari ngudji Djesu, na baane ba ngudji ba Djesu.
2c010f0070	Mu bilumbu byeni, Pyere amareleme va ghari owu. Durangu du botsu dumabe kame na maghumi-mabedji. Na akevose rye:
2c011000e5	«Baane ba tadji, diwelimine yi pangini adjimabighu mu Bisonu bi Nzambi djuduwusu. Mu Bisonu byeni, Yinyuni Yisyeme amavose vane kale mu munu Davide, mu dyambu di Sudase, awu amabe yibeghe ndonge yi abamarughe o uyighaange Djesu.
2c01110049	Dibaale dyédine, amabe wumosi va ghari etu, na amasalaange va mosi netu.
2c011200a6	Na mbongu atsi amadile mu bukongu bwandi, amasumbe nungi andi. O ghari nungi eni amaberuyile maghuwusu, modji andi wuke pasighe na misopu myotsu mikebe layini va tsi.
2c01130092	Batu botsu ba musyengi Serusaleme bamadiwulu, la dibandu o mbembu owu, bamanengilile nungi eni “Akeldama” diwendi yiri: “Nungi malungu”.»
2c011400b1	Na Pyere amabwele rye: «Mu mughande Nyimbu, disonu rye: “Batu badusuyi mu ndaghu andi, na vayabe mutu wutsane mu djoni.” Na disonu rye: “Mutu mususu abongi mbure andi.”
2c01150077	Vengu tusolanu wumosi va ghari botsu abamayenewendaange konge netu, temu djotsu Fumu Djesu amanangilaange bulongu netu.
2c011600ae	Amabe netu ubandile temu adji San amabatisile Djesu, tena yilumbu ayi amamatile o djulu. Kaboghu, mutu mosi mu yinombu mbé obe mbedji netu, dji durambughu du Djesu o dufu.»
2c0117006d	Bamalase batu babedji: Sosefe awu bamanengilaange «Baresabase», dine dyandi dimosi «Susutuse» na Matyase.
2c0118006b	Bakevaghe dusambu dwedudu: «Fumu, widjabi mirime mi botsu. Tulasi ndebeni, anyi mu mubedji éwuwu, wusole.
2c0119006a	Djandi obe yilumbi, na obonge yisalu va yivinze yi Sudase, omayisile mughabughe o mbure adjimabe djandi.»
2c011a005e	Va djulu vane, bakebwaghe mbande, na Matyase akebwesu mu yinombu yi dighumi na yilumbi yimosi.
2c02010053	Ave yilumbu yi mumengu Patekote yimatolile, bango yitu bamabe baghukeme mbure mosi.
2c02020073	Sundila, nduku djimarughe o djulu, djimabe nane mungudi wuneni. Nduku eni djimabase ndaghu adji bamabe baghukemine.
2c02030065	Kaboghu, bakelabe ndimi nane milutsu mi mudji. Tsikekakunu, tsikesundughe na tsiketsane mu kale mutu.
2c02040074	Botsu bamabasu na Yinyuni Yisyeme na bamabande uvose mambembu masusu, nane Yinyuni amaveyilaange kale mutu mumavose.
2c0205005d	O Serusaleme, wumabe baSwife bamayitsaange Nzambi, bamarughesene mu malongu motsu ma butambe.
2c0206008b	Ave bamawululu nduku eni, yinombu yi batu yikeghukeme. Yimakambulu tinde ukambulu, mumbari kale mutu amabaghulungu uvose mu dilongu dyandi.
2c0207004c	Bamasutu na bakebanyungilaange, novosaange rye: «Batu bebabe, bise Ngalile!
2c02080035	Yike tsyeni twibaghululu, uvose dilongu di mutu-mutu?
2c02090069	Va ghari etu, bamosi bise Patese, Medese, Elame, Mesopotami, o Sudé na Kapadose, basusu bise Pon na Asi,
2c020a006b	Firisi, Pafili, Yisipete, bamosi o musyengi wu Libi adji bambene na Sirene, na botsu abamarughesene o Rome,
2c020b00ca	bise Kerete na Arabi. Va ghari etu, bane bamaburu baSwife, abane wandi bamarughesene o malongu masusu, bamavayile Nzambi baSwife yitu. Yike tsyeni twibaghululu uvose maboti ma Nzambi mu mambembu metu.»
2c020c005a	Botsu bamasutu na bamaghambu na dyuvose. Bamakewivulaange yiri: «Adidi tsyé diwendili?»
2c020d0054	Tumbe basusu, bamapedjingi botsu abamasinge Nzambi novose rye: «Badji mu malangi!»
2c020e00ca	Pyere na dighumi na yilumbi yimosi, bamareleme va ghari mughungi, na Pyere akevose rye: «Bise Sudé, na djenu botsu abe dwitsani o Serusaleme, wulwanu adivyoyi na dyo ngadutsingule, limbighanu matudji.
2c020f0043	Batu beni babe bagha balange nane dwitasili, mumbari wisi aki kedi.
2c0210002a	Tumbe vave, adimavosu na mubiyitsi Sowele:
2c021100c3	“Mu bilumbu bi musitu, me Nzambi, nyuveghe Yinyuni yami mu batu botsu. Baane benu babaale na ba baghetu bobighaange. Minzambu myenu myulabaange biryaryamu, mba binunu byenu byudoraange bandosi.
2c0212007c	Nine, mu bilumbu byébine, nyusunze Yinyuni yami, mu basalitsi bami botsu ba babaale na ba baghetu. Djowu botsu bobighaange.
2c02130061	Menu nyulase bimaghe o djulu, na bilimbe mu butambe, vobe malungu, mudji, na dimungi di nzumbili.
2c02140083	Nyangu djutsime nokalughe piseme, na tsungi djubenge nane malungu, ne yilumbu yi Fumu yike rughe, yilumbu ayube yineni mba yirange.
2c0215002e	Yike batu botsu abonengile Fumu, boghobulu.”
2c021600f8	Bise Yisrayele, wulwanu adi menu ngadutsingule. Djesu mwise Nasarete amabe mutu awu Nzambi amadulase munongu andi. Amadivaghe ave amamuveyile musughe wuvaghe bimaghe na bilimbe bi mangolu. Djandi amadughusu va ghari enu nane djenubeni dwididjabili.
2c0217009b	Nane djabeni Nzambi amakunzile mu dughanu dwandi ne mambu meni makelabene, djenu dumaghangise Djesu na batu baghane yitu, bakemughomine nomuboke va kurusu.
2c0218007d	Tumbe Nzambi amamudjeyise mu maghughe ma dufu, akemughabuse monyu, mumbari Djesu mbé aghorungule ughangu na mangolu ma dufu.
2c02190069	Kaghe Davide amavose mu djandi rye: “Nyimalabaange Fumu va wusu ami, o mabaale mami, mumba ngéregheme.
2c021a0072	Ladibandu, murime ami wumabile mu nzangu, na munu ami wiwimbili na yinyunge. Ne dunyuru dwami dube dubase na yitu,
2c021b007d	mumbari Fumu aghonzile o bulongu bu bobafu, na wughogharu bwé Yibyatsi yaghu Yisyeme, yikebungene wusulemughe o ghari mbine.
2c021c0051	Wumandase manzile amebeyi o monyu, wumbase na nzangu ave nyubile va wusu aghu.”
2c021d00a7	Baane ba tadji, menu nine musughe wudutsingule na bureti mu dyambu di kaaghe etu Davide. Djandi amafu, na amatswighu na mbine andi djikilabene tena vave, va ghari etu.
2c021e0090	Djandi amabighe mumba amadjabaange yiri Nzambi amaleve pesi mu djabeni bwé, wumosi mu bateghule bandi obe yivinze yandi va yitsighe yi bukaghe.
2c021f00a7	Mu posulu eni, Davide amabighe durambughulu du Kirisete o dufu. Adine amavosile rye: “Asamamusile o bulongu bu bobafu, na dunyuru dwandi dusamabole o ghari mbine.”
2c0220004f	Djesu eni nyiranguni, Nzambi amamughabuse monyu. Djetu botswanu tudji bambedji.
2c02210092	Tate Nzambi amamatise Djesu o mabaale mandi. Djandi amamuveghe Yinyuni Yisyeme ayimavangenu. Djawandi amatupuyile yoni, adine dwilabi nowulu vave.
