0100000008	Postanak
171506004b	Jer Gospod mi ovako reče: “Idi, postavi stražara! Što vidi, nek' javi.
1715070074	Vidi li konjanike, jahače udvojene, jahače na magarcima, jahače na devama, neka dobro pazi s pažnjom napetom!”
1715080067	A stražar viknu: “Povazdan, Gospodaru, stojim na stražarnici, čitavu noć na straži prostojim.”
1715090093	I gle, dolaze konjanici, jahači udvojeni. Oni mi viknuše, oni rekoše: “Pade, pade Babilon! Svi kipovi njegovih bogova o zemlju se razbiše.”
17150a0060	Omlaćeno žito, čedo gumna moga, što čuh od Jahve nad Vojskama, Boga Izraelova, objavih vam!
17150b006a	Proroštvo o Edomu. Viču mi iz Seira: “Stražaru, koje je doba noći? Stražaru, koje je doba noći?”
17150c006a	Stražar odgovori: “Dolazi jutro, a zatim opet noć. Hoćete li pitati, pitajte, vratite se, dođite!”
17150d004b	Proroštvo o Arapima. U šikarama pustinjskim počivate, dedanske karavane.
17150e0055	Vodu iznesite pred žedne, stanovnici zemlje temske, iziđite s kruhom pred bjegunca.
17150f005a	Pred mačevima bježe oni, pred mačem trgnutim, pred lukom zapetim, pred bojem žestokim.
1715100065	Da, ovako mi reče Gospod: “Još jedna godina, godina nadničarska, i nestat će sve slave Kedrove.
1715110078	A od mnogobrojnih strijelaca među hrabrim sinovima Kedrovim malo će ih ostati.” Tako je govorio Jahve, Bog Izraelov.
1716010044	Proroštvo o Dolini viđenja: Što ti je da uzlaziš sav na krovove,
1716020076	grade pun vreve, grade bučni, grade razigrani? Pobijeni tvoji ne padoše od mača, nit' u boju poginuše mrtvi tvoji;
171603007f	glavari svi ti zajedno pobjegoše, u ropstvo padoše luka ne napevši. Zasužnjeni su svi tvoji knezovi, zalud umakoše daleko.
1716040063	Zato velim: “Ostavite me, zaplakat ću gorko; nemojte me tješiti zbog uništenja naroda moga.”
1716050081	Jer ovo je dan pometnje i rasula od Jahve, Gospoda nad Vojskama. U Dolini viđenja zid se ruši, vapaj za pomoć diže se u goru.
171606003a	Elam tobolac uzima, Aram konja jaše, a Kir štit otkriva.
1716070045	Krasne doline tvoje pune su bojnih kola, konjanici stižu pred vrata.
1716080051	Tako pada Judi zaštita. U onaj dan svrnuo si pogled na oružje u Šumskoj kući.
1716090053	Vidjeste da u gradu Davidovu ima mnogo pukotina. Sabraste vodu iz Donjega ribnjaka.
17160a0043	Prebrojiste kuće jeruzalemske, porušiste kuće da zid učvrstite.
17160b008b	Između dva zida načiniste spremište za vodu iz starog ribnjaka. Ali se ne obazreste na Tvorca, nit' vidjeste onog što davno sve smisli.
17160c0076	Gospod, Jahve nad Vojskama, pozivaše vas u dan onaj da plačete i tugujete, da obrijete glave i pripašete kostrijet.
17160d007c	A gle: radost i veselje, ubijaju goveda i kolju ovce; jedu meso i piju vino: “Jedimo i pijmo, jer sutra nam je mrijeti.”
17160e007b	Ali Jahve nad Vojskama objavi mi: “Dok ne umrete, grijeh taj neće vam se oprostiti”, reče Jahve, Gospod nad Vojskama.
17160f0066	Ovako govori Jahve, Gospod nad Vojskama: “Hajde, idi k onom dvorjaninu, k Šibni, nadstojniku dvora,
171610008a	koji kleše sebi grob na uzvisini i u stijeni sebi prebivalište usijeca: 'Što tu posjeduješ i koga tu imaš da sebi klešeš grobnicu?'
1716110050	Gle, Jahve će te baciti daleko udarcem jednim jedinim, snažno će te uhvatiti,
17161200a0	smotat će te u klupko, kao loptu te baciti po zemlji širokoj! Ondje ti ćeš umrijeti, s kolima što ti bijahu na slavu, ti, sramoto dvoru svoga gospodara!”
1716130037	Lišit ću te tvoje službe, otjerat te sa tvog mjesta;
1716140033	i pozvat ću svoga slugu Elijakima, sina Hilkijina.
1716150098	Obući ću mu tvoju haljinu, tvojim ću ga pojasom opasat', tvoju ću mu vlast predati u ruke te će biti otac žiteljima jeruzalemskim i kući Judinoj.
1716160077	Metnut ću mu na pleća ključ od kuće Davidove: kad otvori, nitko neće zatvoriti, kad zatvori, nitko neće otvoriti.
1716170054	Kao klin zabit ću ga na tvrdu mjestu; i postat će prijesto slave domu oca svojega.
1716180078	O njega će se vješati sva slava njegova doma očinskog, izdanci i potomstvo, sve malo posuđe, od zdjelica do ćupova.
17161900b7	U onaj dan - riječ je Jahve nad Vojskama - izvući će se klin zabijen na tvrdu mjestu, slomit će se i pasti. I sav teret što je visio na njemu razbit će se, jer je Jahve govorio.
171701007e	Proroštvo o Tiru. Kukajte, lađe taršiške, jer vaša je tvrđa razorena! Javljeno im je dok se iz kitimske vraćahu zemlje.
1717020061	Umuknite, stanovnici primorja, trgovci sidonski, kojih su glasnici brodili morem po vodi velikoj.
1717030055	Sjetva Nila, žetva Rijeke, bijaše njegovo bogatstvo. On bijaše sajmište narodima.
1717040076	Stidi se, Sidone, jer more govori: “Ne hvataju me trudovi niti rađam, ne odgajam momaka nit' podižem djevojaka.”
171705002f	Uzdrhtat će Egipćani kad o Tiru vijest čuju.
1717060033	Otplovite u Taršiš, kukajte, stanovnici primorja.
1717070064	Je li to vaš grad veseli što postoji od davnih davnina i noge ga daleko nosile da se ondje naseli?
1717080068	Tko li je to odlučio protiv Tira okrunjenog, kojeg trgovci bijahu knezovi a prekupci odličnici zemlje?
171709005b	Jahve nad Vojskama odluči tako da osramoti ponosnu slavu, da ponizi sve odličnike zemlje.
17170a003a	Obrađuj zemlju, kćeri taršiška, tvoje luke više nema!
17170b0068	Ruku svoju Gospod diže na more i kraljevstvima zadrma. Zapovjedi Jahve da se razore tvrđave kanaanske.
17170c007e	Rekao je: “Nećeš više klikovati, okaljana djevice, kćeri sidonska!” Ustani i idi u Kitim; ni ondje nećeš imati mira.
17170d0053	Evo zemlje kitimske ... podižu se kule opsadne, razaraju utvrde, sve je ruševina.
17170e0038	Kukajte, brodovi taršiški, razorena je vaša tvrđava!
17170f00a5	Dogodit će se, u onaj dan, da će Tir biti zaboravljen sedamdeset godina, kao dani jednoga kralja. A poslije sedamdeset godina Tiru će biti kao bludnici iz pjesme:
171710006b	“Uzmi citaru i skići se gradom, bludnice zaboravljena! Sviraj lijepo, pjevaj mnogo, da te se spomenu!”
17171100a5	Poslije sedamdeset godina pohodit će Jahve Tir. I grad će opet dobivati svoju plaću bludničku. Podavat će se bludu sa svim kraljevstvima svijeta na licu zemlje.
17171200bb	Ali će njegova dobit i plaća biti posvećena Jahvi; neće se zgrtati ni čuvati, nego će njegova dobit biti za one koji prebivaju pred Jahvom da imaju hrane do sita i doličnu odjeću.
1718010056	Gle, Jahve razvaljuje zemlju, razara je, nakazi joj lice, raspršuje stanovnike njene.
17180200a1	Svećenik će biti k'o i narod, gospodar k'o i sluga, gospodarica k'o i sluškinja, prodavač k'o i kupac, zajmodavac k'o i zajmoprimac, vjerovnik k'o i dužnik.
1718030047	Opustošena će biti zemlja, opljačkana sasvim, jer je Jahve odlučio.
1718040040	Zemlja tuži, vene, svijet gine, gasne, nebo sa zemljom propada.
171805006f	Oskvrnjena je zemlja pod žiteljima svojim, jer prestupiše Zakon, pogaziše odredbu, Savez vječni razvrgoše.
171806007c	Zato prokletstvo proždire zemlju, okajavaju stanovnici njeni. Zato su sažgani žitelji zemljini i malo je ljudi preostalo.
171807003c	Vino tuguje, loza vene, uzdišu svi što bijahu srca vesela.
1718080052	Prestalo je veselje uz bubnje, zamrla je graja razigrana; umukla je glazba citara.
1718090037	Ne pije se više vino uz pjesmu, ogrknu piće silovito.
17180a0037	Razoren je grad ništavila, zatvoren ulaz svim kućama.
17180b004e	Jauk po ulicama zbog vina, nesta svakog veselja, radost je iz zemlje prognana.
17180c0039	Tek pustoš ostade u gradu, u trijeske smrskana su vrata.
17180d006a	Jer tako se zbiva na zemlji, među narodima, kao kad se oberu masline il' paljetkuje grožđe nakon berbe.
17180e0048	Oni glas podižu, kliču od radosti; uznose s mora veličajnost Jahvinu.
17180f004b	I na istoku ime Jahve slave oni, na otocima mora ime Jahve, Boga Izraelova.
17181000ac	S kraja zemlje čujemo pjesme: “Slava Pravedniku!” Ali ja kažem: “Propadoh! Propadoh! Jao meni! Vjerolomci se iznevjeriše, nevjerom se, vjerolomci, iznevjeriše.”
171811002a	Strava, jama, zamka tebi, žitelju zemlje:
171812009c	tko pred glasom strave uteče u jamu će upasti; tko se iz jame izvuče zamka će ga uhvatit'. Da, otvorit će se ustave u visini i zatresti zemlji temelji.
171813005c	Zemlja će se grozno razbiti, zemlja će se strašno raspući, zemlja će se silno uzdrmati,
1718140089	zemlja će zateturati poput pijanca, zanjihat se poput kolibe; toliko će joj otežati bezakonje njeno da će pasti i neće više ustati.
171815006b	I dogodit će se u onaj dan: Jahve će kazniti u visini Vojsku nebesku, a na zemlji sve kraljeve zemaljske;
171816005b	bit će sakupljeni i zasužnjeni u jami, zatvoreni u tamnicu i nakon mnogih dana kažnjeni.
1718170096	Pocrvenjet će mjesec, postidjet se sunce, jer će kraljevati Jahve nad Vojskama na gori Sionu i u Jeruzalemu i Slava će mu sjati pred starješinama.
1719010078	Jahve, ti si Bog moj, uznosim te, tvoje ime slavim, jer si proveo čudesan naum, smišljen od davnine, istinit i vjeran,
171902008e	jer grad si pretvorio u hrpu kamenja, a mjesto utvrđeno u ruševine. Tvrđa neprijateljska više nije grad, dovijeka se više obnoviti neće.
171903003f	Zato te slavi narod snažan, grad moćnih plemena tebe se boji;
1719040095	jer ti si utočište nevoljnom, utočište ubogom u nevolji; ti si skrovište od pljuska i od žege zaklon, jer ćud je silnička kao pljusak zimski;
171905007c	kao žega nad zemljom sušnom ti gušiš graju neprijatelja; kao žega sjenom oblaka prekinu se silniku pjesma pobjednička.
171906008f	I Jahve nad Vojskama spremit će svim narodima na ovoj gori gozbu od pretiline, gozbu od izvrsna vina, od pretiline sočne, od vina staložena.
1719070066	Na ovoj gori on će raskinuti zastor što zastiraše sve narode, pokrivač koji sva plemena pokrivaše
1719080090	i uništit će smrt zasvagda. I suzu će sa svakog lica Jahve, Gospod, otrti - sramotu će svog naroda na svoj zemlji skinuti: tako Jahve reče.
17190900a2	I reći će se u onaj dan: “Gle, ovo je Bog naš, u njega se uzdasmo, on nas je spasio; ovo je Jahve u koga se uzdasmo! Kličimo i veselimo se spasenju njegovu,
17190a006e	jer ruka Jahvina na ovoj gori počiva!” Moab je izgažen na svome mjestu kao što se gazi slama na buništu;
17190b0083	ondje on razmahuje rukama kao što ih razmahuje plivač kada pliva. Ali Jahve obara njegovu ponositost i propinjanja ruku njegovih.
17190c0048	Visoku tvrđu tvojih zidina on razvaljuje, na zemlju baca, u prah ruši.
171a010076	U onaj dan pjevat ću ovu pjesmu u zemlji Judinoj: “Tvrd grad mi imamo: za obranu nam On podiže zidove i predziđa.
171a02003d	Otvorite vrata! Nek' uđe narod pravedni koji čuva vjernost,
171a030039	čiji je značaj čvrst, koji čuva mir jer se u te uzda.
171a04003a	Uzdajte se u Jahvu dovijeka, jer Jahve je Stijena vječna;
171a050061	on obara one koji obitavahu visoko, razvaljuje tvrđu visoku, ruši u prah, sravnjuje sa zemljom,
171a060033	te je gaze noge, noge ubogih i koraci nevoljnih.”
171a070034	Put je pravednikov prav, ti ravniš stazu pravednom.
171a08005f	Da, na stazi tvojih sudova željno te, Jahve, čekamo; ime tvoje i spomen tvoj duša nam žudi.
171a090098	Dušom svojom žudim tebe noću i duhom svojim u sebi te tražim. Jer kad se na zemlji pojave tvoji sudovi, uče se pravdi stanovnici kruga zemaljskoga.
171a0a0082	Ako se pomiluje opaki, on se ne uči pravednosti. U zemlji pravednosti on čini bezakonje i ne obazire se na veličanstvo Jahvino.
171a0b00a1	Jahve, ruka je tvoja podignuta, a oni je ne vide. Nek' vide i postide se, nek' ih proguta revnost za narod, nek' ih proždre oganj pripravljen dušmanima tvojim.
171a0c003e	Jahve, ti mir nama daješ, jer ti si tvorac svih djela naših.
171a0d0068	Jahve, Bože naš, gospodarili su nama osim tebe drugi gospodari, ali tebe jedinog, ime tvoje, častimo.
171a0e006a	Mrtvi neće oživjeti, sjene neće uskrsnuti, jer ti si ih kaznio i uništio i zatro svaki spomen na njih!
171a0f0058	Umnožio si narod, Jahve, umnožio si narod, proslavio se, proširio sve granice zemlje!
171a100057	Jahve, tražili su te u nevolji; izlijevali tihu molitvu, kad ih je stigla tvoja kazna.
171a110060	Kao što se trudna žena pred porođajem grči i viče u bolovima, takvi smo, Jahve, pred tobom.
171a120075	Zatrudnjeli smo, u mukama smo kao da rađamo, nismo donijeli duha spasenja zemlji nit' se rodiše stanovnici svijeta.
171a1300a2	Tvoji će mrtvi oživjeti, uskrsnut će tijela. Probudite se i kličite, stanovnici praha! Jer rosa je tvoja - rosa svjetlosti, i zemlja će sjene na svijet dati.
171a140060	Hajde, narode moj, uđi u sobe i vrata za sobom zatvori. Sakrij se časkom dok jarost ne prođe.
171a1500d2	Jer, gle, izići će Jahve iz svog prebivališta da stanovnike zemljine kazni što se o njeg' ogriješiše. Izbacit će zemlja svu krv što je na njoj prolivena i neće više kriti onih koji su na njoj poklani.
171b01008a	U onaj dan kaznit će Jahve mačem ljutim, velikim i jakim Levijatana, zmiju hitru, Levijatana, zmiju vijugavu, i ubit će zmaja morskoga.
171b02002d	U onaj dan pjevajte mu, vinogradu vinorodnom:
171b030061	Ja, Jahve, njega čuvam, svaki čas ga zalijevam, i da ga tko ne ošteti, danju i noću stražim.
171b04006b	Nema gnjeva u meni! Nek' se trnje i drač samo pojavi, protiv njega ustat ću u boj, svega ću ga sažgati!
171b050050	Ili u moje nek' dođe okrilje, neka sklopi mir sa mnom, mir neka sklopi sa mnom!
171b06006c	Dolaze dani kad će se ukorijeniti Jakov, razgranit' se i procvasti Izrael, i sav svijet plodovima napuniti.
171b070060	Je li ga udario kako udari one koji njega udarahu? Je li ga ubio kako ubi one koji njega ubiše?
171b08004d	Za kaznu ga potjera, izagna, odnese ga silnim dahom svojim u dan istočnjaka.
171b0900da	Tako će se okajati bezakonje Jakovljevo; a ovo je sve plod oproštenja grijeha njegova. Neka se smrve svi kamenovi žrtvenika kao što se u prah drobi krečno kamenje! Nek' se više ne dižu ašere i sunčani stupovi!
171b0a0073	Jer opustje tvrdi grad, naselje je poharano, napušteno kao pustinja. Telad ondje pase - leži ondje, grmlje brsti.
171b0b0096	Kad mu se osuše grane, lome ih, dolaze žene i oganj pale. Jer to je narod nerazuman, zato ga neće žaliti Stvoritelj, Tvorac mu se neće smilovati.
171b0c007a	Jahve će u dan onaj klasje vrijeći od Eufrata do Potoka egipatskog, i bit ćete pobrani jedan po jedan, djeco Izraelova.
171b0d00b1	U onaj dan zatrubit će velika trublja, i doći će izgubljeni u zemlji asirskoj, i koji bijahu izgnani u zemlju egipatsku, i poklonit će se Jahvi na Svetoj gori, u Jeruzalemu.
171c010081	Teško gizdavu vijencu pijanica Efrajimovih, uvelu cvijetu blistava mu nakita - onima što uvrh plodnog dola leže vinom opijeni!
171c020082	Evo, od Gospoda jaki i moćni, kao pljusak s tučom, kao vihor razorni, prolom oblaka i povodanj, i svom ih snagom na zemlju baca.
171c03003b	Bit će izgažen nogama gizdav vijenac pijanica Efrajimovih
171c04007d	i uveo cvijet blistava mu nakita uvrh plodnih dolina; bit će kao rana smokva prije ljeta: čim je tko spazi, odmah je ubere.
171c05005c	U onaj dan Jahve nad Vojskama postat će kruna slave i sjajan vijenac Ostatku svoga naroda -
171c06005e	duh pravde onome koji sjedi na stolici sudačkoj i srčanost onome koji odbija napad na vrata.
171c0700b6	Oni posrću od vina, teturaju od žestoka pića: svećenici i proroci od žestoka pića posrću; omami ih vino; teturaju od žestoka pića, posrću u viđenjima, ljuljaju se sudeći.
171c080042	Svi su stolovi puni gnusnih bljuvotina, nigdje čista mjesta nema!
171c09006a	“Koga on to uči mudrosti, koga on upućuje u objavu? Zar djecu odviknutu od mlijeka odbijenu od prsiju?
171c0a0048	Sav la-sav, sav la-sav, kav la-kav, kav la-kav, zeer šam, zeer šam.”
171c0b0042	Da, mucavim usnama i na stranom jeziku govorit će se ovom narodu.
171c0c0065	On im reče: “Evo počinka, dajte umornom da otpočine! Evo odmora!” Ali ne htjedoše poslušati.
171c0d00a8	Zato će im Jahve ovako govoriti: “Sav la-sav, sav la-sav, kav la-kav, kav la-kav, zeer šam, zeer šam”, da hodeći padnu nauznak, da se razbiju, zapletu i uhvate.
171c0e0060	Stoga čujte riječ Jahvinu, vi podsmjevači, vi što vladate narodom ovim koji je u Jeruzalemu.
171c0f00bf	Vi velite: “Sklopismo savez sa smrću i s Podzemljem učinismo sporazum. Kad prođe bič razorni, ne, neće nas dohvatiti, jer od laži načinismo sebi sklonište i od obmane skrovište.”
171c100093	Stog ovako govori Jahve Gospod: “Evo, postavljam na Sion kamen odabrani, dragocjen kamen ugaoni, temeljac. Onaj koji u nj vjeruje neće propasti.
171c11007c	I uzet ću pravo za mjeru, a pravdu za tezulju.” I tuča će vam zastrti sklonište od laži, a voda otplaviti skrovište;
171c120078	propast će savez vaš sa smrću, vaš sporazum s Podzemljem održat' se neće. Kada bič razorni prođe, satrt će vas;
171c13006e	kad god prođe, dohvatit će vas; prolazit će svako jutro, danju i noću. Samo će vas strah uputit u objavu.
171c140050	Prekratka će bit' postelja da se čovjek pruži, preuzak pokrivač da se umota.
171c1500a8	Da, kao na gori Perasimu, Jahve će ustati, kao u Dolini gibeonskoj, on će se razjariti, da izvrši djelo svoje, djelo čudnovato, da ispuni naum svoj, naum tajnoviti.
171c160088	Podsmijevanja se okanite, da vas jače okovi ne stegnu; jer čuh da je od Gospoda, Jahve nad Vojskama, zemlji ovoj dosuđeno uništenje.
171c17003e	Poslušajte i čujte glas moj, prisluhnite pomno moju besjedu.
171c180034	Ore li orač svakog dana, brazdi, brana njivu svoju?
171c190082	A kad joj poravna površinu, ne sije li grahor, ne sipa li kumin? Pšenicu gdje treba, proso i ječam, i napokon raž po rubovima?
171c1a0030	Bog ga njegov upućuje, on ga uči djelu pravom.
171c1b006c	Ne mlati se grahor cijepom, nećeš točkom po kuminu, već se grahor štapom mlati, a kumin se prutom lupa.
171c1c007c	A da li se žito tare? Ne, nećeš ga dovijeka mlatiti: po njem ćeš pognat kolski točak i konje, ali ga zdrobiti nećeš.
171c1d0047	I to dolazi od Jahve nad Vojskama, savjetom divnog, mudrošću velikog.
171d01006d	Teško Arielu! Arielu, gradu što ga opkoli David! Nek' se niže godina na godinu, nek' se izredaju blagdani,
171d02004c	pa ću pritisnuti Ariel i nastat će jauk i lelek. Za mene ćeš biti Ariel,
171d03004b	opkolit ću te kao David, rovovima okružiti, suprot tebi nasipe ću dići.
171d040096	Oboren govorit ćeš sa zemlje, iz praha mucat' riječju prigušenom, glas će ti se iz zemlje dizat' kao pokojnikov, iz praha ćeš šaptati besjedu.
171d050072	Kao sitna prašina bit će mnoštvo tvojih dušmana, kao pljeva razvijana - rulja silnika: i odjednom, u tren oka:
171d060078	pohodit će te Jahve nad Vojskama grmljavinom, tutnjem, bukom velikom, vihorom, olujom i plamenim ognjem što proždire.
171d0700a3	Bit će k'o san, utvara noćna: mnoštvo svih naroda što vojuje s Arielom i svih onih koji zavojštiše na nj i na utvrde njegove i koji ga odasvud pritijesniše.
171d0800cd	Bit će kao kad gladan sanja da jede, a probudi se prazna želuca; i kao kad žedan sanja da pije, pa se, iznemogao, suha grla probudi. Tako će se dogoditi mnoštvu naroda koji vojuju protiv Gore sionske.
171d090073	Stanite, skamenite se od čuda, oslijepite i obnevidite! Pijani su, ali ne od vina, posrću, ali ne od silna pića.
171d0a0065	Jahve je izlio na vas duh obamrlosti, zatvorio je oči vaše - proroke, zastro glave vaše - vidioce.
171d0b00bc	Zato će vam svako viđenje biti kao riječi u zapečaćenoj knjizi: dade li se kome tko zna čitati govoreći: “De, čitaj to!” - on će odgovoriti: “Ne mogu jer je zapečaćena.”
171d0c006b	A dade li se kome tko ne zna čitati govoreći: “Čitaj to!” - on će odvratiti: “Ne znam čitati.”
171d0d0098	Jahve reče: “Jer mi narod ovaj samo ustima pristupa i samo me usnama časti, a srce mu je daleko od mene i njegovo štovanje naučena ljudska uredba,
171d0e009c	zato ću, evo, i dalje čudno postupati s ovim narodom - čudno i prečudno: i propast će mudrost njegovih mudraca, pomračit se umnost njegovih umnika.”
171d0f0083	Teško onima koji se od Jahve kriju da bi svoje sakrili namjere i koji u mraku djeluju i zbore: “Tko nas vidi i tko nas pozna?”
171d1000b0	Kolike li naopakosti vaše! Cijeni li se glina kao lončar, pa da djelo rekne svome tvorcu: “NIje me on načinio”? Ili lonac da rekne lončaru: “On ne razumije ništa”?
171d11004f	Neće li se naskoro Libanon u voćnjak pretvoriti, a voćnjak izroditi u šumu?
171d120061	I čut će u onaj dan gluhi riječi knjige; oslobođene mraka i tmine, oči će slijepih vidjeti.
171d130051	A siromasi će se opet radovati u Jahvi, najbjedniji će klicat' Svecu Izraelovu,
171d14005c	jer neće više biti silnika, nestat će podsmjevača, istrijebit će se svi koji zlo snuju:
171d15006d	oni koji riječju druge okrivljuju, oni koji na vratima sucu postavljaju zamku i nizašto obaraju pravednika.
171d16008d	Zato ovako govori Jahve, Bog kuće Jakovljeve, koji otkupi Abrahama: “Neće se odsad više stidjeti Jakov i više mu neće lice blijedjeti,
171d17007b	jer kad vidi usred sebe djelo mojih ruku, svetit će ime moje.” Svetit će Sveca Jakovljeva, bojat će se Boga Izraelova.
171d180047	Zabludjeli duhom urazumit će se, a oni što mrmljaju primit će pouku.
171e010098	Teško sinovima odmetničkim! - riječ je Jahvina. Oni provode osnove koje nisu moje, sklapaju saveze koji nisu po mom duhu i grijeh na grijeh gomilaju.
171e02006d	Zaputiše se u Egipat, ne pitajući usta moja, da se uteku faraonovu zaklonu i da se zaštite u sjeni Egipta.
171e030047	Zaklon faraonov bit će na sramotu, i na ruglo zaštita u sjeni Egipta.
171e040037	Eno mu knezova već u Soanu, podanici stigoše u Hanes:
171e050070	svi će se oni razočarati u narodu beskorisnom, neće im biti na pomoć ni na korist, već na sramotu i porugu.
171e0600d0	Proroštvo o negepskim životinjama. Kroza zemlju nevolje i bijede, lavice i lava koji riču, ljutice i zmaja krilatog, nose oni blago na leđima magaraca i bogatstvo na grbi deva, nose ga narodu beskorisnom.
171e07004b	Jer prazna je i ništavna pomoć Egipta, zato ga i zovemo: Rahab - danguba.
171e080055	Ded napiši na ploču i zapiši u knjigu da vremenima budućim svjedočanstvo ostane.
171e090057	Ovo je narod odmetnički, sinovi lažljivi, sinovi koji neće da slušaju Zakon Jahvin.
171e0a008c	Vidovitima oni govore: “Okanite se viđenja!” a vidiocima: “Ne prorokujte istinu! Govorite nam što je ugodno, opsjene nam prorokujte!
171e0b004f	Skrenite s puta, zastranite sa staze, uklonite nam s očiju Sveca Izraelova!”
171e0c007b	Stog' ovako zbori Svetac Izraelov: “Jer riječ ovu odbacujete, a uzdate se u opačinu i prijevaru i na njih se oslanjate,
171e0d0059	grijeh će vam taj biti poput pukotine, visoko na zidu izbočene, koja prijeti rušenjem.
171e0e00ab	Da se sruši k'o što se glinen sud razbije, slupan nemilice, te mu se među krhotinama ne nađe ni rbine, žerave da uzmeš s ognjišta il' zagrabiš vode iz studenca.”
171e0f0089	Jer ovako govori Jahve Gospod, Svetac Izraelov: “Mir i obraćenje - spas vam je, u smirenu uzdanju snaga je vaša. Ali vi ne htjedoste.
171e100092	Rekoste: 'Ne! Pobjeći ćemo na konjima!' - i zato, bježat ćete! 'Na brzim ćemo konjima jahati!' - i zato, bit će brži vaši neprijatelji!”
171e1100a2	Pobjeći će vas tisuća kad jedan zaprijeti, zaprijete li petorica, u bijeg ćete nagnut' dok vas ne preostane k'o kopljača na vrhu gore il' na brijegu zastava.
171e12008d	Al' Jahve čeka čas da vam se smiluje, i stog izglÄedÄa da vam milost iskaže, jer Jahve je Bog pravedan - blago svima koji njega čekaju.
171e130091	Da, puče sionski koji živiš u Jeruzalemu, više ne plači! Čim začuje vapaj tvoj, odmah će ti se smilovati; čim te čuje, uslišit će te.
171e14008a	Hranit će vas Gospod kruhom tjeskobe, pojiti vodom nevolje, al' se više neće kriti tvoj Učitelj - oči će ti gledati Učitelja tvoga.
171e15007e	I uši će tvoje čuti riječ gdje iza tebe govori: “To je put, njime idite”, bilo da vam je krenuti nadesno ili nalijevo.
171e16007e	Smatrat ćeš nečistima svoje srebrne kumire i pozlatu svojih kipova; odbacit ćeš ih kao nečist i reći im: “Napolje!”
171e1700ad	A on će dati kišu tvojem sjemenu što ga posiješ u zemlju, i kruh kojim zemlja urodi bit će obilat i hranjiv. Stoka će tvoja pasti u onaj dan po prostranim pašnjacima.
171e18005a	Volovi i magarci što obrađuju zemlju jest će osoljenu krmu, ovijanu lopatom i vijačom.
171e19007c	I na svakoj gori i na svakome povišenom brijegu bit će potoka i rječica - u dan silnoga pokolja kad se kule budu rušile.
171e1a00d9	Tada će svjetlost mjesečeva biti kao svjetlost sunčana, a svjetlost će sunčana postati sedam puta jača, kao svjetlost sedam dana - u dan kad Jahve iscijeli prijelom svojemu narodu, izliječi rane svojih udaraca.
171e1b007d	Gle, ime Jahve izdaleka dolazi, gnjev njegov gori, dim je neizdrživ. Usne su mu pune jarosti, jezik mu oganj što proždire.
171e1c008c	Dah mu je kao potok nabujali što do grla seže. On dolazi da prosije narode rešetom zatornim, da stavi uzde zavodljive u čeljusti naroda.
171e1d0098	Tad će vam pjesma biti kao u noćima blagdanskim, kad su srca vesela kao u onoga koji uza zvuke frule hodočasti na Goru Jahvinu, k Stijeni Izraelovoj.
171e1e0090	Jahve će zagrmjet glasom veličajnim i pokazat ruku svoju što udara u jarosnu gnjevu, sred ognja zatornog, iz olujna pljuska i krupÄe kamene.
171e1f0035	Od glasa Jahvina prepast će se Asur, šibom ošinut.
171e200083	I kad god ga udari šiba kaznena, kojom će ga Jahve išibati, nek' se oglase bubnjevi i citare - u sav jek boja on s njima ratuje!
171e210096	Odavna je pripravljen Tofet za Moleka - lomača visoka, široka, mnogo ognja, mnogo drvlja. Dah gnjeva Jahvina, kao potok sumporni, njega će spaliti.
171f0100bf	Teško onima što slaze u Egipat po pomoć i nadu u konje polažu te se uzdaju u mnoga kola i u mnoštvo konjanika, ne gledajuć' s uzdanjem u Sveca Izraelova i od Jahve savjeta ne tražeć'.
171f020081	Al' i on je mudar i navalit će zlo, i neće poreć' svojih prijetnja; on će ustat' na dom zlikovački i na pomoć zločinačku.
171f0300a2	Egipćanin je čovjek, a ne Bog; konji su mu meso, a ne duh; kada Jahve rukom mahne, posrnut će pomagač i past će onaj komu pomaže - svi će zajedno propasti.
171f0400fc	Da, ovako mi reče Jahve: Kao što lav ili lavić nad plijenom reži, pa i kad se strči na njega mnoštvo pastira, on se ne prepada vike njihove, nit' za njihovu graju mari - tako će Jahve nad Vojskama sići da vojuje za goru Sion, za visinu njezinu.
171f050080	Kao ptice što lepršaju krilima, Jahve nad Vojskama zaklanjat će Jeruzalem, zaklanjat' ga, izbaviti, poštedjet' ga i spasiti.
171f060040	Vratite se onome od kog otpadoste tako duboko, sinovi Izraelovi.
171f07006a	Da, u onaj će dan svatko prezreti svoje kumire srebrne i zlatne što ih rukama sebi za grijeh načiniste.
171f08008b	Asur neće pasti od mača ljudskoga: proždrijet će ga mač, ali ne čovječji. Od mača će bježat', al' će mu satnici pod tlaku pasti.
171f0900a2	Užasnut, ostavit će svoju hridinu, prestravljeni, knezovi od svoje će bježat' zastave - riječ je Jahve, čiji je oganj na Sionu i čija je peć u Jeruzalemu.
1720010039	Evo po pravdi kralj kraljuje, po pravici vladaju knezovi:
172002006b	svaki je kao zavjetrina, utočište od nevremena, kao u sušnoj zemlji potoci, kao sjena u žednoj pustari.
1720030052	Oči vidovitih neće više biti slijepe, uši onih što čuju slušat će pozorno;
1720040052	srce nerazumnih shvaćat će mudrost, mucavci će govorit' okretno i razgovijetno;
