0100000009	UGenesisi
0c09070099	Njalo uzatshaya indlu kaAhabi inkosi yakho, ukuze ngiphindisele igazi lenceku zami abaprofethi, legazi lazo zonke inceku zeNkosi, esandleni sikaJezebeli.
0c0908007a	Yonke-ke indlu kaAhabi izabhubha; njalo ngizaquma asuke kuAhabi ochamela emdulini, lovalelweyo lokhululekileyo koIsrayeli.
0c09090073	Njalo ngizakwenza indlu kaAhabi njengendlu kaJerobhowamu indodana kaNebati lanjengendlu kaBahasha indodana kaAhiya.
0c090a0072	Lezinja zizakudla uJezebeli esabelweni seJizereyeli, njalo kakuyikuba lomngcwabayo. Laselivula umnyango, labaleka.
0c090b009f	Kwathi uJehu esephumele encekwini zenkosi yakhe, omunye wathi kuye: Kulungile yini? Luzeleni loluhlanya kuwe? Wasesithi kuzo: Liyamazi lumuntu lenkulumo yakhe.
0c090c0097	Zasezisithi: Manga! Sitshele khathesi. Wasesithi: Ukhulume ukuthi lokuthi kimi esithi: Itsho njalo iNkosi: Ngikugcobile ube yinkosi phezu kukaIsrayeli.
0c090d0094	Zaseziphangisa, zathatha, ngulowo lalowo isembatho sakhe, zazibeka ngaphansi kwakhe engqongeni yezikhwelo, zavuthela uphondo, zathi: UJehu uyinkosi!
0c090e00b4	Ngokunjalo uJehu indodana kaJehoshafathi indodana kaNimshi wamenzela ugobe uJoramu. (UJoramu wagcina-ke iRamothi-Gileyadi, yena loIsrayeli wonke, ngenxa kaHazayeli inkosi yeSiriya;
0c090f00f6	kodwa uJehoramu inkosi wayesebuyelele ukwelatshwa eJizereyeli ngamanxeba amaSiriya ayemtshaye wona ekulweni kwakhe loHazayeli inkosi yeSiriya.) UJehu wasesithi: Aluba kuyintando yenu, kakungaphumi ophunyukileyo emzini ukuyabika lokhu eJizereyeli.
0c09100080	UJehu wasekhwela inqola, waya eJizereyeli, ngoba uJoramu wayelele khona, loAhaziya inkosi yakoJuda wayehle ukuthi abone uJoramu.
0c091100bd	Umlindi wayemi-ke emphotshongweni eJizereyeli, wabona ixuku likaJehu, yena esiza, wathi: Ngibona ixuku. UJehoramu wathi: Thatha umgadi webhiza umthume ukubahlangabeza, athi: Yikuthula yini?
0c091200d7	Wasehamba umgadi webhiza ukumhlangabeza, wathi: Itsho njalo inkosi: Yikuthula yini? UJehu wasesithi: Ulani lokuthula? Phendukela ngemva kwami. Umlindi wasebika esithi: Isithunywa sesifikile kibo, kodwa kasiphenduki.
0c09130094	Yasithuma umgadi webhiza wesibili, wafika kibo wathi: Itsho njalo inkosi: Yikuthula yini? UJehu wasesithi: Ulani lokuthula? Phendukela ngemva kwami.
0c09140093	Umlindi wasebika wathi: Usefikile kibo, kodwa kaphenduki. Lokutshayela kufanana lokutshayela kukaJehu indodana kaNimshi, ngoba utshayela okohlanya.
0c091500ea	UJehoramu wasesithi: Bophelani. Basebebophela inqola yakhe. UJehoramu inkosi yakoIsrayeli loAhaziya inkosi yakoJuda basebephuma, ngulowo lalowo enqoleni yakhe, baphuma ukuhlangabeza uJehu, bamthola esiqintini sikaNabothi umJizereyeli.
0c091600a4	Kwasekusithi uJehoramu ebona uJehu wathi: Yikuthula yini, Jehu? Wasesithi: Ukuthula bani, selokhu ukuwula kukaJezebeli unyoko lokuthakatha kwakhe kukunengi kangaka?
0c09170054	UJehoramu wasephendula izandla zakhe wabaleka, wathi kuAhaziya: Yinkohliso, Ahaziya!
0c0918008f	UJehu wasedonsisisa idandili, watshaya uJehoramu phakathi kweziphanga zakhe, lomtshoko waphuma enhliziyweni yakhe, wasekhothama enqoleni yakhe.
0c091900c0	Wasesithi kuBidikari induna yakhe: Mphakamise, umphosele esiqintini sensimu kaNabothi umJizereyeli; ngoba khumbula mina lawe sigade sobabili ngemva kukaAhabi uyise, iNkosi yamethesa lumthwalo:
0c091a00c7	Ngibonile isibili izolo igazi likaNabothi legazi lamadodana akhe, itsho iNkosi, ngizaphindisela kuwe kulesisiqinti, itsho iNkosi. Ngakho-ke mphakamise umphosele kulesisiqinti, njengokwelizwi leNkosi.
0c091b00d0	UAhaziya inkosi yakoJuda esebonile lokhu wabaleka, ngendlela yendlu yesivande. UJehu wasexotshana laye, wathi: Mtshayeni laye enqoleni, emqansweni weGuri elingaseIbileyamu. Wasebalekela eMegido, wafela khona.
0c091c0064	Inceku zakhe zasezimthwala zamusa eJerusalema, zamngcwaba engcwabeni lakhe kuboyise emzini kaDavida.
0c091d0059	Ngomnyaka wetshumi lanye kaJoramu indodana kaAhabi, uAhaziya waba yinkosi phezu kukaJuda.
0c091e0072	UJehu esefikile eJizereyeli, uJezebeli wakuzwa. Wasecomba amehlo akhe, wacecisa ikhanda lakhe, walunguza ngewindi.
0c091f0059	Lapho-ke uJehu engena esangweni, wasesithi: Yikuthula yini, Zimri, mbulali wenkosi yakho?
0c09200079	Wasephakamisela ubuso bakhe ewindini, wathi: Ngubani ongakimi? Ngubani? Kwasekulunguza kuye abathenwa ababili, abathathu.
0c09210084	Wasesithi: Mphoseleni phansi. Basebemphosela phansi; lelinye legazi lakhe lachaphakela emdulini lemabhizeni; wasemnyathelela phansi.
0c09220065	Wasengena wadla wanatha, wathi: Ake libone lo umqalekiswakazi limngcwabe, ngoba uyindodakazi yenkosi.
0c09230063	Basebesiyamngcwaba, kodwa kabaficanga lutho olwakhe ngaphandle kokhakhayi lenyawo lempama zezandla.
0c092400b4	Ngakho babuyela bamtshela; wasesithi: Leli yilizwi leNkosi eyalikhuluma ngesandla senceku yayo uElija umTishibi lisithi: Esiqintini seJizereyeli izinja zizakudla inyama kaJezebeli;
0c09250079	lesidumbu sikaJezebeli sizakuba njengomquba ebusweni bomhlabathi esiqintini seJizereyeli, ukuze bangathi: Lo nguJezebeli.
0c0a0100b9	Njalo uAhabi wayelamadodana angamatshumi ayisikhombisa eSamariya. UJehu wasebhala izincwadi, wazithumela eSamariya kubabusi beJizereyeli, abadala, lakubondli bamadodana kaAhabi, esithi:
0c0a020084	Ngakho-ke nxa lincwadi ifika kini, lokhu amadodana enkosi yenu akini, futhi izinqola lamabhiza kukini, lomuzi obiyelweyo, lezikhali,
0c0a030093	ziboneleni-ke ongcono kakhulu lofaneleyo kulabo bonke ebantwaneni benkosi yenu, limbeke esihlalweni sobukhosi sikayise, lilwele indlu yenkosi yenu.
0c0a04006e	Kodwa besaba kakhulukazi bathi: Khangelani, amakhosi amabili kawemanga phambi kwakhe; thina-ke sizakuma njani?
0c0a0500c9	Umphathi wendlu lomphathi womuzi labadala labondli babantwana bathumela kuJehu besithi: Siyizinceku zakho, sizakwenza konke okutshoyo kithi. Kasiyikubeka muntu abe yinkosi. Yenza okuhle emehlweni akho.
0c0a06010e	Wasebabhalela incwadi okwesibili esithi: Uba lingabami, lilalela ilizwi lami, thathani amakhanda alawomadoda, amadodana enkosi yenu, lize kimi eJizereyeli ngalesisikhathi kusasa. Lamadodana enkosi, abantu abangamatshumi ayisikhombisa, ayelezikhulu zomuzi ezaziwakhulisa.
0c0a0700a8	Kwasekusithi ekufikeni kwencwadi kubo, bathatha amadodana enkosi, babulala abantu abangamatshumi ayisikhombisa, bafaka amakhanda awo ezitsheni, bawesa kuye eJizereyeli.
0c0a0800a4	Kwasekusiza isithunywa sambikela sisithi: Sebewalethile amakhanda amadodana enkosi. Wasesithi: Abekeni abe zinqumbi ezimbili ekungeneni kwesango kuze kube sekuseni.
0c0a0900a3	Kwasekusithi ekuseni waphuma wema wathi ebantwini bonke: Lina lilungile. Khangelani, mina ngenzela inkosi yami ugobe, ngayibulala; pho, ngubani obulele bonke laba?
0c0a0a00b1	Yazini khathesi ukuthi kakuyikuwela lutho emhlabathini okwelizwi leNkosi, iNkosi eyalikhuluma ngendlu kaAhabi, ngoba iNkosi yenzile eyakukhulumayo ngesandla senceku yayo uElija.
0c0a0b0093	UJehu wasetshaya bonke ababesele endlini kaAhabi eJizereyeli, lazo zonke izikhulu zakhe, labazana laye, labapristi bakhe, akaze amtshiyela oseleyo.
0c0a0c0048	Wasesukuma wahamba waya eSamariya. Endlini yokugunda yabelusi endleleni,
0c0a0d00b3	uJehu wahlangana labafowabo bakaAhaziya inkosi yakoJuda, wathi: Lingobani? Basebesithi: Singabafowabo bakaAhaziya, sehlela ukubingelela abantwana benkosi, labantwana bendlovukazi.
0c0a0e0096	Wasesithi: Babambeni bephila. Basebebabamba bephila, bababulalela emgodini weBeti-Ekedi, amadoda angamatshumi amane lambili, katshiyanga loyedwa wabo.
0c0a0f0128	Esesukile lapho wahlangana loJehonadabi indodana kaRekabi ezemhlangabeza; wambingelela wathi kuye: Inhliziyo yakho iqondile yini, njengoba inhliziyo yami ikanye lenhliziyo yakho? UJehonadabi wasesithi: Injalo. Uba kunjalo, ngipha isandla sakho. Wasemnika isandla sakhe; wasemkhweza enqoleni kuye.
0c0a100058	Wasesithi: Hamba lami, ubone ukuyitshisekela kwami iNkosi. Basebemgadisa enqoleni yakhe.
0c0a110082	Ekufikeni kwakhe eSamariya wabatshaya bonke ababesele kuAhabi eSamariya waze wamqeda, njengokwelizwi leNkosi eyalikhuluma kuElija.
0c0a12006a	UJehu wasebuthanisa bonke abantu, wathi kibo: UAhabi wakhonza kancinyane uBhali: UJehu uzamkhonza kakhulu.
0c0a13010f	Ngakho-ke ngibizelani abaprofethi bakaBhali bonke, izinceku zakhe zonke labo bonke abapristi bakhe, kungabi lamuntu ongekho, ngoba ngilomhlatshelo omkhulu kuBhali; loba ngubani ongayikuba khona kayikuphila. Kodwa uJehu wakwenza ngobuqili ukuze abulale izinceku zikaBhali.
0c0a14004c	UJehu wasesithi: Mehlukaniseleni umhlangano onzulu uBhali. Basebewumemezela.
0c0a1500c7	UJehu wasethumela kuye wonke uIsrayeli; zonke izinceku zikaBhali zasezisiza, kakwaze kwasala loyedwa ongabuyanga. Bangena endlini kaBhali, yaze yagcwala indlu kaBhali kusukela emsamo kusiya emnyango.
0c0a160076	Wasesithi kulowo owayephethe indlu yezembatho: Khuphela bonke abakhonzi bakaBhali izembatho. Wasebakhuphela izembatho.
0c0a1700ba	Wasengena uJehu eloJehonadabi indodana kaRekabi endlini kaBhali, wathi kuzinceku zikaBhali: Hlolani libone ukuthi kakukho kini abezinceku zeNkosi lapha, kodwa izinceku zikaBhali kuphela.
0c0a1800f6	Sebengene ukwenza imihlatshelo leminikelo yokutshiswa, uJehu wazimisela amadoda angamatshumi ayisificaminwembili ngaphandle, wasesithi: Umuntu oyekela enye kumadoda engiwabeka ezandleni zenu iphunyuke, impilo yakhe izakuba sendaweni yempilo yayo.
0c0a1900ee	Kwasekusithi eseqedile ukwenza iminikelo yokutshiswa, uJehu wasesithi kubalindi lezinduneni: Ngenani libatshaye, kungaphumi muntu. Basebebatshaya ngobukhali benkemba; abalindi lezinduna basebebaphosela phandle, baya emzini wendlu kaBhali.
0c0a1a003a	Bakhupha endlini kaBhali insika eziyizithombe, bazitshisa.
0c0a1b0077	Badiliza insika kaBhali eyisithombe, badiliza indlu kaBhali, bayenza yaba yindlu yokuyela ngaphandle kuze kube lamuhla.
0c0a1c0036	Ngokunjalo uJehu wachitha uBhali wamkhupha koIsrayeli.
0c0a1d0093	Kodwa ezonweni zikaJerobhowamu indodana kaNebati owenza uIsrayeli one, uJehu kasukanga ekuzilandeleni, amathole egolide ayeseBhetheli lawayekoDani.
0c0a1e00ed	INkosi yasisithi kuJehu: Ngoba wenze kuhle ngokwenza okulungileyo emehlweni ami, wenza endlini kaAhabi njengakho konke okwakusenhliziyweni yami, amadodana akho kuze kube sesizukulwaneni sesine azahlala esihlalweni sobukhosi sakoIsrayeli.
0c0a1f00a0	Kodwa uJehu kaqaphelisanga ukuhamba emlayweni weNkosi, uNkulunkulu kaIsrayeli, ngenhliziyo yakhe yonke; kasukanga ezonweni zikaJerobhowamu owenza uIsrayeli one.
0c0a20006e	Ngalezonsuku iNkosi yaqala ukuquma isusa koIsrayeli. UHazayeli wasebatshaya kuyo yonke imingcele yakoIsrayeli,
0c0a21009e	kusukela eJordani empumalanga, ilizwe lonke leGileyadi, abakoGadi labakoRubeni labakoManase, kusukela eAroweri engasesifuleni seArinoni, leGileyadi leBashani.
0c0a220088	Ezinye-ke zezindaba zikaJehu, lakho konke akwenzayo, lamandla akhe wonke, kakubhalwanga yini egwalweni lwemilando yamakhosi akoIsrayeli?
0c0a230070	UJehu waselala laboyise, bamngcwabela eSamariya. UJehowahazi indodana yakhe wasesiba yinkosi esikhundleni sakhe.
0c0a240070	Lesikhathi uJehu abusa ngaso phezu kukaIsrayeli eSamariya sasiyiminyaka engamatshumi amabili lesificaminwembili.
0c0b01006c	UAthaliya unina kaAhaziya esebonile ukuthi indodana yakhe ifile, wasukuma wachitha yonke inzalo yesikhosini.
0c0b0200f4	Kodwa uJehosheba indodakazi yenkosi uJoramu, udadewabo kaAhaziya, wathatha uJowashi indodana kaAhaziya, wameba phakathi kwamadodana enkosi abulawayo, yena lomlizane wakhe ekamelweni lokulala. Basebemfihla ebusweni bukaAthaliya ukuze angabulawa.
0c0b03005d	Wayelaye-ke efihliwe endlini yeNkosi iminyaka eyisithupha; uAthaliya wasebusa phezu kwelizwe.
0c0b0400d9	Ngomnyaka wesikhombisa uJehoyada wasethuma wathatha izinduna zamakhulu, lamaKariti kanye labalindi, wabaletha kuye endlini yeNkosi. Wenza isivumelwano labo, wabafungisa endlini yeNkosi, wabatshengisa indodana yenkosi.
0c0b05008a	Wasebalaya esithi: Nansi into elizayenza: Ingxenye eyodwa kwezintathu yenu elingena ngesabatha izakuba ngabalindi bomlindo wendlu yenkosi,
0c0b0600a4	lengxenye eyodwa kwezintathu izakuba sesangweni leSuri, lengxenye eyodwa kwezintathu esangweni ngemva kwabalindi; ngokunjalo lizalinda umlindo wendlu, ingafohlelwa.
0c0b07006a	Lengxenye ezimbili zenu lonke eliphuma ngesabatha, bona bazagcina umlindo wendlu yeNkosi mayelana lenkosi.
0c0b0800a8	Lizazingelezela inkosi inhlangothi zonke, ngulowo lalowo elezikhali esandleni sakhe; lozangena kokuhleliweyo uzabulawa. Libe lenkosi ekuphumeni kwayo lekungeneni kwayo.
0c0b0900ba	Induna zamakhulu zasezisenza njengakho konke uJehoyada umpristi akulayayo; zathatha, yileyo laleyo abantu bayo abangena ngesabatha lalabo abaphuma ngesabatha, zafika kuJehoyada umpristi.
0c0b0a0068	Umpristi wasenika izinduna zamakhulu imikhonto lezihlangu ezazingezenkosi uDavida ezazisendlini yeNkosi.
0c0b0b00ae	Abalindi basebesima, ngulowo lalowo elezikhali esandleni sakhe, kusukela kwesokunene sendlu kusiya kwesokhohlo sendlu, ngaselathini langasendlini, enkosini inhlangothi zonke.
0c0b0c0098	Waseyikhupha indodana yenkosi, wayethesa umqhele, wayinika ubufakazi; bayibeka yaba yinkosi, bayigcoba, batshaya izandla, basebesithi: Kayiphile inkosi!
0c0b0d004c	UAthaliya esizwa umsindo wabalindi lowabantu waya ebantwini endlini yeNkosi;
0c0b0e00e6	wabona, khangela-ke, inkosi yayimi ngasensikeni njengomkhuba, lezinduna labavutheli bezimpondo bengasenkosini, labantu bonke belizwe bethokoza bavuthela izimpondo. UAthaliya wasedabula izigqoko zakhe, wamemeza wathi: Ugobe! Ugobe!
0c0b0f00cb	UJehoyada umpristi waselaya induna zamakhulu, abaphathi bebutho, wathi kubo: Mkhupheleni ngaphandle kokuhleliweyo, lomlandelayo limbulale ngenkemba. Ngoba umpristi wathi: Kangabulawelwa endlini kaJehova.
0c0b100067	Basebembamba ngezandla, wasehamba ngendlela yokungena kwamabhiza endlini yenkosi, wabulawelwa khonapho.
0c0b110082	UJehoyada wasesenza isivumelwano phakathi kukaJehova lenkosi labantu ukuthi babe ngabantu bakaJehova; laphakathi kwenkosi labantu.
0c0b1200ed	Bonke abantu belizwe basebengena endlini kaBhali, bayidilizela phansi; amalathi akhe lezithombe zakhe baziphahlaza ngokupheleleyo, loMathani umpristi kaBhali bambulala phambi kwamalathi. Umpristi wasebeka abaphathi phezu kwendlu yeNkosi.
0c0b1300d3	Wasethatha izinduna zamakhulu lamaKariti labalindi labo bonke abantu belizwe, bayehlisa inkosi isuka endlini kaJehova, beza ngendlela yesango labalindi endlini yenkosi. Yasihlala esihlalweni sobukhosi samakhosi.
0c0b140072	Bonke abantu belizwe basebethokoza. Umuzi wasusiba lokuthula, sebembulele uAthaliya ngenkemba ngasendlini yenkosi.
0c0b15003b	UJehowashi wayeleminyaka eyisikhombisa lapho esiba yinkosi.
0c0c010093	Ngomnyaka wesikhombisa kaJehu uJehowashi waba yinkosi; wabusa iminyaka engamatshumi amane eJerusalema. Lebizo likanina lalinguZibiya weBherishebha.
0c0c02006b	UJehowashi wasesenza okulungileyo emehlweni eNkosi zonke izinsuku zakhe uJehoyada umpristi amfundisa ngazo.
0c0c030076	Kodwa indawo eziphakemeyo kazisuswanga; abantu babelokhu benikela imihlatshelo betshisa impepha endaweni eziphakemeyo.
0c0c04010d	UJehowashi wasesithi kubapristi: Yonke imali yezinto ezehlukanisiweyo elethwa endlini kaJehova, imali yalowo lalowo odlulayo kwababaliweyo, imali yalowo lalowo umuntu ayilinganisileyo, yonke imali, okuvela enhliziyweni yaloba nguwuphi umuntu ukuyiletha endlini yeNkosi;
0c0c050083	abapristi kabayithathe kubo, ngulowo lalowo komejwayeleyo, balungise izikhala zendlu, loba kungaphi lapho okutholwa khona izikhala.
0c0c060071	Kodwa kwathi ngomnyaka wamatshumi amabili lantathu wenkosi uJehowashi abapristi babengakalungisi izikhala zendlu.
0c0c0700ba	Inkosi uJehowashi yasibiza uJehoyada umpristi labapristi, yathi kibo: Kungani lingalungisi izikhala zendlu? Ngakho-ke lingathathi imali kwelibejwayeleyo kodwa liyinikele izikhala zendlu.
0c0c080065	Abapristi basebevuma ukuthi kabasayikuthatha imali ebantwini lokuthi kabayikulungisa izikhala zendlu.
0c0c0900f1	UJehoyada umpristi wasethatha ibhokisi elilodwa, wabhoboza isikhala esivalweni salo, walibeka eceleni kwelathi ngakwesokunene nxa umuntu engena endlini yeNkosi. Abapristi-ke abalinda umbundu bafaka kulo yonke imali eyalethwa endlini yeNkosi.
0c0c0a0098	Kwakusithi sebebona ukuthi imali isinengi ebhokisini, umabhalane wenkosi, lompristi omkhulu benyuke, bayibophe bayibale imali eyatholwa endlini yeNkosi.
0c0c0b00a1	Basebenikela imali elinganisiweyo ezandleni zabenzi bomsebenzi, zababonisi bendlu yeNkosi, bayikhuphela kubabazi bezigodo lakubakhi ababesebenza endlini yeNkosi,
0c0c0c00a4	lakwabakha ngamatshe lakubabazi bamatshe, lokuthenga izigodo lamatshe abaziweyo ukulungisa izikhala zendlu yeNkosi, lakukho konke okwakhutshelwa indlu ukuyilungisa.
0c0c0d00b7	Kodwa kayenzelwanga indlu yeNkosi imiganu yesiliva, izindlawu, imiganu yokufafaza, izimpondo zokukhaliswa, laziphi izitsha zegolide lezitsha zesiliva zemali eyalethwa endlini yeNkosi,
0c0c0e0044	kodwa bayinika abenzi bomsebenzi, basebelungisa ngayo indlu yeNkosi.
0c0c0f0072	Njalo kababalelananga labantu abanikela imali esandleni sabo, ukupha abenzi bomsebenzi, ngoba benza ngokuthembeka.
0c0c100061	Imali yomnikelo wecala lemali yeminikelo yesono kayilethwanga endlini yeNkosi; yayingeyabapristi.
0c0c110099	Ngalesosikhathi uHazayeli inkosi yeSiriya wenyuka walwa emelene leGathi, wayithumba. UHazayeli wasekhangelisa ubuso bakhe ukwenyuka amelane leJerusalema.
0c0c120141	Kodwa uJehowashi inkosi yakoJuda wathatha zonke izinto ezingcwelisiweyo uJehoshafathi loJoramu loAhaziya oyise, amakhosi akoJuda, ababezingcwelisile, lezakhe izinto ezingcwelisiweyo, legolide lonke elatholwa enothweni yendlu kaJehova lendlu yenkosi, wakuthumela kuHazayeli inkosi yeSiriya. Wasesenyuka wasuka eJerusalema.
0c0c130072	Ezinye-ke zezindaba zikaJowashi, lakho konke akwenzayo, kakubhalwanga yini egwalweni lwemilando yamakhosi akoJuda?
0c0c140058	Inceku zakhe zasezisukuma zenza ugobe, zamtshaya uJowashi endlini yeMilo eyehlela eSila.
0c0c1500cb	Ngoba oJozakari indodana kaShimeyathi loJehozabadi indodana kaShomeri, inceku zakhe, bamtshaya, wafa; basebemngcwaba kuboyise emzini kaDavida. UAmaziya indodana yakhe wasesiba yinkosi esikhundleni sakhe.
0c0d0100c1	Ngomnyaka wamatshumi amabili lantathu kaJowashi indodana kaAhaziya inkosi yakoJuda uJehowahazi indodana kaJehu waba yinkosi phezu kukaIsrayeli eSamariya, wabusa iminyaka elitshumi lesikhombisa.
0c0d020075	Wenza okubi emehlweni eNkosi, walandela izono zikaJerobhowamu indodana kaNebati owenza uIsrayeli one, kasukanga kuzo.
0c0d03009b	Ulaka lweNkosi lwaselumvuthela uIsrayeli, yabanikela esandleni sikaHazayeli inkosi yeSiriya lesandleni sikaBenihadadi indodana kaHazayeli, zonke lezonsuku.
0c0d04007f	UJehowahazi wasencenga ubuso beNkosi, iNkosi yamuzwa, ngoba yabona incindezelo kaIsrayeli, ngoba inkosi yeSiriya yabacindezela.
0c0d050094	(INkosi yasisipha uIsrayeli umsindisi ukuze baphume ngaphansi kwesandla samaSiriya; abantwana bakoIsrayeli basebehlala emathenteni abo njengakuqala.
0c0d060081	Loba kunjalo kabasukanga ezonweni zendlu kaJerobhowamu owenza uIsrayeli one, bahamba kuzo; lesixuku laso sasilokhu siseSamariya.)
0c0d0700f0	Ngoba kayimtshiyelanga uJehowahazi abantu, kuphela abagadi bamabhiza abangamatshumi amahlanu, lenqola ezilitshumi, labahamba ngenyawo abazinkulungwane ezilitshumi; ngoba inkosi yeSiriya yayibabhubhisile, yabenza baba njengothuli ngokubhula.
0c0d080088	Ezinye-ke zezindaba zikaJehowahazi, lakho konke akwenzayo, lamandla akhe, kakubhalwanga yini egwalweni lwemilando yamakhosi akoIsrayeli?
0c0d090073	UJehowahazi waselala laboyise, bamngcwabela eSamariya; uJowashi indodana yakhe wasesiba yinkosi esikhundleni sakhe.
0c0d0a00b7	Ngomnyaka wamatshumi amathathu lesikhombisa kaJowashi inkosi yakoJuda uJehowashi indodana kaJehowahazi waba yinkosi phezu kukaIsrayeli eSamariya; wabusa iminyaka elitshumi lesithupha.
0c0d0b0081	Laye wenza okubi emehlweni eNkosi, kasukanga ezonweni zonke zikaJerobhowamu indodana kaNebati owenza uIsrayeli one; wahamba kuzo.
0c0d0c00aa	Ezinye-ke zezindaba zikaJowashi, lakho konke akwenzayo, lamandla akhe alwa ngawo loAmaziya inkosi yakoJuda, kakubhalwanga yini egwalweni lwemilando yamakhosi akoIsrayeli?
0c0d0d0088	UJowashi waselala laboyise, uJerobhowamu wasehlala esihlalweni sakhe sobukhosi. UJowashi wangcwatshelwa eSamariya lamakhosi akoIsrayeli.
0c0d0e00c0	UElisha wasegula umkhuhlane wakhe afa ngawo; uJowashi inkosi yakoIsrayeli wasesehlela kuye, wakhala inyembezi phezu kobuso bakhe, wathi: Baba wami! Baba wami! Nqola yakoIsrayeli lamabhiza ayo!
0c0d0f0057	UElisha wasesithi kuye: Thatha idandili lemitshoko. Wasezithathela idandili lemitshoko.
0c0d100091	Wasesithi enkosini yakoIsrayeli: Beka isandla sakho edandilini. Wasesibeka isandla sakhe. UElisha wasebeka izandla zakhe phezu kwezandla zenkosi.
0c0d1100cf	Wasesithi: Vula iwindi ngempumalanga. Yasilivula. UElisha wasesithi: Tshoka! Yasitshoka. Wasesithi: Umtshoko wenkululeko yeNkosi, lomtshoko wenkululeko kuSiriya. Ngoba uzatshaya amaSiriya eAfeki uze uwaqede.
0c0d12007f	Wasesithi: Thatha imitshoko. Yasiyithatha. Wasesithi enkosini yakoIsrayeli: Tshaya emhlabathini. Yasitshaya kathathu, yasisima.
0c0d1300b0	Umuntu kaNkulunkulu waseyithukuthelela, wathi: Ngabe utshaye kahlanu kumbe kasithupha, ngakho ubuzayitshaya iSiriya uze uyiqede; khathesi-ke uzatshaya iSiriya kathathu kuphela.
0c0d14005b	UElisha wasesifa, basebemngcwaba. Amaviyo amaMowabi asengena elizweni ekuthwaseni komnyaka.
0c0d1500b2	Kwasekusithi bengcwaba umuntu, khangela-ke, babona iviyo, baphosela lowomuntu engcwabeni likaElisha. Kwathi umuntu esiyathinta amathambo kaElisha waphila, wasukuma wema ngenyawo.
0c0d16004e	UHazayeli inkosi yeSiriya wasecindezela uIsrayeli insuku zonke zikaJehowahazi.
0c0d1700c9	INkosi yasisiba lomusa kibo, yaba lesihawu kubo, yaphendukela kibo ngenxa yesivumelwano sayo loAbrahama, uIsaka, loJakobe, kayithandanga ukubabhubhisa, kayibaxotshanga ebusweni bayo kuze kube khathesi.
0c0d180063	UHazayeli inkosi yeSiriya wasesifa; uBenihadadi indodana yakhe wasesiba yinkosi esikhundleni sakhe.
0c0d1900da	UJehowashi indodana kaJehowahazi wasebuya wathatha imizi esandleni sikaBenihadadi indodana kaHazayeli owayeyithethe esandleni sikaJehowahazi uyise ngempi. UJowashi wamtshaya kathathu, waseyibuyisela imizi yakoIsrayeli.
0c0e010080	Ngomnyaka wesibili kaJowashi indodana kaJehowazi, inkosi yakoIsrayeli, uAmaziya indodana kaJowashi inkosi yakoJuda waba yinkosi.
0c0e0200b5	Wayeleminyaka engamatshumi amabili lanhlanu lapho esiba yinkosi; wabusa iminyaka engamatshumi amabili lesificamunwemunye eJerusalema. Lebizo likanina lalinguJehowadani weJerusalema.
0c0e030077	Wasesenza okulungileyo emehlweni eNkosi, kodwa kungenjengoDavida uyise; wenza njengakho konke uJowashi uyise akwenzayo.
0c0e04007d	Loba kunjalo indawo eziphakemeyo kazisuswanga; abantu babelokhu benikela imihlatshelo betshisa impepha endaweni eziphakemeyo.
0c0e050066	Kwasekusithi umbuso wakhe usuqinisiwe esandleni sakhe, watshaya inceku zakhe ezazitshaye inkosi uyise.
0c0e0600f9	Kodwa abantwana bababulali kababulalanga, njengokubhaliweyo ogwalweni lomlayo kaMozisi lapho iNkosi eyalaya khona isithi: Oyise kabayikubulawa ngenxa yabantwana, labantwana kabayikubulawa ngenxa yaboyise, kodwa wonke umuntu uzabulawelwa isono sakhe.
0c0e07009f	Yena wasetshaya amaEdoma azinkulungwane ezilitshumi esihotsheni setshwayi, wathumba iSela ngempi, wabiza ibizo layo ngokuthi yiJokhitheyeli, kuze kube lamuhla.
0c0e080092	Khona uAmaziya wathuma izithunywa kuJehowashi indodana kaJehowahazi indodana kaJehu, inkosi yakoIsrayeli, esithi: Woza sikhangelane ubuso ngobuso.
0c0e090117	UJehowashi inkosi yakoIsrayeli wasethumela kuAmaziya inkosi yakoJuda esithi: Ukhula oluhlabayo oluseLebhanoni lwathumela emsedarini oseLebhanoni lusithi: Nika indodakazi yakho endodaneni yami ibe ngumkayo; kwasekusedlula isilo seganga esiseLebhanoni, salugxoba ukhula oluhlabayo.
0c0e0a00a2	Uyitshayile lokuyitshaya iEdoma, inhliziyo yakho isikuphakamisile; dumiseka, uhlale endlini yakho; ngoba kungani uzivusela ububi ukuze uwe wena loJuda kanye lawe?
0c0e0b009e	Kodwa uAmaziya kezwanga. Ngakho uJehowashi inkosi yakoIsrayeli wenyuka, yena-ke loAmaziya inkosi yakoJuda bakhangelana ubuso ngobuso eBeti-Shemeshi eyakoJuda.
0c0e0c0059	UJuda wasetshaywa phambi kukaIsrayeli; basebebaleka, ngulowo lalowo waya ethenteni lakhe.
0c0e0d010e	UJehowashi inkosi yakoIsrayeli wasembamba uAmaziya inkosi yakoJuda, indodana kaJehowashi indodana kaAhaziya, eBeti-Shemeshi; wafika eJerusalema, wadilizela phansi umduli weJerusalema, kusukela esangweni lakoEfrayimi kusiya esangweni lengonsi, ingalo ezingamakhulu amane.
