010000000a	Yaradiliş
1739070070	Yatağınızı yüksək, uca dağda salmısınız, Qurbanlarınızı kəsmək üçün də oraya çıxırsınız.
1739080117	Qapılarınıza, qapıların yan taxtalarının arxasına İyrənc işarələr düzmüsünüz. Məni tərk edib yatağınızı geniş açdınız, Orada uzandınız, oynaşlarınızla sövdələşdiniz, Birlikdə yatmağa can atdınız, Onların çılpaqlığına tamaşa etdiniz!
173909009c	Ətirləri bol-bol vurandan sonra Molek allahına sarı getdiniz. Elçilərinizi uzaqlara göndərdiniz, Özünüzü ölülər diyarına qədər endirdiniz.
17390a008f	Uzun yollar sizi taqətdən saldı. Lakin siz “daha bəsdir” demədiniz. Gücünüzü təzələyib qalxdınız, Buna görə yorulmadınız.
17390b00b9	Kim sizi qorxudub dəhşətə saldı ki, Məni aldatdınız? Məni yada salmadınız, Ürəyinizdə Mənə yer vermədiniz? Mən xeyli vaxt susduğuma görə, Siz Məndən qorxmursunuz?
17390c0068	Mən sizin salehliyinizi, Etdiyiniz əməlləri aşkara çıxaracağam, Bunların sizə xeyri olmayacaq.
17390d0110	Siz fəryad edəndə Bu yığdığınız bütlər Görək sizi nə cür qurtaracaq! Onların hamısını külək sovurub atacaq, Bir nəfəs onları yerindən tərpədib aparacaq. Lakin Mənə sığınan torpağı irs olaraq alacaq, Müqəddəs dağımı mülk edəcək».
17390e005f	Rəbb deyir: «Tikin, tikin, yol hazırlayın! Xalqımın yolundakı əngəlləri götürün!»
17390f011f	Uca və əzəmətli, Əbədi yaşayan, adı müqəddəs Olan Belə deyir: «Mən yüksək və müqəddəs yerdə yaşadığım halda Ruhu əzilənlərlə, özünü aşağı tutanlarla birlikdəyəm ki, Özünü aşağı tutanların ruhunu dirildim, Əzilmişlərin ürəyini dirçəldim.
1739100068	Həmişə çəkişib qəzəblənməyəcəyəm, Yoxsa yaratdığım canlı insan qarşımda dura bilməz.
1739110093	Tamahkarlıq günahına görə Qəzəblənib xalqı cəzalandırdım, Hiddətlənib üzümü ondan döndərdim. O da inad edib öz yolu ilə getdi.
173912008d	Əməllərini gördüm, Amma bu xalqa şəfa verəcəyəm. Ona rəhbərlik edəcəyəm, Ona və onun yas tutanlarına təsəlli verəcəyəm.
17391300a1	Ağızları ilə həmdlər söyləyəcəyəm. Uzaqdakılara və yaxındakılara qoy sülh, sülh olsun». Rəbb belə deyir: «Mən onlara şəfa verəcəyəm».
1739140070	Pislər isə sanki dalğalanan dənizdir, Bu dəniz sakit dura bilməz, Onun suları palçıq və kir çıxarar.
1739150036	«Pislərə isə sülh yoxdur» deyir mənim Allahım.
173a010093	«Avazla çığırın, çəkinməyin, Səsinizi şeypur səsi kimi ucaldın, Xalqıma üsyankarlığını, Yaqub nəslinə günahlarını bildirin!
173a0200eb	Onlar hər gün Məni axtarır, Mənim yolumu öyrənməkdən zövq alır. Sanki bu əməlisaleh, Allahının hökmündən ayrılmayan millət imiş. Onlar Məndən düzgün hökmlər diləyirdi, Allaha yaxınlaşmaqdan zövq alırdı.
173a0300ea	Onlar belə deyir: “Oruc tutduğumuzu nə üçün görmürsən, Özümüzü aşağı tutanda, Sən niyə fikir vermirsən?” Baxın, oruc tutduğunuz gün Siz istədiyinizi edirsiniz, Bütün işçilərinizi sıxışdırırsınız.
173a04009e	Baxın, orucunuzu savaşma ilə, Dava ilə, yumruqla, döyməklə keçirirsiniz. Səsinizi ucalara çatdırmaq üçün Bugünkü kimi sizə oruc tutmaq olmaz.
173a0500e9	İstədiyim oruc, insanın özünü aşağı tutduğu gün belə olmalı idimi? Bu, qamış kimi başınızı əyib, Əyninizə çul geyib, kül üstündə oturmağınızdırmı? Bunamı oruc və Rəbbə məqbul olan gün deyirsiniz?
173a0600b7	Mənim istədiyim orucsa Haqsızlığın buxovlarını qırmaq, Boyunduruğun iplərini açmaq, Sıxıntı içində olanları azad etmək, Hər cür boyunduruğu məhv etmək deyilmi?
173a0700d9	Yediyiniz çörəyi acla bölüşdürmək, Yurdsuz kasıbları evinizə gətirmək deyilmi? Mənim istədiyim oruc bu deyilmi? Çılpaq görəndə geyindirmək, Yaxınlarınızdan köməyinizi əsirgəməmək deyilmi?
173a08008e	Onda nurunuz şəfəq kimi saçacaq, Tezliklə şəfa tapacaqsınız, Qarşınızda salehliyiniz gedəcək, Rəbbin izzəti sizə arxa olacaq.
173a090115	O vaxt Rəbbi köməyə çağıracaqsınız, Rəbb cavab verəcək. Fəryad edəcəksiniz, O sizə “buradayam” deyəcək. Əgər siz boyunduruğu, Yəni başqalarına zülm etməyinizi Aranızdan rədd etsəniz, Barmaq uzadıb şər sözlər söyləməyə yol verməsəniz,
173a0a00ad	Can-dildən acların qayğısına qalsanız, Fəqirlərin ehtiyaclarını ödəsəniz, Nurunuz qaranlıqda parlayacaq, Qaranlığınız günorta işığı kimi nur saçacaq.
173a0b00ba	Rəbb həmişə sizə yol göstərəcək, Quru torpaqlarda sizi doyuzduracaq, güc verəcək. Siz də sulanmış bağça kimi, Suları heç vaxtı əskilməyən Bulaq kimi olacaqsınız.
173a0c00f0	Sizdən törənənlər qədim dağıntıları tikəcək, Nəsillərdən qalma təməllərin üstünü Siz bərpa edəcəksiniz. Sizə xarabalıqları bərpa edənlər, Camaatın yaşaması üçün Küçələri yenidən quranlar deyiləcək.
173a0d0142	Şənbə günündə büdrəməsəniz, Müqəddəs günümdə istədiyinizi etməsəniz, Şənbə gününü “şən gün”, Rəbbin müqəddəs gününü “Şərəfli gün” adlandırsanız, Öz yolunuzla getməməklə, İstədiyinizi əldə etməməklə, Boşboğazlıqla məşğul olmamaqla, O günü əziz tutsanız,
173a0e00c5	Rəblə ünsiyyətdən zövq alacaqsınız. O zaman Mən sizi yer üzünün Yüksək yerlərinə çıxaracağam, Atanız Yaqubun payından dadacaqsınız». Bu sözlər Rəbbin ağzından çıxıb.
173b010060	Ah, Rəbbin əli qısa deyil ki, xilas edə bilməsin, Qulağı kar deyil ki, eşidə bilməsin.
173b020094	Lakin şər əməlləriniz Allahınızla sizin aranızda ayrılıq saldı. Günahlarınıza görə Onun üzü sizdən döndü, O səsinizi eşitmir.
173b030088	Çünki əlləriniz qanla, Barmaqlarınız şər əməllərlə murdarlanıb. Dodaqlarınız yalan danışır, Diliniz pislik söyləyir.
173b0400b1	Məhkəmədə ədalətlə işə baxan yoxdur, Doğruluqla özünü müdafiə edən yoxdur, Boş sözlərə güvənirlər, aldadırlar, Əziyyətə hamilə olub pislik doğurlar.
173b050090	Gürzə yumurtalarına qırt yatırlar, Hörümçək toru toxuyurlar. O yumurtalardan yeyən ölür, Qırılan yumurtalardan əfi ilan çıxır.
173b0600c4	Onların toxuduğu hörümçək torundan paltar çıxmaz, Toxuduqları parça ilə özlərini örtə bilmirlər. Elədikləri əməllər şər əməllərdir, Əllərində zorakılıq işləri var.
173b0700a2	Ayaqları pis işlər etməyə tələsir, Günahsız qan tökməyə cəlddir. Fikirləri, niyyətləri şər əməllərdir, Yollarında viranəlik, qırğın var.
173b0800b0	Əmin-amanlıq yolu nədir, onlar bilmirlər, Getdikləri yolda ədalət yoxdur, Özlərinə əyri yol seçdilər, O yoldan gedənlərin heç biri Əmin-amanlıq nədir bilmir.
173b0900a2	Buna görə ədalət bizdən uzaqlaşıb, Salehliyə çata bilmirik. İşıq ümidindəyik, lakin qaranlıqdayıq, Aydınlıq gözləyirik, zülmətdə yeriyirik.
173b0a00bc	Kor kimi əllərimizlə divarı yoxlayırıq, Gözü görməyənlər tək yol axtarırıq. Günorta çağı gecə vaxtı olduğu kimi büdrəyirik, Güclülər arasında ölülər kimiyik.
173b0b00a4	Hamımız ayı kimi nərildəyirik, Göyərçin tək inildəyirik. Ədalət gözləyirik, lakin heç bir şey yoxdur. Qurtuluş gözləyirik, amma bizdən uzaqdır.
173b0c00b6	Çünki Önündə üsyankarlığımız böyükdür, Günahlarımız bizə qarşı şəhadət edir. Üsyankarlığımız bizi dövrəyə alıb, Şər əməllərimizdən xəbərdarıq.
173b0d00c3	Üsyankar olub Rəbbi rədd etdik, Allahımızın ardınca getmədik, Zorakılıq, xəyanətlə dolu sözlər danışdıq, Yalan kəlmələri ürəyimizdə gizlətdik, Sonra aşkara çıxartdıq.
173b0e008a	Ədalət geri çəkildi, Salehlik uzaqda durdu, Çünki həqiqət şəhər meydanında yıxıldı, Dürüstlük aramıza daxil ola bilmir.
173b0f0088	Həqiqət heç bir yerdə yoxdur, Şərdən uzaq duran talan olunur. Rəbb bunları gördü, Ədalətin yoxluğu Onun xoşuna gəlmədi.
173b10008f	Rəbb gördü ki, heç kim yoxdur, Havadarın olmadığına görə O mat qaldı. Onda Onun qolu Ona zəfər gətirdi, Salehliyi Ona dayaq oldu.
173b11007f	O, salehliyi zireh kimi geydi, Qurtuluş dəbilqəsini başına taxdı. Qisas geyimlərini geydi, Qeyrət libasına büründü.
173b12008b	O hər kəsə əməllərinə görə əvəz verəcək. Düşmənlərinə qəzəblə, yağılarına, Uzaq diyarlara qisasla əvəz verəcək.
173b1300a7	Beləcə qərbdən şərqədək adamlar Rəbbin adından və əzəmətindən qorxacaq. Çünki düşmən azğın bir çay kimi gəldikdə Rəbbin nəfəsi onu qovacaq.
173b140078	Rəbb bəyan edir: «Satınalan Siona gələcək, Yaqub nəslinin üsyankarlıqdan dönənlərinin yanına gələcək».
173b1500d4	«Mənim onlarla bağladığım əhd budur: üzərindəki Ruhum, ağzına qoyduğum sözlərim indidən sonsuzadək sənin, övladlarının, nəvə-nəticələrinin ağzından düşməyəcək». Bunu Allah deyir.
173c010049	Qalx, işıqlan, çünki nurun gəldi, Rəbbin izzəti üzərinə gəldi!
173c020085	Budur, dünyanı qaranlıq, ümmətləri zülmət bürüyəcək. Amma Rəbb üzərinə nur saçacaq, İzzəti səni əhatə edəcək.
173c030059	Millətlər sənin nuruna, Padşahlar üzərinə çökən aydınlığa doğru gələcək.
173c04007f	Qaldır başını, bax ətrafına, Hamı yığılıb yanına gəlir! Oğulların uzaqdan gəlir, Qızların qucaqda gətirilir.
173c0500bd	O vaxt bunu görüb üzün nur saçacaq, Ürəyin sevincdən tez-tez çırpınacaq. Çünki uzaq ölkələrin var-dövləti sənə gətiriləcək, Millətlərin sərvəti sənə gələcək.
173c0600ac	Dəvə sürüləri, Midyan və Efa köşəkləri Torpaqlarını dolduracaq. Bütün Səba xalqı gəlib Qızıl və kündür gətirəcək, Rəbbə həmdlər söyləyəcək.
173c0700d9	Qedarın bütün qoyun sürüləri yanına yığılacaq, Nevayotun qoçları sənin əlinin altında olacaq, Qurbangahıma Mənə məqbul olan qurbanlar gətiriləcək. Şərəfli evimi daha da izzətləndirəcəyəm.
173c080057	Kimdir bunlar, bulud kimi, Yuvalarına yaxınlaşan göyərçin tək uçub gələnlər?
173c0900f7	Uzaq diyarlar Mənə ümid bağladıqlarına görə Tarşiş gəmiləri başda olmaqla Allahın Rəbbin şərəfinə, Səni ucaldan İsrailin Müqəddəsi üçün Sənin övladlarını qızıl-gümüşü ilə Uzaqdan gətirən gəmilərdir bunlar.
173c0a0097	Əcnəbilər divarlarını tikəcək, Padşahları sənə xidmət edəcək. Qəzəbimdə səni vurdumsa da, Lütfümlə sənə mərhəmət edəcəyəm.
173c0b00ab	Darvazaların həmişə açıq qalacaq, Nə gecə, nə də gündüz qıfıllanmayacaq ki, Millətlərin sərvəti sənə təqdim olunsun, Padşahları yanına gətirilsin.
173c0c007a	Çünki sənə xidmət etmək istəməyən Millət ya padşahlıq məhv olacaq, Bəli, o millətlər tamamilə yox olacaq.
173c0d00d3	Livanın şan-şöhrəti olan şam ağacı, çinar və sərv ağacları Müqəddəs məkanımdakı yeri gözəlləşdirmək üçün Birgə yanına gətiriləcək, Qədəm qoyduğum yeri şərəfləndirəcəyəm.
173c0e00df	Sənə zülm edənlərin övladları Gəlib önündə təzim edəcək. Sənə həqarətlə baxanların hamısı Ayaqlarına düşüb səcdə edəcək. Sənə Rəbbin şəhəri, İsrailin Müqəddəsinin Sionu deyəcəklər.
173c0f0089	Səni tərk edib nifrət etdilər, Yanından heç kim keçmirdi, İndi isə Mən səni əbədi fəxr, Nəsillər boyu sevinc edəcəyəm.
173c1000a7	Millətlər və padşahlar Bir ana kimi sənə süd verəcəklər. O vaxt biləcəksən ki, səni qurtaran Rəbb, Səni Satınalan, Yaqubun qüdrətli Allahı Mənəm.
173c1100bb	Sənə tunc əvəzinə qızıl, Dəmir yerinə gümüş, Ağac yerinə tunc, Daş əvəzinə dəmir gətirəcəyəm. Əmin-amanlığı başçın, Salehliyi hökmdarın təyin edəcəyəm.
173c12009f	Ölkəndən zorakılıq, Sərhədlərindən viranəlik, Qırğın xəbəri gəlməyəcək. Divarlarını «Xilas», Darvazalarını «Həmd» adlandıracaqsan.
173c1300a0	Artıq gündüz günəş sənin işığın olmayacaq, Gecə ay sənə aydınlıq verməyəcək. Çünki Rəbb əbədi nurun, Allahın sənin şöhrətin olacaq.
173c140078	Günəşin batmayacaq, ayın gizlənməyəcək, Çünki Rəbb əbədi nurun olacaq, Sənin yaslı günlərin qurtaracaq.
173c150091	Bütün xalqın saleh olacaq, Torpağı əbədi mülk olaraq alacaq. Onlar əkdiyim fidandır, Şöhrətimi göstərmək üçün əlimin işidir.
173c16008c	Ən kiçik ailədən böyük nəsil törəyəcək, Azsaylı nəsil qüdrətli millət olacaq. Mən Rəbb bunu öz vaxtında tez edəcəyəm.
173d0100ee	Xudavənd Rəbbin Ruhu üzərimdədir, Çünki fəqirlərə müjdəni bildirmək üçün O məni məsh etdi. Qəlbi sınıq olanlar üçün, yaralarını sarımaq üçün, Əsirlərə azadlıq, Dustaqlara sərbəstlik elan etmək üçün,
173d02007d	Rəbbin lütf ilini, Allahımızın qisas gününü bəyan etmək üçün, Yaslıların hamısına təsəlli vermək üçün,
173d030123	Sionda yas tutanları təmin etmək, Kül yerinə çələng, Yas yerinə sevinc gətirən məsh yağı, Kədərli ruh əvəzinə Həmd libasını bəxş etmək üçün Rəbb məni göndərdi. Rəbbin şöhrətini aşkar etmək üçün Onlara Rəbbin əkdiyi salehlik palıdları deyiləcək.
173d040098	Onlar qədim dağıntıları inşa edəcək, Əvvəlki xarabalıqları bərpa edəcək, Nəsillər boyu viranə qalmış şəhərləri yenidən quracaq.
173d050065	Yadellilər gəlib sürülərinizi otaracaq, Əcnəbilər sizə əkinçilik və bağbanlıq edəcək.
173d0600a9	Sizsə Rəbbin kahinləri, Allahımızın xidmətçiləri adlanacaqsınız. Millətlərin sərvəti ilə bəslənəcəksiniz, Var-dövlətləri ilə fəxr edəcəksiniz.
173d0700c0	Çəkdiyiniz xəcalət yerinə ikiqat şərəf, Rüsvayçılıq əvəzinə payınızı alıb sevinəcəksiniz. İndi isə torpağınızda ikiqat mülk alacaqsınız, Sevinciniz əbədi olacaq.
173d0800bb	Çünki Mən Rəbb ədaləti sevirəm. Soyğunçuluğa, haqsızlığa nifrət edirəm. Əlbəttə, əməllərinə görə onlara haqqını verəcəyəm, Onlarla əbədi əhd kəsəcəyəm.
173d0900ad	Nəsillərindən törəyənlər millətlər içində, Övladları xalqlar arasında tanınacaq. Onları görən hər kəs biləcək ki, Rəbb nəsillərinə xeyir-dua verdi.
173d0a00e1	Rəbdə böyük sevinc tapacağam, Allahımda ürəyim şadlıqdan coşacaq, Çünki çələnglə bəzənmiş bəy kimi, Bər-bəzək taxmış gəlin kimi Mənə qurtuluş paltarı geyindirdi, Salehlik libası ilə bürüdü.
173d0b00b9	Torpaq zoğlarını necə cücərdirsə, Bağ əkilən toxumları necə yetişdirirsə, Xudavənd Rəbb də bütün millətlər qarşısında Salehliyi və həmdi belə yetişdirəcək.
173e010087	Salehliyi nur kimi saçanadək, Qurtuluşu məşəl tək yananadək Sion naminə susmayacağam, Yerusəlim naminə sakit durmayacağam.
173e020098	Millətlər salehliyini, Bütün padşahlar əzəmətini görəcək. Rəbbin ağzı ilə deyəcəyi, Sənə verəcəyi yeni bir adla çağırılacaqsan.
173e03005d	Sən Rəbbin əlində gözəllik tacı, Allahının ovcunda padşahlıq çələngi olacaqsan.
173e0400d1	Artıq sənə «atılmış», Ölkənə «viranə qalmış» deməyəcəklər. Əvəzinə sənə «sevdiyim», Ölkənə isə «ərli» deyiləcək. Çünki Rəbb səni sevəcək, Ölkən də ərli sayılacaq.
173e050099	Bir gənc bakirə qızla evləndiyi kimi Səni Yaradan da səninlə evlənəcək. Bəy gəlindən zövq aldığı kimi Allahın da səndən zövq alacaq.
173e060098	Ey Yerusəlim, divarlarının üstünə Mən qarovulçular qoydum. Gecə-gündüz onlar susmayacaq. Ey Rəbbə sözünü xatırladan sizlər, susmayın,
173e07007e	Rəbb Yerusəlimi bərpa edənədək, Onu yer üzünün tərifə layiq şəhərinə döndərənədək Ona rahatlıq verməyin!
173e0800c5	Rəbb sağ əlini, güclü qolunu Qaldırıb and içdi: «Düşmənlərinə sənin taxılını bir daha yedirtməyəcəyəm, Yadellilər sənin əziyyətlə sıxdığın şərabını içməyəcək.
173e090080	Taxılı yığan yeyəcək, Rəbbə həmdlər edəcək. Üzümü toplayan şərabını Məbədimin həyətlərində içəcək».
173e0a0097	Keçin, keçin şəhər darvazalarından, Xalq üçün yol hazırlayın! Tikin, yol salın, Daşları kənara atın, Xalqlar üçün bayraq qaldırın!
173e0b00a4	Rəbb yer üzünün ən uzaq yerlərinə bəyan etdi: «Sion qızına deyin: “Budur, qurtuluşun gəlir, Rəbbin mükafatı onunladır, Ənamı önündədir”».
173e0c00a2	Sion xalqına «Rəbbin satın aldığı, müqəddəs xalq» deyəcəklər. Sən, ey Yerusəlim, «Allahın axtardığı, tərk olmamış şəhər» adlanacaqsan.
173f0100b8	Edomdan, Bosradan al geyimlər geyib Bu gələn kimdir? Təmtəraqlı libas içində, Böyük qüdrətlə gələn kimdir? «O Mənəm, həqiqətlə danışan, Qurtarmağa qadir olan».
173f02007a	Nə üçün geyimlərin qırmızıdır, Nə üçün libasın al rəngdədir, Sanki sən üzümsıxanda üzüm sıxırdın?
173f0300e1	«Üzümsıxanda üzümü tək sıxdım, Yanımda xalqlardan heç kim olmadı. Qəzəb içində onları tapdaladım, Qeyzlə təpiyimin altına saldım. Qanları geyimlərimə sıçradı, Bütün libaslarımı bulaşdırdım.
173f04004b	Çünki qisas günü qəlbimdə idi, Xalqımı satın aldığım il gəldi.
173f0500a8	Mən baxdım, kömək edən bir kəs yox idi, Mənim tərəfimi saxlayan olmadığına məəttəl qaldım, Onda qolum mənə zəfər gətirdi, Qeyzim mənə dayaq oldu.
173f060060	Qəzəb içində xalqları tapdaladım, Qeyzimi onlara içirtdim, Qanlarını yerə axıtdım».
173f070105	Rəbbin lütfkar işlərindən, Həmdlərə layiq əməllərindən nəql edəcəyəm. Böyük mərhəməti və məhəbbəti naminə, İsrail nəslinə etdiyi böyük xeyirxahlığına görə, Rəbbin bizə etdiyi bütün işlərinə görə Onu xatırlayacağam.
173f08007a	Rəbb dedi: «Əlbəttə, onlar Mənim xalqımdır, Məni aldatmayan övladlarımdır». Beləcə onlara Qurtarıcı oldu.
173f0900d5	Onlar əziyyət çəkdikdə O da əziyyət çəkdi. Hüzurundan gələn mələk onları xilas etdi. Məhəbbəti və mərhəməti ilə Onları satın aldı. Bütün keçmiş günlərdə onları götürüb apardı.
173f0a007e	Lakin İsrail üsyankar olaraq Onun Müqəddəs Ruhunu kədərləndirdi. Rəbb də düşməni olub Onlara qarşı döyüşdü.
173f0b00d1	Sonra xalq keçmiş günləri – Rəbbin qulu Musanın dövrünü yada saldı. Onları sürüsünün çobanları ilə birgə Dənizdən keçirən haradadır? Onların daxilinə Müqəddəs Ruhunu ehsan edən,
173f0c0093	Öz əzəmətli gücü ilə Musanın sağ əlindən tutub, Özünə əbədi ad qazandırmaq üçün Suları qarşılarında yaran Rəbb haradadır?
173f0d0066	Bir at çöldə yıxılmadan çapan kimi Onları da dərinliklərdən elə keçirən Rəbb haradadır?
173f0e00af	Rəbbin Ruhu onlara elə rahatlıq verdi ki, Elə bil naxır otu bol olan dərədə otarılır. Bəli, Sən adını şərəfləndirmək naminə Xalqına belə yol göstərdin.
173f0f00b2	Ya Rəbb, göylərdən bax, Müqəddəs, izzətli, uca məskənindən bizə nəzər sal! Haradadır Sənin qeyrətin, gücün? Qəlbindəki həsrəti, rəhmi bizdən əsirgədin.
173f1000a6	Sənsən Atamız. İbrahim bizi tanımasa da, İsrail bizim kim olduğumuzu bilməsə də, Atamız Sənsən, ya Rəbb, Əzəldən bəri adın «Bizi Satınalan»dır.
173f1100b6	Nə üçün, ya Rəbb, Bizi yolundan azdırırsan, Səndən qorxmayaq deyə Qəlblərimizi inadkar edirsən? Qullarının xatirinə, İrsin olan qəbilələrinin xatirinə geri dön.
173f120089	Müqəddəs xalqın qısa müddətə Sənin Müqəddəs məkanına sahib oldu. İndi isə oranı düşmənlərimizin ayağı tapdalayır.
173f13006f	Əzəldən bəri heç vaxt Hakimlik etmədiyin xalqa bənzədik, Sanki Sənin adına bağlı xalq olmamışıq.
174001004a	Ya Rəbb, kaş göyləri yarıb enəydin, Dağlar hüzurunda sarsılardı!
1740020087	Alov kolluğu yandıran kimi, Od suyu qaynadan kimi Adını yağılarına tanıtdıraydın, Millətlər önündə lərzəyə gələrdi!
1740030065	Sən gözləmədiyimiz əzəmətli işlər edəndə Endin yer üzünə, dağlar önündə sarsıldı.
1740040089	Ona etibar edənlər üçün belə işlər edən Allahı, Əzəldən bəri Səndən başqasını nə göz görüb, nə də qulaq eşidib.
17400500c6	Sevinə-sevinə salehlik edəni, Yollarında Səni xatırlayanları qarşılayırsan. Amma biz günaha batdıq, Sən qəzəbləndin. Beləcə xeyli vaxt yaşadıq, Bəs biz necə xilas ola bilərik?
17400600b4	Hamımız elə bil ki murdarlandıq, Bütün saleh əməllərimiz murdar əskiyə bənzəyir. Hamımız yarpaq kimi soluruq, Şər əməllərimiz bizi külək tək sovurub-aparır.
174007009b	Sənin adını çağıran yoxdur, Sənə bağlanmaq üçün can atan yoxdur. Çünki bizdən üz döndərdin, Şər əməllərimizə görə bizi yox etdin.
174008006b	Yenə də, ya Rəbb, Sənsən Atamız: Biz gilik, Sən isə dulusçu, Biz hamımız Sənin əlinin işiyik.
174009007a	Ya Rəbb, çox qəzəblənmə, Şər əməllərimizi heç vaxt xatırlama, Hamımız Sənin xalqınıq, bunu nəzərə al.
17400a0057	Müqəddəs şəhərlərin səhraya, Sion çöllüyə döndü, Yerusəlim viran qaldı.
17400b007d	Atalarımızın Sənə həmd etdikləri yer – Müqəddəs, şanlı məbədimiz yandı, Gözəl binalarımız xaraba qaldı.
17400c006e	Bütün bunlardan sonra, Ya Rəbb, yenə də Özünü saxlayacaqsanmı? Susub bizi nə qədər alçaldacaqsan?
174101009b	«Məni soruşmayanlara Mən zühur etdim, Məni axtarmayanlar tərəfindən tapıldım. Adımı çağırmayan millətə dedim: “Buradayam! Buradayam!”
174102006f	Pis yolla gedən, Öz düşüncələri ilə hərəkət edən Dikbaş xalqa gün boyu əllərimi uzadıb durdum.
174103007c	O xalq ki bağlarda qurban kəsərək, Kərpiclərin üstündə buxur yandırıb Gözüm önündə daima Məni təhqir edir,
1741040069	Qəbiristanlıqda oturub Gizli yerlərdə gecələyir, Donuz əti yeyir, Qablarında haram ət qaynadır.
174105009b	Onlar bir-birinə deyir: “Uzaq dur, Mənə yaxınlaşma, çünki mən səndən müqəddəsəm”. Belələri burnuma tüstü, Bütün gün yanan alovdur.
1741060089	Budur, qarşımda bunlar yazılıb: Mən susmayacağam, Ancaq onların əvəzini verəcəyəm, Əməllərini başlarına çevirəcəyəm.
1741070129	Onların da, atalarının da qəbahətlərinin cəzasını Onlara çəkdirəcəyəm». Rəbb deyir. «Dağların başında buxur yandırdıqlarına görə, Təpələrin başında Mənə küfr etdiklərinə görə Mən əvvəlki əməllərini ölçüb onların əvəzini onlara çəkdirəcəyəm».
17410800d9	Rəbb deyir: «Üzüm salxımında şirə tapıldığına görə deyirlər: “Salxımı xarab etməyin, içində bərəkət var”. Mən də qullarımın xatirinə belə edərəm ki, Onların hamısı məhv olmasın.
17410900b0	Yaqubdan törəyənlərin sayını artıracağam, Yəhuda nəslindən dağlarıma varis çıxacaq, Seçilmiş xalqım oranı irs alacaq. Mənim qullarım orada məskunlaşacaq.
17410a0070	Məni axtaran xalqım üçün Şaron sürülərin otlağı, Akor vadisi mal-qaranın rahatlandığı yer olacaq.
17410b00a1	Lakin sizlər – Rəbbi tərk edənlər, Müqəddəs dağımı unudanlar, Tale allahına süfrə açanlar, Qismət allahına camlarda şərab təqdim edənlər,
17410c00f5	Mən də sizi qılınca qismət edəcəyəm, Hamınız qırılmaq üçün diz çökəcəksiniz. Çünki Mən çağıranda sizdən cavab almadım, Danışanda qulaq asmadınız. Gözümdə pis olanı etdiniz, Mənə məqbul olmayanı seçdiniz».
17410d00ba	Buna görə də Xudavənd Rəbb belə deyir: «Qullarım yeyəcək, sizsə ac qalacaqsınız, Qullarım içəcək, sizsə susayacaqsınız, Qullarım sevinəcək, sizsə utanacaqsınız.
17410e008c	Qullarım şadlanıb mədhiyyələr söyləyəcək, Sizsə ürək ağrısından qışqıracaqsınız, Kədərli ruhla fəryad edəcəksiniz.
17410f0097	Sizin adınız seçilmiş xalqımın Ağzında ancaq lənət kimi qalacaq. Xudavənd Rəbb sizi öldürəcək, Öz qullarına isə başqa ad verəcək.
17411000ca	Ölkədə kim xeyir-dua istəsə, Sadiq Allahdan diləyəcək. Ölkədə kim and içsə, Sadiq Allahın adı ilə and içəcək. Çünki keçmiş əziyyətlər unudulub Gözümün önündən yox olacaq.
174111007a	Budur, Mən yeni göylər və yeni yer yaradıram. Əvvəlki işlər bir daha xatırlanmayacaq, Heç yada düşməyəcək.
1741120088	Yaratdığımla əbədilik sevinin, şadlanın. Çünki sevinc üçün yeni Yerusəlimi, Sakinlərini xoşbəxtlik üçün yaradacağam.
174113008a	Mən Yerusəlim üçün sevinəcəyəm, Xalqım üçün şadlanacağam. Orada nə ağlaşma, nə fəryad səsi Bir daha eşidilməyəcək.
17411400b9	Uşaqlar artıq körpə çağlarında ölməyəcək, Uzun ömür sürməyən qoca olmayacaq, Yüz yaşında ölənlər cavan sayılacaq, Yüz yaşına çatmayanlar lənətli sayılacaq.
1741150060	Onlar evlər tikib orada məskunlaşacaq, Üzüm bağları salacaq, bəhrələrindən yeyəcək.
17411600d5	Tikdikləri evdə özgələr yaşamayacaq, Əkdikləri bağın meyvələrini başqaları yeməyəcək. Çünki xalqım ağaclar tək uzun ömür sürəcək, Seçilmişlərim əllərinin işlərindən zövq alacaq.
1741170099	Onlar boş yerə əlləşməyəcək, Övladları bəlalarla üzləşməyəcək. Çünki özləri də, övladları da, Rəbbin xeyir-dualı nəsli olacaq.
174118006e	Onlar Məni çağırmamışdan Mən onlara cavab verəcəyəm, Onlar hələ danışarkən Mən eşidəcəyəm.
17411900ef	Qurdla quzu bir yerdə otlayacaq, Şir buğa tək saman yeyəcək, İlanın yediyi torpaq olacaq. Müqəddəs dağımın heç bir yerində Heç kimə zərər dəyməyəcək, Heç bir kəs o birisini məhv etməyəcək». Rəbb belə deyir.
17420100a6	Rəbb belə deyir: «Göylər Mənim taxtımdır, Yer ayaqlarımın altındakı kətildir. Mənim üçün harada ev tikəcəksiniz, Dincələcəyim yer harada olacaq?
17420200da	Çünki bütün bunları Mənim əlim yaratdı, Hər şey beləcə əmələ gəldi» Rəbb bəyan edir. «Ancaq Mən özünü aşağı tutan və ruhu əzilmiş insana, Sözümün önündə titrəyənə nəzər salaram.
