2800000008	Matthieu
2c1b1f006a	Paul dit au centurion et aux soldats: Si ces hommes ne restent pas à bord vous ne pouvez être sauvés.»
2c1b200050	Les soldats coupèrent alors les cordes de la chaloupe et la laissèrent tomber.
2c1b2100b8	Paul, en attendant le jour, conseilla à tous de prendre de la nourriture. «C'est aujourd'hui le quatorzième jour, dit-il, que vous passez dans l'attente, à jeun, sans rien prendre.
2c1b220077	Je vous conseille donc de manger; cela est nécessaire à votre salut; aucun de vous ne perdra un cheveu de sa tête.»
2c1b230068	En disant cela, il prit du pain, le rompit, en rendant grâces à Dieu devant tous, et se mit à manger.
2c1b240031	Tous reprirent alors courage et mangèrent aussi.
2c1b250035	Nous étions en tout deux cent soixante-seize à bord
2c1b260051	Quand on eut fini, on allégea encore le navire en jetant tout le blé à la mer.
2c1b27009a	Lorsque le jour parut, personne ne reconnut la terre, mais on entrevoyait une baie avec une plage et on résolut d'essayer d'y mettre le navire à l'abri.
2c1b2800be	On coupa donc les câbles des ancres qu'on laissa se perdre dans la mer, on lâcha les amarres des gouvernails, on hissa la voile d'artimon qu'on offrit au vent et on gouverna vers la plage.
2c1b2900d9	On tomba sur une langue de terre battue des deux côtés par la mer; là, le navire échoua. La proue, qui s'était enfoncée dans le sable, resta immobile; la poupe, au contraire, se disloquait à chaque coup de mer.
2c1b2a0064	Les soldats proposèrent alors de tuer les prisonniers de peur qu'ils ne s'échappassent à la nage.
2c1b2b00a4	Mais le centurion, qui voulait sauver Paul, les empêcha de le faire; il ordonna à ceux qui savaient nager de se jeter les premiers à l'eau et de gagner la terre;
2c1b2c0086	aux autres de se mettre sur des planches, sur des épaves de toutes sortes; et c'est ainsi que tous réussirent à se sauver à terre.
2c1c010048	Une fois hors de danger, nous apprîmes que cette île s'appelait Malte.
2c1c0200a6	Les indigènes nous accueillirent avec une humanité peu ordinaire; ils allumèrent un grand feu et nous y réunirent tous, car la pluie tombait, et il faisait froid.
2c1c030088	Comme Paul prenait une poignée de bois sec et la jetait dans le brasier, la chaleur en fit sortir une vipère qui s'attacha à sa main.
2c1c0400de	Quand les indigènes virent l'animal qui pendait à sa main, ils se dirent entre eux: «Certainement c'est un meurtrier que cet homme; à peine échappe-t-il à la mer et la Justice divine ne veut pas lui laisser la vie!»
2c1c05003f	Mais lui secoua l'animal dans le feu et ne ressentit aucun mal.
2c1c0600d3	Eux s'attendaient à le voir enfler ou tomber mort tout à coup. Pendant longtemps ils attendirent, et voyant qu'il ne lui arrivait rien de fâcheux, ils changèrent d'avis et déclarèrent qu'il était un dieu.
2c1c0700c7	Il y avait, près de cet endroit-là, des terres appartenant au principal personnage de l'île, un certain Publius; il nous recueillit et nous traita pendant trois jours avec beaucoup d'hospitalité.
2c1c0800a3	Or le père de ce Publius était retenu au lit par des accès de fièvre et la dysenterie. Paul entra chez lui, fit la prière, lui imposa les mains et le guérit.
2c1c090058	Là-dessus, tous les autres habitants malades de l'île vinrent aussi et furent guéris.
2c1c0a0076	Aussi nous rendirent-ils toutes sortes d'honneur et, à notre départ, ils nous fournirent ce dont nous avions besoin.
2c1c0b008d	Trois mois plus tard, nous prenions passage sur un navire alexandrin, à l'enseigne des Dioscures, qui avait hiverné dans le port de l'île.
2c1c0c003b	Puis nous gagnions Syracuse et nous y passions trois jours;
2c1c0d0090	de là, longeant toujours la côte, nous touchions à Reggio. Le lendemain le vent du sud se leva, et, en deux jours, nous étions à Pouzzoles.
2c1c0e007f	Nous y trouvâmes des frères qui nous engagèrent à rester une semaine avec eux. Ensuite nous nous mîmes en route pour Rome.
2c1c0f00d0	Les frères de cette ville, qui avaient eu de nos nouvelles, vinrent à notre rencontre jusqu'à «Forum d'Appius» et jusqu'à «Les Trois Tavernes». A leur vue, Paul rendit grâces à Dieu et prit courage.
2c1c100068	Quand nous fûmes arrivés à Rome, Paul eut la permission de rester seul avec le soldat qui le gardait.
2c1c11012d	Trois jours après, cependant, il convoqua les Juifs de Rome les plus considérés, et quand ils furent réunis, il leur dit: «Mes frères, je n'avais rien fait de contraire à notre peuple et aux institutions de nos pères, lorsqu'on m'a arrêté à Jérusalem et livré entre les mains des Romains.
2c1c12007b	Ceux-ci, après avoir examiné ma cause, voulaient me relâcher, parce que rien ne pouvait motiver ma condamnation à mort.
2c1c130089	Mais les Juifs, s'y étant opposés, je me vis forcé d'en appeler à l'Empereur, sans cependant vouloir me plaindre de mes compatriotes.
2c1c140095	Voilà pourquoi je vous ai demandés; je voulais vous voir et vous parler, car c'est à cause de l'espérance d'Israël que je porte cette chaîne.»
2c1c1500a6	Ils lui répondirent: «Nous n'avons pas reçu de lettres de Judée à ton sujet, et aucun de nos frères n'est venu nous faire de rapport ni nous dire du mal de toi.
2c1c16008e	Cependant nous voudrions bien apprendre de toi ce que tu penses; car, à notre connaissance, ce parti-là rencontre partout de l'opposition.»
2c1c170104	Alors ils prirent jour ensemble et un plus grand nombre encore vint le trouver chez lui. Du matin au soir il leur exposait ce que c'était que le Royaume de Dieu et les suppliait en leur démontrant par la «Loi et les Prophètes» tout ce qui concerne Jésus.
2c1c180055	Les uns se laissèrent convaincre par ses paroles, les autres restèrent incrédules.
2c1c1900b6	Comme ils se séparaient sans avoir pu se mettre d'accord, Paul leur dit ce simple mot: «L'Esprit saint a admirablement parlé quand il a dit à vos pères par le prophète Ésaïe:
2c1c1a007f	«Va vers ce peuple et dis-lui: Vos oreilles entendront et vous ne comprendrez pas; Vos yeux regarderont et vous ne verrez pas,
2c1c1b00fe	Car le coeur de ce peuple s'est endurci; Ils ont fait la sourde oreille; ils ont fermé les yeux, Pour que leurs yeux ne voient pas, que leurs oreilles n'entendent pas, Que leurs coeurs ne comprennent pas Pour se convertir et que je puisse les guérir.»
2c1c1c0059	«Sachez donc que ce salut de Dieu a été envoyé aux païens; ceux-là l'écouteront!»
2c1c1d0051	(Lorsqu'il eut dit cela, les Juifs s'en allèrent, discutant vivement entre eux.)
2c1c1e0051	Paul demeura deux ans entiers dans un appartement qu'il avait loué à ses frais;
2c1c1f00b6	il pouvait y recevoir tous ceux qui venaient le voir; il prêchait le Royaume de Dieu; il enseignait ce qui concerne le Seigneur Jésus-Christ sans difficultés et en toute liberté.
2d00000007	Romains
2d01010058	Paul, serviteur de Jésus-Christ, élu apôtre choisi pour prêcher l'évangile de Dieu,
2d01020049	(Évangile promis d'avance par ses prophètes dans les saintes Écritures
2d01030043	et concernant son Fils né, quant à la chair, de la race de David,
2d01040091	et, quant à l'Esprit de sainteté, déclaré avec puissance Fils de Dieu, par sa résurrection d'entre les morts, Jésus-Christ notre Seigneur);
2d0105006d	(Nous avons reçu de sa grâce la mission d'amener en son nom à l’obéissance de la foi tous les païens),
2d0106003d	(dont vous faites aussi partie, vous élus de Jésus-Christ).
2d0107009e	A tous les biens-aimés de Dieu, fidèles élus qui sont à Rome. Grâce et paix vous soient accordées par Dieu notre Père et par le Seigneur Jésus-Christ.
2d01080083	Je commence en rendant grâces pour vous tous à mon Dieu par Jésus-Christ de ce que votre foi est renommée dans le monde entier.
2d01090094	Le Dieu, que je sers de toute mon âme en prêchant l'Évangile de son Fils, m'est témoin que sans cesse je fais mention de vous dans mes prières,
2d010a0062	lui demandant toujours que je puisse une fois enfin réussir, par sa volonté, à venir chez vous.
2d010b0077	J'ai, en effet, le plus grand désir de vous voir, pour vous communiquer quelque don spirituel propre à vous affermir;
2d010c0075	je veux dire, pour que, chez vous, nous nous encouragions mutuellement, vous et moi, par la foi qui nous est commune.
2d010d00e6	Je ne veux pas vous laisser ignorer, mes frères, que souvent j'ai formé le projet d'aller chez vous (j'en ai été empêché jusqu'à présent), afin de recueillir aussi quelques fruits parmi vous comme parmi les autres païens.
2d010e0045	Je me dois aux Grecs et aux étrangers, aux savants et aux ignorants.
2d010f0064	J'ai donc, pour ma part, grande envie de vous prêcher l'Évangile à vous aussi, habitants de Rome!
2d01100085	Car je n'ai pas honte de l'Évangile; il est une puissance de Dieu donnant le salut à tout croyant, au Juif d'abord, puis au païen.
2d01110095	Il s'y révèle, en effet, une justice de Dieu, qui vient de la foi, qui est accordée à la foi, comme il est écrit: «Le juste vivra par la foi.»
2d01120095	Il y a une colère de Dieu qui se révèle du haut du ciel contre toute impiété et toute iniquité d'hommes qui méchamment étouffent la vérité,
2d01130056	car ce qu'on peut savoir sur Dieu est à leur portée, Dieu le leur a fait connaître.
2d011400d5	En effet, les perfections invisibles de Dieu, son éternelle puissance et sa divinité, éclatent aux yeux depuis la création du monde, pour quiconque sait regarder ses oeuvres. De la sorte ils sont inexcusables;
2d011500ec	car enfin, ayant conscience de Dieu, ils ne lui ont ni rendu gloire, ni rendu grâces comme à leur Dieu; au contraire, ils se sont perdus dans des raisonnements sans valeur; leur coeur inintelligent a été plongé dans les ténèbres.
2d01160032	Ils se sont dits sages et ils ont été insensés,
2d01170087	ils ont substitué, à la gloire du Dieu immortel des images représentant l'homme mortel, les oiseaux, les quadrupèdes, les reptiles.
2d0118008f	Voilà pourquoi Dieu les a livrés à toutes les passions de leurs coeurs et à une impureté telle qu'eux-mêmes ils déshonorent leurs corps.
2d011900af	Oui, c'est pour avoir substitué à la vérité de Dieu le mensonge, pour avoir servi, avoir adoré la créature au lieu du Créateur, — (Béni soit-il à jamais! Amen!) —
2d011a008f	c'est pour cela que Dieu les a livrés à des passions infâmes: Les femmes ont remplacé les relations naturelles par des actes contre nature;
2d011b00f5	les hommes de même ont abandonné leurs relations naturelles avec la femme, se sont pris de passions furieuses les uns pour les autres, ont commis entre hommes des infamies et ont reçu en leurs personnes le salaire que mérite leur égarement;
2d011c0096	et comme ils ne se sont pas souciés de savoir qui était Dieu, Dieu les a livrés à un esprit d'aveuglement, et ils font ce qu'il ne faut pas faire.
2d011d00a6	Ils ont tous les vices, toutes les méchancetés, toutes les malices, toutes les rapacités; ne respirant qu'envie, meurtre, discorde, ruse, mauvaise foi; délateurs,
2d011e0062	calomniateurs, impies, insolents, orgueilleux, présomptueux, ingénieux au mal, enfants rebelles,
2d011f002d	inintelligents, parjures, durs, impitoyables.
2d012000b2	Ces gens-là connaissent le décret de Dieu qui condamne à mort ceux qui commettent de tels actes, et non seulement ils les commettent, mais ils approuvent ceux qui s'y livrent.
2d020100ae	Donc, tu es sans excuse, ô homme, qui que tu sois, de juger autrui; car, en le jugeant, tu te condamnes toi-même, et, en effet, tout en le jugeant, tu te conduis comme lui;
2d02020065	et la sentence de Dieu sur ceux qui se conduisent ainsi est, nous le savons, conforme à la vérité.
2d02030078	Penses-tu, toi qui juges ceux qui se conduisent ainsi et qui en fais autant, penses-tu échapper à la sentence de Dieu?
2d02040085	Et son inépuisable bonté, et sa tolérance, et sa patience les méprises-tu? Ignores-tu que la bonté de Dieu t'invite au repentir?
2d0205009f	Par ton endurcissement et par l'impénitence de ton coeur, tu t'amasses un trésor de colère pour le jour terrible où se révélera le juste jugement de Dieu
2d0206002a	«Qui rendra à chacun selon ses oeuvres»
2d02070077	Aux uns qui, en persévérant dans l'oeuvre bonne, cherchent la gloire, l'honneur et l'immortalité: la vie éternelle!
2d02080080	Aux autres qui, par esprit de parti, s'opposent à la vérité et se laissent aller à l'iniquité: la colère et l'indignation!
2d02090073	Malheur, désespoir sur toute âme d'homme qui fait le mal, sur celle du Juif d'abord, sur celle du païen ensuite!
2d020a0056	Gloire, honneur et paix à quiconque fait le bien, au Juif d'abord, au païen ensuite!
2d020b0026	Car Dieu n'a pas égard aux personnes;
2d020c009f	tous ceux qui auront péché sans avoir eu de Loi, périront sans avoir eu de Loi, et ceux qui auront péché en ayant eu une Loi, seront jugés par cette Loi.
2d020d0090	En effet, ce ne sont pas ceux qui entendent lire une Loi qui sont justes aux yeux de Dieu; mais ceux qui la pratiquent seront déclarés justes.
2d020e0095	Et quand les païens qui n'ont pas de Loi font naturellement ce que la Loi commande, tout en n'ayant pas de Loi, ils sont eux-mêmes leur propre Loi;
2d020f00c1	ils montrent que l'oeuvre commandée par la Loi est écrite dans leur coeur, c'est leur conscience qui l'atteste et ce sont leurs pensées qui tantôt les accusent, tantôt même les absolvent.
2d0210007a	On le verra le jour où Dieu, selon l'Évangile que je prêche, jugera par Jésus-Christ les actions secrètes des hommes.
2d0211004b	Toi tu te nommes un Juif, tu te reposes sur la Loi, tu es fier de ton Dieu,
2d02120050	tu connais sa volonté, instruit par la Loi tu sais, peser le pour et le contre,
2d0213006b	tu te sens capable d'être un guide pour les aveugles, une lumière pour ceux qui sont dans les ténèbres,
2d02140092	un directeur pour les ignorants, un maître pour ceux qui sont encore enfants, car tu as dans la Loi l'expression de la sagesse et de la vérité;
2d0215006f	et quand tu instruis ainsi les autres tu ne t'instruis pas toi-même! tu prêches de ne pas voler, et tu voles!
2d0216007a	tu dis de ne pas commettre d'adultères, et tu en commets! tu as les idoles en abomination, et tu commets des sacrilèges!
2d0217003e	tu es fier d'avoir une Loi, et tu outrages Dieu en la violant!
2d0218005c	«Le nom de Dieu, comme dit l'Écriture, est déshonoré par les païens à cause de vous.»
2d0219007f	La circoncision est utile, sans doute, tant que tu pratiques la Loi; si tu la violes, tu es comme si tu n'étais pas circoncis.
2d021a007d	Si l'incirconcis observe les ordonnances de la Loi, tout incirconcis qu'il est, ne sera-t-il pas considéré comme circoncis?
2d021b0094	Et l'incirconcis de naissance qui observe la Loi ne te jugera-t-il pas, toi, qui la violes, possesseur de la lettre de la Loi et de la circoncision?
2d021c0063	On n'est pas Juif par l'extérieur; la vraie circoncision n'est pas celle qui se voit sur le corps;
2d021d00d9	mais le vrai Juif c'est celui qui l'est intérieurement, le vrai circoncis l'est dans son coeur, il ne l'est pas à la lettre, il l’est en esprit; voilà le Juif qui est approuvé sinon des hommes, du moins de Dieu!
2d03010055	Quelle est donc la prérogative du Juif, ou quelle est l'utilité de la circoncision?
2d0302005d	Elle est grande à tous les égards: Il y a d'abord que Dieu a confié aux Juifs ses oracles.
2d0303006a	Comment donc? s'il en est qui ont manqué de foi, leur infidélité annulera-t-elle la fidélité de Dieu?
2d030400d6	C'est impossible, il faut que Dieu soit véridique, Tous les hommes dussent-ils être des menteurs,» comme il est écrit: «Tes paroles doivent être reconnues justes Et tu dois gagner ta cause quand on te juge.»
2d030500ad	Mais de ce que notre injustice met en relief la justice de Dieu, que conclurons-nous? que Dieu sera injuste en laissant agir sa colère? (je parle là comme font les hommes)
2d0306003e	c'est impossible; autrement comment Dieu jugerait-il le monde?
2d03070083	Et si mon manque de foi a fait apparaître dans toute sa gloire la véracité de Dieu, pourquoi donc serai-je jugé comme pécheur?
2d030800ac	et pourquoi (comme nos calomniateurs le répandent et nous accusent de le dire) ne ferions-nous pas le mal, pour qu'il en sorte du bien? Je condamne ceux qui parlent ainsi.
2d0309009f	Que dire alors? qu'avons-nous à mettre en avant? absolument rien. Nous avons déjà montré que les Juifs comme les Grecs, tous sont sous l'empire du péché,
2d030a003a	comme il est écrit: «Il n'y a pas de juste, pas un seul;
2d030b0035	Personne n'est intelligent, Personne ne cherche Dieu;
2d030c0061	Tous se sont fourvoyés et corrompus ensemble; Il n'y en a pas un qui fasse le bien, pas un seul.
2d030d0071	Leur gosier est un sépulcre béant; Leur langue leur sert à tromper; Le venin de l'aspic est sur leurs lèvres;
2d030e0035	Leur bouche est pleine de malédiction et d'amertume;
2d030f002e	Ils ont le pied léger pour répandre le sang,
2d03100032	La désolation et le malheur sont sur leur chemin;
2d03110023	La voie de la paix, ils l'ignorent;
2d03120037	La crainte de Dieu, ils ne l'ont pas devant les yeux.»
2d031300bb	Or nous savons que tout ce que dit la Loi, elle le dit à ceux qui sont soumis à la Loi, pour que toute bouche soit fermée, et que le monde entier soit sous le coup du jugement de Dieu.
2d03140078	Car les oeuvres de la Loi «Ne justifient devant lui aucune créature;» la Loi ne donne que la connaissance du péché.
2d03150077	Mais maintenant il a été révélé une justice de Dieu, indépendante de la Loi; la Loi et les Prophètes en parlent.
2d03160075	Cette justice qui vient de Dieu par la foi en Jésus-Christ s'adresse à tous les croyants; et cela sans distinction;
2d03170045	car tous les hommes ont péché et sont privés de la gloire de Dieu.
2d03180065	Dans sa grâce, ils sont gratuitement justifiés, au moyen de la Rédemption faite par Jésus-Christ.
2d0319006a	Dieu l'avait destiné à être, par sa mort sanglante, une victime propitiatoire pour ceux qui croiraient,
2d031a00e7	et il a ainsi montré sa justice. (Dans son indulgence il n'a pas tenu compte des péchés antérieurs). Il a, dis-je, montré de nos jours sa justice, pour qu'on sût qu'il est juste et qu'il justifie celui qui a la foi en Jésus.
2d031b0089	Où est, après cela, le motif de s'enorgueillir? il est exclu. Par quelle institution? celle des oeuvres; non, mais par celle de la foi.
2d031c005d	Nous pensons donc que l'homme est justifié par la foi indépendamment des oeuvres de la Loi.
2d031d0050	Dieu ne serait-il que le Dieu des Juifs? n'est-il pas aussi le Dieu des païens?
2d031e0079	Oui, des païens aussi, puisqu'il n'y a qu'un Dieu qui justifiera les circoncis par la foi et les incirconcis par la foi.
2d031f005c	Est-ce que nous annulons donc la Loi par la foi? Nullement. nous la confirmons au contraire.
2d04010057	Quel avantage pouvons-nous dire que notre premier père Abraham a obtenu par lui-même?
2d0402006a	Si ce sont ses oeuvres qui l'ont justifié, il peut être orgueilleux; mais il ne le peut pas devant Dieu.
2d04030056	Que dit l'Écriture: «Abraham eut foi en Dieu, et cela lui fut compté pour justice»
2d04040071	Or le salaire de celui qui a fait de bonnes oeuvres n'est pas considéré comme une grâce, mais comme une dette.
2d0405008e	Quant à celui qui n'a pas fait de bonnes oeuvres, mais qui a foi en Celui qui justifie le pécheur, sa foi lui «est comptée pour justice».
2d04060065	David aussi parle du bonheur de celui que Dieu considère comme juste indépendamment de ses oeuvres:
2d04070053	«Heureux ceux dont les fautes sont pardonnées Et dont les péchés sont effacés.
2d04080043	Heureux celui dont le Seigneur ne porte pas en compte le péché.»
2d040900b3	Cette béatitude ne s'adresse-t-elle qu'aux circoncis? ne s'applique-t-elle pas aussi aux incirconcis? Quand nous disons pour Abraham que «sa foi lui fut comptée pour justice,»
2d040a0071	comment lui fut-elle comptée? avant ou après sa circoncision? Ce n'est pas après, c'est avant sa circoncision!
2d040b00ff	Et il a reçu le signe de la circoncision comme le sceau de la justice que sa foi lui avait obtenue quand il n'était pas circoncis; c'était pour qu'il fût le père de tous les incirconcis qui auraient la foi, et qu'elle leur fût comptée pour justice.
2d040c00bf	Il devait être aussi le père des circoncis qui non seulement le seraient, mais qui marcheraient sur ses traces, en ayant la foi qu'il avait, lui, notre père Abraham, avant sa circoncision.
2d040d008a	En effet, ce n'est pas une Loi qui a assuré à Abraham et à ses descendants la possession du monde, c'est la justice que procure la foi.
2d040e0063	Si c'est une Loi qui assure cette possession, alors la foi est inutile et la promesse est annulée.
2d040f0067	(La Loi ne produit que la colère, et là où il n'y a pas de Loi, il n'y a pas non plus de violation.)
2d0410010b	Voici pourquoi la possession vient par la foi: c'est pour qu'elle soit l'effet d'une grâce, et que la promesse soit assurée à tous les descendants, non pas seulement à ceux qui ont reçu la Loi, mais à ceux qui ont eu la foi d'Abraham; il est notre père à tous
2d041100c0	(ainsi que cela est écrit: «Je t'ai rendu père de plusieurs peuples»), il l'est devant le Dieu en qui il a cru, qui rend la vie aux morts et qui appelle à l'existence ce qui n'existe pas.
2d041200a8	Contre toute espérance, il a été plein d'espérance, il a cru et il est devenu «le père de plusieurs peuples» (selon cette parole: «Telle sera ta postérité»).
2d0413008e	Sa foi n'a pas faibli; il n'a pas fait attention à son extrême vieillesse (il était presque centenaire) ni à l'âge trop avancé de Sarra.
2d0414007e	Il ne douta pas de la promesse de Dieu; il ne fut pas incrédule; au contraire, fortifié par sa foi, il donna gloire à Dieu,
2d0415004d	convaincu que Celui qui a promis est assez puissant pour remplir sa promesse.
2d04160037	Voilà pourquoi «elle lui fut comptée pour justice».
2d0417004e	Or ce n'est pas pour lui seul que ce mot est écrit: «cela lui fut compté»,
2d04180099	c'est aussi pour nous; cela doit nous être «compté» également à nous qui croyons en celui qui a ressuscité des morts notre Seigneur Jésus-Christ,
2d0419006b	lui qui «a été livré à cause de nos péchés» et a été ressuscité à cause de notre justification.
2d0501005e	Étant ainsi justifiés par la foi, soyons en paix avec Dieu par notre Seigneur Jésus-Christ,
2d05020097	qui, de plus, nous a donné, par notre foi, accès à cette grâce que nous possédons; aussi mettons-nous notre orgueil à espérer la gloire de Dieu.
2d0503006f	Bien plus, nous mettons encore notre orgueil dans les afflictions sachant que l'affliction produit la patience,
2d05040055	que par la patience nous supportons l'épreuve, que de l'épreuve naît l'espérance.
2d05050076	Or l'espérance ne trompe pas, parce que l'Esprit saint, reçu par nous, fait abonder l'amour de Dieu dans nos coeurs.
2d0506005d	En effet, nous étions encore faibles, et Christ, au temps marqué, est mort pour des impies.
2d0507007f	On donnerait difficilement sa vie pour un juste (oui, il pourrait arriver que l'on consentît à mourir pour un homme de bien),
2d05080080	mais la preuve de son amour pour nous Dieu l'a donnée, en ce que Christ est mort pour nous quand nous étions encore pécheurs.
2d05090071	A plus forte raison, serons-nous sauvés de la colère par celui dans le sang duquel nous avons été justifiés.
2d050a00a8	En effet, si, quand nous étions ennemis, Dieu nous a réconciliés par la mort de son Fils, à plus forte raison, étant réconciliés, serons-nous sauvés par sa vie.
2d050b0095	Bien plus, nous avons encore sujet de mettre notre orgueil en Dieu par notre Seigneur Jésus-Christ, qui nous a maintenant obtenu la réconciliation.
2d050c00c2	Par conséquent, de même que par un seul homme le péché est entré dans le monde et par le péché la mort, et que la mort s'est ainsi étendue à tous les hommes, parce que tous ont péché.
2d050d0064	Avant la Loi, le péché était dans le monde; or, en l'absence de Loi, le péché n'est pas imputé
2d050e00c4	et cependant la mort a exercé son règne depuis Adam jusqu'à Moïse, même sur ceux qui n'avaient point péché dans les mêmes conditions qu'Adam. Adam était l'image de celui qui devait venir.
2d050f0121	Toutefois, il n'en est pas de même de la faute d'une part et du don de la grâce de l'autre. Car si la faute d'un seul homme a entraîné la mort de beaucoup, à plus forte raison la grâce de Dieu et le don de cette grâce, le don d'un seul homme, Jésus-Christ, en ont enrichi beaucoup.
2d05100108	Il n'en est pas de même non plus des conséquences du premier péché d'une part et du don de l'autre; car la sentence qui suivit une faute unique a entraîné une condamnation, et le don de la grâce qui suivit des fautes nombreuses a entraîné un acquittement.
2d05110125	Si, en effet, à la suite d'une seule faute et par le fait d'un seul homme, la mort a exercé son règne, à bien plus forte raison ceux qui reçoivent la grâce immense de Dieu et le don de la justice participeront-ils au Royaume et à la vie par le fait d'un seul homme aussi, Jésus-Christ.
2d051200be	Ainsi donc, de même qu'une seule faute a entraîné la condamnation de tous les hommes, de même un seul acte de justice a entraîné pour tous les hommes la justification qui donne la vie;
2d0513009b	et de même que la désobéissance d'un seul homme en a rendu pécheurs un grand nombre, de même l'obéissance d'un seul en rendra justes un grand nombre.
2d0514007b	Quant à la Loi, elle est intervenue pour multiplier les fautes, mais là où le péché a abondé, la grâce a surabondé,
2d0515009b	et alors, comme le péché a régné par la mort, de même aussi la grâce régnera par la justice pour la vie éternelle par Jésus-Christ notre Seigneur.
2d06010068	Et maintenant comment conclure? En disant que nous persisterons à pécher pour faire abonder la grâce?
2d0602004e	Non, certes. Nous qui sommes morts au péché, comment y vivrions-nous encore?
2d060300b4	Ne savez-vous pas que nous tous qui avons été baptisés en Jésus-Christ, c'est en sa mort que nous l'avons été? Nous avons été ensevelis avec lui par le baptême en sa mort,
2d0604007b	et de même que Christ a été ressuscité des morts par la gloire du Père, de même nous devons vivre d'une vie nouvelle.
2d0605007e	Si nous sommes étroitement unis à lui par une mort semblable à la sienne, nous le serons aussi par une même résurrection;
2d06060099	nous savons que notre vieil homme a été crucifié avec lui, afin que ce corps de péché soit détruit, et que nous ne soyons plus esclaves du péché.
2d06070043	Celui qui est mort est déclaré juste et est délivré du péché.
2d06080052	Si nous sommes morts avec le Christ, nous croyons que nous vivrons aussi avec lui,
2d06090064	car nous savons que Christ ressuscité des morts ne meurt plus; la mort n'a plus de pouvoir sur lui.
2d060a0094	Il est mort, en effet, et c'est à cause du péché qu'il est mort une fois pour toutes; puis il est revenu à la vie, et c'est pour Dieu qu'il vit.
2d060b0063	De même considérez-vous aussi comme morts au péché et comme vivants pour Dieu en Jésus-Christ.
2d060c005b	Que le péché ne règne donc pas dans votre corps mortel, n'obéissez pas à ses passions;
2d060d00d1	ne livrez pas vos membres au péché; n'en faites pas les instruments du vice, mais donnez-vous à Dieu, vous qui étiez morts et qui vivez, consacrez vos membres à Dieu, faites-en des instruments de justice.
2d060e0062	Le péché n'aura plus de pouvoir sur vous, car vous n'êtes pas sous la Loi, mais sous la grâce.
2d060f006c	Mais quoi? Devons-nous pécher parce que nous ne sommes pas sous la Loi, mais sous la grâce? Oh! nullement.
2d061000bd	Ne savez-vous pas que si vous vous asservissez à quelqu'un et lui obéissez, vous devenez ses esclaves? soit du péché qui mène à la mort, soit de la soumission qui mène à la justice.
2d06110095	Grâces soient rendues à Dieu, de ce qu'autrefois, esclaves du péché, vous vous êtes soumis de coeur au type de doctrine qui vous a été offert!
2d061200ba	Mais du moment que vous avez été délivrés du péché, vous êtes devenus esclaves de la justice (j'emploie cette expression usuelle: esclaves, à cause de votre faiblesse naturelle);
2d061300d6	de même, veux-je dire, que vous avez mis vos membres au service de l'impureté et de l'iniquité pour violer la Loi, de même vous devez mettre maintenant vos membres au service de la justice pour vous sanctifier.
2d06140056	Lorsque vous étiez esclaves du péché, vous étiez libres à l'égard de la justice.
2d06150069	Quel avantage en retiriez-vous? Un avantage qui vous fait honte aujourd'hui; cela vous menait à la mort.
2d06160090	Mais maintenant, délivrés du péché et esclaves de Dieu, l'avantage que vous retirez, c'est la sanctification qui mène à la vie éternelle.
2d06170080	Le salaire du péché, c'est la mort; mais le don de la grâce de Dieu, c'est la vie éternelle en Jésus-Christ notre Seigneur.
2d07010091	Ignorez-vous, frères (je parle à des personnes Connaissant la Loi), que celle-ci tient l'homme en son pouvoir aussi longtemps qu'il est en vie?
2d0702009f	La femme mariée, par exemple, est liée par une loi à son mari s'il est vivant; si son mari vient à mourir, le lien légal qui l'attachait à lui est rompu.
2d070300e8	Ainsi elle méritera le nom d'adultère si, du vivant de son mari, elle se donne à un autre; mais, après la mort de son mari, elle est affranchie de toute obligation légale, il n'y a plus d'adultère si elle se donne à un autre.
2d070400ee	Il en est de même de nous, mes frères; nous avons été mis à mort relativement à la Loi par le moyen du corps du Christ pour appartenir à un autre, à celui qui est ressuscité des morts, afin que nous portions des fruits pour Dieu.
2d070500c3	Car lorsque nous vivions encore selon la chair, les passions coupables, excitées par la Loi, exerçaient leur activité dans les membres de notre corps, et nous portions des fruits pour la mort.
2d070600c9	Mais maintenant le lien légal a été rompu; nous sommes morts à cette Loi qui nous retenait captifs, pour que nous servions Dieu dans la nouveauté de l'Esprit et non dans la vétusté de la lettre.
2d070700e3	Eh bien, comment conclure? en disant que la Loi c'est le péché? Non certes, mais que par la Loi seule je connais le péché. Par exemple, je n'aurais rien su de la convoitise, si la Loi n'avait dit: «Tu ne convoiteras pas!»
2d0708009c	et c'est le péché qui, saisissant l'occasion de ce commandement, a fait naître en moi toutes sortes de convoitises, car sans Loi le péché n'existe pas.
2d0709006f	Je vivais sans Loi autrefois, mais le commandement me fut donné, le péché vint à naître, et moi je mourus.
2d070a0078	Et il est arrivé ceci: le commandement qui devait me mener à la vie, ce commandement-là même m'a conduit à la mort.
2d070b0066	Oui, le péché a saisi l'occasion du commandement, m'a séduit et m'a tué par ce commandement même.
2d070c0057	Quant à la Loi, elle est sainte, et le commandement lui-même est saint, juste et bon.
2d070d010e	Mais alors c'est une bonne chose qui est cause de ma mort? Nullement, c'est le péché; il s'est servi d'une bonne chose pour m'apporter la mort, et alors il a montré ce qu'il était, il est apparu on ne peut plus coupable, ce péché qui se sert ainsi du commandement.
