0100000009	Doometsaa
14030c0060	Ayaw gooppe, aawuu bare siik'iyaa na'aa seeriyaawaadan, Med'inaa Goday bare dosiyaa uraa seeree.
14030d0054	Aad'd'eeda eratetsaa demmiyaa uray, akeekaakka barewaa ootsiyaa uray anjjetteedawaa.
14030e0060	Ayaw gooppe, aappe demmiyaa go"ay work'k'aappenne biraappe demmiyaa go"aappe aad'd'eenne keekee.
14030f0074	Aad'd'eeda eratetsay ink'k'uwaappe loytsi al"ee; neeni demmanaw amottiyaa ubbay aad'd'eeda eratetsaanna likkettenna.
1403100050	Aad'd'eeda eratetsay ne laytsaa adussee; I new duretetsaanne bonchchuwaa gujjee.
1403110040	Aa ogetuu nashechchiyaa ogetuwaa; Aa loossuwaa ubbaykka saruwaa.
140312005d	I barena oyk'k'iyaawanttoo de'uwaa mitsaa; Aa minisi oyk'k'iyaa ubbatuukka anjjetteedawantta.
1403130061	Med'inaa Goday bare aad'd'eeda eratetsan sa'aa med'd'eedda; bare akeekankka salotuwaa miniseedda.
1403140040	Aa eratetsan shaafatuu goggiino; shaaratuuwaappekka iray bukkee.
1403150063	Ta na'aw, lo"o aad'd'eeda eratetsaanne adussi k'oppiyaawaa naaga; unttunttu neeppe shaakkettoppino.
1403160056	Unttunttu new de'uwaa gidana; unttunttu new ishaluwaanne nashshechchaa de'uwaa immana.
140317004c	He wode neeni ne ogiyaan hirggi bayinnan hamettana; ne gediikka d'ubettenna.
1403180048	Neeni giseedda wode, yayakka; gisaadekka mal"o gem"ishshuwaa gem"ishana.
1403190041	Akeekenan gakkiyaa bashshaw, woy iitatuu d'ayiyaa d'ayoo yayakka.
14031a006f	Ayaw gooppe, Med'inaa Goday new ammanettiyaawaa gidana; ne gediikka p'iriyaan oyk'ettennaadan, I neena naagana.
14031b0045	New wolk'k'ay de'ishiina, metooteeddawoo lo"obaa ootsiyaawaa aggoppa.
14031c0053	Ha"i new de'ishiina, ne shooroo, «Simmaade ya; taani new wontti immana» yaagoppa.
14031d0058	Neenan ammanettiide, ne matan de'ishiina, ne shooruwaa bolla iitabaa ootsanaw k'oppoppa.
14031e002a	Neena naak'k'ibeenna asaa, c'oo moottoppa.
14031f004a	Sugetsaa ootsiyaa asatuwaa k'ulloppa; unttunttu iita oosuwaakka kaalloppa.
140320005b	Ayaw gooppe, Med'inaa Goday iitaa ootsiyaawantta is's'ee; shin suuretuwaa I uloppe siik'ee.
1403210061	Med'inaa Godaa shek'ay iitaa ootsiyaawanttu soyina; shin Aa anjjuu suurebaa haniyaawanttu soyina.
1403220061	Otorettiide k'iliic'iyaawantta S'oossaykka k'iliic'ee; shin barentta kawushshiyaawantta nashshee.
1403230047	Aad'd'eeda eranchchatuu bonchchuwaa demmana; shin boozatuu kawushshana.
1404010054	Ta naatoo, hintte aabbu zoriyaa sisite; loytsi hayzzite; yaatooppe, hintte akeekana.
1404020047	Taani hinttew lo"o timirttiyaa immiyaa diraw, ta timirttiyaa aggoppite.
1404030054	Taani ta huup'iyankka ta aabboo na'aa; ta aatiwukka Aa siik'iyaa mes's'i itti na'aa.
140404007f	Ta aabbu taana tamaarissiidde, hawaadan yaageedda; «Taani odiyaawe new gelo; ta azazuwaa naaga; yaatooppe, neeni pas'a de'ana.
140405005b	Aad'd'eeda eratetsaanne akeekaa demma; taani new odeeddawaa dogoppa; ta k'aalaappe kesoppa.
1404060062	Aad'd'eeda eratetsaw zokkiyaa zaaroppa; ayaw gooppe, I neena ashshana; Aa siik'a; I neena naagana.
1404070084	Aad'd'eeda eratetsay ubbaappe aad'd'iyaa diraw, aad'd'eeda eratetsaa demma. Akeekay ne de'iyaawaa ubbaa wurssi akkooppekka Aa demma.
1404080062	Neeni Aa bonchcha; ikka neena d'ok'k'u d'ok'k'u ootsana; neeni Aa oyk'k'ooppe, I neena bonchchana.
1404090051	I ne huup'iyaan sabaa kalachchaa wotsana; bonchcho kalachchaa immana» yaageedda.
14040a0049	Ta na'aw, sisa; taani giyaawaakka akka; ne de'uwaa laytsaykka aduk'k'ana.
14040b004f	Taani neena aad'd'eeda eratetsaa ogiyaa kaaletsana; suure loossuwaanakka afana.
14040c0058	Neeni hamettiyaa wode, ne hamettiyaasan d'ubbiyaawe de'enna; wos's'ooppekka d'ubettakka.
14040d0055	Tamaareeddawaa hassaya, yeddoppa; timirttii new de'uwaa gideedda diraw, loytsa naaga.
14040e0049	Nagaranchchatuwaa ogiyaa yed'd'oppa; iita asatuwaa ogiyaankka hamettoppa;
14040f0047	aappe haakka; an hamettoppa; aappe guyye simma; yaataade ne ogiyaan ba.
1404100081	Ayaw gooppe, unttunttu iitabaa ootsana gakkanaw, gem"ishshanaw danddaykkino; unttunttu asaa d'ubbennan unttuntta gem"ishuu afena.
140411004b	Unttunttu nagaraa ukitsaadan miino; sugetsaa oosuwaakka ushshaadan ushiino.
1404120059	S'illotuwaa ogii seeta gallassay gakkanaw, gujji gujji poo'iyaa wontta s'alk'k'iyaa mala.
140413005e	Shin nagaranchchatuwaa ogii d'ip'p'i go d'umaa mala; unttunttu wooti d'ubettinttokka erikkino.
1404140044	Ta na'aw, taani odiyaawaa sisa; taani odiyaawaakka loytsaade hayzza.
140415004a	Taani odeeddabatu ne ayifiyaappe geemmoppino; unttuntta ne wozanaan wotsa.
1404160064	Ayaw gooppe, unttuntta demiyaa asaw ubbaw de'uwaa immiino; unttunttu bollawukka pas'atetsaa immiino.
140417004b	Ubbabaappekka ne wozanaa minisaade naaga; ayaw gooppe, de'uu aappe pulttee.
1404180045	Ne doonaappe gene haasayaa digga; worddo haasayaa ne doonaappe digga.
1404190056	Sitti gaade sintsaw s'eella; ne ayifii ne sintsan de'iyaawaa tishshi ootsiide s'eello.
14041a0045	Ne gediyaw hamettiyaa ogiyaa suurissa; suure ogiyaa s'alalan hametta.
14041b004e	Suure ogiyaappe ushechcha haddirssa gooppa; ne gedii iitasaa beennaadan naaga.
1405010049	Ta na'aw, ta aad'd'eeda eratetsaa hayzza; ne haytsaa ta akeekaakko yegga.
1405020050	Yaatooppe, adussa k'ofay new de'ana; ne haasayaykka ne eratetsaa k'onc'c'issana.
140503006b	Woshumiyaa mac'c'a mishirati ins's'arssaappe eessaa ililuu s'okee; I haasayay oyssaappekka aad'd'i shuggee.
1405040063	Shin iza wurssetsan godare uutsaadan c'ammaw; laa"u baggan k'ans's'iyaa mashshaadan k'ans's'iyaano;
140505004d	I gedetuu hayk'k'uwaakko duge biino; I hametay sitti ootsiide, duufuwaa afee.
1405060053	Iza de'uwaa ogiyaa k'oppukku; I ogetuu geella; shin geella gidiyaawaakka Aa erukku.
1405070047	Ta naatoo, ha"ikka taani odiyaawaa sisite; taani giyaawaappe kesoppite.
1405080053	Woshumiyaa mac'c'a mishirati heeraa booppite; I golliyaa penggiyaakko shiik'oppite.
1405090098	Hewe d'ayooppe, hintte hinttenttu bonchchuwaa haratoo aatsiide immana. Hinttenttu hinttenttu yalagatetsan mek'etsi bayinna asatuwaa kushiyan hayk'k'ana.
14050a0060	Hinttenttu mas'uwaa allaga asatuu akkana. Hintte daaburiide shiishsheeddawe hara asaw gidanawaa.
14050b0045	Wurssetsan hintte ashuunne hintte asatetsay gilk'k'ina, hintte olana.
14050c006e	K'ay hawaadan yaaganita; «Taan timirttiyaa ayaw is's'aaditaashsha! Ta wozanaykka seeraa ayaw kad'eeddeeshsha!
14050d0064	Taani taana tamaarissiyaawanttu odeeddawaa akkabeyikke; taana zoriyaawanttu zoriyaakka hayzzabeykke.
14050e0058	Hewaa diraw, taani Asay shiik'eedda shiik'uwaan, akeekenan kawushshanaw de'ay» yaagana.
14050f0035	Ne machchatiw amaneteedawaa gida; izi s'alala siik'a.
1405100043	Hara mac'c'aanippe yeletteedda ne naanatuu, new lo"obaa ootsikkino.
1405110036	Unttunttu neena maaddanaw dic'c'ino; allaga gidoppino.
1405120063	Hewaa diraw ne machchattina nashetta; yalagatetsan neeni akkeedda ne machchatippe nashechchaa koya.
140513007a	Lo"iyaa gaaratidaaninne nashechchiyaa gen"atiidan, I d'antsay ubbaa wodekka neena alo; ubbaa wode I siik'uu neena omooddo.
1405140056	Ta na'aw, woshumiyaa mishirata neena ayaw omoodday? Hara asaa machchato ayaw k'oommay?
1405150060	Ayaw gooppe, Asay ootsiyaawaa ubbaa Med'inaa Goday be'ee; I hamettiyaa loossuwaa ubbaa s'eellee.
140516004a	Nagaranchchaa I ootseedda nagaray oyk'k'ee. Aa nagaraa gitii Aa k'achchee.
140517004b	I bare boozatetsan haleedda; bare huup'iyaa naagibeenna diraw hayk'k'eedda.
140601008a	Ta na'aw, neeni miishshaa tal"eedda ne shooroo waase geleeddawaa gidooppe, neeni erenna uraw ne kushiyaa bak'k'aade geppeeddawaa gidooppe,
140602006e	neeni geppeedda gefaa gitiyaan geleeddawaa gidooppe, ne doonaappe keseedda k'aalan oyk'k'etteeddawaa gidooppe,
14060300b9	simmi neeni ne shooruwaa kushiyan gelaadda. Hewaa diraw, ta na'aw, hewaappe kesanaw koyooppe, elle ne shooruwaa golle ba; waasetetsaa I ne bollappe wotsana mala, awuddashaade Aa woossa.
1406040041	Hawaa ootsennan de'aadde gem"ishshoppa; shemppuwaakka shemppoppa.
1406050068	Shankkanchchatuwaappe gen"atta kessa akkiyaawaadan, dabaappe kafatta attiyaawaadan, ne huup'iyaa ashsha.
140606005d	Neenoo azallaw, k'aac'otuwaakko ba; unttunttuppe tamaara. Yaatiide aad'd'eeda eranchcha gida.
1406070041	K'aac'otuwaa oosissanaw, kaappuu woy unttuntta mooddiyaawe baawa;
140608006e	shin barenttoo maanabaa boniyaan minjjiino; katsaa c'akkiyaa wodekka barenttoo koshshiyaa k'umaa shiishshiino.
1406090057	Neenoo azallaw, neeni awude gakkanaw gem"ishshay? Ne gem"ishshuwaappekka awude dendday?
14060a0067	Neeni k'aykka guutsaa gisaassa; guutsaa gem"ishshaassa; kushiyaa shiishsha akkaade, guutsaa shemppaasa.
14060b0063	Yaatiyaa wode hiyyeesatetsay panggaadan, pac'ay olaa miishshaa oyk'k'eedda asaadan, ne bolla yaana.
14060c0039	Iita asaynne balaa asay, yuuyyi yuuyyiide wordduwaa odee;
14060d004a	I bare ayifiyaan sim"ee; bare gediyaan bessee; bare birad'd'iyan s'orssee.
14060e0055	Aa wozanaan geellatetsay de'ee; I iitabaa k'oppee; ubbaa gedekka I walassaa med'd'ee.
14060f005d	Hewaa gaasuwaan bashshay akeekenan Aa bolla yaana; I hassayennan me"ana; me"iidekka pas'enna.
1406100053	Med'inaa Goday is's'iyaa usuppun yewotuu de'iino; I laappuntsiyaawaa iissi is's'ee:
1406110064	kad'iide s'eelliyaa ayifiyaa, Worddotiyaa ins's'arssaa, geeshsha asatuwaa suutsaa gussiyaa kushiyaa,
1406120046	iitabaa mak'k'iyaa wozanaa, iitabaakko elleelliide wos's'iyaa gediyaa,
140613006a	wordduwaa bolla wordduwaa gujji gujjiide odiyaa worddo markkaa, ishatuwaa giddon walassaa med'd'iyaa asaa.
140614004d	Ta na'aw, ne aabbu azazuwaa pola; ne aata neena tamaarisseeddawaakka aggoppa;
1406150044	unttuntta ubbaa gede ne wozanaan oyk'k'a; ne k'ood'iyankka k'achcha.
1406160092	Neeni hamettiyaa wode, unttunttu neena kaaletsana; neeni gisiyaa wode, unttunttu neena naagana; neeni beegottiyaa wodekka, unttunttu neena zorana.
1406170066	Ayaw gooppe, ha azazotuu s'omppiyaa; timirttetuukka poo'uwaa; k'ay seeraykka de'uwaakko afiyaa ogiyaa.
1406180071	Ha azazotuunne ha timirttetuu iita mac'c'aanippenne hara mishiratti sheleeshshiyaa ins's'arssaappe neena naagana.
1406190041	I malaa ne wozanaan amottoppa; I ayfiyaa lo"otetsan omoodettoppa.
14061a0088	Itti attuma Asay c'aaratto itti ukitsaa gatiyaan demmanaw danddayee; shin asinay de'iyaa mishirattinna woshummussay shemppuwaa wod'isee.
14061b0043	Itti Asay tamaa idimmina, Aa mayuu meetettennaan attanaw danddayii?
14061c004e	Itti Asay tamaa bonk'k'uwaa yed'd'i hamettina, Aa gedii s'uugettennan attanee?
14061d0056	Asaa machchattikko geliyaa uray hewaakka mala; izo bochchiyaa ubbay murettenan attena.
14061e003d	Kayisuu koshatiide, barew maanaw wuu"ooppe, Asay Aa kad'enna.
14061f0061	Shin I oyk'k'etteeddawaa gidooppe, laappun dakkuwaa c'iggana; bare soo miishshaa ubbaakka immana.
1406200043	Shin woshumiyaa Asay wozana pac'a; he uray bare shemppuwaa bayzzee.
140621003c	Madus's'ananne tooshetana. Ubbaa wodekka I boretiide de'ana.
1406220074	Ayaw gooppe, mac'c'a mishirati asinay mishettiide, hank'k'uwaa suullana; bare haluwaa kessiyaa wode, aw k'arettenna.
1406230048	I ayaa ac'aakka akkena; ay keeshshaa imuukka Aa hank'k'uwaa doshissenna.
140701003c	Ta na'aw, ta k'aalaa naaga; ta azazuwaakka ne garssan k'osa.
1407020057	New pas'a de'anaw ta azaziyaawaa ootsa; ta timirttiyaakka ne ayifiyaa buluwaadan naaga.
1407030051	Hassayissiyaawaadan unttuntta ne birad'd'etuwaan k'achcha; ne wozanaankka s'aafa.
140704004d	Aad'd'eeda eratetsaa ne michchatidan, akeekaakka ne mata dabbuwaadan s'eella.
1407050062	Unttunttu neena c'aaratiyaa mishiratippenne bare k'aalan sheleeshshiyaa hara mishiratippe naagana.
140706003f	Itti gallassi taani ta golliyaa maskkootiyaanna kare s'eellaad;
1407070056	wozanaa kuntsibeenna wodalla naanatuwaa be'aad. Unttunttu giddoppe ittuu loytsi booza.
140708009d	He wodallay ogiyaanna biide, itti woshummiyaa mac'c'a mishirati golliyaa mataana aad'd'eedda; I golle afiyaa ogiyaakko pinniide, I golliyaa heeraan hamettee.
1407090024	He wode sa'ay k'ammanaw lem"ilem"ee.
14070a007e	Hewaappe guyyiyaan, mishirata Aa demmaaddu. Iza c'aaratoo gidiyaawaa izi mayuu erissee. Iza asaa c'immanaw k'oppaade kesaaddu.
14070b0043	Iza s'alanne yeellay bayinna mac'c'a asaa; son woppu gaade uttukku.
14070c004a	Iza itti gede ogiyaan, itti gede geyaan, dabaabaa ubbaan ek'k'aade naagaw.
14070d006b	Aa he na'aa k'oommaade yeraaddu; iza Aa ayifiyaa yeelli baynan tishshi ootsa s'eellaade hawaadan yaagaaddu;
14070e0045	«Taani ta yarshshuwaa yarshshaade, ta k'anggetsaa ha"i gatsa simmay.
14070f004b	Yaataade neena s'omoosanaw kesaad; neena loytsa koyaad; ha"i simmi demmaad.
1407100044	Taani Gibs'eppe yeedda, alleek'k'eedda anssoolaa ta hiis'an yeggaad.
140711006f	Taani Kawaraa, almmuniyaanne k'arafaa geetettiyaa k'imaamatuwaappe kesseedda shittuwaa ta hiis'an c'ac'c'afaad.
140712004d	Haaya; ane wonttana gakkanaw siik'uwaa aloytte; k'oomettiidekka nashettoytte;
1407130037	ayaw gooppe, ta asinay son gidenna; haako sa'aa beedda.
1407140069	Miishshaa k'arc'c'iitaa kuntsi akkiide beedda diraw, agenay doyssana gakkanaw golle simmenna» yaagaaddu.
140715004c	Bare mal"o haasayan Aa sheleeshshaaddu; bare liik'o ins's'arssan c'immaaddu.
1407160080	Yaatina, ellekka I izo kaalliide, bi aggeeda. Booray shukkiyaasaa laagettiyaawaadan, gaaray elleelliide p'iriyaan geliyaawaadan,
140717008e	tooray Aa wozanaa c'addiyaawaadan haneedda. Dabbaa giddo geleedda kafuwaa malateedda. Hawe ubbay Aa shemppuwaa bayzzanaw haniyaawaa eribeenna.
1407180045	Ta naanaw, ane ha"i sisite; ta doonaappe kesiyaa k'aalaakka hayzzite.
1407190046	Ne k'ofay he mac'c'a mishiratina booppo; I ogiyaan gelaade balettoppa.
14071a0050	Aa c'addaade oleeddawanttu unddeneeddawantta; Aa wod'eeddawanttukka loytsi dara.
14071b0050	I soyay duufuwaakko afiyaa ogiyaa; he ogii duge hayk'k'uwaa geessuwaa kaaletsee.
1408010053	Tumu aad'd'eeda eratetsatta s'eesekkee? Akeekayikka bare k'aalaa d'ok'k'u ootsenee?
140802004e	Ogiyaa doonaan de'iyaa zoozetuwaa bollanne ogetuu dantsettiyaasan iza ek'k'aw;
140803006f	dirssaa penggiyaa matan, katamaa geliyaa penggiyaan ek'k'aade, bare k'aalaa d'ok'k'u ootsaade, hawaadan yaagaw;
1408040045	«Hinttenoo asatoo, taani hinttena s'eesay; taani asaa ubbaa s'eesay.
1408050066	Hinttenoo akeekay pac'c'eeddawanttoo, hiillaa demmanaw tamaarite. Hinttenoo boozatoo, akeekaa demmite.
1408060055	Taani daro lo"obaa odiyaa diraw sisite; taani suurebaa odanaw ta metershshaa dooyyay.
140807003d	Ta doonay tumuwaa haasayee; ta metershshay worddobaa is's'ee.
1408080043	Ta doonay haasayiyaawe ubbay tuma; geella woy mirk'k'etsaa gidenna.
1408090052	Akeekay de'iyaa uraw ta haasayay likke; eray de'iyaawanttoo ta haasayay k'onc'c'e.
14080a0054	«Biraa aggiide, ta zoriyaa doorite; bertte work'k'aakka aggiide, eratetsaa doorite.
14080b009b	Ayaw gooppe taani, aad'd'eeda eratetsatta, ink'k'uwaa giyaa daro al"o shuchchaappekka aad'd'ay; neeni amottiyaawe ubbaykka taananna laggetanaw danddayenna.
14080c0064	«Taw, aad'd'eeda eratetsatiw akeekay de'ee; eratetsaykka adussa k'ofaykka taananna ittippe de'iino.
14080d008a	Med'inaa Godaw yayyiyaawe iitatetsaa is's'iyaawaa; taani otoruwaanne ayyuwaa is's'ay; iitasaa afiyaa ogiyaanne wordduwaa haasayaa dosikke.
14080e0042	Zoriinne lo"o eray tawantta; akeekayinne wolk'k'aynne taw de'iino.
14080f004f	Kaatetuu taanan kawutiino; k'ay mooddiyaawanttu suure higgiyaa taanan kessiino.
140810006e	Kaappatuu taani maaddina, asaa mooddino; sa'aan gadiyaa mooddiyaa wolk'k'aama asatuwaa ubbaakka taani maadday.
1408110050	«Taani taana siik'iyaawantta siik'ay; taana minisiide koyiyaawanttukka demmana.
140812004d	Duretetsaynne bonchchuu taananna de'iino; wurenna ak'uunne injjii ta mataana.
1408130068	Hintte taappe demmiyaa ayfii bertte work'k'aappenne ta c'arshshay muushissi kesseedda biraappe aad'd'ee.
1408140046	Taani s'illotetsaa ogiyaan hamettay; suure pirddaa loossuwaana aad'ay.
140815005d	Taana siik'iyaawanttoo taani mas'uwaa immana; unttunttu golliyaakka taani miishshan kuntsana.
1408160065	«Med'inaa Goday taana bare oosuwaa ubbaappe koyiro med'd'eedda; benippekka Aa oosoo doometsay taana.
140817003f	Beni wode, biittay sa'ay med'ettanaappe kase taani suntsettaad.
140818005f	Wolk'k'aama abbatuu bayinna wode, haatsaa pulttotuu d'uu"ibeenna wode, he wode taani yelettaad.
1408190038	Deretuunne detsatuu med'ettanaappe kase taani yelettaad.
14081a0098	Med'inaa Goday sa'aanne sa'aan de'iyaa gadetuwaa ubbaa med'd'anaappe kase, woy itti kop'p'e gidiyaa baanay alamiyaan oosettanaappe kase taani yelettaad.
14081b0084	«Med'inaa Goday salotuwaa mic'c'eedda wodenne wolk'k'aama abbatuwaappe bollana de'iyaa saluwaa giigisseedda wode, taani yaan de'ay.
14081c0061	Med'inaa Goday shaaretuwaa bollan wotseedda wode, wolk'k'aama abbaa pulttotuwaa d'uusseedda wode,
14081d009c	abbaa haatsatuu barenttoo imetteedda zawaappe pinniide, bollaw aad'd'ennaadan, I unttuntta azazeedda wode, sa'aa baasuwaa I baaseeda wode, taani yaan de'ay.
14081e0073	He wode taani Aa matan eretteedda oosanchcha; ubbaa gallassi taani nashechchan kumay; tawukka Aa sintsan nashettay.
14081f0045	I med'd'eeddawe ubbay, sa'aykka asaa naanatuukka taana nashechchiino.
1408200057	«Ha"ikka simmi ta naatoo, sisite; taani odiyaawaadan ootsiyaawanttu anjjetteedawantta.
1408210051	Ta timirttiyaa sisite; aad'd'eeda eranchcha gidite; siseeddawaa sheneko gooppite.
1408220073	Taana sisiyaa uray, hachchi hachchi ta penggen beettiyaa uray, ta golle geliyaasankka naagiyaa uray anjjetteedawaa.
1408230042	Taana demmiyaawe de'uwaa demmee; Med'inaa Godaappe I sabaa demmee.
140824006a	Shin taana demmennaan aggiyaa uray barena k'ohee; taana is's'iyaa ubbatuu, hayk'k'uwaa siik'iino» yaagaw.
140901005c	Aad'd'eeda eratetsatta bare golliyaa kees's'aaddu; he golliyaw laappun tuussatuwaa essaaddu.
140902007c	Iza bare giigissiyaa shoobiyaw mod'd'o mehiyaa shukkaaddu; woyniyaa eessaakka agaade giigissaaddu. Maaddaa sintsaw aatsaadu.
1409030061	Yaataade asaa s'eesanaw bare k'oomatuwaa kiittaaddu. K'oomatuu katamaw d'ok'k'a sa'aan ek'k'iide,
1409040067	«Hinttenoo, eray pac'c'eeddawanttoo hawaa gelite!» yaageeddino. Boozatuwaakka Iza hawaadan yaagaaddu;
1409050045	«Haa yiite; ta k'umaa miite; taani ageeda woyniyaa eessaakka ushite!
1409060049	boozatetsaa aggiide, de'uwaan de'ite; akeekaa ogiyaan hamettite» yaagaw.
140907005c	K'iliic'iyaa uraa seeriyaa Asay barew boriyaa akkee; iita uraa zoriyaawekka barew k'ohettee.
140908005c	K'iliic'iyaa uraa zoroppa; I neena is's'ana. Aad'd'eeda eranchcha uraa zora; I neena dosana.
1409090095	Aad'd'eeda eranchcha uraa tamaarissa; yaatooppe, I kasewaappekka aad'd'eeda eranchcha gidanawaa. S'illo uraakka tamaarissa; yaatooppe I eraa gujjana.
14090a0063	Aad'd'eeda eratetsaw doometsay Med'inaa Godaw yayyiyaawaa; Geeshsha S'oossaa eriyaawe akeekiyaawaa.
14090b003b	Taanan ne laytsay darana; ne de'uwaa laytsaykka aduk'k'ana.
14090c007a	Neeni aad'd'eeda eranchcha gidooppe, ne huup'iyaw go'ettaasa. Neeni k'iliic'iyaawaa gidooppekka, ne huup'iyaw k'ohettaasa.
14090d004b	Booza mishirata walassaa daraw; iza barena naagenawunno. Iza ayinne erukku.
14090e003b	Iza bare karen, woy katamaw d'ok'k'a sa'aan oydiyaan uttaw.
14090f0036	Suure barenttu ogiyaa oyk'k'iide biyaa asaa s'eesaade,
1409100057	«Hinttenoo, eray pac'c'eeddawanttoo, taakko haa yiite» yaagaw. Akeekay bayinnawaakka,
140911004f	«Wuu"iide ushiyaa haatsay mal"ee; geeman miyaa k'umaykka nashechchee» yaagaw.
1409120065	Shin I hayk'k'eedda Asay yaan de'iyaawaa, izi imatsatuukka duufuwaa c'iimmo giddon de'iyaawaa erenna.
140a010078	Hawanttu Solomona leemisatwaa. Aad'd'eeda eranchcha na'ay bare aawuwaa nashechchee; shin booza na'ay bare aato kayyoyee.
140a02004e	Nagaran demmeedda miishshay go"enna; shin s'illotetsay hayk'k'uwaappe ashshee.
140a030055	Med'inaa Goday s'illotuwaa koshshayissenna; shin nagaranchchatuwaa amuwaa polissenna.
140a04003c	Azallatetsay mank'k'issee; shin minniide ootsiyaawe dureyee.
140a05006d	Aad'd'eeda eranchcha uray katsaa boniyaan shiishshee; shin katsaa c'akkiyaa wode gem"ishshiyaa uray kawushee.
140a060040	S'illo Asay anjjettee; shin nagaranchchaa doonaa makkalay kamee.
140a070059	S'illuwaa suntsay anjjuwaan s'eesettiidde de'ee; shin nagaranchchatuwaa suntsay dogettee.
140a080065	Aad'd'eeda eranchchatuu azazeeddawaa ootsiino; shin boozatetsan c'oo doonatiyaawanttu bashshaw biino.
140a090044	Suure Asay saro de'ee; shin geella uray bare bayzzuwaan oyk'k'ettee.
140a0a0058	Asaa bolla sim"iyaa uray metuwaa ayee. Boozatetsan c'oo doonatiyaawanttu bashshaw biino.
140a0b0057	S'illuwaa haasayay de'uwaa pulttiyaa; shin nagaranchchaa haasayay makkalatetsa gentsee.
140a0c0042	Is'uu palumiyaa dentsetsee; shin siik'uu bayzzuwaa ubbaa paydenna.
140a0d004c	Wozanaama Asay aad'd'eeda eran haasayee; shin booza uray s'am"an shoc'ettee.
140a0e005b	Aad'd'eeda eranchchatuu eraa dagayiino; shin booza haasayaa haasayiyaa uray barena bayzzee.
140a0f0067	Duriyaa miishshay diretteedda katamaa mala, bare godaa naagee; shin hiyyeesatetsay hiyyeesaa d'ayissee.
140a100052	S'illo uraa Aa lo"o oosuu de'oo kaaletsee; shin iita uraa wurssetsay muruwaa ahee.
140a110054	Seerina eeno giyaa uray de'uwaa ogiyaan hamettee; shin seerina is's'iyaa uray balee.
140a12005b	Is's'iidde bare is's'iyaawaa erissenna uray worddanchcha; zigirssaa laaliyaa uraykka booza.
140a130064	Daro haasayaa giddon nagaray d'ayenna; shin bare doonaa shiishshi akkiyaa uray aad'd'eeda eranchcha.
140a14005b	S'illuwaa ins's'arssay tigetteedda geeshsha biraa mala; shin iita uraa k'ofaw gatii guutsa.
140a150058	S'illo uraa haasayay daro asaa go"ee; shin boozatuu barenttu wozanaa pac'an hayk'k'iino.
140a160046	Med'inaa Godaa anjjuu dure kessee; I he duretetsan metuwaa walakkenna.
140a17005e	Booza uraw iitabaa ootsiyaawe kaassa mala; shin wozanaama uray aad'd'eeda eratetsan nashettee.
140a180053	Iita uray hirggeeddabay Aa bolla gakkanawaa; shin s'illuu amotteeddawe imettanawaa.
140a190065	Gotuu denddiide aad'd'oode, nagaranchchatuu pitetti d'ayino; shin s'illotuu med'inaw minniide de'ana.
140a1a0067	C'aalay achchaa zil"issiyaawaadaaninne c'uway ayifiyaa poogiyaawaadan, azalla uraa kiittiyaawe yiloyee.
140a1b0053	Med'inaa Godaw yayyiyaawe laytsaa adussee; shin nagaranchcha uraa laytsay k'aammee.
140a1c0074	S'illo uray sintsanna nashechchay yaana giide naagee; shin iita uray sintsanna yaana giide naagiyaawe ayaynne baawa.
140a1d0059	Med'inaa Godaa ogii s'illotoo bak'ati attiyaa sa'aa; shin iitaa ootsiyaawanttoo bashshaa.
140a1e004c	S'illotuu de'iyaasaappe shodettikkino; shin iitatuu biittaa bolla de'ikkino.
140a1f0061	S'illo Asay aad'd'eeda eratetsaa haasayee; shin geellabaa haasayiyaa ins's'arssay k'ans's'ettana.
140a200043	S'illo Asay bessiyaa haasayaa eree; shin iita Asay geella haasayee.
140b01006a	Med'inaa Goday wordduwaa miizaanan likkiyaawantta is's'ee; shin likke miizaanan likkiyaawanttun nashettee.
140b020054	Otoruu yiyaa wode kawushshatetsay yee; shin ashkketetsaana aad'd'eeda eratetsay yee.
140b030066	S'illotuwaa unttunttu suuretetsay kaaletsee; shin ammanettennawantta unttunttu geellatetsay d'ayissee.
140b040052	Hank'k'uwaa gallassi duretetsay go"enna; shin s'illotetsay hayk'k'uwaappe ashshee.
140b05005c	Borii bayinna uraa ogiyaa Aa s'illotetsay suurissee; shin iita uray bare iitatetsan kunddee.
140b06006a	Suuretuwaa unttunttu s'illotetsay ashshee; shin ammanettennawantta unttunttu amuu p'ire gidiide oyk'k'ana.
140b07007e	Iita Asay hayk'k'iyaa wode, I naagiyaa hidootaykka aanana ittippe hayk'k'ee; I bare wolk'k'an c'eek'ettiyaawe ubbaykka d'ayee.
140b080039	S'illuu metuwaappe attee; Aa diraw iitaa bolla metuu yee.
140b090051	S'oossaa erenna bitanii bare doonaan asaa d'ayissee; shin s'illotuu eran attiino.
140b0a005d	S'illotuu bonchchettiyaa wode, katamay nashettee; k'ay iitatuu hayk'k'iyaa wode, hashshu gee.
140b0b005b	S'illotuwaa anjjuwaa gaasuwaan katamay dic'c'ee; shin iita uraa haasayay katamaa d'ayissee.
140b0c004d	Bare shooruwaa kad'iyaa uraw wozanay baawa; shin akeekanchcha uray c'o"u gee.
140b0d0046	Zigiriyaa Asay s'uuraa laalee; shin ammanettiyaa Asay s'uuraa gentsee.
