2a00000005	Luuka
2c0113009b	Abantu booshi b'eYerusaleema bamenya ogo mwazi, oku bulyo elyo shwa lyayirikwa omu lulimi lwaabo mpu lyo «Hakeledama», kw'okuderha «Eshwa ly'eshagama.»
2c0114008b	«Kwenge biyandikirwe ntya omu gitaabu ch'eNanga: ‹Enju yaage ebe mushaka, na nta muntu oyilamage mo! N'owundi arhoole akaasi kaage!›»
2c011501a5	«Bihemere leero, rhugishoge owindi muntu muguma w'ogurhoola akaasi kaage. Oyu muntu abe muguma w'omu bala bagendaga barhuherekeza ngasi bishanji byooshi Nnaweerhu Yeesu aliiri abalama haguma neerhu. Aba bantu baliiri haguma neerhu gurhengera amango Yohaana abatiizaga Nnaweerhu guhika olusiku aheekwaga gurhenga ahagarhi keerhu. Bihemere oyu muntu rhwachishoga abe haguma neerhu omu guhamiiriza obufuuke bwa Nnaweerhu.»
2c01170062	eNtumwa zaaja zamoleka bantu babiri: Yozefu oyirikwa Barisaba wanashembulwaga Yusto, na Matiyaasi.
2c01180071	Baaja basaliira ntya: «Nnaweerhu, weyinji emirhima y'abantu booshi, oyeerekane nde ochishogere mw'abaala babiri,
2c01190057	y'aja ahaali ha Yuuda mw'akaala kaasi k'eNtumwa alekaga omu kuja ahantu hamukwaneene.»
2c011a0056	Bashaarha esimbi, nazo zarhoola Matiyaasi wayongeerwaga mu zila ntumwa ekumi na nguma.
2c0201005d	Olusiku lw'ePendekosite lwabeere lwahika, abigirizwa booshi babaaga babuganeene hantu haguma.
2c02020094	Ho n'aho bayunva olwamo gurhengera empingu luli nka lw'empuusi ekalihire, enali yahuusahuusa. Olo lwamo lwayunviikana omu nju yooshi baliyikeere mo.
2c02030055	Haabonekana n'ebiri nka birimi by'omuliro, byachigaba; byanaja oku ngasi muguma wabo.
2c0204009b	Abo bigirizwa booshi bayunjuzwa Muuka-Mutagatiifu, banarhondera kuderha omu zindi ndimi, gukulikirana n'oku Muuka-Mutagatiifu abahaaga obuhashe b'okuderha.
2c02050074	Mw'amo mango, eYerusaleema haliiri aBayaahudi baguma bakengaga Nnamahanga, bahulukiraga omu bihugo byooshi by'egulu.
2c020600a1	Oloola lwamo lwabeere lwayunviikana, abantu banene bachiigusha, basoomerwa bweneene bulaala ngasi muguma aliiri abayunva baaderha omu lulimi lwage lw'akaburhano.
2c02070074	Booshi basoomerwa, banayuumirwa, baalema baabazana ntya: «Abaala bantu bali baderha, ka booshi barhali Bagalilaaya?
2c02080044	Gurhe ngasi muguma weerhu y'abayunva omu lulimi lwage lw'akaburhano?
2c020900b9	Omu rhwewe hali abarhengeere omu gihugo ch'aBapariti, ech'aBameedi na ech'aBaelaamu. Hali abalama omu gihugo ch'eMezopotamiya, ech'eYudeeya na ech'eGapadokiya, ech'ePonto na ech'eAziya,
2c020a00a2	ech'eFurigiya na ech'ePamfiliya, ech'eMiisiri n'oluhande lwa ech'eLibiya luli hoofu n'egishagala ch'eKureene. Kandi omu rhwewe hali abahiisi b'ogurhengera eRooma,
2c020b00b6	hali aBayaahudi n'abandi bayemeeraga edini ly'ekiyaahudi, aBakereeti n'aBaharaabu. Aliko rhweshi rhuli rhwabayunva baaderha omu ndimi zeerhu ebijiro by'obuhashe Nnamahanga ajirire!»
2c020c005b	Booshi baali basomeerwe bweneene n'okuyuumirwa, baabazana ntya: «Bichi ebiila biderhere?»
2c020d005d	Aliko baguma omu bo bashekera abigirizwa n'okuderha ntya: «Barhamiriire edivaayi y'omuhyo!»
2c020e00d4	Petero aja ayimanga haguma na zila ntumwa ekumi na nguma, aderha ntya n'omulenge munene: «Mwe bantu b'eYudeeya nenyu mweshi mwe mulamire eYerusaleema, munyunvirize, munamenye bwinja ebi binwa nashonda kubabwira!
2c020f0056	Abaala bantu barharhamiriire nk'oku mukengereere, kwenge zichiri saa esharhu z'eseezi.
2c02100042	Aliko ebiila bi Nnamahanga aderhaga kugerera omuleebi Yoweeri mpu:
2c021100ac	‹Omu siku zizinda, nji nayandaaza oMuuka gwani oku bantu booshi; bagala benyu n'abanyere benyu nji baleeba, emisole yenyu nji yabonekerwa, n'abashaaja benyu nji baloorha.
2c02120064	Neechi, mw'ezo siku, abaja baani, abalume n'abakazi, nji nabayandaaza k'oMuuka gwani, nji banaleeba.
2c02130086	Nji najira ebigiriginjo gurhengera elugulu omu mpingu n'ebimenyeeso eshiishi omu gulu, nji haaba eshagama, omuliro n'oluhomo l'omuusi.
2c0214008c	Ezuuba nji lyahindulwa mwizimya n'omwezi nji gwahindulwa shagama, embere olusiku lwa Nnaweerhu luyinje, olo lusiku lunene, kandi l'obukuuze.
2c0215005b	Mw'amo mango, ngasi yeeshi nji wahema oburhabaale oku ziino lya Nnaweerhu nj'achungulwa.›
2c0216011b	«Mwe bantu b'eIsraheeli, muyunve ebi binwa! Nnamahanga abayeerekere bwinjabwinja oku Yeesu w'eNazareeti ali muntu arhumaga embere zenyu kugerera ebijiro by'obuhashe, ebigiriginjo n'ebimenyeeso. Nnamahanga ajiraga ebyo booshi ahagarhi kenyu kugerera Yeesu, nk'oku mubiyinji mwenyine.
2c021700b5	Oyu Yeesu ahirwaga omu maboko menyu, nk'oku Nnamahanga ashondaga, na nka okw'amenyaga yenyine gurhengera miira. Nenyu mwamuyirhire omu kumubamba oku musalaaba, kugerera abantu babi.
2c0218006d	Aliko, Nnamahanga nj'amufuulire omu kumulikuula omu malumwa m'olufu, bulaala birhakagalikeene ashwekwe na lo.
2c0219008e	Kwenge Daawudi aderhere ntya elugulu wa Yeesu: ‹Naliiri nabona Nnaweerhu embere zaani ngasi mango, bulaala ali ekulyo kwani yi ntashaganywa.
2c021a0081	Cho girhumire omurhima gwani gusiimire n'olulimi lwani lushagalukire; kandi omubiri gwani nago nji gwahuumukira omu bulangaalire,
2c021b004f	kwenge orhakandekeerera kubeera ekuzimu; orhakanaleka oMutagatiifu waawe abola.
2c021c004d	Wanyeerekere enjira z'akalamo, nji wanyunjuza obushagaluke embere zaawe.›»
2c021d00af	Petero ashuba kuderha ntya: «Beene beerhu, bihemere mbabwire bwinjabwinja ebilolere shookuluza weerhu Daawudi: afiire, ahambwa n'eshinda yaage echiba eno mwerhu kugera zeene.
2c021e008a	N'obuula aliiri muleebi, aliyinji oku Nnamahanga amulahizizaga endahiro oku nj'ayikaza muguma omu baburhwa baage oku ntebe yaage y'obwami.
2c021f0086	Daawudi alibwene embere obufuuke bwa Krisitu, anabuderha ko ntya: ‹Arhalekeererwaga kubeera ekuzimu, n'omubiri gwage gurhabolaga.›
2c0220004b	Nnamahanga afuulire oyo Yeesu, rhweshi rhunali bahamiiriza boboola bufuuke.
2c02210095	Abeere azamuulwa ekulyo kwa Nnamahanga, Eshe amuha Muuka-Mutagatiifu walilaganyizwe. Naye arhuyandaazize ye, nk'okuula muli mwabona, munali mwayunva.
2c02220098	Kwenge arhali Daawudi wazamuukiraga empingu, aliko yeewe yenyine aderhere ntya: ‹Nnaweerhu Nnamahanga abwirire Nnaweerhu ntya: “Yikala ekulyo kwani,
2c0223003e	guhika amango nji naajira abanzi baawe ndabarhiro yaawe.”›
2c02240095	Leero, bihemere olubaga looshi lw'eIsraheeli lumenye bwinja oku ola Yeesu mwabambaga oku musalaaba, Nnamahanga amujirire kuba Nnaweerhu na Krisitu!»
2c0225009d	Enyuma z'okuyunva ebyoola binwa, abantu baababazwa bweneene omu mirhima yaabo n'okuva baabaza Petero n'ezindi ntumwa ntya: «Beene beerhu, gurhe rhujirage?»
2c022600c7	Petero abashubiza ntya: «Muleke ebyaaha byenyu, na ngasi muguma omu mwabo abatiizwe oku ziino lya Yeesu Krisitu yi mubabalirwa ebyaaha byenyu. Na ntyo, mwanayankiirira Muuka-Mutagatiifu nka luhembo.
2c022700a9	Kwenge echilagaane cha Nnamahanga chiri chenyu, ch'abaana benyu n'abantu booshi balamire hale; k'okuderha oku chiri ch'abantu booshi Nnaweerhu Nnamahanga nj'ahamagala.»
2c02280095	Petero ashuba kubabwira ebindi binwa binene by'okubayinginga n'okubayunviisa. Alema aderha ntya: «Mugichungule gurhenga mw'echi gisisi ch'ebyaaha!»
2c0229007c	Abayankiiriraga ebinwa byaage babatiizwa. Oloola lusiku, hoofu bantu bihumbi bisharhu bayongeereka omu chigusho ch'abemeezi.
2c022a0072	Abemeezi bagendekera gukulikira enyigirizo z'eNtumwa, kulama echinyabuguma, kugabaana omugati haguma n'ogusaliira.
2c022b0069	Ebigiriginjo n'ebimenyeeso binene byaliiri kujirika n'eNtumwa oku bulyo ngasi muguma alema ayunva obuuba.
2c022c0041	Abemeezi booshi baliiri haguma n'ogushangiira byooshi baligwerhe.
2c022d0087	Baliiri baguza amashwa maabo n'ebintu byaabo, n'efuranga zarhengaga mo baliiri bazigabana gukulikirana n'obulagiirire bwa ngasi muguma.
2c022e00ae	Ngasi lusiku, omu bunviikane, baliiri baaja omu Nju ya Nnamahanga. Baliiri bagabaana omugati n'ogusangira ebiryo byaabo omu nju zaabo n'obushagaluke haguma n'omurhima mwinja.
2c022f0091	Baliiri bakuuza Nnamahanga n'abantu booshi bali basiimire bo. Na ngasi lusiku, Nnaweerhu aliiri ayongeera abachungwirwe oku chigusho ch'abemeezi.
2c03010084	Lusiku luguma, Petero na Yohaana baliiri bazamuukira omu Nju ya Nnamahanga aha saa mwenda z'ezuuba, cho chaliiri gihe ch'ogusaliira.
2c030200e9	Mw'ebyo bishanji, abantu baliiri baheeka omulume waburhwaga eyi chirema. Abo bantu bagendaga bamuhira ngasi lusiku hoofu n'omulyango gw'eNju ya Nnamahanga guyirikwa «Mulyango Gukwiriire» y'ahemuuze oburhabaale oku baliiri baaja mo.
2c0303005c	Abwene Petero na Yohaana bakola baaja omu Nju ya Nnamahanga, arhondera kubahema oburhabaale.
2c03040049	Petero na Yohaana bamuloleereza, naye Petero amubwira ntya: «Orhulole!»
2c03050038	Naye abalola, kwenge alilangaliire oku hali echi bamuha.
2c030600a0	Aliko Petero amubwira ntya: «Ntagwerhe furanga changwa oro, aliko echi ngwerhe, nguheere cho: omu ziino lya Yeesu Krisitu w'eNazareeti, yimanga onalambagire!»
2c0307006b	Amufarhira oku kuboko kw'ekulyo, amuyimanza. Ho n'aho, ebishando byaage n'orhuzirabulongo rhwage byakomera.
2c03080097	Ayuumuka oku liguma, ayimanga n'ogurhondera kulambagira. Aja haguma nabo omu Nju ya Nnamahanga eyi ali alambagira, abalalabalala n'ogukuuza Nnamahanga.
2c0309003c	Abantu booshi bamubona ali alambagira n'ogukuuza Nnamahanga.
2c030a009c	Bamurhegeera oku y'olaala wagendaga ayikala halaala «Mulyango Gukwiriire» gw'eNju ya Nnamahanga guhema oburhabaale. Basoomerwa banahwerwa n'ebyamubereere.
2c030b00aa	Oyo muntu abeere arhagirhengere ku Petero na Yohaana, abantu basoomerwa, balibirhira emunda bali, hoofu n'embaraza y'eNju ya Nnamahanga eyirikwa «Mbaraza ya Solomoono.»
2c030c0108	Petero abwene ebyoola, abaza olubaga ntya: «Mwe bantu b'eIsraheeli, girhumire mwasoomerera ogufuma kw'oyu muntu? Girhumire mwarhuloleereza nka rhwewe rhwe rhwalambagiriisaga ye oku buhashe bwerhu rhwenyine changwa elugulu w'ogukwanana kwerhu embere za Nnamahanga?
2c030d00d0	Nnamahanga w'Abrahaamu, Isaka na Yakobo, Nnamahanga wa bashookuluza beerhu, akuuzize omukozi waage Yeesu. Oyu Yeesu yi mwabo mwahaanaga mwanamulahira embere za Pilaato, n'obo yeewe abaaga amahiga kumulikuula.
2c030e0054	Mwewe, mwalahira oMutagatiifu na Okwaneene, mwanahema babalikuulire omwisi w'abantu.
2c030f006d	Mwayirha ohaana akalamo, aliko yeewe Nnamahanga amufuulire omu bafu; neerhu rhuli bahamiiriza bw'obo bufuuke.
2c031000b4	Oyu muntu muli mwabona munamuyinji, eziino lya Yeesu n'obwemeezi kw'elyo ziino byo byamukomeeze. N'obwemeezi kugerera Yeesu bo bwaheere oyu muntu amagala makwiriire nk'oku mubwene.
2c03110064	«Na bunoola, beene beerhu, nyinji oku mwabo n'abakulu benyu mwajiriraga Yeesu ebyoola omu buhwinja.
2c03120072	Na Nnamahanga ayeneeze ntya eby'abalaganyaga embere kugerera ebinwa by'abaleebi booshi oku Krisitu waage alibuzwa.
2c03130055	Mujaage mwaleka ebyaaha byenyu, munagalukire Nnamahanga y'ebyaaha byenyu bibabalirwa.
2c03140069	Na ntyo, Nnaweerhu abahumuusa, n'okubarhumira Krisitu, ye Yeesu, olaala achishogaga embere elugulu wenyu.
2c03150093	Alikwaneene gurhanga kubeera empingu guhika amango ebintu byooshi byayeenera nk'oku Nnamahanga aderhaga miira kulengera abaleebi baage batagatiifu.
2c0316009b	Muusa aliderhere ntya: ‹Nnaweerhu, Nnamahanga wenyu, nj'abaha omuleebi warhengera omu beene benyu oli nka nyoono. Nji mwamuyunva omu byooshi nj'ababwira.
2c03170059	Aliko ngasi yeeshi nj'orhayunva oyo muleebi nj'achiibwa looshi omu lubaga n'okuyirhwa.›
2c03180085	N'abaleebi booshi, gurhengera ku Samweri n'abamukulikiraga, nabo baderhere, banabala elugulu w'emyaazi y'eziila siku rhulamire zeene.
2c031900d7	Mwabo, muli bagala b'abaleebi n'egihango Nnamahanga ajiraga na bashookuluza benyu chiri chenyu. Kwenge Nnamahanga ajiraga cho omu kubwira Abrahaamu ntya: ‹Emilala yooshi y'egulu nji yaagishwa omu gisisi chaawe.›
2c031a007f	Amango Nnamahanga ahaanaga omukozi waage, arhanga kumurhuma emwenyu kubagisha, omu gukuula ngasi muguma wenyu omu mabi maage.»
2c04010085	Petero na Yohaana babeere bachiri bayigiriza olubaga, abadaahwa, omukulu w'abalanzi b'eNju ya Nnamahanga, n'aBasadukaayo baahulukira.
2c04020090	Abo bakulu bali bakalihire okubona Petero na Yohaana bali bayigiriza olubaga n'okubala oku obufuuke gurhenga omu bafu bubonekana kugerera Yeesu.
2c0403005e	Babashweka n'okubahira omu munyororo kugera olusiku lwakulikiraga kwenge lyaliiri likola golo.
2c04040078	Aliko banene omu bayunvaga ezo nyigirizo bayemeera Yeesu. Oluganjo lw'abemeezi lwahikiira hoofu balume bihumbi birhaano.
2c04050066	Bwacheere eseezi, abakulu n'abashamuka b'aBayaahudi, n'abigiriza b'amarhegeko bachigusha eYerusaleema.
2c04060089	Baliiri haguma n'omudaahwa mukulu Hanaasi, Kayaafa, Yohaana, Alegizandere n'abandi bantu booshi baliiri b'omu mulala gw'omudaahwa mukulu.
2c04070086	Bamalire kuyimanza Petero na Yohaana ahagarhi kaabo, bababaza ntya: «Oku buhashe buchi changwa oku ziino lya nde mwajiraga ebyoola?»
2c04080074	Petero eyi ayunjwizwe Muuka-Mutagatiifu, ababwira ntya: «Ego mwe bakulu b'olubaga nenyu mwe bashamuka b'aBayaahudi,
2c0409004f	rhubazizwe zeene elugulu w'amenja rhwajiriire echirema n'oku bulyo chafumyagwa.
2c040a00e9	Leero mwabo mweshi, n'olubaga looshi lw'eIsraheeli, mumenye bwinja: oyu muntu ayimangire embere zenyu n'amagala makwiriire oku ziino lya Yeesu Krisitu w'eNazareeti, olaala mwabambaga oku musalaaba, aliko Nnamahanga amufuula omu bafu.
2c040b008e	Yeewe y'aMandiko Matagatiifu maderhere ko ntya: ‹Ebaale mwabo mwe muyumbaka mwalahiraga, lyo lyahindukire ly'engenzi, ly'okuyumbakira ko.›
2c040c006c	Obuchunguke burhali omu windi muntu, kwenge nta lindi ziino omu gulu abantu bahaabirwe, lyagarhuchungwire.»
2c040d00d0	Abantu b'akabuga k'aBayaahudi babeere baabona Petero na Yohaana baderha n'oobushiru, basoomerwa, kwenge bali bayinji oku baliiri bantu konyine barhasomaga. Baanalimenyere oku boowe bo baliiri haguma na Yeesu.
2c040e0070	Aliko, nk'okuula bali babwene olaala muntu bafumyaga ayimangire eburhambi bwabo, baabula echi bagashuba kuderha.
2c040f005c	Baava babarhegeka oku barhange barhenge mw'ako kabuga. Bala bakulu boowe basigala omu mahwe.
2c041000a5	Baabazana ntya: «Gurhe rhujirage abaala bantu? Bulaala abantu booshi b'eYerusaleema bayinji bwinja okw'echimenyeeso chabeere kugerera bo. Rhurhakanagala kugihakana.
2c0411009b	Aliko y'omwazi gw'echoola chimenyeeso gurhayandaala bweneene omu lubaga, rhubakalihire oku barhachiderhaga n'omuntu n'omuguma elugulu w'eziino lya Yeesu.»
2c0412007e	Baaja bahamagala Petero na Yohaana, banabarhegeka mpu barhachiderhaga changwa okuyigiriza chiro n'eliguma oku ziino lya Yeesu.
2c04130078	Aliko Petero na Yohaana babashubiza ntya: «Ka bikwaneene embere za Nnamahanga oku rhubakenge ahaali haage? Mugishogage,
2c0414004c	kwenge rhwabo rhurhakagala kuleka kuderha ebintu rhwabwene ko rhwanayunva.»
2c041500b7	Abantu b'akabuga k'aBayaahudi baashuba kubakalihira, banaja babalikuula. Barhaali babwene enjira y'okubahana, bulaala olubaga looshi lwaliiri lwakuuza Nnamahanga oku byooshi byabaaga.
2c0416005b	Oyo muntu bajiriraga echoola kimenyeeso ch'ogufuma, aligwerhe myaaka minene ku makumi mane.
2c0417007e	Babeere balikuulwa, Petero na Yohaana baaja kubalira abaabo byooshi abakulu b'abadaahwa n'abashamuka b'aBayaahudi bababwirire.
2c041800ae	Bamalire kuyunva eyo myaazi, booshi basaliira Nnamahanga n'omurhima muguma. Baaderha ntya: «Nnaweerhu, wooyo we wajiraga echaalege, egulu n'enyanja, na byooshi biba omu byo.
2c041900c2	Wooyo we waderhaga ntya kugerera Muuka-Mutagatiifu, omu buunu bwa shookuluza weerhu Daawudi, mukozi waawe: ‹Charhumire abarhali Bayaahudi baruukura n'embaga zagwarha emihigo erhagwerhe kamaro?
2c041a006f	Abaami b'egulu bachikerekere n'abakulu bachigushire haguma yi balwisa Nnaweerhu Nnamahanga na Krisitu waage.›
2c041b00c2	Kwenge biri by'okuli oku Heroode na Ponsiyo Pilaato bayunvikeene muno gishagala haguma n'abarhali Bayaahudi n'olubaga lw'eIsraheeli kulahira Yeesu, omukozi waawe mutagatiifu, olaala wagishogaga.
2c041c006a	Bajiraga ntyo, yi bayeeneza byooshi wabaaga warheganyize gurhenga miira oku buhashe bwawe n'emihigo yaawe.
2c041d006a	Leero Nnaweerhu, olole bwinja obuhambaazi bwabo, ogaliise abaja baawe okubala eChinwa chaawe buzira buuba.
2c041e0087	Ojaage walambuula okuboko kwawe y'abantu bafume, ebimenyeeso n'ebigiriginjo bibe kugerera eziino lya Yeesu, mukozi waawe mutagatiifu.»
2c041f009d	Bamalire gusaliira, ahantu bali bachigushire hadirhimana bweneene, booshi bayunjula Muuka-Mutagatiifu. Barhondera kubala eChinwa cha Nnamahanga buzira buuba.
2c042000aa	Abemeezi booshi baligwerhe omurhima muguma n'enkengeero nguma. Ntaaye waderhaga oku ebikulo byaage biri byaage yenyine, aliko bagendaga bashangiira byooshi bali bagwerhe.
2c04210075	Entumwa zaliiri zahamiiriza n'obuhashe bunene obufuuke bwa Nnaweerhu Yeesu, n'omugisho munene gwaliiri oku bo booshi.
2c0422008c	Nta muguma omu bo walikeneere echintu, kwenge booshi bali bagwerhe amashwa changwa enju, bagendaga babiguza, banaleerha efuranga babiguzaga.
2c0423006a	Bagendaga bahira zo embere z'eNtumwa, n'enyuma zanagabirwa ngasi muguma gukulikirana n'obulagiirire bwage.
2c042400ad	Haliiri oMulaawi muguma oyirikwa Yozefu, aliiri muburhwa w'oku chizimba ch'eGipuro. Entumwa zamushembula eziino lya Baranaaba, kw'okuderha «Muntu okomeza abandi omurhima.»
2c04250043	Aguza eshwa aligwerhe, aleerha efuranga anazihira embere z'eNtumwa.
2c05010056	Haliiri mulume muguma oyirikwa Hananiya haguma na mukaage Safira. Baguza eshwa lyaabo.
2c05020082	Omu bunviikane, yeewe na mukaage baabisha muhango muguma oku furanga baliguzaga. Ezasigalaga, aziheeka anazihira embere z'eNtumwa.
2c0503009d	Petero amubaza ntya: «Ego Hananiya, charhumire Shetaani aja omu murhima gwawe, guhika okubeehya Muuka-Mutagatiifu omu kubisha furanga ziguma waguzaga eshwa?
2c050400fc	Egihe eliila shwa lyalichiri lyaawe, ka lirhaliiri bikulo byaawe? Na chiro egihe lyaguzwaga, k'efuranga orhakazikoleeseze okw'oshondere? Chajaaga charhuma wakengera omu murhima gwawe echijiro chiri ntya? Arhali bantu warhebekere, sy'aliko Nnamahanga!»
2c0505006e	Hananiya abeere ayunva ebyoola binwa, ahena n'okuva afa. Booshi bayunvaga ogo mwazi bagwarhwa n'obuuba bunene.
2c05060057	Emisole yaliiri ahoola yayimanga, yarhuba omubiri gwage, yaguheeka embuga, yanaguhamba.
2c0507004c	Hagerere hoofu saa esharhu, mukaage aja mw'eyo nju buzira kumenya ebyabeere.
2c0508007a	Petero amubaza ntya: «Ombwirage bwinja, ka kw'eyi ngulo ku mwaguzaga eshwa?» Ashubiza ntya: «Neechi, kw'eyoola ngulo.»
2c050900b5	Petero ashuba kumubaza ntya: «Gurhe mwagalaga kuyunviikana yi mugeregeza Muuka-Mutagatiifu wa Nnaweerhu? Ololage! Amagulu m'abahambaga balo mo mano oku mulyango. Naawe baguheeka!»
2c050a0098	Ho n'aho ahena embere z'amagulu ma Petero n'ogufa. Elaala misole yajiire omu nju, y'abugaana afiire. Yaheeka omubiri gwage yanaguhamba eburhambi bw'eba.
2c050b0059	Echigusho chooshi ch'abemeezi na booshi bayunvaga ogoola mwazi bagwarhwa n'obuuba bunene.
2c050c008f	Ebimenyeeso n'ebigiriginjo binene byaliiri kujirika omu bantu kulengera eNtumwa. Abemeezi baliiri gushimaanana booshi omu Mbaraza ya Solomoono.
2c050d005c	Nta muntu n'omuguma orhali mwemeezi wagendaga abayegeera, aliko olubaga lwabakenga bweneene.
2c050e005b	Abantu banene, abalume n'abakazi, baliiri bayemeera Nnaweerhu. Bagendekera kuluga bweneene.
2c050f00aa	Baliiri baleerha abalwala oku njira zigalihire, banabalyaamiza oku bishanja n'oku bipoyi, yi hano Petero agera, chiro egichuuchu chaage chigale gushukulira baguma omu bo.
2c05100099	Abantu banene bagendaga barhenga n'omu bishagala bitureene n'eYerusaleema eyi baheekere abalwala n'abantu bafarhirwe n'abazimu. Booshi baliiri baafumywa.
2c05110077	Omudaahwa mukulu n'abantu baage booshi, k'okuderha abantu b'echigusho ch'aBasadukaayo, baaja bayunvira eNtumwa obongwa.
2c05120035	Bazifarha n'okuzihira omu munyororo gw'abantu booshi.
2c05130070	Aliko obudufu, malahika wa Nnaweerhu achinguula emilyango y'omunyororo. Akuula mo zila ntumwa n'okuzibwira ntya:
2c05140066	«Mugende, muje omu Nju ya Nnamahanga, munabalire olubaga byooshi biyerekeere kano kalamo gahyaahya.»
2c05150124	Ezo ntumwa zabeere zayunva ebyoola binwa, zalamukira eseeziseezi omu Nju ya Nnamahanga, zanarhondera kuyigiriza. Omudaahwa mukulu n'abantu baage baahika. Bahamagaza akabuga k'aBayaahudi n'enshimaanano yooshi y'abashamuka b'aBaisraheeli. Banarhuma abalanzi kuja omu munyororo kuleerha eNtumwa.
2c05160066	Aliko abalanzi bagerere omu munyororo, barhababugaana mo. Baaja bagaluka n'okuja kubwira abakulu ntya:
2c05170092	«Rhwabugaanire omunyororo guchingirwe bwinja n'abalanzi bayimangire embere z'emilyango. Aliko rhwabeere rhwachinguula, ntaaye rhwabugaanire mo!»
2c05180095	Egihe omukulu w'abalanzi b'eNju ya Nnamahanga n'abakulu b'abadaahwa bayunvaga ebyoola binwa, bayuumirwa, banachiibaza akaba bichi byahikiire eNtumwa.
2c05190092	Muntu muguma aja ayinja kubabalira ntya: «Tala okw'abantu mwahiraga omu munyororo bayimangire omu Nju ya Nnamahanga, banali bayigiriza olubaga!»
2c051a008b	Omukulu w'abalanzi n'abantu baage baava baaja kubaleerha. Babaleerha buzira kubalibuza, kwenge baliyuubahire olubaga lwakababanda amabaale.
2c051b005d	Bayuusize kubaleerha, babaheeka embere w'akabuga k'aBayaahudi. Omudaahwa mukulu ababaza ntya:
2c051c00a8	«Ka rhurhalibabuzize bweneene ogurhachiyigiriza mw'eryoola ziino? Tala oku mwayunjwize eYerusaleema n'enyigirizo zenyu! Munashondere gurhuheesa eshagama y'oyu muntu!»
2c051d0056	Petero n'ezindi ntumwa bashubiza ntya: «Bihemere ogukenga Nnamahanga ahaali h'abantu.
2c051e0059	Nnamahanga wa bashookuluza beerhu, afuulire Yeesu mwayirhaga omu kumubamba oku musalaaba.
2c051f0087	Anamuzamwire ekulyo kwage nka Mukulu na Muchunguzi, y'aha aBaisraheeli obulyo b'okuleka ebyaaha na Nnamahanga ababalire ebyaaha byaabo.
2c0520005f	Rhuli bahamiiriza b'ebyoola byooshi haguma na Muuka-Mutagatiifu Nnamahanga aheere abamukenga.»
2c0521006a	Abantu b'akabuga k'aBayaahudi baaja bakaliha looshi omu kuyunva ebyoola binwa, banashonda kuyirha eNtumwa.
2c052200c8	Aliko haliiri omu bo oMufarisaayo oyirikwa Gamaliyeeri. Aliiri mwigiriza w'amarhegeko okengerwe n'olubaga looshi. Ayimanga ahagarhi k'akabuga k'aBayaahudi n'ogurhegeka barhange bahuluse eNtumwa hityu.
2c05230059	Enyuma, aderha ntya: «Bantu b'eIsraheeli, muchilange oku bimukola kujirira abaala bantu.
2c052400d7	Embere za bino bihe, hahulukiire muntu muguma oyirikwa Teuda. Aliiri achiderha oku ali muntu mukulu, n'abantu hoofu magana mane bamukulikira. Aliko ayirhwa, booshi bamukulikiraga balibirha n'echigusho chaage chaafa.
2c052500ad	Enyuma zaage, omu gihe ch'oluganjo lw'abantu, haahulukira Mugalilaaya muguma oyirikwa Yuuda, arhuma abantu bamukulikira. Naye ayirhwa, na booshi bamukulikiraga bashandaazwa.
2c05260099	Leero bunoola mbabwirire oku murhakulikiraga abaala bantu, munabaleke bagende. Bulaala, akaba ebi bali kujira guli muhigo changwa kaasi k'abantu, byaafa.
2c052700bf	Aliko akaba ebyoola birhengeere emwa Nnamahanga, murhakagala kubahanza. Muchilange mwangahengeera eyi muli mwalwisa Nnamahanga!» Abantu b'akabuga k'aBayaahudi bayunva amahano ma Gamaliyeeri.
2c05280072	Bahamagala eNtumwa, bazishurhiisa, banazirhegeka oku zirhachiyigirizaga oku ziino lya Yeesu. Buzinda, bazilikuula.
2c05290085	Entumwa zarhenga omu kabuga k'aBayaahudi eyi zishagalukire okubona zaganjirwe oku zikwaneene gukeneerezwa elugulu w'eziino lya Yeesu.
2c052a007d	Bagendeerera ngasi lusiku kuyigiriza omu Nju ya Nnamahanga n'omu nju z'abantu, n'okubala oMwazi Mwinja gwa Yeesu, ye Krisitu.
2c0601010b	Mw'ezoola siku, oluganjo lw'abemeezi lwaliiri lwayushuuka. aBayaahudi baliiri kuderha olulimi lw'eKigiriki barhondera kulundumira aBayaahudi baliiri kuderha olulimi lw'eGiheburaniya, bulaala abashumbakazi baabo baali babonereerwe egihe ch'okugaba ebiryo ngasi lusiku.
2c060200aa	Zilaala ntumwa ekumi n'ebiri zagusha abemeezi booshi, zanababwira ntya: «Birhakwaneene rhulekeerere kuyigiriza eChinwa cha Nnamahanga mpu rhubeere rhuli rhwagaba ebiryo.
2c060300b3	Cho girhumire, beene beerhu, mushonde ahagarhi kenyu bantu mushanvu bahamiriizwe bwinja n'abantu, bayunjwire Muuka-Mutagatiifu n'obwenge bunene. Boowe, barhwaheereza akoola kaasi.
2c06040049	Ntyo neerhu, rhwakomeza gusaliira n'okuyigiriza eChinwa cha Nnamahanga.»
2c060500f2	Abemeezi booshi bali chigushire ahoola basiima eyoola myaazi. Bachishoga Sitefaano, muntu w'obwemeezi bunene onayunjwire Muuka-Mutagatiifu, Firipo, Porokoro, Nikanori, Timooni, Parimena na Nikola w'eAntiyokiya wayemeeraga edini ly'eKiyaahudi.
