2800000006	Matayo
2b131800f8	Kisha bhakajobhesana bhene kwa bhene, “Tusijhikachuli, bali tupigayi kura ili tulolayi jhibetakujha jha niani?” Ele lyahomili ili lela liandiku litimizwajhi, lela lya lijobha bhagabhenye nghobho syangu, ni liguanda lya nene bhalipigili kura.”
2b131900c1	Askari abhombi mambo agha. Nyinamunu Yesu, ndombo munu nyina ghwa Yesu, Mariamu n'dala ghwa Kleopa ni Mariamu Magdalena - bhadala abha bhajhele bhajhele bhajhemili karibu ni n'salaba ghwa Yesu.
2b131a008f	Yesu bho ambwene nyinamunu ni jhola mwanafunzi jhaan'ganili bhajhemili karibu akan'jobhela nyinamunu, “N'dala, langayi, mwanabhu ojho apa!”
2b131b0090	Kisha akan'jobhela jhola mwanafunzi, “Langayi, ojho apa nyinu waku. “Kuhomela saa ejhu mwanafunzi jhola akan'tola kulota kunyumba kwa muene.
2b131c006d	Baada jha e'lu, Hali Yesu amanyili kujha ghoha ghamaliki ili kutimisya maandiku, akajobha, “Nibhona kiu,”
2b131d0091	Khenu kyakikamemili Siki kyabhekibhu pala, henu bhakabheka sifongo jhajhimemili siki panani pa ufito ghwa hisopo, bhakambekela mundomo mwa muene.
2b131e007f	Ni muene Yesu bho ajhibhonjili ejhu, akajobha, “Imaliki.” Kisha akajhinamisya mutu ghwa muene akajhikabidhi roho jha muene.
2b131f013a	Kwa vile bhwajhele bhwakati bhwa maandalio, ni kwam ndabha mibhele jhilondekeghe lepi kubakila panani pa n'salaba wakati bhwa Sabato (kwa kujha Sabato jha jhele ligono lya muhimu), bhayahudi bhan'sokili Pilato kujha magolo gha bhene bhala bhabhasulubisibhu idenyibhwayi, ni kwamba mibhele ghya bhene iselesibhwayi.
2b1320006d	Ndipo askari bhakahida ni kudenya magolo gha munu ghwa kwanza ni ghwa pili bhabhasulubisibhu pamonga ni Yesu.
2b1321005a	Bhobhamfikirir Yesu bhan'kolili tayari amali kufwa, henu bhakadenya lepi magolo gha muene.
2b1322005c	Hata naha, mmonga ghwa askari akan'homa Yesu ng'oha mu mbafu ni mara jhikahoma masi ni damu.
2b13230094	Ni muene jha alibhwene lela ahomisi bhushuhuda, ni bhushuhuda bhwa muene bhwa kweli. Muene amanyili kyaajobhili kya bhukweli ili namu pia mukierayi.
2b13240074	Mambo agha ghajhele ili lela lyalyanenibhu libhwesiyi kutimila, “Bhujhele hata umonga bhwa bhwibetakudenyibhwa.”
2b13250047	Kabhele liandiku lenge lijobha, “Bhibetakundangamuene jha ahomibhu”
2b132600ad	Baada jha mambo agha Yusufu ghwa Arimathaya, kwa vile ajhele mwanafunzi ghwa Yesu, lakini kwa siri kwa kubhatila Bhayahudi, an'sokili Pilato kujha autolayi mb'ele bhwa Yesu.
2b132700f1	Ni muene Pilato akampela ruhusa. Henu Yusufu akahida kuubhosya mb'ele ghwa Yesu. Ni muene Nicodemo ambajhe kubhwandelu an'kesisi Yesu pakilu ni muene akahida. Muene aletili mchanganyiiku ghwa manemane ni udi, kama uzito ghwa ratili mia moja.
2b13280097	Henu bhakautola mb'ele ghwa Yesu bhakaukonga sanda jha kitani ni pamonga ni ghala manukato, kama kyajhikajhele desturi jha bhayahudi wakati wa kusiela.
2b132900a1	Mahali ambapo Yesu asulubisibhu kwajhele ni bustani; mugati mu jhela bustani kwajhele ni likaburi lipya ambalyo ajhelepi munu ambajhe abhwajhili kusyelibhwa omu.
2b132a008b	Basi, kwa kujha jhajhele ligono lya maandalio kwa Bhayahudi, ni kwa vile lela likaburi lyajhele karibu, basi bhakan'goneka Yesu mugati omu.
2b14010081	Manyata ligono lya kuanza lya juma lubhuliku Mariamu Magdalena ahidili kulikaburi akalibhona liganga lele libhosibhu pa likaburi.
2b140200bf	Kwa iyo akajumba mbio kulota kwa Simoni Petro ni kwa jhola mwanafunzi jhongi ambajhe Yesu an'ganili, kisha akabhajobhela, “bhan'tolili Bwana mu likaburi, natu tumanyilepi kwa bhambekili.”
2b14030047	Kisha Petro ni jhola mwanafunzi jhongi bhakabhoka, kulotela kulikaburi.
2b14040076	Bhoha bhakajha bhijumba kwa pamonga; mwanafunzi jhongi jhola ajumbili nesu kuliko Petro ni kubhwayi kufika kulikaburi.
2b14050073	Akajhema na kisha kuhongolela mu likaburi; akajhibhona sanda jhela jha kitani jhigonili, lakini ajhingilepi mugati.
2b14060075	Kisha Simoni Petro ni muene akahida akajhingila mugati mu likaburi. Akajhibhona sanda jha kitani jhela jhigonili pala
2b14070071	ni leso jhela jhajhele pamuto pa muene jhajhelepi pamonga ni sanda jha kitani bali jhajhele jhigonili pa lubhafu.
2b14080053	Ndipo mwanafunzi jhongi jhola ni muene akajhingila mu likaburi; akalola ni kukiera.
2b14090073	Kwa kujha hadi wakati obhu bhajhele bhaghamanyilepi maandiku kwamba ilimlazimu Yesu afufukayi kabhele katika bhafu.
2b140a0036	Kisha bhanafunzi bhakalota kabhele kunyumba jha bhene.
2b140b0070	Hata nahu, Mariamu ajhele ajhemili pa likaburi ilela, bho ijhendelela kulela akajhema kisha akalanga mulikaburi.
2b140c0079	Akabhabhona malaika bhabhele bhenye sura sibhalafu bhatamili mmonga kumutu ni jhongi kumagolo mahali ambapo Yesu agonili.
2b140d00a9	Na bhene bhakan'jobhela, “N'dala, kwandabha jha kiki ghwilela?” Ni muene akabhajobhela, “Kwa ndabha bhan'tolili Bwana ghuangu, nani nimanyilepi kwa bhamp'ekili.”
2b140e006b	Bho amalikujobha aghu, ageuiki ni kumbona Yesu akajha ajhemili. Lakini amanyilepi kujobha ojhu ajhele Yesu.
2b140f00f6	Ni muene Yesu akan'jobhela, “Mabhu, kwa ndabha jha kiki wilela? Ukandonda niani?” Ni muene khuni akajha amanyili kujha ndo mtunza bustani akan'jobhela, “Bwana, kama ndo bhebhe un'tolili, nijobhelayi kwa umb'ekili, ni nene nibetakun'tola.”
2b14100088	Yesu akan'jobhela, “Mariamu.” Ni muene akageuka muene ni kun'jobhela kwa Kiaramu, “Raboni,” yaani sawa nikujobha, “Mwalimu.”
2b141100ea	Yesu akan'jobhela, “Usinigusi, kwani bado nakona kupaa kulota kwa dadi; bali ulotayi kwa bhalongobhangu ukabhajobhelayi kujha nibetakupaa kulota kwa Ddadi jhangu ambajhe pia ndo Dadi jhinu, K'yara ghwa nene na K'yara ghwa muenga.”
2b14120069	Mariamu Magdalena akahida kubhajobhela bhanafunzi, “Nimbwene Bwana,” na kwamba an'jobhili mambo agha.
2b141300f8	Na bho jhifikili kimihi, ligono elu, ligono lya kuanza lya juma, ni milyangu jhikajha jhidendibhu mahali ambapo bhanafunzi bhajhele kwa kuhofela Bhayahudi, Yesu akahida ni kujhema katikati jha bhene ni kubhajobhela, “Amani ijhelayi kwa muenga.”
2b14140080	Bho amalikujobha aghu akabhalasya mabhokho gha muene ni lubhafu kwa muene. Na bhene bhanafunzi bho bhambwene Bwana bhahobhelili.
2b14150080	Kisha Yesu akabhajobhela kabhele, “Amani ijhelayi namu. Kama vile Dadi kyaanilaghisi nene, fefuefu nani nikabhatuma muenga.”
2b14160054	Yesu bho amalili kujobha aghu akabhavuvila akabhajobhela, Mupokelayi Roho Mtakatifu.
2b14170066	Jhejhioha jha mwibetakun'samehe dhambi, bhasamehibhu; ni bhala bha mwibetakubhafungila bhafungibhu.”
2b14180073	Thomaso, mmonga wa bhala kumi ni bhabhele, jhaakutibhu Dididmas, ajhelepi ni bhanafunzi bhajhinu Yesu bho ahiodili.
2b14190118	Bhanafunzi bhangi bhala bhakan'jobhela baadajhe, “Tumbwene Bwana.” N i muene akabhajobhela, “Kama nibetalepi kubhona alama sya misumari mu mabhoko gha muene, ni kubheka fikonji fya nene mu alama e'su, na pia kubheka kubhoko kyangu mu lubhafu kwa muene nibetalepi kukiera.”
2b141a00cb	Baada jha magono nane bhanafunzi bhajhele kabhele mu kichumba, ni Thomaso ajhele pamonga nabhu. Wakati miliangu idendibhu Yesu ajhemili katikati jha bhene na akajobha, “Amani na ijhelayi kwa muenga.”
2b141b00be	Kisha akan'jobhela Thomaso, letayi kikonyi kya jhobhi na ulotayi mabhoko ghangu; letayi apa mabhoko gha jhobhi na ubhekayi mu lubhafu lwa nene; wala usijhi jhaibetakukiera bali jhaikiera.”
2b141c004f	Ni muene Thomaso akajibu ni kun'jobhela, “Bwana ghuangu ni K'yara ghuangu.”
2b141d0061	Yesu akan'jobhela, Kwa kujha unibhwene, ukieriri. Bhabarikibhu bhene bhabhikier, bila kubhona.”
2b141e006a	Kisha Yesu abhombi ishara simehele mbele jha bhanafunzi, ambasyo sibhwajhilepi kulembibhwa mu kitabu ekhe;
2b141f009b	bali e'se silembibhu ili kwamba mubhwesyayi kukiera kwamba Yesu ndo Kristu, mwana ghwa K'yara, na kwamba pamwikiera mujhiajhi ni uzima mu lihina lya muene.
2b15010075	Baada jha mambo aghu Yesu kwidhihirisha kabhele kwa bhanafunzi mu Bahari jha Tiberia; efe ndo kyaakidhihirishi muene:
2b1502009d	Simoni Petro ajhele pamonga ni Thomaso jhaakutibhweghe Didimas, Nathanaeli ghwa Kana jha Galilaya, bhana bha Zebedayo ni bhanafunzi bhangi bhabhele bha Yesu.
2b150300ca	Simoni Petro akabhajobhela, “Nene nilota kulobha somba.” Ni bhene bhakan'jobhela, “Tete, pia twilota pamonga ni bhebhe.” Bhakalota bhakajhingila mu mashua, lakini kinu kyoha eku bhakilepi khenu.
2b15040061	Ni lukhela bho kubhalele, Yesu ajhemili kundema, na bhene bhanafunzi bhamanyilepi kujha ndo Yesu.
2b15050069	Kisha Yesu akabhajobhela, “Bhasongolo, mujhe ni kyokyoha kya kulya?” Na bhene bakan'jibu, “Lepi.”
2b150600cb	Akabhajobhela, “Muselesiajhi nkwabhu lubhafu kwa kuume bhwa mashua, na mu mwibeta kukabha kiasi.” Kwa hiyo bhakaselesya nkwabhu ni bhene bhabhwesilepi kufuta kabhele kwandabha jha bhwingi bhwa somba.
2b150700da	Basi mwanafunzi jhola ambajhe Yesu an'ganili akan'jobhela Petro, “Ndo Bwana.” Ni muene Simoni Petro bho apeliki kujha ndo Bwana, akakikonga liguanda lya muene (ndabha alifwali lepi kinofu), kisha akakisopa mu masi.
2b150800b9	Bhanafunzi bhangi bhala bhakahida mu mashua (kwani bhajhelepi patali ni pwani, kama mita mia moja kuhomela ufukweni), na bhene bhakajha bhifuta mikwabhu ghela ambaghyo ghyamemili somba.
2b15090070	Bho bhafikili ufukweni, bhaghubhwene muoto ghwa mkaa pala ni panani pa muene kwajhele ni somba pamonga ni mkate.
2b150a004c	Yesu akabhajobhela, “Muletayi baadhi jha somba sya mulobhili henu naha.”
2b150b0095	Basi Simoni Petro akakuela ni kuukokota nkwabhu bhwa wamemili somba sibhaha, kiasi kya somba 153; japo bhajhebhingi, nkwabhu bhola bhwakachwiki lepi.
2b150c00a7	Yesu akabhajobhela, “Muhidayi mkabhayi kifungua kinywa.” Ajhelepi hata mmonga ghwa bhanafunzi jhaan'kotili, “Bhebhe ghwa niani?” Bhamanyili kujha ajhele Bwana.
2b150d0057	Yesu akahida, akautola n'kate bhola, kisha akabhapela, akabhomba mebhu niku somba sela.
2b150e0071	Ejhe jha jhele mara jha tatu kwa Yesu kwidhihirisha kwa bhanafunzi bha muene baada jha kufufuka kuhoma kwa bhafu.
2b150f00fd	Baada jha kufungula kinywa, Yesu akan'jobhela Simoni Petro, “Simoni mwana ghwa Yohana je, uniganili nene kuliko abha?” Petro akajibu, “Ena, Bwana; “Bhebhe umanyili kujha nene nikuganili.” Yesu akan'jobhela, “Lesyajhi bhanakondoo bha nene.”
2b151000bf	Akan'jobhela mara jha pili, “Simoni mwana ghwa Yona, je, uniganili?” Petro akan'jobhela, “Ena, Bwana; bhebhe umanyili kujha nikuganili. “Yesu akan'jobhela, “Dimayi kondoo bhangu.”
2b15110128	Akan'jobhela kabhele mara jha tatu, “Simoni, mwana ghwa Yohana, Je uniganili?” Ni muene Petro ahuzuniki kwa vile kyaan'jobhili mara jha tatu, “Je Bhebhe uniganili?” Ni muene akan'jobhela, “Bwana, umanyili ghoha; umanyili kujha nikuganili.” Yesu akan'jobhela, Lesiajhi kondoo bha nene.
2b15120114	Aminiayi, aminiayi, nikujobhela, bho ghwen'songolo ghwasobhelili kufwala nghobho muene ni kulota kokuoha khola kwa ulondeghe; lakini paghwibetakujha ghwe nseya, ghwibetakugholosya mabhoko gha jhobhi, ni jhongi ibetakufwalika nghobho ni kukupeleka kwa ulondeghe lepi kulota.”
2b1513009e	Yesu ajobhi agha ili kulasya ni aina jheleku jha kifo ambakyo Petro ngaan'tukuizi K'yara. Baada jha kujha ajobhili agha, akan'jobhela Petro, “Nikesiajhi.”
2b151400ce	Petro akageuka ni kumbona jhola mwanafunzi ambajhe Yesu an'ganili akabhakesya- Ojho ndo ajhele akijheghemisi mu kifua kya Yesu wakati wa kyakulya kya kimihi ni kun'kota, “Bwana, niani jhaibetakusaliti?”
2b15150051	Petro ambwene ni kisha akan'kota Yesu, “Bwana, Ojho munu ibetakubhomba kiki?”
2b15160066	Yesu akan'jibu, “Kama nilonda abakilayi mpaka pa nibetakuhida, e'lu likuhusu kiki?” Nikesiajhi.”
2b151700ec	Kwa hiyo habari ejhe jhikaenela miongoni mwa bhala ndugu, kwamba mwanafunzi ojhui ibetalepi kufwa. Lakini Yesu an'jobhilepi Petro kujha, mwanafunzi ojhu ifwa lepi, “Kama nilonda muene abakilayi mpaka pa nibetakuhida ghikuhusu kiki?”
2b15180096	Ojho ndo mwanafunzi jhaibetakupisya ushuhuda bhwa mambo agha, na ndo jhaalembili mambo agha, na tumanyili jha kujha ushuhuda bhwa muene bhwa bhukweli.
2b151900aa	Kuna mambo ghangi ambagho Yesu aghabhombili. Kama kila limonga ngalijhandikibhu, nidhanila kwamba ulimwengu bhuene ngabhutoshilepi kufibheka fitabu ambafyo ngafilembibhu.
2c00000011	Matendo ya Mitume
2c01010063	Kitabu kya muandi nakilembili, Theofilo nikajobha ghoha kwa yesu ghaabhanji kubhomba ni kumanyisya,
2c0102008a	mpaka ligono muene apokelibhu kunani. Ej'ha jha jhele baada jha kupisya amri kup'etela Roho Mtakatifu kwa mitume bhabhajhele abhachaguili.
2c010300b7	Baada jha malombosi gha muene, abhonekane kwa bhene ajha hai pia ni fitishu fingi kushuhudibhwa. Kwa magono arobaini akidhihirishi kwa bhene, naa ajobhili kuhusu bhufalme bhwa K'yara.
2c01040099	Bhoibhonana nabhu abhajubhili bhasibhoki Yerusalemu, lakini bhalendayi kwa ndabha jha ahadi jha Dadi, ambajho ajobhili, “Mwaip'eliki kuhomela kwa nene.
2c01050061	Kwamba Yohana abatili kwa masi, lakini mbatisibhwa kwa Roho Mtakatatifu mu magono agha madebe.”
2c01060075	Nabho bhabhonene pamonga bhakan'kota “Bwana, ivi obho ndo muda ambabho wibeta kubhakerebhusila Israeli bhufalme?”
2c01070076	Muene akabhajobhela, “Sawalepi kwa muenga kumanya bhwakati au majira ambayo Dadi akusudili kwa mamlaka gha muene.”
2c010800c3	Lakini mwibeta kupokela nghofu bhwakati Roho mtakatifu paibeta kuhida kwa mwenga, ni muenga mwibe kujha mashahidi bha nene kuoha Yeresalemu ni Uyahudi jhioha ni Samaria mpaka mwisho ghwa nchi.”
2c01090090	Bwana Yesu bho amalili kujobha agha, bhakaj'ha bhilanga kunani, muene ajhinulibhu kunani, ni libhengu lyan'gupiki bhasimboni kwa mihu gha bhene.
2c010a0075	Bhwakati bhilola kumbinguni ilota, ghafla bhanu bhabhele bhajhemili katikati jha bhene bhafwalili maguanda mabhalafu.
2c010b00d1	Bhakajobha, “Enyi bhanu bha Galilaya kwandabha jha kiki mwijhema apa mwilola kumbinguni.” Ojho Yesu jhaakwelili kunani kumbinguni ibeta kukerebhuka kwa namna jhela jhela kama kya mumbwene ilota kumbinguni.
2c010c0080	Ndipo bhakakerebhuka Yerusalemu, kuhoma kukidonda kya mizeituni ambako okhu karibu ni Yerusalemu, mwendo ghwa ligono lya sabato.
2c010d00c9	Bho bhafihili bhakalota ghorofani ambako bhatamaghe. Nabhene ndo Petro, Yohana Yakobo, Andrea, Filipo, Thomaso, Bhatholomayo, Mathayo, Yakobo mwana ghwa Alfayo, Simoni Zelote ni Yuda mwana ghwa Yakobo.
2c010e0094	Bhoha bhaungene kama munu mmonga, kwa juhudi bhajhe bhijhendelela ni maombi pamonga ni abhu bhajhela bhadala, Mariamu nyinamunu Yesu nibhakaka yake.
2c010f0051	Katika magono ghala ajhemili katikati jha bhalongomunu, kama bhenu 120, akajobha.
2c011000bf	Bhalonho bhangu, jhahele lazima maandiku ghatimisibhwayi, ambapo muandi Roho Mtakatifu ajobhili kwa kinywa kya muene Daudi, kuhusiana ni Yuda, ambajhe abha jhekisi bhala bhabharikamuili Yesu.
2c0111005f	Kwa kujha muene ajhele mmonga bhitu na apokili fungu lya muene lye faida katika huduma ejhe.”
2c011200b9	(Henu, munu ojho, ahemili lieneo kwa khela kya akipokili kwa uovu bhwa muene ni apuabinili kulongolasya mutu, mbhele ghwa kayuiki ni matumbu gha muene ghoha gajhele pabhwaka ghajhitiki.
2c0113009c	Bhoha bha bhataniuli Yerusalemu bhabeliki kuhusu e'le, hivyo lieneo e'lu bhakalikuta kwa lihina lya bhene. “Akeldama” e'lu ndo “N'gonda ghwa damu.”)
2c011400b1	“Mukitabu kya Zaburi ile mbibhu, lendayi eneo lya muene lijhelayi hame na asinihusibhu hata mmonga kutani apala, na Ruhusuajhi munu jhongi atolayi nafasi jha muenejha uongozi.
2c0115007d	Ejhu, jha muhimu, henu, mmonga ghwa bhagosi ambabho bhalongosene ni tete bhwakati Bwana Yesu abhokili ni kujhingila kwa tete.
2c0116007e	kubhwanjila ku ubatisu bhwa Yohana mpaka ligono lela bho atwalibhu kunani lazima ajhelayi shahidi bhwa ufufuo pamonga ni tete.
2c0117006d	Bhakabhabheka palongolo bhagosi bhabhele, Yusufu jhaakutibhweghe Barnaba ambaye pia akutibhu Yusto ni Mathia.
2c01180093	Bhene bhasokili bhajobhili, “Bhebhe Bwana, jhaumanyi mioyo jha bhanu bhoha hivyo bhekayi wazi jholeku kati jha bhabhele abha ambajhe un'chaguili.
2c0119005d	Kutola nafasi katika huduma jha utume, ambapo Yuda abhombi uovu ni kulota mahali pa muene.”
2c011a007b	Bhakapiga kura kwa ajili jha bhene, ni kura jhikanibinila Mathia ambajhe abhalangibhu pamonga ni bhala mitume kumi na moja.
2c0201004c	Bho jhifikili ligono lya Pentekoste, bhoha bhajhele pamonga sehemu jhimonga.
2c02020044	Ghafla bwatokili muungurumo kuhomela kumbinguni kama mp'ongo n'kali.
2c0203008c	Ukameme mu nyumba jhioha mwa bhatamili. Apo syabhatokili ndimi kama ndimi sya muoto sigabhwanyiki, sikajha panani pa bhene kwa khila mmonga.
2c02040086	Bhene bhoha bhakamemesibhwa ni Roho mtakatifu na bhakayanda kujobha kwa lugha s'enge, kama vile Roho mtakatifu kya abhajalili kujobha.
2c02050060	Henu, bhahele bhayahudi bhabatameghe Yerusalemu, Bhacha K'yara kuhoma kila taifa pasi pa mbingu.
2c020600a6	Ngurumo e'se bho sipelekibhu, likundi lya bhanu bhakahida pamonga ni bhakajha ni wasiwasi kwandabha khila munu abhapeliki bhilongela kwa kila munu ni lugha jha muene.
2c02070065	Bhaduele ni kusyangasibhwa, bhene bhajobhili, “Kweli abha bhoha bhilongela bha Galilaya lepi mbona?
2c0208004e	Kwa ndaya kiki tete tukabhap'heleka, kila mmonga ku lugha sya tuhogoliki nasu?
2c0209006a	Bhapartia ni Bhamedi ni Bhaelamu, niabhu bhabitama Mesopotamia, Uyahudi, ni Kapodokia ni mu Ponto ni Asia,
2c020a0058	ku Frigia, Pamfilia, ku Misri ni sehemu jha Libya hata Kerene, nibhahesya kuh'omelaRumi,
2c020b0081	Bhayahudi ni Bhaongofu Bhakrete ni Bhaarabu, tukabhap'eleka bhilongela kwa lugha sya tete kuhusu mbombo sya uweza bhwa K'yara.”
2c020c005e	Bhoha bhaduele ni kutatanisibhwa; bhajobhesene bhene kwa bhene, “Ejhe ijhe ni maana gani?”
2c020d004d	Lakini bhangi bhadhihakili bhakajobha, “Abha bhajasibhu kwa mvinyo mpya.”
2c020e00d1	Lakini Petro akjhema pamonga ni bhala kumi na moja, akakwesya sauti, akajobha, “Bhanu bha Yudea na bhoha bha mwitema apa Yerusalemu, e'le limanyikanayi kwa muenga, mup'elekesiajhi kwa makini malobi gha nene.
2c020f004b	Bhanu abha bhagalilepi kama kya mwidhanila kwa ndabha henu lukhela saa tatu
2c02100038	Lakini lyajhele limalikujobhibhwa kup'etela nabii Yoeli:
2c021100e7	Ibetakujha katika magono ghwa kumuishu, K'yara ijobha nibeta kujihitisya Roho bha jhoni kwa bhanu bhoha. Bhana bhinu ni bhali bhinu bhibeta kuhomesya unabii, Bhasoni golo bhibeta kulola maono, ni bhaseya bhinu bhibeta kulota ndoto.
2c0212008f	Felafela juu jha bhatumishi bhangu nibhatumishi bhangu bhadala katika magono aghu, nibeta kujhatisya Roho bha jhoni, na bhene bhibeta kutabiri.
2c0213005b	Nibeta kulasya maajabu kunani ni ishara pasi pa duniani, damu, muoto, ni mafusho gha liosi.
2c02140077	Nilijobha libeta kubadilisibhwa kujha ngisi ni mwesi kujha damu, kabla jhakuhida ligono libhaha ni lya ajabu jha Bwana.
2c02150049	Ibeta kujha kila mmonga ambajhe akalikuta lihina lya Bwana ibeta kuokoka.
2c021600ed	Bhanu bha Israeli, mup'elekayi malobhi agha. Yesu gha Nazareti mwanadamu jha athibitishibhu ni K'yara kwa muenga kwa matendo gha uweza ni maajabu, ni ishara ambasyo K'yara kup'etela muene katikati jha muenga, kama mwejhomu kya mumanyili.
2c021700ae	Kwa ndabha jha mpango ambajho ghwa kusudidibhu kuh'omela kubhuandu. Ni maarifa gha K'yara abhosibhu, ni muenga, kwa mabhobho gha bhanu bhahalifu, mwan'sulubishji ni kun'koma,
2c02180081	ambajhe K'yara an'jhiuili, akaubhosya uchungu bhwa mauti kwa muene, kwa ndabha jhabhwesekene lepi kwa muene kumilikibhwa ni obhu.
2c0219009b	Hivyo Daudi ijobha kuhusu muene, nana bwene Bwana daima mbele jha mihu ghanghu, muene ajhele kibhoko kyangu kya kulia hivyo basi nibetalepi kuhegelesibhwa.
2c021a0079	Kwa hiyo muoyo bhwa nene bhwa hobhwiki ni lumilu lwa nene ghwafurahishibhu. Pia mbele bhwangu wibeta kuishi mu bhujasiri.
2c021b0071	Wibetalepi kujhileka nafsi jha nene jhilotayi kuzimu, wala wibetalepi kuruhusu mtakatifu ghwa jhobhi kulola uozo.
2c021c0062	Bhebhe udhihirishi kwa nene jhele jha uzima; wibeta kunibhomba nijhela ni furaha pamihu pa jhobhi.
2c021d0072	Ndongo, nibhwesya kulongela kwa muenga kwa bhujasiri kuhusu dadi hitu Daudi: muene lijhele pamonga natu hadi lelu.
2c021e0091	Hivyo, ajhele nabii na amanyili kujha k'yara amalikupaa kwa kiapo kya muene, kwamba ibeta kubheka mmonga katika uzao bhwa muene pa kiti kya enzi.
2c021f007d	Alibhwene e'le manyata ni kujobha kuhusu ufufuo bhwa Kristu, wala alekibhulepi kuzimu, wala mbele ghwa muene ghwa bholi lepi.
2c02200038	Yesu Ojho - K'yara amfufuili ambajhe twebhoha mashahidi.
2c022100ac	Henu bho ajhinulibhu ku kibhoko kya kuume kya K'yara ni kupokela ahadi jha Roho mtakatifu kuh'omela kwa Dad, muene amimi ni ahadi ejhe, ambajhe muenga mwilola ni kup'eleka.
2c0222005c	Kwani Daudi apai lepi kulota kumbinguni, lakini ijobha, 'BWANA ajobhili kwa Bwana ghwa nene,
2c02230079	“tamayi kibhoko kyangu kya kulia, mpaka panibeta kubhabhomba maadui bha jhobhi kigoda kwa ndabha jha magolo gha jhobhi.
2c02240094	Kwa hiyo nyumba jhioha jha Israeli na imananyayi kwa hakika kwamba K'yara ambombili muene kujha Bwana ni Kristu, Ojho Yesu ambajhe mwan'sulubisi.”
2c02250078	Henu bho bhap'eliki nahu, bhahomibhu mu miteema gha bhene bhakan'jobhela Petro ni mitume bhangi, “Ndongo, tuketabhuli?
2c022600c3	Ni Petro atabhajobhela, “Mutubuayi na mubatisibhwayi, khila mmonga bhinu, kwa lihina lya Yesu Kristu kwa ndabha jha msamaha ghwa dhambi sya muenga na mwibeta kupokela zawadi jha Roho mtakatifu.
2c02270095	kwani kwa jhomo ndo ahadi ni kwa bhana bhinu ni kwa bhala bhoha bhabhahe kutali, bhanu bhingi na kwa kadri Bwana K'yara ghwelu pa ibeta kubhakuta.”
2c02280063	Kwa malobhi mingi ashuhudili ni kubhasihi ajobhili, “mwikiokolayi mbokayi mukizazi e'le kiovu.”
2c02290072	(ndipo bhakaghepokela malobhi gha muene ni kubatisibhwa, hapo bhakajhongeseka mu ligono e'le kama nafsi elfu tatu.
2c022a005c	Bhakayendelela ni mafundisu gha mitume ni ushirikiano, katika kuumetula n'kate ni mu maombi.
2c022b0060	Hofu ikahida juu jha khila nafsi ni maajabu ghamehele ni ishara sikabhombibhwa kup'etela mitume.
2c022c0044	bhohe bhabhakyeri'ri pamonga ni kujha ni fenu fya bhene kwa pamonga,
2c022d0067	na bhahemelisi fenu ni miliki sya bhene ni kugabhwanya kwa bhoha kul'engana ni hitaji lya khila mmonga.
2c022e00ad	Hivyo ligono baada jha ligono bhajhendilili bhakajha ni lengo limonga mu hekalu, na bhametuili n'kate mu kaya, na bhashirki kya kulya kwa furaha ni unyenyekevu bhwa miteema.
2c022f007a	Bhan'sifili K'yara na bhajhele ni kibali ni bhanu bhoha. Bwana abhajhongisi ligono kwa ligono ambabho bhajhele bhiokoliwa.
2c0301004c	Henu Petro ni Yohana bhakajha bhitola kuhekalu bhwakati wa maombi, saa tisa.
2c030200c9	Munu fulani, kiwete kuhomela kuhogoleka akajha ip'endibhwa kila ligono kugonekibhwa pa ndiangu ghwa hekalu bhukutibhwege mzuri, ili abhwesiajhi kus'oka sadaka kuh'oma kwa bhanu bhabheloleghe mu hekalu.
2c0303004e	Bhoabhhwene Petro ni Yohana bhikaribila kujhingila mu hekalu, as'okili sadaka.
2c0304004c	Petro, akan'kesila mihu, pamonga ni Yohana, ajobhili, “tu langayi tete.”
2c0305004b	Kiwete akabhalanga, akajha elolelela kukabha khenu fulani kuhoma kwa bhene.
2c0306009f	Lakini Petro akajobha, “hela ni dhahabu nene njelepi nafu, lakini kyani jhenaku kuhomesya kwabhebhe. Katika lihina lya Yesu Kristu ghwa Nazareth, gendaya.”
2c03070096	Petro akan'tala kwa kibhoko kya muene kya kulia, ni kunjinula kunani: mara jhejhuejhu magologha muene ni fifundo fya mafupa gha muene fyakabhi nghofu.
2c03080091	Aruki kunani, munu kiwete ajhemili ni kujhanda kugenda. Akajhingila mu hekalu pamonga ni Petro ni Yohana akajhaigenda, iruka, ni kun'sifu K'yara.
2c03090030	Bhanu bhoha bhambwene igenda ni kun'sifu K'yara.
2c030a00b7	Bhakamanya kujha ajhele munu jhola ambajhe ajhe atameghe ni kus'oka sadaka pa ndiangu ghunofu ghwa hekalu. Bhajhe ni mshangao ni kustaajabu kwa ndabha jhakhela kya kihomili kwa bhene.
2c030b0097	Namna kya abhakemulili bha Petro ni Yohana bhanu bhoha kwa pamonga bhakajumbilila mu ukumbi bhwabhukutibhweghe bhwa Sulemani bhakajha bhishangale sana.
2c030c00f4	Petro bho alibhwene e'le, muene akabhajibu bhanu, “Enyi bhanu bha Israrel, kwandajhekiki mwishangala? Kwandajhakiki mukaghalasya mihu gha jhomu kwa tete, kama kwamba tumbombili ajha agendayi kwa nghofu sya jhoto bhene au uchaji bhwa jhoto?”
