2800000006	Matayu
2b09210057	Payiwera ndiri muntu ayu kalawa kwa Mlungu, mekaweziti ndiri kutenda shintu shoseri!”
2b09220081	Womberi wamwankula, “Gwenga gwiwuka na kulelwa pavidoda, na hashi guweza kutufunda twenga?” Wamwinga kulawa Mnumba ya Mlungu.
2b0923006f	Yesu kapikiniriti yagalawiliti, kamwoniti muntu uliya kamkosiya, “Hashi, gwenga gumjimira Mwana gwa Muntu?”
2b09240050	Muntu ayu kankula, “Mtuwa, gung'ambiri yomberi ndo gaa, su mpati kumjimira!”
2b0925004c	Yesu kamgambira, “Gumwona kala na yomberi ndo yakatakula nagwenga vinu.”
2b09260044	Muntu ayu katakula, “Nukujimira, Mtuwa!” Na kamsuntamilira Yesu.
2b0927006e	Yesu katakula, “Neni niza pasipanu kutoza wantu, wanalwisi wapati kuwona na woseri yawalola waweri lwisi.”
2b09280083	Mafalisayu wamu waweriti pamuhera na yomberi wampikinira pakatakuriti aga na wamkosiya, “Gumaanisha natwenga twanalwisi viraa?”
2b0929009d	Yesu kawankula, “Mwangaweriti mwana lwisi, mwangaweriti ndiri na vidoda, kumbiti mwenga vinu mtakula, twenga tuwona, ayi ilanguziya kuwera mwana vidoda.”
2b0a01009d	“Yesu kawagambira, yoseri yakingira ndiri mulizizi lya kondolu kwa kupitira mlyangu, ira mulupenu na kwingira kwa njira yimonga, ayu ndo mwivi na mkwepula.
2b0a02004b	Muntu yakingira kwa kupitira pamulyangu, ayu ndo mweni mlolera gwa kondolu.
2b0a03009b	Mlolera mlyangu kamvugulira yomberi, kondolu wapikinira liziwu lyakuwi, nayomberi kawashema kondolu wakuwi kila yumu litawu lyakuwi na kuwalonguziya kunja.
2b0a040064	Pakawalavia kunja kawalongulera palongolu, nawomberi kondolu wamfata, kwani walimana liziwu lyakuwi.
2b0a050063	Kondolu awa hapeni wawezi kumfata muntu gwingi, ira watuga toziya walimana ndiri liziwu lyakuwi.”
2b0a060055	Yesu kawagambiriti mfanu agu, kumbiti womberi wavimana ndiri shakafiriti kuwagambira.
2b0a07004e	Su, Yesu katakula kayi, “Nakaka nuwagambireni, neni ndo mlyangu gwa kondolu.
2b0a080066	Wamonga woseri walii wiziti pamberi pa neni ndo wivi na wakwepula, kumbiti kondolu wawapikinira ndiri.
2b0a090061	Neni ndo mlyangu. Yakingira kupitira neni hakalopoziwi, hakingiri na kulawa na hakapati maliziwu.
2b0a0a0061	Mwivi kizaga su kiwi na kalagi na kahalabisiyi. Neni niza mpati kuwera na ukomu, ukomu ukamilika.
2b0a0b0056	“Neni ndo mlolera muheri. Mlolera muheri kalaviyaga ukomu wakuwi kwa kondolu wakuwi.
2b0a0c00b2	Muntu gwa shibenamgongu, yomberi mlolera ndiri na wala kondolu wakuwi ndiri, pakamuwona liminyi kankwiza, kaleka kondolu na kutuga, liminyi kawabata wakondolu na kuwapalasiyanga.
2b0a0d0062	Muntu gwa shibenamgongu katuga toziya yomberi gwa shibenamgongu hera, hapeni kawaloleri wakondolu.
2b0a0e0048	Neni ndo mlolera muheri. Nuwamana wakondolu wangu nawomberi wamana neni,
2b0a0f006d	gambira Tati ntambu yakamana neni, naneni ntambu yanummana Tati. Neni ndaviya ukomu wangu kwajili ya womberi.
2b0a1000a1	Nana wakondolu wamonga yawaweriti ndiri mulizizi ali. Inazimu kuwajega viraa, womberi hawalipikiniri liziwu lya neni, na hakuweri shipinga shimu na mlolera yumu.
2b0a110049	“Tati kanfira neni toziya ndaviya ukomu wangu, su mpati kuwuwanka kayi.
2b0a12008e	Kwahera muntu yakampoka ukomu wangu, neni nuwulaviya mweni. Nana uwezu wa kuwulaviya na kuwutola kayi. Hangu ndo Tati kandagaliriti ntendi.”
2b0a130044	Kuwera kayi na malekaniru pakati pa Wayawudi toziya ya visoweru avi.
2b0a140058	Wantu wavuwa watakuliti, “Kana shamshera, kayi kanalukwali! Gwa shishi kumpikinira?”
2b0a15007f	Wamonga walonga, “Shisoweru ashi sha muntu kana shamshera ndiri. Hashi, shamshera kaweza ashi kuponiziya muntu kana lwisi?”
2b0a160072	Aku Yerusalemu kuweriti na msambu gwa kumlavilira Mlungu Numba nkulu ya Mlungu, shipindi ashi shiweriti sha mpepu.
2b0a17005b	Yesu kaweriti kankugendagenda Mnumba nkulu ya Mlungu pahala wapashemiti Mdamu gwa Selemani.
2b0a18008f	Su, Wayawudi wamzyengeta Yesu, wamkosiya, “Hagutuleki pota na nakaka mpaka ndii? Gutugambiri nakaka pota kufifa, Hashi, gwenga ndo Kristu?”
2b0a19007d	Yesu kawankula, “Nuwagambireni kala, kumbiti mnjimira ndiri. Lihengu lyantenda neni kwa uwezu wa Tati gwangu wakuntakuziya.
2b0a1a0046	Kumbiti mwenga mnjimira ndiri toziya mwenga mwa kondolu wa neni ndiri.
2b0a1b004b	Wakondolu wangu wapikinira liziwu lyangu, neni nuwamana, nawomberi wanfati.
2b0a1c0070	Neni nuwayupa ukomu wa mashaka goseri, nawomberi hapeni wahowi. Kwahera muntu yakaweza kuwawusiya mmawoku mwangu
2b0a1d0075	Tati gwangu ndo mweni yakanupiti hawa nayomberi ndo mkulu kuliku woseri. Kwahera yakaweza kuwawusiya mmawoku mwakuwi.
2b0a1e0019	Neni na Tati, twayumu.”
2b0a1f0023	Su, Wayawudi watola mabuwi wamgumi.
2b0a200077	Yesu kawagambira, “Nuwalanguziyeni mahengu gavuwa kulawa kwa Tati. Nuwatendera shishi shamfira kung'uma na mabuwi?”
2b0a2100aa	Wayawudi wamwankula, “Hapeni tukugumi kwajili ya matendu maheri, kumbiti kwa kumwigilanga Mlungu! Gwenga ndo muntu hera kumbiti mweni gwenga gulitenda kuwera Mlungu.”
2b0a220055	Yesu kawankula, “Walembiti Mumalagaliru genu, Neni nonga, ‘mwenga ndo milungu?’
2b0a230085	Mlungu kawashemiti milungu walii wawapanana ujumbi wakuwi, natwenga tuvimana handa Malembu Mananagala gatakula nakaka mashaka goseri.
2b0a240090	Kumbiti neni, Tati ndo kansyaguliti na kantumiti pasipanu. Iwera ashi mung'ambira neni nigilanga toziya ntakuliti ‘Neni Namwana gwa Mlungu?’
2b0a250041	Namunjimira neni, pamwona ntenda ndiri vitwatira vya Tati gwangu.
2b0a2600b4	Kumbiti pantenda vitwatira avi, ata pamunjimira ndiri neni, muvijimiri ata vitwatira vyantenda, su mpati kuvimana nakaka kulonga Tati ka mngati mwangu na neni namngati mwa Tati.”
2b0a270038	Wajeriti kayi kumbata Yesu kumbiti kawukiti pakati pawu.
2b0a280066	Yesu kagenda kayi kumwambu ku lushemba Yoridani, pahala Yohani pakaweriti kankubatiza, kalikaliti aku.
2b0a29008c	Wantu wavuwa wamgenderiti pawalonga, “Yohani katenda ndiri liuzauza lyoseri, ira goseri Yohani gakatakuliti kuusu muntu ayu ndo nakaka.”
2b0a2a0027	Na wantu wavuwa pahala palii wamjimira.
2b0b010082	Muntu yumu yawamshema Lazaru, kalikaliti Betaniya, kaweriti mlweri. Betaniya lushi lwawalikaliti Mariya na Marita muhasha gwakuwi.
2b0b020077	Mariya ndo uliya yakamswagiti uturi Mtuwa na kumpukuta kwa viri zyakuwi. Ayu ndo Lazaru kaka gwakuwi yakaweriti mlweri.
2b0b03004b	Wahasha watuma ujumbi kwa Yesu, “Mtuwa, ganja gwaku yagumfira, mlweri!”
2b0b0400a2	Yesu pakapikaniriti aga, katakula, “Ulweri awu hapeni hujegi kuhowa kwa Lazaru, ira ndo kwajili ya kumkwisa Mlungu na kwa mana ayi Mwana gwa Mlungu kakwiswi.”
2b0b05003c	Yesu kamfiriti Marita na muhasha gwakuwi pamuhera na Lazaru.
2b0b060058	Pakapatiti shisoweru handa Lazaru mlweri, kulikala pahala panu kwa mashaka mawili nentu.
2b0b070040	Shakapanu kawagambira wafundwa wakuwi, “Tuwuyi kayi Yudeya!”
2b0b080084	Wafundwa wamgambira, “Mfunda! Shipindi shifupi hera shipita Wayawudi wafira kukuguma mabuwi, na gwenga gufira kugenda kayi aku?”
2b0b090096	Yesu kankula, “Lishaka lyana saa lilongu na mawili ndiri, ndo hangu? Pakagendagenda paliwala hapeni kawezi kulikwala, kawona kulangala kwa pasipanu.
2b0b0a004e	Kumbiti muntu pakagendagenda pashiru katalikwala, Toziya kulangala kwahera.”
2b0b0b007d	Yesu katakuliti hangu na pakamaliriti, kawagambira, “Ganja gwetu Lazaru kagonja, kumbiti neni nankugenda na kumyumusiya.”
2b0b0c004f	Wafundwa wakuwi wamgambira, “Mtuwa, handa yomberi kagonja su hakaponiziwi.”
2b0b0d0072	Kumbiti Yesu kaweriti kankutakula kuusu kuhowa kwakuwi, womberi waliholiti kuwera kankutakula kuusu kugonja mbota.
2b0b0e002f	Yesu kawagambira pota kufifa, “Lazaru kahowa,
2b0b0f0069	kumbiti nemelera kwa ajili ya mwenga handa mweri ndiri aku, su mpati kujimira. Haya tugendeni kwakuwi.”
2b0b10006b	Tomasi yawamshema mawira kawagambira wantumini wamonga, “Tugendeni woseri pamuhera na mfunda tukahowi!”
2b0b110050	Yesu pakafikiti aku, kamwoniti Lazaru wamtula kala mlipumba kwa mashaka msheshi.
2b0b12004f	Shijiji sha Betaniya shiweriti pakwegera na Yerusalemu utali wa kilumita ntatu,
2b0b13005b	na Wayawudi wavuwa wiziti kumlola Marita na Mariya kuwapanani ushiwa kwa kuhowa kaka gwawu.
2b0b14006f	Shipindi Marita pakapikaniriti handa Yesu kaweriti kamkwiza, kagenda kumwanka, kumbiti Mariya kasigaliti ukaya.
2b0b150057	Marita kamgambira Yesu, “Mtuwa handa gwangaweriti panu, kaka gwangu mekahowiti ndiri!
2b0b16004e	Kumbiti nuvimana handa ata vinu shoseri shagufira kumluwa Mlungu, hakakupi.”
2b0b170036	Yesu kamgambira, “Kaka gwaku hakawuyi mkomu kayi.”
2b0b180062	Marita kamwankula, “Nuvimana handa hawazyuki shipindi sha uzyukisiwu, mulishaka lya kupelera.”
2b0b190064	Yesu kamgambira, “Neni ndo uzyukisiya na ukomu. Yakanjimira neni ata tembera hakahowi, hakalikali.
2b0b1a0047	Na kila yakalikala na kunjimira, hapeni kahowi. Hashi, gujimira aga?”
2b0b1b0074	Marita kamwankula, “Yina, Mtuwa! Neni njimira handa gwenga ndo Kristu, Mwana gwa Mlungu, uliya yakiza pasipanu.”
2b0b1c0081	Marita pakatakuliti aga, kagenditi na kumshema Mariya mlongu gwakuwi, kamgambira pagweka, “mfunda kapanu na kafira kukuwona.”
2b0b1d0041	Nayomberi pakapikaniriti aga, kamukamu kagoloka, kamgendera Yesu.
2b0b1e0056	Yesu kaweriti keniyingiri mushijiji, kumbiti kaweriti palaa palii Marita pakamwankiti.
2b0b1f00b2	Su, Wayawudi yawaweriti ukaya pamuhera na Mariya pawamnyamaziya muushiwa, pawamwoniti kagoloka na kulawa kunja vumu, wamwiziriti. Wavimaniti kaweriti kankugenda mulipumba kudaya.
2b0b200098	Mariya pakasokiti pahala palii Yesu pakaweriti na kumwona, kasuntamala, kamgambira, “Mtuwa, handa gwangaweriti panu, kaka gwangu kangahowiti ndiri!”
2b0b210083	Yesu pakamwoniti kankulira na Wayawudi walii wawiziti pamuhera nayomberi wankulira viraa, kamemiti na maholu na kuhinginika mumoyu.
2b0b220058	Shakapanu kawakosiya, “Lipumba lya koshi?” Wamgambira, “Mtuwa, gwizi na gulori.”
2b0b23000c	Yesu kalira.
2b0b240036	Su, Wayawudi watakula, “Mlori ntambu yakamfiriti!”
2b0b25007e	Kumbiti wamonga wawu watakula, “Hashi, ayu yakamtenditi katumuli masu lwisi uliya, kaweza ndiri kumtenda Lazaru nakahowi?”
2b0b260071	Su, Yesu kahinginika kayi mmoyu, kiziti mlipumba. Lipumba lyeni liweriti mpanga na liweriti ludiwirwa kwa libuwi.
2b0b2700a3	Yesu kalagaliriti, “Mliwusiyi libuwi ali!” Marita mlongu gwakuwi ayu yakahowiti kamgambira, “Mtuwa kanja kala kununka, kalikala mulipumba mashaka msheshi!”
2b0b28005b	Yesu kamgambira, “Hashi, nukugambira ndiri handa pagujimira haguwoni ukwisa wa Mlungu?”
2b0b290069	Su waliwusiya libuwi lilii, Yesu kalola kumpindi, katakula, “Mayagashii Tati toziya gwenga gumpikanira.
2b0b2a0088	Nuvimana handa gumpikanira neni. Kumbiti ntakula aga toziya ya wantu awa wapala panu su wapati kujimira handa gwenga ndo yaguntumiti.”
2b0b2b0051	Pakamaliriti kutakula aga, kashema kwa liziwu likulu, “Lazaru! Gulawi kunja!”
2b0b2c00a8	Uliya yakaweriti kahowa kalawiti kunja, aku wamyopa sanda mmagulu na mmawoku na sheni shakuwi shigubikirwa. Yesu kawagambira, “Mumyopoli, mkamleki kagendi zyakuwi.”
2b0b2d0066	Su, Wayawudi wavuwa waweriti wamtyangira Mariya pawawoniti Yesu shintu gaa shakatenditi, na kumjimira.
2b0b2e005f	Kumbiti wamonga wawu wagenditi kwa Mafalisayu na wawagambira shitwatira ashi shakatenditi Yesu.
2b0b2f007a	Mafalisayu na watambika wakulu waliwoniti Mwashizungu na watakula, “Tutendi shishi? Muntu ayu kankutenda mauzauza nentu.
2b0b300077	Patumleka hera wantu woseri hawamjimiri, womberi Warumi hawizi kuwalibisiya Numba nkulu ya Mlungu gwetu na isi yetu!”
2b0b31007b	Panu yumu gwawu, yawamchema Kayafa, ndo kiwiti mtambika mkulu wa shinja ashi, kawagambira, “Mwenga muvimana ndiri shintu!
2b0b320076	Hashi, mwona ndiri handa ndo mbaka kwamwenga muntu yumu kahowi kwa ajili ya wantu, kuliku isi yoseri ipalanganyika?”
2b0b3300a3	Yomberi katakula ndiri hangu ntambu yakafiriti mweni, ira kaweriti mtambika mkulu shinja ashi su katungiti handa Yesu hakahowi toziya ya wantu wa Isi ya Shiyawudi,
2b0b340077	na toziya ndiri gweka yawu hera, kumbiti kapati kuwajega pamuhera munshimba yimu yaipalanganyikiti kwa wantu wa Mlungu.
2b0b35004e	Su, kwanjira lishaka ali watuwa wa Shiyawudi watenda mipangu gwa kumlaga Yesu.
2b0b3600c5	Su, Yesu hapeni kagendigendi kayi paweru muisi ya Wayawudi, kumbiti kawukiti panu kagenditi pahala pagwekera na kushiwala, mlushi lwa walushema Efrayimu. Kalikaliti aku pamuhera na wafundwa wakuwi.
2b0b37008d	Shipindi sha msambu sha Wayawudi sha Pasaka shiweriti pakwegera na wantu wavuwa walawa muisi wagenditi Yerusalemu su walipungi pa msambu agu.
2b0b3800a1	Su, waweriti wankumsakula Yesu. Na womberi pawaliwoniti Mnumba nkulu ya Mlungu, walikosiyana, “Mulihola hashi? Nakaka hakizi ndiri ku msambu agu, awu ndiri?”
2b0b390090	Watambika wakulu na Mafalisayu walagalira kuwera, handa muntu yoseri pakavimaniti pahala pakaweriti Yesu, kalazimika kutakula su wapati kumbata.
2b0c01007f	Pamberi pa mashaka sita ga msambu gwa Pasaka, Yesu kafikiti Betaniya pakaya pa Lazaru, muntu yakamzyusiyiti kulawa kwawahowiti.
2b0c020087	Aku wamtuliriti shiboga sha pamihi na Marita kaweriti kamtendera. Lazaru kaweriti yumu gwa walii wawaweriti wankuliya pamuhera na Yesu.
2b0c03009c	Mariya katoliti supa ya uturi yawayishema naridu iherepa ya mpiya zivuwa, kamswaga Yesu mumagulu na kugapukuta kwa viri zyakuwi numba yoseri inunkira uturi.
2b0c040053	Yumu gwa wafundwa wa Yesu, Yuda Isikariyoti yakafiriti kumgalambuka Yesu, katakula,
2b0c050068	“Uturi awu waweza kuwuza kwa mpiya zya shibena mgongu sha myezi tisa na mpiya azi wawayupi wahushu?”
2b0c060096	Katakuliti hangu, kwakuwawonera ndiri wahushu lusungu, toziya kaweriti mwivi na yomberi ndo yakakoliti muhaku gwa mpiya na kavitoliti vyawatuliti amu.
2b0c07006a	Yesu katakula, “Mumleki mdala ayu! Kavituriti vyoseri vyakaweriti navi kwa lishaka lya kusilwa kwa neni.
2b0c080051	Wahushu mwanawu mashaka goseri, kumbiti hamuweri ndiri na neni mashaka goseri.”
2b0c0900b0	Wayawudi wavuwa wapikiniriti handa Yesu Kabetaniya. Su womberi wagenditi aku, wapati kumwona Yesu, kayi wafiriti kumwona Lazaru ulii yakamzyusiyiti na Yesu kulawa kwa wahowiti.
2b0c0a0035	Watambika wakulu wasakuliti ntambu ya kumlaga Lazaru,
2b0c0b003b	toziya Wayawudi wavuwa wawalemiti wayawu na wamjimira Yesu.
2b0c0c006c	Shirawu yakuwi, lipinga likulu lya wantu wiziti kumsambu wapikiniriti Yesu kaweriti mnjira kwiza Yerusalemu.
2b0c0d00b1	Watola maputira ga mitendi, walawa kugenda kumwanka, wabota pawatakula, “Gwenga mlopoziya gwetu! Katekelerwi ayu yakiza mulitawu lya Mtuwa. Katekelerwi Mfalumi gwa Israeli.”
2b0c0e0057	Yesu kakwena mwana punda, kalivaga pampindi pakuwi gambira ntambu yagatakuliti Malembu,
2b0c0f0061	“Kotu kutira gwe lushi lwa Sayuni, Mfalumi gwaku kamkwiza, Kalivaga pampindi pa mwana punda.”
2b0c1000c7	Shipindi ashi wafundwa wakuwi wavimaniti ndiri shitwatira ashi shoseri, kumbiti Yesu pawamkwiswiti kala, womberi wagaholiti Malembu Mananagala gatakuliti kuusu yomberi na wagatenditi aga kwa yomberi.
2b0c11009b	Lipinga lya wantu walii wawaweriti pamuhera nayomberi shipindi pakamshemiti Lazaru kulawa mlipumba, kamzyusiya kulawa kwawahowiti, watakuliti yagalawiriti.
2b0c12007a	Toziya ya aga, lipinga likulu lya wantu awa wamgenderiti Yesu, mana woseri wapikiniriti handa Yesu katenditi liuzauza ali.
2b0c130073	Mafalisayu waligambiziyana, “Mwona? Hapeni tuwezi kutenda shoseri! Mlori, wantu wa pasipanu woseri wankumfata.”
2b0c140064	Kuweriti na Wagiriki wamu mu wantu yawaweriti wiza Yerusalemu kumkwisa Mlungu mushipindi sha msambu.
2b0c15006f	Womberi wamgenderiti Filipu, yakalawiriti Betisayida mu Galilaya na watakula, “Mtuwa, tufira kumwona Yesu.”
2b0c16004b	Filipu kagenda na kamgambira Andereya na wawili wagenda na kumgambira Yesu.
2b0c17003e	Yesu kawawankula, Saa isoka kala kwa Mwana gwa Muntu kukwiswa!
2b0c180086	Nukugambirani nakaka, mbunji ya nganu isigala mbunji hera payiyalwa ndiri mulitapaka na kuwola. Handa payiwola, su ilera mbeyu zivuwa.
2b0c19007e	Woseri yawafira ukomu wawu hawawuhoviyi, yakagahoviya makaliru gakuwi pasipanu, hakagaponiziyi kwa makaliru ga mashaka goseri.
2b0c1a0082	Yakafira kuntendera ndo mpaka kanfati, pawera neni na ntumintumi gwangu hakaweri, kayi muntu pakantendera Tati hakampanani ligoya.
2b0c1b00ac	“Vinu rohu yaneni intama, ntakuli shishi? Ntakuli, ‘Tati, gunopoziyi shipindi ashi pashisoka?’ Kumbiti ayi ndo toziya ya kwiza. Su shimpiti shipindi ashi sha ntabiku.
2b0c1c0077	Tati, Kakwiswi litawu lyakuwi.” Panu liziwu litakula kulawa kumpindi kwa Mlungu. “Nulikwisa na hanulikwisi kayi.”
2b0c1d008b	Lipinga lya wantu lyaligolokiti palii lipikaniriti liziwu ali na wamu wawu watakuliti, “Ntumintumi gwa kumpindi kankuyowera nayomberi!”
2b0c1e005e	Kumbiti Yesu kawagambira, “Liziwu ali lirandula ndiri kwajili yaneni, ira kwajili ya mwenga.
2b0c1f004c	Vinu ndo shipindi sha pasipanu kutozwa, vinu mtuwa gwa pasipanu hawamwusiyi.
2b0c200048	Neni panu panyasulwa kumpindi kwa Mlungu hanumkwezeniziyi kila muntu.”
2b0c210031	Kakutakula hangu kalanguziya ntambu gaa hakahowi.
2b0c2200bc	Lipinga ali limwankula. Twenga watugambira Malagaliru getu handa Kristu hakalikali mashaka goseri. Su, guweza hashi kutakula eti mwana gwa Muntu imbidi kanyasulwi? Mwana gwa Muntu ndo gaa?
2b0c2300b2	Yesu kawagambira, “Gulangala haguweri pakati penu katepu hera. Mgendi toziya mnawu gulangala agu, ntiti hapeni iwapati, toziya yakagendagenda muntiti kavimana ndiri kwakagenda.
2b0c2400ab	Shipindi shamuwera na gulangala agu, mugujimiri, su mpati kuwera wantu wa gulangala.” Pakalongiti kala visoweru avi, Yesu kagenditi zakuwi na kulififa kutali na womberi.
2b0c250053	Tembera Yesu katenditi mauzauza goseri aga palongolu pawu, womberi wamjimira ndiri.
2b0c260095	Su visoweru vyakatakuliti Isaya mbuyi gwa Mlungu vitimiya. “Mtuwa, gaa yakajimiriti ujumbi watutakuliti? Na uwezu wa Mtuwa ulilanguziya kwa gaa?”
2b0c270044	Na hangu womberi waweza ndiri kujimira, toziya Isaya katakula viraa,
2b0c2800be	“Mlungu kagatula lwisi masu gawu Na kagazezetiya mahala gawu, Wawoni ndiri kwa masu gawu, Wavimani ndiri kwa mahala gawu, Na wanizira ndiri neni, Mlungu katakula, Su mpati kuwaponiziya.”
2b0c29005a	Isaya katakuriti visoweru avi toziya kawoniti ukwisa wa Yesu, pakatakula visoweru vyakuwi.
2b0c2a00ae	Ata hangu, kuvuwa kwa watuwa wa wakulu wa Shiyawudi wamjimiriti Yesu. Kumbiti toziya ya mafalisayu, wamjimiriti ndiri paweru kwa kutira handa wawatuli gweka mnumba ya Mlungu.
2b0c2b0035	Wafiriti kuzyumwa na wantu kuliku kuzyumwa na Mlungu.
2b0c2c0082	Shakapanu Yesu katakula kwa liziwu likulu, “Muntu yakanjimira, kanjimira ndiri neni hera, ira kamjimira viraa uliya yakantumiti.
2b0c2d0030	Yakamona neni kankumwona viraa ulii yakantumiti.
2b0c2e004c	Neni na Gulangala, niza pasipanu su woseri wawanjimira waweri ndiri muntiti.
2b0c2f0091	Yakapikanira shisoweru shangu uganu kagakola ndiri, neni hapeni numtozi, hanumtozi ndiri. Niza ndiri kuwatoza wantu wa pasipanu ira kuwalopoziya.
2b0c300093	Woseri yawanema neni na kuujimira ndiri ujumbi waneni, kwana yumu yakiza kuwatoza. Visoweru vyantakula haviweri vyakuwatoza mulishaka lya kupelera.
2b0c310092	Ayi ndo nakaka, toziya neni ntakula ndiri kwa uwezu wangu namweni, kumbiti Tati yakantumiti ndomweni yakantumiti ntakuli shishi na nyoweri shishi.
2b0c320086	Naneni nuvimana weri lilagaliru lyakuwi lijega ukomu wa mashaka goseri. Su, neni ntakula hera galii Tati yakanagaliriti nugatakuli.”
2b0d0100ed	Iweriti lishaka lya pamberi pa msambu gwa Pasaka. Yesu kavimaniti handa saa yakuwi isoka ya kuwuka pasipanu na kugenda kwa Tati. Shipindi shoseri yomberi kawafiriti nentu wantu wa pasipanu yawaweriti wakuwi, na kawafiriti mpaka lupeleru!
2b0d0200b1	Yesu pamuhera na wantumini wakuwi waweriti walivaga kuliya shiboga sha pamihi. Shetani kingiriti kala mumoyu mwa Yuda, mwana gwa Simoni Isikariyoti, maholu ga kumgalambuka Yesu.
2b0d03007b	Yesu kavimaniti handa Tati kaweriti kamupa makakala, kavimaniti kuwera kalawa kwa Mlungu na kaweriti kankugenda kwa Mlungu.
2b0d04005b	Su, kawukiti pameza, kayikusa nguwu yakuwi, katola shitambala na kulitawa mushyunu mwakuwi.
2b0d050089	Shakapanu katula mashi mubakuli, kanja kuwagulula magulu wafundwa wakuwi kugapukuta kwa shitambala shilii shakashitawiti mushinu mwakuwi.
2b0d060069	Pakiziti kwa Simoni Peteru, nayomberi katakula, “Mtuwa, hashi gwenga gwiza kugagulula magulu ganeni?”
2b0d07005e	Yesu kamwankula, “Gwenga hapeni gwerewi vinu shantenda ashi, kumbiti hagwelewi shakapanu.”
2b0d08009f	Peteru kamgambira, “Gwenga hapeni gungululi magulu gangu nakamu!” Yesu kamwankula, “Pangulula ndiri magulu gaku, hapeni guweri ntumintumi gwangu kayi.”
2b0d090067	Simoni Peteru kamwankula, “Mtuwa, nagungululi magulu hera! Gugagululi mawoku gangu na mtuwi viraa.”
2b0d0a0088	Yesu kamgambira, “Yawakoga kala wawera waherepa na wafiruwa ndiri kunawa ira magulu gawu. Mwenga muherepa, kumbiti mwawoseri ndiri.”
2b0d0b0079	Yesu kamumaniti kala ulii yakagenda kumgalambuka, ndo mana kalongiti, “Mwenga muherepa, kumbiti yumu kaherepa ndiri.”
2b0d0c00b1	Pakamaliriti kuwagulula magulu gawu, kavulumula nguwu yakuwi, na kalivagiti pahala pakuwi pakwegera na meza, su yomberi kawakosiya, “Hashi, mwerewa shanuwatenderani mwenga?”
2b0d0d0048	“Mwenga munshema mfunda na Mtuwa, mwenga mtakula weri toziya ndo neni.
2b0d0e006f	Paiwera neni Mtuwa gwenu na mfunda gwenu, nuwanaviya magulu mwenga, mwenga viraa mfiruwa kulinawiviyana magulu.
2b0d0f0045	Nukupanani kala mfanu, su mwenga mtendi viraa ntambu yanuwatenderani.
2b0d10007d	Nuwagambirani nakaka, wantumintumi wakulu ndiri kuliku mtuwa gwawu na ntumintumi hapeni kaweri mkulu kuliku ulii yakantumiti.
2b0d11003a	Vinu muumana unakaka awu, hamuweri na sekuseku pamgatenda.
2b0d1200e6	“Aga gantakula gawawusu ndiri mwenga mawoseri. Neni nuwamana walii yanuwasyaguliti. Kumbiti mpaka gatimii Malembu Mananagala gaweri nakaka ntambu yagalembwa, ‘Muntu yakaliyiti pamuhera naneni shiboga shangu hakang'alambuki’.
2b0d130071	Neni nuwagambireni vitwatira avi vinu pamberi kulawira. Su pagalawila mpati kujimira kuwera ‘Neni ndo Mweni’.
2b0d14008a	Nuwagambireni nakaka, yakamshemera yoseri ulii yanumtumiti, kanshemera neni viraa na yakanshemera neni ndo kamshemera ulii yakantumiti.”
2b0d150084	Yesu pakatakuliti kala aga, kahinginikiti nentu mumoyu, katakula pota kufifa, “Nakaka nuwagambireni, yumu gwenu hakamgalambuki!”
2b0d16004c	Wafundwa walilola weni, su waweriti wavimana ndiri handa gaa hakamgalambuki.
2b0d170059	Yumu gwa wafundwa, mweni Yesu ndo yakamfiriti nentu, kaweriti kalivaga pakwegera na Yesu.
2b0d180055	Simoni Peteru kamlanguziya kwa mawoku, kamgambira “Gumkosiyi katakula kuusu gaa.”
2b0d190053	Su ntumintumi ulii kasegelera nentu uwega wa Yesu, kamkosiya, “Mtuwa, ndo gaa?”
2b0d1a00c0	Yesu kamwankula, “Ulii yanumupa shipandi sha libumunda shantotiti musahani, ndo mweni.” Su, kashitola shipandi sha libumunda, kashitota musahani, kamupa Yuda, mwana gwa Simoni Isikariyoti.
2b0d1b0099	Yuda pakayankiti kala shipandi sha libumunda, Shetani kamwingiriti yomberi. Su, Yesu kamgambiriti Yuda, “Gutendi kanongola shilii shagufira kutenda!”
2b0d1c0062	Woseri yawalivagiti kuliya shiboga wavimaniti ndiri kwantambu gaa Yesu katakuriti aga kwa yomberi.
2b0d1d00a2	Yuda kaweriti mkola mpiya pakati pawu, wavimaniti kuwera Yesu kamgambiriti hakahemeri vilii vyawafiruwa mumsambu, ama kamgambiriti kakalaviyi shoseri kwa wahushu.
2b0d1e0066	Su Yuda pakayankiti kala shipandi shilii sha libumunda, palaa paliya kalawa kunja. Na iweriti Pashiru.
2b0d1f0084	Yuda pakawukiti kala, Yesu kalonga, “Vinu ukwisa wa Mwana gwa Muntu ugubutulwa, vinu ukwisa wa Mlungu ugubutulwa kupitira yomberi.
2b0d200092	Handa ukwisa wa Mlungu paugubutulwa kupitira yomberi, su Mlungu hakaulanguziyi ukwisa wa Mwana gwa Muntu mngati mwakuwi, kamukamu hakatendi hangu.
2b0d2100aa	Wana wangu, nankali na mwenga katepu hera. Hamunsakuli, kumbiti vinu nukugambirani galii ganuwagambiriti kala wakulu wa Wayawudi, ‘Pang'endaku, mwenga hapeni mgendi.’
2b0d22006a	Vinu nukupanani lilagaliru lya syayi, mulifiri weni. Handa yanukufirani mwenga, viraa vilii mulifiri weni.
