0100000005	Ugiti
0e1a0e007d	Ɗa Uziya u la̱nsa̱i nra̱ga̱ nu nsara, nu nkun mi iyum nu ntogu mi iyum n utan n atali a̱ ka̱vimgba̱tsu n a̱bunda̱i.
0e1a0f013a	Punu a Urushelima ɗa u yaꞋin i ucanuku u na aza uyevi a yaꞋin, i na a kuzuwa ɗe gaɗi va asaka n ubuta̱ wa akambu wa asaka adama na a taɗuku aya n atali a bunda̱i. Adama ili nampa, ɗa kula ku ni ku ka̱ra̱i uduniya dem, adama a na u ciya̱ ta̱ uɓa̱nki wa a̱bunda̱i, ɗa tana wo okpoi vuza vu tsura.
0e1a100131	Ama a na Uziya we enei u tsurakpa ta̱ mayin, ɗa u gita̱i a̱ra̱ɗi, ɗa tana a zamaka ni kadama. Adama a na u yaꞋan ta̱ unambi wu usuɓi a̱ a̱shi a Vuzavaguɗu Ka̱shile ka̱ ni, ali u uwai A̱Ꞌisa̱ a gbayin a Vuzavaguɗu adama a na u songu ili i ma̱gula̱ni a katalikalyuka n ka̱ci ka̱ ni.
0e1a110072	Ɗa Azariya ganu koɓolo n anan ganu a Vuzavaguɗu uma amangatawa̱na̱shi o tonoi ni punu A̱Ꞌisa̱ a gbayin a.
0e1a12015a	Ɗa a dana ni, “U gaꞋan avu Uziya n ka̱ci ka̱ nu vu songu ili i ma̱gula̱ni u Vuzavaguɗu ba. Na lo va ulinga u anan ganu u ɗa kumaci ku Haruna, ele na erengi adama a na a yaꞋan ulinga u nanlo koci. Uta̱ punu o mololo ma ciɗa ma, adama a na vu yaꞋan ili i singai ba. Nanai va vi a̱ kuciya̱ tsugbayin u Vuzavaguɗu Ka̱shile ba.”
0e1a130179	Ɗa Uziya u yaꞋin wupa, a̱yi kashani ɗevu n katalikalyuka adama a na u songu ili i ma̱gula̱ni punu A̱Ꞌisa̱ a Vuzavaguɗu, a̱yi uɓa̱ni m mevene mo kusongu ili i ma̱gula̱ni ekiye a̱ ni n wupa, ɗa mɓa̱la̱ mu ukutu n ka̱na̱i ni a̱ kuca̱n a̱ a̱shi a anan ganu punu A̱Ꞌisa̱ a gbayin a Vuzavaguɗu e kelime ka katalikalyuka ko kusongu ili i ma̱gula̱ni.
0e1a1400de	Ana Azariya ganu vu gbayin n anan ganu a na a buwai indanai ni, ɗa enei mɓa̱la̱ mu ukutu n ka̱na̱ yi ta̱ a̱ kuca̱n, ɗa utuka̱ ni pulai n moloko, a̱yi feu o moloko wu uta̱ adama a na Vuzavaguɗu u lapa yi ta̱.
0e1a15011d	Ɗa Uziya u yongoi nu mɓa̱la̱ mu ukutu ali a kanna ka na u kuwa̱i. U yongoi endeꞋen ni, u doku u uwa punu A̱Ꞌisa̱ a gbayin a Vuzavuguɗu, adama a na wi ta̱ n ukutu. Ɗa Jotam kolobo ka̱ ni ka̱ la̱na̱i kpaꞋa ku mogono ka, kpamu a kulyaꞋa tsugono tsu uma a̱ likuci a.
0e1a160082	Ulinga u Uziya u na u buwai ili i na i ɗikai a̱ ugiti ali a kubana a ukocishi, keneki Ishaya kolobo ka Amozu ɗa u ɗanai i ɗa.
0e1a1700ef	Ɗa Uziya u bankai ukpisa̱ ɗa a̱ ciɗa̱ngi ni ɗevu n ubuta̱ u na a̱ tsu ciɗa̱ngu ngono, ama a̱ ciɗa̱ngi punu ba, adama a na uma a dana ta̱ “A̱yi vuza vu ukutu ɗa.” Ɗa Jotam kolobo ka̱ ni ko okpoi mogono a̱ una̱ u ni.
0e1b0100ae	Jotam wi ta̱ n a̱ya̱ kamanga n a tawun a na wo okpoi mogono, ɗa u lyai tsugono a Urushelima a̱ya̱ kupa n a̱ta̱li. Kula ka̱ a̱na̱ku a̱ ni Jerusha mekere ma Zadoku.
0e1b0200f8	Ɗa Jotam u yaꞋin ili i na i gaꞋin u Vuzavaguɗu, tsu na esheku a̱ ni Uziya u yaꞋin, ama a̱yi u uwa A̱Ꞌisa̱ a gbayin a Vuzavaguɗu adama a na u songu ili i ma̱gula̱ni tsu a̱ ni ba. Ama ɗa uma a lyaꞋi kelime n ka gbani-gbani ke le.
0e1b0300da	A̱yi ɗa u maꞋasakai utsutsu u gaɗi wa̱ A̱Ꞌisa̱ a gbayin a vuzavaguɗu u na wi a̱ ubuta̱ u na u laꞋi n ugaɗi ɗa kpamu u yaꞋin kumaꞋa ka̱ a̱bunda̱i a mashilya ma na mo tonoi n tsu kaginda ka Ofelu.
0e1b040075	Ɗa u maꞋansai likuci yi uɓon wa aginda a Yahuda, ɗa kpamu u maꞋin nshilya mu gaɗi a̱ ubuta̱ u na wi kutsun.
0e1b050155	Jotam kpamu u yaꞋan ta̱ kuvon n aza a Amona ɗa u ciya̱i ulyaꞋi. A̱ ka̱ya̱ ka nanlo ka, ɗa u zuwai aza a Amona a tsupai utafu wa azurufa kilo a̱kpa̱n a tatsu n amangatawa̱na̱shi, n aburuma a alkama ka̱kpa̱n, n aburuma a Bale feu ka̱kpa̱n. Ta aza Amona a̱ ka̱na̱i kutsupa nanai a̱ ka̱ya̱ ka̱ i re n ka̱ya̱ ka tatsu.
0e1b060077	Ɗa Jotam u ka̱na̱i kutsurukpa adama na u yaꞋan ta̱ ili i na i gaꞋin a̱ a̱shi a Vuzavaguɗu Ka̱shile ka̱ ni.
0e1b07009a	Ulinga u na u buwai u Jotam n kuvon ku na u yaꞋin n tsu na u yaꞋin tsugono ci ni, yi ta̱ uɗani a katagarda ka arabali ko ngono mi Isaraila n Yahuda.
0e1b08007c	Jotam wi ta̱ n a̱ya̱ kamanga n a tawun a na wo okpoi mogono, ɗa u lyaꞋi tsugono a Urushelima a̱ya̱ kupa n a̱ta̱li.
0e1b090079	Jotam u bankai ukpisa̱ ɗa a̱ ciɗa̱ngi ni a̱ likuci i Dawuda. Ɗa Ahazu kolobo ka̱ ni ko okpoi mogono a una̱ u ni.
0e1c0100c4	Ahazu wi ta̱ n a̱ya̱ kamanga a na wo okpoi mogono, ɗa u lyaꞋi tsugono a Urushelima a̱ya̱ kupa n a̱ta̱li. Ama u yaꞋan ili i singai u Vuzavaguɗu tsu na akaya a̱ ni Dawuda u yaꞋin ba.
0e1c020076	Ama ɗa u tonoi uye wu ngono mi Isaraila. ali ɗa u yimai ululu a̱ma̱li a Balu a dama a na u yaꞋanka le tsugbashi.
0e1c0300d6	ɗa kpamu u songi kuneꞋe ka alyuka a̱ ka̱ra̱Ꞌa̱ ka Beni vu Hinomu, ɗa u songi muku n ni tsu kuneꞋe ka alyuka akina, o kutono uye wu ili yi unata wu uduniyan u na Vuzavaguɗu u lokoi adama aza a Isaraila.
0e1c040093	Ɗa u yaꞋin alyuka n kuneꞋe ku kusongu ki ili i ma̱gula̱ni a̱ ubuta̱ wa̱ nva̱li aginda n na n gaꞋin ba, n ulu a̱miꞋin a nɗanga dem.
0e1c050149	Adama a nannai ɗa Vuzavaguɗu Ka̱shile ka̱ ni ka neke ni ekiye o mogono Haram. Ɗa aza a Haram a lyaꞋi ni n kuvon ɗa a̱ pura̱i aza a̱ ni n a̱bunda̱i a bankai tsugbashi ɗa a bankai le a iɗika i Dimaska. Ɗa kpamu Ka̱shile ko doku ke neke ni ekiye a Peka mogono mi Isaraila, ɗa unai osoji aza a Yahuda n a̱bunda̱i.
0e1c0600b4	A kanna kete Peka kolobo ka Ramaliya ka unai osoji a̱kpa̱n amangatawun n kamanga, aza a Yahuda. Adama a na aza a Yahuda a̱ ka̱sukpa̱ ta̱ Vuzavaguɗu Ka̱shile ki isheku i le.
0e1c0700a6	Zikiri kovonshi ka gbayin ka aza a Ifirayimu ka unai MaꞋaseya kolobo ko mogono Ahazu, n Azirikam vuza kula̱na̱ kpaꞋa ku mogono n Elikana ka̱ɓa̱nki ko mogono.
0e1c0800b7	Ɗa aza a Isaraila a pura̱i agbashi a na e remei, uma a̱kpa̱n amangatawenre, a̱ma̱ci n olobo nu nkere ma aza a Yahuda. Ɗa kpamu a̱ pura̱i ucanuku u gbani a kubanka a Samariya.
0e1c09015f	Ama keneki ka Vuzavaguɗu ko yoku ki ta̱ lo vuza kula Odedu. Ɗa wu uta̱i u gasai n osoji a Isaraila a na o bonoi a Samariya. Ɗa u danai le, “Vuzavaguɗu, Ka̱shile ki ikaya i ɗa̱ ke neke ta̱ aza a Yahuda ekiye a̱ ɗa̱ adama a na wi ta̱ a wupa n e le, ɗa u nekei le e kiye a̱ ɗa̱. Ama ɗa yi unai le n wupa u na u yawai gaɗi Ka̱shile.
0e1c0a00bb	Kpamu gogo na yi ta̱ ukuna u na i bonoko a na ya aza a Yahuda n aza Urushelima ali n a̱ma̱ci okpo agbashi a̱ ɗa̱. Ama i cinukpa ta̱ a na i nusakai Vuzavaguɗu Ka̱shile ka̱ ɗa̱?
0e1c0b0087	Gogo na panakai mu. Bonokoi n aza a na i pura̱i va, ele feu aza a̱ ɗa̱ a ɗa, Adama a na Vuzavaguɗu wi ta̱ a wupa n a̱ ɗa̱.”
0e1c0c00f7	Ɗa aza e kelime o yoku a kumaci ku Ifiraimu, Azariya kolobo ka Jehohanan m Berekiya maku ma Meshilemotu, n Jehezekiya maku ma Shalum n Amasa kolobo ka Hadalayi, a̱ ushuki n kadanshi ko Odedu. Ɗa a dansukai aza a na o bonoi n ubuta̱ u kuvon wa.
0e1c0d0103	A danai, “Ka̱ta̱ i uka n aza a na i remei a̱ ubuta̱ u kuvon wa punu na ba, adama a na yi ta̱ a kuzamaka tsu kadama u Vuzavaguɗu. Ko i ciga ta̱ i doku unushi n ka gbani-gbani u Vuzavaguɗu? Ko gogo na u yaꞋan ta̱ ɗe wupa ka̱u n aza a Isaraila.”
0e1c0e0067	Ɗa osoji a a̱ ka̱sukpa̱i agbashi a na a̱ pura̱i va n ucanuku wa e kelime ka uma n aza a gbagbain.
0e1c0f019e	Ɗa aza a gbagbain a na e ɗekei ula e le a̱ ɗa̱nga̱i e peciki ucanuku u na osoji a a̱ pura̱i ɗa o bonokoi agbashi a na i oshomboɗi. E nekei le akashi n ataka n ilikulyaꞋa n i kusoꞋo, ɗa a̱ za̱Ꞌi untsu e le n maniꞋin ma zaitu. Ɗa a ɗikai aza a na i n utsura ba a gaɗi vu njaki, o soki le o kubonoko e Jeriko, likuci yi nshuwa n dabino a̱ ubuta̱ u na aza e le i. Ɗa yeve o bonoi a Samariya.
0e1c100052	A makyan ma nanlo mogono Ahazu u la̱nsa̱ ta̱ uɓa̱nki u mogono ma aza Asiriya.
0e1c110068	Adama a na osoji aza a Edom o doku ta̱ a banka aza a Yahuda n kuvon, ɗa a̱ pura̱i agbashi a lazakai.
0e1c120150	Ɗa aza a Filisitiya tankpamu a bankai likuci i wa waꞋa i na yi a uɓon wu nsasan n na mi a uɓon ɗakai wa aza a Yahuda, ɗa isai likuci i Betu-shemeshi n Ayijalon n Gederotu, Soko n likuci i wawaꞋa i ni, Timina n likuci i wawaꞋa i ni, Gimuzo feu n likuci i wawaꞋa i ni. Ɗa aza a Filisitiya a̱ da̱sa̱ngi punu a̱ likuci ya.
0e1c1300c6	Ɗa Vuzavaguɗu u zuwai aza a Yahuda a̱ ciya̱i ugoyi adama Ahazu mogono ma Yahuda, adama a na u zuwa ta̱ aza a Yahuda a yaꞋan u nushi, ɗa kpamu u yaꞋin ili yi unambi wu usuɓi u Vuzavaguɗu.
0e1c140070	Kucikpa ɗa Tigilatu-pelisa mogono ma Asiriya ma tuka̱i ni kuvon, ɗa u takacikai ni a na wa̱ kuɓa̱nka̱ yi.
0e1c1500e3	Ɗa Ahazu u pura̱i ucanuku u ciɗa n a̱bunda̱i u wa̱ A̱Ꞌisa̱ a gbayin a Vuzavaguɗu n kpaꞋa ku mogono n iꞋuwa ya aza a gbagbaꞋin a̱ likuci, ɗa u nekei mogono ma Asiriya, ama n nanai dem na lo u ɓa̱nka̱ yi ba.
0e1c16007c	Ama n atakaci a na mogono Ahazu wi e ku ene a makyan ma nanlo, ɗa u doku u lyaꞋi kelime n unambi wu usuɓi u Vuzavaguɗu.
0e1c170154	Ɗa u yaꞋin alyuka wa̱ a̱ma̱li aza a Dimaska aza a na lyaꞋi ni n kuvon, ɗa u danai, “Adama a na a̱ma̱li a a̱ ɓa̱nka̱ ta̱ ngono ma aza Asiriya ali a lyaꞋi mu n kuvon, mpa feu n ku neke le ta̱ alyuka adama a na a̱ ɓa̱nka̱ mu.” Ama a na a̱ ɓa̱nka̱i ɗa kucikpa a zamaka ni kadama, a̱yi n aza a Isaraila ra̱ka̱.
0e1c18010a	Ɗa Ahazu kpamu u doku u ɓolongi ucanuku u wa̱ A̱Ꞌisa̱ a gbayin a̱ Ka̱shile ra̱ka̱ a̱ ubuta̱ u te ɗa u u ɓosoi u ɗa. ɗa u gbagurai utsutsu wa̱ A̱Ꞌisa̱ a gbayin a Vuzavaguɗu a, ɗa u makai ka̱ci ka̱ ni atalialyuka a̱ ubuta̱ dem a Urushelima.
0e1c1900aa	Likuci dem a Yahuda, Ahazu u maꞋin nva̱li ma̱ a̱ma̱li adama a kuyaꞋanka le alyuka o kusongu. Ɗa u zuwai Vuzavaguɗu Ka̱shile ki ikaya i ni kuyaꞋan wupa ka̱u.
0e1c1a00ad	Ulinga u na u buwa u Ahazu, n tsu na u lyaꞋi tsugono ci ni ili i na i ɗikai a̱ ugiti ali a kubana a ukocishi, yi ta̱ uɗani a katagarda ko ngono n Yahuda n mi Isaraila.
0e1c1b00d6	Ɗa mogono Ahazu u bankai ukpisa̱ ɗa a̱ ciɗa̱ngi ni a̱ likuci i Urushelima. Ama a̱ ciɗa̱ngi a̱ ubuta̱ u na a̱ ciɗa̱ngi ngono mi Isaraila ba. Ɗa Hezekiya kolobo ka̱ ni ko okpoi mogono a̱ una̱ u ni.
0e1d0100b5	Hezekiya u gita̱i tsugono a̱yi n a̱ya̱ kamanga n a tawun, ɗa u lyaꞋi tsugono a Urushelima a̱ya̱ kamanga n kuci. Kula ka̱ a̱na̱ku a̱ ni ku ɗa Abija, mekere ma Zakariya.
0e1d020056	Ɗa u yaꞋin ili i na i gaꞋin u Vuzavaguɗu, tsu na Dawuda esheku a̱ ni a yaꞋin.
0e1d0300a8	A̱ ka̱ya̱ ku ugiti ko tsugono tsu Hezekiya, o wotoi u iyain ɗa Hezikaya u ɓa̱yuwa̱i utsutsu wa̱ A̱Ꞌisa̱ a gbayin a Vuzavaguɗu u lapulasakai a ɗa ra̱ka̱.
0e1d04005a	Ɗa u ɗekei anan ganu n aza e Levi a bana a gasa n a̱yi a ulanga u na wi uɓon u kasana.
0e1d0500ea	ɗa udani le. “Panakai mu a̱ɗa̱ aza e Levi, gogo na erengi ka̱ci ka̱ ɗa̱ ciɗa, ka̱ta̱ kpamu yi erengu kpaꞋa ku Vuzavaguɗu Ka̱shile ki ikaya i ɗa̱, yi utuka̱ ili yi unata i na yi punu ra̱ka̱ a̱ ubuta̱ u ciɗa wa.
0e1d0600cf	Adama a na ikaya i tsu i yaꞋan ta̱ unambi wu usuɓi, a yaꞋan ta̱ ka gbani-gbani u Vuzavaguɗu Ka̱shile ka̱ tsu. A̱ ka̱sukpa̱ yi ta̱ ɗa a vadalukpakai A̱Ꞌisa̱ a gbayin a Vuzavaguɗu kucina̱,
0e1d0700bf	A gbagurai utsutsu wa̱ A̱Ꞌisa̱ wa ɗa a̱ kima̱sa̱i nkuni, ɗa a̱ ka̱sukpa̱i ku songu ili i ma̱gula̱ni n kuyaꞋan kuneꞋe ku kusongu a̱ ubuta̱ u ciɗa u Ka̱shile ki Isaraila.
0e1d0800a9	Adama nannai ɗa Vuzavaguɗu u yaꞋin wupa n aza a Yahuda n aza a Urushelima. Ɗa u zuwai le okpoi n wovon ili i mereve n ma̱ka̱n tsu na yi e kene n a̱shi a̱ ɗa̱.
0e1d090066	Adama a ili nampa una ta̱ ikaya i tsu n kotokobi, muku n tsu n a̱ma̱ci a̱ tsu a bankai le ugbashi.
0e1d0a0093	Anana n sheshe ta̱ n yaꞋan uzuwakpani n Vuzavaguɗu Ka̱shile ki Isaraila, adama a na wupa wa̱ a̱bunda̱i u na wi a kuyaꞋan n a̱tsu u vaku.
0e1d0b00da	Muku mo olobo n va̱, ka̱ta̱ i yaꞋan ugulani n kakuna ka nampa ba. Adama a na Vuzavaguɗu u zagba ta̱ i shamgba e kelime ka̱ ni, i yaꞋanka yi ulinga, i yaꞋanka yi kuneꞋe ku kusongu ki ili i ma̱gula̱ni.”
0e1d0c0100	Ɗa aza e Levi a nampa a̱ gita̱i ulinga gogolo, a kumaci ku Kohatu: ele ɗa Mahatu maku ma Amasayi n Juwelu maku ma Azariya. A kumaci ku Merari, Kishu maku ma Abudi, n Azariya maku ma Jehalele. A kumaci ku Geshon, Jowa maku ma Zima, n Adini maku ma Jowa.
0e1d0d0065	A kumaci ku Elizafan ɗa a ɗikai Shimiri n Jeyiyelu. A kumaci ku Asafa a ɗikai Zakariya n Mataniya.
0e1d0e005e	A kumaci ku Heman a ɗikai Jehiyelu n Shimeyi. A kumaci ku Jedutun a ɗikai Shemaya n Uziyelu.
0e1d0f00cb	Uma a nampa o ɓolongi aza e le aza e Levi ɗa a takpakai ka̱ci ke le nshinda̱, tsu na mogono ma danai, o kutono kadanshi ka Vuzavaguɗu, adama a na a takpa nshinda̱ A̱Ꞌisa̱ a gbayin a Vuzavaguɗu
0e1d100125	Ɗa anan ganu a uwai A̱Ꞌisa̱ a gbayin a Vuzavaguɗu adama erengu a ɗa ka̱ta̱ utuka̱ ili yi unata i na a cinai punu dem. Ana utuka̱i i ɗa, ɗa a zuwai u ɗa a ulanga wa̱ A̱Ꞌisa̱ a gbayin a Vuzavaguɗu, ɗa aza e Levi a̱ pura̱i u ɗa a̱ va̱ma̱i a̱ ka̱ra̱Ꞌa̱ ka Kidiron.
0e1d110119	A kanna ka iyain ko wotoi u iyain, ɗa a̱ gita̱i ukuna u kerengu. Ɗa a kanna ka̱ kunla̱i a yawai e keteshe ka ulanga wu u pulai u kpaꞋa wa. Ɗa o doki ayin kunla̱i e ku erengu A̱Ꞌisa̱ a gbayin a Vuzavaguɗu a, ɗa o kotsoi a kanna ka kupa n ka̱ta̱li ko wotoi u iyain.
0e1d1200db	Ɗa aza e Levi a banai u mogono Hezekiya ɗa a danai, “Tsu erengu ta̱ A̱Ꞌisa̱ a gbayin a Vuzavaguɗu a ra̱ka̱, n katalikalyuka o kusongu n ucanuku u ni dem, n kirukpa ku boroji vu ciɗa n ucanuku u ni ra̱ka̱.
0e1d1300e2	Ucanuku u na mogono Ahazu u la̱nga̱sa̱i a ayin o tsugono a̱ ni, a ayin a na wi a unambi wu usuɓi, tsu lapula ta̱ u ɗa, ɗa kpamu tsu erengi le. Gogo na ucanuku wa wi ta̱ ɗe e kelime ka katalikalyuka ka Vuzavaguɗu.”
0e1d140099	Ɗa mogono Hezekiya u ɗa̱nga̱i m kpasani u ɓolongi nkoshi m gba̱ra̱-gba̱ra̱ n likuci ma, ɗa a lazai a kubana A̱Ꞌisa̱ a gbayin a Vuzavaguɗu.
0e1d15014c	Ɗa a̱ tuka̱i n obomburon e cindere, n a̱giri e cindere, nu ngiri n cindere nu nga̱ji n cindere. Nnama n nampa ra̱ka̱ e neke ta̱ n ɗa adama e kuneꞋe ku unushi u tsugono n ku uma a iɗika i Yahuda n ku ubuta̱ u ciɗa. Ɗa mogono Hezekiya u zuwai anan ganu kumaci ku Haruna, a yaꞋan alyuka a katalikalyuka ka Vuzavaguɗu.
0e1d1600e1	Ɗa a kiɗai obomburon a, ɗa anan ganu isai mpasa ma, a vishangi n ɗa a katalikalyuka ka. Ɗa kpamu a kiɗai a̱giri a vishangi mpasa ma a katalikalyuka ka. Ɗa kpamu a kiɗai ngiri a vishangi mpasa n le a katalikalyuka ka.
0e1d17006c	Ɗa a̱ tuka̱i nu nga̱ji adama e kuneꞋe ku unushi u mogono Hezekiya n ka uma, ɗa a kiyangi ki le ekiye.
0e1d180122	Ɗa anan ganu a kiɗai nga̱ji ma, ɗa a yaꞋin alyuka e kuneꞋe ku unushi, ɗa a vishangi mpasa ma a katalikalyuka ka, adama a kutakpa unushi wa aza a Isaraila, mogono Hezekiya ɗa u nekei kadanshi u danai, a yaꞋan alyuka o kusongu n kuneꞋe ku unushi a adama aza a Isaraila ra̱ka̱.
0e1d1900d3	Ɗa mogono ma zuwai aza e Levi A̱Ꞌisa̱ a gbayin a Vuzavaguɗu, a waꞋi ugogi n aza a umolu n aza agundari. U yaꞋin tsu na Vuzavaguɗu u dansai a̱ una̱ u Dawuda n Gadu vuza kene ku mogono n Natan keneki.
0e1d1a0064	Ɗa aza e Levi a shamgbai n ucanuku u tsuwaꞋi n wi ilikushi u Dawuda, anan ganu tamkpamu n igbala.
0e1d1b0105	Ɗa Hezekiya u zuwai a yaꞋan alyuka o kusongu a katalikalyuka ka. Ana a̱ gita̱i kuyaꞋan alyuka o kusongu a, ɗa a cananai ishipa i kucikpa Vuzavaguɗu, a̱ lika̱i igbala n ucanuku wi ilikushi i na i buwai ucanuku wi waꞋashi i Dawuda mogono mi Isaraila.
0e1d1c00cc	Ɗa koɓolo ka uma ka ra̱ka̱ a cikpai Vuzavaguɗu, aza a ishipa a kuyaꞋan ishipa, aza a ilikushi a̱ kulika̱ igbala. A̱ ka̱na̱i kuyaꞋan nanai ali ayin a na o kotsoi kuyaꞋan alyuka o kusongu a.
0e1d1d006b	Ana o kotsoi kuyaꞋan alyuka a, ɗa mogono n aza a na i koɓolo n a̱yi a̱ kuɗa̱ngi a cikpai Ka̱shile.
0e1d1e00fa	Ɗa mogono Hezekiya nu nkoshi m gba̱ra̱-gba̱ra̱ a zuwai aza e Levi a̱ ka̱na̱ kuyaꞋan ishipa i kucikpa Vuzavaguɗu n kadanshi ka Dawuda n ka Asafu keneki. Ɗa a yaꞋin ishipa i kucikpa n ma̱za̱nga̱ ɗa a̱ kuɗa̱ngi a cikpai Vuzavaguɗu.
0e1d1f0153	Ɗa Hezekiya u danai, “Gogo na a̱ ɗa̱ aza a Yahuda a na yi erengi ka̱ci ka̱ ɗa̱ u Vuzavaguɗu, ta̱wa̱i ɗevu i neke alyuka n kuneꞋe ku kucikpa A̱Ꞌisa̱ a gbayin a Vuzavaguɗu.” Ɗa koɓolo ka uma ka a̱ tuka̱i n alyuka n kuneꞋe ku kucikpa. N yaba dem vu na ka̱ɗu ka̱ ni ka cikalai a̱ tuka̱i n kuneꞋe ku kusongu.
0e1d2000c3	Ka̱bunda̱i ka alyuka a na uma a̱ tuka̱i ka ɗaɗa, obomburon amangatatsunkupa, n a̱giri amangatawun, nu nkyon amangatawenre. Nnama n nampa ra̱ka̱ adama e kuneꞋe ku kusongu u Vuzavaguɗu.
0e1d21006e	Nnama n na erengi adama alyuka a, ɗaɗa obomburon amangatawa̱nta̱li, n nkyon nu nraɗika a̱kpa̱n a tatsu,
0e1d220168	Ama anan ganu i n a̱bunda̱i ba, a̱ gusa̱i adama a na fuɗa a minya nnama ma alyuka o kusongu a ra̱ka̱ ba, ɗa otoku e le aza e Levi a̱ ɓa̱nka̱ le ali o kotsoi ulinga wa, anan ganu a na a buwai erengi ka̱ci ka̱ le. Aza e Levi a fuɗa ta̱ a̱ ɓa̱nka̱ anan ganu ulinga wa, adama a na a laꞋa ta̱ anan ganu ku erengu ka̱ci ke le n ka̱ɗu ke te.
0e1d2300d3	Babu biꞋi kuneꞋe ku kusongu ka̱ a̱bunda̱i ka, kuneꞋe ki ili i kusoꞋo ki ta̱ lo n kuneꞋe ku ushuma adama ida̱shi i ma̱ta̱na̱. Ta o bonokoi a̱ga̱nda̱ A̱Ꞌisa̱ a gbayin a Vuzavaguɗu nannai.
0e1d2400a1	Ɗa Hezekiya n koɓolo ka uma ra̱ka̱ a yaꞋin ma̱za̱nga̱ adama ili i na Ka̱shile ka yaꞋankai uma a̱ ni. Adama a na a yaꞋan ta̱ ili ra̱ka̱ n ku te.
0e1e01012d	Hezekiya u suꞋuki aza a Isaraila n akaka n aza a Yahuda ra̱ka̱, ɗa kpamu u ɗanakai kumaci ku Ifiraimu n ku Manasa katagarda ka akaka. U banuki yaba dem vu le a̱ ta̱wa̱ a kpaꞋa ku Vuzavaguɗu a Urushelima adama a na a yaꞋin ka̱ɗiva̱ ka kupasamgbanai u Vuzavaguɗu Ka̱shile ki Isaraila.
0e1e020097	Adama a na mogono nu nkoshi m gba̱ra̱-gba̱ra̱ n koɓolo ka uma a zuwa ta̱ kadanshi a na a kuyaꞋan ka̱ɗiva̱ ka kupasamgbanai ka o wotoi u ire.
0e1e0300aa	Adama a na a fuɗa a yaꞋan ka̱ɗiva̱ ka a makyan ma na a kiwanai ba, adama a na anan ganu a na erengu ka̱ci ke le ka a yawa ba, kpamu uma o ɓolongu a Urushelima ba.
0e1e040050	E kene ku mogono Hezekiya n koɓolo ka uma ka enei kakuna ka yaꞋan ta̱ mayin.
0e1e050126	Ɗa a zuwai a sala wila̱ a Isaraila ra̱ka̱, a Biyasheba a kubana a Dan, e kuɗeke uma a̱ ta̱wa̱ a Urushelima a yaꞋan ka̱ɗiva̱ ku pasamgbanai u Vuzavaguɗu, Ka̱shile ki Isaraila. Adama a na ka̱ta̱ a saꞋwa kuyaꞋan ka̱ɗiva̱ n uma n a̱bunda̱i tsu nanlo ba tsu na wi a uɗani.
0e1e060148	Tsu na mogono ma danai, ɗa muku mu usuki n ka̱ra̱Ꞌi iɗika yi Isaraila n Yahuda n atagarda akaka a na i a kudansa. “A̱ɗa̱ uma a Isaraila, bonoi u Vuzavaguɗu Ka̱shile ki Ibirahi n ki Ishaku n ki Isaraila ɗaɗa Yakubu. Bonoi adama a na Ka̱shile ko bono ta̱ wa̱ ɗa̱, a̱ɗa̱ na i buwai i lakai ekiye aza Asiriya.
0e1e0700bc	Ka̱ta̱ yi okpo ci ikaya i ɗa̱ n aza a̱ ɗa̱ ba, ele na a yaꞋankai Vuzavaguɗu unambi wu usuɓi Ka̱shile ki ikaya i le, ɗa u bonokoi le agali tsu na yi e kene n ka̱ci ka̱ ɗa̱.
0e1e080118	Ka̱ta̱ i yaꞋan ugbamukaci tsu na ikaya i ɗa̱ i yaꞋin ba, ama nekei ka̱ci ka̱ ɗa̱ u Vuzavaguɗu. Ta̱wa̱i A̱Ꞌisa̱ a agbayin a Vuzavaguɗu a̱ ubuta̱ u na wu erengi ko wannai. I cikpa Vuzavaguɗu adama a wupa wa̱ a̱bunda̱i u na wi nu ɗa adama a̱ ɗa̱ u vaku.
0e1e090149	Adama a na i kpatalai baci i bonoi u Vuzavaguɗu, aza a̱ ɗa̱ n muku n ɗa̱ i ta̱ a̱ kuciya̱ mapasa ma singai wa aza a na e remei le, ka̱ta̱ a̱ ka̱sukpa̱ le o bono a iɗika ya, adama a na Vuzavaguɗu Ka̱shile ka̱ ɗa̱ vuza kasingai ɗa vuza va asuvayali. Ɗa baci i bonoi wa̱ ni, wi a kutakpaka ɗa̱ a̱shi ba.”
0e1e0a00c8	Ɗa tana muku mu usuki ma a bankai n akaka a, a̱ ubuta̱ dem, a̱ ka̱ra̱Ꞌi likuci-likuci a uɓon wa aza a Ifiraimu n Manasa, ali a kubana ɗe a Zabaluna, ama ɗa uma a o zoꞋoshi le n kugoyi le.
0e1e0b0072	Ama dem n nanai, uma o yoku a Asheru n aza a Manasa n aza a Zabalun o goyoi ka̱ci ka̱ le ɗa a banai Urushelima.
0e1e0c00d5	A makyan ma nanlo kukiye ku Ka̱shile ki ta̱ wa aza a Yahuda, ɗa u nekei le ka̱ɗu kete adama a na o tono kadanshi ko mogono nu nkoshi m gba̱ra̱-gba̱ra̱ a danai, ɗa kpamu o kutonoi kadanshi ka Vuzavaguɗu.
0e1e0d0083	O wotoi u i re, ɗa koɓolo ka uma n a̱bunda̱i o ɓolongi a Urushelima adama a na a yaꞋan ka̱ɗiva̱ ko boroji vu babu yisiti.
