0100000009	UGenesisi
0e19150088	Ngakho uJowashi inkosi yako-Israyeli wasehlasela. Yena kanye lo-Amaziya inkosi yakoJuda baqondana ubuso ngobuso eBhethi-Shemeshi koJuda.
0e1916004a	UJuda wachithwa ngu-Israyeli, kwathi amadoda wonke abalekela emizini yawo.
0e19170146	UJowashi inkosi yako-Israyeli wathumba u-Amaziya inkosi yakoJuda, indodana kaJowashi indodana ka-Ahaziya, eBhethi-Shemeshi. Ngakho uJowashi waya laye eJerusalema njalo wadiliza umduli weJerusalema kusukela eSangweni lika-Efrayimi kusiya eSangweni laseJikweni isibanga esingaba ngamanyathelo angamakhulu ayisithupha ubude baso.
0e191800be	Wasethatha lonke igolide lesiliva lazozonke impahla azithola ethempelini likaNkulunkulu ezazilindwe ngu-Obhedi-Edomi, kanye leziligugu zenotho yesigodlweni lezithunjwa, wasebuyela eSamariya.
0e1919009a	U-Amaziya indodana kaJowashi inkosi yakoJuda waphila okweminyaka elitshumi lemihlanu ngemva kokufa kukaJowashi indodana kaJehowahazi inkosi yako-Israyeli.
0e191a0092	Ezinye izehlakalo ngombuso ka-Amaziya, kusukela ekuqaleni kuze kube sekupheleni, azilotshwanga yini egwalweni lwamakhosi akoJuda lako-Israyeli na?
0e191b00a6	Kusukela ekuphambukeni kuka-Amaziya engasalandeli uThixo, bamsongela eJerusalema wabalekela eLakhishi, kodwa bathumela amadoda amlandela eLakhishi ambulalela khonale.
0e191c004a	Wabuyiswa esethwelwe ngebhiza wangcwatshwa labokhokho bakhe eMzini kaJuda.
0e1a010091	Ngakho bonke abantu bakoJuda bathatha u-Uziya, owayeleminyaka elitshumi lesithupha ubudala, bambeka waba yinkosi esikhundleni sikayise u-Amaziya.
0e1a020078	Nguye owakha kutsha umuzi we-Elathi wawubuyisela koJuda ngemva kokufa kwenkosi u-Amaziya owangcwatshwa kubokhokho bakhe.
0e1a0300bf	U-Uziya wayeleminyaka elitshumi lesithupha ubudala ekubeni kwakhe yinkosi njalo wabusa eJerusalema okweminyaka engamatshumi amahlanu lambili. Ibizo likanina linguJekholiya; evela eJerusalema.
0e1a040050	Wenza okulungileyo phambi kukaThixo, njengalokhu okwakwenziwe nguyise u-Amaziya.
0e1a05008d	Wazimisela ukumdinga uNkulunkulu ngezinsuku zikaZakhariya, owamfundisa ukumesaba uNkulunkulu. Esamlandela uThixo, uNkulunkulu wamphumelelisa.
0e1a0600bb	Waphuma impi wayakulwa lamaFilistiya wadiliza imiduli yaseGathi, laseJabhine lase-Ashidodi. Wasesakha kutsha imizi eseduzane le-Ashidodi leminye kwezinye iziqinti phakathi kwamaFilistiya.
0e1a07007b	UNkulunkulu wayelaye ekuhlaseleni kwakhe amaFilistiya kanye lama-Arabhu ayehlala eGuri Bhali kanye lekuhlaseleni amaMewuni.
0e1a08007f	Ama-Amoni aletha umthelo wawo ku-Uziya, udumo lwakhe lwanda lasemingceleni kusiyafika eGibhithe, ngoba wayeselamandla amakhulu.
0e1a090085	U-Uziya wakha imiphotshongo eJerusalema ngaseSangweni leNgosi langaseSangweni leSigodi langasengosini yomduli, wayivikela ngezinqaba.
0e1a0a00e9	Wakha njalo imiphotshongo enkangala, wemba imithombo eminengi, ngoba wayefuyile elemihlambi yezifuyo emawatheni amaqaqa lasemagcekeni. Wayelabantu bokulima lababesezivinini emaqaqeni lasemhlabeni ovundileyo, ngoba wayethanda ukulima.
0e1a0b00a3	U-Uziya wayelamabutho ayekwazi ukulwa ebuthwe ngamaviyo ayeqoqwe nguJeyiyeli umabhalane loMaseya isikhulu esasiqondiswa nguHananiya, omunye wezikhulu zomndlunkulu.
0e1a0c0065	Inani labakhokheli lonke ngezimuli emadodeni okulwa lalizinkulungwane ezimbili lamakhulu ayisithupha.
0e1a0d00ae	Babelawula ibutho elilamadoda abazinkulungwane ezingamakhulu amathathu lesikhombisa lamakhulu amahlanu ayefundele ukulwa, amaviyo alamandla okuhlomulela inkosi ezitheni zayo.
0e1a0e0082	U-Uziya wahlomisa amabutho akhe wonke ngezihlangu, imikhonto, ingowane zensimbi lamabhatshi ensimbi, lemitshoko lamatshe ezavutha.
0e1a0f010b	EJerusalema wakhandisa imitshina yokufutha imitshoko leyokujikijela amatshe amakhulu ayikhandisa emadodeni ayezingcitshi eyayisetshenziswa emiphotshongweni esemajikweni. Udumo lwakhe lwanda lwayafika kude, ngoba wancediswa kakhulu waze waba lamandla amakhulu kakhulu.
0e1a1000d6	Kodwa kwathi u-Uziya eselamandla amakhulu, ukuziqhenya kwakhe kwamlethela incithakalo. Kazange athembeke kuThixo uNkulunkulu wakhe, waze wangena ethempelini likaThixo, ukuba ayetshisa impepha e-alithareni lempepha.
0e1a110081	U-Azariya umphristi labanye abaphristi bakaThixo abangamatshumi ayisificaminwembili abalezibindi bamlandela phakathi ethempelini.
0e1a12010c	Bajamelana laye bathi kuye, “Akulunganga ukuthi wena, Uziya, utshisele uThixo impepha. Lokho ngokwabaphristi, abenzalo ka-Aroni, abehlukaniselwa ukutshisa impepha. Phuma kulindawo engcwele, ngoba awuzange wethembeke, njalo awuyikuphakanyiswa nguThixo uNkulunkulu.”
0e1a1300df	U-Uziya owayephethe udengezi lokutshisela impepha esandleni sakhe, wathukuthela. Uthe elokhu esakhwazela abaphristi ngoba kwabo phambi kwe-alithari lempepha ethempelini likaThixo, kwaqalisa ubulephero ebunzini lobuso bakhe.
0e1a1400dd	Kwathi u-Azariya umphristi omkhulu labanye abaphristi bemkhangela, babona eselobulephero ebunzini lakhe, ngakho baphanga bamkhuphela phandle. Lakanye yena ngokwakhe wayevele esefisa ukuphuma, ngoba uThixo wayesemtshayile.
0e1a1500f7	U-Uziya inkosi waba lobulephero kwaze kwaba lilanga lakhe lokufa. Wayesehlala endlini yakhe eyayimi yodwa ngoba elobulephero njalo engasavunyelwa ethempelini likaThixo. UJothamu indodana yakhe yaphatha isigodlo njalo yaphatha abantu bonke belizwe.
0e1a16007f	Ezinye izehlakalo zombuso ka-Uziya, kusukela ekuqaleni kuze kube sekucineni, zilotshwe ngumphrofethi u-Isaya indodana ka-Amozi.
0e1a1700d4	U-Uziya waphumula labokhokho bakhe wangcwatshwa eduze kwabo ensimini yokungcwaba eyayingeyamakhosi ngoba abantu bathi, “Wayelobulephero.” Ngakho uJothamu indodana yakhe wathatha isikhundla sakhe waba yinkosi.
0e1b0100bc	UJothamu wayeleminyaka engamatshumi amabili lanhlanu ubudala eqalisa ukubusa, njalo wabusa eJerusalema okweminyaka elitshumi lesithupha. Ibizo likanina lalinguJerusha indodakazi kaZadokhi.
0e1b0200b2	Wenza okulungileyo phambi kukaThixo njengalokhu okwenziwa nguyise u-Uziya kodwa yena kasangenanga ethempelini likaThixo njengoyise. Lanxa kunjalo, abantu baqhubeka besenza okubi.
0e1b030087	UJothamu wakha wavuselela iSango langaPhezulu lethempeli likaThixo wenza njalo umsebenzi omkhulu emdulini ngapha ngaseqaqeni lwe-Ofeli.
0e1b040047	Wakha amadolobho emaqaqeni aseJuda lemiphotshongo ezindaweni ezenileyo.
0e1b050128	UJothamu wahlasela inkosi yama-Amoni wawanqoba. Ngalowomnyaka ama-Amoni athela kuye ngamathalenta esiliva alikhulu, lezilinganiso zezilimo zengqoloyi ezizinkulungwane ezilitshumi lezinkulungwane ezilitshumi zebhali. Ama-Amoni amlethela inani elifananayo ngomnyaka wesibili langomnyaka wesithathu.
0e1b060047	UJothamu waba lamandla amakhulu ngoba waqina kuThixo uNkulunkulu wakhe.
0e1b07008f	Ezinye izehlakalo embusweni kaJothamu, kanye lezimpi azilwayo lokunye ayekwenza, kulotshiwe egwalweni lwembali yamakhosi ako-Israyeli lakoJuda.
0e1b080071	Waba yinkosi eleminyaka engamatshumi amabili lanhlanu, njalo wabusa okweminyaka elitshumi lesithupha eJerusalema.
0e1b09007b	UJothamu waphumula labokhokho bakhe, wangcwatshwa eMzini kaDavida. U-Ahazi indodana yakhe wathatha isikhundla waba yinkosi.
0e1c0100ce	U-Ahazi wayeleminyaka engamatshumi amabili ubudala nyakana esiba yinkosi, njalo wabusa eJerusalema okweminyaka elitshumi lesithupha. Kenzanga njengoyise uDavida, kazange enze okulungileyo emehlweni kaThixo.
0e1c020054	Wahamba ngezindlela zamakhosi ako-Israyeli njalo wabaza izithombe zokukhonza oBhali.
0e1c0300b2	Watshisa imihlatshelo eSigodini saseBheni-Hinomu wanikela amadodana akhe emlilweni, elandela izindlela ezenyanyekayo zezizwe uThixo ayezixotshe mandulo kokufika kwabako-Israyeli.
0e1c04008b	Wanikela imihlatshelo njalo watshisa impepha ezindaweni zokukhonzela phezu kwamaqaqa langaphansi kwazo zonke izihlahla eziyizithingithingi.
0e1c0500e3	Ngakho uThixo uNkulunkulu wakhe wamnikela enkosini yama-Aramu. Ama-Aramu amnqoba athumba abantu bakhe abanengi abaletha eDamaseko. Yena njalo wanikelwa ezandleni zenkosi yako-Israyeli, yona eyambulalela abantu abanengi kakhulu.
0e1c0600b0	Kwathi ngelanga elilodwa uPhekha indodana kaRemaliya wabulala amabutho azinkulungwane ezingamatshumi amabili koJuda ngoba abakoJuda babemfulathele uThixo, uNkulunkulu waboyise.
0e1c070092	UZikhiri ibutho lako-Efrayimi, wabulala uMaseya indodana yenkosi, lo-Azirikhamu isikhulu somndlunkulu, kanye lo-Elikhana, owayengumsekeli wenkosi.
0e1c0800c5	Abako-Israyeli bathumba ezihlotsheni zabo zakoJuda omkabo, lamadodana lamadodakazi abazinkulungwane ezingamakhulu amabili. Babutha njalo impango enengi kakhulu, abayithwala babuyela layo eSamariya.
0e1c090132	Kodwa umphrofethi wenkosi okwakuthiwa ngu-Odedi wayekhonale, ngakho waphuma ukuyahlangabeza ibutho ekuphendukeni kwalo eSamariya. Wathi kulo, “Ngenxa yokuthi uThixo, uNkulunkulu waboyihlo wayethukuthelele abakoJuda, wabanikela ezandleni zenu. Kodwa lina selibabhubhise ngolaka oluze lwayathinta ezulwini.
0e1c0a009a	Khathesi selifuna ukuthi amadoda labesifazane bakoJuda laseJerusalema babe yizigqili zenu. Kodwa lina ngokwenu kalonanga yini kuThixo uNkulunkulu wenu na?
0e1c0b0071	Lalelani kimi! Buyiselani amadoda akini eliwenze izibotshwa, ngoba ulaka lukaThixo olwesabekayo luphezu kwenu.”
0e1c0c00da	Abanye babakhokheli bako-Efrayimi u-Azariya indodana kaJehohanani, loBherekhiya indodana kaMeshilemothi, loJehizikhiya indodana kaShalumi, kanye lo-Amasa indodana kaHadilayi bamelana lalabo ababevela empini bathi kubo,
0e1c0d00f2	“Lingalethi lezozibotshwa lapha, ngoba kungenzeka sibe lecala phambi kukaThixo. Selidinga ukuthi lengezelele lelocala phezu kwesono sethu na? Ngoba icala lethu livele likhulu, njalo lentukuthelo yakhe eyesabekayo iphezu kwabako-Israyeli.”
0e1c0e006f	Ngakho amabutho akhulula ababebotshiwe asebuyisela lempahla ezaziyimpango phambi kwezikhulu laphambi kwebandla.
0e1c0f0137	Amadoda ayeqanjwe ngamabizo abuyisela izibotshwa ezimpahleni zempango bagqokisa ababenqunu. Babanika izigqoko lamanyathelo, ukudla lokunathwayo, kanye lomuthi wokwelapha. Bonke ababuthakathaka babagadisa obabhemi. Ngakho babathatha bababuyisela kwabanye babo eJerikho, iDolobho lamaLala, basebebuyela eSamariya.
0e1c100043	Ngalesosikhathi inkosi u-Ahazi yacela uncedo enkosini yase-Asiriya.
0e1c11004d	Ama-Edomi ayesephendukile ezohlasela abakoJuda njalo asuka eqhuba izibotshwa,
0e1c1200ef	kanti amaFilistiya lawo ngapha ayesehlasele amadolobho angaphansi kwamaqaqa kanye laseNegebi yakoJuda. Bathumba basebehlala khona eBhethi-Shemeshi, le-Ayijaloni leGederothi, kanye laseSokho, leThimina leGimizo lemizana eyayiseduze lalapho.
0e1c13008c	UThixo wabatshaya abakoJuda ngoba u-Ahazi inkosi yako-Israyeli wayekhuthaze ukona kwabakoJuda watshengisela ukungathembeki okukhulu kuThixo.
0e1c14005f	UThigilathi-Philesa inkosi yase-Asiriya esikhundleni sokumsiza laye wafika wengezelela uhlupho.
0e1c1500cd	U-Ahazi wathatha ezinye zezimpahla zasethempelini likaThixo lezinye azithatha endlini yomndlunkulu esigodlweni waze wathatha lezamakhosana wayaziqhubela inkosi yase-Asiriya, kodwa lakho lokhu akumncedanga.
0e1c16004d	Kwathi lanxa inkosi u-Ahazi iphakathi kobunzima, yandisa ukona kwayo kuThixo.
0e1c17010a	Yanikela imihlatshelo kubonkulunkulu baseDamaseko, ababeyehlule, ngoba yakhumbula yathi, “Njengoba onkulunkulu bamakhosi ama-Aramu bewancedile, ngizanikela imihlatshelo kubo ukuze bangisize lami.” Kodwa-ke kwahle kwaba yikuwa kwayo lokuchitheka kwabako-Israyeli.
0e1c18009f	U-Ahazi wabutha zonke izitsha ethempelini likaNkulunkulu wazisusa. Wavala iminyango yethempeli likaThixo wasesakha ama-alithare kuwo wonke amajiko eJerusalema.
0e1c190097	Wakha izindawo zokukhonzela kuwo wonke amadolobho akoJuda ukuze atshisele onkulunkulu imihlatshelo; wathukuthelisa uThixo, uNkulunkulu wabokhokho babo.
0e1c1a00a0	Ezinye izehlakalo zombuso wakhe lezindlela zakhe zonke, kusukela ekuqaleni kuze kube sekupheleni, zilotshiwe egwalweni lwembali yamakhosi akoJuda lako-Israyeli.
0e1c1b00c2	U-Ahazi waya ekuphumuleni kubokhokho bakhe wangcwatshwa labo emzini waseJerusalema, kodwa kabekwanga emathuneni amakhosi ako-Israyeli. UHezekhiya indodana yakhe wathatha isikhundla waba yinkosi.
0e1d0100d5	UHezekhiya wayeleminyaka engamatshumi amabili lemihlanu ubudala ethatha ubukhosi, njalo wabusa eJerusalema okweminyaka engamatshumi amabili lasificamunwemunye. Ibizo likanina lalingu-Abhija indodakazi kaZakhariya.
0e1d02004e	Wenza okulungileyo phambi kukaThixo, njengalokho okwakwenziwe nguyise uDavida.
0e1d030069	Ngenyanga yakuqala ngomnyaka wakuqala wokubusa kwakhe, wavula iminyango yethempeli likaThixo wayilungisa.
0e1d040053	Wamema abaphristi kanye labaLevi, wababuthanisa egumeni eliseceleni langempumalanga
0e1d0500a0	wathi: “Lalelani kimi, lina baLevi! Zihlambululeni khathesi njalo lihlambulule lethempeli likaThixo, uNkulunkulu waboyihlo. Lisuse amanyala endaweni engcwele.
0e1d0600a1	Obaba babengathembekanga; benza okubi emehlweni kaThixo uNkulunkulu wethu bamdela. Indawo kaThixo bayincitsha ubuso bakhangela eceleni njalo bamfulathela uThixo.
0e1d07009f	Bavala njalo izivalo zomphempe bacitsha izibane. Abazange batshise impepha njalo kabalethanga iminikelo yokutshiswa endaweni engcwele kaNkulunkulu ka-Israyeli.
0e1d0800b2	Ngakho ulaka lukaThixo selwehlele phezu kwabakoJuda laphezu kwabaseJerusalema; uThixo usebenze besabeka, bathuthumelisa baba yinto yokweyiswa, njengoba lizibonela ngawenu amehlo.
0e1d09006f	Lokhu sekubangele ukubulawa kwabo ngenkemba njalo lokuthi amadodana lamadodakazi labomkethu babe sekuthunjweni.
0e1d0a0071	Khathesi ngifuna ukwenza isivumelwano loThixo, uNkulunkulu ka-Israyeli, ukuze ulaka lwakhe oluvuthayo lusidedele.
0e1d0b008a	Madodana ami, kalingabi ngabangananziyo ngoba uThixo uselikhethile lina ukuma phambi kwakhe limkhonze, limsebenzele lokutshisa impepha.”
0e1d0c0105	Ngakho laba abaLevi bahle baqalisa umsebenzi: KwabakaKhohathi, uMahathi indodana ka-Amasayi loJoweli indodana ka-Azariya; kwabakaMerari, uKhishi indodana ka-Abhidi lo-Azariya indodana kaJehaleleli; kwabakaGeshoni, uJowa indodana kaZima lo-Edeni indodana kaJowa;
0e1d0d0066	kwabosendo luka-Elizafani, kunguShimiri loJeyiyeli; kwabosendo luka-Asafi, kunguZakhariya loMathaniya;
0e1d0e0062	kwabosendo lukaHemani, kunguJehiyeli loShimeyi; kwabosendo lukaJeduthuni, kunguShemaya lo-Uziyeli.
0e1d0f0098	Bathi sebebuthanise abafowabo bazihlambulula bona, bangena ukuyahlambulula ithempeli likaThixo, njengokuqondisa kwenkosi, eyayilandela ilizwi likaThixo.
0e1d1000d1	Abaphristi bangena endaweni engcwele kaThixo ukuba bayeyihlambulula. Konke okwakungcolile ethempelini likaThixo bakukhuphela egumeni lethempeli likaThixo. AbaLevi bakuthwala baya lakho eSigodini saseKhidironi.
0e1d110114	Baqalisa ukwahlukanisela ngosuku lwakuqala lwenyanga yakuqala, kwathi ngosuku lwesificaminwembili lwenyanga bafika emphempeni kaThixo. Ngezinsuku ezilandelayo ezificaminwembili bangcwelisa ithempeli likaThixo uqobo, baze baqeda ngosuku lwetshumi lesithupha lwenyanga yakuqala.
0e1d1200f4	Basebengena enkosini uHezekhiya ukuba bayembikela bathi: “Sesilihlambulule lonke ithempeli likaThixo, le-alithari lomnikelo wokutshiswa lezitsha zalo zonke, kanye lethala lokwendlalela isinkwa esingcwelisiweyo kanye lazozonke impahla zakhona.
0e1d130093	Sesilungise sangcwelisa zonke izitsha ezasuswa yinkosi u-Ahazi ngokungathembeki kwakhe eseseyinkosi. Khathesi seziphambi kwe-alithari likaThixo.”
0e1d140076	Ekuseni ngosuku olulandelayo inkosi uHezekhiya wabuthanisa izikhulu zedolobho ndawonye wasesiya ethempelini likaThixo.
0e1d15011e	Baletha inkunzi eziyisikhombisa, lenqama eziyisikhombisa, lamazinyane ezimvu amaduna ayisikhombisa kanye lempongo eziyisikhombisa kungumnikelo wesono sombuso, lesendlu yokukhonzela kanye lesikaJuda. Inkosi yalaya abaphristi, abenzalo ka-Aroni, ukunikela ngalokho e-alithareni likaThixo.
0e1d1600cd	Ngakho babulala inkunzi, abaphristi bathatha igazi bachela ngalo e-alithareni; kwalandela inqama abazibulala bachela igazi lazo e-alithareni; basebebulala amazinyane ezimvu bachela igazi lawo e-alithareni.
0e1d170066	Impongo zomnikelo wesono zalethwa phambi kwenkosi laphambi kwebandla, babeka izandla zabo phezu kwazo.
0e1d1800f1	Abaphristi basebebulala impongo baletha igazi lazo e-alithareni kungumnikelo wesono ukuze kwenzelwe wonke u-Israyeli indlela yokubuyisana, ngoba inkosi yayilaye ukuthi kube lomnikelo wokutshiswa lomnikelo wesono kunikelelwa wonke u-Israyeli.
0e1d1900d8	AbaLevi yababeka phakathi kwethempeli likaThixo belezigubhu, lamachacho lemihubhe njengalokho okwakumiswe nguDavida loGadi umboni wenkosi loNathani umphrofethi; lokhu kwakungumlayo kaThixo oweza ngabaphrofethi bakhe.
0e1d1a0047	Ngakho abaLevi balinda belamachacho kaDavida, abaphristi belamacilongo.
0e1d1b00df	UHezekhiya wakhupha isiqondiso sokuba kwenziwe umnikelo wokutshiswa e-alithareni. Kuthe kuqalisa umnikelo, ukuhlabelela uThixo lakho kwaqalisa, kwahamba kanyekanye lamacilongo kanye lamachacho kaDavida inkosi yako-Israyeli.
0e1d1c0090	Ibandla lonke lakhothama lakhonza, abahlabeleli behlabela labamacilongo bewavuthela. Konke lokhu kwaqhubeka kwaze kwaphela umnikelo wokutshiswa.
0e1d1d004a	Ngemva kokuphela kweminikelo inkosi labo bonke ababekhona baguqa bakhonza.
0e1d1e00c1	Inkosi uHezekhiya lezikhulu zayo yatshela abaLevi ukuba badumise uThixo ngamazwi kaDavida kanye laka-Asafi umboni. Ngakho badumisa ngokuhlabelela ngenjabulo bakhothamisa amakhanda abo bakhonza.
0e1d1f00fc	UHezekhiya wasesithi, “Selizinikele kuThixo khathesi. Wozani lilethe imihlatshelo leminikelo yokubonga ethempelini likaThixo.” Ngakho ibandla laletha imihlatshelo leminikelo, yokubonga, njalo ababelenhliziyo ezivumayo baletha iminikelo yokutshiswa.
0e1d2000c7	Inani leminikelo yokutshiswa eyalethwa libandla kwakuzinkunzi ezingamatshumi ayisikhombisa, inqama ezilikhulu lamazinyane amaduna ezimvu angamakhulu amabili, konke kungokomnikelo wokutshiswa kuThixo.
0e1d21007f	Izifuyo ezahlukaniselwa ukuba ngumhlatshelo kwakuzinkunzi ezingamakhulu ayisithupha lezimvu lembuzi ezizinkulungwane ezintathu.
0e1d2200fc	Kodwa, abaphristi babebalutshwana kakhulu ekuhlinzeni ezomnikelo wokutshiswa; ngakho basebencediswa ngabafowabo abaLevi waze waphela umsebenzi njalo abanye abaphristi baze bangcweliswa ngoba abaLevi babekunanzelele kakhulu ukuzingcwelisa kulabaphristi.
0e1d2300cc	Umnikelo wokutshiswa wawumnengi, kanye lamafutha omnikelo wobudlelwano kanye lomnikelo wokunathwayo okwakuhambelana lomnikelo wokutshiswa. Ngakho lokhu kwaba yikuvuselelwa kwenkonzo ethempelini likaThixo.
0e1d24007d	UHezekhiya labo bonke abantu bajabula ngababekuphiwe nguNkulunkulu ekwenzela abantu bakhe, ngoba kwakwenzakale ngokuphangisa.
0e1e0100bb	UHezekhiya wanxusa bonke abako-Israyeli labakoJuda, wanxusa labako-Efrayimi labakoManase ngezincwadi eJerusalema, ukuthi bazokudla iPhasika ethempelini likaThixo, uNkulunkulu ka-Israyeli.
0e1e020069	Inkosi lezikhulu zayo lebandla lonke eJerusalema bavumelana ukwenza ukugcina iPhasika ngenyanga yesibili.
0e1e030092	Babengenelisanga ukwenza umkhosi ngesikhathi sawo ngoba abaphristi babebalutshwana ababezingcwelisile njalo labantu babengabuthananga eJerusalema.
0e1e040038	Icebo leli lakhanya lilihle enkosini lasebandleni lonke.
0e1e05010c	Baquma ukuthi kukhutshwe ilizwi kulolonke elako-Israyeli kusukela eBherishebha kusiya koDani, kunxuswa abantu ukuthi beze eJerusalema emkhosini wePhasika likaThixo, uNkulunkulu ka-Israyeli. Umkhosi lo wawungakaze wenziwe ngabanengi kusiya ngomthetho owalotshwa phansi.
0e1e060144	Ngokulaya kwenkosi, izithunywa zangena kulolonke elako-Israyeli lelakoJuda ziphethe izincwadi ezazivela enkosini lasezikhulwini zayo, ezazilotshwe ukuthi: “Bantu bako-Israyeli, buyelani kuThixo, uNkulunkulu ka-Abhrahama lo-Isaka lo-Israyeli, ukuze abuyele kulabo benu abaseleyo abaphunyuke ezandleni zamakhosi ase-Asiriya.
0e1e07009a	Lingabi njengaboyihlo lezihlobo zenu ababengathembekanga kuThixo, uNkulunkulu wabokhokho babo, waze wabenza baba yisibonelo sokwesabekayo njengoba libona.
0e1e0800c5	Lingabi ntamolukhuni njengaboyihlo; zehliseni kuThixo. Wozani endlini yokukhonza aseyingcwelisile kuze kube nininini. Mkhonzeni uThixo uNkulunkulu wenu, ukuze ulaka lwakhe olwesabekayo lusuke kini.
0e1e0900be	Nxa libuyela kuThixo, abafowenu labantwabenu bazathola umusa kulabo ababathumbayo, babuye kulelilizwe, ngoba uThixo uNkulunkulu wenu ulomusa lesihawu. Kayikulifulathela nxa libuyela kuye.”
0e1e0a00a6	Ngakho izithunywa zaphuma zangena kuyo yonke imizi lemizana ko-Efrayimi lakoManase, zayafika lakhonale koZebhuluni, kodwa abantu bazihleka ulunya njalo baziklolodela.
0e1e0b0061	Lanxa kunjalo, abanye abantu bako-Asheri labakoManase labakoZebhuluni bazithoba baya eJerusalema.
0e1e0c00b1	Njalo lakoJuda isandla sikaNkulunkulu sasisebantwini ukubapha ukubambana engqondweni ukuze benze lokho inkosi lezikhulu zayo eyayithe abakwenze, njengokutsho kwelizwi likaThixo.
0e1e0d0073	Kwabuthana abantu abalixuku elikhulu eJerusalema bethakazelela uMkhosi weSinkwa esingelaMvubelo ngenyanga yesibili.
0e1e0e0070	Basusa ama-alithare eJerusalema bakhucula ama-alithare empepha bawathwala bayawaphosela eSigodini saseKhidironi.
0e1e0f00b2	Babulala amazinyane ezimvu awePhasika ngosuku lwetshumi lane lwenyanga yesibili. Abaphristi labaLevi bayangeka bazihlambulula baletha iminikelo yokutshiswa ethempelini likaThixo.
0e1e100097	Basebebuyela ezikhundleni zabo zenjayelo njengokumisiweyo emthethweni kaMosi umuntu kaNkulunkulu. Abaphristi bachela igazi ababeliqhutshelwa ngabaLevi.
0e1e1100dc	Njengoba babebanengi ababengazihlambululanga exukwini, abaLevi bahlaba amanye amazinyane ezimvu awePhasika besenzela labo ababengahlanjululwanga ngokomkhuba njalo bengelakho ukuzahlukanisela izimvu zabo phambi kukaThixo.
0e1e1200fe	Lanxa abantu abanengi ababevela ko-Efrayimi, koManase, ko-Isakhari lakoZebhuluni babengakazihlambululi, kodwa badla iPhasika, okwakungekho emthethweni olotshiweyo. Kodwa uHezekhiya wabakhulekela wathi: “Kungathi uThixo, olungileyo, angathethelela bonke
0e1e130075	abamdingayo uNkulunkulu uThixo, uNkulunkulu wabokhokho babo loba bengahlambulukanga ngokomthetho wendawo engcwele.”
0e1e14003d	Lakanye uThixo wawuzwa umkhuleko kaHezekhiya wasilisa abantu.
0e1e1500da	Ama-Israyeli ayeseJerusalema athakazelela uMkhosi weSinkwa esingelaMvubelo okwensuku eziyisikhombisa ngokujabula okukhulu, abaLevi labaphristi behlabelela kuThixo insuku zonke, bephathiswa ngamachacho okudumisa uThixo.
0e1e1600e4	UHezekhiya wabakhuthaza bonke abaLevi abatshengisela ukuzinikela emsebenzini kaThixo. Ngalezonsuku eziyisikhombisa badla leyongxenye eyayiyisabelo sabo njalo banikela umnikelo wobudlelwano bamdumisa uThixo, uNkulunkulu waboyise.
0e1e17009c	Ibandla lonke laselivumelana ukuthakazelela umkhosi lo okwezinye insuku eziyisikhombisa; ngakho umkhosi bawuqhuba okwezinye insuku eziyisikhombisa bejabula.
0e1e180115	UHezekhiya inkosi yakoJuda walethela ibandla inkunzi eziyinkulungwane lezimvu ezizinkulungwane eziyisikhombisa lembuzi zingezebandla, kwathi izikhulu lazo zaletha inkunzi eziyinkulungwane lezimvu lembuzi ezizinkulungwane ezilitshumi. Abaphristi abanengi kakhulu bazihlambulula.
0e1e1900a9	Ibandla lonke lakoJuda lajabula, ndawonye labaphristi labaLevi labo bonke ababebuthene bevela ko-Israyeli, ndawonye labezizweni ababevela ko-Israyeli lababehlala koJuda.
0e1e1a00a3	Kwaba lokujabula okukhulu eJerusalema, ngoba kusukela ensukwini zikaSolomoni indodana kaDavida inkosi yako-Israyeli kwakungazange kube lomkhosi onjalo eJerusalema.
0e1e1b008a	Abaphristi labaLevi bema babusisa abantu, uNkulunkulu wabezwa, ngoba imikhuleko yabo yafika ezulwini, endaweni yakhe engcwele ahlala kiyo.
0e1f010142	Sekuphelile konke lokhu abako-Israyeli ababesemkhosini bangena emizini yakoJuda, badiliza izinsika zokukhonzela u-Ashera. Badiliza izindawo zokukhonzela lama-alithare kulolonke elakoJuda lakoBhenjamini kanye lako-Efrayimi lakoManase. Bathe sebekudilizile konke lokhu, abako-Israyeli babuyela emizini yabo, ezindaweni zabo.
0e1f020104	UHezekhiya wamisa abaphristi labaLevi ngezigaba ngamunye wabo kusiya ngemisebenzi yabo yobuphristi kumbe eyabaLevi eyokunikela ngeminikelo yokutshiswa leminikelo yobudlelwano, ukukhonza, ukubonga kanye lokuhlabelela indumiso emasangweni endaweni ehlala uThixo.
0e1f0300d8	Inkosi yapha okuvela kweyayo inotho iminikelo yokutshiswa yekuseni lantambama kanye lokweminikelo yokutshiswa ngamaSabatha, leyokuThwasa kweziNyanga kanye leyemikhosi emisiweyo njengokulotshiweyo eMthethweni kaThixo.
0e1f04008b	Inkosi yathi abantu abahlala eJerusalema kumele banike abaphristi labaLevi imfanelo yabo ukuze basebenze ngokuzinikela eMthethweni kaThixo.
0e1f0500e6	Masinyazana ngemva kwesiqondiso, abako-Israyeli banikela kakhulu ngokwesivuno sakuqala samabele, lokwewayini elitsha, lokwamafutha lokwenyosi lakho konke okwakutholakala emasimini. Baletha okunengi kakhulu, okwetshumi kukho konke.
