0100000007	Geneză
1803010104	Ei spun: Dacă un bărbat își lasă soția și ea pleacă de la el și devine a altui bărbat, se va întoarce el din nou la ea? Nu va fi țara aceea mult întinată? Dar tu ai făcut pe curva cu mulți apropiați; totuși întoarce-te la mine, spune DOMNUL.
18030200c2	Ridică-ți ochii spre înălțimi și vezi unde nu te-ai culcat cu cineva. Pe căi ai șezut pentru ei, precum arabul în pustie; și ai întinat țara cu curviile tale și cu stricăciunea ta.
180303007c	De aceea ploile au fost oprite și nu a fost ploaie târzie; și tu ai avut fruntea unei curve, ai refuzat să te rușinezi.
1803040057	Nu vrei de acum să strigi către mine: Tatăl meu, tu ești călăuza tinereții mele?
180305008a	Își va reține el mânia pentru totdeauna? O va ține el până la sfârșit? Iată, ai vorbit și ai făcut lucruri rele cât ai putut.
18030600c5	DOMNUL mi-a spus de asemenea în zilele împăratului Iosia: Ai văzut ceea ce a făcut Israelul decăzut? S-a urcat pe fiecare munte înalt și sub fiecare copac verde și acolo a făcut pe curva.
180307008b	Și am spus după ce a făcut toate aceste lucruri: Întoarce-te la mine. Dar nu s-a întors. Și perfida ei soră, Iuda, a văzut aceasta.
18030800e6	Și am văzut că, după ce pentru toate motivele prin care Israelul decăzut a comis adulter, am alungat-o și i-am dat un act de divorț; totuși perfida ei soră, Iuda, nu s-a temut, ci a mers și de asemenea a făcut pe curva.
1803090075	Și s-a întâmplat prin ușurința curviei ei, că a întinat țara și a comis adulter cu pietre și cu trunchiuri.
18030a007b	Și cu toate acestea perfida ei soră, Iuda, nu s-a întors la mine cu toată inima ei, ci cu prefăcătorie, spune DOMNUL.
18030b0063	Și DOMNUL mi-a spus: Israelul decăzut s-a declarat drept mai mult decât perfida lui soră, Iuda.
18030c00ec	Du-te și vestește aceste cuvinte spre nord și spune: Întoarce-te, tu Israele decăzut, spune DOMNUL; și nu voi face ca mânia mea să cadă peste voi, pentru că sunt milostiv, spune DOMNUL și nu voi ține mânie pentru totdeauna.
18030d00e2	Numai să îți recunoști nelegiuirea, că ai încălcat legea împotriva DOMNULUI Dumnezeului tău și ți-ai împrăștiat căile către străini sub fiecare copac verde, și voi nu ați ascultat de vocea mea, spune DOMNUL.
18030e00b7	Întoarceți-vă, voi copii decăzuți, spune DOMNUL, pentru că sunt căsătorit cu voi; și vă voi lua pe unul dintr-o cetate și pe doi dintr-o familie și vă voi aduce în Sion;
18030f0063	Și vă voi da păstori conform cu inima mea care vă vor paște cu înțelegere și cunoștință.
180310011d	Și se va întâmpla, când vă veți înmulți și veți crește în țară, în acele zile, spune DOMNUL, că ei nu vor mai spune: Chivotul legământului DOMNULUI; nici nu le va veni în minte, nici nu își vor aminti de el; nici nu îl vor cerceta; nici nu se va mai face aceasta.
18031100be	În acel timp ei vor numi Ierusalimul tronul DOMNULUI; și toate națiunile se vor aduna la el, pentru numele DOMNULUI, la Ierusalim; și nu vor mai umbla după închipuirea inimii lor rele.
18031200a7	În acele zile casa lui Iuda va umbla cu casa lui Israel și ei vor veni împreună din țara de la nord în țara pe care am dat-o ca moștenire părinților voștri.
18031300d2	Dar eu am spus: Cum să te pun printre copii și să îți dau o țară plăcută, o moștenire frumoasă a oștirilor națiunilor? Și am mai spus: Mă vei numi: Tatăl meu; și nu te vei întoarce de la mine.
180314009a	Cu adevărat precum o soție cu perfidie se depărtează de soțul ei, tot astfel v-ați purtat voi cu perfidie cu mine, casă a lui Israel, spune DOMNUL.
1803150095	O voce s-a auzit pe înălțimi, plâns și cereri ale copiilor lui Israel, pentru că și-au pervertit calea și l-au uitat pe DOMNUL Dumnezeul lor.
180316008e	Întoarceți-vă, voi copii decăzuți, eu vă voi vindeca decăderile. Iată, noi venim la tine, pentru că tu ești DOMNUL Dumnezeul nostru.
180317009c	Cu adevărat în zadar se așteaptă salvare de la dealuri și de la mulțimea munților. Cu adevărat în DOMNUL Dumnezeul nostru este salvarea lui Israel.
180318008d	Fiindcă rușinea a mistuit munca părinților noștri din tinerețea noastră: turmele lor și cirezile lor, pe fiii lor și pe fiicele lor.
1803190105	Noi zăcem în rușinea noastră și ocara noastră ne acoperă, pentru că am păcătuit împotriva DOMNULUI Dumnezeul nostru, noi și părinții noștri, din tinerețea noastră și până în această zi și nu am ascultat de vocea DOMNULUI Dumnezeul nostru.
18040100a4	Dacă te vei întoarce, Israele, spune DOMNUL, întoarce-te la mine; și dacă vei îndepărta urâciunile tale dinaintea vederii mele, atunci nu te vei mai clinti.
1804020090	Și vei jura: DOMNUL trăiește, în adevăr, în judecată și în dreptate; și națiunile se vor binecuvânta în el și în el se vor făli.
1804030099	Pentru că astfel spune DOMNUL către bărbații lui Iuda și către Ierusalim: Desțeleniți-vă pământul înțelenit și nu semănați printre spini.
180404011d	Circumcideți-vă pentru DOMNUL și îndepărtați prepuțurile inimii voastre, voi bărbați ai lui Iuda și locuitori ai Ierusalimului; ca nu cumva furia mea, ca un foc, să izbucnească și să ardă astfel încât nimeni să nu o poată stinge, din cauza facerilor voastre de rău.
18040500cb	Vestiți în Iuda și faceți cunoscut în Ierusalim și spuneți: Sunați trâmbița în țară; strigați, strângeți-vă împreună și spuneți: Adunați-vă și să intrăm în cetățile apărate.
180406007a	Înălțați steagul spre Sion; retrageți-vă, nu vă opriți, pentru că voi aduce răul de la nord și o mare nimicire.
18040700c9	Leul s-a ridicat din desișul lui și nimicitorul neamurilor este pe drum; el a ieșit din locul său ca să îți prefacă țara în pustiu; și cetățile tale vor fi risipite, fără vreun locuitor.
1804080090	Pentru aceasta, încingeți-vă cu pânză de sac, plângeți și urlați, pentru că mânia înverșunată a DOMNULUI nu s-a abătut de la noi.
18040900b2	Și se va întâmpla în acea zi, spune DOMNUL, că inima împăratului va pieri și de asemenea inima prinților; și preoții vor fi înmărmuriți și profeții se vor minuna.
18040a00ac	Atunci am spus: Ah, Doamne DUMNEZEULE! Cu adevărat ai înșelat mult pe acest popor și Ierusalimul, spunând: Veți avea pace; cu toate că sabia ajunge până la suflet.
18040b00a9	În acel timp se va spune acestui popor și Ierusalimului: Un vânt uscat din înălțimile din pustie spre fiica poporului meu, nu ca să vânture, nici ca să curețe,
18040c0070	Chiar un vânt puternic din acele locuri va veni la mine: acum de asemenea, voi rosti judecăți împotriva lor.
18040d00a0	Iată, el se va înălța ca norii și carele lui vor fi ca un vârtej de vânt; caii lui sunt mai iuți decât acvilele. Vai nouă! pentru că suntem jefuiți.
18040e007c	Ierusalime, spală-ți inima de stricăciune, ca să fii salvat. Până când vor găzdui în tine gândurile tale deșarte?
18040f005f	Pentru că o voce face cunoscută din Dan și face să se audă nenorocirea din muntele Efraim.
18041000bb	Dați de știre națiunilor; iată, faceți să se audă împotriva Ierusalimului, că paznici vin dintr-o țară îndepărtată și își înalță vocea împotriva cetăților lui Iuda.
180411007f	Precum paznicii unui ogor, sunt ei împotriva lui de jur împrejur, pentru că el s-a răzvrătit împotriva mea, spune DOMNUL.
1804120099	Calea ta și facerile tale ți-au adus aceste lucruri asupra ta; aceasta este stricăciunea ta; deoarece este amară, deoarece ajunge până la inima ta.
18041300c3	Adâncurile mele! Adâncurile mele! Sunt îndurerat chiar în inima mea; inima mea vuiește în mine; nu pot să tac, deoarece tu ai auzit; suflete al meu, sunetul trâmbiței, alarma de război!
1804140099	Nimicire peste nimicire se strigă, pentru că toată țara este prădată; dintr-odată corturile mele sunt prădate și într-o clipă, covoarele mele.
1804150040	Până când voi vedea steagul și voi auzi sunetul trâmbiței?
18041600b7	Pentru că poporul meu este nebun, ei nu m-au cunoscut; sunt copii prostuți și nu au înțelegere; sunt înțelepți pentru a face răul, dar pentru a face binele nu au cunoaștere.
1804170064	Am privit pământul și, iată, era fără formă și gol; și cerurile, nici ele nu aveau lumină.
180418004d	Am privit munții și, iată, tremurau; și toate dealurile se mișcau ușor.
1804190051	Am privit și, iată, nu era niciun om; și toate păsările cerurilor fugiseră.
18041a0099	Am privit și, iată, locul roditor era o pustie și toate cetățile lui erau dărâmate la prezența DOMNULUI și înaintea mâniei sale înverșunate.
18041b005e	Pentru că astfel a spus DOMNUL: Toată țara va fi pustiită; totuși nu o voi mistui deplin.
18041c00bb	Pentru aceasta pământul va jeli și cerurile de deasupra vor fi negre, pentru că eu am vorbit aceasta, am hotărât-o și nu mă voi pocăi, nici nu mă voi întoarce înapoi de la ea.
18041d00c2	Întreaga cetate va fugi de vuietul călăreților și arcașilor; ei vor intra în desișuri și se vor cățăra pe stânci: fiecare cetate va fi părăsită și niciun om nu va locui în ele.
18041e0107	Și după ce ești prădată, ce vei face? Chiar dacă te îmbraci cu stacojiu, chiar dacă te împodobești cu podoabe de aur, chiar dacă îți vei mări ochii cu vopsea, în zadar te vei face frumoasă: iubiții tăi te vor disprețui, îți vor căuta viața.
18041f0116	Pentru că am auzit o voce ca a unei femei în durerile nașterii și chinul ca a celei care naște pe întâiul ei născut, vocea fiicei Sionului, care se tânguie, care își întinde mâinile, spunând: Vai mie acum! Pentru că sufletul meu este obosit din cauza ucigașilor.
18050100e3	Alergați încoace și încolo pe străzile Ierusalimului și vedeți acum și aflați și căutați în piețele lui, dacă puteți găsi un om, dacă este vreunul care face judecată, care caută adevărul; și îl voi ierta.
1805020043	Și deși ei spun: DOMNUL trăiește; cu siguranță ei jură fals.
18050300e5	DOAMNE, nu sunt ochii tăi asupra adevărului? tu i-ai lovit, dar ei nu sunt mâhniți; i-ai mistuit, dar ei au refuzat să primească disciplinarea; și-au făcut fețele mai tari decât o stâncă, au refuzat să se întoarcă.
180504008e	De aceea eu am spus: Într-adevăr, aceștia sunt săraci și sunt nebuni, pentru că nu cunosc calea DOMNULUI, nici judecata Dumnezeului lor.
18050500b9	Mă voi duce la oamenii însemnați și le voi vorbi, pentru că ei au cunoscut calea DOMNULUI și judecata Dumnezeului lor; dar aceștia au rupt cu totul jugul și au rupt legăturile.
18050600fe	Pentru aceea, un leu din pădure îi va ucide și un lup al înserărilor îi va prăda, un leopard va pândi cetățile lor; oricine iese de acolo va fi sfâșiat în bucăți; deoarece fărădelegile lor sunt multe și decăderile lor sunt înmulțite.
18050700cb	Cum să te iert pentru aceasta? Copiii tăi m-au părăsit și au jurat pe cei care nu sunt dumnezei; când eu i-am hrănit pe deplin, atunci au comis adulter și s-au adunat în cete la casele curvelor.
180508005c	Ei au fost precum cai hrăniți dimineața; fiecare a nechezat după soția aproapelui său.
1805090077	Să nu cercetez eu pentru aceste lucruri? spune DOMNUL; și să nu fie sufletul meu răzbunat pe o națiune ca aceasta?
18050a0084	Urcați-vă pe zidurile lui și distrugeți; dar să nu mistuiți deplin; luați-i crenelurile, pentru că ele nu sunt ale DOMNULUI.
18050b005f	Căci casa lui Israel și casa lui Iuda s-au purtat foarte perfid împotriva mea, spune DOMNUL.
18050c007a	Ei au negat pe DOMNUL și au spus: Nu este el; nici nu va veni răul asupra noastră; nici nu vom vedea sabie sau foamete;
18050d0052	Iar profeții vor deveni vânt și cuvântul nu este în ei; astfel li se va face.
18050e00c7	Pentru aceea astfel spune DOMNUL Dumnezeul oștirilor: Deoarece voi vorbiți acest cuvânt, iată, voi face cuvintele mele în gura ta să fie foc și pe acest popor să fie lemne, și îi va mistui.
18050f00e2	Iată, casă a lui Israel, de departe voi aduce o națiune asupra voastră, spune DOMNUL; aceasta este o națiune puternică, este o națiune străveche, o națiune a cărei limbă nu o cunoști, nici nu înțelegi ce spun ei.
180510003e	Tolba lor este un mormânt deschis, ei sunt toți războinici.
180511010c	Și ei îți vor mânca secerișul și pâinea, pe care fiii tăi și fiicele tale ar trebui să le mănânce; îți vor mânca turmele și cirezile; îți vor mânca viile și smochinii; ei îți vor sărăci cu sabia cetățile tale întărite, în care te încrezi.
180512003f	Totuși în acele zile, spune DOMNUL, nu vă voi mistui deplin.
1805130125	Și se va întâmpla, când veți spune: Pentru ce ne face DOMNUL Dumnezeul nostru toate acestea? atunci să le răspundeți: La fel cum voi m-ați părăsit și ați servit unor dumnezei străini în țara voastră, tot astfel veți servi unor străini într-o țară care nu este a voastră.
1805140055	Vestiți aceasta casei lui Iacob și faceți să se audă aceasta în Iuda, spunând:
1805150085	Ascultați acum aceasta, voi popor nebun și fără înțelegere; care aveți ochi și nu vedeți, care aveți urechi și nu auziți;
1805160129	Nu vă temeți de mine? Spune DOMNUL; nu tremurați în prezența mea, cel care am pus nisipul drept graniță mării printr-o hotărâre veșnică, încât aceasta nu poate trece peste ea; și deși valurile ei se aruncă, totuși nu o pot învinge; deși răcnesc, totuși nu pot trece peste ea?
180517005e	Dar acest popor are o inimă îndărătnică și răzvrătită; ei s-au abătut și au plecat.
18051800cb	Nici nu spun ei în inima lor: Să ne temem acum de DOMNUL Dumnezeul nostru, care dă ploaie deopotrivă timpurie și târzie, la timpul său; el ne păstrează săptămânile rânduite ale secerișului.
180519006c	Nelegiuirile voastre au îndepărtat aceste lucruri și păcatele voastre au oprit lucrurile bune de la voi.
18051a008b	Pentru că în poporul meu se găsesc oameni stricați; ei stau la pândă, precum cel care pune curse; ei pun o capcană, ei prind oameni.
18051b0084	Precum o colivie plină de păsări, astfel casele lor sunt pline de înșelăciune; de aceea au devenit mari și s-au îmbogățit.
18051c00c6	S-au îngrășat și strălucesc; da, întrec faptele celor stricați; cauza celui fără tată, această cauză ei nu o judecă, totuși ei prosperă; și dreptul celor nevoiași ei nu îl judecă.
18051d0073	Să nu cercetez eu pentru aceste lucruri? spune DOMNUL, să nu fie sufletul meu răzbunat pe o națiune ca aceasta?
18051e0034	Un lucru uimitor și groaznic este comis în țară;
18051f0088	Profeții profețesc fals și preoții stăpânesc prin mijloacele lor și poporul meu iubește aceasta; și ce veți face la sfârșit?
18060100d8	Voi copii ai lui Beniamin, adunați-vă pentru a fugi din mijlocul Ierusalimului și sunați trâmbița în Tecoa și înălțați un semn de foc în Bet-Hacherem, pentru că din nord apare răul și o mare nimicire.
1806020043	Am asemănat pe fiica Sionului cu o femeie frumoasă și delicată.
1806030088	Păstorii cu turmele lor vor veni la ea; își vor înălța corturile împotriva ei de jur împrejur; vor paște fiecare în locul lui.
1806040097	Pregătiți război împotriva ei; ridicați-vă și să ne urcăm la amiază. Vai nouă! pentru că ziua pleacă, pentru că umbrele serii se întind.
1806050044	Ridicați-vă, să ne urcăm noaptea și să îi distrugem palatele.
18060600cb	Pentru că astfel a spus DOMNUL oștirilor: Retezați copaci și aruncați un val de pământ împotriva Ierusalimului; aceasta este cetatea de cercetat; ea este în întregime oprimată în mijlocul ei.
18060700a8	Precum fântâna își varsă apele, tot astfel ea își varsă stricăciunea: violență și jefuire se aud în ea; înaintea mea se află continuu mâhnire și răni.
1806080084	Instruiește-te, Ierusalime, ca nu cumva sufletul meu să se depărteze de tine; ca nu cumva să te fac pustiu, o țară nelocuită.
180609009b	Astfel spune DOMNUL oștirilor: Ei vor culege în întregime rămășița lui Israel ca pe o vie; întoarce-ți înapoi mâna la coșuri, ca un culegător.
18060a00d1	Cui să îi vorbesc și pe cine să avertizez, ca ei să asculte? Iată, urechea lor este necircumcisă și nu pot să dea ascultare; iată, cuvântul DOMNULUI este pentru ei o ocară; nu au desfătare în el.
18060b00e2	De aceea sunt plin de furia DOMNULUI; sunt obosit de ținerea ei; o voi turna asupra copiilor de afară și asupra adunării împreună a tinerilor; căci și soțul cu soția vor fi luați, cel bătrân cu cel sătul de zile.
18060c00a8	Și casele lor vor fi trecute în mâna altora, împreună cu câmpurile și soțiile lor, pentru că îmi voi întinde mâna asupra locuitorilor țării, spune DOMNUL.
18060d00a1	Pentru că de la cel mai mic al lor până la cel mai mare al lor fiecare este dedat la poftire; și de la profet până la preot fiecare tratează cu falsitate.
18060e0075	Ei au vindecat de asemenea vătămarea fiicei poporului meu cu ușurătate, spunând: Pace, pace; când nu este pace.
18060f00d8	Au fost ei rușinați că au comis urâciune? Nu, nu au fost deloc rușinați, nici nu puteau să roșească; de aceea ei vor cădea printre cei care cad; la timpul când îi cercetez vor fi doborâți, spune DOMNUL.
18061000e3	Astfel spune DOMNUL: Stați pe căi și vedeți și întrebați de cărările cele vechi, unde este calea bună; și umblați în ea și veți găsi odihnă pentru sufletele voastre. Dar ei au spus: Refuzăm să umblăm în ea.
1806110084	De asemenea am pus paznici peste voi, spunând: Dați ascultare la sunetul trâmbiței. Dar ei au spus: Refuzăm să dăm ascultare.
1806120054	De aceea ascultați, voi națiunilor; și cunoaște, tu adunare, ce este printre ei.
18061300b0	Ascultă, pământule; iată, voi aduce răul asupra acestui popor, rodul gândurilor lor, pentru că nu au dat ascultare la cuvintele mele, nici la legea mea, ci au respins-o.
18061400be	Pentru ce vine la mine tămâie din Seba și trestia dulce de zahăr dintr-o țară îndepărtată? Ofrandele voastre arse nu sunt bine primite, nici sacrificiile voastre nu îmi sunt dulci.
18061500b8	De aceea astfel spune DOMNUL: Iată, voi pune pietre de poticnire înaintea acestui popor, și părinții și fiii împreună vor cădea peste ele; vecinul și prietenul lui vor pieri.
180616007d	Astfel spune DOMNUL: Iată, un popor vine din țara de nord și o națiune mare va fi ridicată de la marginile pământului.
18061700c1	Ei vor apuca arcul și sulița; ei sunt cruzi și nu au milă; vocea lor răcnește ca marea; și călăresc pe cai, desfășurați ca bărbați pentru război împotriva ta, fiică a Sionului.
1806180071	Noi am auzit de faima lor, mâinile noastre slăbesc, chinul ne-a apucat și durere, ca a unei femei la naștere.
180619006d	Nu ieșiți la câmp, nici nu umblați pe cale, pentru că sabia dușmanului și frica este de fiecare parte.
18061a00d1	Fiică a poporului meu, încinge-te cu pânză de sac și tăvălește-te în cenușă; jelește, ca pentru singurul fiu, cea mai amară plângere, pentru că prădătorul va veni dintr-odată asupra noastră.
18061b006a	Eu te-am pus ca un turn și o fortăreață în poporul meu, ca să le cunoști și să le încerci calea.
18061c0075	Ei sunt toți răzvrătiți apăsători, umblând cu defăimări, ei sunt aramă și fier; ei sunt toți corupători.
18061d0072	Foalele sunt arse, plumbul este mistuit de foc; topitorul topește în zadar; căci cei stricați nu sunt smulși.
18061e004b	Argint lepădat vor fi numiți [de oameni], pentru că DOMNUL i-a lepădat.
1807010039	Cuvântul care a venit la Ieremia de la DOMNUL, spunând:
18070200cc	Stai în picioare la poarta casei DOMNULUI și vestește acolo acest cuvânt și spune: Ascultați cuvântul DOMNULUI, voi toți cei din Iuda care intrați pe aceste porți pentru a vă închina DOMNULUI.
1807030091	Astfel spune DOMNUL oștirilor, Dumnezeul lui Israel: Îndreptați-vă căile și lucrările voastre și vă voi face să locuiți în acest loc.
1807040077	Nu vă încredeți în cuvinte mincinoase, spunând: Templul DOMNULUI, Templul DOMNULUI, Templul DOMNULUI sunt acestea.
1807050095	Căci dacă vă veți îndrepta în întregime căile și lucrările voastre, dacă veți face în întregime judecată între om și aproapele său;
18070600bd	Dacă nu veți oprima pe străin, pe cel fără tată și pe văduvă și nu veți vărsa sânge nevinovat în acest loc, nici nu veți umbla după alți dumnezei spre vătămarea voastră;
1807070083	Atunci vă voi face să locuiți în acest loc, în țara pe care am dat-o părinților voștri, pentru totdeauna și întotdeauna.
1807080049	Iată, voi vă încredeți în cuvinte mincinoase, care nu sunt de folos.
18070900a7	Veți fura, veți ucide și veți comite adulter și veți jura fals și veți arde tămâie lui Baal și veți umbla după alți dumnezei pe care nu îi cunoașteți,
18070a00b5	Și veți veni să stați în picioare înaintea mea în această casă, care este numită după numele meu și veți spune: Suntem eliberați! pentru a face toate aceste urâciuni?
18070b008f	A devenit această casă, numită după numele meu, o peșteră de tâlhari în ochii voștri? Iată, chiar eu am văzut aceasta, spune DOMNUL.
18070c009e	Dar mergeți acum la locul meu care era în Șilo, unde mi-am pus numele la început, și vedeți ce i-am făcut din cauza stricăciunii poporului meu Israel.
18070d00b6	Și acum, pentru că ați făcut toate aceste lucrări, spune DOMNUL și v-am vorbit, ridicându-mă devreme și vorbind, dar nu ați ascultat, și v-am chemat, dar nu ați răspuns;
18070e00bc	De aceea, voi face acestei case, care este numită după numele meu, în care vă încredeți, și locului pe care vi l-am dat vouă și părinților voștri, precum i-am făcut lui Șilo.
18070f0078	Și vă voi alunga dinaintea feței mele, precum i-am alungat pe toți frații voștri, pe toată sămânța lui Efraim.
1807100095	De aceea nu te ruga pentru acest popor, nici nu ridica strigăt nici rugăciune pentru ei, nici nu mijloci către mine: pentru că nu te voi asculta.
180711004c	Nu vezi tu ce fac ei în cetățile lui Iuda și pe străzile Ierusalimului?
18071200cc	Copiii adună lemne și părinții aprind focul și femeile își frământă aluatul, pentru a face turte împărătesei cerului și pentru a turna ofrande de băutură altor dumnezei, ca să mă mânie.
1807130060	Ei pe mine mă mânie? spune DOMNUL; nu se provoacă pe ei înșiși spre rușinea fețelor lor?
18071400ee	De aceea astfel spune DOMNUL Dumnezeu: Iată, mânia mea și furia mea vor fi turnate asupra acestui loc, asupra omului și asupra animalului și asupra copacilor câmpului și asupra rodului pământului; și va arde și nu se va stinge.
180715007c	Astfel spune DOMNUL oștirilor, Dumnezeul lui Israel: Puneți ofrandele voastre la sacrificiile voastre și mâncați carne.
180716009f	Pentru că nu referitor la ofrande arse sau la sacrificii am vorbit părinților voștri, sau le-am poruncit în ziua în care i‑am scos din țara Egiptului;
18071700cf	Ci acest lucru le-am poruncit, spunând: Ascultați de vocea mea și eu voi fi Dumnezeul vostru și voi veți fi poporul meu; și să umblați în toate căile pe care vi le-am poruncit, ca să vă fie bine.
180718009d	Dar ei nu au dat ascultare, nici nu și-au plecat urechea, ci au umblat în sfaturile și în închipuirea inimii lor rele; și au mers înapoi, nu înainte.
18071900be	Din ziua în care părinții voștri au ieșit din țara Egiptului până în această zi am trimis chiar pe toți servitorii mei profeții, zilnic ridicându-mă devreme și trimițându-i;
18071a008b	Totuși ei nu mi-au dat ascultare, nici nu și-au plecat urechea, ci și-au împietrit gâtul; ei au făcut mai rău decât părinții lor.
18071b0088	De aceea le vei vorbi toate aceste cuvinte iar ei nu îți vor da ascultare; de asemenea tu îi vei chema iar ei nu îți vor răspunde.
18071c00ae	Dar tu să le spui: Aceasta este o națiune care nu ascultă de vocea DOMNULUI Dumnezeului ei, nici nu primește corectare; adevărul a pierit și este stârpit din gura lor.
18071d00a0	Taie-ți părul, Ierusalime, și aruncă-l departe și înalță o plângere pe înălțimi, pentru că DOMNUL a respins și a părăsit generația furiei sale.
18071e00a7	Deoarece copiii lui Iuda au făcut ce este rău înaintea feței mele, spune DOMNUL; și-au pus urâciunile lor în casa, numită după numele meu, pentru a o întina.
18071f00b8	Și au zidit înălțimile Tofetului, care este valea fiului lui Hinom, pentru a-i arde pe fiii lor și pe fiicele lor în foc, ceea ce nu le-am poruncit, nici nu a ajuns la inima mea.
18072000b3	De aceea iată, vin zilele, spune DOMNUL, că nu va mai fi numit, Tofet, nici valea fiului lui Hinom, ci valea măcelului; fiindcă vor îngropa în Tofet până nu va mai fi loc.
180721008b	Și trupurile moarte ale acestui popor vor fi hrană pentru păsările cerului și pentru fiarele pământului; și nimeni nu le va speria.
18072200bd	Atunci voi face să înceteze din cetățile lui Iuda și de pe străzile Ierusalimului vocea bucuriei și vocea veseliei, vocea mirelui și vocea miresei, pentru că țara va fi pustiită.
18080100c8	În acel timp, spune DOMNUL, vor scoate oasele împăraților lui Iuda și oasele prinților lui și oasele preoților și oasele profeților și oasele locuitorilor Ierusalimului, din mormintele lor;
180802012a	Și le vor întinde înaintea soarelui și a lunii și a întregii oștiri a cerului, pe care le-au iubit și cărora le-au servit și după care au umblat și pe care le-au căutat și cărora li s-au închinat; nu vor fi adunate nici nu vor fi îngropate; vor fi ca balegă pe fața pământului.
18080300d3	Și moartea va fi aleasă, mai degrabă decât viața, de toată rămășița celor care rămân din această familie rea, de cei care rămân în toate locurile unde îi vor fi alungat, spune DOMNUL oștirilor.
1808040079	Mai mult, tu să le spui: Astfel spune DOMNUL: Vor cădea ei și nu se vor ridica? Se va abate el și nu se va întoarce?
180805008d	De ce atunci, acest popor al Ierusalimului, a decăzut printr-o continuă decădere? Ei țin tare înșelăciunea, refuză să se întoarcă.
18080600cd	Eu am dat ascultare și am auzit, dar ei nu au vorbit drept; nimeni nu s-a pocăit de stricăciunea lui, spunând: Ce am făcut? Fiecare s-a întors la alergarea lui, precum calul se aruncă în bătălie.
18080700a8	Da, barza în cer cunoaște timpurile ei rânduite; și turturica și cocorul și rândunica păzesc timpul venirii lor; dar poporul meu nu cunoaște judecata DOMNULUI.
1808080092	Cum ziceți: Noi suntem înțelepți și legea DOMNULUI este cu noi? Iată, într‑adevăr, în zadar a făcut-o; tocul scribilor este în zadar.
1808090089	Înțelepții sunt rușinați, ei sunt descurajați și prinși; iată, au respins cuvântul DOMNULUI; și ce înțelepciune este în ei?
18080a00e2	De aceea voi da pe soțiile lor altora și câmpurile lor celor care le vor moșteni, pentru că fiecare, de la cel mai mic până la cel mai mare, este dedat la lăcomie, de la profet până la preot, fiecare se poartă fals.
18080b006f	Fiindcă au vindecat vătămarea fiicei poporului meu cu ușurătate, spunând: Pace, pace! când nu este pace.
18080c00d8	Au fost ei rușinați că au comis urâciune? Nu, nu au fost deloc rușinați, nici nu puteau să roșească; de aceea ei vor cădea printre cei care cad; la timpul când îi cercetez vor fi doborâți, spune DOMNUL.
18080d00b4	Îi voi mistui într-adevăr, spune DOMNUL; nu vor fi struguri în viță, nici smochine în smochin și frunza se va ofili; și lucrurile pe care le-am dat lor vor trece de la ei.
18080e00e6	De ce ședem liniștiți? Adunați-vă și să intrăm în cetățile apărate și să tăcem acolo, pentru că DOMNUL Dumnezeul nostru ne-a amuțit și ne-a dat apă cu fiere să bem, pentru că am păcătuit împotriva DOMNULUI.
18080f0067	Am căutat pacea, dar nimic bun nu a venit; și am căutat un timp de sănătate dar, iată, tulburare.
18081000d6	Pufăitul cailor lui s-a auzit din Dan; toată țara a tremurat la sunetul nechezatului celor puternici ai lui; fiindcă au venit și au mâncat țara și tot ce este în ea; cetatea și pe cei care locuiau în ea.
1808110071	Căci, iată, voi trimite printre voi șerpi, năpârci, ce nu vor fi fermecate și vă vor mușca, spune DOMNUL.
1808120056	Când mă mângâi împotriva întristării mele, îmi este leșinată inima în mine.
18081300f5	Iată, vocea strigătului fiicei poporului meu din cauza celor care locuiesc într-o țară îndepărtată: Nu este DOMNUL în Sion? Nu este împăratul lui în Sion? De ce m‑au mâniat cu chipurile lor cioplite și cu deșertăciuni străine?
1808140043	Secerișul a trecut, vara s-a sfârșit și noi nu suntem salvați.
1808150061	Pentru vătămarea fiicei poporului meu sunt eu vătămat; sunt negru; m-a apucat înmărmurirea.
180816006c	Nu este balsam în Galaad? Nu este un doctor acolo? De ce atunci, nu se face vindecare fiicei poporului meu?
1809010092	De s-ar preface în ape, capul meu, și o fântână de lacrimi, ochii mei, ca să plâng zi și noapte pentru cei uciși ai fiicei poporului meu!
18090200b1	De aș fi avut în pustie un loc de găzduire pentru călători; ca să las pe poporul meu și să plec de la ei! Pentru că ei toți sunt adulteri, o adunare de oameni perfizi.
18090300b0	Și ei își încordează limbile, arcul lor de minciuni; dar nu sunt viteji pentru adevărul de pe pământ, pentru că merg din rău în rău și nu mă cunosc, spune DOMNUL.
18090400b0	Luați bine seama, fiecare la aproapele său, și să nu vă încredeți în niciun frate, pentru că fiecare frate va piedica mult și fiecare prieten va umbla cu defăimări.
180905009c	Și fiecare va înșela pe aproapele său și nu va vorbi adevărul; și-au învățat limba să vorbească minciuni și se obosesc ca să facă nelegiuire.
180906006f	Locuința ta este în mijlocul înșelăciunii; prin înșelăciune ei refuză să mă cunoască, spune DOMNUL.
1809070093	De aceea astfel spune DOMNUL oștirilor: Iată, îi voi topi și îi voi încerca, pentru că ce altceva aș putea face pentru fiica poporului meu?
18090800a2	Limba lor este precum o săgeată trasă, vorbește înșelăciune; unul vorbește pașnic cu gura lui aproapelui său, dar în inima lui el își întinde cursa.
