0100000008	Génesis
138b0d004e	Porque tú formaste mi ser más íntimo. Me tejiste en el vientre de mi madre.
138b0e007f	Te daré las gracias, porque estoy hecho de manera temible y maravillosa. Sus obras son maravillosas. Mi alma lo sabe muy bien.
138b0f0067	Mi marco no se ocultó de ti, cuando me hicieron en secreto, tejidas en las profundidades de la tierra.
138b10008a	Tus ojos vieron mi cuerpo. En su libro estaban todos escritos, los días que fueron ordenados para mí, cuando todavía no había ninguno.
138b11004f	¡Qué preciosos son para mí tus pensamientos, Dios! ¡Qué enorme es su suma!
138b120064	Si quisiera contarlos, son más numerosos que la arena. Cuando me despierto, todavía estoy contigo.
138b130047	Si tú, Dios, mataras a los malvados. ¡Aléjense de mí, sanguinarios!
138b140049	Porque hablan contra ti con maldad. Tus enemigos toman tu nombre en vano.
138b15005c	Yahvé, ¿no odio a los que te odian? ¿No estoy afligido por los que se levantan contra ti?
138b160041	Los odio con un odio perfecto. Se han convertido en mis enemigos.
138b17004c	Escúchame, Dios, y conoce mi corazón. Pruébame y conoce mis pensamientos.
138b18004a	Mira si hay algún camino perverso en mí, y guíame por el camino eterno.
138c01007b	Para el músico principal. Un salmo de David. Líbrame, Yahvé, de los hombres malos. Presérvame de los hombres violentos:
138c020052	los que traman maldades en sus corazones. Se reúnen continuamente para la guerra.
138c030060	Han afilado su lengua como una serpiente. El veneno de la víbora está bajo sus labios. (Selah)
138c040085	Yahvé, guárdame de las manos de los malvados. Presérvame de los hombres violentos que se han empeñado en hacer tropezar mis pies.
138c050083	Los soberbios han escondido una trampa para mí, han extendido las cuerdas de una red por el camino. Me han puesto trampas. (Selah)
138c060053	Dije a Yahvé: “Tú eres mi Dios”. Escucha el clamor de mis peticiones, Yahvé.
138c07005f	Yahvé, el Señor, la fuerza de mi salvación, has cubierto mi cabeza en el día de la batalla.
138c080080	Yahvé, no concedas los deseos de los malvados. No permitas que sus planes malvados tengan éxito, o se enorgullecerán. (Selah)
138c09005a	En cuanto a la cabeza de los que me rodean, que la maldad de sus propios labios los cubra.
138c0a007a	Que caigan sobre ellos carbones encendidos. Que sean arrojados al fuego, en fosas cenagosas, de las que nunca se levantan.
138c0b0069	Un orador malvado no se establecerá en la tierra. El mal perseguirá al hombre violento para derrocarlo.
138c0c0055	Sé que Yahvé mantendrá la causa de los afligidos, y justicia para los necesitados.
138c0d0057	Seguramente los justos darán gracias a tu nombre. Los rectos morarán en tu presencia.
138d010067	Un salmo de David. Yahvé, te he invocado. ¡Vengan a mí rápidamente! Escucha mi voz cuando te llamo.
138d02006f	Que mi oración sea puesta ante ti como un incienso; la elevación de mis manos como el sacrificio de la tarde.
138d030049	Pon un reloj, Yahvé, delante de mi boca. Guarda la puerta de mis labios.
138d040096	No inclines mi corazón a ninguna cosa mala, para practicar obras de maldad con los hombres que obran la iniquidad. No me dejes comer de sus manjares.
138d0500b8	Que el justo me golpee, es la bondad; que me reprenda, es como el aceite en la cabeza; no dejes que mi cabeza lo rechace; Sin embargo, mi oración es siempre contra las malas acciones.
138d060065	Sus jueces son arrojados a los lados de la roca. Escucharán mis palabras, porque están bien dichas.
138d070064	“Como cuando se ara y se rompe la tierra, nuestros huesos están dispersos en la boca del Seol”.
138d080068	Porque mis ojos están puestos en ti, Yahvé, el Señor. Me refugio en ti. No dejes mi alma desamparada.
138d090059	Guárdame de la trampa que me han tendido, de las trampas de los obreros de la iniquidad.
138d0a0044	Quelos malvados caigan juntos en sus propias redes mientras yo paso.
138e010088	Una contemplación de David, cuando estaba en la cueva. Una oración. Clamo con mi voz a Yahvé. Con mi voz, pido a Yahvé misericordia.
138e020033	Derramo mi queja ante él. Le cuento mis problemas.
138e03008a	Cuando mi espíritu se sobrecogió dentro de mí, que conocías mi ruta. En el camino en el que camino, han escondido una trampa para mí.
138e04007f	Mira a mi derecha y ve; porque no hay nadie que se preocupe por mí. El refugio ha huido de mí. Nadie se preocupa por mi alma.
138e050060	A ti, Yahvé, te clamé. Le dije: “Tú eres mi refugio, mi parte en la tierra de los vivos”.
138e060071	Escucha mi grito, porque estoy desesperado. Líbrame de mis perseguidores, porque son demasiado fuertes para mí.
138e07007e	Saca ami alma de la cárcel, para que pueda dar gracias a tu nombre. Los justos me rodearán, porque tú serás bueno conmigo.
138f01006e	Un salmo de David. Escucha mi oración, Yahvé. Escucha mis peticiones. En tu fidelidad y justicia, alíviame.
138f020052	No entres en juicio con tu siervo, porque a tus ojos ningún hombre vivo es justo.
138f030098	Porque el enemigo persigue mi alma. Ha derribado mi vida hasta el suelo. Me ha hecho vivir en lugares oscuros, como los que llevan mucho tiempo muertos.
138f040054	Por lo tanto, mi espíritu está abrumado dentro de mí. Mi corazón está desolado.
138f050059	Recuerdo los días de antaño. Medito en todos tus actos. Contemplo la obra de tus manos.
138f060055	Extiendo mis manos hacia ti. Mi alma tiene sed de ti, como una tierra reseca. (Selah)
138f070082	Apresúrate a responderme, Yahvé. Mi espíritu falla. No me escondas la cara, para que no me vuelva como los que bajan a la fosa.
138f080088	Hazme oír tu amorosa bondad por la mañana, porque confío en ti. Haz que conozca el camino que debo seguir, porque elevo mi alma a ti.
138f090046	Líbrame, Yahvé, de mis enemigos. Huyo hacia ti para que me escondas.
138f0a0075	Enséñame a hacer tu voluntad, porque tú eres mi Dios. Tu Espíritu es bueno. Guíame por la tierra de la rectitud.
138f0b004e	Revísame, Yahvé, por tu nombre. En tu justicia, saca mi alma de la angustia.
138f0c006d	En tu amorosa bondad, elimina a mis enemigos, y destruye a todos los que afligen mi alma, pues soy tu siervo.
139001006a	Por David. Bendito sea Yahvé, mi roca, que entrena mis manos para la guerra, y mis dedos a la batalla —
139002008c	mi amorosa bondad, mi fortaleza, mi alta torre, mi libertador, mi escudo, y aquel en quien me refugio, que somete a mi pueblo bajo mi mando.
1390030067	Yahvé, ¿qué es el hombre, para que te preocupes por él? ¿O el hijo del hombre, que piensas de él?
1390040043	El hombre es como un soplo. Sus días son como una sombra que pasa.
1390050045	Parte tus cielos, Yahvé, y baja. Toca las montañas y echarán humo.
139006003b	Lanza un rayo y dispérsalos. Envíen sus flechas, y huyan.
1390070070	Extiende tu mano desde arriba, rescátame y sácame de las grandes aguas, fuera de las manos de los extranjeros,
139008004f	cuya boca habla con engaño, cuya mano derecha es una mano derecha de falsedad.
139009005f	Cantaré una nueva canción para ti, Dios. Con una lira de diez cuerdas, te cantaré alabanzas.
13900a0062	Tú eres el que da la salvación a los reyes, que rescata a David, su siervo, de la espada mortal.
13900b0089	Rescátame y líbrame de las manos de los extranjeros, cuyas bocas hablan con engaño, cuya mano derecha es una mano derecha de falsedad.
13900c007a	Entonces nuestros hijos serán como plantas bien cultivadas, nuestras hijas como pilares tallados para adornar un palacio.
13900d0085	Nuestros graneros están llenos, repletos de toda clase de provisiones. Nuestras ovejas producen miles y diez mil en nuestros campos.
13900e006c	Nuestros bueyes tirarán de cargas pesadas. No hay que entrar ni salir, y ningún clamor en nuestras calles.
13900f0066	Felices son las personas que se encuentran en esta situación. Feliz es el pueblo cuyo Dios es Yahvé.
139101006e	Un salmo de alabanza de David. Te exaltaré, mi Dios, el Rey. Alabaré tu nombre por los siglos de los siglos.
1391020046	Cada día te alabaré. Exaltaré tu nombre por siempre y para siempre.
139103004a	¡Grande es Yahvé, y digno de gran alabanza! Su grandeza es inescrutable.
1391040050	Una generación recomendará tus obras a otra, y declarará tus poderosos actos.
1391050049	Meditaré en la gloriosa majestad de tu honor, en tus maravillosas obras.
1391060053	Los hombres hablarán de la fuerza de tus actos asombrosos. Declararé tu grandeza.
139107004b	Ellos pronunciarán el recuerdo de tu gran bondad, y cantarán tu justicia.
1391080050	Yahvé es clemente, misericordioso, lento para la ira, y de gran bondad amorosa.
139109005a	Yahvé es bueno con todos. Sus tiernas misericordias están por encima de todas sus obras.
13910a0045	Todas tus obras te darán gracias, Yahvé. Tus santos te ensalzarán.
13910b0039	Hablarán de la gloria de tu reino, y hablar de su poder,
13910c0068	para dar a conocer a los hijos de los hombres sus actos poderosos, la gloria de la majestad de su reino.
13910d008f	Tu reino es un reino eterno. Tu dominio perdura por todas las generaciones. Yahvé es fiel en todas sus palabras, y amoroso en todos sus actos.
13910e0051	Yahvé sostiene a todos los que caen, y levanta a todos los que están postrados.
13910f0043	Los ojos de todos te esperan. Les das su comida a su debido tiempo.
139110003a	Abres la mano, y satisfacer el deseo de todo ser viviente.
1391110045	Yahvé es justo en todos sus caminos, y bondadoso en todas sus obras.
1391120058	Yahvé está cerca de todos los que lo invocan, a todos los que le invocan en la verdad.
139113005d	Él cumplirá el deseo de los que le temen. Él también escuchará su clamor y los salvará.
139114004e	Yahvé preserva a todos los que le aman, pero destruirá a todos los malvados.
139115006c	Mi boca hablará la alabanza de Yahvé. Que toda carne bendiga su santo nombre por los siglos de los siglos.
139201002f	¡Alabado sea Yah! Alabado sea Yahvé, mi alma.
139202004f	Mientras viva, alabaré a Yahvé. Cantaré alabanzas a mi Dios mientras exista.
1392030056	No pongas tu confianza en los príncipes, en un hijo de hombre en el que no hay ayuda.
1392040055	Su espíritu se va y vuelve a la tierra. En ese mismo día, sus pensamientos perecen.
139205005a	Dichoso el que tiene como ayuda al Dios de Jacob, cuya esperanza está en Yahvé, su Dios,
1392060065	que hizo el cielo y la tierra, el mar, y todo lo que hay en ellos; que guarda la verdad para siempre;
139207006f	que ejecuta la justicia para los oprimidos; que da de comer a los hambrientos. Yahvé libera a los prisioneros.
1392080065	El Señor abre los ojos de los ciegos. Yahvé levanta a los que se inclinan. Yahvé ama a los justos.
139209007d	Yahvé preserva a los extranjeros. Él defiende al huérfano y a la viuda, sino que pone al revés el camino de los malvados.
13920a005f	Yahvé reinará para siempre; tu Dios, oh Sión, por todas las generaciones. ¡Alabado sea Yah!
139301006d	Alabado sea Yah, porque es bueno cantar alabanzas a nuestro Dios; porque es agradable y conveniente alabarlo.
139302003b	Yahvé construye Jerusalén. Reúne a los parias de Israel.
139303003d	Él cura a los quebrantados de corazón, y venda sus heridas.
1393040044	Cuenta el número de las estrellas. Los llama a todos por su nombre.
139305004b	Grande es nuestro Señor, y poderoso en poder. Su comprensión es infinita.
1393060040	Yahvé sostiene a los humildes. Derriba a los malvados al suelo.
1393070053	Canten a Yahvé con acción de gracias. Canta alabanzas con el arpa a nuestro Dios,
139308006e	que cubre el cielo de nubes, que prepara la lluvia para la tierra, que hace crecer la hierba en las montañas.
139309004f	Proporciona alimento para el ganado, y para los jóvenes cuervos cuando llaman.
13930a0053	No se deleita en la fuerza del caballo. No se complace en las piernas de un hombre.
13930b0050	Yahvé se complace en los que le temen, en los que esperan en su amorosa bondad.
13930c003f	¡Alabado sea Yahvé, Jerusalén! ¡Alabado sea tu Dios, Sión!
13930d005b	Porque ha reforzado los barrotes de tus puertas. Él ha bendecido a tus hijos dentro de ti.
13930e0041	Él hace la paz en tus fronteras. Te llena de lo mejor del trigo.
13930f0044	Él envía su mandamiento a la tierra. Su palabra corre muy rápido.
1393100046	Él da la nieve como la lana, y dispersa la escarcha como las cenizas.
1393110052	Arroja su granizo como si fueran guijarros. ¿Quién puede enfrentarse a su frío?
139312004f	Envía su palabra y los derrite. Él hace soplar su viento, y las aguas fluyen.
1393130044	Muestra su palabra a Jacob, sus estatutos y sus ordenanzas a Israel.
1393140053	No lo ha hecho por cualquier nación. No conocen sus ordenanzas. ¡Alabado sea Yah!
1394010055	¡Alabado sea Yah! ¡Alabado sea Yahvé desde los cielos! ¡Alábenlo en las alturas!
139402003e	¡Alabadle, todos sus ángeles! ¡Alabadle, todo su ejército!
1394030043	¡Alabadle, sol y luna! ¡Alabadle, todas las estrellas brillantes!
139404004e	Alabadle, cielos de los cielos, las aguas que están por encima de los cielos.
1394050048	Que alaben el nombre de Yahvé, porque él lo ordenó, y fueron creados.
139406005b	También los ha establecido por siempre y para siempre. Ha hecho un decreto que no pasará.
1394070056	Alaben a Yahvé desde la tierra, grandes criaturas marinas, y todas las profundidades,
1394080050	relámpagos y granizo, nieve y nubes, viento tempestuoso, cumpliendo su palabra,
1394090044	montañas y todas las colinas, árboles frutales y todos los cedros,
13940a004d	animales salvajes y todo el ganado, pequeñas criaturas y pájaros voladores,
13940b0053	reyes de la tierra y todos los pueblos, príncipes y todos los jueces de la tierra,
13940c003d	tanto a los jóvenes como a las doncellas, ancianos y niños.
13940d007c	Que alaben el nombre de Yahvé, porque sólo su nombre es exaltado. Su gloria está por encima de la tierra y de los cielos.
13940e0089	Ha levantado el cuerno de su pueblo, la alabanza de todos sus santos, de los hijos de Israel, un pueblo cercano a él. ¡Alabado sea Yah!
1395010062	¡Alabado sea Yahvé! Canta a Yahvé una nueva canción, su alabanza en la asamblea de los santos.
1395020057	Que Israel se regocije en el que los hizo. Que los hijos de Sión se alegren en su Rey.
1395030051	¡Que alaben su nombre en la danza! Que le canten alabanzas con pandereta y arpa.
1395040050	Porque Yahvé se complace en su pueblo. Corona a los humildes con la salvación.
139505004d	Que los santos se regocijen en el honor. Que canten de alegría en sus camas.
139506005a	Que las altas alabanzas de Dios estén en sus bocas, y una espada de dos filos en la mano,
1395070047	para ejecutar la venganza sobre las naciones, y castigos a los pueblos;
1395080048	para atar a sus reyes con cadenas, y sus nobles con grilletes de hierro;
1395090063	para ejecutar en ellos la sentencia escrita. Todos sus santos tienen este honor. ¡Alabado sea Yah!
1396010068	¡Alabado sea Yah! ¡Alabado sea Dios en su santuario! ¡Alábenlo en sus cielos por sus actos de poder!
139602004d	¡Alabadle por sus poderosos actos! ¡Alábenlo según su excelente grandeza!
1396030049	¡Alabadle con el sonido de la trompeta! Alábenlo con el arpa y la lira.
1396040052	¡Alabadle con panderetas y bailes! Alábenlo con instrumentos de cuerda y flauta.
1396050047	¡Alabadle con fuertes címbalos! ¡Alábenlo con címbalos resonantes!
139606003e	¡Quetodo lo que tiene aliento alabe a Yah! ¡Alabado sea Yah!
140000000a	Proverbios
1401010039	Los proverbios de Salomón, hijo de David, rey de Israel:
140102005c	para conocer la sabiduría y la instrucción; para discernir las palabras del entendimiento;
1401030056	para recibir instrucción en el trato sabio, en la rectitud, la justicia y la equidad;
1401040049	para dar prudencia a los simples, conocimiento y discreción al joven —
1401050070	para que el sabio escuche y aumente su aprendizaje; para que el hombre de entendimiento alcance el sano consejo;
1401060050	para entender un proverbio y parábolas, las palabras y acertijos de los sabios.
140107006f	El temor a Yahvé es el principio del conocimiento, pero los necios desprecian la sabiduría y la instrucción.
140108005b	Hijo mío, escucha la instrucción de tu padre, y no abandones las enseñanzas de tu madre;
1401090052	pues serán una guirnalda que adornará tu cabeza, y cadenas alrededor del cuello.
14010a0037	Hijo mío, si los pecadores te atraen no lo consienten.
14010b0063	Si dicen: “Ven con nosotros. Acechemos la sangre. Acechemos en secreto a los inocentes sin causa.
14010c004d	Que se los trague vivos como el Seol, y entero, como los que bajan a la fosa.
14010d004f	Encontraremos toda la riqueza valiosa. Llenaremos nuestras casas con el botín.
14010e0041	Echarán su suerte entre nosotros. Todos tendremos un bolso”—
14010f0051	hijo mío, no camines por el camino con ellos. Mantén tu pie fuera de su camino,
1401100044	porque sus pies corren hacia el mal. Se apresuran a derramar sangre.
140111003c	Porque la red se tiende en vano a la vista de cualquier ave;
140112004e	pero estos acechan su propia sangre. Acechan en secreto por sus propias vidas.
140113005c	Así son los caminos de todo aquel que tiene afán de lucro. Le quita la vida a sus dueños.
140114005b	La sabiduría llama en voz alta en la calle. Ella pronuncia su voz en las plazas públicas.
140115006c	Llama a la cabeza de los lugares ruidosos. A la entrada de las puertas de la ciudad, pronuncia sus palabras:
1401160093	“¿Hasta cuándo, simples, amaréis la sencillez? Cuánto tiempo se deleitarán los burladores en la burla, ¿y los tontos odian el conocimiento?
1401170066	Vuélvete ante mi reprimenda. Mira, derramaré mi espíritu sobre ti. Te daré a conocer mis palabras.
1401180054	Porque te he llamado y te has negado; He extendido mi mano y nadie me ha hecho caso;
140119004e	pero has ignorado todos mis consejos, y no quería ninguna de mis reprimendas;
14011a0051	Yo también me reiré de tu desastre. Me burlaré cuando la calamidad te alcance,
14011b0092	cuando la calamidad te alcanza como una tormenta, cuando tu desastre llega como un torbellino, cuando la angustia y la angustia se apoderan de ti.
14011c005e	Entonces me llamarán, pero no responderé. Me buscarán con ahínco, pero no me encontrarán,
14011d003f	porque odiaban el conocimiento, y no eligió el temor a Yahvé.
14011e0042	No querían ningún consejo mío. Despreciaron toda mi reprimenda.
14011f0054	Por eso comerán del fruto de su propio camino, y se llenan de sus propios esquemas.
1401200064	Porque la reincidencia de los simples los matará. La despreocupación de los tontos los destruirá.
1401210064	Pero el que me escuche habitará con seguridad, y estarán tranquilos, sin temor a sufrir daños”.
1402010053	Hijo mío, si recibes mis palabras, y guardad mis mandamientos en vuestro interior,
1402020052	para que vuelvas tu oído a la sabiduría, y aplica tu corazón a la comprensión;
140203004b	sí, si se llama al discernimiento, y levanta tu voz para que te entiendan;
1402040042	si la buscas como plata, y buscarla como a los tesoros escondidos;
140205004d	entonces entenderás el temor de Yahvé, y encontrar el conocimiento de Dios.
140206004f	Porque Yahvé da sabiduría. De su boca sale el conocimiento y la comprensión.
1402070061	Él acumula la sana sabiduría para los rectos. Es un escudo para los que caminan con integridad,
1402080050	para que guarde los caminos de la justicia, y preservar el camino de sus santos.
140209004e	Entonces entenderás la rectitud y la justicia, la equidad y todo buen camino.
14020a005b	Porque la sabiduría entrará en tu corazón. El conocimiento será agradable para tu alma.
14020b003d	La discreción velará por ti. La comprensión te mantendrá,
14020c004c	para librarte del camino del mal, de los hombres que hablan cosas perversas,
14020d0055	que abandonan los caminos de la rectitud, para andar por los caminos de la oscuridad,
14020e0048	que se alegran de hacer el mal, y se deleitan en la perversidad del mal,
14020f003f	que son torcidos en sus caminos, y descarriados en sus caminos,
1402100059	para librarte de la mujer extraña, incluso de la extranjera que halaga con sus palabras,
1402110043	que abandona al amigo de su juventud, y olvida el pacto de su Dios;
1402120045	por su casa lleva a la muerte, sus caminos a los espíritus difuntos.
140213004a	Ninguno de los que van a ella regresa, ni alcanzan los caminos de la vida.
140214005d	Por lo tanto, camina por el camino de los hombres buenos, y guarda los caminos de los justos.
1402150048	Porque los rectos habitarán la tierra. Lo perfecto permanecerá en él.
140216005d	Pero los malvados serán eliminados de la tierra. Los traidores serán desarraigados de ella.
1403010054	Hijo mío, no olvides mis enseñanzas, pero que tu corazón guarde mis mandamientos,
1403020048	porque te añadirán la duración de los días, años de vida, y la paz.
1403030078	No dejes que la bondad y la verdad te abandonen. Átalos alrededor de tu cuello. Escríbelos en la tabla de tu corazón.
1403040049	Así encontrarás el favor, y buen entendimiento ante Dios y los hombres.
1403050052	Confía en Yahvé con todo tu corazón, y no te apoyes en tu propio entendimiento.
1403060040	Reconócelo en todos tus caminos, y él enderezará tus caminos.
1403070045	No seas sabio en tus propios ojos. Teme a Yahvé y apártate del mal.
1403080037	Será salud para tu cuerpo, y alimento para tus huesos.
1403090049	Honra a Yahvé con tu sustancia, con las primicias de todo su incremento;
14030a0054	para que tus graneros se llenen de abundancia, y sus cubas rebosarán de vino nuevo.
14030b0051	Hijo mío, no desprecies la disciplina de Yahvé, ni te canses de su corrección;
14030c005a	porque al que ama Yahvé, lo corrige, como un padre reprende al hijo en el que se deleita.
14030d0057	Feliz es el hombre que encuentra la sabiduría, el hombre que consigue la comprensión.
14030e0061	Para ella es mejor la ganancia que la obtención de plata, y su retorno es mejor que el oro fino.
14030f0069	Ella es más preciosa que los rubíes. Ninguna de las cosas que puedes desear se puede comparar con ella.
140310005e	La duración de los días está en su mano derecha. En su mano izquierda hay riquezas y honor.
1403110040	Sus caminos son caminos de placer. Todos sus caminos son la paz.
140312005d	Ella es un árbol de vida para los que se aferran a ella. Feliz es todo aquel que la retiene.
140313005e	Por la sabiduría, Yahvé fundó la tierra. Mediante el entendimiento, estableció los cielos.
1403140057	Por su conocimiento, las profundidades se rompieron, y los cielos dejan caer el rocío.
140315004f	Hijo mío, que no se aparten de tus ojos. Mantén la sensatez y la discreción,
1403160038	así serán la vida de tu alma, y gracia para tu cuello.
1403170042	Entonces, seguirás tu camino con seguridad. Tu pie no tropezará.
1403180052	Cuando te acuestes, no tendrás miedo. Sí, te acostarás y tu sueño será dulce.
1403190059	No tengas miedo del miedo repentino, ni de la desolación de los malvados, cuando llegue;
14031a0041	porque Yahvé será tu confianza, y evitará que te cojan el pie.
14031b0055	No niegues el bien a quien se lo merece, cuando está en el poder de tu mano hacerlo.
14031c0060	No digas a tu prójimo: “Vete y vuelve”; mañana te lo daré”. cuando lo tengas a tu lado.
14031d0050	No trates de hacer el mal a tu prójimo, ya que habita con seguridad junto a ti.
14031e0047	No te pelees con un hombre sin motivo, si no te ha hecho ningún daño.
14031f0041	No envidies al hombre violento. No elijas ninguno de sus caminos.
1403200056	Porque el perverso es una abominación para Yahvé, pero su amistad es con los rectos.
140321005f	La maldición de Yahvé está en la casa de los malvados, pero bendice la morada de los justos.
1403220044	Seguramente se burla de los burlones, pero da gracia a los humildes.
1403230056	Los sabios heredarán la gloria, pero la vergüenza será la promoción de los tontos.
1404010058	Escuchad, hijos, la instrucción de un padre. Presta atención y conoce la comprensión;
140402003a	porque te doy un aprendizaje sólido. No abandones mi ley.
1404030047	Porque yo era hijo de mi padre, tierna y única a los ojos de mi madre.
140404005f	Me enseñó y me dijo: “Que tu corazón retenga mis palabras. Guarda mis mandamientos y vive.
140405005d	Obtenga sabiduría. Compréndelo. No lo olvides, y no te desvíes de las palabras de mi boca.
1404060045	No la abandones, y ella te preservará. Ámala, y ella te mantendrá.
140407006b	La sabiduría es suprema. Consigue sabiduría. Sí, aunque te cueste todas tus posesiones, sé comprensivo.
140408004c	Estimadla, y ella os exaltará. Ella te llevará al honor cuando la abraces.
1404090059	Ella dará a tu cabeza una guirnalda de gracia. Te entregará una corona de esplendor”.
14040a004e	Escucha, hijo mío, y recibe mis palabras. Los años de tu vida serán muchos.
14040b004c	Te he enseñado el camino de la sabiduría. Te he guiado por caminos rectos.
14040c0053	Cuando vayas, tus pasos no se verán obstaculizados. Cuando corras, no tropezarás.
14040d0058	Agarra firmemente la instrucción. No la dejes ir. Quédate con ella, porque es tu vida.
14040e0050	No entres en el camino de los malvados. No sigas el camino de los hombres malos.
14040f003f	Evítalo y no pases de largo. Apártate de él y pasa de largo.
140410005f	Porque no duermen si no hacen el mal. Se les quita el sueño, a menos que hagan caer a alguien.
1404110041	Porque comen el pan de la maldad y beber el vino de la violencia.
1404120067	Pero el camino de los justos es como la luz del amanecer que brilla más y más hasta el día perfecto.
140413004c	El camino de los malvados es como la oscuridad. No saben con qué tropiezan.
1404140042	Hijo mío, atiende a mis palabras. Poned el oído en mis palabras.
1404150048	Que no se aparten de tus ojos. Manténgalos en el centro de su corazón.
1404160049	Porque son la vida para los que las encuentran, y salud a todo su cuerpo.
1404170055	Guarda tu corazón con toda diligencia, porque de ella brota el manantial de la vida.
1404180046	Aparta de ti la boca perversa. Poner los labios corruptos lejos de ti.
140419004d	Deja que tus ojos miren al frente. Fija tu mirada directamente delante de ti.
14041a004e	Haz que el camino de tus pies sea llano. Que se establezcan todos sus caminos.
14041b0044	No te vuelvas a la derecha ni a la izquierda. Retira tu pie del mal.
1405010050	Hijo mío, presta atención a mi sabiduría. Poner el oído en mi entendimiento,
1405020051	que pueda mantener la discreción, para que tus labios conserven el conocimiento.
1405030054	Porque los labios de una adúltera gotean miel. Su boca es más suave que el aceite,
1405040057	pero al final es tan amarga como el ajenjo, y tan afilado como una espada de dos filos.
1405050044	Sus pies bajan a la muerte. Sus pasos conducen directamente al Seol.
1405060052	No piensa en el camino de la vida. Sus caminos están torcidos, y ella no lo sabe.
140507004f	Ahora, pues, hijos míos, escuchadme. No te apartes de las palabras de mi boca.
1405080045	Quita tu camino lejos de ella. No te acerques a la puerta de su casa,
1405090039	para que no des tu honor a otros, y tus años a la cruel;
14050a0065	para que los extraños no se den un festín con tu riqueza, y tus labores enriquecen la casa de otro.
14050b0046	Gemirás al final de tu vida, cuando tu carne y tu cuerpo se consuman,
14050c0055	y decir: “Cómo he odiado la instrucción, y mi corazón despreció la reprensión.
14050d0059	No he obedecido la voz de mis maestros, ni he prestado oídos a los que me han instruido.
14050e0044	He llegado al borde de la ruina total, entre la asamblea reunida”.
14050f0042	Bebe agua de tu propia cisterna, agua corriente de su propio pozo.
140510005c	Si tus manantiales se desbordan en las calles, ¿corrientes de agua en las plazas públicas?
1405110038	Que sean sólo para ti, no para los extraños con usted.
1405120044	Que se bendiga tu primavera. Alégrate con la esposa de tu juventud.
1405130086	Una cierva cariñosa y un ciervo elegante — deja que sus pechos te satisfagan en todo momento. Déjate cautivar siempre por su amor.
1405140062	¿Por qué, hijo mío, has de ser cautivado por una adúltera? ¿Por qué abrazar el seno de otro?
1405150058	Porque los caminos del hombre están ante los ojos de Yahvé. Examina todos sus caminos.
140516005e	Las malas acciones de los malvados lo atrapan. Las cuerdas de su pecado lo sujetan firmemente.
140517004f	Morirá por falta de instrucción. En la grandeza de su locura, se extraviará.
1406010071	Hijo mío, si te has convertido en garantía de tu prójimo, si has golpeado tus manos en prenda por un extraño,
1406020059	estás atrapado por las palabras de tu boca; estás atrapado con las palabras de tu boca.
1406030082	Hazlo ahora, hijo mío, y líbrate, ya que has llegado a la mano de tu vecino. Ve, humíllate. Presiona tu súplica con tu vecino.
140604003a	No le des sueño a tus ojos, ni el sueño a sus párpados.
140605005c	Libérate, como una gacela de la mano del cazador, como un pájaro de la trampa del cazador.
140606003d	Ve a la hormiga, perezoso. Considera sus formas, y sé sabio;
140607002c	que no tienen jefe, supervisor o gobernante,
1406080047	le proporciona el pan en el verano, y recoge su alimento en la cosecha.
140609004f	¿Cuánto tiempo vas a dormir, perezoso? ¿Cuándo te levantarás de tu sueño?
14060a0055	Un poco de sueño, un poco de sopor, un pequeño pliegue de las manos para dormir —
14060b004d	así que tu pobreza vendrá como un ladrón, y su escasez como hombre armado.
14060c0053	Una persona sin valor, un hombre de iniquidad, es el que anda con la boca perversa,
14060d0053	que guiña los ojos, que hace señales con los pies, que hace gestos con los dedos,
14060e0062	en cuyo corazón hay perversidad, que urde el mal continuamente, que siempre siembra la discordia.
14060f0059	Por lo tanto, su calamidad vendrá de repente. Se romperá de repente, y eso sin remedio.
140610004d	Hay seis cosas que Yahvé odia; sí, siete que son una abominación para él:
140611004a	ojos arrogantes, una lengua mentirosa, manos que derraman sangre inocente,
1406120056	un corazón que urde planes perversos, pies que son rápidos en correr a la travesura,
1406130051	un testigo falso que dice mentiras, y el que siembra la discordia entre hermanos.
1406140059	Hijo mío, cumple el mandamiento de tu padre, y no abandones las enseñanzas de tu madre.
1406150045	Átalas continuamente en tu corazón. Átalos alrededor de tu cuello.
1406160061	Cuando camines, te guiará. Cuando duermas, te vigilará. Cuando te despiertes, hablará contigo.
1406170072	Porque el mandamiento es una lámpara, y la ley es ligera. Los reproches de instrucción son el camino de la vida,
1406180055	para alejarte de la mujer inmoral, de los halagos de la lengua de la esposa díscola.
1406190051	No codicies su belleza en tu corazón, ni dejar que te cautive con sus párpados.
14061a0056	Porque una prostituta te reduce a un trozo de pan. La adúltera caza tu preciosa vida.
14061b004b	¿Puede un hombre recoger fuego en su regazo, y sus ropas no sean quemadas?
14061c003d	O se puede caminar sobre las brasas, y sus pies no se quemen?
14061d0056	Así es el que se acerca a la mujer de su prójimo. Quien la toque no quedará impune.
14061e0053	Los hombres no desprecian al ladrón si roba para satisfacerse cuando tiene hambre,
14061f0059	pero si se le encuentra, deberá restituir siete veces. Dará toda la riqueza de su casa.
140620006b	El que comete adulterio con una mujer está vacío de entendimiento. Quien lo hace destruye su propia alma.
140621003b	Recibirá heridas y deshonra. Su reproche no será borrado.
1406220059	Porque los celos despiertan la furia del marido. No perdonará en el día de la venganza.
