2800000008	מתיו
2b14180060	תומא התאום, אחד משנים־עשר התלמידים, נעדר מאותה אסיפה.
2b141900d2	כשסיפרו לו התלמידים שראו את האדון, תומא לא האמין.”לא אאמין בכך עד שאראה את נקבי המסמרים שבידיו ואגע בהם ובצדו“, אמר.
2b141a00ea	כעבור שמונה ימים שוב התכנסו התלמידים, והפעם היה תומא ביניהם. גם הפעם היו הדלתות נעולות. לפתע שוב עמד ישוע ביניהם וקרא:”שלום לכם!“
2b141b0090	ישוע פנה אל תומא ואמר:”גע בידי ובצד גופי, ואל תהיה יותר חסר־אמונה, כי אם תאמין!“
2b141c0033	”אדוני ואלוהי!“קרא לו תומא.
2b141d00a3	ישוע המשיך לדבר אליו:”אתה מאמין משום שראית אותי, אולם ברוכים המאמינים על אף שאינם רואים.“
2b141e006f	ישוע חולל עוד ניסים רבים לעיני תלמידיו אך הם לא נכתבו בספר זה.
2b141f00ac	הניסים בספר זה נכתבו כדי שתאמינו כי הוא המשיח בן־האלוהים, וכדי שעל־ידי אמונתכם בו תחיו חיי נצח.
2b1501007e	כעבור זמן מה שוב נראה ישוע אל תלמידיו, הפעם ליד הכינרת, וכך התרחש הדבר:
2b15020095	שמעון פטרוס, תומא התאום, נתנאל מכפר קנה שבגליל, בני זבדי, ועוד שניים אחרים היו ביחד.
2b150300c3	”אני הולך לדוג“, אמר שמעון פטרוס.”גם אנחנו באים“, אמרו האחרים. הם עלו לסירה, אולם לא לכדו דבר במשך כל הלילה.
2b15040068	עם זריחת החמה ראו מישהו על החוף, אך לא ידעו שישוע היה האיש.
2b15050052	”בני, האם לכדתם משהו?“שאל.”לא!“השיבו פה אחד.
2b15060109	”אם תשליכו את הרשת לימין הסירה תלכדו דגים רבים“, אמר ישוע. הם עשו כדבריו, ודגים רבים כל־כך נלכדו ברשת, עד שלא היה להם כוח להעלות את הרשת חזרה לסירה.
2b150700cc	התלמיד שהיה אהוב על ישוע אמר לפטרוס:”זהו האדון!“כאשר שמע פטרוס את דבריו, לבש את חולצתו שהסיר קודם לכן, וקפץ למים.
2b1508008f	ואילו יתר התלמידים הפליגו לחוף שהיה במרחק מאה מטר בערך, ואיתם הרשת המלאה בדגים.
2b1509005d	כשעלו לחוף ראו מדורה שעליה נצלים דגים, ובצד היה לחם.
2b150a0045	”הביאו כמה מהדגים שלכדתם“, ביקש ישוע.
2b150b00bc	שמעון פטרוס משך את הרשת ליבשה, וכאשר ספר את השלל הוא מנה 153 דגים גדולים. למרות מספרם ומשקלם לא נקרעה הרשת!
2b150c00bf	”בואו, איכלו ארוחת בוקר“, הזמינם ישוע. איש מהם לא העז לשאול אותו אם הוא באמת האדון, כי כולם היו בטוחים בכך.
2b150d0034	ישוע הגיש להם את הלחם והדגים.
2b150e006b	זאת הייתה הפעם השלישית שבה נגלה אליהם ישוע לאחר שקם מהמתים.
2b150f012a	לאחר ארוחת הבוקר שאל ישוע את שמעון פטרוס:”שמעון בן־יונה, האם אתה אוהב אותי יותר מכל אלה?“”כן, “השיב פטרוס,”אתה יודע שאני אוהב אותך.“”אם כן, רעה את טלאי“, אמר ישוע.
2b15100104	ישוע שאל אותו שנית:”שמעון בן־יונה, האם אתה באמת אוהב אותי?“”כן, אדוני, אתה יודע שאני אוהב אותך“, השיב פטרוס שנית.”אם כן, נהג את צאני“, אמר ישוע.
2b15110151	ישוע שאל פעם שלישית:”שמעון בן־יונה, האם אתה באמת אוהב אותי?“פטרוס נעצב משאלתו החוזרת של ישוע ואמר:”אדוני, הכול אתה יודע. אתה יודע שאני אוהב אותך.“”אם כן, רעה את צאני“, חזר ישוע על בקשתו.
2b15120105	”כשהיית צעיר יכולת לעשות כרצונך וללכת לאן שרצית. אולם כאשר תזדקן תושיט את ידיך – אנשים אחרים ילבישוך ויובילוך לאן שהם ירצו, ולא לאן שאתה תרצה.“
2b151300d8	ישוע אמר לו דברים אלה כדי להכינו לקראת צורת מותו בעתיד, שבו יכבד את האלוהים. כאשר סיים ישוע לדבר, אמר לפטרוס:”בוא אחרי.“
2b151400e3	פטרוס הביט לאחור וראה שגם התלמיד האהוב על ישוע הולך אחריהם – אותו תלמיד שישב ליד ישוע בסעודה האחרונה ושאל מי מהם עמד להסגירו.
2b1515003b	”מה בקשר אליו, אדוני?“שאל פטרוס.
2b15160082	ישוע השיב:”אם אני רוצה שהוא יישאר בחיים עד בואי, מה זה לך? בוא אתה אחרי.“
2b151700fb	משום כך התפשטה השמועה בין האחים שהתלמיד הזה לא ימות. אבל למעשה ישוע כלל לא אמר זאת; הוא אמר:”אם אני רוצה שהוא יישאר בחיים עד בואי, מה זה לך?“
2b1518009a	זהו התלמיד שראה את כל ההתרחשויות האלה, העיד עליהן, וכתב אותן. כולנו יודעים שעדותו אמת.
2b151900a5	ישוע חולל עוד מעשים נפלאים רבים, אך העולם כולו צר מלהכיל את כל הספרים שהיה אפשר לכתוב עליהם.
2c0000002b	מַעֲשֵׂי הַשְּׁלִיחִים
2c0101010f	תאופילוס היקר, במכתבי הראשון סיפרתי לך על חייו, מעשיו ותורתו של ישוע המשיח, וכיצד עלה לשמים, לאחר שנתן לשליחיו הנבחרים הוראות נוספות בגבורת רוח הקודש.
2c0103010b	במשך ארבעים יום לאחר צליבתו נגלה ישוע אל השליחים פעמים אחדות, והוכיח להם בדרכים שונות שהוא אכן חי. בהזדמנויות אלה הוא גם שוחח איתם על מלכות האלוהים.
2c010400fd	באחת הפגישות האלה הורה ישוע לתלמידיו שלא יעזבו את ירושלים עד שיבוא עליהם רוח הקודש, כפי שהבטיח להם האב. ישוע שוחח איתם על כך פעמים רבות בעבר.
2c01050097	”יוחנן הטביל אתכם במים, “הזכיר להם ישוע,”אולם בעוד ימים אחדים תיטבלו ברוח הקודש!“
2c01060097	כשנגלה אליהם ישוע בפעם אחרת, שאלו אותו:”אדון, האם אתה עומד להשיב את המלכות לישראל?“
2c01070075	”האב הוא הקובע תאריכים אלה, “ענה ישוע,”ואינכם צריכים לדעת אותם.
2c010800b6	אולם כשרוח הקודש יצלח עליכם, תקבלו כוח וסמכות להיות עדים לי בירושלים, ביהודה ושומרון ועד קצה העולם.“
2c0109006f	זמן קצר לאחר מכן עלה ישוע לשמים לעיני תלמידיו, ונעלם בתוך ענן.
2c010a00b4	בעוד התלמידים מאמצים את עיניהם כדי לזכות במבט נוסף, עמדו ביניהם לפתע שני אנשים לבושים גלימות לבנות,
2c010b00ca	ואמרו:”אנשי הגליל, מדוע אתם עומדים ומביטים לשמים? ישוע אמנם עלה לשמים, אך יום אחד הוא יחזור בדיוק כפי שהלך מכם!“
2c010c0093	כשקרה הדבר הזה הם היו בהר־הזיתים, ועתה חזרו ברגל לירושלים (מרחק של פחות מקילומטר).
2c010d01bb	כשהגיעו העירה, הם התאספו לתפילה בחדר העלייה שבו גרו. באסיפה זאת נכחו האנשים הבאים: פטרוס, יוחנן ויעקב, ‎אַנְדְּרֵי, פיליפוס, תומא, בר־תלמי, מתתיהו, יעקב בן־חלפי, שמעון מהקנאים, יהודה בן־יעקב ואחיו של ישוע. היו שם גם נשים אחדות, וביניהן אמו של ישוע.
2c010f009b	אסיפת התפילה נמשכה ימים אחדים, ויום אחד, כשנכחו שם מאה ועשרים איש, קם שמעון פטרוס ואמר:
2c011000fb	”אחים, נבואות התנ״ך צריכות היו להתקיים בנוגע ליהודה, אשר בגד בישוע והוביל אליו את ההמון, שהרי רוח הקודש דיבר על כך לפני זמן רב בפי דוד המלך.
2c01110061	יהודה היה אחד מאיתנו; הוא נבחר בדיוק כמונו להיות שליח.
2c011200c8	בכסף שקיבל תמורת הבגידה הוא קנה לעצמו שדה, ושם מצא את מותו – הוא נפל ארצה על פניו, בטנו נבקעה ומעיו נשפכו החוצה.
2c011300cb	הידיעה על מותו התפשטה במהירות בין כל תושבי ירושלים, והם מכנים את המקום ההוא בשפתם’חקל דמא‘, שפירושו’שדה־הדם‘.
2c011400d8	דוד המלך ניבא על כך בתהלים, ואמר שביתו יהיה שומם ושאיש לא יישב בו. ובמקום אחר אמר דוד שתפקידו (של יהודה) יינתן למישהו אחר.
2c01150176	”משום כך עלינו לבחור במישהו אחר, אשר ימלא את מקומו של יהודה, ויצטרף אלינו בעדותנו על תחייתו של ישוע אדוננו. הבה נבחר באדם שהיה איתנו מאז הימים הראשונים – מאז שישוע נטבל על־ידי יוחנן ועד שנלקח מאיתנו לשמים.“
2c01170074	הנאספים נקבו בשני שמות: יוסף יוסטוס (שנקרא גם”בר־שבא“) ומתתיהו.
2c01180125	לאחר מכן התפללו כולם וביקשו שייבחר האדם הנכון.”אלוהים, “התפללו,”אתה המכיר כל לב, הראה נא לנו במי מהשניים בחרת למלא את מקומו של יהודה הבוגד, שהלך למקום הראוי לו!“
2c011a00c6	הם הפילו גורל כדי לבחור בין שני המועמדים, ושמו של מתתיהו עלה בגורל. באותו יום הצטרף מתתיהו אל אחד־עשר השליחים.
2c020100bf	שבעה שבועות חלפו מאז מותו של ישוע ותחייתו מן המתים, ויום חג השבועות הגיע. כשהתאספו המאמינים יחד באותו יום,
2c02020070	נשמע לפתע קול סערה גדולה מן השמים, והרעש מילא את הבית שבו ישבו.
2c02030066	הנוכחים ראו מעין לשונות אש קטנות יורדות ונחות על ראשיהם,
2c020400ab	וכל אחד מהם נמלא ברוח הקודש והחל לדבר בשפה שלא הייתה מוכרת לו, כי רוח הקודש העניק להם יכולת זאת.
2c02050063	הרבה יהודים אדוקים מארצות שונות עלו לירושלים לרגל החג,
2c020600d6	ובשמעם את רעש הסערה מעל הבית ההוא, מיהרו אל המקום כדי לראות מה קרה. לתדהמתם הרבה כל אחד שמע את התלמידים מדברים בשפה שלו.
2c02070078	”כיצד ייתכן הדבר?“שאלו עולי־הרגל.”הלא כל האנשים האלה גרים בגליל!
2c0208005c	כיצד הם יכולים לדבר בשפות המדוברות בארצות מולדתנו?
2c02090099	הרי אנחנו פרתיים, מדיים, עילמיים, אנשי ארם־נהריים, יהודה, קפודקיה, פונטוס, אסיה הקטנה;
2c020a0089	פריגיה, פמפוליה, מצרים; יש בינינו אנשים מהאזורים שליד קוריניה שבלוב, ומרומא;
2c020b00c9	יהודים וגרים, כרתים וערבים – וכל אחד מאיתנו שומע בשפתו כיצד אנשים אלה מספרים על מעשיו של אלוהים ועל נפלאותיו!“
2c020c0075	כולם עמדו שם נבוכים ומבולבלים.”מה פירושו של הדבר?“שאלו זה את זה.
2c020d005c	אולם בקרב הקהל היו גם כאלה שלעגו:”הם סתם שיכורים!“
2c020e00bb	שמעון פטרוס צעד קדימה, יחד עם אחד־עשר השליחים, ופנה אל ההמון:”תושבי ירושלים ואורחיה, הקשיבו היטב לדברי.
2c020f00c5	אחדים מכם טוענים שאנשים אלה שיכורים, אבל דעו לכם שהם אינם שיכורים! בני־אדם אינם נוהגים להשתכר בשעה תשע בבוקר!
2c02100080	מה שאתם רואים כאן הבוקר כבר נובא לפני שנים רבות בפי יואל הנביא, אשר אמר:
2c021100e8	’והיה אחרי כן (באחרית הימים), אמר אלוהים, אשפוך את רוחי על כל בשר. ונבאו בניכם ובנותיכם, זקניכם חלמות יחלמון, בחוריכם חזינות יראו.
2c0212005a	וגם על העבדים ועל השפחות בימים ההמה אשפוך את רוחי.
2c02130054	ונתתי מופתים בשמים ובארץ – דם ואש ותימרות עשן.
2c02140067	השמש יהפך לחשך, והירח – לדם, לפני בוא יום ה׳ הגדול והנורא.
2c02150036	והיה כל אשר יקרא בשם ה׳ ימלט!‘
2c0216013e	”אנשי ישראל, הקשיבו!“המשיך פטרוס.”אלוהים אישר בפומבי שישוע המשיח אכן שליח משמים, באמצעות הניסים והנפלאות שחולל על־ידו, ואתם יודעים זאת היטב, שהרי הניסים והנפלאות נעשו אצלכם.
2c021700c1	אולם אלוהים, שפעל לפי תוכניתו הערוכה מראש, הרשה לכם להסגיר את ישוע לידי הרומאים, כדי שיוקיעו אותו ויהרגוהו.
2c02180092	ואז אלוהים שחרר אותו מייסורי המוות והחזירו לחיים, כי המוות לא יכול היה להחזיק בו!
2c0219007d	”דוד המלך דיבר על ישוע כשאמר:’שויתי ה׳ לנגדי תמיד, כי מימיני בל אמוט.
2c021a004a	לכן שמח לבי ויגל כבודי, אף בשרי ישכן לבטח,
2c021b0051	כי לא תעזב נפשי לשאול; לא תתן חסידך לראות שחת.
2c021c0047	תודיעני ארחות חיים, שבע שמחות את פניך‘.
2c021d00e2	”אחים יקרים, חשבו נא! הרי דוד לא התכוון לעצמו כשאמר את הדברים שציטטתי זה עתה, שהרי הוא מת ונקבר, וקברו נמצא בעירנו עד היום הזה.
2c021e00ae	אולם דוד היה נביא, ועל כן ידע היטב שה׳ הבטיח, בשבועה נצחית, שאחד מצאצאיו יהיה המשיח ויישב על כסאו.
2c021f00af	דוד חזה את העתיד הרחוק וניבא את תחייתו של המשיח, באמרו שנפש המשיח לא תישאר בשאול, ושגופו לא יירקב.
2c0220008d	הוא דיבר על המשיח, וכולנו עדים לכך שישוע זה, שעליו אנו מדברים, באמת קם מן המתים.
2c022100f0	”עתה יושב ישוע בשמים לימין האלוהים, וכפי שהובטח העניק לו אלוהים את הסמכות לשלוח את רוח הקודש, אשר גרם לכל מה שאתם רואים ושומעים היום.
2c022200e5	”לא, דוד לא התייחס אל עצמו בדברים שאמר, שהרי הוא מעולם לא עלה לשמים. מלבד זאת, דוד הוסיף ואמר במקום אחר:’נאם ה׳ לאדני, שב לימיני,
2c02230032	עד אשית אויביך הדם לרגליך‘.
2c022400a9	”משום כך אני קורא אל בית ישראל: דעו לכם שאלוהים הפקיד את ישוע, אשר צלבתם, להיות האדון והמשיח!“
2c022500ab	דבריו של פטרוס נגעו ללב השומעים, והם פנו אליו ואל השליחים האחרים בשאלה:”אחים, מה עלינו לעשות?“
2c022600c8	”עליכם לחזור בתשובה ולהיטבל בשם ישוע המשיח, כדי שייסלחו לכם חטאיכם“, השיב פטרוס.”ואז תקבלו את מתנת רוח הקודש.
2c0227009f	כי ה׳ הבטיח לתת את רוח הקודש לכל מי שיקרא בשם ה׳ אלוהינו, וגם לבניו – לרחוקים ולקרובים.“
2c0228009c	פטרוס המשיך לספר להם על ישוע, והפציר בכל מאזיניו לחזור בתשובה ולהינצל מהדור הסורר הזה.
2c02290071	כשלושת אלפים איש האמינו באותו יום לדבריו של פטרוס ונטבלו במים.
2c022a00d8	הם הצטרפו אל יתר המאמינים, והשתתפו בקביעות בשיעוריהם של השליחים, בבציעת הלחם (כמצוות ישוע לזיכרון מותו) ובאסיפות תפילה.
2c022b007e	הניסים והנפלאות הרבים שחוללו השליחים מלאו את כולם יראת־כבוד לאלוהים.
2c022c0071	כל המאמינים התמידו להתאסף יחד, וחילקו ביניהם את כל מה שהיה להם.
2c022d0052	הם מכרו את כל רכושם, והתחלקו בכספם עם הנצרכים.
2c022e00c8	מדי יום הם השתחוו יחד בבית־המקדש, נפגשו בבתיהם בקבוצות, לשם התחברות, ואכלו יחד את ארוחותיהם בשמחה ובהכרת־תודה.
2c022f008d	הם הללו את אלוהים, והם מצאו־חן בעיני כל העם. מדי יום הוסיף להם ה׳ את אלה שנושעו.
2c03010085	יום אחד, בשעה שלוש אחר־הצהריים, הלכו פטרוס ויוחנן לתפילת מנחה בבית־המקדש.
2c030200c3	כשהגיעו אל המקדש, ראו אדם שהיה פיסח מלידה, יושב ליד השער הנקרא”המהודר“. הוא הובא לשם מדי יום כדי לקבץ נדבות.
2c03030059	כאשר עברו פטרוס ויוחנן לידו, הוא ביקש נדבה גם מהם.
2c0304005d	השניים נעצו באיש מבט נוקב, ופטרוס אמר לו:”הבט אלי!“
2c03050050	הפיסח הרים את עיניו בתקווה לקבל תרומה נדיבה.
2c0306008f	אך פטרוס אמר:”כסף אין לי, אולם אתן לך את מה שיש לי; בשם ישוע המשיח מנצרת, התהלך!“
2c03070141	פטרוס אחז בידו של הפיסח והעמידו על רגליו. באותו רגע נרפאו רגלי האיש וקרסוליו התחזקו, הוא קפץ על רגליו והחל ללכת! האיש הלך איתם לבית־המקדש, כשהוא משבח את האלוהים, מקפץ ומדלג בשמחה.
2c0309005f	באי בית־המקדש, שראוהו הולך ומדלג, ושמעוהו מהלל את ה׳,
2c030a0069	הכירו את הקבצן הפיסח שנהגו לראות בשער המקדש, והופתעו מאוד.
2c030b0099	כולם מיהרו לצאת לאולם שלמה כדי לראות את הפלא, ואילו הקבצן נצמד בחזקה אל פטרוס ויוחנן.
2c030c0100	פטרוס ניצל את ההזדמנות ופנה אל העם:”אנשי ישראל, מדוע אתם מופתעים כל־כך? מדוע אתם מביטים בנו כאילו שבכוחנו ובקדושתנו אנו אפשרנו לאיש הזה ללכת?
2c030d0132	אלוהי אברהם, יצחק ויעקב – אלוהי אבותינו – הוא שהביא כבוד ותפארת לשם עבדו ישוע באמצעות הנס שחולל. כן, אני מתכוון לאותו ישוע שמסרתם לרומאים, ושדחיתם את הצעת פילטוס לשחררו.
2c030e007c	סירבתם לשחרר את הקדוש והצדיק הזה, ודרשתם שפיליטוס ישחרר במקומו רוצח!
2c030f00d5	וכך הרגתם את שר החיים; אך אלוהים הקימו מן המתים. יוחנן ואני עדים לעובדה זאת, כי לאחר שהרגתם את ישוע ראינו אותו חי וקיים.
2c031000d4	”האמונה בשמו של ישוע היא שריפאה אדם זה שכולכם הכרתם כפיסח. האמונה בישוע – שניתנה לנו מאלוהים – היא שריפאה אותו כליל!
2c0311009c	”אחים יקרים, אני יודע שכל מה שעשיתם אתם ומנהיגיכם לישוע, עשיתם מתוך בורות וחוסר ידיעה.
2c03120068	אולם כך קיים אלוהים את הנבואות האומרות שהמשיח חייב לסבול.
2c031300d7	לכן חזרו בתשובה והאמינו באלוהים, כדי שיסלח לחטאיכם, ייתן לכם ימי שגשוג ורווחה, ויחזיר לכם את המשיח המיועד – ישוע המשיח.
2c0315009b	כי המשיח צריך להישאר בשמים, עד שתגיע העת להשלים את הכול, כפי שאמרו הנביאים לפני זמן רב.
2c031600bc	משה רבנו אמר:’נביא מקרבכם – מאחיכם – כמוני, יקים לכם ה׳ אלוהיכם, אליו תשמעון‘; הקשיבו לדבריו בכובד ראש!
2c0317004b	כי מי שלא ישמע בקולו ייענש חמורות בידי ה׳!
2c03180066	”גם שמואל וכל הנביאים שקמו אחריו דברו על מה שמתרחש היום.
2c03190142	אתם הצאצאים של אותם הנביאים, וגם אתם כלולים באותה הברית שכרת ה׳ עם אבותיכם, שבה הבטיח לברך את העולם כולו באמצעות עם ישראל. הרי ה׳ הבטיח לאברהם אבינו:’והתברכו בזרעך כל גויי הארץ‘.
2c031a00c3	וכאשר הקים אלוהים את עבדו ישוע מן המתים, הוא שלח אותו קודם כל אליכם, בני ישראל, כדי לברך אתכם שתחזרו בתשובה.“
2c040100c4	בשעה שפטרוס ויוחנן דברו אל העם, ניגשו אליהם בכעס הכוהנים, הקצין הממונה על משמר בית־המקדש וכן אחדים מהצדוקים,
2c04020098	מכיוון שהשניים לימדו את העם שישוע המשיח קם לתחייה, וכך הוכיחו שאכן תהיה תחיית המתים.
2c04030087	הם תפסו את פטרוס ויוחנן, ומאחר שכבר ירד הערב, הכניסו אותם לכלא עד יום המחרת.
2c040400a2	אולם רבים מאלה שהאזינו לפטרוס האמינו לדבריו, ומספר המאמינים במשיח הגיע ל־חמשת־אלפים איש.
2c040500ea	למחרת התכנסו מנהיגי העם בירושלים, כדי לערוך ישיבה עם חנן הכוהן הגדול, קייפא, יוחנן, אלכסנדר ועוד רבים מקרובי משפחתו של הכהן הגדול.
2c04070093	הם העמידו לפניהם את פטרוס ויוחנן, ושאלו אותם:”באיזה כוח ובאיזו סמכות עשיתם זאת?“
2c04080066	פטרוס שנמלא רוח הקודש, השיב:”מנהיגים וזקני־העם הנכבדים,
2c0409007f	אם אתם מתכוונים לטובה שעשינו לאיש הפיסח הזה, אשר קם על רגליו בריא ושלם,
2c040a0157	הרשו לי להצהיר בפניכם ולפני כל עם־ישראל: עשינו מה שעשינו בשמו ובכוחו של ישוע המשיח מנצרת. אתם אמנם צלבתם את ישוע, אולם אלוהים הקים אותו מן המתים! בשמו ובסמכותו עומד האיש הזה לפניכם בריא ושלם.
2c040b0081	ישוע המשיח הוא אבן הפינה אשר אתם, הבונים, מאסתם בה, ואשר הייתה לראש פינה.
2c040c00ab	איש מלבדו אינו יכול להושיע! ואין עוד שם תחת השמים אשר בני־האדם יכולים לקרוא אליו כדי להיוושע!“
2c040d010b	כשראו הדיינים את אומץ לבם של פטרוס ויוחנן, ונוכחו לדעת שהם אנשים פשוטים, לא משכילים ולא”מקצועיים“, התפלאו מאוד. הם זיהו אותם, שבעבר היו יחד עם ישוע.
2c040e0093	והדיינים לא יכלו להכחיש את עובדת ריפויו של הפיסח לשעבר, כי הוא עמד מולם בריא ושלם.
2c040f009c	הדיינים, אובדי־עצות, ציוו על פטרוס ויוחנן לצאת מאולם המשפט, כדי שיוכלו להתייעץ ביניהם.
2c041000b7	”מה נעשה בהם?“שאלו זה את זה.”איננו יכולים להכחיש שהם חוללו נס גדול, שהרי כל תושבי ירושלים שמעו על כך.
2c041100d9	אך אולי נוכל למנוע בעדם להמשיך להפיץ את התעמולה שלהם. נזהיר אותם שאם יעזו להמשיך להטיף בשם ישוע, נעניש אותם בחומרה רבה!“
2c0412007f	הם קראו לפטרוס ויוחנן לשוב לאולם, ודרשו מהם שלא לדבר שוב על ישוע לעולם.
2c04130096	אולם פטרוס ויוחנן השיבו:”החליטו אתם בעצמכם, האם אלוהים רוצה שנשמע לקולו או לקולכם?
2c04140096	איננו יכולים להפסיק לספר על כל אשר ישוע עשה לנגד עינינו, או על הדברים ששמענו מפיו!“
2c04150120	חברי הסנהדרין הוסיפו לגעור בהם ולאיים עליהם, אך לבסוף שחררו אותם, כי לא ידעו כיצד להענישם בלי לעורר מהומה בעם. שכן כל העם הלל את אלוהים על שחולל את הנס הנפלא הזה
2c04160048	וריפא את האדם שהיה פיסח במשך ארבעים שנה.
2c04170094	מיד לאחר שחרורם מיהרו פטרוס ויוחנן אל אחיהם המאמינים וסיפרו להם את דברי הסנהדרין.
2c041800a7	כששמעו המאמינים את הדבר, התפללו אל אלוהים בלב אחד:”אדוננו, בורא השמים, הארץ, הים וכל אשר בם –
2c041900c7	עוד לפני זמן רב דיברת באמצעות רוח הקודש, בפי דוד המלך שהוא עבדך ואבינו, ואמרת:’למה רגשו גוים, ולאומים יהגו ריק?
2c041a005d	יתיצבו מלכי ארץ ורוזנים נוסדו יחד על ה׳ ועל משיחו‘.
2c041b0106	”דבריך אלה התקיימו בעיר הזאת! שהרי המלך הורדוס ופונטיוס פילטוס כרתו ברית עם העמים השונים ועם בני־ישראל, וכולם יחד קמו נגד עבדך הקדוש ישוע המשיח.
2c041c005b	אולם הם עשו אך ורק את מה שבחוכמתך הרבה החלטת שיעשו.
2c041d006b	ועתה, ה׳, שמע נא את איומיהם, ותן לעבדיך אומץ־לב לבשר את דברך.
2c041e009b	שלח נא את כוחך המרפא, והנח לנו לחולל נסים ונפלאות רבים בשמו של עבדך הקדוש ישוע המשיח.“
2c041f00ac	לאחר שסיימו להתפלל הזדעזע הבית שבו ישבו. כולם נמלאו ברוח הקודש ובישרו את דבר ה׳ באומץ ובביטחון.
2c042000c1	כל המאמינים היו מאוחדים בלב אחד ובדעה אחת, ואיש לא התייחס אל אשר בידו כאל רכושו הפרטי; הכול היה משותף לכולם.
2c04210091	השליחים דיברו בכוח ובגבורה על תקומתו של האדון ישוע, ואלוהים ברך אותם בכל מעשיהם.
2c042200d3	לא היה ביניהם אף עני אחד, כי בעלי השדות ובעלי הבתים מכרו את נכסיהם ונתנו את הכסף לשליחים, כדי שיחלקו לאחרים לפי הצורך.
2c042400b2	היה ביניהם, למשל, אדם בשם יוסף (זה שהשליחים קראו לו”בר־נבא“או”בן־הנחמה“), משבט לוי, יליד קפריסין.
2c04250074	גם הוא מכר את השדה שלו, ואת הכסף הביא לשליחים כדי שיחלקו לנזקקים.
2c0501009e	אולם היה ביניהם גם אדם אחר בשם חנניה. הוא ואשתו ‎שַׁפִּירָה החליטו למכור את חלקת אדמתם.
2c050200e0	בהסכמת אשתו החביא חנניה חלק מהכסף שקיבל תמורת האדמה, ואת יתרת הסכום הביא אל השליחים, בהצהירו שזה כל הסכום שקיבל תמורת האדמה.
2c050300ab	”חנניה, “אמר לו פטרוס,”מדוע הנחת לשטן להשתלט על לבך? כשטענת שזהו הסכום כולו, שיקרת לרוח הקודש!
2c05040114	הרכוש היה שלך, והיית רשאי למכרו או להחזיק בו. גם לאחר שמכרת אותו היה מותר לך להחליט איזה חלק מהסכום לתת. כיצד יכולת לעשות דבר כזה? לא לנו שיקרת, כי אם לה׳!“
2c05050070	ברגע ששמע חנניה מילים אלה, צנח ארצה ומת. כל הנוכחים נבהלו מאוד.
2c0506006f	באו בחורים אחדים וכיסו אותו בסדין, הוציאוהו החוצה וקברו אותו.
2c05070078	כשלוש שעות לאחר מכן באה לשם אשתו של חנניה, בלי שידעה דבר על מה שקרה.
2c050800d2	”אמרי לי, “פנה אליה פטרוס,”האם מכרתם את אדמתכם במחיר כזה וכזה?“”כן, “ענתה שַׁפִּירָה,”במחיר הזה מכרנו את האדמה.“
2c05090126	”כיצד יכולתם, את ובעלך, אפילו להעלות על דעתכם לנסות את רוח ה׳?“קרא פטרוס.”מאחורי הדלת הזאת עומדים הבחורים שקברו זה עתה את בעלך, ובעוד רגע הם יישאו גם אותך החוצה!“
2c050a00c8	באותו רגע נפלה גם שַׁפִּירָה על הרצפה ומתה. כשנכנסו הצעירים וראו שהיא מתה, נשאו אותה החוצה וקברו אותה לצד בעלה.
2c050b0056	אימה גדולה נפלה על כל הקהל ועל כל מי ששמע מה קרה.
2c050c00c5	בינתיים המשיכו השליחים להתאסף בקביעות בבית־המקדש, באגף הנקרא”אולם שלמה“, וחוללו נסים ונפלאות לעיני כל העם.
2c050d008a	המאמינים האחרים לא העזו להצטרף אל השליחים, אך כולם התייחסו אליהם ביראת כבוד.
2c050e006a	ומספר הגברים והנשים שהאמינו באדון ישוע הלך וגדל מיום ליום.
2c050f009c	החולים הוצאו לרחובות על מיטות ומזרונים, כדי שייפול עליהם צילו של פטרוס בשעה שיעבור שם.
2c05100093	אנשים רבים מערי הסביבה נהרו לירושלים והביאו איתם חולים ואחוזי־שדים, וכולם נרפאו.
2c0511005c	הכהן הגדול וידידיו מבין הצדוקים הגיבו בזעם ובקנאה.
2c0512005a	הם תפסו את השליחים וכלאו אותם בבית־הסוהר העירוני.
2c0513007d	אולם באותו לילה בא מלאך ה׳, פתח את שערי הכלא, שלח אותם לחופשי ואמר להם:
2c0514006a	”שובו לבית־המקדש והמשיכו לבשר לעם את כל דברי החיים האלה!“
2c05150147	השליחים הגיעו לפנות־בוקר לבית־המקדש, ומיד החלו ללמד את העם. מאוחר יותר הגיעו למקדש הכהן הגדול ופמלייתו, ולאחר שכינסו את כל חברי הסנהדרין, שלחו לקרוא לשליחים שבכלא כדי להעמידם לדין.
2c0516008d	אולם כשהגיעו אנשי המשמר לכלא, לא מצאו שם את השליחים! הם חזרו אל המועצה ודיווחו:
2c051700ac	”שערי בית־הסוהר היו נעולים, והשומרים עמדו על משמרתם; אך כשפתחנו את השערים לא מצאנו איש בפנים!“
2c05180076	ראשי הכוהנים ומפקד משמר־המקדש נבהלו מאוד ותהו כיצד ייגמר העניין.
2c05190093	כעבור זמן קצר בא מישהו והודיע:”האנשים שאסרתם עומדים בבית־המקדש ומלמדים את העם!“
2c051a0119	מפקד משמר המקדש וסגניו הלכו ועצרו את השליחים, (אולם לא השתמשו בכוח הזרוע, כי פחדו שאם יפגעו בשליחים לרעה יסקול אותם ההמון באבנים) והביאו אותם לפני הסנהדרין.
