2900000006	Malkus
2c070b0076	“Iki, i kuzǝn nde mus atl ki Masal nǝ Kan'ana, tǝngaki bezǝn bǝna u, hal mi'zǝ' mi'zǝ'mini is hol ulki ɗami.
2c070c0052	Amma nǝ Yakubu kumi alkama ɗa a Masal u, lǝ'ki nǝn i' shin mi'zǝ' mi'zǝmini.
2c070d0062	Ɗǝ lǝtwasǝn ki lop, i Yusupu ɓulisi gawasi ma' yelsǝnwasi, i Pil'auna man mbalǝn ki Yusupu.
2c070e0076	Iki i Yusupu shinshinkǝn tǝn Yakubu bwasi tǝn mbǝ, nǝ mus yelsǝniwasi, mbalǝn kutl kutl lǝbi ningi nǝ namtam.
2c070f0044	Iki i Yakubu lǝ Masal. Ti ne' mi'zǝ' mi'zǝmini a tya ka si mǝci.
2c07100086	Iki is yem hwun wasǝn te'ɗi is palsi tya Shekem, i la'si ge zǝɗi u nǝ Iblahim uli nǝ upki azulpa ama' mil ki Hamol aki a Shekem.
2c07110074	“Nǝ cin ɓalli Lya nja tǝ' ikǝni Iblahim pǝtl ndǝtwasu, dǝbǝtl ki mbalǝn nisi a Masal a mbǝltǝnkiyi iye.
2c0712004a	I ki i pǝl pyal guu won a Masal, gunǝ bǝ'man wokǝn ki Yusupu wai u.’
2c07130072	Guu u ta tlǝ dlǝ' mbalǝnyinǝn i', ati hwoti' mi'zǝmini ishi ati la'tisi sǝ' la' hwal mil gunǝ zǝsi u taka.
2c0714005a	“Age' muttisi sǝ zǝ Musa, yakǝni mbunini. Lii maki a ɗǝ ngaptiti a libi ɗǝ bwasi.
2c07150057	Nǝ zǝti a dla u, yakǝn ki Pil'auna yakǝnkǝli it kanti it kyetǝlti kǝni yakuwasi.
2c07160063	Iki i kulci Musa mus ma' lǝɓa ki Masalawa, ti kuma mul ndǝtl kǝni age' shilǝn nǝ kautǝnwasi.
2c07170062	“Nǝ Musa pǝl hwon kutl lǝbi upsi u, i' kǝndi a mbatlwasi tǝ le' ya mbalǝnwasi, Isla'ilawa.
2c07180053	Nǝ' eni si hwoti yelsewas ishu, iki illǝ ɗǝ dǝtlti i' li' mul masali im mǝci.
2c0719005a	Musa ɗǝ ziti mbalǝnwas mani tu mati tǝ Lya pǝl kautǝn ki pekǝtlsi, amma sima niwai.
2c071a00ac	Lu cili nǝ Musa mbǝ ma'lu u nǝ mi' Isla'ilawa lop ɗǝ dlatu. Il lyami tǝ masi tǝn shitu ki ussu, ‘Kini mbalǝn kǝnǝmini yalaki ki lyap kumi' yelsǝni ciwo ɗa?’
2c071b006f	“Amma mulnǝ kumi yelsewas ciwo u i' jakǝn Musa i' ussu, ‘Wokǝn laki ɗǝ gunti nǝ pǝtl shilǝn tǝnmi?
2c071c003d	Lyamti kiɗa ki tloni kǝnǝ gunǝ tlo mulmasal a hwuɗwa?’
2c071d0065	Nǝ Musa kumi nǝgu u, i' kitǝli ippǝl dǝpki sǝmbǝl tya Madayana, ge'lu u tǝ zǝ mil mwani lop.
2c071e0079	Kalki hwon kutl kutl lǝbi upsi, i mul nje shinkǝn ki Lya mbǝ ma Musa ge bǝlǝn utu, ge dǝlgǝn nja nǝ zǝnga Sinai.
2c071f006b	Nǝ Musa yen gu u, i' kum gagashinti nǝ unnǝ yeni u. Nǝ' sha'tya ɗǝ yati u, i' kum yalki Lya ɗǝ usu,
2c07200093	‘Ami ki Lya ki mul zǝ' mulzǝ' ki, Lya ki Iblahim nǝ Ishayaku nǝ Yakubu.’ Iki i dli ki Musa gop nyapti, ta pǝtl ndǝtl ki mbatl ki yatiwai.
2c07210054	Iki i' Lya ultisu, ‘Tus kapptilanwagi lu u nǝ kiɗa ki dlǝli u, lu mul gu'kǝni.
2c072200af	Balini, a en bezǝn lǝɓa u nǝ si pǝli' mbalǝn i'ni ki Masal u i, a kum kuluwasǝn i ki kup dli, a pe'sul lya i tǝngaki ta pekǝlsi. Nǝguni, mbǝ ta shinki tya Masal.’
2c072300f2	“Ti Musa u nǝs ngetu asi ussu, ‘Okǝn laki ɗǝ mul kina inǝn nǝ mul pǝtl shilǝn?’ Ti Lya nǝ gawaskǝn shinti suɗi tǝ dǝm mul kina, nǝ mul pekǝtl mbalǝn, tuma' mul shikǝn ki Lya u nǝ mbǝ mati age dǝlgǝn ge' bǝlǝn utu.
2c0724009c	Ti pekǝlsi ɗǝ Masal, kalki pǝtl ulki gagashinti nǝ lwaɗi a ge' atl ki Masal, nǝ ɗakǝshti gǝu dlǝlka, nǝ hwon kutl kutl lǝbi upsi a ge dǝlgǝn.
2c07250073	Guki Musa u nǝ ul Isla'ilawa usu, ‘Lya nǝn tlǝli'kin mul nje' shinkǝn ki Lya ge' yelsǝniwakǝn kǝni ami.’
2c072600bd	Ti ne'kini u age dǝlgǝn, nǝ mul nje shinkǝn ki Lya u nǝ shilǝn nǝti, tǝn zǝnnga Sinai u, ne' mi'zǝ'mi'zǝ'mini ɗaɗanu. Ti kan shilǝn mul bǝtl mbatli summa Lya im mbǝlli mini.
2c0727004c	“Amma mi'zǝmi'zǝmini nge bǝli'ti, is ngeti i mbatlwasǝn pal tya Masal.
2c07280085	Is ul Haluna usu, ‘Pǝlimi lya gunǝ tǝn ndemi kina u. Tǝn gaki Musa u, nǝ' pekǝlmi te' Masal u, mǝman unnǝ ndanǝtiwuwai.’
2c07290071	Age' cinisi iki is kǝn yakǝn tla. Is mbǝli' haɗaya is pǝl hwoltuki nǝ kautǝn u nǝs pǝli nǝ tohwasǝn u.
2c072a0107	Tǝngaki nǝ gu i Lya bǝlsi kal, is zasi ɗǝ bǝtl cin nǝ lyi nǝ cadlǝl. Kan u nǝɗa ki laci ge' lwat bati ki mi'njeshinkǝn ki Lya u, i' usu, “‘Kini Mbalǝn ki Isla'ila ami ki mbǝllinǝn haɗaya ki tlu ki ban hwon kutl kutl lǝbǝ upsi ge' dǝlgǝnya?
2c072b0080	Ai, du'ni nǝ kǝs ki Molek nǝ lwa' cadlǝl ki Lapan, lya unǝ pǝlini aki ngepti u. Ami ne am patlkin tya kina ɗǝ Babila.’
2c072c007b	“Mi'zǝmi'zǝmini si nǝ libi ki Lya amasi age' dǝlgǝn. Gunǝ pǝltli kan u nǝ Lya pi Musa u, kǝnǝ kan u nǝ' eni u.
2c072d00ca	Kal ki nje libi ki Lya, mi'zǝmi'zǝmini mbi is mbǝ nǝnali ge' atlu ge' hwon ki Joshuwa, kalki sa kan atlisi i mbalǝn ginǝ Lya katsi tǝn duwaɗǝnwasǝn u. Libi ki Lya u ɗa i mbǝl hwon ki Dawuda,
2c072e0044	gunǝ mbi holhwula ma' Lya u i' gyemi tǝ pǝlli Lya ki Yakubu libi.
2c072f0024	Amma Sulemanu kǝn kǝni' libi nisi.
2c07300080	Mus nǝ nǝgu mul nalti tǝn ɗa dǝp ge' libi i nǝ yakǝn mbalǝn kǝni nǝ tohwai. Kan u nǝ mul nje shikǝn ki Lya dlǝmi u:
2c07310096	Lya usu, “‘Twa lya kǝn ki lu dǝptini ki guntini, a atl kǝn ki luzǝ' asǝn ini. Unndi libi u kǝn ki kǝninǝni? Ko kuma awu kǝn ki lushutini?
2c07320026	Ami nǝ gayikǝn a pǝl usi wai ya?’
2c0733008a	“Kini mbalǝn mil ndǝtl ki ga, nǝ ndǝtl ki kǝm. Kǝnǝ mi'zǝmi'zǝkini kini ɗa: ko anǝmi ki pǝli Yal ki mbatl ki Lya natl ki ga.
2c073400a0	Age' mi' nje shinkǝn ki Lya gukǝn mi'zǝmi'zǝkini a hwotisi bezǝn lǝbawai? Kuma is tlo ginǝ dlǝm shilǝn atǝn mbǝ ki mul ze' mbatlu, nǝ ngeti i tloti,
2c07350040	kini kamǝn zhil ma' mi' shinkǝn ki Lya, amma ka bǝliniwai.”
2c07360068	Nǝ mil dlǝl shilǝn kumi nǝgu u, is kum du tuki hal is ash bi ki hwoɗi tǝn gaki kup du tugi tǝnti.
2c07370090	Amma Istipanus, ki ikǝni nǝ Yal ki mbatl ki Lya ki gunti, i ut duwa ɗǝn twa lya, i' en natl ki Lya, a Yesu ki dlǝli tǝn toh shipti ki Lya.
2c07380058	I' usu, “Yanini, a en lya ki ɓuliyi yakǝn mbalǝn ki dlǝli atǝn tohship ki Lya.”
2c0739003f	Amma is ca kǝmwasǝn, is tlǝl yali, is nde ga nǝ mbatl nǝm,
2c073a008c	is pekǝlti tya kal gatli is gop lalati nǝ zǝnga. Kuma, mil enti nǝ dwaɗǝn is zi lulutuwasǝn ma yakǝn giɗǝn siwon shinwasi Shawulu.
2c073b005b	Asi lalatiti nǝ zǝnga, a Istipanus ɗǝ shilǝn nǝ Lya, “Mulban Yesu, kan mbadlini.”
2c073c0093	Iki i' ngus nǝ ga hwulǝn i' tlil Yal nǝ dǝlti, i' usu, “Mul ban, bǝ zisi bezǝn lǝɓa u agawasǝnwai.” Nǝ usu nǝgu u, i' nde yenmbuɗi.
2c080100a5	Shawulu ɗǝ bǝtlkal ki tlo' istipanus. Agasisi, i bal bǝna mbi Ikilisiya ki Ulshelima mus is dla'ga tyage' atl ki Yahudiya nǝ Samaliya, sai milshikǝn kǝn katl.
2c08020031	I mi'bǝtl Lya kalen gu Istipanus is kuli gawasi.
2c08030086	Amma i Shawulu go' pǝli' Ikilisiya bezǝn pǝlti. A ti bǝtl libi libi, ti dǝdl mwani nǝ mudli a ti la'tisi ge'lu kǝndǝ' mbalǝn.
2c08040045	Ginǝs dlakisi gayi is go' dlib shilǝn ki Lya mus lu unǝs lǝɗa u.
2c0805003f	I Pilibus su ge' gatl ki Samaliya ti dlǝb shilǝn ki Almasihu.
2c0806006c	Nǝ hwu' mbalǝn kumi is yen gagashintu nǝ Pilibus ɗǝ pǝlti u, i mus sǝpǝ ɗemɗem nǝ ulnǝ' dlǝmi u
2c0807006c	Nǝ la'ti Yal i du mi'gatli pe' ɗǝge' mbalǝn diɓǝli, mi'tle ki dli ne' dakkǝlsi diɓǝli is mbi ndo'ti
2c08080023	I hwoltu' pǝldli bali a ge' gatli.
2c08090098	Mulǝnɗa mulshin Saminu, teɗi ti pǝtl gonti age' gatli, hal ɗǝ bǝtl mus mbalǝn ki Samaliyawa gagashinti. Ti ɗagagga ti usu ti bal mbalǝn kǝni,
2c080a0062	Mus mbalǝn, bazi ni mil, is gakki' kǝm asi usu, “Mulu ɗǝ mbettiki dǝtl ki Lya mul nalti.”
2c080b0050	Si bǝlti kal tǝngaki ta lǝndǝp ɗǝ pǝlisi gagashiti nǝ pǝltl gontwasu i.
2c080c0073	Amma nǝs la'mbatl nǝ dlǝb shilǝn ki gu' ki Lya nǝ shin ki Yesu ki Pilibus, i pǝlisi baptisma mudli nǝ mwani.
2c080d0070	Saminu gawasi illa' badli i pǝli' baptisma. Iki ibbǝl Pilibus kali, i' kup ɓanti nǝ ye' bal ulki gagashintu.
2c080e0072	Nǝ milshikǝn ki Ulshelima kumi mi' Samaliya a ndǝ'nǝ shilǝn ki Lya u, is shin Bitlus nǝ Yahaya tya Samaliya.
2c080f0066	Nǝs mbǝkǝci u, is shilǝn nǝ Lya gaki mi'pyal bǝtl Yesu kal gaki sǝmmbi Yal ki mbatl ki Lya ɗa,
2c08100059	Gaki Yal ki mbatl ki Lya a mbi gon wasǝn uwai; a pǝlisi baptisma i katl ge'shinki Yesu.
2c0811003a	I Bitlus nǝ Yahaya zǝsi toh, is mbi Yal ki mbatl ki Lya.
2c08120056	Nǝ Saminu eni zǝttoh ki milshinkǝn ɗǝ bǝtl Yal ki mbatl ki Lya u, ibbǝlsi ulpi.
2c0813005f	I' usu, “Amima bǝlǝnnǝn manti u gaki mus mulnǝ a zǝttoh u ammbi Yal mbatl ki Lya ɗa.”
2c0814005e	I Bitlus ndǝgi i' usu: “Mǝshnǝ ulpwagi, gaki ki enti kǝn ma'ultl bǝlti ki Lya nǝ ulpa!
2c08150043	Ulǝn a lakki nǝ uluwai, gaki mbadlwa'ɗa nǝm akina ɗǝ Lya wai.
2c08160066	Gaki nǝgu za'pǝtl bezǝn lǝɓa a' ngem Lya ɗǝgon a' okǝlki ɗǝ ge' ulnǝ' ngapi ge' mbadlwa gu.
2c08170042	Gaki a eni i ka njikǝn nǝ ɗashti nǝ ngapti bezǝn lǝɓa i.”
2c0818004f	I Saminu ndǝgi, “Ngemǝn Lya gayini gaki ulnǝ' dlimini u ɓa ndanǝ ami.”
2c0819009d	Kalkǝ dlib shilǝn ki Lya wasǝn nǝ ndǝ'twasǝn nǝ Yesu, Bitlus nǝ Yahaya is paltya Ulshelima, si dlib shilǝn ki Lya ge' mil gatl ki Samaliya dǝɓili.
2c081a0074	I mul shinkǝn ki Lya ul Pilibus su, “Lǝ tu'tǝn tona ki shitu dǝlgǝn gunǝ pe'te' Ulshelima ɗǝlǝ Gaza u.”
2c081b00ce	I' hilya ippeki, tǝn shitu wasi imma isǝ mul Habasha Ndami bal mbalǝn mul nalti, gu' ni'ɗa ge' gu' ki Kandakatu, tikǝ mul zi' lǝɓa (Kǝ “Salauniya ki Habasha”). Muli mbǝ Ulshelima ɗǝ ngep Lya,
2c081c0055	Ti patl tya libi tiki dǝmi ge' Bǝsdomwasi, ti dlib lashti kǝge' lwabbat ki Ishaya.
2c081d0040	I Yal ki mbatl ki Lya ul Pilibus su, “Sha'tya ma' Bǝsdomu.”
2c081e0094	I Pilibus kitǝl tyage' Bǝsdomi, i' kum muli ɗǝ dlib lashti kǝge' lwabbat ki Ishaya. “Kimanǝn ulnǝ ki dlimti ge' lashti uwa?” Pilibus usu.
2c081f005a	“A mani una,” i' usu, “Ai se nǝ mulǝn adlimini.” Immbe Pilibus bi sǝddǝm siti.
2c0820009d	Gukǝ shilǝn ki Lya unǝ ti dlimti u: “A dǝlti kǝnǝ mbila ge' lu poshtiti, kǝnǝ kan unǝ bǝgǝmdla ɗa atoh ɗǝ mul swattiti u, nǝgu ta ɓulbiwai.
2c0821007f	A ge' shidǝtlgawasi is nge bǝtlti baliwasi. Wokǝn matl dlib gǝs ki mbalǝnwasi? Akan dliwas taka ɗǝtǝn dǝb lǝɓa i.”
2c0822006c	I bali i ngem Pilibus, “Dlimini, mul nje'shinkǝn ki Lya u, shilǝn ki o ti dlimti, gwasa ko ki mulǝn?”
2c0823003d	I pilibus gob dlib shilǝn ki Lya itl dlimi' shilǝn ki Yesu.
2c0824007d	Si ge' lǝti is mbǝkǝci ma' bal malon i bali i usu, “Ya mal kǝn ngu. Ya la'tiɗa bǝ kǝkkǝn pǝlitǝn baptisma wai?”
2c0825008d	I pilibus usu, inka la'mbatlu, nǝ mbatl nǝm mu, nǝn pǝliki batisma.” I bali i ndǝgiti i' usu, “A ndǝgi Yesu yakǝn ki Lya kǝni.”
2c08260067	Ibbǝl zhil tǝ dlil bǝsdomi. Ndǝn wasǝn Pilibus isǝ Bali i is suge' mali i Pilibus pǝli' baptima.
2c08270070	Nǝs pe'todɗǝ ge' mali u, i Yal ki mbatl ki Lya kan Pilibus, Bali i a yenti nuwai. Izzǝga ati pǝtl hwoltugi.
2c08280087	Ngonǝnǝ gu i Pilibus lǝ' mbi gawasi a Azontus. Ibbǝl gatl tyai, a ti dlib shilǝn ki Lya mus ge' gatli hal immbǝcci Kaisaliya ɗa.
2c0901005e	Shawulu ɗǝ ngalcik mi'bǝlt Lya kali, ti usu tǝn ti tlosi, i' lǝ ma' bali ki bas lǝɓasi,
2c090200ae	i' gyebti ndǝgini ki laci lwabati ki gǝlu dopga ki yahudawa ki Dimaskus, gaki nǝgu in a mbi mil bǝlt shitu u mwani nǝ mudli, a mbǝlsi ge' galt ki Ulshelima a kǝndǝsi.
2c09030073	Ti lǝk kǝn ngu, nǝ' ɓal nja ma' Dimasku u, bǝnǝ man tiwasau swai chilton kǝn ngu sul lya ki ga ndǝli nǝti.
2c09040056	I' nda atli i' kum yalon ɗǝ usu “Shawulu, Shawulu ya lakiɗa ki ngalci tǝnɗa?”
2c09050054	Ti kuma i' usu, “Kiwokǝni Mulnalti?” I usu, “Amiki Yesu u nǝ ki ngalcitǝ u.
2c09060044	Amma hilya kǝlǝ ge' gatli, tya ka sǝ dlǝmi' ulnǝ ki pǝli u.”
2c0907004d	Ellǝnsi u nǝ si lǝ ne'tu is hol ulki dlǝmi, si kup yali sayen mullan wai.
2c09080051	I Shawulu hilya, nǝ bul dwaɗǝn u taman yeluwai. Is nde' kina is sulti Dimasku.
2c09090044	Muttu maki bǝti ɗa yelluwai, bǝtiɗa ɗamtiwai bǝtiɗa tletiwai.
2c090a0081	Mulan ɗa mul bǝlti a Dimasku shinwasi Hananiya. I Mulban shilniti age' dluti i' usu “Hananiya.” I' ndǝgi amingu Mulban.”
2c090b00a1	I mulban ultisu, “Hilya ki bǝl shitu u nǝ ɗǝ mbeti kitaki, a gyemi a libi ɗǝ Yahuza ko mul Talsus nǝn ki, mul shin Shawulu, ti ngu ɗǝ shilǝn nǝ Lya.
2c090c0051	A ge' tlu'ti i' en mullǝn mul shin Hananiya i' zi' toh ga gaki tǝ' yelluɗa.”
2c090d00a0	Ngonǝnǝgu i Hananiya ndǝgi i'usu, “Mulban, a lǝm mutti ɗǝ kub shilǝn ki muluyi ma' mbalǝn di mbǝli, ti pǝli' mi'bǝtl Lya besǝn lǝɓa a Ulshelima.
2c090e0046	In ngu bas lǝɓasi sa bǝlti ndǝti tǝ' gob mus mi' mbe shinwagi.”
2c090f0089	Ngonǝnagu mulban i' ul Hananiya su, lǝma' mulna oltu tǝ'dlǝm shin ini ma' ginǝ bǝ Yahudawa wai u nǝ gumsi nǝ mbalǝn ki Isla'ila.
2c0910004b	Ami nǝ ga ini an mbokiti toh tǝn mbǝna u nǝtǝ' tle u gaki shin ini.”
2c091100e5	Iki Hananiya lǝ i' tege' libini i'zi shawulu toh ga, “Yelse ini Shawulu, mulban kǝn shinǝni, Yesu unǝ peki tǝn shitu u nǝ bǝli u, ti shinǝni gawagi ki yellu ɗa ɗaɗanu, a' nji kǝn nǝ Yal ki mbatl ki Lya ki gunti.”
2c09120079	Alǝbi alǝbi i ulǝn pekki Shawulu ɗǝ dwaɗǝn kǝnǝ kal pǝti, i'go' yellu ɗaɗanu. Iki i' hilya i pǝli' baptisma,
2c0913005e	kal ki nǝ' ɗami u, i ndǝltwas pallǝbi. Shawulu lǝm mutti a Damasku ne' mi'bǝdl Yesu kal.
2c09140063	Alǝbi alǝbi i' gop dlǝb shilǝn ki Lya age' lu dobga ki Yahudawa, tǝn Yesu yakǝn ki Lya kǝni.
2c091500c0	Mus mi' ginǝ kumti is kum gagashinti is ngemi, “Tikǝ mul nǝ dlaki mi' shilǝn nǝ Lya ga nǝ shin u, a Ulshelima u waiwa? Tǝ mbǝnki gaki tǝ' tǝlasi akina ɗǝ bal lǝɓa ki kǝndi.”
2c09160073	I Shawulu mbǝl ndǝtl tǝnki, ti hwotti mbatl ki Yahudawa yi nǝ ɗǝ dǝb a Damasku, ti ussu Yesu tikǝ Almasihu.
2c09170038	Kal ki lǝb mutti i Yahudawa kǝndǝ bi tǝn sǝ' tloti.
2c09180061	Amma i Shawulu kum ulnǝs kǝndǝ u. Gasi nǝ dloncin asi ɓutti dlabi gatli gaki sǝ' tloti ɗa.
2c09190061	Amma a gasi i mil kushtiwas kanti is shimti ge' dǝsi is shimti swage' dlabiwon tǝn dli gatl bi.
2c091a008d	Nǝm mbǝ Ulshelima u i' hilya ɗǝ te'ge' mi' bǝtl Yesu kal, amma mus is kum ɓantwasi gaki sa la'mbatl nǝ ti mul bǝtl Yesu kal kǝn wai.
2c091b00bd	I Balnaba kanti it tǝlati ma' mi'shinkǝn. Ippisi kan unǝ Shawulu yen Lya tǝn shitu u, i Lya shilǝn nǝti, nǝ kan unǝ' dlǝm shilǝn ki Lya ge' shin ki Yesu bǝni ɓatwai a Damasku u.
2c091c006b	I Shawulu dǝm ne'si ati du' ne'si a Ulshelima, a ti dlǝb shilǝn ki Lya nǝ mbatl nǝm age' shin ki Yesu.
2c091d0065	Ti shilǝn ne' Yahudawa mil kup bi ki Helinawa, ti shotti bi ne'si, amma is gob ngau shitu ki tlotti.
2c091e0051	Nǝ mi' bǝtl Yesu kal mani nǝgu u, is mbǝlti a Kaisaliya is shinti tya Talsus.
2c091f00cc	Iki i mus dobga ki mi' bǝtl Yesu kal ki atl ki Yahudiya, nǝkǝ Galili nǝkǝ Samaliya i mbi dǝb ki zoki, si pǝtl lǝɓawasǝn nǝ ɓanti Lya, a yal kǝ mbatl ki Lya ɗǝ ɗǝtlsi, is mbǝl tǝnki ɗa.
2c09200053	To nǝ Bitlus gandǝl atli mussu, illǝ ɗǝ shini' mbalǝn ki Lya mi'dǝb a Lidda.
2c09210054	Alǝbi tǝ mbi mulǝn mul shin Iniyasu, tinǝ tle' ki dli hwon usǝpsi tǝn lumutti.
2c09220067	I Bitlus ultisu “Iniyasu, Yesu Almasihu a ndokǝlki. Hilya ki gadǝl lumut twagi.” Alǝbi it hilya.
2c09230049	I mus mbalǝn ki Lidda nǝ ki atl ki Salona nǝs yentu, is pal temma Lya.
2c09240095	A Yapa mul bǝtl Yesu kalon ɗa mul shin Tabita gunǝ ɗǝ mbetti kǝ Dokas ɗaɗanu, ti pǝtl ulkǝ zoki ati ɗǝtl mi'gini bǝ ulǝn nisi ɗawai u.
2c0925003e	I' goni immǝci, nǝs uti' malu, is zǝti twage' kǝps ki lya.
2c09260092	Lidda nja nǝ Yapa ɗa; Nǝ mi' bǝtl Yesu kal ki Lidda kumi Bitlus a Lidda u, is shin mbalǝn lop tya ma'ti, sǝ' ngemti, tǝtl dlewti tem ma'si.
2c092700c8	I Bitlus zǝga ne'si, nǝm mbǝkǝci u is tolti twage' kǝps ki lya ni. Mudli i nǝ mwani wasǝn mǝci is dlil nja nǝti, asi kulu, asi mbo'ti toh tǝn lu'lǝgǝl gini Dokas pǝlisi teɗi nǝsi ne'tu.
2c092800ad	Amma i Bitlus pyakǝlsi mus swadla, in ngus atli in ngem Lya. It juyati temma hwunisi, i' usu, “Tabita, hilya.” Ibɓul dwaɗǝn, i' en Bitlus, ih hilya iddǝm nǝ gǝsi.
2c09290065	It takit toh itl tlǝlti lya. Im mbe mi' ki Lya bi ne' mudli gini mwani wasǝn mǝcu ibbǝlsiti kami.
2c092a003c	I gu mandli mus a Yapa, i mbalǝn diɓǝli la'mbatl nǝ Lya.
2c092b0048	Illǝm mutti diɓǝli a Yapa a libi ɗǝ mul pǝtl bati mul shin Saminu.
2c0a010082	A Kaisaliya i pǝl mulǝn mul shin Kaliniyas, mul kumti nǝ gawasi age' mi' dobga ki sojoji gunǝ ɗǝ mbetti ki dobga ki Ataliya.
2c0a02008f	Ti mulbǝlt Lya kǝni nǝ ɓulti Lya nǝ mbalǝn ki libiwasi ti bǝlt mbalǝn ulkǝ toh wasi nǝ mbalt nǝm, ati shilǝn ngwash ngwash nǝ Lya.
2c0a030064	Gason dom maki ki su'ti, i' en mul shinkǝn ki Lya age' tluti, immbǝ i' ultisu, ki “Kaliniyas!”
2c0a040090	Kaliniyas utti dwaɗǝn nǝ ɓanti, i' usu mulban yakǝni? I mul shinkǝn ki Lya ultisu, shilǝn nǝ Lya nǝ bǝlti wagi a mbǝ kina ɗǝ Lya i.
2c0a050052	Nǝ gun u pǝl shinkǝn swa Yapa sǝ' taki Saminu bi gunǝ si mbetti ki Bitlus su.
2c0a060043	Ishiti ma' Saminu mul motti bati guna libi was nja ma' bal malu.”
2c0a0700b5	Nǝ mul shinkǝn ki Lya nǝ shin nitu zǝga u, i Kaniliyas taki zheli was lob bi, nǝ mul kǝndǝtl dlomon mul bǝtl shilǝn ki Lya ge' ginǝ ɗǝ pǝlliti kyautǝn hu gasi u kǝni.
2c0a080031	Nǝdl dlimisi mus ulnǝ nda u is shinsi tya Yapa.
2c0a09006b	Lucili a dloncin ɓal nja i, sǝ ɓal nja nǝ gatlu ngu, i Bitlus toge' kǝpsi ki lya ɗǝ shilǝn nǝ Lya.
2c0a0a004c	Kuzǝn a gobti, ti lyap ɗamti, amma ɗǝ pǝtl ulki ɗami i, i tluti mbiti.
2c0a0b006a	I'en lya a ɓuli, ulǝn ɗǝ sussuɗi kǝnǝ bal ul idlam mbalǝn, ɗǝ shitti su' atli ge' zheltwas upsi.
2c0a0c0053	A giɓi mus lǝɓa ki dǝlgǝn nǝki ban, nǝmi' dǝtl tugi, nǝ gala'sa nǝ yadli.
2c0a0d0036	I yalon ultisu, “Bitlus hilya, ki' poci a' ɗami.”
2c0a0e004c	Amma i Bitlus usu o o, a ɗam bezǝn ulǝn gason wai ko ulnǝ bǝ mbunwai u.
2c0a0f0052	I' kum yali ɗaɗanu, ki lop, usu, “Ulnǝ Lya a li'ni' u, bǝ palli besniwai.”
2c0a100039	I gu pǝ asǝn maki, alǝbǝ alǝbǝ i dǝl ulisi twalya.
2c0a110093	Uli ɗǝ hwotti Bitlus kǝn ngu tǝn tlutu nǝs pǝlitu, iki i mbalǝn i nǝ Kaliniyas shinsi teɗu, tǝn dlabi, sa lǝge sa ngem libi ki Saminu i.
2c0a12003f	Is tabi is ngemi Saminu gunǝ ɗǝ mbetti ki Bitlus nǝn ɗawa.
2c0a130069	Tun a Bitlus ɗǝ dambǝtlti tǝn tlutu, i Yal ki mbatl ki Lya ultisu, “I ngu mbalǝn maki ɗǝ ngauki.
2c0a14004a	Hilya ki' pe'swai, ki bǝlsi kali. Bǝkum ɓantwai, gaki ami shinsi teɗi.
2c0a15004e	I Bitlus pe'swa ma' mbalǝni, i' ulsisu, “Ami ki ngautǝma. Ya mbǝlkini?”
2c0a160123	Mbalǝni usu, “Mǝ mbǝni te'ma' ndǝl mulǝn mul kina ki mil kǝndǝ dlom gǝni ɗǝ mbetti ki Kaliniyas, mul zo' mbadli, mul ɓanti Lya, gunǝ mus mbalǝn ki Yahudawa ɗǝ ndwa'titi, mul shinkǝn ki Lya mul gunti ultisu, ti ta shinkǝn, ki lǝ libi ɗakka, tǝ' kum ulnǝ ki' dlimi u.”
2c0a170083	I Bitlus mbǝlsi a libini. Nǝ lucilu i' hilya is zǝga ne'si is dǝm sǝmbǝlswasi, ge' mi' bǝtl Yesu kal ki Yapa is la'ti shitu.
2c0a180072	Lucili im mbǝkǝci a Kaisaliya. Kaliniyas ɗǝ la'ti mbatl ki mbǝ twasǝn, im mbe yelsǝni bi nǝ yelǝnsi wasi.
2c0a19004c	Bitlus ɗǝ te' libi ni ngu, i Kaliniyas njeti in nda kina ɗa'ka, in nalti.
2c0a1a004b	Amma i Bitlus tlǝlti lya, i' usu, “Hilya, amima yakǝn mbalǝn kǝni.”
2c0a1b004d	Nǝ Bitlus ɗǝ shilǝn situ, it te' giɓi in mbi mbalǝn diɓǝli a domga i.
2c0a1c00cd	I' ulsisu, “Kini nǝ gawakǝn ki manini, a mbunwai tǝ mul Yahudiya maga ko sǝl le' shinni mulnǝ bǝ biwas kǝn wai u. Amma Lya a mboki toh ba ul mulǝnsu mul bezǝn mbadlwai, ko mul ulkǝ ci'zhentwai.
2c0a1d006c	Gaki nǝgu, nǝs ta shinkǝn ta mbǝ u, a ngewai. To nǝgun ami lyamti ta kumi ya laki i' takinǝn biɗa.”
2c0a1e00bc	I Kaliniyas usu, “Asǝti mutti maki ngu, lu nǝguni, ami shilǝn nǝ Lya ki dom maki ki su'ti a libi ɗa ka, bǝnǝ mantiwai sai mulǝn kǝn ngu ki dlili nǝ hwol lulǝgǝl akina ɗa ka.
2c0a1f0064	I muli usu, Kaliniyas, Lya akum shilǝn nǝtiwagi, bǝlti wagi a dǝm ulki dambǝlti akina ɗǝ Lya.
2c0a200090	Gaki nǝgu a' shin shinkǝ tya Yapa ti taki Saminu bi, gunǝ ɗǝ mbetti ki Bitlus su, am mbǝ a libi ɗǝ Saminu mul pǝtl bati abi bal mal.’
