0100000009	Kutendeka
0f0418008e	Evi i vyaimeene miilo ya kukuula paakale Nghanda yakua Leza mu Yerualemu mpaka mu mwaka wa bubili wa kuteeka kwakua Dario likolo wa ku Persia.
0f050100bd	Kupwako, bakabika babili Hagai ni Zakaria wa mu luvyalo lwakua Ido, babikwila Bayuda baali bali mu Yudea ni mu Yeruzalemu. Baababikwiliile mu Liina lyakua Leza wa Baizraeli waali wabasunga.
0f050200ad	Zerubabeli mwina Shealtieli, ni Yoshua mwina Yozadaki, baile kutendeka kukuula paakale Nghanda yakua Leza ya mu Yeruzalemu, kabili baali bakwasiiziwe na bakabika bakua Leza.
0f05030116	Ozo wenka musita, Tatinai ndabukizi wa kiputu kya kyalo kya ku bwala mwenzi wa Efrati, ni Setari-Bozinai pamo ni benabo bange, baile kuli bene ni kubeepuzia nangue, “Nani wakimipeela nsambu ya kupwililila kukuula paakale ezi Nghanda yakua Leza ni kubiikamo byonse bipalile?”
0f05040031	Kabili baabepuziizie meena a bantu baali bakuula.
0f050500b6	Inzi Leza waabalabukiile bakulu ba Bayuda. Ni pakako, babiloolo ba ku Persia ba-andilue kubakaania kukuula, mpaka pa bakalembanke lupapulo kuli likolo Dario ni kunvua bwasuko bwakue.
0f0506009b	Lolu i lupapulo lwaatumiinue likolo Dario kuli Tatinai ndabukizi wa kiputu kya kyalo kya ku bwala mwenzi wa Efrati, ni Setari-Bozinai pamo ni benabo bange.
0f0507003f	Lupapulo lwaali lwalembelue evi, “We likolo Dario twakupozia.
0f05080102	We likolo, twalomba umane nangue lutwakiya kwingila mu Yudea mpaka mu Nghanda yakua Leza Mukulu, twakisanga bantu balimukukuula na mabue akata balimukubiika ni mbao mu bibumba, ezi miilo yakiba yabombua bwino bwino, kabili itwaliliile kubombua lubilo lubilo.
0f0509008e	Twakiipuzia bamasiiko batwane kine nani wakibapeela nsambu ya kupwililila kukuula paakale ezi Nghanda yakua Leza ni kubiikamo byonse bipalile.
0f050a005d	Twakibeepuzia ni meena abo, evi tukulembele twasininkiziiziemo ni meena a bantu babalombwele.
0f050b00d9	Bakitwasuka nangue fwefue tuli babombi bakua Leza wa mwiulu ni pansi, kabili tulimukukuula paakale Nghanda yakua Leza nga muyaakuuliilue mu myaka yaapitileko na likolo mukulu wa Baizraeli ni kubiikamo byonse bipalile.
0f050c00af	Inzi basiitue lubaaluviizie kuli Leza wa mwiulu, waabalekeleele kuti batwamue na Nebukadneza Mukaldea likolo wa ku Babeli, kabili i wenka wainoonene ni eno Nghanda yakua Leza.
0f050d007f	Inzi mu mwaka wa mambo wakua Kiro likolo wa ku Babeli, ozu likolo waafumiizie nsambu ya kukuula paakale eno Nghanda yakua Leza,
0f050e0170	kabili i waabweziizie ni bintu bya oro ni bya mutofue bya mu Nghanda yakua Leza, belia byaafumiiziwe na Nebukadneza mu Nghanda yakua Leza ya mu Yeruzalemu, ni kubitwala mu nghanda ya baleza ya ku Babeli. Likolo Kiro ni ye waafumiizie bebio bintu mu nghanda ya baleza ya ku Babeli ni kubitwala ku muntu umo liina lyakue Sesebasari waabiikilue kuba ndabukizi wa ku Yudea
0f050f00b3	ni kumwana nangue, ‘Twama bebi bintu bya mu Nghanda yakua Leza ukabe kutwala ku Yeruzalemu, ni kumwana kuti Nghanda yakua Leza ikakuulue paakale pa nkendo payaali yakuulilue.’
0f0510009a	Kupwako Sesebasari waiza ye mwine ni kukuula biputa bya Nghanda yakua Leza ya mu Yeruzalemu. Kutula papo mpaka lenu, ilimukukuulua, ni lenu kumo teinapue.
0f0511011e	Ni pakako, kine kuti kyamuwamina likolo, kuti wakeba mu kitabu kili mu Babeli kilembeluemo bintu byaali byakitika, evi amone kine kisinka likolo Kiro waafumiizie nsambu ya kukuula paakale ezi Nghanda yakua Leza mu Yeruzalemu, ni likolo atwane vili bupinguzi bwakue palua ozu mulandu.”
0f06010086	Kupwako, likolo Dario wapaana nsambu ya kukeba mu nghanda ya bitabu ili mu Babeli, bitabu byaali byalembeluemo bintu byaali byakitika.
0f0602008c	Ni bo baasangile kitabu mu nghanda ikata ya ku Ekibatana mu kiputu kya kyalo kya ku Media, kekio kyaali kyalembeluepo twebo twa malanguluzi.
0f0603010d	Likolo Kiro mu kuteeka kwakue kwa mwaka wa mambo, waapeene nsambu palua Nganda yakua Leza ya mu Yeruzalemu kuti ikuulue paakale pa nkendo payaali yakuulilue kuti ibe nkendo ya kwelelapo ngelelo ya kuzizia. Mu kutuuluka iye yali metre 27, ni mu kutana iye yali metre 27.
0f0604008e	Bakakite milongo itatu ya mabue akata, ni mulongo umo wa bimuti bya lenu. Ni nfolanga ya kubombia ku ozu mwilo ikafume mu kipao kyakua likolo.
0f06050125	Ni bibombelo bya oro, pamo ni bya mutofue bya mu Nghanda yakua Leza belia byaatwemue na Nebukadneza kufuma ku Yeruzalemu kutwalua ku Babeli, bipalile bikabweziwe ni kubiikua paakale mu Nghanda yakua Leza ya mu Yeruzalemu, kubalua kintu pa nkendo yakyo, ni byo ukabibiike mu Nghanda yakua Leza.
0f0606008a	Ni pakako, we Tatinai ndabukizi wa ku bwala mwenzi wa Efrati, ni Setari-Bozinai, pamo ni benenu bali mu kekio kiputu, fume pa ezio nkendo.
0f0607009d	Tekubavulunghaniizie miilo ya kukuula. Muleke ndabukizi wa Bayuda, pamo ni masiiko a Bayuda bakuule paakale Nghanda yakua Leza pa nkendo pa yaali yakuulilue.
0f060800f3	Unvue vimwaakakitila masiiko a Bayuda palua ezi miilo ya kukuula paakale Nghanda yakua Leza. Mupalile mukabe mwabapeela nfolanga ya pa musonko wa ku bwala mwenzi wa Efrati ya kufuma mu kipao kyakua likolo, evi miilo ya kukuula tekuti ikeemane.
0f060900f6	Bintu byonse bilibyabombiiwa na babitambua ba mu Yeruzalemu, misoka ya nghombe, ni mpanga, ao twina mikooko, ni nghano, ni mukele, ni bya kumina, pamo ni mafuta kuba ngelelo ya kuzizia iliyaelelue Leza wa Mwiulu, bapalile kupeelua kubalua busiku,
0f060a0074	evi baye baelela ngelelo ya bunu buweme kuli Leza wa mwiulu, ni kupepelela bukose bwakua likolo pamo ni baana bakue.
0f060b00cb	Kabili nafumia nsambu ya kulanda nangue kubalua muntu asikanakila totu twebo, mukafumie kimuti kimo ku nghanda yakue, mukakisongole ni kumusomekako, ni nghanda yakue ikaalulue mului wa bintu bituutikile.
0f060c00fd	Leza olia waalengele liina lyakue kuti liye lyali pa kekio kifuka, alovie makolo ni ntundu yonse yaakaba yatonene kwalulula kaka keebo ni kwinoona ezi Nghanda yakua Leza ili mu Yeruzalemu. Nene Dario i wafumia ezi nsambu, kuti ifikiliziiwe na maka onse.
0f060d0092	Tatinai ndabukizi wa kiputu kya kyalo wa ku bwala mwenzi wa Efrati, ni Setari-Bozinai, pamo ni benabo, baakitile nga muba-aniinue na likolo Dario.
0f060e0138	Masiiko a mu Bayuda baatwaliliile miilo ya kukuula koku balimukukoseleziiwa na kabika Hagai, ni kabika Zakaria wa mu luvyalo lwakua Ido. Baakuulile Nghanda yakua Leza nga muba-aniinue na Leza wa Baizraeli, ni mwaali mwabeeleele lifunde lyakua likolo Kiro, ni lyakua likolo Dario ni Artasasta likolo wa ku Persia.
0f060f007f	Ezi Nghanda yakua Leza yaapwile mu busiku bwa butatu bwa mwezi wa Adari, mu mwaka wa mutanda wa mu buteeko bwakua likolo Dario.
0f0610008e	Baizraeli, ni babitambua, ni Balawi, pamo ni bonse baali bafumine mu buzia, baakitile nsikunkulu ya kuzuukia Nghanda yakua Leza basansamukile.
0f061100f7	Pa kuzuukia Nghanda yakua Leza, baafumiizie bupe bwa nghombe 100, ni mpanga 200, ni mpanga misoka 400, ni palua ngelelo ya bibalo bya Baizraeli, baafumiizie bupe bwa tupwata lyanondo ni tubili, nga mubeeleele mikowa lyanondo ni ibili ya Baizraeli.
0f061200a2	Baababiikile babitambua mu mabumba abo, ni Balawi mu mabumba abo batantikilue kuti babombe miilo yakua Leza mu Yeruzalemu nga vikilembeelue mu kitabu kyakua Musa.
0f06130071	Busiku bwa lyanondo ni buna bwa mwezi wa mambo, balia baabwelele kufuma mu buzia, baakitile nsikunkulu ya Pasaka.
0f061400fa	Pantu bobo busiku babitambua bonse pamo ni Balawi, baisambile ni kwiswesia kukonkana ni mbeela ya mpupo, ni kwipaya mukooko wa Pasaka pa mulandu wa bonse baali babwelele kufuma mu buzia, ni pa mulandu wa babitambua nabo, pamo ni pa mulandu wabo bene.
0f061500ae	Baizraeli bonse baabwelele kufuma mu buzia, pamo ni bonse baali baikekele ku mibeele itiikeene ya Bazima kuti bamupalamine Yawe Leza wa Baizraeli, baaliile mukooko wa Pasaka.
0f061600f9	Baakitile nsikunkulu ya mikate isili na ntutumusi mu nsiku kilooba basansamukile, pantu Yawe waabasansamusiizie ni kulengia mutima wakua likolo wa ku Asuria waluluke, evi abakwasieko mu mwilo wa kukuula paakale Nghanda yakua Leza, Leza wa Baizraeli.
0f07010088	Pa kyamba kya bebi byonse, mu buteeko bwakua Artasasta likolo wa ku Persia, Ezra mwina Seraia, Seraia mwina Azaria, Azaria mwina Hilkia,
0f0702003f	Hilkia mwina Salumu, Salumu mwina Sadoki, Sadoki mwina Ahitubu,
0f07030041	Ahitubu mwina Amaria, Amaria mwina Azaria, Azaria mwina Merayoti,
0f0704003a	Merayoti mwina Zerahia, Zerahia mwina Usi, Usi mwina Buki,
0f0705006e	Buki mwina Abisua, Abisua mwina Finehasi, Finehasi mwina Eleazari, Eleazari mwina Haruni mukulu wa babitambua.
0f070600b3	Ozu Ezra waizile kufuma ku Babeli, kabili i waali wamaniisie mizilo yaapeelue Musa kuli Yawe Leza wa Baizraeli. Likolo waamupeele Ezra byonse bi-aalombele nga mu-aalailue na Yawe.
0f070700c8	Baizraeli bange, ni babitambua, ni Balawi, ni bakemba, ni bakalinda ba pa milyango, pamo ni babombi ba mu Nghanda yakua Leza baile ku Yeruzalemu mu mwaka wa kilooba wa kuteeka kwakua likolo Artasasta.
0f07080063	Ezra waafikile nabo ku Yeruzalemu mu mwezi wa busaano mu mwaka wa kilooba wa kuteeka kwakua likolo.
0f070900ae	Pantu busiku bwa mambo bwa mu mwezi wa mambo, waatendekele kufuma ku Babeli, ni mu busiku bwa mambo bwa mwezi wa busaano waafikile mu Yeruzalemu, ni Leza waali wamulabukiile.
0f070a007f	Kabili Ezra waali waipeele mu kusambilila mizilo yakua Yawe ni ku-ikonka, pamo ni kusambilizia milao ni bupinguzi ku Baizraeli.
0f070b0087	Lupapulo lwaafumine kuli likolo Artasasta lu-aamulembeele kitambua Ezra, kalemba wa milao ni mizilo yakua Yawe ku Baizraeli lwaali evi,
0f070c007e	“Nene Artasasta likolo wa makolo, natuma lupapulo kuli wewe kitambua Ezra kalemba wa mizilo yakua Leza wa mwiulu, nakupozia.
0f070d00b1	Nafumia nsambu ya kulanda nangue Baizraeli bonse, ni babitambua babo, pamo ni Balawi, bantu bonse bali mu bukolo bwane, balia batonene kuya ku Yeruzalemu kuti baya pamo ni wewe.
0f070e009f	Pantu wewe watumua na likolo pamo ni bakasoka bakue kilooba kuti uye wipuzie palua Yudea ni Yeruzalemu, nga mubeeleele mizilo yakua Leza obe ili mu minue yobe,
0f070f0094	ni kuya kutwama mutofue, ni oro byaafumiizie likolo ni bakasoka bakue kukonkana ni kutona kwabo ni kumupeela Leza wa Baizraeli ekeele mu Yeruzalemu.
0f071000fa	Kabili upalile kutwama mutofue onse, ni oro yonse i waakasanga mu kiputu kyonse kya kyalo kya Babeli, pamo ni bupe bwaafumiizie bantu bonse kukonkana ni kutona kwabo, ni bwaafumiizie babitambua pa mulandu wa Nghanda yakua Leza wabo ili ku Yeruzalemu.
0f071100df	Ezio nfolanga upalile kukita maka obe onse ukabe kusitamo nghombe ndume, ni mpanga, ni twana twa mikooko, pamo ni ngelelo yabo ya bunga, ni ya divai ukaye kwelela pa kitale kya mu Nghanda yakua Leza wenu kili ku Yeruzalemu.
0f0712007e	Mutofue onse ni oro yakaba kusyalapo, wewe ni ba kobe, mukabe kwibombia nga mu mutoneene kukonkana ni kutona kwakua Leza wenu.
0f0713007d	Bibombelo biwaapeelue pa mulandu wa miilo ya mu Nghanda yakua Leza obe, ukabe kubitwala mu Yeruzalemu kuli Leza wa Baizraeli.
0f07140070	Kubalua kintu kyaakabula mu Nghanda yakua Leza obe, ukakisite na nfolanga ya mu nghanda ya bukonto yakua likolo.
0f071500f9	Nene likolo Artasasta, napeela nsambu ku basungi bonse ba bukonto ba mu kiputu kya kyalo kya ku bwala mwenzi wa Efrati nangue kubalua kintu kyakaba kukebua na kitambua Ezra kalemba wa Mizilo yakua Leza wa mwiulu mukabe kumupeela pasili kutuntumbila,
0f071600b3	mu kalingo ka talanta kilo 3,400 ya mutofue, ni kilo 10,000 ya nghano, ni litre 22,000 ya divai, ni litre 22,000 ya mafuta a mizeituni, pamo ni mukele wingi nga vi-ali waakalomba.
0f071700a9	Kintu kyonse kyaakalombua na Leza wa mwiulu pa mulandu wa Nghanda yakua Leza, mupalile kukifikilizia bwino, kine te evio, busanzo bwakeeza pali likolo ni pa baana bakue.
0f071800f7	Kabili namyana nangue, tekusonkie musonko ni kulambula mulambu pamo ni kusonkia musebo ku babitambua bakua Leza, ni ku Balawi, ni ku bakemba, ni ku bakalinda ba pa milyango, ni ku babombi ba mu Nghanda yakua Leza, ao babombi bange balibabombelamo.
0f0719010d	Ni we Ezra, kukonkana ni maano awaapeelue na Leza obe, ukabe kusaakula babiloolo ba bapinguzi bakupingula bwino bantu ba mu kiputu kya kyalo kya ku bwala mwenzi wa Efrati. Ukabe kusaakula bantu bamanine mizilo yakua Leza obe. Ni balia basimanine mizilo ukabasambilizie.
0f071a009d	Kubalua muntu asiliwanakila mizilo yakua Leza obe, ni yakua likolo, kisinka apalile kwipawa, ao kukumbua, ao kupokua bunonsi bwakue, ao kukakua mu buloko.”
0f071b009b	Ezra waalandile evi, “Apaalue Yawe Leza wa babikolue wakinasia mutima wakua likolo Artasasta kuti apeele mukinzi ku Nghanda yakua Leza ili mu Yeruzalemu,
0f071c00f2	ni kunangisia buwame bwakue pa menso akua likolo ni a bakasoka bakue, ni pa menso a babiloolo bonse ba buvinde bakua likolo. Nakikoseleziiwa pantu Leza wane wakinkwasia. Nakikolonghania bakulu bonse ba mu Izraeli kuti babwele pamo ni nene.”
0f08010085	Baba i bakulu ba mikoa pamo ni nvyalo yabo, balia baabwelele pamo ni nene kufuma ku Babeli musita wa kuteeka kwakua likolo Artasasta.
0f0802008d	Gershomu waali mukulu wa luvyalo lwakua Finehasi, Danieli waali mukulu wa luvyalo lwakua Itamari, Hatusi waali mukulu wa luvyalo lwakua Daudi
0f0803005f	Bantu ba mu luvyalo lwakua Sekania, ni Parosi pamo ni Zakaria, mpendua yabo baali balalume 150.
0f08040061	Bantu ba mu luvyalo lwakua Pahati-Moabu: Elioenai mwina Zerahia, waali wali pamo ni balalume 200.
0f0805005d	Bantu ba mu luvyalo lwakua Zatu, ni Sekania mwina Yahasieli, mpendua yabo baali balalume 300.
0f0806005a	Bantu ba mu luvyalo lwakua Adini, ni Ebedi mwina Yonatana, mpendua yabo baali balalume 50.
0f08070059	Bantu ba mu luvyalo lwakua Elamu, ni Yesaia mwina Atalia, mpendua yabo baali balalume 70.
0f0808005d	Bantu ba mu luvyalo lwakua Sefatia, ni Zebadia mwina Mikaeli, mpendua yabo baali balalume 80.
0f0809005b	Bantu ba mu luvyalo lwakua Yoabu, ni Obadia mwina Yehieli, mpendua yabo baali balalume 218.
0f080a0070	Bantu ba mu luvyalo lwakua Selomiti mwina Yosifia ni wa mu luvyalo lwakua Bani, mpendua yabo baali balalume 160.
0f080b0058	Bantu ba mu luvyalo lwakua Bebai ni Zakaria mwina Bebai, mpendua yabo baali balalume 28.
0f080c005d	Bantu ba mu luvyalo lwakua Azgadi, ni Yohana mwina Hakatani, mpendua yabo baali balalume 110.
0f080d008a	Bantu ba mu luvyalo lwakua Adonikamu, lwaali lwa mpeleezio, meena abo ni aza: Elifeleti, Yueli, ni Semaia, mpendua yabo baali balalume 60.
0f080e0058	Bantu ba mu luvyalo lwakua Bigwai, ni Utai mwina Zakuri, mpendua yabo baali balalume 70.
0f080f00b7	Nene Ezra naakolonghaniizie baba bonse mumbali mwenzi uile ku Ahava, papo patwaikeele nsiku itatu, naakebele mu bantu ni mu babitambua, nsyaasangilemo bantu ba mu luvyalo lwakua Lawi.
0f081000d0	Ni pakako naakuutile Eliezeri, ni Arieli, ni Semaia, ni Elnatana, ni Yaribu, ni Elnatana, ni Natana, ni Zakaria, ni Mesulamu pantu i baali bakulu ba maano, pamo ni bakasambilizia babili Yoyaribu, ni Elnatana.
0f081100bd	Baba bantu naabatumine kuli Ido mukulu wa ku Kasifia, baye bamwane Ido ni ba kwakue babombi ba mu Nghanda yakua Leza ba ku Kasifia batuleeteleko bantu ba kubomba mu Nghanda yakua Leza wetu.
0f081200ee	Kukonkana ni buwame bwakua Leza pali fwefue, baatuleteele muntu wa maano, Serebia pamo ni baana bakue ni balupua bakue. Bonse pamo baali lyanondo ni mwanda. Ozo Serebia waali wa mu luvyalo lwakua Mali, Mali mwina Lawi, Lawi mwina Izraeli.
0f081300a2	Kabili baatutumiine ni linge libumba lyaali lyalombwelue na Hasabia ni Yesaia ba mu luvyalo lwakua Merari, ni lupua lwabo pamo ni baana babo. Bonse pamo baali 20.
0f08140082	Baizile pamo ni babombi 220 baasaakwilue na Daudi ni masiiko kuti bakwasie miilo ya mu Nghanda yakua Leza. Ni meena abo amanikile.
0f081500b2	Ni pakako, na-anine kuti twizilike kulia twali mumbali mwenzi wa Ahava, twikeefie ku menso akua Leza wetu, evi atwenzie bwino, fwefue, ni baana betu, pamo ni bunonsi bwetu bonse,
0f0816012d	pantu naunvwile busoni bwa kumulomba likolo kuti atupeele libumba lya balukale, ni baseli ba pa farasi bakutukingilila ku balwani betu mu nzila, pantu twaamwanine likolo nangue, “Balia balibamukeba Leza, Leza aliwabakitila buwame, inzi kikonko ni kukanda kwakue kuli pa balia bonse balibamukaana.”
0f0817004c	Kupwako, twaizilika bilio, twamulomba Leza wetu atusunge, ni ye watwitabila.
0f08180075	Naasaakwile bamakolo lyanondo ni babili ba babitambua: Serebia, ni Hasabia, pamo ni bange lyanondo ba mu lupua lwabo,
0f081900cc	naabapimiine mutofue ni oro, pamo ni bibombelo, ni bulongio bwa mu Nghanda yakua Leza wetu, bwaalongiiziwe na likolo, ni bakasoka bakue, na masiiko akue, pamo ni bwaalongiiziwe na Baizraeli bonse baalipo.
0f081a006f	Naabapiimiine talanta kilo 22,000 ya mutofue, ni bibombelo bya mutofue talanta 3,400, ni bya oro talanta 3,400,
0f081b007b	ni bibakuli bya oro 20 byaali byafinine diriki kilo 8.5, ni bibombelo bibili bya mukuba bikindeeme byaali byabeeka nga oro.
0f081c0094	Naabaanine nangue, “Mwemue muli bazuuke bakua Yawe, ni bibombelo ni byo bizuukile. Mutofue ni oro, byonse ni byabupe byakua Yawe Leza wa basiinue.
0f081d00ca	Kansi labukile bebi bintu ni kubisunga mpaka musita umwaakabipiima pa menso a nombozi ya babitambua, ni Balawi, ni bakulu ba mikowa ya Baizraeli bali mu Yeruzalemu, mu miputule ya Nghanda yakua Yawe.”
0f081e0091	Kabili babitambua ni Balawi baapokeleele tulingo twa mutofue ni oro, ni bibombelo bizuuke, ni kubileeta ku Yeruzalemu mu Nghanda yakua Leza wetu.
0f081f00c8	Mu mwezi wa mambo, mu busiku bwa lyanondo ni ibili, twaafumine pa mwenzi wa Ahava ni kuya ku Yeruzalemu. Leza waali wali pamo ni fwefue ni kutupususia ku balwani, ni ku bantu baali batubenza mu nzila.
0f08200036	Lutwaafikile mu Yeruzalemu, twaatuuziizie nsiku itatu.
0f082100f9	Ni mu busiku bwa buna, twaapiimiinue mutofue ni oro, pamo ni bibombelo bizuuke bya mu Nghanda yakua Leza wetu ni kumupeela Meremoti mwina kitambua Uria, pamo ni Eleazari mwina Finehasi, ni Balawi babili, Yozadaki mwina Yeshua, ni Noadia mwina Binui.
0f08220039	Bebio byonse byaalembelue mpendua yabyo ni kufina kwabyo.
0f0823011e	Bonse baabwelele kufuma mu buzia, baamweleele Leza wa Baizraeli ngelelo ya kuziziiwa, nghombe ndume lyanondo ni ibili mubeleele mikowa ya Baizraeli, mpanga 96, twina mikooko 77, tupwata lyanondo ni tubili twa ngelelo ya bibalo. Bebi bintu byonse, byaali ngelelo ya kuziziiwa yakua Yawe.
0f08240094	Kabili baatwele mwano wakua likolo ku babiloolo ni ku bandabukizi ba ku bwala mwenzi wa Efrati, ni bo baakwasiizie bantu pamo ni Nghanda yakua Leza.
0f09010102	Pa kyamba kya bebi byonse, bakulu bamo baizile kun'mbwila nangue, Baizraeli ni babitambua pamo ni Balawi, tebakiikeka ku bekala kyalo ni mu kukita bubi nga Bakanaani, ni Bahiti, ni Baperizi, ni Bayebusi, ni Ba-amoni, ni Bamoabu, ni Bamisri, pamo ni Ba-amori.
0f090200d1	Pantu Bayuda bakiya kuupila ku Bazima ni kuufia baana babo balalume ku banakazi Bazima. Ni pakako, luvyalo luzuuke lwakiisanzia ni lwa bekala kyalo mu bobu bubi. Baatendekeelepo ni banombozi pamo ni babiloolo.
0f0903009f	Lunaunvwile toto twebo, kisinka naapeleleelue. Naazabwile ngubo yane ni nkanzu yane, naazukwile misisi ku mutue pamo ni ndevu, ni kwivopeka pansi napeleleelue.
0f090400e7	Bantu bonse baali baunvwile mwezo wa twebo twakua Leza wa Baizraeli pa mulandu wa kilubo kya bantu baabwelele kufuma mu buzia. Baba bantu bankolongheene, ni ne naali nasyaikeele sie napeleleelue mpaka musita wa ngelelo ya kyungulo.
0f0905009b	Lwaakumeene musita wa ngelelo ya kyungulo, naabuukile panaali nali ni bulanda, ni nkanzu yane yazabukile. Naafukeeme ni kulendula maboko ane kuli Leza wane
0f090600bd	nalanda nangue, “We Leza wane, naunvua busoni ni kutooboka pakuti nkente kuli wewe Leza wane, pantu bibalo byetu byakila kiimo kyetu, ni bilubo byetu byakila kuvula, byafika mpaka mwiulu.
0f0907010c	Kutula mu nsiku ya babikolue betu, twaali twali ba bibalo bikata mpaka lenu, ni pa mulandu wa bilubo byetu, fwefue ni makolo etu, ni babitambua betu, twaakwetue na makolo a byalo byeni evi twipawe, tukakue ni kutwalua mu buzia pamo ni kumoniiwa busoni nga vikili lelo.
0f090800e9	Inzi lenu mu kasita kaniini, buwame bwakua Leza wetu bwakitufikila ni kutusiilapo bamo, ni kutupeela nkendo ya mutende pa kifuka kyakue kizuuke, kabili Leza wetu atusanikiile ni kuya watupeele bukose anzia kine tukili mu buzia bwetu.
0f0909010d	Anzia kine tuli bazia, Leza takitulekelela mu buzia bwetu, inzi wakitulanga ntono yakue kupitila ku makolo a ku Persia, ni kutusia twakosele kuti tukuule paakale Nganda yakua Leza wetu, ni kuwamia bituuti, kabili wakitupeela nkendo ya mutende mu Yudea ni mu Yeruzalemu.
0f090a0070	“We Leza wetu, ale evi lenu tulikulanda syani pa kyamba kya ezi milandu? Pantu twakilekela kukonka mafunde obe
0f090b00aa	awaatwanine kupitila mu babombi bobe bakabika walanda nangue kyalo kimulimukuya kupyana, kitiikeene na bya nkeni bya bekala kyalo, pantu mu kyalo bezuziiziemo bubi bwabo.
0f090c010f	Ni pakako, tekulekelele bakazyana benu kuti boopue na baana babo, ao baana benu balalume kuti boope bakazyana babo, kabili tekuti mukakite nabo bukibuza pa musita uli onse, evi mukabe ni maka ni kulia bilio biweme bya mu kyalo, ni kusiila baana benu bupyani bwa muyayaya.
0f090d0102	Ni pa kyamba kya bebi byonse byaatuponeene, byaakitikile pa mulandu wa bikitua byetu bibiipile, ni pa mulandu wa kilubo kyetu kikata, inzi twamona nangue wewe Leza wetu tewakitukanda nga mubeeleele bibalo byetu, wewe wakilengia kuti tusyalepo nga evi vituli.
0f090e009b	Kubako kabili kuti twainoona mafunde obe mu kuupana ni bekala kyalo balibakita bebi bilubo? Eba, teulikutufiitilua ni kutulovia pasili kupususiapo ata umo?
0f090f00d0	We Yawe Leza wa Baizraeli! Wewe uli mulunghami, pantu fwefue i baasyelepo bapusukile, ni evi vyenka, mona tuluviizie ku menso obe, pantu tekuli muntu wakuvinda kwimana ku menso obe pa mulandu wa bobu bubi.”
0f0a0100e5	Ezra lu-aali wapepa ni kulapila walimukulila ni kuya waipooza pansi pa ntanzi ya Nghanda yakua Leza, libumba likata lya Baizraeli, balalume ni banakazi pamo ni baana, baamukolongheene. Baba bantu baalilile sana ni bulanda bukata.
0f0a0200d1	Ni Sekania mwina Yehieli, umo wa mu bena Elamu, waamwanine Ezra nangue, “Fwefue twakiluvia kuli Leza wetu pantu twakyupa banakazi Bazima, inzi anzia kili evio, maswapi akiliko ku Baizraeli palua ozu mulandu.
0f0a0300cf	Kansi evi, tukite kipingo ni Leza wetu kya kukaana banakazi bonse, pamo ni bonse baavyelueko kukonkana ni nsokezi yakua tawelenzi, ni ya balia balibanakila milao yakua Leza wetu, kikitue kukonkana ni mizilo.
0f0a040059	Kansi buuka pantu ozu ni mwilo obe we bunke, ni fwefue tuli pamo nobe. Ikoselezie sie.”
0f0a050092	Kupwako, Ezra wabuuka ni kubalapizia bakulu ba babitambua, ni Balawi, ni Baizraeli bonse kuti bakabe kukita kukonkana ni totu twebo, ni bo balapa.
0f0a0600f3	Ezra i lu-aabuukile kufuma pa ntanzi ya Nghanda yakua Leza, waingila mu muputule wakua Yohanani mwina Eliasibu, koko kwaaleele pasili kulia kantu ao kumina menda, pantu waali walimukulila pa mulandu wa bibalo bya balia baali bafumine mu buzia.
0f0a07006f	Baapundile mu Yudea ni mu Yeruzalemu ku bantu bonse baabwelele kufuma mu buzia kuti bakolonghane mu Yeruzalemu,
0f0a0800c4	kabili onse asikasangua waizile mu ezi nsiku itatu, nga mwaalandiile masiiko ni babiloolo, waakapokua bunonsi bwakue bonse, ni ye mwine waakakumbua mu libumba lya balia baabwelele kufuma mu buzia.
0f0a09012a	Bantu bonse ba mu mukowa wakua Yuda ni wakua Benyamina, baakolongheene mu Yeruzalemu mu ezio nsiku itatu, ozo waali mwezi wa fundi pa nsiku 20 ya mwezi, ni bantu bonse baikeele pa kifuka kya pa musolo wa Nghanda yakua Leza balimukututuma na mwezo wa ezi milandu, kabili pantu kwaali ni nvula ikata.
0f0a0a007c	Kitambua Ezra waimeene ni kubaana nangue, “Mwakiluvia pa kuupa banakazi Bazima, ni kulunda bilubo pa bilubo bya Baizraeli.
0f0a0b0091	Ni pakako, lapile kuli Yawe Leza wa babikolue benu ni kukita mwatoneene, kabili mwikeke ku Bazima bonse ba mu kyalo, pamo ni ku bakazi Bazima.”
0f0a0c005b	Kupwako, libumba lyonse lya-asuka na lizui likata nangue, “Tulikukita nga muwalandila.”
0f0a0d00c6	Baatwaliliile kulanda nangue, “Inzi bantu bavulile, ni nvula ilimukunoka, kabili tetuvinda kwimana panze, ezi miilo te ya busiku bumo ao nsiku ibili sie, pantu tuli ni bilubo bingi pa ozu mulandu.
0f0a0e0138	Kansi evi, banombozi betu bemaniineko libumba lyonse, ni balia bonse ba mu mizi yetu boopile banakazi Bazima, baye baiza kubalua bantu pa musita ubapeelue baseekeziiziwe na masiiko ni bapinguzi ba mu muzi. Kine twakita evio, kikonko kyakua Leza kyakaba kufumiiwa pali fwefue, pa mulandu wa bilubo bitwakikita.”
0f0a0f0073	Yonatana sie mwina Asaheli, ni Yazeia mwina Tikwa i basyaitabiile ozu mulandu, pamo ni Mesulamu, ni Sabetai Mulawi.
