0100000018	ઊત્પત્તિ
13480f0136	રાજા જીવશે! તેમને શેબાનું સોનું આપવામાં આવશે. લોકો તેના માટે નિત્ય પ્રાર્થના કરશે; ઈશ્વર તેમને આખો દિવસ આશીર્વાદ આપશે.
134810012e	દેશમાં પર્વતોનાં શિખરો પર પુષ્કળ ધાન્ય પાકશે; તેનાં ફળ લબાનોનનાં ફળ જેવાં ઝૂલશે અને નગરના રહેવાસીઓ ઘાસની જેમ વધશે.
1348110146	રાજાનું નામ સર્વદા રહેશે; સૂર્ય તપે ત્યાં સુધી તેમનું નામ ટકશે; તેમનામાં લોકો આશીર્વાદ પામશે. સર્વ દેશનાઓ તેમની સ્તુતિ કરશે.
13481200d0	યહોવાહ ઈશ્વરની, ઇઝરાયલના ઈશ્વરની, સ્તુતિ થાઓ, એકલા તે જ આશ્ચર્યકારક કામો કરે છે.
1348130102	સર્વકાળ માટે તેમના ગૌરવી નામને પ્રશંસા હોજો અને આખી પૃથ્વી તેમના મહિમાથી ભરપૂર થાઓ. આમીન તથા આમીન.
1348140076	યિશાઈના પુત્ર દાઉદની પ્રાર્થનાઓ પૂર્ણ થઈ છે.
13490100ab	ઇઝરાયલ કે, જેઓનાં હૃદય શુદ્ધ છે, તેઓના પર, ઈશ્વર ખરેખર પરોપકારી છે.
13490200b9	પણ મેં તો મારે પગે લગભગ ઠોકર ખાધી હતી; હું પગલાં ભરતાં લગભગ લપસી ગયો હતો.
13490300c7	કારણ કે જ્યારે મેં દુષ્ટોની સમૃદ્ધિ જોઈ, ત્યારે મેં ગર્વિષ્ઠોની અદેખાઈ કરી.
13490400a6	કેમ કે મરણ સમયે તેઓને વેદના થતી નથી, પણ તેઓ મજબૂત અને દ્રઢ રહે છે.
13490500b1	તેઓના પર માનવજાતનાં દુ: ખો આવતાં નથી; બીજાઓની જેમ તેઓને પીડા થતી નથી.
13490600ba	તેઓનો ગર્વ ગળાની કંઠી જેવો છે, જે વસ્ત્રની જેમ જુલમ તેઓને ઢાંકી રાખે છે.
13490700de	તેઓની દુષ્ટતા તેઓનાં હૃદયમાંથી ઊભરાયા કરે છે; તેઓના મનની દુષ્ટ કલ્પનાઓ ઊભરાઈ જાય છે.
13490800ab	તેઓ નિંદા કરે છે અને ભૂંડાઈ વિષે બોલે છે; તેઓ જુલમની બડાઈ હાંકે છે.
13490900a8	તેઓ આકાશો વિરુદ્ધ બોલે છે અને પૃથ્વીમાં તેઓની જીભ છૂટથી ચાલે છે.
13490a00aa	એ માટે ઈશ્વરના લોકો તેમની તરફ ફરશે અને તેઓ ઊભરાતું પાણી પી જાય છે.
13490b00e0	તેઓ પૂછે છે કે, “ઈશ્વર કેવી રીતે જાણે છે? શું ચાલી રહ્યું છે તે વિષે ઈશ્વર માહિતગાર છે?”
13490c00d2	જુઓ, આ લોકો દુષ્ટ છે; હંમેશાં શાંતિમાં રહીને તેઓ વધારે અને વધારે ધનવાન થતા જાય છે.
13490d00e5	ખરેખર મેં મારું હૃદય અમથું શુદ્ધ રાખ્યું છે અને મેં મારા હાથ નિરર્થક નિર્દોષ રાખ્યા છે.
13490e00b7	કારણ કે આખો દિવસ હું પીડાયા કરું છું અને દરરોજ સવારે મને શિક્ષા થાય છે.
13490f00e0	જો મેં કહ્યું હોત, “હું આ પ્રમાણે બોલીશ,” તો હું તમારા દીકરાઓની પેઢીનો વિશ્વાસઘાત કરત.
13491000a9	તો પણ આ બાબતો સમજવાને માટે મેં કોશિશ કરી, એ મારા માટે ખૂબ અઘરી હતી.
13491100bd	પછી હું ઈશ્વરના પવિત્રસ્થાનમાં ગયો અને ત્યાં તેઓના અંત વિષે હું સમજ્યો.
13491200a6	ચોક્કસ તમે તેઓને લપસણી જગ્યામાં મૂકો છો; તમે તેઓનો વિનાશ કરો છો.
134913009b	તેઓ એક ક્ષણમાં કેવા નષ્ટ થાય છે! તેઓ ધાકથી છેક નાશ પામેલા છે.
1349140113	માણસ જાગે કે તરત જ તે જેમ સ્વપ્ન હતું ન હતું થઈ જાય છે, તેમ, હે પ્રભુ, તમે જાગીને તેઓની પ્રતિમાને તુચ્છ કરશો.
13491500ad	કેમ કે મારું હૃદય વ્યાકુળ થયું અને હું બહુ ગંભીર રીતે ઝખમી થયો છું.
13491600a0	હું એવો જડબુદ્ધિનો તથા અજ્ઞાન હતો; હું તમારી આગળ પશુ જેવો હતો.
13491700a1	પણ હું હંમેશા તમારી સાથે છું; તમે મારો જમણો હાથ પકડી રાખ્યો છે.
13491800b7	તમારા બોધથી મને દોરવણી આપશો અને પછી તમારા મહિમામાં મારો સ્વીકાર કરશો.
13491900bd	આકાશમાં તમારા વિના મારું બીજું કોણ છે? પૃથ્વી પર મારો બીજો કોઈ પ્રિય નથી.
13491a00cb	મારું શરીર તથા હૃદયનો ક્ષય થાય છે, પણ ઈશ્વર સદાકાળ મારા હૃદયનો ગઢ તથા વારસો છે.
13491b00cb	જેઓ તમારાથી દૂર છે તેઓ નાશ પામશે; જેઓ તમને અવિશ્વાસુ છે તે સર્વનો તમે નાશ કરશો.
13491c012c	પણ ઈશ્વર પાસે આવવું, તેમાં મારું ભલું છે. મેં પ્રભુ યહોવાહને મારો આશ્રય કર્યો છે. હું તમારાં સર્વ કૃત્યો પ્રગટ કરીશ.
134a01013c	આસાફનું માસ્કીલ. હે ઈશ્વર, તમે અમને સદાને માટે કેમ તજી દીધા છે? તમારા ચારાનાં ઘેટાં વિરુદ્ધ તમારો કોપનો ધુમાડો કેમ ચઢે છે?
134a0201a6	પુરાતન સમયમાં તમે લોકોને પસંદ કરીને ખરીદ્યા હતા, જેને તમે તમારા વતનનો વારસો થવાને છોડાવ્યા છે તેઓનું સ્મરણ કરો; અને સિયોન પર્વત, જ્યાં તમે રહો છો તેનું સ્મરણ કરો.
134a0300ea	આવો અને આ ખંડિયેર તરફ નજર કરો, તમારા પવિત્રસ્થાનમાં શત્રુઓએ ઘણું નુકસાન કર્યું છે, તે જુઓ.
134a0400e1	તમારા પવિત્રસ્થાનમાં તમારા શત્રુઓએ બુમરાણ કરી મૂકી છે; તેઓએ પોતાના ઝંડા ઊભા કર્યા છે.
134a05009c	જંગલનાં વૃક્ષો પર કુહાડા ઉગામનારાઓના જેવા તેઓ માલૂમ પડ્યા.
134a06009b	તેઓ કુહાડી તથા હથોડાથી તેનું તમામ નકશીદાર કામ તોડી નાખે છે.
134a070100	તેઓએ તમારા પવિત્રસ્થાનને આગ લગાડી છે; તેઓએ તમારું નિવાસસ્થાન ભ્રષ્ટ કરીને ધૂળમાં મેળવી દીધું છે.
134a080117	તેઓએ પોતાના હૃદયોમાં કહ્યું, “આપણે તે સર્વનો નાશ કરીશું.” તેઓએ દેશમાંના બધાં સભાસ્થાનોને બાળી મૂક્યાં છે.
134a09014f	અમે ઈશ્વર તરફથી એક પણ ચમત્કાર કે ચિહ્નો જોઈ શકતા નથી; ત્યાં કોઈ પ્રબોધક નથી અને આવું ક્યાં સુધી ચાલશે તે જાણનાર અમારામાં કોઈ નથી.
134a0a0106	હે ઈશ્વર, ક્યાં સુધી અમારા શત્રુઓ તમારા નામનું અપમાન કરશે? શું શત્રુ હંમેશાં તમારા નામની નિંદા કરશે?
134a0b0115	તમે તમારો હાથ, હા, તમારો જમણો હાથ, કેમ પાછો ખેંચો છો? તમારા ઉરમાંથી તમારો જમણો હાથ બહાર લાવીને તેઓનો નાશ કરો.
134a0c00b2	તોપણ પુરાતન કાળથી, ઈશ્વર મારા રાજા છે, પૃથ્વી પર ઉદ્ધાર કરનાર તે જ છે.
134a0d010c	તમે તમારા મહાન પરાક્રમ વડે રાતા સમુદ્રના બે ભાગ પાડ્યા; વળી તમે પાણીમાં મહા અજગરનો માથાં ફોડી નાખ્યાં.
134a0e00f3	તમે મહા મગરમચ્છનાં માથાના કકડેકકડા કરી નાખ્યા; તમે તેને અરણ્યમાં રહેતા લોકોને ખાવાને આપ્યો.
134a0f00be	ઝરાઓ તથા નાળાંઓમાં તમે રસ્તા પાડ્યા; તમે નિરંતર વહેતી નદીઓને સૂકવી નાખી.
134a1000d8	દિવસ તમારો છે અને રાત પણ તમારી છે; તમે સૂર્ય તથા ચંદ્રને તેની જગ્યાએ સ્થિર કર્યા છે.
134a1100a5	તમે પૃથ્વીની સીમાઓ સ્થાપન કરી છે; તમે ઉનાળો તથા શિયાળો ઠરાવ્યા.
134a1200f5	હે યહોવાહ, શત્રુઓ તમારી મશ્કરી કરે છે અને મૂર્ખ લોકો તમારા નામની નિંદા કરે છે, તેનું સ્મરણ કરો.
134a1300fc	તમારા કબૂતરનો જીવ હિંસક પશુઓનાં હાથમાં જવા દેશો નહિ; તમારા પીડિત લોકોને સદાને માટે ભૂલી જશો નહિ.
134a1400f3	તમે કરેલા કરારનું સ્મરણ કરો, કેમ કે પૃથ્વીના અધર્મરૂપી અંધકારવાળા ભાગો બળાત્કારથી ભરપૂર છે.
134a1500e0	દુ: ખી લોકોને બદનામ કરીને પાછા હઠાવતા નહિ; દરિદ્રીઓ અને લાચારો તમારા નામનું સ્તવન કરે.
134a160107	હે ઈશ્વર, તમે ઊઠો તમારા પોતાના પક્ષની હિમાયત કરો; મૂર્ખ માણસો આખો દિવસ તમારું અપમાન કરે છે, તે યાદ કરો.
134a170103	તમારા શત્રુઓની વાણી અને તમારી વિરુદ્ધ બંડ ઉઠાવનારાઓનો ઘોંઘાટ, નિત્ય ઊંચો ચઢે છે, તે તમે વીસરશો નહિ.
134b0101f8	મુખ્ય ગવૈયાને માટે; રાગ આલ-તાશ્ખેથ આસાફનું ગીત; ગાયન હે ઈશ્વર, અમે તમારો આભાર માનીએ છીએ; અમે તમારો આભાર માનીએ છીએ, કેમ કે તમે તમારી હાજરીને પ્રગટ કરો છો; લોકો તમારાં આશ્ચર્યકારક કામો પ્રગટ કરે છે.
134b02007d	પ્રસંગ આવશે ત્યારે હું તમારો યથાર્થ ન્યાય કરીશ.
134b0300df	જો કે પૃથ્વી તથા તેમાં રહેનારાં બધાં ક્ષય પામે, તો હું તેના સ્તંભો સ્થાપન કરીશ. (સેલાહ)
134b0400cb	મેં ઘમંડીઓને કહ્યું, “અભિમાન કરશો નહિ” અને દુષ્ટોને કહ્યું, “શિંગ ઉઠાવશો નહિ.
134b050073	તમારું શિંગ ઊંચું ન કરો; અભિમાન સાથે ન બોલો.”
134b060098	ઉન્નતિ દક્ષિણ કે પૂર્વ બાજુએથી આવતી નથી, ના તો અરણ્યમાંથી.
134b0700b8	પણ ઈશ્વર ન્યાયાધીશ છે; તે એકને નીચે પાડી નાખે છે અને બીજાને ઊંચો કરે છે.
134b0801b6	કેમ કે યહોવાહના હાથમાં રાતા દ્રાક્ષારસનો પ્યાલો છે, તે તેજાનાની મેળવણીથી ભરેલો છે તેમાંથી તે પીરસે છે. નિશ્ચે પૃથ્વીના દુષ્ટ લોકો નીચે પડી રહેલો છેલ્લો કૂચો ચૂસી જશે.
134b0900d5	પણ હું તો સદાકાળ બીજાઓને તમારાં કર્યો વિષે કહીશ; હું યાકૂબના ઈશ્વરની સ્તુતિ ગાઈશ.
134b0a00ed	તે કહે છે કે, “હું દુષ્ટોનાં સર્વ શિંગ કાપી નાખીશ, પણ ન્યાયીઓનાં શિંગો ઊંચાં કરવામાં આવશે.”
134c010154	મુખ્ય ગવૈયાને માટે; તારવાળાં વાજાં સાથે ગાવાને, આસાફનું ગીત; ગાયન. યહૂદિયામાં ઈશ્વર પ્રગટ થયેલા છે; ઇઝરાયલમાં તેમનું નામ મોટું છે.
134c020099	તેમનો મંડપ સાલેમમાં છે અને તેમનું નિવાસસ્થાન સિયોનમાં છે.
134c03011b	ત્યાં તેમણે ધનુષ્યનાં ચળકતાં બાણોને ભાંગી નાખ્યાં, ઢાલ, તલવાર તથા યુદ્ધસામગ્રી તેમણે ભાંગી નાખ્યાં. (સેલાહ)
134c040076	સનાતન પર્વતોમાંથી તમે મહિમાવાન તથા ઉત્તમ છો.
134c0500d3	જેઓ શૂરવીર છે, તેઓ લૂંટાયેલા છે, તેઓ નિદ્રાવશ થયા છે. સર્વ લડવૈયાઓ અસહાય થઈ ગયા છે.
134c0600b8	હે યાકૂબના ઈશ્વર, તમારી ધમકીથી રથ અને ઘોડા બન્ને ભરનિદ્રામાં પડ્યા છે.
134c0700d1	તમે, હા, તમે ભયાવહ છો; જ્યારે તમે કોપાયમાન થાઓ, ત્યારે તમારી સામે કોણ ઊભું રહી શકે?
134c0800ab	તમે આકાશમાંથી ન્યાય ચુકાદો ફરમાવ્યો, ધરતી ભયભીત બનીને શાંત થઈ ગઈ.
134c0900e5	હે ઈશ્વર, તમે ન્યાય કરવા માટે અને પૃથ્વીના સર્વ ગરીબોને બચાવવાને માટે ઊભા થયા છે. (સેલાહ)
134c0a00cf	નિશ્ચે માણસનો કોપ તમારું સ્તવન કરશે. બાકી રહેલો તેનો કોપ તમે તમારી કમરે બાંધશો.
134c0b0104	તમે તમારા ઈશ્વર યહોવાહની પ્રતિજ્ઞાઓ લઈને પૂરી કરો. તેમની આસપાસના સર્વ ભયાવહ ઈશ્વરની પાસે દાન લાવો.
134c0c00b6	તે રાજકુમારોનું અભિમાન ઉતારશે; પૃથ્વીના રાજાઓની પ્રત્યે તે ભયાવહ છે.
134d010193	મુખ્ય ગવૈયાને માટે; યદૂથૂનની રીત પ્રમાણે રચેલું. આસાફનું ગીત. હું ઈશ્વરની આગળ મારી વાણી પોકારીશ; હું મારી વાણીથી ઈશ્વરને પોકારીશ અને ઈશ્વર મારું સાંભળશે.
134d020169	મારા સંકટના દિવસે મેં પ્રભુને પોકાર્યા. મેં તેમની તરફ મારા હાથ ઊંચા રાખીને આખી રાત પ્રાર્થના કરી; મારા આત્માએ દિલાસો સ્વીકારવાની ના પાડી.
134d030110	હું ઈશ્વરનું સ્મરણ કરીને વ્યાકુળ થાઉં છું; હું તેમના વિષે વિચારું છું, તો હું મૂર્છિત થઈ જાઉં છું. (સેલાહ)
134d0400b3	તમે મને મારી આંખો બંધ કરવા દેતા નથી; હું મુશ્કેલીમાં બોલી શકતો નહોતો.
134d05008a	હું અગાઉના દિવસોનો, પૂર્વના ભૂતકાળનો વિચાર કરું છું.
134d0600c3	રાતના સમયે મારું ગાયેલું ગીત મને યાદ આવે છે. હું ઘણી ગંભીરતાથી વિચારું છું.
134d0700aa	શું પ્રભુ મને સર્વકાળને માટે તજી દેશે? શું તે ફરી પ્રસન્ન થશે નહિ?
134d0800ab	શું તેમની કૃપા સદાને માટે જતી રહી છે? શું તેમનું વચન સદાકાળ રદ જશે?
134d090105	અમારા પર કૃપા કરવાનું ઈશ્વર શું ભૂલી ગયા છે? શું તેમણે તેમની સહાનુભૂતિને કોપમાં બદલી નાખી છે? (સેલાહ)
134d0a00c0	મેં કહ્યું, “આ તો મારું દુઃખ છે: પરાત્પરના જમણા હાથનાં વર્ષો હું સંભારીશ.”
134d0b00e4	પણ હું યહોવાહનાં કૃત્યોનું સ્મરણ કરીશ; તમારા પુરાતન કાળના ચમત્કાર વિષે હું વિચાર કરીશ.
134d0c00b1	હું તમારાં સર્વ કામોનું મનન કરીશ અને તમારાં કૃત્યો વિષે વિચાર કરીશ.
134d0d00bb	હે ઈશ્વર, તમારા માર્ગો પવિત્ર છે, આપણા મહાન ઈશ્વર જેવા બીજા ઈશ્વર કોણ છે?
134d0e00be	તમે ચમત્કાર કરનાર ઈશ્વર છો; તમે લોકોમાં તમારું સામર્થ્ય પ્રગટ કર્યું છે.
134d0f00db	તમે તમારા મહાન પરાક્રમ વડે લોકોને, એટલે યાકૂબના તથા યૂસફના વંશજોને વિજય અપાવ્યો છે.
134d1000bd	હે ઈશ્વર, સાગરો તમને જોયા; સાગરો તમને જોઈને ગભરાયાં; ઊંડાણો પણ ધ્રૂજ્યાં.
134d1100b7	વાદળોએ પાણી વરસાવ્યાં; આકાશે ગર્જના કરી; તમારાં બાણો ચારેબાજુ ઊડ્યાં.
134d1200f3	તમારી ગર્જનાનો અવાજ વંટોળિયામાં હતો; વીજળીઓએ જગતને પ્રકાશિત કર્યું; પૃથ્વી કાંપી તથા હચમચી.
134d1300fb	તમારો માર્ગ તો સમુદ્રમાં અને તમારી વાટો મહાજળમાં હતી, પણ તમારાં પગલાં કોઈના જોવામાં આવ્યાં નહિ.
134d1400b9	તમે મૂસા તથા હારુનની મારફતે તમારા લોકોને ઘેટાંનાં ટોળાંની જેમ દોર્યા.
134e0100dc	આસાફનું માસ્કીલ. મારા લોકો, મારો નિયમ સાંભળો, મારા મુખના શબ્દોને તમે ધ્યાનથી સાંભળો.
134e0200ae	હું ડહાપણ વિશેનું ગીત ગાઈશ; હું ભૂતકાળનાં રહસ્યોની વાત સમજાવીશ કે,
134e0300ad	જે વાત આપણે સાંભળી છે તથા શીખ્યા છીએ જે આપણા પૂર્વજોએ આપણને કહી છે.
134e04015e	યહોવાહનાં સ્તોત્ર, તેમનું સામર્થ્ય તથા તેમનાં કરેલાં આશ્ચર્યકારક કામો આવતી પેઢીને જાહેર કરીને તેઓના વંશજોથી આપણે તે સંતાડીશું નહિ.
134e05015f	કારણ કે તેમણે યાકૂબ સાથે તેમનો કરાર કર્યો અને ઇઝરાયલમાં નિયમ ઠરાવ્યો. તેમણે આપણા પૂર્વજોને આજ્ઞા કરી કે તેઓ પોતાનાં બાળકોને પણ શીખવે.
134e060122	જેથી આવતી પેઢીનાં જે બાળકો જન્મે તેઓ તે જાણે, તેઓ મોટાં થઈને પોતાનાં સંતાનોને તે જણાવે, માટે તેમણે આજ્ઞા આપી છે.
134e0700fc	જેથી તેઓ સહુ ઈશ્વરની આશા રાખે અને તેમનાં અદ્દભુત કાર્યોને વીસરી જાય નહિ, પણ તેમની આજ્ઞાઓને પાળે.
134e080190	પછી તેઓ પોતાના પૂર્વજોના જેવા ન થાય, કે જેઓ હઠીલા તથા બંડખોર પેઢીના છે, એવી પેઢી કે જેઓનાં હૃદય સ્થિર નથી અને જેઓનો આત્મા સમર્પિત કે ઈશ્વરને વિશ્વાસુ નથી.
134e0900d5	એફ્રાઇમના લોકો શસ્ત્રસજ્જિત ધનુર્ધારી હોવા છતાં પણ લડાઈના દિવસમાં પાછા હઠી ગયા.
134e0a00b7	તેઓએ ઈશ્વરનો કરાર પાળ્યો નહિ અને તેમના નિયમ પ્રમાણે વર્તવાની ના પાડી.
134e0b00ce	તેમણે કરેલાં અદ્દભુત કાર્યો, ચમત્કારો તેમણે તેઓને બતાવ્યા હતા તે તેઓ ભૂલી ગયા.
134e0c00e5	મિસર દેશમાં, સોઆનનાં ક્ષેત્રમાં, તેઓના પૂર્વજોની આગળ તેમણે આશ્ચર્યકારક કૃત્યો કર્યાં.
134e0d00ee	તેમણે સમુદ્રના બે ભાગ કરીને તેઓને પાર બહાર લાવ્યા; તેમણે દીવાલની જેમ પાણીને સ્થિર રાખ્યાં.
134e0e0094	તે તેઓને દિવસે મેઘથી અને આખી રાત અગ્નિના પ્રકાશથી દોરતા.
134e0f00df	તેમણે અરણ્યમાં ખડકને તોડીને અને ઊંડાણમાંથી વહેતું હોય તેમ પુષ્કળ પાણી તેઓને આપ્યું.
134e1000bc	તેમણે ખડકમાંથી પાણીની ધારો કાઢી અને વહેતી નદીની જેમ પ્રવાહ વહેવડાવ્યો.
134e11010e	તેમ છતાં તેઓએ તેમની વિરુદ્ધ પાપ કરવાનું ચાલુ જ રાખ્યું, અરણ્યમાં પરાત્પરની વિરુદ્ધ તેઓ બંડ કરતા રહ્યા.
134e1200d5	પોતાના ખાઉધરાપણાને વશ થઈને ખોરાક માગીને તેઓએ પોતાના હૃદયથી ઈશ્વરની પરીક્ષા કરી.
134e1300cf	તેઓ ઈશ્વરની વિરુદ્ધ બોલ્યા; તેઓએ કહ્યું, “શું અરણ્યમાં ઈશ્વર મેજ તૈયાર કરી શકે?
134e1401c5	જુઓ, જ્યારે તેમણે ખડકને લાકડી મારી, ત્યારે પાણી વહી આવ્યું અને પાણીનાં ઝરણાં વહેવા માંડ્યાં. પણ શું તે આપણને રોટલી આપી શકે છે? શું તે પોતાના લોકોને માટે માંસ પૂરું પાડી શકશે?”
134e150142	જ્યારે યહોવાહે આ સાંભળ્યું, ત્યારે તેઓ ગુસ્સે થયા; તેથી યાકૂબની વિરુદ્ધ તેમનો અગ્નિ ઊઠ્યો અને ઇઝરાયલ પર તેમનો કોપ ભભૂક્યો,
134e1600e9	કારણ કે તેઓએ ઈશ્વર પર વિશ્વાસ કર્યો નહિ અને તેમના દ્વારા મળતા ઉદ્ધાર પર ભરોસો રાખ્યો નહિ.
134e1700a0	છતાં તેમણે વાદળાંને આજ્ઞા આપી અને આકાશના દ્વાર ખોલી નાખ્યાં.
134e1800c2	તેઓના ખોરાક માટે માન્નાની વૃષ્ટિ કરી અને તેમણે સ્વર્ગમાંથી ધાન્ય આપ્યું.
134e1900bc	લોકોએ દૂતોનો ખોરાક ખાધો. અને તેઓ તૃપ્ત થયા ત્યાં સુધી તેમણે ભોજન આપ્યું.
134e1a00f1	તેમણે આકાશમાં પૂર્વ તરફથી પવન ફુંકાવ્યો અને પોતાના સામર્થ્યથી દક્ષિણ તરફથી પવન ફુંકાવ્યો.
134e1b00d9	તેમણે ધૂળની જેમ માંસ અને સમુદ્રની રેતીની જેમ પીંછાવાળા પક્ષીઓ તેઓના પર વરસાવ્યાં.
134e1c00a9	તેમણે તેઓની છાવણી મધ્યે અને તેઓના તંબુઓની ચારેબાજુએ તે પાડ્યાં.
134e1d00b4	લોકો ધરાઈ રહ્યા ત્યાં સુધી ખાધું. તેઓના માગ્યા પ્રમાણે તેમણે આપ્યું.
134e1e00c3	પણ તેઓ તેમની ભૂખનું નિયંત્રણ કરી શક્યા નહિ; તેઓનો ખોરાક તેઓના મુખમાં જ હતો,
134e1f0148	એટલામાં, ઈશ્વરનો કોપ તેઓ પર પ્રગટ્યો અને તેઓમાંના હુષ્ટપુષ્ટોને મારી નાખ્યા. તેમણે ઇઝરાયલના શ્રેષ્ઠ યુવાનોને મારી નાખ્યાં.
134e2000aa	આમ છતાં, તેઓ પાપ કરતા રહ્યા અને તેમના ચમત્કારો પર ભરોસો કર્યો નહિ.
134e2100e5	માટે ઈશ્વરે તેઓના દિવસો વ્યર્થપણામાં સમાપ્ત કર્યા; અને તેઓનાં વર્ષોને ત્રાસથી ભર્યાં.
134e220124	જ્યારે જ્યારે ઈશ્વરે તેઓને દુઃખી કર્યા, ત્યારે તેઓએ તેમને શોધ્યા અને તેઓ પાછા ફરીને આતુરતાથી તેમને શરણે આવ્યા.
134e2300ca	તેઓએ યાદ કર્યુ કે ઈશ્વર તેઓના ખડક છે અને પરાત્પર ઈશ્વર તે જ તેઓના છોડાવનાર છે.
134e2400d1	પણ તેઓએ પોતાના મુખે તેમની પ્રશંસા કરી અને પોતાની જીભે તેમની સમક્ષ જૂઠું બોલ્યા.
134e2500ed	કેમ કે તેઓનાં હૃદય તેમના પ્રત્યે વિશ્વાસુ નહોતાં અને તેઓ તેમના કરાર પ્રત્યે વફાદાર નહોતા.
134e26018b	તેમ છતાં તેમણે, દયા દર્શાવી, તેઓનાં પાપોની ક્ષમા આપી અને તેઓનો નાશ ન કર્યો. હા, ઘણીવાર તેમણે પોતાનો ક્રોધ સમાવી દીધો અને પોતાનો પૂરો કોપ પ્રગટ કર્યો નહિ.
134e2700b9	તેમણે સંભાર્યુ કે તેઓ દેહથી બનેલા છે એક ક્ષણમાં પસાર થતાં વાયુ જેવા છે.
134e2800cf	તેઓએ કેટલી વાર અરણ્યમાં તેમની વિરુદ્ધ બંડ કર્યું અને રાનમાં તેમને દુ: ખી કર્યા!
134e2900ae	વારંવાર તેઓએ ઈશ્વરની કસોટી કરી અને ઇઝરાયલના પવિત્રને દુ: ખી કર્યા.
134e2a0116	તેઓ તેમનાં મહાન સામર્થ્યનો વિચાર કર્યો નહિ, તેમણે કેવી રીતે તેઓને શત્રુઓથી છોડાવ્યા, તે પણ યાદ કર્યું નહિ.
134e2b00f9	મિસરમાં તેમણે જે ચમત્કારિક ચિહ્નો અને સોઆનના મેદાનમાં આશ્ચર્યકર્મો કર્યા હતાં તે પણ ભૂલી ગયા.
134e2c00fb	તેમણે તેઓની નદીઓને તથા તેઓના વહેળાઓને લોહી વહેતાં બનાવી દીધાં જેથી તેઓ તે ઝરણામાંથી પી શકે નહિ.
134e2d0100	તેમણે મધમાખીઓનું મોટું ઝૂંડ મોકલ્યું, તે મધમાખીઓ તેઓને કરડી અને દેડકાંઓએ બધી વસ્તુઓનો નાશ કર્યો.
134e2e00b1	તેઓની ફસલ તેમણે કાતરાઓને આપી અને તેઓની મહેનતનું ફળ તીડને આપી દીધું.
134e2f00d1	તેમણે કરાથી તેઓની દ્રાક્ષવાડીઓ અને હિમથી તેઓનાં ગુલ્લરવૃક્ષોનો નાશ કર્યો હતો.
134e3000ac	તેમણે તેઓનાં જાનવર કરાને અને તેઓનાં ટોળાં વીજળીને સ્વાધીન કર્યા.
134e31011f	તેમણે પોતાનો કોપ તેઓ પર પ્રગટ કર્યો, તેમણે રોષ, ગુસ્સો અને તિરસ્કાર તેઓની વિરુદ્ધ સંહારક દૂતોની માફક મોકલ્યા.
134e320109	તેમણે પોતાના કોપ માટે રસ્તો ખુલ્લો કર્યો; તેમણે મરણથી તેઓના પ્રાણ બચાવ્યા નહિ પણ તેઓના પર મરકી મોકલી.
134e33010a	તેમણે મિસરમાં સર્વ પ્રથમજનિતને મારી નાખ્યા; હામના તંબુઓમાં તેઓના પ્રથમ પ્રથમજનિત નરબાળકોને માર્યા.
134e34010c	તે પોતાના લોકોને ઘેટાંનાં ટોળાંની જેમ બહાર લાવ્યાં અને તેમણે અરણ્યમાં થઈને તેઓને ટોળાંની જેમ દોર્યા.
134e3500e6	તેમણે તેઓને એવા સુરક્ષિત ચલાવ્યા કે તેઓ બીધા નહિ, પણ સમુદ્રના પાણી શત્રુઓ પર ફરી વળ્યાં.
134e360114	અને તેમણે તેઓને તેની પવિત્ર ભૂમિમાં, એટલે તેમને જમણે હાથે ખરીદાયેલા આ પહાડી દેશમાં પોતાના લોકોને લાવ્યા.
134e37015b	તેમણે તેઓની આગળથી વિદેશીઓને કાઢી મૂક્યા અને જમીન માપીને ઇઝરાયલનાં કુળોને વારસાના ભાગ પાડી આપ્યા અને તેમને તેઓના તંબુઓમાં વસાવ્યા.
134e380123	તોપણ તેઓએ પરાત્પર ઈશ્વરની કસોટી કરવાનું તથા તેમની વિરુદ્ધ બંડ કરવાનું ચાલુ રાખ્યું અને તેમની આજ્ઞાઓ પાળી નહિ.
134e390131	તેઓ તેમના પૂર્વજોની જેમ પાછા ફરી જઈને અવિશ્વાસુઓની જેમ વર્તવા લાગ્યા; વાંકા ધનુષ્યના બાણની જેમ તેઓ આડે રસ્તે ચઢ્યા.
134e3a0105	કેમ કે તેઓએ પોતાનાં ઉચ્ચસ્થાનો બનાવીને અને પોતાની કોરેલી મૂર્તિઓ વડે તેમને ઈર્ષ્યા ઉત્પન્ન કર્યો.
134e3b00d7	જ્યારે ઈશ્વરે એ સાંભળ્યું, ત્યારે તે ગુસ્સે થયા અને ઇઝરાયલનો પૂરેપૂરો નકાર કર્યો.
134e3c00ec	તેથી તેમણે શીલોહ નગરનો માંડવો એટલે જે તંબુ તેમણે માણસોમાં ઊભો કર્યો હતો, તેનો ત્યાગ કર્યો.
134e3d00c1	તેમણે પોતાનું સામર્થ્ય બંધનમાં અને પોતાનું ગૌરવ શત્રુના હાથમાં સોંપ્યા.
134e3e00d0	તેમણે પોતાના લોકોને તલવારને સ્વાધીન કર્યા અને પોતાના વારસા પર તે કોપાયમાન થયા.
134e3f00dc	તેઓના યુવાનો અગ્નિથી નાશ પામ્યા અને તેઓની કન્યાઓના લગ્નમાં ગીત ગાવામાં આવ્યાં નહિ.
