2800000006	Mathiu
2e04150074	Sen ih marah ah seechoh han? Bot ethom esuh tamwang hang, tam aleh mongnook moong achaang nyia minchan hui wan hang?
2e050100ad	Amiidi, sen loong chamchi ni roomjup roomtong ah erah than ih thila, rangnak mina ih botse erah than tareeka. Mih ih baat halang mina henuh noolih damdi nep roomjupte je ah!
2e05020097	Emah ang anbah, sen loong ah, mamah jen khuupook an? Erah nang ebah, sen loong ah thungthet etheng, eno emah reete mina ah sendung nawa dokphan etheng.
2e05030132	Eno, nga sakpuh ah sen loong re nawa haloh ni tong ang bah uh, chiiala ni ngah sendam di; eno ngah sen damdi angtang adoh, Teesu Jisu mendi erah thetreete ah jen danjoot etang. Sen loong ah eroom ih ang andi, ngah uh seng damdi roongtong hala Teesu Jisu chaan aphaan ih sen damdi chiiala ni kawaktong hang,
2e0505008f	Sen loong ah ih erah thetreete mina ah heh hansi ah thet haat esuh Soitaan suh koh an, tiimnge liidoh Teesu raaha doh heh chiiala ah toompi ah.
2e0506006b	Sen loong ah tajen khuupook kan! Sen ih to tiitthaak ah jat ehan, [To amasah ih cham thoontang jen nyamha.]
2e05070125	Sen loong ah ih esa angsuh rangdah to ah toohak ah piihaat jaatjaat etheng. Enoobah, amadi anglan ah likhiik sen loong ah to muh cham saachamcham ih ang an. Tiimnge liidi, Khopi Kuwaang ah thok e hala, seng loong khopi theng, Khopi Kuwaang saapsah Kristo baleh seng raang ih ejen tek haat eta.
2e050800ae	Emah ang abah, seng ih Khopi Kuwaang ah rangdah nyi ethih to damdi woi arah baanlo ah phak eno lah angthang, toomuh baanlo saachamcham nyia amiisak baanlo ah phak eno kuh ih.
2e05090082	Sen suh ngah ih le raangmaat tahang adoh mih damdi roomjup roomtong ih o reela erah mina damdoh lasano theng ngeh ih baatrum taha.
2e050a00bf	Enoothong Ranglajatte o mina mih damdi tum roomjupla, nyamnyook, ehuh nyia tongmih soomte suh ngah ih tali kang. Erah loong ah damdoh lasano subah arah mongrep dowa matsoon ih adoh ba ang ah.
2e050b012a	Ngah ih lasano theng liitang abah, o mina ngah ih Kristo hanpi hang ngeh ih raangli ano, mih damdi tum roomjupla, nyamnyook angla, tongmih soomha, mih tek haat ha, khojok khamjok ih tongla adoleh hot huha erah loong asuh bo liitang. Erah likhiik mina damdoh bah phaksat botseh laroom phaksat theng.
2e050c00d0	Erah tokkhodi, chaas mina lah angte loong dande suh ngah o uh tah angkang. Rangte ih ba dande rum ah. Enoothong an chaas te ah tatam dande ko? Rangteele ni liiha, [Sendung dowa milajak ah dokphanhaat etheng.]
2e06010086	Sen Kristaan jaachi nah rookmui jengmui je abah, mat hoon ah rangnak mina taang ni mamah kalan, Rangte mina jiinnah kaat lakbi rah ah?
2e0602009e	Rangte mina ih mongrep ah dande ah ngeh ih tatam jatkan? Erah raangtaan ih sen ih mongrep nep ih jen dande anbah, amasah tiit ajeng ah mamah lajen dande ehan?
2e06030093	Rangsah loong ah seng ih dande theng ngeh ih sen ih tatam jatkan? Erah ang abah, arah roidong dowa tang tiimthan maabaam ang ah lajen dande jih ah!
2e06040063	Erah raangtaan ih tiimthoi doh jengmui anbah uh, chaas mina lah angka asuh tiit ah tampaat thuk an?
2e06050081	Sen rakrek ejih! Sen jaachi ni wasiit taan bah uh eje jaatjaat ang ah sen rookmui jengmui tiitpaat kotte jatwah Kristaan mina ah.
2e06060081	Erah nang ih, kristaan mina ah kristaan wahoh damdi changrook arah mat ah lahanpiite loong taang ni mat hoon nok ni hoonkaat lan!
2e060700d8	Sen loong ah emamah ih rookmui jengmui anno sen teeteewah ih senthet senkhat ah mih suh jen ehan. Erah nang ebah senmoong sentaang laan thang ih anbah ese tam ang ah? Sen teeteewah laan put anbah ese tam laan ang ah?
2e06080058	Hanpiite wahoh loong nang ih, sen loong ah sen jaachi ni mokwaan muilan nyia put muilan.
2e060900dd	Sen loong ih jat ehan milajak ih Rangte Hasong ah tachoka ngeh ah. Sensen nak ngakthak an; o mina ethih tenthunte loong ah, tongmih rangsoomha, minuh misah adoleh misah miwah damdi roomjupla, miwah ah miwah damdi muutuula
2e060a00a0	adoleh o ih hot huha, adoleh nyamnyook, adoleh khomok khampaang angla, adoleh mih tek haat ha adoleh ehuh— erah loong ah o uh Rangte Hasong nah tachoh wangka.
2e060b00c7	Mararah sen loong ah emah angtan. Enoothong rangdah nawa saasiit eh tahan; seng loong ah Rangte lakni look haat choi; Teesu Jisu Kristo nyia Rangte Chiiala nawa ih Rangte damdi epun eh angthuk halan.
2e060c00ee	Mararah ih liiha, “Ngah jaatrep ah jen re ih ang.” Em elang eh ah; enoothong jaatrep ah an raangtaan ih taseeka ang ah. Ngah ejen jeng ih ang jaatrep ah ngah ejen re ih ang ngeh ah, enoothong jaatrep raang ih ngah heh dah tahoon kang.
2e060d0113	Mararah ih mokli ah, “Phaksat ah wok raangtaan ih, wok ah phaksat raangtaan ih.” Elang ih ah; enoothong Rangte ih enyiinyi thoon eh thuk ah. Mina sakpuh ah roomjup roomtong raang ih tah angka, enoothong Teesu mootkaat pakna raangtaan ih; eno Teesu ih sakpuh asuh chokoha.
2e060e006a	Rangte ih Teesu ah tek nawa ngaaksaat thukta, eno heh chaan nawa ih seng loong ah uh ngaaksaat ih thuk he.
2e060f0087	Sen ih jat ehan sen loong sakpuh ah Krsito sakpuh di roopla. Kristo sakpuh ah hansangte sakpuh eh tamhoon thuk an? Mabah uh tami angka!
2e061000ba	Erah lah angka sen ih taheh jatkan miwah o ang abah uh hansangte damdi sakpiin kaatla erah sakpuh damdi heh esiit ih hoonla? Rangteele ni raangha, “Wanyi ah sakpuh esiit ih hoon ah.”
2e06110054	Enoothong o mina Teesu damdi roomla erah moong achaang ni heh damdi esiit ih hoonla.
2e061200bd	Tenthun thih ah toihaat eh an. Mina ih jaat hoh rangdah mola adi bah heh sak ah tathet haatka; enoothong ethih tenthun nawa ih raandi baaji rangdah ih heh teenuh teewah sak ah thet haat ha.
2e061300be	Sen sak ah Esa Chiiala tongtheng ngeh ih tanih jatkan, marah di Rangte ih koh tahan ah tongla rah ah? Sen loong ah sen teeteewah raangtaan ih tah angkan; enoothong Rangte raangtaan ih bo ah;
2e06140059	Sen loong ah hethaang ih reh tahan. Erah raangtaan ih sen sakpuh rah ih Rangte rangka an.
2e07010058	Amadi raangmaat halan tiit ah langla amah. Miwah ih jaalah lakap thang ih tongla ah ese.
2e07020093	Enoothong roomjup roomtong tenthun thih ah rapne ih jaatla erah thoidoh, miwah suh heh sanuh eje ang theng, nyia minuh suh heh sawah eje ang theng.
2e070300b4	Miwah rah ih hesanuh ih tiimjih jamha, erah ekot etheng adoleh minuh ih uh hesawah ih tiimjih jamha erah ekot etheng, eno wasiit ih wasiit tiim laakiila, emamah eh chosokmui theng.
2e07040099	Hesanuh ah heh sakpuh raangtaan ih changte tah angka, hesawah raangtaan ih, erah likhiik hesawah ah heh sakpuh raangtaan ih tah angka, hesanuh raangtaan.
2e070500a6	Rangsoom saapoot kap suh miijun ih roongwaan choi lah angka bah eroom ih tong ah nak haammui ansih. Sen ih lajen naan thoidoh Soitaan ih erah lam adoh phoh phate han.
2e07060040	Arah ngah ih ehaam tah eh rumra, nga tenthun ah ba baat rumhala.
2e070700a1	Amiidi bah sen loong ah nga likhiik ih tongdoh ese ang thengta; enoothong Rangte ih ranglakkot ah warep suh koha, wahoh wahoh suh jihoh jihoh ranglakkot ah koha.
2e0708006e	Amadi, maangnookte nyia jootiinuh loong asuh liihang sen loong ah nga likhiik sen luulu tong anbah ese ang ah.
2e07090084	Enoothong lajen naan kanbah enook ba nookmui an. Sen tenthun nah nah weeluula likhiik ih ramka anbah nookmui laan ela ah ese ang ah.
2e070a0072	Hasongchoi mina loong asuh Teesu tiit baattheng eje nga tiit tah angka: Hesanuh ih hesawah ah lah thiinhaat theng,
2e070b0089	enoothong heh emah mok re abah heh luulu songtong theng erah lah angka bah hesawah damdoh we punwaan etheng; eno hesawah ih lahaat theng.
2e070c00b4	Wahoh loong raangtaan ih jenglang (Nga teewah jenglang, Teesu jeng tah angka): Kristaan mih ih lahanpiite kap abah adoleh heh damdoh songtong thung ang abah, minuh ah lahaat theng.
2e070d006c	Adoleh Kristaan nah lahanpiite suh nook abah nyia heh damdoh songtong thung ang abah, miwah ah lahaat theng.
2e070e0135	Tiimnge liidi lahanpiite hesawah ah hesanuh damdi roongroop thoidi Rangte ih ekap eha, adoleh lahanpiite hesanuh ah hesawah damdi roongroop thoidi Rangte ih ekap eha. Emah lamok angta bah, nengsuh nengsah ah rangnak mih ang thengta; enoothong emah lah angthang ih, neng loong ah Rangte ih ekap ejih ih hoonla.
2e070f0113	Enoothong, hera heba ah lahanpiite ang ano kristaan ah thiinhaat thung ang abah, heh ih toomjat ah. Erah likhiik ang abah, hera heba kristaan mina ah miwah angkoja oh minuh angkoja oh, heh tiim uh jen re ih ah. Rangte ih sen loong ah semroongroong ih songtong suh poon tahan.
2e071000a7	Kristaan sanuh ih, mamah jen li uh, an sawah ah an ih tajen puipang ko ngeh ah? Adoleh, Kristaan sawah ih, mamah jen li uh, an sanuh ah an ih tajen puipang ko ngeh ah?
2e0711009a	Rangte ih poon tahan adoh sen mamah angtan, nyia Teesu lakkot jun doh sen loong ah emah songtong theng. Chaas rookwet ni arah banlam ah nyootsoot rumhala.
2e071200c3	O miwah khoopkhan choi ah eno Rangte ih poonha ah ekap eha, khoopkhanta rah matsiit suh lasamthun theng; o miwah khoopkhan muh ah eno Rangte ih poonha ah ekap eha, heh ih hekhoop ah lakhan theng.
2e07130074	Tiimnge liidi miwah khoopkhan muh angkoja oh khanchoi angkoja oh erah tiim tah angka; Rangte jengdang aba kap theng.
2e0714003b	Rangte ih poon tahan adoh ethang etan ah likhiik ih ang an.
2e071500a8	Rangte ih poon tahan adoh dah tam angtan? Emah ang an bah uh ese mabah uh ethih nakchoh an; enoothong sen loong ah maama pongwan angsuh saapoot cholan bah, emah ang an.
2e071600aa	Tiimnge liidi Teesu ih dah poonha ah Teesu mina maama pongwan toom ang ah ngeh ih poonha; erah likhiikkhiik maama pongwan ih tongla mina Jisu ih poonha ah langla heh dah.
2e07170058	Rangte ih hethaang ih reh tahan; erah raangtaan ih sen loong ah mih dah lakah ang theng.
2e0718006c	Nga joonte loong, sen loong ah Rangte ih poon tahan adoh angtan ah likhiik ih saarookwet Heh damdoh tong an.
2e07190093	Amadi, maang kapmuite tiit raang han ah langla: Teesu jengdang tabaat rumra, enoothong nga thung ni Teesu minchan jun ih thunhang aba baat rumhala.
2e071a0067	Amah dowa chamnaang ah thun kaadi bah, miwah ih minuh lakap thang ih hetongtong eh abah ese heh ang ah.
2e071b0088	Sen sanuh eje tam ah? Eje ang abah heh phanhaat suh nak samthun an. Sen ih jaalah maangkap tam anglan? Emah ang abah an minuh nakjam an.
2e071c010f	Enoothong sen ih sen sanuh ah ekap eh tanbah, sen rangdajih tare kan; adoleh minuh hasong maangkah ah jaaro suh nook abah, heh rangdajih tareeka. Enoothong chosong choi loong ah saarookwet chamnaang rumla ah likhiik seng loong ah naktoom chamnaang an ngeh ih liirum hala.
2e071d009d	Nga phono loong ngah ih liihang ah amah; amadi saapoot ah ehan takah tongla, adoleh miwah hasong kaatchoi loong ah hasong maangkah likhiik ih songtong theng;
2e071e00b0	o ehu ela, erah lathungthika likhiik ih ang theng; o engit ela, erah tenroon lah angka ah likhiik ih ang theng; o ih dongriik eha, erah reta ah lajeeka ah likhiik ih ang theng;
2e071f008a	hui akhaak o jiinni jeela, erah raang ih lamokaka ah likhiik ih ang theng. Tiimnge liidi, amadi arah mongrep ah, ehan takah tongka ang ah.
2e0720008d	Sen loong ah naktoom sootsaam an ngeh ih li rumhala. Hasong maangkah mina ah Teesu ah eroon toom e ah li ano Teesu mootkaat ah mokah roh ela.
2e07210067	Enoothong hasong kaatchoi loong abah, heh sanuh ah tenroon thuksuh hansi mootkaat ni phaangdat roh ela;
2e07220129	adoleh erah mina ah haanghophop ni phaangdat la. Hasong maangkaka minuh nyia jaalah saachamcham Teesu mootkaat ah samthun roh eha, tiimnge liidi heh heteenuh sakpuh nyia moong achaang ah esa ih thiinha; enoothong hasong kaatchoi minuh abah heh sawah roonthuk suh hansi mootkaat ah samthun roh eha.
2e07230101	Arah jenglang ah sen loong raang ih jenglang. Sen loong asuh ngah ih ehaam tah eh rumra. Erah nang ebah, marah pun ah nyia esa ah erah mootkaat suh baat rumhala, Teesu mootkaat nah jihoh laphaang thun thang ih senten senmong ah koh anno toom mokah an eh ah.
2e072400f4	Marah jaaro jaalah kakhat choi ih hasong takah keetih ngeh ih roongwaan nyu ah: Eno miwah rah ih jaalah ah damdi mok re bo elang ngeh ih samthun ano chosong esuh liinyu abah nengnyi thungthung ih toom chosong nyu ah. Erah rangdah jih tah angka.
2e07250066	Enoothong miwah rah ih, hasong takah kang ngeh ih jen li abah, jaalah ah lakapka bah eseethoon ang ah.
2e07260068	Erah raangtaan, miwah o ih minuh kap ha, ese eh reela, enoothong o lanookmui ka, erabah eseethoon reela.
2e072700a7	Hasong kaatchoi minuh ah hesawah mikthingthing doh hepongwanwan tami reeraangka; enoothong hesawah ah ti abah, heh thung haanla Kristaan mina damdoh jen chosong eh ah.
2e07280092	Enoothong helaklak ih tong abah tenroon laan tong ah. Arah bah nga tenthun ah ba baat hang, eno Rangte Chiiala nga damdi eje ngeh ih samthun hang.
2e0801011d	Amadi, tongmih soomtuuha rom arang phaksat tiit cheng hali ah jat ehang. Amiisak elang eh ah, neng ih mok thunha likhiik, “seng taang ni mongtham eje ngeh ah. Enoothong, erah likhiik mongtham ebah, mina ba khuupook thukla; enoothong mongnook ebah warep damdi minchanmui eh thuk hali.
2e08020046	Amiisak o ih ngah ejat esiit ngeh ih samthunha heh ih tiim uh tajatka.
2e08030049	Enoothong o mina ih Rangte ah minchan eha erah mina ah Rangte ih ejat ha.
2e0804008c	Erah raangtaan ih, tongmih soomtu phaksat ah langla: Seng ih jat ih hi tongmih ah tiimju tah angka, seng ih Rangte esiit luulu ah ba jat hi.
2e0805007e	Rang ni angkoja adoleh hah ni angkoja, “rangte loong” ah ephoop je ah, erabah uh “rangte loong” nyia “teesu loong”
2e0806012e	taat puupa abah uh seng raang ih Rangte bah esiit luulu baaje ah, heh langla seng loong Wah, oh jirep ah Dongsiitte nyia o raang ih seng ething tongli warah ah; erah damdi Teesu uh esiit luulu je ah, erah langla Jisu Kristo, marah mendi jirep dongsiitta nyia o raang ih seng loong thingtongli warah ah.
2e0807012b	Enoothong arah tiitmi ah warep ih tajatka. Mararah mina ah tongmih soomtu asuh erah than ih jangseela, amadi tuk ih tongmih soomtu phaksat ah phaksah leh, neng thungtho thoidi tongmih raangtaan ih heh angkah ngeh ih mokthun rumha; eno neng teeteewah suh phaksat ih thet haat hali ngeh ih thun rumha.
2e0808009e	Enoothong, phaksat ih, Rangte reenah tabaam thoksiit ri; laphaksake bah uh seng tiim mat haatjih tah angka, adoleh phaksah ih bah uh tiim dakchojih tah angka.
2e08090099	Erah raangtaan ih, sen loong ah naririh ih reeraang theng, senphak sensat thoidoh o mina laalom ni tarong lah angka loong ah rangdah nah ladat thuktheng.
2e080a00c3	Jengthaak asuh ngah ih ba “jat hang” liite ih rom arang phaksat tongmih soomnok ni phaksah arah; Rangte suh dangdang lajen laalomte ih japtup abah, heh uh rom arang phaksat ah tatam phaksaka?
2e080b005b	Erah raangtaan ih an phono, o raang ih Kristo tiita ah, an “mongtham” thoidoh matti ah!
2e080c0063	Erah likhiikkhiik Kristaan wahoh thung atak ah joongthuk uno Kristo ngathong nah uh emah ih dah uh.
2e080d009a	Erah raangtaan ih phak asat thoidoh hanpiite dathuk abah, ngah ih mabah uh si takah phakkang, erah langla hanpiite loong rangdah nah lakah datthuk suh ah.
2e090100a1	Ngah pongwan mina tatam angkang? Ngah kamwah tatam angkang? Seng Teesu Jisu ngah ih tatam tuptang? Nyia ngah Teesu raangtaan ih motang thaang ah sen taba angkan?
2e090200b5	Mih ih ngah kamwah ngeh ih lathiik rangbah uh, sen loong ah ih ngah ejat eh hali! Sen roidong ah Teesu damdi roongroop thoidi, sen teeteewah ih ngah ah kaamwah ih dongjat thuk hali.
2e09030049	Mabah mina loong ah ih putbeek hang di, ngah ih emah kangaakbaat rum ang:
2e0904002f	Nga mootkaat thaang phak asat tatam jen korang?
2e0905007b	Kaamwah wahoh loong nyia seng Teesu no nyia Pitar reela likhiik, Kristaan minuh ah siit angno ngah tatam jen tumkhoom kang?
2e09060042	Adoleh sek thingtong suh sek ah Barnabas luulu tam mootkaatjih ah?
2e09070096	O sipaahi ih heh laajang thaang ah heh teeteewah ih kakoh ah? Heh phek nawa anggut lasatte mootkaatte ah o a? Neng saap nyuupuuthi ah lajokte ah o ah?
2e09080076	Arah toobaat hang jengthaak ah ngah ih saarookwet ih toobaat hang, tiimnge liidi Hootthe ni phoosiitsiit ih baat hali.
2e09090093	Moses Hootthe ni seng ih chowet hi, “Raannak thuk tokdoh maanpong ah hetui nak loop theng.” Enoobah, Rangte ih maanpong ah luulu tam samthunha?
2e090a00a0	Amiisak di erah heh ih seng suh tamli tahe? Elang e ah erah seng raangtaan ih raangha. O ih bah uh haanbeeha nyi chamkhanha rah heh ih nep roongchoh suh mokala.
2e090b007f	Seng ih sen loong dung ni moong achaang raanjih wen hi. Sen jiin nawa hansi raangtaan chohi asuh ehanmi kohi ngeh ih tamli han?
2e090c00df	Wahoh botseh sen jiinnawa jen laalomhala, seng ih batang aleh ehan tatam jen laalomke? Enoothong jen lang ih abah uh seng ih emah tareeraang ke. Eranang ebah, Kristo Ruurang Ese lam ah photang ah nge ih jirep adi enaan ehi.
2e090d00d0	Amiisak di sen ih jat et han o mina Rangteenok ni mokala erah loong ah ih phak asak ah Rangteenok nawa choha adoleh o ih romthong ni khojoop siik hoon ha erah loong ah ih khojoop siik hoon phaksat adi roomla.
2e090e0087	Erah likhiikkhiik ih, Ruurang Ese tiit baatte loong asuh ething tong raangtaan ih erah mootkaat dowa chotheng ngeh ih Teesu ih baat ha.
2e090f00f5	Enoothong chojih ang abah uh ngah ih maang taat jamkang, adoleh amadi arah raanghang ah nga teewah raangtaan ih jensuk suh taraang kang. Erah nang ebah jaakhoh ngaba ti ang! O ih bah uh thaangmuh jengkhaap doh nga jen mokalang ah tami leksiitka!
2e091000a3	Ruurang ese baat thoidoh ngah uh tajen khuupook kang. Ngabah tang aleh, emah mootkaat ah matkap. Eno ruurang ese tiit ah labaattang bah tiimthan echo etheng angta!
2e091100bb	Nga thungthung ih mok mokatang bah, hethaang echoh eh ang ngeh ih tuumaang thengtang; enoothong nga mootkaat ngeh ih mokatang, tiimnge liidi Rangte ih erah mootkaat ah ngasuh baat tahang.
2e091200a3	Emah ang abah, ngah ih tiimthaang choh angleh? Ruurang Ese tiit thaangmuh ih baat hi ah, adoleh ruurang ese raang ih nga mookkaatjih ngeh ih laliiko aju saapootse.
2e0913007d	Ngah nga pongpongwan mina, o dah tah angkang; enoothong mathan jen ang ah erah than mina jensuh, ngah warep dah ih hoon lang.
2e091400dd	Jehudi loong ah jen suh li angno ngah neng likhiikkhiik ih roong tongtha tang, eno ngah Moses Hootthe lathong ni lah ang kangbah uh, Moses Hootthe lathong ni songtongla loong ah jen suh neng likhiik ih roong tongtha tang.
2e09150108	Ranglajatte loong damdoh mokatang adoh uh, emamah ju roong tongtha tang, Jehudi Hootthe lathong ni lah angthang ih ah, erah Ranglajatte loong jen suh reetang. Erah raang ih Rangte Hootthe ngah ih lakap tah angka; amiisak di ngah Kristo hootthe lathong ni tonglang.
2e091600de	O mina laalom di larook lata angta, neng loong ah jen suh li angno, ngah uh neng likhiik ih larook lata ih hoontang. Mamah ih adoh se ah li angno, marah marah mina ah taan puipang suh li angno ngah emamah ih reeraang tang.
2e09170053	Arah loong ah ruurang ese tung thoidi reelang, romseetam ah loongtang ih chosuh ah.
2e091800b7	Amiisak tiit ah sen loong ih jat ehan, tootmui soonte loong ah hantek toosoonla enoothong hethaang ah wasiit ih ba choh ah. Erah raangtaan ih, sen uh toosoon an hethaang ah chosuh ah.
2e091900b6	Tootmuijapte loong ah ih hethaang chosuh ejap banlam ah naririh nyoot ha marah roitang raang ih lah angka raang ih ah, enoothong seng loong jaasiit mokali ah roitang raang ih ang ah.
2e091a0071	Erah raangtaan ih ngah soon tangno echoh lam adi pitlang; laktom ih thutmuite ih jaahu ni lathuka rah likhiik ah.
2e091b009d	Ngah ih ngaasak ngaasi ah nga jeng chaatchaat dah eh hoonthuk lang, tiimnge liidi ruurang ese ah wahoh suh baat lidoh hethaang lachoh naktoom ang ang suh ah.
2e0a0100c2	Joonte loong, sen loong te awah Moses liphante loong ah mamah angta, erah samthun an ngeh ih baatrum hala. Neng loong ah jiimu khui ni puipang rumta, eno Juusih Esaang ah eseetham ih daan rumta.
2e0a020048	Neng loong ah Moses liphante raang ih jiimu nyia juusih ni juutem rumta.
2e0a030040	Neng loong ah ih moong achaang ni phaksat phoosiit phaksah rumta
2e0a0400a6	nyia moong achaang joong ah phoosiit ih jok rumta. Neng loong damdi roong khoomta moong achaangte jongnuh nawa jok rumta; eno erah jong ah Kristo heh teeteewah angta.
2e0a050069	Erabah uh ehanko asuh Rangte ah taroonta, erah thoidi neng mang ah phisaang hah ni noongrep ni thaajaata.
2e0a060075	Erah raangtaan ih, arah tiitthaak ah seng suh baat hali, neng reeta likhiik ethih ekhah lare theng ngeh ih haam hali,
2e0a0700d3	adoleh mararah reeraangta ah likhiik, tongmih lasoom theng ngeh ih baat hali. Rangteele ni liiha, “Mina loong ah jokphaksat esuh khoontong rum adi khojok khamjok nyia roomjup roomtong ih hoon boongse rumta.”
2e0a080098	Mararah reeraang rumta ah likhiik, raandi baaji tongtha eno lah moongtaang theng—erah thoidi neng loong ah saasiit di rooknyi haajaat jom matti rumta.
2e0a09007e	Neng ih thaak phateeta ah likhiik, Teesu ah lathaak phate theng—erah thoidi neng loong ah pu loong ah ih chum tekphak rumta.
2e0a0a0094	Mararah loong ah pakjengkong rumta ah likhiik, seng lapak jengkong theng—Tek haatte Rangsah loong ah ih neng loong ah erah thoidi thet haat rumta.
2e0a0b00b6	Erah angta loong ah wahoh suh jengthaak noisok suh angta, nyia seng loong raangtaan ih jengthoon ah raangthiinta. Tiimnge liidi seng loong ah saapoot thoon thok nanah di songtong li.
2e0a0c005d	Sen loong ah rongtangtang ih chaplan ngeh ih thun han bah ladattek suh naririh ih tongtha an.
2e0a0d011f	Sen phate joonnaam halan ah banlam ang ah erah likhiik wareprep ih choha. Enoothong Rangte ih heh kakham ah thiin eha, lajen huitheng ah taphate thuk ran; sen loong ah thaak phate suh saapoot thok haabah uh, ejen naan esuh chaan kot ehan, nyia erah dowa jen doksoon suh lampo eje ang ah.
2e0a0e0048	Joon awaan loong, erah raang ih tongmih soomtu tan dowa haloh ang theng.
2e0a0f007e	Thungsek mina sen loong asuh baat rumhala; ngah jenglang ah ami ang abah maama teenuh teewah raangtaan thaak samthun thaak an.
2e0a1000cd	Teesu Phaksat tokdi seng ih lookkep maak hi adi Rangte suh lakookmi liihi: Eno erah dowa jokti adi Kristo sih ni roong roomli. Eno baanlo chepphiit hi adi: ephak ehi, erah di Kristo sakphu di roong roopli.
2e0a110093	Tiimnge liidi baanlo ah esiit luulu, eno seng loong ah hantek ang ih bah uh, seng ah sak esiit, erah raangtaan ih seng ih baanlo esiit roomphak hi.
2e0a120083	Ijirel mina loong ah taat samthun thaak ih; siik hoon phaksat roong phaksatte loong ah romthong ni Rangte mootkaat roong moh rumta.
2e0a13005c	Enoobah, tongmih adoleh heh soomtu phaksat ah jirep adi hethaang pan elang ekah tam liihang?
2e0a1400de	Emah tah angka! Ngah ih liihang abah rangnak mina loong ih romthong ni siik hoon rumha abah hakhoh juubaan loong suh korumha, Rangte suh kot tah angka. Eno sen loong ah hakhoh juubaan loong damdoh room thuk suh tanookkang.
2e0a1500b7	Sen loong ah ih Teesu lookkep nah nyia hakhoh juubaan lookkep enyiinyi nah tami room jokkan; adoleh Teesu teebun nah phaksah anno hakhoh juubaan loong teebun nah nep tami phaksah kan.
2e0a16005d	Tam aleh Teesu ih toom siikhaam he liihan a? Seng loong heh nang ih echaan tam mok samthunhi?
2e0a1700db	Sen ih liihan, “Seng loong ah jaatrep ah jen re eh ih.” Erah amiisak elang eh ah, enoothong jaatrep ah ese totoh tah angka. “Seng jaatrep jen re eh ih,”—enoothong jaatrep ah seng raang ih epun totoh tah angka.
2e0a180049	O ih uh an raangtaan suh luulu nakthun uh, wahoh raangtaan nep thuntheng.
2e0a19005d	Sen thung nah hejaat hejaat lasamthun thang ih, si sang theng ni sangha si ah jen phak et an.
2e0a1a005a	Tiimnge liidi, Rangteele ni liiha, “Hah nyia erah di tongtongla jirep ah Teesu lakbi.”
2e0a1b00b3	Lahanpiite o ih bah uh phaksat roomphaksat poonho doh kah ubah, an ngathong ni thiinkoh halu ah lacheng thang ih phaksah uh, erah an thung nawa ih lathaam paklak ngaakcheng theng.
2e0a1c00b8	Enoothong o ih bah uh, “Arah phaksat ah tongmih soomtu arah,” ngeh ih baat ho bah erah laphaksat theng, erah langla o ih baat ho bah uh heh thung ih toomjat ah ngeh ih baat halu—
2e0a1d00af	erah langla, an thung tah angka, wahoh ih thunha. “Emah ang abah uh, ese,” marah marah ih chengha, “ngah thung ih jen re theng ah wahoh thung jun ih tiim esuh haam hang?
2e0a1e008e	Ngah ih phaksat raangtaan ih Rangte suh lakookmi li angdoh, erah phaksat raangtaan ih jengseera hang ah o ih bah uh tiim esuh chikram hang?”
2e0a1f006c	Erah raangtaan ih, an ih tiimjih re ubah uh, adoleh jok phaksah ubah uh, Rangte men raksiit theng ang theng.
2e0a20008d	Jehudi loong angkoja oh, adoleh Ranglajatte angkoja oh, adoleh Rangte chaas mina angkoja oh, o uh sengtong sengtha nawa ih lacham thuk theng.
2e0a2100c3	Ngah reeraang lang ah likhiik ih reeraang an; tiim reeraang ang bah uh, ngah bah wahoh eroon etheng ih reeraang lang, nga raangtaan ih lah angthang ih, wahoh loong ah toom pui ah ngeh ih reelang.
2e0b010039	Nga lih phanhe, ngah ih Kristo liphan hang ah likhiik ah.
2e0b020062	Sen ih ngah samthun thoidi nyia ngah ih nyootthiin rumtaha ah kap thoidi saarookwet eh gu rumhala.
2e0b0300b4	Enoothong Ngah ih liihang ah langla, mina loongtang nang ih Kristo ah elongthoon ngeh ih warep ih jattheng, hesawah ah hesanuh khotok di elong, eno Rangte ah Kristo khotokdi elong.
2e0b04007c	Erah raangtaan ih miwah ih nokraat nah heh khoh loop ano rangsoom abah nyia Rangte tiit baat abah heh ih Kristo thaangju ah.
2e0b0500ab	Eno minuh ih nokraat nah heh khoh loopmuh ih rangsoom abah nyia Rangte tiit baat abah heh sawah thaangju ah; erah langla heh khoh loopmuh nyia khoh sui choi abah phoosiit.
2e0b06009a	Minuh ih heh khoh ah laloopka bah heh khoh ah sui laan ih abah ese ang ah. Eno minuh ih heh khoroon suihaat ah rakrekjih angphiino, heh khoh ah loop ejih.
2e0b070084	Miwah ah Rangte laaphaang likhiik nyia heh men raksiit suh ang thoidi, khoh ah laloop theng. Enoothong minuh ah miwah men raksiitte;
2e0b08005c	tiimnge liidi miwah ah minuh nawa tadongsiitta, enoothong minuh ah miwah nawa dongsiit dowa.
2e0b090062	Adoleh minuh raangtaan ih miwah ah tadongsiitta, enoothong minuh ah miwah raangtaan eh dongsiitta.
2e0b0a007f	Erah raangtaan ih, rangsah loong thoidoh, minuh ih heh khoh ah loop etjih, erah langla heh sawah lathong ni ngeh ih jatthuk ha.
2e0b0b0074	Teesu mendi, seng roidong doh minuh ah heh pongwanwan tami tongka, erah likhiik miwah ah heh pongwanwan tami tongka.
