130000000c	Псалми
2c131900d9	Зібравши їх та інших робітників, що займалися подібним ремеслом, сказав: «Ви знаєте, що ця робота дає нам хороший дохід.
2c131a0129	Але ви бачите й чуєте, що не тільки в Ефесі, але й в усій Азії цей Павло переконав та увів в оману багатьох людей, кажучи, що боги, зроблені руками [людей], не є богами.
2c131b0150	Це загрожує не тільки тим, що наш труд зазнає зневаги, але й тим, що храм великої богині Артеміди, перед якою вклоняється вся Азія й весь світ, буде нічим, і вся її велич буде зруйнована».
2c131c008f	Почувши це, вони сповнились люттю й почали кричати: «Велика Артеміда Ефеська!»
2c131d00f5	Місто наповнилося заворушенням, і всі разом кинулися до театру, схопивши Павлових супутників, Гайя та Аристарха, які були з Македонії.
2c131e0065	Павло хотів вийти до народу, але учні не дозволили йому.
2c131f00d9	Навіть деякі з керівників Азії, які були друзями Павла, надіслали до нього попередження, щоб він не з’являвся в театрі.
2c132000d1	Зібрання було в сум’ятті: одні кричали одне, а інші – інше. Більшість же навіть не розуміла, навіщо вони зібралися.
2c132100d1	З натовпу взяли Олександра, бо юдеї його виштовхали. Олександр дав знак рукою, бажаючи виправдатись перед народом.
2c132200c5	Але довідавшись, що він юдей, натовп упродовж двох годин викрикував в один голос: «Велика Артеміда Ефеська!»
2c13230170	Тоді до народу вийшов один із чиновників [міста], заспокоїв натовп та сказав: «Ефесяни, чи є якась людина, яка не знає, що місто Ефес – хранитель храму великої Артеміди та її [зображення], яке впало з неба?
2c1324008b	Це безперечний факт, тому вам належить зберігати спокій і не діяти необачно.
2c132500c7	А ви привели сюди цих людей, хоча жоден із них не є грабіжником храму й не богохульствував проти нашої богині.
2c13260114	Отже, якщо в Деметріоса та інших майстрів є звинувачення проти когось, то на це є суди й проконсули. Нехай [туди] приносять обвинувачення один на одного.
2c1327006f	Якщо ж у вас є щось інше, це вирішиться на законному зібранні.
2c132800e2	Бо є небезпека, що нас можуть за сьогоднішнє обвинуватити в заколоті, адже не маємо жодного виправдання цьому збіговиську».
2c13290042	Сказавши це, він розпустив зібрання.
2c140100dd	Після того, як заворушення закінчилися, Павло, зібравши учнів, підбадьорив їх і, попрощавшись із ними, пішов до Македонії.
2c140200ad	Проходячи тими краями, [Павло] підбадьорював учнів багатьма словами, а потім прийшов до Греції,
2c1403010c	де пробув три місяці. Коли збирався відплисти до Сирії, юдеї вчинили проти нього змову. Дізнавшись про це, він вирішив повернутися через Македонію.
2c140400da	Разом із ним пішов Сопатер, син Пірра з Вереї, Аристарх та Секунд із Солуня, Гай із Дервії, Тимофій, Тихик і Трохим з Азії.
2c14050048	Вони пішли вперед і чекали нас у Троаді.
2c140600d4	Ми ж після днів свята Опрісноків відпливли з Филиппи й через п’ять днів прибули до них у Троаду, де провели сім днів.
2c14070113	Першого дня тижня ми зібралися на ламанні хліба. Павло, маючи намір наступного дня вирушити в подорож, говорив з учнями й продовжив промову до півночі.
2c1408006f	У верхній кімнаті, де ми зібралися, було багато світильників.
2c14090140	Один юнак, на ім’я Євтих, сидів на вікні. А оскільки Павло говорив довго, юнака здолав міцний сон, він похитнувся та впав із третього поверху. Коли його підняли, він був мертвий.
2c140a00b0	Павло зійшов вниз, припав до нього та, обійнявши, сказав: «Не турбуйтеся, бо його душа ще в ньому».
2c140b00e4	Після цього Павло повернувся нагору, переломив хліб та їв. Він говорив із ними довго, аж до світанку, а потім вирушив у дорогу.
2c140c0056	А хлопця привели живого, і всіх це дуже втішило.
2c140d00d4	Ми попливли наперед кораблем до Асси, щоб звідти забрати Павла. Він сам так звелів, тому що хотів подорожувати пішки.
2c140e008a	Коли він зустрів нас в Ассі, ми взяли його на корабель і прибули до Мітилени.
2c140f0107	Відпливши звідти, наступного дня прибули до Хіосу; а ще через день припливли до Самоса й, пробувши день у Трогілії, назавтра дісталися до Мілета.
2c141000f2	Павло вирішив проминути Ефес і не затримуватися в Азії: він поспішав, щоб, якщо буде можливо, бути в Єрусалимі на день П’ятдесятниці.
2c14110074	З Мілета Павло надіслав до Ефеса й покликав пресвітерів церкви.
2c141200c5	Коли вони прийшли, він сказав їм: «Ви знаєте, як я з першого дня, відколи прийшов до Азії, був із вами весь час.
2c141300c0	Я з усією покорою та сльозами служив Господеві серед випробувань, що трапилися зі мною через змови юдеїв.
2c14140097	Я не поминув нічого корисного для вас, проповідував та навчав прилюдно та по домах,
2c1415009a	засвідчуючи юдеям та грекам про покаяння перед Богом та віру в Господа нашого Ісуса.
2c14160099	І ось тепер я, зв’язаний Духом, іду до Єрусалима, не знаючи, що там зі мною станеться.
2c141700b2	Тільки Дух Святий у кожному місті свідчить мені, кажучи, що на мене чекають кайдани та страждання.
2c14180138	Але я ні про що не турбуюся й не дорожу своїм життям, тільки б мені звершити мій шлях та служіння, яке я отримав від Господа Ісуса, – свідчити Добру Звістку благодаті Божої.
2c141900bd	І тепер я знаю, що всі ви, між ким я ходив та проповідував Царство [Боже], більше не побачите мого обличчя.
2c141a0056	Тому я свідчу сьогодні: я чистий від крові всіх,
2c141b004a	бо не ухилявся вам звіщати всю волю Божу.
2c141c00e5	Пильнуйте себе й усю отару, над якою Дух Святий поставив вас єпископами, щоби пасти Церкву Божу, яку Він придбав Своєю кров’ю.
2c141d0093	Я знаю, що після мого відходу до вас прийдуть люті вовки, які не щадитимуть отари.
2c141e00aa	Навіть серед вас постануть люди, які почнуть спотворювати істину, щоб повести учнів за собою.
2c141f00a9	Тому пильнуйте! Пам’ятайте, що я три роки вдень та вночі зі сльозами наставляв кожного з вас.
2c142000c8	І тепер доручаю вас Богові та Слову благодаті Його, яке може [вас] збудувати й дати спадщину між усіма святими.
2c1421005e	Я ні від кого не жадав ні срібла, ні золота, ні одягу.
2c1422007f	Ви самі знаєте, що ці руки служили моїм потребам і тих, хто був зі мною.
2c1423010b	У всьому я показував вам, що, працюючи так, ми повинні допомагати немічним і пам’ятати слова Господа Ісуса: „Блаженніше давати, ніж отримувати“».
2c1424006a	Сказавши це, він став на коліна та разом з усіма помолився.
2c14250073	Тоді всі почали плакати й, припавши до шиї Павла, цілували його.
2c142600d3	Найбільше всіх засмутили слова Павла про те, що вони більше не побачать його обличчя. Потім провели його до корабля.
2c150100be	Коли ми розлучилися з ними, то попливли прямо до [острова] Кос, наступного дня на Родос, а звідти в Патару.
2c15020070	Знайшовши корабель, що прямував у Фінікію, ми сіли й попливли.
2c150300f1	Коли показався Кіпр, ми залишили його ліворуч, попливли до Сирії та причалили в Тирі, тому що там наш корабель мав вивантажити товар.
2c150400e8	Знайшовши учнів, ми пробули з ними сім днів. Вони, [довідавшись] через Духа [про майбутнє], застерігали Павла не йти до Єрусалима.
2c15050133	Але коли дні [перебування разом] закінчилися, ми пішли далі. Усі вони разом із дружинами та дітьми проводжали нас аж за місто, і на березі, схиливши коліна, ми помолилися.
2c15060099	Попрощавшись з усіма, ми піднялися на корабель, а вони повернулися до своїх домівок.
2c150700ce	Ми продовжили свою морську подорож і з Тира прибули в Птолеміаду, де, привітавши братів, пробули з ними один день.
2c150800e5	Наступного дня ми вирушили в дорогу, прийшли до Кесарії, зайшли в дім євангеліста Филипа, одного з сімох, і залишилися в нього.
2c1509005a	Він мав чотири незаймані доньки, які пророкували.
2c150a008d	Після того, як ми пробули там чимало днів, з Юдеї прийшов пророк, на ім’я Агав.
2c150b015e	Він підійшов до нас, узяв пояс Павла й, зв’язавши собі руки та ноги, сказав: «Святий Дух каже: „Так юдеї в Єрусалимі зв’яжуть та віддадуть у руки язичників чоловіка, якому належить цей пояс“».
2c150c0086	Почувши це, ми й місцеві стали благати Павла, щоб він не йшов до Єрусалима.
2c150d0106	Але Павло відповів: «Чому ви плачете й розриваєте моє серце? Я готовий не лише бути зв’язаним, але й померти в Єрусалимі за ім’я Господа Ісуса».
2c150e00b8	Коли ми зрозуміли, що його не переконати, то заспокоїлись, сказавши: «Нехай станеться воля Господня».
2c150f005f	Після тих днів ми зібралися й вирушили до Єрусалима.
2c151000c8	Разом із нами [пішли] й учні з Кесарії, які провели нас до Мнасона з Кіпру, давнього учня, у якого ми залишилися.
2c1511006b	Коли ми прийшли до Єрусалима, брати з радістю прийняли нас.
2c15120096	Наступного ж дня Павло разом із нами пішов до Якова. Туди прийшли й всі старійшини.
2c151300a7	Привітавши їх, [Павло] докладно розповів, що зробив Бог серед язичників через його служіння.
2c15140113	Вони послухали його та прославили Бога. Потім сказали Павлові: «Брате, ти бачиш, як багато тисяч юдеїв увірувало, і всі вони ревно ставляться до Закону.
2c1515012e	Вони чули про тебе, що ти навчаєш юдеїв, які живуть між язичниками, відступити від [Закону] Мойсея, кажучи, щоб вони не обрізали своїх дітей і не дотримувалися звичаїв.
2c1516006a	Що ж тепер [робити]? Вони, безумовно, почують, що ти прийшов.
2c1517009c	Тому зроби, що ми тобі кажемо: серед нас є четверо чоловіків, які пов’язані обітницею.
2c15180138	Візьми їх, очисться разом із ними й заплати за них, щоб вони поголили собі голови. Тоді всі дізнаються: те, що сказано про тебе, – неправда, а, навпаки, ти дотримуєшся Закону.
2c15190151	А щодо язичників, які увірували, то ми написали їм про наше рішення: вони повинні утримуватися від їжі, яка приносилась ідолам, від крові, від задушених тварин та від статевої розпусти».
2c151a014d	Наступного дня Павло взяв тих людей і разом із ними виконав вимоги очищення. Потім увійшов у Храм і оголосив, що після закінчення днів очищення за кожного з них буде принесено жертву.
2c151b00d2	Коли ж закінчувалися сім днів, декілька юдеїв з Азії побачили Павла в Храмі та, підбуривши весь народ, схопили його.
2c151c0160	Вони кричали: «Ізраїльтяни, допоможіть! Це чоловік, який повсюди навчає проти [нашого] народу, проти Закону й проти цього місця. До того ж він привів греків у Храм і цим осквернив це святе місце».
2c151d00b7	Перед тим вони бачили в місті Павла разом із Трохимом з Ефеса й припустили, що Павло ввів його в Храм.
2c151e00c3	Усе місто заворушилося, і зібрався народ. Схопивши Павла, витягнули його з Храму та негайно зачинили двері.
2c151f00c9	Вони вже хотіли вбити Павла, але звістка, що весь Єрусалим охоплено заворушенням, дійшла до римського Трибуна.
2c152000c5	Він, узявши воїнів та сотників, відразу побіг до них. Побачивши Трибуна та воїнів, юдеї перестали бити Павла.
2c152100ef	Трибун, підійшовши, узяв, заарештував Павла й наказав зв’язати його двома ланцюгами. Він спитав народ, хто це такий і що він зробив.
2c15220111	Однак у натовпі одні кричали одне, а інші – інше. Оскільки він через метушню не міг зрозуміти нічого достеменно, то наказав відвести Павла до фортеці.
2c1523008d	Коли він був уже на сходах, воїни були вимушені нести його через тиск натовпу.
2c1524005e	Багато народу йшло за ним, вигукуючи: «Смерть йому!»
2c152500eb	Перед тим, як Павла мали ввести до фортеці, він спитав Трибуна: ―Чи можна мені щось тобі сказати? Той відповів: ―Ти знаєш грецьку?
2c152600bd	Чи ти не той єгиптянин, який нещодавно підняв бунт і повів за собою в пустелю чотири тисячі розбійників?
2c152700d3	Павло відповів: ―Я юдей з Тарса в Килікії, громадянин відомого міста. Прошу тебе, дозволь мені звернутися до народу.
2c152800e5	Коли той дозволив, Павло, стоячи на сходах, дав народові знак рукою. Коли настала тиша, він заговорив єврейською мовою, кажучи:
2c16010074	«Брати та батьки! Послухайте тепер моє виправдання перед вами».
2c1602008a	Почувши, що він говорить єврейською, вони ще більше притихли. [Павло] сказав:
2c1603012d	«Я юдей! Народився в Тарсі в Килікії, але виховувався в цьому місті, біля ніг Гамалиїла, навчений докладно Закону батьків [наших], ревнитель Бога, як і всі ви сьогодні.
2c160400bc	Я переслідував до смерті послідовників цього Шляху, зв’язував та кидав у в’язницю чоловіків та жінок.
2c1605013f	Свідки цього – первосвященник та всі старійшини, від яких я отримував листи до братів із Дамаска, щоб піти та привести до Єрусалима зв’язаними тих, хто там був, для покарання.
2c160600cd	І сталося, коли я вже наближався до Дамаска, приблизно опівдні, навколо мене раптом засяяло велике світло з неба.
2c160700a0	Я впав на землю й почув голос, який казав мені: „Савле! Савле! Чому ти переслідуєш Мене?“
2c1608009d	Я спитав: „Хто Ти, Господи?“ Він відповів: „Я Ісус із Назарета, Якого ти переслідуєш“.
2c1609008c	Ті, що були зі мною, бачили світло, але не розуміли голосу Того, Хто промовляв.
2c160a00f8	Я запитав: „Господи, що мені робити?“ Господь сказав: „Підведися та йди в Дамаск. Там тобі буде сказано все, що тобі призначено робити“.
2c160b00a6	Ті, що були зі мною, за руки привели мене в Дамаск, тому що я осліп від того яскравого світла.
2c160c00b7	Чоловік, на ім’я Ананія, благочестивий за Законом, про якого добре свідчили всі юдеї, що мешкали там,
2c160d00a8	прийшов до мене й, ставши поруч, сказав: „Брате Савле, прозрій!“ І тієї ж миті я побачив його.
2c160e00d0	Він сказав: „Бог наших батьків обрав тебе, щоб ти пізнав Його волю, побачив Праведного та почув голос із Його вуст.
2c160f0071	Ти будеш перед усіма людьми Йому свідком того, що бачив та чув.
2c161000ae	І тепер чому ти зволікаєш? Встань, прийми хрещення та обмий свої гріхи, прикликавши Його ім’я!“
2c16110077	Коли я повернувся в Єрусалим і молився в Храмі, мені було видіння.
2c161200dd	Я побачив Господа, Який казав мені: „Поспіши та скоріше вийди з Єрусалима, тому що не приймуть твого свідчення про Мене“.
2c161300b4	Я відповів: „Господи, вони знають, що я кидав їх у в’язницю та бив у синагогах тих, хто вірив у Тебе.
2c161400c8	Коли проливалася кров Твого свідка Стефана, я стояв там, і схвалював це, і охороняв одяг тих, хто вбивав його“.
2c16150089	Тоді Господь промовив до мене: „Іди, бо Я пошлю тебе далеко до язичників“».
2c161600ba	Натовп слухав Павла до цих слів, але тут вони почали кричати: «Геть такого із землі! Йому не слід жити!»
2c1617005c	Вони кричали, скидали одяг та кидали пил у повітря.
2c16180102	Тоді Трибун звелів відвести Павла до фортеці; він наказав бичувати та допитати його, щоб дізнатися, з якої підстави вони так на нього кричали.
2c16190105	Але коли прив’язали його ременями, Павло сказав сотникові, що стояв поруч: «Чи дозволено вам бичувати римського громадянина, та ще й без суду?»
2c161a00c4	Почувши це, сотник пішов до Трибуна й сказав йому: «Що ти хочеш зробити? Цей чоловік – римський громадянин».
2c161b00a6	Трибун прийшов до Павла та спитав: ―Скажи мені, ти римський громадянин? Він відповів: ―Так.
2c161c00ca	Трибун сказав: ―Я придбав це громадянство за чималу суму грошей. Павло ж відповів: ―А я народився [римлянином].
2c161d00e4	Ті, що мали його допитати, негайно відійшли від нього. Трибун дуже злякався, збагнувши, що він зв’язав римського громадянина.
2c161e0172	Наступного дня, бажаючи дізнатися достеменно, чому юдеї звинувачують його, Трибун розв’язав його та наказав, щоб зібралися первосвященники й весь Синедріон. Потім він увів Павла та поставив перед ними.
2c170100c2	Павло подивився уважно на Синедріон та сказав: «Брати, до цього дня я жив перед Богом із добрим сумлінням».
2c17020099	Тут первосвященник Ананія наказав тим, хто стояв біля нього, ударити його по вустах.
2c17030117	Тоді Павло промовив до нього: ―Бог тебе вдарить, стіно побілена! Ти сидиш тут, аби судити мене за Законом, але сам, всупереч Закону, наказуєш мене вдарити!
2c17040082	Ті, що стояли біля нього, сказали: ―Ти ображаєш Божого первосвященника?
2c170500c2	Павло відповів: ―Брати, я не знав, що він первосвященник. Бо написано: «Керівника народу твого не злослов».
2c1706012e	Знаючи, що одна частина з них – садукеї, а друга – фарисеї, Павло вигукнув у Синедріоні: ―Брати, я фарисей, син фарисея, і мене судять за надію у воскресіння з мертвих!
2c17070099	Коли він це сказав, між фарисеями та садукеями виникла незгода, і натовп розділився;
2c170800b1	бо садукеї кажуть, що немає воскресіння з мертвих, ні ангелів, ні духів. Фарисеї ж визнають усе це.
2c1709015e	Здійнявся великий крик, деякі книжники з фарисейської сторони піднялися й рішуче сказали: «Ми не знаходимо нічого поганого в цій людині! Може, і справді якийсь дух або ангел говорив до нього?»
2c170a010f	Колотнеча ставала дедалі більшою; і Трибун, боячись, щоб вони не розірвали Павла, наказав воїнам зійти, забрати його з-поміж них і відвести у фортецю.
2c170b00f9	Наступної ночі Господь став перед Павлом та промовив: «Будь сміливим! Бо як ти свідчив про Мене в Єрусалимі, так будеш свідчити і в Римі».
2c170c00c4	Коли настав день, деякі юдеї зібрались і заприсягнулися, що не їстимуть і не питимуть, поки не вб’ють Павла.
2c170d0054	Тих, хто дав клятву, було більше сорока [людей].
2c170e00ca	Вони пішли до первосвященника та старійшин і сказали: «Ми зв’язали себе клятвою не їсти, поки не вб’ємо Павла.
2c170f0144	Тепер ви та Синедріон скажіть Трибуну привести його до вас, начебто ви бажаєте докладніше розглянути його справу. Ми ж будемо готові й, перш ніж він наблизиться, ми вб’ємо його».
2c171000a4	Але про цю змову довідався син Павлової сестри. Він пішов до фортеці та повідомив Павлові.
2c171100c8	Тоді Павло покликав одного із сотників та сказав: «Відведи цього юнака до Трибуна, він має йому щось сказати».
2c171200ef	Той відвів його до Трибуна й сказав: ―В’язень Павло покликав мене й просив привести цього юнака до тебе. Він має щось тобі сказати.
2c1713008c	Трибун узяв його за руку та, відвівши набік, спитав: ―Що ти маєш мені сказати?
2c171400f4	[Юнак] сказав: ―Юдеї змовилися, що проситимуть тебе завтра привести Павла до Синедріону, нібито бажають більш докладно допитати його.
2c1715013f	Але ти не слухай їх, тому що більше сорока людей підстерігають його. Вони поклялися не їсти й не пити, поки не вб’ють його. І тепер вони готові й чекають від тебе розпорядження.
2c17160093	Трибун відпустив юнака, наказавши йому: ―Нікому не говори про те, що сказав мені.
2c17170110	Потім покликав двох сотників і наказав їм: «Приготуйте двісті воїнів, сімдесят вершників і двісті стрільців, щоб о третій годині ночі йти до Кесарії.
2c1718009b	Приведіть коней і для Павла, щоб він був у безпеці доставлений до намісника Фелікса».
2c1719003b	Він написав листа такого змісту:
2c171a0066	«Клавдій Лісій до поважного намісника Фелікса. Вітання!
2c171b00fe	Цього чоловіка схопили юдеї і вже збиралися вбити. Але, довідавшись, що він римський громадянин, я прийшов разом із воїнами й визволив його.
2c171c0095	Бажаючи дізнатися причину його обвинувачення, привів його до їхнього Синедріону.
2c171d00ce	Я виявив, що обвинувачення пов’язане з їхнім Законом, але немає нічого, що заслуговувало б на смерть або ланцюги.
2c171e0107	Коли мені повідомили про змову проти нього, я відразу надіслав його до тебе, наказавши й обвинувачам оскаржити його перед тобою. Будь здоровий!»
2c171f0083	Отже, воїни, згідно з наказом, взяли Павла й вночі привели в Антипатриду.
2c1720009e	Наступного дня, залишивши вершників, щоб ішли з ним далі, воїни повернулися до фортеці.
2c172100a8	Коли [вершники] прийшли до Кесарії, то, передавши листа наміснику, поставили Павла перед ним.
2c172200ad	[Намісник], прочитавши листа, спитав [Павла], з якої він провінції. Дізнавшись, що він із Килікії,
2c172300c3	сказав: «Я тебе послухаю, коли прийдуть ті, хто тебе обвинувачує». І наказав стерегти його в преторії Ірода.
2c18010128	Через п’ять днів первосвященник Ананія разом зі старійшинами та адвокатом Тертуллом прийшли до Кесарії та перед намісником висунули обвинувачення проти Павла.
2c18020135	Коли Павла покликали, Тертулл почав обвинувачувати його, кажучи: «Тривалий мир ми маємо завдяки тобі, і добрі речі були зроблені для цього народу через твою дбайливість.
2c18030080	Поважний Феліксе! Ми з великою вдячністю завжди й повсюди це визнаємо.
2c18040099	Щоб не затримувати тебе довго, благаю тебе, вислухай нас коротко у своєму милосерді.
2c180500e6	Ми з’ясували, що ця людина – бунтівник. Він провокує заворушення між усіма юдеями в усьому світі та очолює назарейську єресь.
2c180600ae	До того ж він намагався осквернити Храм. Тому ми його спіймали й хотіли судити за нашим Законом.
2c1807006d	Але прийшов Трибун Лісій і силоміць забрав його з наших рук,
2c180800d5	наказавши його обвинувачам іти до тебе. Якщо ти його допитаєш, то сам дізнаєшся про все, у чому ми його звинувачуємо».
2c1809007d	Інші юдеї теж долучилися до обвинувачень, говорячи, що все це правда.
2c180a00e0	Коли намісник подав знак, Павло почав говорити: «Знаючи, що ти вже багато років суддя цього народу, я охоче буду захищатися.
2c180b00c1	Ти можеш довідатись, що минуло не більше дванадцяти днів відтоді, як я прийшов до Єрусалима на поклоніння.
2c180c00b5	І не бачили мене, щоб я сперечався з кимось у Храмі або підбурював народ десь у синагогах чи в місті.
2c180d0078	Вони навіть не можуть тобі довести того, у чому мене звинувачують.
2c180e0101	Але я визнаю, що служу Богові батьків наших згідно з вченням Шляху, яке вони називають єрессю. Я вірю всьому, що записано в Законі та Пророках.
2c180f0099	У мене така ж надія на Бога, як і в них, що буде воскресіння праведних та неправедних.
2c18100083	Тому я дбаю про те, щоб завжди мати чисте сумління перед Богом та людьми.
2c1811009e	Через багато років я прийшов, щоби подати моєму народові милостиню та принести жертви.
2c1812008b	За цим мене й знайшли очищеного в Храмі. Там не було ні натовпу, ні колотнечі.
2c1813009c	Це були деякі юдеї з Азії, які мали би бути тут перед тобою, якщо мають щось проти мене.
2c1814009b	Або нехай присутні тут скажуть, яку провину знайшли в мені, коли я стояв у Синедріоні.
2c181500c0	Хіба що те слово, яке я вигукнув перед ними: „Сьогодні мене судять перед вами за воскресіння з мертвих!“»
2c181600df	Тоді Фелікс, який добре знав про Шлях, відклав суд, сказавши: «Я винесу рішення з вашого питання, коли прийде Трибун Лісій».
2c181700db	Він наказав сотникові стерегти Павла, але надати певну свободу й нікому з його близьких не забороняти, щоб служили йому.
2c1818011b	Через декілька днів Фелікс прийшов разом зі своєю дружиною Друзиллою, яка була юдейкою. Він наказав покликати Павла, аби послухати про віру в Ісуса Христа.
2c18190102	Проте коли Павло говорив про праведність, здержливість та майбутній суд, Фелікс злякався й сказав: «Тепер іди! Коли матиму час, покличу тебе».
2c181a00b3	Він сподівався, що Павло дасть йому грошей, і тому часто наказував привести його та говорив із ним.
2c181b00d3	Коли минуло два роки, замість Фелікса прийшов Порцій Фест. Бажаючи догодити юдеям, Фелікс залишив Павла у в’язниці.
2c19010084	Через три дні після свого прибуття Фест вирушив із Кесарії до Єрусалима,
2c190200aa	де первосвященники та керівники юдеїв виклали обвинувачення проти Павла. Вони благали Феста
2c190300b4	проявити милість та викликати Павла до Єрусалима. Самі ж готували засідку, щоб у дорозі вбити його.
2c19040095	Але Фест відповів: «Павла стережуть у Кесарії, і я сам незабаром відправлюся туди.
2c190500b8	Отже, нехай ваші керівники йдуть зі мною, і якщо в цій людині є щось погане, то нехай звинувачують її».
2c19060103	Пробувши в них не більше восьми чи десяти днів, [Фест] повернувся до Кесарії, наступного дня сів у суддівське крісло та наказав привести Павла.
2c1907010f	Коли ж Павло прийшов, юдеї, які прибули з Єрусалима, зібралися навколо нього й почали звинувачувати його в численних злочинах, яких не могли довести.
2c190800c5	Павло сказав у свій захист: ―Я нічим не согрішив ні проти юдейського Закону, ні проти Храму, ні проти Кесаря.
2c190900b7	Але Фест, бажаючи догодити юдеям, спитав Павла: ―Чи згоден ти піти до Єрусалима, щоб я судив тебе там?
2c190a00f8	Павло ж сказав: ―Я стою перед судом Кесаря, де мені й належить прийняти суд. Я не зробив нічого поганого юдеям, як ти й сам це добре знаєш.
2c190b012a	Якщо я зробив щось погане, варте смерті, я згоден померти. Але якщо немає нічого в тому, у чому мене звинувачують, ніхто не може видати мене їм. Я вимагаю суду Кесаря!
2c190c00b1	Тоді Фест, поговоривши зі своєю радою, відповів: ―Якщо ти вимагаєш суду Кесаря, до Кесаря й підеш!
2c190d009a	Через декілька днів до Кесарії приїхав цар Агриппа та Вереніка, щоб привітати Феста.
2c190e00e3	Вони провели там декілька днів, і Фест розповів цареві про справу Павла: ―Є тут один чоловік, залишений Феліксом у в’язниці.
2c190f00cd	Коли я був у Єрусалимі, юдейські первосвященники та старійшини свідчили проти нього, вимагаючи його засудження.
2c1910013a	Я ж відповів їм, що римляни не мають звичаю видавати людину, доки вона не зустрінеться віч-на-віч зі своїм обвинувачем і не отримає можливості захиститися від звинувачення.
2c19110097	Коли вони прийшли сюди, я відразу ж скликав суд та наказав привести цього чоловіка.
2c19120097	Обступивши його, обвинувачі не висунули жодної провини з тих, про які я підозрював;
2c191300ea	натомість вони мали деякі суперечки щодо їхньої релігії й щодо якогось Ісуса, Котрий помер і про Якого Павло казав, що Він живий.
2c191400f3	Я був розгублений, не знав, як розглянути цю справу, і спитав [Павла], чи він бажає піти до Єрусалима й там стати перед судом щодо цього.
2c191500bf	Павло ж вимагав, щоб його залишили під вартою на розсуд Августа. Отже, я вирішив відіслати його до Кесаря.
2c191600b3	Агриппа сказав Фестові: ―Я хотів би сам послухати [цього] чоловіка. Фест відповів: ―Завтра почуєш.
2c19170133	Наступного дня Агриппа та Вереніка прийшли з великою пишністю та увійшли до зали зустрічі разом із Трибунами та поважними людьми міста. За наказом Феста привели Павла.
2c19180133	Фест сказав: «Царю Агриппо й усі присутні тут із нами! Ви бачите людину, на яку мені скаржилося безліч юдеїв і в Єрусалимі, і тут, вигукуючи, що він не повинен більше жити.
2c191900ec	Я ж зрозумів, що він не зробив нічого, вартого смерті; і оскільки він сам вимагав суду в Августа, я вирішив надіслати його [до Рима].
2c191a0132	Але в мене немає нічого достеменного, про що я міг би написати володареві, тому я привів його до вас, і особливо до тебе, царю Агриппо, щоб після допиту я мав, що написати.
2c191b00b6	Бо мені здається нерозсудливим надсилати ув’язненого, не вказавши підстав для його звинувачення».
