0100000003	Mui
1222010046	Dilia da asigi dawa:su bagadedafa dunuse! Wali na sia:nebe amo nabima!
1222030086	Dilia da ha:i manu naba:lalu, amo ha:i manu da noga:iyale dawa:digisa. Be bagade dawa:su sia: amo dilia nabasea, hamedafa dawa:digisa.
1222040038	Be amo sia: da nini ninisu sia:sa:ili, ilegemu da defea.
122205009a	Yoube hi da wadela:le hame hamoi amola ea hou da moloidafa sia:sa. Amola Gode da e da giadofale hame hamoi, amane hame sia:i, Yoube da amane egane sia:sa.
1222060090	Yoube da amane adole ba:sa, ‘Na da giadofai, ogogolewane abuli sia:ma:bela:? Na da bogoma:ne fofa:gi dagoi, be na da wadela:le hame hamoi, ’
122207005b	Dilia dunu Yoube agoai ba:bela:? E da Gode da Mimogo Baligili Bagadedafa Dunu hame dawa:sa.
1222080046	E da wadela:i hamosu dunuma gilisimu hanai, amola ili gilisili ahoana.
122209004e	E da Gode Ea hanai amoga fa:no bobogesu hou da dunu hame fidisa, amane sia:sa.
12220a0050	Dilia bagade dawa:su dunu! Gode Bagadedafa da giadofale hamoma:bela:? Hame mabu!
12220b0059	E da dunu ilia hamobe defele, ilima bidi iaha. Amola ilia hou hamoi defele, ilima hamosa.
12220c0067	Gode Bagadedafa da wadela:le hamomu hamedafa dawa: E da dunu huluane ilima moloidafa hou fawane hamosa.
12220d0062	Gode da Ea gasa enoma labala? Dunu eno da Ema E da osobo bagade ouligima:ne ilegebela:? Hame mabu!
12220e002c	Gode da esalusu mifo amo bu samogei ganiaba,
12220f003c	esalebe dunu huluanedafa da bogole, bu gulu dou hamona:noba.
1222100030	Dilia da bagade dawa:su galea, na sia:be nabima!
1222110066	Dilia da Gode Moloidafa Ema diwaneya udidisala:? E da moloidafa fofada:su higasa, dilia da dawa:sala:?
1222120063	Hina bagade dunu amola ouligisu dunu da wadela:le hamosea, Gode da ilima se dabe ima:ne, fofada:sa.
12221300ba	E da ouligisu dunumagale hame fofada:sa. Amola bagade gagui dunu da hame gagui dunuma fofada:sea, E da bagade gagui dunumagale hame fofada:sa. Bai E da dunu huluane defele hahamoi dagoi.
1222140090	Amabela:? Ninia hedolowane gasia bogoma:bela:? Gode da nini fabeba:le, ninia da bogosa. E da asabolewane, mimogo gasa bagade dunu medole legesa.
122215002c	E da ninia osa:le gagabe huluane sosodolala.
1222160043	Gasidunasidafa da Gode mae ba:ma:ne, wadela:i dunu uligimu hamedei.
1222170049	Ninia huluane da Ema fofada:musa: doaga:mu. Be E da amo eso hame ilegesa.
122218005c	E da ouligisu dunu fadegale, eno dunu ilia sogebi lama:ne ilegesea, E da abodele hame ba:sa.
1222190051	Bai E da ilia hamobe huluane dawa: E da ili fadegale, amola gasia ili banenesisa.
12221a0043	E da dunu huluane ba:ma:ne, wadela:le hamosu dunugili se dabe iaha.
12221b004f	Bai ilia da Ema fa:no bobogebe hou yolesili, Ea hamoma:ne sia:i huluane higa:i.
12221c0084	Ilia da hame gagui dunu banenesiba:le, hame gagui dunu da Godema ili fidima:ne wele sia:i. Amola Gode da ilia wele sia:i nabi dagoi.
12221d00c6	Gode da fidisu hame hamoma:ne ilegei ganiaba, dunu da Ema gagabuli sia:mu da hamedela:loba. E da Ea odagi ninia mae ba:ma:ne wamoaligisu hamoi ganiaba, nini da hahanini wadela:lesi dagoi ba:la:loba.
12221e00a1	Gode Ea hou hame lalegagui banenesisu dunu fawane da fifi asi gala amo ouligimu ga:la:loba, amola amo fifi asi gala dunu da amo hou afadenene hamedei ba:la:loba.
12221f0084	Yoube! Di da dia wadela:i hou amo Godema sisane fofada:bela:? Di da Ema, dia da bu hamedafa wadela:le hou hamomu, ilegele sia:bela:?
1222200078	Di da Godema E da dia giadofasu dima olelema:ne adole ba:bela:? Dia wadela:le hamonanebe amo yolesima:ne, Ema sia:bela:?
12222100bc	Di da Gode Ea dima hamoma:ne sia:i amo higabeba:le, di abuliba:le E da dia hanai defele hamoma:beyale dawa:sala:? Na da hame sia:mu. Di fawane sia:ma! Wali, dia asigi dawa:su ninima adoma!
122222003c	Bagade dawa:su dunu, ilia da na sia:be defele amane dawa:mu,
1222230047	‘Yoube e da hame dawa:beba:le, udigili hamedei sia: fawane sia:sa.’
122224007b	Yoube ea sia:i liligi huluane noga:le abodele dawa:ma. Amasea, e da wadela:i hou hamosu dunu defele sia:sa, dilia da ba:mu.
122225005a	E da ea wadela:i hamobe amoma odoga:su hou gilisisa. E da ninia midadi, Godema habosesesa.
1223010055	Yoube! Di da Gode Ea siga ba:ma:ne moloidafa fawane hamosa sia:be, amo da defea hame.
12230300a4	Di da Godema amane sia:sa. ‘Na wadela:i hou da Dima bai hame gala. Na da wadela:i hou hame hamoiba:le, bidi noga:i hamedafa ba:i.’ Amo sia: amola da defea hame.
1223040035	Na da dima amola dia samalalima gilisili adole imunu.
122305002d	Mu ba:ma! Mu mobi gadodafa dialebe amo ba:ma!
1223060080	Di da wadela:le hamoi ganiaba, Gode da se hame naba:loba. Di da wadela:i hou gebewane hamonanea, Gode da Ea hou afadenema:bela:?
122307005a	Di da moloidafa hou hamobeba:le, Godema fidima:bela:? Gode da dima fidisu lamu da hamedei.
122308006b	Dia da wadela:le hamobeba:le, dunu eno da se naba. Amola dia da noga:i hou hamosea, amo da ilia hou fidisa.
1223090063	Gasa fi dunu da eno dunu banenesisia, ilia da gogonomosa. Ilia dunu eno ili gaga:ma:ne wele sia:sa.
12230a00bf	Be ilia da ili hahamosu Godema hame sinidigisa. Be ilia da gasi dunasi amo ganodini se nabawane esalea, Gode da ilima hobea misunu hahawane hou dafawane hamoma:beyale dawa:lusu imunusa: dawa:
12230b00b8	Ilia Godema hame sinidigisa. Be Gode da bagade dawa:su hou ninima iaha. Amola E da amo ninima iabeba:le, ninia asigi dawa:su da ohe fi amola sio fi huluane ilia asigi dawa:su baligisa.
12230c0087	Ilia da Godema, ili fidima:ne wele sia:sa, be Gode da ilima dabe hame adole iaha. Bai ilia da hidale gasa fili agoane wadela:le hamosa.
12230d006b	Ilia udigili agoane fidima:ne wele sia:sa. Bai Gode Bagadedafa da ili hame ba:sa amola ilia sia: hame naba.
12230e0064	Yoube! Di Gode hame ba:sa sia:sa! Be gebewane ouesaloma! Gode da Ea ilegei eso doaga:sea, fofada:mu.
12230f005d	Di da Gode da se dabe hame iaha dawa:sa. Di da Gode da wadela:i hou hame abodesayale dawa:sa.
1223100064	Di da bu gebewane sia:nanumu da hamedei. Na ba:loba, dia da bai hame dawa:beba:le, udigili sia:daha.
1224010062	Fonobahadi eno gebewane ouesaloma! Amola na sia: nabima! Bai na da Gode Ea sia: dima alofele iaha.
1224030066	Na asigi dawa:su da bagade. Na da na asigi dawa:suga, na Hahamosu Gode da moloidafa, amo dima olelemu.
1224040057	Na da dima ogogosu hamedafa dawa: Na da dia midadi, bagadedafa dawa:su dunu agoai lela.
1224050052	Gode da gasa bagadedafa. E da dunu afae hame higasa. E da liligi huluanedafa dawa:
122406006b	E da wadela:i hamosu dunu gebewane esaloma:ne, logo hame doasisa. E da hame gagui dunuma mololedafa hamosa.
1224070098	E da molole hamosu dunu gaga:sa. E da ili hina bagade dunu defele, fi ouligisu hou ilima iaha. Amola dunu eno ilima eso huluane nodoma:ne, logo doasisa.
1224080059	Be fedege agoane, dunu ilia da wadela:le hamoiba:le sia:inega la:gili se nabawane esalea,
122409003e	E da ilia wadela:i hou amola hidale gasa fi hou ilima olelesa.
12240a0049	E da ilima wadela:i hou yolesima:ne sisasu, amo noga:le nabima:ne sesesa.
12240b006e	Ilia da Gode Ea sia: nabasea, amola Ema noga:le hawa: hamosea, ilia da olofole amola bagade gaguiwane esalumu.
12240c0072	Be amane hame hamosea, ilia da hame dawa:iwane bogomu. Fedege agoane, ilia da hano degele, bogosu sogega doaga:mu.
12240d009b	Gode Ea hou hame dawa:be dunu da mae fisili, gebewane ougiwane diala. Gode da ilima se dabe iasea, amolawane, ilia da Gode Ea fidima:ne hame sia:ne gadosa.
12240e00be	Ilia da ayeligiwane bogosa. Ilia da ogogosu ‘gode’ ilima nodone sia:ne gadosu sogebiga, sama ea sama adole lasu hou bagadewane hamonanebeba:le, ilia da gasa guminisiba:le, hedolo bogosa.
12240f006a	Be Gode da dunu ilia se nabasu hou amoga ilima olelesa. Amola ilia bidi hamosu ganodini, ilia si fadegasa.
1224100097	Di da se nabawane bidi hamosu ganodini esaloba, Gode da di gadili oule asili gaga:iwane esaloma:ne hamoi. Dia ha:i manu da bagade lelegela heda:i ba:i.
1224110032	Be wali dia hamobe defele, E da dima se dabe iaha.
1224120078	Dawa:ma! Hano suligisu hou da dima ogogosa:besa:le, amola bagade gagui hou da di giadofale oule ahoasa:besa:le, dawa:ma.
122413006e	Di da digini fidima:ne wele sia:sea, fidisu hame ba:mu. Amola dia gasa bagade hou da wali dima fidimu hamedei.
1224140061	Fifi asi gala da gasia wadela:lesi dagoi ba:mu. Be amo gasi da doaga:ma:ne mae hanaiwane dawa:ma.
1224150072	Wadela:i hou hamosa:besa:le, dawa:ma. Bai dia wadela:le hamosu hedofama:ne, Gode da dima se nabasu hou iasi dagoi.
1224160058	Gode Ea gasa da bagadedafa, amo bu dawa:ma. E da olelesu dunu huluane ilia hou baligisa.
122417007a	Dunu afae da Godema Ea hamomu logo olelemu da hamedei. Amola E da wadela:le hamonana, amo Ema diwaneya udidimu da hamedei.
122418005b	Eso huluane, dunu da Ea hamonanu ba:beba:le, Ema nodonanu. Di amola Ema nodonanumu da defea
1224190057	Dunu huluane da Ea hamonanu ba:i dagoi. Be ninia da sedaga lelawane, Ea hamobe ba:lala.
12241a004d	Ninia Ea bagadedafa hou huluane, amola Ea esalebe ode amo dawa:mu da hamedei.
12241b004d	Gode Hi da osobo bagadega hano lale, amola amo afadenene, gibu dadadi hamosa.
12241c005f	Ea hamobeba:le, gibu da mumobi amo gadodili dadafusa. Gibu da osobo bagade dunu huluane fidisa.
12241d0080	Gode da mu ganodini esala. Be dunu afae da mu mobi ea ahoabe hou hamedafa dawa: Amola gugelebe ea geloloda:iya ahoabe hame dawa:
12241e0067	Gode da ha:ha:na diga:be muagadodili iasisa. Be hano wayabo bagade ea lugudu da gasiwane dialebe ba:sa.
12241f003b	Gode da amanewane osobo bagadema ha:i manu bagadewane iaha.
1224200065	E da Ea loboga ha:ha:na gagulaligisa. E da ha:ha:na amoma Ea ilegei amogai disili gala:ma:ne olelesa.
1224210073	Gugelebe da mulu ea manebe olelesa. Amola bulamagau ili da gugelebe nabasea, isu gibula bobodobe da manebe dawa:sa.
1225010038	Na da isu gibula bobodobe ba:sea, na dogo da gilugilusa.
122502004d	Dilia huluane! Gode Ea sia: nabima! Gugelebe amo da Ea lafidili mabe, nabima!
1225030060	Gode da ha:ha:na diga:be muagadodili iasisa. Ha:ha:na da osobo bagade na:iyado bega: bega: ahoa.
1225040073	Amasea, Gode Ea gogonomosu naba. Amo da gugelebe ea gogonomobe bagade. Amola ha:ha:na da mae fisili nene gala:lala.
1225050059	Gode da sia:sea, fofogadigisu liligi da doaga:sa. Ninia da agoai liligi hame dawa:digisa.
1225060056	Ea sia:beba:le, mugene da osoboga daha. Gode da gibu bagadedafa osobo bagadega iasisa.
1225070051	E da dunu ilia hawa: hamosu dagolesisa. E da Ea gasa bagade hamobe ilima olelesa.
1225080022	Sigua ohe fi da ilia diasuga ahoa.
1225090059	Gibula bobodoi isu da ga (north) amodili maha. Anegagidafa fo da ga (south) amodili maha.
12250a0036	Gode Ea mifo da hano anegagini, ga:nasi mugene hamosa.
12250b0022	Haha:na da mu mobiga nene gala:sa.
12250c0070	Mumobi da Gode Ea hanaiga ahoa. Osobo bagade huluane ganodini, mumobi da Gode Ea hamoma:ne sia:be defele hamosa.
12250d00aa	Gode da osobo bagadega hano soga:ma:ne gibu iaha. Eso enoga E da osobo bagade dunu ilima se dabe ima:ne gibu iaha. Amola eso enoga E da ilia hahawane ba:ma:ne, gibu iaha.
12250e004e	Yoube! Di fonobahadi ouesalu, nabima! Gode Ea noga:idafa hamobe amo dadawa:ma!
12250f0095	Gode da ha:ha:na nene gala:ma:ne sia:sa! E da habodane agoai hamosala:? Di amo dawa:sala:? E da habodane ha:ha:na mumobiga nene gala:ma:ne hamosala:?
122510007b	Gode da fofogadigiliwane hamobela:le, mumobi da muagado gila ahoa. Di da amo mumobi ilia gila ahoabe hou ea bai dawa:sala:?
1225110052	Hame mabu! Ga (south) dogoloi fo da soge wadela:sea, di da dogolobeba:le, se naba.
122512007e	Gode da mu fadegale gagasea, di da E fidimu dawa:sala:? E da mu ga:nasi gula enemei defele hamosea, di da E fidimu dawa:sala:?
1225130068	Gode! Ninia Dima sia:mu amo Dia ninima olelema! Ninia asigi dawa:su da hame gala. Ninia sia:mu gogolesa.
122514006b	Na da Godema sia:musa: hame adole ba:mu. Bai na da abuliba:le, E na gugunufinisisima:ne logo doasima:bela:?
1225150074	Wali, mu da:iya hadigi da si nenemeginana. Amaiba:le, ninia ba:mu si gasenei. Mu da foga fulaboiba:le, fofoloi gala.
122516006a	Ninia da ga (north) la:idiga gouli agoai hadigi ba:sa. Amo da Gode E hadigi, amola amoga ninia da beda:sa.
1225170089	Gode Ea gasa da bagadedafaba:le, ninia da E gadenena misunu da hamedei. Ea ninima hamobe liligi huluane da moloidafa amola defele hamosa.
12251800b9	Amaiba:le, dunu huluane ilia Ema beda:su hou da fofogadigisu liligi hame. E da nowa dunu da hidale, hifae da asigi dawa:su bagade lai dagoiyale sia:sea, E da amo dunu ea sia: hame naba.
1226010044	Amalalu, foga mulu bagade amodili, Hina Gode da Youbema amane sia:i,
1226020072	“Di da abuliba:le Na bagade dawa:su hou da defele hame sia:sala:? Dia sia: da gagaoui amola hamedei sia: fawane.
1226030046	Wali, molole wa:legadole, Na dima adole ba:be amo nama dabe adole ima.
1226040073	Na da osobo bagade hahamonoba, di amogawi esalebe ba:bela:? Di da liligi huluane dawa:beba:le, Nama dabe adole ima.
122605007a	Nowa da osobo bagade ea defei ilegebela:? Nowa da amo defemusa:, defesu efe bobaila:? Di da adole iasu huluane dawa:sala:?
1226060083	Fedege agoane, dunu bugi amo da osobo bagade udidia gadosa, amo adiga udidisala:? Osobo bagade ea igi bai bagade, nowa da fa:bela:?
1226070093	Osobo bagade hahamoi eso hehebolo amoga gasumuni huluane da gilisili gesami hea:lalu. Amola Hebene esalebe fi huluane da hahawaneba:le, wele sia:i.
12260800b5	Hano wayabo bagade da musa: osobo bagade dogoa ganodini galu amo fudagala:le, ga ahoanoba, osobo bi hamoi amo hasalasisa:besa:le, nowa da ea logo hedofama:ne, logo ga:su ga:sibala:?
1226090077	Na Nisu fawane da hano wayabo bagade mumobiga dedebolesi dagoi. Na Nisu fawane da hano wayabo bagade gasiga lala:boloi.
12260a004b	Na da hano wayabo bagade alalo ilegei, amola ga mae masa:ne logo gaga:lesi.
12260b0090	Na da hano wayabo bagadema amane sia:i, ‘Dia alalo da goea! Amo mae baligigama! Dia gasa bagade gafulubi amoga, amo alalo mae baligiligama!’
12260c004d	Yoube! Di da dia esalusu ganodini huluane amo eso hehebolo misa:ne sia:bela:?
12260d00b4	Di da hehebolo amoma amane hamoma:ne sia:bela:? ‘Osobo bagade gagulaligima! Wadela:i hamosu dunu ilia wamoaligisu amoga uguguli gugudili fasima!’ Di da amo hamoma:ne sia:bela:?
12260e0061	Haiyoga, agolo amola fago ilia da abula miginisisi amola laga osoboga dedei agoane, noga:i ba:sa.
12260f006a	Wadela:i hamosu dunu da esohaiyo si gagasenei agoai ba:sa. Bai amo da ilia wadela:le hamomu logo hedofasa.
1226100091	Di da hano wayabo bagade lugudu amoga gudunini bubuga:ne gadobe amo ba:la asibala:? Di hano wayabo bagade amo hano oso hagudu amo da:iya lalula:?
1226110050	Dunu afae da dima logo ga:su, amo da bogoi gasi soge ga:sibi, amo dima olebela:?
1226120053	Di da osobo bagade ea bagade defei amo dawa:bela:? Dia da dawa:i galea, nama adoma!
1226130048	Dia da hadigi ea mabe bai dawa:bela:? Amola gasi ea banuguma dawa:bela:?
1226140069	Dia da hadigi amola gasi amoma ela masa:ne olemu dawa:bela:? Amola ela bu sinidigima:ne adomu dawa:sala:?
122615007b	Dafawane! Di da amo hou huluane dawa:! Di da da:i hamoi dagoi. Amola Na da osobo bagade hahamoloba, di amo amogai esalula:?
122616006d	Di da liligi legesu diasu amoga Na da mugene (snow) amola mugene ga:nasi (hail) legesa, amoga ba:la asibala:?
1226170056	Na da gegesu amola bidi hamosu eso amoga, ha lai dunuma gegema:ne amo liligi ouligisa.
1226180061	Di da eso ea mabe sogebi amo ba:la asibala:? Di da gusudili fo ea mabe sogebi amo ba:la asibala:?
1226190066	Gibu bagade dasea, hano sa:ima:ne, nowa ogabela:? Isu gibula bobodole masa:ne, nowa da logo fodobela:?
12261a0040	Dunu hame esalebe soge amogai gibu sa:ima:ne, nowa da hamobela:?
12261b003e	Gisi noga:le heda:ma:ne, nowa da hafoga:i sogega gibu iabela:?
12261c002b	Gibu amola oubi baeya ela da eda ganabela:?
12261d002b	‘Aisi’ amola mugene ela eme da nowala:?
12261e005e	Mugene da hano amo igi ga:nasi agoai hamosa, amola hano wayabo bagade ea odagi ga:nasi hamosa.
12261f0078	Di da Balia:idese gasumuni ili dodobole la:la:gimusa: dawa:bela:? Di da Olione gasumuni la:la:gi fadegamusa: dawa:bela:?
1226200094	Di da eso huluane gasumuni ilima logo olelemusa: dawa:bela:? Di da Bea Bagade amola Bea Fonobahadi gasumuni ilima masunu logo olelemusa: dawa:bela:?
1226210075	Di da malei amo da mu ouligibi, amo dawa:bela:? Amola amo malei da osobo bagade ouligima:ne, afadenemusa: dawa:bela:?
122622006c	Di da mumobima, ili hamoma:ne wele sia:mu dawa:bela:? Amola ili dia gibuga nanegama:ne sia:musa: dawa:bela:?
122623008b	Amola di da ha:ha:nama nene gala:ma:ne sia:sea, ha:ha:na da dima misini, ‘Na da dia hamoma:ne sia:i defele hamomu’, amane sia:ma:bela:?
1226240079	Nowa da aowahea sio amoma Naile hano ea fili gala:be eso olelesala:? Nowa da gagala gawalima gibu da sa:ima:ne sia:sala:?
12262600ad	Nowa ea bagade dawa:suga mumobi idima:bela:? Amola nowa ea bagade dawa:suga mumobi amo gibu sogadigima:ne, giwigilisimusa: dawa:sala:? (Gibu da gulu ganumu ga ganumunisisa.)
1226280097	Laione wa:me amola ha:aligi laione wa:me waha debe, amo da magufu gelaba amola ilia diasu ganodini wamoaligisa, di da iligili ha:i manu hogole iabela:?
1226290078	Da: sio da ha:aligili udigili lalea, amola ilia mano da Nama ha:i manusa: dini iasea, nowa da ilima ha:i manu iahabela:?
1227010077	Di da goumia esalebe goudi ilia lalelegesu eso dawa:sala:? Di da sigua ‘dia’ gebo ilia mano lalelegei hou ba:bela:?
122702005b	Di da ilia eso habodayane galuiyale dawa:bela: Di da ilia lalelegemu eso ilegei dawa:sala:?
1227030047	Ilia habogala mano lamusa: beguduli lobo gaguladabe, amo di dawa:bela:?
1227040051	Ilia da iwiladafa amo ganodini gasa lale, alesa. Ilia da ga asili, hame buhagisa.
1227050038	Sigua dougi halegale masa:ne, nowa ilia logo doasibala:?
1227060079	Na da ili amogai esaloma:ne, hafoga:i soge ilima i. Ilia da hafoga:i deme (sali) dialebe umiga esaloma:ne, Na logo doasi.
122707008a	Ilia sia: gulubagebe moilai bai bagade gadenene hame esala. Amola dunu ilia da ili fofole amola ilia hawa: hamoma:ne sia:mu hamedei ba:sa.
1227080028	Ilia goumia mola:iya:i ha:i manu hogosa.
122709006c	Sigua bulamagau gawali da digili hawa: hamonesima:bela:? E da dia bulamagau diasuga gasi afae esaloma:bela:?
12270a0094	Di da sigua bulamagau gawali afaema efe gomenesili, osobo gidinama:ne sia:mu dawa:bela:? Di da e gomenesili, osobo gisuga gima:ne sia:mu dawa:bela:?
12270b005a	Di da ea gasa bagade amoga e da dia hawa: hamosu fawane hamoma:ne dafawaneyale dawa:bela:?
12270c006c	E da dia bugi gamisu dima gaguli misa:bela:? E da gagoma dia dabasu faia dialebe, amo gagadole lidima:bela:?
12270d0089	‘Osadaligi’ (wida agoai) ea ougia da hedolodafa dada ahoa. Be ‘osadaligi’ afae da ‘sidoge’ ea hagili ahoabe defele hame dawa:
12270e003d	‘Osadaligi’ da ea oso da osobo da:iya dogoloma:ne legesa.
12270f0077	Be e da asigi dawa:su hame dawa:beba:le, amo oso da emoga hasalasimu o sigua ohe amoga goudanisimu, amo e da hame dawa:
122710006f	E da amo oso da ea: hameyale defele, e da hamosa. E da ea oso udigili legebayale dawa:beba:le, hame da:i diosa.
122711003e	Be Ni fawane da e gagaoulisi, amola ema bagade dawa:su hame i.
1227120053	Be e da muni hehenane ahoasea, e da hosi amola hosi fila heda:i dunu amoba:le ousa.
122713005e	Yoube! Di fawane da hosi ilima gasa ibala:? Di fawane da ilima ilia mugi hinabo sedade ibala:?
122714006a	Di da ili danuba: defele soagagala:ma:ne ilima ibala:? Amola ili dunu beda:ma:ne hagogala:ma:ne hamobela:?
1227150062	Hosi da nimiwane osobo fagoa gudu gigila:sa. Ilia da ilia gasa huluane defele, gegemusa: hehenasa.
122716005f	Ilia da beda:su hamedafa dawa: Amola gegesu gobihei afae da ili sinidigima:ne hamomu hame dawa:
122717005b	Ilima fila heda:i dunu ilia gegesu liligi da ginina:ginina:sa, amola esoga baba gaga:la:sa.
1227180069	Fofogadigili yaguguli, ilia misosogane hehenasa. Gegesu dalabede da wesea, ilia da nimi agoane fofoga:sa.
12271900a2	Dalabede da afae wele gasea, hosi da hagogala:sa. Ilia da gegesua hame gadeneawane, nimi gaha naba. Ilia dadi gagui ouligisu dunu ilia hamoma:ne wele sia:su naba.
12271a0059	Buhiba da ea ougia ga (south) amodili da:legasea, di da hagili ahoabe amo ema olelebela:?
12271b0073	Sia sio da goumi gadodafa amo da:iya bibimusa: dawa:sea, e da hidadea dia hamoma:ne sia: nabimusa: ouesaloma:bela:?
12271c0066	E da igi gadodafa da:iya bibisa. Amola goumi agesone fisiagagadoi, da ea gagili sali diasu agoai gala.
12271d0051	Amogainini, e da ga amola gadenene huluane liligi medoma:ne amola moma:ne hogosa.
12271e0056	Sia sio ilia da bogoi da:i manusa: beba:le sisiga:sa. Waha debe sia da maga:me nososa.
1228010084	Yoube! Di da Gode Bagadedafa amo Ema mogoi dagoi. Di da wali fisima:bela:? O di da Nama bu adole ima:bela:?” Yoube da amane sia:i,
1228040078	“Hina Gode! Na da gagaoule agoane sia:i. Na da Dima adi dabe adole ima:bela:? Na da eno sia: sia:musa: hame dawa:lala!
1228050031	Na da ni sia:mu galu amo baligili sia:i dagoi.”
1228060066	Amalalu, foga mulu mabe amo ganodini, amodili Hina Gode da bu Youbema sia:i. Hina Gode da amane sia:i.
122807004f	“Wa:legadole, molole aligili, Na dima adole ba:mu amoma di bu dabe adole ima.
1228080067	Amola Na da moloi hame amola di fawane da moloi, amo dafawaneyale dawa:ma:ne, dia da Nama fofada:sala:?
1228090048	Dia gasa da Na gasa defelela:? Dia sia: da Na sia:sea gugelebe agoaila:?
12280a005c	Amai galea, di hidalewane wa:legadole, hadigidafa amola bagadedafa hou abula agoane gaga:ma.
12280b0045	Gasa fi hidabe dunu ba:ma! Amasea, ilima ougili, ilia hou fofonoboma!
12280c006e	Dafawane! Ilima ba:lu, gudu oule sa:imu. Di wadela:i hamosu dunu ilia lelebe sogebi amogaiwane gugunufinisima!
12280d0044	Ili huluane uli dogonesima. Ili bogoi sogebi ganodini lala:gilisima.
12280e0055	Amasea, Na da bisili dima nodone sia:mu. Amola, disu fawane da hasalasi dagoi sia:mu.
12280f0078	Ohe fi bagade ea dio amo Bihimode, amo ba:ma:! Na da e hahamoi amola na da di hahamoi. E da bulamagau defele, gisi naha.
1228100036	Be e da gasa bagadedafa. Ea laboso da gasa bagadedafa.
1228110042	Ea la:go da dolo ifa defele sanosa. Amola ea emoso da gasa bagade.
122812005b	Ea gasa da balase defele, gasa bagade gala. Amola ea emo da ouli fesonoi defele, gasa gala.
122813006b	Ea da esalebe liligi huluane ilia fofogadigisu hou baligisa. Ea Hahamosu Dunu fawane da e hasalimusa: dawa:
1228140043	E moma:ne, gisi da agolo amoga sigua ohe da hedesa, amogai heda:sa.
1228150062	E da aya: gaga:nomei ifalaboha golasa. Amola heahai sogebi saga: heda:i, amo ganodini wamoaligisa.
1228160054	Aya: gaga:nomei ifalabo amola dilaguba ifa hano gadenene lelebe, da ema ougigala:sa.
1228170066	E da hano yogo amoba:le hame beda:sa. Yodane hano da ea odagia fana masea, e olofolewane lelebe ba:sa.
1228180056	Nowa da ea si dofonesili, e gagulaligima:bela:? Nowa da ea migifu saneni gaguma:bela:?
1229010074	Dia da Lifaiada:ne (hanome ohe fi agoai) amo dimani bese amoga gaguma:bela:? O ea gona:su efega lala:gilisima:bela:?
122902005f	Dia da efe amo ea migifu amodili sanasima:bela:? O ea magadoa dimani besega badofalesima:bela:?
1229030050	E da masusa: dima adole ba:ma:bela:? E da dima olofosu ema ima:ne edegema:bela:?
1229040072	E da dima gousa:su ilegesu hamoma:bela:? E da mae yolele eso huluane dima fa:no bobogelalumu ilegele sia:ma:bela:?
1229050055	Di da e fofoi sio agoane, dia hawa: hamosu uda hahawane ba:ma:ne, e la:la:gima:bela:?
1229060067	Dimani adosu dunu da e bidi lama:ne, bobolema:bela:? Bidi lasu dunu da e bidi lama:ne, dadega:ma:bela:?
1229070068	Di da ea gadofo amo guisu asuni amoga magufamu dawa:sala:? O ea dialuma goge agei amoga somu dawa:sala:?
122908006a	Di da e afaewane digili ba:lu, eno hamedafa digili ba:mu. Bai e da dima gegei amo di da hamedafa gogolemu.
1229090041	Nowa da Lifaiada:ne ba:sea, beda:ga gasa hamedene, osoba diadaha.
12290a0070	Dunu da e ougima:ne didilisisia, e da mi hanaidafa ba:sa. Dunu afae da ea midadi gadenene aligimu hamedei ba:mu.
12290b0060	Nowa da e doagala:sea, se hame nabi ba:ma:bela:? Osobo bagade dunu afae da amane hamomu hamedei.
12290c0056	Na Lifaiada:ne ea emo ea hou dima adomu galebe. Ea gasa bagade hou amola dima olelemu.
12290d005e	Dunu huluane da ea dabua gadofo houga:mu da hamedei. Amola ea da:igene ga:su amo somu hamedei.
12290e0046	E da bese agesoi bagade gala. Ea lafi dagama:ne, nowa da sesema:bela:?
12290f006d	Ea baligi da da:igene ga:su dadalesu amoga hamoi. Ilia da madelagili la:la:gi, amola igi defele ga:nasi gala.
1229100058	Afae afae da enoma gilisili disisibiba:le, mifo da ili adobodili masunu logo hame ba:sa.
122911003e	Ilia da noga:le gilisimusa: madelagiba:le, afafamu da hamedei.
1229120065	Lifaiada:ne da hadisia:sea, hadigi agoai nene gala:sa. Amola ea si da eso mabe ea hadigi agoai ba:sa.
122913005f	Ea lafidili, lalu gona:su agoai gadili ahoa. Amola ea lafidili, lalu geso bagohame gadili ahoa.
1229140059	Ea mi gelabodili, lalu mobi (amo da gagalobo osobo ofodo hagududili nebe defele) da maha.
122915004b	Ea mifoga lalu nema:ne fulabosa. Ea lafidili, lalu gona:su da heloagala:sa.
1229160049	Ea galogoa da gasa bagadeba:le, ema doaga:be dunu huluane da beda:gia:sa.
122917004c	Ea gadofoa dibi asaboi da hame ba:sa. Ea gadofo da ouli defele, ga:nasidafa.
122918004b	Ea dogo da widi goudasu igi agoai, ga:nasidafa. E da beda:su hamedafa dawa:
1229190078	E da wa:legadosea, baligili gasa bagade dunu amolawane da beda:gia:sa. Ilia da bagadewane beda:iba:le, hahanidafa ba:sa.
12291a0066	E fofa:gimusa:, gegesu gobihei da hamedafa gala. Goge agei, amola dadi da ema se ima:ne hamedafa gala.
12291b005d	E da ouli, amo gisi defele, gasa hamedei ba:sa. Amola e da balase amo ifa dasai defele ba:sa.
