2800000007	Matúš
2d060f007a	Znamená to azda, že môžeme pokojne ďalej hrešiť, keďže nad nami nepanuje Zákon, ale Božia milosť? Určite nie!
2d061000d9	Veď viete, že komu sa dávate do služieb, ten sa stane vaším pánom. Buď sa teda stanete otrokmi hriechu a ten vás privedie k večnej smrti, alebo sa rozhodnete poslúchať Boha, a tým získate spravodlivosť.
2d0611007b	Vďaka Bohu, že hoci ste kedysi boli otrokmi hriechu, teraz ste sa celým srdcom priklonili k učeniu, ktoré ste prijali.
2d0612004f	A tak ste boli oslobodení od hriechu a dali ste sa do služieb spravodlivosti.
2d061300ca	Tento príklad používam, aby ste to lepšie pochopili. Ako ste predtým otročili všelijakým hriechom, nečistote a bezbožnosti, tak sa teraz dajte do služby všetkému, čo je správne a sväté.
2d0614004e	Kým ste boli otrokmi hriechu, nestarali ste sa priveľmi o to, čo je dobré.
2d06150054	A čo vám to prinieslo? Len hanbu. Veď za to všetko ste si zaslúžili iba smrť.
2d0616006f	Ale teraz ste slobodní od moci hriechu a slúžite Bohu. Odmenou za to je svätosť a nakoniec večný život.
2d0617007d	Lebo mzdou hriechu je smrť, ale darom Božej milosti je večný život, v spoločenstve s Ježišom Kristom, naším Pánom.
2d07010071	Milí bratia, vy sa predsa dobre vyznáte v zákone, a tak viete, že je platný len dovtedy, kým človek žije.
2d07020092	Vydatá žena je zákonom viazaná k žijúcemu manželovi. Ak však jej muž zomrie, je oslobodená spod zákona, ktorý ju viazal k jej mužovi.
2d070300da	Pokiaľ by sa však za manželovho života oddala inému mužovi, stala by sa cudzoložnicou. Po manželovej smrti je však podľa zákona slobodnou ženou a nik ju nebude viniť z cudzoložstva, ak by sa znova vydala.
2d070400c8	A podobne je to aj s vami, bratia moji, Kristovou smrťou ste sa stali pre zákon mŕtvymi, aby ste mohli patriť inému Pánovi; tomu, ktorý bol vzkriesený, a žili životom, ktorý sa Bohu páči.
2d070500a0	Keď sme ešte žili podľa svojej hriešnej prirodzenosti, ovládali nás hriešne žiadosti po tom, čo zákon zakazuje a robili sme to, čo vedie do záhuby.
2d070600ca	Ale teraz, keď sme zomreli tomu, čím sme boli spútaní, sme oslobodení od zákona a môžeme slúžiť Bohu celkom novým spôsobom, ako nás vedie Svätý Duch, a nie podľa starej litery zákona.
2d070700f8	Chceme tým azda povedať, že Božie zákony sú zlé? Určite nie! Veď bez Božích prikázaní by som ani nevedel, čo hriech je a čo nie. Keby Božie prikázanie nehovorilo: „Nepožiadaš!“, ani by som nevedel, že žiadostivosť je zlá.
2d0708007a	Ale hriech zneužil zákon, aby vo mne podnietil všetky druhy žiadosti. Ak by nebolo zákona, hriech by túto moc nemal.
2d0709006b	Kedysi som žil bez zákona, ale s jeho príchodom do môjho života hriech ožil a ja som sa stal mŕtvym.
2d070a004d	Ukázalo sa, že prikázanie, ktoré mi malo dať život, prinieslo mi smrť.
2d070b0056	Hriech využil prikázanie, aby ma oklamal, a tak namiesto života mi priniesol smrť.
2d070c0067	Zákon sa však sám osebe zhoduje s Božou vôľou; každé prikázanie je sväté, správne a dobré.
2d070d00d2	Mohlo byť teda to, čo je dobré, príčinou mojej smrti? Určite nie! Ale tým, že hriech využil dobro, aby mi prinieslo smrť, prejavil sa ako hriech, a práve zákon ukázal celú hĺbku jeho hriešnosti.
2d070e006d	Vieme, že zákon bol inšpirovaný Božím Duchom, ale ja som len slabý človek, ktorý je otrokom hriechu.
2d070f0050	Sám sebe som záhadou, lebo nerobím to, čo chcem, ale to, čo sa mi protiví.
2d07100054	Ak však to, čo robím, je proti mojej vôli, potom uznávam, že Zákon je dobrý.
2d07110047	To vlastne znamená, že zlo nekonám ja, ale hriech, ktorý je vo mne.
2d0712008e	Viem, že vo mne, v mojej hriešnej prirodzenosti, neprebýva nič dobré. Ja by som síce chcel robiť to, čo je dobré, ale nedokážem to.
2d0713003b	Veď nekonám dobro, ktoré chcem, ale zlo, ktoré nechcem.
2d07140064	Ak teda robím to, čo nechcem, nerobím to už vlastne ja, ale hriech, ktorý je mojou súčasťou.
2d07150071	A tak objavujem v sebe takúto zákonitosť: Keď chcem konať dobro, hriech je to prvé, čo sa vo mne prejaví.
2d0716004b	Vo svojej najvnútornejšej bytosti nadšene súhlasím s Božím zákonom,
2d071700a0	a predsa konám podľa iného zákona, ktorý je vo mne. Tento zápas medzi mojím dobrým predsavzatím a hriešnym konaním dokazuje, že som otrokom hriechu.
2d07180061	Ja nešťastný človek! Je niekto, kto ma vyslobodí z tohto tela, ktoré ma odsudzuje na smrť?
2d07190096	Vďaka Bohu, áno! Náš Pán Ježiš Kristus ma vyslobodil. Vo svojej mysli teda slúžim Božiemu zákonu, ale v konaní som stále otrokom hriechu.
2d08010053	A tak pre tých, ktorí veria v Krista Ježiša, už nejestvuje žiadne odsúdenie.
2d08020083	Pre nich neplatí zákon hriechu a smrti, lebo oživujúci Duch ich prostredníctvom Ježiša Krista spod tohto zákona vyslobodil.
2d080300d7	Boh vykonal to, čo pre ľudskú hriešnosť nemohol vykonať zákon: poslal vlastného Syna v ľudskom tele, ako má hriešny človek, aby zlomil vládu hriechu nad nami tým, že sa sám obetoval za naše hriechy.
2d080400a2	A tak Kristovou zásluhou môže byť na nás vykonané to, čo požaduje zákon, keď nekonáme podľa našej ľudskej prirodzenosti, ale dáme sa viesť Duchom.
2d080500c0	Tí, ktorí žijú podľa toho, čo sami chcú, majú svoje mysle naplnené hriešnymi túžbami. Tí však, ktorí sa dajú viesť Božím Duchom, majú svoje mysle naplnené túžbami Ducha.
2d08060068	Telesné zmýšľanie prináša smrť, ale zmýšľanie vedené Božím Duchom prináša život a pokoj.
2d08070086	Človek, ktorý myslí iba na seba, žije v nepriateľstve voči Bohu; nechce sa totiž, ba ani nemôže, podvoliť jeho prikázaniam.
2d08080052	Je ovládaný svojou hriešnou prirodzenosťou, a preto sa Bohu nemôže páčiť.
2d08090089	Ak však vo vás prebýva Boží Duch, nežijete zo svojej vlastnej sily, ale z moci Ducha. Kto nemá Ducha Kristovho, nepatrí Kristovi.
2d080a007e	Ak je vo vás Kristus, vaše telo je síce mŕtve a pre hriech podlieha smrti, ale Duch dáva život, lebo ste ospravedlnení.
2d080b00a2	Ak je vo vás Duch toho, ktorý vzkriesil Ježiša z mŕtvych, potom ten, ktorý ho vzkriesil, oživí aj vaše smrteľné telo svojím Duchom, ktorý je vo vás.
2d080c0065	Preto, milí bratia, nemáme žiadny dlh voči našej starej prirodzenosti, aby sme podľa nej žili.
2d080d0064	Lebo naše žiadosti nás ženú do smrti. Ale ak mocou Ducha umŕtvujete zlé skutky, budete žiť.
2d080e0044	Všetci, ktorí sa dajú viesť Božím Duchom, sú Božími deťmi.
2d080f00bd	Od Boha sme totiž neprijali Ducha, ktorý by z nás robil ustráchaných otrokov, ale Ducha, ktorý z nás robí členov Božej rodiny a dáva nám právo volať Boha: „Otec! Otecko!“.
2d08100043	Sám Boží Duch nám dáva vnútornú istotu, že sme Božie deti.
2d08110085	A ako deti sme Božími dedičmi a Kristovými spoludedičmi. A ak teraz trpíme s Kristom, budeme raz mať podiel aj na jeho sláve.
2d08120070	Som totiž presvedčený, že terajšie utrpenie sa nedá ani porovnať so slávou, ktorou nás Boh raz zahrnie.
2d08130043	Veď celé stvorenstvo túžobne očakáva zjavenie Božích synov.
2d08140080	Celé stvorenstvo je podrobené pominuteľnosti, no nie dobrovoľne, ale z vôle toho, ktorý si ho podrobil. Je tu však nádej
2d0815005b	na vyslobodenie všetkého stvorenstva z otroctva skazy do slobody a slávy Božích detí.
2d08160061	Veď vidíme, že všetko stvorenstvo až doteraz vzdychá a stoná ako v pôrodných bolestiach.
2d081700bc	Ba aj my, ktorým Boh ako prísľub budúcej slávy už dal svojho Ducha, túžobne očakávame, kedy nás ako svoje deti prijme k sebe a naše telo oslobodí od všetkej porušiteľnosti.
2d0818008f	Zachránení sme nádejou. Nádej je čakaním na to, čo ešte nemáme. Ak to, na čo čakáme, vidíme pred sebou, nepotrebujeme už dúfať.
2d08190046	My však máme nádej a trpezlivo očakávame to, čo ešte nevidíme.
2d081a00df	Podobne k nám prichádza aj Svätý Duch, aby nám pomáhal v našej slabosti. Veď ani nevieme, ako a za čo by sme sa mali modliť. Vtedy sa za nás prihovára Svätý Duch so stonmi, ktoré sa nedajú vyjadriť slovami.
2d081b0070	A Boh, ktorý vidí do srdca človeka, vie, že Svätý Duch prosí za nás o to, čo sa zhoduje s jeho vôľou.
2d081c00a6	Jedno vieme určite: Boh koná tak, aby všetko, čokoľvek sa deje, slúžilo na dobré tým, ktorí ho milujú a ktorých si povolal podľa svojho odvekého plánu.
2d081d0087	Tých, o ktorých Boh vopred vedel, tých aj vopred určil, aby sa stali podobní jeho Synovi a on bol tak prvý medzi mnohými bratmi.
2d081e0056	A ktorých Boh takto určil, tých aj povolal, ospravedlnil ich a dal im svoju slávu.
2d081f0056	Môžeme si želať ešte niečo viac? Keď je Boh s nami, kto môže byť proti nám?
2d08200077	Boh, ktorý neušetril svojho vlastného Syna, ale dal ho za nás všetkých, vari nám spolu s ním nedaroval všetko?
2d08210068	Kto by sa odvážil obžalovať tých, ktorých si Boh povolal? Veď sám Boh nás zbavil všetkej viny.
2d0822008d	Kto by sa odvážil nás odsúdiť? Veď Kristus za nás nielen zomrel, ale aj vstal z mŕtvych a teraz je po Božej pravici a obhajuje nás.
2d08230091	Čo by nás teda mohlo odlúčiť od Krista a jeho lásky? Utrpenie alebo strach? Prenasledovanie? Hlad? Bieda? Nebezpečenstvo alebo sama smrť?
2d08240056	Je napísané: „Denne nás pre teba vydávajú na smrť, sme ako ovce na zabitie.“
2d0825005e	A predsa nad tým všetkým víťazíme v moci Ježiša Krista, ktorý nás tak veľmi miluje.
2d08260082	Som presvedčený, že ani smrť, ani život, ani anjeli, ani démonské sily, ani prítomnosť, ani budúcnosť, ani nijaká moc,
2d082700b3	nič čo je na nebi, nič čo je na zemi, ani čokoľvek iné v celom stvorení nás nemôže odlúčiť od Božej lásky, ktorú Boh zjavil v Ježišovi Kristovi, našom Pánovi.
2d09010058	Hovorím pravdu v Kristovi. Neklamem a Duch Svätý mi to cez moje svedomie dosvedčuje:
2d09020034	mám veľký zármutok a srdce ma neprestajne bolí.
2d09030089	Chcel by som byť totiž radšej sám prekliaty a odlúčený od Krista, než aby to postihlo mojich bratov, ľud, z ktorého pochádzam.
2d090400bb	Sú to predsa Izraeliti! Ich si Boh osvojil za synov, im patrí Božia sláva, s nimi uzavrel zmluvu, im dal svoj Zákon, oni mali tú prednosť slúžiť mu a im boli dané zasľúbenia.
2d09050073	Oni mali slávnych praotcov a z ich národa pochádza aj Kristus, Vládca všetkého, Boh požehnaný naveky! Amen.
2d09060066	Božie slovo však neprestalo platiť, lebo nie všetci tí, čo sú z Izraela, sú aj Božím ľudom.
2d09070085	Ani deťmi nie sú len preto, že sú Abrahámovými potomkami. Veď Boh povedal: „Podľa Izáka sa bude volať tvoje potomstvo.“
2d09080076	To znamená, že nie všetci potomkovia Abraháma sú Božími deťmi, ale iba tí, čo sa narodili z Božieho sľubu.
2d09090052	A Božie zasľúbenie znelo: „V určený čas prídem a Sára bude mať syna.“
2d090a0061	Podobne to bolo aj s Rebekou, ktorá mala obe deti s jedným mužom – naším praotcom Izákom.
2d090b00a1	Ešte skôr, ako sa narodili – a teda než mohli urobiť niečo dobré či zlé (aby sa potvrdilo, že Boh je zvrchovaný vo svojom pláne, deje sa jeho vôľa
2d090c0063	a je to on, kto povoláva) –, oznámil Rebeke: „Starší zo synov bude slúžiť mladšiemu.“
2d090d004f	V Písme sa o tom hovorí: „Miloval som Jákoba, ale Ezaua som nenávidel.“
2d090e0039	Znamená to azda, že Boh je nespravodlivý? Určite nie!
2d090f006a	Mojžišovi predsa povedal: „Zmilujem sa, nad kým sa zmilujem a zľutujem sa, nad kým sa zľutujem.“
2d09100072	Nezáleží teda na tom, či niekto stojí o Božiu priazeň, alebo sa o ňu tvrdo usiluje, ale na Božej milosti.
2d0911009e	Písmo napríklad hovorí o egyptskom faraónovi: „Zachoval som ťa preto, aby som na tebe ukázal svoju moc a aby sa hlásalo moje meno v celej krajine.“
2d09120046	Boh sa teda zmiluje, nad kým chce, a komu chce, tomu milosť odoprie.
2d09130060	Možno niekto namietne: Prečo nás teda Boh karhá? Môže sa azda niekto vzoprieť jeho vôli?
2d09140081	Ale, človeče, kto si, že si trúfaš hádať sa s Bohom? Hovorí azda dielo svojmu tvorcovi: Prečo si ma urobil práve takto?
2d0915008a	Vari nemá hrnčiar právo vyrobiť z hliny čo sám uzná za vhodné – či už nádobu na slávnostný účel alebo nádobu obyčajnú?
2d091600cb	A to isté možno povedať o Božom konaní. Rozhodol sa zjaviť svoj hnev a odhaliť svoju moc. Napriek tomu s trpezlivosťou znášal tých, ktorí mali okúsiť jeho hnev, lebo si zaslúžili záhubu.
2d0917007d	A podobne sa rozhodol prejaviť svoju veľkú slávu na tých, ktorým prejavil svoje milosrdenstvo, aby prijali jeho slávu.
2d0918003d	Povolal nás nielen zo Židov, ale aj z pohanských národov,
2d09190080	ako to hovorí už prostredníctvom Ozeáša: „Ľud, ktorý nie je môj, povolám za svoj ľud a memilovanú nazvem milovanou.
2d091a0073	A stane sa, že tým, ktorým sa hovorilo: ‚Vy nie ste môj ľud‘, budú nazvaní ‚synmi živého Boha.‘“
2d091b0070	O Izraelovi hovorí Izaiáš: „Aj keby bolo synov Izraela ako morského piesku, len ostatok bude zachránený.
2d091c003c	Lebo Hospodin vykoná svoj súd na zemi rýchlo a úplne.“
2d091d009f	A ešte predtým Izaiáš predpovedal: „Keby nám Hospodin zástupov nebol ponechal potomstvo, boli by sme spustli ako Sodoma a podobali by sme sa Gomore.“
2d091e009b	Čo teda povieme nakoniec? To, že pohania, ktorí nehľadali správny vzťah s Bohom, spravodlivosť dosiahli, a to spravodlivosť prostredníctvom viery;
2d091f0086	ale Izrael, vyvolený národ, ktorý sa usiloval dosiahnuť správny vzťah s Bohom zachovávaním Zákona, spravodlivosť nedosiahol.
2d09200079	Prečo? Lebo sa usiloval získať spravodlivosť svojimi skutkami, ale nie vierou. Preto narazili na „kameň úrazu“.
2d0921007a	Ako je napísané: „Hľa, kladiem na Sion kameň úrazu a skalu pohoršenia, ale kto v neho verí, nebude zahanbený.“
2d0a010066	Milí bratia, z celého srdca túžim a neprestajne prosím Boha, aby aj môj národ bol zachránený.
2d0a020066	Lebo môžem dosvedčiť, že nadšene a horlivo chce slúžiť Bohu, ale chýba mu správne poznanie.
2d0a0300b5	Nezaujíma ich spôsob, akým Boh ľudí ospravedlňuje. Namiesto toho si chcú vlastným úsilím získať ospravedlnenie v Božích očiach, preto Božiu spravodlivosť neprijali.
2d0a04004b	Kristus je naplnením zákona, takže ospravedlnený je každý, kto verí.
2d0a0500a7	Ale ak by predsa chcel niekto obstáť pred Bohom plnením zákona, na toho sa vzťahujú Mojžišove slová: „Človek, ktorý plní moje ustanovenia, bude žiť.“
2d0a060094	Ale kto našiel cestu k Bohu vierou v Krista, ten môže povedať: „Nezaoberaj sa myšlienkou, kto vstúpi do neba?“, aby Krista priviedol dolu,
2d0a070052	ani nehovor: „Kto zostúpi do hlbín?“, aby Krista vyviedol z ríše mŕtvych.
2d0a080083	Kto verí, ten povie: „Blízko teba je slovo, je v tvojich ústach a v tvojom srdci.“ Je to slovo o viere, ktorého zvestujeme.
2d0a090085	Lebo ak ústami vyznáš Ježiša ako svojho Pána a ak celým srdcom uveríš, že Boh ho vzkriesil z mŕtvych, budeš zachránený.
2d0a0a0060	Lebo ak uveríme, získame ospravedlnenie pred Bohom, ak svoju vieru vyznáme, sme zachránení.
2d0a0b0055	Boh už ústami proroka Izaiáša povedal: „Kto verí v neho, nebude zahanbený.“
2d0a0c009f	A tu nie je nijaký rozdiel medzi Židmi a pohanmi. Veď ten istý Pán je Pánom všetkých a zo svojho bohatstva štedro dáva všetkým, čo ho o to prosia.
2d0a0d005c	„Lebo každý, kto vzýva meno Pánovo, bude zachránený,“ predpovedal už prorok Joel.
2d0a0e0097	Ako však budú vzývať toho, v ktorého neuverili? A ako môžu uveriť, ak o ňom nepočuli? A ako počujú, keď im Božie slovo nikto nezvestoval?
2d0a0f00ad	A ako budú zvestovať, ak ich nikto neposlal? Je to tak, ako hovorí Písmo: „Aký krásny je príchod tých, ktorí prinášajú radostnú správu o dobrých veciach.“
2d0a100066	Ale nie všetci radostnú správu prijali. Už Izaiáš povedal: „Pane, kto uveril našej zvesti?“
2d0a11004d	Človek teda môže uveriť na základe počutia radostnej zvesti o Kristovi.
2d0a1200a7	Ale ako je to so Židmi? Azda Božie slovo nikdy nepočuli? Pravdaže počuli. Je napísané: „Ich hlas sa rozlieha po celej zemi a ich slová až na okraj sveta.“
2d0a1300d1	Zostáva teda otázka: Nepochopil Izrael toto posolstvo? Veď už v Mojžišovi Boh hovorí: „Prebudím vo vás žiarlivosť voči tým, ktorí nie sú národom a popudím vás voči nerozumným národom.“
2d0a14008c	A neskôr Izaiáš odvážne hovorí: „Dal som sa nájsť tým, ktorí ma nehľadali, ukázal som sa tým, ktorí sa na mňa nepýtali.“
2d0a150066	O Izraeli však hovorí: „Celý deň som vystieral ruky k národu neposlušnému a vzdorovitému.“
2d0b010080	Pýtam sa teda: Zavrhol azda Boh svoj národ? Rozhodne nie! Veď aj ja som Izraelita, potomok Abrahámov z Benjamínovho kmeňa.
2d0b020091	Boh nezavrhol svoj ľud, o ktorom vedel už od počiatku. Veď viete, čo Písmo hovorí v časti o Eliášovi, keď sa ponosoval Bohu na Izrael:
2d0b03007b	„Pane, tvojich prorokov povraždili a tvoje oltáre zbúrali. Už som zostal len ja sám a teraz chcú zabiť aj mňa.“
2d0b040077	A čo mu na to odpovedá Boh? „Ponechal som si sedemtisíc verných, ktorí sa nesklonili na kolená pred Baálom.“
2d0b05004f	Tak aj dnes je tu ostatok ľudu, ktorý si však Boh vyvolil zo svojej milosti.
2d0b06006e	A keďže z milosti, znamená to, že nie na základe dobrých skutkov, lebo milosť by viac nebola milosťou.
2d0b0700ba	Čo z toho vyplýva? Izraelský ľud nedosiahol to, o čo sa tak snaží. Dosiahol to len malý počet tých, ktorých si Boh vyvolil. Ostatní sa však voči Božiemu volaniu zatvrdili,
2d0b080088	ako je napísané: „Boh im dal ducha otupenosti. Majú síce oči, ale nevidia, majú uši, ale nepočujú. A tak je to až dodnes.“
2d0b09007f	Dávid hovorí: „Obetný oltár nech sa im stane osídlom a pascou, do ktorej sa sami chytia a dostanú zaslúženú odplatu.
2d0b0a004f	Oči nech sa im zatmia, aby nevideli, a chrbát nech majú navždy zohnutý.“
2d0b0b00a3	Znovu sa pýtam: Potkli sa azda preto, aby padli úplne? Určite nie! Ich previnenie však umožnilo záchranu pohanov, a to potom prebudilo u Židov žiarlivosť.
2d0b0c0092	Ak teda ich previnením svet získal a ich úpadok obohatil pohanov, o čo väčšie bohatstvo to prinesie, keď sa aj oni úplne obrátia k Bohu?
2d0b0d0078	Vám, ktorí ste z pohanských národov, by som chcel povedať ja, apoštol pohanov: Slávu svojej služby vidím v tom,
2d0b0e0066	že azda vyvolám žiarlivosť u svojich pokrvných bratov a aspoň niektorých privediem k záchrane.
2d0b0f0082	Ak to, že sa Boh od nich odvrátil, viedlo k zmiereniu sveta, čo iné bude znamenať ich prijatie? To akoby mŕtvi znova ožili!
2d0b1000b2	S prvým chlebom, ktorý sa obetuje Bohu pri slávnosti prvej úrody, sa totiž posväcuje všetko cesto. A ak niekto zasvätí Bohu korene stromu, patria mu potom aj jeho vetvy.
2d0b11009f	Ale niektoré vetvy toho stromu boli odlomené. Na ich miesto si bol zaštepený ty ako konár planej olivy, takže berieš silu z koreňa ušľachtilej olivy.
2d0b12009b	Nenamýšľaj si preto, že si čosi viac ako odlomené vetvy. Ak by si sa predsa len začal vyvyšovať, spomeň si, že koreň nesie teba, nie ty koreň.
2d0b130069	Mohol by si povedať: „Vetvy boli predsa vylomené, aby som ja mohol byť zaštepený na ich miesto.“
2d0b140083	Dajme tomu. Boli vylomené, lebo neverili. A ty si na ich mieste len vďaka viere. Nebuď namyslený, ale radšej sa maj na pozore.
2d0b15004d	Lebo ak Boh neušetril vetvu ušľachtilej olivy, tým skôr neušetrí teba.
2d0b1600b7	Pamätaj na Božiu dobrotu, ale aj na jeho prísnosť: prísnosť k tým, ktorí odpadli, a na dobrotu k tebe, ak sa budeš Božej dobroty aj naďalej pridŕžať, inak odtne aj teba.
2d0b17006d	A takisto Židia, ak sa odvrátia od svojej neviery, budú zaštepení naspäť. Veď Boh má moc to urobiť.
2d0b1800b4	Lebo ak Boh zaštepil vás, vetvy planej olivy, na ušľachtilý strom, čo sa nikdy nerobieva, o čo ochotnejšie zaštepí odlomené konáre na olivu, na ktorú pôvodne patrili.
2d0b190124	Nechcel by som, milí bratia, aby pre vás zostalo tajomstvom, aké úmysly má Boh so židovským národom; nechcem vás v tom nechať vlastným predstavám. Časť Židov prepadla zatvrdeniu a bude to tak, kým do Božieho kráľovstva nevojdú všetci, ktorí budú zachránení z pohanov.
2d0b1a0083	A takto bude zachránený celý Izrael, ako je napísané: „Z Jeruzalema príde Vysloboditeľ a odvráti bezbožnosť od Jákoba.
2d0b1b0037	Toto bude moja zmluva s nimi, keď ich zbavím vín.“
2d0b1c00ee	Ako sa teda dívať na Židov? Pokiaľ ide o evanjelium, neprijali ho a stali sa tak Božími nepriateľmi, ale vás to priviedlo k Božiemu milosrdenstvu. Boh ich však stále miluje, lebo sú deťmi svojich predkov, ktorých si vyvolil.
2d0b1d0055	Keď Boh niečo daruje, neberie to späť, a ak si niekoho povolá, sám to neruší.
2d0b1e0065	Vy ste kedysi Boha odmietli, ale teraz sa vám dostalo Božie milosrdenstvo, keď ho odmietli Židia.
2d0b1f007f	V podobnej situácii sú teraz oni. Postavili sa odmietavo k milosti, ktorú ste získali vy a teraz ju môžu získať aj oni.
2d0b200072	Lebo Boh všetkých – Židov aj pohanov – ponechal ich nevere, aby mohol všetkých obdariť svojou milosťou.
2d0b21009c	Aké nesmierne je Božie bohatstvo, aká hlboká je jeho múdrosť a poznanie! Aké nevyspytateľné sú jeho rozhodnutia a nepredvídateľné jeho zámery!
2d0b220047	Veď kto môže pochopiť Božie myslenie, kto by mu mohol byť radcom?
2d0b23003a	Kto mu niečo dal zo svojho, aby mu to Boh musel vrátiť?
2d0b240066	Veď z Boha všetko pochádza, vďaka nemu a pre neho všetko trvá. Jemu nech je sláva naveky. Amen.
2d0c0100d4	Prosím vás preto, bratia, keďže nás Boh zahŕňa svojím veľkým milosrdenstvom, aby ste samých seba prinášali Bohu. Nech je váš život ako svätá, Bohu príjemná obeť, ako vaša pravá bohoslužba.
2d0c0200bf	Neprispôsobujte sa tomu, ako žije svet okolo vás, ale zmeňte celé svoje zmýšľanie. Len tak budete schopní rozoznávať, čo je Božia vôľa, čo je správne, dokonalé a jemu milé.
2d0c0300d0	Z poverenia, ktoré som z milosti dostal od Boha, kladiem na srdce každému z vás, aby si nemyslel o sebe viac, ako skutočne je. Nech o sebe každý zmýšľa v závislosti od viery, ktorú mu Boh daroval.
2d0c040053	Lebo tak, ako sa telo skladá z mnohých orgánov a každý má v ňom inú úlohu,
2d0c050080	tak je to aj s Kristovým telom: hoci je nás veľa, tvoríme jedno telo, kde všetky jeho časti sú závislé jedna od druhej.
2d0c060089	Dostali sme však rozličné dary milosti. Ak je tvojím darom sprostredkovať Božie posolstvo, rob to v súlade s vierou, ktorú máš.
2d0c070077	Ak je niekto obdarený schopnosťou slúžiť, nech slúži. Kto má schopnosť vyučovať, nech sa venuje vyučovaniu.
2d0c0800c0	Kto má dar povzbudzovať, nech povzbudzuje. Kto dáva, nech to robí úprimne. Komu bol zverený dar viesť ostatných, nech to robí poctivo. Kto pomáha núdznym, nech to robí s radosťou.
2d0c090048	Láska nech je bez pretvárky. Zlo nech sa vám protiví, milujte dobro.
2d0c0a0070	Majte sa radi, ako sa na bratov patrí, buďte k sebe láskaví. Každý nech si ctí iného väčšmi ako seba.
2d0c0b0045	V horlivosti neochabujte, slúžte Pánovi s vrúcnosťou a zápalom.
2d0c0c0059	Tešte sa z toho, že máte nádej; trápenie znášajte trpezlivo a modlite sa vytrvalo.
2d0c0d005e	Pomáhajte ostatným veriacim, ak sa ocitnú v núdzi, a majte dom vždy otvorený pre hostí.
2d0c0e0057	Tým, čo vám robia zle, želajte len dobré. Dobrorečte, neživte v sebe nenávisť.
2d0c0f0030	Radujte sa s radujúcimi, plačte s plačúcimi.
2d0c1000a8	Žite vo vzájomnej zhode. Nevyvyšujte sa, ale venujte sa aj zdanlivo nepatrným ľuďom a drobným úlohám. Nepokladajte sa za najmúdrejších a najšikovnejších.
2d0c11004c	Zlo nikdy neodplácajte zlom, ale usilujte sa o dobro pre všetkých ľudí.
2d0c120054	Nakoľko to závisí od vás, nech sú vaše vzťahy s ostatnými naplnené pokojom.
2d0c13009d	Nebuďte pomstychtiví, moji drahí, ale nechajte miesto Bohu na jeho súd. Veď je napísané: „Mne patrí pomsta, ja všetkým odplatím, vraví Pán.“
2d0c140085	V Písme je totiž aj: „Ak je tvoj nepriateľ hladný, daj sa mu najesť. Ak je smädný, daj sa mu napiť. Takto ho zahanbíš.“
2d0c150036	Nedajte sa premôcť zlom, ale dobrom premáhajte zlo.
2d0d01006c	Každý nech sa podriaďuje vrchnosti, ktorá vládne. Veď každá vláda jestvuje len s Božím zvolením.
2d0d020072	Kto sa teda stavia proti vláde, stavia sa proti zriadeniu, ktoré Boh ustanovil, a privoláva na seba odsúdenie.
2d0d0300c4	Vláda predsa nemá naháňať strach tým, čo robia dobre, ale tým, ktorí robia zle. Kto koná v súlade so zákonmi, nemusí sa báť vlády. Naopak, kto robí dobre, dostane od nej pochvalu.
2d0d0400b5	Veď Boh ju používa na tvoje dobro. Ale ak sa dopúšťaš zla, máš sa čoho báť, lebo nie nadarmo má právo aj trestať. Lebo jej úlohou od Boha je aj to, aby trestala zlo.
2d0d050055	Preto sa jej treba podriadiť: nielen zo strachu pred trestom, je to aj vec svedomia.
2d0d060071	Z rovnakého dôvodu platíme aj dane. Veď ak si vláda plní svoje povinnosti, stáva sa Božím služobníkom.
2d0d070083	Dávajte teda každému, čo mu patrí: komu daň, tomu daň; komu clo, tomu clo; komu úctu, tomu úctu; komu česť, tomu česť.
2d0d08006b	Nikomu nebuďte nič dlžní, okrem vzájomnej lásky, lebo iba ten, kto ostatných miluje, naplnil Zákon.
2d0d090107	Veď všetky prikázania, ako: „nebudeš cudzoložiť, nebudeš zabíjať, nebudeš kradnúť, nebudeš túžiť po cudzom vlastníctve“ či ktorékoľvek iné, všetky sú obsiahnuté v tomto jedinom: „Milovať budeš svojho blížneho ako seba samého.“
2d0d0a0042	Láska neurobí blížnemu nič zlé, preto je naplnením zákona.
2d0d0b00bf	Pamätajte na to najmä teraz, keď viete, v akých vážnych časoch žijeme. Je najvyšší čas prebrať sa z ľahostajnosti, lebo Pánov príchod je bližšie ako vtedy, keď sme uverili.
2d0d0c006b	Noc sa chýli ku koncu a čoskoro svitne deň. Zanechajme preto skutky tmy a vezmime na seba zbrane svetla.
2d0d0d0081	Žime slušne a správne: neoddávajme sa hýreniam, opilstvám, nemravnostiam a zmyselnostiam, vyhýbajme sa zvadám a závisti.
2d0d0e0090	Vezmite na seba charakter Ježiša Krista, ako keď sa obliekate. A nevenujte sa svojmu telu natoľko, aby sa v ňom prebúdzali zlé žiadosti.
2d0e010064	Prijímajte každého, aj keď je jeho viera ešte slabá, ale nedohadujte sa o sporných názoroch.
2d0e02005d	Niekto je presvedčený, že môže jesť všetko, iný však prijíma len rastlinnú stravu.
