010000000a	Yaritilish
120403005c	Qara, sen köp ademlerge telim-terbiye bergen ademsen, Sen jansiz qollargha küch bergensen,
1204040064	Sözliring deldengship aran mangidighanlarni righbetlendürgen, Tizliri pükülgenlerni yöligensen.
1204050083	Biraq hazir nöwet sanga keldi, Shuningliq bilen halingdin ketting, Balayi’apet sanga tégishi bilen, Sen alaqzade bolup ketting.
120406005f	Ixlasmenliking tayanching bolup kelmigenmu? Yolliringdiki durusluq ümidingning asasi emesmidi?
120407005f	Ésingge al, kim bigunah turup weyran bolup baqqan? Duruslarning hayati nede üzülüp qalghan?
120408005b	Men körginimdek, gunah bilen yer aghdurup awarichilik térighanlar, Oxshashla hosul alidu.
1204090069	Tengrining bir nepisi bilenla ular gumran bolidu, Uning ghezipining partlishi bilen ular yoqilip kétidu.
12040a006e	Shirning hörkireshliri, Hem esheddiy shirning awazi [bar bolsimu], Shir arslanlirining chishliri sundurulidu;
12040b0064	Batur shir bolsa ow tapalmay yoqilishqa yüzlinidu, Chishi shirning küchükliri chéchilip kétidu.
12040c0051	— Mana, manga bir söz ghayibane keldi, Quliqimgha bir shiwirlighan awaz kirdi,
12040d005e	Tün kéchidiki ghayibane körünüshlerdin chiqqan oylarda, Ademlerni chongqur uyqu basqanda,
12040e0046	Qorqunch we titrekmu méni basti, Söngek-söngeklirimni titritiwetti;
12040f004a	Köz aldimdin bir roh ötüp ketti; Bedinimdiki tüklirim hürpiyip ketti.
120410007d	U roh ornida midirlimay turdi, biraq turqini körelmidim; Köz aldimda bir gewde turuptu; Shiwirlighan bir awaz anglandi: —
1204110054	«Insan balisi Tengridin heqqaniy bolalamdu? Adem öz Yaratquchisidin pak bolalamdu?
1204120064	Mana, U Öz qullirigha ishenmigen, Hetta perishtilirinimu «Nadanliq qilghan!» dep eyibligen yerde,
120413007a	Uli topilardin bolghan insanlar, Laydin yasalghan öylerde turghuchilar qandaq bolar!? Ular perwanidinmu asanla yanjilidu!
120414006d	Ular tang bilen kech ariliqida kukum-talqan bolidu; Ular héchkim nezirige almighan halda menggüge yoqilidu.
120415006d	Ularning chédir tanisi yulup tashlan’ghan’ghu? Ular héch danaliqqa téxi érishmeyla ölüp kétidu!».
1205010063	Qéni, iltija qilip baq, sanga jawab qilghuchi barmikin? Muqeddeslerning qaysisidin panah tileysen?
1205020054	Chünki exmeqning achchiqi özini öltüridu, Qehri nadanning jénigha zamin bolidu.
1205030082	Men öz közüm bilen exmeqning yiltiz tartqanliqini körgenmen; Lékin shu haman uning makanini «Lenetke uchraydu!» dep bildim,
120504007f	Uning baliliri amanliqtin yiraqtur; Ular sheher derwazisida sot qilin’ghanda basturuldi; Ulargha héchkim himayichi bolmaydu.
120505009f	Uning hosulini achlar yep tügitidu; Ular hetta tiken arisida qalghanlirinimu élip tügitidu; Qiltaqchimu uning mal-mülüklirini yutuwélishqa teyyar turidu.
120506005d	Chünki awarichilik ezeldin topidin ünüp chiqmaydu, Külpetmu yerdin ösüp chiqqanmu emes.
120507004c	Biraq uchqun yuqirigha uchidighandek, Insan külpet tartishqa tughulghandur.
120508005f	Ornungda men bolsam, Tengrighila murajiet qilattim, Men ishimni Xudayimghila tapshuruwétettim.
120509003d	U hésabsiz karametlerni, San-sanaqsiz möjizilerni yaritidu.
12050a0040	U yerge yamghur teqdim qilidu; U dala üstige su ewetip béridu.
12050b0063	U pes orunda turidighanlarning mertiwisini üstün qilidu; Matem tutqanlar amanliqqa kötürülidu.
12050c0056	U hiyligerlerning niyetlirini bikar qiliwétidu, Netijide ular ishini püttürelmeydu.
12050d005b	U mekkarlarni öz hiyligerlikidin tuzaqqa alidu; Egrilerning neyrengliri éqitip kétilidu.
12050e0055	Kündüzde ular qarangghuluqqa uchraydu; Chüshte tün kéchidek silashturup mangidu.
12050f0085	Biraq u miskinlerni mekkarlarning qilichi we aghzidin qutquzidu, Ularni küchlüklerning changgilidin qudretlik qoli bilen qutquzidu.
1205100041	Shunga, ajizlar üchün ümid tughulidu, Qebihlik aghzini yumidu.
1205110061	Qara, Tengri ibret bergen adem bextliktur, Shunga, Hemmige Qadirning terbiyisige sel qarima jumu!
1205120065	Chünki U ademni yarilanduridu, andin yarini tangidu; U sanjiydu, biraq Uning qolliri yene saqaytidu.
1205130061	U séni alte qiyinchiliqtin qutquzidu; Hetta yette külpette héchqandaq yamanliq sanga tegmeydu.
120514005f	Acharchiliqta U séning ülümingge, Urushta U sanga urulghan qilich zerbisige nijatkar bolidu.
1205150081	Sen zeherlik tillarning zerbisidimu bashpanahliq ichige yoshurunisen, Weyranchiliq kelgende uningdin héch qorqmaydighan bolisen.
1205160064	Weyranchiliq we qehetchilik aldida külüpla qoyisen; Yer yüzidiki haywanlardinmu héch qorqmaysen.
1205170056	Sen daladiki tashlar bilen ehdidash bolisen; Yawayi haywanlarmu sen bilen inaq ötidu.
120518008c	Sen chédiringning tinch-amanliqta bolidighanliqini bilip yétisen; Mal-mülküngni éditliseng, hemme némengning tel ikenlikini bayqaysen.
1205190055	Nesling köp bolidighanliqini, Perzentliringning ot-chöptek köp ikenlikini bilisen.
12051a0078	Sen öz waqtidila yétilip yighilghan bir bagh bughdaydek, Peqet waqit-saiting piship yétilgendila yerlikingge kirisen.
12051b008a	Biz özimiz buni tekshürüp körgenmiz — ular heqiqeten shundaqtur. Shunga özüng anglap bil, bularni özüngge tetbiqlap oylap baq».
120601001e	Ayup jawaben mundaq dédi: —
120602007f	«Ah, méning derdlik zarlirim tarazida ölchense! Ah, béshimgha chüshken barliq balayi’qaza bular bilen bille tarazilansa!
1206030072	Shundaq qilinsa u hazir déngizdiki qumdin éghir bolup chiqidu; Shuning üchün sözlirim telwilerche boluwatidu.
12060400a6	Chünki Hemmige Qadirning oqliri manga sanjilip ichimde turuwatidu, Ularning zehirini rohim ichmekte, Tengrining wehimiliri manga qarshi sep tüzüp hujum qiliwatidu.
1206050050	Yawa éshek ot-chöp tapqanda hangramdu? Kala bolsa yem-xeshek üstide möremdu?
120606004e	Tuz bolmisa temsiz nersini yégili bolamdu? Xam tuxumning éqining temi barmu?
1206070055	Jénim ulargha tegsimu seskinip kétidu, Ular manga yirginchlik tamaq bolup tuyulidu.
1206080048	Ah, méning teshna bolghinim kelsidi! Tengri intizarimni ijabet qilsidi!
1206090063	Ah, Tengri méni yanjip tashlisun! U qolini qoyuwétip jénimni üzüp tashlashqa muwapiq körsidi!
12060a009a	Shundaq bolsa, manga teselli bolatti, Hetta rehimsiz aghriqlarda qiynalsammu, shadlinattim; Chünki Muqeddes Bolghuchining sözliridin tanmighan bolattim!
12060b0082	Mende ölümni kütküdek yene qanchilik maghdur qaldi? Méning sewr-taqetlik bolup hayatimni uzartishimning néme netijisi bolar?
12060c0047	Méning küchüm tashtek chingmu? Méning etlirim mistin yasalghanmidi?
12060d0068	Özümge yardem bergüdek maghdurum qalmidi emesmu? Herqandaq eqil-tedbir mendin qoghliwétilgen emesmu?
12060e0088	Ümidsizlinip kétiwatqan kishige dosti méhribanliq körsetmiki zörürdur; Bolmisa u Hemmige qadirdin qorqushtin waz kéchishi mumkin.
12060f008f	Biraq buraderlirim waqitliq «aldamchi ériq» süyidek, Manga héligerlik bilen muamile qilmaqta; Ular suliri éqip tügigen ériqqa oxshaydu.
1206100061	Érigen muz suliri ériqqa kirgende ular qaridap kétidu, Qarlar ularning ichide yoqilip kétidu,
1206110058	Ular pesilning illishi bilen qurup kétidu; Hawa issip ketkende, izidin yoqilip kétidu.
120612006a	Seperdashlar mangghan yolidin chiqip, ériqqa burulidu; Ular ériqni boylap méngip, chölde ézip ölidu.
120613005b	Témaliq karwanlarmu ériq izdep mangdi; Shébaliq sodigerlermu ulargha ümid bilen qaridi;
1206140071	Biraq ular ishen’ginidin ümidsizlinip nomusta qaldi; Ular ashu yerge kélishi bilen parakendichilikke uchridi.
120615007f	Mana siler ulargha oxshash [manga tayini] yoq bolup qaldinglar; Siler qorqunchluq bir wehimini körüpla qorqup kétiwatisiler.
120616007c	Men silerge: «Manga béringlar», Yaki: «Manga mal-mülükliringlardin hediye qilinglar?» — dégenni qachan dep baqqan?
120617007b	Yaki: «Méni ézitquchining qolidin qutquzunglar!» Yaki «Zorawanlarning qolidin görüge pul bersenglar!» dep baqqanmu?
1206180060	Manga ögitip qoyunglar, süküt qilimen; Nede yoldin chiqqanliqimni manga körsitip béringlar.
1206190058	Toghra sözler némidégen ötkür-he! Biraq eyibliringlar zadi némini ispatliyalaydu?!
12061a006e	Ümidsizlen’gen kishining gepliri ötüp kétidighan shamaldek tursa, Peqet sözlernila eyiblimekchimusiler?
12061b0062	Siler yétim-yésirlarning üstide chek tashlishisiler! Dost-buradiringlar üstide sodilishisiler!
12061c004f	Emdi manga yüz turane qarap béqinglar; Aldinglardila yalghan söz qilalamdim?
12061d007f	Ötünimen, boldi qilinglar, gunah bolmisun; Rast, qaytidin oylap béqinglar, Chünki özümning toghriliqim [tarazida] turidu.
12061e003b	Tilimda xataliq barmu? Tilim yamanliqni zadi tétiyalmasmu?
120701007b	Insan’gha zéminda jewre-japa chékidighan turmush békitilgen emesmu? Uning künliri bir medikarningkige oxshash emesmu?
1207020058	Qul kechqurunning sayisige teshna bolghandek, Medikar öz emgikining heqqini kütkendek,
120703005c	Mana bihude aylar manga békitilgen, Gheshlikke tolghan kéchiler manga nésip qilin’ghan.
1207040089	Men yatqinimda: «Qachan qoparmen?» dep oylaymen, Biraq kech uzundin uzun bolidu, Tang atquche pütün bir kéche men tolghinip yatimen.
1207050057	Etlirim qurtlar hem topa-changlar bilen qaplandi, Térilirim yérilip, yiringlap ketti.
120706005c	Künlirim bapkarning mokisidinmu ittik ötidu, Ular ümidsizlik bilen ayaghlishay dep qaldi.
120707006c	[Ah Xuda], méning jénim bir nepesla xalas. Közüm yaxshiliqni qaytidin körmeydighanliqi ésingde bolsun;
120708007e	Méni Körgüchining közi ikkinchi qétim manga qarimaydu, Sen neziringni üstümge chüshürginingde, men yoqalghan bolimen.
1207090064	Bulut ghayib bolup, qayta körünmigendek, Oxshashla tehtisaragha chüshken adem qaytidin chiqmaydu.
12070a003b	U yene öz öyige qaytmaydu, Öz yurti uni qayta tonumaydu.
12070b0061	Shunga men aghzimni yummay, Rohimning derd-elimi bilen söz qilay, Jénimning azabidin zarlaymen.
12070c006b	Némishqa Sen üstümdin közet qilisen? Men [xeterlik] bir déngizmu-ya? Yaki déngizdiki bir ejdihamumen?
12070d0061	Men: «Ah, yatqan ornum manga rahet béridu, Körpem nale-peryadimgha derman bolidu» — désem,
12070e005e	Emdi Sen chüshler bilen méni qorqutuwatisen, Ghayibane alametler bilen manga wehime salisen.
12070f005b	Shuning üchün boghulushumni, ölümni, Bu söngeklirimge qarap olturushtin artuq bilimen.
1207100072	Men öz jénimdin toydum; Méning menggüge yashighum yoq, Méni meylimge qoyuwetkin, Méning künlirim bihudidur.
120711005c	Insan balisi némidi? Sen némishqa uni chong bilisen, Néme dep uninggha köngül bérisen?
1207120042	Her etigende uni sürüshtürüp kélisen, Her nepes uni sinaysen!
120713007a	Qachan’ghiche méningdin neziringni almaysen, Manga qachan’ghiche aghzimdiki sériq suni yutuwalghudek aram bermeysen?
12071400a8	Men gunah qilghan bolsammu, i insaniyetni Közetküchi, Sanga néme qiliptimen?! Men Sanga yük bolup qaldimmu? Buning bilen méni Özüngge zerbe nishani qilghansenmu?
12071500bb	Sen némishqa méning itaetsizlikimni kechürüm qilip, Gunahimni saqit qilmaysen? Chünki men pat arida topining ichide uxlaymen; Sen méni izdep kélisen, lékin men mewjut bolmaymen».
120801002f	Andin Shuxaliq Bildad jawaben mundaq dédi: —
120802006d	«Sen qachan’ghiche mushularni sözleysen? Aghzingdiki sözler küchlük shamaldek qachan’ghiche chiqidu?
1208030044	Tengri adaletni burmilighuchimu? Hemmige Qadir adilliqni burmilamdu?
120804006e	Séning baliliring Uning aldida gunah qilghan bolsa, U ularnimu itaetsizlikining jazasigha tapshurghan, xalas.
1208050063	Biraq eger özüng hazir chin könglüngdin Tengrini izdisengla, Hemmige Qadirgha iltija qilsangla,
1208060098	Eger sen sap dil hem durus bolghan bolsang, Shübhisizki, U sen üchün oyghinidu, Choqum séning heqqaniyliqinggha tolghan turalghungni güllendüridu.
120807005a	Sen deslepte étibarsiz qaralghan bolsangmu, Biraq sen axirida choqum téximu güllinisen.
1208080077	Shunga sendin ötüneyki, ötkenki dewrlerdin sorap baqqin, Ularning ata-bowilirining izdinishlirigimu köngül qoyghin
120809006f	(Chünki biz bolsaq tünügünla tughulghanmiz; Künlirimiz peqet bir saye bolghachqa, héchnémini bilmeymiz).
12080a005d	Sanga körsetme bérip ögeteleydighan ular emesmu? Ular öz könglidikini sanga sözlimemdu?
12080b0053	Latqa bolmisa yékenler égiz öselemdu? Qomushluqtiki ot-chöpler susiz öselemdu?
12080c0060	Ular yéshil péti bolup, téxiche orulmighan bolsimu, Herqandaq ot-chöptin téz tozup kétidu.
12080d0075	Tengrini untughan kishilerning hemmisining aqiwetliri mana shundaqtur; Iplaslarning ümidi mana shundaq yoqqa kéter.
12080e006e	Chünki uning tayan’ghini chürük bir nerse, xalas; Uning ishen’gini bolsa ömüchükning toridur, xalas.
12080f0073	U öz uwisigha yölinidu, biraq u mezmut turmaydu; U uni ching tutuwalghan bolsimu, biraq u berdashliq bérelmeydu.
1208100052	U quyash astida kökligen bolsimu, Uning pilekliri öz béghini qaplighan bolsimu,
1208110062	Uning yiltizliri tash döwisige chirmiship ketken bolsimu, U tashlar arisida orun izdigen bolsimu,
1208120062	Lékin [Xuda] uni ornidin yuluwetse, Ashu yer uningdin ténip: «Men séni körmigen!» — deydu.
1208130052	Mana uning yolining shadliqi! Uningdin kéyin ornigha bashqiliri tupraqtin ünidu.
1208140063	Qara, Xuda durus ademni tashlimaydu, Yaki yamanliq qilghuchilarning qolini tutup ularni yölimeydu.
1208150054	U yene séning aghzingni külke bilen, Lewliringni shadliq awazliri bilen tolduridu,
1208160056	Sanga nepretlen’genlerge shermendilik chaplinidu, Eskilerning chédiri yoqitilidu».
120901001e	Ayup jawaben mundaq dédi: —
1209020087	Way, séningla toghra, [dunyani] heqiqeten sen dégendek dep bilimen! Biraq insan balisi qandaq qilip Tengri aldida heqqaniy bolalisun?
1209030075	Hetta eger birsi uning bilen dewalishishqa pétinalisa, Shu [kishi] mesililerning mingdin birigimu jawab bérelmeydu.
1209040091	Uning qelbide chongqur danaliq bardur, U zor küch-qudretke igidur; Kimmu Uninggha qarshi chiqip, yürikini tom qilip, Kéyin tinch-aman qalghan?
1209050055	U taghlarni ghezipide ghulatqanda, Ulargha héch bildürmeyla ularni yulup tashlaydu.
1209060060	U yer-zéminni tewritip öz ornidin qozghitidu, Shuning bilen uning tüwrükliri titrep kétidu.
120907006d	U quyashqa kötürülme dep söz qilsila, u qopmaydu; U [xalisa] yultuzlarningmu nurini péchetlep qoyalaydu.
1209080052	Asmanlarni keng yayghuchi peqet udur, U déngiz dolqunliri üstige dessep yüridu.
1209090070	U yette qaraqchi yultuz, Orion yultuz türkümi we qelb yultuz topini, Jenubiy yultuz türkümlirinimu yaratqan.
12090a0051	U hésablighusiz ulugh ishlarni, Sanap tügitelmeydighan karamet ishlarni qilidu.
12090b005f	Qara, U yénimdin ötidu, biraq men Uni körmeymen; U ötüp kétidu, biraq Uni bayqiyalmaymen.
12090c0077	Mana, U élip kétidu, kim Uni Öz yolidin yanduralisun? Kim Uningdin: «Néme qiliwatisen» dep sorashqa pétinalisun?
12090d0056	Tengri ghezipini qayturuwalmaydu; Rahabning yardemchiliri Uning ayighigha bash égidu.
12090e0073	Shundaq turuqluq, men qandaqmu uninggha jawab béreleyttim. Men munazire qilghudek qandaq sözlerni talliyalayttim?
12090f0071	Mubada men heqqaniy bolsammu, Men yenila Uninggha jawab bérelmeyttim; Men peqet sotchimgha iltijala qilalayttim.
1209100085	Men Uninggha iltija qilghan we U manga jawab bergen bolsimu, Men téxi Uning sadayimni anglighanliqigha ishench qilalmighan bolattim;
1209110048	U boran-chapqunlar bilen méni ézidu, U yarilirimni sewebsiz awutmaqta.
1209120058	U manga hetta nepes élishqimu ruxset bermeydu, Eksiche U manga derd-elemni yükliwetti.
1209130081	Küch-qudret toghrisida gep qilsaq, mana, Uningdin küchlük [yene bashqa kim] bar? Adaletke kelsek, kim Uni sotqa chaqiralisun?!
120914007f	Men özümni aqlimaqchi bolsam, öz aghzim özümni gunahqa paturar, Qusursiz bolghan bolsam, U yenila méni egri dep békiter.
1209150074	Biraq men eslide éyibsiz idim. Meyli, özümning qandaq bolidighanliqim bilen perwayim pelek! Öz jénimdin toydum!
120916005d	Hemme ish oxshash iken; shunga men deymenki, U duruslarnimu, yamanlarnimu oxshashla yoqitidu.
120917005c	Tuyuqsiz béshigha qaza kélip ölse, U bigunahlargha qilin’ghan bu sinaqqa qarap külidu.
12091800ab	Yer yüzi yamanlarning qoligha tapshuruldi; Biraq U sotchilarning közlirini bu adaletsizlikni körelmeydighan qilip qoyidu; Mushundaq qilghuchi U bolmay, yene kim bolsun?
1209190082	Méning künlirim yeltapanning yügürüshidinmu téz ötidu; Ular mendin qéchip kétidu, Ularning héchqandaq yaxshiliqi yoqtur.
12091a006a	Ular qomush kémilerdek chapsan ötüp kétidu; Alghur bürküt owni tutqili shungghughandek téz mangidu.
12091b0053	Eger: «Nale-peryadtin toxtap, Chirayimni tutuldurmay xush chiray bolay» désemmu,
12091c006b	Men yenila azablirimning hemmisidin qorqup yürimen; Chünki Séni méni bigunah hésablimaydu dep bilimen.
12091d0042	Men haman eyiblik adem bolsam, Men bihude japa tartip néme qilay?
12091e0044	Hetta qar süyi bilen yuyunup, Qolumni shunche pakizlighan bolsammu,
12091f005a	Sen yenila méni ewrezge chömüldürisenki, Öz kiyimimmu mendin nepretlinidighan bolidu!
1209200079	Chünki U men Uninggha jawab béreligüdek, manga oxshash adem emes. Méning Uning bilen sotta dewalashquchilikim yoqtur.
1209210053	Otturimizda her ikkimizni öz qoli bilen teng tutidighan kélishtürgüchi bolsidi!
120922004a	U Özining tayiqini mendin yiraq qilsun, Uning wehimisi méni qorqatmisun;
120923004b	Shundila men Uningdin qorqmay sözliyeleyttim; Biraq ehwalim undaq emestur!
120a01005d	Men öz jénimdin nepretlinimen; Öz derdimni töküwalay; Qelbimdiki ah-zarimni sözlewalay.
120a02006e	Men Tengrige: «Méning gunahimni békitme; manga körsetkinki, Sen zadi néme üchün men bilen dewalishisen?
120a030085	Ademni ezgining, Öz qolung bilen yaratqiningni chetke qaqqining Sanga paydiliqmu? Yamanlarning suyiqestige nur chachqining yaxshimu?
120a04004e	Séning közüng insanningkidek ajizmu? Sen ademler körgendek xire köremsen?
120a05006e	Séning künliring ölidighan insanning künliridek cheklikmu? Séning yilliring insanning yilliridek qisqimu?
120a0600de	Sen méning rezil adem emeslikimni bilip turup, Séning qolungdin qutuldurghudek héchkimning yoqluqini bilip turup, Némishqa méning xataliqimni sorap yürisen? Némishqa méning gunahimni sürüshtürisen?» — deymen.
120a080070	— Sen Öz qolliring bilen méni shekillendürüp, bir gewde qilip yaratqansen; Biraq Sen méni yoqatmaqchisen!
120a090072	Sen layni yasighandek méni yasighiningni ésingde tutqaysen, dep yélinimen; Sen méni yene tupraqqa qayturamsen?
120a0a0052	Sen [ustiliq bilen] méni süttek quyup chayqap, Méni irimchiktek uyutqan emesmu?
120a0b0065	Sen tére hem et bilen méni kiyindürgensen, Ustixan hem pey bilen birleshtürüp méni toqughansen.
120a0c0060	Sen manga hayat hem méhir-shepqet teqdim qilghansen, Sen söygüng bilen rohimdin xewer alding.
120a0d0064	Biraq bu ishlar Séning qelbingde yoshuruqluq idi; Bularning eslide qelbingde püküklikini bilimen.
120a0e006b	Gunah qilghan bolsam, Sen méni közitip yürgen bolatting; Sen méning qebihlikimni jazalimay qoymaytting.
120a0f00ba	Rezil hésablan’ghan bolsam, manga bala kéletti! Hem yaki heqqaniy hésablansammu, qattiq nomusqa chömüp, azabqa chömginimde, Béshimni yenila kötürüshke jür’et qilalmayttim;
120a1000a1	Hetta [béshimni] kötürüshke jür’et qilsammu, Sen esheddiy shirdek méning péyimge chüshetting; Sen manga karamet küchüngni arqa-arqidin körsitetting.
120a11009f	Sen méni eyibleydighan guwahchiliringni qaytidin aldimgha keltürisen; Manga qaritilghan ghezipingni zor qilisen; Küchliring manga qarshi dolqunlap kelmekte.
120a120078	Sen eslide némishqa méni baliyatqudin chiqarghansen? Kashki, men chachrap ketken bolsam, héch adem méni körmes idi!
120a130055	Men héchqachan bolmighan bolattim! Baliyatqudin biwasite görge apirilghan bolattim!
120a140193	Méning azghine künlirim tügey dégen emesmu? Shunga men barsa kelmes yerge barghuche, — Qarangghuluq, ölüm saye bolghan zémin’gha, — Zulmet bir zémin’gha, yeni qarangghuluqning özining zéminigha, Ölüm sayisining zéminigha, Tertipsiz, hetta öz nuri qapqarangghu qilin’ghan shu zémin’gha barghuche, Manga azraq jan kirish üchün, Ishingni bir deqiqe toxtat, mendin néri bol!».
120b01002f	Andin Naamatliq Zofar jawaben mundaq dédi: —
120b02005e	«Gep mundaq köp tursa, uni jawabsiz qaldurghili bolmas? Sözmen kishi özini aqlisa bolamdu?
120b03008d	Séning sepseteliring köpchilikning aghzini tuwaqlisa bolamdu? Sen mazaq qilip sözligendin kéyin, héchkim bu ishni yüzüngge salmisunmu?
120b040059	Chünki sen: «Méning eqidilirim saptur, Men sen [Xudaning] aldida pakmen» — déding.
120b050038	Ah, Tengri gep qilsidi! Aghzini échip séni eyiblisidi!
120b0600c2	Shundaq qilip U danaliqning sirlirini sanga échip bersidi! Chünki danaliq ikki terepliktur! Tengrining gunahingning xéli bir qismini kötürüwétip, ulardin ötidighanliqini obdan bilip qoy!
120b070072	Sen Tengrini izdigen teqdirdimu Uni tüptin tonuyalamsen?! Hemmige Qadirning cheksizlikini chüshinip yételemsen?
120b080081	[Bundaq danaliq] asmandin égizdur, [uninggha érishishke] néme amaling bar? U tehtisaradin chongqurdur, sen némini bileleysen?
120b09004b	Uning uzunluqi yer-zémindin uzundur, Kengliki déngiz-okyanlardin kengdur.
120b0a004f	U ötüp kétiwétip, ademni qamisa, uni soraqqa chaqirsa, kimmu Uni tosalisun?
120b0b0067	Chünki U saxta ademlerni obdan bilidu, U tekshürmey turupla aldamchiliqni alliqachan körüp bolghan.
120b0c0057	«Insan tughulup bir yawa éshekning texiyige aylan’ghuche, Nadan adem dana bolur!».
120b0d0050	Biraq sen bolsang, eger qelbingni toghrilatsang, Qolungni Xudagha qarap sozsang,
120b0e0061	Qolungdiki qebihlikni özüngdin néri qilsang, Chédirliringda héch yamanliqni turghuzmisangla,
120b0f0056	Sen u chaghda yüzüngni qusursiz kötürüp yürisen, Tewrenmes, qorqunchsiz bolisen;
120b100050	Japayingni untuysen, Hetta éqip ötüp ketken suni oylighandek ularni esleysen;
120b11006a	Künliring chüshtiki nurdin yoruq bolidu, Séni hazir qarangghuluq basqini bilen, tangdek parlaq bolisen.
120b120067	Ümiding bar bolghachqa, sen himayige ige bolisen, Sen etrapinggha xatirjem qarap aram élip olturisen.
120b130079	Rast, sen yatqiningda, héchkimning weswesisi bolmaydu, Eksiche nurghunlighan kishiler séning himmitingni izdep kélidu.
120b14008d	Biraq rezillerning közliri nuridin kétidu, Ulargha qéchishqa héch yol qalmaydu, Ularning ümidi nepisi toxtashtin ibaret bolidu, xalas».
120c01001e	Ayup jawaben mundaq dédi: —
120c02004a	Siler berheq el-ehlisiler! Ölsenglar hékmetmu siler bilen bille kétidu!
120c03005e	Méningmu silerdek öz eqlim bar, Eqilde silerdin qalmaymen; Bunchilik ishlarni kim bilmeydu?!
120c04008d	Men öz dostlirimgha mazaq obyékti boldum; Mendek Tengrige iltija qilip, duasi ijabet bolghan kishi, Heqqaniy, durus bir adem mazaq qilindi!
120c0500a4	Rahette olturghan kishiler könglide herqandaq külpetni nezirige almaydu; Ular: «Külpetler putliri teyilish aldida turghan kishigila teyyar turidu» dep oylaydu.
120c060087	Qaraqchilarning chédirliri awatlishidu; Tengrige haqaret keltüridighanlar aman turidu; Ular özining ilahini öz alqinida kötüridu.
120c07005b	Emdi haywanlardinmu sorap baq, Ular sanga ögitidu, Asmandiki uchar-qanatlarmu sanga deydu;
120c080065	We yaki yer-zémin’gha gep qilsangchu, Umu sanga ögitidu; Déngizdiki béliqlar sanga söz qilidu.
120c090044	Bularning hemmisini Perwerdigarning qoli qilghanliqini kim bilmeydu?
120c0a0059	Barliq jan igiliri, barliq et igiliri, Jümlidin barliq insanning nepisi uning qolididur.
120c0b0051	Éghizda taamni tétighandek, Qulaqmu sözining toghriliqini sinap baqidu emesmu?
120c0c0060	Yashan’ghanlarda danaliq rast tépilamdu? Künlirining köp bolushi bilen yorutulush kélemdu?
120c0d0049	Uningdila danaliq hem qudret bar; Uningdila yolyoruq hem yorutush bardur.
120c0e006a	Mana, U xarab qilsa, héchkim qaytidin qurup chiqalmaydu; U qamap qoyghan ademni héchkim qoyuwételmeydu.
120c0f0070	Mana, U sularni toxtitiwalsa, sular qurup kétidu, U ularni qoyup berse, ular yer-zéminni bésip weyran qilidu.
120c100058	Uningda küch-qudret, chin hékmetmu bar; Aldighuchi, aldan’ghuchimu uninggha tewedur.
120c110057	U meslihetchilerni yalingach qildurup, yalap élip kétidu, Soraqchilarni reswa qilidu.
120c120095	U padishahlar [el-ehlige] salghan kishenlerni yéshidu, Andin shu padishahlarni yalingachlap, chatraqlirini lata bilenla qaldurup [shermende qilidu].
120c130052	U kahinlarni yalingayagh mangdurup élip kétidu; U küch-hoquqdarlarni aghduridu.
120c140056	U ishenchlik qaralghan zatlarning aghzini étidu; Aqsaqallarning eqlini élip kétidu.
120c150069	U aqsöngeklerning üstige haqaret tökidu, U palwanlarning belwéghini yéship [ularni küchsiz qilidu].
120c160052	U qarangghuluqtiki chongqur sirlarni ashkarilaydu; U ölümning sayisini yorutidu.
120c17006a	U el-yurtlarni ulughlashturidu hem andin ularni gumran qilidu; El-yurtlarni kéngeytidu, ularni tarqitidu.
120c180077	U zémindiki el-jamaetning kattiwashlirining eqlini élip kétidu; Ularni yolsiz desht-bayawanda sersan qilip azduridu.
120c190077	Ular nursizlandurulup qarangghuluqta yolni silashturidu, U ularni mest bolup qalghan kishidek galdi-guldung mangduridu.
120d010069	Mana, méning közüm bularning hemmisini körüp chiqqan; Méning quliqim bularni anglap chüshen’gen.
120d020052	Silerning bilgenliringlarni menmu bilimen; Méning silerdin qélishquchilikim yoq.
120d030066	Biraq méning arzuyum Hemmige qadir bilen sözlishishtur, Méning Xuda bilen munazire qilghum kélidu.
120d04004a	Siler bolsanglar töhmet chaplighuchilar, Hemminglar yaramsiz téwipsiler.
120d050053	Siler peqetla sükütte turghan bolsanglar’idi! Bu siler üchün danaliq bolatti!
120d060053	Méning munaziremge qulaq sélinglar, Lewlirimdiki muhakimilerni anglap béqinglar.
120d07007b	Siler Xudaning wakaletchisi süpitide boluwélip biadil söz qilamsiler? Uning üchün hiyle-mikirlik gep qilmaqchimusiler?
120d080063	Uninggha yüz-xatire qilip [xushamet] qilmaqchimusiler?! Uninggha wakaliten dewa sorimaqchimusiler?
120d090075	U ich-baghringlarni axturup chiqsa, siler üchün yaxshi bolattimu? Insan balisini aldighandek uni aldimaqchimusiler?
120d0a0054	Siler yüz-xatire qilip yoshurunche xushamet qilsanglar, U choqum silerni eyibleydu.
120d0b006b	Buningdin köre Uning heywisining silerni qorqatqini, Uning wehimisining silerge chüshkini tüzük emesmu?
120d0c007f	Pend-nesihetinglar peqet külge oxshash sözler, xalas; Siler [ishench baghlighan] istihkaminglar peqet lay istihkamlar, xalas.
