0100000008	1 Mojzes
13450e0073	Osvobodi me iz blata in ne pusti me utoniti. Naj bom osvobojen pred temi, ki me sovražijo in ven iz velikih vodá.
13450f0060	Naj me ne preplavi voda niti naj me ne požre globina in jama naj ne zapre svojih ust nad menoj.
134510007a	Usliši me, oh Gospod, kajti tvoja ljubeča skrbnost je dobra. Obrni se k meni glede na množino svojih nežnih usmiljenj.
1345110057	Svojega obraza ne skrij pred svojim služabnikom, kajti v stiski sem. Naglo me usliši.
134512004d	Približaj se moji duši in odkupi jo. Osvobodi me zaradi mojih sovražnikov.
134513005b	Spoznal si mojo grajo in mojo sramoto ter mojo nečast. Moji nasprotniki so vsi pred teboj.
134514009a	Graja je zlomila moje srce in poln sem potrtosti. Pričakoval sem kakega, da se usmili, toda ni bilo nobenega; in tolažnikov, toda nisem našel nobenega.
1345150043	Za jed so mi dali tudi žolč; in v moji žeji so mi dali piti kis.
1345160068	Njihova miza naj pred njimi postane zanka, in to, kar naj bi bilo za njihovo blaginjo, naj postane past.
1345170059	Naj njihove oči otemnijo, da ne vidijo in njihovim ledjem stôri, da se nenehno tresejo.
1345180041	Nanje izlij svoje ogorčenje in naj jih zgrabi tvoja srdita jeza.
1345190057	Naj bo njihovo prebivališče zapuščeno in naj nihče ne prebiva v njihovih šotorih.
13451a005b	Kajti preganjajo tistega, ki si ga ti udaril in govorijo v žalost tistih, ki si jih ranil.
13451b004e	Njihovi krivičnosti dodaj krivičnost, in naj ne pridejo v tvojo pravičnost.
13451c004a	Naj bodo izbrisani iz knjige življenja in ne bodo zapisani s pravičnimi.
13451d0052	Toda jaz sem ubog in žalosten. Naj me tvoja rešitev, oh Bog, postavi visoko gor.
13451e0044	S pesmijo bom hvalil Božje ime in ga poveličeval z zahvaljevanjem.
13451f004b	To bo tudi bolj ugajalo Gospodu kakor vol ali bikec, ki ima roge in kopita.
134520004b	Ponižni bo to videl in bo vesel in vaše srce, ki išče Boga, bo živelo.
134521003a	Kajti Gospod posluša uboge in ne prezira svojih jetnikov.
1345220049	Naj ga hvalijo nebo in zemlja, morja in vsaka stvar, ki se giblje v njih.
1345230064	Kajti Bog bo rešil Sion in pozidal Judova mesta, da bodo lahko tam prebivali in to imeli v posesti.
1345240069	Tudi seme njegovih služabnikov bo to podedovalo in tisti, ki ljubijo njegovo ime, bodo prebivali v njih.
1346010044	Pohiti, oh Bog, da me osvobodiš; pohiti, da mi pomagaš, oh Gospod.
1346020093	Naj bodo osramočeni in zbegani [tisti], ki strežejo po moji duši. Naj bodo obrnjeni nazaj in postavljeni v zmedenost, ki želijo mojo bolečino.
1346030050	Naj bodo za nagrado svojega sramotenja obrnjeni nazaj, ki pravijo: »Aha, aha.«
1346040094	Naj se vsi tisti, ki te iščejo, veselijo in bodo veseli v tebi. Naj tisti, ki ljubijo tvojo rešitev, nenehno govorijo: »Naj bo Bog poveličan.«
1346050080	Toda jaz sem ubog in pomoči potreben. Podvizaj se k meni, oh Bog. Ti si moja pomoč in moj osvoboditelj; oh Gospod, ne mudi se.
134701004a	Vate, oh Gospod, polagam svoje trdno upanje. Naj ne bom nikoli osramočen.
134702005f	Osvobodi me v svoji pravičnosti in mi naredi, da pobegnem. Nagni k meni svoje uho in me reši.
134703008c	Bodi moje močno prebivališče, kamor se bom lahko nenehno zatekal. Dal si zapoved, da me rešiš, kajti ti si moja skala in moja trdnjava.
1347040055	Osvobodi me, oh moj Bog, iz roke zlobnega, iz roke nepravičnega in krutega človeka.
1347050053	Kajti ti si moje upanje, oh Gospod Bog, ti si moje trdno zaupanje od moje mladosti.
134706007b	S teboj sem bil podpiran od maternice. Ti si tisti, ki me je vzel iz notranjosti moje matere. O tebi bo nenehno moja hvala.
134707003e	Mnogim sem kakor čudež, toda ti si moje močno zatočišče.
1347080047	Naj bodo moja usta napolnjena s tvojo hvalo in s tvojo častjo ves dan.
1347090049	Ne zavrzi me v času visoke starosti, ne zapusti me, ko oslabi moja moč.
13470a0066	Kajti moji sovražniki govorijo zoper mene in tisti, ki prežijo na mojo dušo, se skupaj posvetujejo,
13470b005d	rekoč: »Bog ga je zapustil. Preganjajte in zgrabite ga, kajti nikogar ni, da ga osvobodi.«
13470c004b	Oh Bog, ne bodi daleč od mene. O moj Bog, podvizaj se zaradi moje pomoči.
13470d008a	Naj bodo zbegani in uničeni tisti, ki so nasprotniki moji duši; naj bodo pokriti z grajo in nečastjo tisti, ki iščejo mojo bolečino.
13470e003c	Toda jaz bom nenehno upal in še bolj in bolj te bom hvalil.
13470f006b	Moja usta bodo naznanjala tvojo pravičnost in tvojo osvoboditev ves dan, kajti ne poznam njihovih števil.
1347100052	Šel bom v môči Gospoda Boga. Omenjal bom tvojo pravičnost, namreč samo tvojo.
1347110051	Oh Bog, učil si me od moje mladosti in doslej sem oznanjal tvoja čudovita dela.
134712008b	Tudi sedaj, ko sem star in sivolas, oh Bog, me ne zapusti, dokler ne pokažem tvoje moči temu rodu in tvojo oblast vsakemu, ki bo prišel.
1347130066	Tudi tvoja pravičnost, oh Bog, je zelo visoka, ki si storil velike stvari. Oh Bog, kdo ti je podoben!
1347140070	Ti, ki si mi pokazal velike in boleče stiske, me boš ponovno oživil in ponovno privedel gor iz globin zemlje.
134715003c	Povečal boš mojo veličino in me tolažil na vsaki strani.
1347160075	Prav tako te bom hvalil s plunko, celó tvojo resnico, oh moj Bog. Tebi bom prepeval s harfo, oh ti, Svéti Izraelov.
1347170057	Moje ustnice se bodo silno veselile, kadar ti prepevam in moja duša, ki si jo odkupil.
1347180089	Tudi moj jezik bo ves dan govoril o tvoji pravičnosti, kajti zbegani so, ker so privedeni v sramoto [tisti], ki iščejo mojo bolečino.
1348010044	Daj kralju svoje sodbe, oh Bog in svojo pravičnost kraljevemu sinu.
134802003f	Tvoje ljudstvo bo sodil s pravičnostjo in tvoje uboge s sodbo.
1348030040	Gore bodo ljudstvu prinesle mir in majhni hribi po pravičnosti.
1348040066	Sodil bo uboge izmed ljudstva, rešil bo otroke pomoči potrebnih, zatiralca pa bo razbil na koščke.
1348050041	Bali se te bodo, dokler ostajata sonce in luna, skozi vse rodove.
134806004f	Prišel bo dol kakor dež na pokošeno travo, kakor nalivi, ki namakajo zemljo.
134807004f	V njegovih dneh bo pravični cvetel in obilje miru tako dolgo, kot ostaja luna.
1348080045	Imel bo tudi gospostvo od morja do morja in od reke do koncev zemlje.
1348090064	Tisti, ki prebivajo v divjini, se bodo poklonili pred njim, njegovi sovražniki pa bodo lizali prah.
13480a0066	Kralji iz Taršíša in z otokov bodo prinašali daritve. Kralji iz Sabe in Sebe bodo ponujali darove.
13480b0045	Da, vsi kralji bodo padli dol pred njim. Služili mu bodo vsi narodi.
13480c005d	Kajti osvobodil bo pomoči potrebnega, ko vpije; tudi ubogega in tistega, ki nima pomočnika.
13480d004e	Prizanesel bo ubogemu in pomoči potrebnemu in rešil duše pomoči potrebnih.
13480e0062	Njihovo dušo bo odkupil pred prevaro in nasiljem, in njihova kri bo dragocena v njegovem pogledu.
13480f0068	Živel bo in njemu bo dano od zlata iz Sabe. Zanj bo narejena tudi nenehna molitev in dnevno bo hvaljen.
1348100086	Prgišče žita bo na zemlji do vrhov gorá. Njen sad se bo tresel kakor Libanon in tisti iz mesta bodo cveteli kakor zemeljska trava.
13481100a1	Njegovo ime bo ostalo na veke. Njegovo ime se bo razširjalo, dokler [bo] sonce in ljudje bodo blagoslovljeni v njem. Vsi narodi ga bodo imenovali blagoslovljen.
134812004c	Blagoslovljen bodi Gospod Bog, Izraelov Bog, ki edini dela čudovite stvari.
1348130072	Blagoslovljeno bodi njegovo veličastno ime na veke in vsa zemlja naj bo napolnjena z njegovo slavo. Amen in Amen.
134814002d	Molitve Davida, Jesejevega sina, so končane.
1349010046	Resnično, Bog je dober do Izraela, torej tistim, ki so čistega srca.
134902005a	Toda kar se mene tiče, so moja stopala skoraj odšla, moji koraki so malodane spodrsnili.
134903004c	Kajti bil sem nevoščljiv nad nespametnimi, ko sem videl uspevanje zlobnih.
134904003c	Kajti v njihovi smrti ni vezi, vendar je njihova moč trdna.
134905004a	Niso v stiski, kakor drugi ljudje niti niso trpinčeni kakor drugi ljudje.
1349060051	Zato jih ošabnost obdaja naokoli kakor veriga, nasilje jih pokriva kakor obleka.
1349070049	Njihove oči izstopajo z mastnostjo. Imajo več, kot si lahko želi srce.
1349080044	Izprijeni so in glede zatiranja govorijo zlobno, govorijo vzvišeno.
1349090043	Svoja usta postavljajo zoper nebesa in njihov jezik hodi po zemlji.
13490a004c	Zato se njegovo ljudstvo vrača sèm in iztisnjene so jim polne čaše vode.
13490b0038	Pravijo: »Kako Bog ve? In ali je znanje v Najvišjem?«
13490c0045	Glej, to so brezbožni, ki uspevajo v svetu, naraščajo v bogastvih.
13490d004a	Resnično sem zaman očistil svoje srce in svoje roke umil v nedolžnosti.
13490e0038	Kajti ves dan sem bil trpinčen in kaznovan vsako jutro.
13490f0059	Če rečem: »Govoril bom na ta način,« glej, bi se pregrešil zoper rod tvojih otrók.
1349100042	Ko sem premišljeval, da to spoznam, je bilo zame preveč boleče,
1349110048	dokler nisem odšel v Božje svetišče, potem sem razumel njihov konec.
1349120044	Zagotovo si jih postavil na spolzke kraje, podiraš jih v uničenje.
134913004c	Kako so v hipu privedeni v opustošenje! Popolnoma so použiti s strahotami.
134914005d	Kakor sanje, ko se nekdo zbudi; tako boš, oh Gospod, ko se zbudiš, preziral njihovo podobo.
134915004b	Tako je bilo moje srce užaloščeno in v svoji notranjosti sem bil zboden.
134916003f	Tako surov sem bil in neveden. Pred teboj sem bil kakor žival.
134917003d	Kljub temu sem nenehno s teboj. Prijel si me za mojo desnico.
134918003f	Usmerjal me boš s svojim nasvetom in potem me sprejmi v slavo.
1349190054	Koga imam v nebesih razen tebe? In nikogar ni na zemlji, ki si ga želim poleg tebe.
13491a0058	Moje meso in moje srce odpovedujeta, toda Bog je moč mojega srca in moj delež na veke.
13491b0071	Kajti glej, tisti, ki so daleč od tebe, se bodo pogubili. Uničil si vse tiste, ki z vlačuganjem gredo od tebe.
13491c0080	Toda zame je dobro, da se približam Bogu. Svoje trdno upanje sem položil v Gospoda Boga, da bom lahko oznanjal vsa tvoja dela.
134a010058	Oh Bog, zakaj nas zavračaš za vedno? Zakaj se tvoja jeza kadi proti ovcam tvoje paše?
134a020081	Spomni se svoje skupnosti, ki si jo odkupil od davnine, palico svoje dediščine, ki si jo odkupil, to goro Sion, kjer prebivaš.
134a03006d	Dvigni svoja stopala k neprestanim opustošenjem, celó vsemu kar je sovražnik zlobnega storil v svetišču.
134a04005b	Tvoji sovražniki rjovijo v sredi tvojih skupnosti, svoje zastave so postavili za znamenja.
134a050041	Človek je bil slaven, če je nad debela drevesa dvigoval sekire.
134a060048	Toda sedaj so s sekirami in kladivi takoj zlomili rezljano delo le-tega.
134a07005f	Ogenj so vrgli v tvoje svetišče, s podrtjem do tal so omadeževali bivališče tvojega imena.
134a08005c	V svojih srcih so rekli: »Skupaj jih uničimo.« V deželi so požgali vse Božje sinagoge.
134a090061	Ne vidimo svojih znamenj. Nobenega preroka ni več niti tukaj med nami ni nobenega, ki ve doklej.
134a0a0054	Oh Bog, doklej bo nasprotnik grajal? Mar bo sovražnik na veke preklinjal tvoje ime?
134a0b004e	Zakaj umikaš svojo roko, celó svojo desnico? Iztrgaj jo iz svojega naročja.
134a0c0043	Kajti Bog je moj Kralj od davnine, ki dela rešitev v sredi zemlje.
134a0d0041	S svojo močjo si razdelil morje. Razbijaš glave zmajem v vodah.
134a0e0065	Razbijaš glave leviatána na koščke in ga daješ, da postane hrana ljudstvu, ki prebiva v divjini.
134a0f0038	Združil si studenec in morje, osušuješ mogočne reke.
134a100040	Dan je tvoj, tudi noč je tvoja, pripravil si svetlobo in sonce.
134a110038	Določil si vse meje zemlje. Naredil si poletje in zimo.
134a120073	Spomni se, da je sovražnik grajal, oh Gospod in da je nespametno ljudstvo izrekalo bogokletje proti tvojemu imenu.
134a13005e	Oh ne izročaj duše svoje grlice množici zlobnih. Ne pozabi skupnosti svojih ubogih na veke.
134a14004b	Ozri se k zavezi, kajti temni kraji zemlje so polni prebivališč krutosti.
134a150056	Oh naj se zatirani ne vrne osramočen. Naj ubog in pomoči potreben hvalita tvoje ime.
134a160063	Vstani, oh Bog, zagovarjaj svojo lastno pravdo. Spomni se, kako te nespameten človek dnevno graja.
134a17005c	Ne pozabi glasu svojih sovražnikov. Hrup teh, ki vstajajo zoper tebe, se nenehno povečuje.
134b01007b	Tebi, oh Bog, dajemo zahvaljevanje, tebi dajemo zahvaljevanje, kajti tvoja čudovita dela oznanjajo, da je tvoje ime blizu.
134b02002b	Ko bom sprejel skupnost, bom sodil iskreno.
134b030050	Zemlja in vsi njeni prebivalci se raztapljajo, jaz podpiram njene stebre. (Sela)
134b04004d	Bedakom sem rekel: »Ne ravnajte nespametno« in zlobnim: »Ne dvigajte roga.
134b050042	Svojega roga ne dvigajte visoko gor. Ne govorite s trdim vratom.«
134b060047	Kajti povišanje ne prihaja niti od vzhoda niti od zahoda niti od juga.
134b070039	Toda Bog je sodnik, odstavlja enega in postavlja drugega.
134b080099	Kajti v Gospodovi roki je čaša in vino je rdeče, polno mešanice; in izliva iz istega, toda te droži bodo vsi zlobneži zemlje izželi in jih popili.
134b090047	Toda jaz bom razglašal na veke, prepeval bom hvalnice Jakobovemu Bogu.
134b0a004b	Tudi vse rogove zlobnih bom odrezal; toda rogovi pravičnih bodo povišani.
134c010036	V Judu je Bog poznan. Njegovo ime v Izraelu je veliko.
134c02004e	Tudi v Salemu je njegovo šotorsko svetišče in njegovo bivališče na Sionu.
134c03003d	Tam je prelomil puščice loka, ščit, meč in bitko. (Sela)
134c040037	Ti si veličastnejši in odličnejši kakor gore plena.
134c050060	Arogantni so oplenjeni, spali so svoje spanje. Nihče izmed mogočnih mož ni našel svojih rok.
134c06005a	Ob tvojem oštevanju, Bog Jakobov, sta tako bojni voz, kakor konj vržena v smrtno spanje.
134c07004e	Ti, celó tebe se je bati in kdo lahko stoji v tvojem pogledu, kadar si jezen?
134c08004a	Naredil si, da se z neba sliši sodba; zemlja se je zbala in postala tiha,
134c09003e	ko je k sodbi vstal Bog, da reši vse krotke na zemlji. (Sela)
134c0a0043	Zagotovo te bo hvalil človeški bes. Ostanek besa boš ti obrzdal.
134c0b0083	Zaobljubi se in plačaj Gospodu, svojemu Bogu. Naj vsi tisti, ki so okoli njega, prinesejo darove tistemu, ki bi se ga morali bati.
134c0c003b	Odrezal bo duha princev. Strašen je do zemeljskih kraljev.
134d010054	S svojim glasom sem klical k Bogu, celó s svojim glasom k Bogu in mi je prisluhnil.
134d02008c	Na dan svoje stiske sem iskal Gospoda. Moja vnetja so se gnojila ponoči in niso odnehala. Moja duša je odklanjala, da bi bila potolažena.
134d03005d	Spomnil sem se Boga in bil vznemirjen. Pritoževal sem se in moj duh je bil nadvladan. (Sela)
134d040043	Moje oči držiš budne. Tako sem vznemirjen, da ne morem govoriti.
134d05003d	Preudarjal sem [o] dneh iz davnine, letih starodavnih časov.
134d06006f	Spominjam se svoje pesmi ponoči. Posvetujem se s svojim lastnim srcem in moj duh je storil marljivo preiskavo.
134d07003d	›Ali bo Gospod za vedno zavračal ali ne bo več naklonjen?
134d080058	Je njegovo usmiljenje popolnoma odšlo za vedno? Ali njegova obljuba odpove na vékomaj?
134d090056	Je Bog pozabil biti milostljiv? Ali je v jezi zaprl svoja nežna usmiljenja?‹ (Sela)
134d0a0052	Rekel sem: »To je moja šibkost, toda spominjal se bom let desnice Najvišjega.«
134d0b0057	Spominjal se bom Gospodovih del. Zagotovo se bom spominjal tvojih čudežev od davnine.
134d0c0047	Premišljeval bom tudi o vsem tvojem delu in govoril o tvojih dejanjih.
134d0d0049	Tvoja pot, oh Bog, je v svetišču. Kdo je tako velik Bog kakor naš Bog?
134d0e0041	Ti si Bog, ki dela čudeže. Med ljudstvom si oznanil svojo moč.
134d0f004f	S svojim laktom si odkupil svoje ljudstvo, Jakobove in Jožefove sinove. (Sela)
134d100065	Vode so te videle, oh Bog, vode so te videle, bile so prestrašene. Tudi globine so bile vznemirjene.
134d110056	Oblaki so izlivali vodo, nebo je pošiljalo zvok, tudi tvoje puščice so šle daleč.
134d12006f	Zvok tvojega groma je bil na nebu, bliski so razsvetljevali zemeljski [krog]. Zemlja je trepetala in se tresla.
134d130052	Tvoja pot je na morju in tvoja steza v velikih vodah in tvoje stopinje niso znane.
134d14003d	Svoje ljudstvo vodiš kakor trop z Mojzesovo in Aronovo roko.
134e010060	Pazljivo prisluhni, oh moje ljudstvo, k moji postavi, nagni svoja ušesa k besedam iz mojih ust.
134e020047	Svoja usta bom odprl v prispodobi, izrekel bom temne govore od davnine,
134e030044	ki smo jih slišali in poznali in so nam jih naši očetje povedali.
134e04009a	Ne bomo jih skrili pred njihovimi otroki, prikazujoč prihajajočemu rodu Gospodove hvalnice in njegovo moč ter njegova čudovita dela, ki jih je storil.
134e050095	Kajti osnoval je pričevanje v Jakobu in določil postavo v Izraelu, ki jo je zapovedal našim očetom, da bi jo lahko naredili znano svojim otrokom,
134e06007f	da bi jih prihajajoči rod lahko spoznal, celó otroci, ki naj bi bili rojeni, ki naj bi vstali in jih oznanili svojim otrokom,
134e07006f	da bi svoje upanje lahko usmerili v Boga in ne bi pozabili Božjih del, temveč bi se držali njegovih zapovedi
134e08008d	in bi ne bili kakor njihovi očetje, trmoglav in uporen rod, rod, ki svojega srca ni pravilno postavil in čigar duh z Bogom ni bil neomajen.
134e09005b	Efrájimovi otroci, ki so bili oboroženi in nosili loke, so se na dan bitke obrnili nazaj.
134e0a004b	Niso ohranjali Božje zaveze in odklanjali so se ravnati po njegovi postavi
134e0b0047	in pozabili so njegova dela in njegove čudeže, ki jim jih je pokazal.
134e0c0059	Čudovite stvari je storil v očeh njihovih očetov v egiptovski deželi, na polju Coana.
134e0d0061	Razdelil je morje, jih pripravil, da so prešli skozenj in storil je, da so vode stale kakor kup.
134e0e0043	Tudi podnevi jih je vodil z oblakom in vso noč z ognjeno svetlobo.
134e0f0043	Razklal je skale v divjini in jim dal piti kakor iz velikih globin.
134e10004e	Tudi vodne tokove je privedel iz skale in storil, da so vode tekle kakor reke.
134e110047	V divjini pa so še bolj grešili zoper njega z izzivanjem Najvišjega.
134e120046	V svojem srcu so skušali Boga z zahtevanjem jedi za svoje poželenje.
134e13004e	Da, govorili so zoper Boga; rekli so: »Ali Bog lahko oskrbi mizo v divjini?«
134e140087	Glej, udaril je skalo, da so pridrle vode in vodotoki so preplavili, ali lahko da tudi kruh? Ali za svoje ljudstvo lahko priskrbi meso?
134e15007a	Torej Gospod je to slišal in je bil ogorčen, tako je bil zoper Jakoba vžgan ogenj in tudi jeza je prišla zoper Izrael,
134e16003c	ker niso verovali v Boga in niso zaupali v njegovo rešitev.
134e17003b	Čeprav je zapovedal oblakom od zgoraj in odprl vrata nebes
134e180043	in je nanje deževal mano za jed ter jim dajal od nebeškega žita.
134e19003e	Človek je jedel hrano angelov. Poslal jim je mesa do sitosti.
134e1a0051	Vzhodniku je velel, da zapiha na nebu in s svojo močjo je privedel južni veter.
134e1b005b	Prav tako je nanje deževal meso kakor prah in operjeno perjád podobno kakor morski pesek.
134e1c004d	Dopustil jim je pasti v sredo njihovega tabora, okoli njihovih prebivališč.
134e1d0057	Tako so jedli in bili popolnoma nasičeni, kajti izročil jim je njihovo lastno željo;
134e1e005e	niso bili odvrnjeni od svojega poželenja. Vendar ko je bila njihova jed še v njihovih ustih,
134e1f0070	je nadnje prišel Božji bes in pokončal najdebelejše izmed njih in z udarcem zrušil izbrane Izraelove ljudi.
134e200058	Zaradi vsega tega so še vedno grešili in niso verovali zaradi njegovih čudovitih del.
134e210042	Zato je njihove dneve použil v ničevosti in njihova leta v muki.
134e220056	Ko jih je ubijal, potem so ga iskali in vrnili so se ter zgodaj poizvedovali za Bogom.
134e23004f	Spomnili so se, da je bil Bog njihova skala in vzvišeni Bog njihov odkupitelj.
134e24004d	Kljub temu so se mu prilizovali s svojimi usti in mu lagali s svojimi jeziki.
134e250055	Kajti njihovo srce ni bilo popolnoma z njim niti niso bili neomajni v njegovi zavezi.
134e260099	Toda on, ki je poln sočutja, je odpustil njihovo krivičnost in jih ni uničil. Da, svojo jezo je pogosto obrnil proč in ni razvnel vsega svojega besa.
134e270053	Kajti spomnil se je, da so bili samo meso, veter, ki premine in ne prihaja ponovno.
134e280043	Kako pogosto so ga dražili v divjini in ga žalostili v puščavi!
134e29004a	Da, obrnili so se nazaj in skušali Boga in omejevali Svetega Izraelovega.
134e2a0050	Niso se spomnili njegove roke niti dneva, ko jih je osvobodil pred sovražnikom.
134e2b0049	Kako je v Egiptu izvršil svoja znamenja in svoje čudeže na polju Coana
134e2c0046	in njihove reke spremenil v kri in njihove potoke, da niso mogli piti.
134e2d0059	Mednje je poslal številne vrste muh, ki so jih požirale in žabe, ki so jih uničevale.
134e2e0046	Tudi njihov prirastek je dal gosenici in njihov trud leteči kobilici.
134e2f0048	Njihove trte je uničil s točo in njihove egiptovske smokve z zmrzaljo.
134e300046	Tudi njihovo živino je predal toči in njihove trope vročim strelam.
134e310063	S pošiljanjem zlih angelov mednje je nanje vrgel okrutnost svoje jeze, bes, ogorčenost in stisko.
134e320079	Pripravil je pot svoji jezi, njihovi duši ni prizanesel pred smrtjo, temveč je njihovo življenje predal kužni bolezni
134e33004b	in udaril vse prvorojence v Egiptu, njihovo glavno moč v Hamovih šotorih.
134e34006e	Toda svojemu lastnemu ljudstvu je storil, da gredo naprej kakor ovce in po divjini jih je usmerjal kakor trop.
134e350057	Vodil jih je varno, tako da se niso bali, toda njihove sovražnike je preplavilo morje.
134e360060	Privedel jih je do meje svojega svetišča, celo k tej gori, ki jo je pridobila njegova desnica.
134e370088	Pred njimi je spodil tudi pogane in jim z mejno črto razdelil dediščino in Izraelovim rodovom storil, da prebivajo v svojih šotorih.
134e38005b	Kljub temu so skušali in dražili najvišjega Boga in se niso držali njegovih pričevanj,
134e390075	temveč so se obrnili nazaj in postopali nezvesto kakor njihovi očetje. Obrnjeni so bili na stran kakor varljiv lok.
134e3a0077	Kajti s svojimi visokimi mesti so ga dražili do jeze in s svojimi rezanimi podobami so ga pripravili do ljubosumnosti.
134e3b0040	Ko je Bog to slišal, je bil ogorčen in silno preziral Izraela,
134e3c005b	tako da je zapustil bivališče, šotorsko svetišče v Šilu, ki ga je postavil med ljudmi
134e3d0049	in svojo moč izročil v ujetništvo in svojo slavo v sovražnikovo roko.
134e3e004a	Svoje ljudstvo je izročil meču in ogorčen je bil nad svojo dediščino.
134e3f004b	Ogenj je použil njihove mladeniče in njihove mladenke niso bile omožene.
134e400053	Njihovi duhovniki so padli pod mečem in njihove vdove niso pripravile objokovanja.
134e41005e	Potem se je Gospod prebudil kakor iz spanja in kakor mogočen človek, ki vzklika zaradi vina.
134e420056	Svoje sovražnike je udaril v njihove zadnje dele. Postavil jih je v neprestano grajo.
134e430056	Poleg tega je odklonil Jožefovo šotorsko svetišče in ni izbral Efrájimovega rodu,
134e440038	temveč je izbral Judov rod, goro Sion, ki jo je ljubil.
134e450058	Svoje svetišče je zgradil kakor visoke palače, kakor zemljo, ki jo je utrdil na veke.
134e46004b	Poleg tega je izbral svojega služabnika Davida in ga vzel od ovčjih staj.
134e470075	Od sledenja brejim ovcam z mladiči ga je privedel, da pase Jakoba, njegovo ljudstvo in Izraela, njegovo dediščino.
134e480060	Tako jih je hranil glede na neoporečnost svojega srca in jih usmerjal s spretnostjo svojih rok.
134f010071	Oh Bog, pogani so prišli v tvojo dediščino, omadeževali so tvoj svéti tempelj, Jeruzalem so razbili na kupe.
134f02006d	Trupla tvojih služabnikov so izročili, da so hrana perjádi neba, meso tvojih svétih za zemeljske živali.
134f03005c	Njihovo kri so kakor vodo prelivali naokoli Jeruzalema, in nikogar ni bilo, da jih pokoplje.
134f04004d	Postali smo graja našim sosedom, norčevanje in posmeh tem, ki so okoli nas.
134f050059	Doklej, Gospod? Hočeš biti jezen na veke? Ali bo tvoja ljubosumnost gorela kakor ogenj?
134f06005f	Svoj bes izlij nad pogane, ki te ne spoznavajo in nad kraljestva, ki ne kličejo tvojega imena.
134f07003e	Kajti požrli so Jakoba in opustošili njegovo prebivališče.
134f08007f	O ne spominjaj se zoper nas prejšnjih krivičnosti. Naj nas tvoja nežna usmiljenja naglo vodijo, kajti mi smo zelo ponižani.
134f090081	Pomagaj nam, oh Bog naše rešitve, zaradi slave svojega imena in osvobodi nas in naše grehe očisti proč zaradi svojega imena.
134f0a0095	Zakaj bi pogani rekli: »Kje je njihov Bog?« Naj bo z maščevanjem krvi tvojih služabnikov, ki je prelita, on spoznan med pogani v našem pogledu.
134f0b006d	Naj pride predte jetnikovo vzdihovanje; glede na veličino svoje moči ohrani tiste, ki so določeni, da umro
134f0c0069	in povrni našim sosedom njihovo grajo sedemkratno v njihovo naročje, s katero so te grajali, oh Gospod.
134f0d007b	Tako ti bomo mi, tvoje ljudstvo in ovce tvojega pašnika, dajali zahvalo na veke. Tvojo hvalo bomo naznanjali vsem rodovom.
135001006b	Pazljivo prisluhni, Pastir Izraela, ti, ki vodiš Jožefa kakor trop, ti, ki prebivaš med keruboma, zasij.
1350020055	Pred Efrájimom, Benjaminom in Manásejem razvnemi svojo moč ter pridi in nas reši.
1350030055	Ponovno nas spreobrni, oh Bog in svojemu obrazu naredi, da zasije in mi bomo rešeni.
135004004f	Oh Gospod, Bog nad bojevniki, doklej boš jezen proti molitvi svojega ljudstva?
1350050048	Hraniš jih s kruhom solza in jim daješ, da v veliki meri pijejo solze.
135006004b	Delaš nas prepir našim sosedom in naši sovražniki se smejijo med seboj.
1350070063	Ponovno nas spreobrni, oh Bog nad bojevniki in svojemu obrazu naredi, da zasije in mi bomo rešeni.
135008003b	Iz Egipta si privedel trto, spodil si pogane in jo zasadil.
1350090062	Pred njo si pripravil prostor in ji naredil, da je napravila globoko korenino in napolnila zemljo.
13500a0050	Gore so bile pokrite z njeno senco in njene veje so bile podobne čednim cedram.
13500b0036	Svoje veje je poslala v morje in svoje mladike v reko.
13500c0054	Zakaj si ti potem podrl njene ograje, tako da jo smukajo vsi, ki gredo mimo po poti?
13500d003b	Merjasec iz gozda jo pustoši in poljska žival jo požira.
13500e0057	Vrni se, rotimo te, oh Bog nad bojevniki, poglej dol z neba in glej in obišči to trto
13500f005d	in vinograd, ki ga je zasadila tvoja desnica in mladiko, ki si jo zaradi sebe naredil močno.
135010004f	Požgana je z ognjem, posekana je. Oni se pogubljajo ob graji tvojega obličja.
1350110064	Naj bo tvoja roka nad človekom tvoje desnice, nad sinom človekovim, ki si ga storil močnega zase.
135012004b	Tako od tebe ne bomo odšli nazaj. Oživi nas in mi bomo klicali tvoje ime.
1350130068	Ponovno nas spreobrni, oh Gospod Bog nad bojevniki, svojemu obrazu naredi, da zasije in mi bomo rešeni.
135101004d	Glasno prepevajte Bogu, naši môči, naredite radosten glas Jakobovemu Bogu.
1351020042	Vzemite psalm in prinesite sèm tamburin, prijetno harfo s plunko.
1351030051	Trobite na šofár ob mlaju, ob določenem času na naš slovesni praznični dan.
135104003c	Kajti to je bil zakon za Izraela in postava Jakobovega Boga.
135105007d	To je odredil v Jožefu za pričevanje, ko je šel ven skozi egiptovsko deželo, kjer sem slišal jezik, ki ga nisem razumel:
1351060054	»Njegovo ramo sem odstranil od bremena, njegove roke so bile osvobojene pred lonci.
1351070087	Ti kličeš v stiski in jaz sem te osvobodil, odgovoril sem ti na skrivnem kraju groma. Jaz sem te preizkusil pri vodah Meríbe. (Sela)
1351080056	Poslušaj, oh moje ljudstvo, pričeval ti bom, oh Izrael, če bi mi hotel prisluhniti.
1351090049	V tebi naj ne bo tujega boga niti ne boš oboževal nobenega tujega boga.
