2800000006	Mateus
2c0907008f	Os homens que viajavam com Saulo ficaram lá parados, sem conseguir dizer uma só palavra. Eles ouviram a voz falando, mas não viram ninguém.
2c090800aa	Saulo ficou em pé e, quando abriu os olhos, não enxergava absolutamente nada. Os homens que acompanhavam Saulo o pegaram pela mão e o levaram para a cidade de Damasco.
2c09090055	Durante três dias ele não conseguiu enxergar e também não comeu e nem bebeu nada.
2c090a00a7	Havia um seguidor de Jesus em Damasco, chamado Ananias. Ele teve uma visão em que o Senhor lhe dizia: “Ananias!” E Ananias respondeu: “Eu estou aqui, Senhor!”
2c090b009b	E o Senhor lhe disse: “Levante-se e vá para a rua Direita. Na casa de Judas, pergunte por um homem, chamado Saulo, da cidade de Tarso. Ele está orando.
2c090c008a	Ele teve uma visão em que um homem chamado Ananias vinha e colocava as suas mãos sobre ele e, então, ele conseguiu enxergar de novo.”
2c090d009d	Ananias respondeu: “Mas, Senhor, eu ouvi muito a respeito desse homem. Ouvi sobre todas as coisas ruins que ele fez aos seguidores do Senhor em Jerusalém.
2c090e0065	Os chefes dos sacerdotes lhe deram poder para prender aqui em Damasco a todos que adoram o Senhor.”
2c090f00a2	Mas, o Senhor disse a Ananias: “Vá, pois ele é a pessoa que eu escolhi para levar o meu nome aos não-judeus e aos reis, assim como também ao povo de Israel.
2c09100042	Eu mostrarei a ele tudo o que irá sofrer por amor ao meu nome.”
2c0911011c	Então, Ananias saiu e foi até a casa de Judas. Ele colocou as suas mãos sobre Saulo. Ele disse: “Irmão Saulo, quem me enviou aqui foi o Senhor Jesus, que apareceu a você na estrada para Damasco. Ele me mandou para que você volte a enxergar e fique cheio do Espírito Santo.”
2c0912007a	Imediatamente, algo parecido com escamas caiu dos olhos de Saulo, e ele voltou a enxergar. Ele se levantou e foi batizado.
2c09130065	Ele também se alimentou e ficou mais forte. Saulo passou vários dias com os discípulos em Damasco.
2c09140054	Ele logo começou a anunciar nas sinagogas, dizendo: “Jesus é o Filho de Deus!”
2c091500f4	Todos que o ouviam ficavam admirados e perguntavam: “Não é ele o homem que, em Jerusalém, causou tantos problemas aos seguidores de Jesus? Ele não veio aqui para prender os seguidores e levá-los acorrentados aos chefes dos sacerdotes?”
2c091600a7	Saulo ficava cada vez mais confiante. Ele demonstrava, com fortes provas, que Jesus é o Messias, que até os judeus que moravam em Damasco não conseguiam refutá-lo.
2c09170032	Algum tempo depois, os judeus planejaram matá-lo,
2c09180069	mas Saulo sabia dos planos deles. Dia e noite, eles esperavam perto dos portões da cidade para matá-lo.
2c09190069	Então, em uma noite, os seguidores de Saulo o colocaram em um cesto e o desceram pela muralha da cidade.
2c091a00a7	Quando Saulo chegou em Jerusalém, ele tentou se encontrar com os discípulos, mas todos tinham medo dele, pois não tinham certeza se ele era realmente um discípulo.
2c091b010d	No entanto, Barnabé o levou para encontrar os apóstolos e disse a eles como Saulo tinha visto o Senhor na estrada e como o Senhor tinha falado com ele. Barnabé também disse sobre a coragem de Saulo ao anunciar o evangelho em nome de Jesus, quando estava em Damasco.
2c091c0044	Saulo ficou com os apóstolos e os acompanhou por toda a Jerusalém.
2c091d00ac	Ele demonstrava muita coragem ao anunciar o evangelho em nome do Senhor. Ele conversava e debatia com os judeus que falavam grego, mas, mesmo assim, eles tentavam matá-lo.
2c091e006b	Quando os irmãos souberam disso, levaram Saulo para a cidade de Cesareia e, depois, o enviaram para Tarso.
2c091f010b	Durante esse período, reinou a paz para a igreja em toda a região da Judeia, Galileia e Samaria. A igreja cresceu muito, e o número de seguidores, encorajados pelo Espírito Santo, que dedicavam suas vidas para respeitar a palavra do Senhor, aumentava rapidamente.
2c0920004e	Durante uma de suas viagens, Pedro foi visitar os seguidores de Jesus em Lida.
2c0921007e	Lá, ele encontrou um homem, chamado Eneias, que, por causa de sua paralisia, já estava há oito anos sem poder sair da cama.
2c09220083	Pedro lhe disse: “Eneias, Jesus Cristo vai curá-lo! Levante-se e arrume a sua cama!” Nesse mesmo instante, Eneias se levantou.
2c09230075	Todos que moravam na cidade de Lida e na região de Sarom viram o que havia acontecido com Eneias e creram no Senhor.
2c0924007b	Havia em Jope, uma seguidora de Jesus chamada Tabita (Dorcas, em grego). Ela sempre fazia boas ações e ajudava os pobres.
2c0925007b	Contudo, nessa época, ela adoeceu e morreu. Depois, o corpo de Tabita foi lavado e colocado em um quarto no andar de cima.
2c092600c7	Lida ficava perto de Jope. Então, os discípulos de Jope, ao saberem que Pedro estava em Lida, enviaram dois homens, com a seguinte mensagem para ele: “Por favor, venha até nós imediatamente!”
2c092700eb	Pedro atendeu e foi com eles. Quando ele chegou, foi levado para o andar de cima da casa. Todas as viúvas estavam lá, chorando. Elas mostraram a Pedro todas as capas e roupas que Dorcas havia costurado enquanto ainda estava com elas.
2c092800b6	Pedro disse para que todos saíssem e, depois, se ajoelhou e orou. Ele se virou para o corpo e disse: “Tabita, levante-se!” Ela abriu os olhos e, quando viu Pedro, ela se sentou.
2c09290084	Ele a pegou pela mão e a ajudou a se levantar. Ele chamou os seguidores de Jesus, inclusive as viúvas, e lhes mostrou Tabita viva.
2c092a005a	A notícia se espalhou por toda Jope e isso fez com que muitos passassem a crer no Senhor.
2c092b007f	Pedro passou bastante tempo na cidade de Jope e, enquanto estava lá, ficou hospedado na casa de Simão, um curtidor de couros.
2c0a010059	Em Cesareia vivia um homem chamado Cornélio, um comandante romano do batalhão italiano.
2c0a020094	Ele era um homem religioso que, juntamente com todos em sua casa, tinha grande respeito por Deus. Ele ajudava muito os pobres e orava sempre a Deus.
2c0a030092	Um dia, cerca de três horas da tarde, ele teve uma visão em que viu muito claramente um anjo de Deus se aproximar dele e falar: “Cornélio!”
2c0a0400c8	Assustado, Cornélio ficou olhando para o anjo e perguntou: “O que quer, Senhor?” O anjo respondeu: “Deus prestou atenção nas suas orações e reconheceu a sua generosidade para com os pobres.
2c0a050050	Agora, envie alguns homens a Jope, para que tragam Simão, conhecido como Pedro,
2c0a06004c	que está na casa de Simão, o curtidor de couros, que mora perto do mar.”
2c0a07008e	Quando o anjo foi embora, Cornélio chamou dois empregados de sua casa e um soldado de sua guarda pessoal, que também era um homem religioso.
2c0a080047	Após ter explicado a eles tudo o que acontecera, ele os enviou a Jope.
2c0a09008e	No dia seguinte, enquanto eles seguiam o seu caminho e se aproximavam da cidade, Pedro subiu no telhado da casa para orar. Era quase meio-dia,
2c0a0a006e	e ele estava com fome, esperando pelo almoço. Mas, enquanto a comida estava sendo feita, ele caiu em transe e
2c0a0b009a	teve uma visão, em que o céu se abriu. Ele viu alguma coisa descendo, parecida com um grande lençol, amarrado pelas quatro pontas, que chegou ao chão.
2c0a0c003d	Dentro havia todos os tipos de animais, répteis e pássaros.
2c0a0d003e	Ele ouviu uma voz dizer: “Levante-se, Pedro, mate e coma!”
2c0a0e0068	Mas Pedro respondeu: “De modo algum, Senhor! Eu nunca comeria alguma coisa que fosse impura e suja.”
2c0a0f0051	Ele ouviu a voz falar novamente: “Não chame de impuro o que Deus purificou!”
2c0a10004f	Isso aconteceu três vezes e, então, o lençol voltou rapidamente para o céu.
2c0a1100b1	Enquanto Pedro continuava intrigado sobre qual seria o significado da visão que havia tido, os homens que Cornélio havia mandado chegaram à casa de Simão e ficaram na porta.
2c0a120047	Eles chamaram, perguntando se Simão, conhecido como Pedro, estava lá.
2c0a130076	Pedro ainda estava pensando na visão, quando o Espírito Santo lhe disse: “Veja! Há três homens procurando você.
2c0a140053	Levante-se, desça e vá com eles. Não se preocupe, pois fui eu quem os enviou.”
2c0a150068	Pedro, então, desceu e os encontrou. Ele disse: “Sou eu quem vocês procuram. Por que estão aqui?”
2c0a160107	Eles responderam: “Fomos mandados pelo comandante Cornélio, um homem bom e religioso, que teme a Deus e é muito respeitado pelo povo judeu. Um anjo do Senhor mandou que ele o chamasse para ir até à casa dele, para que ele ouvisse o que você tem a dizer.”
2c0a17009f	Então, Pedro os convidou para entrarem e ficarem lá. No dia seguinte, ele se levantou e foi com eles. Alguns dos irmãos que habitavam em Jope também foram.
2c0a180080	No dia seguinte eles chegaram em Cesareia, onde Cornélio já os esperava com os seus parentes e amigos mais próximos reunidos.
2c0a190057	Quando Pedro entrou na casa, Cornélio o encontrou, se ajoelhou diante dele e o adorou.
2c0a1a004d	Mas, Pedro o fez levantar, dizendo: “Levante-se! Eu sou apenas um homem.”
2c0a1b0068	Pedro conversou com Cornélio e, então, entraram na casa, onde havia muitas outras pessoas esperando-o.
2c0a1c00ce	Pedro lhes disse: “Vocês certamente sabem que não é permitido que judeus se tornem amigos ou visitem as casas de pagãos. Mas, Deus me mostrou que eu não devo chamar qualquer pessoa de impura ou suja.
2c0a1d008d	É por isso que eu vim sem qualquer hesitação, quando fui chamado. Então, agora, eu gostaria de saber a razão de você ter me chamado.”
2c0a1e00bf	Cornélio explicou: “Há quatro dias, perto das três horas da tarde, eu estava orando em minha casa. De repente, vi um homem parado na minha frente, vestido com roupas que brilhavam muito.
2c0a1f0075	Ele me disse: ‘Cornélio, as suas orações foram ouvidas, e Deus reconheceu a sua generosidade para com os pobres.
2c0a200087	Envie alguém a Jope, para chamar Simão Pedro. Ele está hospedado na casa de Simão, um curtidor de couros, que fica perto do mar.’
2c0a2100ba	Então, imediatamente eu mandei chamá-lo e que bom que tenha vindo. É por isso que estamos todos aqui, reunidos diante de Deus, prontos para ouvir tudo o que o Senhor disse a você.”
2c0a220050	Pedro respondeu: “Eu agora tenho certeza de que Deus não discrimina ninguém.
2c0a230057	Em todas as nações, Deus aceita aqueles que o respeitam e fazem o que é bom e certo.
2c0a24009e	Vocês conhecem a mensagem que ele enviou ao povo de Israel, compartilhando as boas novas de paz, que vêm por meio de Jesus Cristo, que é o Senhor de todos.
2c0a250085	Vocês sabem que essas boas novas se espalharam por toda a Judeia, começando pela Galileia, depois que João pregou sobre o batismo.
2c0a2600e8	Sabem também sobre Jesus de Nazaré, como Deus derramou sobre ele o Espírito Santo e lhe deu poder. Como Jesus andou por todos os lugares, fazendo o bem, curando aqueles que estavam sob o domínio do mal, pois Deus estava com ele.
2c0a270091	Nós podemos dizer a todos o que ele fez na Judeia e em Jerusalém, pois estávamos com ele. E, então, eles o mataram, pendurando-o em uma cruz.
2c0a280045	Mas, Deus o ressuscitou no terceiro dia e fez com que ele aparecesse.
2c0a2900a0	Ele não apareceu a todos, mas apenas para as testemunhas escolhidas por Deus, inclusive para nós, que comemos e bebemos com ele depois que Deus o ressuscitou.
2c0a2a0094	Ele nos mandou anunciar isso para todas as pessoas, para declarar que ele é o escolhido por Deus para ser o Juiz dos que estão vivos e dos mortos.
2c0a2b009c	Jesus é aquele a respeito de quem todos os profetas falaram, dizendo que aqueles que creem nele receberão, por meio do seu nome, o perdão dos pecados.”
2c0a2c006c	Enquanto Pedro ainda estava falando, o Espírito Santo desceu sobre todos os que estavam ouvindo a mensagem.
2c0a2d0099	Os seguidores judeus, que tinham vindo de Jope com Pedro, ficaram surpresos, pois o dom do Espírito Santo também tinha sido derramado sobre os pagãos.
2c0a2e0042	Eles os ouviram falar em diferentes línguas, glorificando a Deus.
2c0a2f0097	Então, Pedro perguntou: “Alguém poderá impedi-los de serem batizados na água, sendo que eles receberam o Espírito Santo exatamente como nós?”
2c0a30008d	Assim, Pedro mandou que eles fossem batizados em nome de Jesus Cristo. E eles pediram a Pedro para que ficasse com eles por mais algum tempo.
2c0b010067	Os apóstolos e os irmãos na Judeia ouviram que não-judeus também tinham aceitado a palavra de Deus.
2c0b020088	Quando Pedro voltou para Jerusalém, aqueles que acreditavam que a circuncisão ainda era fundamental discutiram com ele. Eles disseram:
2c0b03003f	“Você visitou homens não circuncidados e comeu com eles.”
2c0b04003d	Pedro começou a explicar a eles tudo o que havia acontecido:
2c0b0500cf	“Eu estava na cidade de Jope orando e, em um transe, tive uma visão. Algo parecido com um grande lençol estava sendo baixado do céu, preso pelas quatro pontas, até que desceu no lugar em que eu estava.
2c0b06005b	Quando olhei dentro dele, vi animais quadrúpedes, animais selvagens, répteis e pássaros.
2c0b07004b	Então, ouvi uma voz que me disse: ‘Levante-se, Pedro! Mate-os e coma!’
2c0b080058	Mas, eu respondi: ‘De modo algum, Senhor! Nunca comi nada que fosse impuro ou sujo!’
2c0b090058	A voz do céu falou novamente e disse: ‘Não chame de impuro ao que Deus purificou!’
2c0b0a0060	Isso aconteceu três vezes e, depois, o lençol, com tudo que estava dentro, voltou para o céu.
2c0b0b0094	Exatamente naquele momento, três homens estavam em frente à casa onde eu estava hospedado. Eles foram enviados da cidade de Cesareia, para me ver.
2c0b0c0095	O Espírito me disse para acompanhá-los, sem duvidar. Estes seis irmãos que estão aqui também foram comigo, e nós entramos na casa de Cornélio.
2c0b0d00aa	Ele nos explicou como um anjo havia aparecido a ele em sua casa. Esse anjo lhe disse: ‘Envie alguém para a cidade de Jope e traga Simão, também conhecido como Pedro.
2c0b0e006e	Ele irá lhe dizer o que você precisa ouvir para que, tanto você quanto toda a sua família sejam salvos.’
2c0b0f0071	Quando comecei a falar, o Espírito Santo desceu sobre eles, exatamente como tinha descido sobre nós no início.
2c0b10007b	‘Então, me lembrei do que o Senhor disse: João batizou com água, mas vocês serão batizados com o Espírito Santo.’
2c0b110080	Então, se Deus deu a eles o mesmo dom que ele nos deu, quando cremos no Senhor Jesus Cristo, como eu poderia me opor a Deus?”
2c0b1200d0	Depois que eles ouviram a explicação de Pedro, não discutiram mais com ele e louvaram a Deus, dizendo: “Deus agora deu a oportunidade para que não-judeus também se arrependam e ganhem a vida eterna.”
2c0b1300f7	Os seguidores de Jesus, que haviam fugido por causa da perseguição que aconteceu quando Estêvão foi morto, percorreram todo o caminho até a Fenícia, a ilha de Chipre e a cidade de Antioquia. Eles só anunciavam as boas novas entre os judeus.
2c0b1400ba	Mas, quando algum deles, vindos de Chipre e da cidade de Cirene, chegaram na cidade de Antioquia, anunciaram a palavra de Deus também aos gregos, falando para eles sobre o Senhor Jesus.
2c0b150055	O poder do Senhor estava com eles e muitas pessoas creram e se converteram ao Senhor.
2c0b160074	A notícia sobre o que havia acontecido chegou até a igreja em Jerusalém, e eles enviaram Barnabé para Antioquia.
2c0b1700be	Quando ele chegou e viu por si mesmo como Deus havia abençoado aquelas pessoas, ele ficou muito feliz. Ele encorajou todos a se dedicarem de todo o coração a Deus e a permanecerem fiéis.
2c0b180088	Barnabé era um bom homem, cheio do Espírito Santo e que depositou toda a sua fé em Deus. Muitas pessoas foram trazidas para o Senhor.
2c0b190046	Então, Barnabé foi até à cidade de Tarso, para procurar por Saulo.
2c0b1a010d	Quando o encontrou, ele o levou para Antioquia. Durante todo um ano, eles trabalharam junto com a igreja, ensinando a mensagem para multidões de pessoas. Foi na cidade de Antioquia que, pela primeira vez, os que haviam crido em Jesus foram chamados de “cristãos.”
2c0b1b0051	Foi durante esse período que alguns profetas foram de Jerusalém para Antioquia.
2c0b1c00da	Um deles se chamava Ágabo. Ele se levantou e, pelo poder do Espírito Santo, avisou que haveria uma terrível falta de alimentos, que afetaria todas as partes do mundo. (Isso ocorreu no reinado do imperador Cláudio.)
2c0b1d0082	Os seguidores de Jesus decidiram enviar ajuda para os irmãos que moravam na Judeia, com cada um doando de acordo com o que tinha.
2c0b1e0083	Então, eles fizeram isso e enviaram, por intermédio de Barnabé e Saulo, o dinheiro arrecadado para os líderes da igreja de lá.
2c0c01004a	Nessa época, o rei Herodes começou a perseguir alguns membros da igreja.
2c0c020033	Ele mandou matar Tiago, irmão de João, à espada.
2c0c0300a4	Quando Herodes percebeu que os judeus estavam agradecidos por isso, ele mandou que prendessem Pedro também, o que aconteceu durante a Festa dos Pães sem Fermento.
2c0c0400af	Após ter prendido Pedro, ele o colocou na cadeia, com quatro grupos de quatro soldados cada para vigiá-lo. Ele planejava levar Pedro a julgamento público depois da Páscoa.
2c0c050057	Enquanto Pedro estava na prisão, a igreja orava intensamente para que Deus o ajudasse.
2c0c060086	Na noite anterior ao julgamento, Pedro dormia entre dois soldados, acorrentado a cada um deles e com guardas na porta, que o vigiavam.
2c0c0700d3	De repente, um anjo do Senhor apareceu e a cela ficou completamente iluminada. O anjo sacudiu Pedro para que ele acordasse e disse: “Rápido! Levante-se!” As correntes que o prendiam caíram dos seus pulsos,
2c0c08008c	e o anjo lhe disse: “Vista-se e coloque as sandálias!” E foi o que Pedro fez. Depois, o anjo disse: “Coloque a sua capa e me siga!”
2c0c090090	Então, Pedro seguiu o anjo. Ele não percebeu de imediato que tudo aquilo estava realmente acontecendo. Ele pensou que estava tendo uma visão.
2c0c0a0103	Eles passaram pelo primeiro e depois pelo segundo grupo de guardas, até chegarem ao portão de ferro que dava para a cidade. O portão se abriu sozinho para que eles passassem. Pedro e o anjo saíram e desceram por uma rua, quando, de repente, o anjo partiu.
2c0c0b00d0	Quando Pedro caiu em si, e disse: “Agora vejo que tudo isso realmente aconteceu! O Senhor enviou o seu anjo para me salvar das garras de Herodes e de tudo que o povo judeu tinha a intenção de me fazer.”
2c0c0c00ac	Depois de ter tomado consciência de tudo que havia acontecido, Pedro foi para a casa de Maria, mãe de João Marcos. Muitas pessoas tinham se reunido ali e estavam orando.
2c0c0d004f	Quando Pedro bateu na porta da frente, uma empregada, chamada Rode, veio abrir.
2c0c0e00af	Mas, tamanha foi a sua emoção, ao reconhecer a voz de Pedro, que ela não abriu a porta. Em vez disso, ela correu de volta para dentro, gritando: “Pedro está lá fora!”
2c0c0f00a1	Eles disseram para ela: “Você está maluca!” Mas, ela continuava insistindo que estava falando a verdade. Então, eles disseram: “Deve ser o anjo dele.”
2c0c100089	Enquanto isso, Pedro continuava batendo na porta. Quando eles finalmente a abriram, viram que era realmente ele e ficaram muito chocados.
2c0c110109	Pedro levantou a sua mão, sinalizando para que eles ficassem quietos e, assim, pôde lhes explicar como o Senhor o havia ajudado a escapar da cadeia. Ele lhes disse: “Avisem Tiago e os outros irmãos sobre isso.” Depois, ele saiu de lá e foi para outro lugar.
2c0c120067	Quando o dia amanheceu, os soldados ficaram totalmente confusos sobre o que havia acontecido com Pedro.
2c0c1300d5	Herodes fez uma busca completa por ele, mas não conseguiu encontrá-lo. Após interrogar os guardas, Herodes ordenou que eles fossem executados. Depois, Herodes foi embora da Judeia e ficou na cidade de Cesareia.
2c0c1400ff	Herodes estava furioso com os moradores de Tiro e de Sidom. Eles, então, enviaram um grupo para vê-lo e conseguiram ganhar o apoio de Blasto, o assistente pessoal do rei. Eles pediram paz a Herodes, pois dependiam das terras do rei para obter alimentos.
2c0c150079	Quando chegou o dia do encontro com o rei, Herodes colocou a sua roupa de rei, sentou-se no trono e começou a discursar.
2c0c160054	O público respondeu aos gritos: “Esta é a voz de um deus, não a de um homem!”
2c0c17007d	Imediatamente, o anjo do Senhor feriu Herodes, pois ele não tinha glorificado a Deus. Ele foi consumido por vermes e morreu.
2c0c18005d	Mas, a palavra de Deus se espalhou e cada vez mais pessoas acreditavam na mensagem do Senhor.
2c0c190069	Assim que terminaram sua missão, Barnabé e Saulo voltaram de Jerusalém, levando João Marcos com eles.
2c0d0100b6	Na igreja de Antioquia havia os seguintes profetas e mestres: Barnabé, Simeão, chamado “o Negro”, Lúcio de Cirene, Manaém (amigo de infância de Herodes, o tetrarca) e Saulo.
2c0d0200a0	Enquanto eles estavam adorando o Senhor e jejuando, o Espírito Santo disse: “Separem Barnabé e Saulo para que façam o trabalho para o qual eu os chamei.”
2c0d03008c	Depois que eles jejuaram, oraram e colocaram as suas mãos sobre eles para abençoá-los, eles enviaram Barnabé e Saulo para a sua missão.
2c0d040086	Então, Barnabé e Saulo, orientados pelo Espírito Santo, foram para Selêucia. De lá, eles partiram de barco para a ilha de Chipre.
2c0d05007e	Chegando na cidade de Salamina, eles anunciaram a palavra de Deus nas sinagogas judaicas. João estava com eles como auxiliar.
2c0d060083	Eles viajaram por toda a ilha e finalmente chegaram a Pafos. Lá, encontraram um mágico judeu, um falso profeta, chamado Barjesus.
2c0d0700a2	Ele era amigo do governador Sérgio Paulo, um homem inteligente. Sérgio Paulo convidou Barnabé e Saulo para visitá-lo, pois ele queria ouvir a palavra de Deus.
2c0d08007e	Mas, o mágico Elimas (este é o nome dele em grego) era contra os apóstolos e tentou evitar que o governador cresse em Deus.
2c0d090061	Então, Saulo, também chamado Paulo, cheio do Espírito Santo, olhou direto para Elimas e disse:
2c0d0a00b4	“Você está repleto de mentiras e de tudo o que é mau. Filho do diabo!, inimigo de tudo o que é justo!, você nunca desistirá de torcer os verdadeiros ensinamentos do Senhor?
2c0d0b00e1	Escute! A mão do Senhor está sobre você e o deixará cego. Você não verá o sol por algum tempo.” Imediatamente, névoa e escuridão cobriram os olhos de Elimas e ele precisou encontrar alguém que o guiasse pela mão.
2c0d0c0086	Quando o governador viu o que havia acontecido, ele creu em Deus e ficou completamente maravilhado com os ensinamentos sobre o Senhor.
2c0d0d00a1	Então, Paulo e os que estavam com ele navegaram da cidade de Pafos para Perge, na região da Panfília. Enquanto isso, João os deixou e voltou para Jerusalém.
2c0d0e0076	Eles passaram por Perge e continuaram até Antioquia da Pisídia. No sábado, eles entraram na sinagoga e se sentaram.
2c0d0f00c2	Após a leitura da Lei e do livro dos Profetas, os líderes da sinagoga mandaram dizer-lhes: “Irmãos, por favor, compartilhem com o povo quaisquer palavras de encorajamento que possam ter.”
2c0d1000b3	Paulo se levantou, fez um sinal com a mão, para pedir a atenção dos que lá estavam, e começou a falar: “Homens de Israel e todos os não-judeus que temem a Deus, ouçam-me!
2c0d1100b4	O Deus do povo de Israel escolheu nossos antepassados e deu ao nosso povo prosperidade durante a sua permanência no Egito. Depois, com o seu grande poder, ele os tirou do Egito e,
2c0d120038	no deserto, aguentou aquela gente durante quarenta anos.
2c0d1300b9	Após ter destruído sete nações que viviam na região de Canaã, Deus dividiu essa terra e deu-a como herança aos israelitas. Tudo isso levou cerca de quatrocentos e cinquenta anos.
2c0d140056	Então, Deus lhes deu juízes para serem seus líderes até o tempo do profeta Samuel.
2c0d150085	A partir daí, as pessoas pediram um rei, e Deus lhes deu Saul, filho de Quis, da tribo de Benjamim. Saul governou por quarenta anos.
2c0d1600cb	Depois, Deus rejeitou Saul e fez de Davi o novo rei. Deus aprovou Davi, dizendo: ‘Encontrei em Davi, filho de Jessé, um homem que está de acordo com o meu coração. Ele fará tudo o que eu quero.’
2c0d170054	Jesus é descendente de Davi. Ele é o Salvador que Deus prometeu ao povo de Israel.
2c0d18005a	Antes de Jesus vir, João anunciou o batismo de arrependimento para todo o povo de Israel.
2c0d1900e6	Quando João já estava quase terminando a sua missão, ele disse: ‘Quem vocês acham que eu sou? Eu não sou aquele que vocês procuram. Mas, depois de mim, virá aquele cujas sandálias eu nem mesmo sou digno de desamarrar.’
2c0d1a0091	Meus irmãos, descendentes de Abraão, e também vocês não-judeus, que são tementes a Deus: a mensagem desta salvação foi enviada para nós!
2c0d1b00d0	O povo que vive em Israel e os seus líderes não reconheceram Jesus e nem compreenderam as palavras dos profetas, que são lidas todos os sábados. Na verdade, eles cumpriram as profecias, ao condenar Jesus.
2c0d1c0086	Mesmo que eles não tenham conseguido encontrar qualquer prova para condená-lo, ainda assim, eles pediram para que Pilatos o matasse.
2c0d1d0076	Depois que fizeram tudo como estava previsto nas Sagradas Escrituras, tiraram Jesus da cruz e o puseram em um túmulo.
2c0d1e0023	Mas, Deus o ressuscitou dos mortos,
2c0d1f00ae	e ele apareceu durante muitos dias para as pessoas que o tinham seguido da Galileia até Jerusalém. Esses seguidores agora são testemunhas que falam sobre Jesus para todos.
2c0d200066	Nós estamos aqui para trazer a vocês as boas novas da promessa que Deus fez aos nossos antepassados.
2c0d2100a9	Promessa que ele cumpriu para nós, seus filhos, ao ressuscitar Jesus. Como está escrito no Salmo número dois: ‘Você é o meu Filho; hoje eu me tornei o seu Pai.’
2c0d22009e	Deus o ressuscitou, para que ele nunca mais morresse, como indicou ao dizer: ‘Eu cumprirei em favor de vocês as santas e fiéis promessas feitas a Davi.’
2c0d23005e	E, em outro salmo também é dito: ‘Não permitirá que o seu Santo apodreça no túmulo.’
2c0d240084	Mas Davi morreu, após ter feito o que Deus queria. Ele foi, então, sepultado com os seus antepassados, e o seu corpo se decompôs.
2c0d25004d	Porém, aquele que Deus ressuscitou não experimentou a decadência do corpo.
2c0d260094	Meus irmãos, quero que entendam que nós estamos lhes dizendo que, por intermédio desse homem, podemos encontrar o perdão para os nossos pecados.
2c0d27009e	Ele torna os que creem nele moralmente justos, libertando-os de tudo que é errado. E isso é feito de uma maneira que nem mesmo a lei de Moisés conseguiria.
2c0d28004d	Tenham cuidado para que não aconteça com vocês o que os profetas disseram:
2c0d2900a4	‘Vocês, que desprezam a Deus, olhem com espanto e morram! Pois eu farei coisas que vocês nunca acreditariam ser possível, mesmo se alguém lhes dissesse!’”
2c0d2a00a1	Quando Paulo e Barnabé estavam saindo da sinagoga, as pessoas pediram que eles voltassem novamente no sábado seguinte, para lhes falar mais sobre essas coisas.
2c0d2b00b8	Depois da reunião na sinagoga, muitos judeus e pessoas convertidas ao judaísmo seguiram Paulo e Barnabé, que falavam com eles, encorajando-os a continuarem firmes na graça de Deus.
2c0d2c005f	No sábado seguinte, quase toda a cidade se reuniu para ouvi-los falar sobre a palavra de Deus.
2c0d2d00ad	No entanto, quando os judeus viram a multidão que estava lá reunida, ficaram com muita inveja e, então, começaram a dizer o contrário do que Paulo dizia e o insultaram.
2c0d2e011a	Então, cheios de coragem, Paulo e Barnabé disseram: “Nós precisávamos anunciar a palavra de Deus primeiro a vocês. Mas, já que a rejeitam, vocês mesmos estão decidindo que não são dignos da vida eterna e, por isso, iremos anunciar a mensagem de Deus para os não-judeus.
2c0d2f00a5	Isso é o que o Senhor nos disse: ‘Eu fiz de você uma luz para os não judeus e, por meio de você, a salvação será levada para todos os cantos do mundo.’”
2c0d3000c9	Quando os não-judeus ouviram o que os apóstolos disseram, eles ficaram muito felizes e começaram a louvar a palavra do Senhor. E, todos os que foram escolhidos para ter a vida eterna creram em Deus.
2c0d310039	Assim, a mensagem de Deus se espalhou por toda a região.
2c0d3200b9	Mas, os judeus incitaram as mulheres religiosas importantes e os líderes da cidade para que perseguissem Paulo e Barnabé. Eles conseguiram que os dois fossem expulsos daquelas terras.
2c0d330084	Os apóstolos tiraram até o pó de suas sandálias, como um sinal de protesto contra eles, e se dirigiram para a cidade de Icônio.
2c0d340062	E os cristãos de Antioquia da Pisídia transbordavam de alegria e eram cheios do Espírito Santo.
2c0e01008f	Em Icônio, Paulo e Barnabé foram para a sinagoga judaica e falaram de forma tão convincente que muitos judeus e não-judeus creram em Jesus.
2c0e020078	Mas, os judeus que se recusaram a crer em Jesus atiçaram os sentimentos dos pagãos e os colocaram contra os que criam.
2c0e0300d4	Paulo e Barnabé ficaram lá por um longo tempo, falando para eles com muita coragem sobre o Senhor. E Jesus confirmava a mensagem de graça que eles anunciavam dando-lhes poder de realizar milagres e maravilhas.
2c0e040082	Os moradores da cidade ficaram divididos: alguns apoiavam os judeus que não acreditaram, enquanto outros defendiam os apóstolos.
2c0e050074	Mas, então, os pagãos e os judeus, juntamente com os seus líderes, decidiram atacar e apedrejar Paulo e Barnabé.
2c0e060070	Entretanto, eles ficaram sabendo disso e fugiram para a região da Licaônia, para as cidades de Listra e Derbe,
2c0e07003b	onde continuaram a anunciar as boas novas do Reino de Deus.
2c0e080075	Na cidade de Listra, havia um homem que era aleijado dos pés. Ele nasceu aleijado e nunca tinha sido capaz de andar.
2c0e09008a	Ele se sentou para ouvir Paulo falar. Quando Paulo olhou diretamente para ele e percebeu que o homem acreditava que Deus poderia curá-lo,
2c0e0a0055	Paulo disse em voz alta: “Fique em pé!” O homem deu um salto e começou a andar.
2c0e0b009b	Quando a multidão que lá estava viu o que havia acontecido, gritaram em sua língua: “Os deuses tomaram a forma humana e desceram do céu até nós!”
