0100000009	ኡመመ
17060a00f8	ቀልቢ ሰበ ከና ዶምስ፤ ጉረሳኒ ጩቃል፤ እጀሳኒስ ጩፍ። ዮ ከና አቺ እሳን እጀ ኦፊሳኒቲን አርገኒ ጉረሳኒቲን ዸገአኒ ቀልቢሳኒቲን ሁበተኒ ዴብአኒ ፈዩ።”
17060b0138	አን፣ “ያ ጎፍታ፣ ወን ኩን ሀመ ዮሚት አከነ ተአ?” ነንጄዼ። እንስ አከነ ጄዼ ዴብሴ፦ “ሀመ መጋላወን ዲገመኒ ነመ እሳን ኬሰ ጅራቱ ዸበንት፣ ሀመ መኔን ኦነኒ ለፍት ቆቲሳስ በርበዳኤ ዱዋ ሀፉት፣
17060c006d	ሀመ ዋቀዮ ነመ ሁንደ ፈጌሴ ለፍት ሱን ጉቱማን ጉቱት ደገተሙት ተአ።
17060d0104	ኩዸን ኬሳ ቶኮ ዮ ሀፌዩ፣ ብይ ሱን አመሌ ዴብቴ ኦንት። ገሩ አኩመ ሙክን ላፍቶቲፊ ቅልጡ፣ ዮ ሙረን ጉፉንሳ ለቱ ሰነ አከሱመ ሰኚን ቁልቁሉን ጉፉ ተኤ አችት ሀፈ።”
170701011a	በረ ኣሃዝ እልም ዮታም፣ እልም ኡዝያን ሞቲ ይሁዳ ቱሬት፣ ሬዚን ሞትች ሶርያቲፊ ጴቃን እልም ሬማልያ ሞትች እስራኤል ዬሩሳሌሚን ሎሉፍ እት ዱለን፤ ገሩ እሼ ሞአቹ ህንደንዴኜ።
1707020106	ዬሮ ከነትስ፣ “ሶርያን ኤፍሬም ወጅን ቶኩማ ኡመቴርት” ጄዸኒ መነ ዳዊትት ህመን፤ ከናፉ ገራን ኣሃዚቲፊ ገራን ሰበሳ አኩመ ሙክን ቦሶና ቡቤዻን ራፈሙ ሰነ ራፈሜ።
170703010e	ከነረት ዋቀዮ እሳያሲን አከነ ጄዼ፤ “አቲፊ እልምኬ ሼአር-ያሹብ ዹመ ጀልእሲ ሀሮ ኦል ኣኑ ከን ከራ ለፈ ቆቲሳ ነምቸ ወያ ሚጩት ጌሱ ሰነ ብረት ኣሃዝን ስመቹፍ ገድ በኣ።
170704014f	አከነ ጄዺን፤ ‘ኦፍ ኤገዹ፤ ጨልእስ፤ ህንሶዳትን። አት ሰበቢ ጉፉወን ሙከ እብዳ ከኔን ሴቃ ጅረን ለማን ከኔኒቲፍ ጄቹንስ ሰበቢ ኣሪ ሬዚን ከን ሶርያቲፊ ኣሪ እልመ ሬማልያ ሀማ ሰናቲፍ ጄቴ አብዲ ህንኩተትን።
1707050073	ሶርያን፣ ኤፍሬሚፊ እልም ሬማልያ አከነ ጄዸኒ በዲሰኬቲፍ መርአተኒሩ፤
1707060095	“ኮታ ይሁዳት ዱላ፤ ኮታ እሼ ኩኩትኔ ገርገር ቆደትና፤ እልመ ጣብኤልስ እሼረት ሞስፈትና።”
1707070079	ተኡስ ዋቀዮ ጎፍታን አከነ ጄዸ፦ “‘ወን ኩን ህንራወቱ፤ ወን ኩን ህንተኡ፤
17070800c3	መታን ሶርያ ደማስቆዻቲ፤ መታን ደማስቆሞ ሬዚኒዸ። ወጋ ጃተሚ ሸን ኬሰት፣ ኤፍሬም ንብትናአ፤ ሰበ ቶኮ ተኡንሳስ ንሀፈ።
17070900d1	መታን ኤፍሬም ሰማርያዸ፤ መታን ሰማርያሞ እልመ ሬማልያት። እስን ዮ አመንቲኬሰኒን ጀባተኒ ዻበቹ ባተን፤ ዮምዩ ህንዻበተን።’”
17070a003e	ዋቀዮ አመሌ አከነ ጄዼ ኣሃዝት ዱበቴ፤
17070b009a	“ቅሌ አከ መሌ ገድ ፈጎ ኬሰት ዮካን ሰሚ አከ መሌ ኦል ፈጎ ኬሰት፣ ዋቀዮን ዋቀኬ መለቶ ጋፈዹ።”
17070c005a	ኣሃዝ ገሩ፣ “አን ህንጋፈዹ፤ ዋቀዮንስ ህንቆሩ” ጄዼ።
17070d00a5	እሳያስስ አከነ ጄዼ፤ “ያ መነ ዳዊት ሜ ዸገኣ! እስን ኦብሰ ነማ ቆሩን እስን ሀንቀቴ ኦብሰ ዋቀኮ ቆርቱ?
17070e00ba	ከናፉ ጎፍታን መታንሳ መለቶ እስኒፍ ኬነ፦ ኩኖ ዱርብ ቶኮ ንኡልፎፍት፤ እልመ ንዴስ፤ አማኑኤል ጄቴስ እሰ ሞጋፍት።
17070f0065	እን ዬሮ ዋን ሀማ ለገቴ ዋን ጋሪ ፍለቹ ቤኩት እትቱፊ ደመ ኛተ።
17071000a5	ገሩ ኡቱ ሙጫን ሱን ዋን ሀማ ለገቴ ዋን ጋሪ ፍለቹ ህንቤክን ዱረ ብይ ሞቶተ ለማን አት ሶዳቴ ሰና ንኦነ።
17071100dc	ዋቀዮ ኤርገ ኤፍሬም ይሁዳራ ጭቴ ጀልቀቤ በረ ተኩማ ተኤ ህንቤክን ቶኮ ስት፣ ሰበኬቲፊ መነ አባኬቲት ንፍደ፤ ጄቹንስ ሞቲ አሶር ንፍደ።”
170712008c	በረ ሰነ ኬሰ ዋቀዮ ትሲሶተ ቡርቃ ለገ ግብጥ ኬሰ ጅረኒፊ ከኒሶተ ብየ አሶር ሲቅሴ ዋመ።
1707130095	ሁንድሳኒ ዹፈኒ ዾቀ ለፋ ኬሰ፣ ሆልቀ ከታ ኬሰ፣ ደገለ ቆራቲቲፊ ቦለ ብሻኒ ሁንደ ኬሰ ቁበቱ።
17071400c7	በረ ሰነ ኬሰ ጎፍታን ሃዱ ለገ ገማ ክሬፈቴን ጄቹንስ ሞቲን አሶር ርፌንሰ መታኬሰኒ ርፌንሰ ሚለኬሰኒቲፊ አሬደኬሰን ንሃደ።
1707150057	በረ ሰነ ኬሰ ነምን ቶኮ ጎሮምሰ ቶኮፊ ሆላ ለመ ቀባተ።
17071600af	ሰበቢ ባይእነ ኣነን እሳን ኬነኒፍ፣ እን እትቱ ሶረቱ ቀባተ። ነምን ብየ ሰነት ሀፉ ሁንድኑ እትቱፊ ደመ ኛተ።
17071700b4	በረ ሰነ ኬሰ፣ ለፈ ሙኬን ወይኒ ኩምን ቶኮ ከኔን ሜቲ ሰቅሊ ኩመ ባሰን ጅረን ሁንደረ ሶኮሩፊ ቆራቲ ቆፈቱ ጅራተ።
1707180083	ሰበቢ ለፍት ሱን ሶኮሩፊ ቆራቲን ጉተሜፍ፣ ነሞትን እዳፊ ጥየ ቀበተንዩ አች ዸቁ።
17071900f9	አት ሰበቢ ሶኮሩፊ ቆራቲ ሶዳቱፍ ስአች ገረ ጋረን ከናን ዱረ ገሶን ሶቀማ ቱረን ሰና ህንዸቅጡ፤ እሳን ለፈ ሎን እት ቦበአኒፊ ለፈ ሆሎትን ኬሰ ቡራቀን ተኡ።
17080100af	ዋቀዮ አከነ ናን ጄዼ፤ “ገበቴ ጉዳ ቶኮ ፉዺቲ እሰረት፣ ‘መሄር-ሻላል-ሃሽ-ባዝ’ ጄዺ ቁቤ ቤከማዻን በሬስ።”
1708020099	አንስ አከ እሳን ዹገ ባቶተ አመነሞ ተአኒፍ ኡርያ ሉብቻፊ ዘካርያስ እልመ ዬቤሬክያ ነንዋመዸ።
17080300c3	አንስ ራጅቲ ብረ ነንገኤ፤ እሼንስ ኡልፎፍቴ እልመ ዴሴ። ዋቀዮ አከነ ናን ጄዼ፤ “መቃሳ መሄር-ሻላል-ሃሽ-ባዝ ጄዺ ሞጋስ።
17080400b4	ኡቱ ሙጫን ኩን ‘ኣቦ’ ዮካን ‘ኣዮ’ ጄቹ ህንቤክን ዱረ ቀቤኝ ደማስቆቲፊ ቦጁን ሰማርያ ሞቲ አሶሪን ፉዸተመ።”
1708050038	ዋቀዮ አመስ አከነ ጄዼ ነት ዱበቴ፦
1708060084	“ሰብን ኩን ብሻን ሽሎኣ ከን ሱተ ያኡ ሰነ ዺሴ ሬዚኒፊ እልመ ሬማልያት ገመዴራቲ፤
17080700fe	ከናፉ ጎፍታን፣ ሎላ ጉዳ ከን ለገ ኤፍራጢስ ጄቹንስ ሞቲ አሶር ኡልፍነሳ ሁንደ ወጅን ሰበ ከነት ፍደ። ሎላን ሱንስ ጉቴ ቦኦሳረ ያኤ ኤዴደሳ ሁንደረ ዸንገለአ።
17080800f4	ሎላን ሱንስ ሀመ ሞርመ ገኡት ጉቴ እረ ዸንገለኤ ኬሰ ደርቡዻን ዋን ሁንዱማ ሀጣኤ ይሁዳት ጌሰ። ያ አማኑኤል! ቆቾንሳ በልእፈሜ ጉቱማ ብየኬቲ ንሀጉገ።”
17080900d1	ያ ሰቦተ፣ ቡርኩታኣ! እስን ወር ብየ ፈጎ ጅርተን ሁንድ ዸጌፈዻ። ወራናፍ ህዸዻ፤ ተኡስ ቡርኩታኣ! ወራናፍ ህዸዻ፤ ተኡስ ቡርኩታኣ!
17080a0089	መርአዻ፤ ገሩ ፋይዳ ህንቀቡ፤ ከሮርፈዻ፤ ገሩ ፊጣን ህንበኡ፤ ዋቅን ኑ ወጅን ጅራቲ።
17080b009f	ዋቀዮ ሀርከሳ ጀባ ሰናን ነት ዱበቴ አከ አን ከራ ሰበ ከናረ ህንዴምኔፍ አከነ ጄዼ ነ አኬከቺሴራቲ፦
17080c00b2	“እስን ዋን ኡመትን ኩን ፍንጭለ ጄዹ ሁንዳን ፍንጭለ ህንጄዽና፤ ዋን እሳን ሶዳተን ህንሶዳትና፤ ህንራፈምና።
17080d00e3	ከን እስን አከ ቁልቁሉት እላሉ ቀብደን ዋቀዮ ዋን ሁንደ ደንደኡ ቶክቸ፤ ከን እስን ሶዳቹ ቀብደን እሱመ፤ ከን እስን ሆለቹፊ ቀብደንስ እሱመ።
17080e00df	እን እዶ ቁልቁሉ ተአ፤ መኔን እስራኤል ለማኒፍ ገሩ እን ዸጋ ነመ ጉፈቺሱ፣ ከታ ነመ ኩፍሱ ተአ። ሰበ ዬሩሳሌምት ገሩ እን ክዮፊ ፉታሳ ተአ።
17080f0064	ሄዱንሳኒ ንጉፈቱ፤ እሳን ኩፈኒ ጨጨቡ፤ ፉታሳ ሴነኒ ቀበሙ።”
1708100076	ዹገ በኡምሰ ከነ ወልት ቀብሲስ፤ ሴረ ከነስ በረቶተኮ ግዱት ቻፓዻን ጩፍ።
1708110076	ዋቀዮ መነ ያቆብ ዱራ ፉለሳ ዾክፈቴ ሰነ ነንኤገዸ። አን እሰ ነንአመነዸ።
17081200c7	አኒፊ እጆሌን ዋቀዮ ና ኬኔ ኩኖት። ኑ እስራኤል ኬሰት ዋቀዮ ዋን ሁንደ ደንደኡ ከን ቱሉ ጥዮንረ ጅራቱ ሰናፍ መለቶፊ ፈኬኘ።
170813011e	ዮሙ ነምን ቶኮ ዸቃቲ እላልቶታፊ ኤኬር ዱብስቶተ ከኔን ሀሳሰኒፊ ጉንጉመን ዋ ጋፈዻ እስኒን ጄዹት ሰብን ቶኮ ዋቀሳ ጎርሰ ጋፈቹ ህንቀቡ? እሳን ዋኤ ጅራቶታ ማሊፍ ወረ ዱአን ጋፈቱ?
170814009e	አከ ሴራፊ ዹገ በኡምሰ ሰናት ጅራዻ! እሳን ዮ አከ ዱቢ ከናት ዱበቹ ባተን እፈ በሪ ህንቀበን ጄቹዸ።
17081500b5	እሳን ረክነ ጉዳፊ ቤላን ብየ ኬሰ ጆሩ፤ ዮሙ ቤለአንትስ አከ መሌ ኣረኒ፣ ኦል እላለኒ ሞቲሳኒቲፊ ዋቀሳኒ አባሩ።
17081600a0	ኤርገሲስ ገረ ለፋ እላለኒ ረክነ ጉዳ፣ ዱከናፊ ሁሪ ሶዳችሳ አርጉ፤ እሳንስ ዱከነ ሀማት ደርበተሙ።
1709010155	ወር ረክነ ጉዳ ኬሰ ቱረን ገሩ ስአች ገደ ኬሰ ህንጅራተን። እን ዱራን ብየ ዜቡሎኒፊ ብየ ንፍታሌም ገድ ዴብሴ፤ ገረ ፉልዱራት ገሩ ገሊላ ነሞተ ኦርማ ከን ዮርዳኖሲን ገመ፣ ቀርቀረ ዳንዲ ገላናረ ጅረን ሰነ ንከበጀ።
1709020095	ሰብን ዱከነ ኬሰ ጅራቱ እፈ ጉዳ አርጌረ፤ ወረ ብየ ዱከነ ልምጢ ኬሰ ጅራተኒፍስ እፍን በኤረ።
1709030109	አት ሰበ ባይእፍቴ ገመቹሳኒሌ ጉድፍቴርተ፤ እሳን አኩመ ኡመትን ዬሮ ምዻን ሃመሙት ገመዱ ሰነ፣ አኩመ ነሞትን ዬሮ ቦጁ ቆደተንት ገመደን ሰነ ፉለኬ ዱረት ንእልልቹ።
17090400b2	አት አኩመ በረ ምድያን ሞአተሜ ሰና፣ ዋንጆ እሳንት ኡልፋቴ ሶማ ገቲቲሳኒራ ኡሌ ጩንቁርሳሳኒሌ ጨጨብስቴርተ።
17090500a1	ኮጴን ሎልቱን እቲን ዱልቴ ሁንድ፣ ኡፈትን ዺገ ኬሰ ጩጰሜ ሁንድ እብዳን ጉበመ፤ ቆራን እብዳስ ተአ።
17090600e3	ሙጫን ኑፍ ዸለቴረ፤ እልም ኑፍ ኬነሜረ፤ ሞቱማን ገቲቲሳረ ጅራተ። እንስ ጎርሳ ድንቅሲሳ፣ ዋቀ ጀባ፣ አባ በረ በራ፣ ሞቲ ነጋ ጄዸሜ ንዋመመ።
1709070155	በበልእን ሞቱማሳቲፊ ነጋንሳ ዹመ ህንቀቡ። እንስ ሙርቲ ቀጄላፊ ቀጄሉማዻን ሁንዴሴ ጀቤሴ ዻቡዻን ዬሮ ሰና ጀልቀቤ በረ በራን ቴሶ ዳዊትረ ታኤ ሞቱማሳ ቡልቸ። ህናፋን ዋቀዮ ዋን ሁንደ ደንደኡስ ዋን ከነ ንራወተ።
1709080061	ጎፍታን ዻምሰ ቶኮ ያቆብት ኤርጌረ፤ ኩንስ እስራኤልረ ቡአ።
17090900ab	ኡመትን ሁንድ፣ ኤፍሬሚፊ ጅራቶትን ሰማርያ ዋን ከነ ንቤኩ፤ እሳንስ ኦፍ ቱሉፊ ገራ ኦፍ ጀጁን አከነ ጄዹ፤
17090a00ba	“ጡቢወን ዲገመኒሩ፤ ኑ ገሩ ዸጋ ሶፈሜን ዴብስኔ እጃረ፤ ሙኬን ሀርቡ ሙርሙረመኒሩ፤ ኑ ገሩ ብርብርሰ እዶ ቡስነ።”
17090b0074	ከናፉ ዋቀዮ አመጃጆተ ሬዚን እሳንት ጀቤሴ፤ ዲኖተሳኒሌ እሳንት ከካሴ።
17090c0113	ወር ሶርያ ገመ በኣቲን፣ ፍልስጤሞትንሞ ገመ ልጣቲን አፋን በነተኒ እስራኤልን ልቅምሰን። ከነ ሁንዳንሌ ዼከምስሳ ህንቀበኖፍኔ፤ ሀርክሳስ አመዩ አኩመ ኦል ካፈሜት ጅረ።
17090d009e	ሰብን ሱን ገሩ ገረ እሰ እሳን ዸኤ ሰናት ህንዴብኔ ዮካን ዋቀዮ ዋን ሁንደ ደንደኡ ህንበርባደትኔ።
17090e0083	ከናፉ ዋቀዮ እስራኤልራ መታፊ ኤጌ ኩተ፤ ደሜ ሜጢቲፊ ሸምበቆ ጉዩመ ቶኮን በሌሰ፤
17090f0069	ማንጉዶትኒፊ ከበጀሞትን መታዸ፤ ራጆትን ሶበ በርሲሰንሞ ኤጌዸ።
1709100085	ነሞትን ሰበ ከነ ቀጄልቸን እሳን ዶጎጎርሱ፤ ወር እሳኒን ቀጄልፈመንስ ከራራ በዱ።
170911018c	ከናፉ ጎፍታን ደርገጎተት ህንገመዱ ዮካን እጆሌ አባ ህንቀብኔፊ ሃዾተ ህዬሳቲፍ ህንነኡ፤ ነምን ሁንድኑ ከን ዋቀ ህንሶዳትኔፊ ሀማዻቲ፤ አፋን ሁንድኑስ ሀማ ዱበተ። ከነ ሁንዳንሌ ዼከምስሳ ህንቀበኖፍኔ፤ ሀርክሳስ አመዩ አኩመ ኦል ካፈሜት ጅረ።
17091200c3	ሀምን ዹጉማን አከ እብዳ ቦበአ፤ እን ሶኮሩፊ ቆራቲሌ ጉቤ በሌሰ፣ ቦሶነ ጎቡስ ንቀበተ፤ አኩመ ኣረ ኦል በኡትስ ኦል በአ።
17091300c6	ዼከምሰ ዋቀዮ ዋን ሁንደ ደንደኡቲን ለፍት ንጉበት፤ ነሞትንስ ቆራን እብዳ ተኡ፤ ነምን ከምዩ ኦቦሌሰሳ ኦልቹ ህንደንደኡ።
17091400ba	ከራ ምርጋቲን ንቡተቱ፤ ገሩ ቤለ ህንበአን፤ ከራ ብታቲን ንኛቱ፤ ገሩ ህንቁፈን። ቶኮን ቶኮንሳኒ ፎን ኣንቴሳ ኛተ፤
1709150103	ምናሴን ኤፍሬምን ኛተ፤ ኤፍሬምስ ምናሴ ኛተ፤ እሳን ቶኩማዻን ይሁዳት ገረገሉ። ከነ ሁንዳንሌ ዼከምስሳ ህንቀበኖፍኔ፤ ሀርክሳስ አመዩ አኩመ ኦል ካፈሜት ጅረ።
170a010062	ወረ ሴረ ጀልኣ ባሰን፣ ከኔን ለብሲ ጩንቁርሳ ለብሰኒፍ ወዮ፤
170a0200b7	እሳን ሙርቲ ረከቶታ ጀልእሱ፤ ምርገ ህዬዪ ሰበኮስ ንዺቡ፤ ሃዾተ ህዬሳ ቦጁ ጎዸቱ፤ እጆሌ አባ ህንቀብኔስ ንሳሙ።
170a0300ae	እስን ዬሮ በዲስን ፈጎዻ ዹፉ ጉያ አደቢት ማል ጎቱ? ገርጋርሰ አርገቹፍ ኤኙት በቀቱ? ቀቤኘኬሰን ኤሰት ዺፍቱ?
170a0400fc	ወረ ቦጅአመን ጀለ ጉጉፉ ዮካን ወረ አጄፈመን ጀለት ኩፉ መሌ ሆምቱ ህንሀፉ። ከነ ሁንዳንሌ ዼከምስሳ ህንቀበኖፍኔ፤ ሀርክሳስ አመዩ አኩመ ኦል ካፈሜት ጅረ።
170a05007a	“አሶርቸ እሰ ኡሌ ኣሪኮቲ ተኤፍ፣ እሰ ቦኩን ዼከምሰኮቲ ሀርከሳ ጅሩፍ ወዮ!
170a0600f2	አን አከ እን እሳን ሳሙፊ ቦጅኡፍ አከ እን አኩመ ዾቄ ከራራ ለፈት እሳን ዽዺቱፍ ሰበ ዋቀት ህንቡሌት እሰ ነንኤርገ፤ ኡመተ ነ ኣርሱትስ እሰ ነንአጀጀ።
170a0700a8	ገሩ ኩን ዋን እን ያዱ ምት፤ ያድን አከሲስ ገራሳ ኬሰ ህንጅሩ፤ ካዮንሳ በርበዴሱዸ፤ ሰበ ባይኤስ ፍጡዸ።
170a080052	እንስ አከነ ጄዸ፤ ‘አጀጆትንኮ ሁንድኑ ሞቶተ ምቲ?
170a09008c	ካልኖትን አኩመ ከርኬሚሽ ምቲ? ሀማት አኩመ አርፋድ ምቲ? ሰማርያንስ አኩመ ደማስቆ ምቲ?
170a0a009d	አኩመ ሀርክኮ ሞቱሞተ ዋቆተ ቶልፈሞ ከኔን ፈኪወን ሶፈሞ ከን ዬሩሳሌሚፊ ሰማርያ ጫለን ቀቤ ሰነ፣
170a0b007f	አን ዋነን ሰማርያፊ ፈኪወንሼ ጎዼ ሰነ ዬሩሳሌሚፊ ዋቆተሼ ቶልፈሞ ህንጎዹ?’”
170a0c011e	ጎፍታን ዬሮ ቱሉ ጥዮንረቲፊ ዬሩሳሌም ኬሰት ሆጂሳ ሁንደ ፍጠቱት አከነ ጄዸ፤ “አን ሰበቢ ኦፍ ጀጁ ገራሳቲፊ እላልቸሳ ከን ኦፍ ቱሉማን ጉተሜ ሰናቲፍ ጄዼ ሞትቸ አሶር ነንአደበ።
170a0d0162	እን አከነ ጄዻቲ፦ “‘አን ጀብነ ሀርከኮቲን ዋን ከነ ሆጄዼረ፤ አን ሰበቢን ሁበትና ቀቡፍ፣ ኦጉማኮቲን ሆጄዼረ። አን ዳንጋ ሰቦታ እዶዻ ቡቅሴረ፤ ቀቤኘሳኒሌ ሳሜረ። አኩመ ነመ ጀባ ቶኮ አን ሞቶተሳኒ ኦፍ ጀለ ገልፈዼረ።
170a0e017f	አኩመ ነምን ቶኮ መንኤ ስምብራ ኬሰ ሀርከ ካኡ ሰነ አንስ ሀርከኮ ቀቤኘ ሰቦታ ኬሰ ነንካአ፤ አኩመ ነሞትን ሀንቃቁ ደገተሜ ወልት ቀበን ሰነ፣ አንስ ብየ ሁንደ ወልት ነንቀቤ፤ ከን ቆቾ ሁርጉፈቴ፣ ዮካን ወጩፍ አፋን በነቴ ቶኮዩ ህንቱሬ።’”
170a0f0153	ቆቶን ነመ እቲን ዋ ሙሩት ንኮራ? ዮካን ወን እቲን ዋ ሙረን ነመ እት ፈየደሙት ኦፍ ጀጃ? ኩንስ አከ ዋን ኡሌን ቶኮ ነመ እሰ ቀበቱት ኦፍ ምርምርሱት፤ ዮካን አኩመ ቦኩን ቶኮ አከ ዋን ሙከ ህንተእኒት ኦል ኦፍ ጉድሱት!
170a1000f8	ከናፉ ጎፍታን፣ ዋቀዮ ዋን ሁንደ ደንደኡ፣ ሎልቶተ ገገበተን ከነት ዹኩበ ነመ ሁቅሱ ንኤርገ፤ ኡልፍነሳ ጀላንስ እብድ ቶኮ አኩመ አረበ እብዳ ንቀብሲፈመ።
170a1100bd	እፍን እስራኤል እብደ፣ ቁልቁልችሳኒ ሱንስ አረበ እብዳ ተአ፤ እብድ ሱን ጉዩመ ቶኮን ቆራቲሳቲፊ ሶኮሩሳ ጉቤ በሌሰ።
170a1200be	አኩመ ነምን ቶኮ ዬሮ ዹኩብሰቱ ሁቀቱ ሰነ፣ እብድ ሱን ኡልፍነ ቦሶናሳቲፊ ለፈ ቆቲሳ ገበታ፣ ሉቡፊ ፎንስ ንበርበዴሰ።
170a130087	ሙኬን ቦሶነሳ ኬሰት ሀፈን ዋን አከ መሌ ሙራሰ ተአኒፍ ሙጫን ቶኮ ገልሜሱ ንደንደአ።
170a1400ed	በረ ሰነ ኬሰ ሀምባን እስራኤል፣ መነ ያቆብ ኬሳ ወር ሀፈን፣ ዹጉማን ዋቀዮ ቁልቁልቸ እስራኤል አብደቱ መሌ ለመተ እሰ እሳን ዸኤ ሰነ ህንአብደተን።
170a15005c	ሀምባን ቶኮ፣ ሀምባን ያቆብ ገረ ዋቀ ጀባ ሰናት ንዴብአ።
170a1600bd	ያ እስራኤል፣ ዮ ሰብንኬ አኩመ ጭረቸ ቀርቀረ ገላና ተኤዩ፣ ሀምባ ቆፈቱ ዴብአ። በዲስን ቀጄሉማዻን ጉተሜ ለብሰሜረ።
170a170072	ጎፍታን፣ ዋቀዮ ዋን ሁንደ ደንደኡ በዲሰ ለፈ ሁንደት ለብሰሜ ንራወተ።
170a180133	ከናፉ ጎፍታን፣ ዋቀዮ ዋን ሁንደ ደንደኡ አከነ ጄዸ፦ “ያ ሰበኮ ወር ጥዮን ኬሰ ጅራተን፣ ወረ አሶር ከኔን ኡሌዻን እስን ሩኩተን፣ ከኔን አኩመ ወረ ግብጥ ቦኩ ኦል እስንት ፉዸተን ህንሶዳትና።
170a19007f	ኣሪን አን እስንት ኣሬ ደፌ ቀበናአ፤ ዼከምስኮስ እሳን በሌሱፍ እት ገረገለ።”
170a1a00e8	ዋቀዮ ዋን ሁንደ ደንደኡ ሱን፣ አኩመ ከታ ሄሬብ ብረት ምድያንን ቀጬን ገረፌ ሰነ፣ አኩመ ብየ ግብጥ ኬሰት ጎዼ ሰነ፣ ኡሌሳ ብሻንረት ኦል ፉዸተ።
170a1b00b7	ጋፈስ በኣንሳኒ ገቲቲኬሰንራ፣ ዋንጆንሳኒስ ሞርመኬሰንራ ፉዸመ፤ ዋን እስን አከ መሌ ገበተኒፍ ዋንጆን ንጨጨበ።
170a1c008c	እሳን ገረ አየት ሴነን፤ ምግሮን ኬሰ በአን፤ ኛታፊ ህዸተሳኒስ ምክማስ ኬሰት ኩፍተን።
170a1d00a0	እሳን ከራ ቀልኣረ በአኒ፣ “ኑ ጌባ ቁበትኔ ቡለ” ጄዸን። ራማን ንሶዳት፤ ግቤኣን ሳኦልስ ንበቀት።
170a1e006b	ያ እንተለ ገሊም፣ እይ! ያ ላይሻ ዸጌፈዹ! ያ አናቶት ዴቢ እሼፍ ኬን!
170a1f0064	ማድሜናን በቀታ ጅርት፤ ኡመትን ጌቢምስ በቀቹፍ ወልት ቀበመ።
170a200086	እሳን ሀርአ ኖብ ገኡ፤ እሳን ቱሉ እንተለ ጥዮንት፣ ጋረ ዬሩሳሌምት ሀርከሳኒ ራሱ።
170a2100d0	ኩኖ ጎፍታን፣ ዋቀዮ ዋን ሁንደ ደንደኡ፣ ሁምነ ጉዳዻን ደሜወን ሙርሙረ፤ ሙኬን ጉርጉዳን ንጭጭረሙ፤ ሙኬን ዼዼሮንስ ገድ ቀበሙ።
170a220067	እን ቦሶነ ጎቡ ቆቶዻን ጭረ፤ ልባኖንስ ፉለ ዋቀ ጀባ ዱረት ኩፈ።
170b010069	ለታን ቶኮ ጅርመ እሴይራ ንለተ፤ ህደሳራስ ደሜን ቶኮ እጀ ነቀተ።
170b0200b9	ሀፉር ዋቀዮ፣ ሀፉር ኦጉማቲፊ ሁበትና፣ ሀፉር ጎርሳቲፊ ሁምና፣ ሀፉር ቤኩምሳቲፊ ከን ዋቀዮን ሶዳቹ እሰረ ቁበተ፤
170b0300b9	እን ዋቀዮን ሶዳቹት ንገመደ። እን ዋኑመ እጅሳ አርጉን ሙርቲ ህንኬኑ፤ ዮካን ዋኑመ ጉረሳቲን ዸገኡን ህንሙርቴሱ፤
170b0400f8	ገሩ ነመ ረከታፍ ቀጄሉማዻን ሙርቴሰ፤ ህዬዪ ለፈራቲፍስ ሙርቲ ቀጄላዻን ሙርቲ ኬነ። እን ኡሌ አፋንሳቲን ለፈ ሩኩተ፤ ሀፉረ አፋንሳቲ በኡን ሀሞተ ንፍጠ።
170b050056	ቀጄሉማን ቴጰ ሙዺሳት፤ አመነሙማንሞ ሰበተ ሙዺሳት።
170b0600da	ዬዪን ጦባላ ሆላ ወጅን ጅራተ፤ ቄረንስ እልሞ ሬኤ ብረ ጪሰ፤ ጀቢን፣ ሌንጪፊ ሆሪን ገበታን ወሊ ወጅን ቦበኡ፤ ሙጫን ጥናን እሳን ቦባሰ።
170b070087	ሳን አማኬተ ወጅን ሶረተ፤ እልማንሳኒ ወል ጭነ ጭጪሱ፤ ሌንጭስ አከ ሰንጋ ጭዲ ኛተ።
170b080067	ዳእምን ቦለ ቦፋረ ተጰተ፤ ሙጫን ጥናን ቦለ ቡቲ ኬሰ ሀርከ ካአ።
170b0900d4	እሳን ቱሉወንኮ ቁልቁሎተ ሁንደረት ዋ ህንሚዸን ዮካን ዋ ህንበሌሰን፤ አኩመ ብሻን ገላነ ጉቱ ሰነ ለፍት ዋቀዮን ቤኩዻን ጉተምቲቲ።
170b0a00c3	በረ ሰነ ኬሰ ህድ እሴይ አኩመ ፋጂት ኡመታፍ ዻበተ፤ ሰቦትን ገረሳት ወልት ቀበሙ፤ ለፍት እን ቦቆቱስ ኡልፍነ ቀቤሰ ተአ።
170b0b011e	ጋፈስ ጎፍታን ዬሮ ለመፋፍ ሀርከሳ ድሪርሴ አሶርራ፣ ግብጥ ገዲራ፣ ግብጥ ኦሊራ፣ እቶጵያራ፣ ኤላምራ፣ ባብሎንራ፣ ሀማቲፊ ብዮተ ብሻን ግዱ ገላናራ ሀምባወን ሰበሳ ወልት ቀበተ።
170b0c00c4	እን ሰቦታፍ ፋጂ ኦል ካሴ ቦጅአምቶተ እስራኤል ወልት ቀበ፤ እን ሮገ ለፋ አፍረንራ ሰበ ይሁዳ ከን ብትናኤ ቱሬ ወልት ቀበ።
