280000000f	मत्ती
2b06100087	ज़ैखन ड्लोझ़ भोइ, त तैसेरे चेले समुन्दरेरे बन्ने जे।
2b06110142	ते किश्ती मां च़ेढ़तां समुन्दरेरे पार कफरनहूम नगर जो च़ले, तैस वक्ते आंधरू भोरू थियूं, ते यीशु हेजू तगर तैन कां न थियूं ओरो।
2b0612009e	ते बड़ी तेज़ हवा च़लोरी थी ते समुन्दरे मां छ़ेल्ली उठने लेइ।
2b06130124	ज़ैखन तै लगभग ट्लाई च़ेव्रे मील नेड़े अव, त तैनेईं यीशु समुन्दरे पुड़ च़लतो लाव ते किश्तरे नेड़े एइतो लाव ते डरे।
2b06140069	पन यीशुए तैन सेइं ज़ोवं, “अवं आईं डरा न।”
2b06150113	ते तै तैस किश्ती मां च़ड़नेरे लेइ तियार भोव, ते तैखने किश्ती तैस ठैरी पुड़ पुज़ी ज़ैड़ी तैना च़लोरे थिये।
2b061601f7	दुइयोवं दिहाड़े तैस मैन्हु केरि भीड़ां ज़ै समुन्दरेरे पार खड़ी थी, इन हेरतां कि एक्की किश्तरे अलावा होरि कोई न थी, यीशु अपने चेलन साथी तैस किश्ती पुड़ न च़ढ़ोरो थियो, पन सिर्फ तैसेरे चेले थिये।
2b06170108	(तैखन होरि किश्ती तिबिरियुस नगरेरां तैस ठैरी एई, ज़ैड़ी तैनेईं प्रभुएरू शुक्र केरतां रोट्टी खोरी थी)
2b0618017a	एल्हेरेलेइ ज़ैखन लोकेईं हेरू कि इड़ी न यीशु ते न तैसेरे चेले, ते तैना फिरी तैना निक्की-निक्की किश्तन पुड़ च़ेढ़तां यीशु तोपते कफरनहूम नगर ए पुज़े।
2b061900c8	समुन्दरेरे पार ज़ैखन तैना तैस मैल्ले त तैने ज़ोवं, “हे गुरू, तू इड़ी कताली अव?”
2b061a017d	यीशुए तैन जुवाब दित्तो, “अवं तुसन सेइं सच़-सच़ ज़ोताईं, तुस मीं एल्हेरेलेइ न तोपथ कि तुसेईं चमत्कार लाव, बल्के एल्हेरेलेइ कि रोट्टी खेइतां रज़्ज़े।
2b061b0204	नाश भोनेबैली रोट्टरे लेइ मेहनत न केरा। पन तैस रोट्टरे लेइ मेहनत केरा ज़ै हमेशारी ज़िन्दगी देतीए, ज़ै मैनेरू मट्ठू यानी अवं तुसन देइलो, किजोकि बाजी परमेशरे मीं एन्च़रां केरनेरो अधिकार दित्तोरोए।”
2b061c00ab	तैनेईं तैस्से सेइं ज़ोवं, “परमेशरेरू कम केरनेरे लेइ अस कुन केरम?”
2b061d0130	यीशुए तैन जुवाब दित्तो, “परमेशर तुसन करां एन कम चाते कि तुस तैस पुड़ यानी मीं पुड़ विश्वास केरा ज़ैनी अवं भेज़ोरोईं।”
2b061e0123	तैखन तैनेईं तैस सेइं ज़ोवं, “फिरी तू कुन निशान हीरातस कि अस तैस हेरतां तेरो विश्वास केरम? तू कोन ज़ेरू कम हीरातस?
2b061f01a7	इश्शे दादेईं-पड़दादेईं जंगले मां स्वर्गेरी रोट्टी खेइ, ज़ैस जो मन्नो ज़ोतन। ज़ेन्च़रे पवित्रशास्त्रे मां लिखोरूए, तैनी तैन खानेरे लेइ स्वर्गेरां रोट्टी दित्ती।”
2b06200180	यीशुए तैन सेइं ज़ोवं, “अवं तुसन सेइं सच़-सच़ ज़ोताईं कि मूसा तुसन तै रोट्टी स्वर्गेरां न दित्ती, पन मेरो बाजी तुसन सच़्च़ी रोट्टी स्वर्गेरां देते।
2b062100f0	किजोकि ज़ै रोट्टी परमेशर देते, ते तै ईए ज़ै स्वर्गेरां एइतां दुनियारे लोकन ज़िन्दगी देतीए।”
2b062200bf	तैखन तैनी तैस्से सेइं ज़ोवं, “हे प्रभु, ए रोट्टी असन स्वर्गेरां देतो रा।”
2b062301c8	यीशुए तैन सेइं ज़ोवं, “ज़िन्दगरी रोट्टी (ज़ै ज़िन्दगी देनेबाली रोट्टी) अव्वें आईं, ज़ै मीं कां एजते तै कधी निअन्नो न भोलो, ते ज़ै मीं पुड़ विश्वास केरेलो तै कधी ट्लिशोरो न भोलो।
2b062400d7	पन मीं तुसन सेइं पेइलू ज़ोरूए, कि तुसेईं अवं लोरोईं फिरी भी मीं पुड़ विश्वास न केरथ।
2b06250103	ज़ैन किछ बाजी मीं देते तैन सब किछ मीं कां एजनूए, ते ज़ै कोई मीं कां एज्जेलो अवं तैस ज़रूर कबूल केरेलो।
2b06260115	किजोकि अवं अपनि मर्ज़ी नईं, बल्के परमेशरेरी मर्ज़ी पूरी केरनेरे लेइ स्वर्गेरां ओरोईं ज़ैनी अवं भेज़ोरोईं।
2b0627016b	ईए मेरे बाजेरी मर्ज़ी आए ज़ैनी अवं भेज़ोरोईं कि ज़ैन किछ तैनी मीं दित्तोरोए तैस मरां अवं किछ न हिरेईं, पन आखरी दिहैड़ी फिरी तैस ज़ींतो केरेलो।
2b0628018a	किजोकि मेरे बाजेरी मर्ज़ी ईए कि ज़ै कोई मट्ठे हेरे ते तैस पुड़ विश्वास केरे, तैस हमेशारी ज़िन्दगी मैल्ले, ते अवं तैस आखरी दिहैड़ी फिरी ज़ींतो केरेलो।”
2b0629012d	एल्हेरेलेइ यहूदी लोक तैस पुड़ कुड़कुड़ाने लग्गे, किजोकि तैनी ज़ोरू थियूं, “ज़ै रोट्टी स्वर्गेरां ओरिए तै अवं आई।”
2b062a0145	ते तैनेईं ज़ोवं, “कुन एन यूसुफेरू मट्ठू यीशु नईं, ज़ेसेरे अम्मा बाजी अस ज़ानतम? त तै केन्च़रे ज़ोते कि अवं स्वर्गेरां ओरोईं?”
2b062b008c	यीशुए तैन जुवाब दित्तो, “एप्पू मांमेइं न कुड़कुड़ाथ।
2b062c013d	कोई मीं कां न एज्जी बट्टे ज़ांतगर बाजी, ज़ैनी अवं भेज़ोरोईं, तैस मीं कां न आने, ते अवं तैस आखरी दिहैड़ी फिरी ज़ींतो केरेलो।
2b062d0169	नेबी केरे पवित्रशास्त्रे मां एन लिखोरूए, ‘तैना सब परमेशरेरे तरफां शिख्खोरे भोनेन।’ ज़ैनी बाजी करां शुनोरूए त शिख्खोरोए तै मीं कां एइते।
2b062e00d9	एसेरो मतलब ई नईं कि केन्चे बाजी लोरोए, पन ज़ै परमेशरेरे तरफांए यानी मीं बाजी लोरोए।
2b062f00cf	अवं तुसन सेइं सच़-सच़ ज़ोताईं ज़ै कोई विश्वास केरते हमेशारी ज़िन्दगी तैसेरीए।
2b06300095	ज़िन्दगरी रोट्टी (ज़िन्दगी देनेबाली रोट्टी) अव्वें आईं।
2b06310080	तुश्शे दादे-पड़दादेईं जंगले मां मन्नो खाऊ ते मरे।
2b06320078	ई तै स्वर्गेरी रोट्टीए कि मैन्हु खान ते न मरन।
2b063301c3	ज़िन्दगरी रोट्टी ज़ै स्वर्गेरां ओरिए अव्वें आईं। अगर कोई इस रोट्टी मरां खाए, त हमेशा ज़ींतो रालो, ते ज़ैस रोट्टी सेइं दुनियारे लोकन हमेशारी ज़िन्दगी मैलचे, तैन मेरू मासे।”
2b063400fe	एस पुड़ यहूदी लोक एप्पू मांमेइं बेंस केरने लाए, “ई मैन्हु असन अपनू मास केन्च़रे खाने जो देइ बटते?”
2b06350195	यीशुए तैन सेइं ज़ोवं, “अवं तुसन सेइं सच़-सच़ ज़ोताईं, कि ज़ांतगर तुस मैनेरे मट्ठेरू यानी मेरू मास न खाले, ते मेरो खून न पीले, तुसन हमेशारी ज़िन्दगी न मैलेली।
2b06360111	ज़ै मेरू मास खाते ते मेरो खून पीते हमेशारी ज़िन्दगी तैसेरीए ते आखरी दिहैड़ी अवं फिरी तैस ज़ींतो केरेलो।
2b063700b0	किजोकि हकीक्ति मां मेरू मास खानेरी चीज़े ते मेरो खून पीनेरी चीज़े।
2b063800ac	ज़ै मेरू मास खाते ते खून पीते तै मीं मां बनोरो राते, ते अवं तैस मां।
2b06390133	ज़ेन्च़रे ज़ींते बाजी अवं भेज़ोरोईं, ते अवं बाजी केरे कारन ज़ोताईं, तेन्च़रे तै भी ज़ै मीं खालो मेरे कारन ज़ींतो रालो।
2b063a0163	ज़ै रोट्टी स्वर्गेरां ओरिए, तैस रोट्टी ज़ेरि नईं ज़ै तुश्शे दादे-पड़दादेईं खाइ ते बादे मां मरे, पन ज़ै कोई ई रोट्टी खालो तै हमेशा ज़ींतो रालो।”
2b063b009f	इना गल्लां तैनी कफरनहूम नगरेरे एक्की प्रार्थना घरे मां ज़ोई।
2b063c00e9	एल्हेरेलेइ तैसेरे चेलन मरां बड़ेईं एन शुन्तां ज़ोवं, “ए शिक्षा सकते, एस कौन मेन्नी बटते?”
2b063d01a4	यीशु अपने मने मां एना बुझ़तां कि मेरे चेले एस गल्ली पुड़ एप्पू मांमेइं कुड़कुड़ाने लोरेन, तैन पुच़्छ़ू, “कुन इना गल्लां तुसन मीं पुड़ विश्वास केरने करां रोकतिन?”
2b063e00dc	अगर तुस मैनेरू मट्ठू यानी अवं ज़ैड़ी पेइलो थियो उबरे (स्वर्गे) गातो लाएले, त कुन भोलू?
2b063f01a7	परमेशरेरी आत्मा त ज़िन्दगी देने बालीए, मैन्हु केरि ताकती सेइं किछ न केरोए, ज़ैना गल्लां मीं तुसन सेइं ज़ोई तैना परमेशरेरी आत्मारे तरफां आन ते तैना ज़िन्दगी भी आन।
2b0640015d	पन तुसन मां किछ एरे आन ज़ैना विश्वास न केरन। किजोकि यीशु पेइलो ज़ानतो थियो कि ज़ैना विश्वास न थी केरते तैना कौन आन, ते तैस कौन ट्लवालो।
2b06410154	ते तैनी ज़ोवं, “एल्हेरेलेइ मीं तुसन सेइं ज़ोरू थियूं, ज़ांतगर बाजी केरे तरफां एन वरदान न मैल्ले तांतगर कोई मीं कां न एज्जी बट्टे।”
2b064200bd	एस पुड़ तैसेरे चेलन मरां बड़े उलटे फिरे, ते तैल्ला पत्ती तैस साथी न च़ले।
2b06430093	तैखन यीशुए 12 चेलन सेइं ज़ोवं, “कुन तुस भी च़लू गानू चातथ?”
2b0644010b	शमौन पतरस तैस जुवाब दित्तो, “हे प्रभु अस केस कां गाम? हमेशारी ज़िन्दगरी देने बैली गल्लां त तींए कां आन।
2b064500c1	ते असेईं तीं पुड़ विश्वास कियो ते ज़ानू कि तू परमेशरेरो पवित्र मैन्हु आस।”
2b064600d6	यीशुए तैन जुवाब दित्तो, “कुन मीं तुस 12 न च़ुने। फिर भी तुसन मरां अक मैन्हु शैताने।”
2b06470164	तैने इन तैस शमौन इस्करियोतेरे मट्ठे यहूदा इस्करियोतेरे बारे मां ज़ोवं। हांलाकि तै तैन 12 चेलन मरां अक थियो, ज़ै यीशु ट्लुवांने बालो थियो।
2b0701018a	एना गल्लन पत्ती यीशु गलील इलाके मां फिरतो राव, किजोकि यहूदी लीडर तैस मारनेरी कोशिश केरि राओरे थिये, एल्हेरेलेइ तै यहूदिया इलाके मां फिरनू न चातो थियो।
2b07020087	यहूदी केरू झोंफड़ी केरू तिहार (तेम्बु) नेड़ू थियूं।
2b070301cc	एल्हेरेलेइ तैसेरे ढ्लाएईं तैस ज़ोवं, “इड़ी न रा। यहूदिया इलाके मां गा ज़ैड़ी तिहार मनाने लोरेन, कि ज़ैना चमत्कार तू केरतस तैना तेरे तैना चेले भी हेरन, ज़ैना यहूदिया इलाके मां रातन।
2b070400f5	किजोकि एरो कोई न भोलो कि ज़ै मशूर भोनू चाए, ते छ़ेपतां कम केरे। अगर तू कम केरतस, त अपनो आप हिरा।”
2b07050080	किजोकि तैसेरे ढ्ला भी तैसेरो विश्वास न थी केरते।
2b070600f3	तैखन यीशुए तैन सेइं ज़ोवं, “मेरो लेइ ठीक वक्त हेजू नईं ओरो, पन तुस केन्ची वक्त मां भी गेइ सकतथ।
2b07070143	इस दुनियारे लोक तुसन सेइं बैर न केरि सकन, पन मीं सेइं बैर रखतन किजोकि अवं तैन केरे खलाफ इन ज़ोताईं कि तैना बुरां कम्मां केरतन।
2b070800e2	तुस तिहारे मां गाथ, मीं हुना एस तिहारे मां नईं एजनू, किजोकि मेरो हेजू ठीक वक्त नईं ओरो।”
2b0709007b	ते तै तैन सेइं एना गल्लां केरतां गलीले मां राव।
2b070a00b0	पन ज़ैखन तैसेरे ढ्ला तिहारे मां च़ले जे त तै बांदो न पन छ़ेपतां जेव।
2b070b00ec	यहूदी लीडर तिहारे मां यीशु तोपने लाए। तैना लोकन पुछ़्छ़ी राओरे थिये, “तै मैन्हु कोड़ि आए?”
2b070c015a	ते लोकन मां तैसेरे बारे मां बल्हे-बल्हे बेड़ि गल्लां भोइ, किछ ज़ोते थी, “तै रोड़ो मैनूए।” ते किछ ज़ोते थी, “नईं तै मैनन् गुमरा केरते।”
2b070d0152	फिरी भी यहूदी लोकां केरे प्रधानां केरे डरे सेइं केन्ची भी मैन्हु तैसेरे बारे मां खुलतां तैसेरे बारे मां गल केरनेरी हिम्मत न भोइ।
2b070e00e0	ज़ैखन तिहारेरे अध्धे दिहाड़े बीते, त यीशु मन्दरेरे अंगने मां गेइतां शिक्षा देने लगो।
2b070f0151	तैखन यहूदी लीडरेईं हैरान भोइतां ज़ोवं, “एनी त पवित्रशास्त्रेरी शिक्षा केन्ची करां नईं पढ़ोरीए, फिरी एस केन्च़रे एना गल्लां एई?”
2b071000fc	यीशुए तैन जुवाब दित्तो, “मेरी शिक्षा मेरी अपनि नईं, बल्के परमेशरेरे तरफां आए, ज़ैने अवं भेज़ोरोईं।
2b0711013a	अगर कोई तैसेरी मेर्ज़ी पुड़ च़लनू चाए, त तै इस शिक्षारे बार मां ज़ानेलो कि ए परमेशरेरे तरफांए या अवं अपने तरफां ज़ोताईं।
2b07120143	ज़ै अपने तरफां किछ ज़ोते तै अपनि बड़याई चाते, पन ज़ै अपने भेज़ने बालेरी बड़याई चाते तै ईमानदार आए, ते तैस मां कोई बेइमानी नईं।
2b071300f6	तुसन मूसे कानून दित्तो, पन तुसन मरां कोई भी तैस पुड़ न च़ले! पन तुस लोक मीं मारनेरी कोशिश केरतथ।”
2b071400bf	लोकेईं जुवाब दित्तो, “तीं पुड़ भूतेरो सैयोए! कौन तीं मारनेरी कोशिश केरते?”
2b07150099	यीशुए जुवाब दित्तो, “मीं अक चमत्कार कियो, ते तुस हैरान भोए।
2b07160175	एल्हेरेलेइ मूसा तुसन खतनेरो हुक्म दित्तो (एना नईं कि मूसेरे तरफांए बल्के बाप दादां करां च़लतो ओरोए) ते तुस आरामेरे दिहाड़े मैनेरो खतनो केरतथ।
2b071701bf	एल्हेरेलेइ आरामेरे दिहाड़े मैनेरो खतनो कियो गाते ताके मूसेरे कानूनेरो हुक्म न टले, त तुस मीं पुड़ किजो क्रोध केरतथ, कि मीं आरामेरे दिहाड़े अक मैन्हु रोड़ेच़ारे ठीक केरो।
2b0718008a	तुतर हेरतां इन्साफ न केरा बल्के ठीक-ठीक आदालत केरा।”
2b0719012c	तैखन किछ यरूशलेम नगरेरे रानेबाले एप्पू मांमेइं एक्की होरि पुच्छ़ने लगे, “कुन ए तै नईं, ज़ैस मारनेरी कोशिश च़लोरिए?
2b071a00fd	पन तक्का, तै त खुले आम गल्लां केरते, ते कोई एस किछ न ज़ोए। कुन लीडरेईं सच़्च़े, सच़ ज़ानू कि ए मसीहे?
2b071b0151	पन ए मैन्हु मसीह केन्च़रे भोइ सकते? एस त अस ज़ानतम कि ए कोट्ठां ओरोए, पन ज़ेइस मसीह एज्जेलो त कोई न ज़ानेलो कि तै कोट्ठां एज्जेलो।”
2b071c01c2	तैखन यीशुए मन्दरे अंगने मां शिक्षा देते बारे ज़ोरे सेइं ज़ोवं, “तुस मीं ज़ानतथ ते इन भी कि अवं कोट्ठां ओरोईं। अवं एप्पू नईं ओरो, पन मेरो भेज़ने बालो सच़्च़ोए, तैस तुस न ज़ानाथ।
2b071d00c5	पन अवं तैस ज़ानताईं, किजोकि अवं तैसेरे तरफां ओरोईं, ते तैनी अवं भेज़ोरोईं।”
2b071e0110	एस पुड़ लीडरेईं तै ट्लानो चाव, फिरी भी केन्चे तैस सेइं हथ न लव, किजोकि तैसेरो मरनेरो वक्त हेजू न थियो ओरो।
2b071f0161	फिरी भी भीड़ी मरां बड़े लोकेईं तैस पुड़ विश्वास कियो, ते ज़ोने लाए, “मसीह ज़ैखन एज्जेलो ते एट्ठां जादे चमत्कार हिरालो ज़ैना एने हीराहे?”
2b07200175	फरीसी लोकेईं, लोक तैसेरे बारे मां बल्हे-बल्हे एना गल्लां केरते शुने, ते प्रधान याजकेईं ते फरीसी लोकेईं तैस ट्लानेरे लेइ मन्दरेरे पहरदार भेज़े।
2b0721010b	एस पुड़ यीशुए ज़ोवं, “अवं थोड़े च़िरे तगर हेजू तुसन साथी आईं, फिरी अवं अपने भेज़ने बाले कां वापस गानोईं।
2b072200bd	तुस मीं तोप्पेले, पन अवं नईं मैलनो, ते ज़ैड़ी अवं आईं, तैड़ी तुस न एज्जी बटथ।”
2b072301c8	एस पुड़ यहूदी लीडर एप्पू मांमेइं ज़ोने लगे, “ए कोरां च़लोरे, ज़ेरां अस न गेइ बटम? कुन ए तैन कां गालो ज़ैना यूनान नगरे मां तितर-बितर भोइतां रातन, ते यूनानेरे लोकन भी शिक्षा देलो?”
2b07240127	एस गल्लरो कुन मतलबे ज़ै एनी ज़ोई, कि तुस मीं तोप्पेले, पन अवं तुसन न मैलेलो, ते ज़ैड़ी अवं आईं तैड़ी तुस न एज्जी बटतथ?
2b0725014b	तिहारेरे आखरी दिहाड़े, ज़ै खास दिहाड़ी भोतीए, तेइस यीशु खड़ो भोइतां ज़ोने लगो, “अगर कोई ट्लिश्शोरो भोए त मीं कां एज्जे ते पीये।
2b07260155	ज़ै मीं पुड़ विश्वास केरे, ज़ेन्च़रे पवित्रशास्त्रे मां लिखेरूए, तैसेरे दिले मरां तै पैनेरे दरिया निस्सेले ज़ैना ज़िन्दगी देतन।”
2b072701e9	यीशुए एना गल्लां पवित्र आत्मारे बारे मां ज़ोई, ज़ै विश्वास केरेने बालन पुड़ एजनेबाली थी, किजोकि पवित्र आत्मा हेजू तगर न थी दित्तोरी, किजोकि यीशु हेजू तगर अपनि महिमा मां वापस न थियो जोरोए।
2b0728010d	तैखन भीड़ी मरां किछेईं एना गल्लां शुन्तां ज़ोवं, “सच़्च़े ई तै नबी आए, ज़ेसेरे एजनेरी अस उमीदी मां आम।”
2b072900be	किछ लोकेईं ज़ोवं, “ई मसीहे,” पन किछेईं ज़ोवं, “कुन मसीह गलील इलाकेरां एजनोए?
2b072a0128	पवित्रशास्त्र मां लिखोरू कि मसीह दाऊदेरे खानदाने ते बैतलहम ड्लव्वें मरां एज्जेलो, ज़ैड़ी दाऊद राज़ो रातो थियो।”
2b072b00e4	यीशुएरे बारे मां लोकां केरो अलग-अलग खियाल थियो, एल्हेरेलेइ तैन एप्पू मांमेइं अनबन भोइ।
2b072c009e	किछ तैन मरां तैस ट्लाने चाते थिये, पन केन्चे तैस सेइं हथ न लव।
2b072d00f1	तैखन मन्दरेरे पहरदार, प्रधान याजकन ते फरीसन कां एइतां तैन सेइं ज़ोवं, “तुसेईं तै किजो न आनो?”
2b072e0101	पहरदारेईं जुवाब दित्तो, “केन्चे मैने कधी एत्री रोड़ो गल्लां न कियोरी, ज़ेरि गल्लां ए मैन्हु केरते।”
2b072f007b	फरीसेईं तैन जुवाब दित्तो, “कुन तुस भी टेपलोरेथ?
2b07300097	कुन सरदारन ते फरीसन मरां केन्चे तैस पुड़ विश्वास कियोरोए?
2b073100ba	पन एन लोक ज़ैना मूसेरे कानूने न ज़ानन् तैन पुड़ परमेशरेरो फिटकार भोते।”
2b073200c5	नीकुदेमुसे ज़ै पेइलो तैस कां राती ओरो थियो, ते तैना मरां अक थियो, तैनी ज़ोवं,
2b0733011d	“कुन इश्शे कानून केन्ची मैन्हु सज़ा देनेरी अज़ाज़त देते, ज़ांतगर तैसेरी गल शुन्तां इन न ज़ानम कि तै कुन केरते?”
2b0734013a	तैनेईं तैस जुवाब दित्तो, “कुन तू भी गलील इलाकेरो आस! पवित्रशास्त्रे मां तोप ते ज़ान, कि गलीलेरां कोई नबी त नईं निसने बालो!”
2b07350050	(तैखन सब अपने-अपने घरे च़ले जे)।
2b08010084	पन यीशु अपने चेलन सेइं साथी ज़ैतून पहाड़े पुड़ जेव।
2b0802010d	होरसां तै झ़ेझ़ां-झ़ेझ़ां मन्दरेरे अंगने मां जेव, बड़े लोक तैस कां आए ते तै बिश्तां तैन शिक्षा देने लगो।
2b0803011c	तैखन शास्त्री ते फरीसी लोक एक्की कुआन्शी ज़ै बदमैशी मां ट्लेइयोरी थी, तै मझ़ाटे खड़ी केरतां यीशु सेइं ज़ोवं,
2b08040077	“हे गुरू, ई कुआन्श बदमाशी केरते वक्त ट्लोरीए।
2b08050170	मूसेरे कानूने मां मूसा असन हुक्म दित्तोरोए कि एरी ज़ेरि कुआन्शी घोड़ेईं बैइतां मारा, ते तू एस कुआन्शरे बारे मां कुन ज़ोतस, कि अस एस कुन केरम?”
2b08060145	तैनेईं यीशु परखनेरे लेइ ए गल ज़ोई, ताके तैस पुड़ दोष लाने जो गल मैल्ले। पन यीशु उन्ढे लिकतां एंगलोई सेइं ज़मीनी पुड़ लिखने लव।
2b08070130	ज़ैखन तैना तैस पुछ़ते राए, त तैनी उबरे तेकतां तैन सेइं ज़ोवं, “तुसन मरां ज़ैनी पाप न भोए कियोरोए, तैए पेइलो घोड़े बाए।”
2b0808008d	ते फिरी उन्ढे लिकतां एंगलोई सेइं ज़मीनी पुड़ लिखने लव।
2b0809014c	पन तैना एना शुन्तां बड्डन करां निकड़न तगर सारे एक्की पत्ती अक तैट्ठां च़ले जे, ते यीशु अकैल्लो राव, ते तै कुआन्श मझ़ाटे खड़ी राई।
2b080a0108	यीशुए उबरे तेकतां तैस पुच़्छ़ू, “हे कुआन्श, तैना कोरां जे? कुन केन्चे तीं पुड़ सज़ारो हुक्म न दित्तो?”
2b080b0159	तैसां ज़ोवं, “हे प्रभु केन्चे नईं।” यीशुए ज़ोवं, “अवं भी तीं सज़ारो हुक्म न देईं। अपने घरे जो गा ते फिरी पत्ती पापेरी न ज़िन्दगी ज़ीयां।”
2b080c016d	यीशुए फिरी लोकन सेइं ज़ोवं, “दुनियारी लौ अव्वें आईं, ज़ै मीं पत्ती एज्जेलो त तै आंधरे मां न च़लेलो, पन तै लौ हासिल केरेलो ज़ै ज़िन्दगरी देचे।”
2b080d00d2	फरीसी लोकेईं तैस सेइं ज़ोवं, “तू अपनि गवाही एप्पू देतस, तेरी गवाही सच़्च़ी नईं।”
2b080e0203	यीशुए तैन जुवाब दित्तो, “भला अवं अपनि गवाही एप्पू देताईं फिरी भी मेरी गवाही सच़्च़ीए, किजोकि अवं ज़ानताईं कि अवं कोट्ठां ओरोईं ते कोरां गाताईं? पन तुस न ज़ानाथ कि अवं कोट्ठां ओरोईं ते कोरां गाताईं।
2b080f00b9	तुस इन्सानेरी सोचरे मुताबिक इन्साफ केरतथ, अवं केन्चेरी इन्साफ न केरि।
2b0810012c	ते अगर अवं इन्साफ केरि भी त मेरो इन्साफ सच़्च़ोए, किजोकि अवं अकैल्लो नईं, पन अवं ते मेरो बाजीए, ज़ैनी अवं भेज़ोरोईं।
2b081100c6	मूसेरे कानूने मां भी लिखोरोए कि दूई ज़नां केरि गवाही मिलतां सच़्च़ी भोतीए।
2b081200d5	अक त अवं अपनि गवाही देताईं, ते दुइयोवं गवाही मेरो बाजी देते ज़ैनी अवं भेज़ोरोईं।”
2b08130154	तैनेईं तैस पुच़्छ़ू, “तेरो बाजी कोड़ि आए?” यीशुए जुवाब दित्तो, “न तुस मीं ज़ानतथ न मेरे बाजी, अगर मीं ज़ानते त मेरे बाजी भी ज़ानते।”
2b08140145	एना गल्लां तैनी मन्दरेरे अंगने मां शिक्षा देते भण्डार घरे मां ज़ोई, ते केन्चे तै न ट्लाव, किजोकि तैसेरो वक्त हेजू न थियो ओरो।
2b0815014e	यीशुए फिरी तैन सेइं ज़ोवं, “अवं ज़ानताईं कि तुस मीं तोप्पेले ते पाप केरते-केरते मरेले, ज़ैड़ी अवं गाताईं तैड़ी तुस न एज्जी बटथ।”
2b0816011c	एस पुड़ यहूदी लीडरेईं ज़ोवं, “कुन एने अपनो आप मारनोए, ज़ैन ज़ोते कि ज़ैड़ी अवं गाताईं तैड़ी तुस न एज्जी बटतथ?”
2b08170118	यीशुए तैन सेइं ज़ोवं, “तुस इस दुनियाई मां ज़र्मोरेथ, अवं स्वर्गेरां ओरोईं। तुस दुनियारेथ, अवं दुनियारो नईं।
2b08180160	एल्हेरेलेइ मीं तुसन सेइं ज़ोरू थियूं, कि तुस अपने पापन मां मरेले, किजोकि अगर तुस विश्वास न केरेले कि अवं तैए आईं त अपने पापन मां मरेले।”
2b08190110	यहूदी लीडरेईं तैस सेइं ज़ोवं, “तू कौन आस?” यीशुए तैन सेइं ज़ोवं, “ज़ैन शुरू करां ज़ोतो ओरोईं, अवं तैए आईं।
2b081a0177	तुश्शे बारे मां मीं बड़ू किछ ज़ोनूए ते फैसलो केरनोए, पन मेरो भेज़ने बालो सच़्च़ोए, ते ज़ैन मीं तैस करां शुनोरूए तैन दुनियारे लोकन सेइं ज़ोताईं।”
2b081b00a9	तैनेईं एन न समझ़ू कि असन सेइं बाजी केरे बारे मां कुन ज़ोने लोरोए।
2b081c01ea	तैखन यीशुए ज़ोवं, “ज़ैखन तुस मैनेरे मट्ठे यानी मीं उच्चे पुड़ च़ाढ़ेले, त ज़ानेले कि अवं तैए आईं, अवं अपने आपे सेइं किछ न केरि, ज़ेन्च़रे मेरो बाजी मीं शिखालते तेन्च़रे तैना गल्लां केरताईं।
2b081d0120	मेरो भेज़ने बालो मीं साथीए, तैनी अवं अकैल्लो नईं शारोरो किजोकि अवं हमेशा तैन कम केरताईं ज़ैस सेइं तै खुश भोते।”
2b081e00ea	बड़े लोकेईं यीशुएरी तैना गल्लां शुन्ते वक्त ज़ैना तै ज़ोईं राओरो थियो तैस पुड़ विश्वास कियो।
2b081f0154	तैखन यीशुए तैन यहूदन सेइं ज़ैनेईं तैस पुड़ विश्वास कियोरो थियो ज़ोवं, “अगर तुस मेरे वचने मां बनेरे राले, त सच़्च़े मेरे चेले भोले।
2b08200070	तुस सच़ ज़ानेले ते सच़ तुसन आज़ाद केरेलू।”
2b08210153	तैनेईं तैस जुवाब दित्तो, “अस त अब्राहमेरे औलादी मरां आम, ते कधी केन्चेरे गुलाम नईं भोरे, फिरी तू केन्च़रे ज़ोतस कि तुस आज़ाद भोले?”
2b082200f3	यीशुए तैन जुवाब दित्तो, “अवं तुसन सेइं सच़-सच़ ज़ोताईं कि ज़ै कोई पाप केरते तै पापेरो गुलामे।
2b08230072	गुलाम हमेशा घरे न रेइ सके, मट्ठू हमेशा रहते।
2b082400a6	एल्हेरेलेइ अगर मट्ठू तुसन आज़ाद केरे त सच़्च़े तुस आज़ाद भोले।
2b0825011c	अवं ज़ानताईं कि तुसा अब्राहमेरे औलादी मरां आथ, फिरी भी मेरी शिक्षा तुस मन्नथ, एल्हेरेलेइ तुस मीं मारने चातथ।
2b08260144	अवं तैन्ने ज़ोताईं ज़ैन मीं लव, ज़ैखन अवं अपने बाजी सेइं साथी थियो, ते तुस तैन्ने केरतथ ज़ैन तुसेईं अपने बाजी केरां शुनोरूए।”
2b08270180	तैनेईं तैस जुवाब दित्तो, “इश्शो पूर्वज त अब्राहमे।” यीशुए तैन सेइं ज़ोवं, “अगर तुस अब्राहमेरे औलादी मरां भोथे त अब्राहमेरां ज़ेरां कम्मां केरेथ।
