280000000e	ՄԱՏԹԷՈՍ
2d040b016f	Յետոյ թլփատութեան նշանը ստացաւ՝ իբր կնիք անթլփատութեան ատենը ունեցած հաւատքին արդարութեան, որպէսզի ինք ըլլայ հայրը այն բոլոր հաւատացողներուն՝ որոնք անթլփատ են (անոնց ալ արդարութիւն սեպուելու համար),
2d040c0111	նաեւ հայրը թլփատութեան՝ անոնց համար, որոնք ո՛չ միայն թլփատուած են, այլ նաեւ կ՚ընթանան մեր հօր Աբրահամի անթլփատութեան ատեն ունեցած հաւատքին հետքերով:
2d040d00e2	Արդարեւ Աբրահամի եւ անոր զարմին՝ աշխարհը ժառանգելու համար տրուած խոստումը ո՛չ թէ Օրէնքով եղաւ, հապա հաւատքին արդարութեամբ:
2d040e00a5	Քանի որ եթէ Օրէնքէն եղողները ժառանգորդ ըլլային, հաւատքը պիտի փճանար, եւ խոստումը ոչնչանար:
2d040f00a3	Որովհետեւ Օրէնքը բարկութիւն կը գործադրէ. քանի որ ուր Օրէնք չկայ, օրինազանցութիւն ալ չկայ:
2d04100165	Ուստի ժառանգորդ ըլլալը հաւատքէն է, որ շնորհքով եղած ըլլայ, որպէսզի խոստումը մնայուն ըլլայ ամբողջ զարմին. ո՛չ միայն անոր՝ որ Օրէնքէն է, այլ նաեւ անո՛ր՝ որ Աբրահամի հաւատքէն է: Ան մեր բոլորին հայրն է
2d0411010d	(ինչպէս գրուած է. “Քեզ շատ ազգերու հայր ըրի”) Աստուծոյ առջեւ՝ որուն ինք հաւատաց, որ կեանք կու տայ մեռելներուն ու չեղած բաները կը կոչէ եղածներու պէս:
2d041200e3	Չյուսացուած բանին՝ յոյսով հաւատաց, թէ ինք շատ ազգերու հայր պիտի ըլլայ (ինչպէս ըսուեցաւ ալ թէ “քու զարմդ այսպէս պիտի ըլլայ”).
2d0413011c	եւ հաւատքի մէջ չտկարանալով՝ ուշադիր չեղաւ իր մարմինին, որ արդէն մեռածի պէս էր, (որովհետեւ ինք հարիւր տարեկանի չափ էր,) ո՛չ ալ Սառայի արգանդին մեռած ըլլալուն:
2d041400b6	Անհաւատութեամբ չտատամսեցաւ Աստուծոյ խոստումին հանդէպ, հապա հաւատքով զօրացած՝ փառք տուաւ Աստուծոյ,
2d0415007a	եւ լման համոզուեցաւ թէ ի՛նչ որ ան խոստացաւ՝ կարող է նաեւ իրագործել:
2d0416003e	Ուստի արդարութիւն սեպուեցաւ իրեն:
2d04170069	Բայց գրուեցաւ ո՛չ միայն անոր համար՝ թէ “սեպուեցաւ իրեն”,
2d041800c9	այլ նաեւ մեզի համար, որոնց պիտի սեպուի՝ քանի որ կը հաւատանք անո՛ր՝ որ մեռելներէն յարուցանեց Յիսուսը՝ մեր Տէրը,
2d04190093	որ մատնուեցաւ մեր յանցանքներուն համար ու յարութիւն առաւ մեզ արդարացնելու համար:
2d050100ca	Ուրեմն մենք՝ հաւատքով արդարացած ըլլալով՝ խաղաղութիւն ունինք Աստուծոյ հետ մեր Տէրոջ՝ Յիսուս Քրիստոսի միջոցով:
2d050200e5	Անով նաեւ արտօնութիւն ունեցանք հաւատքով մօտենալու այս շնորհքին՝ որուն մէջ կեցած ենք, եւ կը պարծենանք Աստուծոյ փառքին յոյսով:
2d050300cf	Ո՛չ միայն այսքան, հապա կը պարծենանք տառապանքներու մէջ ալ. որովհետեւ գիտենք թէ տառապանքը կ՚իրագործէ համբերութիւն,
2d05040062	համբերութիւնը՝ փորձառութիւն, ու փորձառութիւնը՝ յոյս.
2d050500d7	եւ յոյսը ամօթահար չ՚ըներ, որովհետեւ Աստուծոյ սէրը մեր սիրտերուն մէջ սփռուած է Սուրբ Հոգիին միջոցով՝ որ տրուեցաւ մեզի:
2d050600a7	Արդարեւ մինչ մենք տակաւին տկար էինք, յարմար ժամանակին՝ Քրիստոս մեռաւ ամբարիշտներուն համար.
2d050700a5	հազիւ թէ արդարի մը համար մէկը ուզէ մեռնիլ, (թերեւս բարի մարդու մը համար մէկը յօժարի մեռնիլ,)
2d050800bb	մինչդեռ Աստուած մեզի հանդէպ ունեցած իր սէրը ապացուցանեց այն իրողութեամբ, որ երբ տակաւին մեղաւոր էինք՝
2d050900c8	Քրիստոս մեռաւ մեզի համար. ուրեմն հիմա որ արդարացանք իր արիւնով, ո՜րչափ աւելի բարկութենէն պիտի փրկուինք իրմով:
2d050a00fc	Որովհետեւ եթէ մեր թշնամի եղած ատենը հաշտուեցանք Աստուծոյ հետ իր Որդիին մահով, ո՜րչափ աւելի մեր հաշտուած ատենը պիտի փրկուինք անոր կեանքով:
2d050b00da	Եւ ո՛չ միայն ասիկա, այլ նաեւ կը պարծենանք Աստուծմով՝ մեր Տէրոջ՝ Յիսուս Քրիստոսի միջոցով, որով հիմա ստացանք հաշտութիւնը:
2d050c00f0	Ուստի ինչպէս մէկ մարդով մեղքը աշխարհ մտաւ, ու մեղքով՝ մահը, եւ այնպէս՝ մահը փոխանցուեցաւ բոլոր մարդոց, քանի որ բոլորն ալ մեղանչեցին.
2d050d00b3	(որովհետեւ մինչեւ Օրէնքին տրուիլը՝ աշխարհի մէջ մեղք կար, բայց մեղք չէր վերագրուեր՝ երբ Օրէնք չկար:
2d050e0104	Սակայն մահը թագաւորեց Ադամէն մինչեւ Մովսէս, նոյնիսկ Ադամի օրինազանցութեան նման չմեղանչողներուն վրայ. ինք նախատիպն էր անոր՝ որ յետոյ պիտի գար:
2d050f0165	Բայց շնորհը յանցանքին պէս չէ. որովհետեւ եթէ մէկին յանցանքով շատեր մեռան, ա՛լ ո՜րչափ աւելի շատերուն վրայ առատացաւ Աստուծոյ շնորհքը, եւ պարգեւը՝ որ շնորհուեցաւ մէկ մարդու՝ Յիսուս Քրիստոսի միջոցով:
2d0510012b	Եւ պարգեւը այնպէս չէ, ինչպէս մէկ մեղանչողին պատահածը. որովհետեւ դատաստանը մէկին մեղքով դատապարտութեան մատնեց, բայց շնորհը շատ յանցանքներէ արդարութեան առաջնորդեց:
2d05110164	Քանի որ եթէ մէկ մարդու յանցանքով՝ մահը թագաւորեց այդ մէկով, ո՜րչափ աւելի անոնք՝ որ կը ստանան շնորհքի ու արդարութեան պարգեւին առատութիւնը, կեանքի մէջ պիտի թագաւորեն միակ Յիսուս Քրիստոսի միջոցով:)
2d0512011b	Ուրեմն, ինչպէս բոլոր մարդոց դատապարտութեան վճիռ տրուեցաւ մէկին յանցանքով, այնպէս ալ բոլոր մարդոց կեանք տուող արդարութիւն շնորհուեցաւ մէկին արդարութեամբ:
2d051300d8	Որովհետեւ ինչպէս շատեր մեղաւոր եղան մէկ մարդու անհնազանդութեամբ, այնպէս շատեր արդար պիտի ըլլան մէկին հնազանդութեամբ:
2d051400cb	Սակայն Օրէնքը ներս սպրդեցաւ՝ որպէսզի յանցանքը աւելնայ. բայց հոն՝ ուր մեղքը աւելցաւ, շնորհքը չափազանց առատացաւ:
2d0515010f	Որպէսզի՝ ինչպէս մեղքը թագաւորեց մինչեւ մահ, այնպէս ալ շնորհքը թագաւորէ արդարութեամբ՝ մինչեւ յաւիտենական կեանք, մեր Տէրոջ՝ Յիսուս Քրիստոսի միջոցով:
2d06010090	Ուրեմն ի՞նչ պիտի ըսենք. արդեօք յարատեւե՞նք մեղքի մէջ՝ որպէսզի շնորհքը աւելնայ:
2d0602008c	Ամե՛նեւին: Մենք՝ որ մեռած ենք մեղքին հանդէպ, ի՞նչպէս տակաւին ապրինք անոր մէջ:
2d0603009b	Չէ՞ք գիտեր թէ մենք բոլորս՝ որ մկրտուեցանք Յիսուս Քրիստոսով, մկրտուեցանք անոր մահո՛վ:
2d06040122	Ուրեմն անոր հետ թաղուեցանք մկրտութեամբ՝ մահուան համար. որպէսզի ինչպէս Քրիստոս մեռելներէն յարութիւն առաւ՝ Հօրը փառքով, այնպէս ալ մենք ընթանանք նոր կեանքի մէջ:
2d060500ca	Որովհետեւ եթէ մենք տնկակից եղանք անոր մահուան նմանութեամբ, նաեւ կցորդ պիտի ըլլանք անոր յարութեան նմանութեամբ:
2d060600d2	Սա՛ գիտնանք՝ թէ մեր հին մարդը խաչուեցաւ անոր հետ, որ մեղքի մարմինը ոչնչանայ, որպէսզի այլեւս մեղքին ստրուկը չըլլանք:
2d0607005e	Որովհետեւ ա՛ն որ մեռած է մեղքին, արդարացած է մեղքէն:
2d06080089	Ուրեմն եթէ մենք մեռանք Քրիստոսի հետ, կը հաւատանք թէ պիտի ապրինք ալ անոր հետ:
2d060900c3	Քանի որ գիտենք թէ Քրիստոս մեռելներէն յարութիւն առած ըլլալով՝ այլեւս չի մեռնիր. ա՛լ մահը չի տիրեր անոր վրայ:
2d060a00c1	Որովհետեւ երբ ան մեռաւ, մեղքի՛ համար մեռաւ՝ մէ՛կ անգամ ընդմիշտ, եւ հիմա որ կ՚ապրի՝ Աստուծո՛յ համար կ՚ապրի:
2d060b00ae	Նոյնպէս դուք ձեզ մեռա՛ծ սեպեցէք մեղքին, բայց ողջ՝ Աստուծոյ, մեր Տէրոջ՝ Քրիստոս Յիսուսի միջոցով:
2d060c00b2	Ուրեմն ա՛լ մեղքը թող չթագաւորէ ձեր մահկանացու մարմինին վրայ, որ հնազանդիք անոր ցանկութիւններուն.
2d060d017c	ու ձեր մարմինին անդամները մի՛ յանձնէք մեղքին՝ անիրաւութեան գործիք ըլլալու: Հապա դուք ձեզ ընծայեցէ՛ք Աստուծոյ՝ որպէս մեռելներէն վերապրողներ, եւ ձեր անդամները ընծայեցէ՛ք Աստուծոյ՝ իբր արդարութեան գործիքներ:
2d060e0099	Արդարեւ մեղքը պիտի չիշխէ ձեր վրայ. որովհետեւ ո՛չ թէ Օրէնքի տակ էք, հապա՝ շնորհքի տակ:
2d060f008e	Ուրեմն ի՞նչ. մեղանչե՞նք, քանի որ Օրէնքի տակ չենք, հապա՝ շնորհքի տակ: Ամե՛նեւին:
2d0610016a	Չէ՞ք գիտեր թէ որո՛ւն որ դուք ձեզ իբր ստրուկ յանձնէք՝ հնազանդելու համար, ստրուկ կ՚ըլլաք անոր՝ որուն կը հնազանդիք, թէ՛ մեղքին՝ որ կ՚առաջնորդէ մահուան, եւ թէ հնազանդութեան՝ որ կ՚առաջնորդէ արդարութեան:
2d061100e7	Բայց շնորհակալութի՛ւն Աստուծոյ, որ մեղքին ստրուկ ըլլալէ ետք՝ սրտանց հնազանդեցաք այն ուսուցումի տիպարին՝ որ աւանդուեցաւ ձեզի:
2d06120070	Ուստի դուք՝ ազատած ըլլալով մեղքէն՝ ստրուկ եղաք արդարութեա՛ն.
2d061301bc	(մարդկային կերպով կը խօսիմ՝ ձեր մարմինին տկարութեան պատճառով.) քանի որ ինչպէս յանձնեցիք ձեր անդամները անօրէնութեան՝ ստրուկ ըլլալու անմաքրութեան եւ անօրէնութեան, այնպէս ալ հիմա ընծայեցէ՛ք ձեր անդամները սրբութեան՝ ստրուկ ըլլալու արդարութեան:
2d0614006f	Որովհետեւ երբ դուք ստրուկ էիք մեղքին՝ ազատ էիք արդարութենէն:
2d061500be	Ուրեմն այն ատեն ի՞նչ պտուղ ունէիք այն բաներէն՝ որոնց համար հիմա կ՚ամչնաք. որովհետեւ անոնց վախճանը մահ է:
2d061600d8	Իսկ հիմա, մեղքէն ազատած եւ Աստուծոյ ստրուկ եղած ըլլալով, ձեր պտուղը ունիք՝ սրբութեամբ, ու վախճանը՝ յաւիտենական կեանքը:
2d061700d8	Որովհետեւ մեղքին վարձատրութիւնը մահ է, բայց Աստուծոյ շնորհը՝ յաւիտենական կեանք է, Յիսուս Քրիստոսի՝ մեր Տէրոջ միջոցով:
2d070100e7	Միթէ չէ՞ք գիտեր, եղբայրնե՛ր, (քանի որ ես Օրէնքը գիտցողներուն կը խօսիմ,) թէ Օրէնքը կը տիրէ մարդուն վրայ՝ այնքան ատեն որ ան կ՚ապրի:
2d070200fd	Որովհետեւ ամուսին ունեցող կինը Օրէնքով կապուած է իր ամուսինին՝ քանի դեռ ան կ՚ապրի. բայց եթէ ամուսինը մեռնի, արձակուած է ամուսինին Օրէնքէն:
2d0703015c	Ուրեմն, քանի դեռ ամուսինը կ՚ապրի, շնացող պիտի կոչուի՝ եթէ ուրիշ մարդու մը կին ըլլայ. բայց եթէ ամուսինը մեռնի՝ ազատ կ՚ըլլայ այդ Օրէնքէն, այնպէս որ շնացող չ՚ըլլար՝ եթէ ուրիշ մարդու մը կին ըլլայ:
2d07040128	Հետեւաբար դո՛ւք ալ, եղբայրնե՛րս, Օրէնքին մեռաք Քրիստոսի մարմինով, որպէսզի ըլլաք ուրիշի՛ մը, անոր՝ որ մեռելներէն յարութիւն առաւ, որպէսզի պտուղ արտադրենք Աստուծոյ:
2d07050109	Քանի որ երբ մենք մարմինով էինք, մեղքերու կիրքերը՝ որոնք կը դրդուէին Օրէնքէն՝ կը ներգործէին մեր անդամներուն մէջ, որպէսզի պտուղ արտադրենք մահուան:
2d0706010e	Իսկ հիմա արձակուեցանք Օրէնքէն. որովհետեւ մենք մեռանք անոր՝ որ գերի բռնած էր մեզ, որպէսզի ծառայենք նորոգուած հոգիով, եւ ո՛չ թէ հնամաշ գիրին համաձայն:
2d0707012c	Ուրեմն ի՞նչ ըսենք. Օրէնքը մե՞ղք է: Ամե՛նեւին: Նոյնիսկ ես պիտի չգիտնայի մեղքը, եթէ Օրէնքը չըլլար. նաեւ պիտի չգիտնայի ցանկութիւնը, եթէ Օրէնքը ըսած չըլլար. «Մի՛ ցանկար»:
2d070800d5	Բայց մեղքը՝ առիթ առնելով պատուիրանէն՝ մէջս իրագործեց ամէն տեսակ ցանկութիւն, որովհետեւ մեղքը մեռած էր առանց Օրէնքին:
2d070900a1	Արդարեւ ես ժամանակ մը ողջ էի՝ առանց Օրէնքին. բայց երբ պատուիրանը եկաւ՝ մեղքը վերապրեցաւ,
2d070a0093	ու ես մեռայ. եւ այն պատուիրանը՝ որ կեանքի համար էր, նոյնը ինծի մահուան համար եղաւ:
2d070b0081	Որովհետեւ մեղքը՝ պատուիրանէն առիթ առնելով՝ խաբեց զիս, եւ սպաննեց անով:
2d070c0070	Հետեւաբար Օրէնքը սուրբ է, ու պատուիրանը՝ սուրբ, արդար եւ բարի:
2d070d013d	Ուրեմն ինչ որ բարի է՝ մա՞հ պատճառեց ինծի: Ամե՛նեւին: Հապա մեղքն էր որ մահ իրագործեց իմ մէջս՝ բարիին միջոցով, որպէսզի մեղքը գերազանցօրէն մեղաւոր երեւնայ՝ պատուիրանին միջոցով:
2d070e009e	Արդարեւ գիտենք թէ Օրէնքը հոգեւոր է, բայց ես մարմնաւոր եմ՝ ծախուած մեղքին հպատակութեան.
2d070f00ca	որովհետեւ ինչ որ կը գործադրեմ՝ չեմ ըմբռներ: Ո՛չ թէ ինչ որ կ՚ուզեմ՝ զայն կ՚ընեմ, հապա ինչ որ կ՚ատեմ՝ զայն կ՚ընեմ:
2d07100078	Ուրեմն եթէ չուզածս կ՚ընեմ, հաւանութիւն կու տամ Օրէնքին՝ թէ բարի է:
2d07110082	Իսկ հիմա՝ ո՛չ թէ ե՛ս կը գործադրեմ զայն, հապա մե՛ղքը՝ որ կը բնակի իմ մէջս:
2d071200f0	Քանի որ գիտեմ թէ իմ մէջս, այսինքն մարմինիս մէջ, ո՛չ մէկ բարի բան կը բնակի. որովհետեւ կամենալը քովս է, բայց չեմ գտներ բարին գործադրելը:
2d07130084	Արդարեւ բարին որ կ՚ուզեմ՝ չեմ ըներ, հապա չարը որ չեմ ուզեր՝ զա՛յն կ՚ընեմ:
2d071400b1	Իսկ եթէ կ՚ընեմ ինչ որ չեմ ուզեր, ա՛լ ո՛չ թէ ե՛ս կը գործադրեմ զայն, հապա մե՛ղքը՝ որ իմ մէջս կը բնակի:
2d07150086	Ուրեմն ես կը գտնեմ օրէնք մը, որ երբ կամենամ բարին ընելը, չարը քովս կ՚ըլլայ:
2d07160072	Որովհետեւ ներքին մարդուն համաձայն՝ կը հաւնիմ Աստուծոյ Օրէնքը.
2d071700fc	բայց անդամներուս մէջ կը տեսնեմ ուրի՛շ օրէնք մը, որ կը մարտնչի միտքիս Օրէնքին դէմ եւ գերի կը դարձնէ զիս մեղքի օրէնքին՝ որ անդամներուս մէջ է:
2d07180074	Ի՜նչ թշուառ մարդ եմ. ո՞վ պիտի ազատէ զիս այս մահկանացու մարմինէն:
2d07190108	Շնորհակալութիւն Աստուծոյ՝՝, մեր Տէրոջ՝ Յիսուս Քրիստոսի միջոցով: Ուրեմն ես ինքս միտքով կը ծառայեմ Աստուծոյ Օրէնքին, իսկ մարմինով՝ մեղքի օրէնքին:
2d080100b5	Ուրեմն հիմա դատապարտութիւն չկայ Քրիստոս Յիսուսով եղողներուն, որոնք մարմինին համաձայն չեն ընթանար.
2d08020099	քանի որ կեանքի Հոգիին Օրէնքը՝ Քրիստոս Յիսուսով ազատեց զիս մեղքի եւ մահուան օրէնքէն:
2d08030171	Արդարեւ ինչ որ Օրէնքը անկարող էր ընել, որովհետեւ մարմինը տկարացուցած էր զայն, Աստուած իրագործեց. իր Որդին ղրկեց՝ մեղանչական մարմինի նմանութեամբ եւ մեղքին պատճառով, ու դատապարտեց մեղքը այդ մարմինին մէջ,
2d080400b2	որպէսզի Օրէնքին արդարութիւնը գործադրուի մեր մէջ՝ որ չենք ընթանար մարմինին համաձայն, այլ՝ Հոգիին:
2d080500cb	Արդարեւ մարմինին համաձայն ապրողները՝ կը մտածեն մարմինին բաները, իսկ Հոգիին համաձայն ապրողները՝ Հոգիին բաները.
2d08060088	նաեւ մարմնաւոր մտածումը մահ է, իսկ հոգեւոր մտածումը՝ կեանք ու խաղաղութիւն:
2d080700ce	Արդարեւ մարմնաւոր մտածումը Աստուծոյ դէմ թշնամութիւն է, քանի Աստուծոյ Օրէնքին չի հպատակիր. մա՛նաւանդ չի կրնար ալ,
2d0808007a	որովհետեւ մարմինին համաձայն ապրողները չեն կրնար հաճեցնել Աստուած:
2d08090118	Բայց դուք չէք ապրիր մարմինին համաձայն, հապա՝ Հոգիին համաձայն, եթէ իսկապէս Աստուծոյ Հոգին բնակած է ձեր մէջ. իսկ եթէ մէկը Քրիստոսի Հոգին չունի, ինք անորը չէ:
2d080a00ca	Սակայն եթէ Քրիստոս ձեր մէջ է, մարմինը մեռած է մեղքին պատճառով, իսկ Հոգին կեանք կը պարգեւէ արդարութեան պատճառով:
2d080b015b	Ու եթէ Յիսուսը մեռելներէն յարուցանողին Հոգին բնակած է ձեր մէջ, ուրեմն ա՛ն՝ որ մեռելներէն յարուցանեց Քրիստոսը, կեանք պիտի տայ նաեւ ձեր մահկանացու մարմիններուն՝ իր Հոգիով, որ կը բնակի ձեր մէջ:
2d080c009c	Ուրեմն, եղբայրնե՛ր, պարտական ենք, բայց ո՛չ մարմինին՝ մարմինին համաձայն ապրելու համար:
2d080d00c0	Որովհետեւ եթէ մարմինին համաձայն ապրիք՝ պիտի մեռնիք, իսկ եթէ Հոգիով մարմինին գործերը մեռցնէք՝ պիտի ապրիք:
2d080e009a	Արդարեւ բոլոր անոնք որ կ՚առաջնորդուին Աստուծոյ Հոգիով, անո՛նք են Աստուծոյ որդիները.
2d080f00fd	քանի որ դուք չստացաք ստրկութեան հոգին՝ դարձեալ վախնալու համար, հապա ստացաք որդեգրութեա՛ն Հոգին, որուն միջոցով կը գոչենք՝՝. «Աբբա՛, Հա՛յր»:
2d08100093	Նոյնինքն Հոգին վկայութիւն կու տայ մեր հոգիին հետ թէ մենք Աստուծոյ զաւակներն ենք.
2d08110112	ու եթէ զաւակներ՝ ուրեմն ժառանգորդներ, Աստուծոյ ժառանգորդներ եւ Քրիստոսի ժառանգակիցներ, որպէսզի եթէ չարչարուինք իրեն հետ, նաեւ փառաւորուինք իրեն հետ:
2d081200f4	Արդարեւ ես այնպէս կը սեպեմ թէ այս ներկայ ժամանակին չարչարանքները՝ արժանի չեն բաղդատուելու գալիք փառքին հետ, որ պիտի յայտնուի մեր մէջ:
2d0813009e	Քանի որ արարածները եռանդուն ակնկալութեամբ կը սպասեն Աստուծոյ որդիներուն յայտնութեան:
2d081400cc	Որովհետեւ արարածները հպատակեցան ունայնութեան, (ո՛չ թէ իրենց կամքով, հապա անոր պատճառով՝ որ հպատակեցուց զիրենք,)
2d081500de	այն յոյսով՝ որ արարածները իրե՛նք ալ, ազատելով ապականութեան ստրկութենէն, հասնին Աստուծոյ զաւակներուն փառաւոր ազատութեան:
2d081600a4	Քանի որ գիտենք թէ բոլոր արարածները միասին կը հառաչեն ու երկունքի ցաւ կը քաշեն մինչեւ հիմա:
2d08170120	Եւ ո՛չ միայն անոնք, հապա մե՛նք ալ՝ որ ունինք Հոգիին երախայրիքը, նոյնիսկ մե՛նք մեր մէջ կը հառաչենք՝ սպասելով որդեգրութեան, այսինքն մեր մարմինին ազատագրութեան:
2d081800f8	Որովհետեւ մենք յոյսով փրկուեցանք. բայց այն յոյսը որ կը տեսնուի՝ յոյս չէ. քանի որ ինչո՞ւ մէկը տակաւին յուսայ այն բանին՝ որ արդէն կը տեսնէ:
2d0819007c	Իսկ եթէ կը յուսանք մեր չտեսած բանին, ա՛լ համբերութեամբ սպասենք անոր:
2d081a0144	Նոյնպէս Հոգին ալ կ՚օգնէ մեր տկարութիւններուն մէջ. քանի որ չենք գիտեր ի՛նչ բանի համար աղօթելու ենք՝ ինչպէս պէտք է. բայց Հոգին ի՛նք կը բարեխօսէ մեզի համար՝ անբարբառ հառաչանքներով:
2d081b00d3	Եւ ա՛ն՝ որ կը զննէ սիրտերը, գիտէ Հոգիին ի՛նչ մտածելը, քանի որ կը բարեխօսէ սուրբերուն համար Աստուծոյ կամքին համաձայն:
2d081c00ef	Նաեւ գիտենք թէ բոլոր բաները բարիին գործակից կ՚ըլլան անո՛նց՝ որ կը սիրեն Աստուած, անո՛նց՝ որ կանչուած են իր առաջադրութեան համաձայն:
2d081d0119	Որովհետեւ անո՛նք՝ որ նախապէս ճանչցաւ, նաեւ նախասահմանեց՝ կերպարանակից ըլլալու իր Որդիին պատկերին, որպէսզի ան ըլլայ անդրանի՛կը բազմաթիւ եղբայրներու մէջ:
2d081e00cd	Եւ անոնք որ նախասահմանեց՝ նաեւ կանչեց, անոնք որ կանչեց՝ նաեւ արդարացուց, եւ անոնք որ արդարացուց՝ նաեւ փառաւորեց:
2d081f0093	Ուրեմն ի՞նչ ըսենք այս բաներուն մասին. եթէ Աստուած մեր կողմն է, ո՞վ հակառակ է մեզի:
2d082000db	Ա՛ն՝ որ չխնայեց իր իսկ Որդիին, հապա մատնեց զայն մեր բոլորին համար, ի՞նչպէս անոր հետ նաեւ պիտի չպարգեւէ մեզի բոլոր բաները:
2d08210071	Ո՞վ պիտի մեղադրէ Աստուծոյ ընտրածները. Աստուա՛ծ է արդարացնողը:
2d082200db	Ուրեմն ո՞վ է դատապարտողը. Քրիստոս՝ որ մեռաւ, մա՛նաւանդ յարութիւն առաւ եւ Աստուծոյ աջ կողմն է, ա՛ն կը բարեխօսէ մեզի համար:
2d082300f5	Ուրեմն ո՞վ պիտի զատէ մեզ Քրիստոսի սէրէն. տառապա՞նքը, կամ տագնա՞պը, կամ հալածա՞նքը, կամ սո՞վը, կամ մերկութի՞ւնը, կամ վտա՞նգը, կամ սո՞ւրը:
2d082400a6	(Ինչպէս գրուած է. «Քեզի՛ համար ամբողջ օրը կը մեռցուինք. սպանդանոցի ոչխարի պէս կը սեպուինք»:)
2d0825008d	Նոյնիսկ այս բոլոր բաներուն մէջ աւելի քան յաղթող կ՚ըլլանք անո՛վ՝ որ սիրեց մեզ:
2d08260105	Որովհետեւ ես համոզուած եմ թէ ո՛չ մահը, ո՛չ կեանքը, ո՛չ հրեշտակները, ո՛չ իշխանութիւնները, ո՛չ զօրութիւնները, ո՛չ ներկայ բաները, ո՛չ գալիք բաները,
2d082700fc	ո՛չ բարձրութիւնը, ո՛չ խորունկութիւնը, ո՛չ ալ ոեւէ ուրիշ արարած պիտի կարենայ զատել մեզ Աստուծոյ սէրէն, որ Քրիստոս Յիսուսով՝ մեր Տէրոջմով է:
2d090100a1	Ճշմարտութիւնը կ՚ըսեմ Քրիստոսով ու չեմ ստեր, (իմ խղճմտանքս ալ կը վկայէ ինծի Սուրբ Հոգիով,)
2d0902005e	թէ մեծ տրտմութիւն ունիմ, եւ սիրտիս մէջ՝ յարատեւ ցաւ:
2d090300bd	Քանի որ կ՚ըղձայի ես ինքս նզովուած ըլլալ Քրիստոսէ, իմ եղբայրներուս՝ մարմինի կողմէն ազգականներուս համար,
2d090400c3	որոնք Իսրայելացի են: Անո՛նցն են որդեգրութիւնը, փառքը, ուխտերը, օրէնսդրութիւնը, պաշտամունքն ու խոստումները:
2d090500d3	Իրե՛նցն են նախահայրերը. իրենցմէ՛ ալ մարմինի կողմէն եկաւ Քրիստոս, որ բոլորին վրայ է, յաւիտեան օրհնեա՜լ Աստուած: Ամէն:
2d090600a8	Բայց Աստուծոյ խօսքը ապարդիւն նկատուելու չէ. քանի որ բոլոր Իսրայէլէ եղողները Իսրայելացի չեն,
2d090700c8	ո՛չ ալ բոլորը զաւակներ են՝ քանի որ Աբրահամի զարմն են. հապա ըսուեցաւ. «Իսահակի՛ անունով պիտի կոչուի քու զարմդ»:
2d090800c2	Այսինքն անոնք որ մարմինի զաւակներն են՝ Աստուծոյ զաւակները չեն. հապա խոստումի՛ն զաւակները զարմ կը սեպուին:
2d09090097	Որովհետեւ խոստումին խօսքը սա՛ էր. «Այս ատեն պիտի գամ, ու Սառա որդի մը պիտի ունենայ»:
2d090a007e	Եւ ո՛չ միայն այդ, այլ նաեւ երբ Ռեբեկա յղացաւ մէկէն՝ մեր Իսահակ հօրմէն,
2d090b00f2	(քանի որ զաւակները դեռ չծնած, ո՛չ ալ որեւէ բարիք կամ չարիք գործած, որպէսզի Աստուծոյ առաջադրութիւնը հաստատ մնայ՝ ընտրութեան համաձայն,
2d090c007a	այսինքն ո՛չ թէ գործերէն ըլլայ, հապա անկէ՛ որ կանչեց,) անոր ըսուեցաւ.
2d090d0093	«Երէցը պիտի ծառայէ կրտսերին», ինչպէս գրուած է. «Յակո՛բը սիրեցի, իսկ Եսաւը ատեցի»:
2d090e0079	Ուրեմն ի՞նչ ըսենք. միթէ Աստուծոյ քով անիրաւութի՞ւն կայ: Ամե՛նեւին:
2d090f00b5	Որովհետեւ ան Մովսէսի կ՚ըսէ. «Անո՛ր որ պիտի ողորմիմ՝ կ՚ողորմիմ, եւ անո՛ր վրայ որ պիտի գթամ՝ կը գթամ»:
2d09100095	Ուրեմն ո՛չ մարդուն ուզելէն, ո՛չ ալ վազելէն՝՝ կախեալ է, հապա Աստուծմէ՝ որ կ՚ողորմի:
2d091100f4	Քանի որ Գիրքը կ՚ըսէ Փարաւոնի. «Բարձրացուցի քեզ, որպէսզի իմ զօրութիւնս ցոյց տամ քու միջոցովդ, եւ իմ անունս հռչակուի ամբողջ երկրին մէջ»:
2d0912006c	Ուրեմն կ՚ողորմի որո՛ւն որ ուզէ, եւ կը խստացնէ զա՛յն որ ուզէ:
2d091300bf	Հետեւաբար դուն պիտի ըսես ինծի թէ “ա՛լ ինչո՞ւ կը մեղադրէ, որովհետեւ ո՞վ կրնայ ընդդիմանալ անոր ծրագիրին”:
2d091400e5	Բայց դուն ո՞վ ես, ո՛վ մարդ, որ կը դիմադարձես Աստուծոյ: Միթէ կերտուած ը կրնա՞յ ըսել զինք կերտողին. «Ինչո՞ւ ա՛յսպէս շինեցիր զիս»:
2d091500e5	Միթէ բրուտը իրաւասութիւն չունի՞ կաւին վրայ, որ նոյն զանգուածէն շինէ անօթ մը՝ պատիւի համար, իսկ ուրիշ մը՝ անպատուութեան համար:
