0100000008	Ebandeli
0d1a1f0106	Mpo na bakitani ya Ebron: Yeriya azalaki mokonzi na bango, kolanda milongo ya mabota na bango. Na mobu ya tuku minei ya bokonzi ya Davidi, batalaki malamu na buku ya mabota mpe bamonaki kati na engumba Yaezeri ya Galadi, bilombe mibali kati na bakitani ya Ebron.
0d1a200100	Yeriya azalaki na bandeko mibali nkoto mibale na nkama sambo: bazalaki bilombe mibali mpe bakambi ya mabota. Mokonzi Davidi apesaki bango mokumba ya misala nyonso ya Nzambe mpe ya mokonzi kati na libota ya Ribeni, ya Gadi mpe ya ndambo ya libota ya Manase.
0d1b010184	Tala bana ya Isalaele oyo bazalaki kosalela mokonzi: ezalaki na bakambi ya mabota, bakonzi ya bankoto mpe ya bankama ya basoda mpe bakomi mikanda. Mosala na bango ezalaki: kotala makambo oyo etali mabongisi ya mampinga. Sanza na sanza kati na mobu, lisanga moko ezalaki kokota na mosala mpe lisanga mosusu ezalaki kobima. Lisanga moko na moko ezalaki na mibali nkoto tuku mibale na minei.
0d1b020085	Mpo na sanza ya liboso: lisanga ya Yashobeami, mwana mobali ya Zabidieli; lisanga yango ezalaki na mibali nkoto tuku mibale na minei.
0d1b030070	Yashobeami azalaki mokitani ya Peretsi mpe azalaki mokonzi ya bakonzi nyonso ya mampinga mpo na sanza ya liboso.
0d1b0400ad	Mpo na sanza ya mibale: lisanga ya Dodayi, moto ya libota ya Aoyi. Mikiloti azalaki mokambi ya lisanga ya Dodayi. Lisanga yango ezalaki na mibali nkoto tuku mibale na minei.
0d1b05009b	Mpo na sanza ya misato: lisanga ya Benaya, mwana mobali ya Yeoyada, mokonzi ya Banganga-Nzambe; lisanga yango ezalaki na mibali nkoto tuku mibale na minei.
0d1b0600a5	Benaya azalaki moko kati na basoda ya mpiko tuku misato mpe azalaki mokonzi na bango; Amizadabi, mwana na ye ya mobali, azalaki moko kati na basoda ya lisanga yango.
0d1b0700ab	Mpo na sanza ya minei: lisanga ya Asaeli, ndeko mobali ya Joabi. Zebadia, mwana na ye ya mobali, akitanaki na ye; lisanga yango ezalaki na bato nkoto tuku mibale na minei.
0d1b08008d	Mpo na sanza ya mitano: lisanga ya mokambi Shamewuti, moto ya libota ya Yizirayi; lisanga yango ezalaki na mibali nkoto tuku mibale na minei.
0d1b090094	Mpo na sanza ya motoba: lisanga ya Ira, mwana mobali ya Ikeshi, moto ya libota ya Tekoa; lisanga yango ezalaki na mibali nkoto tuku mibale na minei.
0d1b0a00a8	Mpo na sanza ya sambo: lisanga ya Eletsi, moto ya libota ya Peloni, moko kati na bato ya libota ya Efrayimi; lisanga yango ezalaki na mibali nkoto tuku mibale na minei.
0d1b0b009f	Mpo na sanza ya mwambe: lisanga ya Sibekayi, moto ya libota ya Usha, moko kati na bakitani ya Zera; lisanga yango ezalaki na mibali nkoto tuku mibale na minei.
0d1b0c00a8	Mpo na sanza ya libwa: lisanga ya Abiezeri, moto ya libota ya Anatoti, moko kati na bato ya libota ya Benjame; lisanga yango ezalaki na bato nkoto tuku mibale na minei.
0d1b0d009e	Mpo na sanza ya zomi: lisanga ya Maarayi, moto ya libota ya Netofa, moko kati na bakitani ya Zera; lisanga yango ezalaki na mibali nkoto tuku mibale na minei.
0d1b0e00b1	Mpo na sanza ya zomi na moko: lisanga ya Benaya, moto ya libota ya Piratoni, moko kati na bato ya libota ya Efrayimi; lisanga yango ezalaki na mibali nkoto tuku mibale na minei.
0d1b0f00ac	Mpo na sanza ya zomi na mibale: lisanga ya Elidayi, moto ya libota ya Netofa, moko kati na bakitani ya Otinieli; lisanga yango ezalaki na mibali nkoto tuku mibale na minei.
0d1b100099	Tala bakonzi ya mabota ya Isalaele: Mpo na libota ya Ribeni: Eliezeri, mwana mobali ya Zikiri; mpo na libota ya Simeoni: Shefatia, mwana mobali ya Maaka;
0d1b110058	mpo na libota ya Levi: Ashabia, mwana mobali ya Kemweli; mpo na libota ya Aron: Tsadoki;
0d1b12006f	mpo na libota ya Yuda: Eliwu, ndeko mobali ya Davidi; mpo na libota ya Isakari: Omiri, mwana mobali ya Mikaeli;
0d1b13007f	mpo na libota ya Zabuloni: Yishimaeya, mwana mobali ya Abidiasi; mpo na libota ya Nefitali: Yerimoti, mwana mobali ya Azirieli;
0d1b140079	mpo na libota ya Efrayimi: Oze, mwana mobali ya Azazia; mpo na ndambo ya libota ya Manase: Joeli, mwana mobali ya Pedaya;
0d1b15008c	mpo na ndambo ya libota ya Manase kati na Galadi: Yido, mwana mobali ya Zakari; mpo na libota ya Benjame: Yaasieli, mwana mobali ya Abineri;
0d1b160070	mpo na libota ya Dani: Azareeli, mwana mobali ya Yeroami. Bango wana nde bazalaki bakonzi ya mabota ya Isalaele.
0d1b1700a4	Davidi atangaki te molongo ya mibali oyo bazalaki na se ya mibu tuku mibale ya mbotama, pamba te Yawe alakaki ete akokomisa Isalaele ebele lokola minzoto ya likolo.
0d1b1800df	Joabi, mwana mobali ya Tseruya, abandaki kotanga bango kasi asilisaki te. Pamba te likolo ya botangi wana, Yawe akitiselaki Isalaele kanda na Ye. Boye, motango ya bato yango ekomamaki te na buku ya masolo ya mokonzi Davidi.
0d1b1900d1	Azimaveti, mwana mobali ya Adieli, azalaki kobatela bibombelo ya bozwi ya mokonzi. Jonatan, mwana mobali ya Oziasi, azalaki mobateli ya bibombelo na bazamba, na bingumba, na bamboka mike mpe na bandako milayi.
0d1b1a0041	Eziri, mwana mobali ya Kelubi, azalaki mokambi ya basali bilanga;
0d1b1b0096	Shimei, moto ya engumba Rama, azalaki mobateli bilanga ya vino; Zabidi, moto ya engumba Shefami, azalaki mobateli masanga ya vino mpe bilanga ya vino.
0d1b1c009e	Bala-Anani, moto ya engumba Gederi, azalaki mobateli banzete ya olive mpe ya sikomori, na lubwaku ya ngambo ya weste; Yoashi azalaki mobateli mafuta ya olive;
0d1b1d00a0	Shitrayi, moto ya engumba Saroni, azalaki mobateli bangombe oyo ezalaki kolia na Saroni; Shafati, mwana mobali ya Adilayi, azalaki mobateli bangombe na mabwaku.
0d1b1e0081	Obili, moto ya libota ya Isimaeli, azalaki mobateli bashamo; Yedeya, moto ya libota ya Meronoti, azalaki mobateli ba-ane ya basi.
0d1b1f0072	Yazizi, moto ya libota ya Agari, azalaki mobateli bibwele. Bango nyonso bazalaki babateli bozwi ya mokonzi Davidi.
0d1b2000a4	Jonatan, ndeko ya tata ya Davidi, azalaki mopesi toli, moto ya mayele mpe mokomi mikanda. Yeyeli, mwana mobali ya Akimoni, azalaki kolandela bana mibali ya mokonzi.
0d1b210068	Ayitofeli azalaki mopesi toli ya mokonzi; mpe Ushayi, moto ya Ariki, azalaki mobateli sekele ya mokonzi.
0d1b22007b	Yeoyada, mwana mobali ya Benaya, elongo na Abiatari, bakitanaki na Ayitofeli. Joabi azalaki mokonzi ya mampinga ya mokonzi.
0d1c01015a	Davidi abengisaki bakambi nyonso ya Isalaele, na Yelusalemi: bakonzi ya mabota, bakonzi ya masanga ya basoda oyo bazalaki kosalela mokonzi, bakonzi ya bankoto mpe ya bankama ya basoda, babateli bozwi mpe bibwele ya mokonzi, bato oyo balandelaka bana na ye ya mibali elongo na basali ya ndako ya mokonzi, basoda ya mpiko mpe bato nyonso ya lokumu.
0d1c020101	Mokonzi Davidi atelemaki mpe alobaki: — Boyoka ngai, bandeko na ngai mpe bato na ngai: Nazalaki na likanisi ya kotonga esika ya kopema mpo na Sanduku ya Boyokani ya Yawe, enyatelo ya makolo ya Nzambe na biso; bongo nabongisaki biloko mpo na kotonga yango.
0d1c03007b	Kasi Nzambe alobaki na ngai: «Okotonga ndako mpo na Kombo na Ngai te, pamba te ozali moto ya bitumba mpe osopaki makila.»
0d1c04013e	Nzokande, Yawe, Nzambe ya Isalaele, aponaki ngai kati na libota na ngai mobimba mpo ete nazala mokonzi ya Isalaele mpo na libela. Aponaki Yuda mpo ete azala mokonzi; mpe kati na ndako ya Yuda, aponaki libota ya tata na ngai; mpe kati na bana mibali ya tata na ngai, asepelaki kokomisa ngai mokonzi ya Isalaele mobimba.
0d1c0500b1	Kati na bana na ngai nyonso ya mibali, pamba te Yawe apesi ngai bango ebele, aponaki Salomo, mwana na ngai ya mobali, mpo ete avanda na Kiti ya Bokonzi ya Yawe kati na Isalaele.
0d1c0600af	Alobaki na ngai: «Mwana na yo, Salomo, nde akotonga Ndako na Ngai mpe lopango na Ngai, pamba te naponaki ye mpo ete azala mwana mpo na Ngai, mpe Ngai nakozala tata mpo na ye.
0d1c070070	Nakolendisa bokonzi na ye mpo na libela soki akangami makasi na mibeko na Ngai ndenge azali kosala yango lelo.»
0d1c080130	Sik’oyo, napesi bino mokumba liboso ya Isalaele mobimba, ya lisanga ya Yawe, mpe liboso ya Nzambe na biso, oyo azali koyoka biso: Bosala keba mpo na kolanda mitindo nyonso ya Yawe, Nzambe na bino, mpo ete bozwa mokili oyo ya kitoko mpe kotika yango lokola libula epai ya bakitani na bino mpo na libela.
0d1c090118	Bongo, yo Salomo, mwana na ngai, yeba Nzambe ya tata na yo mpe salela Ye na motema na yo mobimba mpe na esengo; pamba te Yawe amonaka kino na bozindo ya mitema nyonso mpe asosolaka makanisi na yango nyonso. Soki oluki Ye, okomona Ye; kasi soki atiki Ye, akobwaka yo mpo na libela.
0d1c0a0077	Yeba sik’oyo ete Yawe aponi yo mpo ete otongela Ye Ndako oyo ekozala Esika na Ye ya Bule. Yika mpiko mpe sala mosala.
0d1c0b00ef	Davidi apesaki Salomo, mwana na ye ya mobali, elili ya ndako moke ya kokotela na Tempelo, ya bandako mosusu ya Tempelo, ya bibombelo na yango, ya bashambre na yango ya likolo, ya bashambre na yango ya kati mpe ya esika ya bolimbisi masumu.
0d1c0c00c4	Apesaki ye elili ya nyonso oyo molimo atiaki na makanisi na ye na tina na lopango ya Tempelo ya Yawe, ya bashambre nyonso ya zingazinga, ya biloko ya talo ya Ndako ya Nzambe mpe ya biloko ya bule.
0d1c0d008e	Davidi apesaki ye mibeko na tina na masanga ya Banganga-Nzambe mpe ya Balevi, na tina na misala nyonso mpe bisalelo nyonso ya Tempelo ya Yawe.
0d1c0e009d	Mpo na bisalelo ya mosala, Davidi atalisaki kilo ya wolo oyo ekoki mpo na bisalelo nyonso ya wolo; kilo ya palata oyo ekoki mpo na bisalelo nyonso ya palata:
0d1c0f013c	kilo ya wolo mpo na bitelemiselo ya minda basala na wolo mpe minda na yango ya wolo kolanda kilo ya etelemiselo moko na moko ya minda elongo na minda na yango; kilo ya palata mpo na etelemiselo moko na moko ya minda, basala na palata mpe minda na yango ya palata kolanda mosala ya etelemiselo moko na moko ya mwinda;
0d1c100064	kilo ya wolo mpo na mesa moko na moko ya mapa oyo ebulisami, kilo ya palata mpo na bamesa ya palata;
0d1c1100dc	kilo ya wolo ya peto mpo na bakanya, basani oyo basalelaka mpo na kosopa mayi, mpe mpo na bakopo ya milayi; kilo ya wolo mpo na kopo moko na moko ya moke moko; kilo ya palata mpo na moko na moko ya bakopo mike ya palata;
0d1c1200b7	mpe kilo ya wolo ya peto mpo na etumbelo ya malasi. Apesaki ye lisusu elili ya shar ya basheribe ya wolo oyo mapapu na yango ezali ya kofungwama mpe ezipi Sanduku ya Boyokani ya Yawe.
0d1c1300ab	Davidi alobaki: — Nyonso oyo nazali na yango na mokanda oyo, ekomami na loboko na Yawe; Ye moko apesi ngai mayele mpo na kososola misala nyonso oyo elili ezali kotalisa.
0d1c1400fd	Davidi alobaki lisusu na Salomo, mwana na ye ya mobali: — Yika mpiko mpe sala mosala! Kobanga te, kozala mpe na somo te; pamba te Yawe, Nzambe na ngai, azali elongo na yo; akotika yo te mpe akobwaka yo te kino mosala nyonso ya Tempelo ya Yawe ekosila.
0d1c150138	Ezali mpe na masanga ebele ya Banganga-Nzambe mpe ya Balevi oyo babongisami mpo na misala ya ndenge na ndenge kati na Tempelo ya Yawe. Na mosala oyo nyonso, okozwa lisungi ya bato oyo bayebi mosala malamu, oyo bamipesa bango moko mpo na misala ya ndenge na ndenge. Bakonzi mpe bato nyonso bakotosa mitindo na yo.
0d1d010100	Mokonzi Davidi alobaki na lisanga mobimba: — Salomo, mwana na ngai ya mobali, moko kaka oyo Nzambe aponi, azali nanu elenge mpe ayebi penza makambo malamu te. Nzokande, mosala ezali monene, pamba te Ndako oyo ezali mpo na moto te kasi mpo na Yawe Nzambe.
0d1d020178	Na bozwi na ngai nyonso, nabongisaki mpo na Ndako ya Nzambe na ngai: wolo mpo na misala ya wolo, palata mpo na misala ya palata, ebende mpo na misala ya bibende, mabaya mpo na misala ya mabaya, mabanga ya onikisi mpe mabanga ya kobamba, mabanga oyo engengaka mpe ya balangi ebele, mabanga ya talo ya lolenge nyonso mpe mabanga ya marbre. Biloko oyo nyonso ezalaki penza ebele.
0d1d0300dd	Mpe lisusu, na tina na bolingo na ngai mpo na Ndako ya Nzambe na ngai, napesi sik’oyo wuta na bozwi na ngai moko: wolo mpe palata mpo na Ndako ya Nzambe na ngai likolo ya nyonso oyo nabongisaki mpo na Ndako oyo ya bule:
0d1d040088	kilo nkoto nkama moko ya wolo ya peto ya Ofiri, kilo nkoto nkama mibale na tuku mitano ya palata ya peto mpo na kolatisa bamir ya Ndako.
0d1d0500d6	Wolo mpe palata yango ebongisami mpo na misala ya wolo mpe ya palata, mpe mpo na misala nyonso oyo bato ya misala ya maboko basengeli kosala. Sik’oyo, nani alingi kopesa na esengo mpe na motema moko epai na Yawe?
0d1d0600a8	Boye, bakambi ya mabota, bakonzi ya mabota ya Isalaele, bakonzi ya bankoto mpe ya bankama mpe bakambi ya misala ya mokonzi bapesaki makabo wuta na mitema na bango moko.
0d1d0700f2	Mbala moko, bapesaki mpo na mosala ya Ndako ya Nzambe: bakilo nkama tuku sambo ya wolo, biloko ya wolo nkoto zomi, bakilo koleka minkoko nkama misato ya palata, bakilo nkoto nkama motoba ya bronze, mpe bakilo koleka minkoko misato ya bibende.
0d1d08008f	Bato nyonso oyo bazalaki na mabanga ya talo bapesaki yango na ebombelo ya bozwi ya Tempelo ya Yawe epai ya Yeyeli, moto ya libota ya Gerishoni.
0d1d0900c7	Bato basepelaki mingi na makabo oyo bango moko bapesaki wuta na mokano ya mitema na bango, pamba te bazalaki kopesa yango epai ya Yawe, na motema mobimba. Mokonzi Davidi mpe asepelaki na yango mingi.
0d1d0a008f	Davidi akumisaki Yawe liboso ya lisanga mobimba na maloba oyo: «Oh Yawe, Nzambe ya Isalaele, tata na biso, tika ete ozwa lokumu mpo na libela!
0d1d0b00cb	Oh Yawe, monene, nguya, kongenga, nkembo mpe bokonzi ezali ya Yo; pamba te biloko nyonso oyo ezali na likolo mpe na se ezali ya Yo. Yawe, bokonzi ezali ya Yo, osalaka nyonso oyo olingi na ekelamu nyonso.
0d1d0c00a1	Bozwi mpe lokumu ewutaka epai na Yo; ozali na bokonzi likolo na nyonso, makasi mpe nguya ezali na maboko na Yo mpo na kotombola mpe kopesa makasi na moto nyonso.
0d1d0d0047	Nzambe na biso, tozali sik’oyo kosanzola Yo mpe kokumisa Kombo na Yo.
0d1d0e00c7	Nazali nani, mpe bato na ngai bazali banani, mpo ete tozwa makoki ya kopesa makabo oyo, wuta na mokano ya mitema na biso moko? Nyonso ewutaka epai na Yo, mpe topesi Yo kaka oyo ewuti na loboko na Yo.
0d1d0f0096	Liboso na Yo, tozali bapaya mpe baleki nzela, ndenge ezalaki batata na biso. Mikolo na biso awa na mokili ezali koleka lokola elili oyo ezangi elikya.
0d1d100098	Oh Yawe, Nzambe na biso, bomengo nyonso oyo tobongisi mpo na kotonga Tempelo mpo na lokumu ya Kombo na Yo ya Bule ewuti na loboko na Yo mpe ezali ya Yo.
0d1d11010b	Oh Nzambe na ngai, nayebi ete oyebi bozindo ya mitema na biso, osepelaka na bosembo. Napesi nyonso oyo wuta na mokano ya motema na ngai moko mpe na makanisi ya lokuta te. Sik’oyo, namoni ndenge nini bato na Yo, oyo bazali awa, bapesi Yo makabo oyo na motema malamu.
0d1d1200ac	Oh Yawe, Nzambe ya Abrayami, Izaki mpe Isalaele, batata na biso, batela makanisi oyo kati na mitema ya bato na Yo mpo na libela mpe sala ete mitema na bango ekangama na Yo.
0d1d1300ca	Pesa na mwana na ngai ya mobali, Salomo, motema ya boyengebene mpo na kobatela mitindo na Yo, malako na Yo mpe bikateli na Yo; mpo na kosala nyonso mpe kotonga Ndako oyo nasaleli mabongisi oyo nyonso.»
0d1d1400ba	Davidi alobaki na bato nyonso: — Bopambola Yawe, Nzambe na bino! Boye, bato nyonso bakumisaki Yawe, Nzambe ya bakoko na bango, bagumbamaki mpe bafukamaki liboso ya Yawe mpe ya mokonzi.
0d1d1500f5	Mokolo oyo elandaki, babonzaki bambeka mpe bambeka ya kotumba epai na Yawe: bangombe ya mibali nkoto moko, bameme ya mibali nkoto moko mpe bana meme nkoto moko elongo na makabo ya masanga ya vino mpe makabo mosusu ebele, mpo na Isalaele mobimba.
0d1d1600ec	Baliaki mpe bamelaki liboso ya Yawe na esengo na mokolo wana, mpe batatolaki mpo na mbala ya mibale ete Salomo, mwana mobali ya Davidi, azali mokonzi. Bapakolaki ye mafuta mpo ete azala mokonzi; mpe Tsadoki, mpo ete azala Nganga-Nzambe.
0d1d170087	Salomo avandaki na Kiti ya Bokonzi ya Yawe lokola mokonzi na esika ya Davidi, tata na ye. Apambolamaki mpe Isalaele mobimba etosaki ye.
0d1d180064	Bakonzi nyonso, basoda ya mpiko mpe bana nyonso ya mibali ya mokonzi Davidi batosaki mokonzi Salomo.
0d1d190097	Yawe atombolaki Salomo makasi liboso ya Isalaele mobimba, mpe apesaki ye lokumu ya bokonzi koleka bakonzi nyonso ya Isalaele oyo balekaki liboso na ye.
0d1d1a0043	Davidi, mwana mobali ya Izayi, azalaki mokonzi ya Isalaele mobimba.
0d1d1b006b	Davidi akonzaki Isalaele mibu tuku minei: mibu sambo na Ebron mpe mibu tuku misato na misato na Yelusalemi.
0d1d1c0094	Akufaki na kimobange ya esengo. Atondisamaki na mibu ebele, na bozwi mpe na lokumu; bongo Salomo, mwana na ye ya mobali, akitanaki na ye na bokonzi.
0d1d1d00ca	Makambo mosusu oyo etali bokonzi ya Davidi, wuta na ebandeli kino na suka, ekomama kati na buku ya misala ya mosakoli Samuele, na buku ya misala ya mosakoli Natan mpe na buku ya misala ya mosakoli Gadi.
0d1d1e00a8	Kati na babuku ya misala yango, balobelaki mpe makambo nyonso ya bokonzi mpe ya makasi na ye, makambo nyonso oyo ekomelaki ye, Isalaele mpe mikili nyonso ya zingazinga.
0e00000010	2 Masolo ya Kala
0e0101009b	Salomo, mwana mobali ya Davidi, alendisamaki makasi na bokonzi na ye, pamba te Yawe, Nzambe na ye, azalaki elongo na ye mpe akomisaki ye moto monene penza.
0e0102009d	Salomo abengisaki Isalaele mobimba: bakonzi ya bankoto ya basoda, bakonzi ya bankama ya basoda, basambisi, bakambi ya Isalaele mobimba mpe bakambi ya mabota.
0e010300cb	Bongo, Salomo elongo na lisanga mobimba bakendeki na esambelo ya likolo ya ngomba, na Gabaoni, pamba te Ndako ya kapo ya Bokutani ya Nzambe, oyo Moyize, mosali na Yawe, atelemisaki na esobe ezalaki kuna.
0e010400b2	Nzokande, Davidi amemaki Sanduku ya Nzambe, wuta na Kiriati-Yearimi kino na esika oyo abongisaki mpo na yango, pamba te atelemisaki mpo na yango Ndako ya kapo kati na Yelusalemi.
0e010500b5	Kasi etumbelo ya bronze oyo Betisaleyeli, mwana mobali ya Uri mpe koko ya Wuri, atongaki ezalaki liboso ya Mongombo. Ezalaki kuna nde Salomo elongo na lisanga mobimba balukaki Yawe.
0e01060089	Salomo akendeki na etumbelo ya bronze, liboso ya Yawe kati na Ndako ya kapo ya Bokutani, mpe abonzaki kuna bambeka ya kotumba nkoto moko.
0e01070068	Na butu wana, Nzambe abimelaki Salomo mpe alobaki na ye: — Senga Ngai nyonso oyo olingi ete napesa yo.
0e01080079	Salomo azongiselaki Nzambe: — Otalisi bolamu monene epai ya Davidi, tata na ngai, mpe otie ngai mokonzi na esika na ye.
0e010900b8	Sik’oyo, oh Yawe Nzambe, tika ete elaka oyo opesaki epai ya Davidi, tata na ngai, ekokisama! Pamba te ezali Yo nde otie ngai mokonzi ya bato oyo bazali ebele lokola putulu ya mabele.
0e010a0079	Pesa ngai bwanya mpe boyebi mpo ete nakoka kotambolisa bato oyo. Pamba te, nani akolonga kokamba ebele ya bato na Yo oyo?
0e010b0117	Nzambe alobaki na Salomo: — Lokola likambo oyo ezali posa ya motema na yo; lokola osengi bozwi te, bomengo to lokumu te to mpe kufa ya banguna na yo te; lokola osengi te bomoi molayi, kasi osengi bwanya mpe boyebi mpo na kotambolisa bato na Ngai, oyo natie yo mokonzi na bango,
0e010c00b6	bwanya mpe boyebi ekopesamela yo, mpe nakopesa yo lisusu bozwi, bomengo mpe lokumu oyo mokonzi moko te, liboso na yo, atikala kozwa, mpe mokonzi moko te, sima na yo, akotikala kozwa.
0e010d00b7	Bongo Salomo alongwaki na esambelo ya likolo ya ngomba, na Gabaoni epai wapi akendeki liboso ya Ndako ya kapo ya Bokutani, mpe azongaki na Yelusalemi. Mpe akomaki mokonzi ya Isalaele.
0e010e012a	Salomo asangisaki bashar mpe basoda oyo batambolaka likolo ya bampunda; azalaki na bashar nkoto moko na nkama minei, mpe basoda oyo batambolaka likolo ya bampunda, nkoto zomi na mibale. Abombaki bango kati na bingumba epai wapi babombaka bashar, mpe na Yelusalemi epai wapi mokonzi azalaki kovanda.
0e010f00af	Mokonzi asalaki ete wolo mpe palata ekoma ebele na Yelusalemi lokola mabanga, mpe banzete ya sedele ekoma ebele lokola banzete ya sikomori oyo ezali kati na mokili ya lubwaku.
0e0110008c	Bampunda ya Salomo ezalaki kowuta na Ejipito mpe na engumba Kue. Bato ya mombongo ya mokonzi nde bazalaki kosomba yango kuna na engumba Kue.
0e011100f5	Bazalaki kosomba na Ejipito shar moko na motuya ya mbongo ya bibende ya palata, nkama motoba, mpe mpunda moko na motuya ya mbongo ya bibende, nkama moko na tuku mitano; bazalaki mpe kosomba yango mpo na bakonzi nyonso ya bato ya Iti mpe ya Siri.
0e0201005a	Salomo apesaki mitindo mpo na kotonga Tempelo ya Yawe mpe ndako ya mokonzi mpo na ye moko.
0e020200c2	Salomo asangisaki bato nkoto tuku sambo mpo na komema biloko ya kotongela, bato nkoto tuku mwambe mpo na kobuka mabanga na bangomba, mpe bato nkoto misato na nkama motoba mpo na kokengela bango.
0e020300cc	Salomo atindaki maloba oyo epai ya Irami, mokonzi ya Tiri: — Sala na ngai ndenge osalaki mpo na Davidi, tata na ngai, tango otindelaki ye mabaya ya nzete ya sedele mpo na kotonga ndako na ye ya kovanda.
0e020401c8	Nzokande, ngai nalingi sik’oyo kotonga Tempelo mpo na Kombo na Yawe, Nzambe na ngai, mpo na kobulisa yango mpo na lokumu na Ye, mpo na kobonzela Ye malasi ya solo kitoko lokola mbeka, mpo na kobongisaka kuna mapa tango nyonso, mpo na kobonzaka kuna bambeka ya kotumba, tongo mpe pokwa, mpe mpo na kosepelaka kuna mikolo ya Saba, ya ebandeli ya sanza mpe ya bafeti oyo ekatama, ya Yawe, Nzambe na biso, ndenge ezali malako ya tango nyonso mpo na Isalaele.
0e02050062	Tempelo oyo nakotonga ekozala monene, pamba te Nzambe na biso azali monene koleka banzambe nyonso.
0e020600d8	Kasi nani akoki kotongela Ye Tempelo, pamba te Likolo mpe Likolo oyo eleki likolo ekoki kokoka Ye te? Mpe ngai nde nani mpo ete natongela Ye Tempelo, soki kaka etumbelo te mpo na kotumba mbeka ya malasi liboso na Ye?
0e0207013a	Boye, tindela ngai moto oyo ayebi kosalela wolo, palata, bronze, ebende, langi ya motane ya pete, langi ya motane ya makasi mpe langi ya ble, mpe ayebi kotobola bililingi, mpo ete asala mosala, kati na Yuda mpe Yelusalemi, elongo na basali na ngai, oyo bayebi penza mosala, ba-oyo Davidi, tata na ngai, abongisaki.
0e020800cb	Tindela ngai mpe, wuta na Libani, mabaya ya nzete ya sedele, ya sipele mpe ya santale, pamba te nayebi ete bato na yo bayebi malamu kokata banzete ya Libani. Bato na ngai bakosala elongo na basali na yo,
0e02090067	bakobongisela ngai mabaya ebele, pamba te Tempelo oyo nazali kotonga esengeli kozala monene mpe kitoko.
0e020a00b0	Nakopesa na basali na yo, oyo bakokata banzete batone nkoto motoba ya ble, batone nkoto minei ya orje, balitele ya vino nkoto nkama libwa, balitele ya mafuta nkoto nkama libwa.
0e020b0081	Irami, mokonzi ya Tiri, azongiselaki Salomo na mokanda: — Ezali mpo ete Yawe alingi bato na Ye nde akomisi yo mokonzi na bango.
0e020c00f5	Irami alobaki na ye lisusu: — Tika ete Yawe, Nzambe ya Isalaele, Mokeli ya likolo mpe se, apambolama, mpo ete apesi na mokonzi Davidi mwana mobali ya mayele mpe ya bososoli, oyo akotonga Tempelo mpo na Yawe mpe ndako ya mokonzi mpo na ye moko.
0e020d0061	Nazali kotindela yo sik’oyo Urami-Abi; azali penza moto moko ya mayele oyo ayebi mosala malamu.
0e020e01ab	Mama na ye azalaki moto ya libota ya Dani, mpe tata na ye, moto ya Tiri. Abongisama mpo na misala ya wolo, ya palata, ya bronze, ya ebende, ya mabanga, ya mabaya, ya kotia langi ya motane makasi, ya ble, ya motane ya pete mpe ya kobongisa lino ya pete. Ayebi malamu mosala ya kotobola bililingi, mpe akoki kosala mosala nyonso oyo bakosenga ye. Akosala elongo na basali na yo mpe na basali ya nkolo na ngai, Davidi, tata na yo.
0e020f0070	Sik’oyo, tika ete nkolo na ngai atinda epai ya basali na ye ble, orje, mafuta mpe masanga ya vino oyo alakaki.
0e021000bd	Biso, tokokata banzete nyonso ya Libani, oyo ozali na yango posa; tokokangisa mpe tokotinda yango na nzela ya mayi ya ebale monene kino na Jafa. Wuta kuna, yo okokomisa yango na Yelusalemi.
0e021100cc	Salomo atangaki motango ya bapaya nyonso oyo bazalaki kati na Isalaele kolanda ndenge Davidi, tata na ye, atangaki motango ya bato. Bazalaki bato nkoto nkama moko na tuku mitano na misato na nkama motoba.
0e021200b5	Aponaki bato nkoto tuku sambo mpo na komema biloko, bato nkoto tuku mwambe mpo na kobuka mabanga na bangomba, mpe bakengeli nkoto misato na nkama motoba mpo na kosalisa bato misala.
0e030100d1	Salomo abandaki kotonga Tempelo ya Yawe kati na Yelusalemi, na likolo ya ngomba Morija epai wapi Yawe abimelaki Davidi, tata na ye, mpe kaka na esika oyo Davidi abongisaki na etando ya Orinani, moto ya Yebusi.
0e0302005b	Abandaki kotonga na mokolo ya mibale ya sanza ya mibale, na mobu ya minei ya bokonzi na ye.
0e0303008d	Moboko oyo Salomo asalaki mpo na kotonga Tempelo ya Nzambe ezalaki na bametele pene tuku misato na molayi, mpe bametele pene zomi, na mokuse.
0e0304009d	Ndako moke ya kokotela na Tempelo ya Yawe ezalaki na bametele pene zomi, na bosanda, mpe bametele pene zomi, na mokuse. Apakolaki wolo ya peto kati na yango.
0e030500be	Babetaki mabaya ya sipele na bamir ya eteni oyo eleki monene mpe abambaki wolo ya peto na likolo na yango. Asalaki bililingi ya nzete ya mbila mpe ya basinga elingama-lingama lokola basheni.
0e03060065	Abambaki mabanga ya talo mpo na kokomisa yango kitoko. Wolo oyo asalelaki ezalaki wolo ya Parivayimi.
0e0307005e	Apakolaki wolo na motondo, na bikuke, na bamir, mpe atobolaki bililingi ya basheribe na bamir.
0e030800e9	Atongaki Esika-Oyo-Eleki-Bule; molayi na yango ekokanaki na mokuse ya Tempelo ya Yawe: bametele pene zomi, na molayi, mpe bametele pene zomi, na mokuse. Apakolaki wolo ya peto ya bakilo pene nkoto tuku mibale kati na Tempelo ya Yawe.
