0100000006	1 Mose
180b0e0093	So bitte du nun nicht für dies Volk und tu kein Flehen noch Gebet für sie; denn ich will sie nicht hören, wenn sie zu mir schreien in ihrer Not.
180b0f00c1	Was haben meine Freunde in meinem Hause zu schaffen? Sie treiben alle Schalkheit und meinen, das heilige Fleisch soll es von ihnen nehmen; und wenn sie übel tun, sind sie guter Dinge darüber.
180b1000ba	Der HERR nannte dich einen grünen, schönen, fruchtbaren Ölbaum; aber nun hat er mit einem großen Mordgeschrei ein Feuer um denselbigen angezündet, daß seine Aste verderben müssen.
180b1100e2	Denn der HERR Zebaoth, der dich gepflanzt hat, hat dir ein Unglück gedräuet um der Bosheit. willen des Hauses Israel und des Hauses Juda, welche sie treiben, daß sie mich erzürnen mit ihrem Räuchern, das sie dem Baal tun.
180b12004d	Der HERR hat mir's offenbart, daß ich's weiß, und zeigte mir ihr Vornehmen,
180b130123	nämlich daß sie mich wie ein arm Schaf zur Schlachtbank führen wollen. Denn ich wußte nicht, daß sie wider mich beratschlagt hatten und gesagt: Laßt uns den Baum mit seinen Früchten verderben und ihn aus dem Lande der Lebendigen ausrotten, daß seines Namens nimmermehr gedacht werde!
180b14009e	Aber du, HERR Zebaoth, du gerechter Richter, der du Nieren und Herzen prüfest, laß mich deine Rache über sie sehen; denn ich habe dir meine Sache befohlen.
180b1500c3	Darum spricht der HERR also wider die Männer zu Anathoth, die dir nach deinem Leben stehen und sprechen: Weissage uns nicht im Namen des HERRN, willst du anders nicht von unsern Händen sterben!
180b1600d2	Darum spricht der HERR Zebaoth also: Siehe, ich will sie heimsuchen; ihre junge Mannschaft sollen mit dem Schwert getötet werden und ihre Söhne und Töchter Hungers sterben, daß nichts von ihnen überbleibe;
180b170070	denn ich will über die Männer zu Anathoth Unglück gehen lassen des Jahrs, wenn sie heimgesucht werden sollen.
180c0100c9	HERR, wenn ich gleich mit dir rechten wollte, so behältst du doch recht; dennoch muß ich vom Recht mit dir reden. Warum gehet es doch den Gottlosen so wohl, und die Verächter haben alles die Fülle?
180c020082	Du pflanzest sie, daß sie wurzeln und wachsen und bringen Frucht; du lässest sie viel von dir rühmen und züchtigest sie nicht.
180c0300c2	Mich aber, HERR, kennest du und siehest mich und prüfest mein Herz vor dir. Aber du lässest sie frei gehen wie Schafe, daß sie geschlachtet werden, und sparest sie, daß sie gewürget werden.
180c0400f0	Wie lange soll doch das Land so jämmerlich stehen, und das Gras auf dem Felde allenthalben verdorren um der Einwohner Bosheit willen, daß beide, Vieh und Vögel, nimmer da sind? Denn sie sprechen: Ja, er weiß viel, wie es uns gehen wird!
180c0500db	Wenn dich die müde machen, die zu Fuße gehen, wie will dir's gehen, wenn du mit den Reitern laufen sollst? Und so du im Lande, da es Friede ist, Sicherheit suchest, was will mit dir werden bei dem hoffärtigen Jordan?
180c0600a8	Denn es verachten dich auch deine Brüder und deines Vaters Haus und schreien Zeter über dich. Darum vertraue du ihnen nicht, wenn sie gleich freundlich mit dir reden.
180c07006f	Darum habe ich mein Haus verlassen müssen und mein Erbe meiden und meine liebe Seele in der Feinde Hand geben.
180c080067	Mein Erbe ist mir worden wie ein Löwe im Walde und brüllet wider mich; darum bin ich ihm gram worden.
180c090089	Mein Erbe ist wie der sprenklige Vogel, um welchen sich die Vögel sammeln. Wohlauf und sammelt euch, alle Feldtiere; kommet und fresset!
180c0a00a4	Es haben Hirten, und deren viel, meinen Weinberg verderbet und meinen Acker zertreten; sie haben meinen schönen Acker zur Wüste gemacht, sie haben's öde gemacht.
180c0b007f	Ich sehe bereits, wie es so jämmerlich verwüstet ist, ja, das ganze Land ist wüste. Aber es will's niemand zu Herzen nehmen.
180c0c00b1	Denn die Verstörer fahren daher über alle Hügel der Wüste, und das fressende Schwert des HERRN von einem Ende des Landes bis zum andern; und kein Fleisch wird Frieden haben.
180c0d00c5	Sie säen Weizen, aber Disteln werden sie ernten; sie lassen's ihnen sauer werden; aber sie werden's nicht genießen; sie werden ihres Einkommens nicht froh werden vor dem grimmigen Zorn des HERRN.
180c0e00d6	So spricht der HERR wider alle meine bösen Nachbarn, so das Erbteil antasten, das ich meinem Volk Israel ausgeteilet habe: Siehe, ich will sie aus ihrem Lande ausreißen und das Haus Juda aus ihrem Mittel reißen.
180c0f009b	Und wenn ich sie nun ausgerissen habe, will ich mich wiederum über sie erbarmen und will einen jeglichen zu seinem Erbteil und in sein Land wiederbringen.
180c1000e3	Und soll geschehen, wo sie von meinem Volk lernen werden, daß sie schwören bei meinem Namen: So wahr der HERR lebet, wie sie (zuvor) mein Volk gelehret haben schwören bei Baal, so sollen sie unter meinem Volk erbauet werden.
180c110065	Wo sie aber nicht hören wollen, so will ich solches Volk ausreißen und umbringen, spricht der HERR.
180d010081	So spricht der HERR zu mir: Gehe hin und kaufe dir einen leinenen Gürtel und gürte damit deine Lenden und mache ihn nicht naß.
180d020058	Und ich kaufte einen Gürtel nach dem Befehl des HERRN und gürtete ihn um meine Lenden.
180d03003a	Da geschah des HERRN Wort zum andernmal zu mir und sprach:
180d0400a1	Nimm den Gürtel, den du gekauft und um deine Lenden gegürtet hast, und mache dich auf und gehe hin an den Phrath und verstecke ihn daselbst in einen Steinritz.
180d05004a	Ich ging hin und versteckte ihn am Phrath, wie mir der HERR geboten hatte.
180d06009c	Nach langer Zeit aber sprach der HERR zu mir: Mache dich auf und gehe hin an den Phrath und hole den Gürtel wieder, den ich dich hieß daselbst verstecken.
180d0700aa	Ich ging hin an den Phrath und grub auf und nahm den Gürtel von dem Ort, dahin ich ihn versteckt hatte; und siehe, der Gürtel war verdorben, daß er nichts mehr taugte.
180d08002c	Da geschah des HERRN Wort zu mir und sprach:
180d09005f	So spricht der HERR: Eben also will ich auch verderben die große Hoffart Judas und Jerusalems.
180d0a00e0	Das böse Volk, das meine Worte nicht hören will, sondern gehen hin nach Gedünken ihres Herzens und folgen andern Göttern, daß sie denselbigen dienen und anbeten, sie sollen werden wie der Gürtel, der nichts mehr taugt.
180d0b00fb	Denn gleichwie ein Mann den Gürtel um seine Lenden bindet, also habe ich, spricht der HERR, das ganze Haus Israel und das ganze Haus Juda um mich gegürtet, daß sie mein Volk sein sollten, zu einem Namen, Lob und Ehren; aber sie wollen nicht hören.
180d0c00cf	So sage ihnen nun dies Wort: So spricht der HERR, der Gott Israels: Es sollen alle Legel mit Wein gefüllet werden. So werden sie zu dir sagen: Wer weiß das nicht, daß man alle Legel mit Wein füllen soll?
180d0d00ec	So sprich zu ihnen: So spricht der HERR: Siehe, ich will alle, die in diesem Lande wohnen, die Könige, so auf dem Stuhl Davids sitzen, die Priester und Propheten, und alle Einwohner zu Jerusalem füllen, daß sie trunken werden sollen.
180d0e00ad	Und will einen mit dem andern, die Väter samt den Kindern, verstreuen, spricht der HERR, und will weder schonen noch übersehen, noch barmherzig sein über ihrem Verderben.
180d0f004c	So höret nun und merket auf und trotzet nicht; denn der HERR hat's geredet.
180d1000c6	Gebet dem HERRN, eurem Gott, die Ehre, ehe denn es finster werde, und ehe eure Füße sich an den dunklen Bergen stoßen, daß ihr des Lichts wartet, so er's doch gar finster und dunkel machen wird.
180d1100b1	Wollt ihr aber solches nicht hören, so muß meine Seele doch heimlich weinen über solche Hoffart; meine Augen müssen mit Tränen fließen, daß des HERRN Herde gefangen wird.
180d12007b	Sage dem Könige und der Königin: Setzet euch herunter, denn die Krone der HERRLIchkeit ist euch von eurem Haupt gefallen.
180d130072	Die Städte gegen Mittag sind verschlossen, und ist niemand, der sie auftue; das ganze Juda ist rein weggeführet.
180d140086	Hebet eure Augen auf und sehet, wie sie von Mitternacht daherkommen. Wo ist nun die Herde, so dir befohlen war, deine herrliche Herde?
180d1500d1	Was willst du sagen, wenn er dich so heimsuchen wird? Denn du hast sie so gewöhnet wider dich, daß sie Fürsten und Häupter sein wollen. Was gilt's? es wird dich Angst ankommen wie ein Weib in Kindesnöten.
180d1600bc	Und wenn du in deinem Herzen sagen willst: Warum begegnet doch mir solches? Um der Menge willen deiner Missetat sind dir deine Säume aufgedeckt und deine Schenkel (mit Gewalt) geblößet.
180d170085	Kann auch ein Mohr seine Haut wandeln oder ein Parder seine Flecken? So könnet ihr auch Gutes tun, weil ihr des Bösen gewohnt seid.
180d18005c	Darum will ich sie zerstreuen wie Stoppeln, die vor dem Winde aus der Wüste verweht werden.
180d190098	Das soll dein Lohn sein und dein Teil, den ich dir zugemessen habe, spricht der HERR. Darum daß du mein vergessen hast und verlässest dich auf Lügen,
180d1a005d	so will auch ich deine Säume hoch aufdecken gegen dir, daß man deine Scham wohl sehen muß.
180d1b00cb	Denn ich habe gesehen deine Ehebrecherei, deine Geilheit, deine freche Hurerei, ja deine Greuel, beide, auf Hügeln und auf Äckern. Wehe dir, Jerusalem! Wann willst du doch immer mehr gereiniget werden?
180e010045	Dies ist das Wort, das der HERR zu Jeremia sagte von der teuren Zeit:
180e02007b	Juda liegt jämmerlich, ihre Tore stehen elend, es stehet kläglich auf dem Lande, und ist zu Jerusalem eine große Dürre.
180e0300ca	Die Großen schicken die Kleinen nach Wasser; aber wenn sie zum Brunnen kommen, finden sie kein Wasser und bringen ihre Gefäße leer wieder. Sie gehen traurig und betrübt und verhüllen ihre Häupter,
180e04007a	darum daß die Erde lechzet, weil es nicht regnet auf die Erde. Die Ackerleute gehen traurig und verhüllen ihre Häupter.
180e05005c	Denn auch die Hinden, so auf dem Felde werfen, verlassen die Jungen, weil kein Gras wächst.
180e060079	Das Wild stehet auf den Hügeln und schnappet nach der Luft, wie die Drachen, und verschmachtet, weil kein Kraut wächst.
180e0700a3	Ach, HERR, unsere Missetaten haben's ja verdienet; aber hilf doch um deines Namens willen; denn unser Ungehorsam ist groß, damit wir wider dich gesündiget haben.
180e08009f	Du bist der Trost Israels und ihr Nothelfer; warum stellest du dich, als wärest du ein Gast im Lande, und als ein Fremder, der nur über Nacht drinnen bleibt?
180e0900b6	Warum stellest du dich als ein Held, der verzagt ist, und als ein Riese, der nicht helfen kann? Du bist doch ja unter uns, HERR, und wir heißen nach deinem Namen; verlaß uns nicht!
180e0a00cd	So spricht der HERR von diesem Volk: Sie laufen gerne hin und wieder und bleiben nicht gerne daheim; darum will ihrer der HERR nicht, sondern er denkt nun an ihre Missetat und will ihre Sünden heimsuchen.
180e0b004b	Und der HERR sprach zu mir: Du sollst nicht für dies Volk um Gnade bitten.
180e0c00d8	Denn ob sie gleich fasten, so will ich doch ihr Flehen nicht hören; und ob sie Brandopfer und Speisopfer bringen, so gefallen sie mir doch nicht, sondern ich will sie mit dem Schwert, Hunger und Pestilenz aufreiben.
180e0d00b9	Da sprach ich: Ach, HERR HERR, siehe, die Propheten sagen ihnen: Ihr werdet kein Schwert sehen und keine Teurung bei euch haben, sondern ich will euch guten Frieden geben an diesem Ort.
180e0e00f4	Und der HERR sprach zu mir: Die Propheten weissagen falsch in meinem Namen; ich habe sie nicht gesandt und ihnen nichts befohlen und nichts mit ihnen geredet; sie predigen euch falsche Gesichte, Deutung, Abgötterei und ihres Herzens Trügerei.
180e0f00fb	Darum so spricht der HERR von den Propheten, die in meinem Namen weissagen, so ich sie doch nicht gesandt habe, und sie dennoch predigen, es werde kein Schwert noch Teurung in dies Land kommen: Solche Propheten sollen sterben durch Schwert und Hunger.
180e1000e5	Und das Volk, dem sie weissagen, sollen vom Schwert und Hunger auf den Gassen zu Jerusalem hin und her liegen, daß sie niemand begraben wird; also auch ihre Weiber, Söhne und Töchter; und will ihre Bosheit über sie schütten.
180e1100cb	Und du sollst zu ihnen sagen dies Wort: Meine Augen fließen mit Tränen Tag und Nacht und hören nicht auf; denn die Jungfrau, die Tochter meines Volks, ist greulich zerplagt und jämmerlich geschlagen.
180e1200f1	Gehe ich hinaus aufs Feld, siehe, so liegen da Erschlagene mit dem Schwert; komme ich in die Stadt, so liegen da vor Hunger Verschmachtete. Denn es müssen auch die Propheten, dazu auch die Priester, in ein Land ziehen, das sie nicht kennen.
180e130111	Hast du denn Juda verworfen, oder hat deine Seele einen Ekel an Zion? Warum hast du uns denn so geschlagen, daß uns niemand heilen kann? Wir hofften, es sollte Friede werden, so kommt nichts Gutes; wir hofften, wir sollten heil werden, aber siehe, so ist mehr Schadens da.
180e14006a	HERR, wir erkennen unser gottlos Wesen und unserer Väter Missetat; denn wir haben wider dich gesündiget.
180e1500b6	Aber um deines Namens willen laß uns nicht geschändet werden; laß den Thron deiner HERRLIchkeit nicht verspottet werden; gedenke doch und laß deinen Bund mit uns nicht aufhören!
180e1600ca	Es ist doch ja unter der Heiden Götzen keiner, der Regen könnte geben; so kann der Himmel auch nicht regnen. Du bist doch ja der HERR, unser Gott, auf den wir hoffen; denn du kannst solches alles tun.
180f0100a7	Und der HERR sprach zu mir: Und wenngleich Mose und Samuel vor mir stünden, so haben ich doch kein Herz zu diesem Volk. Treibe sie weg von mir und laß sie hinfahren!
180f0200f0	Und wenn sie zu dir sagen: Wo sollen wir hin? so sprich zu ihnen: So spricht der HERR: Wen der Tod trifft, den treffe er; wen das Schwert trifft, den treffe es; wen der Hunger trifft, den treffe er; wen das Gefängnis trifft, den treffe es.
180f0300fb	Denn ich will sie heimsuchen mit viererlei Plagen, spricht der HERR: mit dem Schwert, daß sie erwürget werden; mit Hunden, die sie schleifen sollen; mit den Vögeln des Himmels und mit Tieren auf Erden, daß sie gefressen und verweset werden sollen.
180f0400b5	Und ich will sie in allen Königreichen auf Erden hin und her treiben lassen um Manasses willen, des Sohns Jehiskias, des Königs Judas, deshalben, das er zu Jerusalem begangen hat.
180f050082	Wer will denn sich dein erbarmen, Jerusalem? Wer wird denn Mitleid mit dir haben? Wer wird denn hingehen und dir Frieden erwerben?
180f0600b0	Du hast mich verlassen, spricht der HERR, und bist mir abgefallen; darum habe ich meine Hand ausgestreckt wider dich, daß ich dich verderben will; ich bin des Erbarmens müde.
180f0700a2	Ich will sie mit der Worfschaufel zum Lande hinaus worfeln und will mein Volk, so von seinem Wesen sich nicht bekehren will, zu eitel Waisen machen und umbringen.
180f0800ea	Es sollen mir mehr Witwen unter ihnen werden, denn des Sandes am Meer ist. Ich will über die Mutter der jungen Mannschaft kommen lassen einen offenbarlichen Verderber und die Stadt damit plötzlich und unversehens überfallen lassen,
180f0900ff	daß die, so sieben, Kinder hat, soll elend sein und von Herzen seufzen. Denn ihre Sonne soll bei hohem Tage untergehen, daß beide, ihr Ruhm und Freude, ein Ende haben soll. Und die übrigen will ich ins Schwert geben vor ihren Feinden, spricht der HERR.
180f0a00b5	Ach, meine Mutter, daß du mich geboren hast, wider den jedermann hadert und zankt im ganzen Lande! Habe ich doch weder auf Wucher geliehen noch genommen, noch flucht mir jedermann.
180f0b00a5	Der HERR sprach: Wohlan, ich will euer etliche übrig behalten, denen es soll wieder wohlgehen, und will euch zu Hilfe kommen in der Not und Angst unter den Feinden.
180f0c0069	Meinest du nicht, daß etwa ein Eisen sei, welches könnte das Eisen und Erz von Mitternacht zerschlagen?
180f0d00b9	Ich will aber zuvor euer Gut und Schätze in die Rapuse geben, daß ihr nichts dafür kriegen sollt, und das um aller eurer Sünden willen, die ihr in allen euren Grenzen begangen habt.
180f0e0085	Und will euch zu euren Feinden bringen in ein Land, das ihr nicht kennet; denn es ist das Feuer in meinem Zorn über euch angegangen.
180f0f00d7	Ach, HERR, du weißt es; gedenke an uns und nimm dich unser an und räche uns an unsern Verfolgern! Nimm uns auf und verzeuch nicht deinen Zorn über sie; denn du weißt, daß wir um deinetwillen geschmähet werden.
180f1000ae	Indes enthalte uns dein Wort, wenn wir's kriegen; und dasselbe, dein Wort ist unsers Herzens Freude und Trost; denn wir sind ja nach deinem Namen genannt, HERR, Gott Zebaoth!
180f11008a	Wir gesellen uns nicht zu den Spöttern noch freuen uns mit ihnen, sondern bleiben alleine vor deiner Hand; denn du zürnest sehr mit uns.
180f1200ab	Warum währet doch unser Schmerz so lange, und unsere Wunden sind so gar böse, daß sie niemand heilen kann? Du bist uns worden wie ein Born, der nicht mehr quellen will.
180f130122	Darum spricht der HERR also: Wo du dich zu mir hältst, so will ich mich zu dir halten, und sollst mein Prediger bleiben; und wo du die Frommen lehrest sich sondern von den bösen Leuten, so sollst du mein Lehrer sein; und ehe du solltest zu ihnen fallen, so müssen sie eher zu dir fallen.
180f1400d1	Denn ich habe dich wider dies Volk zur festen ehernen Mauer gemacht; ob sie wider dich streiten, sollen sie dir doch nichts anhaben; denn ich bin bei dir, daß ich dir helfe und dich errette, spricht der HERR.
180f15005b	Und will dich auch erretten aus der Hand der Bösen und erlösen aus der Hand der Tyrannen.
181001002d	Und des HERRN Wort geschah zu mir und sprach:
181002004f	Du sollst kein Weib nehmen und weder Söhne noch Töchter zeugen an diesem Ort.
18100300ba	Denn so spricht der HERR von den Söhnen und Töchtern, so an diesem Ort geboren werden, dazu von ihren Müttern, die sie gebären, und von ihren Vätern, die sie zeugen in diesem Lande:
18100400f1	Sie sollen an Krankheiten sterben und weder beklagt noch begraben werden, sondern sollen Mist werden auf dem Lande, dazu durch Schwert und Hunger umkommen, und ihre Leichname sollen der Vögel des Himmels und der Tiere auf Erden Speise sein.
18100500f9	Denn so spricht der HERR: Du sollst nicht zum Trauerhaus gehen und sollst auch nirgendhin zu klagen gehen noch Mitleid über sie haben; denn ich habe meinen Frieden von diesem Volk weggenommen, spricht der HERR, samt meiner Gnade und Barmherzigkeit,
18100600a0	daß beide, groß und klein, sollen in diesem Lande sterben und nicht begraben noch geklaget werden, und niemand wird sich über sie zerritzen noch kahl machen.
18100700b5	Und man wird auch nicht unter sie Brot austeilen über der Klage, sie zu trösten über der Leiche, und ihnen auch nicht aus dem Trostbecher zu trinken geben über Vater und Mutter.
181008005d	Darum sollst du in kein Trinkhaus gehen, bei ihnen zu sitzen, weder zu essen noch zu trinken.
18100900c9	Denn so spricht der HERR Zebaoth, der Gott Israels: Siehe, ich will an diesem Ort aufheben vor euren Augen und bei eurem Leben die Stimme der Freude und Wonne, die Stimme des Bräutigams und der Braut.
18100a00eb	Und wenn du solches alles diesem Volk gesagt hast, und sie zu dir sprechen werden: Warum redet der HERR über uns all dies große Unglück? welches ist die Missetat und Sünde, damit wir wider den HERRN, unsern Gott, gesündiget haben?
18100b00cf	sollst du ihnen sagen: Darum daß eure Väter mich verlassen, spricht der HERR, und andern Göttern gefolget, denselbigen gedienet und sie angebetet, mich aber verlassen und mein Gesetz nicht gehalten haben,
18100c008a	und ihr noch ärger tut denn eure Väter. Denn siehe, ein jeglicher lebt nach seines bösen Herzens Gedünken, daß er mir nicht gehorche.
18100d00c8	Darum will ich euch aus diesem Lande stoßen in ein Land, davon weder ihr noch eure Väter wissen; daselbst sollt ihr andern Göttern dienen Tag und Nacht; daselbst will ich euch keine Gnade erzeigen.
18100e009e	Darum siehe, es kommt die Zeit, spricht der HERR, daß man nicht mehr sagen wird: So wahr der HERR lebt, der die Kinder Israel aus Ägyptenland geführet hat,
18100f00e9	sondern: So wahr der HERR lebt, der die Kinder Israel geführet hat aus dem Lande der Mitternacht und aus allen Ländern, dahin er sie verstoßen hatte. Denn ich will sie wiederbringen in das Land, das ich ihren Vätern gegeben habe.
18101000d2	Siehe, ich will viel Fischer aussenden, spricht der HERR, die sollen sie fischen; und danach will ich viel Jäger aussenden, die sollen sie fahen auf allen Bergen und auf allen Hügeln und in allen Steinritzen.
181011008d	Denn meine Augen sehen auf alle ihre Wege, daß sie vor mir sich nicht verhehlen können; und ihre Missetat ist vor meinen Augen unverborgen.
18101200bc	Aber zuvor will ich ihre Missetat und Sünde zwiefach bezahlen, darum daß sie mein Land mit den Leichen ihrer Abgötterei verunreiniget und mein Erbe mit ihren Greueln voll gemacht haben.
18101300d6	HERR, du bist meine Stärke und Kraft und meine Zuflucht in der Not. Die Heiden werden zu dir kommen von der Welt Ende und sagen: Unsere Väter haben falsche und nichtige Götter gehabt, die nichts nützen können.
181014003b	Wie kann ein Mensch Götter machen, die nicht Götter sind?
181015007c	Darum siehe, nun will ich sie lehren und meine Hand und Gewalt ihnen kundtun, daß sie erfahren sollen, ich heiße der HERR.
18110100ad	Die Sünde Judas ist geschrieben mit eisernen Griffeln und mit spitzigen Demanten geschrieben und auf die Tafel ihres Herzens gegraben und auf die Hörner an ihren Altären,
181102006b	daß ihre Kinder gedenken sollen derselben Altäre und Haine bei den grünen Bäumen, auf den hohen Bergen.
18110300b1	Aber ich will deine Höhen beide, auf Bergen und Feldern, samt deiner Habe und allen deinen Schätzen in die Rapuse geben um der Sünde willen, in allen deinen Grenzen begangen.
18110400ec	Und du sollst aus deinem Erbe verstoßen werden, das ich dir gegeben habe, und will dich zu Knechten deiner Feinde machen in einem Lande, das du nicht kennest; denn ihr habt ein Feuer meines Zorns angezündet, das ewiglich brennen wird.
1811050096	So spricht der HERR: Verflucht ist der Mann, der sich auf Menschen verläßt und hält Fleisch für seinen Arm und mit seinem Herzen vom HERRN weicht!
18110600ba	Der wird sein wie die Heide in der Wüste und wird nicht sehen den zukünftigen Trost, sondern wird bleiben in der Dürre, in der Wüste, in einem unfruchtbaren Lande, da niemand wohnet.
1811070060	Gesegnet aber ist der Mann, der sich auf den HERRN verläßt, und der HERR seine Zuversicht ist!
18110800fe	Der ist wie ein Baum am Wasser gepflanzt und am Bach gewurzelt. Denn obgleich eine Hitze kommt, fürchtet er sich doch nicht, sondern seine Blätter bleiben grün, und sorget nicht, wenn ein dürres Jahr kommt, sondern er bringet ohne Aufhören Früchte.
1811090045	Es ist das Herz ein trotzig und verzagt Ding; wer kann es ergründen?
18110a008a	Ich, der HERR, kann das Herz ergründen und die Nieren prüfen; und gebe einem jeglichen nach seinem Tun, nach den Früchten seiner Werke.
18110b00cf	Denn gleichwie ein Vogel, der sich über Eier setzt und brütet sie nicht aus, also ist der, so unrecht Gut sammelt; denn er muß davon, wenn er's am wenigsten achtet, und muß doch zuletzt Spott dazu haben.
18110c0065	Aber die Stätte unsers Heiligtums, nämlich der Thron göttlicher Ehre, ist allezeit fest geblieben.
18110d00dc	Denn, HERR, du bist die Hoffnung Israels. Alle, die dich verlassen, müssen zuschanden werden, und die Abtrünnigen müssen in die Erde geschrieben werden; denn sie verlassen den HERRN, die Quelle des lebendigen Wassers.
18110e0061	Heile du mich, HERR, so werde ich heil; hilf du mir, so ist mir geholfen; denn du bist mein Ruhm.
18110f004e	Siehe, sie sprechen zu mir: Wo ist denn des HERRN Wort? Lieber, laß hergehen!
181110009c	Aber ich bin drum nicht von dir geflohen, mein Hirte, so habe ich Menschentage nicht begehret, das weißt du; was ich gepredigt habe, das ist recht vor dir.
181111003e	Sei du mir nur nicht schrecklich, meine Zuversicht in der Not!
18111200ac	Laß sie zuschanden werden, die mich verfolgen, und mich nicht; laß sie erschrecken und mich nicht; laß den Tag des Unglücks über sie gehen und zerschlage sie zwiefach!
1811130095	So spricht der HERR zu mir: Gehe hin und tritt unter das Tor des Volks, dadurch die Könige Judas aus und ein gehen, und unter alle Tore zu Jerusalem
1811140087	und sprich zu ihnen: Höret des HERRN Wort, ihr Könige Judas und ganz Juda und alle Einwohner zu Jerusalem, so zu diesem Tor eingehen!
1811150067	So spricht der HERR: Hütet euch und traget keine Last am Sabbattage durch die Tore hinein zu Jerusalem
1811160091	und führet keine Last am Sabbattage aus euren Häusern und tut keine Arbeit, sondern heiliget den Sabbattag, wie ich euren Vätern geboten habe.
1811170086	Aber sie hören nicht und neigen ihre Ohren nicht, sondern bleiben halsstarrig, daß sie mich ja nicht hören noch sich ziehen lassen.
18111800c1	So ihr mich hören werdet, spricht der HERR, daß ihr keine Last traget des Sabbattages durch dieser Stadt Tore ein, sondern denselbigen heiliget, daß ihr keine Arbeit an demselbigen Tage tut,
181119011a	so sollen auch durch dieser Stadt Tore aus und ein gehen Könige und Fürsten, die auf dem Stuhl Davids sitzen, und reiten und fahren, beide, auf Wagen und Rossen, sie und ihre Fürsten, samt allen, die in Juda und zu Jerusalem wohnen; und soll diese Stadt ewiglich bewohnet werden.
18111a00ed	Und sollen kommen aus den Städten Judas, und die um Jerusalem her liegen, und aus dem Lande Benjamin, aus den Gründen und von den Gebirgen und vom Mittage, die da bringen Brandopfer, Opfer, Speisopfer und Weihrauch zum Hause des HERRN.
18111b0102	Werdet ihr mich aber nicht hören, daß ihr den Sabbattag heiliget und keine Last traget durch die Tore zu Jerusalem ein am Sabbattage, so will ich ein Feuer unter ihren Toren anstecken, das die Häuser zu Jerusalem verzehren und nicht gelöscht werden soll.
181201003f	Dies ist das Wort, das geschah vom HERRN zu Jeremia und sprach:
1812020065	Mache dich auf und gehe hinab in des Töpfers Haus; daselbst will ich dich meine Worte hören lassen.
1812030056	Und ich ging hinab in des Töpfers Haus; und siehe, er arbeitete eben auf der Scheibe.
1812040083	Und der Topf, so er aus dem Ton machte, mißriet ihm unter den Händen. Da machte er wiederum einen andern Topf, wie es ihm gefiel.
181205002c	Da geschah des HERRN Wort zu mir und sprach:
18120600c7	Kann ich nicht auch also mit euch umgehen, ihr vom Hause Israel, wie dieser Töpfer? spricht der HERR. Siehe, wie der Ton ist in des Töpfers Hand, also seid auch ihr vom Hause Israel in meiner Hand.
1812070069	Plötzlich rede ich wider ein Volk und Königreich, daß ich's ausrotten, zerbrechen und verderben wolle.
1812080080	Wo sich's aber bekehret von seiner Bosheit, dawider ich rede, so soll mich auch reuen das Unglück, das ich ihm gedachte zu tun.
181209005c	Und plötzlich rede ich von einem Volk und Königreich, daß ich's bauen und pflanzen wolle.
18120a0094	So es aber Böses tut vor meinen Augen, daß es meiner Stimme nicht gehorcht, so soll mich auch reuen das Gute, das ich ihm verheißen hatte zu tun.
18120b00f2	So sprich nun zu denen in Juda und zu den Bürgern zu Jerusalem: So spricht der HERR: Siehe, ich bereite euch ein Unglück zu und habe Gedanken wider euch; darum kehre sich ein jeglicher von seinem bösen Wesen und bessert euer Wesen und Tun.
18120c008a	Aber sie sprechen: Da wird nichts aus! Wir wollen nach unsern Gedanken wandeln und ein jeglicher tun nach Gedünken seines bösen Herzens.
18120d0088	Darum spricht der HERR: Fragt doch unter den Heiden, wer hat je desgleichen gehöret, daß die Jungfrau Israel so gar greulich Ding tut?
18120e00a7	Bleibt doch der Schnee länger auf den Steinen im Felde, wenn's vom Libanon herab schneiet, und das Regenwasser verschießt nicht so bald, als mein Volk mein vergißt.
18120f0075	Sie räuchern den Göttern und richten Ärgernis an auf ihren Wegen für und für und gehen auf ungebahnten Straßen,
181210007f	auf daß ihr Land zur Wüste werde, ihnen zur ewigen Schande, daß, wer vorübergehet, sich verwundere und den Kopf schüttele.
1812110090	Denn ich will sie durch einen Ostwind zerstreuen vor ihren Feinden; ich will ihnen den Rücken und nicht das Antlitz zeigen, wenn sie verderben.
181212012a	Aber sie sprechen: Kommt und laßt uns wider Jeremia ratschlagen; denn die Priester können nicht irren im Gesetz, und die Weisen können nicht fehlen mit Raten, und die Propheten können nicht unrecht lehren. Kommt her, laßt uns ihn mit der Zunge totschlagen und nichts geben auf alle seine Rede!
1812130041	HERR, habe acht auf mich und höre die Stimme meiner Widersacher!
18121400cc	Ist's recht, daß man Gutes mit Bösem vergilt? Denn sie haben meiner Seele eine Grube gegraben. Gedenke doch, wie ich vor dir gestanden bin, daß ich ihr Bestes redete und deinen Grimm von ihnen wendete!
18121500dd	So strafe nun ihre Kinder mit Hunger und laß sie ins Schwert fallen, daß ihre Weiber ohne Kinder und Witwen seien, und ihre Männer zu Tode geschlagen und ihre junge Mannschaft im Streit durchs Schwert erwürget werden,
18121600c7	daß ein Geschrei aus ihren Häusern gehöret werde, wie du plötzlich habest Kriegsvolk über sie kommen lassen. Denn sie haben eine Grube gegraben, mich zu fahen, und meinen Füßen Stricke gelegt.
