0100000009	1 Mosebok
1415100050	Det menneske som forviller sig fra klokskaps vei, skal havne blandt dødningene.
1415110052	Fattig blir den som elsker glade dager; den som elsker vin og olje, blir ikke rik.
141512005f	Den ugudelige blir løsepenge for den rettferdige, og den troløse kommer i de opriktiges sted.
1415130040	Bedre å bo i et øde land enn hos en arg og trettekjær kvinne.
1415140050	Kostelige skatter og olje er det i den vises hus, men dåren gjør ende på det.
141515005b	Den som jager efter rettferdighet og miskunnhet, han skal finne liv, rettferdighet og ære.
141516004f	Den vise inntar de veldiges by og river ned det vern som den satte sin lit til.
1415170041	Den som varer sin munn og sin tunge, frir sitt liv fra trengsler.
1415180057	Den som er overmodig og opblåst, kalles en spotter; han farer frem i ustyrlig overmot.
1415190041	Den lates attrå dreper ham, fordi hans hender nekter å arbeide.
14151a004a	Hele dagen attrår og attrår han, men den rettferdige gir og sparer ikke.
14151b0066	De ugudeliges offer er en vederstyggelighet, og enda mere når de bærer det frem og har ondt i sinne!
14151c0055	Et løgnaktig vidne skal omkomme, men en mann som hører efter, skal alltid få tale.
14151d0049	En ugudelig mann ter sig frekt, men den opriktige går sin vei rett frem.
14151e0043	Det finnes ingen visdom og ingen forstand og intet råd mot Herren.
14151f0046	Hesten gjøres ferdig for stridens dag, men seieren hører Herren til.
141601005a	Et godt navn er mere verdt enn stor rikdom; å være godt likt er bedre enn sølv og gull.
1416020031	Rik og fattig møtes; Herren har skapt dem begge.
141603004f	Den kloke ser ulykken og skjuler sig, men de uerfarne går videre og må bøte.
141604003d	Lønn for saktmodighet og gudsfrykt er rikdom og ære og liv.
141605005e	Torner og snarer er der på den falskes vei; den som varer sitt liv, holder sig borte fra dem.
141606005a	Lær den unge den vei han skal gå! Så viker han ikke fra den, selv når han blir gammel.
1416070049	Den rike hersker over de fattige, og låntageren blir långiverens træl.
1416080052	Den som sår urett, skal høste ondt, og med hans vredes ris skal det være forbi.
1416090053	Den som har et godt hjerte, blir velsignet fordi han gav den fattige av sitt brød.
14160a0043	Jag spotteren bort! Så går tretten med, og kiv og skam hører op.
14160b0052	Den som elsker hjertets renhet, og hvis tale er tekkelig, han har kongen til venn.
14160c0050	Herrens øine verner den forstandige, men han gjør den troløses ord til intet.
14160d004b	Den late sier: Det er en løve der ute, jeg kunde bli drept midt på gaten.
14160e004a	Fremmed kvinnes munn er en dyp grav; den Herren er vred på, faller i den.
14160f004a	Dårskap er bundet fast til den unges hjerte; tuktens ris driver den bort.
1416100065	Å undertrykke den fattige tjener bare til å øke hans gods; å gi til den rike volder ham bare tap.
1416110051	Bøi ditt øre til og hør på vismenns ord og vend ditt hjerte til min kunnskap!
1416120059	For det er godt at du bevarer dem i ditt indre, og at de alle henger fast ved dine leber.
1416130048	Forat du skal sette din lit til Herren, lærer jeg dig idag, nettop dig.
141614003d	Har jeg ikke skrevet for dig kjernesprog med råd og kunnskap
1416150068	for å kunngjøre dig det som rett er, sannhets ord, så du kan svare dem som sender dig, med sanne ord?
1416160053	Røv ikke fra en fattig, fordi han er fattig, og tred ikke armingen ned i byporten!
1416170050	For Herren skal føre deres sak, og han skal ta deres liv som tar noget fra dem.
141618005e	Hold dig ikke til venns med en som er snar til vrede, og gi dig ikke i lag med en hastig mann,
1416190059	forat du ikke skal lære dig til å gå på hans veier og få satt en snare for ditt liv!
14161a0041	Vær ikke blandt dem som gir håndslag, dem som borger for gjeld!
14161b004f	Når du intet har å betale med, hvorfor skal de da ta din seng bort under dig?
14161c003a	Flytt ikke det gamle grenseskjell som dine fedre har satt!
14161d0077	Ser du en mann som er duelig i sin gjerning - han kan komme til å tjene konger; han kommer ikke til å tjene småfolk.
1417010056	Når du sitter til bords med en fyrste, da skal du nøie akte på hvem du har for dig,
1417020034	og sette en kniv på din strupe, hvis du er grådig.
1417030046	Vær ikke lysten efter hans fine retter, for det er mat som kan svike!
141704003d	Gjør dig ikke møie for å bli rik, la sådan klokskap fare!
1417050082	Når du vender dine øine mot rikdommen, så er den borte. For den gjør sig visselig vinger, lik en ørn som flyver mot himmelen.
1417060048	Et ikke den misunneliges brød, og vær ikke lysten efter hans fine mat!
141707006a	For som han tenker i sin sjel, så er han; et og drikk, sier han til dig, men hans hjerte er ikke med dig.
141708004d	Den matbit som du har ett, den vil du spy ut, og du har spilt dine vakre ord.
1417090042	Tal ikke for dårens ører, for han forakter dine forstandige ord!
14170a0048	Flytt ikke det gamle grenseskjell, og kom ikke inn på farløses marker!
14170b003c	For deres løser er sterk, han skal føre deres sak mot dig.
14170c003a	Bøi ditt hjerte til tukt og dine ører til kunnskaps ord!
14170d0051	La ikke den unge være uten tukt! Når du slår ham med riset, skal han ikke dø.
14170e0040	Du slår ham med riset, men du frelser hans sjel fra dødsriket.
14170f0045	Min sønn! Er ditt hjerte vist, så skal også mitt hjerte glede sig,
1417100045	og jeg skal juble i mitt indre når dine leber taler det som rett er.
1417110058	La ikke ditt hjerte være nidkjært mot syndere, men alltid nidkjært for Herrens frykt!
141712004a	Sannelig, det er en fremtid for dig, og ditt håp skal ikke bli til intet.
1417130046	Hør, min sønn, og bli vis og la ditt hjerte gå bent frem på veien!
141714003f	Vær ikke blandt vindrikkere, blandt dem som fråtser i kjøtt!
1417150048	For drankeren og fråtseren blir fattig, og søvn klær mannen i filler.
1417160055	Hør på din far, som gav dig livet, og forakt ikke din mor når hun er blitt gammel!
1417170041	Kjøp sannhet og selg den ikke, kjøp visdom og tukt og forstand!
1417180054	Den rettferdiges far skal juble; den som får en vis sønn, skal glede sig over ham.
1417190043	La din far og din mor glede sig, og la henne som fødte dig, juble!
14171a0047	Min sønn! Gi mig ditt hjerte, og la dine øine ha lyst til mine veier!
14171b0044	For skjøgen er en dyp grav, og den fremmede kvinne en trang brønn;
14171c005c	ja, hun ligger på lur som en røver, og hun øker tallet på de troløse blandt menneskene.
14171d0075	Hvem roper: Akk? Hvem roper: Ve? Hvem har trette? Hvem har klage? Hvem har sår for ingen ting? Hvem har røde øine?
14171e0053	De som sitter lenge oppe ved vinen, de som kommer for å prøve den krydrede drikk.
14171f005c	Se ikke til vinen, hvor rød den er, hvorledes den perler i begeret, hvor lett den går ned!
141720003a	Til sist biter den som en slange og hugger som en huggorm;
141721004d	dine øine vil se efter fremmede kvinner, og ditt hjerte tale forvendte ting,
1417220055	og du blir lik en som sover midt ute på havet, lik en som sover i toppen av en mast.
141723008d	Du vil si: De banket mig, det gjorde ikke ondt; de støtte mig, jeg kjente det ikke. Når skal jeg våkne? Jeg vil se å få tak i enda mere.
141801004e	Vær ikke misunnelig på onde mennesker, og ha ikke lyst til å være med dem!
141802004b	For deres hjerte tenker bare på å ødelegge, og deres leber taler ulykke.
141803003b	Ved visdom bygges et hus, og ved forstand blir det trygget,
1418040046	og ved kunnskap fylles kammerne med all slags kostelig og herlig gods.
1418050038	En vis mann er sterk, og en kyndig mann øker sin kraft.
141806005a	Du skal søke veiledning når du fører krig; hvor det er mange rådgivere, er det frelse.
1418070046	Visdom er for høi for dåren; i byporten lukker han ikke sin munn op.
1418080034	Den som tenker ut onde råd, blir kalt en renkesmed.
141809004a	Dårskaps råd er synd, og en spotter er en vederstyggelighet blandt folk.
14180a0041	Viser du dig motløs på trengselens dag, så er din kraft ringe.
14180b0061	Frels dem som hentes til døden, og hold tilbake dem som føres skjelvende bort til retterstedet!
14180c00c8	Når du sier: Se, vi visste ikke noget om det, mon da ikke han skjønner det, han som veier hjertene, og han som gir akt på din sjel, mon ikke han vet det og gjengjelder enhver efter hans gjerninger?
14180d004b	Et honning, min sønn, for den er god, og fin honning er søt for din gane!
14180e0084	Akt visdommen like så gagnlig for din sjel! Har du funnet den, så er det en fremtid for dig, og ditt håp skal ikke bli til intet.
14180f004d	Lur ikke som en ugudelig på den rettferdiges bolig, ødelegg ikke hans hjem!
141810006f	For syv ganger faller den rettferdige og står op igjen, men de ugudelige kastes over ende når ulykken kommer.
1418110063	Når din fiende faller, må du ikke glede dig, og når han snubler, må ikke ditt hjerte fryde sig,
141812004f	forat ikke Herren skal se det og mislike det, så han vender sin vrede fra ham.
1418130049	La ikke din vrede optendes over de onde, bli ikke harm over de ugudelige!
141814003b	For de onde har ingen fremtid, de ugudeliges lampe slukner.
1418150067	Frykt Herren, min sønn, og kongen! Med folk som setter sig op mot dem, må du ikke ha noget å gjøre;
1418160056	for ulykken kommer brått over dem, og ødeleggelsen fra dem begge - hvem kjenner den?
1418170051	Også disse ordsprog er av vismenn: Dommeren bør ikke gjøre forskjell på folk.
141818006f	Den som sier til den skyldige: Du er uskyldig, ham vil folkeslagene forbanne, ham vil folkene ønske ondt over;
1418190058	men dem som straffer ham, skal det gå vel, og lykke og velsignelse skal komme over dem.
14181a0030	Kyss på leber gir den som svarer med rette ord.
14181b005a	Fullfør din gjerning der ute og gjør den ferdig på marken! Siden kan du bygge ditt hus.
14181c0057	Vær ikke vidne mot din næste uten årsak! Eller skulde du gjøre svik med dine leber?
14181d0075	Si ikke: Som han har gjort mot mig, således vil jeg gjøre mot ham; jeg vil gjengjelde enhver efter hans gjerninger.
14181e004b	Jeg kom gående forbi en lat manns mark, et uforstandig menneskes vingård,
14181f0069	og se, den var helt overgrodd med tistler; nesler skjulte dens bunn, og stengjerdet om den var revet ned.
1418200051	Og jeg, jeg blev det var, jeg gav akt på det; jeg så det og tok lærdom av det:
141821004e	Sier du: La mig ennu sove litt, blunde litt, folde mine hender litt og hvile -
1418220051	så kommer armoden over dig som en landstryker, og nøden som en mann med skjold.
141901004a	Også dette er Salomos ordsprog, som Judas konge Esekias' menn har samlet:
1419020046	Det er Guds ære å skjule en sak, men kongers ære å granske en sak.
1419030043	Himmelens høide, jordens dybde og kongers hjerter er uransakelige.
1419040040	Skill slagget fra sølvet, så får gullsmeden et kar ut av det.
1419050059	Før den ugudelige bort fra kongens åsyn, så blir hans trone trygget ved rettferdighet.
1419060047	Bryst dig ikke for kongens åsyn og still dig ikke på de stores plass!
141907006c	For det er bedre de sier til dig: Kom her op, enn at du blir flyttet ned for en stormann, som du hadde sett.
141908008a	Gi dig ikke for hastig i strid med nogen, forat det ikke skal sies: Hvad vil du gjøre til slutt når motparten vinner saken til din skam?
1419090048	Før din sak mot din motpart, men åpenbar ikke annen manns hemmelighet,
14190a0054	forat ikke den som hører det, skal skjelle dig ut, og ditt dårlige rykte vare ved!
14190b0040	Som epler av gull i skåler av sølv er et ord talt i rette tid.
14190c006a	Som en ring av gull, som et smykke av fint gull er en vismann som taler refsende ord for et hørende øre.
14190d0073	Som kjølende sne i høstens tid er et pålitelig sendebud for den som sender ham; han vederkveger sin herres sjel.
14190e005a	Som skyer og vind uten regn er den mann som skryter av at han vil gi, men ikke holder ord.
14190f0046	Ved saktmodighet blir en fyrste overtalt, og en mild tunge knuser ben.
1419100065	Har du funnet honning, så et av den det du trenger, forat du ikke skal bli lei av den og spy den ut!
1419110055	Sett sjelden din fot i din venns hus, forat han ikke skal bli lei av dig og hate dig!
141912005d	Som en hammer, et sverd, en hvass pil er en mann som fører falskt vidnesbyrd mot sin næste.
1419130051	Som en skjør tann og en vaklende fot er tillit til den troløse på nødens dag.
141914007a	Lik den som legger av sine klær på en vinterdag, lik eddik på pottaske er den som synger viser for et sorgfullt hjerte.
1419150058	Hungrer din fiende, så gi ham brød å ete, og tørster han, så gi ham vann å drikke!
141916004f	For da sanker du gloende kull på hans hode, og Herren skal gjengjelde dig det.
141917004e	Nordenvind føder regn, og en tunge som hvisker i lønndom, volder sure miner.
141918004b	Bedre å bo i et hjørne på taket enn med trettekjær kvinne i felles hus.
1419190044	Som friskt vann for den trette er en god tidende fra et fjernt land.
14191a005a	Som en grumset kilde og en utskjemt brønn er en rettferdig som gir efter for en ugudelig.
14191b0041	Å ete for meget honning er ikke godt, og grubleres ære er tung.
14191c0054	Som en by hvis murer er brutt ned og borte, er en mann som ikke kan styre sitt sinn.
141a01004c	Som sne om sommeren og som regn i høsttiden, slik høver ære for en dåre.
141a020064	Som spurven i fart, som svalen i flukt, slik er det med en uforskyldt forbannelse - den rammer ikke.
141a03003f	Svepe for hesten, tømme for asenet, og kjepp for dårers rygg!
141a04004a	Svar ikke dåren efter hans dårskap, forat du ikke selv skal bli ham lik!
141a05004a	Svar dåren efter hans dårskap, forat han ikke skal bli vis i egne øine!
141a060058	Den som sender bud med en dåre, han hugger føttene av sig, han må tåle slem medfart.
141a07004a	Visne henger benene på den lamme og likeså ordsprog i munnen på dårer.
141a080040	Lik den som legger sten i slyngen, er den som gir en dåre ære.
141a090049	Som en torn i en drukken manns hånd, slik er et ordsprog i dårers munn.
141a0a005f	En mester får alt i stand, men den som leier en dåre, er lik den som leier en som går forbi.
141a0b005f	Lik hunden som vender tilbake til sitt eget spy, er en dåre som kommer igjen med sin dårskap.
141a0c0051	Ser du en mann som er vis i egne øine - det er mere håp for dåren enn for ham.
141a0d003c	Den late sier: Det er en løve på veien, en løve i gatene.
141a0e0047	Døren dreier sig på sitt hengsel, og den late snur sig på sitt leie.
141a0f0050	Den late stikker sin hånd fatet; han gider ikke føre den tilbake til sin munn.
141a100040	Den late er visere i egne øine enn syv som svarer med forstand.
141a110084	Lik den som tar fatt i øret på en hund som løper forbi, er den som lar sig egge til vrede over en trette som ikke kommer ham ved.
141a12003d	Lik en gal mann som kaster ut brandpiler og skyter og dreper,
141a130044	er en mann som har sveket sin venn og så sier: Jeg spøker jo bare!
141a14005b	Når det er forbi med veden, slukner ilden, og når det ingen øretuter er, stilles trette.
141a150057	Som kull blir til glør, og som ved nærer ild, slik voldes kiv av en trettekjær mann.
141a160050	En øretuters ord er som velsmakende retter, og de trenger ned i hjertets indre.
141a17005c	Lik et lerkar som er overdratt med bly-glette, er brennende leber sammen med et ondt hjerte.
141a18004f	Med sine leber skaper den hatefulle sig til, men i sitt indre gjemmer han svik.
141a190062	Når han gjør sin røst blid, så tro ham ikke! For der er syv vederstyggeligheter i hans hjerte.
141a1a0050	Den hatefulle skjuler sig i svik, men hans ondskap blir åpenbar i forsamlingen.
141a1b0067	Den som graver en grav, skal falle i den, og den som velter en sten op, på ham skal den rulle tilbake.
141a1c004e	En løgnaktig tunge hater dem som den har knust, og en falsk munn volder fall.
141b010046	Ros dig ikke av den dag imorgen, for du vet ikke hvad dagen vil føde!
141b02004f	La en annen rose dig og ikke din egen munn, en fremmed og ikke dine egne leber!
141b03004d	Stenen er tung, og sanden veier meget, men dårens harme er tyngre enn begge.
141b04004d	Vrede er fryktelig, og harme er som en flom; men hvem kan stå sig mot avind?
141b05003d	Åpenlys irettesettelse er bedre enn kjærlighet som skjules.
141b060038	Trofaste er vennens slag, men troløse er fiendens kyss.
141b070042	Den mette vraker honning, men for den sultne er alt bittert søtt.
141b080062	Lik en spurv som flyver omkring borte fra sitt rede, er en mann som vanker om borte fra sitt hjem.
141b09004e	Olje og røkelse gleder hjertet, og likeså en venns ømhet og opriktige råd.
141b0a008d	Forlat ikke din venn og din fars venn, og kom ikke i din brors hus den dag du er i nød! En granne nær ved er bedre enn en bror langt borte.
141b0b004f	Vær vis, min sønn, og gled mitt hjerte, så jeg kan svare den som håner mig!
141b0c004b	Den kloke ser ulykken og skjuler sig; de uerfarne går videre og må bøte.
141b0d0063	Ta hans klær, han har gått i borgen for en annen, og ta pant av ham for en fremmed kvinnes skyld!
141b0e0065	Den som velsigner sin venn med høi røst tidlig om morgenen, ham skal det regnes som en forbannelse.
141b0f004c	Et stadig takdrypp på en regndag og en trettekjær kvinne ligner hverandre.
141b10004e	Den som holder på henne, holder på vind, og hans høire hånd griper i olje.
141b11003e	Jern skjerpes ved jern, og en mann slipes ved å omgås andre.
141b120061	Den som passer sitt fikentre, får ete dets frukt, og den som tar vare på sin herre, blir æret.
141b13006c	Likesom ansikt speiler sig mot ansikt i vannet, så finner det ene menneske sitt hjerte igjen hos det andre.
141b140055	Dødsriket og avgrunnen blir ikke mette, og menneskenes øine blir heller ikke mette.
141b15004b	Digel er for sølv og ovn for gull, og en mann prøves efter det han roser.
141b160073	Om du støter dåren i morteren med støteren midt iblandt grynene, så viker hans dårskap allikevel ikke fra ham.
141b170043	Du bør nøie kjenne dine fårs utseende; ha omsorg for din buskap!
141b180048	For gods varer ikke til evig tid, og en krone ikke gjennem alle slekter.
141b190054	Når høiet er borte, og det unge gress kommer til syne, og fjellgresset samles inn,
141b1a003a	så har du lam til klær og bukker til å kjøpe aker for,
141b1b0057	og du har gjetemelk nok til føde for dig og ditt hus og til livsophold for dine piker.
141c01005b	De ugudelige flyr uten at nogen forfølger dem; men de rettferdige er trygge som ungløven.
141c02007b	For et lands frafalls skyld blir dets fyrster mange; men når menneskene er kloke og førstandige, så lever fyrsten lenge.
141c030066	En fattig mann som undertrykker småfolk, er et regn som skyller bort kornet, så der ikke blir brød.
141c040059	De som ikke følger loven, priser de ugudelige, men de som holder loven, strider mot dem.
141c050054	Onde mennesker skjønner ikke hvad rett er, men de som søker Herren, skjønner alt.
141c06006b	Bedre er en fattig som vandrer i ustraffelighet, enn en falsk som vandrer på to veier, selv om han er rik.
141c070070	Den som følger loven, er en forstandig sønn; men den som holder vennskap med svirebrødre, gjør sin far skam.
141c080068	Den som øker sitt gods ved rente og ved overmål, han samler for den som forbarmer sig over de fattige.
141c09005e	Om en vender sitt øre bort og ikke vil høre loven, er endog hans bønn en vederstyggelighet.
141c0a007b	Den som fører de opriktige vill på en ond vei, skal falle i sin egen grav; men de ustraffelige skal arve det som godt er.
141c0b0058	En rik mann er vis i sine egne øine; men en fattig som er forstandig, gjennemskuer ham.
141c0c0073	Når de rettferdige jubler, er alt herlighet og glede; men når de ugudelige kommer sig op, må en lete efter folk.
141c0d0078	Den som skjuler sine misgjerninger, har ingen lykke, men den som bekjenner dem og vender sig fra dem, finner miskunnhet.
141c0e005d	Salig er det menneske som alltid frykter; men den som forherder sitt hjerte, faller i ulykke.
141c0f0059	En brølende løve, en omfarende bjørn, slik er en ugudelig hersker over et fattig folk.
141c100068	Du fyrste som er fattig på forstand og rik på vold! De som hater urettferdig vinning, skal leve lenge.
141c11005e	Et menneske som trykkes av blodskyld, er på flukt like til sin grav; ingen må holde på ham.
141c12006a	Den som lever ustraffelig, skal frelses; men den falske, som vandrer på to veier, skal falle på den ene.
141c130060	Den som dyrker sin jord, mettes med brød; men den som jager efter tomme ting, mettes med armod.
141c140063	En trofast mann får rik velsignelse; men den som haster efter å bli rik, han blir ikke ustraffet.
141c150064	Å gjøre forskjell på folk er ikke rett, men mangen mann forsynder sig for et stykke brøds skyld.
141c160056	Den misunnelige haster engstelig efter gods og vet ikke at mangel skal komme over ham.
141c170061	Den som irettesetter et menneske, skal siden finne mere yndest enn den som gjør sin tunge glatt.
141c180065	Den som plyndrer sin far og sin mor og sier: Det er ingen synd, han er en stallbror til ødeleggeren.
141c19004f	Den havesyke vekker trette; men den som setter sin lit til Herren, skal trives.
141c1a0068	Den som setter sin lit til sin forstand, han er en dåre; men den som vandrer i visdom, han blir frelst.
141c1b006b	Den som gir til den fattige, skal ikke lide mangel; men den som lukker sine øine, får mange forbannelser.
141c1c0064	Når de ugudelige kommer sig op, skjuler folk sig; men når de omkommer, blir der mange rettferdige.
141d01007e	En mann som er ofte straffet og allikevel gjør sin nakke stiv, vil i et øieblikk bli sønderbrutt, og der er ingen lægedom.
141d02006b	Når de rettferdige kommer til makten, gleder folket sig; men når en ugudelig mann hersker, sukker folket.
141d030065	En mann som elsker visdom, gleder sin far; men den som holder vennskap med skjøger, øder sitt gods.
141d040054	En konge trygger sitt land ved rett; men en mann som tar imot gaver, bryter det ned.
141d050043	En mann som smigrer for sin næste, setter op et garn for hans fot.
141d06005a	En ond manns misgjerning er en snare for ham, men den rettferdige skal juble og glede sig.
141d070055	Den rettferdige tar sig av småfolks sak; den ugudelige skjønner sig ikke på noget.
141d080033	Spottere egger op byen, men vismenn stiller vreden.
141d09005d	Når en vismann går i rette med en dåre, så blir dåren vred og ler, og der blir ingen ro.
141d0a0055	De blodtørstige hater den ustraffelige, men de rettsindige søker å redde hans liv.
141d0b0058	All sin vrede lar dåren strømme ut, men den vise holder vreden tilbake og stiller den.
141d0c0049	Når en hersker akter på løgnens ord, blir alle hans tjenere ugudelige.
141d0d0053	Den fattige og den som undertrykker ham, møtes; Herren gir begges øine deres lys.
141d0e004f	En konge som dømmer småfolk rettferdig, hans trone står fast for alle tider.
141d0f0055	Ris og tukt gir visdom; men en gutt som er overlatt til sig selv, gjør sin mor skam.
141d10005f	Når de ugudelige får makt, får synden makt; men de rettferdige skal se deres fall med glede.
141d110046	Tukt din sønn, så skal han bli dig til glede og vederkvege din sjel!
141d120050	Uten åpenbaring blir folket tøilesløst; men lykkelig er den som holder loven.
141d130055	Ved ord lar en træl sig ikke tukte; for han skjønner dem nok, men adlyder dem ikke.
141d14005b	Har du sett en mann som forhaster sig i sine ord - det er mere håp for dåren enn for ham.
141d150053	Forkjæler en sin træl fra ungdommen av, så vil han til sist være sønn i huset.
141d160057	Den som er snar til vrede, vekker trette, og en hastig mann gjør ofte det som er ondt.
141d170046	Et menneskes stolthet fører ham til fall, men den ydmyke vinner ære.
141d180065	Den som deler med en tyv, hater sitt liv; han hører opropet til ed og gir allikevel ingen oplysning.
141d190055	Menneskefrykt fører i snare, men den som setter sin lit til Herren, han blir berget.
141d1a0045	Mange søker en herskers yndest, men fra Herren kommer en manns rett.
141d1b0080	En urettferdig mann er en vederstyggelighet for de rettferdige, og en vederstyggelighet for den ugudelige er den som lever rett.
141e010052	Agurs, Jakes sønns ord og utsagn. Så talte mannen til Itiel, til Itiel og Ukkal:
141e02004a	Jeg er for ufornuftig til å kalles menneske; manns forstand har jeg ikke.
141e03003e	Jeg har ikke lært visdom og har ikke kunnskap om den Hellige.
141e0400c6	Hvem fór op til himmelen og fór ned? Hvem samlet været i sine never? Hvem bandt vannet i et klæde? Hvem satte alle jordens grenser? Hvad er hans navn, og hvad er hans sønns navn? Du vet det jo.
141e05004c	Alt Guds ord er rent; han er et skjold for dem som tar sin tilflukt til ham.
141e060059	Legg ikke noget til hans ord, forat han ikke skal straffe dig, og du stå som en løgner!
141e07003b	To ting beder jeg dig om, nekt mig dem ikke, før jeg dør:
141e080080	La falskhet og løgnens ord være langt borte fra mig! Gi mig ikke armod og heller ikke rikdom! La mig ete mitt tilmålte brød,
141e09008b	forat jeg ikke når jeg blir mett, skal fornekte dig og si: Hvem er Herren? og ikke når jeg blir fattig, stjele og forbanne min Guds navn!
141e0a005e	Baktal ikke en tjener for hans herre, forat han ikke skal banne dig, og du dra skyld over dig!
141e0b003c	Der er en ætt som banner sin far og ikke velsigner sin mor,
141e0c0055	en ætt som er ren i sine egne øine og dog ikke har tvettet sig for sitt eget skarn,
141e0d0055	en ætt - hvor stolte er ikke dens øine, og dens øielokk, hvor hever de sig ikke! -
141e0e007a	en ætt hvis tenner er sverd, og hvis jeksler er kniver, som eter arminger ut av landet og fattige ut av menneskenes tall.
141e0f0063	Blodiglen har to døtre: Gi hit! Gi hit! Der er tre som aldri blir mette, fire som aldri sier: Nok!
141e100070	Det er dødsriket og det ufruktbare morsliv, jorden, som aldri blir mett av vann, og ilden, som aldri sier: Nok!
141e110077	Et øie som spotter far og forakter lydighet mot mor, det skal ravnene ved bekken hakke ut, og ørneunger skal ete det.
141e120049	Det er tre ting som er mig for underlige, og fire som jeg ikke skjønner:
141e130066	Ørnens vei på himmelen, ormens vei over stenen, skibets vei på havet og en manns vei til en jomfru.
141e140065	Slik bærer en horkvinne sig at: Hun eter og tørker sin munn og sier: Jeg har ikke gjort noget ondt.
141e15003f	Under tre skjelver jorden, og under fire kan den ikke holde ut:
141e16004c	under en træl når han blir konge, og en dåre når han blir mett av brød,
141e170059	under en forsmådd kvinne når hun blir gift, og en tjenestepike når hun arver sin frue.
141e180040	Det er fire som er små på jorden og allikevel overvettes vise:
141e19004a	Maurene er ikke noget sterkt folk, og enda lager de sin føde om sommeren;
141e1a0051	fjellgrevlingene er ikke noget kraftig folk, og enda bygger de sitt hus i berget;
141e1b0049	gresshoppene har ingen konge, og enda drar de alle ut, skare efter skare;
141e1c0051	firfislen kan du gripe med hendene, og allikevel finnes den i kongelige palasser.
141e1d0044	Det er tre som skrider vakkert frem, og fire som har en vakker gang:
141e1e0046	Løven, som er en helt blandt dyrene, og som ikke vender om for nogen,
141e1f0049	hesten med gjord om lendene, bukken, og en konge i spissen for sitt folk.
141e20006f	Har du vært så uforstandig at du har ophøiet dig, eller har du tenkt på ondt, da legg hånden på din munn!
141e210058	For trykk på melk gir smør, og trykk på nese gir blod, og trykk på vrede gir trette.
141f01003a	Kong Lemuels ord, den lærdom som hans mor innprentet ham:
141f020050	Hvad skal jeg si til dig, min sønn, du mitt livs sønn, du mine løfters sønn?
141f030058	Gi ikke kvinner din kraft, og gå ikke på veier som fører til ødeleggelse for konger!
141f040086	Det sømmer sig ikke for konger, Lemuel, det sømmer sig ikke for konger å drikke vin, heller ikke for fyrster å drikke sterk drikk,
141f05005a	forat de ikke skal drikke og glemme hvad der er lov, og forvende retten for alle arminger.
141f06005b	Gi sterk drikk til den som er sin undergang nær, og vin til den som er bedrøvet i sjelen!
141f070054	La ham få drikke, så han glemmer sin fattigdom og ikke mere kommer sin møie i hu!
141f08004c	Oplat din munn for den stumme, for alle deres sak som er nær ved å forgå!
141f09004f	Oplat din munn, døm rettferdig og hjelp armingen og den fattige til hans rett!
141f0a0045	En god hustru - hvem finner henne? Langt mere enn perler er hun verd.
141f0b0045	Hennes manns hjerte liter på henne, og på vinning skorter det ikke.
141f0c0036	Hun gjør ham godt og intet ondt alle sitt livs dager.
141f0d003f	Hun sørger for ull og lin, og hennes hender arbeider med lyst.
141f0e0041	Hun er som en kjøbmanns skib; hun henter sitt brød langveisfra.
141f0f0063	Hun står op mens det ennu er natt, og gir sine husfolk brød og sine piker deres arbeid for dagen.
141f100060	Hun tenker på en mark og får den; for det hun tjener med sine hender, planter hun en vingård.
141f11003f	Hun omgjorder sine lender med kraft og gjør sine armer sterke.
141f120053	Hun merker at det går godt med hennes arbeid; hennes lampe slukkes ikke om natten.
141f130048	Hun legger sine hender på rokken, og hennes fingrer tar fatt på tenen.
141f140050	Hun åpner sin hånd for den trengende og rekker ut sine hender til den fattige.
141f150059	Hun frykter ikke sneen for sitt hus; for hele hennes hus er klædd i skarlagenfarvet ull.
141f16003d	Hun gjør sig tepper; fint lin og purpur er hennes klædning.
141f17004e	Hennes mann er kjent i byens porter, der han sitter sammen med landets eldste.
141f180048	Hun gjør skjorter og selger dem, og belter leverer hun til kjøbmannen.
141f190047	Kraft og verdighet er hennes klædebon, og hun ler av den kommende tid.
141f1a004b	Hun oplater sin munn med visdom, og kjærlig formaning er på hennes tunge.
141f1b005b	Hun holder øie med hvorledes det går til i hennes hus, og dovenskaps brød eter hun ikke.
141f1c0056	Hennes sønner står op og priser henne lykkelig; hennes mann står op og roser henne:
141f1d003b	Det finnes mange dyktige kvinner, men du overgår dem alle.
141f1e0052	Ynde sviker, og skjønnhet forgår; en kvinne som frykter Herren, hun skal prises.
141f1f0057	Gi henne av hennes arbeids frukt, og hennes gjerninger skal prise henne i byens porter.
150000000b	Predikerens
1501010035	Ord av predikeren, sønn av David, konge i Jerusalem.
1501020040	Bare tomhet, sier predikeren, bare idelig tomhet! Alt er tomhet.
1501030051	Hvad vinning har mennesket av alt sitt strev, som han møier sig med under solen?
1501040038	Slekt går, og slekt kommer, men jorden står evindelig.
1501050059	Og solen går op, og solen går ned, og den haster tilbake til det sted hvor den går op.
150106007c	Vinden går mot syd og vender sig mot nord; den vender og vender sig om under sin gang og begynner så atter sitt kretsløp.
1501070076	Alle bekker løper ut i havet, men havet blir ikke fullt; til det sted som bekkene går til, dit går de alltid igjen.
