2800000006	Matius
2c03170059	Siapa saja yang tidak mendengarkan Dia akan benar-benar dipisahkan dari masyarakatnya.’
2c03180057	Semua nabi yang sudah berbicara, mulai dari Samuel, sudah menubuatkan tentang hari ini.
2c031900cc	Kalian adalah anak dari para nabi dan perjanjian yang Allah buat dengan nenek moyang kalian ketika Allah berkata kepada Abraham, ‘Dari keturunanmulah seluruh keluarga di seluruh dunia akan diberkati.’
2c031a00ae	Allah menyiapkan Hamba-Nya dan mengirimkan Dia lebih dahulu kepada kalian, untuk memberkati kalian dengan mengubah kalian masing-masing dari jalan-jalan kalian yang jahat.”
2c04010084	Sementara mereka sedang berbicara kepada orang banyak, para imam, kepala pasukan rumah Tuhan, dan kelompok Saduki mendatangi mereka.
2c0402008c	Mereka marah sebab Petrus dan Yohanes mengajari banyak orang, memberitahu mereka bahwa melalui Yesus ada kebangkitan dari antara orang mati.
2c0403009e	Maka mereka menangkap Petrus dan Yohanes dan menempatkan mereka di bawah pengawasan penjaga sampai keesokan harinya sebab saat itu hari sudah menjelang malam.
2c040400a2	Tetapi banyak dari antara mereka yang sudah mendengarkan pesan Petrus dan Yohanes mempercayainya, dan jumlah orang percaya bertambah sampai berjumlah 5.000 orang.
2c04050072	Keesokan harinya, para penguasa, pemimpin-pemimpin suku, dan pengajar-pengajar agama bertemu bersama di Yerusalem.
2c04060075	Termasuk di antaranya adalah Imam Agung Hanas, Kayafas, Yohanes, Aleksander, dan anggota keluarga Imam besar lainnya.
2c0407008d	Mereka membawa Petrus dan Yohanes ke hadapan mereka dan bertanya, “Dengan kuasa apa atau dengan otoritas siapa kalian melakukan hal ini?”
2c04080056	Petrus, penuh dengan Roh Kudus, menjawab mereka. “Para penguasa dan pemimpin rakyat:
2c0409009f	Apakah kami ditanyai mengenai sebuah perbuatan baik yang dilakukan kepada seorang yang tidak bisa menolong dirinya sendiri, dan bagaimana dia bisa disembuhkan?
2c040a0122	Jika memang demikian, semua kalian harus tahu, dan juga semua orang di Israel, bahwa di dalam nama Yesus Kristus orang Nasaret, yang kalian salibkan dan yang Allah bangkitkan dari antara orang mati — oleh karena Dialah orang ini berdiri di hadapan kalian dalam keadaan benar-benar sembuh.
2c040b007b	‘Dialah yang dikatakan sebagai batu yang sudah dibuang oleh tukang bangunan, tetapi sudah menjadi sebuah batu penjuru.’
2c040c0096	Hanya Dia satu-satunya yang bisa menyelamatkan, tidak ada nama lain di bawah langit ini yang diberikan kepada manusia yang bisa menyelamatkan kita.”
2c040d00cd	Ketika mereka melihat rasa percaya diri Petrus dan Yohanes, dan menyadari bahwa keduanya bukanlah orang yang berpendidikan, mereka sangat terkejut. Mereka juga mengenali keduanya sebagai murid-murid Yesus.
2c040e00ad	Sebab mereka bisa melihat orang yang sudah disembuhkan itu berdiri di hadapan mereka, tidak ada satu katapun yang bisa mereka ucapkan untuk membantah apa yang sudah terjadi.
2c040f0089	Jadi mereka memerintahkan keduanya untuk menunggu di luar sementara sidang berdiskusi mengenai masalah yang ada di antara mereka sendiri.
2c041000d7	“Apa yang harus kita lakukan kepada orang-orang ini?” tanya mereka. “Kita tidak bisa menyangkal keajaiban yang luar biasa yang terjadi melalui mereka. Setiap orang yang tinggal di Yerusalem mengetahui hal itu.
2c041100a9	Tetapi agar hal itu tidak tersebar lebih jauh lagi di antara masyarakat, kita harus mengancam agar mereka tidak pernah berbicara dengan siapa pun dalam nama ini lagi.”
2c04120098	Jadi mereka kembali memanggil kedua rasul masuk ke dalam dan memerintahkan mereka untuk tidak pernah lagi berbicara ataupun mengajar tentang Yesus lagi.
2c04130092	Tetapi Petrus dan Yohanes menjawab, “Pikirkanlah menurut kalian, mana yang lebih benar dalam pandangan Allah, menaati kalian atau menaati Allah!
2c04140059	Kami tidak dapat berhenti berbicara tentang apa yang sudah kami lihat dan kami dengar!”
2c041500df	Sesudah mengancam kedua rasul lebih lagi, para anggota sidang melepaskan mereka. Para anggota sidang ini tidak bisa menemukan cara untuk menghukum para rasul sebab setiap orang memuliakan Allah untuk peristiwa yang terjadi.
2c04160059	Sebab orang yang mengalami kesembuhan secara ajaib itu usianya sudah lebih dari 40 tahun.
2c041700bb	Sesudah para murid dilepaskan, mereka pergi ke tempat orang-orang percaya lainnya berkumpul dan menceritakan segala sesuatu yang dikatakan oleh Imam besar dan para pemimpin kepada mereka.
2c041800a6	Ketika mereka mendengar apa yang terjadi, mereka berdoa kepada Allah bersama-sama: “Tuhan, Engkaulah yang membuat surga, bumi, laut dan segala yang ada di dalamnya.
2c041900d8	Engkau berbicara dengan perantara Roh Kudus melalui Daud, nenek moyang kami dan pelayan-Mu, dengan perkataan, ‘Mengapa bangsa-bangsa menjadi begitu marah? Mengapa mereka berencanakan sesuatu yang bodoh melawan aku?
2c041a0068	Raja-raja di bumi bersiap untuk berperang, para penguasa bersatu melawan Tuhan dan Dia yang Terpilih.’
2c041b00e9	Hal ini sudah benar-benar terjadi di kota ini! Baik Herodes maupun Pontius Pilatus, bersama dengan orang-orang asing dan orang Israel, berkumpul bersama melawan Hamba-Mu yang Kudus yaitu Yesus, yang sudah Engkau urapi sebagai Mesias.
2c041c006e	Mereka melakukan apapun yang sudah Engkau putuskan sebab Engkaulah memiliki kuasa dan semua sesuai rencana-Mu.
2c041d0090	Sekarang Tuhan, lihatlah ancaman-ancaman mereka terhadap kami! Tolong kami para pekerja-Mu untuk mengatakan Firman-Mu dengan benar-benar berani.
2c041e008b	Ketika Engkau menunjukkan kuasa-Mu yang menyembuhkan, biarlah tanda-tanda dan keajaiban terjadi melalui nama Yesus, Hamba-Mu yang Kudus!”
2c041f00a1	Ketika mereka selesai berdoa, gedung tempat mereka berkumpul bergoncang. Semua mereka dipenuhi oleh Roh Kudus dan dengan berani mereka memberitakan Firman Allah.
2c04200097	Seluruh kelompok orang percaya bersatu hati dan satu pemikiran. Tidak seorangpun mengatakan sesuatu adalah milikku, tetapi membaginya dengan yang lain.
2c04210097	Para rasul memberikan kesaksian mereka tentang kebangkitan Tuhan Yesus dengan kuasa yang luar biasa, dan Allah sungguh-sungguh memberkati mereka semua.
2c04220067	Tidak seorangpun di antara mereka berkekurangan sebab mereka yang memiliki rumah atau sawah menjualnya.
2c04230072	Hasil penjualan itu mereka bawa dan persembahkan kepada para rasul untuk dibagikan kepada mereka yang membutuhkan.
2c042400a6	Yusuf, yang diberi nama Barnabas (artinya orang yang suka menguatkan orang lain) oleh para rasul, adalah seorang keturunan suku Lewi, yang dilahirkan di pulau Siprus.
2c04250069	Dia menjual ladang yang menjadi miliknya, dan membawa uangnya serta mempersembahkannya kepada para rasul.
2c0501005b	Ada seorang bernama Ananias, dan istrinya Safira, yang menjual sebagian harta milik mereka.
2c0502008a	Sebagian hasil penjualan dia sisihkan untuk dirinya sendiri, dan membawa sisanya ke hadapan para rasul. Istrinya tahu segala perbuatannya.
2c050300a5	Ketika Petrus bertanya kepadanya, “Ananias, mengapa Setan memenuhi hatimu agar kamu berbohong kepada Roh Kudus dan menyimpan sebagian dari hasil penjualan tanahmu?
2c050400cf	Bukankah itu tanah milikmu? Dan sesudah kamu menjualnya, hasilnya adalah milikmu? Mengapa kamu mengambil keputusan untuk melakukan kebohongan ini? Kamu bukan berbohong kepada manusia, tetapi kepada Allah!”
2c0505006d	Mendengar kata-kata ini, Ananias jatuh dan mati. Setiap orang yang mendengar berita ini menjadi sangat takut.
2c05060071	Beberapa pemuda bangun dan membungkus dia dalam kain kafan. Lalu mereka memboyong-nya keluar dan menguburkan dia.
2c0507005c	Sekitar tiga jam kemudian, datanglah istri Ananias, tanpa mengetahui apa yang sudah terjadi.
2c050800a1	Petrus bertanya kepadanya, “Katakan, apakah kalian menjual tanah ini dengan harga sekian?” “Ya, benar. Memang sebesar itu nilainya,” jawab perempuan itu.
2c050900b8	Lalu Petrus memberitahu dia, “Bagaimana bisa kalian sepakat untuk mencobai Roh Tuhan? Dengar, mereka yang menguburkan suamimu baru saja kembali, dan mereka akan membawa kamu juga!”
2c050a00c5	Dengan segera Safira jatuh dan mati di dekat kaki Petrus. Para pemuda baru saja masuk dan menemukan bahwa dia sudah meninggal, maka mereka menggotongnya keluar dan menguburkan dia di sisi suaminya.
2c050b007a	Ketakutan yang besar dirasakan oleh seluruh anggota jemaat, demikian juga di antara mereka yang mendengarkan kejadian ini.
2c050c00a4	Banyak tanda-tanda perbuatan yang ajaib terjadi di antara orang-orang yang dilakukan oleh para rasul. Semua orang percaya biasa berkumpul bersama di Serambi Salomo.
2c050d0075	Kejadian ini membuat tidak seorangpun berani bergabung dengan mereka sekalipun orang-orang sangat menghormati mereka.
2c050e0062	Namun demikian banyak orang yang menjadi percaya kepada Tuhan — baik laki-laki maupun perempuan.
2c050f00c0	Sebagai akibatnya, orang-orang membawa banyak orang sakit ke jalan-jalan dan membaringkan mereka di atas kasur dan matras, agar ketika Petrus lewat, bayangannya akan dapat menyembuhkan mereka.
2c0510009b	Kerumuman orang dari kota-kota kecil di sekitar Yerusalem membawa kerabat mereka yang sakit dan yang dirasuki oleh roh jahat. Dan mereka semua disembuhkan.
2c05110074	Namun demikian, para imam besar dan kelompok Saduki menjadi sangat iri hati dan memutuskan untuk mengambil tindakan.
2c05120047	Mereka menangkap para rasul itu dan memasukkan mereka ke dalam penjara.
2c05130063	Tetapi ketika malam tiba, ada malaikat Tuhan yang membuka pintu penjara dan memimpin mereka keluar.
2c05140077	“Pergilah ke rumah Tuhan dan ceritakan kepada orang-orang tentang cara hidup yang baru ini!” katanya kepada mereka.
2c05150116	Mereka melakukan apa yang diperintahkan dan pergi ke rumah Tuhan ketika hari masih pagi-pagi benar dan mulai mengajar. Lalu imam besar dan para pengikutnya mengadakan sidang pertemuan dengan seluruh pemimpin di Israel. Dia mengirim pesan agar para rasul itu dibawa dari penjara.
2c0516009c	Tetapi ketika para petugas pergi ke penjara untuk menjemput para rasul, mereka tidak bisa menemukan mereka, sehingga mereka kembali ke dewan dan melaporkan,
2c051700a1	“Pintu penjara masih terkunci, dengan para penjaga masih ada di depan pintu. Tetapi ketika kami minta pintu di buka, kami tidak menemukan siapapun di dalam.”
2c05180095	Ketika kepala pasukan rumah Tuhan dan para imam kepala mendengar hal ini, mereka benar-benar kebingungan, dan bertanya-tanya apa yang sedang terjadi.
2c0519008b	Lalu seseorang masuk dan berkata, “Dengar, orang-orang yang kalian masukkan ke dalam penjara ada di dalam rumah Tuhan sedang mengajar!”
2c051a00f6	Jadi kepala pengawal pergi bersama para prajuritnya dan membawa para rasul itu kembali ke sidang, tetapi mereka tidak menggunakan paksaan sebab mereka takut jangan sampai orang banyak yang mendengarkan para rasul itu melempari mereka dengan batu.
2c051b004a	Para rasul dibawa masuk dan diperintahkan untuk berdiri di hadapan sidang.
2c051c0104	“Bukankah sudah kami perintahkan kepada kalian untuk tidak mengajar dalam nama ini?” tanya Imam Besar. “Sekarang dengar — kalian sudah membawa pengajaran kalian ke seluruh Yerusalem, dan kalian mencoba menyalahkan kami sebagai penyebab kematian-Nya!”
2c051d0065	Tetapi Petrus dan para rasul menjawab, “Kami harus lebih taat kepada Allah daripada kepada manusia.
2c051e006b	Allah nenek moyang kita membangkitkan Yesus dari kematian — Dia yang kalian bunuh dengan cara disalibkan.
2c051f00f5	Allah meninggikan Dia dan menempatkan Dia di posisi yang paling terhormat di sebelah kanan Allah sebagai Raja dan Penyelamat. Dengan demikian Allah memberikan jalan melalui Dia agar orang-orang Israel bisa bertobat dan menerima pengampunan dosa.
2c05200089	Kami adalah saksi dari semua kejadian yang ada, demikian juga dengan Roh Kudus, yang Allah berikan kepada mereka yang taat kepada-Nya.”
2c0521005b	Ketika anggota sidang mendengar hal ini, marahlah mereka dan ingin membunuh para rasul itu.
2c052200ee	Tetapi kemudian salah satu anggota sidang berdiri dan berbicara. Dia adalah Gamaliel, seorang Farisi dan ahli hukum Taurat yang sangat dihormati oleh semua orang. Dia memerintahkan agar para rasul keluar dari ruang sidang terlebih dahulu.
2c05230097	Gamaliel berkata kepada para anggota sidang: “Para pemimpin Israel, berhati-hatilah dengan rencana yang hendak kalian lakukan kepada orang-orang ini.
2c052400c2	Beberapa waktu lalu Tedeus mencoba mencari nama agar dirinya dikenal, dan sekitar 400 orang bergabung menjadi pengikutnya. Dia dibunuh dan semua pengikutnya tercerai berai dan gerakannya hilang.
2c052500b7	Lalu sesudah dia, ada Yudas dari Galilea, yang muncul sekitar masa sensus penduduk, yang menarik cukup banyak pengikut. Dia juga mati, dan mereka yang mendengarkan dia tercerai berai.
2c052600e3	Jadi dengan kasus yang sekarang ini, aku menasihatkan agar kalian membiarkan orang-orang ini, dan lepaskan mereka. Jika yang mereka rencanakan atau lakukan datang dari pikiran manusia, maka gerakan mereka pasti akan dikalahkan.
2c0527007f	Tetapi jika kegerakan mereka datang dari Allah, kalian tidak akan bisa mengalahkan mereka. Kalian bahkan akan melawan Allah!”
2c052800ec	Para anggota sidang diyakinkan oleh perkataannya. Jadi mereka kembali memanggil para rasul ke dalam ruang sidang, mencambuk mereka, dan memerintahkan agar para rasul tidak lagi mengatakan apapun dalam nama Yesus. Lalu melepaskan mereka.
2c05290068	Para rasul itu meninggalkan tempat sidang, gembira sebab dianggap layak untuk menderita demi nama Yesus.
2c052a0073	Setiap hari mereka terus mengajar dan memberitakan nama Yesus sebagai Mesias, dalam rumah Tuhan dan di rumah-rumah.
2c0601013e	Pada waktu ini, jumlah orang percaya meningkat dengan cepat. Orang percaya yang berbicara dengan bahasa Yunani mulai berdebat dengan mereka yang berbicara dengan bahasa Aram. Orang-orang yang berbahasa Yunani ini mengeluh bahwa janda-janda mereka mendapat perlakuan yang tidak adil dalam pembagian makanan setiap hari.
2c060200d8	Kedua belas rasul memanggil kedua belah pihak untuk berkumpul, dan memberitahu mereka, “Tidak baik bagi kami untuk meninggalkan tugas memberitakan Firman Allah hanya agar kami bisa mengurus tugas pembagian makanan.
2c060300d0	Saudara-saudara, pilihlah tujuh orang dari antara kalian yang bisa dipercaya, penuh dengan Roh Kudus dan kemampuan untuk mengambil keputusan yang bijak. Kami akan mengalihkan tanggung jawab ini kepada mereka.
2c06040058	Kami sendiri akan memberi perhatian penuh kepada doa dan pelayanan penyebaran Firman.”
2c06050110	Setiap orang senang dengan pengaturan ini, dan mereka memilih Stefanus, seorang yang sangat percaya kepada Allah dan penuh dengan Roh Kudus, Filipus, Prokorus, Nikanor, Timon, Permenas, dan Nikolaus, seorang Yahudi yang menjadi pengikut Kristus yang berasal dari Antiokia.
2c06060075	Orang-orang ini dihadapkan kepada para rasul yang berdoa dan menumpangkan tangan atas mereka serta memberkati mereka.
2c06070096	Firman Allah terus menyebar, dan jumlah murid di Yerusalem terus bertambah dengan cepat, bahkan sejumlah besar imam juga menjadi percaya kepada Yesus.
2c06080079	Stefanus, penuh dengan kuasa dan kemurahan Allah, banyak melakukan perbuatan-perbuatan yang ajaib di antara orang banyak.
2c060900cc	Tetapi beberapa orang mulai berdebat dengan dia. Mereka datang dari rumah-rumah ibadah yang dinamakan “Orang-orang yang Merdeka”, demikian juga orang-orang Kirene, Aleksandira, Kilikia dan Asia Kecil.
2c060a007e	Tetapi tidak seorangpun dari mereka yang bisa menjawab hikmat yang dimiliki Stefanus sebab dia selalu dipenuhi oleh Roh Kudus.
2c060b0093	Jadi mereka menyuap beberapa orang untuk memberikan kesaksian palsu. Mereka berkata, “Kami mendengar orang ini menghujat Musa, dan Allah juga!”
2c060c009f	Mereka menghasut orang-orang, dan bersama dengan para pemimpin dan pengajar hukum Taurat, datang dan menangkap dia. Mereka membawanya ke sidang Mahkamah Agama,
2c060d008c	dan memanggil saksi palsu untuk bersaksi menuduh mereka. “Orang ini selalu mengumpat tentang rumah Tuhan dan hukum Taurat,” kata mereka.
2c060e009d	“Kami mendengar dia berkata kalau Yesus si Orang Nasaret itu akan menghancurkan rumah Tuhan, dan akan mengganti hukum Taurat yang kita terima dari Musa.”
2c060f008c	Setiap orang yang duduk dalam sidang Mahkamah Agama itu menatap lekat kepada Stefanus, dan wajahnya bersinar seperti wajah seorang malaikat.
2c07010039	“Apakah seluruh tuduhan ini benar?” tanya Imam Besar.
2c070200de	“Saudara-saudara dan ayah-ayah sekalian, dengarkan aku!” jawab Stefanus. “Allah dalam kemuliaan-Nya menyatakan diri kepada bapa leluhur kita Abraham ketika dia masih hidup di Mesopotamia, sebelum dia pindah ke Haran.
2c0703008d	Allah berkata kepadanya, ‘Pergilah dari negerimu dan dari sanak keluargamu, dan pergilah menuju negeri yang akan Aku tunjukkan kepadamu.’
2c070400aa	Maka pergilah Abraham meninggalkan negeri orang Kasdim dan tinggal di Haran. Sesudah kematian ayahnya, Allah mengirim dia ke sini, ke negeri tempat di mana kita sekarang.
2c070500f3	Allah tidak memberikan kepada Abraham satu bidang tanahpun kepadanya di sini. Tetapi yang Allah janjikan adalah Abraham akan mendapatkan hak kepemilikan atas negeri ini, dia beserta keturunannya, sekalipun saat itu Abraham tidak memiliki anak.
2c07060091	Allah juga memberitahu dia bahwa keturunannya akan hidup di negeri asing, dan mereka akan diperbudak di sana, dan akan ditindas selama 400 tahun.
2c070700a0	Allah berkata, ‘Aku akan menghukum negeri yang sudah memperbudak mereka. Pada akhirnya keturunanmu akan pergi dan datang ke tempat ini untuk menyembah Aku.’
2c070800db	Allah juga memberikan kepada Abraham perjanjian sunat, maka, ketika Isak lahir, Abraham menyunat dia pada hari yang ke delapan. Isak, adalah ayah Yakub, dan Yakub adalah ayah dari ke dua belas kepala suku bangsa Israel.
2c07090072	Nenek moyang kita karena cemburu kepada Yusuf, menjualnya menjadi budak di Mesir. Tetapi Allah beserta dengan dia,
2c070a00ea	dan menyelamatkan dia dari semua kesukaran dia. Allah memberinya kemampuan untuk mengambil keputusan yang tepat dan menolongnya mendapat perkenanan Raja Mesir, yang mengangkat dia menjadi gubernur atas Mesir dan rumah tangga kerajaan.
2c070b009f	Namun sebuah bencana kelaparan melanda seluruh Mesir dan Kanaan. Bencana ini menyebabkan penderitaan yang hebat, dan nenek moyang kita kehabisan bahan makanan.
2c070c007c	Ketika Yakub mendengar bahwa gandum tersedia di negeri Mesir, dia mengirim nenek moyang kita dalam kunjungan pertama mereka.
2c070d008d	Pada kunjungan kedua mereka, Yusuf memperkenalkan dirinya kepada saudara-saudaranya, dan Raja Mesir mengetahui latar belakang keluarga Yusuf.
2c070e0061	Yusuf mengirim utusan untuk menjemput ayah dan seluruh sanak keluarganya yang berjumlah 72 orang.
2c070f0064	Yakub akhirnya berangkat ke Mesir, dan meninggal di sana — demikian juga dengan nenek moyang kita.
2c0710008f	Mayat-mayat mereka dibawa kembali ke Sikhem dan diletakkan di kuburan yang Abraham sudah beli dengan koin perak dari anak-anak Hamor di Sikhem.
2c0711007b	Waktunya sudah semakin dekat untuk menggenapi janji yang Allah buat kepada Abraham, jumlah orang Israel di Mesir meningkat.
2c07120047	Seorang raja baru yang tidak mengenal Yusuf memerintah di negeri Mesir.
2c07130066	Dia memanfaatkan dan menyiksa nenek moyang kita, memaksa mereka membuang bayi-bayi mereka supaya mati.
2c0714007d	Pada masa inilah Musa dilahirkan. Dia seorang bayi yang rupawan, dan selama tiga bulan dia dipelihara di dalam rumah ayahnya.
2c0715006a	Ketika dia harus dibuang, putri Raja Mesir menyelamatkan dan merawatnya seperti anak laki-lakinya sendiri.
2c0716006c	Musa menerima didikan dan ilmu bangsa Mesir, dan menjadi berkuasa, baik di dalam perkataan maupun perbuatan.
2c07170066	Namun ketika dia berusia 40 tahun, Musa memutuskan untuk mengunjungi saudara-saudaranya, orang Israel.
2c071800a0	Dia melihat salah seorang dari mereka sedang dianiaya oleh orang Mesir, jadi dia membela saudaranya bangsa Israel itu. Musa memukul orang Mesir itu sampai mati.
2c0719007e	Musa mengira bahwa bangsanya akan melihat bahwa Allah akan menyelamatnya mereka melalui dia, tetapi tidak terjadi seperti itu.
2c071a00f2	Keesokan harinya dalam kunjungannya yang kedua, dua orang Israel sedang berkelahi. Musa mencoba mendamaikan mereka dan menghentikan perkelahian. ‘Kawan, kalian ini bersaudara!’ katanya kepada mereka. ‘Mengapa kalian saling menyerang?’
2c071b00b1	Tetapi orang yang memulai perkelahian mendorong Musa. Jawab orang itu, ‘Siapa yang mengangkat kamu menjadi pengawas atas kami? Apakah kamu yang menjadi hakim kami sekarang?’
2c071c0050	‘Apakah kamu akan membunuhku seperti kamu membunuh orang Mesir itu kemarin?’
2c071d00da	Ketika Musa mendengar perkataan orang itu, dia melarikan diri sebab dia tahu dia akan dihukum mati. Dia pergi dan hidup dalam pengasingan di negeri Midian, dan mendapatkan dua orang anak laki-laki sebagai keturunannya.
2c071e006c	Sesudah lewat 40 tahun, datanglah malaikat di hadapan Musa dalam bentuk semak yang terbakar di Gunung Sinai.
2c071f005c	Musa tertegun melihat hal ini, dan mendekat menghampirinya. Suara Tuhan berbicara kepadanya:
2c0720007a	‘Akulah Allah ayahmu, Allah Abraham dan Isak dan Yakub.’ Musa gemetar ketakutan dan tidak berani mengangkat kepalanya.
2c0721005c	Tuhan berkata kepadanya, ‘Lepaskanlah sendalmu, sebab tanah tempat kamu berdiri itu kudus.
2c072200d6	Aku sudah memperhatikan dengan seksama penderitaan dari umat-Ku di negeri Mesir, dan sudah Kudengar erangan mereka. Aku turun untuk menyelamatkan mereka. Datanglah ke sini, sebab Aku akan mengirim kamu ke Mesir.’
2c07230115	Musa ini sama dengan Musa yang ditolak oleh orang Israel ketika mereka berkata, ‘Siapa yang mengangkat kamu menjadi penguasa dan hakim atas kami?’ Allah mengirim dia kembali baik sebagai penguasa maupun pembebas, dengan bantuan malaikat yang muncul di hadapan dia di semak.
2c072400af	Musa memimpin mereka keluar dengan melakukan banyak perbuatan ajaib di Mesir, di Laut Merah, dan terus melakukannya sepanjang perjalanan mereka di gurun pasir selama 40 tahun.
2c072500a7	Musa yang sama yang berjanji kepada orang Israel, ‘Allah akan mengirimkan kepada kalian seorang nabi yang seperti diriku dari antara saudara-saudara kita sendiri.’
2c072600cf	Musa masih bersama dengan umat Allah di gurun pasir ketika malaikat berbicara dengannya di Gunung Sinai, dan di sana, nenek moyang kita bersama dengan Musa menerima Firman Allah untuk diteruskan kepada kita.
2c0727004f	Tetapi mereka tidak mau mendengarkan dia dan memutuskan untuk kembali ke Mesir.
2c072800d1	Mereka berkata kepada Harun, ‘Dirikanlah sebuah patung untuk kami sembah sebagai dewa yang memimpin kita, sebab kita tidak tahu apa yang terjadi pada Musa yang sudah memimpin kita keluar dari tanah Mesir.’
2c0729008c	Lalu mereka membuat patung berbentuk anak lembu, memberikan kurban persembahan kepadanya, dan merayakan patung buatan tangan mereka sendiri!
2c072a0106	Maka menyerahlah Allah terhadap mereka. Ditinggalkannya mereka untuk menyembah dewa-dewa di langit. Inilah yang dikatakan oleh para nabi, ‘Apakah kalian memberikan persembahan atau kurban bakaran kepada-Ku selama masa 40 tahun di gurun pasir, hai orang Israel?
2c072b00d0	Tidak! Kalian membawa kemah dewa Molok dan patung dari dewa bintang Refan, patung yang kalian buat agar kalian bisa menyembah mereka. Maka Aku akan membuang kalian ke pengasingan melewati negeri Babilonia.’
2c072c009b	Nenek moyang kita selalu membawa Kemah Kesaksian selama di gurun pasir. Allah memberitahu Musa cara mendirikannya mengikuti rancangan yang sudah dia lihat.
2c072d00f3	Lalu, nenek moyang kita membawanya bersama mereka ketika mereka masuk bersama Yosua untuk menduduki negeri yang mereka ambil dari bangsa-bangsa yang Tuhan usir dari hadapan mereka. Dan kemah itu tetap ada di sana sampai masa Daud menjadi raja.
2c072e0065	Daud mendapat perkenanan di mata Allah dan bertanya apakah ia boleh membangun Rumah bagi Allah Yakub.
2c072f0043	Tetapi pada akhirnya Salomolah yang membangun Rumah itu bagi Tuhan.
2c0730007a	Tentu saja Tuhan yang Mahakuasa tidak tinggal dalam Rumah-rumah ibadah yang kita bangun. Seperti yang dikatakan para nabi,
2c073100f1	‘Langit adalah tahta-Ku, dan bumi adalah tempat Aku meletakkan kaki-Ku. Rumah kediaman seperti apa yang ingin kamu bangun untuk-Ku?’ tanya Tuhan. ‘Tempat tidur seperti apa yang ingin kamu buat sebagai tempat bagi-Ku untuk beristirahat?
2c0732001d	Akulah pencipta segalanya!’
2c073300ae	Hai orang-orang yang sombong dan keras kepala! Kalian tidak pernah mau mendengar! Kalian selalu melawan Roh Kudus! Perbuatan kalian sama dengan perbuatan nenek moyang kalian!
2c073400c8	Adakah nabi yang tidak dibunuh oleh nenek moyang kalian? Mereka membunuh nabi-nabi yang bernubuat tentang kedatangan Seorang yang sungguh-sungguh baik dan benar. Dia yang kalian khianati dan bunuh —
2c07350060	Kalian yang menerima Hukum Taurat melalui para malaikat, tetapi menolak untuk menjalankannya.”
2c07360091	Ketika para pemimpin orang Yahudi mendengar perkataan ini, mereka menjadi sangat murka, membelakkan mata mereka dan menggertakkan gigi kepadanya.
2c07370082	Tetapi Stefanus, penuh dengan Roh Kudus, menatap ke langit dan melihat kemuliaan Allah, dengan Yesus berdiri di sebelah kanan-Nya.
2c07380068	“Dengar,” katanya, “Aku melihat surga terbuka, dan Anak Manusia berdiri di sebelah kanan Allah.”
2c0739006e	Tetapi mereka menutup telinga mereka sambil berteriak sekeras-kerasnya. Dan mereka menyerang dia bersama-sama,
2c073a00a9	menyeretnya keluar kota, dan mulai melempari dia dengan batu. Para penuduh dia meletakkan jubah-jubah mereka di tanah dan dijaga oleh seorang pemuda yang bernama Saulus.
2c073b0063	Ketika mereka semua melempari dia dengan batu, Stefanus berdoa, “Tuhan Yesus, terimalah rohku.”
2c073c008c	Lalu sambil berlutut, Stefanus berseru, “Tuhan, tolong jangan pegang dosa ini terhadap mereka!” Sesudah mengatakan hal ini, matilah dia.
2c080100cd	Saulus setuju bahwa Stefanus haruslah dibunuh. Pada hari itu penganiayaan besar mulai terjadi terhadap orang percaya di Yerusalem, dan setiap orang kecuali para rasul tersebar ke seluruh Yudea dan Samaria.
2c08020057	(Beberapa pengikut Allah yang setia menguburkan Stefanus, dengan berkabung yang besar.)
2c080300a1	Tetapi Saulus sedang bersiap-siap menghancurkan kumpulan orang percaya, berangkat dari rumah ke rumah, menyeret baik laki-laki maupun perempuan ke dalam penjara.
2c0804005b	Dan mereka yang tersebar ke seluruh daerah menyebarkan juga Firman ke manapun mereka pergi.
2c0805004f	Filipus pergi ke kota di daerah Samaria, dan memberitahu mereka tentang Mesias.
2c08060097	Ketika orang banyak mendengar perkataan Filipus dan melihat perbuatan ajaib yang dilakukannya, mereka memperhatikan setiap pengajaran yang dia berikan.
2c080700c7	Banyak di antara mereka yang dilepaskan dari kerasukan setan yang menjerit ketika keluar dari orang yang mereka jadikan tempat berdiam, dan banyak di antara mereka yang lumpuh atau cacat disembuhkan.
2c08080036	Orang-orang yang hidup di kota itu sangat bersukacita.
2c080900b2	Di kota itu ada seorang bernama Simon yang mempraktekkan ilmu sihir. Dia menyatakan bahwa dia adalah seorang yang sangat penting, dan sudah membuat orang-orang Samaria terpesona,
2c080a00aa	sehingga ereka memperhatikan perkataan dia. Mulai dari orang biasa sampai ke orang penting di kota itu berkata, “Laki-laki ini adalah ‘Allah dengan Kuasa Besar.’”
2c080b004c	Mereka terpesona karena dia sudah menawan mereka dengan sihirnya sejak lama.
2c080c00ab	Tetapi ketika mereka menjadi percaya karena ucapan Filipus tentang kabar baik Kerjaan Allah dan nama Yesus Kristus, mereka semua dibaptis, baik laki-laki maupun perempuan.
2c080d008a	Simon juga menjadi orang percaya dan dibaptis. Dia mengikuti Filipus, kagum akan tanda-tanda dan perbuatan-perbuatan ajaib yang dia lihat.
2c080e00b1	Ketika para rasul yang ada di Yerusalem mendengar bahwa orang-orang di Samaria sudah menerima Firman Allah, mereka mengirim Petrus dan Yohanes untuk mengunjungi orang-orang itu.
