2800000005	Matta
2c17230097	Con yiki “Man nuwa nen gwam kambo nubo wo toker tidor mwereu bouri, Con toki ki, ciya yaken ki co kan Liya dur bitenero nen Hiridus firen wabkang ka.
2c180100b2	Ki kume nundi, Nii kange wii ciyi cotike ananiya nii dur wabe, kangum nubo dur kange nob yob ka bolange decero, Tertullus yaken wi ki kiyange Bulus ce. kabum nii dur bitineronen.
2c1802008c	Ki kwama wo Bulus tim kabum nii liyar Tertullus yoten torank coti kiwe gwamna “Ker mwer nyo fiya, yiblume to kaba, bo ki yulka bitine ben.
2c18030032	Dike mo maneri nyo ki bukan kangen, nii dur Felis.
2c1804003c	Kali nene do tange, miki nanneti nuyen bi dom nan yinen ker.
2c1805005c	Cin fiyam nii wo kan dikeroti kilanye yila cuk nubo Yahudawa kalenen gwam. ciya terkutumeti.
2c18060065	Mani naco fuyatamin kuwaber, co dike nyo teuce (Nyo cuiti na nyo warcinen wo dong dong kange funereu.
2c1807002a	Dila Lysias boyoco win kibi gwan kanciyen.
2c18080044	Na mume Bulus dikero wo gwam di mwan yumom dike nyi tok ti dorcereu.
2c18090037	Yahudawa ciya bwanten ci, chin ciya chiko ki dong dong.
2c180a009f	Ki kwama wo nii dur ko ne Bulus filanko na tok kereri, Bulus ciya, “Miyumom ki coti kila mwin nii warke bitinewo nen, ki bilangtum mi nung dor miro ti munen.
2c180b0050	Mon yumom cubo kumeni kwob cillombo yob ciko min kwi nami ma wabka mor Ursalima.
2c180c0081	Kambo ci fiyaye mor bikur wabereu, ma kwobkang bo kange nii kange, ma kung bo kiyan tiber nuber mor bi kur wabe, kaka, cinan lor.
2c180d0031	Mani ciya nung mwen bilenke dike ci toyeti cikeu.
2c180e007f	Dila miyinen, mor dikerowo ci toki kuwabe nyoken mi bwangten kwama nen kwanimin. mine dur mor dike ci mulang mor bifumer durko.
2c180f0076	Min wiki bi kwan nener naceu ken Kwama nen, na nubo buro, fuloka ko bwareu wi, ki nubo cak-cakeu kange nubo bwir gwam.
2c1810004c	La kang-kang miki mani nami to nermiro kuwayebo, kabum Kwamam, kange niffir.
2c18110041	kangum cotinim mi bou nan tinkan kume diker cike kange lumanerer.
2c1812006f	Min tu nyo ner mir mani nyo la yahudawa biten asiay dikero moten wo cenge ku wabe kebo ki mwer kanka ki kutume.
2c1813004c	daten nubo bulum ciye bo fiye mo wiyeu duwen naci wiki diker tokka dor mwer.
2c18140067	na kebo nyori nubo lominbo ciya togki na ci fiye kidire kikwamawo matogti kabum nob mwerkanka Yahudawa.
2c18150069	No dor dikewo mi tokki ki dir kabum ciyeu, wori gwamka nob Bwerem. cimen coti ci doti naci moten bolanko.
2c181600a2	Felis, wo ci yimco ker dor nureroweu, kungum nuwa kako. Cin yi ki, “No Lysias nii dor, nub kwenebo, yirau Ursalimari, man tok diker amati ki bolang mweko neneu.
2c18170097	La co yi nii bikwan ne nob kwenebbo ayoken Bulus kan nob corkab, la co fiya cerka biduwar kati kange mor ferubceb fiyabo nure aneco diker ci cwitiyeti.
2c1818009a	Kambo Kumeni kange cumeri, Filibus kange wice Duruskila, wo Bayahudiya La cin twomi na cin bouki Bulus di naci nuwa cinen ker bilenker dor Almasiya Yeesu.
2c181900b6	Di la kambo Bulus bulangi kange co, dor cak-cake, taka dorek, kange bolang ko boutiyeu, Felis cwam tai, La yiki, “Muyaken ti naweu. Dila non fiya filang ki bwiri, min twom mwen.”
2c181a0056	Ki kwama wo cun nyoti nerwi ki Bulus a neco kemer ducce kir-kir naco tok ker kange co.
2c181b0079	Ki cwuro yob Borkiyas Festas yilam nii dur buwab Filibus, wori ciki do fuwor bwiyat fiye Yahudawa yoten to Bulus ki toka.
2c19010038	La Festus do ki kume taar gwam kaisariya yaken Ursalima.
2c19020056	La nii dur wabe kange nubo dur yahudawa cin bo ki kwanere dor Bulus cer, la cin kenco.
2c1903006f	Cin me tikali cinen na ci doken Bulus mor dotange - di Festus na cou Bulus Ursalima ri na cin twalumco dor nure
2c19040057	Dila Festus ciya ciki, Bulus bou firen kaisariya, kutakni coki bweco aniylareken firen.
2c19050053	Nyori wo Ayumom bwikan gekotiyeri. Na bwirank ke kange we kange nii wori ciya toco.
2c19060073	Dila ki kume narub kaka kwob la nyilake kaisariya. Celfini ceri Nyiken fiye bworange ki ciya bwoki Bulus kabum cem.
2c19070069	Kambo Bulus boweri Yahudawa wo Ursalima tirangum bidom ci yoten ci bwerauti ki kiyage laci fiyabo ken wi.
2c1908005c	Bulus cokum dorcero ki, ma mabo nii nen bwiranke, kaka Yahudawa, kaka kuwabe kaka kaisar.”
2c1909006a	Dila Festus ki do fuwor bwiyarade fiye Yahudawa wiye, Dila nyori co me Bulus ki mo cuiti namo ya Ursalima.
2c190a005b	Bulus yiki co tim fiye maka borank kaisar fiye tam ceu. Min ma dike yorbei kom nyumom gwam.
2c190b009e	Na bicom mima burankge mima dike dateng bwerangke mikobo in bwiyam. dila na dike lam na bitoren cwerke nin, nikange cunkange. mi tuwciurkumeti fiye kaisar.”
2c190c0059	kambo Festus dim fuwakangkako kange nobe ri La ciya ki, mo cu kaisar monyanken kaisar”.
2c190d005c	Ki kume kange, liya Agrippa kange Bernice cin yirau Caeserea na cin yacuner Festus ki diker.
2c190e0051	La lam kumeni, kila Festus nyi liya keti bidarange wo Filibus domti mur kuu kuka.
2c190f007b	Ki kwamawo mi Ursalima, kange dur ni wabka kange nubo dur Yahudawa ci boki kiyange ce fiye miwiyeu, cin keni naci twalumco.
2c191000a4	Ki woro yi ciki, ke dam Romawa yibo ki aneken bibei nii bibwiyer, La wo ci kwakiyagece cin neco firank naco congum dorcero nob kiyagecenen, naco kiye ker kiyangece.
2c19110064	La ciin mwelim kebo ki tiranka kene, celfiniceri miyiken fiye maka bolange minyici ciya boki nii co.
2c1912003a	Kambo nob kiyangebo boki kyangeceri, kero ken mani morece.
2c1913004c	Miyumom kwaka kaciyeko na kuwaabece dor Yesu wo bwiyamdi Bulus ki wuki dume.
2c19140056	Mi fwiki kambo ma fuma kerowo matongti lami meco miki monyaken Ursalima na walum kero.
2c19150054	Dila Bulus do ciya toco, Kaisar walum kero lamitoki ciya yobco men tukco kaisar nen.
2c1916005c	Agrippa yi Festus, Min cuiti na nuwa nii wo.” “Fini,” Festus yiki, “Mwan nuwa co.”
2c19170093	La ki celfiniceri Agrippa kange Bernice cin bou ki diker chaklang ka, kange nubo durko bitineceu. La Festus toki, ki ciya cokum Bulus fiye ciweyeu.
2c191800a7	Festus yiki Liya Agrippa kange nubo wi kange ciyeu cin toh nii wo kange nubo mwerum feu nub Yahudawa kange coh Ursalima gwam ci werang coti ki daten bo co yim ki dume.
2c1919007d	ma nyumom mabo bwirang ke daten bwere, Dila wori co twalum kero cou yaken cuko fiye kaisar wiyeu. Nyori ma motum intomken co.
2c191a00b5	Di miman ki Kerokange mitontiye miki murank kaisar nen. tomange, ki kerowo mibocuko kakumeu, nawonyon mitonentiyeu mo liya Agrippa. nan fiyam dike mayuktanti muranka mikonen dorcer.
2c191b0043	Fiye miwiyeu Bwira kabo intunin bwiranke mi murankbo bwirang ke co.
2c1a01005a	La agrippa yi Bulus, “Mon nyam coka doremwei la Bulus kunkan ceko yoten condorceroti.”
2c1a020048	Miki Fuwor nerer, liya Agrippa, ki kerowo yahudawa bouti cuko dor mireu.
2c1a030064	Nyori mo nii yumka mor den Yahudawa kange yabciebo. Nyori mikenenti. Nyoli bob nermwero kange bwewo.
2c1a04004f	Miyi komti gwam yahudawa yubram fiye yim kallemibo fiye wucakke kange Ursalima.
2c1a050041	Cin yubrangum ye ki kaba, daten ciya yumom miyiyen na bafarasawa.
2c1a060048	Naweu miki naci mamen bolang nawo wori nor wa kwama tu tebbyebbo ni nen.
2c1a0700b3	Wo cou nure ber gero kwab curomboyo yoti ner wiye. ciya wou ki kwamawo ci wabkwamati ki nero win fiye kwama wiyeu kakum kange kume. Ki yoka nerewa, Liya agrippa, yahudawa buranti.
2c1a08003f	Ye bwikange aburank ti ki diker yumanko kwama akun nob bweyame?
2c1a090034	La mi burankge ki maka dikero kiden Yesu bana zaret.
2c1a0a00a2	Min ma buranka mor Ursalima, mi ku nob bwika kwamako duce mor Fursuna. Ki bikwan do wo mifiya fiye nob dur wabero wiyeu, kange wo ci twerciti mineci mwerka duwen.
2c1a0b008c	neci dotange duce kwab kuh wabe mi cuti nan dongcinen naci ma burkane. Ma ma kiye ciren kangeci minaci dotange yaken cuka bitiye tim bokage.
2c1a0c0045	Ki kwamawo mima buroka boti mi yaken Dimaskus ki ciyaka dur nob wabe.
2c1a0d0073	Mor yame mi, ki kaku, mo liya mito firen dikawama wo la kaku filanken filanko ketenye, kange nubo nyo yakenti wari.
2c1a0e00ac	Kabom kwaob nyo yarken bitine, minuwa diro kange tok keroti kange mwoh ki nye Ibranciyawa yiti ki, shawulu, Shawulu ye bwi mon neye dotange tiye? bwikabo na kundike cucuwe.
2c1a0f0039	La miki webo teluwe? Teluwe ciya mo Yesu wo mone dotange.
2c1a10009d	Naweu kwen titiye ki co kerowo manun dor miro munenen nan yome? na yilam canga kange nii warkere dor dike moyume dormireu nawo kange wuro miyinentiye. fokab.
2c1a11003a	Man cuken fiye nobo wiye kange nubo ma to ci fiye mowiyeu.
2c1a1200c3	Na mo wumom nuwage ciyeu yilau ki ci kumtacile yilau ki ci filank. na cin fiya cerka fiye yuwako bwirko wiyeu na ci you yuwa kwama, kange fuloka dikero bwir nen wo cha ne nubo bwang ten co tiyeu.
2c1a130045	La nyori, liya Agrippa miken kom kangumbo ki dukumbo wamito dikwamau.
2c1a1400ad	Dila, kabokoce buro mor Dimaskus. kange Ursalima kange biten Yahudawa gwam, kange nob furenebo, mima cinen bwiranke naci yiloten fiye kwama wiyeu, cin ma dike daten yilokau.
2c1a150043	Co dike bwi yahudawa ci tamce mor kuh wabe ci cuiti naci twalum co.
2c1a16006a	Kwama tikang wo duwin mi tim kabum bibei kange nubo dur, warke dor dike annabawa kange Musa toki abwitiye.
2c1a170077	Dong dong Almasiya a nuwa dotange anyi lam kaba wociyar komti bwere an tok filang fiye yahudawa kange nubo yumbo kwama.
2c1a18006c	Kambo Bulus dim coka duwek cekori, Festus tok kero ki dir, ki Bulus twaka mani ki nyomka mweka donen twalka.
2c1a19005c	Dila Bulus yico, “mitwalbo nii dur Festus kibi kwan nerer mi tok bilenke tiye kange cinen.
2c1a1a0078	Wori liya yum bo dike burombo gwam, co dike bwi mitok keroti kibi kwane, wori miyom dike kange mani wo yurangum yurange.
2c1a1b0052	Mo ne bilenke kange nob tomange dukumbo, ko liya agrippa? mi nyomom mo ne bilenke.
2c1a1c0058	Agrippa ni yi Bulus mor kere biduware muki cui namo bwolye na yilam nii bwanka kwama ka?
2c1a1d0076	Bulus yiki “miki nanenti kwama, mor kene bi dure kange kene dur, kebo mo ki kwama, gwam kange nubo nuwa yilam na mo.
2c1a1e004a	Liya kweni ti kange nubo dur kange Bernice, kange nubo gwam yilamom kange.
2c1a1f0073	kambo ci dubom ku wabe ri cin ter tok kako kere ko bwiti ci ciki, “Nii wo mabo dike dotange borom kange bwika.”
2c1a200056	Agrippa yi Festus ki naki niwo tumbo kiyage yakenbo cuko kaisar nadi noci yamkancinen.
2c1b01008d	Bwiko ciyaka ko ki nyiki yang italiya ciin neken kange nubo kangembo furcina kang nii dur nub kwenebo ci co ti yuliya wo mor mwan Agustus ke.
2c1b0200b4	Nyin doken nabire mwenge mor Adramatiya, wo ywel bwiti na cii ya bidom kange cunga wima ko Anciya. La nyi yaken mor wima Aristakus wo Tasalonika mor Makidoniya cin yaken kange nyo.
2c1b03008c	Cel fini ceri nyi yiram cinanlor sidom, fiye wo Yuliyas nung Bulus nin neer lumare la cin dobco naci ya farub cebo nen di naci yo toka ceko.
2c1b040065	Nyi kweni wiri nyin doken mor Wima ri nyon yaken kong mwenge kubruce, wori yuwa ko ne nyo dotange ti.
2c1b050063	Ki kwama nyi yabken wima nyi yabken dinge kilikiya kange Bamfiliya nyim la mira, cinan loro Liciya.
2c1b060065	Wii niii nabire nob kwenebo fiya nabire mwenge wo bou Takendariya ri, a yaken ti Italiya cin more ce.
2c1b0700ee	Kambo nyi yakenti kumeni kila nyi yaken biluma, la ki cuile gwam ri nyin lam ki dotange bidom kange cinindu ri la yuwa ko dob nyo bo tak nanyi bwangten cunga ko cou, nyin yaken cunga ko ci kicimkice bidom kange karita bidom kange Salmani.
2c1b080073	Nyi yaken cunga konge ki dotange, nyimde nyi bow fiye kange cou ti ki fiye turangka ko ken, wo bidom kange la ciya.
2c1b09006c	na weu nyin tu kumeni kila, la kwama ngag ngake Yuahadwa cum, la naweu yambo yilam ki tai la Bulus werang ci
2c1b0a00a2	Ciki, Nubo matori yambo wo bi ter tiyeu atin yilam ki nuwa ka twirak kange le-ka dikerek duce, kebo kawo kwilendo ceu kange nabire mwenge, dila kange dume beuken.
2c1b0b006f	La nii na bire nub kwenebo cuwa tu ka diiir teluwe kange nuu nabire mwengeko nin la cuwa bo ker Bulus cero nin.
2c1b0c0126	Wori fiye tuka kwilenek na bire mwenge ko bwei yim wiki cukakiya ri nob kwobka nabire mwengeko duce tok ki ciya dubom fiye cou la tano cwika fiyaka ri bi lam cinar lo finikiya, nabi yim (wa kiyauwi). La finikiya co fiye tii mwe nabire mwnege mor karita, wo to kwasalmen ti kange mar to me tiye.
2c1b0d00e3	Kambo yuwa bange ko ter cu kako kibi luma ri, nubo kwob nabire mwenge ko tiyeu kwabi neer cer ki ciin fiyam dikero cii cwi tiyeu. Dila ciin cukum duka nabirek mwnegeko la ciin bwangten cunga ko karita bidom kange kong mwenge ko
2c1b0e0061	La fiyaco bi duwar di yuwako kwani nyeu wo cii cuwa tiki yuro kilidom yoten buk nyo ti diyelenen.
2c1b0f0068	kambo nabire mwengeu fweki cukako fiye ki yuwa wori yuwa ko lambi kwan ceredi, nyin bwang ten nur yuwau.
2c1b10007f	La nyin bwnagten fiye nyi fiyam cerka ko diyele bi duware coti ki kauda, la ki dotange nyi bwam nabire bi duware bwi durko nen.
2c1b1100c4	Kambo cii kongum nabire mwenge bi duware dii yeri, ciin ma nangen ki duka ceko ri ciin bwam bwi nabireko durko cuko. Taito tamci ki cukum dikero a tam nabire ti dor mwengere dila nyin bwang tenti.
2c1b120072	Nyin nuwa dotange ducce ki yuwa mwengek wo ki celfiniceri ciin ter cutangka kwileneko wo mor nabire mwengenen wii.
2c1b13005c	Ki kume taar ri nob nangenebo mor nabire mwengeu cutang kwilendo mor mnabire wi ki kang cek.
2c1b14006a	kambo nyi to bo filang kakukek kaka bitiren kume taare ri, yoka nereko ki nyan fiya ceer kau cerum nyinen.
2c1b1500ce	kambo cii ya yambo kwitan cari mani yeri, Bulus kweni tiber nob nangeneb nabire mwengeko ri ciki, “nubo, nakin kom cuwa tu kermiro nen, bi kwenu bo karitari no biki fiyabo twirako buro kange leka kwileko.
2c1b16006e	Na weu miyi komnti ko yilam ki birom nerem wori nii mania bwiyati more kume dila ka nabire mwenge bi lem tiye.
2c1b170044	wori wo min naceu, wo mi wabti takeu bwe tomange ceu tii cunga miik.
2c1b18007f	La ciki cware tai, Bulus tam nyo mwanti kabum kaisar re. la to, kwama mor jire duwece neken gwam nubo wo yaken wari kange mweu.
2c1b190061	La nyori ko yilam k bikwan neeret nubo, wori min ne bilenke kwama nen atin yilam nawo ci yiyereu.
2c1b1a0027	La batin cwa bi kangtangi kange Island.
2c1b1b00af	Kambo kume kwobcilombo naareu dimeri, la cii tung nyo fou kange firen mor wima ko adriyate, ki ciin kume ri nubo fu nabire mwenge tiyeu kwabi ki ciin dadum kange bitine Kange.
2c1b1c0069	Kambo cii cuwa ri, cii fiya nako kwini yob kambo kakten biduwar di ci cuwa ten di nako kwob cilumbo nung.
2c1b1d0090	Cin tum tai ki kangeri ciyan kwiti teer, la ciin curken duka ko ciin komti cikeu naar cwile nabire mwenge nen, cin kwob dilo fini a celum wulom.
2c1b1e00c9	Nob nangeneb nabire mwengebo do nure ciya dubom nabire tiye ri ciin merken nabire mwengeu biduwareu mor wima. ciin mani namwi ci yan merangken duka ko kangembo wo mor nabire mwenge kabum nabire ko nen.
2c1b1f007a	Dila Bulus yi nii dur nob kwenebo kange tangum cembo “No nubo buro mani a tim ti mor nabire, msni ciys fiya cerka ti.”
2c1b200030	Dila nob kwenebo mwatum dukako cinn dubti yuram.
2c1b210086	Kambo fini ter celkakeri Bulus kenci gwam cia can carito. ciki Diye wo co diye kwobcillumbo naareu wo kom mor curka, la kom cabo cari.
2c1b22006c	La mi kinong komti, kom cam carito wori cerka kume ko lam, kange kume mani wiin wo a le yere dore cetiye”.
2c1b230060	Bwiko ci tok kero wari ciin tu carito la ciin bu kwama nen kang, ciin duwa carito cin yo cakako.
2c1b24003a	Dila gwam ce ciin fiya bikwan neret ri ciin tu carito ken.
2c1b250055	Nubo kwini kwob yob turdo kwini niber cilumbo nuukkun ki dume tini nabire mwenge nen.
2c1b260037	Kambo cica ci bwameri, cin filam ten ki nabire mwengeu,
2c1b27007d	Kambo fini celumeri ci nyombo bitineu dila ciin to kum ki konge la ciin tokkangi bwiti no ci yan yila ki nabire mwengeu wiri.
2c1b2800de	La ciin mwatum duka ceko ri ciin dobti mor wima. ki kwama co wiin ciin kwim dukako, yila nabire tiyeu. Dila nabire mwengeu kwiti dor yabum cerum cereu. kambum cembo ywiken wi, la mor kwita kako mani la bi kwan mwelka mani.
2c1b2900ad	cin bou fiye wo cajiyo yob mwerkangummeu, la na bire mwenge doken mor yabume. Tangum nabire mwengeu ywiken wi la mani yayamti, La cunga ko ki kyarangi ki mwembo mwelangtieu.
2c1b2a004a	La nob kwenebo ci naci twallum nob furcinabo kari kange kwa mwembo cwalem.
2c1b2b0091	dila nii dur cero cwi naci cer ki Bulus la cin tim ki dikero cii cui makau, nubo nyumom kwaka mwengek la cin mwabken mor mwenge cin yabken konge.
2c1b2c007e	Dila tangnum bayilobo na bwangten kange dor bwatiyer kangembo dor nabire nen. Ki nurewo, la gwam nye nyin beken kwamer bitine.
2c1c010041	Fiya cuwo nya yilau kwamere, nyan nuwa den diiyele cuwa ki malta.
2c1c020075	Nubo mwan loro cuwa nung yinen luma nerek cin nuwa nyinen kira, cin yuwo nyo gwam ker mwemer kange cwuii ngir-ngireu.
2c1c03005c	La Bulus mwer bwatiye yo ti kirari, kwentibe ceru, wori kirako cwillen cakkan cinen ti kang.
2c1c0400a7	La nubo mwan loro cuwo to na cuwe yayim kang cek ri, ci tokkangti bwitici ki, “Nii wo nii twal nob ti ci cuku mor bware caji. Kero dong dongeu ciyabo nii a buuti.”
2c1c050026	La con waciken na cuwe kira, kii cobo.
2c1c0600ab	Ci nintanti na ci to bwici fum, ki kwirum bwi na yarke bitine na bwiyam. La cin to co fiya kutangi, cin tobo diker fiya cobo di, cin fulongum ner cero, cin yi ki con bwel.
2c1c07008d	La bi dom kange fiye cuwe, take kange wi na nii durece diiyele cuwa, wo ci cuwo ti Babiliya yuwo nyo, ki luma nerek, tam nyo na kume taar ce.
2c1c08007b	La te Babiliya cokkati kiwirum bwi kange teka fiya cuwa Bulus ya cinnen kwob cinen dilo, cin yoti kang dor cer con twam co.
2c1c09005f	Bwiko dike woro bwiyeu tangne nube yim diile diile wuro nen nuba. Luma cin bou ken cin twam ci.
2c1c0a0056	Nubo wuro ne nyo dur ti ki dur. La nyon ka bati yamtiri, cin ne nyo dike nyo cwitiyeu.
2c1c0b0088	Bwiko cwak ko taare nyong kwen yambo ki nabire mwenge wo ma tirako wiiye, nsbire Alexandriya, ki bwel do yob ci ywellum tikab dore cike.
2c1c0c003a	Bwiko nya yiram cinanr lor ciranku nyon yim wii kume taar.
2c1c0d007a	Wii ri nyon yaken cinan lor Rigiyum ki kume wiin di, yuwa ko bangeu kwenu, la mor kume yobeu nyin lam cinan lor, Butiyoli,
2c1c0e0060	Nyon fiya yitub nyebo kange wii, cin cuwo nyong yii kange ci kume niber, nure wo nya yaken Roma.
2c1c0f009c	Nyo firen di yitub nyebo nuwa fulen nyero cin ceru cin yuwo nyo, tati fiye miyeka dike Abiya kange bituk taar. La Bitrus to yitubori, con fiya bikwan neret.
2c1c100055	Kambo nya doken Roma ri, cin dob Bitrus na yi ki kwace kange nii kwene wo to co tiye.
2c1c110105	Ki kume taar di Bulus cuwo nubo wuro na dur mor Yahudawa. La cin bou ri, con yiki, “yitub me, ma mabo nob nen dikero bwir kaka, dike ka ciya cike wo tembebo ceu, cin taye. Bwiko cin me ya, ci cwiti naci nyam kang minen ci fiya yebo ki bwirangke wo lam twalka.
2c1c120073	Kambo cii merang ye kereri, cin cwi na cin nyemkan minen, wori ci fiya yebo ki bwirang ker wo lam ciya twalye tiye.
2c1c13006b	La Yahudawa tok diker cwika nerek ciyeu, cin dok ye, ya ki kiyange kaisar nin, muni bou ki kiyange bitineu.
2c1c14004d	Dor kerero wo ma cuwo kom na to kom na yi kom. Nyo neri Israila ci bwam yere.
2c1c150071	La cin yi co “nya yuwobo tomange kange Yahudawa dor mwer kaka kange yitubo bou bo nyi nyo dikero bwir dor mwer.
2c1c16006b	Nyo wcii na yi nuwa muneng ye mo kwatiye dor mwan nibero wo, wori nyon nyimom dike wuro cin toki fiye gwam.
2c1c1700af	cin yo cinen kakuko, nubo ducce bou fiye ci yim wiye con yi ci dikero gwam, con yi cerka liyar kwama, con ken ci dor Yesu ter ti ki Musa ya ciko nob tomangeb ki buri mee doti.
2c1c180036	Kangum bo ciya dike co tokkeu, kangumbo ne bo bilenke.
2c1c19008a	La cin ciya kambo kange butici, Bwiko Bulus dim kere di cin cu. “Yuwa tangbeko wusakke tok ker nyii Ishaya nii tomange teb kimeb bo nin.
2c1c1a006a	Yi ki “ya nubo wuro nen, na yi ci,” ki nuwaka, kan nuwa, la ma ka nyomti, ki toka kan to, maka nyomti.
2c1c1b009c	wori ner nibero wuro kuci, ki tuci, bwai naci nuwa, cin kumom nuwe ciye, naci tore ki nuwe ciye, ci nuwa ki tu ci nyimom ki ner cer, na ci yilau na twam ci.
2c1c1c0045	Nyori kon nyimom fuloka kwamako, cin ya nubo nyumbo kwama, ciya nuwa.
2c1c1d004f	La co tokum dike buro di yahudawau kweni, cu lor ki kwobkanka ko dur more ciye.
2c1c1e004f	Bulus yii wi ki chor kambo co co yim loh Aya, cin wab nubo gwam wo bou cineneu.
2c1c1f005a	La ci tok liyar kwamaro ti, ci meran dikero dor Yesu ti kibi kwamer neret ci ywa cobo wii.
2d00000006	Romawa
2d01010056	Bulu canga Yesu Almasiya co na yilam nii tomange, take cokom coke na fulen kert Kwama.
2d01020057	Won co fulen kere do co ma nore ki kining nob tomangeb dukume ce more bifumero wucakke.
2d0103002f	Dor bi bwece wo bo bowe naniya Dauda mor bwiye.
2d01040073	Fuye kwenka cek mor nobo tuwe, cin yo co a yilam bi Bwe Kwama bi Kwane ki yuwa tangbe ko wo wucakke- Yesu Almasiya.
2d0105005d	Fiye wo co wiye bin nyo luma kange tomange ker ciyaka bilnke mor nobo kumtacili, ker dene ce.
2d0106004d	Mor nobo wuro kumtacili, kom ken cin cuwo kom, kom yilam na Yesu Almasiya ce.
2d010700c3	Bifumero wo ki nobo mor Rome gwam, kom nobo ma cwitiye wo Kwama ce, nobo wo cuwo cowe na yilam wucakke. Di luma ayi wari kange kom, kange fuwor nere Te be Kwama nin kange Teluwe be Yesu Almasiya.
2d0108007f	Ki kiba ma bu` Kwama nin kang ti fiye Yesu Almasiya wiye ker kimer gwam wori cii tok fulen bilen ke kumero ti dor bitiner gwam.
2d01090068	Kwama wo ma wabti mor dume mi, mor fulen kerer Bi bweceu co warke mi, wo bwen fiyang di ma tok kom tiye.
2d010a0071	Kang-kang ma ken ti mor dilo mi bwen ki ma nyi ri ki bwiri nan fiya caka kaba boka fiye kom wiye ki ciyaka Kwama.
2d010b0054	Ma cwiti nan to kom nan ne kom ne kako kange na yuwa tangbeko ce, nan ne kom bikwan.
2d010c005c	Mi ki nin tangi nan fiya neka bikwanek more kume, fiye bilenke bwiti be, wo kumeu kange miu.
2d010d00d4	Na weu ma cwibo kom yilam ki bwini yomka, keb mibo, ma cwi na bou kumen kang-kang, [dila no kebo na wori' no cii dob yebo], nami yilam ki bibei wo yuwa tangbe ko ce more kume, kambo ma fiya tangnum nubembo nineu.
2d010e0058	Ma tum ki tutum nobo Helina kange tangnum nobembo, wuro ki yilene kange wo manki yilene.
2d010f0040	Ma yim ki bati nan tok fulen keret cero kumen kom wuro mor Roma.
2d0110008b	Mani ma nuwa kwenduwe tok fullen keret cet ti, bi kwan Kwama wo fulokakoce ki gwam nii wuro ne bilenkere, ki kaba Yahudawa, nimde Helinawa.
2d0111007f	Wuro more ce cak-cake Kwama ceru yanglang fiye bilenke yaciko bilenke, nawo ci mulangeu,” Nii wo cak-cakeu an bu ker bilenke.
2d0112008c	Kwama nung funer cero firen dii Kwama dor bwini wabka, kange bwini cak-cake na bi bwe nifiroce, wo bimum bilenke ki fiye bwini wucakke ciye.
2d01130065	wori dikero daten cii nyimom dor Kwama re yanglang fiye cii wiye. Wori Kwama fwetang cii nen bilenke.
2d01140083	Wori kabal cero wo twelum meu, bi kan cero bak-ni-bakeu wi fiya fwelka kale, mor fwelka kwilenti. Nobo buro ci man ki tabanka fiti.
2d011500cd	Dike bwiye, bwentano cii nuwa ti ciin nyumom Kwama, dila cii nebo dur a nyo con Kwama. Kaka cii nung cinen buka kangek. Nyo, lacin ciin yilam kule, mor nere ciye, neer cero manki bulanka kumta cili tam ci.
2d01160040	Cii tu dor cero ti na nobo ki nyomka, dila ciin yilam kule tini.
2d0117009a	Ciin fulongum duktonka Kwama nii diriye ki cer kanka dikero wo mani da diriye, na nii fir, bilibetinim, biyuwaro wo nako na'are kange wo kwob ti ki fwere.
2d01180051	Last nyo Kwama nekenci fiye dilanka, yeika nerek, cii ne bwiti dotange bwiti cii.
2d01190088	Ciin fulongum bilenke Kwama ki cwerke, take Ciin ma wabka kange bwanka dike wo fwelfwele, nyi Nii Fweli wo diker bilanka diri. A ti nyo.
2d011a0086	Dor dikero wo, Kwama neken cii fite kayaka kange dotange, la natum ciyebo fulongum dam kurambo wo lerumme, la nwiye ki da kange nawiye
2d011b00ca	La nabarum ciyebo ken fulongum dam kurambo lerum nawiye kange bwayile, yilam bwayile kange bwayile cima kayaka ti. Wo co nabarubo dati kange nabarube cii ma nangen yeitumer ti, cii biye dike ci fiye ti.
2d011c0069	Wori cii ciyabo kange Kwama mor yime ciye, Kwama neken cii fiye litanka nerek naci ma dikewo bwira bwira.
2d011d0077	Cii diim ki bwini wucakke, Cil, nung-nung, biciren, kange kiye. Ciin nob koreb, twalkanka, bolkanka kange bwiran neret.
2d011e008d	Ciin nob cuwarumeb, kange mwelka, nob kiyeb Kwama, wo kung kiyan tiye, nob kwici duwe, kange nob mwelka dikero bwir, nobo ko bwangka tebcibe.
2d011f0050	Nobo man ki nyomka, cii kebo diker ciyaka, wo mani cwi bwiti, man ki cika bwine.
2d0120007f	Ki nyoka cik dike Kwama ki nobo ma dikewo tiye ciin daten warke bwarek. Kebo ka maka dike wo, ciin ti bwaka bwiko nobo matiyeu.
2d020100a2	Na weu mwi manki taka fiti mo nii fir, mo nii wo ma bolang tiye, dirkero mwi ma warke dor kangere, kuwa nen mwki bwimo. Wori mo nii bolangeu mo ma dii ke cuwo ti.
2d02020051	Dila bin nyumom bolang kwamako bilenke, an bou yaru dor nobo marang dike wo tiye.
2d0203007f	Dila ti yora, mo nii, wo ma bolang ti dor nobo ma dike wo tiye bwenno mo ki mai ken duwaleu. Mo toti ri mwan kam funer Kwamara?
2d0204008a	Kakaa mwiki cuwekang luma ceko, wo bou ki tibranka warke ce, kange birom ne ce? Mo nyombo mwiki luma neceu ki nung na ya kinnen yiloka ka?
