010000000d	1 Mojžišova
1817250053	Takto říkati budeš proroku: Coť odpověděl Hospodin? aneb: Co mluvil Hospodin?
18172600ca	Ale poněvadž říkáte: Břímě Hospodinovo, tedy takto praví Hospodin: Poněvadž říkáte slovo to: Břímě Hospodinovo, ješto jsem posílal k vám, říkaje: Neříkejte: Břímě Hospodinovo,
181727008c	Protož aj, já jistě zapomenu se na vás do konce, a zavrhu vás i to město, kteréž jsem byl dal vám i otcům vašim, od tváři své,
1817280058	A uvedu na vás pohanění věčné i potupu věčnou, kteráž nepřijde v zapomenutí.
1818010116	Ukázal mi Hospodin, a aj, dva košové fíků postaveni byli před chrámem Hospodinovým, když byl přestěhoval Nabuchodonozor král Babylonský Jekoniáše syna Joakimova, krále Judského, a knížata Judská, i tesaře a kováře z Jeruzaléma, a přivedl je do Babylona.
1818020090	Jeden koš byl fíků velmi dobrých, jacíž bývají fíkové ranní, druhý pak koš fíků velmi zlých, jakýchž nelze jísti pro trpkost.
18180300a2	Tedy řekl mi Hospodin: Co vidíš, Jeremiáši? I řekl jsem: Fíky, dobré fíky, a to velmi dobré, zlé pak, a to velmi zlé, jichž nelze jísti pro trpkost.
181804002f	I stalo se slovo Hospodinovo ke mně, řkoucí:
18180500b5	Takto praví Hospodin, Bůh Izraelský: Jako fíkové tito dobří, tak mně příjemní budou zajatí Judští, kteréž jsem zaslal z místa tohoto do země Kaldejské k dobrému.
1818060092	Obrátím zajisté oči své k nim k dobrému, a přivedu je zase do země této, kdežto vzdělám je, a nezkazím, štípím je, a nevypléním.
1818070096	Nebo dám jim srdce, aby znali mne, že já jsem Hospodin. I budou mým lidem, a já budu jejich Bohem, když se obrátí ke mně celým srdcem svým.
18180800fa	Naodpor, jako fíky zlé, kterýchž nelze jísti pro trpkost, tak zavrhu (toť zajisté praví Hospodin), Sedechiáše krále Judského s knížaty jeho, a ostatek Jeruzalémských pozůstalých v zemi této, i ty, kteříž bydlí v zemi Egyptské.
18180900b5	Vydám je, pravím, v posmýkání k zlému po všech královstvích země, v pohanění a v přísloví, v rozprávku a v proklínání po všech těch místech, kamž je rozženu.
18180a0082	A budu posílati na ně meč, hlad a mor, dokudž by do konce vyhlazeni nebyli z země, kterouž jsem byl dal jim i otcům jejich.
18190100c0	Slovo, kteréž se stalo k Jeremiášovi proti všemu lidu Judskému, léta čtvrtého Joakima syna Joziášova, krále Judského, (jenž jest první rok Nabuchodonozora krále Babylonského),
181902006e	Kteréž mluvil Jeremiáš prorok ke všemu lidu Judskému, i ke všechněm obyvatelům Jeruzalémským, řka:
18190300f0	Od třináctého léta Joziáše syna Amonova, krále Judského, až do tohoto dne, po těchto třimecítma let, bývalo slovo Hospodinovo ke mně, kteréž jsem vám mluvíval, ráno přivstávaje, a to ustavičně, ale neposlouchali jste.
18190400b4	Posílal také Hospodin k vám všecky slouhy své proroky, ráno přivstávaje, a to ustavičně, (jichžto neposlouchali jste, aniž jste naklonili ucha svého, abyste slyšeli).
18190500d3	Kteříž říkali: Navraťtež se již jeden každý z cesty své zlé a od nešlechetnosti předsevzetí svých, a tak osazujte se v té zemi, kterouž dal Hospodin vám i otcům vašim od věků až na věky.
1819060092	A nechoďte za bohy cizími, abyste sloužiti měli jim, aniž se jim klanějte, aniž hněvejte mne dílem rukou svých, a neučinímť vám zle.
1819070066	Ale neposlouchali jste mne, dí Hospodin, abyste jen hněvali mne dílem rukou svých k svému zlému.
1819080050	Protož takto praví Hospodin zástupů: Proto že jste neuposlechli slov mých,
1819090141	Aj, já pošli, a pojmu všecky národy půlnoční, dí Hospodin, i k Nabuchodonozorovi králi Babylonskému, služebníku svému, a přivedu je na zemi tuto i na obyvatele její, i na všecky národy tyto okolní, kteréž jako proklaté vyhladím, a způsobím to, aby byli k užasnutí, na odivu, a poustkou věčnou.
18190a0080	Také způsobím to, aby zahynul jim hlas radosti i hlas veselé, hlas ženicha i hlas nevěsty, hluk žernovu i světlo svíce.
18190b0076	I bude všecka země tato pustinou a pouští, a sloužiti budou národové tito králi Babylonskému sedmdesáte let.
18190c00c2	Potom pak po vyplnění sedmdesáti let trestati budu na králi Babylonském a na tom národu, dí Hospodin, nepravost jejich, totiž na zemi Kaldejské, tak že obrátím ji v pustiny věčné.
18190d009e	A uvedu na zemi tu všecka slova svá, kteráž jsem mluvil o ní, všecko, což psáno jest v knize této, cožkoli prorokoval Jeremiáš o všech národech.
18190e0090	Když je v službu podrobí, i jiné národy mnohé a krále veliké, tehdáž odplatím jim podlé skutků jejich a podlé činů rukou jejich.
18190f00a0	Nebo takto mi řekl Hospodin, Bůh Izraelský: Vezmi kalich vína prchlivosti této z ruky mé, a napájej jím všecky ty národy, k kterýmž já pošli tebe,
181910005b	Aby pili a potáceli se, anobrž bláznili příčinou meče, kterýž já pošli mezi ně.
1819110067	I vzal jsem kalich z ruky Hospodinovy, a napájel jsem všecky ty národy, k nimž mne poslal Hospodin,
18191200a5	Jeruzalémské i města země Judské, a krále její i knížata její, abych je oddal v pustinu a v zpuštění, na odivu, i k proklínání tohoto dnešního dne,
1819130056	Faraona krále Egyptského i služebníky jeho, i knížata jeho, i všecken lid jeho,
181914008f	I všecku tu směsici, totiž všecky krále země Uz, všecky také krále země Filistinské, i Aškalon, i Gázy, i Akaron, i ostatek Azotu,
1819150026	Idumejské, i Moábské, i syny Ammon,
1819160065	I všecky krále Tyrské, i všecky krále Sidonské, i krále krajiny té, kteráž jest při moři,
181917004b	Dedana a Temu, a Buzu i všecky přebývající v koutech nejzadnějších,
1819180056	I všecky krále Arabské, i všecky krále té směsice, kteříž bydlí na poušti,
181919005c	Všecky také krále Zamritské, i všecky krále Elamitské, též všecky krále Médské,
18191a00b9	Anobrž všecky krále půlnoční, blízké i daleké, jednoho jako druhého, všecka také království země, kterážkoli jsou na svrchku země. Král pak Sesák píti bude po nich.
18191b00b6	A rci jim: Takto praví Hospodin zástupů, Bůh Izraelský: Pítež a opojte se, anobrž vyvracejte z sebe, a padejte, tak abyste nepovstali pro meč, kterýž já pošli mezi vás.
18191c008e	Jestliže by pak nechtěli vzíti kalichu z ruky tvé, aby pili, tedy díš jim: Takto praví Hospodin zástupů: Konečně že píti musíte.
18191d00f3	Nebo poněvadž na to město, kteréž nazváno jest od jména mého, já začínám uvozovati zlé věci, a vy abyste bez hodné pomsty byli? Nebudete bez pomsty, nebo já zavolám meče na všecky obyvatele té země, dí Hospodin zástupů.
18191e011b	Protož ty prorokuj proti nim všecka slova tato, a rci jim: Hospodin s výsosti řváti bude, a z příbytku svatosti své vydá hlas svůj, mocně řváti bude z obydlí svého. Křik ponoukajících se, jako presovníků, rozléhati se bude proti všechněm obyvatelům té země,
18191f00a6	I průjde hřmot až do konce země. Nebo rozepři má Hospodin s těmi národy, v soud vchází sám se všelikým tělem; bezbožníky vydá pod meč, dí Hospodin.
1819200076	Takto praví Hospodin zástupů: Aj, bída půjde z národu na národ, a vichřice veliká strhne se od končin země.
181921009e	I budou zbiti od Hospodina v ten čas od konce země až do konce země; nebudou oplakáni, ani sklizeni, ani pochováni, místo hnoje na svrchku země budou.
18192200d0	Kvělte pastýři a křičte, anobrž válejte se v popele, vy nejznamenitější toho stáda; nebo naplnili se dnové vaši, abyste zbiti byli, a abyste rozptýleni byli, i budete padati jako nádoba drahá.
181923004f	I zahyne útočiště pastýřům a utíkání nejznamenitějším toho stáda.
181924006c	Hlas žalostný pastýřů a kvílení nejznamenitějších toho stáda; nebo zkazí Hospodin pastvu jejich.
181925004d	Zkažena budou i pastviska pokoj mající, pro prchlivost hněvu Hospodinova,
181926007d	Jako lev opustí jeskyni svou; nebo přijde země jejich na spuštění, pro prchlivost zhoubce a pro prchlivost hněvu jeho.
181a010070	Na počátku kralování Joakima syna Joziášova, krále Judského, stalo se slovo toto od Hospodina, řkoucí:
181a0200e3	Takto praví Hospodin: Postav se v síňci domu Hospodinova, a mluv ke všechněm městům Judským, přicházejícím klaněti se v domě Hospodinově, všecka slova, kteráž tobě přikazuji mluviti k nim, neujímejž slova,
181a0300a9	Zdali by aspoň uposlechli, a odvrátili se jeden každý od cesty své zlé, abych litoval zlého kteréž myslím učiniti jim pro nešlechetnost předsevzetí jejich.
181a04007d	Rciž tedy jim: Takto praví Hospodin: Neuposlechnete-li mne, abyste chodili v zákoně mém, kterýž jsem předložil vám,
181a050099	Poslouchajíce slov služebníků mých proroků, kteréž já posílám k vám, jakož jste, když jsem je, ráno přivstávaje posílal, neposlouchali:
181a060074	Jistě žeť naložím s domem tímto jako s Sílo, a město toto vydám v proklínání všechněm národům země.
181a070064	Slyšeli pak kněží a proroci, i všecken lid Jeremiáše mluvícího slova ta v domu Hospodinovu.
181a0800c0	I stalo se, že hned, jakž přestal Jeremiáš mluviti všeho, cožkoli přikázal Hospodin mluviti ke všemu lidu, jali jej ti kněží a proroci i všecken lid ten, řkouce: Smrtí umřeš.
181a0900dd	Proč jsi prorokoval ve jménu Hospodinovu, řka: Stane se jako Sílo domu tomuto, a město toto tak spustne, že nebude v něm žádného obyvatele? Shromažďoval se pak všecken lid k Jeremiášovi do domu Hospodinova.
181a0a0091	Tedy uslyšavše knížata Judská ty věci, přišli z domu královského do domu Hospodinova, a posadili se u dveří brány Hospodinovy nové.
181a0b00a7	I řekli kněží a proroci těm knížatům a všemu lidu, řkouce: Hoden jest smrti muž tento; nebo prorokoval proti městu tomuto, jakž jste slyšeli v své uši.
181a0c00bf	Tedy promluvil Jeremiáš ke všechněm knížatům těm i ke všemu lidu, řka: Hospodin poslal mne, abych prorokoval o domu tomto i o městě tomto všecky ty věci, kteréž jste slyšeli.
181a0d00a9	Protož nyní polepšte cest svých a předsevzetí svých, a poslouchejte hlasu Hospodina Boha svého, i bude litovati Hospodin toho zlého, kteréž vyřkl proti vám.
181a0e005b	Já pak aj, v rukou vašich jsem, učiňte mi, což se vám za dobré a spravedlivé vidí.
181a0f00d0	Ale však jistotně vězte, usmrtíte-li mne, že krev nevinnou na sebe uvedete, i na město toto, i na obyvatele jeho; nebo v pravdě poslal mne Hospodin k vám, abych mluvil v uši vaše všecka slova tato.
181a1000aa	I řekli knížata i všecken lid kněžím a těm prorokům: Nemáť nikoli muž tento odsuzován býti na smrt, poněvadž ve jménu Hospodina Boha našeho mluvil nám.
181a110066	Tedy povstali někteří z starších té země, a promluvili ke všemu shromáždění lidu, řkouce:
181a1200f0	Micheáš Moraštický prorokoval za času Ezechiáše krále Judského, a pravil všemu lidu Judskému, řka: Takto praví Hospodin zástupů: Sion jako pole orán bude, a Jeruzalém jako hromady, hora pak domu tohoto jako lesové vysocí.
181a1300f2	Zdaliž hned proto usmrtil jej Ezechiáš král Judský a všecken Juda? Zdaliž neulekl se Hospodina, a nemodlil se Hospodinu? I litoval Hospodin toho zlého, kteréž vyřkl proti nim. Protož my činíme velmi zlou věc proti dušem svým.
181a1400b9	A byl také muž prorokující ve jménu Hospodinovu, Uriáš syn Semaiášův z Kariatjeharim, kterýž prorokoval o městě tomto i o zemi této v táž všecka slova jako Jeremiáš.
181a1500bc	A když uslyšel král Joakim a všickni udatní jeho, i všecka knížata slova jeho, hned usiloval král usmrtiti jej. O čemž uslyšev Uriáš, bál se, a utíkaje, přišel do Egypta.
181a16005e	Ale poslal král Joakim některé do Egypta, Elnatana syna Achborova i jiné s ním do Egypta.
181a170089	Kteříž vyvedše Uriáše z Egypta, přivedli jej k králi Joakimovi. I zabil jej mečem, a vhodil tělo jeho do hrobů lidu obecného.
181a18006e	A však ruka Achikamova syna Safanova byla při Jeremiášovi, aby ho nevydával v ruku lidu k usmrcení jeho.
181b010080	Na počátku kralování Joakima syna Joziášova, krále Judského, stalo se slovo toto k Jeremiášovi od Hospodina, řkoucí:
181b020055	Takto řekl Hospodin ke mně: Zdělej sobě oboječky a jha, a dej je na šíji svou.
181b0300e2	Potom je pošli k králi Idumejskému, a k králi Moábskému, a k králi synů Ammonových, a k králi Tyrskému, a k králi Sidonskému po těch poslích, kteříž přijedou do Jeruzaléma k Sedechiášovi králi Judskému.
181b040075	A přikaž jim, ať pánům svým řeknou: Takto praví Hospodin zástupů, Bůh Izraelský: Tak rcete pánům svým:
181b0500ae	Já jsem učinil zemi, člověka i hovada, kterážkoli jsou na svrchku země, mocí svou velikou a ramenem svým vztaženým. Protož dávám ji, komuž se mi dobře líbí.
181b0600a8	Jako nyní já dal jsem všecky země tyto v ruku Nabuchodonozora krále Babylonského, služebníka svého, ano i živočichy polní dal jsem jemu, aby sloužili jemu.
181b0700d9	Protož budouť sloužiti jemu všickni ti národové, i synu jeho, i synu syna jeho, dokudž by nepřišel čas země jeho i jeho samého, když v službu podrobí jej sobě národové znamenití a králově velicí.
181b080128	Stane se pak, že národ ten i království to, kteréž by nesloužilo jemu, Nabuchodonozorovi králi Babylonskému, a kterýž by nepoddal šíje své pod jho krále Babylonského, mečem a hladem i morem navštívím národ ten, dí Hospodin, dokudž bych do konce nevyplénil jich rukou jeho.
181b0900d7	Protož vy neposlouchejte proroků svých, ani hadačů svých, ani snů svých, ani planetářů svých, ani kouzedlníků svých, kteříž mluvívají k vám, říkajíce: Nebudete sloužiti králi Babylonskému.
181b0a0063	Nebo oni vám lež prorokují, abych vzdálil vás od země vaší, a vyhnal vás, abyste zahynuli.
181b0b00ad	Národu pak, kterýž skloní šíji svou pod jho krále Babylonského a sloužiti bude jemu, toho zajisté nechám v zemi jeho, dí Hospodin, aby dělal ji, a bydlil v ní.
181b0c00b2	Sedechiášovi také, králi Judskému, mluvil jsem naskrze ta všecka slova, řka: Skloňte šíje své pod jho krále Babylonského, a služte jemu i lidu jeho, a buďte živi.
181b0d008c	Proč máte zahynouti, ty i lid tvůj, mečem, hladem a morem, jakž mluvil Hospodin o národu, kterýž by nesloužil králi Babylonskému?
181b0e0098	Neposlouchejtež tedy slov proroků těch, kteříž mluvíce k vám, říkají: Nebudete sloužiti králi Babylonskému. Nebo oni vám lež prorokují.
181b0f00af	Neposlalť jsem jich zajisté, dí Hospodin, a však oni prorokují ve jménu mém lživě, abych zahnal vás, kdež byste zahynuli vy i ti proroci, kteříž prorokují vám.
181b1000ff	Kněžím také i všemu lidu tomu mluvil jsem, řka: Takto praví Hospodin: Neposlouchejte slov proroků svých, kteříž prorokují vám, říkajíce: Aj, nádobí domu Hospodinova navrácena budou z Babylona již brzo. Neboť lež oni prorokují vám.
181b110069	Neposlouchejtež jich, služte králi Babylonskému a živi buďte. Proč má býti toto město pouští?
181b1200fd	Jestliže pak oni jsou proroci, a jestliže slovo Hospodinovo jest v nich, nechť se medle přimluví k Hospodinu zástupů, ať nádobí to, pozůstávající v domě Hospodinově a v domě krále Judského a v Jeruzalémě, nedostává se do Babylona.
181b130097	Nebo takto praví Hospodin zástupů o těch sloupích, a o tom moři, a o těch podstavcích, i o ostatku nádobí pozůstávajícím v městě tomto,
181b1400c7	Kteréhož nepobral Nabuchodonozor král Babylonský, když přestěhoval Jekoniáše syna Joakimova, krále Judského, z Jeruzaléma do Babylona, a všecky nejpřednější Judské i Jeruzalémské,
181b1500a1	Takto zajisté dí Hospodin zástupů, Bůh Izraelský, o těch nádobách, pozůstávajících v domě Hospodinově a v domě krále Judského i v Jeruzalémě:
181b16009f	Do Babylona zavezeny budou, a tam budou až do dne toho, v němž je navštívím, dí Hospodin, a rozkáži je přivezti, a zase navrátím je na místo toto.
181c010104	Stalo se pak léta toho, na počátku kralování Sedechiáše krále Judského, léta totiž čtvrtého, měsíce pátého, mluvil ke mně Chananiáš syn Azurův, prorok, kterýž byl z Gabaon, v domě Hospodinově, před očima kněží i všeho lidu, řka:
181c02005f	Takto praví Hospodin zástupů, Bůh Izraelský, řka: Polámal jsem jho krále Babylonského.
181c0300af	Po dvou letech já navrátím zase na místo toto všecka nádobí domu Hospodinova, kteráž pobral Nabuchodonozor král Babylonský z místa tohoto, a zavezl je do Babylona.
181c0400c7	Jekoniáše také syna Joakimova, krále Judského, i všecky zajaté Judské, kteříž se dostali do Babylona, já zase přivedu na místo toto, dí Hospodin; nebo polámi jho krále Babylonského.
181c050091	Tedy řekl Jeremiáš prorok Chananiášovi proroku tomu před očima kněží a před očima všeho lidu, kteříž stáli v domě Hospodinově,
181c0600ce	Řekl, pravím, Jeremiáš prorok: Amen, učiniž tak Hospodin. Potvrdiž Hospodin slov tvých, kteráž jsi prorokoval o navrácení nádobí domu Hospodinova, a všech zajatých z Babylona na místo toto.
181c07007d	Ale však poslechni medle slova tohoto, kteréž já mluvím při tvé přítomnosti a při přítomnosti všeho tohoto lidu.
181c0800a8	Proroci, kteříž bývali přede mnou i před tebou od věků, ti prorokovali proti zemím znamenitým a proti královstvím velikým o válce a o ssoužení a o moru.
181c090084	Prorok ten, kterýž prorokuje o pokoji, když dojde slovo toho proroka, ten prorok znám bývá, že jej poslal Hospodin v pravdě.
181c0a0051	Tedy sňal Chananiáš prorok to jho z šíje Jeremiáše proroka, a polámal je.
181c0b00d7	A mluvil Chananiáš před očima všeho lidu, řka: Takto praví Hospodin: Tak polámi jho Nabuchodonozora krále Babylonského po dvou letech z šíje všech národů. I počal jíti Jeremiáš prorok cestou svou.
181c0c0080	Ale stalo se slovo Hospodinovo k Jeremiášovi, když polámal Chananiáš prorok to jho z šíje Jeremiáše proroka, řkoucí:
181c0d0081	Jdi a mluv k Chananiášovi, řka: Takto praví Hospodin: Jha dřevěná jsi polámal, protož zdělej místo nich jha železná.
181c0e00e6	Nebo takto praví Hospodin zástupů, Bůh Izraelský: Jho železné vložím na šíji všech národů těchto, aby sloužili Nabuchodonozorovi králi Babylonskému, a budouť sloužiti jemu. Také i živočichy polní dám jemu.
181c0f00b2	Zatím řekl Jeremiáš prorok Chananiášovi proroku: Slyšiž nyní, Chananiáši: Neposlal tebe Hospodin, ale ty jsi k tomu přivedl, aby lid tento ve lži skládal doufání.
181c100097	Protož takto praví Hospodin: Aj, já sklidím tě se svrchku země, tento rok ty umřeš; nebo jsi mluvil to, čímž bys odvrátil lid od Hospodina.
181c110038	I umřel Chananiáš prorok roku toho měsíce sedmého.
181d0100d4	Tato jsou slova listu, kterýž poslal Jeremiáš prorok z Jeruzaléma k ostatku starších zajatých a k kněžím i k prorokům i ke všemu lidu, kterýž přestěhoval Nabuchodonozor z Jeruzaléma do Babylona,
181d020088	Když vyšel Jekoniáš král a královna, i komorníci, knížata Judská i Jeruzalémská, tolikéž tesaři i kováři z Jeruzaléma,
181d030096	Po Elasovi synu Safanovu, a Gemariášovi synu Helkiášovu, (kteréž byl poslal Sedechiáš král Judský k králi Babylonskému do Babylona), řka:
181d04007d	Takto praví Hospodin zástupů, Bůh Izraelský, všechněm zajatým, kteréž jsem přestěhoval z Jeruzaléma do Babylona:
181d050051	Stavějte domy, a osazujte se, štěpujte také štěpnice, a jezte ovoce jejich.
181d0600af	Pojímejte ženy, a ploďte syny i dcery, dávejte také synům svým ženy, dcery též své dávejte za muže, ať rodí syny a dcery; množte se tam, a nebeřte umenšení.
181d07008d	A hledejte pokoje města toho, do kteréhož jsem zastěhoval vás, a modlívejte se za ně Hospodinu; nebo v pokoji jeho budete míti pokoj.
181d0800d5	Takto zajisté praví Hospodin zástupů, Bůh Izraelský: Nechť vás nesvodí proroci vaši, kteříž jsou mezi vámi, ani hadači vaši, a nespravujte se sny svými, jichž vy příčinou jste, aby je mívali.
181d090054	Nebo vám oni lživě prorokují ve jménu mém; neposlalť jsem jich, dí Hospodin.
181d0a00b2	Takto zajisté praví Hospodin: Že jakž se jen vyplní Babylonu sedmdesáte let, navštívím vás, a potvrdím vám slova svého výborného o navrácení vás na místo toto.
181d0b00ab	Nebo já nejlépe znám myšlení, kteráž myslím o vás, dí Hospodin, myšlení o pokoji, a ne o trápení, abych učinil vašemu očekávání konec přežádostivý.
181d0c0056	Když mne vzývati budete, a půjdete, a modliti se mně budete, tedy vyslyším vás.
181d0d004a	A hledajíce mne, naleznete, když mne hledati budete celým srdcem svým.
181d0e00f1	Dám se zajisté nalezti vám, dí Hospodin, a přivedu zase zajaté vaše, a shromáždím vás ze všech národů i ze všech míst, kamžkoli jsem zahnal vás, dí Hospodin, a uvedu vás zase na místo toto, odkudž jsem vás zastěhoval,
181d0f003e	Když řeknete: Vzbuzovalť nám Hospodin proroky v Babyloně.
181d1000af	Nebo takto praví Hospodin o králi sedícím na stolici Davidově, a o všem lidu obývajícím v městě tomto, bratřích vašich, kteříž nevyšli s vámi v tom zajetí,
181d110094	Takto dí Hospodin zástupů: Aj, já pošli na ně meč, hlad a mor, a naložím s nimi jako s fíky trpkými, kterýchž nelze jísti pro trpkost.
181d1200d5	Nebo stihati je budu mečem, hladem i morem, a vydám je ku posmýkání po všech královstvích země, k proklínání, a k užasnutí, anobrž na odivu, a k utrhání mezi všemi národy, tam kdež je vypudím,
181d1300ae	Proto že neposlouchají slov mých, dí Hospodin, když posílám k nim služebníky své proroky, ráno přivstávaje, a to ustavičně, a neposlouchali jste, dí Hospodin.
181d140069	Protož slyštež vy slovo Hospodinovo, všickni zajatí, kteréž jsem vyslal z Jeruzaléma do Babylona.
181d150106	Takto praví Hospodin zástupů, Bůh Izraelský, o Achabovi synu Kolaiášovu, a o Sedechiášovi synu Maaseiášovu, kteříž prorokují vám ve jménu mém lež: Aj, já vydám je v ruku Nabuchodonozora krále Babylonského, aby je zbil před očima vašima.
181d1600d8	I bude vzato na nich klnutí mezi všecky zajaté Judské, kteříž jsou v Babyloně, aby říkali: Nechť nakládá Hospodin s tebou, jako s Sedechiášem a jako s Echabem, kteréž upekl král Babylonský na ohni,
181d1700d8	Proto že páchali nešlechetnost v Izraeli, cizoložíce s ženami bližních svých, a mluvíce slovo ve jménu mém lživě, čehož jsem nepřikázal jim. Já pak o tom vím, a jsem toho i svědkem, dí Hospodin.
181d180029	Semaiášovi Nechelamitskému mluv, řka:
181d1900d9	Takto praví Hospodin zástupů, Bůh Izraelský, řka: Proto že jsi poslal jménem svým listy ke všemu lidu, kterýž jest v Jeruzalémě, a Sofoniášovi synu Maaseiášovu knězi i ke všechněm kněžím, řka:
181d1a00ca	Hospodin dal tě za kněze na místo Joiady kněze, abyste pozor měli v domě Hospodinově na každého muže pošetilého a vystavujícího se za proroka, a abys dal takového do žaláře a do klady.
181d1b0061	Pročež jsi pak nyní neokřikl Jeremiáše Anatotského, kterýž se vám vystavuje za proroka?
181d1c0093	Nebo posílal k nám do Babylona, řka: Protáhneť se to dlouho, stavějte domy, a osazujte se, štěpujte také štěpnice, a jezte ovoce jejich.
181d1d0041	Nebo Sofoniáš kněz četl ten list před Jeremiášem prorokem.
181d1e0037	I stalo se slovo Hospodinovo k Jeremiášovi, řkoucí:
181d1f00d8	Pošli ke všechněm zajatým, řka: Takto praví Hospodin o Semaiášovi Nechelamitském: Proto že prorokuje vám Semaiáš, ješto jsem já ho neposlal, a přivodí vás k tomu, abyste doufání skládali ve lži,
181d200123	Protož takto praví Hospodin: Aj, já trestati budu Semaiáše Nechelamitského i símě jeho. Nebude míti žádného, kdo by bydlil u prostřed lidu tohoto, aniž uzří toho dobrého, kteréž já učiním lidu svému, dí Hospodin; nebo mluvil to, čímž by odvrátil lid od Hospodina.
181e010040	Slovo, kteréž se stalo k Jeremiášovi od Hospodina, řkoucí:
181e020069	Takto praví Hospodin, Bůh Izraelský, řka: Spiš sobě do knihy všecka slova, kterážť jsem mluvil.
181e0300c8	Aj, dnové zajisté jdou, dí Hospodin, přivedu zase zajaté lidu svého Izraelského i Judského, praví Hospodin, a uvedu je do země, kterouž jsem byl dal otcům jejich, a dědičně ji obdrží,
181e040045	Tatoť pak jsou slova, kteráž mluvil Hospodin o Izraelovi a Judovi:
181e050065	Takto zajisté praví Hospodin: Hlas předěšení a hrůzy slyšíme, a že není žádného pokoje.
181e0600b7	Ptejte se nyní, a vizte rodívá-li samec. Pročež tedy vidím, an každý muž rukama svýma drží se za bedra svá jako rodička, a obrácené všechněch oblíčeje v zsinalost?
181e07009e	Ach, nebo veliký jest den tento, tak že nebylo žádného jemu podobného. Ale jakť koli čas jest ssoužení Jákobova, předceť z něho vysvobozen bude.
181e0800a4	Stane se zajisté v ten den, dí Hospodin zástupů, že polámi jho jeho z šíje tvé, a svazky tvé potrhám, i nebudou ho více v službu podrobovati cizozemci.
181e09005d	Ale sloužiti budou Hospodinu Bohu svému, a Davidovi králi svému, kteréhož jim vzbudím.
181e0a010b	Protož ty neboj se, služebníče můj Jákobe, dí Hospodin, aniž se strachuj, ó Izraeli, nebo aj, já vysvobodím tě zdaleka, i símě tvé z země zajetí jejich. I navrátí se Jákob, aby odpočíval, a pokoj měl, a nebude žádného, kdo by jej předěsil.
181e0b00f2	Neboť já s tebou jsem, dí Hospodin, abych tě vysvobodil, když učiním konec všechněm národům, mezi kteréž tě rozptýlím. Tobě však neučiním konce, ale budu tě trestati v soudu, ačkoli tě bez trestání naprosto nenechám.
181e0c005b	Takto zajisté praví Hospodin: Přetěžké bude potření tvé, přebolestná rána tvá.
181e0d0063	Nebude, kdo by přisoudil při tvou k uléčení; lékařství platného žádného míti nebudeš.
181e0e00c4	Všickni, kteříž tě milují, zapomenou se nad tebou, aniž tě navštíví, když tě raním ranou nepřítele, a trestáním přísným pro mnohou nepravost tvou a nesčíslné hříchy tvé.
181e0f0088	Proč křičíš nad svým potřením a těžkou bolestí svou? Pro mnohou nepravost tvou a nesčíslné hříchy tvé to činím tobě.
181e1000f0	A však všickni, kteříž zžírají tebe, sežráni budou, a všickni, kteříž utiskají tebe, všickni, pravím, do zajetí půjdou, a kteříž tě pošlapávají, pošlapáni budou, a všecky, kteříž tě loupí, v loupež vydám,
181e1100bc	Tehdáž když tobě navrátím zdraví, a na rány tvé zhojím tě, dí Hospodin, proto že zahnanou nazývali tebe, říkajíce: Tato jest Sion, není žádného, kdo by ji navštívil.
181e1200d1	Takto praví Hospodin: Aj, já zase přivedu zajaté stánků Jákobových, a nad příbytky jeho slituji se, i budeť zase vzděláno město na prvním místě svém, a palác podlé způsobu svého vystaven.
181e130097	A bude pocházeti od nich díků činění a hlas veselících se; nebo je rozmnožím, a nebudou umenšení bráti, zvelebím je, a nebudou sníženi.
181e14008c	A budou synové jeho tak jako i prvé, a shromáždění jeho přede mnou utvrzeno bude, trestati pak budu všecky, kteříž jej ssužují.
181e1500f3	A povstane z něho nejdůstojnější jeho, a panovník jeho z prostředku jeho vyjde, kterémuž rozkáži přiblížiti se, aby předstoupil přede mne. Nebo kdo jest ten, ješto by slíbil za sebe, že předstoupí přede mne? dí Hospodin.
181e16002e	I budete mým lidem, a já budu vaším Bohem.
181e170066	Aj, vicher Hospodinův s prchlivostí vyjde, vicher trvající nad hlavou nešlechetných trvati bude.
181e18008c	Neodvrátíť se prchlivost hněvu Hospodinova, dokudž neučiní toho, a dokudž nevykoná úmyslu srdce svého. Tehdáž porozumíte tomu.
181f01005a	Toho času, dí Hospodin, budu Bohem všech čeledí Izraelových, a oni budou mým lidem.
181f020099	Takto praví Hospodin: Lid z těch pozůstalých po meči nalezl milost na poušti, když jsem chodil před ním, abych odpočinutí způsobil Izraelovi.
181f030086	Za starodávnať se mi ukazoval Hospodin. I však milováním věčným miluji tě, pročež ustavičně činím tobě milosrdenství.
181f04009e	Ještě vždy vzdělávati tě budu, a vzdělána budeš, panno Izraelská; ještě se obveselovati budeš bubny svými, a vycházeti s houfem plésajících.
181f050060	Ještě štěpovati budeš vinice v horách Samařských, štěpovati budou štěpaři i jísti.
181f06007b	Nebo nastane den, v němž volati budou strážní na hoře Efraimově: Vstaňte a vstupme na Sion k Hospodinu Bohu svému.
181f0700dd	Takto zajisté praví Hospodin: Prozpěvujte Jákobovi o věcech veselých, prokřikujte zjevně před těmi národy; dejte se slyšeti, chválu vzdávejte, a rcete: Vysvoboď, Hospodine, ostatek lidu svého Izraelského.
