010000000a	Бытие
11080600b1	како бо возмогу видети озлобление людий моих и како возмогу спастися в погибели отечества моего?
11080700e9	И рече царь Есфири: аще вся имения Аманова дах и даровах тебе, и того повесих на древе, яко руце вознесе на Иудеи, что еще просиши?
1108080145	Напишите и вы именем моим, якоже угодно есть вам, и запечатайте перстнем моим: елика бо писана бывают царевым повелением и запечатаются перстнем моим, не возможно им противорещи.
110809020c	И призвани быша писцы (царевы) в первый месяц, иже есть Нисан, в двадесять третий день тогожде месяца, и написаша о Иудеех, елика заповеда Мардохей, ко управителем и ко началником воевод от Индийския страны даже до Ефиопии, сто двадесять седми воеводам, во всякую страну по своему их языку.
11080a00b5	Написана же быша велением царевым и запечатлешася перстнем его: и послаша писания чрез писмоносцы,
11080b00e1	яко повеле им жити по законом их во всяцем граде, и да помогают им, и да сотворят соперником их и противником их, якоже хотят,
11080c00bf	в день един по всему царству Артаксерксову, в третийнадесять день вторагонадесять месяца, иже есть Адар.
11080d1664	Списание же епистолии сице бе: царь великий Артаксеркс сущым от Индии даже до Ефиопии сто двадесяти и седмим началством странами обладающым и властелем нам доброжелателствующым, радоватися. Мнози множайшею благодетелствующих благостию частее чествуеми паче меры возгордешася, и не точию подчиненных нам ищут озлобити, но доволства не могуще снести, и своим благодетелем начинают коварствовати: и благодарение не токмо от человек отемлюще, но еще (по обычаю) не приявших благодеяний киченьми вознесшеся, вся присно назирающаго Бога ненавидящаго зла мнят избежати суда. Многажды же и многих от поставленных на властех, имже уверися другов устрояти дела, ласкателство кровей неповинных виновными поставляя, подверже неуврачеванным злым, злонравия ложным прельщением тех, иже прельщают незлобивое благосердие владеющих. Видети же леть есть нам взыскующым не толико от древних, якоже предахом, историй, елико от тех, яже суть при ногах непреподобно соделанная губителством недостойно владеющих. Сего ради внимати надлежит по сих, во еже царство безмятежно всем человеком с миром устроити, не употребляюще пременений, приходящая же пред очеса всегда с приличным предварением разсуждающе. Егда бо Аман Амадафуев Македонянин, истинно чуждь Персския крове и много отстоящь от нашея благости, страннолюбно приятый от нас, толикое человеколюбие, еже ко всякому языку имеем, получи, яко нарицатися ему отцем нашим, и покланяемому от всех, второе царскаго престола лице содержати: неумерителен же в гордости прилежно искал, како бы нас области и живота лишити, купно же нашего блюстителя и всегдашняго благодетеля Мардохеа и непорочную царства сообщницу Есфирь со всем их племенем многоплетенными хитростей прельщеньми ищущь на погубление: сими бо образы возмне нас лишив блюстителей взяти, и власть Персскую ко Македоняном пренести. Мы же Иудеов, от трегубителнаго сего в погубление преданных, обретаем не злотворных, но праведнейшими управляемых законы, и сущих сынов Вышняго, превеличайнаго живаго Бога, управляющаго нам же и прародителем нашым царствие в добрейшем состоянии. Добре убо сотворите не употребляюще от Амана Амадафуева посланных Писаний, понеже он сия соделавый при вратех Сусских со всем домом своим повешен есть, достойный ему вскоре суд воздавшему всеми владеющему Богу. Списание же епистолии сея предложивше на всяцем месте со дерзновением, оставите Иудеов употребляти своя законы, спомоществующе им, яко да во время скорби воставшым на них отмстят в третийнадесять день вторагонадесять месяца Адара в самый той день: в сей бо (день) всемогущий Бог вместо погубления избраннаго рода сотвори им веселие. И вы убо во именитых ваших праздницех знаменитый день со всякою радостию провождайте, да и ныне, и по сих спасение нам убо и доброжелателным Персом будет, наветующым же нас в память погубления. Всяк же град или страна, яже по сим не сотворит, всячески мечем и огнем с толиким потребится гневом, яко не токмо человеком непроходна, но и зверем и птицам во всякое время мерзостнейша оставится. И списания сия да предложатся очевидно во всем царстве, еже готовым быти всем Иудеом на сей день ратовати своих противных.
11080e00ab	Конницы убо изыдоша спешно повеленная от царя совершити. Предлагашеся же повеление и в Сусех.
11080f00f3	И Мардохей изыде облечен в царскую одежду и венец имущь златый, диадиму виссонную, червленую. Видевше же сущии в Сусех возрадовашася,
110810003a	яко Иудеом бысть свет и веселие:
110811015d	во (всяцем) граде и стране, идеже аще предлагашеся повеление радость и веселие бе Иудеом, пирование и утешение. И мнози от язык обрезовахуся и закон Иудейский приимаху, страха ради Иудейскаго.
11090100ac	Во вторыйнадесять месяц, иже есть Адар, в третийнадесять день месяца приидоша писания от царя.
1109020089	В той же день погибоша супостаты Иудеев: ни един бо сопротивися им бояся их.
1109030088	Началствующии бо странам и властителие и царстии книгочия почитаху Иудей:
1109040040	страх бо Мардохеев належаше на них.
1109050077	Приложися бо повеление царево именоватися ему по всему царствию.
110906004f	И в Сусех граде избиша Иудее пять сот мужей:
1109070045	Фарсана, нестанна и Делфона, и Фасгана
110908003b	и Фардафана, и Вареа и Сарвакана,
110909004b	и Мармасима и Руфеа, и Арсеа и Завуфефама,
11090a00c1	десять сынов Амана Амадафуева Вугеанина врага Иудеом, иже от Фармафеа, и разграбиша в той день (имения их):
11090b0052	и сказаша число избиенных царю в Сусех граде.
11090c0105	И рече царь ко Есфири: избиша Иудее в Сусе граде пять сот мужей, по окрестным же странам колико, мниши, погубиша? И чесого еще просиши, и будет ти?
11090d00b7	И рече Есфирь ко царю: да дастся такожде Иудеом творити заутра, яко да повесят десять сынов Амановых.
11090e0097	И повеле царь тако быти, и попусти Иудеом вне града повесити телеса сынов Амановых.
11090f00c5	И собрашася Иудее, иже в Сусех, в четвертыйнадесять деень Адара, и избиша мужей триста, и ничтоже разграбиша.
1109100122	Прочии же Иудее, иже во царствии, собрашася и себе помогаху и почиша от браней: избиша бо от них пятьнадесять тысящ в третийнадесять Адара, и ничтоже расхитиша.
11091100be	И почиша в четвертыйнадесять день тогожде месяца и провождаху той день упокоения с радостию и веселием.
11091200d1	Иудее же в Сусех граде собрашася и в четвертыйнадесять почиша: проводиша же и пятыйнадесять с радостию и веселием.
11091301c9	Сего ради Иудее разсеяннии во всяцей стране внешней провождают четвертыйнадесять день Адара благ с веселием, посылающе части кийждо ближнему: живущий же в митрополиях и в пятыйнадесять день Адара веселия благий провождают, посылающе части ближним.
11091400cb	Написа же Мардохей словеса сия в книгу и посла Иудеом, елицы беша в царствии Артаксерксове, близ и далече сущым,
110915009c	уставити дни сия благи, еже провождати четвертыйнадесять и пятыйнадесять день Адара:
110916016d	в сих бо днех почиша Иудее от враг своих: и месяц Адар, иже обратися им от плача в радость и от болезни во благий день, провождати весь во благих днех радости и веселия, посылающе части ко другом и нищым.
110917004a	И прияша Иудее, якоже написа им Мардохей:
11091800a9	како Аман Амадафуев Македонянин ратоваше Иудеев, и како изнесе суд и жребий, еже погубити их,
11091900e8	и яко вниде ко царю, глаголя, да повесит Мардохеа: елика нача наводити на Иудеи злая, на него быша, и повешен бысть сам и чада его.
11091a0139	Сего ради нарекошася дние сии Фурим ради жребий, зане диалектом их жребии нарицаются фурим, ради словес епистолии сея, и елика пострадаша сих ради, и елика им приключишася.
11091b0146	Устави убо, и тако прияша Иудее на себе и на семя свое и на ириложившихся к ним, ниже иначе да употребляют: дние же сии памяти совершаеми по роду и роду, и граду и отечеству и стране.
11091c0091	Дние же сии Фурим да провождают во всякое лето, и память да не оскудеет от родов.
11091d00d0	И написа Есфирь царица дщи Аминадавля и Мардохей Иудеанин, елика сотвориша во утверждение епистолии о днех Фурим.
11091f00a5	И Мардохей и Есфирь царица устависта себе сами, и тогда устависта в посте своем совет свой.
1109200068	И Есфирь слово постави во веки, и написано бысть в память.
110a010072	Написа же царь по всему царствию своему, еже на земли и на мори,
110a0200fa	и силу свою, и мужественная исправления, богатство же и славу царствия своего: се, писана суть в книзе царей Персских и Мидских, на память.
110a0308cd	Мардохей бо вторый бе по цари Артаксерксе, и велик бе во царствии и прославлен от Иудей и любимь, поведаше содеянная всему языку своему. И рече Мардохей: от Бога быша сия: помянух бо о сонии, еже видех о словесех сих, ниже бо премину от сих слово: малый источник, иже бысть река, и бе свет, и солнце, и вода многа. Есфирь есть река, юже поя царь и сотвори царицу: два же змиа, аз есмь и Аман: языцы же (суть), иже собрашася истребити имя Иудеов: язык же мой сей есть Израиль, вопивший ко Богу, и спасошася: и спасе Господь люди Своя и избави нас Господь от всех зол сих: и сотвори Бог знамения и чудеса велия, яже не быша во языцех. Сего ради сотвори два жребия, един людем Божиим и един всем языком: и изыдоста два жребия сия в час и время и в день суда пред Богом во всех языцех: и помяну Господь Бог люди Своя и оправда достояние Свое: и будут им дние сии (праздничнии) в месяц Адар, в четвертыйнадесять и пятыйнадесять день месяца тогожде, с собором и радостию и с веселием пред Богом, в род во веки в людех Своих Израили. В лето четвертое царствия Птоломеева и Клеопатры, внесе Досифей, иже глаголашеся быти священник и левит, и Птоломей сын его, предлежащую епистолию о (днех) Фурим, юже сказоваху, яко истолкова Лисимах сын Птоломеев, живый во Иерусалиме.
1200000013	Книга Иова
120101010d	Человек некий бяше во стране Авситидийстей, емуже имя Иов, и бе человек он истинен, непорочен, праведен богочестив, удаляяся от всякия лукавыя вещи.
1201020042	Быша же ему сынове седмь и дщери три.
120103017e	И бяху скоти его, овец седмь тысящ, велблюдов три тысящы, супруг волов пять сот, и ослиц пасомых пять сот, и слуг много зело, и дела велия бяху ему на земли: и бе человек оный благороднейший сущих от Восток солнца.
12010400d8	Сходящеся же сынове его друг ко другу, творяху пир на кийждо день, споемлюще вкупе и три сестры своя, ясти и пити с ними.
12010501e7	И егда скончавашеся дние пира, посылаше Иов и очищаше их, востая заутра, и приношаше о них жертвы по числу их, и телца единаго о гресе о душах их. Глаголаше бо Иов: негли когда сынове мои согрешиша и в мысли своей злая помыслиша противу Бога? Тако убо творяше Иов вся дни.
12010600af	И бысть яко день сей, и се, приидоша Ангели Божии предстати пред Господем, и диавол прииде с ними.
12010700d7	И рече Господь диаволу: откуду пришел еси? И отвещав диавол Господеви, рече: обшед землю и прошед поднебесную, се, есмь.
1201080128	И рече ему Господь: внял ли еси мыслию твоею на раба Моего Иова? Зане несть яко он на земли: человек непорочен, истинен, богочестив, удаляяся от всякия лукавыя вещи.
1201090045	Отвеща же диавол и рече пред Господем:
12010a0152	еда туне Иов чтит Господа? Не Ты ли оградил еси внешняя его и внутренняя дому его, и яже вне всех сущих его окрест? Дела же руку его благословил еси и скоты его многи сотворил еси на земли:
12010b0085	но посли руку Твою и коснися всех, яже имать, аще не в лице Тя благословит,
12010c00d9	тогда рече Господь диаволу: се, вся, елика суть ему, даю в руку твою, но самого да не коснешися. И изыде диавол от Господа.
12010d00a4	И бысть яко день сей, сынове иовлевы и дщери его пияху вино в дому брата своего старейшаго.
12010e009c	И се, вестник прииде ко Иову и рече ему: супрузи волов оряху, и ослицы пасяхуся близ их:
12010f00b8	и пришедше пленителие плениша их и отроки избиша мечем, и спасохся аз един и приидох возвестити тебе.
120110011c	Еще сему глаголющу, прииде ин вестник и рече ко Иову: огнь спаде с небесе и пожже овцы и пастыри пояде подобне, спасохся же аз един и приидох возвестити тебе.
1201110157	Еще сему глаголющу, прииде ин вестник и рече ко Иову: конницы сотвориша началства три и окружиша велблюды и плениша их и отроки избиша мечьми, спасохся же аз един и приидох возвестити тебе.
12011200dd	Еще сему глаголющу, ин вестник прииде, глаголя Иову: сыном твоим и дщерем твоим ядущым и пиющым у брата своего старейшаго,
120113011e	внезапу ветр велик найде от пустыни и коснуся четырем углом храмины, и паде храмина на дети твоя, и скончашася: спасохся же аз един и приидох возвестити тебе.
12011400fe	Тако (услышав) Иов, востав растерза ризы своя и остриже власы главы своея, (и посыпа перстию главу свою,) и пад на землю, поклонися (Господеви)
120115012b	и рече: сам наг изыдох от чрева матере моея, наг и отиду тамо: Господь даде, Господь отят: яко Господеви изволися, тако бысть: буди имя Господне благословено (во веки).
12011600ca	Во всех сих приключившихся ему ничтоже согреши Иов пред Господем, (ниже устнама своима,) и не даде безумия Богу.
12020100e0	Бысть же яко день сей, и приидоша Ангели Божии предстати пред Господем, и диавол прииде посреде их предстати пред Господем.
12020200dd	И рече Господь диаволу: откуду ты грядеши? Тогда рече диавол пред Господем: прошед поднебесную и обшед всю землю, приидох.
12020301cb	И рече Господь ко диаволу: внял ли еси убо (мыслию твоею) рабу Моему Иову? Яко несть такова от сущих на земли: человек незлобив, истинен, непорочен, богочестив, удаляяся от всякаго зла, еще же придержится незлобия: ты же рекл еси имения его погубити вотще.
12020400a8	Отвещав же диавол Господеви, рече: кожу за кожу, и вся, елика имать человек, даст за душу свою:
1202050098	обаче посли руку Твою и коснися костем его и плоти его, аще не в лице Тя благословит.
1202060077	Рече же Господь диаволу: се, предаю ти его, токмо душу его соблюди.
1202070092	Изыде же диавол от лица Господня и порази Иова гноем лютым от ногу даже до главы.
1202080083	И взя (Иов) чреп, да острогает гной свой, и той седяше на гноищи вне града.
1202090386	Времени же многу минувшу, рече к нему жена его: доколе терпиши глаголя: се, пожду время еще мало, чая надежди спасения моего? Се бо, потребися от земли память твоя, сынове твои и дщери, моего чрева болезни и труды, имиже вотще трудихся с болезньми: ты же сам в гнои червей седиши, обнощевая вне без покрова, и аз скитающися и служащи, место от места преходящи, и дом от дому, ожидающи солнца, когда зайдет, да почию от трудов моих и от болезней, яже мя ныне обдержат: но рцы глагол некий ко Господу и умри.
12020a019b	Он же воззрев рече к ней: вскую яко едина от безумных жен возглаголала еси? Аще благая прияхом от руки Господни, злых ли не стерпим? Во всех сих приключившихся ему, ничимже согреши Иов устнама пред Богом (и не даде безумия Богу).
12020b0191	Услышавше же трие друзие его вся злая нашедшая нань, приидоша кийждо от своея страны к нему: Елифаз Феманский царь, Валдад Савхейский властитель, Софар Минейский царь: и приидоша к нему единодушно утешити и посетити его.
12020c0101	Увидевше же его издалеча, не познаша, и возопивше гласом велиим восплакашася, растерзавше кийждо одежду свою и посыпавше перстию главы своя:
12020d00de	седеша при нем седмь дний и седмь нощей, и никтоже от них возглагола к нему словесе: видяху бо язву люту сущу и велику зело.
1203010055	Посем отверзе Иов уста своя и прокля день свой,
120302000f	глаголя:
1203030084	да погибнет день, в оньже родихся, и нощь оная, в нюже реша: се, мужеск пол:
1203040089	та нощь буди тма, и да не взыщет ея Господь свыше, ниже да приидет на ню свет,
1203050092	и да приимет ю тма и сень смертная, да приидет на ню сумрак: проклят буди день той
12030600a4	и нощь оная: да постигнет ю тма, да не будет во днех лета, ниже да вчислится во днех месяцей:
120307007e	но нощь оная да будет болезнь, и да не приидет на ню веселие и радость,
1203080081	но да прокленет ю проклинаяй той день, иже имать одолети великаго кита:
12030900b5	да померкнут звезды тоя нощи, да ожидает и на свет да не приидет, и да не видит денницы возсиявающия,
12030a0081	яко не затвори врат чрева матере моея: отяла бо бы болезнь от очию моею:
12030b0074	почто бо во утробе не умрох? Из чрева же изшед, и абие не погибох?
12030c0059	Почто же мя прияша на колена? Почто же ссах сосца?
12030d0053	Ныне убо уснув умолчал бых, уснув же почил бых
12030e005b	со царьми и советники земли, иже хваляхуся оружии,
12030f0071	или со князи, имже много злата, иже наполниша домы своя сребра,
120310009a	или якоже изверг излазяй из ложесн матерних, или якоже младенцы, иже не видеша света:
1203110082	тамо нечестивии утолиша ярость гнева, тамо почиша претружденнии телом,
120312006d	вкупе же в веце сем бывшии не слышат гласа собирающаго дань:
1203130064	мал и велик тамо есть, и раб не бояйся господина своего:
120314007e	почто бо дан есть сущым в горести свет и сущым в болезнех душам живот,
1203150064	иже желают смерти и не получают, ищуще якоже сокровища,
120316004b	обрадовани же бывают, аще улучат (смерть)?
1203170085	Смерть бо мужу покой, егоже путь сокровен есть, затвори бо Бог окрест его:
1203180089	прежде бо брашен моих воздыхание ми приходит, слезю же аз одержимь страхом,
120319006d	страх бо, егоже ужасахся, прииде ми, и егоже бояхся, срете мя:
12031a0061	ни умирихся, ниже умолчах, ниже почих, и найде ми гнев.
1204010042	Отвеща же Елифаз Феманитин, глаголя:
120402008c	еда множицею глаголано ти бысть в труде? Тяжести же глагол твоих кто стерпит?
1204030061	Аще бо ты научил еси многи и руце немощных утешил еси,
1204040082	немощныя же воздвигл еси словесы, коленом же немощным силу обложил еси.
1204050076	Ныне же прииде на тя болезнь и коснуся тебе, ты же возмутился еси.
120406007b	Еда страх твой есть не в безумии, и надежда твоя и злоба пути твоего?
1204070087	Помяни убо, кто чист сый погибе? Или когда истиннии вси из корене погибоша?
1204080073	Якоже видех орющих неподобная, сеющии же я болезни пожнут себе,
1204090071	от повеления Господня погибнут, от духа же гнева Его изчезнут.
12040a005d	Сила львова, глас же львицы, веселие же змиев угасе:
12040b0090	мраволев погибе, занеже не имеяше брашна, скимни же львовы оставиша друг другу.
12040c00db	Аще же глагол кий истинен бе во словесех твоих, ни коеже бы от сих тя сретило зло. Не приимет ли ухо мое предивных от него?
12040d0066	Страхом же и гласом нощным, нападающь страх на человеки,
12040e005a	ужас же мя срете и трепет, и зело кости моя стрясе:
12040f0063	и дух на лице ми найде: устрашишася же ми власи и плоти,
12041000a4	востах и не разумех, видех, и не бе обличия пред очима моима, но токмо дух тих и глас слышах:
1204110087	что бо? Еда чист будет человек пред Богом? Или в делех своих без порока муж?
120412007b	Аще рабом Своим не верует, и во Ангелех Своих стропотно что усмотре,
12041300a8	живущих же в бренных храминах, от нихже и мы сами от тогожде брения есмы, порази, якоже молие,
120414008d	и от утра даже до вечера ктому не суть: занеже не могоша себе помощи, погибоша:
1204150077	дхну бо на ня, и изсхоша, и понеже не имеяху премудрости, погибоша.
1205010079	Призови же, аще кто тя услышит, или аще кого от святых Ангел узриши.
120502006f	Безумнаго бо убивает гнев, заблуждшаго же умерщвляет рвение.
120503007c	Аз же видех безумных укореняющихся, но абие поядено бысть их жилище.
12050400a5	Далече да будут сынове их от спасения, и да сотрутся при дверех хуждших, и не будет изимаяй.
12050500b0	Иже бо они собраша, праведницы поядят, сами же от зол не изяти будут: изможденна буди крепость их.
120506006f	Не имать бо от земли изыти труд, ни от гор прозябнути болезнь:
120507006d	но человек раждается на труд, птенцы же суповы высоко парят.
120508006f	Обаче же аз помолюся Богови, Господа же всех Владыку призову,
1205090083	Творящаго велия и неизследимая, славная же и изрядная, имже несть числа:
12050a0067	дающаго дождь на землю, посылающаго воду на поднебесную:
12050b0081	возносящаго смиренныя на высоту и погибшыя воздвизающаго во спасение:
12050c006c	расточающаго советы лукавых, да не сотворят руце их истины.
12050d006c	Уловляяй премудрых в мудрости их, совет же коварных разори.
12050e0066	Во дни обымет их тма, в полудне же да осяжут якоже в нощи,
12050f0071	и да погибнут на брани: немощный же да изыдет из руки сильнаго.
1205100072	Буди же немощному надежда, неправеднаго же уста да заградятся.
1205110091	Блажен же человек, егоже обличи Бог, наказания же Вседержителева не отвращайся:
120512007a	Той бо болети творит и паки возставляет: порази, и руце Его изцелят:
1205130064	шестижды от бед измет тя, в седмем же не коснеттися зло:
120514007b	во гладе избавит тя от смерти, на брани же из руки железа изрешит тя:
1205150064	от бича языка скрыет тя, и не убоишися от зол находящих:
1205160081	неправедным и беззаконным посмеешися, от дивиих же зверей не убоишися,
120517007a	зане с камением дивиим завет твой: зверие бо дивии примирятся тебе.
120518009f	Потом уразумееши, яко в мире будет дом твой, жилище же храмины твоея не имать согрешити:
1205190086	уразумееши же, яко много семя твое, и чада твоя будут яко весь злак селный:
12051a00b6	внидеши же во гроб якоже пшеница созрелая во время пожатая, или якоже стог гумна во время свезенный.
12051b009f	Се, сия сице изследихом: сия суть, яже слышахом: ты же разумей себе, аще что сотворил еси.
1206010025	Отвещав же Иов, рече:
1206020082	аще бы кто веся извесил гнев мой, болезни же моя взял бы на мерило вкупе,
1206030088	то песка морскаго тяжчайшии были бы: но, якоже мнится, словеса моя зла суть.
12060400b4	Стрелы бо Господни в теле моем суть, ихже ярость испивает кровь мою: егда начну глаголати, бодут мя.
12060500bc	Что бо? Еда вотще возревет дивий осел, разве брашна прося? Или возревет гласом вол, в яслех имеяй брашно?
1206060066	Снестся ли хлеб без соли? Или есть вкус во тщих словесех?
1206070086	Не может бо утишитися душа моя: смрад бо зрю брашна моя, якоже воню львову.
120608007a	Аще бо дал бы, да приидет прошение мое, и надежду мою дал бы Господь.
1206090065	Начен Господь да уязвляет мя, до конца же да не убиет мя.
12060a00bc	Буди же ми град гроб, на егоже стенах скаках в нем: не пощажу: не солгах бо во словесех святых Бога моего.
12060b007d	Кая бо крепость моя, яко терплю? Или кое ми время, яко терпит моя душа?
12060c006f	Еда крепость камения крепость моя? Или плоти моя суть медяны?
12060d0057	Или не уповах на него? Помощь же от мене отступи,
12060e006a	отречеся от мене милость, посещение же Господне презре мя.
12060f0096	Не воззреша на мя ближнии мои: якоже поток оскудеваяй, или якоже волны преидоша мя:
1206100044	иже мене бояхуся, ныне нападоша на мя:
120611009b	якоже снег или лед смерзлый, егда истает теплоте бывшей, не ктому познавается, что бе:
1206120069	тако и аз оставлен есмь от всех, погибох же и бездомок бых:
1206130060	видите пути Феманския, на стези Савонския смотрящии,
1206140066	и студа исполнени будут на грады и на имения надеющиися.
1206150084	Ныне же и вы наидосте на мя немилостивно: убо видевше мой струп убойтеся.
1206160063	Что бо? Еда что у вас просих, или вашея крепости требую,
1206170066	да спасете мя от врагов, или из руки сильных избавите мя?
1206180061	Научите мя, аз же умолчу: аще что погреших, скажите ми.
120619008f	Но, якоже мнится, зла (суть) мужа истиннаго словеса, не от вас бо крепости прошу:
12061a008d	ниже обличение ваше словесы мя утолит, ниже бо вещания вашего словес стерплю.
12061b0069	Обаче яко на сира нападаете, наскачете же на друга вашего.
12061c0045	Ныне же воззрев на лица ваша, не солжу.
12061d007e	Сядите ныне, и да не будет неправедно, и паки ко праведному снидитеся.
12061e007e	Ибо несть в языце моем неправды, и гортань мой не разуму ли поучается?
1207010096	Не искушение ли житие человеку на земли, и якоже наемника повседневнаго жизнь его?
120702009a	Или якоже раб бояйся господа своего и улучив сень? Или якоже наемник ждый мзды своея?
120703006b	Такожде и аз ждах месяцы тщы, нощи же болезней даны ми суть.
12070400c7	Аще усну, глаголю: когда день? Егда же востану, паки: когда вечер? Исполнен же бываю болезней от вечера до утра.
1207050081	Месится же мое тело в гнои червей, обливаю же грудие земли, гной стружа.
120706006a	Житие же мое есть скоряе беседы, погибе же во тщей надежди.
1207070088	Помяни убо, яко дух мой живот, и ктому не возвратится око мое видети благая.
120708006d	Не узрит мене око видящаго мя: очи Твои на мне, и ктому несмь,
1207090086	якоже облак очищен от небесе: аще бо человек снидет во ад, ктому не взыдет,
12070a0079	ни возвратится во свой дом, ниже имать его познати ктому место его.
12070b00b1	Убо ниже аз пощажу уст моих, возглаголю в нужди сый, отверзу уста моя горестию души моея сотеснен.
12070c0061	Еда море есмь, или змий, яко учинил еси на мя хранение?
12070d008a	Рекох, яко утешит мя одр мой, произнесу же ко мне на едине слово на ложи моем:
12070e0055	устрашаеши мя сониями и видениями ужасаеши мя:
12070f0066	свободиши от духа моего душу мою, от смерти же кости моя.
120710007d	Не поживу бо во век, да долготерплю: отступи от мене, тще бо житие мое.
1207110084	Что бо есть человек, яко возвеличил еси его? Или яко внимаеши умом к нему?
1207120079	Или посещение твориши ему по всяко утро и в покои судити его имаши?
1207130093	Доколе не оставиши мене, ниже отпускаеши мя, дондеже поглощу слины моя в болезни?
12071400e0	Аще аз согреших, что Тебе возмогу соделати, сведый ум человечь? Почто мя еси положил прекословна Тебе, и есмь Тебе бременем?
12071500d6	Почто неси сотворил беззаконию моему забвения, и очищения греха моего? Ныне же в землю отиду, утренюяй же несмь ктому.
1208010075	Отвещав же Валдад Савхейский, рече: доколе глаголати будеши сия?
120802003d	Дух многоглаголив во устех твоих.
1208030070	Еда Господь обидит судяй? Или вся сотворивый возмятет правду?
1208040074	Аще сынове твои согрешиша пред Ним, посла руку на беззакония их:
1208050053	ты же утренюй ко Господу Вседержителю моляся:
120806008c	аще чист еси и истинен, молитву твою услышит, устроит же ти паки житие правды:
1208070065	будут убо первая твоя мала, последняя же твоя без числа.
120808005a	Вопроси бо рода перваго, изследи же по роду отцев:
120809006c	вчерашни бо есмы и не вемы, сень бо есть наше житие на земли:
12080a0071	не сии ли научат тя и возвестят ти и от сердца изнесут словеса?
12080b0071	Еда произничет рогоз без воды, или растет ситник без напаяния?
12080c0093	Еще сущу на корени, и не пожнется ли? Прежде напаяния всякое былие не изсыхает ли?
