0100000008	Suencuek
141f0d0031	Tumul neh hlamik a tlap tih a kut naep la a saii.
141f0e0050	thimpom sangpho bangla om tih, amah caak khaw khohla bangsang lamkah hang khuen.
141f0f0047	Khoyin ah thoo tih a imkhui ham maeh, a tanu rhoek ham hma a taeng pah.
141f100058	Khohmuen te a mangtaeng tih, amah kutci neh a lai. Misur khaw a tue rhoe la a tue coeng.
141f110037	A cinghen te sarhi neh a yen tih, a bantha khaw a huel.
141f120054	A thenpom kah a then te a ten tih, khoyin, khoyin ah a hmaithoi khaw thi tlaih pawh.
141f13003e	Cunghmui te a kut a yueng thil tih, a kutbom neh tahcap a cap.
141f14004b	A kutpha loh mangdaeng a koihlawm tih, a kut te khodaeng hamla a yueng pah.
141f150064	A imkhui boeih loh pueinak a lingdik neh a om dongah, vuel tue ah khaw, a imkhui ham rhih voel pawh.
141f160044	Hniphaih te amah ham a tah tih, a hnitang neh daidi pueinak khaw om.
141f17004f	A boei te vongka ah a ming uh tih, khohmuen kah a ham rhoek taengah a ngol sak.
141f180038	Hni a tah te a yoih tih, lamko te Kanaan taengah a thak.
141f19004b	Sarhi neh rhuepomnah te a pueinak nah tih, hmailong khohnin ah cupcup nuei.
141f1a0043	A ka te cueihnah neh a ang tih, a lai dongah sitlohnah olkhueng om.
141f1b003f	A imkhui ah rhoilaeng khaw a pai tih, thangak buh khaw ca pawh.
141f1c005e	A ca rhoek loh a thoh hang neh anih te a uem uh tih, a boei long khaw anih te a thangthen bal.
141f1d0060	Huta rhoek loh tatthai la muep a saii uh. Tedae nang long tah amih te a sola boeih na poe coeng.
141f1e0069	Mikdaithen khaw a honghi ni. Sakthen nu khaw a honghi la om. BOEIPA a rhih dongah ni anih te a thangthen.
141f1f0052	A kutci te amah taengah pae uh. A bibi dongah amah te vongka ah thangthen uh saeh.
1500000008	Thuituen
1501010031	Jerusalem manghai David capa kah thuituenkung ol.
150102005b	A honghi, a honghi ni. Thuituenkung loh, “A honghi, a honghi, a honghi boeih ni,” a ti.
1501030063	Khohmik hmuiah a thakthae bangla a thakthaenah cungkuem lamloh hlang taengah balae a rhoeikhangnah.
1501040051	Thawnpuei loh cet tih cadil thoeng coeng dae diklai he kumhal duela a pai moenih.
150105005c	Khomik loh thoeng tih khomik he kun bal. Te phoeiah amah hmuen te a hloem pahoi tiih thoeng.
1501060078	Tuithim la cet tih tlangpuei la aka mael khohli he a tinghil, a tinghil doela cet. Te phoeiah khohli he a hlaep la mael.
150107007c	Soklong boeih khaw tuitunli la pawk. Tedae tuitunli tah hah tlaih pawh. Soklong rhoek khaw a long nah hmuen la mael tih cet.
1501080077	Olka boeih he bonghnaek. Hlang loh a thui hamla a noeng moenih. Mik loh a hmuh te hah pawt tih hna a yaak te cung pawh.
1501090095	Mebang khaw aka om tangtae bangla om bal vetih, mebang khaw a saii tangtae bangla a saii bal ni. Te dongah kah khomik hmuikah he a thai boeih moenih.
15010a006c	“A thai he hmu lah, he tah khosuen lamloh om oepsoeh coeng tih mamih hlan lamloh om,’ a ti te ol om nim?
15010b007c	Lamhma kah neh hmailong kah khaw poekkoepnah om pawh. Aka om ham te khaw hmailong kah aka om taengah poekkoepnah om mahpawh.
15010c0044	Kai tah thuituenkung neh Jerusalem kah Israel soah manghai la ka om.
15010d00b0	Vaan hmui kah a saii boeih te cueihnah neh dawtlet ham khaw, yaam ham khaw ka lungbuei ka paek. Hlang capa rhoek te amah phaep uh saeh tila Pathen loh yoethae bibi a khueh pah.
15010e0068	Khomik hmui kah a saii bitat boeih te ka hmuh. Te dongah a cungkuem he a honghi neh khohli doinah ni ne.
15010f004c	Aka khun he dueng hamla coeng pawt tih vitvawtnah khaw tae hamla coeng pawh.
15011000c3	Kamah tah ka lungbuei ah ka cal tih, “Ka pantai tih Jerusalem ah khaw ka mikhmuh kah aka om boeih lakah cueihnah ka thap, ka lungbuei long khaw cueihnah neh mingnah muep a hmuh la he,” ka ti.
1501110086	Ka lungbuei he cueihnah ming ham neh anglatnah ming ham ka paek. Te dongah lunghmangnah he khaw khohli dongkah kohnek ni tila ka ming.
150112005a	Cueihnah a cungkuem nen khaw konoinah cungkuem tih, mingnah a koei khaw nganboh ni a koei.
1502010082	Kai tah ka lungbuei ah, “Cet laeh lamtah, nang te kohoenah neh kan noem eh. Te dongah hnothen te a hmuh dae te khaw a honghi he.
150202003f	Nueihbu te ka yan tih kohoenah neh, 'Banim a saii he,” ka ti.
15020300f7	Ka lungbuei khuikah tah ka saa he misurtui neh dangrhoek ham, ka lungbuei he cueihnah neh hmaithawn ham, a hingnah khohnin tarhing la vaan hmuikah a saii uh te, hlang ca rhoek ham mebang a then khaw ka hmuh hil, lunghmangnah te tuuk hamla ka yaam.
150204004a	Ka bibi ka rhoeng sak tih kamah ham im ka sak, kamah hamla misur ka phung.
1502050048	Kamah hamla dum neh khotu ka tawn tih a khuiah thing thaih boeih ka tue.
150206003f	Duup thing aka poe te tui suep hamla kamah loh tuibuem ka saii.
15020700b0	salpa neh salnu khaw ka lai tih im kah cacah khaw ka taengah om. Saelhung saelrhoi neh boiva khaw kamah taengah muep om tih, ka mikhmuh ah Jerusalem kah aka om boeih lakah yet.
15020800a9	Kamah hamla cak neh sui khaw, manghai lungthen neh paeng ka calui coeng. Kamah ham aka hlai, aka hlai rhoek khaw, hlang capa kah omthenbawnnah la rhoiding khaw ka khueh.
1502090066	Jerusalem ah ka rhoeng tih ka mikhmuh kah aka om boeih lakah ka lawn. Kai cueihnah khaw ka khuiah cak.
15020a00da	Ka mik loh a hoe boeih tah ka hloh moenih. Ka lungbuei te kohoenah cungkuem lamloh ka hloh moenih. Ka thakthaenah cungkuem khuiah pataeng ka lungbuei a kohoe. He ni ka thakthaenah cungkuem dongah kai kah khoyo la a om.
15020b00d0	Ka kut loh a saii bangla ka bibi boeih khaw, thakthaenah te khaw ka hoihaeng coeng. Te te saii hamla ka thakthae akhaw a honghi neh khohli doinah boeih ni he. Te dongah khomik hmuikah he rhoeikhangnah moenih.
15020c008c	Cueihnah hmuh hamla anglatnah neh lunghmangnah khaw ka mael thil. Oepsoeh la a saii pah phoeiah manghai hnukah aka pawk te mebang hlang nim?
15020d0071	Vangnah he hmaisuep lakah rhoeikhangnah a om bangla cueihnah he lunghmangnah lakah rhoeikhangnah om tila ka hmuh.
15020e0092	Hlang cueih kah a mik tah a lu khuiah om dae aka ang tah hmaisuep ah pongpa. Te dongah amih boeih te a hmatoeng pakhat loh a mah tila ka ming van.
15020f00ca	Ka lungbuei khuiah tah, “Kai khaw aka ang kah hmatoeng bangla kamah m'mah. Te dongah metlam ka cueih tih ka hoeikhang?” ka ti. Te vaengah ka lungbuei nen tah, “He khaw a honghi coeng ni,” ka ti.
15021000a7	Aka ang bangla aka cueih ham khaw kumhal duela poekkoepnah om mahpawh. Oepsoeh la khohnin aka pai boeih dongah a hnilh pawn ni. Aka cueih khaw aka ang bangla duek aya?
150211008e	Te dongah hingnah te ka hmuhuet coeng. Khomik hmuikah a saii bitat he kai ham tah thae coeng. A cungkuem he a honghi neh khohli doinah mai ni.
1502120080	Ka thakthaenah boeih he ka hmuhuet coeng. Khomik hmuikah thakthaekung la ka om. Te te ka hnukah aka om hlang ham ni ka khueh eh.
15021300c1	Ulong a ming huek? Lunghmang khaw hlangcueih om nim? Tedae ka thakthaenah boeih te a taemrhai hae ni. Te nen te ka thakthae tih te nen te ka cueih dae khomik hmuiah tah te khaw a honghi mai ni.
1502140064	Te dongah ka lungbuei he talsae la ka mael puei. Khomik hmuiah thakthaenah cungkuem neh ka thakthae.
15021500b1	Hlang bangla cueihnah neh, mingnah neh, thoemthainah neh thakthaenah la om. Tedae amah ham aka thakthae pawt hlang te khaw a khoyo a paek. He khaw a honghi neh thae tangkik mai.
1502160086	A thakthaenah cungkuem dong neh a lungbuei kah kohnek dongah khaw hlang hamla balae aka om? Anih te khomik hmuikah thakthaekung la om.
1502170077	A khohnin te nganboh, a bibi khaw konoinah boeih ni. Khoyin ah pataeng a lungbuei ip pawh. He khaw amah la a honghi ni.
15021800a7	A caak tih a ok bangla hlang ham hnothen a om moenih. Tedae a hinglu a hmuh te ni a thakthaenah khui lamloh hnothen la a om. He khaw Pathen kut lamkah ni tila ka hmuh.
150219003e	Kai lamkah rhamvoel ah unim aka ca thai tih unim aka tawn bal?
15021a00e8	Amah mikhmuh kah aka then hlang te tah cueihnah, mingnah neh kohoenah khaw a paek. Tedae aka tholh te tah Pathen mikhmuh kah aka then taengah paek hamla, coi hamla, calui hamla bibi a paek. He khaw a honghi neh khohli doinah mai ni.
1503010053	A cungkuem dongah a tuetang om tih vaan hmuikah kongaih boeih dongah khaw a tue om.
1503020058	Cun ham tue neh duek ham tue khaw om. Aka phung hamla phung ham tue neh haih ham tue om.
1503030052	Ngawn ham tue neh hoeih sak ham tue khaw om. Phae ham tue neh sak ham tue khaw om.
1503040044	Rhah tue neh luem tue khaw om. Rhaengsae tue neh soipet tue khaw om.
150305005b	Lungto voeih tue neh lungto calui tue khaw om. Kop tue neh a kop lamloh lakhla tue khaw om.
1503060046	Tlap tue neh paltham tue khaw om. Ngaithuen tue neh voeih tue khaw om.
1503070042	Phen tue neh bo tue khaw om. Duem om ham tue neh thui tue khaw om.
1503080042	Lungnah tue neh thiinah tue om. Caemtloek tue neh rhoepnah tue om.
1503090039	Anih thakthaekung lamloh mebang rhoeikhangnah lae a saii?
15030a0052	Anih te phaep hamla Pathen loh hlang ca rhoek soah a paek te khaw bibi la ka hmuh.
15030b00bd	A cungkuem he amah tue neh sakthen la a saii tih kumhal kah te khaw amih lungbuei ah a khueh pah. Te pawt cakhaw, a tong lamloh a bawt hil Pathen loh a saii bibi te hlang loh a hmuh moenih.
15030c0054	Amah hingnah dongah kohoe ham neh a then saii ham lakah amih ham a then a om moenih.
15030d008e	Hlang boeih he khaw ca mai saeh lamtah o mai saeh, hnothen khaw hmu mai saeh. Te te amah kah thakthaenah cungkuem khuiah Pathen kah kutdoe ni.
15030e00cc	Pathen loh a cungkuem a saii tila ka ming. Amah tah kumhal duela om. Amah soah thap ham om pawt tih anih lamkah te yueh ham khaw a om bal moenih. Te dongah a mikhmuh ah a rhih uh ham ni Pathen loh a saii.
15030f006c	Aka om oepsoeh te khaw, aka om ham te khaw om oepsoeh coeng. Te dongah a hloem tangtae te Pathen loh a toem.
1503100070	Laitloeknah hmuen ah halangnah hnap om tih, duengnah hmuen ah halangnah hnap a om te khomik hmuiah koep ka hmuh.
150311009c	Ka lungbuei ah tah, “A kongaih boeih ham neh a bibi boeih ham khaw a tue a om coeng dongah, aka dueng neh halang khaw Pathen loh lai a tloek ni,” ka ti.
1503120098	Hlang ca rhoek kah dumlai dongah khaw ka lungbuei ah, “Amih te Pathen loh coelh saeh lamtah, amih bang he rhamsa ni amamih loh hmu saeh,” ka ti mai.
15031300f7	Hlang ca rhoek kah a hmatoeng neh rhamsa kah hmatoeng khaw hmatoeng pakhat ni. Amih ham he kah dueknah bangla ke dueknah khaw om tih a cungkuem ham hil pakhat la om. Te dongah rhamsa lakah hlang kah kumkonah a om moenih. A cungkuem he a honghi ni.
1503140064	A cungkuem he hmuen pakhat la cet. A cungkuem helaipi lamloh ha thoeng. A cungkuem he laipi la mael.
1503150071	Hlang ca rhoek kah mueihla tah a so la cet tih rhamsa mueihla tah diklai khuila a suntlak thuk khaw ulong a ming?
150316009e	Te dongah a hamsum bangla a bibi dongah hlang a kohoe lakah ah a then om pawh tila ka hmuh. A hnukah aka thoeng ham te hmuh sak hamla ulong anih a khuen thai?
1504010102	Ka mael tih khomik hmuikah a hnaemtaek rhoek boeih te ka sawt. Te te khomik hmuiah a saii uh tih a hnaemtaek rhoek kah mikphi aih ke, amih aka hloep ham khaw om pawh. Aka hnaemtaek rhoek kah kut ah tah a thadueng om tih a haemtaek rhoek te aka hloep om pawh.
150402006a	Kai tah aka hing pueng amih hlang hing rhoek lakah aka duek tangtae hlang duek rhoek te ka domyok sak mai.
1504030061	Te rhoi lakah khaw, aka om hlan neh khomik hmuikah khoboe thae a saii aka hmuh pawt te then duen.
15040400a0	Thakthaenah cungkuem neh bibi thoemthainah cungkuem khaw ka hmuh coeng. Te dongah hlang loh a hui taengkah thatlainah he khaw a honghi neh khohli doinah mai ni.
1504050033	Aka ang loh a kut te a poem tih amah saa te a caak.
1504060061	thakthaenah neh khohli doinah kutnarhum a bae lakah kutvang dongkah aka bae mongnah he then ngai.
1504070035	Ka mael vaengah he khomik hmuiah a honghi ni ka hmuh.
1504080134	Hlang he pakhat bueng om tih a pabae a om moenih. Capa neh manuca khaw a taengah a om moenih. Te dongah a thakthaenah cungkuem dongah a bawtnah om pawh. A mik, a mik ah khuehtawn khaw hah pawh. U ham nim thakthaenah ka om tih, hnothen lamloh ka hinglu he a vaitah? He khaw a honghi neh boethae bibi coeng ni.
1504090059	Pakhat lakah panit he then, amih ham tah a thakthaenah dongah khaw thapang then om coeng.
15040a0088	Cungku rhoi cakhaw pakhat loh a hui te a thoh. Tedae amah pakhat bueng ki aka cungku te khomap coeng tih anih aka thoh ham koep om pawh.
15040b0050	Panit a yalh rhoi vaengah tah amah rhoi khaw bae dae pakhat tah metlam a bae eh?
15040c007e	Anih te khat khat loh khulae mai cakhaw a taengah ah panit la pai rhoi thai. Rhuihet pathum a yaep tah a yoei la a pat moenih.
15040d0074	Khodaeng dae aka cueih camoe he patong tih aka ang manghai lakah then. Anih te koep thuituen ham khaw a ming moenih.
15040e0062	A pin nah im lamloh manghai taengla aka pawk khaw, a ram ah khodaeng la a cun khaw amah boeiloeih.
15040f0069	Khomik hmuiah aka pongpa mulhing boeih tah manghai yueng la aka pai camoe pabae taengah a pai te ka hmuh.
15041000bc	Pilnam boeih ham te a bawtnah om pawh. Amah te cungkuem taengah a hmai la a om pah dae lamhnuk rhoek loh anih taengah ko a hoe uh moenih. He khaw a honghi neh khohli dongkah kohnek mai ni.
15050100bd	Pathen im la na caeh vaengkah bangla na kho neh na khokan te ngaithuen. Te dongah hnatun hamla n'tawn uh he aka ang kah hmueih nawn lakah then. Amih loh boethae a saii te khaw ming uh pawh.
15050200a9	Pathen mikhmuh ah ol aka thak la na ka te let sak boel lamtah na lungbuei loe boel saeh. Pathen tah vaan ah om tih nang tah diklai ah ni na om. Te dongah na ol yol saeh.
150503005a	Bibi a cungkuem vaengah mueimang khaw om tih olka a cungkuem vaengah hlang ang ol la poeh.
1505040078	Pathen taengah olcaeng na caeng vaengah na thuung ham uelh boeh. Na caeng bangla a thuung te aka ang kah kongaih moenih.
1505050038	Na caeng tih na thuung pawt lakah na caeng pawt te then.
15050600b4	Na pumsa te tholh sak hamla na ka te khueh boeh. Tohtamaeh kah te puencawn mikhmuh ah thui boeh. Na ol dongah balae tih Pathen thin a toek? Te dongah na kut dongkah bibi te a phae.
150507004f	Mueimang a yet vaengah a honghi neh ol khaw yet. Te dongah Pathen te rhih laeh.
15050800bd	Paeng ah khodaeng hnaemtaeknah khaw, tiktamnah neh duengnah lamloh pitnah na hmuh. Te te ngaihnah dongah khaw na ngaihmang sak boeh. A sang soah a sang la a dawn tih amih lakah sang lah ko.
1505090062	Amah khohmuen aka tawn manghai loh a cungkuem dongah khohmuen kah rhoeikhangnah te amah la a dang.
15050a007b	Tangka aka lungnah khaw tangka hah pawt tih boeinah aka lungnah te khaw a vueithaih a dang moenih. He khaw a honghi mai ni.
15050b009a	Hnothen a ping ham vaengah te te aka ca rhoek khaw pungtai uh. Te dongah a kungmah te tah a mik loh danyoe sawthong phoeiah tah balae a thoemthainah voel.
15050c0085	Aka thotat tah a yol akhaw, a yet a caak akhaw a ih tui. Tedae hlanglen kah khobuh long tah amah te ih sak ham pataeng duem sak pawh.
15050d0075	Boethae a om he khomik hmuiah a tloh la ka hmuh. Khuehtawn he a kungmah loh a ngaithuen akhaw amah yoethaenah ham ni.
15050e006c	Khuehtawn he bibi thae ah a paltham mai. Te dongah capa a sak akhaw a kut dongah pakhat pataeng a om moenih.
15050f00b5	A manu bung lamloh pumtling ha thoeng tih a caeh vaengah khaw a thoeng vaengkah banglam ni a mael. A thakthaenah lamkah te pakhat pataeng a kut dongah a khuen hamla a phueih moenih.
150510008e	Ha thoeng vaengkah bangla voeivang a caeh he khaw boeih thae tih tlo bal. Te dongah khohli hamla a thakthae he anih ham balae a rhoeikhangnah.
1505110056	Amah tue khuiah khaw hmaisuep ah a caak tih a tlohtat neh a thinhul ah muep hue a sak.
15051200ea	Sakthen la caak ham neh ok ham khaw, hnothen a hmuh ham khaw a then la ka hmuh coeng ne. Khomik hmui kah a hingnah khohnin tarhing la a thakthaenah cungkuem neh thakthae. A hingnah te Pathen loh anih taengah amah kah hamsum la a paek.
15051300dc	Pathen loh hlang boeih te a taengkah khuehtawn neh koeva a paek pai. Te dongah te lamloh a caak ham neh a hamsum a duen ham khaw, a thakthaenah khui lamloh kohoe sak ham khaw a taemrhai. He tah Pathen kah kutdoe rhoe ni.
150514005a	Pathen loh kohoenah neh a lungbuei a phaep pah dongah a hingnah khohnin te puet poek pawh.
1506010046	Khomik hmuiah ka hmuh he boethae la om tih te te hlang soah yet coeng.
15060200fc	Pathen loh hlang te a taengah khuehtawn, koeva, neh thangpomnah a paek. Te dongah a ngaidam boeih khui lamloh a hinglu te talh pawh. Tedae te te a caak hamla Pathen loh anih a taemrhai sak moenih. Te te kholong hlang a cah he a honghi neh tloh thae ni.
15060300e5	Hlang long he yakhat a sak tih kum a yet a hing mai khaming, a kum khohnin khaw muep lo mai khaming. Tedae a hinglu loh hnothen te cung pawt tih phuel ah khaw amah taengah a om pah moenih. Anih lakah aka rhumpu te then lah ka ti.
150604005d	Anih te a honghi la ha thoeng tih a hmuep ah a caeh dongah a ming khaw a hmuep ah a vuei pah.
150605004e	Khomik hmu pawt mai cakhaw mongnah he tah a tloe loh anih lakah a ming moenih.
150606006d	Kum thawngkhat a rhaep la hing sitoe cakhaw hnothen a hmuh hae moenih. Hmuen pakhat la boeih a caeh moenih a?
1506070054	Hlang kah thakthaenah boeih he a ka ham ni. Tedae a hinglu khaw a cung tlaih moenih.
1506080068	Aka ang lakah aka cueih taengah balae a hoeikhang? Mulhing taengah aka pongpa mangdaeng te balae a ming?
150609005d	Hinglu a van lakah tah mik kah a hmuethma he then. He khaw a honghi neh khohli doinah mai ni.
15060a00ad	Mebang khaw aka om coeng te tah a ming oepsoeh la a sui dongah hlang he amah ah ming uh coeng. Tedae amah lakah thaom neh aka khulae taengah tah laitloek ham a noeng moenih.
15060b004a	Ol muep a lo vaengah a honghi khaw ping tih hlang hamla balae a hoeikhang?
15060c00c3	Hingnah khohnin tarhing kah hingnah dongah a honghi neh khokhawn bangla a khum te hlang hamla metla a then khaw unim aka ming? Khomik hmuiah anih hnukla aka om te hlang taengah ulong a thui thai?
1507010054	A ming te tah situi then lakah ah then tih dueknah hnin he a cun khohnin lakah then.
150702008b	Nguekcoinah im la caeh te buhkoknah im la caeh lakah then. He tah hlang boeih kah a bawtnah coeng tih aka hing loh a lungbuei ah dueh saeh.
1507030053	Konoinah he nueihbu lakah then. Maelhmai thaenah long ni lungbuei a voelphoeng sak.
150704005c	Aka cueih kah lungbuei tah nguekcoinah im ah dae aka ang kah lungbuei tah kohoenah im ah om.
150705004e	Aka cueih kah tluungnah hnatun he tah aka ang laa aka hnatun hlang lakah then.
1507060056	Am lae kah hling ol bangla aka ang kah nueihbu khaw om. Te dongah he khaw a honghi ni.
1507070048	Hnaemtaeknah loh hlangcueih a yan sak tih kutdoe loh lungbuei a poo sak.
150708005a	Ol bawtnah he a tongnah lakah then. Aka ueh kah mueihla he aka oek kah mueihla lakah then.
1507090058	Huesak hamla na mueihla neh let sak boeh. Konoinah he aka ang kah rhang dongah ni a kol.
15070a007d	“Balae tih hnukbuet kah a tue aka om te tahae kah lakah a then la a om?” ti boeh. Te bang te cueihnah neh na dawt moenih.
15070b003f	Cueihnah tah rho la then tih khomik aka hmu ham khaw hoeikhang.
15070c0095	Cueihnah hlipkhup ah om he tangka hlipkhup kah om banghui ni. Tedae mingnah he tah rhoeikhangnah la om tih cueihnah long tah a kungmah te a hing sak.
15070d0051	Pathen kah bibi te hmu lah. Amah loh a khun sak te dueng hamla aka noeng te unim?
15070e00bf	A then tue vaengah tah a then la om. Tedae a yoethae tue vaengkah khaw hmu. He khaw dumlai dongah Pathen loh voeivang ah a khueh. Te daengah ni hlang loh a hnukah te pakhat khaw ahmu pawt eh.
15070f0095	Kamah kah a honghi tue vaengah a cungkuem te ka hmuh. Amah kah duengnah dongah aka paltham hlang dueng om tih a boethae neh aka nguel halang khaw om.
1507100062	Aka dueng koek la om boel lamtah hoeikhangnah aih ham khaw cueih boeh. Balae tih namah na phae uh?
150711005b	Muep poehlip boel lamtah lunghmang la om boeh. Balae tih namah tue pawt vaengah na duek eh?
150712006f	He he na tuuk vaengah na kut te ke lamloh na hlah pawt ham then. Pathen aka rhih ham tah a cungkuem te a noeng.
1507130056	Cueihnah long tah aka cueih te khopuei kah aka om boei parha lakah khaw a tanglue sak.
1507140049	Diklai hman ah hnothen a saii tih aka tholh pawh hlang dueng a om moenih.
1507150063	Ol a thui uh boeih te khaw na lungbuei pae boeh. Te pawt koinih na sal loh namah n'tap te na ya ve.
1507160048	Namah loh hlang tloe na tap te na lungbuei loh a voei a yet khaw a ming.
150717005f	He boeih he cueihnah neh ka noemcai tih, “Ka cueih eh?,” ka ti dae kai lamloh lakhla laklo.
1507180051	Te tla a om te khaw hla coeng tih a dung lakah dung coeng. Te te aka hmu te unim?
1507190095	Kamah neh ka lungbuei khaw, uepnah koikah halangnah neh anglatnah, lunghmangnah te ming ham neh yaam hamla, cueihnah neh poeknah tlap hamla ka maelh.
15071a00d3	A lungbuei te tluum neh soh la a tung tih a kut dongah pinyennah aka khueh huta he dueknah lakah khahing la ka hmuh. Pathen mikhmuh ah aka then tah anih aeng lamloh loeih suidae aka tholh tah anih loh a tuuk ni.
15071b0059	So lah he, thuituenkung loh a thui bangla poeknah hmuh hamla pakhat soah pakhat ka phoel.
15071c0087	Te te ka hinglu loh a tlap pueng dae ka hmuh moenih. Thawngkhat khuiah tongpa pakhat ka hmuh dae te boeih lakli ah huta ka hmuh moenih.
15071d0072	He bueng mah so lah. Pathen loh hlang he a thuem la a saii coeng dae amih loh phuengnah muep a tlap uh te ka hmuh.
1508010092	Unim hlang cueih bangla aka om? Olka te thuingaihnah aka ming te unim? Hlang he cueihnah loh a maelhmai a sae sak tih a maelhmai khaw sarhi a tho.
1508020051	Kamah manghai ka dongkah he Pathen olhlo dongkah dumlai la a om dongah ngaithuen.
1508030071	A mikhmuh lamloh na caeh vaengah let boeh. Boethae ol dongah pai boeh. A cungkuem te a ngaih bangla a saii bitni.
150804004e	Manghai ol dongah a khuet om tih anih te ulong, “Balae na saii?” a ti nah.
150805006b	Olpaek aka tuem tah boethae ol a ming moenih. Aka cueih kah lungbuei tah a tue neh laitloeknah khaw a ming.
150806005f	Hlang kah boethae he amah soah ping cakhaw ngaihnah cungkuem ham he a tuetang neh a khosing om.
150807006e	Anih te metla a om te khaw a ming moenih. Te vanbangla mebang a om ham khaw te anih taengah ulong a thui thai?
15080800cc	Khohli te hloh hamla khohli soah hlang a boei moenih. Dueknah khohnin soah a khuet aka khueh khaw om pawh. Caemtloeknah khuiah khaw paanah a om moenih. Te dongah halangnah loh a boei te loeih sak mahpawh.
150809009f	A cungkuem he ka sawt tih khomik hmuikah a saii bibi boeih he ka lungbuei ah ka dueh. Hlang loh hlang soah amah kah a yoethae ham duela a taemrhai tue khaw om.
15080a00ad	Halang rhoek a up uh he ka sawt vaengah hmuen cim lamloh aka thoeng tih aka pongpa rhoek ni. Tedae te bang a saii nah khopuei ah a hnilh uh coeng. He khaw a honghi coeng ni.
15080b007b	Khoboe thae khaw oltloeknah hat a saii hae moenih. Te dongah ni hlang koca kah lungbuei tah a khuiah thae saii hamla a hah.
15080c0094	Aka tholh khaw boethae yakhat a saii tih anih te nguel mai cakhaw Pathen aka rhih tih a mikhmuh ah aka rhih taengah ni hnothen a om eh tila ka ming.
15080d0080	Tedae hnothen he halang taengah om mahpawh. Anih te Pathen mikhmuh ah a rhih pawt dongah khokhawn bangla a khohnin vang mahpawh.
15080e00d6	Diklai ah aka thoeng he a honghi mai ni. Aka dueng khaw a soah halang kah khoboe bangla aka thoeng te om tih, halang khaw a taengah aka dueng kah khoboe bangla a thoeng pah te om bal. He khaw a honghi mai la ka ti.
15080f010e	Te dongah kai tah kohoenah he ni ka domyok sak mai. Khomik hmuiah a caak, a ok tih ko a hoe mak atah hlang ham hnothen a om moenih. Te dongah anih te a hingnah tue vaengah tah a thakthaenah nen khaw a naem coeng. Te te Pathen loh anih taengla khomik hmuiah a paek coeng.
15081000b4	Cueihnah ming ham neh bibi hmuh ham ka lungbuei te ka paek coeng. Te long te diklai hman ah tah khothaih ah khaw, khoyin ah khaw, a mik te ih sak pawt tih hmuh sak pawt ham a saii.
15081100e8	Pathen bibi boeih te ka hmuh. Te bibi te hlang loh a hmuh ham a noeng moenih. Khomik hmuiah a saii te hlang loh tlap hamla thakthae sitoe mai cakhaw a hmuh moenih. Aka cueih loh ming hamla a ti van akhaw a hmuh hamla a noeng moenih.
15090100d3	A cungkuem he ka lungbuei ah ka dueh tih a cungkuem he ka boelh. Aka dueng neh aka cueih khaw, a bibi khaw Pathen kut dongah ni a om. Lungnah khaw, hmuhuetnah khaw hlang loh amih hmai kah he boeih a ming moenih.
1509020117	A cungkuem he a cungkuem taengah a om vanbangla, aka dueng ham neh halang ham khaw, aka then ham neh aka caih ham khaw, rhalawt ham khaw, aka nawn ham neh aka nawn pawt ham khaw, aka then bangla aka tholh ham khaw, olhlo bangla toemngam aka rhih ham khaw hmatoeng pakhat ni a om.
15090300e5	Khomik hmuikah aka thoeng he cungkuem dongah thae coeng. A cungkuem ham he hmatoeng pakhat la om. Hlang koca rhoek kah lungbuei khaw boethae hah tih amamih a hing vaengah amih thinko ah anglatnah om. Te phoeiah a hnuk la duek uh.
150904009a	Tedae u khaw hingnah cungkuem taengah kaibaeng tih aka sun uh te tah pangtungnah om. Ui pataeng khaw amah a hing vaengah tah sathueng aka duek lakah then.
15090500b2	Aka hing rhoek long tah a duek uh ham te a ming dae a duek long tah pakhat khaw a ming uh moenih. Amih ham thapang khaw ming voel pawt tih amih poekkoepnah khaw a hnilh uh coeng.
15090600c0	Amih kah lungnah neh amih kah hmuhuetnah khaw, amih kah thatlainah khaw paltham oepsoeh coeng. Khomik hmuiah a thoeng vanbangla a cungkuem dongah amih kah hamsum tah kumhal duela om voel pawh.
1509070080	Cet laeh, na buh te kohoenah neh ca lamtah na misurtui khaw lungbuei then neh o laeh. Pathen loh na bibi te a doe oepsoeh coeng.
1509080060	A tue takuem ah na himbai te a bok la om saeh lamtah na lu dongkah situi te khaw vawt boel saeh.
1509090109	Khohnin yungah na lungnah yuu neh hingnah hmuh lah. Khomik hmuiah nang taengah m'paek na hingnah te a honghi ni. Hingnah dongkah na hamsum he khaw khohnin yungah nang ham tah a honghi ni. Te dongah na thakthaenah nen ni nang te khomik hmui ah thakthaekung la na om.
15090a009c	Na kut loh saii hamla a hmuh boeih te tah na thadueng neh saii. Na pha ham koi saelkhui ah tah bibi neh poeknah khaw, mingnah neh cueihnah khaw a om moenih.
15090b0140	Ka mael tih khomik hmuiah he loehlangnah khaw kapyang ham pawt tih caemtloek khaw hlangrhalh rhoek ham moenih, buh khaw aka cueih rhoek bueng ham pawt tih khuehtawn khaw aka yakming rhoek bueng ham moenih, mikdaithen khaw aka ming rhoek bueng ham bal moenih, te boeih te amah tue neh a yoekam bangla thoeng tila ka hmuh.
