0100000005	Camba
2c0d150099	Ŋ jamanoonaŋ Samuwel, ɓa waaɗta waakɗu buur. Kooh eɗta ɓa Sawul kuɓkiŋ Kis yi ɓaah ŋ cuuɓiŋ Benyaamin. A nikka buur kiis ndaŋkiyaah-nikiis.
2c0d1600ad	Kooh ruhsiɗta ɗe, a eɗta ɓa Dawuuda findi buur. Kooh seede'iɗta ɗe inii: “Ŋ hotiɗ ŋ Dawuuda kuɓkiŋ Yesay, ƴaari neɓ po ŋ keeñ, yi tuman ini ŋ waaɗ jen.”
2c0d170074	Ŋ ineem, Kooh ɓayiɗta Israayel ci Mucɗoh ngaŋ ɓi rimkoh ŋ Dawuuda findi a gapohee wa, te Mucɗoheem, e Yeesu.
2c0d180072	Bala Yeesu hayan ɗah, Yahya woyeen na Israayel ci jen, a ɓeeɗukka ɓa ne ɓa ɓoƴsoh pesohaaɗ, te ɓa ɓoktu.
2c0d1900bb	Wi pangkiŋ Yahya na hee reehe, a meeɗ woo ne: “Ɗu liiɓ ne ñam ɓa? Ñam yi ɗu na seke haa; waaye ɓoyeem, a yi hay ŋ finhooso te ŋ yeyyooɗi sah toksiɗ ɗe ñafaɗ ciŋ ɗe.”
2c0d1a007b	Ɓaah ciŋ ngo, ɗu ɓi rimkoh ŋ Ibrahiima, na ɗu ɓi nup Kooh te ɗu nikka na ɓoo ndii, Kooh woosoh ɓoo woo kiŋ muci.
2c0d1b0101	Ɓi Yerusalem na kilifaacaŋ ɓa, inheeɗi ya ɓa a yi nikee Yeesu, ɓa nameeɗi inah ini woo ciŋ woosuuɗ ci tokis, woo ci meeɗ jangu ŋ mbehi na iɗsiɗkohse nu ree. Te kat, ɓa tumeen po ini woosuuɗ ceem woyee raakka, wa ɓa na atte'ee Yeesu ne a apu.
2c0d1c0050	Ɓa hoteeɗi ini joy ɗe tah atte'u kaan, waaye ɓa woosa Pilaat ne a apaat ɗe.
2c0d1d0069	Wi ɓa mitiɗ in ci Fiis ci woyee nga ɗe jen, ɓa kooɗohha ɗe ŋ kurwaana, ɓa ɗaakka ɗe ŋ ruy-ruy.
2c0d1e0019	Waaye Kooh hultiɗta ɗe.
2c0d1f00ce	Ngaŋ ɓi neeh laayiɗ, a teeɓkeeɗa ɓi ɓo', ɓa hoteeɗa ɗe jahran. Ɓooɓeem nikee ɓooɓa pulohee na ɗe Galile, kaɗta Yerusalem, te ɓooɓeem nikka ɓooɓi na seede'ee ɗe woti-woti ŋ fiki cuuɓi.
2c0d20004e	Te ɓoo hayiɗ ne ɓoo woo ɗu Yegɗohiŋ Muci: Ini Kooh gapee caac caŋ ɓoo,
2c0d2100bb	a mitɗiɗ ineem wuu ɓoo ɓi set ciŋ ɓa, ŋ hultiɗi a hultiɗ Yeesu, findi wa fiisohu ŋ saari kanakɗoh ŋ Sabuur. Wa woo ne: “A fu Kuɓkiŋ ngo, ini kooɗoh woti, ñam rim ɗa.”
2c0d2200c0	Kooh gapoheen ne a hey ɗe hultiɗe, po a dokissanɗi a kee nopa ŋ ruy-ruy, weɗ Kooh woo, wi a woo ŋ Fiis ci ne: “Ŋ hey ɗu one in ci hooliɗ ci te ca carra kosu, ci ŋ gapee Dawuuda.”
2c0d23007a	Weɗ tah, a woyissa ŋ ɗisik wiiriis ŋ Fiis ci ne: “Fu faɗanɗi Ñaamiŋ ɗa yi fu min ooluk, a nopee ŋ ruy-ruya.”
2c0d240085	Moona Dawuuda ŋ jamanoonaŋ ɗe, a pangkiɗ ŋ waaɗ-waaɗiŋ Kooh, a kaannda, a dabba caac caŋ ɗe, faaniŋ ɗe noppa ŋ ruy-ruya.
2c0d250036	Waaye yi Kooh hultiɗ, faaniŋ ɗe nopɗi ŋ ruy-ruya.
2c0d2600dc	Kon ɓaah ciŋ ngo, inhaat ne, a yi tah ɗu yegɗassee ne ɗu ɗaasuuɗ bakaaɗ ciŋ ɗu, te ɓo' nu kos ŋ Yeesu ɗah, in ci fu mineeɗi ɗaasu ŋ waasiŋ Musaa jen, Kooh hey ɗa ca ɗaase, a amb ɗa findi ɓo' yurhiɗ.
2c0d280039	Kon wortukaat po ini woosuuɗ ca woyee wii rahsuu ɗu an:
2c0d29009a	“Markaat, ɗu ɓi na heefohe! Feysaat, sooƴaat! Ŋ hey haɓɗe ŋ jamanooniŋ ɗu, ini fu inah ne ɗu naandsuksee wa naandsuku ɗah, ɗu kosuu wa.”»
2c0d2a006f	Wa Pool na Barnabaas pul sinaagoga, ɓooɓa kiimmba ɓa ne mbehi na iɗsiɗkohse na haye, ɓa dokkis ŋ woo ka.
2c0d2b00cd	Wa ɓooɓa pasarkoh, Yawuut laayiɗ, na laayiɗ ŋ ɓa tuuɓee nikka Yawuut, ñaakka ŋ Pool na Barnabaas. Ɓeem ɓeesɗoheeɗa na ɓa, ñaaheeɗa ɓa ne ɓa amb ndengiɗ oolkohi ɓa oolkoh baahohiŋ Kooh.
2c0d2c0068	Wa mbeha na iɗsiɗkohse dokkis, ɓo' min woo ne kur ka jen ɓeɗ coh ne ɓa sikɗuk woo kiŋ Heɗ ɓoo.
2c0d2d0062	Wa Yawuut ca hot mboolnda, ɓa siiseeɗa Pool na Barnabaas, ɓa taaseeɗa Pool, ɓa ɓaseeɗa ɗe.
2c0d2e00e1	Ŋ ndeem Pool na Barnabaas neƴƴohɗi nga, woosa ɓa ne: «E ɗu joy koc yegɗu woo kiŋ Kooh, waaye ŋ gantuki ɗu gantuka, ɗu atte haf ɗu ne ɗu yeyyooɗi raak kipes ki reehanɗi. Kon ɓoo ɓii yurah ŋ cuuɓ ci cinooci.
2c0d2f008e	Laam weɗ ini Heɗi nak ɓoo, wi a woo ne: “Ŋ tufkiɗiɗ ɗa ne fu nik siñaariŋ cuuɓ ci, fu ɓay muci po ɗisik nu ɗisik ŋ Adina.”»
2c0d30009d	Wa ɓooɓa nikɗi Yawuut kerah woo ceem, ɓa summba keeh-keeh, ɓa laasukka woo kiŋ Heɗi te ɓooɓa Kooh kooɗee ne ɓa rahas kipes ki reehanɗi jen kossa.
2c0d310038	Woo kiŋ Heɗ ɓoo pasarkohha ŋ kur ca nikee ndaam jen.
2c0d3200e2	Waaye Yawuut ca hiirra yakak caŋ kur-taaha, na ɓi ɓitiɓ; yakak ceem na ɓitiɓ ceem tolfiɗeeɗa Pool na Barnabaas po ɓa puliɗta ɓa ŋ kur caam jen. Ɓitiɓ ceem meeɗ meeɗ ñaamuk Kooh, ɓa nikee ɓitiɓ raakiɗ tiik.
2c0d330058	Ŋ ineem Pool na Barnabaas farsiɗta ɓa merhey miŋ kot ciŋ ɓa ndeem, kaɗta Ikoñum.
2c0d340057	Waaye ini kaɗ ŋ taalubeeca, ɓa summba keeh-keeh, ɓa riiffa na Fuuɗsi Hoolohngaani.
2c0e0100af	Wa Pool na Barnabaas nik ŋ Ikoñum wa nikohissa ɗaa: Ɓa aassa ŋ sinaagogaŋ Yawuut ca. Ɓa woyeeɗa na ɓooɓa ŋ woo kiŋ Kooh po Yawuut na nikaaɗi Yawuut laayiɗ kossa.
2c0e020072	Waaye Yawuut ca kosaaɗiica tummba po ɓi nikɗi Yawuut raakka liiɓohaaɗ moɗaaɗi ŋ ɓaah caŋ ɓoo kosiɗ ca.
2c0e030100	Hondohɗi nak Pool na Barnabaas taalndiɗta nikka ŋ kur-taaha. Ɓa woyeeɗa woo kiŋ Kooh na hel daliɗ, laam ɓa oolkeen Heɗ ɓoo te a ndengɗeen ne woo ki teeɓoh baahohiŋ ɗe wa keeh. Ŋ ineem a onnda ɓa, ɓa tumeeɗa ɓi keemaan na ɓi in feyohiɗ.
2c0e04006e	Ɓooɓaŋ kur ka kerhiɗohɗi, ɓa paysukohha kanak: Ɓum lannga na Yawuut ca, ɓinooɓa lannga na Apootar ci.
2c0e050087	Yawuut ca na nikaaɗi Yawuut ca hunnda na kilifaacaŋ ɓa, ɓa kooɗukka tum Pool na Barnabaas miskiɗ, ɓa tap ɓa atoh po ɓa ap ɓa.
2c0e060060	Waaye wi ɓa inaha, ɓa kaɗta naafka ŋ kur-taah caŋ Likawni cii: Listar, Derbe na ina wil ca.
2c0e070026	Ɓa woyeeɗa Yegɗohiŋ Muci ŋ ndaam.
2c0e08006c	Ŋ Listar, wa raakeen ƴaar minaaɗi tufuk nga; a rimuk rimuk na ineem, a moosɗi tiindoh. A nikka ɓoofiɗ,
2c0e09005b	a sikɗukeeɗa woo kiŋ Pool. Pool iiƴca ɗe, hotta ne ƴaara raakiɗ kos ne a min wirɗu,
2c0e0a0066	a woosa ɗe ŋ ɗafka ne: «Kurka, fu tufuk koc na kot ciŋ ɗa!» Ƴaara kurukka japit, a tiindeeɗa.
2c0e0b0094	Wa mboolnda hot ini Pool haɓiɗ, ɓa leehukka, ɓa woosa ŋ Likawni peɗmaŋ ɓa ne: «Hee, kooh ci ɓayiɗ mandohaaɗ ɓo', ca ruhsiɗ nga ɓoo.»
2c0e0c004c	Ɓa teekka Barnabaas Sos, ɓa teekka Pool Hermes, laam a yi ɓayohee woo ki.
2c0e0d00dc	Wa raakeen ŋ aasohaanaŋ kur ka ɗiska ɓa meeɗ ñaamkoh Sos. Seeƴkiɗoha ɓayya, ŋ fiki buntaanaŋ wa, ɓi naar inoh ɓekɗuuɗ tokkaah haɓɗohuuɗ pos. A waaɗta hun na mboolnda ne a seeƴkoh ca Barnabaas na Pool.
2c0e0e0085	Wa Barnabaas na Pool kerah ineem, ɓa faarra kulɓaacaŋ ɓa sagu araami wa araam, ɓa faɗsukka mboolnda, ɓa woyeeɗa ŋ ɗafka ne:
2c0e0f00f6	«Ƴaaɓiŋ ngo, wa ye ɓek ɗu ŋ inii? Ɓoo nam nik ɓo' njaay findiiɗu. Ɓoo hay ne ɓoo woo ɗu yegɗoh neɓiɗ ne ɗu faɗ in ci raakaaɗi njiriñ ci te ɗu wiiruk ŋ Koohi na pese, yi fer Eel ci na kehƴi na cookmi na in ci nik nga ca jen.
2c0e100049	Wotɓa, a faɗeen cuuɓ ci jen, waa nu nga ɗah taambɗeeɗa waasiŋ ɗe.
2c0e1100c7	Hondohɗi a taalndiɗta a teeɓeeɗa ɓa baah kiŋ ɗe: A ruhsiɗeeɗa toɓi ŋ eel ci wuu ɗu, a laaɓɗeeɗa yohon ci ŋ jamanooniŋ wa, a oneeɗa ɗu kañam, a riifɗeeɗa keeñ ciŋ ɗu na sum.»
2c0e12005f	Na woo ceem jen sah, wa yooɓeeɗi ŋ Barnabaas na Pool ne ɓa hondoh mboolnda seeƴuk wuu ɓa.
2c0e1300d0	Wa ineem coot, ɓi Yawuut pulohha Añcos-Pisidi na Ikoñum, ɓa tummba po mboolnda lannga na ɓa. Ɓeem tapeeɗa Pool atoh ne ɓa ap ɗe, ƴutta ɓa faseeɗa ɗe po ɓa pulla kur ka, ɓa liiɓee ne a kaaniɗ.
2c0e14007d	Waaye wa taalubeeca hay ndeerra ɗe, Pool kurukka, a aassa kur ka. Ŋ Kooh-wiisiina, a hunnda na Barnabaas, ɓa kaɗta Derbe.
2c0e15009a	Pool na Barnabaas woosa Yegɗohiŋ Muci ŋ Derbe, ɓi ɓo' laayiɗ ndaam kossa, ɓa nikka taalube. Ŋ ineem, ɓa dokukka Listar, Ikoñum na Añcos-Pisidi,
2c0e1600ac	ɓa ndengtineeɗa taalubeeca, ɓa ñaaheeɗa ɓa ne ɓa amb ndengiɗ kosi ɓa kos. Ɓa woosa ɓa ne: «Ɓoo joyiɗ taamb ŋ miskiɗ laayiɗ ɓoo han aas ŋ Nguuriŋ-Kooh.»
2c0e170099	Jangu nu nik ɗah, Pool na Barnabaas tannda ɓi yakak nga ne ɓeem adgoha, ɓa kiimeeɗa Kooh, ɓa oreeɗa, ɓa faɗta ɓa ŋ yaah Heɗ ɓoo yi ɓa kose.
2c0e180042	Ɓa pulohha ndeem, ɓa lahha ŋ ɗooƴ Pisidi, ɓa kaɗta Pamfili.
2c0e19003f	Ɓa yegɗohha woo kiŋ Kooh ŋ Perge, ƴutta ɓa kaɗta Attali.
2c0e1a007d	Ŋ ndaam, ɓa aassa bato ne ɓa wiiruk Añcos, ɗiska kosiɗ ca wikohee ɓa Kooh ne a baahohaat ɓa ŋ pangki ɓa mitiɗ wii.
2c0e1b00b1	Wa Pool na Barnabaas ree Añcos, ɓa cohɗohha ɓi Janguuna, ɓa naandsukka ɓa in ci Kooh haɓiɗ taamboh nga ɓa jen, na findi a rangsiɗoh ɓooɓi nikɗi Yawuut waasiŋ kosi.
2c0e1c002d	Ɓa tassa ŋ ndaam in maañiɗ na taalubeeci.
2c0f0100ad	Wa raakeen ɓi ɓo', ɓa pulohee Yudee, ɓa hayya Añcos, ɓa jangɗeeɗa ɓaah ciŋ ɓoo kosiɗ ci ne ɓa nguɗukɗi findi waasiŋMusaa nakoha ɗah, ɓa heyɗi mine mucɗu.
2c0f020102	Pool na Barnabaas muuƴohha na ɓa, taastiɗoheeɗa na ɓa taastiɗoh miskiɗ ŋ ineem. Ŋ mirndaani, kosiɗ caŋ Añcos ammba ne Pool na Barnabaas joyiɗ hun na ɓi ɓo' ɓaah nga ɓa, ɓa kaɗ Yerusalem ŋ Apootar ca na yakak ca ŋ ndaam, ɓa woo ŋ ineem.
2c0f0300d0	Ɓi Janguuna eɗta ɓa ini ɓa ɓayan ŋ ɓaaɓiŋ ɓa. Ɓa lahha Feniis na Samari, ɓa naandsukeeɗa findi ɓooɓi nikɗi Yawuut hayoh ŋ Heɗi. Ineem soosiɗta lool keeñ ciŋ ɓaah caŋ ɓoo kosiɗ ca jen.
2c0f04008f	Wa ɓa ree Yerusalem, ɓi Janguuna na Apootar ca, na yakak caŋ Janguuna taambkohha ɓa. Ɓa naandsukka ɓa in ci Kooh tum jen taamboh nga ɓa.
2c0f0500ae	Waaye wa raakeen ɓi ɓo' ɓaah ŋ Farisen ca, ɓa koseen, ɓa kurukka, ɓa woyeeɗa ne: «Kosiɗ ci nikɗi Yawuut joy joy nguɗu, ɓa woyu ne ɓa taambɗaat waasiŋ Musaa.»
2c0f060030	Apootar ca na yakak ca cohha ne ɓa marak ineem.
2c0f0700c2	Ɓa taastiɗoheeɗa po, Piyeer kurukka, woosa ɓa ne: «Ɓaah ciŋ ngo, ɗu inhiɗ ne Kooh taniɗ to maañiɗ ŋ ɗooƴ ɗu ne ŋ inhiɗ ɓi nikɗi Yawuut Yegɗohiŋ Muci ne ɓa keraha, ɓa kos.
2c0f080090	Te Kooh yi inah ini nik ŋ ɗooƴ keeñ ci teeɓohiɗ ne a teyɗukiɗ ɓa, ŋ oni a on ɓa ne ɓa rahas Fuuɗsi Hoolohngaani findi a onoha ɓoo.
2c0f09005b	Kooh raakɗi ali talsoh ŋ harmban ɓoo na ɓa, a hoolɗiɗ keeñ ciŋ ɓa ŋ kosi ɓa kos.
2c0f0a0085	Kon ɗiski wa nik, wa ye tah ɗu waaksiɗke Kooh ŋ waaɗi ɗu waaɗ raan taalubeeci ɗufi ɓoo na caac ciŋ ɓoo moosɗi min raanuk?
2c0f0b006f	Muk! Ini ɓoo kos weɗ ne Heɗ ɓoo Yeesu mucɗiɗ ɓoo findi a nam ɓa mucɗoh ŋ baahohi a baahoh ɓoo jen.»
2c0f0c00b5	Wa Piyeer woo woo keem, ɓooɓa jen sikɗukeeɗa Barnabaas na Pool, ɓeem naandsukka ɓa firndeeci na keemaan ci laayiɗ ci Kooh tum taamboh nga ɓa ŋ ɗooƴ ɓooɓi nikɗi Yawuut.
2c0f0d0052	Wa ɓa ƴut woo, Saak kooɗta woo ka, a woosa ne: «Ɓaah ciŋ ngo, sikɗukaat to!
2c0f0e0066	Simong naandsukiɗ ɗu wi Kooh camb taambkoh ɓi nikɗi Yawuut ne a tan nga ɓa cuuɓi nikan wiŋ ɗe.
2c0f0f003d	Te woo ciŋ woosuuɗ ci huniɗ ŋ ineem, findi wa fiisohu an:
2c0f10008a	“Kooh woo ne: Ŋ finho in ceem, ŋ hey hayisse te ŋ hey tufkiɗisse kahniŋ Dawuuda keene, ŋ nangɗoh pook-pook ciŋ wa, ŋ taɓahisa.
2c0f11009f	Ŋ ineem, ini tas ŋ ɓooɓiŋ adinaani hey waake Heɗi, Ee di'! Cuuɓ ci ŋ tan jen ne ɓa nik wuu so, hey yo waake. Ineem weɗ Heɗi woo, yi na tume in ceem,
2c0f120029	te a inhiɗiɗ ɓooɓi wa in maañiɗ.”
2c0f130065	Weɗ tah, mi yi Saak, ŋ huniɗ nga ne ɓoo kinaat yaaɓiɗ ɓi na haye ŋ Kooh te ɓa nikɗi Yawuut.
2c0f1400ac	Waaye ɓoo fiisɗaat ɓa ne ɓa wortukaat ñam kañam ci seeƴkohu wuu kooh ci nikaaɗiici, kañam ceem hoolɗi. Ɓa nam wortuk faankoh sangohuuɗ, na ñam med, na an ñif.
2c0f1500ad	Laam ŋ ɗeɓgaan po wi, ɓi ɓo' ɓii yegɗoh waasiŋ Musaa ŋ kur-taah nu nik te ŋ mbeh ci na iɗsiɗkohse jen, teereeciŋ waasiŋ Musaa na jangse jangu ŋ sinaagog ci.»
2c0f160124	Wa Saak ƴut woo, Apootar ca na yakak ca na ɓi Janguuna jen hunnda ne ɓa kooɗ ɓi ɓo' ŋ ɗooƴ ɓa, ɓa tuuƴ ɓa Añcos, ɓa hun na Pool na Barnabaas. Ɓa kooɗta Yuud yi na ɓeeɗkohse Barsabaas, na Silaas. Ɓeɗ ɓi kanak ceem, ɓa nikee ɓo' kerhiɗuuɗ ŋ ɓaah ciŋ ɓoo kosiɗ ci.
2c0f1700b4	Ɓa eɗta ɓa kayti fiisu inii: «Ɗu ɓi ɓaah ciŋ ɓoo nikɗi Yawuut te ɗu gennda Añcos, Siri na Silisi, ɓoo ɓii kañiɗ ɗu, ɓoo ɓi ɓaah ciŋ ɗu Apootar ci na yakak ci.
2c0f1800a3	Ɓoo kerhiɗ ne raakiɗ ɓooɓi puloh nga ɓoo ndii ɓa hayya nga ɗu, ɓa ambsohha haf ciŋ ɗu, ɓa yahrohha hel ciŋ ɗu na woo ciŋ ɓa, te ɓoo nakɗi ɓa wa.
2c0f190091	Ineem weɗ tah ɓoo hunnda ɓoo kooɗta ɓi ɓo', ɓoo woossa ɓa nga ɗu. Ɓoo ambsohha ɓa na Barnabaas na Pool, ɓaah ciŋ ɓoo ɓoo keeñkoh,
2c0f1a0037	ɓi eɗoh kipes ciŋ ɓa wuu Yeesu Kiristaa, Heɗ ɓoo.
2c0f1b0053	Kon ɓoo ɓii tuuƴ Yuud na Silaas ne ɓa woo ɗu na nguɓ ini ɓoo fiis ŋ kaytii.
2c0f1c0075	Ini neɓ Fuuɗsi Hoolohngaani te wa neɓpa ɓoo weɗ ne ɓoo heyɗi ɗu raane nakoh wiiriis ɗal ci minɗi faɗu cii:
2c0f1d009e	Kinaat ñam kañam ci seeƴkohu wuu kooh nikaaɗi, kinaat an ñif, kinaat ñam med, wortukaat njaaloo. Ɗu penduk in ceem ɗah, wa hey baahe. Nikaat ŋ jam!»
2c0f1e008f	Wa kayta fiisu po ƴutta, ɓooɓa tuuƴsee kurkohha ndaam, ɓa kaɗta Añcos. Wa ɓa ree, ɓa cohɗohha ɓooɓa, ɓa eɗta ɓa kayta fiisuuɗa.
2c0f1f004c	Wa janguusa, ɓooɓa summba ŋ ini wa woo, wa ɓaatta ndengiɗ kosi ɓa kos.
2c0f2000a7	Yuud na Silaas ɓeɗ ŋ haf ɓa, ɓa nikee woosuuɗ. Ŋ ineem ɓa woyeeɗa na ɓaah caŋ ɓoo kosiɗ ca in maañiɗ, ɓa ñaaheeɗa ɓa, ɓa ndengɗeeɗa kosi ɓa kos.
2c0f21007d	Ɓa nikka ŋ ndaam in samiɗ maañ, ƴutta ɓaah caŋ ɓoo kosiɗ ca faɗta ɓa ne ɓa dokuk moɗoɗ ŋ ɓooɓa woosee ɓa. [
2c0f22003e	Waaye Silaas tassa ŋ Añcos, Yuud dokukka Yerusalem kiik ce.]
2c0f23008b	Pool na Barnabaas tassa ŋ Añcos, ɓa taalndiɗta na ɓi ɓo' laayiɗ ɓa jangɗoheeɗa, ɓa yegɗoheeɗa woo kiŋ muci, wi kaɗ ŋ Heɗi.
2c0f2400b5	Wa degga ɓi neeh, Pool woosa Barnabaas ne: «Ɓoo dokkaat marka ɓaah ciŋ ɓoo kosiɗ ci ŋ kur-taah ci ɓoo taamboh jen yegɗoheeɗa woo kiŋ Heɗi, ɓoo marak findi ɓa nikoh.»
2c0f250034	Barnabaas waaɗta ɓayndoh Saaŋ yi na woyse Maarko,
2c0f260072	waaye Pool hotta ne ɓa joyɗi ɗe ɓayndoh, sagu faɗa a faɗee ɓa ŋ Pamfili a hunisɗi na ɓa ŋ pangkaŋ ɓa.
2c0f270077	Ɓa nookohha nookoh miskiɗ po ɓa mirndohha saɓsukoh. Barnabaas ɓayndohha Maarko, ɓa aassa batoona na kaɗe Siipar.
2c0f280078	Pool nak, a tannda Silaas ne a kaɗ na ɗe. Ɓaah caŋ ɓoo kosiɗ ca dengkohha ɓa Heɗi, ŋ baahohiŋ ɗe, ɓa cootta.
2c0f290065	Ɓa taammba Siri na Silisi ɓa ñaaheeɗa ɓooɓa ɓaahee ŋ Janguuca ne ɓa ndengɗuk ŋ kosiŋ ɓa.
2c100100aa	Wa Pool taamb ŋ Siri na Silisi, a kaɗta Derbe, ƴutta a kaɗta Listar. Raakeen ŋ ndaam taalube teeku Timoote, yaay ɓa nikee Yawuut kosiɗ, waaye baab ɓa nikee Gerek.
2c10020051	Ɓaah caŋ ɓoo kosiɗ ca nikee ŋ Listar na Ikoñum seede'een baah kiŋ Timoote.
2c1003008c	Pool waaɗta ne a hun na ɗe; ŋ ineem a ɓayya ɗe, a nguɗta ɗe sagu Yawuut ca genee ŋ ɓak caam. Laam ɓa inheen jen ne baab ɓa Gerek.
2c100400c0	Pool na Silaas hunnda na Timoote, ɓa taambeeɗa kur na kur, ɓa woyeeɗa kosiɗ ca ini Apootar ci na yakak caŋ Janguunaŋ Yerusalem woo ŋ cohaŋ ɓa, ɓa nakka ɓa ne, ɓa taambɗaat ineem.
2c10050053	Ŋ ineem, kosiɗ ca uupeeɗa ndeng ŋ kosiŋ ɓa, ɓa ɓaateeɗa laay Kooh-nu-wiis.
2c1006008c	Fuuɗsi Hoolohngaani hondohha Pool na Silaas yegɗoh Yegɗohiŋ Muci ŋ kur caŋ Asi. Weɗ ɓa taamboh ŋ ɓakiŋ Firisi wi ɓaah ŋ Galaat.
2c10070071	Wa ɓa ree ŋ sero kur caŋ Misi, ɓa jeemmba kaɗ caŋ Bitini waaye Fuuɗsiŋ Yeesu onɗi ɓa ne ɓa kaɗ ndaam.
2c1008003e	Weɗ ɓa taamboh ŋ Misi, ɓa kaɗta Torowaas, ŋ sero cookma.
2c1009009d	Na weka, in hayɗohha Pool findi heeƴ: An a hot ɓo' gen Maseduwaan tufkiɗ kiimeeɗa ɗe keeh-keeh ne: «Aasa bato, fu hay Maseduwaan, fu ɓaatɗoh ɓoo!»
2c100a00a4	Wa Pool heeƴ heeƴeem, wa hooleen ɓoo ne e Kooh na ɓeeɗke ɓoo ne ɓoo kaɗ woya Yegɗohiŋ Muci ŋ ndaam. Jaarra ɓoo markeeɗa findi ɓoo kaɗohan Maseduwaan.
2c100b009a	Weɗ ɓoo kooɗoh bato ŋ Torowaas, ɓoo yurhiɗta kur ka na woyse Samotaraas, a masuɓ wila. Ŋ Kooh-wiisiina, ɓoo kurkohha ndaam, ɓoo kaɗta Neyapoli.
2c100c00c8	Ɓoo pulohha ndeem, ɓoo kaɗta Filippi. Filippi, wa ɓaahee ŋ kur-taah ca ɓi kur kaŋ Rom raakootee, te ngaŋ Maseduwaan jen, weɗ uupɗee njiriñ ŋ kur-taah caam. Ɓoo nikka ŋ kur keem ɓi neeh.
2c100d00c4	Wa mbehi na iɗsiɗkohse ree, ɓoo pulla ŋ bilaf faŋ kur-taaha, ŋ sero huluɓ, ɗiska ɓoo liiɓee ne wa ɗisik kiimoha Kooh. Ɓi ɓitiɓ coheen ndaam, ɓoo ɓooffa, ɓoo ɓeesɗoheeɗa na ɓa.
2c100e00de	Wa raakeen ɓitiɓ nga ɓa teeku Liidi, a nikee toonoh cuup ruumind, a genee kur-taahaŋ Tiyatiir, a nikee ɓo' nupiɗ Kooh. A sikɗukeeɗa ɓoo baahiɗ. Heɗ ɓoo rangissa keeñiŋ Liidi yeem po a teyɗukka ini Pool woye.
2c100f00a7	A ɓoktuusa a yi na ɓi kahan ce, ƴutta a kiimmba ɓoo ne: «Nik ne ɗu hotiɗ ne ŋ kosiɗ Heɗ ɓoo ɗah, hayaat ɗu dal ŋ kahan ndo.» A tummba po ɓoo teyɗukka.
2c101000d3	Wa raakka mbeh, ɓoo kaɗeeɗa ɗiska na kiimohse Kooh, ɓoo cohha na cafaƴ, a nikee ñaam. Ñaameem hunee na jiini, jiinndi ɓekee ɗe ŋ markis. Markisiŋ ɗe meeɗ meeɗ kom ɓooɓi raakee ɗe kopor laayiɗ.
2c10110097	A ñaakɗeeɗa Pool, raak ɓoo hun na Pool, a woyeeɗa ŋ ɗafka ne: «Ɓooɓii, ɓa surgaaciŋ Koohi uup yak, ɓa hay ne ɓa teeɓ ɗu waasiŋ muci.»
2c10120106	A gennda gen a woyeeɗa ineem ɓi neeh laayiɗ, waaye wi wa kaɗ po wa yaaɓiɗta Pool, Pool gurdukka jiinnda nikee ŋ kuɓka cafƴa, a woosa ɗe ne: «Ñam woo ɗa wa, ŋ tiikiŋ Yeesu Kiristaa, pula ŋ ɓoyii!» Ŋ ɗiska ɗiska jiinnda pulla ŋ kuɓka cafƴa.
2c1013009c	Wa ɓi heɗ ñaama hot ne ɓa malkisɗi ina ɓa meeɗ maluk nga ɗe, ɓa ammba Pool na Silaas, ɓa faseeɗa ɓa po ŋ ɗiska na toonohse, ŋ fiki kilifaaca.
2c10140070	Ɓa kommba ɓa kilifaaca adgohee kur ka, ɓa woosa ɓa ne: «Ƴaaɓii ɓa na yoonde kur kiŋ ɓoo te ɓa Yawuut.
2c10150072	Ɓa na jangɗohe mbaah ci fu inah ne waas onɗi ɓoo ne ɓoo teyɗuk ca wala taambiɗ ca, ɓoo ɓi ɓaah ŋ Rom.»
2c10160070	Mboolnda nammba hun nga, ɓa keennda Pool na Silaas. Weɗ kilifaaca nakohoh ne ɓa wolsassaat, ɓa laɓu ndooɗ.
2c10170084	Wa ɓa laɓ ɓa laɓ miskiɗ po ƴutta, ɓa rannga ɓa ŋ kasoona. Kilifaaca woosa ƴaara niiɗee kasoona ne a niiɗaat ɓa baahiɗ.
2c10180085	Denga ƴaara niiɗee kasoona dengse, tahha po, a ɓayya ɓa ŋ ɗooƴ ɗooƴ kasoona, a jatannga kot ciŋ ɓa jatang miskiɗ na hang.
2c10190076	Ŋ ndengelnde weka, Pool na Silaas kiimeeɗa Kooh, ɓa ƴeekeeɗa yakkiŋ Kooh, ambuuɗ ca ɓinooɓa sikɗukeeɗa ɓa.
2c101a0093	Ɗekka po kehƴi yoondɗukka keeh-keeh po fondamaanaŋ kasoona yoondɗukka, jaarra buntaaca jen rangsukka, jatang caŋ ɓooɓa ambsee jen toksukka.
2c101b0086	Weɗ ƴaara niiɗee kasoona yunkoh, a hotta buntaaca rangsukiɗ, a fuurra ndangaŋ ɗe ne a ap haf ce. A liiɓee ne ambuuɗ ca fusiɗ.
2c101c0053	Waaye Pool woosa ŋ ɗafka ne: «Kina tum haf fu miskiɗ, ɓoo jen ɓoo ɓii nga.»
2c101d0063	Ƴaara meeksohha niitoha, a arra aas, a tiitta po a saakɗoheeɗa, a ƴekka ŋ fiki Pool na Silaas.
2c101e005d	Ƴutta a puliɗta ɓa ŋ hara, a meekissa ɓa ne: «Kilifaaci, ŋ joy tum na po ŋ min muc?»
