1300000006	Psalms
2b130600a9	Jamero lapalap o papa ko lao udial i, irail ap weriwereda indada: Kalopuela i! Kalopuela i! Pilatuj indai on irail: Pein komail ale i kalopuela i! Pwe i jota diar dip a.
2b13070062	Juj oko japen i: At kapun mia, a duen at kapun a pan kamatala, pwe a wiaki japwilim en Kot pein i.
2b13080035	Pilatuj lao ronadar mepukat, ap majapwekadar kaualap,
2b13090064	O purelon on nan im en kadeik o, kalelapok ren Iejuj: Komui koti jan ia? A Iejuj jota kotin japen i.
2b130a007a	Pilatuj ap indai on i: Komui jota japen ia? Komui jota aja, me i manaman on kapiti uk ala o pil manaman on kalopue uk ala?
2b130b0082	Iejuj kotin japen: Jota man om manaman en kaoe ia, ma a jo muei on komui jan poa. Ari, dip en me pana ia don komui er me lapa jan.
2b130c00ab	Ari, Pilatuj ap jon kapitila i, a Juj oko weriwer indada: Komui kaidin kompoke pan Jija, ma komui pan kapitila men et. Meamen kajapwiladan nanmarki pein i kin palian Jija.
2b130d0084	Pilatuj lao ronadar kajoi pukat ap kapwareda Iejuj, kaipokedi pon deun kadeik, waja me adaneki Pepment, a ni lokaia en Ipru: Kapata,
2b130e005a	A i ran en onop on paja impan auer kawonu. I ari majani on Juj oko: Kilan, omail Nanmarki!
2b130f00a3	A re weriwereda: Jikenewei! Jikenewei! Kalopuela i! Pilatuj majani on irail: Da, i en kamela omail Nanmarki? Jamero lapalap akan japen: Jota at nanmarki, Jija eta.
2b1310003e	I ari panalan irail i, pwen lopuela. Rap koledi Iejuj kaluala.
2b1311005d	A pein i kotin wa a lopu, kotilan waja me adaneki wajan pondal, a ni lokaia en Ipru: Kolkata,
2b1312005f	Waja re kalopuela i ianaki riamen, amen ni pali maun, a amen ni pali main, a Iejuj nan pun ara.
2b1313006b	Pilatuj ap pil wiadar intin eu, kakonei on pon lopu o. A iet intin: Iejuj en Najaret, Nanmarki en Juj akan.
2b13140091	Juj akan me toto, me wado kedi intin wet, pwe waja Iejuj kotin lopuela ia, me jalon kanim o. A intin o wiauier ni lokaia en Ipru o Krik o Latain.
2b13150078	Ari, jamero lapalap oko potoan on Pilatuj: Der intiniedi: Nanmarki en Juj akan, a me a indada: Nai Nanmarki en Juj akan!
2b13160030	Pilatuj japen: Me i intiniedier, i eta ai intin.
2b131700c7	Jaunpei ko lao kalopuela Iejuj, rap ale japwilim a likau kan, lepuk pajan, wiakida pakij paieu, pakij eu on amen amen en jaunpei ko o pil japwilim a jakit, me jo deidei pena, a pon ta jan poa lei pa.
2b131800dc	Irail ap kajoi nan pun arail: Kitail ender ter pajan i, a kadoropwaki, me pan aneki, pwe kijin likau en punala, me indinda: Irail nek pajan ai likau kan nan pun ar o kadoropwa ai jakit. lei me jaunpei ko wiakida mepukat.
2b13190063	A in en Iejuj u ni tapin lopu en Iejuj, o ri en in a Maria, en Kleopaj a paud, o Maria men Makdala.
2b131a0078	Iejuj lao kotin majani in a o tounpadak men u imp a me a kotin kupura mauki, ap kotin majani on in a: Li, kilan noum ol!
2b131b0057	Ap kotin majani on tounpadak o: Kilan in om! Ari, jan ni auer ota tounpadak o apwali i.
2b131c006b	Iejuj lao kotin manier, me meakaroj nikier, ap kotin majanier: I men nim pilada, pwe kijin likau en punala.
2b131d006d	A kajak mi waja o, me audeki pineka. Irail kaduedi lim eu nan pineka, ki on ni alek apot, kidalan ni jilan i.
2b131e006e	Iejuj lao kotin uraker pineka, ap kotin majani: A nikier. I ari kotin kamotauiedi kadoken mai, kadarala nen e.
2b131f00c2	Juj oko up poeki ren Pilatuj, me na irail ni katipitip pajan o ren wijiki jan, pwe war arail ender lanelan nin lopu ran en japat. Pwe iei ran o ran en Imiiiup, pwe iei ran en japat o me lapalap.
2b13200051	Jaunpei ko ap kai on, katip pajan na en me pali et o en me teio, me ian lopuelar.
2b13210053	A re lao kai on Iejuj o diaradar, me a matalar, rap jota katip pajan aluwilu a kan.
2b13220047	A jaunpei men dokoki katieu pot panepan a; madan nta o pil kujekujewei.
2b13230074	A me udial mepukat, kin kadede o a kadede me melel, o e aja, me a kin kadede, iei me melel, pwe komail en pil pojon.
2b1324004d	Pwe mepukat wiauier, pwe kijin likau en punala: Aluwilu a jota pan tip pajan.
2b13250042	O pil eu kijin likau kin inda: Irail pan kankakil i, me re dokodi.
2b132600c9	Murin mepukat Iojep men Arimatia, tounpadak en Iejuj amen, ari me rir, pweki a majak Juj oko, ap poeki ren Pilatuj, en mueid on i kalep en Iejuj. Pilatuj ari mueid on i. I ari waiki jan kalep en Iejuj.
2b13270056	Nikodemuj me poto don Iejuj ni pon, pil kodo, wado paun epuki en potik en mire o aloj.
2b13280076	Irail ap ale kalep en Iejuj, kidimki pena likau linen kai ianaki pomau kan, duen tiak en Juj akan, ni ar kin jarepedi.
2b1329006b	A waja me a kotin lopuela ia, matuel eu mia ia, a nan matuel joujou kap eu mia, me jaikenta amen jaredi ia.
2b132a0051	I waja me ira nekidala Iejuj, pweki ran en kaonop en Juj akan, o joujou me koren.
2b1401008d	NI ran kaieu en wik Maria men Makdala pwara don joujou o nin joran, a jaikenta ran pajan, ap diaradar, me takai o katapur janer mon joujou o.
2b140200a4	I ap tana wei, ko don Jimon Petruj o tounpadak teio, me Iejuj kotin kupura mauki, indai on ira: Irail wa janer Kaun o nan joujou o, a je jaja, waja re kidi on ia i.
2b14030037	Petruj ari koieila o tounpadak teio ap ko don joujou o.
2b1404004b	Ira wiaki eu tana wei, a tounpadak teio me madan mon Petruj lel joujou maj.
2b14050047	A lao itiokidi, ap kilanada likau linen wonon, ap jota pedelon on lole.
2b1406005a	Jimon Petruj ap kokodo idauen i, ap pedelon on nan joujou o, diarada likau linen ko wonon.
2b14070056	O lim en pudo me pira a kadokenmai, me jota ian likau linen ko; a lim pena waja toror.
2b14080052	A tounpadak teio me tion don joujou o, ap pil ko on lole; I ari diarada o pojonla.
2b14090041	Pwe ira kaikenta weweki kijin likau, me a en iajada jan a matala,
2b140a0027	Tounpadak ko ap pur oner nan deu ’ra.
2b140b005a	A Maria u liki jal on joujou o janejan. O ni a janejan a poridi, kilanlon on nan joujou o,
2b140c008f	Kilanada tounlan riamen momod ia, kapwateki likau pwetepwet, amen liman kadokenmai a amen liman aluwilu a kan waja kalep en Iejuj kotikot iaer,
2b140d0079	Ira ari majani on i: Li, da me koe janejanki? A indai on ira: Aki irail wa janer ai Kaun, a i jaja, waja re kidi on ia i.
2b140e0049	A lao indada met, ap joupei wei kilaner Iejuj kotia u o jaja, me i Iejuj.
2b140f00ca	Iejuj kotin majani on i: Li, da me koe janejanki? Ij me koe kin raparapaki? A kiki on, me i me jaumat o, ap indan i: Main, ma komui wa janer i, indai on ia, waja komui kidi on ia i, I ap pan wala jan i.
2b1410005d	Iejuj ap kotin majani on i: Maria! I ari joupei on, potoan on i: Rapuni! let wewe: Jaunpadak.
2b141100aa	Iejuj kotin majani on i: Der jair ia, pwe I kaikenta pwarala ren Jam ai, a kola ren ri ai kan, kaire kin irail, I kokodala ren Jam ai o Jam omail, ren ai Kot o omail Kot,
2b14120066	Maria men Makdala kodo kaireki tounpadak kan, me a kilanadar Kaun o, o me a kotin majani on i mepukat.
2b141300c2	Lao nin jautik en ran ota, ni ran kaieu en wik, ni wanim ko me ritidier, waja tounpadak kan pokon pena ia, pweki ar majak Juj oko, Iejuj ap kotido u nan pun arail, majani on irail: Komail popol!
2b1414006e	A lao majaniada met, ap kajale on irail lim a kan o panepan a. Tounpadak kan ap perenda ni ar kilanada Kaun o.
2b14150062	Iejuj ap pil kotin majani on irail: Komail popol! Duen Jam o kadar ia do, iduen I kadar komail la.
2b14160043	A lao majanier met, ap nidi on irail majani: Komail ale Nen jaraui!
2b14170060	Me komail pan lapwada dip ar akan, re lapwadar; o me komail katenedie dip ar akan, pan tenedier.
2b14180053	A Tomaj amen ekriamen, me adaneki Didimoj, jota ian irail, ni Iejuj kotin pwarador.
2b141900ce	Tounpadak teio ap indai on i: Je kilaner Kaun o. A i me indai on irail: Ma i jota pan kilan lip en mata nan lim a kan, o kilon on nan lip en mata jondi en pa i, o kilon on pa ni panepan a, i jota pan pojon.
2b141a0098	Murin ran walu japwilim a tounpadak kan pil pokon pena, o Tomaj ian irail. Wanim ko lao ritidier, Iejuj ap kotido, u nan pun arail majani: Komail popol!
2b141b007f	Ap kotin majani on Tomaj: Kido jondin pa om o kilan pa I kat, o kido pa om, kilon on nan panepan ai, o der jopojon, a pojon ta!
2b141c0028	A Tomaj japen indan i: Ai Kaun o ai Kot!
2b141d0067	Iejuj kotin majani on i: Pweki om kilan ia er, koe pojon kilar, a meid pai, me kaikenta kilan ap pojon.
2b141e0063	Kilel toto me jo intinidier nan puk wet, me Iejuj kotin wiadar nan pun en japwilim a tounpadak kan.
2b141f0082	A mepukat me intinidier, pwe komail en pojon, me Iejuj me Krijtuj japwilim en Kot ol. O komail en pojon ap aneki maur pweki mar a.
2b15010064	A MURIN mepukat Iejuj pil kajale on tounpadak kan pein i pon le en Tiperiaj; a iet duen a kajaledar:
2b15020093	Jimon Petruj o Tomaj, me adaneki Didimoj, o Natanael men Kana nan Kalilaa, o nain Jepedauj ol oko, o pil japwilim a tounpadak riamen me pokon pena,
2b150300a2	Jimon Petruj indai on irail: I pan kola laid. Irail indai on i: Je pil pan ian uk. Irail ari koieila, kereda pon kijin jop pot. A ni pon o re jota jaikidi meakot.
2b15040059	A lao waja ranier, Iejuj ap kotikot ni oror, a japwilim a tounpadak kan jaja, me i Iejuj.
2b1505004a	Iejuj ap kotin majani on irail: Jeri ko, jota kan omail? Re japen i: Jota.
2b15060089	A kotin majani on irail: Kaduiedi uk o pali maun en jop o, a komail pan diarada. Irail ap kaduedi; re ap jolar kak apiada pweki mam toto.
2b150700b0	Tounpadak o, me Iejuj kotin kupura mauki, ap indai on Petruj: Iei Kaun o. Jimon Petruj loa ronadar, me i Kaun o, ap pira on a jakit en liki pwe a kilijo, ap lujedi on nan le o.
2b15080076	A tounpadak tei kan jeijei kodo nan kijin jop, pwe re jo doo jan jap o, ele tipon en pa riepuki, urakido uk o mam oko.
2b15090040	Irail leler jap, rap diaradar kijiniai o mam oko nji poa o prot.
2b150a0036	Iejuj ap kotin majani on irail: Wado kijan jaik omail!
2b150b007f	Jimon Petruj ap koda waike lon don nan jap uk o, me dir en mam kalaimun epuki limek jilimen; mam me toto, ari jo, uk jota olar.
2b150c007b	Iejuj kotin majani on irail: U kodo mana! A jota amen ren tounpadak kan kak idok re a: Ij komui? Pwe re ajaer, me i Kaun o.
2b150d0038	Iejuj ap kotido limada prot, nek on irail o pil mam oko.
2b150e006a	A i me kajilepak en Iejuj a kotin kajale on japwilim a tounpadak kan pein i, murin a iajada jan a matalar.
2b150f00d0	Irail lao manaer. Iejuj ap kotin majani on Jimon Petruj: Jimon, nain Iona, koe kin pok on ia mon mepukat? A i potoan on i: Ei Main, ir me mani, me i kin pok on ir. A kotin majani on i: Apwali nai jippul akan!
2b151000a4	A pil majani on i kariapak: Jimon, nain Iona, koe kin pok on ia? A japen i: Ei Main, ir me kotin mani, me i kin pok on ir. A kotin majani on i: Apwali nai jip akan!
2b151100fb	A kotin majani on i kajilepak: Jimon, nain Iona, koe kin pok on ia? Petruj ap mamauki a peidok pan jilepak: Koe pok on ia? A potoan on i: Main, ir me kotin mani meakaroj, re kotin mani, me i kin pok on ir. Iejuj kotin majani on i: Apwali nai jip akan!
2b151200d1	Melel, melel I indai on uk, ni om manakap koe pein pirai uk pena, ap alu wei waja, me koe mauki. A koe lao likailapala, koe nek kida wei pa om akan, a amen pan pirai uk edi o kalualan waja, me koe kan kola ia.
2b15130070	I me a kotin kokop kidar, duen a pan kapinaki Kot a matala. A lao kotin majanier met, ap majani on i: Idauen ia!
2b1514009e	Petruj ap joupewei, kilan tounpadak o idauen ira, me Iejuj kotin kupura mauki o me pil mi pan kupur a ni kamadip o kalelapok: Main, ij i, me pan pan komui la?
2b1515003c	Petruj lao kilaner i, ap indai on Iejuj: Main, menda men et?
2b1516005e	Iejuj kotin majani on i: Ma I mauki, a en mimieta I lao puredo, menda re om? Koe en idauen ia!
2b151700bd	Kajoi pot et ap loloki jili nan pun en jaulan kan, me dene tounpadak o jota pan mela. A Iejuj jota kotin majanier, me a jota pan mela, a: Ma I mauki, a en mimieta I lao puredo, menda re om?
2b15180057	let tounpadak, me kadele mepukat o intiniedier mepukat; a je aja, me a kadede me melel.
2b15190083	A jon toto, me Iejuj kotin wiadar a ma irail karoj pan intinidi, i lamelame, me jappa jota itar on koledi puk kan, me pan intinidi.
2c00000006	Wiawia
2c0101006a	MAIN Teopiluj, i wiadar tapin kajoi duen meakan, me Iejuj kotin tapiadar, duen a wiawia o kaukawewe karoj,
2c01020063	Lao lel ran en a peukedala mon a kotin kakalik on wanporon akan, me a kotin piladar ren Nen jaraui,
2c01030096	Me a pil kotin kajanjale on pein i ieiaj ki kilel melel toto murin a kalokolok o a pwara don irail ran paeijok o kapakaparokeki duen tiak en wein Kot.
2c01040092	A ni a kotikot re ’rail, a kotin kakalikion irail, ren der kowei jan Ierujalem, a ren auiaui, inau en Jam lao pwaidar, me komail rona jan ia er.
2c01050057	Pwe Ioanej wia paptaij ki pil, a komail pan paptaij kila Nen jaraui ni eu ran me koren.
2c0106006b	Irail lao pokon penaer, rap kalelapok re a potoan on: Main, anjau wet re pan kotin kapure don Ijrael wei o?
2c0107005f	A kotin majani on irail: Menda re omail, en aja anjau de auer, me Jam okila nan pein a manaman?
2c01080099	A komail pan ale manaman en Nen jaraui, me pan di po omail; komail ap pan ai jaunkadede kan nan Ierujalem, o ludaa pon o Jamaria, o lel won irepan jappa.
2c01090067	A lao majanier mepukat, ap peukedalar ni ar kankakil, pali en dapok pali idandalar i jan mon maj arail.
2c010a006a	Ni ar kilekilan nanlan, ni anjaun a kotidala, kilan, ol riemen mi nan likau pwetepwet, kotikot re ’rail.
2c010b00a3	Me pil majani: ol en Kalilaa komail, da me komail jarakidan nanlan? lel Iejuj, me peukedala nanlan jan komail, a pan kotin puredo, duen komail udialer a kotidalar.
2c010c0067	Irail ap purelan lerujalem jan dol o, me ad a Oliwe, me koren ion lerujalem; a doo jan al en japat pot.
2c010d00e7	Irail lao kotilon on, ap kotidan nan pera poa, waja re kin kotikoteta, irail karoj: Petruj, o loanej, o Iakopuj, o anreaj, o Pilipuj, o Tomaj, o Partolomauj, o Matauj, o Iakopuj nain Alpiiuj, o Jimon Jelotej, o Iudaj ri en Iakopuj.
2c010e0068	Mepukat karoj wiaki eu podidi on kapakap, li akai pil ian irail, o pil Maria in en Iejuj o ri a ol akan.
2c010f0050	Ni ran oko Petruj ap uda nan pun en jaulan kan majani (irail me impan epukiriek)
2c01100074	Ri ai kan, kijin likau en punala, me Nen jaraui kalokaia ki Dawid maj o iran Iudaj, me karedo, me jaikidi Iejuj oko.
2c0111003a	Pwe a pil wadawad on kitail, er o aleer pwaij a dodok wet.
2c0112006f	Nan ol men et pwaine kidar pwain en a japun jap eu, a ni a dikaudi, ap lop pajan o kananan kaped a ap poie jan.
2c01130069	Toun lerujalem karoj ajada met. Ari, jap o adanekila akeldama ni pein arail lokaia; iet wewe: Jap en nta.
2c0114006d	Pwe a intinidier nan puk en pjalm: Im a en lijelipinala o jolar, me pan kaujon lole, a amen me pan ale a koa.
2c0115005b	Ari, amen jan ren ol akan, me poden ian kitail er, ni anjau me Kaun Iejuj kotikot re atail,
2c01160088	Jan ni muein paptaij en loanej kokodo lel ni ran o, me a kotin peukada jan kitail er, pan ian kitail wiala jaunkadede en a kotin iajada.
2c0117004b	Irail ari kileledi riamen: Iojep iei Parjapaj, me pil ad a Iojtoj o Matiaj.
2c01180082	Irail ap kapakap majani: Main, ir me kotin mani monion en amen amen, re kotin kajanjaleda, ij me re kotin pilada ren me riamen et,
2c01190056	Pwe i en ale pwaij a dodok wet o koa en wanporon, me Iudaj pupe jan, pwen kolan deu a.
2c011a0057	Irail ap kadoropwada. A doropwa ko on Matiaj; i ari ian wadawad on wanporon ekamen oko.
2c0201003c	RAN en pentikoj lao leler, irail karoj kot pena waja ta kij.
2c02020064	A madan nil laud eu likamata nil en melimel peidido jan nanlan o kadirela im o waja, re kot pena ia.
2c02030043	A lo jiraneran akai likamata kijiniai pwarado jokedi pon amen amen.
2c0204006d	Irail karoj ap dire kila Nen jaraui ap pikikidi padaki wei ni lokaia toror, duen Nen kotin kamajan irail ada.
2c02050044	Men Juj, ol lelapok ko jan nan wei karoj pan lan kaikairu lerujalem.
2c02060067	Irail lao roner duen mepukat karoj, ap pokon penaer o puriamui kila, aki amen amen roner udan a lokaia.
2c02070066	Irail karoj poneponeki o puriamuiki indada: Kilan, kaidin mepukat karoj men Kalilaa, me kin padapadak?
2c02080038	A daduen, kit kin ron irail amen amen ni udan nil atail?
2c02090061	Men Partien, men Medien, men Elam, o toun Mejopotamien, o Iudaa, o Kapadojien, o Pontuj, o Ajien,
2c020a0078	O Prikien, o Pampilien, o Akipten, o liman Lipien; jalon Kirene, o men Rom, me mi waja et, karoj Juj oko o Projelit oko,
2c020b0068	Men Kreta o men Arapien, iaduen kitail kin ron kin irail udan nil atail ar katitiki manaman en Kot akan?
2c020c0046	Irail karoj ari pinidar o ponepondar, indada nan pun arail: Dakot met?
2c020d002d	Akai lalaue indada: Irail dire kila wain kap.
2c020e00ae	A Petruj ianaki ekamen oko ap kotida, kapitie laudeda majani on irail: Ol en Iudaa kan o komail karoj, me kaujon Ierujalem, komail en aja duen met, o komail ron maj ai padak!
2c020f0052	Pwe mepukat kaidin jakaular, duen omail kiki on, pwe apton auer kajilu en ran wet;
2c0210002a	Pwe iei mepukat, me lolok ren jaukop Ioel:
2c021100df	Kot kotin majanier: Ieteten me pan wiaui ni imwilan ran akan: I pan kamoredi Nen i pon uduk karoj. Noumail ol o li akan ap pan deideikop, o noumail manakap akan pan kilekilan kaudial akan, o noumail di ma kan pan auramenda;
2c02120050	A ni ran oko I pil pan kamoredi Nen i pon ai ladu o lidu kan, rap pan deideikop.
2c0213006b	O I pan kapwareda manaman akai nanlan pali poa, o kilel akai nin jappa pali pa: Nta, o kijiniai, o adiniai;
2c02140068	A katipin pan wukila rotorotala, a jaunipon pan wiala nta mon ran lapalap o linan en Kaun o pan pwarado.
2c0215003e	O a pan wiaui ma meamen likwir on mar en Kaun o, a pan dorela.
2c021600da	Ari ol en Ijrael, komail ron kajoi pot et: Iejuj men Najaret ol amen, me Kot kotin kilele kidar nan pun omail dodok kelail akan o manaman akan, o kilel akan, me Kot kotin wiaki i nan pun omail, duen me komail pein aja;
2c02170072	I lao panalar duen kupur en Kot erpit, komail ap jaikikidi pa en me japun kan, ap pajuredi on ni lopu o kamatalar.
2c0218005e	I me Kot kotin kaiajadar, ni a kotin lapwada jal en a matala, pwe a jota kak on, en kolekol i.
2c02190068	Pwe Dawid majanier duen i: I ninar Kaun o potopot mo i; pwe a kotikot ni pali maun i, pwe i ender mokid.
2c021a0051	I me monion i peren kida, o lo i popoleki; pil uduk ai pan kamoledi ni kaporopor.
2c021b0077	Pwe re jota pan kotin likidmaliela nen i nan wajan mela pil jota kotin mueid on, me japwilim ar Jaraui o pan mor pajan.
2c021c005d	Re kotin kajanjale on ia er al en maur akan; re pan kotin kadir kin ia la popol mon jilan ar.
2c021d0091	Ri ai kan mueid on ia, en aima padaki on komail duen jam atail Dawid, me pil matalar o jaredier, o japwilim a joujou mi re atail lao lel ran wet.
2c021e005f	A jaukop amen, ap mani, me Kot kotin kaula inauki on i me kijan wa men pan kaipokedi pon mol a.
2c021f007e	Ari, ni a mamani duen en Iejuj a iajada, ap kotin majani, me a jota likidmalielar nan wajan mela, o pil uduk a jota mor pujan.
2c02200041	I lejuj, me Kot kotin kaiajadar, kit karoj jaunkadede en mepukat.
2c02210094	A lao japwilekidar pali maun en Kot, a kotin aleer jan ren jam, en kapwaiada inau duen Nen jaraui, ap kotin kamoredi, me komail kin udial o roneron.
2c02220076	Pwe kaidin Dawid, me kotidala nanlan kan, a pein i kotin majani: Kaun o kotin majani on ai Kaun: Mondi ni pali maun i!
2c0223002b	I lao wiaki om imwintiti utipan na om akan.
2c0224006f	Ari, men Ijrael karoj en aja melel, me Kot kotin kajapwilada i, en Kaun o Krijtuj i Iejuj me komail kalopuelar.
2c02250078	Irail lao ronadar met, ap lel on nan monion arail, re ap indai on Petruj o wanporon tei kan: Ri at oko, da me jen wiada?
2c0226009b	Petruj ap majani on irail: Komail kalula, o amen amen en paptaij on ni mar en Iejuj Krijtuj, pwe dip omail akan en lapwada. A komail pan tunole Nen jaraui.
2c02270071	Pwe nan inau wet on komail o noumail jeri kan, o on irail karoj men iluwei, mo Kaun, atail Kot, pan kotin molipo.
2c0228007c	O pil jon en majan toto, me a kadede on irail, o panaui kin irail, majani: Komail en dorela pein komail jan nan di jued wet!
2c02290059	Irail me duki on a majan ap paptaijela; ari, ni ran o aramaj impan jilekid me jaulanalar.
2c022a005c	Irail dadaurata padak en wanporon akan, o ar minimin pena, o kamadip jaraui, o kapakap akan.
2c022b0053	Lomwi ap kipadi aramaj karoj o manaman o kilel akan toto wiauier ren wanporon akan.
2c022c003b	O karoj me pojonla, kin pokopokon o aneki pena kapwa takij.
2c022d0048	O netikila ar kapwa kan o nene on irail karoj, duen ar jamama amen amen.
2c022e0082	Irail ari kaukaule wia minimin eu nan im en kaudok o, o pilitiki pena prot nan im ar akan, o re manamana ni popol, o lolepot pena,
2c022f0064	Kapikapina Kot o konekon ren aramaj karoj. A Kaun o kotiki on momodijou, me dorola kan ni ran karoj.
2c03010057	A PETRUJ o Ioanej wiaki on kotidalan nan im on kumlok ni auer en kapakap, auor kmlinui.
2c030200ad	A ol amen me tikida na a danidan, me kin wijikedo pwiledi liman wanim on im en kumlok, me ad a Iinan, ni ran karoj, pwen wia poekipoeki ren me kin kolon on nan im en kaudok.
2c03030061	A lao kilaner Petruj i Ioanej, ni ara pan kotilon on nan im en kaudok, ap poeki, pwen ale meakot.
2c03040036	A Petruj i Ioanej majani i, ap majani on: Jaradan kit!
2c0305003f	I ari jaradan ira, kajikajiki, me a pan tunole meakot re ’ra.
2c03060081	Petruj ap kotin majani: Jota ai jilper de kold, a meakot mi re i, me i pan ki on uk: Ukida mar en Iejuj Krijtuj en Najaret o alu!
2c0307004c	I ari koledi pa a maun o kauada i, a na a o tikil en na ap madan kelailadar.
2c0308004e	Ap lujada o alu ian ira lan nan im en kaudok, majimajiok jili, kapikapina Kot.
2c03090034	O aramaj karoj kilan a alialu jili o kapikapina Kot.
2c030a007a	A irail aja, me i, me kin poekipoeki liman wanim linan en im en kaudok, irail pinkidar o poneponeki duen me wiaui on i er.
2c030b006e	A ni a ian Petruj, o Ioanej, aramaj karoj puriamuiki, ap tan penan irail nan palank, me ad a palank en Jalomo.
2c030c00bd	Petruj lao majani mepukat, ap kotin majani on pokon o: Ol en Ijrael, da me komail puriamui kila met? De da me komail kilekilan kin kit, likamata kit me kakelada i ni pein at kel de lelapok?
2c030d00a9	Kot en Apraam, o Ijaak, o Iakop, Kot en jam atail akan kalinanada japwilim a ladu Iejuj, me komail panala o likidmaliela ren Pilatuj ni a kileledier, me a pan lapwada i.
2c030e0056	A komail likidmaliela me Jaraui o, o me Pun, ap poeki lolap amen, en lapwa don komail.
2c030f006b	A komail kamatalar tapin maur, me Kot kotin kaiajadar jan ren me melar akan, kit kin jaunkadede en mepukat.
2c0310007a	Aki pojon mar a, mar a ap kakelada men et, me komail kin kilan o aja, o a pojon kare on i kelail melel wet mo omail karoj.
2c03110058	Ari ri ai kan, i ajaer, me omail jaja, me komail wiaki met, pil dueta omail jaumaj akan.
2c03120067	A ni mepukat Kot kotin kapwaiadar, me a kotin majanier ren jaukop akan karoj, me Krijtuj pan kalokolok.
2c0313006d	Komail ari kalula o wukila, pwe dip omail akan en joredi jan, pwe muein kamaur en pwaida jan wajailen Kaun o.
2c0314003a	A lao kotin poronedo, me loki on komail er: Iejuj Krijtuj,
2c03150088	Me pan kotikot nanlan lao lel anjau, me meakaroj pan punala, duen me Kot kotin majanier ren japwilim a jaukop jaraui kan jan maj kokodo.
2c031600b0	Pwe pil Mojej kotin majanier: Kaun omail Kot pan kaipwi on komail Jaukop amen, ipwin ri omail akan dueta nai, i me komail en rona jan meakaroj, me a pan kotin majani on komail.
2c0317005a	A iet me pan wiaui: Aramaj karoj, me kan peiki on jaukop o, pan kajapokela jan ren aramaj.
2c03180053	A jaukop karoj irerokedo jan Jamuel, karoj me padapadak pil kokoper duen ran pukat.
2c0319009e	Komail japwilim en jaukop akan o en inau, me Kot kotin wiai on jam atail akan ni a kotin majani on Apraam: Kainok kuroj nan jappa pan paieki anen kadaudok om.
2c031a0088	Kot kotin porone don komail japwilim a ladu maj ni a kotin molipe i; pwen kapaia kida komail, en kawuki jan komail kuroj dip omail akan.
2c0401006b	A NI ara padapadaki on aramaj akan, jamero kan, o jaumaj en im en kaudok, o jadujar akai, ap pokon don ira;
2c04020065	Pwe re makaraki ara kawewe on aramaj akan o ar padapadaki, me Iejuj pan kotin kaiajada me melar akan.
2c04030047	Irail ap kol ira di o kila ira nan imaten lao manda, pwe a waja ponier.
2c04040050	A me toto, me ian ronadar majan o, pojonlar; ari, toto en ol akan impan limekid.
2c0405004b	A mandan ran o jaumaj, o monjap, o jaunkawewe kan pokon pene nan Ierujalem.
2c04060064	A jamero lapalap Anaj, o Kaipaj, o Ioanej, o Alekjander, o karoj, me kijan kainok en jamoro lapalap,
2c0407006c	Irail pwiliki ira di nan pun arail, ap kainoma re ’ra: Ni kel en ij, de ni mar en ij, me komail wiaki met?
2c04080061	Petruj me dir en Nen jaraui ap majani on irail: Main ko, jaumaj en wei o monjap en Ijrael komail,
2c04090071	Ma je pan pakadeikada, o komail kainoma re at ran wet, pweki dok man on aramaj jomau men, o da me a kelaile kida,
2c040a00ba	Komail o aramaj en Ijrael karoj en mani, me mar en lejuj Krijtuj men Najaret, me komail kalopuelar, me Kot kotin kaiajadar jan ren me melar akan, nan i eta, me men et uki o kelail kidar.
2c040b004d	I takai o, me lokidokila ren komail jauje kan, me id wiala takai en pukakaim.
2c040c006b	O jota amen, me maur mi re a, pwe pil jota eu mar pan lan, me pakadara don aramaj, me kitail pan maur kida.
2c040d00b7	A ni ar kilekilaner en Petruj I Ioanej ara pereperen o jo majak, rap puriamui kila, pwe re ajaer, me ira aramaj mal me jota ian jkul, o jota non audaud, rap ajaer, me ira ianer lejuj.
2c040e0049	A ni ar kilaner aramaj o, me kelailadar, uda imp ara, rap jajalar lokaia.
2c040f003f	Irail lao kadar ira jan nan kapun, re ap kapukapun pena indada:
2c0410007a	Da me kitail en wiai on aramaj pukat, pwe toun Ierujalem ajaer, me ira wiadar kilel janjal eu, a kitail jota kak kalikama.
2c04110076	A pwe ede lolokjili nan pun en aramaj akan, kitail en padik inapwi ira di, me ira de padaki on aramaj amen ni mar wet.
2c04120056	Irail lao eker ira do re ap inapwiedi me ira der pan padaki de kawewe ni mar en lejuj.
2c0413007e	A Petruj o Ioanej japen majani on irail: Iaduen, me pun pan kupur en Kot, jen pwili jan komail mon Kot? Pein komail kajaui! l.
2c04140033	Pwe je jo kak jo katitiki, me je kilaner o ronadar.
2c041500a1	Irail ap kainapwi ira di kalaudela, re ap kadar ira la, pwe jota me re diaradar, me ira en kamekameki, pweki aramaj akan, pwe karoj, kapina Kot, duen me wiauier.
2c04160047	Pwe aramaj o, me manaman en kakelada wiaui on, daulier jaunpar paeijok.
2c04170068	Ira lao lapwadar, ap kola ren ian ara ko, kaireki meakan, me jamero lapalap o jaumaj akan katiti on ira.
2c0418007e	A irail lao ronadar, rap wiaki eu potoan on Kot: Main ir me Kot, me kotin kapikadar lan o jappa, o madau o audepa ’ra karoj.
