0100000018	उत्पत्ती
1406020129	तर तू जे काही बोललास, त्यामुळे तू जाळ्यात सापडला आहेस, तुझ्या मुखातील वचनाने तू स्वतःला पाशात गुंतवून घेतले आहेस.
14060301e6	म्हणून माझ्या मुला, स्वतःला सोडवून घेण्यासाठी तू असे कर, कारण तू तुझ्या शेजार्‍याच्या हाती सापडला आहेस: तर आता स्वतःला विनम्र करून त्याच्याकडे जा, आणि तुझ्या शेजार्‍याची झोप उडवून टाक!
14060400b4	तुझ्या डोळ्यांना झोप येऊ देऊ नकोस, तुझ्या पापण्यास डुलक्या घेऊ नयेत.
1406050136	शिकार्‍याच्या हातातून निसटलेल्या हरिणासारखे, पारध्याच्या जाळ्यातून सुटलेल्या पक्ष्याप्रमाणे तू स्वतःला मुक्त कर.
1406060091	अरे आळशा, मुंगीकडे जा; तिचे मार्ग लक्षात घे आणि शहाणा हो!
140607007a	तिला कोणीही अधिकारी, मुकादम किंवा अधिपती नाही,
14060800f5	तरी ती तिचा अन्नसामुग्रींचा साठा उन्हाळ्यात करते आणि कापणीच्या हंगामात तिचे अन्न गोळा करते.
14060900f1	परंतु हे आळशी माणसा, तू तिथे किती वेळ झोपून राहशील? तुझ्या झोपेतून तू केव्हा जागा होणार आहेस?
14060a00b3	आणखी थोडीशी झोप, आणखी थोडीशी डुलकी उशाखाली हात घेऊन थोडी विश्रांती—
14060b00e6	आणि दारिद्र्य एका चोराप्रमाणे तुझ्यावर येईल आणि हत्यारबंद मनुष्याप्रमाणे गरिबी येईल.
14060c00a7	त्रास देणारा आणि दुष्कर्मी मनुष्य, जो विपरीत गोष्टी बोलत फिरतो,
14060d00e7	तो आपले डोळे मिचकावितो, आपल्या पायांनी इशारे करतो, आणि आपल्या हाताच्या बोटांनी खुणावतो.
14060e00db	जो त्याच्या हृदयात फसवणुकीच्या दुष्ट योजना करतो— तो नेहमीच भांडणाला चेतावणी देतो.
14060f00e7	म्हणून त्याच्यावर अचानक आपत्ती येईल; अकस्मात त्याचा नाश होईल, त्यावर कोणताही इलाज नसेल.
14061000bc	याहवेह सहा गोष्टींचा द्वेष करतात, त्यांना सात गोष्टींचा तिटकारा वाटतो:
14061100bc	गर्विष्ठ नजर, खोटे बोलणारी जीभ, हात, जे निष्पाप व्यक्तीचा रक्तपात करतात,
14061200b5	हृदय, जे दुष्ट योजना करते पाय, जे दुष्कृत्य करण्यासाठी वेगाने धावतात.
14061300d2	खोटा साक्षीदार, जो असत्याचा वर्षाव करतो, आणि जो व्यक्ती समाजात कलह निर्माण करतो.
14061400c6	माझ्या मुला, तू तुझ्या पित्याची आज्ञा पाळ, आणि आपल्या आईचे शिक्षण सोडू नकोस.
14061500b5	त्यांचे उपदेश तू सतत आपल्या हृदयात बाळग; ते तुझ्या गळ्यात बांधून ठेव.
1406160143	तू चालशील, तेव्हा ते तुला मार्ग दाखवेल; तू झोपशील, तेव्हा ते तुझे संरक्षण करतील; आणि तू जागा होशील तेव्हा ते तुझ्याशी बोलतील.
140617010c	कारण ही आज्ञा एक दीपक आहे, आणि हे शिक्षण म्हणजे प्रकाश आहे; आणि ही सुधारणा व बोधवचने जीवनाचे मार्ग आहेत.
1406180106	ते तुला तुझ्या शेजार्‍याच्या पत्नीपासून दूर ठेवतात, वाईट स्त्रीच्या लाडिक शब्दांपासून सांभाळतात.
14061900ff	तू मनात तिच्या सौंदर्याबद्दल वासना बाळगू नकोस, किंवा तिच्या नेत्रकटाक्षांमुळे तिला वश होऊ नकोस.
14061a0110	कारण एका भाकरीचे मोल देऊन वेश्या मिळू शकते, परंतु दुसर्‍या मनुष्याची पत्नी तुझ्या जीविताची शिकार करते.
14061b00cd	मनुष्याने आपल्या उराशी निखारे बाळगले, तर त्याची वस्त्रे जळून जाणार नाहीत काय?
14061c00a5	मनुष्य जळत्या कोळशावरून चालल्यास त्याचे पाय पोळणार नाहीत काय?
14061d0160	तो असा मनुष्य आहे जो दुसर्‍याच्या पत्नीबरोबर व्यभिचार करतो; तिला स्पर्श करणार्‍या कोणाही मनुष्याला शिक्षा झाल्यावाचून राहणार नाही.
14061e00cd	भुकेला असताना भूक भागविण्यासाठी जो चोरी करतो, त्याचा लोक तिरस्कार करीत नाहीत.
14061f0129	तरीही जर तो चोर सापडला जातो, तर त्याला सातपट भरपाई करावी लागते, त्याला त्याच्या घरातील सर्व संपत्ती विकावी लागते.
14062000e9	परंतु जो मनुष्य जारकर्म करतो त्याच्याकडे समज नसते; जो कोणी तसे करतो तो स्वतःचाच नाश करतो.
14062100d7	त्याला घाव आणि अप्रतिष्ठा प्राप्त होतील, आणि त्याची निंदा कधीही पुसली जाणार नाही.
14062200e8	कारण मत्सर नवर्‍यास संतप्त करतो आणि जेव्हा तो सूड घेतो, तेव्हा तो दयामाया दाखविणार नाही.
14062300ec	तो कोणतीही नुकसान भरपाई स्वीकारणार नाही; कितीही मोठी लाच असली तरी ती तो घेण्यास नकार देईल.
14070100e2	माझ्या मुला, माझी वचने जपून ठेव, आणि माझ्या आज्ञांचा तुझ्या अंतःकरणात संग्रह करून ठेव.
14070200f5	माझ्या आज्ञा पाळ म्हणजे तू जगशील; तुझ्या डोळ्यातील बाहुलीप्रमाणे माझ्या शिक्षणाचे रक्षण कर.
14070300bd	तुझ्या बोटांवर त्या बांधून ठेव; तुझ्या हृदयाच्या पटलावर त्या लिहून ठेव.
14070400e9	“तू माझी बहीण आहेस,” असे सुज्ञानाला, आणि “तू माझा नातेवाईक आहेस.” असे अंतर्ज्ञानाला म्हण.
1407050112	म्हणजे व्यभिचारी स्त्रीपासून ते तुला दूर ठेवतील, वाईट स्त्रीच्या मोहक शब्दांपासून ते तुझे रक्षण करतील.
1407060082	माझ्या घराच्या खिडकीच्या जाळीतून मी खाली पाहिले.
14070700fc	साध्याभोळ्या पुरुषांमध्ये मी पाहिले, तरुणांचे मी अवलोकन केले, तेव्हा एक विवेकशून्य तरुण दिसला.
14070800d9	तो तिच्या रस्त्याच्या कोपर्‍याजवळून जात होता, सरळ तिच्या घराच्या दिशेने जात होता.
140709008d	दिवसाच्या संधिप्रकाशात, संध्याकाळच्या अंधारात होता.
14070a0100	तेव्हा त्याला भेटण्यास एक स्त्री बाहेर आली, तिची वेशभूषा एखाद्या वेश्येसारखी असून ती धूर्त होती.
14070b009a	(ती बेशिस्त आणि उर्मट आहे, तिचे पाय तिच्या घरात थांबत नाहीत;
14070c00d3	आता तर ती रस्त्यावर आहे, आता ती चौकांमध्ये आहे प्रत्येक कोपर्‍यावर ती लपून बसते.)
14070d00ca	तिने त्याला पकडले आणि त्याचे चुंबन घेतले, आणि निर्लज्ज चेहऱ्याने ती म्हणाली:
14070e00a3	आज मी माझी वचने पूर्ण केली आहेत, आणि माझ्या घरी शांत्यर्पण आहे.
14070f00bc	म्हणूनच मी तुला भेटण्यासाठी बाहेर आले; मी तुला शोधले आणि तू मला सापडलास!
14071000b2	मी माझा पलंग इजिप्त येथील सुताच्या रंगीबेरंगी चादरींनी सजविला आहे.
140711009c	ऊद, जटामांसी व दालचिनी यांनी मी माझी शय्या सुवासिक केली आहे.
14071200cb	चल, पहाटेपर्यंत आपण प्रीतीत यथेच्छ रमून जाऊ; आपण एकमेकांना प्रीतीचा आनंद देऊ!
1407130086	कारण माझे पती घरी नाहीत; ते दूर प्रवासाला गेले आहेत;
14071400de	त्याने त्याची पैशाची थैली भरून घेतली आहे, आणि पौर्णिमेपर्यंत ते घरी परत येणार नाहीत.
1407150107	तिच्या मोहक शब्दांनी वश करून तिने त्याला चुकीच्या मार्गाने नेले; गोड बोलून तिने त्याला मोहात पाडले.
1407160103	जसा बैल कापणार्‍याकडे जातो, तसा क्षणातच तो तिच्यामागे गेला, हरिण जसे दोर्‍यांच्या फासात पाय टाकते
140717014c	तोपर्यंत बाण त्याच्या पोटात घुसतो, ज्याप्रमाणे पक्षी वेगाने पाशात अडकतो, त्याला माहीत नसते की ते त्याच्यासाठी प्राणघातक आहे.
14071800a4	तर आता माझ्या मुलांनो, माझे ऐका, मी काय बोलतो त्याकडे लक्ष द्या.
14071900cb	तुमचे मन तिच्या मार्गाकडे जाऊ देऊ नका किंवा बहकून जाऊन तिच्या वाटेने जाऊ नका.
14071a00dd	कारण तिने अनेकांना घायाळ करून पाडले आहे; होय, अनेक बलवान पुरुषांना तिने ठार केले आहे.
14071b00e0	तिचे घर हा नरकाकडे जाणारा महामार्ग, आणि खाली मृत्यूच्या खोल्यांकडे नेणारा मार्ग आहे.
14080100a2	सुज्ञान हाक मारीत नाही काय? समंजसपणा तिचा आवाज उंचावत नाही का?
14080200e8	रस्त्याच्या कडाला असलेल्या सर्वात उंच जागेवर, जिथे रस्ते जोडले जातात, तिथे ती उभी राहते;
14080300b1	शहरात जाणार्‍या वेशीच्या बाजूला, प्रवेशद्वाराजवळ ती ओरडून सांगते:
14080400dd	“अहो लोकांनो, मी तुम्हाला बोलाविते; सर्व मानवजातीला उद्देशून मी माझा आवाज उंचाविते.
14080500ea	तुम्ही जे साधे भोळे आहात, समंजसपणा मिळवा; तुम्ही जे मूर्ख आहात, तुमचे लक्ष तिच्याकडे लावा.
14080600fe	ऐका! कारण मला काही विश्वसनीय गोष्टी सांगावयाच्या आहेत; योग्य ते सांगण्यासाठीच मी माझे मुख उघडते.
1408070095	माझे मुख सत्य बोलते, कारण माझे ओठ वाईटाचा तिरस्कार करतात.
14080800d9	माझ्या मुखातील सर्व शब्द नीतियुक्त आहेत; त्यातील कोणतेही कुटिल किंवा विकृत नाहीत.
140809011a	जे समजूतदार आहेत त्यांच्यासाठी ते योग्य आहेत; ज्यांना ज्ञान प्राप्त झाले आहे त्यांना माझी वचने सुबोध आहेत.
14080a00c4	चांदीऐवजी माझ्या शिक्षणाची, आणि उत्कृष्ट सोन्यापेक्षा ज्ञानाची निवड कर.”
14080b00f3	कारण सुज्ञान माणकांपेक्षा उत्तम आहे; तुला आवडणाऱ्या इतर कशाशीही तिची तुलना करता येणार नाही.
14080c00b5	मी, सुज्ञान, सुज्ञतेबरोबर सहवास करते; ज्ञान आणि विवेक माझ्याकडे आहेत.
14080d0142	याहवेहचे भय धरणे म्हणजे वाईटाचा द्वेष करणे होय. गर्विष्ठपणा आणि उद्धटपणा, वाईट आचरण आणि विकृत भाषण यांचा मी तिरस्कार करते.
14080e00b1	सल्ला आणि अचूक न्याय माझे आहेत; माझ्याकडे अंतर्ज्ञान आणि शक्ती आहे.
14080f00c0	माझ्याद्वारे राजे राज्य करतात, आणि शासन करणारे योग्य तो हुकूमनामा देतात;
14081000da	माझ्याच साहाय्याने अधिपती, आणि थोर—पृथ्वीवरील सर्व नीतिमान शासक अधिकार चालवितात.
14081100f5	जे माझ्यावर प्रीती करतात त्यांच्यावर मी प्रीती करते, आणि जे माझा शोध घेतात त्यांना मी सापडते.
14081200aa	माझ्याजवळ समृद्धी आणि सन्मान, कायम टिकणारी संपत्ती आणि वैभव आहे.
1408130114	माझे फळ शुद्ध सोन्यापेक्षा चांगले आहे; आणि माझ्याद्वारे उत्पन्न झालेले उत्कृष्ट चांदीपेक्षा उत्तम आहे.
14081400ae	मी नीतिमत्वाच्या मार्गाने चालते, आणि न्याय्यमार्गाला धरून राहते,
14081500e0	माझ्यावर प्रीती करणाऱ्यांना मी समृद्ध वारसा देते. आणि त्यांची भांडारे मी भरून टाकते.
1408160108	याहवेहनी त्यांच्या सृष्टी निर्मितीमध्ये, त्यांच्या पुरातन कार्यापूर्वी सर्वप्रथम माझी रचना केली;
14081700bf	अनादिकालापासून माझी रचना केलेली होती. जेव्हा जग अस्तित्वात आले तेव्हाच.
14081800f3	जेव्हा महासागर नव्हते, माझा जन्म झाला होता, तेव्हा ओसांडून वाहणारे झर्‍यांचे पाणीही नव्हते;
14081900ef	पर्वत त्यांच्या जागेवर स्थिर झाले नव्हते, डोंगर निर्माण होण्यापूर्वी माझा जन्म झाला होता,
14081a00d9	त्यांनी पृथ्वी किंवा तिच्यावरील शेती किंवा पृथ्वीवरील धूळ निर्माण करण्यापूर्वी,
14081b0157	त्यांनी जेव्हा आकाशास त्याच्या ठिकाणी स्थापित केले, जेव्हा त्यांनी महासागरावर क्षितिजाची सीमा निश्चित केली तेव्हा मी तिथे होते,
14081c00f9	जेव्हा त्यांनी वर अंतराळात ढगांची प्रस्थापना केली आणि पृथ्वीगर्भातील झर्‍यांना घट्ट बसविले,
14081d0183	जेव्हा त्यांनी सागरांना त्यांच्या मर्यादा घालून दिल्या, जेणेकरून पाणी त्यांच्या आदेशाचे उल्लंघन करणार नाही. जेव्हा त्यांनी पृथ्वीचा पाया घातला,
14081e0137	तेव्हा मी सतत त्यांच्याभोवती होते; दिवसेंदिवस मी आनंदाने भरून गेले होते. नेहमी त्यांच्या उपस्थितीचा आनंद मी घेत होते,
14081f00c5	त्यांच्या संपूर्ण जगामध्ये मी आनंदात आहे आणि मानवजातीमध्ये आनंद करीत आहे.
14082000d4	“आणि म्हणून मुलांनो, माझे ऐका, कारण जे माझी शिकवण आचरतात, ते खूप आशीर्वादित होतात.
14082100a3	माझे शिक्षण कान देऊन ऐका आणि शहाणे व्हा; त्याचा अव्हेर करू नका.
1408220103	जे व्यक्ती माझे ऐकतात ते धन्य आहेत, ते रोज माझ्या दारांवर लक्ष ठेऊन, माझ्या दारावर प्रतीक्षा करतात.
14082300da	कारण ज्याला मी सापडते, त्याला जीवन सापडते, आणि त्याला याहवेहकडून कृपादृष्टी मिळते.
140824012e	परंतु जे माझा शोध घेण्यास चुकतात, ते स्वतःचे नुकसान करून घेतात; जे सर्व माझा तिरस्कार करतात, ते मृत्यूची आवड धरतात.”
14090100a9	सुज्ञानाने आपले घर बांधले आहे; तिने तिचे सात खांब तयार केले आहेत.
1409020109	तिने तिच्याकडील मांसाहारी भोजन आणि तिचा द्राक्षारस तयार केला आहे; तिने तिचा मेजसुद्धा सजविलेला आहे.
14090300e6	तिने तिच्या दासांना बाहेर पाठवले आहे आणि ती नगराच्या सर्वात उच्च स्थानावरून हाक मारते,
14090400e9	“जे साधे भोळे आहेत, त्या सर्वांनी माझ्या घरी यावे!” जे विवेकशून्य आहेत त्यांना ती म्हणते,
140905008f	“इकडे या, माझे भोजन खा आणि मी मिसळलेला द्राक्षारस प्या.
14090600d4	तुमचे साधेभोळेपण सोडून द्या म्हणजे तुम्ही जगाल; अंतर्ज्ञानाच्या मार्गाने चला.”
140907010d	जो टवाळखोराची सुधारणा करतो, तो अपमानास आमंत्रण देतो; जो दुष्टाला धमकावितो त्याला अपशब्द ऐकावे लागतात.
1409080130	टवाळखोरांची कान उघाडणी करू नकोस, नाहीतर ते तुझा द्वेष करतील, सुज्ञ माणसांची कान उघाडणी कर आणि ते तुजवर प्रीती करतील.
1409090121	सुज्ञ मनुष्याला बोध कर म्हणजे ते अधिक ज्ञानी होतील; नीतिमानाला शिक्षण दे आणि ते त्यांच्या शिक्षणात भर घालतील.
14090a00ed	याहवेहचे भय हा सुज्ञानाचा प्रारंभ होय, आणि पवित्र परमेश्वराचे ज्ञान असणे हा सुज्ञपणा होय.
14090b00dc	कारण सुज्ञतेद्वारे तुझ्या आयुष्याचे दिवस बहुगुणित होतील, आणि तू उदंड आयुष्य जगशील.
14090c00fa	जर तू सुज्ञ असशील, तर तुझे सुज्ञान तुला बक्षीस देईल; जर तू टवाळखोर आहेस, तर तू एकटाच यातना भोगशील.
14090d00b6	मूर्खपणा एक स्वैर स्त्री आहे; ती साधीभोळी आहे आणि तिला काहीच समज नाही.
14090e00ce	ती तिच्या घराच्या दारात बसून राहते, तसेच नगराच्या सर्वात उंच ठिकाणावर ती बसते.
14090f00c9	तिच्याजवळून जाणाऱ्या, जे सरळ त्यांच्या मार्गाने जातात, त्यांना ती बोलाविते,
14091000e8	“जे साधे भोळे आहेत त्या सर्वांनी माझ्या घरी यावे!” जे विवेकशून्य आहेत त्यांना ती म्हणते,
14091100a6	“चोरलेले पाणी गोड लागते; गुप्तपणे खाल्लेले अन्न चविष्ट लागते!”
14091200fd	परंतु त्यांना हे माहीत नसते की तिथे मेलेले लोक आहेत, आणि तिचे पाहुणे आता मृतांच्या खोल जगात आहेत.
140a010119	शलोमोनाची नीतिसूत्रे: शहाणा मुलगा त्याच्या पित्याला सुखी करतो, परंतु मूर्ख मुलगा त्याच्या आईला दुःख देतो.
140a0200eb	दुष्टाईने मिळविलेल्या संपत्तीस कायमचे मूल्य नसते परंतु धार्मिकता मृत्यूपासून सोडविते.
140a0300e0	याहवेह नीतिमान मनुष्याची उपासमार होऊ देत नाहीत, परंतु दुष्टांची लालसा ते विफल करतात.
140a04008e	आळशी हात दरिद्री आणतो, परंतु उद्योगी हात समृद्धी आणतो.
140a05012c	जो उन्हाळ्यात धान्याचा संचय करतो तो शहाणा पुत्र होय; परंतु जो कापणीच्या हंगामात झोपून राहतो, तो लज्जेचे कारण होतो.
140a06010d	आशीर्वाद हे नीतिमानाच्या मस्तकावरील मुकुट आहेत, परंतु दुष्ट मनुष्याच्या मुखात हिंसाचार दडलेला असतो.
140a070117	आशीर्वाद देण्यासाठी धार्मिक मनुष्याच्या नावाचा उपयोग करतात, परंतु दुष्ट मनुष्याचे नाव सडून नाहीसे होते.
140a0800e2	सुज्ञ अंतःकरणाचा मनुष्य आज्ञेचे पालन करतो, परंतु मूर्खपणाची बडबड करणार्‍या नाश होतो.
140a0900ee	सात्विक व सरळ जीवन जगणारा निर्भयतेने चालतो, परंतु जो वाकड्या मार्गानी चालतो तो पकडला जाईल.
140a0a00f3	जो दुष्टतेने डोळे मिचकावितो तो दुःखाचे कारण होतो, परंतु मूर्खपणाची बडबड करणार्‍या नाश होतो.
140a0b00d6	नीतिमान मनुष्याचे मुख जीवनाचा झरा आहे, परंतु दुष्टाचे मुख हिंसाचाराचे कोठार आहे.
140a0c00b6	द्वेष कलहास चेतावणी देतो; परंतु प्रीती सर्व अपराधांवर आच्छादन टाकते.
140a0d00ee	बुद्धिमानाच्या ओठावर सुज्ञान वास करते, परंतु विवेकहीन माणसाच्या पाठीला काठीच योग्य ठरते.
140a0e00a4	सुज्ञ ज्ञानाचा साठा करतात, परंतु मूर्खाचे तोंड नाश ओढवून घेते.
140a0f00b1	धनवानाचे धन हे त्यांचे तटबंदीचे नगर आहे, दारिद्र्य गरिबाचा नाश आहे.
140a1000de	नीतिमान मनुष्याचे वेतन जीवन आहे, परंतु दुष्ट मनुष्याचे कमाई पाप आणि मृत्यू हेच आहेत.
140a11010d	जो शिस्तीचे पालन करतो तो जीवनाचा मार्ग दाखवितो परंतु जो सुधारणा नाकारतो, तो दुसर्‍यांची दिशाभूल करतो.
140a1200d0	जो लबाडीच्या ओठांनी आपला द्वेष गुप्त ठेवितो, आणि चहाडी करीत फिरतो, तो मूर्ख होय.
140a1300d8	शब्द बहुगुणित करून पापाचा अंत होत नसतो; पण सुज्ञ लोक त्यांच्या जिभेवर ताबा ठेवतात.
140a140109	नीतिमान मनुष्याची जिव्हा उत्तम चांदीप्रमाणे असते; परंतु दुष्टाच्या अंतःकरणास क्षुल्लक किंमत असते.
140a1500e6	नीतिमान मनुष्याचे ओठ अनेकांचे पोषण करतात; परंतु मूर्ख लोक विवेकाच्या अभावी नाश पावतात.
140a1600da	याहवेहच्या आशीर्वादाने धनसंपत्ती मिळते, त्यासाठी दुःखद परिश्रम करावे लागत नाहीत.
140a1700d2	दुष्कर्म करण्यात मूर्खाला मौज वाटते, परंतु सुज्ञ मनुष्य सुज्ञानात आनंदित होतो.
140a1800d6	दुष्ट ज्याला भितो, तेच त्याच्यावर येईल; नीतिमान मनुष्याच्या इच्छा फलद्रूप होतील.
140a1900e6	वावटळ येते आणि निघून जाते, तसा दुष्ट नाहीसा होतो, परंतु नीतिमान सर्वकाळ स्थिर उभा राहतो.
140a1a00be	जशी आंब दातांस आणि धूर डोळ्यास, तसा आळशी मनुष्य त्याला पाठविणाऱ्यास आहे.
140a1b0104	याहवेहचे भय बाळगल्याने मनुष्याचे आयुष्य वाढते, परंतु दुष्टांच्या आयुष्याची वर्षे कमी केली जातील.
140a1c00ad	नीतिमानाची अपेक्षा त्याला आनंद देते, परंतु दुष्टाची आशा फोल ठरते.
140a1d0108	याहवेहचा मार्ग निर्दोष मनुष्याचे आश्रयस्थान आहे, परंतु जे दुष्कर्म करतात त्यांच्यासाठी तो नाश आहे.
140a1e00d1	नीतिमान लोक कधीही उपटून टाकले जाणार नाहीत, परंतु दुष्ट लोक भूमीवर राहणार नाहीत.
140a1f00e8	धार्मिक मनुष्याच्या मुखाद्वारे सुज्ञानाचे फळ निघते; परंतु विकृत जिभेला शांत केले जाईल.
140a2000ea	नीतिमानांच्या ओठास कृपा कशी मिळवावी हे कळते, परंतु दुष्ट लोकांचे मुख फक्त विकृतीच जाणते.
140b0100d5	खोट्या तराजूंचा याहवेह तिरस्कार करतात, परंतु अचूक वजनांमुळे त्यांना संतोष होतो.
140b0200f4	जेव्हा गर्विष्ठपणा येतो, तेव्हा अप्रतिष्ठा येते, परंतु विनम्रपणामुळे सुज्ञता प्राप्त होते.
140b030108	नीतिमानाचा प्रामाणिकपणा त्यांचे मार्गदर्शन करतो, परंतु दुटप्पीपणा विश्वासघातकी लोकांचा नाश करतो.
140b0400d3	प्रकोपाच्या दिवशी संपत्ती निरुपयोगी असते, परंतु नीतिमत्व मृत्यूपासून सोडविते.
140b050124	निर्दोष मनुष्यांची नीतिमत्ता त्यांचे मार्ग सरळ ठेवते, परंतु दुष्ट लोक स्वतःच्या वाईट कृत्यांमुळे पतन पावतात.
140b060118	नीतिमानाची नीतिमत्ता त्यांची सुटका करते, परंतु विश्वासघातकी त्यांच्या वाईट इच्छांच्या सापळ्यात अडकतात.
140b07012d	मर्त्य मानवांच्या मृत्यूने त्यांच्यावर ठेवलेली आशा नष्ट होते, त्यांच्या बळाने दिलेली सर्व अभिवचने निष्फळ होतात.
140b0800cf	नीतिमान मनुष्याची संकटातून सुटका होते, आणि त्याऐवजी दुष्ट मनुष्य संकटात पडतो.
140b090134	भक्तिहीनाच्या मुखातील शब्दांनी त्यांच्या शेजार्‍याचा नाश होतो, परंतु नीतिमानांचे ज्ञान त्यांना नाशापासून वाचवते.
140b0a011b	जेव्हा नीतिमानांना यश मिळते, तेव्हा नगर आनंदित होते; जेव्हा दुष्टांचा नाश होतो, तेव्हा जयघोषाचा निनाद होतो.
140b0b0105	नीतिमानांच्या आशीर्वादाने नगरास प्रतिष्ठा मिळते, परंतु दुष्टांच्या वक्तव्यांनी नगराचा नाश होतो.
140b0c00f5	विवेकहीन मनुष्य आपल्या शेजार्‍याची निंदा करतो; परंतु सुज्ञ मनुष्य आपल्या जिभेला लगाम घालतो.
140b0d00d2	चहाडी करण्याने विश्वासघात होतो, परंतु विश्वासपात्र मनुष्य गुपित उघड करीत नाही.
140b0e00f4	मार्गदर्शन नसल्यामुळे राष्ट्राचे पतन होते, परंतु अनेक सल्लागार असल्याने विजय प्राप्त होतो.
140b0f012b	अपरिचितासाठी जामीन राहिल्यास निश्चितच नुकसान होते, परंतु जो जामीनकीच्या हात मिळवणी नकार देतो तो सुरक्षित राहतो.
140b1000da	दयाळू अंतःकरणाची स्त्री सन्मान संपादन करते, परंतु क्रूर पुरुष केवळ धन संपादन करतो.
140b1100c1	दयाळू मनुष्य स्वतःचे भले करतो, परंतु क्रूर माणसे स्वतःवर नाश ओढवून घेतात.
140b12010c	दुष्ट मनुष्याला मिळणारे वेतन फसवे असते; परंतु जो नीतिमत्तेचे बीज पेरतो त्याला निश्चितच बक्षीस मिळते.
140b1300f1	खरोखरच नीतिमानाला जीवन प्राप्त होते, परंतु दुष्कर्मांच्या मागे लागणारा मृत्यू ओढवून घेतो.
140b140119	याहवेह विकृत अंतःकरणाच्या लोकांचा तिरस्कार करतात, परंतु निर्दोष मार्गाने चालणारे त्यांना प्रसन्न करतात.
140b15010e	याची खात्री असू दे: दुष्टाला शिक्षा झाल्यावाचून राहणार नाही, परंतु जे नीतिमान आहेत त्यांची सुटका होईल.
140b1600ae	विवेकहीन सुंदर स्त्री जणू डुकराच्या नाकातील सोन्याची नथच समजावी.
140b1700db	नीतिमानाच्या इच्छेचा परिणाम चांगलाच असतो, परंतु दुष्टाची आशा केवळ प्रक्रोपच आणते.
140b180118	एक मनुष्य सढळ हाताने देतो, तरी देखील तो समृद्ध होतो, दुसरा मनुष्य दान देणे उगाच नाकारतो आणि तो दरिद्री बनतो.
140b1900f0	उदार मनुष्याची समृद्ध होईल; आणि जो दुसर्‍याला प्रोत्साहित करतो, तो स्वतः प्रोत्साहित होईल.
140b1a013e	जो धान्य अडवून ठेवतो, त्याला लोक शाप देतात, परंतु जो विकण्यास इच्छुक असतो, त्याच्यासाठी लोक आशीर्वादाची प्रार्थना करतात.
140b1b011b	जो चांगल्या गोष्टींचा शोध घेतो त्याला कृपा प्राप्त होते, परंतु जो वाईटाचा शोध घेतो त्याला तेच प्राप्त होते.
140b1c0100	जे आपल्या संपत्तीवर भरवसा ठेवतात, तो नाश पावतील, परंतु नीतिमान मनुष्य हिरव्या पानाप्रमाणे बहरेल.
140b1d012e	जो कोणी त्याच्या कुटुंबाचा नाश करतो, त्याला वारसा म्हणून केवळ वारा मिळेल, आणि मूर्खाला शहाण्याचा दास व्हावे लागेल.
140b1e00ac	नीतिमानाचे फळ जीवनाचा वृक्ष होय, आणि जो सुज्ञ आहे तो आत्मे जिंकतो.
140b1f010d	जर नीतिमान लोकांना पृथ्वीवरच प्रतिफळ मिळते, तर मग अनीतिमान व पापी लोकांना किती मोठ्या प्रमाणात मिळेल!
140c0100f4	जो अनुशासन प्रिय असतो, त्याला ज्ञान प्रिय असते, परंतु ज्याला सुधारणा अप्रिय आहे, तो मूर्ख होय.
140c02010b	नीतिमान लोकांना याहवेहची कृपा प्राप्त होते, पण दुष्ट योजना रचणार्‍या मनुष्याला याहवेह दोषी ठरवितात.
140c0300e4	दुष्टाईने मनुष्य जीवनात स्थिर होत नाही, परंतु नीतिमानाचे मूळ कधीही उखडले जाऊ शकत नाही.
140c040136	सद्गुणी स्त्री ही आपल्या पतीला मुकुटासारखी आहे, परंतु लज्जास्पद आचरणाची स्त्री त्याच्या हाडातील कुजकेपणासारखी आहे.
140c0500b9	नीतिमान मनुष्याची योजना न्याय्य असते, परंतु दुष्टाचा सल्ला कपटी असतो.
140c0600ea	दुष्टांचे शब्द रक्तपात करण्यासाठी टपून बसतात परंतु नीतिमानाची वाणी त्यांची सुटका करते.
140c0700de	दुर्जन उलथून टाकले जातात आणि ते नाहीसे होतात, परंतु नीतिमानाचे घराणे स्थिर उभे असते.
