2800000006	Methiu
2c020a008c	chiih è, Phrygia nane Phamphylia, chiih è, Egyph nane libya pha thiig duchoi Syrene ithua moe pha thiig pho ro. Gethek giak ne Rom pho ro,
2c020b00e7	Jewthek nane Gaibranthek, hanyiethek yi Judaism shii dun pho, chiih è giak ne Khrede nane Arabia pho, jimagunde, gethek zab è gathek pha nyuak è Hamangkhung-aphuii è bajo boh bliathek rek phi phajithek yao pha yoi ramuii ro.”
2c020c004c	Buang ne anomuluii pha awaithek chung sai rai, “Hì ne nyie rey phiiga?”
2c020d0073	Jimagunde giak è ne migiphothek shii siakjo srane yao, “Hì thek pha branthek ne phuii niing ne thiig ara ro!”
2c020e00d6	Jishii, Phithar ne guaphasamoy snajia rog shii jao srane branthek shii ziak ne yao mage: “Jerusalem shii rai pho gu ijak Jewthek wo! Gu miyao hì nuii mage bo! Hì ne nyie rey pha ji nathek shii yao riig haro.”
2c020f0068	Nathek munow duiine hìthek pha branthek phuii athiig ro, nyieliieshii thuh ne hamiang ishak dige ba ro.
2c02100039	Hìthek rey phane Joel chaig pha bran miyao ji duiine ro:
2c02110104	“Hamangkhung-aphuii è yao” Ishak jong sha pha rey shii gu è nyie rek phi pha um ga gu è zab bran shii Ragung phi ruii phro. Na dufuii, dimithek de gu mua hì yao ruii phro; na filiaothek de chaig ruii phro, chiih è, wegthek de ibangthek bang ruii phro.
2c02120057	Gu khiaothek, nane gu kheaomuiithek, gu è Ragung phi ruii ne gu mua hì yao ruii phro.
2c021300bd	Gune hamang luii hà de buangthek pha bliathek rek ruii phro, sohnyiak bucho hà de anomuluii pha blia rek phi phro. Thiichiih shii ne ifai, ne, bai hòi ne bai mukham de bo thab ruii phro.
2c0214007d	Ithong pha boh nane lubo inai thog ba, pha ibi shii ne hanai de giia rey ruii phro, habie de ifai duiine shaig rey ruii phro.
2c02150063	Ji pha ishak shii ne, Hanyie è Ithong shii nong rek yi pha ho arone, aishii ne ragia rek phi phro.
2c02160118	Hì pha miyaogamthek yoi mage bo, gu ijak Israelith pho wo! Nazareth pha Isu ne riichai so um pha bran rone doh pha ne Hamangkhung-aphuii è buangthek nane anomuluii pha bliathek rek pha è doh dun ro. Hìthek rey pha ne nawaithek duchoi shii rey pha ji è nawaithek de thiegjong.
2c02170082	Hamangkhung-aphuii pha munow duiine Isu shii ne nathek shii phi srane layog pha branthek pha muyung ji nuii ne zun ne ua maphi ro.
2c02180090	Jimagunde Hamangkhung-aphuii è Isu shii awai blu è hòi din yi dun ro, nyieliieshii, iy pha riichai ne Isu shii phatheg rek ne achab mua phro.
2c021900a3	Nyieliiene, Dawid è ai chiang yao jong ro, Gu è, Hamangkhung-aphuii ne, gu ibi shii idang um pha doh jong ro, Ai ne gu moe shii um pha ji è gune diig arey phro.
2c021a00a1	Ji-è, gune bajo sang pha è ley dun ro, gu miyaogamthek ne jong pha lubo yao dun ro. Chiih-è gune, iy pha bran habuii shii, dinne sieng pha luthong mua din ro,
2c021b0076	nyieliieshii, na è gu shii iy pha sohjambling hà athoh phro; Na è nawai khiao isiie shii wieng shii ashong yi phro.
2c021c0073	Na è gu shii ne idang chai um pha lumuii doh yi jong ro, Na gu rog shii um pha ji è gune bajo sang din ruii phro.
2c021d008c	Gu ijakthek wo! Yoi bo, gune nathek shii bajo thieg pha gethek blang Dawid Saja. Ai iy dun ne wieng pha wieng de sudoh ichiih shii um ba ro.
2c021e00e6	Ai ne chaig pha bran ro, chiih è, Hamangkhung-aphuii è ai rog shii sbang rek pha ji ne thieg muii ro: Hamangkhung-aphuii è Dawid riing è saja rek pha sbang jia rek marui, na riing è Dawid duiine Saja jia khia khlei ruii phro.
2c021f00ce	Dawid Saja ne Hamangkhung-aphuii mirek jithek doh marui, jiè ai è Isu Masi hòi din pha miyao ji yao marui, Aishii ne iy pha sohjambling ji è ajoi mua ro; Ai iy pha siu ne wieng bucho shii ashong dun ro.
2c02200057	Hamangkhung-aphuii è Isu ne hòi din phi, ji pha blia ne gethek è khagi rek jong dun.
2c022100ff	Aishii ne Hamangkhung-aphuii, awai Aphuii è hòi din yi ne awai phawig moe shii dug yi jong ro, jiè ai ne Aphuii è khi è rek ne sbang ruii pha duiine Ragung So mua dun ro. Nathek è nyie doh ne yoi pha ji ne ai lasen ro, ai è gethek shii thoi phi ro.
2c0222007e	Hì ne Dawid Saja è hamangkhung dun ne rek pha asi pha yi ai è yao, Ithong è gu Ithong shii yao: Gu phawig moe shii dug bo!
2c02230064	Gu è naro suang pho shii na lai luii shii arek sapho shii ne gu phawig moe shii dug ne rai yi phro.
2c02240090	“Israel pha branthek wo! Hì ne thieg mage bo, nathek è zun ne ua pha Isu hì ne Hamangkhung-aphuii è gethek Ithong nane Masi rab phi ro.”
2c0225009f	Branthek è ji yao pha yoi ne zab diig now srane Phithar nane gai guaphasamoy shii wuii ne sai, “Khuiinothek wo! Ji arone, gathek ne nyie rek chid phiiga?”
2c022600d2	Phithar è ithek shii yao, “Nathek de nawaithek layog rek pha blia ji thoh srane Isu Masi beng è khowo yi bo! Chiihphado, nathek layog de khung phi srane Hamangkhung-aphuii pha lasen Ragung So mua ruii phro.
2c022700e8	Nyieliieshii, Hamangkhung-aphuii pha sbang ne nathek shii de, chiih-è nathek pha aniphiing shii de, chiih è, bajo ruang phothek shii de, hanyie shii Hamangkhung-aphuii è awai rog shii rai pha ho pho shii de rek ne ruiijong ro.”
2c02280094	Phithar è branthek shii bajo gai miyaogamthek è de yie ne yua, “Layog rek pho shii diig thog ruii pha ji è nawaithek shii ragia rek iang bo!”
2c022900a5	Ji è yao mage shii, bran giak è ne ji pha mua ne izai now gieng ne khowo phi yi, chiih è, ji phado shii itham uom pha branthek de ji pha ibrog shii dog gieng dun.
2c022a008f	Ithek ne ishak phi ne guaphasamoy miyao nuii. Chiih-è, ò si rai pha wuii gieng srane sia pha michiethek thang ne chie srane sia ne rai gieng.
2c022b0067	Guaphasamoy è bajo wieng pha bliathek nane anomuluii pha bliathek rek mage ne branthek ne zab rum dun.
2c022c0078	Migipho ne awaithek chung shii athohdang pha ò wuii srane sia ne awaithek shii nyie um pha ji awaithek chung thang rai.
2c022d006c	Awaithek pha nuruii, soh raig um pha thek chong liu srane bang jithek ne khinyama jia chid pha ji thang rai.
2c022e006f	Inai tham ne ithek ne Misiahò hà ò si rai, chiih è, awai hò hà jum rek ne sang ne michiethek chie ne rai.
2c022f00a0	Hamangkhung-aphuii shii laso phi ne awaithek chung de wie now pha ji lubo rek rai. Ji pha Ithong è inai tham ne hanyie ragia rey jong pho ne ithek rog dog phi.
2c03010063	Inai jia pha habjuang ishak uom shii, Phithar nane Jon ne Misiahò hà sia pha ishak shii wuii dun.
2c030200d2	Thiichiih shii bajo khie gak jia um pha moe shii giak dang pha è laikhi-èg pha bran jia idang thiichiih shii noh ne dug yi srane Misiahò bucho wuii pha branthek shii bang lia pha khan ne rai pha jia um iang.
2c0303005a	Ji pha bran è Phithar nane Jon shii iliing wuiiramuii pha doh mage ne bang phi bo ne lia.
2c0304005b	Ithek ne aishii miang è riig chiih-è Phithar è aishii yao, “Gasa shii riig mage bo!”
2c03050043	Ji-è, ji pha bran ne bang ìujia mua pha luthong ne isa shii riig.
2c030600db	Ji è riig magungde Phithar è aishii yao, “Gu shii ne bang ìujia de oi ro, jimagunde, gu shii nyie um pha ji na shii phi ruii phro: Nazareth pha Isu Masi beng è gu na shii yung phro, na ne jai srane lua mage bo!”
2c030700a6	Ji è yung srane Phithar è phawig wad è nong ne aishii chaing ne riu yi. Ji è yao dang pha ji shii ji pha bran pha lai nane laikhimiegthek ne gang rey dang dun ro.
2c030800c1	Ai ne biung srane awai lai è riu mage ne shan ne lua mua dun. Ji è rey ched mage ne ji pha bran de ithek rog shii Misiahò hà wuii gieng ne lua ne, biung ne Hamangkhung-aphuii shii laso phi.
2c03090042	Branthek è ai ne lua ne Hamangkhung-aphuii shii laso phi pha doh,
2c030a00db	ai ji è rek pha ji ne thiichiih pha branthek è doh ne thieg srane, ai ne bajo khie pha gak shii um pha chayem bran rone ithek è thieg dun ne aishii nyie rey pha ji riig ne zab wiengphleg dun ne anomuluii pha rey dun.
2c030b0090	Bran ji è Phithar nane Jon shii kho ne Solomon è rab pha ithua shii riu mage shii, branthek ne wiengphleg ne ithek moe shii riig pha ran thog.
2c030c0104	Phithar è branthek shii doh mage ne branthek shii yao, gu ijakthek wo! Nathek ne nyie rek ne wiengphleg dun phlei? Chiih è, nyie rek ne gathek shii mieg rua riig phlei? Nathek ne hì pha bran lua mua phi phane gathek è chid pha blu um ne rek mua è now bey?
2c030d014c	Abraham ro Hamangkhung-aphuii, Isakh nane Jakhob gethek ro blang Hamangkhung-aphuii è awai khiao Isu shii hì so biisiie phi ne ruiijong ro. Jimagunde, nathek è aishii ne thiig pha riichaithek wad shii phi muii, chiih-è, nathek è aishii athieg rone Philathus moe shii de snai srane Philathus è aishii doh pha rek de adoh yi ro.
2c030e00a7	Ai ne so nane wie pha bran habuii shii, nathek è aishii snai muii, nathek è ai chiang shii branthek uapho pha bran ji shii haro han ne Philathus shii lia ne thoh yi.
2c030f009b	Hanyie è chai shii dumuii rek pha bran shii ne nathek è ua muii. Jimagunde, Hamangkhung-aphuii è aishii hòi din yi. Gathek ne ji pha blia pha khagi ro.
2c031000f0	Ji pha ibeng è sudoh hì pha blu phi ne laikhi-èg pha bran hì ne gang dun ro. Nathek è nyie riig ne thieg phane ai beng shii izai now ne ji mirey ro; Hì ne Isu shii migi now mage ne ji mugang yi ro, Ji ne nawaithek de nyariig mua phro.
2c03110092	“Ji-è, gu khuiinothek wo! Gune thieg muii ro nathek nane nathek pha ilkhi rek phothek è Isu shii nyie rek pha ji ne athieg pha rek muii ro.”
2c0312008c	Buyo shii Hamangkhung-aphuii è zab chaig phothek shii yao jong ne ruii, Masi ne diig rek chid phro, ji izai rey yi pha ai è ji rek phi ro.
2c0313006f	Nathek de zo srane Hamangkhung-aphuii shii khid din mage bo, chiihphado, nathek ro layogthek de khung phi phro.
2c031400a8	Nathek de ji rek arone, Ragung So pha ishak ne Ithong è thog ruii phro, chiih è, ai è Isu shii doh ruii phro. Ai ne Masi ro! Ai ne nathek chiang gua jong ne ruii ro.
2c031500c2	Ji è, Hamangkhung-aphuii è buyo buyo shii rai pha awai chaig gang pho shii yao marui pha duiine, ai ne ichiih soh khung shii zab wo rey ne athog ba sapho shii ne hamangkhung hà rai chid phro.
2c031600f2	Moses è yao marui, Ithong, nathek pha Hamangkhung-aphuii è gu shii khi-è rek ne thoh pha ji duiine nathek shii awai chaig jia doh ruii phro, ai ne nawaithek pha bran phro. Nathek ne ai è nyie yao phajithek zab nuii ne rek yi pha yao phro.
2c03170067	Hanyie thek è ji pha chaig miyao anuii pho ne Hamangkhung-aphuii pha branthek è yo che ne iy yi phro.
2c03180090	Chiih è zab pha chaigpho è yao muii ro, chiih-è Samuel è lua ne, chiih-è hanyie ai è idoh wuii phothek è de sudoh nyie rey pha ji yao ro.
2c03190135	Hamangkhung-aphuii è chaigpho shii yao ne sbang phi phane nathek chiang phi phro, chiih-è, nathek è nawaithek pha riingthek shii Hamangkhung-aphuii shii zen pha shiinyie ji sudoh thang jong ro. Ai è Abraham shii yao pha duiine, “Gu ne, na riingthek è, sohnyiak pha branthek shii, khirzey phi ruii phro.
2c031a009c	Ji-è, Hamangkhung-aphuii ne gua pha awai khiao jia doh bi ne nathek shii khirzey phi yi srane naithek shii nawaithek layog lumuii è thadoh dun yi phro.”
2c0401008e	Phithar nane Jon ne branthek shii jithek yao ramuii shii, phabithek, Misiahò pha sandrithek pha ilkhi pha ophispho nane Sadusithek wuii thog.
2c04020090	Ithek ne guaphasamoy nyi è Isu ne iy ne hòi din phro izey pha ji duiine hòi jong ro è yao ne yua pha ji doh ne bajo lubu hòi ne lijieg dun.
2c0403008a	Ji-è, ithek ne ithek shii zum srane hamiang arey ba sapho ne phatheg hà chab ne ruii muii. Nyieliieshii, ji pha doh ne biak jong dun ro.
2c0404008e	Ji è rek magungde, khinyama pha bran è ji pha mua yoi pho ne ji migi now dun, ji è, ji pha idoh shii branthek ne itham guii huak ne um dun.
2c0405007a	Ji pha thimiang duii shii, Jewish pha dumuiithek, dukhothek nane Ipheythek yua pho Jerusalem shii khrab ne wuii thog ruii.
2c04060073	Ithek ne Kho Phabi Anas nane khaiaphas, Jon, Alezendar, chiih-è Kho Phabi pha gai haliingpho shii si pha wuii dun.
2c040700bd	Ithek è guaphasamoy shii limiang moe shii riu yi srane sai, Nasa ne hì rek phane khi-è mua phlei? Khi-è rek pha riichai mua ne um lei? Chiih è, hanyie beng è yie ne ji rek mua phiiga?
2c04080059	Phithar è Ragung So mua ne ithek shii chang, branthek shii dumuiithek nane dukhothek wo:
2c0409007f	Nathek è gathek shii sudoh hì pha laikhi-èg pha bran shii khi-è rek ne gang phi pha blia wie pha chiang è miyao sai arone,
2c040a00ff	nathek de sudoh shii thieg dang bo, chiih-è, Israel pho de sudoh shii thieg dang bo, hì pha bran ne gang ne riu mua pha ne Nazareth pha Isu Masi, hanyie shii nathek è zun ne ua maphi habuii shii Hamangkhung-aphuii è hòi din yi pha ibeng re-è rey ro.
2c040b008b	Isu è jigigam shii zey pha duiine ro, “Khi pha lubao shii chan hò khimphothek è snai muii pha ji ne bajo chid pha lubao rey dun ro.”
2c040c008e	“Giawo ne awaiji shii um bie ro; Hamangkhung-aphuii è gethek shii ragia rek pha ichiih sohjambling shii hanyie shii de aphi ne aruii ro.”
2c040d00db	Thiichiih um pha limiangthek ne Phithar nane Jon è chua mua ne yao pha ji doh mage ne bajo wiengphleg dun, nyieliieshii, ithek ne jigi azey pha bran ro. Ithek è ithek ne Isu rog shii rai gieng pha bran rone thieg dun.
2c040e0079	Jimagunde, ithek shii nyie de ayao mua pha rai dun, nyieliieshii, gang pha bran ji ne isa rog shii riu ne rai ne um iang.
2c040f0069	Ji-è, ithek è isa shii ji pha limiang ùgud thoh ne fuang wuii ge srane awaithek chung phak ne sai rai,
2c041000d4	“Gethek ne hì pha bran nyi shii ne nyie rek sha pha um ga?” “Jerusalem pha zab branthek è bajo wiengphleg pha blia hì ne isa mirek rone thiegjong dun ro, gethek ne hì pha blia ne asi rone ayao mua phro.
2c04110083	Jishii, hì pha mua ne hanyie de ayoi yi pha gethek ne isa shii Isu beng è khuchung magungde ayao yi pha gak ne ruii pha um ro.”
2c04120079	Ji è phak ched ne ithek è isa shii thadoh ho din srane yao, khuchung magungde nathek ne Isu beng yao ne ayua dang rabo.
2c0413011e	Ji è gak magungde, Phithar nane Jon è ithek shii chang, “Nathek ne nawaithek lubu shii nowbthan ne chua mage bo, Hamangkhung-aphuii moe shii nyie miyao ji ne izai bey? Nathek miyao ji nuii ne rek shii wie pha um bey? Asi, Hamangkhung-aphuii miyao ji nuii ne rek shii wie pha um bey?
2c04140054	Ji è, gathek ne gui thek è nyie doh, nyie yoi phajithek ayao pha arai mua phro.”
2c041500fc	Jithek nuii srane limiangthek è ithek shii wie phriie srane sey ne thoh ge. Limiangthek ne isa shii lago ne aphi mua pha um, nyieliieshii, branthek ne Hamangkhung-aphuii è nyie rek phi phajithek shii bajo sang ne Hamangkhung-aphuii shii laso phi dun.
2c0416004b	Hanyie shii wieng dang pha gang phi pha bran ji ne idam sawi sieng jong ro.
2c041700a5	Phithar nane Jon ne sey ne thoh dang shii, awaisa pha ijakthek rai pha ithua hà dun thog srane boh phabithek nane thiig pha dukhothek è nyie yao phajithek yao phi.
2c041800a6	Ithek è jithek yoi mage ne awaithek chung khrab srane Hamangkhung-aphuii shii sia: hamangkhung, sohnyiak, kho nane thiichiih shii nyie um phajithek rab pha Masdo wo!
2c041900a6	Ragung So è gathek blang pha Dawid, nawai khiao è yao ne ruii, ai Gaibranthek ne nyie rek ne lijieg phlei? Nyie rek ne branthek awaithek shii adunmey pha rek phlei?
2c041a0099	Sohnyiak pha Sajathek ne awaithek saro ne nung rai dun, chiih è, bohkhohphothek ne awaithek chung khrab srane Ithong nane airo Masi shii gidieg rek noh.
2c041b00ac	Ji duiine Herod nane Phonthius Philath ne Gaibranthek nane Israel pho rog shii dog srane Isu shii, na ro khiao so, hanyie shii na è Masi rab pha ji shii gidieg rek dun ro.
2c041c006c	Ithek ne ò khrab srane nawai riichai nane nawai è khi-è rey pha phak jong pha ji rek pha surui ramuii ro.
2c041d006d	Ji-è, Ithong wo! Ithek è phriie pha ji riig srane, nawai khiao gathek shii na mua ji yao pha lububo phi bo.
2c041e009d	“Nawai wad yie srane nawai khiao so Isu beng è rad pho shii gang yi pha, anomuluiithek pha nane buangthek pha bliathek rek mua yi pha chua phi mage bo.”
2c041f00b9	Ithek è ji sia pha jong ched mage shii ithek dug ne sia pha ithua ne sham dang dun, ithek zab ne Ragung So è ley dun, chiih-è jao ne boh now ne Hamangkhung-aphuii pha mua ji yao dun.
2c0420009b	Ji pha migipho ne ò jia now ne rai bie dun. Zab è awaithek khinyama pha nuruii um ne de awaithek hanyie hanyie ro ayao dang pha awaithek chung thang rai.
2c04210088	Ji pha guaphasamoy ne bohblu um dang ne Isu hòi din pha mua ji yao ne rai phi ne Hamangkhung-aphuii è ithek shii bajo khirzey phi dun.
2c0422009d	Ji pha phrag shii ne nyie de chid phane oi sha, hanyie shii raig um ne de, hò um ne de zab chong rek ne khinyama pha bang mua pha ji ne thiichiih yi ne phi.
2c04230085	Chiih è, jithek ne guaphasamoy shii zid phi; ji pha bang ne samoythek è awaithek shii nyie khi è chid pha ji riig srane thang rai.
2c042400bc	Chiih è jine Joseph ro, hanyie yi Khaiphrus hà giak pha Lewithe ro guaphasamoy è Barnabas beng pha jia ro, (ji pha ibeng ne “Hanyie è luthong phi pha bran rone ibeng pha bran ro”),
2c04250052	Awai raig ithua chong rek muii srane bang mua pha ji ne guaphasamoy shii phi muii.
2c0501006c	Jishii, thiichiih shii Ananias beng pha bran jia de awai yiy Saphira rog shii awai ro nuruii chong rek muii.
2c0502006a	Jishii, awai yiy rog shii phak srane ji pha bang ne giak ne ug ne ruii marui ne guaphasamoy shii phi thog.
2c0503009e	Ji è rek shii Phithar è sai, “Ananias, na ne nyie rek ne Sakhathong è yang yi ne na nuruii è mua pha bang khuyo ug srane Ragung So moe shii khlam phlei?
2c050400e0	Ji pha nuruii ne chong arek ba pha ibi de nawai ro chag, chiih-è, chong rek ched ne mua pha bang de nawai ro chag ro. Na ne ji nyie now ne rek phlei? Na ne bran shii khlam pha asi pha yi Hamangkhung-aphuii shii khlam ro.”
2c05050074	Ananias è ji è yao pha nya yoi dang mage shii thud ne iy dun; chiih-è, thiichiih um phothek de ji yoi ne rum dun.
2c0506004f	Filiaothek wuii srane iy pha siu shii yung jiang srane fuang noh ne wieng muii.
2c0507006a	Ji è rey ched ne ishak uom pha idoh è nyie rey dun pha ji athieg pha ai yiy de thiichiih wuii thog ruii.
2c050800d9	Phithar è aishii de sai, “Na ne gu shii izai yao mage bo, hì pha bang ne na gey nasa è chong rek ne nyie mua pha ji chag bey?” Ai è chang, “Hì ne ji chag bie ro,” “Zab pha bang ne hìnyia jia bie ro.”
2c050900dd	Ji è, Phithar ne aishii yao din, “Na gey nasa ne nyie rek ne Ithong pha Ragung shii chai ne riig phlei? Na gey shii wieng pho ne thuh de habin shii thog ne riu ba muii ro, ithek è na shii de wieng pha noh dun phro!”
2c050a00b6	Ji è yao dang pha ji shii ai de Phithar lai luii shii thud ne iy dun. Filiaothek è biisa wuii srane ai iy dun pha ji de doh mage ne fuang noh ne ai gey moe shii chog ne wieng muii.
2c050b0065	Ji è rey pha mua yoi mage ne chiihphado shii charchthek hanyie è ji doh pho ne bajo rum ne rai dun.
2c050c00a3	Guaphasamoythek buangthek nane anomuluiithek dang pha bliathek ne branthek moe shii bajo rek ruii. Migiphothek ne Solomon murung marui pha hò bucho hà si ne rai.
2c050d0077	Branthek è ithek chiang khinyama dog yao mua magungde, fuang pha bran brog ne hanyie de ithek rog shii adog mua gieng.
2c050e007d	Jimagunde, inai tham ne bran bajo bajo dog dun bajo hò-aphuii, hò-amuii hanyie thek è Ithong shii Migiphothek mudog gieng.
2c050f00a8	Guaphasamoy è nyie thek rek pha ji doh ne branthek ne Phithar lua mage shii Phithar pha ragia è doh yi pha rad pho shii noh srane lumuii hà lawiao wiao ne thiang yi.
2c05100086	Jerusalem bajarai pha bran brogthek de bran rad pho nane ibuii ragung è jiang pho shii noh ne bajo wuii thog ruii. Ithek de gang dun.
2c051100a1	Ji è rek mage ne, boh phabi jia nane airo ijakthek, Sadusithek pha ijakthek è guaphasamoy shii bajo miegriie dun; ji-è, ithek ne diig phi pha nung ne yao rai.
2c0512003a	Ithek è guaphasamoythek shii zum srane phatheg chab muii.
2c0513009f	Jimagunde, ji pha ibiu shii Ithong pha Hamangkhung pha hamangkhliie thek phatheg ji pha habin hong phi ne guaphasamoythek shii fuang dun yi pha rek phi ne yao,
2c05140066	“Fuang dun mage ne Misiahò hà wuii srane hì pha iwo chai mua pha ji branthek shii yao mage bo.”
2c05150149	Guaphasamoythek de ji nuii ne dun dun. Chiih è, hamiang hanai chiu shii, Misiahò hà wuii srane yua din. Kho Phabi nane ai ijakthek è Jewish pha dukhothek shii limiang jung yi pha ho ne maley rek. Maley rek ched ne ithek è ji pha phatheg bucho shii chab pha guaphasamoythek shii ithek moe shii noh mage bo ne yung ne thoh ge.
2c051600a7	Jimagunde, phatheg pha sandrithek è thiisa thogmage shii guaphasamoythek ne phatheg bucho hà um iang pha adoh. Ji è ithek ne limiang shii idoh dun din srane phosro,
2c051700e8	“Gathek ne phatheg pha moe thog shii, phatheg pha habin ne chuh è bin ne um iang. Thiichiih pha sandrithek wie riu ne um iang ro. Jimagunde, gathek è habin hong ne bucho wuii thog ne riig shii hanyie de bucho shii oi iang ro!”
2c05180089	Boh phabithek nane phatheg pha sandri pha ophispho è ji yoi mage ne guaphasamoythek ne nyie rey dun lei è now ne anomuluii pha rey dun.
2c051900a7	Ji è rek shii bran jia wuii thog srane ithek shii yao, “Hanyie shii nathek è zum srane phatheg chab muii pha ji ne Misiahò hà branthek shii yua din ramuii ro!”
2c051a00ef	Ji è, ophispho jia è awai bran pho noh ne guaphasamoythek shii idoh noh thog din. Ithek è guaphasamoythek shii bangchiie è anoh mua, nyieliieshii branthek bajo um dun pha ji è yang ne branthek è ithek shii lubao chao mage è now dun.
2c051b0074	Ithek è guaphasamoythek shii bucho hà noh srane limiang moe shii riu ba yi, chiih-è, Kho Phabi è ithek shii sai,
2c051c0104	“Gathek è nathek shii ji pha bran beng yao ne ayua rabo phriie ne ruiijong habuii shii, riig mage bo, nathek è nyie rek din phiiga! Nathek ne Jerusalem pho shii mua hì zab yao muii ro, chiih-è nathek ne ai iy pha gaja ne gathek shii the yang muii bey!”
2c051d006c	Phithar nane gai guaphasamoythek è chang, “Bran miyao asi pha yi Hamangkhung-aphuii miyao nuii chid phro.
2c051e0087	Nathek è sharo è hing bai shii phey srane zun ne ua muii pha Isu shii gethek pha blangthek pha Hamangkhung-aphuii è hòi din phi ro.
2c051f00d9	Hamangkhung-aphuii è aishii hòi din phi srane awai phawig moe shii dumuii nane ragia rek pha bran rab ne ruii ro, nyieliieshii, Israel pho shii awaithek layog lumuii è thadoh riie ne dun yi ne layog khung phi phro.
2c052000b8	Gethek ne jithek rey phane riig pho ro, gathek nane Ragung So, hanyie thek ne Hamangkhung-aphuii pha lasen ne hanyie è ai miyao nuii phi phajithek ne ji rey pha miyao thieg mua ro.”
2c0521005f	Limiangthek è ji chang pha yoi mage ne bajo lijieg srane guaphasamoythek shii ua muii pha now.
2c052200b0	Jimagunde, branthek è bajo wie now pha, Gamaliel beng ne Iphey yua pha bran jia thiichiih pha limiang duchoi shii jai mage, ai è guaphasamoythek shii fuang noh bi bo è yung.
2c05230088	Chiih è, limiang shii yao, “Gu ijak Israel pho wo! Nathek ne hìthek pha bran shii nyie rek pha now pha ji ne wie nowbthan ne rek bo.
2c05240103	Nathek de now luii bey! Buyo shii Theudas beng pha bran jia khia khlei ne awaishii bajo boh pha bran ro è yao, chiih-è, branthek de ai rog shii wieng wi dog gieng. Jimagunde aishii ne ua muii, airo samoythek de zab yo dun ne ai mulua pha lumuii ji sand dun.
2c052500b3	Ji phadoh è de Galili pha Judas yi sathang tham pha ishak shii khia srane bajo branthek de ai rog shii dog gieng dun, jimagunde, aishii de ua maphi, airo samoythek de zab yo dun.
2c052600d3	Ji-è, gang nathek shii yao phro, hì è rek pha miyao shii ne hìthek pha bran shii diig phi pha anow rabo. Ithek shii thoh muii bo! Ithek mirek ji yi bran munow pha è dong arone, awailum ne nya sand dun phro,
2c052700e2	Jimagunde, hì ne Hamangkhung-aphuii è dun ruii arone, nathek ne ithek shii ayang mua phro. Nathek ne nawaithek shii Hamangkhung-aphuii rog shii gidieg suang rek pha nyadoh ruii phro!” Limiang è Gamaliel pha miyao nuiidun.
2c05280064	Guaphasamoythek shii iliing ho srane chia ne zuang bi ne Isu beng ayao yi sha pha phriie ne thoh ge.
2c0529009d	Guaphasamoythek ne limiang thoh ne fuang dun thog shii bajo sang dun, nyieliieshii, Isu chiang è diig rek phane Hamangkhung-aphuii è ithek ne bajo san dun.
2c052a0079	Inai tham ne Misiahò nane branthek hò bucho hà de ithek ne athodang pha Isu Masi pha Mua Wie ji yao yua ne rai dun ro.
2c060100e2	Ìujia idoh shii, samoythek ne bajo rey ne dog mage shii Grekh yao pho Jewthek nane buyo è Jewthek yao ne ruii pho chung gui rai dun. Grekh yao pho Jewthek è yao, ithek misiungthek shii ne miithan ne athang pha snai muii ro.
2c060200ac	Ji è yao mage ne, guaphasamoythek snanyi è zab migiphothek shii ho ne maley jung srane yao, “Gethek ne Hamangkhung-aphuii miyaogam ji snai srane bang kho phane awie ro.
2c06030090	Ji-è, khuiinothek wo! Nathek ne hanyie shii Ragung So um ne wie thieg pho shii ilkhi rab pha mile gua srane ji pha blia rek yi pha phi mage bo.
2c0604005e	Gethek ne, gethek shii sia pha nane miyao yua pha blia shii ishak zab phi ne rek chid phro.”
2c0605015b	Ji pha bran brogthek ne guaphasamoythek muyua ji wie than ne ji rek yi pha ilkhithek gua ne ruii phi. Jithek ne Sthephen, hanyie shii bajo migi nane Ragung So um pha bran, chiih-è, philiph, Phrochorus, Nikhanor, Thimon, Pharmenas nane Nikholaus Anthioch pha Gaibran, hanyie è Isu shii migi anow ba pha ibi shii Judaism shii migi now pha bran ro.
2c06060090	Ji pha bran mile shii guaphasamoythek moe shii noh thog ruii, ji-è, guaphasamoythek è ithek khrug lakhung shii wadthek khoh ne sia ne thoh ge.
2c060700a1	Ji è rek ne Hamangkhung-aphuii miyaogam ne athodang pha shiie thog dun. Jerusalem shii samoythek ne bajo dog thog dun, chiih-è, Phabithek de migi now thog dun.
2c06080090	Sthephen ne, Hamangkhung-aphuii è khirzey bajo phi ne blu ley um srane boh buangthek ne anomuluiithek pha bliathek ne branthek duchoi shii rek.
2c06090119	Ji è rek ne rai magungde, thiichiih shii Jewthek misiahò pha sey ne thoh pha branthek è aishii gidieg rek noh dun (hì ne ho pha duiine). Ithek ne Syrene nane Alezendria pha Jewthek ro. Ithek nane Khilisia, Asia ithua hà rai pha Jewthek è wuii srane Sthephen shii khnaing noh.
2c060a0091	Ji è khnaing noh magungde, Ragung è Sthephen shii yao, ley pha khani phi ne yao yi. Ji è, idang ai è yao shii ithek ne asi rone anin mua phi.
2c060b00ac	Ji-è, ithek ne Gaibranthek shii lasen phi srane aishii layog nin yi, “Gathek è ai ne Moses nane Hamangkhung-aphuii shii adunmey pha miyao yao ne rai pha yoi muii ro!”
