010000000c	ਉਤਪਤ
1324020114	ਕਿਉਂ ਜੋ ਉਹ ਆਪਣੀਆਂ ਅੱਖੀਆਂ ਵਿੱਚ ਆਪਣੇ ਆਪ ਨੂੰ ਫੁਸਲਾਉਂਦਾ ਹੈ ਕਿ ਮੇਰੀ ਬਦੀ ਲੱਭੀ ਨਾ ਜਾਵੇਗੀ, ਨਾ ਘਿਣਾਉਣੀ ਸਮਝੀ ਜਾਵੇਗੀ।
13240300ee	ਉਹ ਦੇ ਮੂੰਹ ਦੀਆਂ ਗੱਲਾਂ ਬਦੀ ਅਤੇ ਛਲ ਦੀਆਂ ਹਨ, ਉਹ ਨੇ ਬੁੱਧਵਾਨ ਹੋਣ ਨੂੰ ਅਤੇ ਭਲਾ ਕਰਨ ਨੂੰ ਛੱਡਿਆ ਹੋਇਆ ਹੈ।
13240400fb	ਉਹ ਆਪਣੇ ਮੰਜੇ ਉੱਤੇ ਬਦੀ ਨੂੰ ਸੋਚਦਾ ਰਹਿੰਦਾ ਹੈ, ਉਹ ਭੈੜੇ ਰਾਹ ਉੱਤੇ ਲੱਗ ਤੁਰਦਾ ਹੈ, ਉਹ ਬਦੀ ਤੋਂ ਘਿਣ ਨਹੀਂ ਕਰਦਾ।
13240500aa	ਹੇ ਯਹੋਵਾਹ, ਤੇਰੀ ਦਯਾ ਸਵਰਗ ਵਿੱਚ ਹੈ, ਅਤੇ ਤੇਰੀ ਵਫ਼ਾਦਾਰੀ ਬੱਦਲਾਂ ਤੱਕ ਹੈ।
1324060124	ਤੇਰਾ ਧਰਮ ਪਰਮੇਸ਼ੁਰ ਦੇ ਪਰਬਤਾਂ ਸਮਾਨ ਹੈ, ਤੇਰੇ ਨਿਆਂ ਵੱਡੀ ਡੁੰਘਿਆਈ ਵਾਲੇ ਹਨ, ਹੇ ਯਹੋਵਾਹ, ਤੂੰ ਆਦਮੀ ਅਤੇ ਡੰਗਰ ਨੂੰ ਬਚਾਉਂਦਾ ਹੈਂ!
13240700fb	ਹੇ ਪਰਮੇਸ਼ੁਰ, ਤੇਰੀ ਦਯਾ ਕਿੰਨੀ ਬਹੁਮੁੱਲੀ ਹੈ! ਅਤੇ ਆਦਮੀ ਦੇ ਪੁੱਤਰ ਤੇਰੇ ਖੰਭਾਂ ਦੀ ਛਾਇਆ ਵਿੱਚ ਪਨਾਹ ਲੈਂਦੇ ਹਨ।
13240800d6	ਉਹ ਤੇਰੇ ਘਰ ਦੀ ਚਿਕਨਾਈ ਨਾਲ ਰੱਜ ਜਾਣਗੇ, ਅਤੇ ਤੂੰ ਆਪਣੀ ਸੁੱਖ ਦੀ ਨਦੀ ਤੋਂ ਉਹਨਾਂ ਨੂੰ ਪਿਲਾਏਂਗਾ,
13240900b0	ਕਿਉਂ ਜੋ ਜੀਵਨ ਦਾ ਚਸ਼ਮਾ ਤੇਰੇ ਕੋਲ ਹੈ, ਤੇਰੇ ਚਾਨਣ ਵਿੱਚ ਅਸੀਂ ਚਾਨਣ ਵੇਖਾਂਗੇ।
13240a00c2	ਆਪਣੇ ਮੰਨਣ ਵਾਲਿਆਂ ਦੇ ਲਈ ਆਪਣੀ ਦਯਾ, ਅਤੇ ਸਿੱਧੇ ਮਨ ਵਾਲਿਆਂ ਦੇ ਲਈ ਆਪਣਾ ਧਰਮ ਵਧਾਈ ਜਾ।
13240b0055	ਘਮੰਡੀ ਦਾ ਪੈਰ ਮੇਰੇ ਉੱਤੇ ਨਾ ਪੈਣ ਦੇ।
13240c00a2	ਉੱਥੇ ਬਦਕਾਰ ਡਿੱਗ ਪਏ ਹਨ, ਓਹ ਹੇਠਾਂ ਧੱਕੇ ਗਏ ਹਨ ਅਤੇ ਫੇਰ ਨਾ ਉੱਠ ਸਕਣਗੇ।
1325010099	ਦਾਊਦ ਦਾ ਭਜਨ। ਬੁਰਿਆਂ ਦੇ ਕਾਰਨ ਨਾ ਕੁੜ੍ਹ, ਕੁਕਰਮੀਆਂ ਵੱਲੋਂ ਨਾ ਸੜ।
13250200af	ਓਹ ਤਾਂ ਘਾਹ ਵਾਂਗੂੰ ਛੇਤੀ ਕੁਮਲਾ ਜਾਣਗੇ, ਅਤੇ ਸਾਗ ਪੱਤ ਵਾਂਗੂੰ ਮੁਰਝਾ ਜਾਣਗੇ।
13250300ac	ਯਹੋਵਾਹ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖ ਅਤੇ ਭਲਿਆਈ ਕਰ ਦੇਸ ਵਿੱਚ ਵੱਸ ਅਤੇ ਸਚਿਆਈ ਉੱਤੇ ਪਲ।
13250400a8	ਤੂੰ ਯਹੋਵਾਹ ਵਿੱਚ ਨਿਹਾਲ ਰਹਿ, ਤਾਂ ਉਹ ਤੇਰੇ ਮਨੋਰਥਾਂ ਨੂੰ ਪੂਰਿਆਂ ਕਰੇਗਾ।
13250500be	ਆਪਣਾ ਰਾਹ ਯਹੋਵਾਹ ਦੇ ਵੱਸ ਵਿੱਚ ਕਰ, ਅਤੇ ਉਸ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖ ਅਤੇ ਉਹ ਪੂਰਿਆਂ ਕਰੇਗਾ।
13250600cd	ਉਹ ਤੇਰੇ ਧਰਮ ਨੂੰ ਚਾਨਣ ਵਾਂਗੂੰ ਅਤੇ ਤੇਰੇ ਨਿਆਂ ਨੂੰ ਦੁਪਹਿਰ ਵਾਂਗੂੰ ਪ੍ਰਕਾਸ਼ਮਾਨ ਕਰੇਗਾ।
132507017a	ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਚੁੱਪ-ਚਾਪ ਰਹਿ ਅਤੇ ਧੀਰਜ ਨਾਲ ਉਹ ਦੀ ਉਡੀਕ ਰੱਖ, ਉਸ ਮਨੁੱਖ ਦੇ ਕਾਰਨ ਨਾ ਕੁੜ੍ਹ ਜਿਹ ਦਾ ਰਾਹ ਸਫ਼ਲ ਹੁੰਦਾ ਹੈ, ਅਤੇ ਜਿਹੜਾ ਜੁਗਤਾਂ ਨੂੰ ਪੂਰਿਆਂ ਕਰਾਉਂਦਾ ਹੈ।
13250800b7	ਕ੍ਰੋਧ ਨੂੰ ਛੱਡ ਅਤੇ ਕੋਪ ਨੂੰ ਤਿਆਗ ਦੇ, ਨਾ ਕੁੜ੍ਹ - ਉਸ ਤੋਂ ਬੁਰਿਆਈ ਹੀ ਨਿੱਕਲਦੀ ਹੈ
13250900d3	ਕੁਕਰਮੀ ਤਾਂ ਕੱਢ ਦਿੱਤੇ ਜਾਣਗੇ, ਪਰ ਜਿਹੜੇ ਯਹੋਵਾਹ ਨੂੰ ਉਡੀਕਦੇ ਹਨ ਉਹ ਧਰਤੀ ਦੇ ਵਾਰਿਸ ਹੋਣਗੇ।
13250a0111	ਹੁਣ ਥੋੜਾ ਹੀ ਚਿਰ ਰਹਿੰਦਾ ਹੈ ਕਿ ਦੁਸ਼ਟ ਨਹੀਂ ਹੋਵੇਗਾ, ਤੂੰ ਉਸ ਦੇ ਨਿਵਾਸ ਨੂੰ ਧਿਆਨ ਨਾਲ ਵੇਖੇਂਗਾ, ਪਰ ਉਹ ਕਿਤੇ ਨਾ ਹੋਵੇਗਾ।
13250b00bd	ਪਰ ਹਲੀਮ ਧਰਤੀ ਦੇ ਵਾਰਿਸ ਹੋਣਗੇ, ਅਤੇ ਬਹੁਤੇ ਸੁੱਖ ਕਰਕੇ ਆਪਣੇ ਆਪ ਨੂੰ ਨਿਹਾਲ ਕਰਨਗੇ।
13250c00b7	ਦੁਸ਼ਟ ਧਰਮੀ ਦੇ ਵਿਰੁੱਧ ਮਤਾ ਪਕਾਉਂਦਾ ਹੈ, ਅਤੇ ਉਹ ਦੇ ਉੱਤੇ ਆਪਣੇ ਦੰਦ ਕਰੀਚਦਾ ਹੈ।
13250d00bb	ਪ੍ਰਭੂ ਦੁਸ਼ਟ ਦੇ ਉੱਤੇ ਹੱਸੇਗਾ, ਕਿਉਂ ਜੋ ਵੇਖਦਾ ਹੈ ਕਿ ਨਿਆਂ ਦਾ ਦਿਨ ਆਉਂਦਾ ਪਿਆ ਹੈ।
13250e014c	ਦੁਸ਼ਟਾਂ ਨੇ ਤਲਵਾਰ ਧੂਹੀ ਅਤੇ ਆਪਣਾ ਧਣੁੱਖ ਖਿੱਚਿਆ ਹੈ ਤਾਂ ਜੋ ਮਸਕੀਨ ਤੇ ਕੰਗਾਲ ਨੂੰ ਡੇਗ ਦੇਣ, ਅਤੇ ਸਿੱਧੇ ਚਾਲ-ਚੱਲਣ ਵਾਲਿਆਂ ਨੂੰ ਜਾਨੋਂ ਮਾਰ ਸੁੱਟਣ।
13250f00cf	ਉਨ੍ਹਾਂ ਦੀ ਤਲਵਾਰ ਉਨ੍ਹਾਂ ਹੀ ਦੇ ਦਿਲਾਂ ਵਿੱਚ ਧੱਸੇਗੀ, ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਧਣੁੱਖ ਭੰਨੇ ਜਾਣਗੇ।
1325100088	ਧਰਮੀ ਦਾ ਥੋੜਾ ਕਈਆਂ ਦੁਸ਼ਟਾਂ ਦੇ ਬਹੁਤੇ ਨਾਲੋਂ ਵੀ ਚੰਗਾ ਹੈ।
13251100bd	ਦੁਸ਼ਟਾਂ ਦੀਆਂ ਬਾਹਾਂ ਤਾਂ ਭੰਨੀਆਂ ਜਾਣਗੀਆਂ, ਪਰ ਧਰਮੀਆਂ ਨੂੰ ਯਹੋਵਾਹ ਸੰਭਾਲਦਾ ਹੈ।
13251200b3	ਯਹੋਵਾਹ ਖਰੇ ਲੋਕਾਂ ਦੇ ਦਿਨ ਜਾਣਦਾ ਹੈ, ਅਤੇ ਉਨ੍ਹਾਂ ਦਾ ਅਧਿਕਾਰ ਸਦਾ ਤੱਕ ਰਹੇਗਾ।
13251300c8	ਉਹ ਬੁਰੇ ਸਮੇਂ ਦੇ ਵਿੱਚ ਸ਼ਰਮਿੰਦੇ ਨਾ ਹੋਣਗੇ, ਅਤੇ ਕਾਲ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਓਹ ਰੱਜ ਕੇ ਖਾਣਗੇ।
132514010f	ਦੁਸ਼ਟ ਨਾਸ ਹੋ ਜਾਣਗੇ, ਅਤੇ ਯਹੋਵਾਹ ਦੇ ਵੈਰੀ ਮੈਦਾਨ ਦੀ ਘਾਹ ਵਰਗੇ ਹੋਣਗੇ, ਉਹ ਮਿਟ ਜਾਣਗੇ ਸਗੋਂ ਧੂੰਏਂ ਵਾਂਗੂੰ ਮਿਟ ਜਾਣਗੇ।
13251500aa	ਦੁਸ਼ਟ ਉਧਾਰ ਲੈਂਦਾ ਹੈ ਅਤੇ ਮੋੜਦਾ ਨਹੀਂ, ਪਰ ਧਰਮੀ ਦਯਾ ਕਰਦਾ ਅਤੇ ਦਿੰਦਾ ਹੈ।
13251600bd	ਯਹੋਵਾਹ ਦੇ ਮੁਬਾਰਕ ਲੋਕ ਧਰਤੀ ਦੇ ਵਾਰਿਸ ਹੋਣਗੇ, ਪਰ ਉਹ ਦੇ ਸਰਾਪੀ ਕੱਢ ਦਿੱਤੇ ਜਾਣਗੇ।
13251700d1	ਮਨੁੱਖ ਦੀ ਚਾਲ ਯਹੋਵਾਹ ਵੱਲੋਂ ਦ੍ਰਿੜ੍ਹ ਹੁੰਦੀ ਹੈ, ਅਤੇ ਉਸ ਦੇ ਰਾਹ ਤੋਂ ਉਹ ਪਰਸੰਨ ਰਹਿੰਦਾ ਹੈ।
13251800ca	ਭਾਵੇਂ ਉਹ ਡਿੱਗ ਵੀ ਪਵੇ ਪਰ ਡਿੱਗਿਆ ਨਹੀਂ ਰਹੇਗਾ, ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਉਸਦਾ ਹੱਥ ਸੰਭਾਲਦਾ ਹੈ।
1325190119	ਮੈਂ ਜੁਆਨ ਸੀ ਅਤੇ ਹੁਣ ਬੁੱਢਾ ਹੋ ਗਿਆ ਹਾਂ, ਪਰ ਮੈਂ ਨਾ ਧਰਮੀ ਨੂੰ ਤਿਆਗਿਆ ਹੋਇਆ, ਨਾ ਉਹ ਦੀ ਅੰਸ ਨੂੰ ਟੁੱਕੜੇ ਮੰਗਦਿਆਂ ਵੇਖਿਆ ਹੈ।
13251a0098	ਉਹ ਸਾਰਾ ਦਿਨ ਦਯਾ ਕਰਦਾ ਅਤੇ ਉਧਾਰ ਦਿੰਦਾ ਹੈ, ਉਸ ਦੀ ਅੰਸ ਮੁਬਾਰਕ ਹੈ।
13251b0067	ਬੁਰਿਆਈ ਤੋਂ ਹਟ, ਭਲਿਆਈ ਕਰ, ਅਤੇ ਸਦਾ ਤੱਕ ਵੱਸ।
13251c0154	ਯਹੋਵਾਹ ਤਾਂ ਨਿਆਂ ਨਾਲ ਪ੍ਰੇਮ ਰੱਖਦਾ ਹੈ, ਅਤੇ ਆਪਣੇ ਭਗਤਾਂ ਨੂੰ ਤਿਆਗਦਾ ਨਹੀਂ, ਉਨ੍ਹਾਂ ਦੀ ਸਦਾ ਤੱਕ ਰੱਖਿਆ ਹੁੰਦੀ ਹੈ, ਪਰ ਦੁਸ਼ਟਾਂ ਦੀ ਅੰਸ ਛੇਕੀ ਜਾਵੇਗੀ।
13251d007f	ਧਰਮੀ ਧਰਤੀ ਦੇ ਵਾਰਿਸ ਹੋਣਗੇ, ਅਤੇ ਸਦਾ ਉਸ ਉੱਤੇ ਵੱਸਣਗੇ।
13251e00a5	ਧਰਮੀ ਦਾ ਮੂੰਹ ਬੁੱਧੀ ਬੋਲਦਾ ਹੈ, ਅਤੇ ਉਹ ਦੀ ਜੁਬਾਨ ਨਿਆਂ ਦੀ ਗੱਲ ਕਰਦੀ ਹੈ।
13251f00ac	ਉਸ ਦੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਬਿਵਸਥਾ ਉਹ ਦੇ ਮਨ ਵਿੱਚ ਹੈ, ਉਹ ਦੇ ਪੈਰ ਕਦੀ ਨਾ ਤਿਲਕਣਗੇ।
132520008d	ਦੁਸ਼ਟ ਧਰਮੀ ਦੀ ਤਾਕ ਵਿੱਚ ਰਹਿੰਦਾ ਹੈ, ਕਿ ਉਹ ਨੂੰ ਜਾਨੋਂ ਮਾਰੇ।
13252100fc	ਯਹੋਵਾਹ ਉਹ ਨੂੰ ਉਸ ਦੇ ਵੱਸ ਵਿੱਚ ਨਾ ਛੱਡੇਗਾ ਅਤੇ ਜਦ ਉਹ ਦਾ ਫੈਸਲਾ ਹੋ ਜਾਵੇਗਾ ਤਾਂ ਉਹ ਨੂੰ ਦੋਸ਼ੀ ਨਾ ਠਹਿਰਾਵੇਗਾ।
132522014a	ਯਹੋਵਾਹ ਨੂੰ ਉਡੀਕ ਅਤੇ ਉਹ ਦੇ ਰਾਹ ਦੀ ਪਾਲਣਾ ਕਰ, ਤਾਂ ਉਹ ਤੈਨੂੰ ਉੱਚਾ ਕਰੇਗਾ ਕਿ ਤੂੰ ਧਰਤੀ ਦਾ ਵਾਰਿਸ ਬਣੇਂ। ਤੂੰ ਦੁਸ਼ਟਾਂ ਦਾ ਛੇਕਿਆ ਜਾਣਾ ਵੇਖੇਂਗਾ।
13252300fa	ਮੈਂ ਦੁਸ਼ਟ ਨੂੰ ਵੱਡੀ ਆਕੜ ਵਿੱਚ, ਅਤੇ ਆਪਣੀ ਨਿੱਜ ਭੂਮੀ ਵਿੱਚ ਕੇਦਾਰ ਦੇ ਹਰੇ ਭਰੇ ਬੂਟੇ ਵਾਂਗੂੰ ਫੈਲਦਿਆਂ ਦੇਖਿਆ।
13252400ba	ਪਰ ਉਹ ਲੰਘ ਗਿਆ ਅਤੇ ਵੇਖੋ, ਉਹ ਹੈ ਹੀ ਨਹੀਂ, ਮੈਂ ਵੀ ਉਹ ਨੂੰ ਭਾਲਿਆ ਪਰ ਉਹ ਲੱਭਾ ਹੀ ਨਾ।
13252500d1	ਸੰਪੂਰਨ ਮਨੁੱਖ ਵੱਲ ਤੱਕ ਅਤੇ ਸਿੱਧੇ ਪੁਰਖ ਵੱਲ ਵੇਖ, ਕਿ ਸਲਾਮਤੀ ਦੇ ਮਨੁੱਖ ਦੀ ਅੰਸ ਰਹਿੰਦੀ ਹੈ।
132526009a	ਪਰ ਅਪਰਾਧੀ ਇਕੱਠੇ ਹੀ ਨਾਸ ਹੋ ਜਾਣਗੇ, ਦੁਸ਼ਟਾਂ ਦੀ ਅੰਸ ਛੇਕੀ ਜਾਵੇਗੀ!
13252700b9	ਪਰ ਧਰਮੀਆਂ ਦਾ ਬਚਾਓ ਯਹੋਵਾਹ ਵੱਲੋਂ ਹੈ, ਅਤੇ ਦੁੱਖ ਦੇ ਸਮੇਂ ਉਹ ਉਨ੍ਹਾਂ ਦਾ ਗੜ੍ਹ ਹੈ,
132528014d	ਅਤੇ ਯਹੋਵਾਹ ਉਨ੍ਹਾਂ ਦੀ ਸਹਾਇਤਾ ਕਰਦਾ ਅਤੇ ਛੁਡਾਉਂਦਾ ਹੈ, ਉਹ ਉਨ੍ਹਾਂ ਨੂੰ ਦੁਸ਼ਟਾਂ ਤੋਂ ਛੁਡਾਉਂਦਾ ਅਤੇ ਬਚਾਉਂਦਾ ਹੈ, ਕਿਉਂ ਜੋ ਉਹ ਉਸ ਦੀ ਸ਼ਰਨ ਆਏ ਹਨ।
1326010107	ਯਾਦਗਾਰੀ ਦੇ ਲਈ ਦਾਊਦ ਦਾ ਭਜਨ। ਹੇ ਯਹੋਵਾਹ ਆਪਣੇ ਕ੍ਰੋਧ ਵਿੱਚ ਮੈਨੂੰ ਦੱਬਕਾ ਨਾ ਦੇ, ਅਤੇ ਨਾ ਆਪਣੇ ਕਹਿਰ ਨਾਲ ਮੈਨੂੰ ਤਾੜ!
13260200a3	ਤੇਰੇ ਤੀਰ ਮੇਰੇ ਵਿੱਚ ਆ ਖੁੱਬੇ ਹਨ, ਤੇਰਾ ਹੱਥ ਮੈਨੂੰ ਹੇਠਾਂ ਦਬਾਉਂਦਾ ਹੈ।
1326030102	ਤੇਰੇ ਗੁੱਸੇ ਦੇ ਕਾਰਨ ਮੇਰੇ ਸਰੀਰ ਵਿੱਚ ਤੰਦਰੁਸਤੀ ਨਹੀਂ, ਅਤੇ ਨਾ ਮੇਰੇ ਪਾਪ ਦੇ ਕਾਰਨ ਮੇਰੀਆਂ ਹੱਡੀਆਂ ਵਿੱਚ ਸੁੱਖ ਹੈ,
1326040113	ਕਿਉਂ ਜੋ ਮੇਰੀਆਂ ਬੁਰਿਆਈਆਂ ਮੇਰੇ ਸਿਰ ਦੇ ਉੱਤੋਂ ਦੀ ਲੰਘ ਗਈਆਂ, ਅਤੇ ਭਾਰੀ ਪੰਡ ਵਾਂਗੂੰ ਉਹ ਮੈਥੋਂ ਚੁੱਕੀਆਂ ਨਹੀਂ ਜਾਂਦੀਆਂ।
13260500b3	ਮੇਰੇ ਮੂਰਖਪੁਣੇ ਦੇ ਕਾਰਨ ਮੇਰੇ ਜਖ਼ਮ ਤੋਂ, ਸੜਿਆਂਧ ਆਉਂਦੀ ਹੈ ਅਤੇ ਪਾਕ ਵਗਦੀ ਹੈ।
13260600bb	ਮੈਂ ਦੁੱਖੀ ਅਤੇ ਬਹੁਤਾ ਕੁੱਬਾ ਹੋ ਗਿਆ ਹਾਂ, ਮੈਂ ਸਾਰਾ ਦਿਨ ਵਿਰਲਾਪ ਕਰਦਾ ਫਿਰਦਾ ਹਾਂ,
13260700bd	ਕਿਉਂ ਜੋ ਮੇਰਾ ਲੱਕ ਗਰਮੀ ਨਾਲ ਭਰਿਆ ਹੋਇਆ ਹੈ, ਅਤੇ ਮੇਰੇ ਸਰੀਰ ਵਿੱਚ ਤੰਦਰੁਸਤੀ ਨਹੀਂ।
13260800c6	ਮੈਂ ਨਿਤਾਣਾ ਅਤੇ ਬਹੁਤ ਪੀਸਿਆ ਹੋਇਆ ਹਾਂ ਮੈਂ ਆਪਣੇ ਮਨ ਦੀ ਬੇਚੈਨੀ ਦੇ ਕਾਰਨ ਹੂੰਗਦਾ ਹਾਂ।
13260900e4	ਹੇ ਪ੍ਰਭੂ, ਮੇਰੀ ਸਾਰੀ ਇੱਛਿਆ ਤੇਰੇ ਸਾਹਮਣੇ ਹੈ, ਅਤੇ ਮੇਰਾ ਕਰਾਹਣਾ ਤੇਰੇ ਕੋਲੋਂ ਛਿਪਿਆ ਹੋਇਆ ਨਹੀਂ ਹੈ।
13260a00bb	ਮੇਰਾ ਦਿਲ ਧੜਕਦਾ ਹੈ, ਮੇਰਾ ਬਲ ਘੱਟ ਗਿਆ, ਮੇਰੀਆਂ ਅੱਖੀਆਂ ਦੀ ਰੋਸ਼ਨੀ ਵੀ ਜਾਂਦੀ ਰਹੀ।
13260b00e7	ਮੇਰੇ ਪਿਆਰੇ ਅਤੇ ਮੇਰੇ ਮਿੱਤਰ ਮੇਰੀ ਬਿਪਤਾ ਤੋਂ ਵੱਖ ਖੜੇ ਹਨ, ਅਤੇ ਮੇਰੇ ਰਿਸ਼ਤੇਦਾਰ ਦੂਰ ਜਾ ਖੜ੍ਹਦੇ ਹਨ।
13260c0151	ਮੇਰੀ ਜਾਨ ਦੇ ਵੈਰੀ ਫੰਦੇ ਲਾਉਂਦੇ ਹਨ, ਅਤੇ ਜਿਹੜੇ ਮੇਰਾ ਬੁਰਾ ਚਾਹੁੰਦੇ ਹਨ ਓਹੋ ਵਿਗਾੜ ਦੀਆਂ ਗੱਲਾਂ ਕਰਦੇ ਹਨ, ਅਤੇ ਸਾਰਾ ਦਿਨ ਛਲ ਦੀਆਂ ਜੁਗਤਾਂ ਸੋਚਦੇ ਹਨ।
13260d00da	ਪਰ ਮੈਂ ਬੋਲੇ ਵਾਂਗੂੰ ਸੁਣਦਾ ਨਹੀਂ, ਅਤੇ ਮੈਂ ਉਸ ਗੂੰਗੇ ਵਰਗਾ ਹਾਂ ਜਿਹੜਾ ਮੂੰਹੋਂ ਬੋਲਦਾ ਹੀ ਨਹੀਂ।
13260e00c9	ਹਾਂ, ਮੈਂ ਉਸ ਮਨੁੱਖ ਵਰਗਾ ਹਾਂ ਜਿਹੜਾ ਸੁਣਦਾ ਨਹੀਂ, ਜਿਸ ਦੇ ਮੂੰਹ ਵਿੱਚ ਕੋਈ ਰੋਹਬ ਨਹੀਂ ਹਨ।
13260f00ca	ਹੇ ਯਹੋਵਾਹ, ਮੈਨੂੰ ਤਾਂ ਤੇਰੀ ਹੀ ਉਡੀਕ ਹੈ, ਤੂੰ ਉੱਤਰ ਦੇਵੇਂਗਾ, ਹੇ ਪ੍ਰਭੂ, ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ!
1326100127	ਮੈਂ ਤਾਂ ਆਖਿਆ ਕਿ ਅਜਿਹਾ ਨਾ ਹੋਵੇ ਓਹ ਮੇਰੇ ਉੱਤੇ ਅਨੰਦ ਕਰਨ, ਅਤੇ ਜਿਸ ਵੇਲੇ ਮੇਰੇ ਪੈਰ ਤਿਲਕਣ ਓਹ ਮੇਰੇ ਵਿਰੁੱਧ ਆਪਣੀਆਂ ਵਡਿਆਈਆਂ ਕਰਨ,
1326110090	ਮੈਂ ਠੇਡਾ ਖਾਣ ਲੱਗਾ, ਅਤੇ ਮੇਰਾ ਸੋਗ ਸਦਾ ਮੇਰੇ ਅੱਗੇ ਰਹਿੰਦਾ ਹੈ।
132612009c	ਮੈਂ ਆਪਣੀ ਬਦੀ ਨੂੰ ਮੰਨਾਂਗਾ, ਅਤੇ ਆਪਣੇ ਪਾਪ ਦੇ ਕਾਰਨ ਚਿੰਤਾ ਕਰਾਂਗਾ।
13261300ee	ਪਰ ਮੇਰੇ ਵੈਰੀ ਤਾਕਤ ਵਾਲੇ ਅਤੇ ਸਮਰੱਥੀ ਹਨ, ਅਤੇ ਜਿਹੜੇ ਬਿਨ੍ਹਾਂ ਕਾਰਨ ਮੇਰੇ ਨਾਲ ਖਾਰ ਕਰਦੇ ਹਨ ਉਹ ਵਧ ਗਏ ਹਨ,
1326140105	ਨਾਲੇ ਜਿਹੜੇ ਭਲਿਆਈ ਦੇ ਬਦਲੇ ਬੁਰਿਆਈ ਦਿੰਦੇ ਹਨ, ਉਹ ਮੇਰੇ ਵਿਰੋਧੀ ਹਨ ਕਿਉਂ ਜੋ ਮੈਂ ਭਲਿਆਈ ਦੇ ਮਗਰ ਲੱਗਾ ਰਹਿੰਦਾ ਹਾਂ।
13261500a4	ਹੇ ਯਹੋਵਾਹ, ਮੈਨੂੰ ਤਿਆਗ ਨਾ ਦੇ, ਹੇ ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ, ਮੇਰੇ ਤੋਂ ਦੂਰ ਨਾ ਹੋ!
1326160077	ਹੇ ਪ੍ਰਭੂ, ਮੇਰੇ ਮੁਕਤੀਦਾਤੇ, ਮੇਰੇ ਬਚਾਓ ਲਈ ਛੇਤੀ ਕਰ!
13270101e1	ਯਦੂਥੂਨ ਪ੍ਰਧਾਨ ਵਜਾਉਣ ਵਾਲੇ ਦੇ ਲਈ ਦਾਊਦ ਦਾ ਭਜਨ। ਮੈਂ ਆਖਿਆ ਕਿ ਮੈਂ ਆਪਣੇ ਚਾਲ-ਚਲਣ ਦੀ ਚੌਕਸੀ ਕਰਾਂਗਾ, ਕਿ ਕਿਤੇ ਆਪਣੀ ਜੀਭ ਨਾਲ ਪਾਪ ਨਾ ਕਰਾਂ। ਜਿੰਨਾਂ ਚਿਰ ਦੁਸ਼ਟ ਮੇਰੇ ਅੱਗੇ ਹੈ, ਮੈਂ ਲਗਾਮ ਆਪਣੇ ਮੂੰਹ ਵਿੱਚ ਰੱਖਾਂਗਾ।
13270200d0	ਮੈਂ ਚੁੱਪ ਕੀਤਾ ਗੂੰਗਾ ਹੋ ਗਿਆ, ਅਤੇ ਭਲਿਆਈ ਤੋਂ ਵੀ ਚੁੱਪ ਵੱਟ ਛੱਡੀ, ਅਤੇ ਮੇਰਾ ਦੁੱਖ ਵੱਧ ਪਿਆ।
13270300f0	ਮੇਰਾ ਮਨ ਮੇਰੇ ਅੰਦਰੋਂ ਤਪ ਗਿਆ, ਮੇਰੇ ਸੋਚਦਿਆਂ-ਸੋਚਦਿਆਂ ਅੱਗ ਭੜਕ ਉੱਠੀ, ਤਾਂ ਮੈਂ ਆਪਣੀ ਜੀਭ ਤੋਂ ਬੋਲ ਉੱਠਿਆ,
13270400ff	ਹੇ ਯਹੋਵਾਹ, ਮੈਨੂੰ ਅੰਤ ਦੱਸ, ਅਤੇ ਇਹ ਵੀ ਕਿ ਮੇਰੀ ਉਮਰ ਕਿੰਨੀ ਹੈ, ਤਾਂ ਕਿ ਮੈਂ ਜਾਣਾਂ ਕਿ ਮੈਂ ਕਿਨ੍ਹਾਂ ਨਿਤਾਣਾ ਹਾਂ।
132705014e	ਵੇਖ, ਤੂੰ ਮੇਰੇ ਦਿਨ ਚੱਪਾ ਭਰ ਠਹਿਰਾਏ ਹਨ, ਅਤੇ ਮੇਰੀ ਉਮਰ ਤੇਰੇ ਅੱਗੇ ਕੁਝ ਹੈ ਹੀ ਨਹੀਂ। ਸੱਚ-ਮੁੱਚ ਹਰ ਆਦਮੀ ਭਾਵੇਂ ਸਥਿਰ ਵੀ ਹੋਵੇ, ਤਦ ਵੀ ਸਾਹ ਮਾਤਰ ਹੀ ਹੈ!
