010000000c	Ӂенеза
141e0f00c2	Липитоаря аре доуэ фете: „Дэ! дэ!” Трей лукрурь сунт несэциоасе, патру лукрурь ну зик ничодатэ: „Дестул!”,
141e1000db	ши ануме: Локуинца морцилор, фемея стярпэ, пэмынтул, каре ну есте сэтул де апэ, ши фокул, каре ну зиче ничодатэ: „Дестул!”
141e1100f2	Пе окюл каре ышь бате жок де татэл сэу ши несокотеште аскултаря де мамэ ыл вор скоби корбий де ла пырыу ши ыл вор мынка пуий де вултур.
141e120099	Трей лукрурь сунт май пресус де путериле меле ши кяр патру пе каре ну ле пот причепе:
141e1300bf	урма вултурулуй пе чер, урма шарпелуй пе стынкэ, урма корабией ын мижлокул мэрий ши урма омулуй ла о фатэ.
141e1400c0	Тот аша есте ши каля фемеий прякурве: еа мэнынкэ ши се штерӂе ла гурэ ши апой зиче: „Н-ам фэкут нимик рэу.”
141e150087	Трей лукрурь фак сэ се рэскоале о царэ ши патру лукрурь ну ле поате суфери:
141e160081	ун роб каре а ынчепут сэ ымпэрэцяскэ, ун небун каре аре пыне дин белшуг,
141e17008a	о фемее диспрецуитэ каре се мэритэ ши о роабэ каре моштенеште пе стэпынэ-са.
141e180088	Патру виетэць сунт май мичь пе пэмынт, ши тотушь динтре челе май ынцелепте:
141e19007a	фурничиле, каре ну сунт ун попор таре, дар ышь прегэтеск храна вара;
141e1a0097	шоаречий де мунте, каре ну сунт ун попор путерник, дар ышь ашазэ локуинца ын стынчь;
141e1b0065	лэкустеле н-ау ымпэрат, ши тотушь порнеск тоате ын чете;
141e1c008f	пэянженул ыл поць принде ку мыниле ши се гэсеште тотушь ын каселе ымпэрацилор.
141e1d0065	Трей фиинце ау о цинутэ фрумоасэ ши патру ау мерс мэрец:
141e1e0078	леул, витязул добитоачелор, каре ну се дэ ынапой динаинтя нимэнуй,
141e1f0092	калул ынкингат гата ши цапул ши ымпэратул кэруя нимень ну-й поате ста ымпотривэ.
141e20009c	Дакэ мындрия те ымпинӂе ла фапте де небуние ши дакэ ай гындурь реле, пуне мына ла гурэ:
141e2100a9	кэч батеря лаптелуй дэ смынтынэ, скэрпинаря насулуй дэ сынӂе ши стоарчеря мынией дэ чертурь.
141f010078	Кувинтеле ымпэратулуй Лемуел. Ынвэцэтура пе каре й-о дэдя мама са.
141f0200b0	Че сэ-ць спун, фиуле? Че сэ-ць спун, фиул трупулуй меу? Че сэ-ць спун, фиуле, родул журуинцелор меле?
141f030081	Ну-ць да фемеилор влага ши дезмердэриле тале челор че перд пе ымпэраць.
141f0400c4	Ну се каде ымпэрацилор, Лемуеле, ну се каде ымпэрацилор сэ бя вин, нич воевозилор сэ умбле дупэ бэутурь тарь;
141f050090	ка ну кумва, бынд, сэ уйте леӂя ши сэ калче дрептуриле тутурор челор ненорочиць.
141f060074	Даць бэутурь тарь челуй че пере ши вин челуй ку суфлетул амэрыт,
141f070085	ка сэ бя сэ-шь уйте сэрэчия ши сэ ну-шь май адукэ аминте де неказуриле луй.
141f080080	Дескиде-ць гура пентру чел мут, пентру причина тутурор челор пэрэсиць!
141f09008e	Дескиде-ць гура, жудекэ ку дрептате ши апэрэ пе чел ненорочит ши пе чел липсит.
141f0a0086	Чине поате гэси о фемее чинститэ? Еа есте май де прец декыт мэргэритареле.
141f0b0072	Инима бэрбатулуй се ынкреде ын еа ши ну дуче липсэ де венитурь.
141f0c0060	Еа ый фаче бине, ши ну рэу, ын тоате зилеле веций сале.
141f0d0065	Еа фаче рост де лынэ ши де ин ши лукрязэ ку мынь харниче.
141f0e0065	Еа есте ка о корабие де негоц: де департе ышь адуче пыня.
141f0f00be	Еа се скоалэ кынд есте ынкэ ноапте ши дэ хранэ касей сале ши ымпарте лукрул де песте зи служничелор сале.
141f10007e	Се гындеште ла ун огор ши-л кумпэрэ; дин родул мунчий ей сэдеште о вие.
141f11006a	Еа ышь ынчинӂе мижлокул ку путере ши ышь оцелеште брацеле.
141f120069	Веде кэ мунка ый мерӂе бине, лумина ей ну се стинӂе ноаптя.
141f130054	Еа пуне мына пе фуркэ ши деӂетеле ей цин фусул.
141f14008c	Еа ышь ынтинде мына кэтре чел ненорочит, ышь ынтинде брацул кэтре чел липсит.
141f150095	Ну се теме де зэпадэ пентру каса ей, кэч тоатэ каса ей есте ымбрэкатэ ку кэрэмизиу.
141f16006a	Еа ышь фаче ынвелиторь, аре хайне де ин субцире ши пурпурэ.
141f170077	Бэрбатул ей есте бине вэзут ла порць, кынд шаде ку бэтрыний цэрий.
141f180066	Еа фаче кэмэшь ши ле винде ши дэ чингэторь негусторулуй.
141f19006b	Еа есте ымбрэкатэ ку тэрие ши славэ ши рыде де зиуа де мыне.
141f1a0080	Еа дескиде гура ку ынцелепчуне ши ынвэцэтурь плэкуте ый сунт пе лимбэ.
141f1b0089	Еа вегязэ асупра челор че се петрек ын каса ей ши ну мэнынкэ пыня леневирий.
141f1c009a	Фиий ей се скоалэ ши о нумеск феричитэ; бэрбатул ей се скоалэ ши-й адуче лауде зикынд:
141f1d0073	„Мулте фете ау о пуртаре чинститэ, дар ту ле ынтречь пе тоате.”
141f1e00be	Дезмердэриле сунт ыншелэтоаре ши фрумусеця есте дешартэ, дар фемея каре се теме де Домнул ва фи лэудатэ.
141f1f0087	Рэсплэтиць-о ку родул мунчий ей ши фаптеле ей с-о лауде ла порциле четэций!
1500000016	Еклезиастул
1501010079	Кувинтеле Еклезиастулуй, фиул луй Давид, ымпэратул Иерусалимулуй.
15010200c4	О, дешертэчуне а дешертэчунилор, зиче Еклезиастул, о, дешертэчуне а дешертэчунилор! Тотул есте дешертэчуне.
150103006a	Че фолос аре омул дин тоатэ труда пе каре шь-о дэ суб соаре?
1501040070	Ун ням трече, алтул вине ши пэмынтул рэмыне вешник ын пичоаре.
1501050077	Соареле рэсаре, апуне ши аляргэ спре локул де унде рэсаре дин ноу.
15010600d2	Вынтул суфлэ спре мязэзи ши се ынтоарче спре мязэноапте; апой ярэшь се ынтоарче ши ынчепе дин ноу ачеляшь ротитурь.
15010700f1	Тоате рыуриле се варсэ ын маре, ши маря тот ну се умпле: еле аляргэ некурмат спре локул де унде порнеск, ка ярэшь сэ порняскэ де аколо.
15010800f4	Тоате лукруриле сунт ынтр-о некурматэ фрэмынтаре, аша кум ну се поате спуне; окюл ну се май сатурэ привинд ши урекя ну обосеште аузинд.
150109008a	Че а фост ва май фи ши че с-а фэкут се ва май фаче; ну есте нимик ноу суб соаре.
15010a00e1	Дакэ есте вреун лукру деспре каре с-ар путя спуне: „Ятэ чева ноу!”, демулт лукрул ачела ера ши ын вякуриле динаинтя ноастрэ.
15010b0137	Нимень ну-шь май адуче аминте де че а фост май ынаинте; ши че ва май фи, че се ва май ынтымпла май пе урмэ, ну ва лэса ничо урмэ де адучере аминте ла чей че вор трэи май тырзиу.
15010c006c	Еу, Еклезиастул, ам фост ымпэрат песте Исраел, ын Иерусалим.
15010d012e	Мь-ам пус инима сэ черчетез ши сэ адынческ ку ынцелепчуне тот че се ынтымплэ суб черурь: ятэ о ынделетничире плинэ де трудэ, ла каре супуне Думнезеу пе фиий оаменилор.
15010e009b	Ам вэзут тот че се фаче суб соаре; ши ятэ кэ тотул есте дешертэчуне ши гоанэ дупэ вынт!
15010f008e	Че есте стрымб ну се поате ындрепта ши че липсеште ну поате фи трекут ла нумэр.
150110013e	Ам зис ын мине ынсумь: „Ятэ кэ ам спорит ши ам ынтрекут ын ынцелепчуне пе тоць чей че ау стэпынит ынаинтя мя песте Иерусалим ши минтя мя а вэзут мултэ ынцелепчуне ши штиинцэ.”
15011100d8	Мь-ам пус инима сэ куноск ынцелепчуня ши сэ куноск простия ши небуния. Дар ам ынцелес кэ ши ачаста есте гоанэ дупэ вынт.
15011200a5	Кэч унде есте мултэ ынцелепчуне, есте ши мулт неказ, ши чине штие мулте аре ши мултэ дурере.
15020100d3	Ам зис инимий меле: „Хайде! Вряу сэ те ынчерк ку веселие ши густэ феричиря.” Дар ятэ кэ ши ачаста есте о дешертэчуне.
150202007f	Ам зис рысулуй: „Ешть о небуние!” ши веселией: „Че те ыншель деӂяба?”
1502030186	Ам хотэрыт ын инима мя сэ-мь веселеск трупул ку вин, ын тимп че инима мэ ва кырмуи ку ынцелепчуне, ши сэ стэруеск астфел ын небуние пынэ вой ведя че есте бине сэ факэ фиий оаменилор суб черурь, ын тот тимпул веций лор.
1502040064	Ам фэкут лукрурь марь: мь-ам зидит касе, мь-ам сэдит вий,
1502050096	мь-ам фэкут грэдинь ши ливезь де помь ши ам сэдит ын еле тот фелул де помь родиторь.
1502060063	Мь-ам фэкут язурь ка сэ уд думбрава унде креск копачий.
1502070113	Ам кумпэрат робь ши роабе ши ам авут копий де касэ; ам авут чирезь де бой ши турме де ой май мулт декыт тоць чей че фусесерэ ынаинте де мине ын Иерусалим.
1502080108	Мь-ам стрынс арӂинт ши аур, ши богэций ка де ымпэраць ши цэрь. Мь-ам адус кынтэрець ши кынтэреце ши десфэтаря фиилор оаменилор: о мулциме де фемей.
15020900b7	Ам ажунс маре, май маре декыт тоць чей че ерау ынаинтя мя ын Иерусалим. Мь-ам пэстрат кяр ынцелепчуня.
15020a012c	Тот че мь-ау пофтит окий ле-ам дат; ну мь-ам оприт инима де ла ничо веселие, чи ам лэсат-о сэ се букуре де тоатэ труда мя, ши ачаста мь-а фост партя дин тоатэ остеняла мя.
15020b0194	Апой, кынд м-ам уйтат ку бэгаре де сямэ ла тоате лукрэриле пе каре ле фэкусем ку мыниле меле ши ла труда ку каре ле фэкусем, ам вэзут кэ ын тоате есте нумай дешертэчуне ши гоанэ дупэ вынт ши кэ ну есте нимик трайник суб соаре.
15020c010d	Атунч мь-ам ынторс привириле спре ынцелепчуне, простие ши небуние. – Кэч че ва фаче омул каре ва вени дупэ ымпэрат? Чея че с-а фэкут ши май ынаинте. –
15020d00d5	Ши ам вэзут кэ ынцелепчуня есте ку атыт май де фолос декыт небуния, ку кыт есте май де фолос лумина декыт ынтунерикул.
15020e00d9	Ынцелептул ышь аре окий ын кап, яр небунул умблэ ын ынтунерик. Дар ам бэгат де сямэ кэ ши унул, ши алтул ау ачеяшь соартэ.
15020f0123	Ши ам зис ын инима мя: „Дакэ ши еу вой авя ачеяшь соартэ ка небунул, атунч пентру че ам фост май ынцелепт?” Ши ам зис ын инима мя: „Ши ачаста есте о дешертэчуне.”
150210010c	Кэч помениря ынцелептулуй ну есте май вешникэ декыт а небунулуй: кяр ын зилеле урмэтоаре, тотул есте уйтат. Ши апой ши ынцелептул моаре, ши небунул!
15021100b7	Атунч ам урыт вяца, кэч ну мь-а плэкут че се фаче суб соаре: тотул есте дешертэчуне ши гоанэ дупэ вынт.
15021200e6	Мь-ам урыт пынэ ши тоатэ мунка пе каре ам фэкут-о суб соаре, мункэ пе каре о лас омулуй каре вине дупэ мине, ка сэ се букуре де еа.
1502130138	Ши чине штие дакэ ва фи ынцелепт сау небун? Ши тотушь ел ва фи стэпын пе тоатэ мунка мя, пе каре ам агонисит-о ку трудэ ши ынцелепчуне суб соаре. Ши ачаста есте о дешертэчуне.
15021400ab	Ам ажунс пынэ аколо кэ м-а апукат о маре дезнэдежде де тоатэ мунка пе каре ам фэкут-о суб соаре.
150215014e	Кэч есте кыте ун ом каре а мунчит ку ынцелепчуне, ку причепере ши ку избындэ, ши ласэ родул мунчий луй унуй ом каре ну с-а остенит делок ку еа. Ши ачаста есте о дешертэчуне ши ун маре рэу.
15021600de	Кэч, дрепт ворбинд, че фолос аре омул дин тоатэ мунка луй ши дин тоатэ стрэдуинца инимий луй, ку каре се трудеште суб соаре?
1502170100	Тоате зилеле луй сунт плине де дурере, ши труда луй ну есте декыт неказ: нич мэкар ноаптя н-аре одихнэ инима луй. Ши ачаста есте о дешертэчуне.
150218013a	Ну есте алтэ феричире пентру ом декыт сэ мэнынче ши сэ бя ши сэ-шь ынвеселяскэ суфлетул ку че есте бун дин агонисяла луй! Дар ам вэзут кэ ши ачаста вине дин мына луй Думнезеу.
1502190066	Чине, ын адевэр, поате сэ мэнынче ши сэ се букуре фэрэ Ел?
15021a0163	Кэч Ел дэ омулуй плэкут Луй ынцелепчуне, штиинцэ ши букурие, дар челуй пэкэтос ый дэ грижа сэ стрынгэ ши с-адуне, ка сэ дя челуй плэкут луй Думнезеу! Ши ачаста есте о дешертэчуне ши гоанэ дупэ вынт.
1503010081	Тоате ышь ау время лор ши фиекаре лукру де суб черурь ышь аре часул луй.
15030200db	Наштеря ышь аре время ей, ши моартя ышь аре время ей; сэдитул ышь аре время луй, ши смулӂеря челор сэдите ышь аре время ей.
15030300c5	Учидеря ышь аре время ей, ши тэмэдуиря ышь аре время ей; дэрымаря ышь аре время ей, ши зидиря ышь аре время ей;
15030400c5	плынсул ышь аре время луй, ши рысул ышь аре время луй; бочитул ышь аре время луй, ши жукатул ышь аре время луй;
1503050110	арункаря ку петре ышь аре время ей, ши стрынӂеря петрелор ышь аре время ей; ымбрэцишаря ышь аре время ей, ши депэртаря де ымбрэцишэрь ышь аре время ей;
15030600c5	кэутаря ышь аре время ей, ши пердеря ышь аре время ей; пэстраря ышь аре время ей, ши лепэдаря ышь аре время ей;
15030700c1	руптул ышь аре время луй, ши кусутул ышь аре время луй; тэчеря ышь аре время ей, ши ворбиря ышь аре время ей;
15030800bd	юбитул ышь аре время луй, ши урытул ышь аре время луй; рэзбоюл ышь аре время луй, ши пачя ышь аре время ей.
150309004d	Че фолос аре чел че мунчеште дин труда луй?
15030a0074	Ам вэзут ла че ынделетничире супуне Думнезеу пе фиий оаменилор.
15030b014d	Орьче лукру Ел ыл фаче фрумос ла время луй. А пус ын инима лор кяр ши гындул вешничией, мэкар кэ омул ну поате купринде, де ла ынчепут пынэ ла сфыршит, лукраря пе каре а фэкут-о Думнезеу.
15030c00ba	Ам ажунс сэ куноск кэ ну есте алтэ феричире пентру ей декыт сэ се букуре ши сэ трэяскэ бине ын вяца лор;
15030d00cd	дар ши фаптул кэ ун ом мэнынкэ ши бя ши дуче ун трай бун ын мижлокул ынтреӂий луй мунчь есте ун дар де ла Думнезеу.
15030e0155	Ам ажунс ла куноштинца кэ тот че фаче Думнезеу дэйнуеште ын вечь, ши ла чея че фаче Ел ну май есте нимик де адэугат ши нимик де скэзут, ши кэ Думнезеу фаче аша пентру ка лумя сэ се тямэ де Ел.
15030f0097	Че есте а май фост ши че ва фи а май фост; ши Думнезеу адуче ярэшь ынапой че а трекут.
15031000f2	Ам май вэзут суб соаре кэ, ын локул рындуит пентру жудекатэ, домнеште нелеӂюиря ши кэ, ын локул рындуит пентру дрептате, есте рэутате.
15031100ff	Атунч ам зис ын инима мя: „Думнезеу ва жудека ши пе чел бун, ши пе чел рэу, кэч Ел а сорочит о време пентру орьче лукру ши пентру орьче фаптэ.”
15031200fd	Ам зис ын инима мя кэ ачестя се ынтымплэ нумай пентру оамень, ка сэ-й ынчерче Думнезеу ши ей ыншишь сэ вадэ кэ ну сунт декыт ниште добитоаче.
150313016f	Кэч соарта омулуй ши а добитокулуй есте ачеяшь; ачеяшь соартэ ау амындой; кум моаре унул, аша моаре ши челэлалт; тоць ау ачеяшь суфларе, ши омул ну ынтрече ку нимик пе добиток, кэч тотул есте дешертэчуне.
1503140094	Тоате мерг ла ун лок; тоате ау фост фэкуте дин цэрынэ ши тоате се ынторк ын цэрынэ.
15031500b6	Чине штие дакэ суфларя омулуй се суе ын сус ши дакэ суфларя добитокулуй се кобоарэ ын жос, ын пэмынт?
1503160125	Аша кэ ам вэзут кэ ну есте нимик май бун пентру ом декыт сэ се веселяскэ де лукрэриле луй: ачаста есте партя луй. Кэч чине-л ва фаче сэ се букуре де че ва фи дупэ ел?
150401015b	М-ам уйтат апой ла тоате асупририле каре се фак суб соаре; ши ятэ кэ чей апэсаць варсэ лакримь ши ну есте нимень сэ-й мынгые! Ей сунт прадэ силничией асуприторилор лор ши н-аре чине сэ-й мынгые!
15040200ba	Ши ам гэсит кэ морций каре ау мурит май ынаинте сунт май феричиць декыт чей вий, каре сунт ынкэ ын вяцэ.
15040300e0	Дар май феричит декыт амындой, ам гэсит пе чел че ну с-а нэскут ынкэ, фииндкэ н-а вэзут тоате релеле каре се петрек суб соаре.
1504040114	Ам май вэзут кэ орьче мункэ ши орьче искусинцэ ла лукру ышь аре темеюл нумай ын пизма унуя асупра алтуя. Ши ачаста есте о дешертэчуне ши гоанэ дупэ вынт.
1504050074	Небунул ышь ынкручишязэ мыниле ши ышь мэнынкэ ынсэшь карня луй.
150406009e	Май бине о мынэ плинэ де одихнэ, декыт амындой пумний плинь де трудэ ши гоанэ дупэ вынт.
150407004c	Ам май вэзут о алтэ дешертэчуне суб соаре.
15040801c5	Ун ом есте сингур-сингурел, н-аре нич фиу, нич фрате, ши тотушь мунка луй н-аре сфыршит, окий ну и се сатурэ ничодатэ де богэций ши ну се гындеште: „Пентру чине мунческ еу ши-мь липсеск суфлетул де плэчерь?” Ши ачаста есте о дешертэчуне ши ун лукру рэу.
1504090083	Май бине дой декыт унул, кэч яу о платэ ку атыт май бунэ пентру мунка лор.
15040a00e7	Кэч, дакэ се ынтымплэ сэ кадэ, се ридикэ унул пе алтул. Дар вай де чине есте сингур ши каде фэрэ сэ айбэ пе алтул каре сэ-л ридиче!
15040b00c0	Тот аша, дакэ се кулкэ дой ымпреунэ, се ынкэлзеск унул пе алтул, дар кум аре сэ се ынкэлзяскэ дакэ е сингур?
15040c00c2	Ши дакэ се скоалэ чинева асупра унуя, дой пот сэ-й стя ымпотривэ; ши фуния ымплетитэ ын трей ну се рупе ушор.
15040d00dc	Май бине ун копил сэрак ши ынцелепт декыт ун ымпэрат бэтрын ши фэрэ минте, каре ну ынцелеӂе кэ требуе сэ се ласе ындрумат;
15040e00d1	кэч ел поате сэ ясэ дин темницэ ка сэ домняскэ, мэкар кэ поате кяр сэ се фи нэскут сэрак ын ымпэрэция челуй дин урмэ.
15040f00eb	Ам вэзут пе тоць чей вий, каре умблэ суб соаре, ынконжурынд пе копилул каре авя сэ урмезе дупэ ымпэрат ши сэ домняскэ ын локул луй.
1504100126	Фэрэ сфыршит ера тот попорул ын фрунтя кэруя мерӂя ел. Ши тотушь чей че вор вени дупэ ел ну се вор букура де ел. Кэч ши ачаста есте о дешертэчуне ши гоанэ дупэ вынт.
1505010116	Пэзеште-ць пичорул кынд интри ын Каса луй Думнезеу ши апропие-те май бине сэ аскулць, декыт сэ адучь жертфа небунилор, кэч ей ну штиу кэ фак рэу ку ачаста.
150502012b	Ну те грэби сэ дескизь гура ши сэ ну-ць ростяскэ инима кувинте припите ынаинтя луй Думнезеу, кэч Думнезеу есте ын чер, ши ту, пе пэмынт; де ачея сэ ну спуй ворбе мулте.
15050300b7	Кэч, дакэ виселе се наск дин мулцимя грижилор, простия небунулуй се куноаште дин мулцимя кувинтелор.
1505040104	Дакэ ай фэкут о журуинцэ луй Думнезеу, ну зэбови с-о ымплинешть, кэч Луй ну-Й плак чей фэрэ минте; де ачея ымплинеште журуинца пе каре ай фэкут-о.
150505008f	Май бине сэ ну фачь ничо журуинцэ декыт сэ фачь о журуинцэ ши сэ н-о ымплинешть.
1505060156	Ну лэса гура сэ те баӂе ын пэкат ши ну зиче ынаинтя тримисулуй луй Думнезеу: „М-ам припит.” Пентру че сэ Се мыние Думнезеу дин причина кувинтелор тале ши сэ нимичяскэ лукраря мынилор тале?
15050700d7	Кэч, дакэ есте дешертэчуне ын мулцимя висурилор, ну май пуцин есте ши ын мулцимя ворбелор; де ачея, теме-те де Думнезеу!
1505080153	Кынд везь ын царэ пе чел сэрак нэпэстуит ши жефуит ын нумеле дрептулуй ши дрептэций, сэ ну те мирь де лукрул ачеста. Кэч песте чел маре вегязэ алтул май маре ши песте ей тоць, Чел Пряыналт.
150509008e	Дар ун фолос пентру царэ, ын тоате привинцеле, есте ун ымпэрат прецуит ын царэ.
15050a00f3	Чине юбеште арӂинтул ну се сатурэ ничодатэ де арӂинт ши чине юбеште богэция мултэ ну траӂе фолос дин еа. Ши ачаста есте о дешертэчуне!
15050b00e4	Кынд се ынмулцеск бунэтэциле, се ынмулцеск ши чей че ле папэ. Ши че фолос май аре дин еле стэпынул лор декыт кэ ле веде ку окий?
15050c00dd	Дулче есте сомнул лукрэторулуй, фие кэ а мынкат мулт, фие кэ а мынкат пуцин; дар пе чел богат ну-л ласэ ымбуйбаря сэ доармэ.
15050d00aa	Есте ун маре рэу пе каре л-ам вэзут суб соаре: авуций пэстрате спре неферичиря стэпынулуй лор.
15050e00c9	Дакэ се перд ачесте богэций прин врео ынтымпларе ненорочитэ, ши ел аре ун фиу, фиулуй ну-й рэмыне нимик ын мынь.
15050f00ea	Кум а ешит де гол дин пынтечеле мамей сале, дин каре а венит, аша се ынтоарче ши ну поате сэ я нимик ын мынэ дин тоатэ остеняла луй.
15051000ab	Ши ачеста есте ун маре рэу, ануме кэ се дуче кум венисе. Ши че фолос аре ел кэ с-а трудит ын вынт?
15051100b1	Ба ынкэ тоатэ вяца луй а май требуит сэ мэнынче ку неказ ши а авут мултэ дурере, грижэ ши супэраре.
1505120187	Ятэ че ам вэзут: есте бине ши фрумос ка омул сэ мэнынче ши сэ бя ши сэ трэяскэ бине ын мижлокул мунчий луй, ку каре се трудеште суб соаре, ын тоате зилеле веций луй, пе каре и ле-а дат Думнезеу; кэч ачаста есте партя луй.
1505130145	Дар дакэ а дат Думнезеу куйва авере ши богэций ши й-а ынгэдуит сэ мэнынче дин еле, сэ-шь я партя луй дин еле ши сэ се букуре ын мижлокул мунчий луй: ачеста есте ун дар де ла Думнезеу.
15051400bf	Кэч ну се май гындеште мулт ла скуртимя зилелор веций луй, де време че Думнезеу ый умпле инима де букурие.
150601008f	Есте ун рэу пе каре л-ам вэзут суб соаре ши каре се ынтылнеште дес ынтре оамень.
15060201a7	Есте, де пилдэ, ун ом кэруя й-а дат Думнезеу авере, богэций ши славэ, аша кэ ну-й липсеште нимик дин че-й дореште суфлетул, дар Думнезеу ну-л ласэ сэ се букуре де еле, чи ун стрэин се букурэ де еле: ачаста есте о дешертэчуне ши ун рэу маре.
15060301df	Кяр дакэ ун ом ар авя о сутэ де копий ши ар трэи мулць ань, орькыт де мулт и с-ар мэри нумэрул зилелор анилор луй, дар дакэ ну и се сатурэ суфлетул де бунэтэциле агонисите де ел ши дакэ нич де ынмормынтаре н-аре парте, еу зик кэ о стырпитурэ есте май феричитэ декыт ел.
15060400c3	Кэч ачаста дин урмэ пере одатэ ку вениря ей, се дуче ын ынтунерик ши нумеле ый рэмыне акоперит ку ынтунерик;
150605009a	н-а вэзут, нич н-а куноскут соареле, ши де ачея есте май бине де еа декыт де омул ачела.
15060600c8	Ши де ар трэи кяр де доуэ орь о мие де ань ун астфел де ом, фэрэ сэ се букуре де феричире, ну мерг тоате ла ун лок?
150607009c	Тоатэ труда омулуй есте пентру гура луй, ши тотушь пофтеле ну и се ымплинеск ничодатэ.
15060800cb	Кэч че аре ынцелептул май мулт декыт небунул? Че фолос аре ненорочитул каре штие сэ се поарте ынаинтя челор вий?
15060900cb	Май бине че везь ку окий декыт фрэмынтаре де пофте неымплините: ши ачаста есте о дешертэчуне ши гоанэ дупэ вынт.
15060a0100	Че есте омул се куноаште дупэ нумеле каре и с-а дат демулт: се штие кэ есте дин пэмынт ши ну поате сэ се жудече ку чел че есте май таре декыт ел.
15060b00a2	Кэч кяр дакэ фаче мултэ ворбэ, каре доар ынмулцеште дешертэчуня, че фолос аре омул дин еа?
15060c013f	Кэч чине штие че есте бине пентру ом ын вяцэ, ын тоате зилеле веций луй де вецуире дешартэ, пе каре ле петрече ка о умбрэ? Ши чине поате сэ спунэ омулуй че ва фи дупэ ел суб соаре?
15070100a4	Май мулт фаче ун нуме бун декыт унтделемнул мироситор, ши зиуа морций декыт зиуа наштерий.
1507020149	Май бине сэ те дучь ынтр-о касэ де жале декыт сэ те дучь ынтр-о касэ де петречере; кэч аколо ыць адучь аминте де сфыршитул орькэруй ом, ши чине трэеште ышь пуне ла инимэ лукрул ачеста.
15070300a0	Май бунэ есте ынтристаря декыт рысул, кэч, прин ынтристаря фецей, инима се фаче май бунэ.
15070400a5	Инима ынцелепцилор есте ын каса де жале, яр инима челор фэрэ минте есте ын каса петречерий.
15070500a2	Май бине сэ аскулць мустраря ынцелептулуй декыт сэ аскулць ла кынтекул челор фэрэ минте.
15070600ad	Кэч рысул челор фэрэ минте есте ка пырыитул спинилор суб кэлдаре. Ши ачаста есте о дешертэчуне.
1507070082	Аверя луатэ прин силэ ыннебунеште пе чел ынцелепт ши мита стрикэ инима.
15070800b7	Май бун есте сфыршитул унуй лукру декыт ынчепутул луй; май бине чел бун ла суфлет декыт чел ынгымфат.
150709008e	Ну те грэби сэ те мыний ын суфлетул тэу, кэч мыния локуеште ын сынул небунилор.
15070a00c9	Ну зиче: „Кум се фаче кэ зилеле де май ынаинте ерау май буне декыт ачестя?” Кэч ну дин ынцелепчуне ынтребь аша.
15070b0092	Ынцелепчуня прецуеште кыт о моштенире ши кяр май мулт пентру чей че вэд соареле.
15070c00f9	Кэч окротире дэ ши ынцелепчуня, окротире дэ ши арӂинтул; дар ун фолос май мулт ал штиинцей есте кэ ынцелепчуня цине ын вяцэ пе чей че о ау.
15070d00aa	Уйтэ-те ку бэгаре де сямэ ла лукраря луй Думнезеу! Чине поате сэ ындрепте че а фэкут Ел стрымб?
15070e0137	Ын зиуа феричирий, фий феричит, ши ын зиуа ненорочирий, гындеште-те кэ Думнезеу а фэкут ши пе уна, ши пе чялалтэ, пентру ка омул сэ ну май поатэ шти нимик дин че ва фи дупэ ел.
15070f013b	Тот фелул де лукрурь ам вэзут ын зилеле дешертэчуний меле. Есте кыте ун ом фэрэ приханэ каре пере ын неприхэниря луй, ши есте кыте ун нелеӂюит каре о дуче мулт ын рэутатя луй.
150710008d	Ну фи пря неприхэнит ши ну те арэта пря ынцелепт. Пентру че сэ те перзь сингур?
15071100a8	Дар ну фи нич песте мэсурэ де рэу ши ну фи фэрэ минте. Пентру че врей сэ морь ынаинте де време?
15071200d6	Бине есте сэ ций ла ачаста, дар нич пе чялалтэ сэ н-о лашь дин мынэ, кэч чине се теме де Думнезеу скапэ дин тоате ачестя.
1507130099	Ынцелепчуня фаче пе чел ынцелепт май таре декыт зече витежь каре сунт ынтр-о четате.
150714009f	Фииндкэ пе пэмынт ну есте ничун ом фэрэ приханэ, каре сэ факэ бинеле фэрэ сэ пэкэтуяскэ.
15071500b0	Ну луа нич ту сяма ла тоате ворбеле каре се спун, ка ну кумва с-аузь пе слуга та ворбинду-те де рэу!
150716006d	Кэч штие инима та де кыте орь ай ворбит ши ту де рэу пе алций.
15071700cc	Тоате ачестя ле-ам черчетат ку ынцелепчуне. Ам зис: „Мэ вой ынцелепци.” Дар ынцелепчуня а рэмас департе де мине.
1507180087	Ку мулт май департе декыт ера май ынаинте ши че адынкэ! Чине о ва путя гэси?
1507190136	М-ам апукат ши ам черчетат тоате лукруриле ку гынд сэ ынцелег, сэ адынческ ши сэ каут ынцелепчуня ши ростул лукрурилор ши сэ причеп небуния рэутэций ши рэтэчиря простией.
15071a015a	Ши ам гэсит кэ май амарэ декыт моартя есте фемея а кэрей инимэ есте о курсэ ши ун лац ши але кэрей мынь сунт ниште ланцурь; чел плэкут луй Думнезеу скапэ де еа, дар чел пэкэтос есте принс де еа.
15071b00ab	Ятэ че ам гэсит, зиче Еклезиастул, черчетынд лукруриле унул кыте унул, ка сэ ле пэтрунд ростул;
15071c00c5	ятэ че-мь каутэ ши акум суфлетул ши н-ам гэсит. Дин о мие ам гэсит ун ом, дар о фемее н-ам гэсит ын тоате ачестя.
15071d00b1	Нумай ятэ че ам гэсит: кэ Думнезеу а фэкут пе оамень фэрэ приханэ, дар ей умблэ ку мулте ширетений.
