0100000048	ମୋଶାଙ୍କ ଲିଖିତ ପ୍ରଥମ ପୁସ୍ତକ
18280503d4	ଯିରିମୀୟ ଫେରି ନ ଯାଉଣୁ ନବୂଷରଦନ୍‍ ତାଙ୍କୁ କହିଲା, “ତେବେ ତୁମ୍ଭେ ଶାଫନ୍‍ର ପୌତ୍ର ଅହୀକାମ୍‍‍ର ପୁତ୍ର ଗଦଲୀୟ ନିକଟକୁ ଫେରିଯାଅ, ବାବିଲର ରାଜା ତାହାକୁ ଯିହୁଦାର ନଗରସମୂହର ଉପରେ ଶାସନକର୍ତ୍ତା ପଦରେ ନିଯୁକ୍ତ କରିଅଛି, ଆଉ ତୁମ୍ଭେ ଲୋକମାନଙ୍କ ମଧ୍ୟରେ ତାହା ସଙ୍ଗେ ବାସ କର; ଅବା ଯେକୌଣସି ସ୍ଥାନକୁ ଯିବା ପାଇଁ ତୁମ୍ଭକୁ ଉପଯୁକ୍ତ ଦିଶେ, ସେ ସ୍ଥାନକୁ ଯାଅ।” ତହିଁରେ ପ୍ରହରୀବର୍ଗର ସେନାପତି ତାଙ୍କୁ ପାଥେୟ ଓ ପାରିତୋଷିକ ଦେଇ ବିଦାୟ କଲା।
1828060129	ତହିଁରେ ଯିରିମୀୟ ମିସ୍ପାକୁ ଅହୀକାମ୍‍‍ର ପୁତ୍ର ଗଦଲୀୟ ନିକଟକୁ ଯାଇ ଦେଶସ୍ଥ ଅବଶିଷ୍ଟ ଲୋକମାନଙ୍କ ମଧ୍ୟରେ ତାହା ସଙ୍ଗେ ବାସ କଲେ।
18280702ea	ଏଥିଉତ୍ତାରେ ଅହୀକାମ୍‍‍ର ପୁତ୍ର ଗଦଲୀୟଙ୍କୁ ବାବିଲର ରାଜା ଦେଶର ଶାସନକର୍ତ୍ତା କରି ନିଯୁକ୍ତ କରିଅଛି ଓ ଯେଉଁମାନେ ବନ୍ଦୀ ହୋଇ ବାବିଲକୁ ନୀତ ହୋଇ ନାହାନ୍ତି, ଏପରି ସକଳ ପୁରୁଷ, ସ୍ତ୍ରୀ, ବାଳକ ଓ ବାଳିକା ଓ ଦେଶସ୍ଥ ଦରିଦ୍ରମାନଙ୍କର ଭାର ତାହା ହସ୍ତରେ ସମର୍ପଣ କରିଅଛି ବୋଲି ପଦାରେ ସ୍ଥିତ ସେନାପତିଗଣ ଓ ସେମାନଙ୍କର ଲୋକମାନେ ଶୁଣିଲେ।
182808022a	ତହିଁରେ ସେମାନେ, ଅର୍ଥାତ୍‍, ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲ ଓ କାରେହର ପୁତ୍ର ଯୋହାନନ୍‍ ଓ ଯୋନାଥନ, ତନ୍‍ହୂମତର ପୁତ୍ର ସରାୟ ଓ ନଟୋଫାତୀୟ ଏଫର ପୁତ୍ରମାନେ ଆଉ ମାଖାଥୀୟର ପୁତ୍ର ଯାସନୀୟ, ଏମାନେ, ପୁଣି ଏମାନଙ୍କର ଲୋକମାନେ ମିସ୍ପାକୁ ଗଦଲୀୟ ନିକଟକୁ ଗଲେ।
1828090237	ପୁଣି, ଶାଫନ୍‍ର ପୌତ୍ର ଅହୀକାମ୍‍‍ର ପୁତ୍ର ଗଦଲୀୟ ସେମାନଙ୍କ ଓ ସେମାନଙ୍କ ଲୋକମାନଙ୍କ ନିକଟରେ ଶପଥ କରି କହିଲା, “ତୁମ୍ଭେମାନେ କଲ୍‍ଦୀୟମାନଙ୍କର ଦାସ ହେବା ପାଇଁ ଭୟ କର ନାହିଁ, ବାବିଲ ରାଜାର ଦାସ ହୋଇ ଦେଶରେ ବାସ କର, ତହିଁରେ ତୁମ୍ଭମାନଙ୍କର ମଙ୍ଗଳ ହେବ।
18280a02a4	ଦେଖ, ଯେଉଁ କଲ୍‍ଦୀୟମାନେ ଆମ୍ଭମାନଙ୍କ ନିକଟକୁ ଆସିବେ, ସେମାନଙ୍କ ସମ୍ମୁଖରେ ଠିଆ ହେବା ପାଇଁ ଆମ୍ଭେ ମିସ୍ପାରେ ବାସ କରିବା; ମାତ୍ର ତୁମ୍ଭେମାନେ ଦ୍ରାକ୍ଷାରସ, ଗ୍ରୀଷ୍ମକାଳୀନ ଫଳ ଓ ତୈଳ ସଞ୍ଚୟ କରି ଆପଣା ଆପଣା ପାତ୍ରରେ ରଖ, ଆଉ ତୁମ୍ଭମାନଙ୍କର ଯେସକଳ ନଗର ତୁମ୍ଭେମାନେ ହସ୍ତଗତ କରିଅଛ, ତହିଁରେ ବାସ କର।”
18280b0275	ଆଉ, ମୋୟାବରେ ଓ ଅମ୍ମୋନ-ସନ୍ତାନଗଣ ମଧ୍ୟରେ, ଆଉ ଇଦୋମରେ ଓ ଅନ୍ୟାନ୍ୟ ସକଳ ଦେଶରେ ଯେଉଁ ଯିହୁଦୀୟମାନେ ଥିଲେ, ସେମାନେ ଯେତେବେଳେ ଶୁଣିଲେ ଯେ, ବାବିଲର ରାଜା ଯିହୁଦାର ଏକ ଅଂଶ ଲୋକ ଅବଶିଷ୍ଟ ରଖିଅଛି ଓ ଶାଫନ୍‍ର ପୌତ୍ର ଅହୀକାମ୍‍‍ର ପୁତ୍ର ଗଦଲୀୟଙ୍କୁ ସେମାନଙ୍କ ଉପରେ ନିଯୁକ୍ତ କରିଅଛି;
18280c01c4	ସେତେବେଳେ ସେହି ଯିହୁଦୀୟମାନେ ଯେ ଯେଉଁ ସ୍ଥାନକୁ ତାଡ଼ିତ ହୋଇଥିଲେ, ସେସକଳ ସ୍ଥାନରୁ ଫେରି ଯିହୁଦା ଦେଶକୁ ମିସ୍ପାରେ ଗଦଲୀୟ ନିକଟକୁ ଆସିଲେ, ଆଉ ପ୍ରଚୁର ଦ୍ରାକ୍ଷାରସ ଓ ଗ୍ରୀଷ୍ମକାଳୀନ ଫଳ ସଞ୍ଚୟ କଲେ।
18280d00e2	ଆହୁରି, କାରେହର ପୁତ୍ର ଯୋହାନନ୍‍ ଓ ପଦାରେ ଅବସ୍ଥିତ ସେନାପତିସକଳ ମିସ୍ପାରେ ଗଦଲୀୟ ନିକଟକୁ ଆସିଲେ,
18280e01f1	ଆଉ ତାହାକୁ କହିଲେ, “ଅମ୍ମୋନ-ସନ୍ତାନଗଣର ରାଜା ବାଲୀସ ଆପଣଙ୍କ ପ୍ରାଣ ନେବା ପାଇଁ ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲକୁ ପଠାଇଅଛି ବୋଲି କି ଆପଣ ଜାଣନ୍ତି?” ମାତ୍ର ଅହୀକାମ୍‍‍ର ପୁତ୍ର ଗଦଲୀୟ ସେମାନଙ୍କ କଥାରେ ବିଶ୍ୱାସ କଲା ନାହିଁ।
18280f02eb	ତହିଁରେ କାରେହର ପୁତ୍ର ଯୋହାନନ୍‍ ମିସ୍ପାରେ ଗଦଲୀୟଙ୍କୁ ଗୋପନରେ କହିଲା, “ଆପଣଙ୍କର ଅନୁମତି ହେଲେ ମୁଁ ଯାଇ ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲକୁ ବଧ କରିବି, ଆଉ କେହି ତାହା ଜାଣିବ ନାହିଁ; ସେ କାହିଁକି ଆପଣଙ୍କୁ ବଧ କରିବ ଓ ତଦ୍ଦ୍ୱାରା ଆପଣଙ୍କ ନିକଟରେ ସଂଗୃହୀତ ଯିହୁଦୀୟ ସମସ୍ତେ ଛିନ୍ନଭିନ୍ନ ହୋଇଯିବେ ଓ ଯିହୁଦାର ଅବଶିଷ୍ଟାଂଶ ବିନଷ୍ଟ ହେବ?”
182810016e	ମାତ୍ର ଅହୀକାମ୍‍‍ର ପୁତ୍ର ଗଦଲୀୟ କାରେହର ପୁତ୍ର ଯୋହାନନ୍‍କୁ କହିଲା, “ତୁମ୍ଭେ ଏ କାର୍ଯ୍ୟ କରିବ ନାହିଁ; କାରଣ ତୁମ୍ଭେ ଇଶ୍ମାୟେଲ ବିଷୟରେ ମିଥ୍ୟା କଥା କହୁଅଛ।”
182901022b	ଏଥିଉତ୍ତାରେ ସପ୍ତମ ମାସରେ ରାଜାର ଅମାତ୍ୟମାନଙ୍କ ମଧ୍ୟରେ ଗଣିତ ରାଜବଂଶୀୟ, ଇଲୀଶାମାର ପୌତ୍ର ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲ ଓ ତାହା ସଙ୍ଗେ ଦଶ ଜଣ ପୁରୁଷ ମିସ୍ପାକୁ ଅହୀକାମ୍‍‍ର ପୁତ୍ର ଗଦଲୀୟ ନିକଟକୁ ଆସିଲେ; ଆଉ, ସେମାନେ ମିସ୍ପାରେ ଏକତ୍ର ଭୋଜନ କଲେ।
18290201c7	ସେତେବେଳେ ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲ ଓ ତାହାର ସଙ୍ଗୀ ସେହି ଦଶ ଲୋକ ଉଠି ବାବିଲ ରାଜା ଦ୍ୱାରା ଦେଶର ଶାସନକର୍ତ୍ତା ପଦରେ ନିଯୁକ୍ତ, ଶାଫନ୍‍ର ପୌତ୍ର ଅହୀକାମ୍‍‍ର ପୁତ୍ର ଗଦଲୀୟଙ୍କୁ ଖଡ୍ଗାଘାତରେ ବଧ କଲେ।
182903017b	ଆହୁରି, ମିସ୍ପାରେ ଗଦଲୀୟ ସଙ୍ଗେ ଥିବା ସମସ୍ତ ଯିହୁଦୀୟ ଲୋକଙ୍କୁ ଓ ସେଠାରେ ଯେଉଁ କଲ୍‍ଦୀୟମାନେ ଦେଖାଗଲେ, ସେମାନଙ୍କୁ, ଅର୍ଥାତ୍‍, ଯୋଦ୍ଧାମାନଙ୍କୁ ଇଶ୍ମାୟେଲ ବଧ କଲା।
18290400a7	ପୁଣି, ସେ ଗଦଲୀୟଙ୍କୁ ବଧ କଲା ଉତ୍ତାରେ, ସେ ବିଷୟ କେହି ନ ଜାଣିବା ପୂର୍ବରୁ,
1829050212	ଶିଖିମ, ଶୀଲୋ ଓ ଶମରୀୟାରୁ ଅଶୀ ଜଣ ପୁରୁଷ କ୍ଷୌର ଦାଢ଼ି ଓ ଛିନ୍ନବସ୍ତ୍ର ପରିହିତ ହୋଇ, ଆଉ ଆପଣା ଆପଣା ଶରୀରରେ ଅସ୍ତ୍ରାଘାତ କରି, ପୁଣି ସଦାପ୍ରଭୁଙ୍କ ଗୃହରେ ଉତ୍ସର୍ଗ କରିବା ପାଇଁ ଆପଣା ଆପଣା ହସ୍ତରେ ନୈବେଦ୍ୟ ଓ କୁନ୍ଦୁରୁ ନେଇ ଆସୁଥିଲେ।
1829060216	ତହିଁରେ ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲ ସେମାନଙ୍କୁ ଭେଟିବା ପାଇଁ ମିସ୍ପାଠାରୁ ଗଲା; ଆଉ, ଯାଉ ଯାଉ ସେ ବାଟଯାକ କ୍ରନ୍ଦନ କରି କରି ଗଲା; ପୁଣି, ସେମାନଙ୍କ ସହିତ ସାକ୍ଷାତ ହୁଅନ୍ତେ, ସେ ସେମାନଙ୍କୁ କହିଲା, “ଅହୀକାମ୍‍‍ର ପୁତ୍ର ଗଦଲୀୟ ନିକଟକୁ ଆସ।”
182907015c	ଏଉତ୍ତାରେ ସେମାନେ ନଗରର ମଧ୍ୟସ୍ଥାନରେ ଉପସ୍ଥିତ ହୁଅନ୍ତେ, ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲ ଓ ତାହାର ସଙ୍ଗୀ ପୁରୁଷମାନେ ସେମାନଙ୍କୁ ବଧ କରି କୂପରେ ପକାଇଦେଲେ।
182908023c	ମାତ୍ର ସେମାନଙ୍କ ମଧ୍ୟରୁ ଦଶ ଜଣ ଇଶ୍ମାୟେଲକୁ କହିଲେ, “ଆମ୍ଭମାନଙ୍କୁ ବଧ କର ନାହିଁ; କାରଣ ଆମ୍ଭେମାନେ କ୍ଷେତ୍ରରେ ଗହମ, ଯବ, ତୈଳ ଓ ମଧୁ ସଞ୍ଚୟ କରି ପୋତି ଲୁଚାଇ ରଖିଅଛୁ।” ତହିଁରେ ସେ କ୍ଷାନ୍ତ ହୋଇ ସେମାନଙ୍କ ଭ୍ରାତୃଗଣ ମଧ୍ୟରେ ସେମାନଙ୍କୁ ବଧ କଲା ନାହିଁ।
1829090224	ଇଶ୍ମାୟେଲ ଯେଉଁ କୂପରେ ଆପଣା ଦ୍ୱାରା ହତ ଲୋକମାନଙ୍କର ଶବ ଗଦଲୀୟଙ୍କ ଶବ ନିକଟରେ ପକାଇଦେଲା, ସେହି କୂପ ଆସା ରାଜା, ଇସ୍ରାଏଲର ବାଶା ରାଜାର ଭୟରେ ପ୍ରସ୍ତୁତ କରିଥିଲେ; ପୁଣି, ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲ ହତ ଲୋକମାନଙ୍କ ଶବରେ ତାହା ପରିପୂର୍ଣ୍ଣ କଲା।
18290a0364	ଏଥିଉତ୍ତାରେ ଇଶ୍ମାୟେଲ, ମିସ୍ପାରେ ଅବଶିଷ୍ଟ ଥିବା ସମସ୍ତ ଲୋକଙ୍କୁ, ଅର୍ଥାତ୍‍, ସମସ୍ତ ରାଜକନ୍ୟାଗଣକୁ ଓ ମିସ୍ପାରେ ଅବଶିଷ୍ଟ ଥିବା ଯେସମସ୍ତ ଲୋକଙ୍କୁ ପ୍ରହରୀବର୍ଗର ସେନାପତି ନବୂଷରଦନ୍‍ ଅହୀକାମ୍‍‍ର ପୁତ୍ର ଗଦଲୀୟ ହସ୍ତରେ ସମର୍ପଣ କରିଥିଲା, ସେମାନଙ୍କୁ ବନ୍ଦୀ କରି ନେଇଗଲା; ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲ ସେମାନଙ୍କୁ ବନ୍ଦୀ କରି ଅମ୍ମୋନ-ସନ୍ତାନଗଣର ନିକଟକୁ ଯିବା ପାଇଁ ପ୍ରସ୍ଥାନ କଲା।
18290b0127	ମାତ୍ର ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲର ଏହିସବୁ ଦୁଷ୍କର୍ମ ବିଷୟ କାରେହର ପୁତ୍ର ଯୋହାନନ୍‍ ଓ ତାହାର ସଙ୍ଗୀ ସେନାପତି ସମସ୍ତେ ଶୁଣନ୍ତେ,
18290c0142	ସେମାନେ ସମସ୍ତ ଲୋକଙ୍କୁ ନେଇ ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲ ସଙ୍ଗେ ଯୁଦ୍ଧ କରିବାକୁ ଗଲେ ଓ ଗିବୀୟୋନ୍‍ସ୍ଥିତ ମହାଜଳାଶୟ ନିକଟରେ ତାହାକୁ ଦେଖିଲେ।
18290d012c	ସେତେବେଳେ ଇଶ୍ମାୟେଲ ସଙ୍ଗେ ଥିବା ସମସ୍ତ ଲୋକ କାରେହର ପୁତ୍ର ଯୋହାନନ୍‍କୁ ଓ ତାହାର ସଙ୍ଗୀ ସେନାପତିମାନଙ୍କୁ ଦେଖି ଆନନ୍ଦିତ ହେଲେ।
18290e0142	ତହିଁରେ ଇଶ୍ମାୟେଲ ଯେଉଁ ଲୋକମାନଙ୍କୁ ମିସ୍ପାରୁ ବନ୍ଦୀ କରି ନେଇଯାଇଥିଲା, ସେସମସ୍ତେ ଲେଉଟି କାରେହର ପୁତ୍ର ଯୋହାନନ୍‍ ନିକଟକୁ ଫେରି ଆସିଲେ।
18290f00f8	ମାତ୍ର ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲ ଆଠ ଜଣ ଲୋକ ସହିତ ଯୋହାନନ୍‍ ନିକଟରୁ ପଳାଇ ଅମ୍ମୋନ-ସନ୍ତାନଗଣର ନିକଟକୁ ଗଲା।
1829100326	ତହୁଁ ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲ ଅହୀକାମ୍‍‍ର ପୁତ୍ର ଗଦଲୀୟଙ୍କୁ ବଧ କଲା ଉତ୍ତାରେ କାରେହର ପୁତ୍ର ଯୋହାନନ୍‍ ଆପଣା ସଙ୍ଗୀ ସେନାପତିଗଣ ସହିତ ଯେସମସ୍ତ ଅବଶିଷ୍ଟ ଲୋକଙ୍କୁ ତାହା ହସ୍ତରୁ ଉଦ୍ଧାର କରି ମିସ୍ପାରୁ ଆଣିଥିଲା, ସେମାନଙ୍କୁ, ଅର୍ଥାତ୍‍, ଗିବୀୟୋନ୍‍ରୁ ଆଣିଥିବା ଯୋଦ୍ଧା ପୁରୁଷମାନଙ୍କୁ ଓ ସ୍ତ୍ରୀଲୋକ, ବାଳକ ବାଳିକା ଓ ନପୁଂସକମାନଙ୍କୁ ସେ ସଙ୍ଗେ ନେଲା।
1829110143	ଆଉ, ସେମାନେ କଲ୍‍ଦୀୟମାନଙ୍କ ସକାଶୁ ମିସରରେ ପ୍ରବେଶ କରିବା ନିମନ୍ତେ ପ୍ରସ୍ଥାନ କରି ବେଥଲିହିମ ନିକଟସ୍ଥ ଗେରୁତ୍ତ୍ୱ କିମ୍‍ହମ୍‍ରେ ବାସ କଲେ;
1829120194	କାରଣ ନଥନୀୟର ପୁତ୍ର ଇଶ୍ମାୟେଲ, ବାବିଲ ରାଜାର ନିଯୁକ୍ତ ଦେଶର ଶାସନକର୍ତ୍ତା ଅହୀକାମ୍‍‍ର ପୁତ୍ର ଗଦଲୀୟଙ୍କୁ ବଧ କରିବା ହେତୁରୁ ସେମାନେ କଲ୍‍ଦୀୟମାନଙ୍କ ବିଷୟରେ ଭୀତ ହୋଇଥିଲେ।
182a01017c	ଏଥିଉତ୍ତାରେ ସେନାପତି ସମସ୍ତେ, କାରେହର ପୁତ୍ର ଯୋହାନନ୍‍ ଓ ହୋଶୋୟୀୟର ପୁତ୍ର ଯାସନୀୟ, ଆଉ କ୍ଷୁଦ୍ର ଓ ମହାନ ସମସ୍ତ ଲୋକ ଯିରିମୀୟ ଭବିଷ୍ୟଦ୍‍ବକ୍ତା ନିକଟକୁ ଆସି କହିଲେ,
182a0202e4	“ଆମ୍ଭେମାନେ ବିନୟ କରୁଅଛୁ, ଆମ୍ଭମାନଙ୍କର ନିବେଦନ ଆପଣଙ୍କ ନିକଟରେ ଗ୍ରାହ୍ୟ ହେଉ, ଆପଣ ଆମ୍ଭମାନଙ୍କ ନିମନ୍ତେ, ଅର୍ଥାତ୍‍, ଅବଶିଷ୍ଟ ଏହି ସକଳ ଲୋକଙ୍କ ନିମନ୍ତେ ସଦାପ୍ରଭୁ ଆପଣଙ୍କ ପରମେଶ୍ୱରଙ୍କ ନିକଟରେ ପ୍ରାର୍ଥନା କରନ୍ତୁ; କାରଣ ଆପଣ ସ୍ୱଚକ୍ଷୁରେ ଆମ୍ଭମାନଙ୍କୁ ଦେଖୁଅଛନ୍ତି, ଆମ୍ଭେମାନେ ଅନେକ ଥିଲୁ, ଏବେ ଅଳ୍ପମାତ୍ର ରହିଅଛୁ।
182a030155	ତହିଁରେ କେଉଁ ପଥ ଆମ୍ଭମାନଙ୍କର ଗନ୍ତବ୍ୟ ଓ କେଉଁ କର୍ମ ଆମ୍ଭମାନଙ୍କର କର୍ତ୍ତବ୍ୟ, ଏହା ସଦାପ୍ରଭୁ ଆପଣଙ୍କ ପରମେଶ୍ୱର ଆମ୍ଭମାନଙ୍କୁ ଜ୍ଞାତ କରାଇବେ।”
182a040316	ସେତେବେଳେ ଯିରିମୀୟ ଭବିଷ୍ୟଦ୍‍ବକ୍ତା ସେମାନଙ୍କୁ କହିଲେ, “ମୁଁ ତୁମ୍ଭମାନଙ୍କର କଥା ଶୁଣିଲି; ଦେଖ, ମୁଁ ତୁମ୍ଭମାନଙ୍କର କଥାନୁସାରେ ସଦାପ୍ରଭୁ ତୁମ୍ଭମାନଙ୍କର ପରମେଶ୍ୱରଙ୍କ ନିକଟରେ ପ୍ରାର୍ଥନା କରିବି ଓ ସଦାପ୍ରଭୁ ତୁମ୍ଭମାନଙ୍କୁ ଯେକୌଣସି ଉତ୍ତର ଦେବେ, ତାହା ମୁଁ ତୁମ୍ଭମାନଙ୍କୁ ଜଣାଇବି; ମୁଁ କୌଣସି କଥା ତୁମ୍ଭମାନଙ୍କଠାରୁ ଗୋପନ କରିବି ନାହିଁ।”
182a050226	ତହିଁରେ ସେମାନେ ଯିରିମୀୟଙ୍କୁ କହିଲେ, “ସଦାପ୍ରଭୁ ଆପଣଙ୍କ ପରମେଶ୍ୱର ଯେଉଁ କଥା କହି ଆପଣଙ୍କୁ ଆମ୍ଭମାନଙ୍କ ନିକଟକୁ ପଠାଇବେ, ତଦନୁସାରେ ଯଦି ଆମ୍ଭେମାନେ କର୍ମ ନ କରୁ, ତେବେ ସଦାପ୍ରଭୁ ଆମ୍ଭମାନଙ୍କ ମଧ୍ୟରେ ସତ୍ୟ ଓ ବିଶ୍ୱସ୍ତ ସାକ୍ଷୀ ହେଉନ୍ତୁ।
182a060222	ତାହା ଭଲ ହେଉ ବା ମନ୍ଦ ହେଉ, ଯାହାଙ୍କ ନିକଟକୁ ଆମ୍ଭେମାନେ ଆପଣଙ୍କୁ ପଠାଉଅଛୁ, ସେହି ସଦାପ୍ରଭୁ ଆମ୍ଭମାନଙ୍କ ପରମେଶ୍ୱରଙ୍କ ବାକ୍ୟ ଆମ୍ଭେମାନେ ମାନିବୁ; କାରଣ ସଦାପ୍ରଭୁ ଆମ୍ଭମାନଙ୍କ ପରମେଶ୍ୱରଙ୍କ ବାକ୍ୟ ମାନିଲେ, ଆମ୍ଭମାନଙ୍କର ମଙ୍ଗଳ ହେବ।”
182a0700d2	ଏଥିଉତ୍ତାରେ ଦଶ ଦିନ ଉତ୍ତାରେ ଯିରିମୀୟଙ୍କ ନିକଟରେ ସଦାପ୍ରଭୁଙ୍କର ବାକ୍ୟ ଉପସ୍ଥିତ ହେଲା।
182a080160	ତହିଁରେ ସେ କାରେହର ପୁତ୍ର ଯୋହାନନ୍‍କୁ ଓ ତାହାର ସଙ୍ଗୀ ସେନାପତି ସମସ୍ତଙ୍କୁ ଓ କ୍ଷୁଦ୍ରଠାରୁ ମହାନ ଲୋକ ପର୍ଯ୍ୟନ୍ତ ସମସ୍ତଙ୍କୁ ଡାକି ସେମାନଙ୍କୁ କହିଲେ,
182a09013c	“ତୁମ୍ଭେମାନେ ଯାହାଙ୍କ ନିକଟରେ ଆପଣାମାନଙ୍କର ନିବେଦନ ଜଣାଇବାକୁ ମୋତେ ପଠାଇଥିଲ, ସେହି ସଦାପ୍ରଭୁ ଇସ୍ରାଏଲର ପରମେଶ୍ୱର ଏହି କଥା କହନ୍ତି;
182a0a0247	ଯଦି ତୁମ୍ଭେମାନେ ଏହି ଦେଶରେ ଆହୁରି ବାସ କରିବ, ତେବେ ଆମ୍ଭେ ତୁମ୍ଭମାନଙ୍କୁ ନିର୍ମାଣ କରିବା, ଆଉ ଭାଙ୍ଗିବା ନାହିଁ ଓ ଆମ୍ଭେ ତୁମ୍ଭମାନଙ୍କୁ ରୋପଣ କରିବା, ଉତ୍ପାଟନ କରିବା ନାହିଁ; କାରଣ ଆମ୍ଭେ ତୁମ୍ଭମାନଙ୍କ ପ୍ରତି ଯେ ଅମଙ୍ଗଳ କରିଅଛୁ, ତହିଁରୁ କ୍ଷାନ୍ତ ହେଲୁ।
182a0b0201	ତୁମ୍ଭେମାନେ ଯେଉଁ ବାବିଲ ରାଜା ବିଷୟରେ ଭୀତ ଅଛ, ତାହାକୁ ଭୟ କର ନାହିଁ, ସଦାପ୍ରଭୁ କହନ୍ତି, ତାହାକୁ ଭୟ କର ନାହିଁ; କାରଣ ତୁମ୍ଭମାନଙ୍କୁ ରକ୍ଷା କରିବାକୁ ଓ ତାହା ହସ୍ତରୁ ଉଦ୍ଧାର କରିବାକୁ ଆମ୍ଭେ ତୁମ୍ଭମାନଙ୍କର ସହବର୍ତ୍ତୀ ଅଛୁ।
182a0c0159	ପୁଣି, ଆମ୍ଭେ ତୁମ୍ଭମାନଙ୍କୁ ଦୟା ପ୍ରଦାନ କରିବା, ତହିଁରେ ସେ ତୁମ୍ଭମାନଙ୍କ ପ୍ରତି ଦୟା ବହି ତୁମ୍ଭମାନଙ୍କ ଦେଶକୁ ତୁମ୍ଭମାନଙ୍କୁ ପ୍ରତ୍ୟାଗମନ କରାଇବ।
182a0d0134	ମାତ୍ର ଯଦି ତୁମ୍ଭେମାନେ କୁହ, ଆମ୍ଭେମାନେ ଏ ଦେଶରେ ବାସ କରିବା ନାହିଁ ଓ ସଦାପ୍ରଭୁ ତୁମ୍ଭମାନଙ୍କ ପରମେଶ୍ୱରଙ୍କ ବାକ୍ୟ ନ ମାନି ଯଦି କୁହ,
182a0e01ae	ନା; ମାତ୍ର ଆମ୍ଭେମାନେ ମିସର ଦେଶକୁ ଯିବା, ସେଠାରେ ଆମ୍ଭେମାନେ ଯୁଦ୍ଧ ଦେଖିବା ନାହିଁ, କି ତୂରୀ ଶବ୍ଦ ଶୁଣିବା ନାହିଁ, କିଅବା ଖାଦ୍ୟର ଅଭାବ ଭୋଗିବା ନାହିଁ; ଆଉ, ସେଠାରେ ଆମ୍ଭେମାନେ ବାସ କରିବା।
182a0f023f	ଏହେତୁ ହେ ଯିହୁଦାର ଅବଶିଷ୍ଟ ଲୋକେ, ତୁମ୍ଭେମାନେ ଏବେ ସଦାପ୍ରଭୁଙ୍କର ବାକ୍ୟ ଶୁଣ: ସୈନ୍ୟାଧିପତି ସଦାପ୍ରଭୁ ଇସ୍ରାଏଲର ପରମେଶ୍ୱର ଏହି କଥା କହନ୍ତି, ତୁମ୍ଭେମାନେ ଯଦି ମିସରରେ ପ୍ରବେଶ କରିବା ପାଇଁ ନିତାନ୍ତ ଉତ୍ସୁକ ହୁଅ ଓ ସେଠାରେ ପ୍ରବାସ କରିବା ପାଇଁ ଯାଅ;
182a100253	ତେବେ ଏହା ଘଟିବ ଯେ, ଯେଉଁ ଖଡ୍ଗକୁ ତୁମ୍ଭେମାନେ ଭୟ କରୁଅଛ, ତାହା ତୁମ୍ଭମାନଙ୍କର ପଛେ ଗୋଡ଼ାଇ ମିସରରେ ତୁମ୍ଭମାନଙ୍କୁ ଧରିବ ଓ ଯେଉଁ ଦୁର୍ଭିକ୍ଷ ବିଷୟରେ ତୁମ୍ଭେମାନେ ଭୀତ ହେଉଅଛ, ତାହା ମିସର ଦେଶରେ ତୁମ୍ଭମାନଙ୍କର ପଛେ ପଛେ ଲାଗି ରହିବ ଓ ସେଠାରେ ତୁମ୍ଭେମାନେ ମରିବ।
182a1102a6	ଯେଉଁମାନେ ମିସରକୁ ଯାଇ ସେଠାରେ ପ୍ରବାସ କରିବା ପାଇଁ ଉତ୍ସୁକ ହୁଅନ୍ତି, ସେସମସ୍ତ ଲୋକଙ୍କ ପ୍ରତି ଏହି ପ୍ରକାର ଘଟିବ; ସେମାନେ ଖଡ୍ଗ, ଦୁର୍ଭିକ୍ଷ ଓ ମହାମାରୀରେ ମରିବେ; ପୁଣି, ଆମ୍ଭେ ସେମାନଙ୍କ ଉପରେ ଯେଉଁ ଅମଙ୍ଗଳ ଘଟାଇବା, ତହିଁରୁ ସେମାନଙ୍କ ମଧ୍ୟରେ କେହି ଉତ୍ତୀର୍ଣ୍ଣ ଅବା ରକ୍ଷାପ୍ରାପ୍ତ ହେବେ ନାହିଁ।
