0100000009	1 Mosebog
0d10270068	Men Præsten Zadok og hans Brødre Præsterne lod han blive foran HERRENS Bolig paa Offerhøjen i Gibeon
0d10280099	for daglig, baade Aften og Morgen, at ofre HERREN Brændofre paa Brændofferalteret ganske som det er foreskrevet i den Lov, HERREN havde paalagt Israel;
0d10290093	og sammen med dem Heman og Jedutun og de øvrige før nævnte udvalgte Mænd til at love HERREN med Ordene »thi hans Miskundhed varer evindelig!«
0d102a0085	Og de havde hos sig Trompeter og Cymbler til dem, der spillede, og Instrumenter til Guds Sange; men Jedutuns Sønner var Dørvogtere.
0d102b0051	Derpaa gik alt Folket hver til sit, og David vendte hjem for at velsigne sit Hus.
0d1101008e	Engang David sad i sit Hus, sagde han til Profeten Natan: »Se, jeg har et Cedertræshus at bo i, men HERRENS Pagts Ark har Plads i et Telt!«
0d1102004d	Natan svarede David: »Gør alt, hvad din Hu staar til, thi Gud er med dig!«
0d1103002e	Men samme Nat kom Guds Ord til Natan saaledes:
0d11040067	»Gaa hen og sig til min Tjener David: Saa siger HERREN: Ikke du skal bygge mig det Hus, jeg skal bo i!
0d11050075	Jeg har jo ikke haft noget Hus at bo i, siden den Dag jeg førte Israeliterne op, men vandrede med, boende i et Telt.
0d110600b3	Har jeg, i al den Tid jeg vandrede om blandt alle Israeliterne, sagt til nogen af Israels Dommere, som jeg satte til at vogte mit Folk: Hvorfor bygger I mig ikke et Cedertræshus?
0d110700a2	Sig derfor til min Tjener David: Saa siger Hærskarers HERRE: Jeg tog dig fra Græsgangen, fra din Plads bag Smaakvæget til at være Fyrste over mit Folk Israel,
0d1108008e	og jeg var med dig, overalt hvor du færdedes, og udryddede alle dine Fjender foran dig; jeg vil skabe dig et Navn som de størstes paa Jorden
0d110900c2	og skaffe mit Folk Israel en Hjemstavn og plante det, saa det kan blive boende paa sit Sted uden mere at skulle forstyrres i sin Ro, og uden at Voldsmænd mere skal ødelægge det som tidligere,
0d110a008c	dengang jeg satte Dommere over mit Folk Israel; og jeg vil underkue alle dine Fjender. Saa kundgør jeg dig nu: Et Hus vil HERREN bygge dig!
0d110b008e	Naar dine Dage er omme og du vandrer til dine Fædre, vil jeg efter dig oprejse din Sæd, en af dine Sønner, og grundfæste hans Kongedømme.
0d110c0047	Han skal bygge mig et Hus, og jeg vil grundfæste hans Trone evindelig.
0d110d008b	Jeg vil være ham en Fader, og han skal være mig en Søn; og min Miskundhed vil jeg ikke tage fra ham, som jeg tog den fra din Forgænger;
0d110e006d	jeg vil indsætte ham i mit Hus og mit Kongedømme til evig Tid, og hans Trone skal staa fast til evig Tid!«
0d110f003e	Alle disse Ord og hele denne Aabenbaring meddelte Natan David.
0d11100089	Da gik Kong David ind og dvælede for HERRENS Aasyn og sagde: »Hvem er jeg, Gud HERRE, og hvad er mit Hus, at du har bragt mig saa vidt?
0d11110089	Men det var dig ikke nok o Gud, du gav ogsaa din Tjeners Hus Forjættelser for fjerne Tider og lod mig skue kommende Slægter, Gud HERRE!
0d1112003d	Hvad mere har David at sige dig? Du kender jo dog din Tjener,
0d11130079	HERRE! For din Tjeners Skyld, og fordi din Hu stod dertil, gjorde du alt dette store og kundgjorde alle disse store Ting,
0d11140061	HERRE! Ingen er som du, og der er ingen Gud uden dig, efter alt hvad vi har hørt med vore Ører.
0d11150101	Og hvor paa Jorden findes et Folk som dit Folk Israel, et Folk, som Gud kom og udfriede og gjorde til sit Folk for at vinde sig et Navn og udføre store og frygtelige Gerninger ved at drive andre Folkeslag bort foran sit Folk, det, du udfriede fra Ægypten?
0d11160062	Du har grundfæstet dit Folk Israel som dit, Folk til evig Tid, og du, HERRE, er blevet deres Gud.
0d11170075	Saa lad da, HERRE, den Forjættelse, du udtalte om din Tjener og hans Hus, gælde til evig Tid og gør, som du sagde!
0d111800ae	Da skal dit Navn staa fast og blive stort til evig Tid, saa man siger: Hærskarers HERRE, Israels Gud, Gud over Israel! Og din Tjener Davids Hus skal staa fast for dit Aasyn.
0d11190086	Thi du, min Gud, har aabenbaret for din Tjener: Jeg vil bygge dig et Hus! Derfor har din Tjener dristet sig til at bede for dit Aasyn.
0d111a0045	Derfor, HERRE, du er Gud, du har givet din Tjener denne Forjættelse,
0d111b00ab	saa lad det behage dig at velsigne din Tjeners Hus, at det til evig Tid maa staa fast for dit Aasyn. Thi du, HERRE, har velsignet det, og det bliver velsignet evindelig!«
0d12010063	Nogen Tid efter slog David Filisterne og undertvang dem, og han fratog Filisterne Gat med Smaabyer.
0d12020053	Fremdeles slog han Moabiterne; og Moabiterne blev Davids skatskyldige Undersaatter.
0d12030087	Ligeledes slog David Kong Hadar'ezer af Zoba i Nærheden af Hamat, da han var draget ud for at underlægge sig Egnene ved Eufratfloden.
0d1204007f	David fratog ham 1000 Vogne, 7000 Ryttere og 20 000 Mand Fodfolk og lod alle Hestene lamme paa hundrede nær, som han skaanede.
0d1205006c	Og da Aramæerne fra Darmaskus kom Kong Hadar'ezer af Zoba til Hjælp, slog David 22 000 Mand af Aramæerne.
0d120600a7	Derpaa indsatte David Fogeder i det darmaskenske Aram, og Aramæerne blev Davids skatskyldige Undersaatter. Saaledes gav HERREN David Sejr, overalt hvor han drog frem.
0d12070058	Og David tog de Guldskjolde, Hadar'ezers Folk havde baaret, og bragte dem til Jerusalem;
0d12080090	og fra Hadar'ezers Byer, Tibhat og Kun, bortførte David Kobber i store Mængder; deraf lod Salomo Kobberhavet, Søjlerne og Kobbersagerne lave.
0d12090061	Men da Kong To'u af Hamat hørte, at David havde slaaet hele Kong Hadar'ezer af Zobas Stridsmagt,
0d120a00f8	sendte han sin Søn Hadoram til Kong David for at hilse paa ham og lykønske ham til, at han havde kæmpet med Hadar'ezer og slaaet ham — Hadar'ezer havde nemlig ligget i Krig med To'u — og han medbragte alle Haande Sølv-, Guld og Kobbersager.
0d120b009a	Ogsaa dem helligede Kong David HERREN tillige med det Sølv og Guld, han havde taget fra alle Folkeslagene, Edom, Moab, Ammoniterne, Filisterne og Amalek.
0d120c003c	Og Absjaj, Zerujas Søn, slog Edom i Saltdalen, 18 000 Mand;
0d120d008c	derpaa indsatte han Fogeder i Edom, og alle Edomiterne blev Davids Undersaatter. Saaledes gav HERREN David Sejr, overalt hvor han drog frem.
0d120e005a	Og David var Konge over hele Israel, og han øvede Ret og Retfærdighed mod hele sit Folk.
0d120f004d	Joab, Zerujas Søn, var sat over Hæren; Josjafat, Ahiluds Søn, var Kansler;
0d12100058	Zadok, Ahitubs Søn, og Abimelek, Ebjatars Søn, var Præster; Sjavsja var Statsskriver;
0d1211006c	Benaja, Jojadas Søn, var sat over Kreterne og Pleterne, og Davids Sønner var de ypperste ved Kongens Side.
0d1301005b	Nogen Tid efter døde Ammoniternes Konge Nahasj, og hans Søn Hanun blev Konge i hans Sted.
0d1302010c	Da tænkte David: »Jeg vil vise Hanun, Nahasj's Søn, Venlighed, thi hans Fader viste mig Venlighed.« Og David sendte Folk for at vise ham Deltagelse i Anledning at hans Faders Død. Men da Davids Mænd kom til Ammoniternes Land til Hanun for at vise ham Deltagelse,
0d130300ee	sagde Ammoniternes Høvdinger til Hanun: »Tror du virkelig, det er for at hædre din Fader, at David sender Bud og viser dig Deltagelse? Mon ikke det er for at udforske og ødelægge Landet og udspejde det, at hans Folk kommer til dig?«
0d13040079	Da tog Hanun Davids Folk og lod dem rage og Halvdelen af deres Klæder skære af til Skridtet, og derpaa lod han dem gaa.
0d130500c2	Da David fik Efterretning om Mændenes Behandling, sendte han dem et Bud i Møde; thi Mændene var blevet grovelig forhaanet; og Kongen lod sige: »Bliv i Jeriko, til eders Skæg er vokset ud!«
0d130600b3	Men da Ammoniterne saa, at de havde lagt sig for Had hos David, sendte Hanun og Ammoniterne 1000 Talenter Sølv for at leje Vogne og Ryttere i Aram-Naharajim, Aram Ma'aka og Zoba;
0d130700b3	og de lejede 32 000 Vogne og Kongen af Ma'aka med hans Folk, og de kom og slog Lejr uden for Medeba; imidlertid havde Ammoniterne samlet sig fra deres Byer og rykkede ud til Kamp.
0d13080050	Da David hørte det, sendte han Joab af Sted med hele Hæren og Kærnetropperne.
0d1309008d	Ammoniterne rykkede saa ud og stillede sig op til Kamp ved Byens Port, medens Kongerne, der var kommet til, stod for sig selv paa aaben Mark.
0d130a0098	Da Joab saa, at Angreb truede ham baade forfra og bagfra, gjorde han et Udvalg blandt alt Israels udsøgte Mandskab og tog Stilling over for Aramæerne,
0d130b0067	medens han overlod Resten af Mandskabet til sin Broder Absjaj, og de tog Stilling over for Ammoniterne.
0d130c0091	Og han sagde: »Hvis Aramæerne bliver mig for stærke, skal du ile mig til Hjælp; men bliver Ammoniterne dig for stærke, skal jeg hjælpe dig.
0d130d0076	Tag Mod til dig og lad os tappert værge vort Folk og vor Guds Byer — saa faar HERREN gøre, hvad ham tykkes godt!«
0d130e0057	Derpaa rykkede Joab frem med sine Folk til Kamp mod Aramæerne, og de flygtede for ham.
0d130f0091	Og da Ammoniterne saa, at Aramæerne tog Flugten, flygtede ogsaa de for hans Broder Absjaj og trak sig ind i Byen. Derpaa kom Joab til Jerusalem.
0d131000a1	Men da Aramæerne saa, at de var slaaet af Israel, sendte de Bud og fik Aramæerne hinsides Floden til at rykke ud med Sjofak, Hadar'ezers Hærfører, i Spidsen.
0d131100a3	Da David fik Efterretning herom, samlede han hele Israel, satte over Jordan og kom til Helam, hvor David stillede sig op til Kamp mod Aramæerne, og de angreb ham.
0d13120093	Men Aramæerne flygtede for Israel, og David nedhuggede 7000 Stridsheste og 40 000 Mand Fodfolk af Aram; ogsaa Hærføreren Sjofak huggede han ned.
0d131300a1	Da alle Hadar'ezers Lydkonger saa, at de var slaaet af Israel, sluttede de Fred med David og underkastede sig, og Aramæerne vilde ikke hjælpe Ammoniterne mere.
0d140100dd	Næste Aar, ved den Tid Kongerne drager i Krig, førte Joab Krigshæren ud og hærgede Ammoniternes Land; derpaa drog han hen og belejrede Rabba. David blev derimod selv i Jerusalem. Og Joab indtog Rabba og ødelagde det.
0d140200ca	Da tog David Kronen af Milkoms Hoved, og han fandt, at den var af Guld og vejede en Talent; der var en Ædelsten paa den, og den blev sat paa Davids Hoved. Et vældigt Bytte fra Byen førte han med sig,
0d140300bc	og Indbyggerne slæbte han bort og satte dem til Savene, Jernhakkerne og Økserne. Saaledes gjorde han ved alle Ammoniternes Byer. Derpaa vendte David og hele Hæren tilbage til Jerusalem.
0d14040091	Siden hen kom det atter til Kamp med Filisterne i Gezer. Husjatiten Sibbekaj nedhuggede da Sippaj, som var af Rafaslægten, og de blev underkuet.
0d1405008d	Atter kom det til Kamp med Filisterne. Elhanan, Ja'irs Søn, nedhuggede da Lami, Gatiten Goliats Broder, hvis Spydstage var som en Væverbom.
0d140600aa	Atter kom det til Kamp i Gat. Da var der en kæmpe stor Mand med seks Fingre paa hver Haand og seks Tæer paa hver Fod, i alt fire og tyve; han var ogsaa af Rafaslægten.
0d14070058	Han haanede Israel, og derfor huggede Jonatan, en Søn af Davids Broder Sjim'a, ham ned.
0d1408004a	Disse var af Rafaslægten i Gat; de faldt for Davids og hans Mænds Haand.
0d1501004e	Satan traadte op mod Israel og æggede David til at holde Mandtal over Israel.
0d150200a0	David sagde da til Joab og Hærførerne: »Drag ud og tæl Israel fra Be'ersjeba til Dan og bring mig Efterretning, for at jeg kan faa Tallet paa dem at vide!«
0d150300be	Men Joab svarede: »Maatte HERREN forøge sit Folk hundredfold! Er de ikke, Herre Konge, min Herres Trælle alle sammen? Hvorfor vil min Herre det? Hvorfor skal det blive Israel til Skyld?«
0d1504007e	Men Joab maatte bøje sig for Kongens Ord, og Joab begav sig derfor bort, drog hele Israel rundt og kom tilbage til Jerusalem.
0d15050080	Joab opgav derpaa David Tallet, der var fundet ved Folketællingen, og hele Israel talte 1 100 000 kraftige Mænd, Juda 470 000.
0d1506004e	Men Levi og Benjamin havde han ikke talt med, thi Kongens Ord var Joab en Gru.
0d15070030	Dette var ondt i Guds Øjne, og han slog Israel.
0d15080092	Da sagde David til Gud: »Jeg har syndet svarlig i, hvad jeg har gjort. Men tilgiv nu din Tjeners Brøde, thi jeg har handlet som en stor Daare!«
0d15090030	Men HERREN talede saaledes til Gad, Davids Seer:
0d150a0083	»Gaa hen og sig saaledes til David: Saa siger HERREN: Jeg forelægger dig tre Ting; vælg selv, hvilken jeg skal lade times dig!«
0d150b0041	Gad kom da til David og sagde til ham: »Saa siger HERREN: Vælg!
0d150c0131	Vælger du tre Hungersnødsaar, eller vil du i tre Maaneder flygte for dine Fjender og dine Avindsmænds Sværd, eller skal der komme tre Dage med HERRENS Sværd og Pest i Landet, i hvilke HERRENS Engel spreder Ødelæggelse i hele Israels Omraade? Se nu til, hvad jeg skal svare ham, der har sendt mig!«
0d150d00a3	David svarede Gad: »Jeg er i saare stor Vaande — lad mig saa falde i HERRENS Haand, thi hans Barmhjertighed er saare stor; i Menneskehaand vil jeg ikke falde!«
0d150e0048	Saa sendte HERREN Pest over Israel, og af Israel døde 70 000 Mennesker.
0d150f0128	Og Gud sendte en Engel til Jerusalem for at ødelægge det. Men lige som han skulde til at ødelægge Byen, saa HERREN til og angrede det onde; og han sagde til Engelen, som var ved at ødelægge: »Nu er det nok, drag din Haand tilbage!« HERRENS Engel stod da ved Jebusiten Ornans Tærskeplads.
0d151000bd	Da David løftede sit Blik og saa HERRENS Engel staa mellem Himmel og Jord med draget Sværd i Haand, rettet mod Jerusalem, faldt han og de Ældste, der var klædt i Sæk, paa deres Ansigt;
0d15110114	og David sagde til Gud: »Var det ikke mig, der sagde, at Folket skulde tælles? Det er mig, der har syndet, og saare ilde har jeg handlet; men Faarene der, hvad har de gjort? HERRE min Gud, lad din Haand dog ramme mig og mit Fædrenehus, men lad Plagen ikke ramme dit Folk!«
0d1512007b	Da sagde HERRENS Engel til Gad, at han skulde byde David gaa op og rejse HERREN et Alter paa Jebusiten Ornans Tærskeplads.
0d15130040	Og David gik derop, efter det Ord Gad havde talt i HERRENS Navn.
0d1514007c	Da Ornan vendte sig om, saa han Kongen og hans fire Sønner, der var hos ham, komme gaaende. Ornan var ved at tærske Hvede.
0d15150094	Og David naaede hen til Ornan, og da Ornan saa op og fik Øje paa David, forlod han Tærskepladsen og kastede sig paa sit Ansigt til Jorden for ham.
0d151600b7	Da sagde David til Ornan: »Overlad mig din Tærskeplads, for at jeg der kan bygge HERREN et Alter! For fuld betaling skal du overlade mig den, at Folket maa blive friet fra Plagen!«
0d151700cc	Da sagde Ornan til David: »Min Herre Kongen tage den og gøre, hvad ham tykkes ret; se, jeg giver Okserne til Brændofre, Tærskeslæderne til Brændsel og Hveden til Afgrødeoffer; jeg giver det hele!«
0d151800ad	Men Kong David svarede Ornan: »Nej, jeg vil købe det for fuld Betaling, thi til HERREN vil jeg ikke tage, hvad dit er, eller bringe et Brændoffer, som intet koster mig!«
0d1519003f	Saa gav David Ornan Guld til en Vægt af 600 Sekel for Pladsen;
0d151a00b4	og David byggede HERREN et Alter der og ofrede Brændofre og Takofre; og da han raabte til HERREN, svarede HERREN ham ved at lade Ild falde ned fra Himmelen paa Brændofferalteret,
0d151b0039	Og paa HERRENS Bud stak Engelen sit Sværd i Balgen igen.
0d151c0070	Paa den Tid ofrede David paa Jebusiten Ornans Tærskeplads, fordi han havde set, at HERREN havde svaret ham der;
0d151d0075	men HERRENS Bolig, som Moses havde rejst i Ørkenen, og Brændofferalteret stod paa den Tid paa Offerhøjen i Gibeon.
0d151e006f	Men David kunde ikke gaa hen og søge Gud foran Alteret, thi han var rædselsslagen over HERRENS Engels Sværd.
0d1601005a	Da sagde David: »Her skal Gud HERRENS Hus staa, her skal Israels Brændofferalter staa!«
0d160200a0	David bød saa, at man skulde samle alle de fremmede, som boede i Israels Land, og han satte Stenhuggere til at tilhugge Kvadersten til Opførelsen af Guds Hus;
0d16030071	fremdeles anskaffede David Jern i Mængde til Nagler paa Portfløjene og til Kramper, en umaadelig Mængde Kobber
0d1604005c	og talløse Cederbjælker, idet Zidonierne og Tyrierne bragte David Cederbjælker i Mængde.
0d1605010d	Thi David tænkte: »Min Søn Salomo er ung og uudviklet, men Huset, som skal bygges HERREN, skal være stort og mægtigt, for at det kan vinde Navnkundighed og Ry i alle Lande; jeg vil træffe Forberedelser for ham.« Og David traf store Forberedelser, før han døde.
0d16060053	Derpaa lod han sin Søn Salomo kalde og bød ham bygge HERREN, Israels Gud, et Hus.
0d16070063	Og David sagde til Salomo: »Min Søn! Jeg havde selv i Sinde at bygge HERREN min Guds Navn et Hus;
0d160800b1	men da kom HERRENS Ord til mig saaledes: Du har udgydt meget Blod og ført store Krige; du maa ikke bygge mit Navn et Hus, thi du har udgydt meget Blod paa Jorden for mit Aasyn.
0d160900c7	Se, en Søn skal fødes dig; han skal være en Fredens Mand, og jeg vil skaffe ham Fred for alle hans Fjender rundt om; thi hans Navn skal være Salomo, og jeg vil give Israel Fred og Ro i hans Dage.
0d160a00a6	Han skal bygge mit Navn et Hus; og han skal være mig en Søn, og jeg vil være ham en Fader, og jeg vil grundfæste hans Kongedømmes Trone over Israel til evig Tid!
0d160b0084	Saa være da HERREN med dig, min Søn, at du maa faa Lykke til at bygge HERREN din Guds Hus, saaledes som han har forjættet om dig.
0d160c0077	Maatte HERREN kun give dig Forstand og Indsigt, saa han kan sætte dig over Israel og du kan holde HERREN din Guds Lov!
0d160d00aa	Saa vil det gaa dig vel naar du nøje holder Anordningerne og Lovbudene, som HERREN bød Moses at paalægge Israel. Vær frimodig og stærk, frygt ikke og tab ikke Modet!
0d160e00fb	Se, med stor Møje har jeg til HERRENS Hus tilvejebragt 100 000 Talenter Guld og en Million Talenter Sølv og desuden Kobber og Jern, som ikke er til at veje, saa meget er der; dertil har jeg tilvejebragt Bjælker og Sten; og du skal sørge for flere.
0d160f008c	En Mængde Arbejdere staar til din Raadighed, Stenhuggere, Murere, Tømrere og alle Slags Folk, der forstaar sig paa Arbejder af enhver Art.
0d16100072	Af Guld, Sølv, Kobber og Jern er der umaadelige Mængder til Stede — saa tag da fat, og HERREN være med dig!«
0d16110047	Og David bød alle Israels Øverster hjælpe hans Søn Salomo og sagde:
0d161200ae	»Er HERREN eders Gud ikke med eder, har han ikke skaffet eder Ro til alle Sider? Han har jo givet Landets Indbyggere i min Haand, og Landet er underlagt HERREN og hans Folk;
0d161300d9	saa giv da eders Hjerter og Sjæle hen til at søge HERREN eders Gud og tag fat paa at bygge Gud HERRENS Helligdom, saa at HERRENS Pagts Ark og Guds hellige Ting kan føres ind i Huset, der skal bygges HERRENS Navn.«
0d1701005d	Da David var blevet gammel og mæt af Dage, gjorde han sin Søn Salomo til Konge over Israel.
0d1702003e	Han samlede alle Israels Øverster og Præsterne og Leviterne.
0d17030078	Og Leviterne blev talt fra Trediveaarsalderen og opefter, og deres Tal udgjorde, Hoved for Hoved, Mand for Mand, 38 000.
0d1704006b	»Af dem,« sagde han, »skal 24 000 forestaa Arbejdet ved HERRENS Hus, 6000 være Tilsynsmænd og Dommere,
0d17050063	4000 være Dørvogtere og 4000 love HERREN med de Instrumenter, jeg har ladet lave til Lovsangen.«
0d1706004c	Og David inddelte dem i Skifter efter Levis Sønner Gerson, Kehat og Merari.
0d17070029	Til Gersoniterne hørte: Ladan og Sjim'i;
0d1708003e	Ladans Sønner: Jehiel, som var Overhoved, Zetam og Joel, tre;
0d1709005c	Sjim'is Sønner: Sjelomit, Haziel og Haran, tre. De var Overhoveder for Ladans Fædrenehuse.
0d170a004f	Sjim'is Sønner: Jahat, Ziza, Je'usj og Beri'a. Disse fire var Sjim'is Sønner.
0d170b008b	Jahat var Overhoved og Ziza den næste; Je'usj og Beri'a havde ikke mange Sønner og regnedes derfor for eet Fædrenehus, eet Embedsskifte.
0d170c0033	Kehatiterne: Amram, Jizhar, Hebron og Uzziel, fire;
0d170d00d3	Amrams Sønner: Aron og Moses. Aron udskiltes sammen med sine Sønner til at helliges som højhellig til evig Tid, til at tænde Offerild for HERRENS Aasyn, til at tjene ham og velsigne i hans Navn til evig Tid.
0d170e0040	Den Guds Mand Moses's Sønner regnedes derimod til Levis Stamme.
0d170f0023	Moses's Sønner: Gersom og Eliezer;
0d1710002c	Gersoms Sønner; Sjubael, som var Overhoved;
0d1711007b	Eliezers Sønner: Rehabja, som var Overhoved; andre Sønner havde Eliezer ikke, men Rehabjas Sønner var overmaade talrige.
0d1712002d	Jizhars Sønner: Sjelomit, som var Overhoved.
0d17130065	Hebrons Sønner: Jerija, som var Overhoved, Amarja den anden, Uzziel den tredje, Jekam'am den fjerde.
0d17140040	Uzziels Sønner: Mika, som var Overhoved, og Jissjija den anden.
0d1715003f	Merariterne var: Mali og Musji. Malis Sønner: El'azar og Kisj.
0d1716006c	El'azar efterlod sig ved sin Død ingen Sønner, men kun Døtre, som deres Brødre, Kisj's Sønner, ægtede.
0d1717002b	Musjis Sønner: Mali, Eder og Jeremot, tre.
0d171800e8	Det var Levis Sønner efter deres Fædrenehuse, Overhovederne for Fædrenehusene, de, som mønstredes ved Optælling af Navnene, Hoved for Hoved, de, som udførte Arbejdet ved Tjenesten i HERRENS Hus, fra Tyveaarsalderen og opefter.
0d17190067	Thi David tænkte: »HERREN, Israels Gud, har skaffet sit Folk Ro og taget Bolig i Jerusalem for evigt;
0d171a006c	derfor behøver Leviterne heller ikke mere at bære Boligen og alle de Ting, som hører til dens Tjeneste.«
0d171b0060	(Ifølge Davids sidste Forordninger regnes Tallet paa Leviterne fra Tyveaarsalderen og opefter).
0d171c00d4	Men deres Plads er ved Arons Sønners Side, for at de kan udføre Tjenesten i HERRENS Hus; de skal tage sig af Forgaardene, Kamrene, Renholdelsen af alle de hellige Ting og Arbejdet, der skal udføres i Guds Hus;
0d171d007e	de skal sørge for Skuebrødene, Melet til Afgrødeofrene, de usyrede Fladbrød, Panden, Dejgen og alle Rum— og Længdemaal;
0d171e0045	hver Morgen skal de staa og love og prise HERREN, ligesaa om Aftenen,
0d171f00bc	og hver Gang der ofres Brændofre til HERREN paa Sabbaterne, Nymaanedagene og Højtiderne; i det fastsatte Antal efter den for dem gældende Forskrift skal de altid staa for HERRENS Aasyn.
0d172000a7	Saaledes skal de tage Vare paa, hvad der er at varetage ved Aabenbaringsteltet og ved det hellige og hjælpe deres Brødre, Arons Sønner, med Tjenesten i HERRENS Hus.
0d18010053	Arons Sønner, delte i Skifter, var: Arons Sønner Nadab, Abihu, Eleazar og Itamar;
0d18020073	Nadab og Abihu døde før deres Fader uden at efterlade sig Sønner, men Eleazar og Itamar fik Præsteværdigheden.
0d18030085	David tillige med Zadok af Eleazars Sønner og Ahimelek af Itamars Sønner inddelte dem efter deres Embedsskifter ved deres Tjeneste.
0d180400bf	Og da det viste sig, at Eleazars Sønner havde flere Overhoveder end Itamars, delte de dem saaledes, at Eleazars Sønner fik seksten Overhoveder over deres Fædrenehuse. Itamars Sønner otte.
0d18050087	Og de delte, begge Hold ved Lodkastning, thi der fandtes hellige Øverster og Guds Øverster baade iblandt Eleazars og Itamars Sønner.
0d18060106	Skriveren Sjemaja, Netan'els Søn af Levis Slægt, optegnede dem i Paasyn af Kongen, Øversterne, Præsten Zadok, Ahimelek, Ebjatars Søn, og Overhovederne for Præsternes og Leviternes Fædrenehuse. Der udtoges eet Fædrenehus af Itamar for hvert to af Eleazar.
0d1807002f	Det første Lod traf Jojarib, det andet Jedaja,
0d18080024	det tredje Harim, det fjerde Seorim,
0d18090027	det femte Malkija, det sjette Mijjamin,
0d180a0026	det syvende Hakkoz, det ottende Abija,
0d180b0026	det niende Jesua, det tiende Sjekanja,
0d180c0027	det ellevte Eljasjib, det tolvte Jakim,
0d180d002d	det trettende Huppa, det fjortende Jisjba'al,
0d180e0028	det femtende Bilga, det sekstende Immer,
0d180f002a	det syttende Hezir, det attende Happizzez,
0d1810002a	det nittende Petaja, det tyvende Jehezkel,
0d18110032	det een og tyvende Jakin, det to og tyvende Gamul,
0d18120039	det tre og tyvende Delaja og det fire og tyvende Ma'azja.
0d181300b7	Det var deres Embedsskifter ved deres Tjeneste, naar de gik ind i HERRENS Hus, efter den Forpligtelse deres Fader Aron paalagde dem, efter hvad HERREN, Israels Gud, havde paalagt ham.
0d1814004c	De andre Leviter var: Af Amrams Sønner Sjubael; af Sjubaels Sønner Jedeja.
0d18150030	Af Rehabjas Sønner Jissjija, som var Overhoved.
0d18160035	Af Jizhariterne Sjelomot; af Sjelomots Sønner Jahat.
0d18170065	Hebrons Sønner: Jerija, som var Overhoved, Amarja den anden, Uzziel den tredje, Jekam'am den fjerde.
0d1818002f	Uzziels Sønner: Mika; af Mikas Sønner Sjamir.
0d18190038	Mikas Broder Jissjija; af Jissjijas Sønner Zekarja. —
0d181a003c	Meraris Sønner: Mali og Musji og hans Søn Uzzijas Sønner.
0d181b0035	Meraris Søn Uzzijas Sønner: Sjoham, Zakkur og Ibri.
0d181c0032	Af Mali El'azar, der ingen Sønner havde, og Kisj;
0d181d0022	af Kisj Kisj's Sønner: Jerame'el.
0d181e0060	Musjis Sønner: Mali, Eder og Jerimot. Det var Leviternes Efterkommere efter deres Fædrenehuse.
0d181f00de	Ogsaa de kastede Lod ligesom deres Brødre, Arons Sønner, i Paasyn af Kong David, Zadok og Ahimelek og Overhovederne for Præsternes og Leviternes Fædrenehuse — Fædrenehusenes Overhoveder ligesom deres yngste Brødre.
0d190100dd	Derpaa udskilte David og Hærførerne til Tjenesten Asafs, Hemans og Jedutuns Sønner, som i profetisk Henrykkelse spillede paa Citre, Harper og Cymbler; og Tallet paa de Mænd, der havde med denne Tjeneste at gøre, var:
0d19020096	Af Asafs Sønner: Zakkur, Josef, Netanja og Asar'ela, Asafs Sønner under Ledelse af Asaf, der spillede i profetisk Henrykkelse under Kongens Ledelse.
0d190300d2	Af Jedutun: Jedutuns Sønner Gedalja, Jizri, Jesja'ja, Sjim'i, Hasjabja og Mattitja, seks, under Ledelse af deres Fader Jedutun, der i profetisk Henrykkelse spillede paa Citer, naar HERREN blev lovet og priset.
0d1904009f	Af Heman: Hemans Sønner Bukkija, Mattanja, Uzziel, Sjubael, Jerimot, Hananja, Hanani, Eliata, Giddalti, Romamti-Ezer, Josjbekasja, Malloti, Hotir og Mahaziot.
0d1905007e	Alle disse var Sønner af Heman, Kongens Seer i Guds Ord; for at løfte hans Horn gav Gud Heman fjorten Sønner og tre Døtre.
0d190600bf	Alle disse spillede under deres Faders Ledelse ved Sangen i HERRENS Hus paa Cymbler, Harper og Citre for saaledes at gøre Tjeneste i Guds Hus under Ledelse af Kongen, Asaf, Jedutun og Heman.
0d19070076	Deres Tal, sammenregnet med deres Brødre, der var oplært til at synge HERRENS Sange, var 288, kyndige Folk til Hobe.
0d19080068	De kastede Lod om Ordningen af Tjenesten med lige Kaar baade for smaa og for store, Mestre og Lærlinge.
0d19090086	Det første Lod traf Josef, ham selv med hans Brødre og Sønner, tolv; det andet Gedalja, ham selv med hans Brødre og Sønner, tolv;
0d190a0031	det tredje Zakkur, hans Sønner og Brødre, tolv;
0d190b0030	det fjerde Jizri, hans Sønner og Brødre, tolv;
0d190c0031	det femte Netanja, hans Sønner og Brødre, tolv;
0d190d0032	det sjette Bukkija, hans Sønner og Brødre, tolv;
0d190e0035	det syvende Jesar'ela, hans Sønner og Brødre, tolv;
0d190f0034	det ottende Jesja'ja, hans Sønner og Brødre, tolv;
0d19100033	det niende Mattanja, hans Sønner og Brødre, tolv;
0d19110031	det tiende Sjim'i, hans Sønner og Brødre, tolv;
0d19120032	det ellevte Uzziel, hans Sønner og Brødre, tolv;
0d19130033	det tolvte Hasjabja, hans Sønner og Brødre, tolv;
0d19140035	det trettende Sjubael, hans Sønner og Brødre, tolv;
0d19150036	det fjortende Mattitja, hans Sønner og Brødre, tolv;
0d19160034	det femtende Jeremot, hans Sønner og Brødre, tolv;
