2800000006	iMatiu
2d031f006b	Nghanɛma, eyi ka kyi ngwɔlu ola dɔ ikye oyɛyɛ onuunu nɛɛ? Onoka ba du! I ka kɛkiyayi onu ola mmwɛ.
2d04010050	Ikyenghanɛ li ekyɛ ngwi eyi ka gbɛɛ otsikyeyi Abrahan difwi mi itɔdzɛ nɛ?
2d04020066	Ni Abrahan gye emyɛmyɛ ikye idɔ yɔ, o dzɛ yi ungwɔ otsabɔ igɛgɛ ele, kpaa li mbi Imgbasho ba.
2d0403005e	Afɛ gbɔ dikyɛ? “Abrahan nu Imgbasho oyɛyɛ, Imgbasho kyon gbɛɛ o li inggisɛ osaan.”
2d0404006e	Kini inggisɛ kyidɔ yɔ, awuya ngwi a li kpan na a li di gbɛɛ li umba ba, kpaa li ungwɔ nwogyɔ a ka kyɔ.
2d040500ac	Nghaduukpaa, inggisɛ ama nli kyidɔ ba kpaa li nu Imgbasho ongwu nli nu emi imbaali kpaa gye emyɛmyɛ na oyɛyɛ yɔ, a li kye oyɛyɛ onuunu mgbi ama gbɛɛ di li osaan.
2d04060077	IDevedi kpaa gbɔ ngha onɔ ngwi o gbɔdzɛ inggisɛ nkyidɔ ba kpaa Imgbasho non gye emyɛmyɛ ma gbɛɛ mse dzɛ yan:
2d04070047	“Mse dzɛ yi ama ngwu a dzamata yi obube, di tukwulu ma alobube mani.
2d04080046	Mse dzɛ yi inggisɛ ngwu Otsɛ ka kye alobube mgban wuuta ba mani.”
2d0409009a	Mse nɛ dzɛ ikye ama okyiikyɛ kyoon ta naa dzɛ ikye ama nkyiikyɛ ba kpaa? Eyi teyi li gbɛɛ oyɛyɛ onuunu mgbi Abrahan nu ma kwun di inggisɛ osaan.
2d040a006d	Otsɛ-tsɛ na ba mi ali itɔ ofɛ? A tsan duuse non kyiikyɛ naadi o kyiikyɛ se? A tsan duuse o wa kyiikyɛ!
2d040b00c3	O di gbɛ ambɛ ikyɛ, ambɛ mgbi osaan ngwi o tu mi oyɛyɛ onuunu mi onɔ ngwi o kyiikyɛ waba mani. Ikyenghanɛ, o li otsɔ ama nkyiikyɛ waba kpaa noyɛyɛ duu, adzi ni a kwu ma di ama osaan.
2d040c006f	O di li otsɔ ama nkyɛkyikyɛ ta ba kpaa le kyikyɛ mi oyɛyɛ onuunu ngwi Abrahan tun duuse wa kyiikyɛ nani.
2d040d008d	Li mi abɔ ola ngwi Abrahan yi etɔ mgban tu ondu odzɛɛdzɛ gbɛɛ, o ka gyokwudɛ ɛsɛ ba, kpaa li mi osaan nkyɛ mi oyɛyɛ onuunu nani.
2d040e0088	Lubana ni ama nle kyɛdɔ ola ntona yɛɛ ama gyokwudɛ yɔ, oyɛyɛ onuunu dzɛ yi oyabɔ wuba ondu odzɛɛdzɛ mgban kpaa yɛɛ ayayi.
2d040f0050	Ikyekyɛ ola li ba yi itingga. Imbe ngwi ola dzɛ bayɔ ola ofaafa kpaa dzɛ ba.
2d041000ef	Nghanɛ, ondu odzɛɛdzɛ li ba mi oyɛyɛ onuunu, adzi ni elela di dzɛ ikye etɔ mgbi Abrahan duu. Ondu odzɛɛdzɛ otsitsi nɛ dzɛ ikye ama nli mgbi ola kyoon ba, kpaa li mbi ama nsulu oyɛyɛ onuunu mgbi Abrahan nani. O li otseyi duu.
2d041100dc	Dafi Afɛ tsekise lɔ ma gbɛɛ: “Ani nu abu li otsɔ ɛsɛ ibyibyi.” O li otseyi mi inɛ Imgbasho, ongwu o nun oyɛyɛ nani, Imgbasho nli kyile emi ikwukwɔ, di li kwu ungwɔ ama ndzɛma ba dafi a tsekise dzɛ nani.
2d041200d5	Ngwi dzɛ dafi ɛwɛ ogbe byiibyi dzɛma ba nɛ kpaa, Abrahan gbɛwɛbyi noyɛyɛ. Nghanɛ o yɛɛ otsɔ ɛsɛ ibyibyi, yɛyɛ dafi Imgbasho teyi nyan mani gbɛɛ, “Li ngha ngwi engwiba mgbi abu ka mbwo aali.”
2d0413009e	Ngwi Abrahan mɛ onova ideli onyi nɛ kpaa, oyɛyɛ onuunu mgban shanyɛ ba. O ye dafi ongwu dzɛ kwɛkwɛ okwulu, owan iSara kpaa kyɛ ka mbongwɛ wuba mani.
2d04140081	Nghaduu Abrahan tangwɛ ondu odzɛɛdzɛ mgbi Imgbasho ba, kpaa kɛɛkiyayi mi oyɛyɛ mgban onuunu di kye okwɔkwɔ nu Imgbasho,
2d04150050	ikyesinɛ o ye saan ta gbɛɛ Imgbasho dzɛ yi mfye okyungwɔ ngwi o zondu nani.
2d04160039	Li ikyengha “ngwi a gbela yan gbɛɛ o le saan aali.”
2d0417004c	Elodzɛ ngwi a lɔ gbɛɛ “a gbela yan na” a lɔn li ikye mgban yuon ba,
2d04180093	kpaa li ikye eyi ama Imgbasho ka gbela gbɛɛ eyi le saan ikye gbɛɛ eyi noyɛyɛ mbi ongwu Imgbasho nkyile iYesu Otsɛ mgbi eyi mi ikwongye mani.
2d04190079	A kyon nu mi abɔ ikwongye mi ikye ali ibwubwe mgbi eyi di kyilon mi ikwongye ikye ni eyi gye emyɛmyɛ mi inɛ Imgbasho.
2d0501007f	Nghawanɛ, dafi eyi gye emyɛmyɛ mi oyɛyɛ onuunu nɛ, eyi sulu iyu yi Imgbasho mgbi eyi ikpewo Otsɛ mgbi eyi iYesu iKrestu,
2d050200a3	ongwu eyi tu ofɛ kaka elela ongwi eyi kwudzɛ ele onɛnɛ nɛ mi oyɛyɛ onuunu nɛni. Eyi di dzɛ yi atsa yi ɛwɛ ogbe byiibyi otu okwɔkwɔ mgbi Imgbasho nani.
2d0503006c	Li ngha ta ba, kpaa eyi di tsatsa mi isɔ mgbi eyi, ikyekyɛ eyi ye ta gbɛɛ isɔ li ba yi itukwu oshiishi;
2d05040051	itukwu oshiishi li ba yi itukwu ofyumfye, itukwu ofyumfye li ba yi ɛwɛ ogbebyi.
2d05050090	Ɛwɛ ogbe byiibyi di li nu eyi ayiwi ba, ikyekyɛ Imgbasho kye okpitukwu mgban yawo eyi kɛ itukwu nyɛ mi Onodzi Osaan ngwi O kye nu eyi nani.
2d05060073	Ngwi onɔ wa gyɔ yɛyɛ nɛ, iKrestu kwulu ikye eyi mi onɔ ngwi eyi dzɛ yi mfye ba kale ngha Imgbasho adɔ mani.
2d05070074	I fyumfye ni inggisɛ kwulu ikye inggisɛ osaan, kpaa mi ikye inggisɛ osuse saan yɔ, kaba inggisɛ ka yagba kwulu.
2d0508007c	Nghaduu Imgbasho kye okpitukwu mgban tso eyi mi itɔ ofɛ nɛni: Ngwi eyi ka li emi ali ibwubwe majo iKrestu kwulu ikye eyi.
2d05090069	Ngwi eyi gye emyɛmyɛ mi eyi mgban wa nɛ, a ka dulu eyi mi itingga mgbi Imgbasho ikpewon sinɛ ngha lo?
2d050a00c2	Lubana onɔ ngwi eyi ka li engyikyili mgbi Imgbasho ma, a yile eyi gyiide yan mi ikwu ongwan, ikyegbɛɛ a yile eyi gyiide nɛ, eyi ka wa watɔ ikpewo okyɛɛ-kyɛɛ mgban mi ikwu sinɛ ngha lo?
2d050b007e	Ungwɔnɛ li ngha ta ba, kpaa eyi di tsatsa mbi Imgbasho ikpewo Otsɛ mgbi eyi iYesu iKrestu, mi oyile eyi gyiide yi Imgbasho.
2d050c00a1	Nghanɛ, dafi alobube kaka ɛsɛ ikpewo inggisɛ onyi, ikwongye di kaka ɛsɛ ikpewo alobube nɛ, inggisɛ duu tu ikwongye, ikyekyɛ ali inggisɛ duu kyɔ obube.
2d050d0077	Lubana duuse ni a kye ola nu yɔ, alobube teyi dzɛ ɛsɛ nɛni. Kpaa a kye alobube wuuta ba ikyesinɛ ola dzɛma waba.
2d050e009a	Ndzɛ nghanɛ kpaa, ikwongye wita kyɛ onɔ mgbi Adan nghataa ba onɔ mgbi iMose jo kaka mbi ama nfoola dafi Adan ndzɛ dafi iKrestu nka wa ba na ba mani.
2d050f0100	Nghaduu umba ungwɔ ngwi iYesu kyɔ na dzɛ dafi adɔ onghaangha na ba. Lubana ki ibyi inggisɛ kwulu ikye adɔ onghaangha mgbi inggisɛ onyi yɔ, mbi inggisɛ onyi iYesu iKrestu na umba itukwu oleewo mgbi Imgbasho nkyɛ mbon ka gbɔfwɛ mbi ibyi inggisɛ!
2d051000d6	Odi kiyayi yɔ, umba mgbi Imgbasho dzɛ dafi alobube ngwi Adan kyɔ na ba. Ikwɔ kyɛdɔ alobube onyi na di ba yi odzili-dzili, kpaa umba na yɔ kyɛdɔ adɔ onghaangha mgbi inggisɛ ibyibyi di nu ma gye emyɛmyɛ.
2d051100df	Lubana ki adɔ onghaangha mgbi inggisɛ onyi, nu ikwongye gyutɔ ikpewo inggisɛ onyi na waali, ka dzɛ sinɛ mbi ama ngbɛ elela mgbi Imgbasho dzii bɛyi umba mgbi osaan ngyutɔ mboma ikpewo inggisɛ onyi iYesu iKrestu na!
2d051200a5	Nghawanɛ, dafi adɔ onghaangha onyi ba yi odzili-dzili mbi inggisɛ duu nɛ, li ngha ngwi ali osaan onyi ba yi emyɛmyɛ nka nu inggisɛ duu tu oshishe yɛyɛ aali.
2d051300ac	Lubana dafi adɔ onghaangha mgbi inggisɛ onyi nu inggisɛ duu yɛɛ emi alobube nɛ, li ngha ngwi osiikyenu mgbi inggisɛ onyi ka nu inggisɛ ibyibyi yɛɛ saan kpaa aali.
2d05140060	A kye ola na ba ikye ni obube tsotɔ; kpaa ni obube tsotɔ yɔ, elela Imgbasho nghao tsotɔ duu.
2d051500cd	Ikyenghanɛ, dafi alobube gbe inggisɛ duu teyi kaka ikwongye nɛ, li ngha ngwi elela mgbi Imgbasho nnu eyi osaan na gbe eyi teyi onɛnɛ, nu eyi tu oshishe gyegwu ikpewo iYesu iKrestu Otsɛ mgbi eyi aali.
2d06010052	I ka gbɔn sinɛ wadɛn? Ni eyi kɛɛkiyayi okyɔ alobube zukwu ni elela sheeshee?
2d0602004f	Onoka lo! Ni eyi kwulu mi alobube waali; kyɔsinɛ se eyi di kale kyɔn kpɔɔ?
2d0603007b	Naadi ema ye dafi eyi ama ngwu a kyɔ eyi iBatisima mbi iYesu iKrestu nɛ, a kyɔ eyi iBatisima kaka ikwongye mgban ma wɛ?
2d060400ab	Nghanɛ a gbe eyi ndzi yan nyɛ mi iBatisima kaka ikwongye ikyegbɛɛ, dafi a kyile iKrestu mi ikwongye mi okwɔkwɔ mgbi Otsɔn nɛ, eyi kpaa kawa dzɛ mi oshishe ofufɛ.
2d0605006e	Dafi a gbe eyi kwokyi yan mi ikwongye nghanɛ, li kyɛmɛ a dika gbe eyi kwokyi yan mi okyɛɛ-kyɛɛ mi ikwu.
2d06060097	Lubana eyi ye odzɛɛdzɛ mgbi eyi ogbugbe na a kye gbokwo yan ikye ongyɛlu yi ikpewo mgbi alobube nani, zukwu ni eyi ka li ofyɛɛ mgbi alobube wuba.
2d06070039	Inggisɛ nkwulu yi iKrestu ta wa yɔ, o watɔ mi alobube.
2d06080059	Onɛnɛ kini eyi kwulu yi iKrestu yɔ, eyi noyɛyɛ ta gbɛɛ i dika wa dzɛ oshishe yan.
2d0609006f	Lubana eyi ye ta gbɛɛ ngwi a kyile iKrestu mi ikwu nɛ, o ka yama kwulu wuba; ikwongye sulu mfye onghan wuba.
2d060a0076	Ikwu ngwi iYesu kwu na, o kwikwu akponyi ikye odzili alobube; kpaa oshishe ngwi o dzɛ na, o dzɛ ikye Imgbasho kyoon.
2d060b0089	Mi itɔ ofɛ na kpɔɔ, kye ewema gbɛɛ ema kwulu ikye odzɛ mi alobube wuba, kpaa wɛ gbɛɛ iKrestu iYesu nu ema oshishe mbi Imgbasho.
2d060c0069	Ikyenghanɛ ka nu alobube gyutɔ mi ikpewo mgbi abu nli kwulu nɛ ba, di abu wa sunu imina mgban ibwubwe.
2d060d00d3	Ka yama kye alewo mgbi ema nu ali ibwubwe no yɛɛ okye mgbi imbaali ba. Kye ewema nu Imgbasho, dafi ama ngwu a dulu ma tɔ mi ikwongye luba oshishe mani; di kye alewo mgbi ema nun dafi okyiidɔ mgbi osaan mani.
2d060e005c	Nghawanɛ, ka nu alobube kye ema teyi ba, ikyekyɛ ema byidzɛ abɔ ola ba, kpaa abɔ elela.
2d060f0084	Ungwɔ ntonɛ duu ma itan sinɛ? Eyi ka kiyayi okyɔ obube ikyegbɛɛ eyi woto abɔ ola ba kpaa woto abɔ elela nghaoo? Onoka ba du!
2d061000be	Ema ye dafi ema li ofyɛɛ mgbi inggisɛ ngwu ema le siikyenun ma wɛ? Ema ka yagba li ofyɛɛ mgbi alobube di kwulu, hona ofyɛɛ ama osiikyenu Imgbasho, nka nu ema dzɛ mi ofɛ mgbi osaan.
2d06110099	Nghaduu eyi ta Imgbasho angba gbɛɛ, nose ma ema li ofyɛɛ mgbi alobube kpaa onɛnɛ yɔ, ema yɛ kyɛdɔ itɔ otsootso ngwi a tso ema nɛ itukwu onyi.
2d0612003c	A shɛ ema adi mi ifu alobube, ema yɛɛ ofyɛɛ mgbi osaan.
2d06130120	N le gbɔdzɛ nɛ mi odzɛɛdzɛ mgbi inggisɛ owamyɛ ikyekyɛ ema ndɛ mi odzɛɛdzɛ mgbi atta mgbi ema. Dafi ema li kye alewo mgbi ema yɛɛ ofyɛɛ nu idza ni ali ibwubwe mgbi ema le sheeshe wele ma, onɛnɛ kye alewo mgbi ema yɛɛ ofyɛɛ nu osaan nka kye ema kaka osaan kpaa mani.
2d0614004a	Onɔ ngwi ema li ofyɛɛ mgbi alobube ma, ungwɔ kwu osaan akye yi ema ba.
2d0615008e	Li ali oyabɔ ngwi ema tu mi onɔ na mi ungwɔ ama n yɛɛ ema ungwɔ ayiwi onɛnɛ nɛ? Bana ungwɔ ntona li ba yi ikwongye mi ongyɛɛngyɛ!
2d061600ac	Nghaduu onɛnɛ ngwi a dulu ema tɔ mi abɔ alobube di yɛɛ ofyɛɛ mgbi Imgbasho nɛ, oyabɔ ngwi ema tu ma kye ema kaka osaan. Ongyɛɛngyɛ mgban di li oshishe ogyegwu.
2d0617006d	Lubana mkpa alobube li ikwongye, kpaa umba mgbi Imgbasho li oshishe ogyegwu mbi iKrestu iYesu Otsɛ mgbi eyi.
2d07010087	Emi ongwunani, ema ama nbɛ mi ola ntonɛnɛ, ema ye dafi ola li kyidɔ mi ikpewo inggisɛ onɔ ngwi otsungwɔn dzɛ oshishe ma ta baa?
2d07020084	Dzɛ sini, ola tso gbɛɛ ongyaa dzɛ ikye oban onɔ ngwi o ka dzɛ oshishe mani. Nghaduu ni oban kwulu yɔ, o tɔ mi abɔ ola nani.
2d070300bf	Nghawanɛ, ki non kyuka yi ongyulɔ oka ngwi oban ka dzɛ oshishe yɔ, o kyɔ amah. Kpaa ni oban wa kwulu yɔ, o tɔ mi abɔ ola nani. Non yɛ bongyulɔ oka jokpa, o yama li ongyaa amah wuba.
2d070400aa	Nɛ, emi ongwunani, ema kpaa ola nwodzɛ mbi ema na kwulu ikpewo ikwu iKrestu, ikye ni ema li mgbi iKrestu ongwu a kyilon mi ikwu ikye ni eyi wa owaawa mbi Imgbasho nani.
2d0705009e	Lubana ngwi odzɛɛdzɛ ibwubwe mgbi atta kye eyi teyi ma, imina obube ngwi ola kye ba ma le kyidɔ mbi eyi, man alungwɔ ngwi eyi kyɔ duu ngyɛ mi ikwongye.
2d070600cb	Nghaduu onɛnɛ ngwi eyi kwulu mi ungwɔ nplɛ kwu eyi ofyɛɛ nɛ, eyi tɔ mi abɔ ola ikye ni eyi ki kyungwɔ mi odzɛɛdzɛ ofufɛ mgbi Onodzi, no ka li imbisɔ mgbi ola ogbugbe ngwi a lɔɔlɔ na ba.
2d070700ea	I ka gbɔn sinɛ wa dɛn? Ola nɛ li ungwɔ obubee? Onɔ oka ba du! Mi otsitsi ki li ola bayɔ, n kika ye ungwɔ nli alobube ba du. N kika ye ungwɔ nli odi mbe angwɔ ba du, ni ola ki gbɛɛ, “Ka yama di ungwɔ mbe angwɔ bayɔ.”
2d07080090	Li ofɛ ngwi ola kye ba nani, ngwi alobube tu ofɛ okwokyile ali imina obube duu mbi ani aani. Kini ola dzɛma bayɔ, alobube dzɛ yi mfye wuba.
2d0709006f	Duuse ni ani ye ola yɔ, ani dzɛ oshishe; kpaa ngwi ola wa ba nɛ, alobube fwi tɔ dzɛ oshishe man ani kwulu.
2d070a0051	N difwi gbɛɛ ola se ndzɛ yi oweka okye oshishe ba ma, yɛ kye-kye ikwongye ba.
2d070b003e	Lubana alobube tu ofɛ ikpewo ola kpagya ani wo, di ngwɔ ani.
2d070c0031	Nghawanɛ, ola le saan, ali ola le ayin di tishi.
2d070d00d8	Ungwɔ ntishi nɛ di yɛɛ ikwongye mbi anii? Onoka ba du! Ikyegbɛɛ nu ma difwi alobube gbɛɛ di li alobube yɔ, i kye ikwongye ba mbi ani ikpewo ungwɔ osuse, adzi ni alobube yɛɛ alobube yɛyɛ ikpewo ola mani.
2d070e0091	Eyi ye ta gbɛɛ ola li ungwɔ ongwi onodzi, nghaduu ani dzɛ mi odzɛɛdzɛ mgbi ali ibwubwe mgbi atta, a kyen gya yi alobube dafi ofyɛɛ mani.
2d070f007e	Ani yama ye ungwɔ ani le kyɔ ba. Lubana ungwɔ ngwi ani mina okyɔ ma n li kyɔn ba, kpaa ungwɔ nta ani anyi ma n li kyɔn.
2d07100052	Ni ani di kyungwɔ ngwi ani mina okyɔ ba ma kpaa, n di li gbela gbɛɛ ola tishi.
2d07110053	Ngwi i dzɛ nghanɛ yama li ani yuen le kyɔ ba kpaa, li alobube nwodzɛ mben mani.
2d0712008b	N ye ta gbɛɛ mi atta mgbi ani ibwubwe nani, unkonyi osuse wodzɛ mbi ani ba. Bana n sulu imina okyungwɔ osuse kpaa, n li yagba kyɔn ba.
2d07130074	Lubana ungwɔ osuse ngwi ani mina okyɔ ma n li kyɔ ba, li obube ngwi ani mina okyɔ ba ma, n li kiyayi okyɔ aali.
2d07140080	Kini ani le kyungwɔ ngwi ani mina okyɔn bayɔ, yama li ani yuen le kyɔ wuba, kpaa li alobube nwodzɛ mbi ani ma le kyɔ aali.
2d07150070	Nɛ n difwi gbɛɛ mfye oka le tsamu ani, onɔ ngwi i mina ani okyungwɔ osuse ma, ungwɔ obube li kye ani teyi.
2d07160030	Lubana n gbela yi ola mgbi Imgbasho itukwu onyi;
2d07170094	nghaduu n difwi mfye oka idzidza nle gblika yi itukwu mgbi ani, i di nu ani yɛɛ ofyɛɛ alobube nkye ani le teyi mi alungwɔ ngwi ani le kyɔ duu.
2d07180079	Li ali itɔ ishisha inggisɛ ngwi ani dzɛ dɛn! Li emɛ ka nagbɛ ani mi abɔ atta mgbi ani nkye ani le lu ikwongye nɛ?
2d071900dd	N ta Imgbasho angba ikpewo iYesu iKrestu Otsɛ mgbi eyi! Nghawanɛ, ani abuen mi itukwu mgbɛn yɔ, n li ofyɛɛ mi ola mgbi Imgbasho, kpaa mi odzɛɛdzɛ mgbi mmbwɛ yi eyi yɔ, mfye oka le tsamu ani ni ani kyɔ alobube.
2d0801004f	Nghanɛ, onɛnɛ odzili-dzili yama dzɛ ikye ama ndzɛ mi ifu iKrestu iYesu ba,
2d08020068	ikyekyɛ ikpewo iKrestu iYesu mfye mgbi Onodzi nu oshishe shɛn adi ta mi mfye mgbi alobube yi ikwongye.
2d080300f4	Lubana ungwɔ ngwi ola yagba kyɔ ba, ikyegbɛɛ odzɛɛdzɛ mgbi inggisɛ owamyɛ sulu mfye mmɛ ba ma, Imgbasho kyɔn. O kye ongwan dɛsɔ ba mi odzɛɛdzɛ mgbi inggisɛ owamyɛ, ikye owa kyi kyelu adɔ okwookwo mgbi alobube mi ikpewo mgban,
2d0804009f	adzi ni a di osaan ngwi a gbɛɛ ni eyi dzɛ mi ola ma mbi eyi ama nle kyɛdɔ odzɛɛdzɛ mgbi mmbwɛ yi eyi ba kpaa le kyɛdɔ odzɛɛdzɛ mgbi Onodzi nɛni.
2d080500b7	Ama ngwu mmbwɛ yi eyi kye ma le teyi yɔ, li gbe itukwu mgbi ama byi ungwɔ ngwi mmbwɛ yi eyi mina mani; kpaa ama Onodzi kye ma le teyi, li gbe itukwu ma byi ungwɔ ama Onodzi mina.
2d0806007d	Itukwu mgbi inggisɛ ngwi alobube kye le teyi yɔ li ikwongye, nghaduu itukwu ngwi Onodzi kye le teyi yɔ, li oshishe yi iyu.
2d08070074	Kpaa itukwu alobube, li dzɛ mi ogblɔgblɔ yi Imgbasho. Li yama sunu ola mgbi Imgbasho ba, hona dika yagba kpaa ba.
2d0808004e	Ama ngwu mmbwɛ yi eyi kye ma le teyi yɔ, ka yagba kyungwɔ okpa Imgbasho ba.
2d080900b6	Ema ta yɔ, mmbwɛ yi eyi kye ema le teyi ba kpaa li Onodzi, kini Onodzi mgbi Imgbasho wodzɛ mbi ema yɔ. Ma ali inggisɛ ndzɛ yi Onodzi mgbi iKrestu ba wa, o li mgbi iKrestu luba.
2d080a0073	Nghaduu ni iKrestu dzɛ mbi abu yɔ, ewo mgbi abu kwulu ikye alobube, kpaa onodzi mgbi abu dzɛ oshishe ikye osaan.
2d080b00b5	Ma ni Onodzi mgbi Ongwu nkyile iYesu mi ikwu na wodzɛ mbi abu yɔ, Ongwu nkyile iKrestu mi ikwu na dika nyɛ mi Onodzi mgban nwodzɛ mbi abu nɛ, dulu abu mi ikwongye luba oshishe.
2d080c007c	Nghanɛ, emi ongwunani, eyi li ofyɛɛ mgbi imina ongwi ɛsɛ nɛ ba, nɛ eyi sulu itɔdzɛ okyɛdɔ imina ongwi ɛsɛ wuba.
2d080d0090	Lubana ni abu dzɛ mgbi mmbwɛ yi eyi yɔ, o ka kwulu; kpaa ni abu dzɛ mi Onodzi, kyi kyelu imina obube mgbi ewo ngwuta yɔ, o ka dzɛ oshishe.
2d080e004b	Ama ngwu Onodzi mgbi Imgbasho kye ma le teyi yɔ, a li emi ongwɛ Imgbasho.
2d080f00b3	Ikyesinɛ ema gbɛ onodzi nnu ema yɛɛ ofyɛɛ nka mio wuba, kpaa ema gbɛ Onodzi nnu ema yɛɛ engwɛ Imgbasho mani. Ma mi ikpewo Onodzi nɛ eyi kwun gbɛɛ, “Baba, Otseyi.”
2d08100054	Onodzi na abɔn kyɔ obwɛndɛ yi onodzi mgbi eyi gbɛɛ eyi li emi ongwɛ Imgbasho.
2d081100c9	Ma ngwi eyi li engwɛ nɛ, eyi li ama gyokwudɛ mgban. Eyi li ama gyokwudɛ Imgbasho ungwonyi yi iKrestu. Eyi ka gyadzɛ yi iKrestu, ma ni eyi gyadzɛ yi iKrestu yɔ, eyi dika kaka okwɔkwɔ mgban yan.
2d0812006a	Ani noyɛyɛ gbɛɛ adzɛ ngwi eyi le gye onɛnɛ nɛ yama mɛ mi okwɔkwɔ ngwi a kawa kye tso eyi ma ba.
2d0813004a	Ɛsɛ duu le tsoolo ni ama wa di dafi Imgbasho ka kye emi ongwan tso mani.
2d08140075	Lubana a nu ɛsɛ duu ndɛngyɛ, yama li itukwu ɛsɛ ba, kpaa li itukwu Imgbasho non dzɛkɛ ngha, yi ɛwɛ ogbe byi
2d0815007b	gbɛɛ ɛsɛ abuon ka watɔ mi adi mgbi ungwɔ ombeembe ngwi a bwan na luba ewo oshɛta okwɔkwɔ mgbi emi ongwɛ Imgbasho.
2d0816005b	Lubana eyi ye dafi ɛsɛ duu le maandu dafi imba ongwɛ mani, nghataa ba onɔ dzikan nɛni.
2d081700d3	Yama li ɛsɛ yuon ta ba, eyi abueyi ama nka wa tu owawa ongwi ababɔ mgbi Onodzi ma jokpaa, le maandu mi itukwu le fɛ onɔ ngwi a ka gbɛ eyi dafi engwɛ, bɛkɛ yi ikpewo ofufɛ ngwi a zondu okye nu eyi mani.
2d081800c0	Ikyesinɛ li mi ɛwɛ ogbe byiibyi nɛ ngwi eyi watɔ aani. Kpaa ɛwɛ ogbe byiibyi ongwi a di yɔ, yama li ɛwɛ ogbe byiibyi luba du. Li emɛ li kye ɛwɛ byi ungwɔ ngwi ongwu teyi dzɛyan?
2d08190050	Kpaa ni eyi gbɛwɛbyi ungwɔ ngwi eyi plɛ dzɛyan wa bayɔ, i ka shitukwu fɛ.
2d081a00c6	Mi itɔ ofɛ na kpɔɔ, Onodzi li tobyi eyi onɔ ngwi eyi dzɛ ewo atsi mani. Eyi ye ungwɔ ngbuo ngwi eyi ka bibɔ ikyen ba, kpaa Onodzi li bɔ ikye eyi yi andu omaama ngwi a ka gbɔn gbɛ ba mani.
2d081b0088	Imgbasho nli kyidi itukwu mgbi eyi ma ye oweka mgbi Onodzi, ikyekyɛ Onodzi li bɔ ikye emi osaan dafi owitukwu mgbi Imgbasho dzɛ mani.
2d081c00a3	Eyi di ye gbɛɛ alungwɔ nba mbi eyi duu li Imgbasho nu ofɛ gbɛɛ no tɔ lo ama ongwu kpa ma itukwu ma tishi, ama ngwu a kwu ma ela mi itɔdzɛ mgbi ongwu mani.
2d081d008e	Lubana ama Imgbasho teyi ye ma ma, o kye ma dzɛkɛ dafi emi Ongwan, adzi nu ma yɛɛ yɛyɛ dafi Ongwɛ nli Ongwovlɛ mgbi emi ongwunɔn duu.
2d081e00aa	Ama ngwu o di plɛ kye ma dzɛ ma, o kwu ma ela; ama ngwu o kwu ma ela ma, o di nu ma gye emyɛmyɛ; ama ngwu o di nu ma gye emyɛmyɛ ma, o di kye okwɔkwɔ mgban nu ma.
2d081f006f	Li ali uka tsatso ngwi eyi ka nu ikye ungwɔ ntonɛ? Ni Imgbasho dzɛ yi eyi ma li emɛni ka fyinyɛnɛ yi eyi?
2d0820007e	Ongwu nkye abɔ tukwu ongwan ba, kpaa kyon nu mi ikye eyi duu na, ka kyɔsinɛse o ka di eyi elela kye alungwɔ duu nu eyi ba.
2d08210062	Li emɛ ka gbe odzɛ tukwu ama Imgbasho sadu ma nɛ ewo? Li Imgbasho li nu inggisɛ gye emyɛmyɛ.
2d082200c8	Li ongwu emɛ ka ngwɔ eyi ikwɔ dɔ? Inggisɛ dzɛma ba, lubana iKrestu iYesu kwulu mi ikye eyi a di kyilon luba oshishe ikye eyi, o di sɔdzɛ imbe mmwɛ mi abugye mgbi Imgbasho le tɛkyɛ ikye eyi.
2d08230084	Li emɛ ka gha eyi yi okpitukwu mgbi iKrestu? Li okakewo naadi adzɛ naadi isɔ hona enbwa hona ibiba naadi inoola naadi okwusunkli?
2d0824009a	Dafi Afɛ lɔ ma gbɛɛ, “Mi ikye abu Imgbasho, eyi li tsigɛgɛ yi ikwongye alonɔ duu; A di eyi dafi mmala ngwi a le ka kye eba gbon onbukwɔ mani.”
2d0825005c	Mi ungwɔnɛ duu kpaa eyi shewo ngha ama onghaangha ikpewo iKrestu ndi eyi kpan itukwu nani.
2d0826009a	Lubana n ye saan gbɛɛ ikwongye hona oshishe, naadi engyesɔ hona onodzi ibwubwe, hona onɔ ongwi onɛnɛ naadi onɔ ongwi iyayi, hona ali itɔ mfye duu,
2d082700b6	naadi mfye ongwi esho hona mfye ongwi ikpɛsɛ, hona ungwɔ ngwi a ta duu, ka yagba ghalu eyi yi okpitukwu mgbi Imgbasho ndzɛ mi idzidzɛ eyi yi iKrestu iYesu Otsɛ mgbi eyi nɛ ba.
2d09010071	N le gbɔ otsitsi mbi iKrestu, n le mwonya ba, itukwu mgbɛn kpaa nin obube ba, Onodzi Osaan li obwɛndɛ mgbɛn,
2d09020033	Eka kwowina len kpakpa itukwu di wulin jo dondu ba.
2d09030080	Bana n mina gbɛɛ ani abuen a ki wo ani ikamba di dzabɔ yi iKrestu mi ikye emi ongwunani, emi Israi ama nli etɔ yi ani nɛni.
